Orthogroup	Syad	Prah
OG0000067	Syad.g_01889	Prah.g_00667, Prah.g_01826
OG0000068	Syad.g_00891	Prah.g_01576
OG0000070	Syad.g_02424	Prah.g_00252
OG0000071	Syad.g_02405	Prah.g_01364
OG0000072	Syad.g_02905	Prah.g_02309
OG0000073	Syad.g_00926	Prah.g_01544
OG0000075	Syad.g_00416	Prah.g_02232
OG0000076	Syad.g_00348	Prah.g_00150
OG0000078	Syad.g_00824	Prah.g_01773
OG0000082	Syad.g_01063	Prah.g_01427
OG0000084	Syad.g_02272	Prah.g_00412
OG0000085	Syad.g_02612	Prah.g_01666
OG0000086	Syad.g_02770	Prah.g_01866
OG0000087	Syad.g_02860	Prah.g_02268
OG0000088	Syad.g_02899	Prah.g_02304, Prah.g_00957
OG0000089	Syad.g_00785, Syad.g_02829	Prah.g_00205
OG0000090	Syad.g_00977	Prah.g_01501
OG0000091	Syad.g_02144	Prah.g_00493
OG0000093	Syad.g_01905	Prah.g_00692
OG0000094	Syad.g_01676	Prah.g_02518
OG0000095	Syad.g_01290	Prah.g_00915
OG0000097	Syad.g_01458	Prah.g_01272
OG0000098	Syad.g_00625	Prah.g_00327
OG0000099	Syad.g_00460	Prah.g_02191
OG0000100	Syad.g_01846	Prah.g_01791, Prah.g_00636
OG0000101	Syad.g_00694	Prah.g_01995
OG0000102	Syad.g_00343	Prah.g_00144
OG0000103	Syad.g_00143	Prah.g_02586
OG0000104	Syad.g_00158	Prah.g_02600
OG0000105	Syad.g_00530	Prah.g_02126
OG0000106	Syad.g_01993	Prah.g_01660
OG0000107	Syad.g_00590	Prah.g_02072
OG0000108	Syad.g_00904	Prah.g_01566
OG0000109	Syad.g_00919	Prah.g_01550
OG0000110	Syad.g_01048	Prah.g_01439
OG0000111	Syad.g_01300	Prah.g_01028
OG0000112	Syad.g_01766	Prah.g_00788
OG0000113	Syad.g_01851	Prah.g_00641
OG0000114	Syad.g_01617	Prah.g_00733
OG0000115	Syad.g_02300	Prah.g_00383
OG0000116	Syad.g_01123	Prah.g_01337
OG0000117	Syad.g_01510	Prah.g_01257
OG0000118	Syad.g_01104	Prah.g_01378
OG0000119	Syad.g_01168	Prah.g_01007, Prah.g_01048
OG0000120	Syad.g_00459	Prah.g_02192
OG0000121	Syad.g_02280	Prah.g_00406
OG0000122	Syad.g_02122	Prah.g_01203
OG0000123	Syad.g_00701	Prah.g_01987
OG0000124	Syad.g_00320	Prah.g_00125
OG0000125	Syad.g_03040	Prah.g_02498
OG0000126	Syad.g_00156	Prah.g_02598
OG0000128	Syad.g_00174	Prah.g_00013
OG0000129	Syad.g_03028	Prah.g_02486
OG0000130	Syad.g_02728	Prah.g_01838
OG0000131	Syad.g_02876	Prah.g_02282
OG0000132	Syad.g_02897	Prah.g_02302
OG0000133	Syad.g_01761	Prah.g_02187
OG0000134	Syad.g_00788	Prah.g_00208
OG0000135	Syad.g_00063	Prah.g_02538
OG0000136	Syad.g_02445	Prah.g_00235
OG0000137	Syad.g_02353	Prah.g_00312
OG0000138	Syad.g_00920	Prah.g_01549
OG0000139	Syad.g_00983	Prah.g_01495
OG0000140	Syad.g_00987	Prah.g_01489
OG0000141	Syad.g_02208	Prah.g_01393
OG0000142	Syad.g_02152	Prah.g_00501
OG0000143	Syad.g_02148	Prah.g_00497
OG0000144	Syad.g_02024	Prah.g_00473
OG0000145	Syad.g_00927	Prah.g_01543
OG0000146	Syad.g_01767	Prah.g_00787
OG0000147	Syad.g_01768	Prah.g_00786
OG0000148	Syad.g_01861	Prah.g_00649
OG0000149	Syad.g_01221	Prah.g_00591
OG0000150	Syad.g_02207, Syad.g_00989	Prah.g_00568
OG0000151	Syad.g_01956	Prah.g_00718
OG0000152	Syad.g_01757	Prah.g_00796
OG0000153	Syad.g_01713	Prah.g_00826
OG0000154	Syad.g_01686	Prah.g_00852
OG0000155	Syad.g_01189	Prah.g_01291
OG0000156	Syad.g_01116	Prah.g_01349
OG0000157	Syad.g_01115	Prah.g_01350
OG0000158	Syad.g_00374	Prah.g_02242
OG0000160	Syad.g_02279	Prah.g_00407
OG0000161	Syad.g_02287	Prah.g_00399
OG0000162	Syad.g_02293	Prah.g_00391
OG0000163	Syad.g_02542	Prah.g_01619
OG0000164	Syad.g_02659	Prah.g_01705
OG0000165	Syad.g_02476	Prah.g_01716
OG0000166	Syad.g_00654	Prah.g_02033
OG0000167	Syad.g_00419	Prah.g_02230
OG0000168	Syad.g_00371	Prah.g_02243
OG0000169	Syad.g_00360	Prah.g_00163
OG0000170	Syad.g_00353	Prah.g_00155
OG0000171	Syad.g_00321	Prah.g_00126
OG0000172	Syad.g_00244	Prah.g_00084
OG0000173	Syad.g_00220	Prah.g_00061
OG0000174	Syad.g_00065	Prah.g_02541
OG0000175	Syad.g_00129	Prah.g_02575
OG0000176	Syad.g_00166	Prah.g_00005
OG0000177	Syad.g_00167	Prah.g_00006
OG0000178	Syad.g_00168	Prah.g_00007
OG0000179	Syad.g_00183	Prah.g_00022
OG0000180	Syad.g_00184	Prah.g_00023
OG0000181	Syad.g_00185	Prah.g_00024
OG0000182	Syad.g_00186	Prah.g_00025
OG0000183	Syad.g_00190	Prah.g_00029
OG0000184	Syad.g_03018	Prah.g_02478
OG0000185	Syad.g_03006	Prah.g_02458
OG0000186	Syad.g_02722	Prah.g_01830
OG0000187	Syad.g_02724	Prah.g_01833
OG0000188	Syad.g_02759	Prah.g_01860
OG0000189	Syad.g_02788	Prah.g_01884
OG0000190	Syad.g_02790	Prah.g_01886
OG0000191	Syad.g_02824	Prah.g_00188
OG0000192	Syad.g_02834	Prah.g_00176, Prah.g_00180
OG0000193	Syad.g_02877	Prah.g_02283
OG0000194	Syad.g_02880	Prah.g_02286
OG0000195	Syad.g_02884	Prah.g_02288
OG0000196	Syad.g_02894	Prah.g_02299
OG0000197	Syad.g_02895	Prah.g_02300
OG0000198	Syad.g_02896	Prah.g_02301
OG0000199	Syad.g_02904	Prah.g_02308
OG0000200	Syad.g_02921	Prah.g_02324
OG0000201	Syad.g_02937	Prah.g_02352
OG0000202	Syad.g_02938	Prah.g_02353
OG0000203	Syad.g_02939	Prah.g_02354
OG0000204	Syad.g_02940	Prah.g_02355
OG0000205	Syad.g_02948	Prah.g_02362
OG0000206	Syad.g_02955	Prah.g_02371
OG0000207	Syad.g_02957	Prah.g_02420
OG0000208	Syad.g_02958	Prah.g_02419
OG0000209	Syad.g_02981	Prah.g_02400
OG0000210	Syad.g_02982	Prah.g_02399
OG0000211	Syad.g_00813	Prah.g_01782
OG0000212	Syad.g_00825	Prah.g_01772
OG0000213	Syad.g_00556	Prah.g_02101
OG0000214	Syad.g_00538	Prah.g_02118
OG0000215	Syad.g_00508	Prah.g_02148
OG0000216	Syad.g_00285	Prah.g_02151
OG0000217	Syad.g_00500	Prah.g_02155
OG0000218	Syad.g_00498	Prah.g_02157
OG0000219	Syad.g_00497	Prah.g_02158
OG0000220	Syad.g_00496	Prah.g_02159
OG0000221	Syad.g_00488	Prah.g_02166
OG0000222	Syad.g_00473	Prah.g_02174
OG0000223	Syad.g_00451	Prah.g_02197
OG0000224	Syad.g_00444	Prah.g_02207
OG0000225	Syad.g_00777	Prah.g_01921
OG0000226	Syad.g_00781	Prah.g_01917
OG0000227	Syad.g_00783	Prah.g_01915
OG0000228	Syad.g_00784	Prah.g_00204
OG0000229	Syad.g_02450	Prah.g_00230
OG0000230	Syad.g_02448	Prah.g_00232
OG0000231	Syad.g_02436	Prah.g_00251
OG0000232	Syad.g_02392	Prah.g_00261
OG0000233	Syad.g_02382	Prah.g_00294
OG0000234	Syad.g_02351	Prah.g_00313, Prah.g_00314
OG0000235	Syad.g_00903	Prah.g_01567
OG0000236	Syad.g_00918	Prah.g_01551
OG0000237	Syad.g_00936	Prah.g_01534
OG0000238	Syad.g_00941	Prah.g_01529
OG0000239	Syad.g_00957	Prah.g_01513
OG0000240	Syad.g_00958	Prah.g_01512
OG0000241	Syad.g_02160	Prah.g_01094
OG0000242	Syad.g_00975	Prah.g_00108, Prah.g_01503
OG0000243	Syad.g_01000	Prah.g_01476
OG0000244	Syad.g_01012	Prah.g_01472
OG0000245	Syad.g_01014	Prah.g_01469
OG0000246	Syad.g_01017	Prah.g_01465
OG0000247	Syad.g_01029	Prah.g_01454
OG0000248	Syad.g_01032	Prah.g_01451
OG0000249	Syad.g_01034	Prah.g_01449
OG0000250	Syad.g_01044	Prah.g_01443
OG0000251	Syad.g_01071	Prah.g_01417
OG0000252	Syad.g_01078	Prah.g_01414
OG0000253	Syad.g_01081	Prah.g_01408
OG0000254	Syad.g_02203	Prah.g_01389
OG0000255	Syad.g_02185	Prah.g_00530
OG0000256	Syad.g_02167	Prah.g_00516
OG0000257	Syad.g_02161	Prah.g_00509
OG0000258	Syad.g_02143	Prah.g_00486
OG0000259	Syad.g_01576	Prah.g_00457
OG0000260	Syad.g_01587	Prah.g_00454
OG0000261	Syad.g_01590	Prah.g_00451
OG0000262	Syad.g_01595	Prah.g_00445
OG0000263	Syad.g_01475	Prah.g_02413
OG0000264	Syad.g_01360	Prah.g_00974
OG0000265	Syad.g_01383	Prah.g_00958
OG0000266	Syad.g_01804	Prah.g_00876
OG0000267	Syad.g_01645	Prah.g_00751
OG0000268	Syad.g_01646	Prah.g_00752
OG0000269	Syad.g_01894	Prah.g_00672
OG0000270	Syad.g_01891	Prah.g_00669
OG0000271	Syad.g_01883	Prah.g_00661
OG0000272	Syad.g_01882	Prah.g_00660
OG0000273	Syad.g_01247	Prah.g_00609
OG0000274	Syad.g_01246	Prah.g_00608
OG0000275	Syad.g_01242	Prah.g_00605
OG0000276	Syad.g_01229	Prah.g_00599
OG0000277	Syad.g_01228	Prah.g_00598
OG0000278	Syad.g_01225	Prah.g_00595
OG0000279	Syad.g_01208	Prah.g_00587
OG0000280	Syad.g_01198	Prah.g_00581
OG0000281	Syad.g_00624	Prah.g_00566
OG0000282	Syad.g_01619	Prah.g_00731
OG0000283	Syad.g_01661	Prah.g_00761
OG0000284	Syad.g_01787	Prah.g_00767
OG0000285	Syad.g_01776	Prah.g_01178
OG0000286	Syad.g_01758	Prah.g_00795
OG0000287	Syad.g_01720	Prah.g_01131
OG0000288	Syad.g_01687	Prah.g_00851
OG0000289	Syad.g_01672	Prah.g_00864
OG0000290	Syad.g_01287	Prah.g_00912
OG0000291	Syad.g_01289	Prah.g_00914
OG0000292	Syad.g_00155	Prah.g_02597
OG0000293	Syad.g_01124	Prah.g_01336
OG0000294	Syad.g_01125	Prah.g_01335
OG0000295	Syad.g_01181	Prah.g_01298
OG0000296	Syad.g_01183	Prah.g_01296
OG0000297	Syad.g_01512	Prah.g_01259
OG0000298	Syad.g_01511	Prah.g_01258
OG0000299	Syad.g_01462	Prah.g_01268
OG0000300	Syad.g_01455	Prah.g_01275
OG0000301	Syad.g_01454	Prah.g_01276
OG0000302	Syad.g_01453	Prah.g_01279
OG0000303	Syad.g_01442	Prah.g_01289
OG0000304	Syad.g_01436	Prah.g_01237, Prah.g_01238
OG0000305	Syad.g_01292	Prah.g_00918
OG0000306	Syad.g_01989	Prah.g_00560
OG0000307	Syad.g_00883	Prah.g_01584
OG0000308	Syad.g_00881	Prah.g_01586
OG0000309	Syad.g_00876	Prah.g_01590
OG0000310	Syad.g_02250	Prah.g_00428
OG0000311	Syad.g_02254	Prah.g_00424
OG0000312	Syad.g_02265	Prah.g_00420
OG0000313	Syad.g_02284	Prah.g_00402
OG0000314	Syad.g_02313, Syad.g_02231	Prah.g_00371
OG0000315	Syad.g_02323	Prah.g_00361
OG0000316	Syad.g_02564	Prah.g_01631
OG0000317	Syad.g_02620	Prah.g_01672
OG0000318	Syad.g_02624	Prah.g_01677
OG0000319	Syad.g_02642	Prah.g_01694
OG0000320	Syad.g_02644	Prah.g_01696
OG0000321	Syad.g_02645	Prah.g_01697
OG0000322	Syad.g_02646	Prah.g_01698
OG0000323	Syad.g_02661	Prah.g_01710
OG0000324	Syad.g_02505	Prah.g_01744
OG0000325	Syad.g_00591	Prah.g_02071
OG0000326	Syad.g_00598	Prah.g_02064
OG0000327	Syad.g_00649	Prah.g_02038
OG0000328	Syad.g_00650	Prah.g_02037
OG0000329	Syad.g_00668	Prah.g_02020
OG0000330	Syad.g_00669	Prah.g_02019
OG0000331	Syad.g_00670	Prah.g_02018
OG0000332	Syad.g_00685	Prah.g_02003
OG0000333	Syad.g_00688	Prah.g_02001
OG0000334	Syad.g_00697	Prah.g_01991
OG0000335	Syad.g_00702	Prah.g_01986
OG0000336	Syad.g_00706	Prah.g_01982
OG0000337	Syad.g_00425, Syad.g_00427	Prah.g_02224
OG0000338	Syad.g_00421	Prah.g_02227
OG0000339	Syad.g_00414	Prah.g_02234
OG0000340	Syad.g_00370	Prah.g_02244
OG0000341	Syad.g_00368	Prah.g_02246
OG0000342	Syad.g_00367	Prah.g_02247
OG0000343	Syad.g_00366	Prah.g_00168
OG0000344	Syad.g_00362	Prah.g_00165
OG0000345	Syad.g_00352	Prah.g_00154
OG0000346	Syad.g_00347	Prah.g_00149
OG0000347	Syad.g_00318	Prah.g_00089
OG0000348	Syad.g_00233	Prah.g_00078
OG0000349	Syad.g_00213	Prah.g_00053
OG0000350	Syad.g_00605	Prah.g_02533
OG0000351	Syad.g_00134	Prah.g_02578
OG0000352	Syad.g_00135	Prah.g_02579
OG0000353	Syad.g_00161	Prah.g_02603
OG0000354	Syad.g_00947	Prah.g_01523
OG0000354	Syad.g_00181	Prah.g_00020
OG0000355	Syad.g_00163	Prah.g_00002
OG0000356	Syad.g_00164	Prah.g_00003
OG0000357	Syad.g_00165	Prah.g_00004
OG0000358	Syad.g_00169	Prah.g_00008
OG0000359	Syad.g_00171	Prah.g_00010
OG0000360	Syad.g_00172	Prah.g_00011
OG0000361	Syad.g_00173	Prah.g_00012
OG0000362	Syad.g_00175	Prah.g_00014
OG0000363	Syad.g_00177	Prah.g_00016
OG0000364	Syad.g_00178	Prah.g_00017
OG0000365	Syad.g_00187	Prah.g_00026
OG0000366	Syad.g_00188	Prah.g_00027
OG0000367	Syad.g_00189	Prah.g_00028
OG0000368	Syad.g_00191	Prah.g_00030
OG0000369	Syad.g_00192	Prah.g_00031
OG0000370	Syad.g_00193	Prah.g_00032
OG0000371	Syad.g_00201	Prah.g_00041
OG0000372	Syad.g_00206	Prah.g_00046
OG0000373	Syad.g_00207	Prah.g_00047
OG0000374	Syad.g_00208	Prah.g_00048
OG0000375	Syad.g_00209	Prah.g_00049
OG0000376	Syad.g_00211	Prah.g_00051
OG0000377	Syad.g_03027	Prah.g_02485
OG0000378	Syad.g_03012	Prah.g_02471
OG0000379	Syad.g_03005	Prah.g_02457
OG0000380	Syad.g_02725	Prah.g_01834
OG0000381	Syad.g_02729	Prah.g_01839
OG0000382	Syad.g_02758	Prah.g_01859
OG0000383	Syad.g_02761	Prah.g_01861
OG0000384	Syad.g_02762	Prah.g_01862
OG0000385	Syad.g_02763	Prah.g_01863
OG0000386	Syad.g_02764	Prah.g_01864
OG0000387	Syad.g_02792	Prah.g_01888
OG0000388	Syad.g_02796	Prah.g_01892
OG0000389	Syad.g_02800	Prah.g_01896
OG0000390	Syad.g_02818	Prah.g_00194
OG0000391	Syad.g_02823	Prah.g_00189
OG0000392	Syad.g_02833	Prah.g_00183
OG0000393	Syad.g_02837	Prah.g_00175
OG0000394	Syad.g_02838	Prah.g_00174
OG0000395	Syad.g_02839	Prah.g_00173
OG0000396	Syad.g_02843	Prah.g_02252
OG0000397	Syad.g_02845	Prah.g_02254
OG0000398	Syad.g_02850	Prah.g_02259
OG0000399	Syad.g_02851	Prah.g_02260
OG0000400	Syad.g_02852	Prah.g_02261
OG0000401	Syad.g_02853	Prah.g_02262
OG0000402	Syad.g_02855	Prah.g_02264
OG0000403	Syad.g_02856	Prah.g_02265
OG0000405	Syad.g_02874	Prah.g_02280
OG0000406	Syad.g_02878	Prah.g_02284
OG0000407	Syad.g_02879	Prah.g_02285
OG0000408	Syad.g_02883	Prah.g_02287
OG0000409	Syad.g_02885	Prah.g_02289
OG0000410	Syad.g_02886	Prah.g_02290
OG0000411	Syad.g_02887	Prah.g_02291
OG0000412	Syad.g_02888	Prah.g_02292
OG0000413	Syad.g_02890	Prah.g_02294
OG0000415	Syad.g_02891	Prah.g_02296
OG0000416	Syad.g_02892	Prah.g_02297
OG0000417	Syad.g_02893	Prah.g_02298
OG0000418	Syad.g_02898	Prah.g_02303
OG0000419	Syad.g_02900	Prah.g_02305
OG0000420	Syad.g_02902	Prah.g_02306
OG0000421	Syad.g_02907	Prah.g_02310
OG0000422	Syad.g_02908	Prah.g_02311
OG0000423	Syad.g_02909	Prah.g_02312
OG0000424	Syad.g_02910	Prah.g_02313
OG0000425	Syad.g_02911	Prah.g_02314
OG0000426	Syad.g_02912	Prah.g_02315
OG0000427	Syad.g_02913	Prah.g_02316
OG0000428	Syad.g_02916	Prah.g_00709
OG0000429	Syad.g_02918	Prah.g_02321
OG0000430	Syad.g_02920	Prah.g_02323
OG0000431	Syad.g_02923	Prah.g_02334
OG0000432	Syad.g_02930	Prah.g_02341
OG0000433	Syad.g_02933	Prah.g_02344
OG0000434	Syad.g_02934	Prah.g_02345
OG0000435	Syad.g_02936	Prah.g_02350
OG0000436	Syad.g_02942	Prah.g_02356
OG0000437	Syad.g_02943	Prah.g_02357
OG0000438	Syad.g_02944	Prah.g_02358
OG0000439	Syad.g_02946	Prah.g_02360
OG0000440	Syad.g_02947	Prah.g_02361
OG0000441	Syad.g_02951	Prah.g_02364
OG0000442	Syad.g_02952	Prah.g_02365
OG0000443	Syad.g_02953	Prah.g_02370
OG0000444	Syad.g_02964	Prah.g_02418
OG0000445	Syad.g_02965	Prah.g_02417
OG0000446	Syad.g_02967	Prah.g_02415
OG0000447	Syad.g_02970	Prah.g_02411
OG0000448	Syad.g_02971	Prah.g_02410
OG0000449	Syad.g_02972	Prah.g_02409
OG0000450	Syad.g_02978	Prah.g_02403
OG0000451	Syad.g_02979	Prah.g_02402
OG0000452	Syad.g_02983	Prah.g_02398
OG0000453	Syad.g_02984	Prah.g_02397
OG0000454	Syad.g_02985	Prah.g_02396
OG0000455	Syad.g_02986	Prah.g_02395
OG0000456	Syad.g_02987	Prah.g_02394
OG0000457	Syad.g_02989	Prah.g_02392
OG0000458	Syad.g_02998	Prah.g_02391
OG0000459	Syad.g_02999	Prah.g_02390
OG0000460	Syad.g_00815	Prah.g_01781
OG0000461	Syad.g_00579	Prah.g_02074
OG0000462	Syad.g_00576	Prah.g_02078
OG0000463	Syad.g_00575	Prah.g_02079
OG0000464	Syad.g_00574	Prah.g_02080
OG0000465	Syad.g_00573	Prah.g_02082
OG0000466	Syad.g_00568	Prah.g_02087
OG0000467	Syad.g_00566	Prah.g_02089
OG0000468	Syad.g_00561	Prah.g_02098
OG0000469	Syad.g_00545	Prah.g_02111
OG0000470	Syad.g_00542	Prah.g_02114
OG0000471	Syad.g_00541	Prah.g_02115
OG0000472	Syad.g_00539	Prah.g_02117
OG0000473	Syad.g_00537	Prah.g_02119
OG0000474	Syad.g_00536	Prah.g_02120
OG0000475	Syad.g_00535	Prah.g_02121
OG0000476	Syad.g_00533	Prah.g_02123
OG0000477	Syad.g_00528	Prah.g_02128
OG0000478	Syad.g_00527	Prah.g_02129
OG0000479	Syad.g_00526	Prah.g_02130
OG0000480	Syad.g_00520	Prah.g_02137
OG0000481	Syad.g_00518	Prah.g_02139
OG0000482	Syad.g_00517	Prah.g_02140
OG0000483	Syad.g_00513	Prah.g_02144
OG0000484	Syad.g_00512	Prah.g_02145
OG0000485	Syad.g_00511	Prah.g_02146
OG0000486	Syad.g_00510	Prah.g_02147
OG0000487	Syad.g_00503	Prah.g_02152
OG0000488	Syad.g_00499	Prah.g_02156
OG0000489	Syad.g_00487	Prah.g_02167
OG0000490	Syad.g_00475	Prah.g_02172
OG0000491	Syad.g_00474	Prah.g_02173
OG0000492	Syad.g_00472	Prah.g_02175
OG0000493	Syad.g_00471	Prah.g_02176
OG0000494	Syad.g_00470	Prah.g_02177
OG0000495	Syad.g_00469	Prah.g_02178
OG0000496	Syad.g_00468	Prah.g_02179
OG0000497	Syad.g_00467	Prah.g_02180
OG0000498	Syad.g_00466	Prah.g_02181
OG0000499	Syad.g_00465	Prah.g_02182
OG0000500	Syad.g_00464	Prah.g_02183
OG0000501	Syad.g_00461	Prah.g_02186
OG0000502	Syad.g_00449	Prah.g_02199
OG0000503	Syad.g_00761	Prah.g_01940
OG0000504	Syad.g_00763	Prah.g_01938
OG0000505	Syad.g_00764	Prah.g_01937
OG0000506	Syad.g_00766	Prah.g_01935
OG0000507	Syad.g_00772	Prah.g_01930
OG0000508	Syad.g_00776	Prah.g_01922
OG0000509	Syad.g_00778	Prah.g_01920
OG0000510	Syad.g_00779	Prah.g_01919
OG0000511	Syad.g_00780	Prah.g_01918
OG0000512	Syad.g_00782	Prah.g_01916
OG0000513	Syad.g_00789	Prah.g_00209
OG0000514	Syad.g_00795	Prah.g_00218
OG0000515	Syad.g_00796	Prah.g_00219
OG0000516	Syad.g_02456	Prah.g_00221
OG0000517	Syad.g_02451	Prah.g_00229
OG0000518	Syad.g_02439	Prah.g_00241
OG0000519	Syad.g_02438	Prah.g_00242
OG0000520	Syad.g_02437	Prah.g_00247
OG0000521	Syad.g_01108	Prah.g_00255
OG0000522	Syad.g_01109	Prah.g_00257
OG0000523	Syad.g_01110	Prah.g_00258
OG0000524	Syad.g_02386	Prah.g_00290
OG0000525	Syad.g_02363	Prah.g_00304
OG0000526	Syad.g_02360	Prah.g_00306
OG0000527	Syad.g_02355	Prah.g_00310
OG0000528	Syad.g_00897	Prah.g_01572
OG0000529	Syad.g_00905	Prah.g_01565
OG0000530	Syad.g_00908	Prah.g_01562
OG0000531	Syad.g_00909	Prah.g_01561
OG0000532	Syad.g_00912	Prah.g_01558
OG0000533	Syad.g_00913	Prah.g_01556
OG0000534	Syad.g_00914	Prah.g_01555
OG0000535	Syad.g_00915	Prah.g_01554
OG0000536	Syad.g_00916	Prah.g_01553
OG0000537	Syad.g_00917	Prah.g_01552
OG0000538	Syad.g_00929	Prah.g_01541
OG0000539	Syad.g_00930	Prah.g_01540
OG0000540	Syad.g_00931	Prah.g_01539
OG0000541	Syad.g_00932	Prah.g_01538
OG0000542	Syad.g_00935	Prah.g_01535
OG0000543	Syad.g_00937	Prah.g_01533
OG0000544	Syad.g_00938	Prah.g_01532
OG0000545	Syad.g_00940	Prah.g_01530
OG0000546	Syad.g_00942	Prah.g_01528
OG0000547	Syad.g_00944	Prah.g_01526
OG0000548	Syad.g_00945	Prah.g_01525
OG0000549	Syad.g_00952	Prah.g_01519
OG0000550	Syad.g_00956	Prah.g_01514
OG0000551	Syad.g_00960	Prah.g_01510
OG0000552	Syad.g_00961	Prah.g_01509
OG0000553	Syad.g_00965	Prah.g_01505
OG0000554	Syad.g_00978	Prah.g_01500
OG0000555	Syad.g_00999	Prah.g_01480
OG0000556	Syad.g_01003	Prah.g_01474
OG0000557	Syad.g_01011	Prah.g_01473
OG0000558	Syad.g_01013	Prah.g_01470
OG0000559	Syad.g_01016	Prah.g_01466
OG0000560	Syad.g_01019	Prah.g_01463
OG0000561	Syad.g_01020	Prah.g_01462
OG0000562	Syad.g_01021	Prah.g_01461
OG0000563	Syad.g_01022	Prah.g_01460
OG0000564	Syad.g_01023	Prah.g_01459
OG0000565	Syad.g_01027	Prah.g_01457
OG0000566	Syad.g_01031	Prah.g_01452
OG0000567	Syad.g_01035	Prah.g_01448
