Orthogroup	Syad	Prbg
OG0000090	Syad.g_00977	Prbg.g_00250
OG0000091	Syad.g_02144	Prbg.g_01414
OG0000093	Syad.g_01905	Prbg.g_01385
OG0000094	Syad.g_01676	Prbg.g_01336
OG0000095	Syad.g_01290	Prbg.g_01234
OG0000097	Syad.g_01458	Prbg.g_01440
OG0000098	Syad.g_00625	Prbg.g_00505
OG0000099	Syad.g_00460	Prbg.g_00552
OG0000100	Syad.g_01846	Prbg.g_00670
OG0000101	Syad.g_00694	Prbg.g_01785
OG0000102	Syad.g_00343	Prbg.g_01852
OG0000103	Syad.g_00143	Prbg.g_01937
OG0000104	Syad.g_00158	Prbg.g_00763
OG0000105	Syad.g_00530	Prbg.g_00053
OG0000106	Syad.g_01993	Prbg.g_00388
OG0000107	Syad.g_00590	Prbg.g_01714
OG0000108	Syad.g_00904	Prbg.g_00199
OG0000109	Syad.g_00919	Prbg.g_00213
OG0000110	Syad.g_01048	Prbg.g_00293
OG0000111	Syad.g_01300	Prbg.g_01144
OG0000112	Syad.g_01766	Prbg.g_00366
OG0000113	Syad.g_01851	Prbg.g_01182
OG0000114	Syad.g_01617	Prbg.g_01084
OG0000115	Syad.g_02300	Prbg.g_01555
OG0000116	Syad.g_01123	Prbg.g_01497
OG0000117	Syad.g_01510	Prbg.g_01459
OG0000118	Syad.g_01104	Prbg.g_00490
OG0000119	Syad.g_01168	Prbg.g_01540, Prbg.g_00688
OG0000120	Syad.g_00459	Prbg.g_00549
OG0000121	Syad.g_02280	Prbg.g_00593
OG0000122	Syad.g_02122	Prbg.g_00448, Prbg.g_00634
OG0000123	Syad.g_00701	Prbg.g_01792
OG0000124	Syad.g_00320	Prbg.g_01864
OG0000125	Syad.g_03040	Prbg.g_01900
OG0000126	Syad.g_00156	Prbg.g_00762
OG0000128	Syad.g_00174	Prbg.g_00778
OG0000129	Syad.g_03028	Prbg.g_00829
OG0000130	Syad.g_02728	Prbg.g_00800
OG0000131	Syad.g_02876	Prbg.g_00922
OG0000132	Syad.g_02897	Prbg.g_00942
OG0000133	Syad.g_01761	Prbg.g_00100
OG0000134	Syad.g_00788	Prbg.g_00139
OG0000135	Syad.g_00063	Prbg.g_00459
OG0000136	Syad.g_02445	Prbg.g_00161
OG0000137	Syad.g_02353	Prbg.g_00194
OG0000138	Syad.g_00920	Prbg.g_00214
OG0000139	Syad.g_00983	Prbg.g_00254
OG0000140	Syad.g_00987	Prbg.g_00255
OG0000141	Syad.g_02208	Prbg.g_00327
OG0000142	Syad.g_02152	Prbg.g_01422
OG0000143	Syad.g_02148	Prbg.g_01418
OG0000144	Syad.g_02024	Prbg.g_01404
OG0000145	Syad.g_00927	Prbg.g_00461
OG0000146	Syad.g_01767	Prbg.g_00365
OG0000147	Syad.g_01768	Prbg.g_00364
OG0000148	Syad.g_01861	Prbg.g_01176
OG0000149	Syad.g_01221	Prbg.g_01208
OG0000150	Syad.g_02207, Syad.g_00989	Prbg.g_01218
OG0000151	Syad.g_01956	Prbg.g_01094
OG0000152	Syad.g_01757	Prbg.g_01287
OG0000153	Syad.g_01713	Prbg.g_01306
OG0000154	Syad.g_01686	Prbg.g_01326
OG0000155	Syad.g_01189	Prbg.g_01465
OG0000156	Syad.g_01116	Prbg.g_00466
OG0000157	Syad.g_01115	Prbg.g_00467
OG0000158	Syad.g_00374	Prbg.g_01829
OG0000159	Syad.g_00373	Prbg.g_00809
OG0000160	Syad.g_02279	Prbg.g_00592
OG0000161	Syad.g_02287	Prbg.g_00598
OG0000162	Syad.g_02293	Prbg.g_00604
OG0000163	Syad.g_02542	Prbg.g_00643
OG0000164	Syad.g_02659	Prbg.g_01674
OG0000165	Syad.g_02476	Prbg.g_01681
OG0000166	Syad.g_00654	Prbg.g_01748
OG0000167	Syad.g_00419	Prbg.g_01819
OG0000168	Syad.g_00371	Prbg.g_01830
OG0000169	Syad.g_00360	Prbg.g_01840
OG0000170	Syad.g_00353	Prbg.g_01843
OG0000171	Syad.g_00321	Prbg.g_01863
OG0000172	Syad.g_00244	Prbg.g_01870
OG0000173	Syad.g_00220	Prbg.g_01885
OG0000174	Syad.g_00065	Prbg.g_01915
OG0000175	Syad.g_00129	Prbg.g_01928
OG0000176	Syad.g_00166	Prbg.g_00771
OG0000177	Syad.g_00167	Prbg.g_00772
OG0000178	Syad.g_00168	Prbg.g_00773
OG0000179	Syad.g_00183	Prbg.g_00858
OG0000180	Syad.g_00184	Prbg.g_00857
OG0000181	Syad.g_00185	Prbg.g_00856
OG0000182	Syad.g_00186	Prbg.g_00855
OG0000183	Syad.g_00190	Prbg.g_00851
OG0000184	Syad.g_03018	Prbg.g_00825
OG0000185	Syad.g_03006	Prbg.g_00822
OG0000186	Syad.g_02722	Prbg.g_00806
OG0000187	Syad.g_02724	Prbg.g_00805
OG0000188	Syad.g_02759	Prbg.g_00788
OG0000189	Syad.g_02788	Prbg.g_00866
OG0000190	Syad.g_02790	Prbg.g_00868
OG0000191	Syad.g_02824	Prbg.g_00891
OG0000192	Syad.g_02834	Prbg.g_00896
OG0000193	Syad.g_02877	Prbg.g_00923
OG0000194	Syad.g_02880	Prbg.g_00926
OG0000195	Syad.g_02884	Prbg.g_00928
OG0000196	Syad.g_02894	Prbg.g_00939
OG0000197	Syad.g_02895	Prbg.g_00940
OG0000198	Syad.g_02896	Prbg.g_00941
OG0000199	Syad.g_02904	Prbg.g_00948
OG0000200	Syad.g_02921	Prbg.g_00962
OG0000201	Syad.g_02937	Prbg.g_00971
OG0000202	Syad.g_02938	Prbg.g_00972
OG0000203	Syad.g_02939	Prbg.g_00973
OG0000204	Syad.g_02940	Prbg.g_00974
OG0000205	Syad.g_02948	Prbg.g_00981
OG0000206	Syad.g_02955	Prbg.g_00986
OG0000207	Syad.g_02957	Prbg.g_00989
OG0000208	Syad.g_02958	Prbg.g_00990
OG0000209	Syad.g_02981	Prbg.g_00999
OG0000210	Syad.g_02982	Prbg.g_01000
OG0000211	Syad.g_00813	Prbg.g_01015
OG0000212	Syad.g_00825	Prbg.g_01023
OG0000213	Syad.g_00556	Prbg.g_01041
OG0000214	Syad.g_00538	Prbg.g_00046
OG0000215	Syad.g_00508	Prbg.g_00073
OG0000216	Syad.g_00504, Syad.g_00285	Prbg.g_00074
OG0000217	Syad.g_00500	Prbg.g_00077
OG0000218	Syad.g_00498	Prbg.g_00079
OG0000219	Syad.g_00497	Prbg.g_00080
OG0000220	Syad.g_00496	Prbg.g_00081
OG0000221	Syad.g_00488	Prbg.g_00082
OG0000222	Syad.g_00473	Prbg.g_00089
OG0000223	Syad.g_00451	Prbg.g_00101
OG0000224	Syad.g_00444	Prbg.g_00103
OG0000225	Syad.g_00777	Prbg.g_00129
OG0000226	Syad.g_00781	Prbg.g_01941
OG0000227	Syad.g_00783	Prbg.g_01943
OG0000228	Syad.g_00784	Prbg.g_00136
OG0000229	Syad.g_02450	Prbg.g_00156
OG0000230	Syad.g_02448	Prbg.g_00158
OG0000231	Syad.g_02436	Prbg.g_00169
OG0000232	Syad.g_02392	Prbg.g_00180
OG0000233	Syad.g_02382	Prbg.g_00186
OG0000234	Syad.g_02351	Prbg.g_00195
OG0000235	Syad.g_00903	Prbg.g_00198
OG0000236	Syad.g_00918	Prbg.g_00212
OG0000237	Syad.g_00936	Prbg.g_00225
OG0000238	Syad.g_00941	Prbg.g_00231
OG0000239	Syad.g_00957	Prbg.g_00242
OG0000240	Syad.g_00958	Prbg.g_00243
OG0000241	Syad.g_02160	Prbg.g_00247
OG0000242	Syad.g_00975	Prbg.g_00249
OG0000243	Syad.g_01000	Prbg.g_00260
OG0000244	Syad.g_01012	Prbg.g_00264
OG0000245	Syad.g_01014	Prbg.g_00266
OG0000246	Syad.g_01017	Prbg.g_00270
OG0000247	Syad.g_01029	Prbg.g_00280
OG0000248	Syad.g_01032	Prbg.g_00283
OG0000249	Syad.g_01034	Prbg.g_00285
OG0000250	Syad.g_01044	Prbg.g_00290
OG0000251	Syad.g_01071	Prbg.g_00310
OG0000252	Syad.g_01078	Prbg.g_00313
OG0000253	Syad.g_01081	Prbg.g_00314
OG0000254	Syad.g_02203	Prbg.g_00331
OG0000255	Syad.g_02185	Prbg.g_00337
OG0000256	Syad.g_02167	Prbg.g_00347
OG0000257	Syad.g_02161	Prbg.g_01427
OG0000258	Syad.g_02143	Prbg.g_01413
OG0000259	Syad.g_01576	Prbg.g_01396
OG0000260	Syad.g_01587	Prbg.g_01393
OG0000261	Syad.g_01590	Prbg.g_01390
OG0000262	Syad.g_01595	Prbg.g_01386
OG0000263	Syad.g_01475	Prbg.g_01122
OG0000264	Syad.g_01360	Prbg.g_01133
OG0000265	Syad.g_01383	Prbg.g_01151
OG0000266	Syad.g_01804	Prbg.g_01367
OG0000267	Syad.g_01645	Prbg.g_01355
OG0000268	Syad.g_01646	Prbg.g_01354
OG0000269	Syad.g_01894	Prbg.g_01154
OG0000270	Syad.g_01891	Prbg.g_01157
OG0000271	Syad.g_01883	Prbg.g_01165
OG0000272	Syad.g_01882	Prbg.g_01166
OG0000273	Syad.g_01247	Prbg.g_01190
OG0000274	Syad.g_01246	Prbg.g_01191
OG0000275	Syad.g_01242	Prbg.g_01194
OG0000276	Syad.g_01229	Prbg.g_01200
OG0000277	Syad.g_01228	Prbg.g_01201
OG0000278	Syad.g_01225	Prbg.g_01204
OG0000279	Syad.g_01208	Prbg.g_01211
OG0000280	Syad.g_01198	Prbg.g_01212
OG0000281	Syad.g_00624	Prbg.g_01219
OG0000282	Syad.g_01619	Prbg.g_01086
OG0000283	Syad.g_01661	Prbg.g_01263
OG0000284	Syad.g_01787	Prbg.g_01268
OG0000285	Syad.g_01776	Prbg.g_01273
OG0000286	Syad.g_01758	Prbg.g_01286
OG0000287	Syad.g_01720	Prbg.g_01552
OG0000288	Syad.g_01687	Prbg.g_01325
OG0000289	Syad.g_01672	Prbg.g_01341
OG0000290	Syad.g_01287	Prbg.g_01237
OG0000291	Syad.g_01289	Prbg.g_01235
OG0000292	Syad.g_00155	Prbg.g_01531
OG0000293	Syad.g_01124	Prbg.g_01496
OG0000294	Syad.g_01125	Prbg.g_01495
OG0000295	Syad.g_01181	Prbg.g_01472
OG0000296	Syad.g_01183	Prbg.g_01470
OG0000297	Syad.g_01512	Prbg.g_01461
OG0000298	Syad.g_01511	Prbg.g_01460
OG0000299	Syad.g_01462	Prbg.g_01441
OG0000300	Syad.g_01455	Prbg.g_01438
OG0000301	Syad.g_01454	Prbg.g_01437
OG0000302	Syad.g_01453	Prbg.g_01435
OG0000303	Syad.g_01442	Prbg.g_01429
OG0000304	Syad.g_01436	Prbg.g_00352
OG0000305	Syad.g_01292	Prbg.g_01529
OG0000306	Syad.g_01989	Prbg.g_01223
OG0000307	Syad.g_00883	Prbg.g_00538
OG0000308	Syad.g_00881	Prbg.g_00539
OG0000309	Syad.g_00876	Prbg.g_00543
OG0000310	Syad.g_02250	Prbg.g_00577
OG0000311	Syad.g_02254	Prbg.g_00579
OG0000312	Syad.g_02265	Prbg.g_00582
OG0000313	Syad.g_02284	Prbg.g_00595
OG0000314	Syad.g_02313, Syad.g_02231	Prbg.g_00618
OG0000315	Syad.g_02323	Prbg.g_00628
OG0000316	Syad.g_02564	Prbg.g_00653
OG0000317	Syad.g_02620	Prbg.g_01647
OG0000318	Syad.g_02624	Prbg.g_01651
OG0000319	Syad.g_02642	Prbg.g_01664
OG0000320	Syad.g_02644	Prbg.g_01666
OG0000321	Syad.g_02645	Prbg.g_01667
OG0000322	Syad.g_02646	Prbg.g_01668
OG0000323	Syad.g_02661	Prbg.g_01677
OG0000324	Syad.g_02505	Prbg.g_01704
OG0000325	Syad.g_00591	Prbg.g_01715
OG0000326	Syad.g_00598	Prbg.g_01722
OG0000327	Syad.g_00649	Prbg.g_01743
OG0000328	Syad.g_00650	Prbg.g_01744
OG0000329	Syad.g_00668	Prbg.g_01761
OG0000330	Syad.g_00669	Prbg.g_01762
OG0000331	Syad.g_00670	Prbg.g_01763
OG0000332	Syad.g_00685	Prbg.g_01777
OG0000333	Syad.g_00688	Prbg.g_01779
OG0000334	Syad.g_00697	Prbg.g_01788
OG0000335	Syad.g_00702	Prbg.g_01793
OG0000336	Syad.g_00706	Prbg.g_01797
OG0000337	Syad.g_00425, Syad.g_00427	Prbg.g_01815
OG0000338	Syad.g_00421	Prbg.g_01816
OG0000339	Syad.g_00414	Prbg.g_01822
OG0000340	Syad.g_00370	Prbg.g_01831
OG0000341	Syad.g_00368	Prbg.g_01833
OG0000342	Syad.g_00367	Prbg.g_01834
OG0000343	Syad.g_00366	Prbg.g_01835
OG0000344	Syad.g_00362	Prbg.g_01838
OG0000345	Syad.g_00352	Prbg.g_01844
OG0000346	Syad.g_00347	Prbg.g_01848
OG0000347	Syad.g_00318	Prbg.g_01865
OG0000348	Syad.g_00233	Prbg.g_01873
OG0000349	Syad.g_00213	Prbg.g_01891
OG0000350	Syad.g_00605	Prbg.g_00419
OG0000351	Syad.g_00134	Prbg.g_01931
OG0000352	Syad.g_00135	Prbg.g_01932
OG0000353	Syad.g_00161	Prbg.g_00766
OG0000355	Syad.g_00163	Prbg.g_00768
OG0000356	Syad.g_00164	Prbg.g_00769
OG0000357	Syad.g_00165	Prbg.g_00770
OG0000358	Syad.g_00169	Prbg.g_00774
OG0000359	Syad.g_00171	Prbg.g_00775
OG0000360	Syad.g_00172	Prbg.g_00776
OG0000361	Syad.g_00173	Prbg.g_00777
OG0000362	Syad.g_00175	Prbg.g_00779
OG0000363	Syad.g_00177	Prbg.g_00860
OG0000364	Syad.g_00178	Prbg.g_00859
OG0000365	Syad.g_00187	Prbg.g_00854
OG0000366	Syad.g_00188	Prbg.g_00853
OG0000367	Syad.g_00189	Prbg.g_00852
OG0000368	Syad.g_00191	Prbg.g_00850
OG0000369	Syad.g_00192	Prbg.g_00849
OG0000370	Syad.g_00193	Prbg.g_00848
OG0000371	Syad.g_00201	Prbg.g_00841
OG0000372	Syad.g_00206	Prbg.g_00838
OG0000373	Syad.g_00207	Prbg.g_00837
OG0000374	Syad.g_00208	Prbg.g_00836
OG0000375	Syad.g_00209	Prbg.g_00834
OG0000376	Syad.g_00211	Prbg.g_00832
OG0000377	Syad.g_03027	Prbg.g_00828
OG0000378	Syad.g_03012	Prbg.g_00824
OG0000379	Syad.g_03005	Prbg.g_00821
OG0000380	Syad.g_02725	Prbg.g_00804
OG0000381	Syad.g_02729	Prbg.g_00799
OG0000382	Syad.g_02758	Prbg.g_00789
OG0000383	Syad.g_02761	Prbg.g_00787
OG0000384	Syad.g_02762	Prbg.g_00786
OG0000385	Syad.g_02763	Prbg.g_00785
OG0000386	Syad.g_02764	Prbg.g_00784
OG0000387	Syad.g_02792	Prbg.g_00870
OG0000388	Syad.g_02796	Prbg.g_00874
OG0000389	Syad.g_02800	Prbg.g_00877
OG0000390	Syad.g_02818	Prbg.g_00887
OG0000391	Syad.g_02823	Prbg.g_00890
OG0000392	Syad.g_02833	Prbg.g_00894
OG0000393	Syad.g_02837	Prbg.g_00897
OG0000394	Syad.g_02838	Prbg.g_00898
OG0000395	Syad.g_02839	Prbg.g_00899
OG0000396	Syad.g_02843	Prbg.g_00901
OG0000397	Syad.g_02845	Prbg.g_00903
OG0000398	Syad.g_02850	Prbg.g_00906
OG0000399	Syad.g_02851	Prbg.g_00907
OG0000400	Syad.g_02852	Prbg.g_00908
OG0000401	Syad.g_02853	Prbg.g_00909
OG0000402	Syad.g_02855	Prbg.g_01349
OG0000403	Syad.g_02856	Prbg.g_00911
OG0000404	Syad.g_02858	Prbg.g_00912
OG0000405	Syad.g_02874	Prbg.g_00916
OG0000406	Syad.g_02878	Prbg.g_00924
OG0000407	Syad.g_02879	Prbg.g_00925
OG0000408	Syad.g_02883	Prbg.g_00927
OG0000409	Syad.g_02885	Prbg.g_00929
OG0000410	Syad.g_02886	Prbg.g_00930
OG0000411	Syad.g_02887	Prbg.g_00931
OG0000412	Syad.g_02888	Prbg.g_00932
OG0000413	Syad.g_02890	Prbg.g_00934
OG0000415	Syad.g_02891	Prbg.g_00936
OG0000416	Syad.g_02892	Prbg.g_00937
OG0000417	Syad.g_02893	Prbg.g_00938
OG0000418	Syad.g_02898	Prbg.g_00943
OG0000419	Syad.g_02900	Prbg.g_00945
OG0000420	Syad.g_02902	Prbg.g_00946
OG0000421	Syad.g_02907	Prbg.g_00951
OG0000422	Syad.g_02908	Prbg.g_00952
OG0000423	Syad.g_02909	Prbg.g_00953
OG0000424	Syad.g_02910	Prbg.g_00954
OG0000425	Syad.g_02911	Prbg.g_00955
OG0000426	Syad.g_02912	Prbg.g_00956
OG0000427	Syad.g_02913	Prbg.g_00957
OG0000428	Syad.g_02916	Prbg.g_00959
OG0000429	Syad.g_02918	Prbg.g_00960
OG0000430	Syad.g_02920	Prbg.g_00961
OG0000431	Syad.g_02923	Prbg.g_00963
OG0000432	Syad.g_02930	Prbg.g_00967
OG0000433	Syad.g_02933	Prbg.g_00968
OG0000434	Syad.g_02934	Prbg.g_00969
OG0000435	Syad.g_02936	Prbg.g_00970
OG0000436	Syad.g_02942	Prbg.g_00975
OG0000437	Syad.g_02943	Prbg.g_00976
OG0000438	Syad.g_02944	Prbg.g_00977
OG0000439	Syad.g_02946	Prbg.g_00979
OG0000440	Syad.g_02947	Prbg.g_00980
OG0000441	Syad.g_02951	Prbg.g_00983
OG0000442	Syad.g_02952	Prbg.g_00984
OG0000443	Syad.g_02953	Prbg.g_00985
OG0000444	Syad.g_02964	Prbg.g_00991
OG0000445	Syad.g_02965	Prbg.g_00992
OG0000446	Syad.g_02967	Prbg.g_00993
OG0000447	Syad.g_02970	Prbg.g_00994
OG0000448	Syad.g_02971	Prbg.g_00995
OG0000449	Syad.g_02972	Prbg.g_00996
OG0000450	Syad.g_02978	Prbg.g_00997
OG0000451	Syad.g_02979	Prbg.g_00998
OG0000452	Syad.g_02983	Prbg.g_01001
OG0000453	Syad.g_02984	Prbg.g_01002
OG0000454	Syad.g_02985	Prbg.g_01003
OG0000455	Syad.g_02986	Prbg.g_01004
OG0000456	Syad.g_02987	Prbg.g_01005
OG0000457	Syad.g_02989	Prbg.g_01007
OG0000458	Syad.g_02998	Prbg.g_01008
OG0000459	Syad.g_02999	Prbg.g_01009
OG0000460	Syad.g_00815	Prbg.g_01017
OG0000461	Syad.g_00579	Prbg.g_01025
OG0000462	Syad.g_00576	Prbg.g_01027
OG0000463	Syad.g_00575	Prbg.g_01028
OG0000464	Syad.g_00574	Prbg.g_01029
OG0000465	Syad.g_00573	Prbg.g_01030
OG0000466	Syad.g_00568	Prbg.g_01033
OG0000467	Syad.g_00566	Prbg.g_01034
OG0000468	Syad.g_00561	Prbg.g_01037
OG0000469	Syad.g_00545	Prbg.g_01045
OG0000470	Syad.g_00542	Prbg.g_00042
OG0000471	Syad.g_00541	Prbg.g_00043
OG0000472	Syad.g_00539	Prbg.g_00045
OG0000473	Syad.g_00537	Prbg.g_00047
OG0000474	Syad.g_00536	Prbg.g_00048
OG0000475	Syad.g_00535	Prbg.g_00049
OG0000476	Syad.g_00533	Prbg.g_00051
OG0000477	Syad.g_00528	Prbg.g_00054
OG0000478	Syad.g_00527	Prbg.g_00055
OG0000479	Syad.g_00526	Prbg.g_00056
OG0000480	Syad.g_00520	Prbg.g_00061
OG0000481	Syad.g_00518	Prbg.g_00064
OG0000482	Syad.g_00517	Prbg.g_00065
OG0000483	Syad.g_00513	Prbg.g_00068
OG0000484	Syad.g_00512	Prbg.g_00069
OG0000485	Syad.g_00511	Prbg.g_00071
OG0000486	Syad.g_00510	Prbg.g_00072
OG0000487	Syad.g_00503	Prbg.g_00075
OG0000488	Syad.g_00499	Prbg.g_00078
OG0000489	Syad.g_00487	Prbg.g_00083
OG0000490	Syad.g_00475	Prbg.g_00087
OG0000491	Syad.g_00474	Prbg.g_00088
OG0000492	Syad.g_00472	Prbg.g_00090
OG0000493	Syad.g_00471	Prbg.g_00091
OG0000494	Syad.g_00470	Prbg.g_00092
OG0000495	Syad.g_00469	Prbg.g_00093
OG0000496	Syad.g_00468	Prbg.g_00094
OG0000497	Syad.g_00467	Prbg.g_00095
OG0000498	Syad.g_00466	Prbg.g_00096
OG0000499	Syad.g_00465	Prbg.g_00097
OG0000500	Syad.g_00464	Prbg.g_00098
OG0000501	Syad.g_00461	Prbg.g_00099
OG0000502	Syad.g_00449	Prbg.g_00102
OG0000503	Syad.g_00761	Prbg.g_00117
OG0000504	Syad.g_00763	Prbg.g_00119
OG0000505	Syad.g_00764	Prbg.g_00120
OG0000506	Syad.g_00766	Prbg.g_00121
OG0000507	Syad.g_00772	Prbg.g_00124
OG0000508	Syad.g_00776	Prbg.g_00128
OG0000509	Syad.g_00778	Prbg.g_00130
OG0000510	Syad.g_00779	Prbg.g_00131
OG0000511	Syad.g_00780	Prbg.g_00132
OG0000512	Syad.g_00782	Prbg.g_01942
OG0000513	Syad.g_00789	Prbg.g_00140
OG0000514	Syad.g_00795	Prbg.g_00151
OG0000515	Syad.g_00796	Prbg.g_00152
OG0000516	Syad.g_02456	Prbg.g_00153
OG0000517	Syad.g_02451	Prbg.g_00155
OG0000518	Syad.g_02439	Prbg.g_00166
OG0000519	Syad.g_02438	Prbg.g_00167
OG0000520	Syad.g_02437	Prbg.g_00168
OG0000521	Syad.g_01108	Prbg.g_00176
OG0000522	Syad.g_01109	Prbg.g_00178
OG0000523	Syad.g_01110	Prbg.g_00179
OG0000524	Syad.g_02386	Prbg.g_00184
OG0000525	Syad.g_02363	Prbg.g_00188
OG0000526	Syad.g_02360	Prbg.g_00189
OG0000527	Syad.g_02355	Prbg.g_00192
OG0000528	Syad.g_00897	Prbg.g_00197
OG0000529	Syad.g_00905	Prbg.g_00200
OG0000530	Syad.g_00908	Prbg.g_00203
OG0000531	Syad.g_00909	Prbg.g_00204
OG0000532	Syad.g_00912	Prbg.g_00206
OG0000533	Syad.g_00913	Prbg.g_00207
OG0000534	Syad.g_00914	Prbg.g_00208
OG0000535	Syad.g_00915	Prbg.g_00209
OG0000536	Syad.g_00916	Prbg.g_00210
OG0000537	Syad.g_00917	Prbg.g_00211
OG0000538	Syad.g_00929	Prbg.g_00220
OG0000539	Syad.g_00930	Prbg.g_00221
OG0000540	Syad.g_00931	Prbg.g_00222
OG0000541	Syad.g_00932	Prbg.g_00223
OG0000542	Syad.g_00935	Prbg.g_00224
OG0000543	Syad.g_00937	Prbg.g_00226
OG0000544	Syad.g_00938	Prbg.g_00227
OG0000545	Syad.g_00940	Prbg.g_00229
OG0000546	Syad.g_00942	Prbg.g_00232
OG0000547	Syad.g_00944	Prbg.g_00234
OG0000548	Syad.g_00945	Prbg.g_00235
OG0000549	Syad.g_00952	Prbg.g_00237
OG0000550	Syad.g_00956	Prbg.g_00241
OG0000551	Syad.g_00960	Prbg.g_00244
OG0000552	Syad.g_00961	Prbg.g_00245
OG0000553	Syad.g_00965	Prbg.g_00246
OG0000554	Syad.g_00978	Prbg.g_00251
