Orthogroup	Syad	Prbf
OG0000143	Syad.g_02148	Prbf.g_00986
OG0000144	Syad.g_02024	Prbf.g_01000
OG0000145	Syad.g_00927	Prbf.g_00042
OG0000146	Syad.g_01767	Prbf.g_01928
OG0000147	Syad.g_01768	Prbf.g_01927
OG0000148	Syad.g_01861	Prbf.g_01228
OG0000149	Syad.g_01221	Prbf.g_01196
OG0000150	Syad.g_02207, Syad.g_00989	Prbf.g_01186
OG0000151	Syad.g_01956	Prbf.g_01310
OG0000152	Syad.g_01757	Prbf.g_01117
OG0000153	Syad.g_01713	Prbf.g_01098
OG0000154	Syad.g_01686	Prbf.g_01078
OG0000155	Syad.g_01189	Prbf.g_00939
OG0000156	Syad.g_01116	Prbf.g_00037
OG0000157	Syad.g_01115	Prbf.g_00036
OG0000158	Syad.g_00374	Prbf.g_00514
OG0000159	Syad.g_00373	Prbf.g_01387
OG0000160	Syad.g_02279	Prbf.g_00158
OG0000161	Syad.g_02287	Prbf.g_00164
OG0000162	Syad.g_02293	Prbf.g_00170
OG0000163	Syad.g_02542	Prbf.g_00209
OG0000164	Syad.g_02659	Prbf.g_00669
OG0000165	Syad.g_02476	Prbf.g_00662
OG0000166	Syad.g_00654	Prbf.g_00595
OG0000167	Syad.g_00419	Prbf.g_00524
OG0000168	Syad.g_00371	Prbf.g_00513
OG0000169	Syad.g_00360	Prbf.g_00503
OG0000170	Syad.g_00353	Prbf.g_00500
OG0000171	Syad.g_00321	Prbf.g_00479
OG0000172	Syad.g_00244	Prbf.g_00472
OG0000173	Syad.g_00220	Prbf.g_00457
OG0000174	Syad.g_00065	Prbf.g_00428
OG0000175	Syad.g_00129	Prbf.g_00415
OG0000176	Syad.g_00166	Prbf.g_00389
OG0000177	Syad.g_00167	Prbf.g_00388
OG0000178	Syad.g_00168	Prbf.g_00387
OG0000179	Syad.g_00183	Prbf.g_01338
OG0000180	Syad.g_00184	Prbf.g_01339
OG0000181	Syad.g_00185	Prbf.g_01340
OG0000182	Syad.g_00186	Prbf.g_01341
OG0000183	Syad.g_00190	Prbf.g_01345
OG0000184	Syad.g_03018	Prbf.g_01371
OG0000185	Syad.g_03006	Prbf.g_01374
OG0000186	Syad.g_02722	Prbf.g_01390
OG0000187	Syad.g_02724	Prbf.g_01391
OG0000188	Syad.g_02759	Prbf.g_01408
OG0000189	Syad.g_02788	Prbf.g_01422
OG0000190	Syad.g_02790	Prbf.g_01424
OG0000191	Syad.g_02824	Prbf.g_01447
OG0000192	Syad.g_02834	Prbf.g_01452
OG0000193	Syad.g_02877	Prbf.g_01479
OG0000194	Syad.g_02880	Prbf.g_01482
OG0000195	Syad.g_02884	Prbf.g_01484
OG0000196	Syad.g_02894	Prbf.g_01495
OG0000197	Syad.g_02895	Prbf.g_01496
OG0000198	Syad.g_02896	Prbf.g_01497
OG0000199	Syad.g_02904	Prbf.g_01504
OG0000200	Syad.g_02921	Prbf.g_01518
OG0000201	Syad.g_02937	Prbf.g_01527
OG0000202	Syad.g_02938	Prbf.g_01528
OG0000203	Syad.g_02939	Prbf.g_01529
OG0000204	Syad.g_02940	Prbf.g_01530
OG0000205	Syad.g_02948	Prbf.g_01537
OG0000206	Syad.g_02955	Prbf.g_01542
OG0000207	Syad.g_02957	Prbf.g_01545
OG0000208	Syad.g_02958	Prbf.g_01546
OG0000209	Syad.g_02981	Prbf.g_01555
OG0000210	Syad.g_02982	Prbf.g_01556
OG0000211	Syad.g_00813	Prbf.g_01571
OG0000212	Syad.g_00825	Prbf.g_01579
OG0000213	Syad.g_00556	Prbf.g_01597
OG0000214	Syad.g_00538	Prbf.g_01607
OG0000215	Syad.g_00508	Prbf.g_01634
OG0000216	Syad.g_00504, Syad.g_00285	Prbf.g_01635
OG0000217	Syad.g_00500	Prbf.g_01638
OG0000218	Syad.g_00498	Prbf.g_01640
OG0000219	Syad.g_00497	Prbf.g_01641
OG0000220	Syad.g_00496	Prbf.g_01642
OG0000221	Syad.g_00488	Prbf.g_01643
OG0000222	Syad.g_00473	Prbf.g_01650
OG0000223	Syad.g_00451	Prbf.g_01662
OG0000224	Syad.g_00444	Prbf.g_01664
OG0000225	Syad.g_00777	Prbf.g_01690
OG0000226	Syad.g_00781	Prbf.g_01694
OG0000227	Syad.g_00783	Prbf.g_01696
OG0000228	Syad.g_00784	Prbf.g_01700
OG0000229	Syad.g_02450	Prbf.g_01720
OG0000230	Syad.g_02448	Prbf.g_01722
OG0000231	Syad.g_02436	Prbf.g_01733
OG0000232	Syad.g_02392	Prbf.g_01744
OG0000233	Syad.g_02382	Prbf.g_01750
OG0000234	Syad.g_02351	Prbf.g_01759
OG0000235	Syad.g_00903	Prbf.g_01762
OG0000236	Syad.g_00918	Prbf.g_01776
OG0000237	Syad.g_00936	Prbf.g_01789
OG0000238	Syad.g_00941	Prbf.g_01795
OG0000239	Syad.g_00957	Prbf.g_01806
OG0000240	Syad.g_00958	Prbf.g_01807
OG0000241	Syad.g_02160	Prbf.g_01811
OG0000242	Syad.g_00975	Prbf.g_01813
OG0000243	Syad.g_01000	Prbf.g_01824
OG0000244	Syad.g_01012	Prbf.g_01827
OG0000245	Syad.g_01014	Prbf.g_01829
OG0000246	Syad.g_01017	Prbf.g_01833
OG0000247	Syad.g_01029	Prbf.g_01843
OG0000248	Syad.g_01032	Prbf.g_01846
OG0000249	Syad.g_01034	Prbf.g_01848
OG0000250	Syad.g_01044	Prbf.g_01853
OG0000251	Syad.g_01071	Prbf.g_01873
OG0000252	Syad.g_01078	Prbf.g_01876
OG0000253	Syad.g_01081	Prbf.g_01877
OG0000254	Syad.g_02203	Prbf.g_01894
OG0000255	Syad.g_02185	Prbf.g_01900
OG0000256	Syad.g_02167	Prbf.g_01910
OG0000257	Syad.g_02161	Prbf.g_00977
OG0000258	Syad.g_02143	Prbf.g_00991
OG0000259	Syad.g_01576	Prbf.g_01008
OG0000260	Syad.g_01587	Prbf.g_01011
OG0000261	Syad.g_01590	Prbf.g_01014
OG0000262	Syad.g_01595	Prbf.g_01018
OG0000263	Syad.g_01475	Prbf.g_01282
OG0000264	Syad.g_01360	Prbf.g_01271
OG0000265	Syad.g_01383	Prbf.g_01253
OG0000266	Syad.g_01804	Prbf.g_01037
OG0000267	Syad.g_01645	Prbf.g_01049
OG0000268	Syad.g_01646	Prbf.g_01050
OG0000269	Syad.g_01894	Prbf.g_01250
OG0000270	Syad.g_01891	Prbf.g_01247
OG0000271	Syad.g_01883	Prbf.g_01239
OG0000272	Syad.g_01882	Prbf.g_01238
OG0000273	Syad.g_01247	Prbf.g_01214
OG0000274	Syad.g_01246	Prbf.g_01213
OG0000275	Syad.g_01242	Prbf.g_01210
OG0000276	Syad.g_01229	Prbf.g_01204
OG0000277	Syad.g_01228	Prbf.g_01203
OG0000278	Syad.g_01225	Prbf.g_01200
OG0000279	Syad.g_01208	Prbf.g_01193
OG0000280	Syad.g_01198	Prbf.g_01192
OG0000281	Syad.g_00624	Prbf.g_01185
OG0000282	Syad.g_01619	Prbf.g_01318
OG0000283	Syad.g_01661	Prbf.g_01141
OG0000284	Syad.g_01787	Prbf.g_01136
OG0000285	Syad.g_01776	Prbf.g_01131
OG0000286	Syad.g_01758	Prbf.g_01118
OG0000287	Syad.g_01720	Prbf.g_00065
OG0000288	Syad.g_01687	Prbf.g_01079
OG0000289	Syad.g_01672	Prbf.g_01063
OG0000290	Syad.g_01287	Prbf.g_01167
OG0000291	Syad.g_01289	Prbf.g_01169
OG0000292	Syad.g_00155	Prbf.g_00873
OG0000293	Syad.g_01124	Prbf.g_00908
OG0000294	Syad.g_01125	Prbf.g_00909
OG0000295	Syad.g_01181	Prbf.g_00932
OG0000296	Syad.g_01183	Prbf.g_00934
OG0000297	Syad.g_01512	Prbf.g_00943
OG0000298	Syad.g_01511	Prbf.g_00944
OG0000299	Syad.g_01462	Prbf.g_00963
OG0000300	Syad.g_01455	Prbf.g_00966
OG0000301	Syad.g_01454	Prbf.g_00967
OG0000302	Syad.g_01453	Prbf.g_00969
OG0000303	Syad.g_01442	Prbf.g_00975
OG0000304	Syad.g_01436	Prbf.g_01915
OG0000305	Syad.g_01292	Prbf.g_00875
OG0000306	Syad.g_01989	Prbf.g_01181
OG0000307	Syad.g_00883	Prbf.g_00104
OG0000308	Syad.g_00881	Prbf.g_00105
OG0000309	Syad.g_00876	Prbf.g_00109
OG0000310	Syad.g_02250	Prbf.g_00143
OG0000311	Syad.g_02254	Prbf.g_00145
OG0000312	Syad.g_02265	Prbf.g_00148
OG0000313	Syad.g_02284	Prbf.g_00161
OG0000314	Syad.g_02313, Syad.g_02231	Prbf.g_00184
OG0000315	Syad.g_02323	Prbf.g_00194
OG0000316	Syad.g_02564	Prbf.g_00219
OG0000317	Syad.g_02620	Prbf.g_00696
OG0000318	Syad.g_02624	Prbf.g_00692
OG0000319	Syad.g_02642	Prbf.g_00679
OG0000320	Syad.g_02644	Prbf.g_00677
OG0000321	Syad.g_02645	Prbf.g_00676
OG0000322	Syad.g_02646	Prbf.g_00675
OG0000323	Syad.g_02661	Prbf.g_00666
OG0000324	Syad.g_02505	Prbf.g_00639
OG0000325	Syad.g_00591	Prbf.g_00628
OG0000326	Syad.g_00598	Prbf.g_00621
OG0000327	Syad.g_00649	Prbf.g_00600
OG0000328	Syad.g_00650	Prbf.g_00599
OG0000329	Syad.g_00668	Prbf.g_00582
OG0000330	Syad.g_00669	Prbf.g_00581
OG0000331	Syad.g_00670	Prbf.g_00580
OG0000332	Syad.g_00685	Prbf.g_00566
OG0000333	Syad.g_00688	Prbf.g_00564
OG0000334	Syad.g_00697	Prbf.g_00555
OG0000335	Syad.g_00702	Prbf.g_00550
OG0000336	Syad.g_00706	Prbf.g_00546
OG0000337	Syad.g_00425, Syad.g_00427	Prbf.g_00528
OG0000338	Syad.g_00421	Prbf.g_00527
OG0000339	Syad.g_00414	Prbf.g_00521
OG0000340	Syad.g_00370	Prbf.g_00512
OG0000341	Syad.g_00368	Prbf.g_00510
OG0000342	Syad.g_00367	Prbf.g_00509
OG0000343	Syad.g_00366	Prbf.g_00508
OG0000344	Syad.g_00362	Prbf.g_00505
OG0000345	Syad.g_00352	Prbf.g_00499
OG0000346	Syad.g_00347	Prbf.g_00495
OG0000347	Syad.g_00318	Prbf.g_00477
OG0000348	Syad.g_00233	Prbf.g_00469
OG0000349	Syad.g_00213	Prbf.g_00452
OG0000350	Syad.g_00605	Prbf.g_00351
OG0000351	Syad.g_00134	Prbf.g_00412
OG0000352	Syad.g_00135	Prbf.g_00411
OG0000353	Syad.g_00161	Prbf.g_00394
OG0000355	Syad.g_00163	Prbf.g_00392
OG0000356	Syad.g_00164	Prbf.g_00391
OG0000357	Syad.g_00165	Prbf.g_00390
OG0000358	Syad.g_00169	Prbf.g_00386
OG0000359	Syad.g_00171	Prbf.g_00385
OG0000360	Syad.g_00172	Prbf.g_00384
OG0000361	Syad.g_00173	Prbf.g_00383
OG0000362	Syad.g_00175	Prbf.g_00381
OG0000363	Syad.g_00177	Prbf.g_01336
OG0000364	Syad.g_00178	Prbf.g_01337
OG0000365	Syad.g_00187	Prbf.g_01342
OG0000366	Syad.g_00188	Prbf.g_01343
OG0000367	Syad.g_00189	Prbf.g_01344
OG0000368	Syad.g_00191	Prbf.g_01346
OG0000369	Syad.g_00192	Prbf.g_01347
OG0000370	Syad.g_00193	Prbf.g_01348
OG0000371	Syad.g_00201	Prbf.g_01355
OG0000372	Syad.g_00206	Prbf.g_01358
OG0000373	Syad.g_00207	Prbf.g_01359
OG0000374	Syad.g_00208	Prbf.g_01360
OG0000375	Syad.g_00209	Prbf.g_01362
OG0000376	Syad.g_00211	Prbf.g_01364
OG0000377	Syad.g_03027	Prbf.g_01368
OG0000378	Syad.g_03012	Prbf.g_01372
OG0000379	Syad.g_03005	Prbf.g_01375
OG0000380	Syad.g_02725	Prbf.g_01392
OG0000381	Syad.g_02729	Prbf.g_01397
OG0000382	Syad.g_02758	Prbf.g_01407
OG0000383	Syad.g_02761	Prbf.g_01409
OG0000384	Syad.g_02762	Prbf.g_01410
OG0000385	Syad.g_02763	Prbf.g_01411
OG0000386	Syad.g_02764	Prbf.g_01412
OG0000387	Syad.g_02792	Prbf.g_01426
OG0000388	Syad.g_02796	Prbf.g_01430
OG0000389	Syad.g_02800	Prbf.g_01433
OG0000390	Syad.g_02818	Prbf.g_01443
OG0000391	Syad.g_02823	Prbf.g_01446
OG0000392	Syad.g_02833	Prbf.g_01450
OG0000393	Syad.g_02837	Prbf.g_01453
OG0000394	Syad.g_02838	Prbf.g_01454
OG0000395	Syad.g_02839	Prbf.g_01455
OG0000396	Syad.g_02843	Prbf.g_01457
OG0000397	Syad.g_02845	Prbf.g_01459
OG0000398	Syad.g_02850	Prbf.g_01462
OG0000399	Syad.g_02851	Prbf.g_01463
OG0000400	Syad.g_02852	Prbf.g_01464
OG0000401	Syad.g_02853	Prbf.g_01465
OG0000402	Syad.g_02855	Prbf.g_01055
OG0000403	Syad.g_02856	Prbf.g_01467
OG0000404	Syad.g_02858	Prbf.g_01468
OG0000405	Syad.g_02874	Prbf.g_01472
OG0000406	Syad.g_02878	Prbf.g_01480
OG0000407	Syad.g_02879	Prbf.g_01481
OG0000408	Syad.g_02883	Prbf.g_01483
OG0000409	Syad.g_02885	Prbf.g_01485
OG0000410	Syad.g_02886	Prbf.g_01486
OG0000411	Syad.g_02887	Prbf.g_01487
OG0000412	Syad.g_02888	Prbf.g_01488
OG0000413	Syad.g_02890	Prbf.g_01490
OG0000415	Syad.g_02891	Prbf.g_01492
OG0000416	Syad.g_02892	Prbf.g_01493
OG0000417	Syad.g_02893	Prbf.g_01494
OG0000418	Syad.g_02898	Prbf.g_01499
OG0000419	Syad.g_02900	Prbf.g_01501
OG0000420	Syad.g_02902	Prbf.g_01502
OG0000421	Syad.g_02907	Prbf.g_01507
OG0000422	Syad.g_02908	Prbf.g_01508
OG0000423	Syad.g_02909	Prbf.g_01509
OG0000424	Syad.g_02910	Prbf.g_01510
OG0000425	Syad.g_02911	Prbf.g_01511
OG0000426	Syad.g_02912	Prbf.g_01512
OG0000427	Syad.g_02913	Prbf.g_01513
OG0000428	Syad.g_02916	Prbf.g_01515
OG0000429	Syad.g_02918	Prbf.g_01516
OG0000430	Syad.g_02920	Prbf.g_01517
OG0000431	Syad.g_02923	Prbf.g_01519
OG0000432	Syad.g_02930	Prbf.g_01523
OG0000433	Syad.g_02933	Prbf.g_01524
OG0000434	Syad.g_02934	Prbf.g_01525
OG0000435	Syad.g_02936	Prbf.g_01526
OG0000436	Syad.g_02942	Prbf.g_01531
OG0000437	Syad.g_02943	Prbf.g_01532
OG0000438	Syad.g_02944	Prbf.g_01533
OG0000439	Syad.g_02946	Prbf.g_01535
OG0000440	Syad.g_02947	Prbf.g_01536
OG0000441	Syad.g_02951	Prbf.g_01539
OG0000442	Syad.g_02952	Prbf.g_01540
OG0000443	Syad.g_02953	Prbf.g_01541
OG0000444	Syad.g_02964	Prbf.g_01547
OG0000445	Syad.g_02965	Prbf.g_01548
OG0000446	Syad.g_02967	Prbf.g_01549
OG0000447	Syad.g_02970	Prbf.g_01550
OG0000448	Syad.g_02971	Prbf.g_01551
OG0000449	Syad.g_02972	Prbf.g_01552
OG0000450	Syad.g_02978	Prbf.g_01553
OG0000451	Syad.g_02979	Prbf.g_01554
OG0000452	Syad.g_02983	Prbf.g_01557
OG0000453	Syad.g_02984	Prbf.g_01558
OG0000454	Syad.g_02985	Prbf.g_01559
OG0000455	Syad.g_02986	Prbf.g_01560
OG0000456	Syad.g_02987	Prbf.g_01561
OG0000457	Syad.g_02989	Prbf.g_01563
OG0000458	Syad.g_02998	Prbf.g_01564
OG0000459	Syad.g_02999	Prbf.g_01565
OG0000460	Syad.g_00815	Prbf.g_01573
OG0000461	Syad.g_00579	Prbf.g_01581
OG0000462	Syad.g_00576	Prbf.g_01583
OG0000463	Syad.g_00575	Prbf.g_01584
OG0000464	Syad.g_00574	Prbf.g_01585
OG0000465	Syad.g_00573	Prbf.g_01586
OG0000466	Syad.g_00568	Prbf.g_01589
OG0000467	Syad.g_00566	Prbf.g_01590
OG0000468	Syad.g_00561	Prbf.g_01593
OG0000469	Syad.g_00545	Prbf.g_01601
OG0000470	Syad.g_00542	Prbf.g_01603
OG0000471	Syad.g_00541	Prbf.g_01604
OG0000472	Syad.g_00539	Prbf.g_01606
OG0000473	Syad.g_00537	Prbf.g_01608
OG0000474	Syad.g_00536	Prbf.g_01609
OG0000475	Syad.g_00535	Prbf.g_01610
OG0000476	Syad.g_00533	Prbf.g_01612
OG0000477	Syad.g_00528	Prbf.g_01615
OG0000478	Syad.g_00527	Prbf.g_01616
OG0000479	Syad.g_00526	Prbf.g_01617
OG0000480	Syad.g_00520	Prbf.g_01622
OG0000481	Syad.g_00518	Prbf.g_01625
OG0000482	Syad.g_00517	Prbf.g_01626
OG0000483	Syad.g_00513	Prbf.g_01629
OG0000484	Syad.g_00512	Prbf.g_01630
OG0000485	Syad.g_00511	Prbf.g_01632
OG0000486	Syad.g_00510	Prbf.g_01633
OG0000487	Syad.g_00503	Prbf.g_01636
OG0000488	Syad.g_00499	Prbf.g_01639
OG0000489	Syad.g_00487	Prbf.g_01644
OG0000490	Syad.g_00475	Prbf.g_01648
OG0000491	Syad.g_00474	Prbf.g_01649
OG0000492	Syad.g_00472	Prbf.g_01651
OG0000493	Syad.g_00471	Prbf.g_01652
OG0000494	Syad.g_00470	Prbf.g_01653
OG0000495	Syad.g_00469	Prbf.g_01654
OG0000496	Syad.g_00468	Prbf.g_01655
OG0000497	Syad.g_00467	Prbf.g_01656
OG0000498	Syad.g_00466	Prbf.g_01657
OG0000499	Syad.g_00465	Prbf.g_01658
OG0000500	Syad.g_00464	Prbf.g_01659
OG0000501	Syad.g_00461	Prbf.g_01660
OG0000502	Syad.g_00449	Prbf.g_01663
OG0000503	Syad.g_00761	Prbf.g_01678
OG0000504	Syad.g_00763	Prbf.g_01680
OG0000505	Syad.g_00764	Prbf.g_01681
OG0000506	Syad.g_00766	Prbf.g_01682
OG0000507	Syad.g_00772	Prbf.g_01685
OG0000508	Syad.g_00776	Prbf.g_01689
OG0000509	Syad.g_00778	Prbf.g_01691
OG0000510	Syad.g_00779	Prbf.g_01692
OG0000511	Syad.g_00780	Prbf.g_01693
OG0000512	Syad.g_00782	Prbf.g_01695
OG0000513	Syad.g_00789	Prbf.g_01704
OG0000514	Syad.g_00795	Prbf.g_01715
OG0000515	Syad.g_00796	Prbf.g_01716
OG0000516	Syad.g_02456	Prbf.g_01717
OG0000517	Syad.g_02451	Prbf.g_01719
OG0000518	Syad.g_02439	Prbf.g_01730
OG0000519	Syad.g_02438	Prbf.g_01731
OG0000520	Syad.g_02437	Prbf.g_01732
OG0000521	Syad.g_01108	Prbf.g_01740
OG0000522	Syad.g_01109	Prbf.g_01742
OG0000523	Syad.g_01110	Prbf.g_01743
OG0000524	Syad.g_02386	Prbf.g_01748
OG0000525	Syad.g_02363	Prbf.g_01752
OG0000526	Syad.g_02360	Prbf.g_01753
OG0000527	Syad.g_02355	Prbf.g_01756
OG0000528	Syad.g_00897	Prbf.g_01761
OG0000529	Syad.g_00905	Prbf.g_01764
OG0000530	Syad.g_00908	Prbf.g_01767
OG0000531	Syad.g_00909	Prbf.g_01768
OG0000532	Syad.g_00912	Prbf.g_01770
OG0000533	Syad.g_00913	Prbf.g_01771
OG0000534	Syad.g_00914	Prbf.g_01772
OG0000535	Syad.g_00915	Prbf.g_01773
OG0000536	Syad.g_00916	Prbf.g_01774
OG0000537	Syad.g_00917	Prbf.g_01775
OG0000538	Syad.g_00929	Prbf.g_01784
OG0000539	Syad.g_00930	Prbf.g_01785
OG0000540	Syad.g_00931	Prbf.g_01786
OG0000541	Syad.g_00932	Prbf.g_01787
OG0000542	Syad.g_00935	Prbf.g_01788
OG0000543	Syad.g_00937	Prbf.g_01790
OG0000544	Syad.g_00938	Prbf.g_01791
OG0000545	Syad.g_00940	Prbf.g_01793
OG0000546	Syad.g_00942	Prbf.g_01796
OG0000547	Syad.g_00944	Prbf.g_01798
OG0000548	Syad.g_00945	Prbf.g_01799
OG0000549	Syad.g_00952	Prbf.g_01801
OG0000550	Syad.g_00956	Prbf.g_01805
OG0000551	Syad.g_00960	Prbf.g_01808
OG0000552	Syad.g_00961	Prbf.g_01809
OG0000553	Syad.g_00965	Prbf.g_01810
