Orthogroup	Syad	Prbk
OG0000089	Syad.g_00785, Syad.g_02829	Prbk.g_00364
OG0000090	Syad.g_00977	Prbk.g_01080
OG0000091	Syad.g_02144	Prbk.g_02639
OG0000093	Syad.g_01905	Prbk.g_02444
OG0000094	Syad.g_01676	Prbk.g_02190
OG0000095	Syad.g_01290	Prbk.g_00056
OG0000097	Syad.g_01458	Prbk.g_00189
OG0000098	Syad.g_00625	Prbk.g_01199
OG0000099	Syad.g_00460	Prbk.g_00476
OG0000100	Syad.g_01846	Prbk.g_01360, Prbk.g_02498
OG0000101	Syad.g_00694	Prbk.g_00944
OG0000102	Syad.g_00343	Prbk.g_01484
OG0000103	Syad.g_00143	Prbk.g_02260
OG0000104	Syad.g_00158	Prbk.g_02274
OG0000105	Syad.g_00530	Prbk.g_00409
OG0000106	Syad.g_01993	Prbk.g_00925
OG0000107	Syad.g_00590	Prbk.g_01902
OG0000108	Syad.g_00904	Prbk.g_02061
OG0000109	Syad.g_00919	Prbk.g_02077
OG0000110	Syad.g_01048	Prbk.g_01110
OG0000111	Syad.g_01300	Prbk.g_01766
OG0000112	Syad.g_01766	Prbk.g_02332
OG0000113	Syad.g_01851	Prbk.g_02493
OG0000114	Syad.g_01617	Prbk.g_02396
OG0000115	Syad.g_02300	Prbk.g_01234
OG0000116	Syad.g_01123	Prbk.g_01034
OG0000117	Syad.g_01510	Prbk.g_01496
OG0000118	Syad.g_01104	Prbk.g_01169
OG0000119	Syad.g_01168	Prbk.g_01746, Prbk.g_01786
OG0000120	Syad.g_00459	Prbk.g_00477
OG0000121	Syad.g_02280	Prbk.g_00267, Prbk.g_00261
OG0000122	Syad.g_02122	Prbk.g_02664
OG0000123	Syad.g_00701	Prbk.g_00805
OG0000124	Syad.g_00320	Prbk.g_01539
OG0000125	Syad.g_03040	Prbk.g_02168
OG0000126	Syad.g_00156	Prbk.g_02272
OG0000128	Syad.g_00174	Prbk.g_02290
OG0000129	Syad.g_03028	Prbk.g_02156
OG0000130	Syad.g_02728	Prbk.g_01320
OG0000131	Syad.g_02876	Prbk.g_00751
OG0000132	Syad.g_02897	Prbk.g_00771
OG0000133	Syad.g_01761	Prbk.g_00472
OG0000134	Syad.g_00788	Prbk.g_00361
OG0000135	Syad.g_00063	Prbk.g_02209
OG0000136	Syad.g_02445	Prbk.g_00323
OG0000137	Syad.g_02353	Prbk.g_02113
OG0000138	Syad.g_00920	Prbk.g_02078
OG0000139	Syad.g_00983	Prbk.g_01086
OG0000140	Syad.g_00987	Prbk.g_01092
OG0000141	Syad.g_02208	Prbk.g_01154
OG0000142	Syad.g_02152	Prbk.g_02631
OG0000143	Syad.g_02148	Prbk.g_02635
OG0000144	Syad.g_02024	Prbk.g_00739
OG0000145	Syad.g_00927	Prbk.g_01863
OG0000146	Syad.g_01767	Prbk.g_02333
OG0000147	Syad.g_01768	Prbk.g_02334
OG0000148	Syad.g_01861	Prbk.g_02487
OG0000149	Syad.g_01221	Prbk.g_02544
OG0000150	Syad.g_02207, Syad.g_00989	Prbk.g_02567
OG0000151	Syad.g_01956	Prbk.g_02417
OG0000152	Syad.g_01757	Prbk.g_02324
OG0000153	Syad.g_01713	Prbk.g_02297
OG0000154	Syad.g_01686	Prbk.g_00584
OG0000155	Syad.g_01189	Prbk.g_00099
OG0000156	Syad.g_01116	Prbk.g_00164
OG0000157	Syad.g_01115	Prbk.g_00163
OG0000158	Syad.g_00374	Prbk.g_00526
OG0000160	Syad.g_02279	Prbk.g_00260
OG0000161	Syad.g_02287	Prbk.g_00274
OG0000162	Syad.g_02293	Prbk.g_00280
OG0000163	Syad.g_02542	Prbk.g_02002
OG0000164	Syad.g_02659	Prbk.g_01432
OG0000165	Syad.g_02476	Prbk.g_01423
OG0000166	Syad.g_00654	Prbk.g_00982
OG0000167	Syad.g_00419	Prbk.g_00512
OG0000168	Syad.g_00371	Prbk.g_00527
OG0000169	Syad.g_00360	Prbk.g_00220
OG0000170	Syad.g_00353	Prbk.g_00232
OG0000171	Syad.g_00321	Prbk.g_01538
OG0000172	Syad.g_00244	Prbk.g_01573
OG0000173	Syad.g_00220	Prbk.g_01594
OG0000174	Syad.g_00065	Prbk.g_02211
OG0000175	Syad.g_00129	Prbk.g_02249
OG0000176	Syad.g_00166	Prbk.g_02282
OG0000177	Syad.g_00167	Prbk.g_02283
OG0000178	Syad.g_00168	Prbk.g_02284
OG0000179	Syad.g_00183	Prbk.g_01633
OG0000180	Syad.g_00184	Prbk.g_01632
OG0000181	Syad.g_00185	Prbk.g_01631
OG0000182	Syad.g_00186	Prbk.g_01630
OG0000183	Syad.g_00190	Prbk.g_01626
OG0000184	Syad.g_03018	Prbk.g_02148
OG0000186	Syad.g_02722	Prbk.g_01326
OG0000187	Syad.g_02724	Prbk.g_01324
OG0000188	Syad.g_02759	Prbk.g_01303
OG0000189	Syad.g_02788	Prbk.g_00024
OG0000190	Syad.g_02790	Prbk.g_00022
OG0000191	Syad.g_02824	Prbk.g_00197
OG0000192	Syad.g_02834	Prbk.g_00206
OG0000193	Syad.g_02877	Prbk.g_00752
OG0000194	Syad.g_02880	Prbk.g_00755
OG0000195	Syad.g_02884	Prbk.g_00757
OG0000196	Syad.g_02894	Prbk.g_00768
OG0000197	Syad.g_02895	Prbk.g_00769
OG0000198	Syad.g_02896	Prbk.g_00770
OG0000199	Syad.g_02904	Prbk.g_00777
OG0000200	Syad.g_02921	Prbk.g_01280
OG0000201	Syad.g_02937	Prbk.g_01261
OG0000202	Syad.g_02938	Prbk.g_01260
OG0000203	Syad.g_02939	Prbk.g_01259
OG0000204	Syad.g_02940	Prbk.g_01258
OG0000205	Syad.g_02948	Prbk.g_01251
OG0000206	Syad.g_02955	Prbk.g_00632
OG0000207	Syad.g_02957	Prbk.g_00686
OG0000208	Syad.g_02958	Prbk.g_00685
OG0000209	Syad.g_02981	Prbk.g_00658
OG0000210	Syad.g_02982	Prbk.g_00657
OG0000211	Syad.g_00813	Prbk.g_01368
OG0000212	Syad.g_00825	Prbk.g_01514
OG0000213	Syad.g_00556	Prbk.g_00374
OG0000214	Syad.g_00538	Prbk.g_00401
OG0000215	Syad.g_00508	Prbk.g_00431
OG0000216	Syad.g_00504, Syad.g_00285	Prbk.g_00434
OG0000217	Syad.g_00500	Prbk.g_00438
OG0000218	Syad.g_00498	Prbk.g_00442
OG0000219	Syad.g_00497	Prbk.g_00443
OG0000220	Syad.g_00496	Prbk.g_00444
OG0000221	Syad.g_00488	Prbk.g_00449
OG0000222	Syad.g_00473	Prbk.g_00458
OG0000223	Syad.g_00451	Prbk.g_00481
OG0000224	Syad.g_00444	Prbk.g_00492
OG0000225	Syad.g_00777	Prbk.g_00889
OG0000226	Syad.g_00781	Prbk.g_00893
OG0000227	Syad.g_00783	Prbk.g_00895
OG0000228	Syad.g_00784	Prbk.g_00365
OG0000229	Syad.g_02450	Prbk.g_00328
OG0000230	Syad.g_02448	Prbk.g_00326
OG0000231	Syad.g_02436	Prbk.g_00311
OG0000232	Syad.g_02392	Prbk.g_00295
OG0000233	Syad.g_02382	Prbk.g_02092
OG0000234	Syad.g_02351	Prbk.g_02114
OG0000235	Syad.g_00903	Prbk.g_02060
OG0000236	Syad.g_00918	Prbk.g_02076
OG0000237	Syad.g_00936	Prbk.g_01047
OG0000238	Syad.g_00941	Prbk.g_01051
OG0000239	Syad.g_00957	Prbk.g_01067
OG0000240	Syad.g_00958	Prbk.g_01068
OG0000241	Syad.g_02160	Prbk.g_01965
OG0000242	Syad.g_00975	Prbk.g_01078
OG0000243	Syad.g_01000	Prbk.g_02684
OG0000244	Syad.g_01012	Prbk.g_01897
OG0000245	Syad.g_01014	Prbk.g_01894
OG0000246	Syad.g_01017	Prbk.g_01890
OG0000247	Syad.g_01029	Prbk.g_01879
OG0000248	Syad.g_01032	Prbk.g_01876
OG0000249	Syad.g_01034	Prbk.g_01874
OG0000250	Syad.g_01044	Prbk.g_01106
OG0000251	Syad.g_01071	Prbk.g_01130
OG0000252	Syad.g_01078	Prbk.g_01133
OG0000253	Syad.g_01081	Prbk.g_01139
OG0000254	Syad.g_02203	Prbk.g_01158
OG0000255	Syad.g_02185	Prbk.g_02604
OG0000256	Syad.g_02167	Prbk.g_02618
OG0000257	Syad.g_02161	Prbk.g_02624
OG0000258	Syad.g_02143	Prbk.g_02647
OG0000259	Syad.g_01576	Prbk.g_00720
OG0000260	Syad.g_01587	Prbk.g_00717
OG0000261	Syad.g_01590	Prbk.g_00714
OG0000262	Syad.g_01595	Prbk.g_00709
OG0000263	Syad.g_01475	Prbk.g_00672
OG0000264	Syad.g_01360	Prbk.g_01815
OG0000265	Syad.g_01383	Prbk.g_01835
OG0000266	Syad.g_01804	Prbk.g_00608
OG0000267	Syad.g_01645	Prbk.g_02371
OG0000268	Syad.g_01646	Prbk.g_02370
OG0000269	Syad.g_01894	Prbk.g_02463
OG0000270	Syad.g_01891	Prbk.g_02466
OG0000271	Syad.g_01883	Prbk.g_02474
OG0000272	Syad.g_01882	Prbk.g_02475
OG0000273	Syad.g_01247	Prbk.g_02526
OG0000274	Syad.g_01246	Prbk.g_02527
OG0000275	Syad.g_01242	Prbk.g_02530
OG0000276	Syad.g_01229	Prbk.g_02536
OG0000277	Syad.g_01228	Prbk.g_02537
OG0000278	Syad.g_01225	Prbk.g_02540
OG0000279	Syad.g_01208	Prbk.g_02548
OG0000280	Syad.g_01198	Prbk.g_02554
OG0000281	Syad.g_00624	Prbk.g_02568
OG0000282	Syad.g_01619	Prbk.g_02398
OG0000283	Syad.g_01661	Prbk.g_02359
OG0000284	Syad.g_01787	Prbk.g_02353
OG0000285	Syad.g_01776	Prbk.g_01698
OG0000286	Syad.g_01758	Prbk.g_02325
OG0000287	Syad.g_01720	Prbk.g_01728
OG0000288	Syad.g_01687	Prbk.g_00583
OG0000289	Syad.g_01672	Prbk.g_00596
OG0000290	Syad.g_01287	Prbk.g_00059
OG0000291	Syad.g_01289	Prbk.g_00057
OG0000292	Syad.g_00155	Prbk.g_02271
OG0000293	Syad.g_01124	Prbk.g_01032
OG0000294	Syad.g_01125	Prbk.g_01031
OG0000295	Syad.g_01181	Prbk.g_00106
OG0000296	Syad.g_01183	Prbk.g_00104
OG0000297	Syad.g_01512	Prbk.g_01498
OG0000298	Syad.g_01511	Prbk.g_01497
OG0000299	Syad.g_01462	Prbk.g_01508
OG0000300	Syad.g_01455	Prbk.g_00186
OG0000301	Syad.g_01454	Prbk.g_00185
OG0000302	Syad.g_01453	Prbk.g_00182
OG0000303	Syad.g_01442	Prbk.g_00097
OG0000304	Syad.g_01436	Prbk.g_00121
OG0000305	Syad.g_01292	Prbk.g_00055
OG0000306	Syad.g_01989	Prbk.g_02578
OG0000307	Syad.g_00883	Prbk.g_02044
OG0000308	Syad.g_00881	Prbk.g_02042
OG0000309	Syad.g_00876	Prbk.g_02038
OG0000310	Syad.g_02250	Prbk.g_01937
OG0000311	Syad.g_02254	Prbk.g_00243
OG0000312	Syad.g_02265	Prbk.g_00247
OG0000313	Syad.g_02284	Prbk.g_00271
OG0000314	Syad.g_02313, Syad.g_02231	Prbk.g_01222
OG0000315	Syad.g_02323	Prbk.g_01212
OG0000316	Syad.g_02564	Prbk.g_01991
OG0000317	Syad.g_02620	Prbk.g_00913
OG0000318	Syad.g_02624	Prbk.g_00906
OG0000319	Syad.g_02642	Prbk.g_01443
OG0000320	Syad.g_02644	Prbk.g_01441
OG0000321	Syad.g_02645	Prbk.g_01440
OG0000322	Syad.g_02646	Prbk.g_01439
OG0000323	Syad.g_02661	Prbk.g_01428
OG0000324	Syad.g_02505	Prbk.g_01399
OG0000325	Syad.g_00591	Prbk.g_01904
OG0000326	Syad.g_00598	Prbk.g_01912
OG0000327	Syad.g_00649	Prbk.g_00987
OG0000328	Syad.g_00650	Prbk.g_00986
OG0000329	Syad.g_00668	Prbk.g_00969
OG0000330	Syad.g_00669	Prbk.g_00968
OG0000331	Syad.g_00670	Prbk.g_00967
OG0000332	Syad.g_00685	Prbk.g_00952
OG0000333	Syad.g_00688	Prbk.g_00950
OG0000334	Syad.g_00697	Prbk.g_00801
OG0000335	Syad.g_00702	Prbk.g_00806
OG0000336	Syad.g_00706	Prbk.g_00810
OG0000337	Syad.g_00425, Syad.g_00427	Prbk.g_00506
OG0000338	Syad.g_00421	Prbk.g_00510
OG0000339	Syad.g_00414	Prbk.g_00516
OG0000340	Syad.g_00370	Prbk.g_00528
OG0000341	Syad.g_00368	Prbk.g_00530
OG0000342	Syad.g_00367	Prbk.g_00531
OG0000343	Syad.g_00366	Prbk.g_00215
OG0000344	Syad.g_00362	Prbk.g_00218
OG0000345	Syad.g_00352	Prbk.g_00233
OG0000346	Syad.g_00347	Prbk.g_00238
OG0000347	Syad.g_00318	Prbk.g_01540
OG0000348	Syad.g_00233	Prbk.g_01578
OG0000349	Syad.g_00213	Prbk.g_01602
OG0000350	Syad.g_00605	Prbk.g_02204
OG0000351	Syad.g_00134	Prbk.g_02252
OG0000352	Syad.g_00135	Prbk.g_02253
OG0000353	Syad.g_00161	Prbk.g_02277
OG0000354	Syad.g_00947	Prbk.g_01057
OG0000354	Syad.g_00181	Prbk.g_01635
OG0000355	Syad.g_00163	Prbk.g_02279
OG0000356	Syad.g_00164	Prbk.g_02280
OG0000357	Syad.g_00165	Prbk.g_02281
OG0000358	Syad.g_00169	Prbk.g_02285
OG0000359	Syad.g_00171	Prbk.g_02287
OG0000360	Syad.g_00172	Prbk.g_02288
OG0000361	Syad.g_00173	Prbk.g_02289
OG0000362	Syad.g_00175	Prbk.g_02291
OG0000363	Syad.g_00177	Prbk.g_01639
OG0000364	Syad.g_00178	Prbk.g_01638
OG0000365	Syad.g_00187	Prbk.g_01629
OG0000366	Syad.g_00188	Prbk.g_01628
OG0000367	Syad.g_00189	Prbk.g_01627
OG0000368	Syad.g_00191	Prbk.g_01625
OG0000369	Syad.g_00192	Prbk.g_01624
OG0000370	Syad.g_00193	Prbk.g_01623
OG0000371	Syad.g_00201	Prbk.g_01614
OG0000372	Syad.g_00206	Prbk.g_01609
OG0000373	Syad.g_00207	Prbk.g_01608
OG0000374	Syad.g_00208	Prbk.g_01607
OG0000375	Syad.g_00209	Prbk.g_01606
OG0000376	Syad.g_00211	Prbk.g_01604
OG0000377	Syad.g_03027	Prbk.g_02155
OG0000378	Syad.g_03012	Prbk.g_02141
OG0000379	Syad.g_03005	Prbk.g_02125
OG0000380	Syad.g_02725	Prbk.g_01323
OG0000381	Syad.g_02729	Prbk.g_01319
OG0000382	Syad.g_02758	Prbk.g_01304
OG0000383	Syad.g_02761	Prbk.g_01302
OG0000384	Syad.g_02762	Prbk.g_01301
OG0000385	Syad.g_02763	Prbk.g_01300
OG0000386	Syad.g_02764	Prbk.g_01299
OG0000387	Syad.g_02792	Prbk.g_00020
OG0000388	Syad.g_02796	Prbk.g_00016
OG0000389	Syad.g_02800	Prbk.g_00012
OG0000390	Syad.g_02818	Prbk.g_00191
OG0000391	Syad.g_02823	Prbk.g_00196
OG0000392	Syad.g_02833	Prbk.g_00202
OG0000393	Syad.g_02837	Prbk.g_00207
OG0000394	Syad.g_02838	Prbk.g_00208
OG0000395	Syad.g_02839	Prbk.g_00209
OG0000396	Syad.g_02843	Prbk.g_00542
OG0000397	Syad.g_02845	Prbk.g_00544
OG0000398	Syad.g_02850	Prbk.g_00549
OG0000399	Syad.g_02851	Prbk.g_00550
OG0000400	Syad.g_02852	Prbk.g_00551
OG0000401	Syad.g_02853	Prbk.g_00552
OG0000402	Syad.g_02855	Prbk.g_00554
OG0000403	Syad.g_02856	Prbk.g_00555
OG0000404	Syad.g_02858	Prbk.g_00557
OG0000405	Syad.g_02874	Prbk.g_00749
OG0000406	Syad.g_02878	Prbk.g_00753
OG0000407	Syad.g_02879	Prbk.g_00754
OG0000408	Syad.g_02883	Prbk.g_00756
OG0000409	Syad.g_02885	Prbk.g_00758
OG0000410	Syad.g_02886	Prbk.g_00759
OG0000411	Syad.g_02887	Prbk.g_00760
OG0000412	Syad.g_02888	Prbk.g_00761
OG0000413	Syad.g_02890	Prbk.g_00763
OG0000415	Syad.g_02891	Prbk.g_00765
OG0000416	Syad.g_02892	Prbk.g_00766
OG0000417	Syad.g_02893	Prbk.g_00767
OG0000418	Syad.g_02898	Prbk.g_00772
OG0000419	Syad.g_02900	Prbk.g_00774
OG0000420	Syad.g_02902	Prbk.g_00775
OG0000421	Syad.g_02907	Prbk.g_00779
OG0000422	Syad.g_02908	Prbk.g_00780
OG0000423	Syad.g_02909	Prbk.g_00781
OG0000424	Syad.g_02910	Prbk.g_00782
OG0000425	Syad.g_02911	Prbk.g_00783
OG0000426	Syad.g_02912	Prbk.g_00784
OG0000427	Syad.g_02913	Prbk.g_00785
OG0000428	Syad.g_02916	Prbk.g_02425
OG0000429	Syad.g_02918	Prbk.g_01283
OG0000430	Syad.g_02920	Prbk.g_01281
OG0000431	Syad.g_02923	Prbk.g_01277
OG0000432	Syad.g_02930	Prbk.g_01270
OG0000433	Syad.g_02933	Prbk.g_01267
OG0000434	Syad.g_02934	Prbk.g_01266
OG0000435	Syad.g_02936	Prbk.g_01263
OG0000436	Syad.g_02942	Prbk.g_01257
OG0000437	Syad.g_02943	Prbk.g_01256
OG0000438	Syad.g_02944	Prbk.g_01255
OG0000439	Syad.g_02946	Prbk.g_01253
OG0000440	Syad.g_02947	Prbk.g_01252
OG0000441	Syad.g_02951	Prbk.g_01245
OG0000442	Syad.g_02952	Prbk.g_01244
OG0000443	Syad.g_02953	Prbk.g_00631
OG0000444	Syad.g_02964	Prbk.g_00683
OG0000445	Syad.g_02965	Prbk.g_00682
OG0000446	Syad.g_02967	Prbk.g_00680
OG0000447	Syad.g_02970	Prbk.g_00670
OG0000448	Syad.g_02971	Prbk.g_00669
OG0000449	Syad.g_02972	Prbk.g_00668
OG0000450	Syad.g_02978	Prbk.g_00662
OG0000451	Syad.g_02979	Prbk.g_00661
OG0000452	Syad.g_02983	Prbk.g_00656
OG0000453	Syad.g_02984	Prbk.g_00655
OG0000454	Syad.g_02985	Prbk.g_00654
OG0000455	Syad.g_02986	Prbk.g_00653
OG0000456	Syad.g_02987	Prbk.g_00652
OG0000457	Syad.g_02989	Prbk.g_00650
OG0000458	Syad.g_02998	Prbk.g_00649
OG0000459	Syad.g_02999	Prbk.g_00648
OG0000460	Syad.g_00815	Prbk.g_01369
OG0000461	Syad.g_00579	Prbk.g_01900
OG0000462	Syad.g_00576	Prbk.g_01012
OG0000463	Syad.g_00575	Prbk.g_01011
OG0000464	Syad.g_00574	Prbk.g_01010
OG0000465	Syad.g_00573	Prbk.g_01008
OG0000466	Syad.g_00568	Prbk.g_01003
OG0000467	Syad.g_00566	Prbk.g_01001
OG0000468	Syad.g_00561	Prbk.g_00371
OG0000469	Syad.g_00545	Prbk.g_00384
OG0000470	Syad.g_00542	Prbk.g_00397
OG0000471	Syad.g_00541	Prbk.g_00398
OG0000472	Syad.g_00539	Prbk.g_00400
OG0000473	Syad.g_00537	Prbk.g_00402
OG0000474	Syad.g_00536	Prbk.g_00403
OG0000475	Syad.g_00535	Prbk.g_00404
OG0000476	Syad.g_00533	Prbk.g_00406
OG0000477	Syad.g_00528	Prbk.g_00411
OG0000478	Syad.g_00527	Prbk.g_00412
OG0000479	Syad.g_00526	Prbk.g_00413
OG0000480	Syad.g_00520	Prbk.g_00420
OG0000481	Syad.g_00518	Prbk.g_00422
OG0000482	Syad.g_00517	Prbk.g_00423
OG0000483	Syad.g_00513	Prbk.g_00427
OG0000484	Syad.g_00512	Prbk.g_00428
OG0000485	Syad.g_00511	Prbk.g_00429
OG0000486	Syad.g_00510	Prbk.g_00430
OG0000487	Syad.g_00503	Prbk.g_00435
OG0000488	Syad.g_00499	Prbk.g_00439
OG0000489	Syad.g_00487	Prbk.g_00450
OG0000490	Syad.g_00475	Prbk.g_00456
OG0000491	Syad.g_00474	Prbk.g_00457
OG0000492	Syad.g_00472	Prbk.g_00460
OG0000493	Syad.g_00471	Prbk.g_00461
OG0000494	Syad.g_00470	Prbk.g_00462
OG0000495	Syad.g_00469	Prbk.g_00463
OG0000496	Syad.g_00468	Prbk.g_00464
OG0000497	Syad.g_00467	Prbk.g_00465
OG0000498	Syad.g_00466	Prbk.g_00466
OG0000499	Syad.g_00465	Prbk.g_00467
OG0000500	Syad.g_00464	Prbk.g_00468
OG0000501	Syad.g_00461	Prbk.g_00471
OG0000502	Syad.g_00449	Prbk.g_00483
OG0000503	Syad.g_00761	Prbk.g_00871
OG0000504	Syad.g_00763	Prbk.g_00873
OG0000505	Syad.g_00764	Prbk.g_00874
OG0000506	Syad.g_00766	Prbk.g_00876
OG0000507	Syad.g_00772	Prbk.g_00881
OG0000508	Syad.g_00776	Prbk.g_00888
OG0000509	Syad.g_00778	Prbk.g_00890
OG0000510	Syad.g_00779	Prbk.g_00891
OG0000511	Syad.g_00780	Prbk.g_00892
OG0000512	Syad.g_00782	Prbk.g_00894
OG0000513	Syad.g_00789	Prbk.g_00360
OG0000514	Syad.g_00795	Prbk.g_00352
OG0000515	Syad.g_00796	Prbk.g_00351
OG0000516	Syad.g_02456	Prbk.g_00339
OG0000517	Syad.g_02451	Prbk.g_00329
OG0000518	Syad.g_02439	Prbk.g_00317
OG0000519	Syad.g_02438	Prbk.g_00316
OG0000520	Syad.g_02437	Prbk.g_00315
OG0000521	Syad.g_01108	Prbk.g_00301
OG0000522	Syad.g_01109	Prbk.g_00299
OG0000523	Syad.g_01110	Prbk.g_00298
OG0000524	Syad.g_02386	Prbk.g_02088
OG0000525	Syad.g_02363	Prbk.g_02105
OG0000526	Syad.g_02360	Prbk.g_02107
OG0000527	Syad.g_02355	Prbk.g_02111
OG0000528	Syad.g_00897	Prbk.g_02056
OG0000529	Syad.g_00905	Prbk.g_02062
OG0000530	Syad.g_00908	Prbk.g_02065
OG0000531	Syad.g_00909	Prbk.g_02066
OG0000532	Syad.g_00912	Prbk.g_02069
OG0000533	Syad.g_00913	Prbk.g_02071
OG0000534	Syad.g_00914	Prbk.g_02072
OG0000535	Syad.g_00915	Prbk.g_02073
OG0000536	Syad.g_00916	Prbk.g_02074
OG0000537	Syad.g_00917	Prbk.g_02075
OG0000538	Syad.g_00929	Prbk.g_01865
OG0000539	Syad.g_00930	Prbk.g_01041
OG0000540	Syad.g_00931	Prbk.g_01042
OG0000541	Syad.g_00932	Prbk.g_01043
OG0000542	Syad.g_00935	Prbk.g_01046
OG0000543	Syad.g_00937	Prbk.g_01048
OG0000544	Syad.g_00938	Prbk.g_01049
OG0000545	Syad.g_00940	Prbk.g_01050
OG0000546	Syad.g_00942	Prbk.g_01052
OG0000547	Syad.g_00944	Prbk.g_01054
OG0000548	Syad.g_00945	Prbk.g_01055
OG0000549	Syad.g_00952	Prbk.g_01061
OG0000550	Syad.g_00956	Prbk.g_01066
OG0000551	Syad.g_00960	Prbk.g_01070
OG0000552	Syad.g_00961	Prbk.g_01071
OG0000553	Syad.g_00965	Prbk.g_01076
