Orthogroup	Syad	Prbi
OG0000027	Syad.g_01257	Prbi.g_00472, Prbi.g_01374
OG0000028	Syad.g_00463	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344
OG0000029	Syad.g_02099	Prbi.g_00796, Prbi.g_00399
OG0000030	Syad.g_00328, Syad.g_00327	Prbi.g_02004
OG0000031	Syad.g_00294	Prbi.g_01467
OG0000034	Syad.g_02420, Syad.g_02872	Prbi.g_01401
OG0000035	Syad.g_02275	Prbi.g_01589, Prbi.g_01591
OG0000037	Syad.g_02805	Prbi.g_00116
OG0000038	Syad.g_03038	Prbi.g_02057
OG0000039	Syad.g_01249, Syad.g_01111	Prbi.g_00689
OG0000040	Syad.g_00104	Prbi.g_01187
OG0000041	Syad.g_02498, Syad.g_01281	Prbi.g_01833
OG0000042	Syad.g_00333	Prbi.g_02001
OG0000044	Syad.g_02214	Prbi.g_01744, Prbi.g_01760
OG0000047	Syad.g_00754	Prbi.g_00354
OG0000048	Syad.g_00534	Prbi.g_00398
OG0000050	Syad.g_02478	Prbi.g_01122
OG0000051	Syad.g_00842	Prbi.g_01364
OG0000053	Syad.g_02302	Prbi.g_01611
OG0000054	Syad.g_02209	Prbi.g_00608
OG0000055	Syad.g_01255	Prbi.g_00828
OG0000057	Syad.g_01301	Prbi.g_00702
OG0000059	Syad.g_00642	Prbi.g_01873
OG0000061	Syad.g_01152	Prbi.g_01207
OG0000062	Syad.g_02598	Prbi.g_01668
OG0000063	Syad.g_00202	Prbi.g_00033
OG0000065	Syad.g_02801, Syad.g_02574	Prbi.g_00114
OG0000066	Syad.g_00992	Prbi.g_00542
OG0000067	Syad.g_01889	Prbi.g_00847
OG0000068	Syad.g_00891	Prbi.g_01439
OG0000070	Syad.g_02424	Prbi.g_00451
OG0000071	Syad.g_02405	Prbi.g_01391
OG0000072	Syad.g_02905	Prbi.g_00195
OG0000073	Syad.g_00926	Prbi.g_00502
OG0000075	Syad.g_00416	Prbi.g_01970
OG0000076	Syad.g_00348	Prbi.g_01994
OG0000077	Syad.g_02741	Prbi.g_00085
OG0000078	Syad.g_00824	Prbi.g_00263
OG0000079	Syad.g_00565	Prbi.g_00276
OG0000081	Syad.g_00833	Prbi.g_00534
OG0000082	Syad.g_01063	Prbi.g_00587
OG0000084	Syad.g_02272	Prbi.g_01585
OG0000085	Syad.g_02612	Prbi.g_01780
OG0000086	Syad.g_02770	Prbi.g_00095
OG0000087	Syad.g_02860	Prbi.g_00147
OG0000088	Syad.g_02899	Prbi.g_00190
OG0000089	Syad.g_00785, Syad.g_02829	Prbi.g_00380
OG0000090	Syad.g_00977	Prbi.g_00536
OG0000091	Syad.g_02144	Prbi.g_00645
OG0000093	Syad.g_01905	Prbi.g_00977
OG0000094	Syad.g_01676	Prbi.g_01067
OG0000095	Syad.g_01290	Prbi.g_01086
OG0000097	Syad.g_01458	Prbi.g_01248
OG0000098	Syad.g_00625	Prbi.g_01421
OG0000099	Syad.g_00460	Prbi.g_01462
OG0000100	Syad.g_01846	Prbi.g_01664
OG0000101	Syad.g_00694	Prbi.g_01938
OG0000102	Syad.g_00343	Prbi.g_01999
OG0000103	Syad.g_00143	Prbi.g_02091
OG0000104	Syad.g_00158	Prbi.g_02099
OG0000105	Syad.g_00530	Prbi.g_00298
OG0000106	Syad.g_01993	Prbi.g_00394
OG0000107	Syad.g_00590	Prbi.g_00409
OG0000108	Syad.g_00904	Prbi.g_00483
OG0000109	Syad.g_00919	Prbi.g_00497
OG0000110	Syad.g_01048	Prbi.g_00577
OG0000111	Syad.g_01300	Prbi.g_00703
OG0000112	Syad.g_01766	Prbi.g_00811
OG0000113	Syad.g_01851	Prbi.g_00869
OG0000114	Syad.g_01617	Prbi.g_00951
OG0000115	Syad.g_02300	Prbi.g_01148
OG0000116	Syad.g_01123	Prbi.g_01197
OG0000117	Syad.g_01510	Prbi.g_01330
OG0000118	Syad.g_01104	Prbi.g_01403
OG0000119	Syad.g_01168	Prbi.g_01435
OG0000120	Syad.g_00459	Prbi.g_01460
OG0000121	Syad.g_02280	Prbi.g_01593
OG0000122	Syad.g_02122	Prbi.g_01630
OG0000123	Syad.g_00701	Prbi.g_01945
OG0000124	Syad.g_00320	Prbi.g_02010
OG0000125	Syad.g_03040	Prbi.g_02059
OG0000126	Syad.g_00156	Prbi.g_02098
OG0000128	Syad.g_00174	Prbi.g_00011
OG0000129	Syad.g_03028	Prbi.g_00053
OG0000130	Syad.g_02728	Prbi.g_00076
OG0000131	Syad.g_02876	Prbi.g_00169
OG0000132	Syad.g_02897	Prbi.g_00188
OG0000133	Syad.g_01761	Prbi.g_00346
OG0000134	Syad.g_00788	Prbi.g_00381
OG0000135	Syad.g_00063	Prbi.g_00407
OG0000136	Syad.g_02445	Prbi.g_00442
OG0000137	Syad.g_02353	Prbi.g_00478
OG0000138	Syad.g_00920	Prbi.g_00498
OG0000139	Syad.g_00983	Prbi.g_00540
OG0000140	Syad.g_00987	Prbi.g_00541
OG0000141	Syad.g_02208	Prbi.g_00609
OG0000142	Syad.g_02152	Prbi.g_00638
OG0000143	Syad.g_02148	Prbi.g_00642
OG0000144	Syad.g_02024	Prbi.g_00655
OG0000145	Syad.g_00927	Prbi.g_00807
OG0000146	Syad.g_01767	Prbi.g_00812
OG0000147	Syad.g_01768	Prbi.g_00813
OG0000148	Syad.g_01861	Prbi.g_00863
OG0000149	Syad.g_01221	Prbi.g_00894
OG0000150	Syad.g_02207, Syad.g_00989	Prbi.g_00902
OG0000151	Syad.g_01956	Prbi.g_00961
OG0000152	Syad.g_01757	Prbi.g_01009
OG0000153	Syad.g_01713	Prbi.g_01028
OG0000154	Syad.g_01686	Prbi.g_01060
OG0000155	Syad.g_01189	Prbi.g_01227
OG0000156	Syad.g_01116	Prbi.g_01380
OG0000157	Syad.g_01115	Prbi.g_01381
OG0000158	Syad.g_00374	Prbi.g_01489
OG0000160	Syad.g_02279	Prbi.g_01592
OG0000161	Syad.g_02287	Prbi.g_01598
OG0000162	Syad.g_02293	Prbi.g_01604
OG0000163	Syad.g_02542	Prbi.g_01637
OG0000164	Syad.g_02659	Prbi.g_01811
OG0000165	Syad.g_02476	Prbi.g_01818
OG0000166	Syad.g_00654	Prbi.g_01902
OG0000167	Syad.g_00419	Prbi.g_01968
OG0000168	Syad.g_00371	Prbi.g_01978
OG0000169	Syad.g_00360	Prbi.g_01988
OG0000170	Syad.g_00353	Prbi.g_01990
OG0000171	Syad.g_00321	Prbi.g_02009
OG0000172	Syad.g_00244	Prbi.g_02030
OG0000173	Syad.g_00220	Prbi.g_02045
OG0000174	Syad.g_00065	Prbi.g_02073
OG0000175	Syad.g_00129	Prbi.g_02083
OG0000176	Syad.g_00166	Prbi.g_00004
OG0000177	Syad.g_00167	Prbi.g_00005
OG0000178	Syad.g_00168	Prbi.g_00006
OG0000179	Syad.g_00183	Prbi.g_00016
OG0000180	Syad.g_00184	Prbi.g_00017
OG0000181	Syad.g_00185	Prbi.g_00018
OG0000182	Syad.g_00186	Prbi.g_00019
OG0000183	Syad.g_00190	Prbi.g_00023
OG0000184	Syad.g_03018	Prbi.g_00057
OG0000185	Syad.g_03006	Prbi.g_00060
OG0000186	Syad.g_02722	Prbi.g_00071
OG0000187	Syad.g_02724	Prbi.g_00072
OG0000188	Syad.g_02759	Prbi.g_00089
OG0000189	Syad.g_02788	Prbi.g_00103
OG0000190	Syad.g_02790	Prbi.g_00104
OG0000191	Syad.g_02824	Prbi.g_00125
OG0000192	Syad.g_02834	Prbi.g_00129
OG0000193	Syad.g_02877	Prbi.g_00170
OG0000194	Syad.g_02880	Prbi.g_00173
OG0000195	Syad.g_02884	Prbi.g_00175
OG0000196	Syad.g_02894	Prbi.g_00185
OG0000197	Syad.g_02895	Prbi.g_00186
OG0000198	Syad.g_02896	Prbi.g_00187
OG0000199	Syad.g_02904	Prbi.g_00194
OG0000200	Syad.g_02921	Prbi.g_00208
OG0000201	Syad.g_02937	Prbi.g_00216
OG0000202	Syad.g_02938	Prbi.g_00217
OG0000203	Syad.g_02939	Prbi.g_00218
OG0000204	Syad.g_02940	Prbi.g_00219
OG0000205	Syad.g_02948	Prbi.g_00226
OG0000206	Syad.g_02955	Prbi.g_00231
OG0000207	Syad.g_02957	Prbi.g_00233
OG0000208	Syad.g_02958	Prbi.g_00234
OG0000209	Syad.g_02981	Prbi.g_00243
OG0000210	Syad.g_02982	Prbi.g_00244
OG0000211	Syad.g_00813	Prbi.g_00257
OG0000212	Syad.g_00825	Prbi.g_00264
OG0000213	Syad.g_00556	Prbi.g_00281
OG0000214	Syad.g_00538	Prbi.g_00291
OG0000215	Syad.g_00508	Prbi.g_00316
OG0000216	Syad.g_00504, Syad.g_00285	Prbi.g_00318
OG0000217	Syad.g_00500	Prbi.g_00321
OG0000218	Syad.g_00498	Prbi.g_00323
OG0000219	Syad.g_00497	Prbi.g_00324
OG0000220	Syad.g_00496	Prbi.g_00325
OG0000221	Syad.g_00488	Prbi.g_00326
OG0000222	Syad.g_00473	Prbi.g_00334
OG0000223	Syad.g_00451	Prbi.g_00347
OG0000224	Syad.g_00444	Prbi.g_00349
OG0000225	Syad.g_00777	Prbi.g_00370
OG0000226	Syad.g_00781	Prbi.g_00374
OG0000227	Syad.g_00783	Prbi.g_00376
OG0000228	Syad.g_00784	Prbi.g_00379
OG0000229	Syad.g_02450	Prbi.g_00437
OG0000230	Syad.g_02448	Prbi.g_00439
OG0000231	Syad.g_02436	Prbi.g_00450
OG0000232	Syad.g_02392	Prbi.g_00459
OG0000233	Syad.g_02382	Prbi.g_00465
OG0000234	Syad.g_02351	Prbi.g_00479
OG0000235	Syad.g_00903	Prbi.g_00482
OG0000236	Syad.g_00918	Prbi.g_00496
OG0000237	Syad.g_00936	Prbi.g_00509
OG0000238	Syad.g_00941	Prbi.g_00515
OG0000239	Syad.g_00957	Prbi.g_00528
OG0000240	Syad.g_00958	Prbi.g_00529
OG0000241	Syad.g_02160	Prbi.g_00533
OG0000242	Syad.g_00975	Prbi.g_00535
OG0000243	Syad.g_01000	Prbi.g_00546
OG0000244	Syad.g_01012	Prbi.g_00549
OG0000245	Syad.g_01014	Prbi.g_00551
OG0000246	Syad.g_01017	Prbi.g_00555
OG0000247	Syad.g_01029	Prbi.g_00565
OG0000248	Syad.g_01032	Prbi.g_00567
OG0000249	Syad.g_01034	Prbi.g_00569
OG0000250	Syad.g_01044	Prbi.g_00574
OG0000251	Syad.g_01071	Prbi.g_00593
OG0000252	Syad.g_01078	Prbi.g_00596
OG0000253	Syad.g_01081	Prbi.g_00597
OG0000254	Syad.g_02203	Prbi.g_00613
OG0000255	Syad.g_02185	Prbi.g_00619
OG0000256	Syad.g_02167	Prbi.g_00629
OG0000257	Syad.g_02161	Prbi.g_00632
OG0000258	Syad.g_02143	Prbi.g_00646
OG0000259	Syad.g_01576	Prbi.g_00663
OG0000260	Syad.g_01587	Prbi.g_00666
OG0000261	Syad.g_01590	Prbi.g_00668
OG0000262	Syad.g_01595	Prbi.g_00672
OG0000263	Syad.g_01475	Prbi.g_00684
OG0000264	Syad.g_01360	Prbi.g_00694
OG0000265	Syad.g_01383	Prbi.g_00745
OG0000266	Syad.g_01804	Prbi.g_00755
OG0000267	Syad.g_01645	Prbi.g_00766
OG0000268	Syad.g_01646	Prbi.g_00767
OG0000269	Syad.g_01894	Prbi.g_00842
OG0000270	Syad.g_01891	Prbi.g_00845
OG0000271	Syad.g_01883	Prbi.g_00853
OG0000272	Syad.g_01882	Prbi.g_00854
OG0000273	Syad.g_01247	Prbi.g_00877
OG0000274	Syad.g_01246	Prbi.g_00878
OG0000275	Syad.g_01242	Prbi.g_00881
OG0000276	Syad.g_01229	Prbi.g_00886
OG0000277	Syad.g_01228	Prbi.g_00887
OG0000278	Syad.g_01225	Prbi.g_00890
OG0000279	Syad.g_01208	Prbi.g_00897
OG0000280	Syad.g_01198	Prbi.g_00898
OG0000281	Syad.g_00624	Prbi.g_00903
OG0000282	Syad.g_01619	Prbi.g_00953
OG0000283	Syad.g_01661	Prbi.g_00986
OG0000284	Syad.g_01787	Prbi.g_00991
OG0000285	Syad.g_01776	Prbi.g_00996
OG0000286	Syad.g_01758	Prbi.g_01008
OG0000287	Syad.g_01720	Prbi.g_01025
OG0000288	Syad.g_01687	Prbi.g_01059
OG0000289	Syad.g_01672	Prbi.g_01070
OG0000290	Syad.g_01287	Prbi.g_01083
OG0000291	Syad.g_01289	Prbi.g_01085
OG0000292	Syad.g_00155	Prbi.g_01136
OG0000293	Syad.g_01124	Prbi.g_01198
OG0000294	Syad.g_01125	Prbi.g_01199
OG0000295	Syad.g_01181	Prbi.g_01219
OG0000296	Syad.g_01183	Prbi.g_01221
OG0000297	Syad.g_01512	Prbi.g_01229
OG0000298	Syad.g_01511	Prbi.g_01230
OG0000299	Syad.g_01462	Prbi.g_01247
OG0000300	Syad.g_01455	Prbi.g_01250
OG0000301	Syad.g_01454	Prbi.g_01251
OG0000302	Syad.g_01453	Prbi.g_01253
OG0000303	Syad.g_01442	Prbi.g_01260
OG0000304	Syad.g_01436	Prbi.g_01264
OG0000305	Syad.g_01292	Prbi.g_01431
OG0000306	Syad.g_01989	Prbi.g_01434
OG0000307	Syad.g_00883	Prbi.g_01448
OG0000308	Syad.g_00881	Prbi.g_01449
OG0000309	Syad.g_00876	Prbi.g_01453
OG0000310	Syad.g_02250	Prbi.g_01574
OG0000311	Syad.g_02254	Prbi.g_01576
OG0000312	Syad.g_02265	Prbi.g_01579
OG0000313	Syad.g_02284	Prbi.g_01595
OG0000314	Syad.g_02313, Syad.g_02231	Prbi.g_01617
OG0000315	Syad.g_02323	Prbi.g_01627
OG0000316	Syad.g_02564	Prbi.g_01647
OG0000317	Syad.g_02620	Prbi.g_01785
OG0000318	Syad.g_02624	Prbi.g_01788
OG0000319	Syad.g_02642	Prbi.g_01801
OG0000320	Syad.g_02644	Prbi.g_01803
OG0000321	Syad.g_02645	Prbi.g_01804
OG0000322	Syad.g_02646	Prbi.g_01805
OG0000323	Syad.g_02661	Prbi.g_01814
OG0000324	Syad.g_02505	Prbi.g_01840
OG0000325	Syad.g_00591	Prbi.g_01849
OG0000326	Syad.g_00598	Prbi.g_01855
OG0000327	Syad.g_00649	Prbi.g_01897
OG0000328	Syad.g_00650	Prbi.g_01898
OG0000329	Syad.g_00668	Prbi.g_01915
OG0000330	Syad.g_00669	Prbi.g_01916
OG0000331	Syad.g_00670	Prbi.g_01917
OG0000332	Syad.g_00685	Prbi.g_01931
OG0000333	Syad.g_00688	Prbi.g_01933
OG0000334	Syad.g_00697	Prbi.g_01941
OG0000335	Syad.g_00702	Prbi.g_01946
OG0000336	Syad.g_00706	Prbi.g_01950
OG0000337	Syad.g_00425, Syad.g_00427	Prbi.g_01966
OG0000338	Syad.g_00421	Prbi.g_01967
OG0000339	Syad.g_00414	Prbi.g_01971
OG0000340	Syad.g_00370	Prbi.g_01979
OG0000341	Syad.g_00368	Prbi.g_01981
OG0000342	Syad.g_00367	Prbi.g_01982
OG0000343	Syad.g_00366	Prbi.g_01983
OG0000344	Syad.g_00362	Prbi.g_01986
OG0000345	Syad.g_00352	Prbi.g_01991
OG0000346	Syad.g_00347	Prbi.g_01995
OG0000347	Syad.g_00318	Prbi.g_02011
OG0000348	Syad.g_00233	Prbi.g_02033
OG0000349	Syad.g_00213	Prbi.g_02050
OG0000350	Syad.g_00605	Prbi.g_02069
OG0000351	Syad.g_00134	Prbi.g_02086
OG0000352	Syad.g_00135	Prbi.g_02087
OG0000353	Syad.g_00161	Prbi.g_02102
OG0000355	Syad.g_00163	Prbi.g_00001
OG0000356	Syad.g_00164	Prbi.g_00002
OG0000357	Syad.g_00165	Prbi.g_00003
OG0000358	Syad.g_00169	Prbi.g_00007
OG0000359	Syad.g_00171	Prbi.g_00008
OG0000360	Syad.g_00172	Prbi.g_00009
OG0000361	Syad.g_00173	Prbi.g_00010
OG0000362	Syad.g_00175	Prbi.g_00012
OG0000363	Syad.g_00177	Prbi.g_00014
OG0000364	Syad.g_00178	Prbi.g_00015
OG0000365	Syad.g_00187	Prbi.g_00020
OG0000366	Syad.g_00188	Prbi.g_00021
OG0000367	Syad.g_00189	Prbi.g_00022
OG0000368	Syad.g_00191	Prbi.g_00024
OG0000369	Syad.g_00192	Prbi.g_00025
OG0000370	Syad.g_00193	Prbi.g_00026
OG0000371	Syad.g_00201	Prbi.g_00032
OG0000372	Syad.g_00206	Prbi.g_00035
OG0000373	Syad.g_00207	Prbi.g_00036
OG0000374	Syad.g_00208	Prbi.g_00037
OG0000375	Syad.g_00209	Prbi.g_00049
OG0000376	Syad.g_00211	Prbi.g_00051
OG0000377	Syad.g_03027	Prbi.g_00056
OG0000378	Syad.g_03012	Prbi.g_00058
OG0000379	Syad.g_03005	Prbi.g_00061
OG0000380	Syad.g_02725	Prbi.g_00073
OG0000381	Syad.g_02729	Prbi.g_00077
OG0000382	Syad.g_02758	Prbi.g_00088
OG0000383	Syad.g_02761	Prbi.g_00090
OG0000384	Syad.g_02762	Prbi.g_00091
OG0000385	Syad.g_02763	Prbi.g_00092
OG0000386	Syad.g_02764	Prbi.g_00093
OG0000387	Syad.g_02792	Prbi.g_00106
OG0000388	Syad.g_02796	Prbi.g_00109
OG0000389	Syad.g_02800	Prbi.g_00113
OG0000390	Syad.g_02818	Prbi.g_00120
OG0000391	Syad.g_02823	Prbi.g_00124
OG0000392	Syad.g_02833	Prbi.g_00128
OG0000393	Syad.g_02837	Prbi.g_00130
OG0000394	Syad.g_02838	Prbi.g_00131
OG0000395	Syad.g_02839	Prbi.g_00132
OG0000396	Syad.g_02843	Prbi.g_00135
OG0000397	Syad.g_02845	Prbi.g_00137
OG0000398	Syad.g_02850	Prbi.g_00139
OG0000399	Syad.g_02851	Prbi.g_00140
OG0000400	Syad.g_02852	Prbi.g_00141
OG0000401	Syad.g_02853	Prbi.g_00142
OG0000402	Syad.g_02855	Prbi.g_00144
OG0000403	Syad.g_02856	Prbi.g_00145
OG0000404	Syad.g_02858	Prbi.g_00146
OG0000405	Syad.g_02874	Prbi.g_00150
OG0000406	Syad.g_02878	Prbi.g_00171
OG0000407	Syad.g_02879	Prbi.g_00172
OG0000408	Syad.g_02883	Prbi.g_00174
OG0000409	Syad.g_02885	Prbi.g_00176
OG0000410	Syad.g_02886	Prbi.g_00177
OG0000411	Syad.g_02887	Prbi.g_00178
OG0000412	Syad.g_02888	Prbi.g_00179
OG0000413	Syad.g_02890	Prbi.g_00180
OG0000415	Syad.g_02891	Prbi.g_00182
OG0000416	Syad.g_02892	Prbi.g_00183
OG0000417	Syad.g_02893	Prbi.g_00184
OG0000418	Syad.g_02898	Prbi.g_00189
OG0000419	Syad.g_02900	Prbi.g_00191
OG0000420	Syad.g_02902	Prbi.g_00192
OG0000421	Syad.g_02907	Prbi.g_00197
OG0000422	Syad.g_02908	Prbi.g_00198
OG0000423	Syad.g_02909	Prbi.g_00199
OG0000424	Syad.g_02910	Prbi.g_00200
OG0000425	Syad.g_02911	Prbi.g_00201
OG0000426	Syad.g_02912	Prbi.g_00202
OG0000427	Syad.g_02913	Prbi.g_00203
OG0000428	Syad.g_02916	Prbi.g_00205
OG0000429	Syad.g_02918	Prbi.g_00206
OG0000430	Syad.g_02920	Prbi.g_00207
OG0000431	Syad.g_02923	Prbi.g_00209
OG0000432	Syad.g_02930	Prbi.g_00212
OG0000433	Syad.g_02933	Prbi.g_00213
OG0000434	Syad.g_02934	Prbi.g_00214
OG0000435	Syad.g_02936	Prbi.g_00215
OG0000436	Syad.g_02942	Prbi.g_00220
OG0000437	Syad.g_02943	Prbi.g_00221
OG0000438	Syad.g_02944	Prbi.g_00222
OG0000439	Syad.g_02946	Prbi.g_00224
OG0000440	Syad.g_02947	Prbi.g_00225
OG0000441	Syad.g_02951	Prbi.g_00228
OG0000442	Syad.g_02952	Prbi.g_00229
OG0000443	Syad.g_02953	Prbi.g_00230
OG0000444	Syad.g_02964	Prbi.g_00235
OG0000445	Syad.g_02965	Prbi.g_00236
OG0000446	Syad.g_02967	Prbi.g_00237
OG0000447	Syad.g_02970	Prbi.g_00238
OG0000448	Syad.g_02971	Prbi.g_00239
OG0000449	Syad.g_02972	Prbi.g_00240
OG0000450	Syad.g_02978	Prbi.g_00241
OG0000451	Syad.g_02979	Prbi.g_00242
OG0000452	Syad.g_02983	Prbi.g_00245
OG0000453	Syad.g_02984	Prbi.g_00246
OG0000454	Syad.g_02985	Prbi.g_00247
OG0000455	Syad.g_02986	Prbi.g_00248
OG0000456	Syad.g_02987	Prbi.g_00249
OG0000457	Syad.g_02989	Prbi.g_00250
OG0000458	Syad.g_02998	Prbi.g_00251
OG0000459	Syad.g_02999	Prbi.g_00252
OG0000460	Syad.g_00815	Prbi.g_00259
OG0000461	Syad.g_00579	Prbi.g_00266
OG0000462	Syad.g_00576	Prbi.g_00268
OG0000463	Syad.g_00575	Prbi.g_00269
OG0000464	Syad.g_00574	Prbi.g_00270
OG0000465	Syad.g_00573	Prbi.g_00271
OG0000466	Syad.g_00568	Prbi.g_00274
OG0000467	Syad.g_00566	Prbi.g_00275
OG0000468	Syad.g_00561	Prbi.g_00277
OG0000469	Syad.g_00545	Prbi.g_00286
OG0000470	Syad.g_00542	Prbi.g_00288
OG0000471	Syad.g_00541	Prbi.g_00289
OG0000472	Syad.g_00539	Prbi.g_00290
OG0000473	Syad.g_00537	Prbi.g_00292
OG0000474	Syad.g_00536	Prbi.g_00293
OG0000475	Syad.g_00535	Prbi.g_00294
OG0000476	Syad.g_00533	Prbi.g_00295
OG0000477	Syad.g_00528	Prbi.g_00299
OG0000478	Syad.g_00527	Prbi.g_00300
OG0000479	Syad.g_00526	Prbi.g_00301
OG0000480	Syad.g_00520	Prbi.g_00306
OG0000481	Syad.g_00518	Prbi.g_00308
OG0000482	Syad.g_00517	Prbi.g_00309
OG0000483	Syad.g_00513	Prbi.g_00312
OG0000484	Syad.g_00512	Prbi.g_00313
OG0000485	Syad.g_00511	Prbi.g_00314
OG0000486	Syad.g_00510	Prbi.g_00315
OG0000487	Syad.g_00503	Prbi.g_00319
OG0000488	Syad.g_00499	Prbi.g_00322
OG0000489	Syad.g_00487	Prbi.g_00327
OG0000490	Syad.g_00475	Prbi.g_00332
OG0000491	Syad.g_00474	Prbi.g_00333
OG0000492	Syad.g_00472	Prbi.g_00335
OG0000493	Syad.g_00471	Prbi.g_00336
OG0000494	Syad.g_00470	Prbi.g_00337
OG0000495	Syad.g_00469	Prbi.g_00338
OG0000496	Syad.g_00468	Prbi.g_00339
OG0000497	Syad.g_00467	Prbi.g_00340
OG0000498	Syad.g_00466	Prbi.g_00341
OG0000499	Syad.g_00465	Prbi.g_00342
OG0000500	Syad.g_00464	Prbi.g_00343
OG0000501	Syad.g_00461	Prbi.g_00345
OG0000502	Syad.g_00449	Prbi.g_00348
OG0000503	Syad.g_00761	Prbi.g_00358
OG0000504	Syad.g_00763	Prbi.g_00359
OG0000505	Syad.g_00764	Prbi.g_00360
OG0000506	Syad.g_00766	Prbi.g_00362
OG0000507	Syad.g_00772	Prbi.g_00365
OG0000508	Syad.g_00776	Prbi.g_00369
OG0000509	Syad.g_00778	Prbi.g_00371
OG0000510	Syad.g_00779	Prbi.g_00372
OG0000511	Syad.g_00780	Prbi.g_00373
OG0000512	Syad.g_00782	Prbi.g_00375
OG0000513	Syad.g_00789	Prbi.g_00382
OG0000514	Syad.g_00795	Prbi.g_00432
OG0000515	Syad.g_00796	Prbi.g_00433
OG0000516	Syad.g_02456	Prbi.g_00434
OG0000517	Syad.g_02451	Prbi.g_00436
OG0000518	Syad.g_02439	Prbi.g_00447
OG0000519	Syad.g_02438	Prbi.g_00448
OG0000520	Syad.g_02437	Prbi.g_00449
OG0000521	Syad.g_01108	Prbi.g_00454
OG0000522	Syad.g_01109	Prbi.g_00456
OG0000523	Syad.g_01110	Prbi.g_00457
OG0000524	Syad.g_02386	Prbi.g_00463
OG0000525	Syad.g_02363	Prbi.g_00466
OG0000526	Syad.g_02360	Prbi.g_00467
OG0000527	Syad.g_02355	Prbi.g_00476
OG0000528	Syad.g_00897	Prbi.g_00481
OG0000529	Syad.g_00905	Prbi.g_00484
OG0000530	Syad.g_00908	Prbi.g_00487
OG0000531	Syad.g_00909	Prbi.g_00488
OG0000532	Syad.g_00912	Prbi.g_00490
OG0000533	Syad.g_00913	Prbi.g_00491
OG0000534	Syad.g_00914	Prbi.g_00492
OG0000535	Syad.g_00915	Prbi.g_00493
OG0000536	Syad.g_00916	Prbi.g_00494
OG0000537	Syad.g_00917	Prbi.g_00495
OG0000538	Syad.g_00929	Prbi.g_00503
OG0000539	Syad.g_00930	Prbi.g_00504
OG0000540	Syad.g_00931	Prbi.g_00505
OG0000541	Syad.g_00932	Prbi.g_00506
OG0000542	Syad.g_00935	Prbi.g_00508
OG0000543	Syad.g_00937	Prbi.g_00510
OG0000544	Syad.g_00938	Prbi.g_00511
OG0000545	Syad.g_00940	Prbi.g_00513
OG0000546	Syad.g_00942	Prbi.g_00516
OG0000547	Syad.g_00944	Prbi.g_00518
OG0000548	Syad.g_00945	Prbi.g_00519
OG0000549	Syad.g_00952	Prbi.g_00521
OG0000550	Syad.g_00956	Prbi.g_00526
OG0000551	Syad.g_00960	Prbi.g_00530
OG0000552	Syad.g_00961	Prbi.g_00531
OG0000553	Syad.g_00965	Prbi.g_00532
OG0000554	Syad.g_00978	Prbi.g_00537
OG0000555	Syad.g_00999	Prbi.g_00545
OG0000556	Syad.g_01003	Prbi.g_00547
OG0000557	Syad.g_01011	Prbi.g_00548
OG0000558	Syad.g_01013	Prbi.g_00550
