Orthogroup	Syam	Prbn
OG0000065	Syam.g_02121	Prbn.g_01312
OG0000066	Syam.g_00552, Syam.g_00662	Prbn.g_00577, Prbn.g_01657
OG0000067	Syam.g_01290	Prbn.g_01546
OG0000068	Syam.g_00575	Prbn.g_01240
OG0000069	Syam.g_01521	Prbn.g_00659
OG0000070	Syam.g_01847	Prbn.g_00663
OG0000071	Syam.g_01830	Prbn.g_01084
OG0000072	Syam.g_02219	Prbn.g_00383
OG0000073	Syam.g_00604	Prbn.g_00614
OG0000074	Syam.g_00533	Prbn.g_01038
OG0000075	Syam.g_00148	Prbn.g_01917
OG0000076	Syam.g_00115	Prbn.g_00996
OG0000077	Syam.g_02074	Prbn.g_01342
OG0000078	Syam.g_00514	Prbn.g_00310
OG0000079	Syam.g_00270	Prbn.g_00018
OG0000081	Syam.g_00520, Syam.g_01918	Prbn.g_00585
OG0000082	Syam.g_01730	Prbn.g_00530, Prbn.g_01734
OG0000084	Syam.g_00441	Prbn.g_00209
OG0000085	Syam.g_01979	Prbn.g_00144, Prbn.g_01737
OG0000086	Syam.g_02092	Prbn.g_01333
OG0000087	Syam.g_02175	Prbn.g_01278
OG0000088	Syam.g_02213	Prbn.g_01247
OG0000089	Syam.g_00489	Prbn.g_00696
OG0000090	Syam.g_00651	Prbn.g_00583
OG0000091	Syam.g_01460	Prbn.g_00434
OG0000093	Syam.g_01305	Prbn.g_00846
OG0000094	Syam.g_01198	Prbn.g_01369
OG0000095	Syam.g_00774	Prbn.g_01471
OG0000097	Syam.g_00874	Prbn.g_00408
OG0000098	Syam.g_00944	Prbn.g_01216
OG0000099	Syam.g_00173	Prbn.g_00173
OG0000100	Syam.g_01259	Prbn.g_00903
OG0000101	Syam.g_00371	Prbn.g_01881
OG0000102	Syam.g_00110	Prbn.g_00991
OG0000103	Syam.g_02428	Prbn.g_00907
OG0000104	Syam.g_02442	Prbn.g_00296
OG0000105	Syam.g_00238	Prbn.g_00041
OG0000106	Syam.g_01039	Prbn.g_00829
OG0000107	Syam.g_00288	Prbn.g_01810
OG0000108	Syam.g_00583	Prbn.g_00634
OG0000109	Syam.g_00598	Prbn.g_00620
OG0000110	Syam.g_01743	Prbn.g_00541
OG0000111	Syam.g_00783	Prbn.g_01561
OG0000112	Syam.g_01115	Prbn.g_00468
OG0000113	Syam.g_01264	Prbn.g_01523
OG0000114	Syam.g_01349	Prbn.g_01621
OG0000115	Syam.g_01634	Prbn.g_01120
OG0000116	Syam.g_01807	Prbn.g_01178
OG0000117	Syam.g_00904	Prbn.g_00389
OG0000118	Syam.g_01698	Prbn.g_01071
OG0000120	Syam.g_00172	Prbn.g_00170
OG0000121	Syam.g_01615	Prbn.g_00214
OG0000122	Syam.g_01436	Prbn.g_01113, Prbn.g_00255
OG0000123	Syam.g_00379	Prbn.g_01888
OG0000124	Syam.g_00096	Prbn.g_00979
OG0000125	Syam.g_02319	Prbn.g_00944
OG0000126	Syam.g_02440	Prbn.g_00295
OG0000128	Syam.g_00012	Prbn.g_00002, Prbn.g_00003
OG0000129	Syam.g_02307	Prbn.g_00737
OG0000130	Syam.g_02062	Prbn.g_00708
OG0000131	Syam.g_02191	Prbn.g_01269
OG0000132	Syam.g_02211	Prbn.g_01249
OG0000133	Syam.g_01120	Prbn.g_00088
OG0000134	Syam.g_00492	Prbn.g_00694
OG0000135	Syam.g_02347	Prbn.g_01102
OG0000136	Syam.g_01857	Prbn.g_00672
OG0000137	Syam.g_01668	Prbn.g_00639
OG0000138	Syam.g_00599	Prbn.g_00619
OG0000139	Syam.g_00657	Prbn.g_00579
OG0000140	Syam.g_00659	Prbn.g_00578
OG0000141	Syam.g_01514	Prbn.g_00507
OG0000142	Syam.g_01468	Prbn.g_00426
OG0000143	Syam.g_01464	Prbn.g_00430
OG0000144	Syam.g_01032	Prbn.g_00444
OG0000145	Syam.g_00605	Prbn.g_01100
OG0000146	Syam.g_01114	Prbn.g_00469
OG0000147	Syam.g_01113	Prbn.g_00470
OG0000148	Syam.g_01270	Prbn.g_01529
OG0000149	Syam.g_00725	Prbn.g_01497
OG0000150	Syam.g_00660	Prbn.g_01487
OG0000151	Syam.g_01338	Prbn.g_01611
OG0000152	Syam.g_01124	Prbn.g_01418
OG0000153	Syam.g_01160	Prbn.g_01399
OG0000154	Syam.g_01187	Prbn.g_01379
OG0000155	Syam.g_01763	Prbn.g_01210
OG0000156	Syam.g_01814	Prbn.g_01095
OG0000157	Syam.g_01815	Prbn.g_01094
OG0000158	Syam.g_00139	Prbn.g_01014
OG0000160	Syam.g_01614	Prbn.g_00213
OG0000161	Syam.g_01620	Prbn.g_00219
OG0000162	Syam.g_01627	Prbn.g_00225
OG0000163	Syam.g_01927	Prbn.g_00264
OG0000164	Syam.g_02023	Prbn.g_01770
OG0000165	Syam.g_01879, Syam.g_01878	Prbn.g_01777
OG0000166	Syam.g_00330	Prbn.g_01844
OG0000167	Syam.g_00151	Prbn.g_01915
OG0000168	Syam.g_00138	Prbn.g_01013
OG0000169	Syam.g_00127	Prbn.g_01003
OG0000170	Syam.g_00120	Prbn.g_01000
OG0000171	Syam.g_00097	Prbn.g_00980
OG0000172	Syam.g_00075	Prbn.g_00973
OG0000173	Syam.g_00057	Prbn.g_00958
OG0000174	Syam.g_02349	Prbn.g_00929
OG0000175	Syam.g_02417	Prbn.g_00916
OG0000176	Syam.g_00004	Prbn.g_00010
OG0000177	Syam.g_00005	Prbn.g_00009
OG0000178	Syam.g_00006	Prbn.g_00008
OG0000179	Syam.g_00021	Prbn.g_00766
OG0000180	Syam.g_00022	Prbn.g_00765
OG0000181	Syam.g_00023	Prbn.g_00764
OG0000182	Syam.g_00024	Prbn.g_00763
OG0000183	Syam.g_00028	Prbn.g_00759
OG0000184	Syam.g_02298	Prbn.g_00733
OG0000185	Syam.g_02295	Prbn.g_00730
OG0000186	Syam.g_02058	Prbn.g_00714
OG0000187	Syam.g_02059	Prbn.g_00713
OG0000188	Syam.g_02081	Prbn.g_01339
OG0000189	Syam.g_02108	Prbn.g_01325
OG0000190	Syam.g_02110	Prbn.g_01323
OG0000191	Syam.g_02142	Prbn.g_01300
OG0000192	Syam.g_02148	Prbn.g_01295
OG0000193	Syam.g_02192	Prbn.g_01268
OG0000194	Syam.g_02195	Prbn.g_01265
OG0000195	Syam.g_02197	Prbn.g_01263
OG0000196	Syam.g_02208	Prbn.g_01252
OG0000197	Syam.g_02209	Prbn.g_01251
OG0000198	Syam.g_02210	Prbn.g_01250
OG0000199	Syam.g_02218	Prbn.g_01243, Prbn.g_00384
OG0000200	Syam.g_02234	Prbn.g_00370
OG0000201	Syam.g_02248	Prbn.g_00361
OG0000202	Syam.g_02249	Prbn.g_00360
OG0000203	Syam.g_02250	Prbn.g_00359
OG0000204	Syam.g_02251	Prbn.g_00358
OG0000205	Syam.g_02258	Prbn.g_00351
OG0000206	Syam.g_02264	Prbn.g_00346
OG0000207	Syam.g_02266	Prbn.g_00343
OG0000208	Syam.g_02267	Prbn.g_00342
OG0000209	Syam.g_02278	Prbn.g_00333
OG0000210	Syam.g_02279	Prbn.g_00332
OG0000211	Syam.g_00504	Prbn.g_00317
OG0000212	Syam.g_00515	Prbn.g_00309
OG0000213	Syam.g_00263	Prbn.g_00024
OG0000214	Syam.g_00247	Prbn.g_00034
OG0000215	Syam.g_00216	Prbn.g_00061
OG0000216	Syam.g_00212	Prbn.g_00062
OG0000217	Syam.g_00208	Prbn.g_00065
OG0000218	Syam.g_00206	Prbn.g_00067
OG0000219	Syam.g_00205	Prbn.g_00068
OG0000220	Syam.g_00204	Prbn.g_00069
OG0000221	Syam.g_00198	Prbn.g_00070
OG0000222	Syam.g_00186	Prbn.g_00077
OG0000223	Syam.g_00168	Prbn.g_00089
OG0000224	Syam.g_00164	Prbn.g_00091
OG0000225	Syam.g_00473	Prbn.g_00117
OG0000226	Syam.g_00477	Prbn.g_00121
OG0000227	Syam.g_00479	Prbn.g_00123
OG0000228	Syam.g_00488	Prbn.g_00697
OG0000229	Syam.g_01867	Prbn.g_00677
OG0000230	Syam.g_01865	Prbn.g_00675
OG0000231	Syam.g_01848	Prbn.g_00664
OG0000232	Syam.g_01692	Prbn.g_00653
OG0000233	Syam.g_01678	Prbn.g_00647
OG0000234	Syam.g_01667	Prbn.g_00638
OG0000235	Syam.g_00582	Prbn.g_00635
OG0000236	Syam.g_00597	Prbn.g_00621
OG0000237	Syam.g_00614	Prbn.g_00608
OG0000238	Syam.g_00619	Prbn.g_00602
OG0000239	Syam.g_00637	Prbn.g_00591
OG0000240	Syam.g_00638	Prbn.g_00590
OG0000241	Syam.g_01477	Prbn.g_00586
OG0000242	Syam.g_00649	Prbn.g_00584
OG0000243	Syam.g_00668	Prbn.g_00573
OG0000244	Syam.g_00674	Prbn.g_00570
OG0000245	Syam.g_00676	Prbn.g_00568
OG0000246	Syam.g_00680	Prbn.g_00564
OG0000247	Syam.g_00692	Prbn.g_00554
OG0000248	Syam.g_00695	Prbn.g_00551
OG0000249	Syam.g_00697	Prbn.g_00549
OG0000250	Syam.g_01747	Prbn.g_00544
OG0000251	Syam.g_01722	Prbn.g_00524
OG0000252	Syam.g_01719	Prbn.g_00521
OG0000253	Syam.g_01718	Prbn.g_00520
OG0000254	Syam.g_01510	Prbn.g_00503
OG0000255	Syam.g_01500	Prbn.g_00497
OG0000256	Syam.g_01484	Prbn.g_00487
OG0000257	Syam.g_01478	Prbn.g_00421
OG0000258	Syam.g_01459	Prbn.g_00435
OG0000259	Syam.g_01378	Prbn.g_00835
OG0000260	Syam.g_01375	Prbn.g_00838
OG0000261	Syam.g_01372	Prbn.g_00841
OG0000262	Syam.g_01367	Prbn.g_00845
OG0000263	Syam.g_00885	Prbn.g_01583
OG0000264	Syam.g_00805	Prbn.g_01572
OG0000265	Syam.g_01880	Prbn.g_01554
OG0000266	Syam.g_01234	Prbn.g_00864
OG0000267	Syam.g_01071	Prbn.g_01350
OG0000268	Syam.g_01072	Prbn.g_01351
OG0000269	Syam.g_01295	Prbn.g_01551
OG0000270	Syam.g_01292	Prbn.g_01548
OG0000271	Syam.g_01284	Prbn.g_01540
OG0000272	Syam.g_01283	Prbn.g_01539
OG0000273	Syam.g_00745	Prbn.g_01515
OG0000274	Syam.g_00744	Prbn.g_01514
OG0000275	Syam.g_00741	Prbn.g_01511
OG0000276	Syam.g_00733	Prbn.g_01505
OG0000277	Syam.g_00732	Prbn.g_01504
OG0000278	Syam.g_00729	Prbn.g_01501
OG0000279	Syam.g_00721	Prbn.g_01494
OG0000280	Syam.g_00701	Prbn.g_01493
OG0000281	Syam.g_00943	Prbn.g_01486
OG0000282	Syam.g_01347	Prbn.g_01619
OG0000283	Syam.g_01087	Prbn.g_01442
OG0000284	Syam.g_01093	Prbn.g_01437
OG0000285	Syam.g_01105	Prbn.g_01432
OG0000286	Syam.g_01123	Prbn.g_01419
OG0000287	Syam.g_01153	Prbn.g_01123
OG0000288	Syam.g_01186	Prbn.g_01380
OG0000289	Syam.g_01201	Prbn.g_01364
OG0000290	Syam.g_00771	Prbn.g_01468
OG0000291	Syam.g_00773	Prbn.g_01470
OG0000292	Syam.g_02439	Prbn.g_01144
OG0000293	Syam.g_01806	Prbn.g_01179
OG0000294	Syam.g_01805	Prbn.g_01180
OG0000295	Syam.g_01771	Prbn.g_01203
OG0000296	Syam.g_01769	Prbn.g_01205
OG0000297	Syam.g_00906	Prbn.g_00387
OG0000298	Syam.g_00905	Prbn.g_00388
OG0000299	Syam.g_00878	Prbn.g_00407
OG0000300	Syam.g_00871	Prbn.g_00410
OG0000301	Syam.g_00870	Prbn.g_00411
OG0000302	Syam.g_00868	Prbn.g_00413
OG0000303	Syam.g_00859	Prbn.g_00419
OG0000304	Syam.g_00853	Prbn.g_00482
OG0000305	Syam.g_00776	Prbn.g_01146
OG0000306	Syam.g_01757	Prbn.g_01482
OG0000307	Syam.g_00566	Prbn.g_00159
OG0000308	Syam.g_00564	Prbn.g_00160
OG0000309	Syam.g_00559	Prbn.g_00164
OG0000310	Syam.g_01591	Prbn.g_00198
OG0000311	Syam.g_01595	Prbn.g_00200
OG0000312	Syam.g_01601	Prbn.g_00203
OG0000313	Syam.g_01617	Prbn.g_00216
OG0000314	Syam.g_01647	Prbn.g_00239
OG0000315	Syam.g_01658	Prbn.g_00249
OG0000316	Syam.g_01945	Prbn.g_00274
OG0000317	Syam.g_01987	Prbn.g_01742
OG0000318	Syam.g_01991	Prbn.g_01746
OG0000319	Syam.g_02006	Prbn.g_01759
OG0000320	Syam.g_02008	Prbn.g_01761
OG0000321	Syam.g_02009	Prbn.g_01762
OG0000322	Syam.g_02010	Prbn.g_01763
OG0000323	Syam.g_02025	Prbn.g_01773
OG0000324	Syam.g_01906	Prbn.g_01800
OG0000325	Syam.g_00289	Prbn.g_01811
OG0000326	Syam.g_00296	Prbn.g_01818
OG0000327	Syam.g_00325	Prbn.g_01839
OG0000328	Syam.g_00326	Prbn.g_01840
OG0000329	Syam.g_00344	Prbn.g_01857
OG0000330	Syam.g_00345	Prbn.g_01858
OG0000331	Syam.g_00346	Prbn.g_01859
OG0000332	Syam.g_00361	Prbn.g_01873
OG0000333	Syam.g_00364	Prbn.g_01875
OG0000334	Syam.g_00375	Prbn.g_01884
OG0000335	Syam.g_00380	Prbn.g_01889
OG0000336	Syam.g_00384	Prbn.g_01893
OG0000337	Syam.g_00155	Prbn.g_01911
OG0000338	Syam.g_00153	Prbn.g_01912
OG0000339	Syam.g_00147	Prbn.g_01918
OG0000340	Syam.g_00137	Prbn.g_01012
OG0000341	Syam.g_00135	Prbn.g_01010
OG0000342	Syam.g_00134	Prbn.g_01009
OG0000343	Syam.g_00133	Prbn.g_01008
OG0000344	Syam.g_00129	Prbn.g_01005
OG0000345	Syam.g_00119	Prbn.g_00999
OG0000346	Syam.g_00114	Prbn.g_00995
OG0000347	Syam.g_00083	Prbn.g_00978
OG0000348	Syam.g_00068	Prbn.g_00970
OG0000349	Syam.g_00050	Prbn.g_00953
OG0000350	Syam.g_00303	Prbn.g_00798
OG0000351	Syam.g_02420	Prbn.g_00913
OG0000352	Syam.g_02421	Prbn.g_00912
OG0000353	Syam.g_02445	Prbn.g_00299
OG0000355	Syam.g_00001	Prbn.g_00301
OG0000356	Syam.g_00002	Prbn.g_00302
OG0000357	Syam.g_00003	Prbn.g_00011
OG0000358	Syam.g_00007	Prbn.g_00007
OG0000359	Syam.g_00009	Prbn.g_00006
OG0000360	Syam.g_00010	Prbn.g_00005
OG0000361	Syam.g_00011	Prbn.g_00004
OG0000362	Syam.g_00013	Prbn.g_00001
OG0000363	Syam.g_00015	Prbn.g_00768
OG0000364	Syam.g_00016	Prbn.g_00767
OG0000365	Syam.g_00025	Prbn.g_00762
OG0000366	Syam.g_00026	Prbn.g_00761
OG0000367	Syam.g_00027	Prbn.g_00760
OG0000368	Syam.g_00029	Prbn.g_00758
OG0000369	Syam.g_00030	Prbn.g_00757
OG0000370	Syam.g_00031	Prbn.g_00756
OG0000371	Syam.g_00038	Prbn.g_00749
OG0000372	Syam.g_00043	Prbn.g_00746
OG0000373	Syam.g_00044	Prbn.g_00745
OG0000374	Syam.g_00045	Prbn.g_00744
OG0000375	Syam.g_00046	Prbn.g_00742
OG0000376	Syam.g_00048	Prbn.g_00740
OG0000377	Syam.g_02306	Prbn.g_00736
OG0000378	Syam.g_02297	Prbn.g_00732
OG0000379	Syam.g_02294	Prbn.g_00729
OG0000380	Syam.g_02060	Prbn.g_00712
OG0000381	Syam.g_02063	Prbn.g_00707
OG0000382	Syam.g_02080	Prbn.g_01340
OG0000383	Syam.g_02083	Prbn.g_01338
OG0000384	Syam.g_02084	Prbn.g_01337
OG0000385	Syam.g_02085	Prbn.g_01336
OG0000386	Syam.g_02086	Prbn.g_01335
OG0000387	Syam.g_02112	Prbn.g_01321
OG0000388	Syam.g_02116	Prbn.g_01317
OG0000389	Syam.g_02120	Prbn.g_01314
OG0000390	Syam.g_02136	Prbn.g_01304
OG0000391	Syam.g_02141	Prbn.g_01301
OG0000392	Syam.g_02147	Prbn.g_01297
OG0000393	Syam.g_02149	Prbn.g_01294
OG0000394	Syam.g_02150	Prbn.g_01293
OG0000395	Syam.g_02151	Prbn.g_01292
OG0000396	Syam.g_02153	Prbn.g_01290
OG0000397	Syam.g_02160	Prbn.g_01288
OG0000398	Syam.g_02165	Prbn.g_01285
OG0000399	Syam.g_02166	Prbn.g_01284
OG0000400	Syam.g_02167	Prbn.g_01283
OG0000401	Syam.g_02168	Prbn.g_01282
OG0000402	Syam.g_02171	Prbn.g_01356
OG0000403	Syam.g_02172	Prbn.g_01280
OG0000404	Syam.g_02173	Prbn.g_01279
OG0000405	Syam.g_02189	Prbn.g_01275
OG0000406	Syam.g_02193	Prbn.g_01267
OG0000407	Syam.g_02194	Prbn.g_01266
OG0000408	Syam.g_02196	Prbn.g_01264
OG0000409	Syam.g_02198	Prbn.g_01262
OG0000410	Syam.g_02199	Prbn.g_01261
OG0000411	Syam.g_02200	Prbn.g_01260
OG0000412	Syam.g_02201	Prbn.g_01259
OG0000413	Syam.g_02203	Prbn.g_01257
OG0000414	Syam.g_02204	Prbn.g_01256
OG0000415	Syam.g_02205	Prbn.g_01255
OG0000416	Syam.g_02206	Prbn.g_01254
OG0000417	Syam.g_02207	Prbn.g_01253
OG0000418	Syam.g_02212	Prbn.g_01248
OG0000419	Syam.g_02214	Prbn.g_01246
OG0000420	Syam.g_02216	Prbn.g_01245
OG0000421	Syam.g_02221	Prbn.g_00381
OG0000422	Syam.g_02222	Prbn.g_00380
OG0000423	Syam.g_02223	Prbn.g_00379
OG0000424	Syam.g_02224	Prbn.g_00378
OG0000425	Syam.g_02225	Prbn.g_00377
OG0000426	Syam.g_02226	Prbn.g_00376
OG0000427	Syam.g_02227	Prbn.g_00375
OG0000428	Syam.g_02230	Prbn.g_00373
OG0000429	Syam.g_02232	Prbn.g_00372
OG0000430	Syam.g_02233	Prbn.g_00371
OG0000431	Syam.g_02237	Prbn.g_00369
OG0000432	Syam.g_02243	Prbn.g_00365
OG0000433	Syam.g_02244	Prbn.g_00364
OG0000434	Syam.g_02245	Prbn.g_00363
OG0000435	Syam.g_02246	Prbn.g_00362
OG0000436	Syam.g_02252	Prbn.g_00357
OG0000437	Syam.g_02253	Prbn.g_00356
OG0000438	Syam.g_02254	Prbn.g_00355
OG0000439	Syam.g_02256	Prbn.g_00353
OG0000440	Syam.g_02257	Prbn.g_00352
OG0000441	Syam.g_02261	Prbn.g_00349
OG0000442	Syam.g_02262	Prbn.g_00348
OG0000443	Syam.g_02263	Prbn.g_00347
OG0000444	Syam.g_02268	Prbn.g_00341
OG0000445	Syam.g_02269	Prbn.g_00340
OG0000446	Syam.g_02270	Prbn.g_00339
OG0000447	Syam.g_02272	Prbn.g_00338
OG0000448	Syam.g_02273	Prbn.g_00337
OG0000449	Syam.g_02274	Prbn.g_00336
OG0000450	Syam.g_02275	Prbn.g_00335
OG0000451	Syam.g_02276	Prbn.g_00334
OG0000452	Syam.g_02280	Prbn.g_00331
OG0000453	Syam.g_02281	Prbn.g_00330
OG0000454	Syam.g_02282	Prbn.g_00329
OG0000455	Syam.g_02283	Prbn.g_00328
OG0000456	Syam.g_02284	Prbn.g_00327
OG0000457	Syam.g_02286	Prbn.g_00325
OG0000458	Syam.g_02287	Prbn.g_00324
OG0000459	Syam.g_02288	Prbn.g_00323
OG0000460	Syam.g_00506	Prbn.g_00315
OG0000461	Syam.g_00284	Prbn.g_00307
OG0000462	Syam.g_00281	Prbn.g_00305
OG0000463	Syam.g_00280	Prbn.g_00304
OG0000464	Syam.g_00279	Prbn.g_00012
OG0000465	Syam.g_00277	Prbn.g_00013
OG0000466	Syam.g_00273	Prbn.g_00016
OG0000467	Syam.g_00271	Prbn.g_00017
OG0000468	Syam.g_00266	Prbn.g_00020
OG0000469	Syam.g_00253	Prbn.g_00028
OG0000470	Syam.g_00251	Prbn.g_00030
OG0000471	Syam.g_00250	Prbn.g_00031
OG0000472	Syam.g_00248	Prbn.g_00033
OG0000473	Syam.g_00246	Prbn.g_00035
OG0000474	Syam.g_00245	Prbn.g_00036
OG0000475	Syam.g_00244	Prbn.g_00037
OG0000476	Syam.g_00242	Prbn.g_00039
OG0000477	Syam.g_00236	Prbn.g_00042
OG0000478	Syam.g_00235	Prbn.g_00043
OG0000479	Syam.g_00234	Prbn.g_00044
OG0000480	Syam.g_00227	Prbn.g_00049
OG0000481	Syam.g_00225	Prbn.g_00052
OG0000482	Syam.g_00224	Prbn.g_00053
OG0000483	Syam.g_00220	Prbn.g_00056
OG0000484	Syam.g_00219	Prbn.g_00057
OG0000485	Syam.g_00218	Prbn.g_00059
OG0000486	Syam.g_00217	Prbn.g_00060
OG0000487	Syam.g_00211	Prbn.g_00063
OG0000488	Syam.g_00207	Prbn.g_00066
OG0000489	Syam.g_00197	Prbn.g_00071
OG0000490	Syam.g_00189	Prbn.g_00075
OG0000491	Syam.g_00187	Prbn.g_00076
OG0000492	Syam.g_00185	Prbn.g_00078
OG0000493	Syam.g_00184	Prbn.g_00079
OG0000494	Syam.g_00183	Prbn.g_00080
OG0000495	Syam.g_00182	Prbn.g_00081
OG0000496	Syam.g_00181	Prbn.g_00082
OG0000497	Syam.g_00180	Prbn.g_00083
OG0000498	Syam.g_00179	Prbn.g_00084
OG0000499	Syam.g_00178	Prbn.g_00085
OG0000500	Syam.g_00177	Prbn.g_00086
OG0000501	Syam.g_00174	Prbn.g_00087
OG0000502	Syam.g_00165	Prbn.g_00090
OG0000503	Syam.g_00457	Prbn.g_00105
OG0000504	Syam.g_00459	Prbn.g_00107
OG0000505	Syam.g_00460	Prbn.g_00108
OG0000506	Syam.g_00462	Prbn.g_00109
OG0000507	Syam.g_00468	Prbn.g_00112
OG0000508	Syam.g_00472	Prbn.g_00116
OG0000509	Syam.g_00474	Prbn.g_00118
OG0000510	Syam.g_00475	Prbn.g_00119
OG0000511	Syam.g_00476	Prbn.g_00120
OG0000512	Syam.g_00478	Prbn.g_00122
OG0000513	Syam.g_00493	Prbn.g_00693
OG0000514	Syam.g_00499	Prbn.g_00682
OG0000515	Syam.g_00500	Prbn.g_00681
OG0000516	Syam.g_01862	Prbn.g_00680
OG0000517	Syam.g_01868	Prbn.g_00678
OG0000518	Syam.g_01851	Prbn.g_00667
OG0000519	Syam.g_01850	Prbn.g_00666
OG0000520	Syam.g_01849	Prbn.g_00665
OG0000521	Syam.g_01696	Prbn.g_00657
OG0000522	Syam.g_01694	Prbn.g_00655
OG0000523	Syam.g_01693	Prbn.g_00654
OG0000524	Syam.g_01681	Prbn.g_00649
OG0000525	Syam.g_01677	Prbn.g_00645
OG0000526	Syam.g_01674	Prbn.g_00644
OG0000527	Syam.g_01670	Prbn.g_00641
OG0000528	Syam.g_00580	Prbn.g_00636
OG0000529	Syam.g_00584	Prbn.g_00633
OG0000530	Syam.g_00587	Prbn.g_00630
OG0000531	Syam.g_00588	Prbn.g_00629
OG0000532	Syam.g_00591	Prbn.g_00627
OG0000533	Syam.g_00592	Prbn.g_00626
OG0000534	Syam.g_00593	Prbn.g_00625
OG0000535	Syam.g_00594	Prbn.g_00624
OG0000536	Syam.g_00595	Prbn.g_00623
OG0000537	Syam.g_00596	Prbn.g_00622
OG0000538	Syam.g_00607	Prbn.g_00613
OG0000539	Syam.g_00608	Prbn.g_00612
OG0000540	Syam.g_00609	Prbn.g_00611
OG0000541	Syam.g_00610	Prbn.g_00610
OG0000542	Syam.g_00613	Prbn.g_00609
OG0000543	Syam.g_00615	Prbn.g_00607
OG0000544	Syam.g_00616	Prbn.g_00606
OG0000545	Syam.g_00618	Prbn.g_00604
OG0000546	Syam.g_00620	Prbn.g_00601
OG0000547	Syam.g_00622	Prbn.g_00599
OG0000548	Syam.g_00623	Prbn.g_00598
OG0000549	Syam.g_00630	Prbn.g_00596
OG0000550	Syam.g_00635	Prbn.g_00592
OG0000551	Syam.g_00640	Prbn.g_00589
OG0000552	Syam.g_00641	Prbn.g_00588
OG0000553	Syam.g_00643	Prbn.g_00587
OG0000554	Syam.g_00652	Prbn.g_00582
OG0000555	Syam.g_00667	Prbn.g_00574
OG0000556	Syam.g_00670	Prbn.g_00572
OG0000557	Syam.g_00672	Prbn.g_00571
