Orthogroup	Syam	Prbg
OG0000105	Syam.g_00238	Prbg.g_00053
OG0000106	Syam.g_01039	Prbg.g_00388
OG0000107	Syam.g_00288	Prbg.g_01714
OG0000108	Syam.g_00583	Prbg.g_00199
OG0000109	Syam.g_00598	Prbg.g_00213
OG0000110	Syam.g_01743	Prbg.g_00293
OG0000111	Syam.g_00783	Prbg.g_01144
OG0000112	Syam.g_01115	Prbg.g_00366
OG0000113	Syam.g_01264	Prbg.g_01182
OG0000114	Syam.g_01349	Prbg.g_01084
OG0000115	Syam.g_01634	Prbg.g_01555
OG0000116	Syam.g_01807	Prbg.g_01497
OG0000117	Syam.g_00904	Prbg.g_01459
OG0000118	Syam.g_01698	Prbg.g_00490
OG0000120	Syam.g_00172	Prbg.g_00549
OG0000121	Syam.g_01615	Prbg.g_00593
OG0000122	Syam.g_01436	Prbg.g_00448, Prbg.g_00634
OG0000123	Syam.g_00379	Prbg.g_01792
OG0000124	Syam.g_00096	Prbg.g_01864
OG0000125	Syam.g_02319	Prbg.g_01900
OG0000126	Syam.g_02440	Prbg.g_00762
OG0000128	Syam.g_00012	Prbg.g_00778
OG0000129	Syam.g_02307	Prbg.g_00829
OG0000130	Syam.g_02062	Prbg.g_00800
OG0000131	Syam.g_02191	Prbg.g_00922
OG0000132	Syam.g_02211	Prbg.g_00942
OG0000133	Syam.g_01120	Prbg.g_00100
OG0000134	Syam.g_00492	Prbg.g_00139
OG0000135	Syam.g_02347	Prbg.g_00459
OG0000136	Syam.g_01857	Prbg.g_00161
OG0000137	Syam.g_01668	Prbg.g_00194
OG0000138	Syam.g_00599	Prbg.g_00214
OG0000139	Syam.g_00657	Prbg.g_00254
OG0000140	Syam.g_00659	Prbg.g_00255
OG0000141	Syam.g_01514	Prbg.g_00327
OG0000142	Syam.g_01468	Prbg.g_01422
OG0000143	Syam.g_01464	Prbg.g_01418
OG0000144	Syam.g_01032	Prbg.g_01404
OG0000145	Syam.g_00605	Prbg.g_00461
OG0000146	Syam.g_01114	Prbg.g_00365
OG0000147	Syam.g_01113	Prbg.g_00364
OG0000148	Syam.g_01270	Prbg.g_01176
OG0000149	Syam.g_00725	Prbg.g_01208
OG0000150	Syam.g_00660	Prbg.g_01218
OG0000151	Syam.g_01338	Prbg.g_01094
OG0000152	Syam.g_01124	Prbg.g_01287
OG0000153	Syam.g_01160	Prbg.g_01306
OG0000154	Syam.g_01187	Prbg.g_01326
OG0000155	Syam.g_01763	Prbg.g_01465
OG0000156	Syam.g_01814	Prbg.g_00466
OG0000157	Syam.g_01815	Prbg.g_00467
OG0000158	Syam.g_00139	Prbg.g_01829
OG0000160	Syam.g_01614	Prbg.g_00592
OG0000161	Syam.g_01620	Prbg.g_00598
OG0000162	Syam.g_01627	Prbg.g_00604
OG0000163	Syam.g_01927	Prbg.g_00643
OG0000164	Syam.g_02023	Prbg.g_01674
OG0000165	Syam.g_01879, Syam.g_01878	Prbg.g_01681
OG0000166	Syam.g_00330	Prbg.g_01748
OG0000167	Syam.g_00151	Prbg.g_01819
OG0000168	Syam.g_00138	Prbg.g_01830
OG0000169	Syam.g_00127	Prbg.g_01840
OG0000170	Syam.g_00120	Prbg.g_01843
OG0000171	Syam.g_00097	Prbg.g_01863
OG0000172	Syam.g_00075	Prbg.g_01870
OG0000173	Syam.g_00057	Prbg.g_01885
OG0000174	Syam.g_02349	Prbg.g_01915
OG0000175	Syam.g_02417	Prbg.g_01928
OG0000176	Syam.g_00004	Prbg.g_00771
OG0000177	Syam.g_00005	Prbg.g_00772
OG0000178	Syam.g_00006	Prbg.g_00773
OG0000179	Syam.g_00021	Prbg.g_00858
OG0000180	Syam.g_00022	Prbg.g_00857
OG0000181	Syam.g_00023	Prbg.g_00856
OG0000182	Syam.g_00024	Prbg.g_00855
OG0000183	Syam.g_00028	Prbg.g_00851
OG0000184	Syam.g_02298	Prbg.g_00825
OG0000185	Syam.g_02295	Prbg.g_00822
OG0000186	Syam.g_02058	Prbg.g_00806
OG0000187	Syam.g_02059	Prbg.g_00805
OG0000188	Syam.g_02081	Prbg.g_00788
OG0000189	Syam.g_02108	Prbg.g_00866
OG0000190	Syam.g_02110	Prbg.g_00868
OG0000191	Syam.g_02142	Prbg.g_00891
OG0000192	Syam.g_02148	Prbg.g_00896
OG0000193	Syam.g_02192	Prbg.g_00923
OG0000194	Syam.g_02195	Prbg.g_00926
OG0000195	Syam.g_02197	Prbg.g_00928
OG0000196	Syam.g_02208	Prbg.g_00939
OG0000197	Syam.g_02209	Prbg.g_00940
OG0000198	Syam.g_02210	Prbg.g_00941
OG0000199	Syam.g_02218	Prbg.g_00948
OG0000200	Syam.g_02234	Prbg.g_00962
OG0000201	Syam.g_02248	Prbg.g_00971
OG0000202	Syam.g_02249	Prbg.g_00972
OG0000203	Syam.g_02250	Prbg.g_00973
OG0000204	Syam.g_02251	Prbg.g_00974
OG0000205	Syam.g_02258	Prbg.g_00981
OG0000206	Syam.g_02264	Prbg.g_00986
OG0000207	Syam.g_02266	Prbg.g_00989
OG0000208	Syam.g_02267	Prbg.g_00990
OG0000209	Syam.g_02278	Prbg.g_00999
OG0000210	Syam.g_02279	Prbg.g_01000
OG0000211	Syam.g_00504	Prbg.g_01015
OG0000212	Syam.g_00515	Prbg.g_01023
OG0000213	Syam.g_00263	Prbg.g_01041
OG0000214	Syam.g_00247	Prbg.g_00046
OG0000215	Syam.g_00216	Prbg.g_00073
OG0000216	Syam.g_00212	Prbg.g_00074
OG0000217	Syam.g_00208	Prbg.g_00077
OG0000218	Syam.g_00206	Prbg.g_00079
OG0000219	Syam.g_00205	Prbg.g_00080
OG0000220	Syam.g_00204	Prbg.g_00081
OG0000221	Syam.g_00198	Prbg.g_00082
OG0000222	Syam.g_00186	Prbg.g_00089
OG0000223	Syam.g_00168	Prbg.g_00101
OG0000224	Syam.g_00164	Prbg.g_00103
OG0000225	Syam.g_00473	Prbg.g_00129
OG0000226	Syam.g_00477	Prbg.g_01941
OG0000227	Syam.g_00479	Prbg.g_01943
OG0000228	Syam.g_00488	Prbg.g_00136
OG0000229	Syam.g_01867	Prbg.g_00156
OG0000230	Syam.g_01865	Prbg.g_00158
OG0000231	Syam.g_01848	Prbg.g_00169
OG0000232	Syam.g_01692	Prbg.g_00180
OG0000233	Syam.g_01678	Prbg.g_00186
OG0000234	Syam.g_01667	Prbg.g_00195
OG0000235	Syam.g_00582	Prbg.g_00198
OG0000236	Syam.g_00597	Prbg.g_00212
OG0000237	Syam.g_00614	Prbg.g_00225
OG0000238	Syam.g_00619	Prbg.g_00231
OG0000239	Syam.g_00637	Prbg.g_00242
OG0000240	Syam.g_00638	Prbg.g_00243
OG0000241	Syam.g_01477	Prbg.g_00247
OG0000242	Syam.g_00649	Prbg.g_00249
OG0000243	Syam.g_00668	Prbg.g_00260
OG0000244	Syam.g_00674	Prbg.g_00264
OG0000245	Syam.g_00676	Prbg.g_00266
OG0000246	Syam.g_00680	Prbg.g_00270
OG0000247	Syam.g_00692	Prbg.g_00280
OG0000248	Syam.g_00695	Prbg.g_00283
OG0000249	Syam.g_00697	Prbg.g_00285
OG0000250	Syam.g_01747	Prbg.g_00290
OG0000251	Syam.g_01722	Prbg.g_00310
OG0000252	Syam.g_01719	Prbg.g_00313
OG0000253	Syam.g_01718	Prbg.g_00314
OG0000254	Syam.g_01510	Prbg.g_00331
OG0000255	Syam.g_01500	Prbg.g_00337
OG0000256	Syam.g_01484	Prbg.g_00347
OG0000257	Syam.g_01478	Prbg.g_01427
OG0000258	Syam.g_01459	Prbg.g_01413
OG0000259	Syam.g_01378	Prbg.g_01396
OG0000260	Syam.g_01375	Prbg.g_01393
OG0000261	Syam.g_01372	Prbg.g_01390
OG0000262	Syam.g_01367	Prbg.g_01386
OG0000263	Syam.g_00885	Prbg.g_01122
OG0000264	Syam.g_00805	Prbg.g_01133
OG0000265	Syam.g_01880	Prbg.g_01151
OG0000266	Syam.g_01234	Prbg.g_01367
OG0000267	Syam.g_01071	Prbg.g_01355
OG0000268	Syam.g_01072	Prbg.g_01354
OG0000269	Syam.g_01295	Prbg.g_01154
OG0000270	Syam.g_01292	Prbg.g_01157
OG0000271	Syam.g_01284	Prbg.g_01165
OG0000272	Syam.g_01283	Prbg.g_01166
OG0000273	Syam.g_00745	Prbg.g_01190
OG0000274	Syam.g_00744	Prbg.g_01191
OG0000275	Syam.g_00741	Prbg.g_01194
OG0000276	Syam.g_00733	Prbg.g_01200
OG0000277	Syam.g_00732	Prbg.g_01201
OG0000278	Syam.g_00729	Prbg.g_01204
OG0000279	Syam.g_00721	Prbg.g_01211
OG0000280	Syam.g_00701	Prbg.g_01212
OG0000281	Syam.g_00943	Prbg.g_01219
OG0000282	Syam.g_01347	Prbg.g_01086
OG0000283	Syam.g_01087	Prbg.g_01263
OG0000284	Syam.g_01093	Prbg.g_01268
OG0000285	Syam.g_01105	Prbg.g_01273
OG0000286	Syam.g_01123	Prbg.g_01286
OG0000287	Syam.g_01153	Prbg.g_01552
OG0000288	Syam.g_01186	Prbg.g_01325
OG0000289	Syam.g_01201	Prbg.g_01341
OG0000290	Syam.g_00771	Prbg.g_01237
OG0000291	Syam.g_00773	Prbg.g_01235
OG0000292	Syam.g_02439	Prbg.g_01531
OG0000293	Syam.g_01806	Prbg.g_01496
OG0000294	Syam.g_01805	Prbg.g_01495
OG0000295	Syam.g_01771	Prbg.g_01472
OG0000296	Syam.g_01769	Prbg.g_01470
OG0000297	Syam.g_00906	Prbg.g_01461
OG0000298	Syam.g_00905	Prbg.g_01460
OG0000299	Syam.g_00878	Prbg.g_01441
OG0000300	Syam.g_00871	Prbg.g_01438
OG0000301	Syam.g_00870	Prbg.g_01437
OG0000302	Syam.g_00868	Prbg.g_01435
OG0000303	Syam.g_00859	Prbg.g_01429
OG0000304	Syam.g_00853	Prbg.g_00352
OG0000305	Syam.g_00776	Prbg.g_01529
OG0000306	Syam.g_01757	Prbg.g_01223
OG0000307	Syam.g_00566	Prbg.g_00538
OG0000308	Syam.g_00564	Prbg.g_00539
OG0000309	Syam.g_00559	Prbg.g_00543
OG0000310	Syam.g_01591	Prbg.g_00577
OG0000311	Syam.g_01595	Prbg.g_00579
OG0000312	Syam.g_01601	Prbg.g_00582
OG0000313	Syam.g_01617	Prbg.g_00595
OG0000314	Syam.g_01647	Prbg.g_00618
OG0000315	Syam.g_01658	Prbg.g_00628
OG0000316	Syam.g_01945	Prbg.g_00653
OG0000317	Syam.g_01987	Prbg.g_01647
OG0000318	Syam.g_01991	Prbg.g_01651
OG0000319	Syam.g_02006	Prbg.g_01664
OG0000320	Syam.g_02008	Prbg.g_01666
OG0000321	Syam.g_02009	Prbg.g_01667
OG0000322	Syam.g_02010	Prbg.g_01668
OG0000323	Syam.g_02025	Prbg.g_01677
OG0000324	Syam.g_01906	Prbg.g_01704
OG0000325	Syam.g_00289	Prbg.g_01715
OG0000326	Syam.g_00296	Prbg.g_01722
OG0000327	Syam.g_00325	Prbg.g_01743
OG0000328	Syam.g_00326	Prbg.g_01744
OG0000329	Syam.g_00344	Prbg.g_01761
OG0000330	Syam.g_00345	Prbg.g_01762
OG0000331	Syam.g_00346	Prbg.g_01763
OG0000332	Syam.g_00361	Prbg.g_01777
OG0000333	Syam.g_00364	Prbg.g_01779
OG0000334	Syam.g_00375	Prbg.g_01788
OG0000335	Syam.g_00380	Prbg.g_01793
OG0000336	Syam.g_00384	Prbg.g_01797
OG0000337	Syam.g_00155	Prbg.g_01815
OG0000338	Syam.g_00153	Prbg.g_01816
OG0000339	Syam.g_00147	Prbg.g_01822
OG0000340	Syam.g_00137	Prbg.g_01831
OG0000341	Syam.g_00135	Prbg.g_01833
OG0000342	Syam.g_00134	Prbg.g_01834
OG0000343	Syam.g_00133	Prbg.g_01835
OG0000344	Syam.g_00129	Prbg.g_01838
OG0000345	Syam.g_00119	Prbg.g_01844
OG0000346	Syam.g_00114	Prbg.g_01848
OG0000347	Syam.g_00083	Prbg.g_01865
OG0000348	Syam.g_00068	Prbg.g_01873
OG0000349	Syam.g_00050	Prbg.g_01891
OG0000350	Syam.g_00303	Prbg.g_00419
OG0000351	Syam.g_02420	Prbg.g_01931
OG0000352	Syam.g_02421	Prbg.g_01932
OG0000353	Syam.g_02445	Prbg.g_00766
OG0000355	Syam.g_00001	Prbg.g_00768
OG0000356	Syam.g_00002	Prbg.g_00769
OG0000357	Syam.g_00003	Prbg.g_00770
OG0000358	Syam.g_00007	Prbg.g_00774
OG0000359	Syam.g_00009	Prbg.g_00775
OG0000360	Syam.g_00010	Prbg.g_00776
OG0000361	Syam.g_00011	Prbg.g_00777
OG0000362	Syam.g_00013	Prbg.g_00779
OG0000363	Syam.g_00015	Prbg.g_00860
OG0000364	Syam.g_00016	Prbg.g_00859
OG0000365	Syam.g_00025	Prbg.g_00854
OG0000366	Syam.g_00026	Prbg.g_00853
OG0000367	Syam.g_00027	Prbg.g_00852
OG0000368	Syam.g_00029	Prbg.g_00850
OG0000369	Syam.g_00030	Prbg.g_00849
OG0000370	Syam.g_00031	Prbg.g_00848
OG0000371	Syam.g_00038	Prbg.g_00841
OG0000372	Syam.g_00043	Prbg.g_00838
OG0000373	Syam.g_00044	Prbg.g_00837
OG0000374	Syam.g_00045	Prbg.g_00836
OG0000375	Syam.g_00046	Prbg.g_00834
OG0000376	Syam.g_00048	Prbg.g_00832
OG0000377	Syam.g_02306	Prbg.g_00828
OG0000378	Syam.g_02297	Prbg.g_00824
OG0000379	Syam.g_02294	Prbg.g_00821
OG0000380	Syam.g_02060	Prbg.g_00804
OG0000381	Syam.g_02063	Prbg.g_00799
OG0000382	Syam.g_02080	Prbg.g_00789
OG0000383	Syam.g_02083	Prbg.g_00787
OG0000384	Syam.g_02084	Prbg.g_00786
OG0000385	Syam.g_02085	Prbg.g_00785
OG0000386	Syam.g_02086	Prbg.g_00784
OG0000387	Syam.g_02112	Prbg.g_00870
OG0000388	Syam.g_02116	Prbg.g_00874
OG0000389	Syam.g_02120	Prbg.g_00877
OG0000390	Syam.g_02136	Prbg.g_00887
OG0000391	Syam.g_02141	Prbg.g_00890
OG0000392	Syam.g_02147	Prbg.g_00894
OG0000393	Syam.g_02149	Prbg.g_00897
OG0000394	Syam.g_02150	Prbg.g_00898
OG0000395	Syam.g_02151	Prbg.g_00899
OG0000396	Syam.g_02153	Prbg.g_00901
OG0000397	Syam.g_02160	Prbg.g_00903
OG0000398	Syam.g_02165	Prbg.g_00906
OG0000399	Syam.g_02166	Prbg.g_00907
OG0000400	Syam.g_02167	Prbg.g_00908
OG0000401	Syam.g_02168	Prbg.g_00909
OG0000402	Syam.g_02171	Prbg.g_01349
OG0000403	Syam.g_02172	Prbg.g_00911
OG0000404	Syam.g_02173	Prbg.g_00912
OG0000405	Syam.g_02189	Prbg.g_00916
OG0000406	Syam.g_02193	Prbg.g_00924
OG0000407	Syam.g_02194	Prbg.g_00925
OG0000408	Syam.g_02196	Prbg.g_00927
OG0000409	Syam.g_02198	Prbg.g_00929
OG0000410	Syam.g_02199	Prbg.g_00930
OG0000411	Syam.g_02200	Prbg.g_00931
OG0000412	Syam.g_02201	Prbg.g_00932
OG0000413	Syam.g_02203	Prbg.g_00934
OG0000414	Syam.g_02204	Prbg.g_00935
OG0000415	Syam.g_02205	Prbg.g_00936
OG0000416	Syam.g_02206	Prbg.g_00937
OG0000417	Syam.g_02207	Prbg.g_00938
OG0000418	Syam.g_02212	Prbg.g_00943
OG0000419	Syam.g_02214	Prbg.g_00945
OG0000420	Syam.g_02216	Prbg.g_00946
OG0000421	Syam.g_02221	Prbg.g_00951
OG0000422	Syam.g_02222	Prbg.g_00952
OG0000423	Syam.g_02223	Prbg.g_00953
OG0000424	Syam.g_02224	Prbg.g_00954
OG0000425	Syam.g_02225	Prbg.g_00955
OG0000426	Syam.g_02226	Prbg.g_00956
OG0000427	Syam.g_02227	Prbg.g_00957
OG0000428	Syam.g_02230	Prbg.g_00959
OG0000429	Syam.g_02232	Prbg.g_00960
OG0000430	Syam.g_02233	Prbg.g_00961
OG0000431	Syam.g_02237	Prbg.g_00963
OG0000432	Syam.g_02243	Prbg.g_00967
OG0000433	Syam.g_02244	Prbg.g_00968
OG0000434	Syam.g_02245	Prbg.g_00969
OG0000435	Syam.g_02246	Prbg.g_00970
OG0000436	Syam.g_02252	Prbg.g_00975
OG0000437	Syam.g_02253	Prbg.g_00976
OG0000438	Syam.g_02254	Prbg.g_00977
OG0000439	Syam.g_02256	Prbg.g_00979
OG0000440	Syam.g_02257	Prbg.g_00980
OG0000441	Syam.g_02261	Prbg.g_00983
OG0000442	Syam.g_02262	Prbg.g_00984
OG0000443	Syam.g_02263	Prbg.g_00985
OG0000444	Syam.g_02268	Prbg.g_00991
OG0000445	Syam.g_02269	Prbg.g_00992
OG0000446	Syam.g_02270	Prbg.g_00993
OG0000447	Syam.g_02272	Prbg.g_00994
OG0000448	Syam.g_02273	Prbg.g_00995
OG0000449	Syam.g_02274	Prbg.g_00996
OG0000450	Syam.g_02275	Prbg.g_00997
OG0000451	Syam.g_02276	Prbg.g_00998
OG0000452	Syam.g_02280	Prbg.g_01001
OG0000453	Syam.g_02281	Prbg.g_01002
OG0000454	Syam.g_02282	Prbg.g_01003
OG0000455	Syam.g_02283	Prbg.g_01004
OG0000456	Syam.g_02284	Prbg.g_01005
OG0000457	Syam.g_02286	Prbg.g_01007
OG0000458	Syam.g_02287	Prbg.g_01008
OG0000459	Syam.g_02288	Prbg.g_01009
OG0000460	Syam.g_00506	Prbg.g_01017
OG0000461	Syam.g_00284	Prbg.g_01025
OG0000462	Syam.g_00281	Prbg.g_01027
OG0000463	Syam.g_00280	Prbg.g_01028
OG0000464	Syam.g_00279	Prbg.g_01029
OG0000465	Syam.g_00277	Prbg.g_01030
OG0000466	Syam.g_00273	Prbg.g_01033
OG0000467	Syam.g_00271	Prbg.g_01034
OG0000468	Syam.g_00266	Prbg.g_01037
OG0000469	Syam.g_00253	Prbg.g_01045
OG0000470	Syam.g_00251	Prbg.g_00042
OG0000471	Syam.g_00250	Prbg.g_00043
OG0000472	Syam.g_00248	Prbg.g_00045
OG0000473	Syam.g_00246	Prbg.g_00047
OG0000474	Syam.g_00245	Prbg.g_00048
OG0000475	Syam.g_00244	Prbg.g_00049
OG0000476	Syam.g_00242	Prbg.g_00051
OG0000477	Syam.g_00236	Prbg.g_00054
OG0000478	Syam.g_00235	Prbg.g_00055
OG0000479	Syam.g_00234	Prbg.g_00056
OG0000480	Syam.g_00227	Prbg.g_00061
OG0000481	Syam.g_00225	Prbg.g_00064
OG0000482	Syam.g_00224	Prbg.g_00065
OG0000483	Syam.g_00220	Prbg.g_00068
OG0000484	Syam.g_00219	Prbg.g_00069
OG0000485	Syam.g_00218	Prbg.g_00071
OG0000486	Syam.g_00217	Prbg.g_00072
OG0000487	Syam.g_00211	Prbg.g_00075
OG0000488	Syam.g_00207	Prbg.g_00078
OG0000489	Syam.g_00197	Prbg.g_00083
OG0000490	Syam.g_00189	Prbg.g_00087
OG0000491	Syam.g_00187	Prbg.g_00088
OG0000492	Syam.g_00185	Prbg.g_00090
OG0000493	Syam.g_00184	Prbg.g_00091
OG0000494	Syam.g_00183	Prbg.g_00092
OG0000495	Syam.g_00182	Prbg.g_00093
OG0000496	Syam.g_00181	Prbg.g_00094
OG0000497	Syam.g_00180	Prbg.g_00095
OG0000498	Syam.g_00179	Prbg.g_00096
OG0000499	Syam.g_00178	Prbg.g_00097
OG0000500	Syam.g_00177	Prbg.g_00098
OG0000501	Syam.g_00174	Prbg.g_00099
OG0000502	Syam.g_00165	Prbg.g_00102
OG0000503	Syam.g_00457	Prbg.g_00117
OG0000504	Syam.g_00459	Prbg.g_00119
OG0000505	Syam.g_00460	Prbg.g_00120
OG0000506	Syam.g_00462	Prbg.g_00121
OG0000507	Syam.g_00468	Prbg.g_00124
OG0000508	Syam.g_00472	Prbg.g_00128
OG0000509	Syam.g_00474	Prbg.g_00130
OG0000510	Syam.g_00475	Prbg.g_00131
OG0000511	Syam.g_00476	Prbg.g_00132
OG0000512	Syam.g_00478	Prbg.g_01942
OG0000513	Syam.g_00493	Prbg.g_00140
OG0000514	Syam.g_00499	Prbg.g_00151
OG0000515	Syam.g_00500	Prbg.g_00152
OG0000516	Syam.g_01862	Prbg.g_00153
OG0000517	Syam.g_01868	Prbg.g_00155
OG0000518	Syam.g_01851	Prbg.g_00166
OG0000519	Syam.g_01850	Prbg.g_00167
OG0000520	Syam.g_01849	Prbg.g_00168
OG0000521	Syam.g_01696	Prbg.g_00176
OG0000522	Syam.g_01694	Prbg.g_00178
OG0000523	Syam.g_01693	Prbg.g_00179
OG0000524	Syam.g_01681	Prbg.g_00184
OG0000525	Syam.g_01677	Prbg.g_00188
OG0000526	Syam.g_01674	Prbg.g_00189
OG0000527	Syam.g_01670	Prbg.g_00192
OG0000528	Syam.g_00580	Prbg.g_00197
OG0000529	Syam.g_00584	Prbg.g_00200
OG0000530	Syam.g_00587	Prbg.g_00203
OG0000531	Syam.g_00588	Prbg.g_00204
OG0000532	Syam.g_00591	Prbg.g_00206
OG0000533	Syam.g_00592	Prbg.g_00207
OG0000534	Syam.g_00593	Prbg.g_00208
OG0000535	Syam.g_00594	Prbg.g_00209
OG0000536	Syam.g_00595	Prbg.g_00210
OG0000537	Syam.g_00596	Prbg.g_00211
OG0000538	Syam.g_00607	Prbg.g_00220
OG0000539	Syam.g_00608	Prbg.g_00221
OG0000540	Syam.g_00609	Prbg.g_00222
OG0000541	Syam.g_00610	Prbg.g_00223
OG0000542	Syam.g_00613	Prbg.g_00224
OG0000543	Syam.g_00615	Prbg.g_00226
OG0000544	Syam.g_00616	Prbg.g_00227
OG0000545	Syam.g_00618	Prbg.g_00229
OG0000546	Syam.g_00620	Prbg.g_00232
OG0000547	Syam.g_00622	Prbg.g_00234
OG0000548	Syam.g_00623	Prbg.g_00235
OG0000549	Syam.g_00630	Prbg.g_00237
OG0000550	Syam.g_00635	Prbg.g_00241
OG0000551	Syam.g_00640	Prbg.g_00244
OG0000552	Syam.g_00641	Prbg.g_00245
OG0000553	Syam.g_00643	Prbg.g_00246
OG0000554	Syam.g_00652	Prbg.g_00251
OG0000555	Syam.g_00667	Prbg.g_00259
OG0000556	Syam.g_00670	Prbg.g_00261
OG0000557	Syam.g_00672	Prbg.g_00262
OG0000558	Syam.g_00675	Prbg.g_00265
