Orthogroup	Syam	Syan
OG0000126	Syam.g_02440	Syan.g_01705
OG0000128	Syam.g_00012	Syan.g_01768
OG0000129	Syam.g_02307	Syan.g_01563
OG0000130	Syam.g_02062	Syan.g_02906, Syan.g_02907
OG0000131	Syam.g_02191	Syan.g_03008
OG0000132	Syam.g_02211	Syan.g_03029
OG0000133	Syam.g_01120	Syan.g_00561
OG0000134	Syam.g_00492	Syan.g_02319
OG0000135	Syam.g_02347	Syan.g_01616
OG0000136	Syam.g_01857	Syan.g_01342
OG0000137	Syam.g_01668	Syan.g_02846
OG0000138	Syam.g_00599	Syan.g_02747
OG0000139	Syam.g_00657	Syan.g_01160
OG0000140	Syam.g_00659	Syan.g_00042
OG0000141	Syam.g_01514	Syan.g_01032
OG0000142	Syam.g_01468	Syan.g_00816
OG0000143	Syam.g_01464	Syan.g_00812
OG0000144	Syam.g_01032	Syan.g_00782
OG0000145	Syam.g_00605	Syan.g_02740
OG0000146	Syam.g_01114	Syan.g_00555, Syan.g_00253
OG0000147	Syam.g_01113	Syan.g_00254, Syan.g_00554
OG0000148	Syam.g_01270	Syan.g_00670
OG0000149	Syam.g_00725	Syan.g_00393
OG0000150	Syam.g_00660	Syan.g_01031
OG0000151	Syam.g_01338	Syan.g_00731
OG0000152	Syam.g_01124	Syan.g_00565
OG0000153	Syam.g_01160	Syan.g_00601
OG0000154	Syam.g_01187	Syan.g_00363
OG0000155	Syam.g_01763	Syan.g_02654
OG0000156	Syam.g_01814	Syan.g_02717
OG0000157	Syam.g_01815	Syan.g_02718
OG0000158	Syam.g_00139	Syan.g_01078, Syan.g_01926
OG0000160	Syam.g_01614	Syan.g_01274
OG0000161	Syam.g_01620	Syan.g_01268
OG0000162	Syam.g_01627	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Syam.g_01927	Syan.g_02405
OG0000165	Syam.g_01879, Syam.g_01878	Syan.g_01448
OG0000166	Syam.g_00330	Syan.g_02239
OG0000167	Syam.g_00151	Syan.g_01941
OG0000168	Syam.g_00138	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Syam.g_00127	Syan.g_01912
OG0000170	Syam.g_00120	Syan.g_01901
OG0000171	Syam.g_00097	Syan.g_01875
OG0000172	Syam.g_00075	Syan.g_01810
OG0000173	Syam.g_00057	Syan.g_01720
OG0000174	Syam.g_02349	Syan.g_01619
OG0000175	Syam.g_02417	Syan.g_01678, Syan.g_00258
OG0000176	Syam.g_00004	Syan.g_01801
OG0000177	Syam.g_00005	Syan.g_01775
OG0000178	Syam.g_00006	Syan.g_01774
OG0000179	Syam.g_00021	Syan.g_01759
OG0000180	Syam.g_00022	Syan.g_01758
OG0000181	Syam.g_00023	Syan.g_01757
OG0000182	Syam.g_00024	Syan.g_01756
OG0000183	Syam.g_00028	Syan.g_01752
OG0000184	Syam.g_02298	Syan.g_01549
OG0000185	Syam.g_02295	Syan.g_01540
OG0000186	Syam.g_02058	Syan.g_02902
OG0000187	Syam.g_02059	Syan.g_02904
OG0000188	Syam.g_02081	Syan.g_02926
OG0000189	Syam.g_02108	Syan.g_02966
OG0000190	Syam.g_02110	Syan.g_00971
OG0000191	Syam.g_02142	Syan.g_02300
OG0000192	Syam.g_02148	Syan.g_02294
OG0000193	Syam.g_02192	Syan.g_03009
OG0000194	Syam.g_02195	Syan.g_03012
OG0000196	Syam.g_02208	Syan.g_03026
OG0000197	Syam.g_02209	Syan.g_03027
OG0000198	Syam.g_02210	Syan.g_03028
OG0000199	Syam.g_02218	Syan.g_03037
OG0000200	Syam.g_02234	Syan.g_03055
OG0000201	Syam.g_02248	Syan.g_03074
OG0000202	Syam.g_02249	Syan.g_03075
OG0000203	Syam.g_02250	Syan.g_03076
OG0000204	Syam.g_02251	Syan.g_03077
OG0000205	Syam.g_02258	Syan.g_03087
OG0000206	Syam.g_02264	Syan.g_03095
OG0000207	Syam.g_02266	Syan.g_03100
OG0000208	Syam.g_02267	Syan.g_03101
OG0000209	Syam.g_02278	Syan.g_01521
OG0000210	Syam.g_02279	Syan.g_01522
OG0000211	Syam.g_00504	Syan.g_02416
OG0000212	Syam.g_00515	Syan.g_01508, Syan.g_02438
OG0000213	Syam.g_00263	Syan.g_02059
OG0000214	Syam.g_00247	Syan.g_02040
OG0000215	Syam.g_00216	Syan.g_02010
OG0000216	Syam.g_00212	Syan.g_02006
OG0000217	Syam.g_00208	Syan.g_02001
OG0000218	Syam.g_00206	Syan.g_01999
OG0000219	Syam.g_00205	Syan.g_01998
OG0000220	Syam.g_00204	Syan.g_01997
OG0000221	Syam.g_00198	Syan.g_01994
OG0000222	Syam.g_00186	Syan.g_01981
OG0000223	Syam.g_00168	Syan.g_00228
OG0000224	Syam.g_00164	Syan.g_01959
OG0000225	Syam.g_00473	Syan.g_02997
OG0000226	Syam.g_00477	Syan.g_02990
OG0000227	Syam.g_00479	Syan.g_02988
OG0000228	Syam.g_00488	Syan.g_02315
OG0000229	Syam.g_01867	Syan.g_02396
OG0000230	Syam.g_01865	Syan.g_02398
OG0000231	Syam.g_01848	Syan.g_01333
OG0000232	Syam.g_01692	Syan.g_02801
OG0000233	Syam.g_01678	Syan.g_02876
OG0000234	Syam.g_01667	Syan.g_02844
OG0000235	Syam.g_00582	Syan.g_02765
OG0000236	Syam.g_00597	Syan.g_02749
OG0000237	Syam.g_00614	Syan.g_02731
OG0000238	Syam.g_00619	Syan.g_02726
OG0000239	Syam.g_00637	Syan.g_01187
OG0000240	Syam.g_00638	Syan.g_01186
OG0000241	Syam.g_01477	Syan.g_00822
OG0000242	Syam.g_00649	Syan.g_01168
OG0000243	Syam.g_00668	Syan.g_00840
OG0000244	Syam.g_00674	Syan.g_00848
OG0000245	Syam.g_00676	Syan.g_00850
OG0000246	Syam.g_00680	Syan.g_00854
OG0000247	Syam.g_00692	Syan.g_00866
OG0000249	Syam.g_00697	Syan.g_00871
OG0000250	Syam.g_01747	Syan.g_00878
OG0000251	Syam.g_01722	Syan.g_00961
OG0000252	Syam.g_01719	Syan.g_00966
OG0000253	Syam.g_01718	Syan.g_01000
OG0000254	Syam.g_01510	Syan.g_01026
OG0000255	Syam.g_01500	Syan.g_00978
OG0000256	Syam.g_01484	Syan.g_00001, Syan.g_01135
OG0000257	Syam.g_01478	Syan.g_00827
OG0000258	Syam.g_01459	Syan.g_00803
OG0000259	Syam.g_01378	Syan.g_00772
OG0000260	Syam.g_01375	Syan.g_00769
OG0000261	Syam.g_01372	Syan.g_00765
OG0000262	Syam.g_01367	Syan.g_00760
OG0000263	Syam.g_00885	Syan.g_02618
OG0000264	Syam.g_00805	Syan.g_00540
OG0000266	Syam.g_01234	Syan.g_00330
OG0000267	Syam.g_01071	Syan.g_00470
OG0000268	Syam.g_01072	Syan.g_00471
OG0000269	Syam.g_01295	Syan.g_00695
OG0000270	Syam.g_01292	Syan.g_00692
OG0000271	Syam.g_01284	Syan.g_00684
OG0000272	Syam.g_01283	Syan.g_00683
OG0000274	Syam.g_00744	Syan.g_00653
OG0000275	Syam.g_00741	Syan.g_00373
OG0000276	Syam.g_00733	Syan.g_00380
OG0000277	Syam.g_00732	Syan.g_00381
OG0000278	Syam.g_00729	Syan.g_00384
OG0000279	Syam.g_00721	Syan.g_00398
OG0000280	Syam.g_00701	Syan.g_00518
OG0000282	Syam.g_01347	Syan.g_00739
OG0000283	Syam.g_01087	Syan.g_00491
OG0000284	Syam.g_01093	Syan.g_00497
OG0000285	Syam.g_01105	Syan.g_00533
OG0000286	Syam.g_01123	Syan.g_00564
OG0000287	Syam.g_01153	Syan.g_00593
OG0000288	Syam.g_01186	Syan.g_00364
OG0000289	Syam.g_01201	Syan.g_00350
OG0000290	Syam.g_00771	Syan.g_00293
OG0000291	Syam.g_00773	Syan.g_00291
OG0000292	Syam.g_02439	Syan.g_01703
OG0000293	Syam.g_01806	Syan.g_02709
OG0000295	Syam.g_01771	Syan.g_02662
OG0000296	Syam.g_01769	Syan.g_02660
OG0000298	Syam.g_00905	Syan.g_02645
OG0000299	Syam.g_00878	Syan.g_02601
OG0000300	Syam.g_00871	Syan.g_02593, Syan.g_02594
OG0000301	Syam.g_00870	Syan.g_02592
OG0000302	Syam.g_00868	Syan.g_02591
OG0000303	Syam.g_00859	Syan.g_02582
OG0000304	Syam.g_00853	Syan.g_02556
OG0000305	Syam.g_00776	Syan.g_00195
OG0000306	Syam.g_01757	Syan.g_00087
OG0000307	Syam.g_00566	Syan.g_02782
OG0000308	Syam.g_00564	Syan.g_02784
OG0000309	Syam.g_00559	Syan.g_02883
OG0000310	Syam.g_01591	Syan.g_01304
OG0000311	Syam.g_01595	Syan.g_01299
OG0000312	Syam.g_01601	Syan.g_01290
OG0000313	Syam.g_01617	Syan.g_01271
OG0000314	Syam.g_01647	Syan.g_02823
OG0000315	Syam.g_01658	Syan.g_02833
OG0000316	Syam.g_01945	Syan.g_01354
OG0000317	Syam.g_01987	Syan.g_01396
OG0000318	Syam.g_01991	Syan.g_01401
OG0000319	Syam.g_02006	Syan.g_01425
OG0000320	Syam.g_02008	Syan.g_01427
OG0000321	Syam.g_02009	Syan.g_01428
OG0000322	Syam.g_02010	Syan.g_01429
OG0000323	Syam.g_02025	Syan.g_01442
OG0000324	Syam.g_01906	Syan.g_01472
OG0000325	Syam.g_00289	Syan.g_02107
OG0000327	Syam.g_00325	Syan.g_02244
OG0000328	Syam.g_00326	Syan.g_02243
OG0000329	Syam.g_00344	Syan.g_02225
OG0000330	Syam.g_00345	Syan.g_02224
OG0000331	Syam.g_00346	Syan.g_02223
OG0000333	Syam.g_00364	Syan.g_02205
OG0000334	Syam.g_00375	Syan.g_00247, Syan.g_02194
OG0000335	Syam.g_00380	Syan.g_02189
OG0000336	Syam.g_00384	Syan.g_02185
OG0000337	Syam.g_00155	Syan.g_01949
OG0000338	Syam.g_00153	Syan.g_01943
OG0000339	Syam.g_00147	Syan.g_01935, Syan.g_00264
OG0000340	Syam.g_00137	Syan.g_01923
OG0000341	Syam.g_00135	Syan.g_01921
OG0000342	Syam.g_00134	Syan.g_01920
OG0000343	Syam.g_00133	Syan.g_01918
OG0000344	Syam.g_00129	Syan.g_01914
OG0000345	Syam.g_00119	Syan.g_01900
OG0000346	Syam.g_00114	Syan.g_01895
OG0000347	Syam.g_00083	Syan.g_01867
OG0000348	Syam.g_00068	Syan.g_01803
OG0000349	Syam.g_00050	Syan.g_01727
OG0000350	Syam.g_00303	Syan.g_02121
OG0000351	Syam.g_02420	Syan.g_01682
OG0000352	Syam.g_02421	Syan.g_01683
OG0000353	Syam.g_02445	Syan.g_01795
OG0000354	Syam.g_00626, Syam.g_00625	Syan.g_02720
OG0000355	Syam.g_00001	Syan.g_01797
OG0000356	Syam.g_00002	Syan.g_01798
OG0000357	Syam.g_00003	Syan.g_01800
OG0000358	Syam.g_00007	Syan.g_01773
OG0000359	Syam.g_00009	Syan.g_01771
OG0000360	Syam.g_00010	Syan.g_01770
OG0000361	Syam.g_00011	Syan.g_01769
OG0000362	Syam.g_00013	Syan.g_01767
OG0000363	Syam.g_00015	Syan.g_01765
OG0000364	Syam.g_00016	Syan.g_01398
OG0000365	Syam.g_00025	Syan.g_01755
OG0000366	Syam.g_00026	Syan.g_01754
OG0000367	Syam.g_00027	Syan.g_01753
OG0000368	Syam.g_00029	Syan.g_01751
OG0000369	Syam.g_00030	Syan.g_01750
OG0000370	Syam.g_00031	Syan.g_01749
OG0000371	Syam.g_00038	Syan.g_01740
OG0000372	Syam.g_00043	Syan.g_01734
OG0000373	Syam.g_00044	Syan.g_01733
OG0000374	Syam.g_00045	Syan.g_01732
OG0000375	Syam.g_00046	Syan.g_01731
OG0000376	Syam.g_00048	Syan.g_01729
OG0000377	Syam.g_02306	Syan.g_01555
OG0000378	Syam.g_02297	Syan.g_01543
OG0000379	Syam.g_02294	Syan.g_01539
OG0000380	Syam.g_02060	Syan.g_02905
OG0000381	Syam.g_02063	Syan.g_02908
OG0000382	Syam.g_02080	Syan.g_02925
OG0000383	Syam.g_02083	Syan.g_02936
OG0000384	Syam.g_02084	Syan.g_02937
OG0000385	Syam.g_02085	Syan.g_02938
OG0000386	Syam.g_02086	Syan.g_02939
OG0000387	Syam.g_02112	Syan.g_00967
OG0000388	Syam.g_02116	Syan.g_02970
OG0000389	Syam.g_02120	Syan.g_02973
OG0000390	Syam.g_02136	Syan.g_02306
OG0000391	Syam.g_02141	Syan.g_02301
OG0000392	Syam.g_02147	Syan.g_02295
OG0000393	Syam.g_02149	Syan.g_02292
OG0000394	Syam.g_02150	Syan.g_02291
OG0000395	Syam.g_02151	Syan.g_02290
OG0000396	Syam.g_02153	Syan.g_02287
OG0000397	Syam.g_02160	Syan.g_02285
OG0000398	Syam.g_02165	Syan.g_02279
OG0000399	Syam.g_02166	Syan.g_02278
OG0000400	Syam.g_02167	Syan.g_02277
OG0000401	Syam.g_02168	Syan.g_02274
OG0000402	Syam.g_02171	Syan.g_02272
OG0000403	Syam.g_02172	Syan.g_02271
OG0000404	Syam.g_02173	Syan.g_02269
OG0000405	Syam.g_02189	Syan.g_03005
OG0000406	Syam.g_02193	Syan.g_03010
OG0000407	Syam.g_02194	Syan.g_03011
OG0000408	Syam.g_02196	Syan.g_03013
OG0000409	Syam.g_02198	Syan.g_03015
OG0000410	Syam.g_02199	Syan.g_03016
OG0000411	Syam.g_02200	Syan.g_03017
OG0000412	Syam.g_02201	Syan.g_03018
OG0000413	Syam.g_02203	Syan.g_03020
OG0000414	Syam.g_02204	Syan.g_03021
OG0000415	Syam.g_02205	Syan.g_03022
OG0000416	Syam.g_02206	Syan.g_03023
OG0000417	Syam.g_02207	Syan.g_03025
OG0000418	Syam.g_02212	Syan.g_03030
OG0000419	Syam.g_02214	Syan.g_03033
OG0000420	Syam.g_02216	Syan.g_03035
OG0000421	Syam.g_02221	Syan.g_03040
OG0000422	Syam.g_02222	Syan.g_03041
OG0000423	Syam.g_02223	Syan.g_03042
OG0000424	Syam.g_02224	Syan.g_03043
OG0000425	Syam.g_02225	Syan.g_03044
OG0000426	Syam.g_02226	Syan.g_03045
OG0000427	Syam.g_02227	Syan.g_03046
OG0000428	Syam.g_02230	Syan.g_03049
OG0000429	Syam.g_02232	Syan.g_03051
OG0000430	Syam.g_02233	Syan.g_03053
OG0000431	Syam.g_02237	Syan.g_03058
OG0000432	Syam.g_02243	Syan.g_03065
OG0000433	Syam.g_02244	Syan.g_03068
OG0000434	Syam.g_02245	Syan.g_03069
OG0000435	Syam.g_02246	Syan.g_03071
OG0000436	Syam.g_02252	Syan.g_03079
OG0000437	Syam.g_02253	Syan.g_03080
OG0000438	Syam.g_02254	Syan.g_03083
OG0000439	Syam.g_02256	Syan.g_03085
OG0000440	Syam.g_02257	Syan.g_03086
OG0000441	Syam.g_02261	Syan.g_03089
OG0000442	Syam.g_02262	Syan.g_03090
OG0000443	Syam.g_02263	Syan.g_03094
OG0000444	Syam.g_02268	Syan.g_03102
OG0000445	Syam.g_02269	Syan.g_03103
OG0000446	Syam.g_02270	Syan.g_03105
OG0000447	Syam.g_02272	Syan.g_03111
OG0000448	Syam.g_02273	Syan.g_03112
OG0000449	Syam.g_02274	Syan.g_03113
OG0000450	Syam.g_02275	Syan.g_01518
OG0000451	Syam.g_02276	Syan.g_01519
OG0000452	Syam.g_02280	Syan.g_01523
OG0000453	Syam.g_02281	Syan.g_01524
OG0000454	Syam.g_02282	Syan.g_01525
OG0000455	Syam.g_02283	Syan.g_01526
OG0000456	Syam.g_02284	Syan.g_01527
OG0000457	Syam.g_02286	Syan.g_01529
OG0000458	Syam.g_02287	Syan.g_01530
OG0000459	Syam.g_02288	Syan.g_01531
OG0000460	Syam.g_00506	Syan.g_02423
OG0000461	Syam.g_00284	Syan.g_02099
OG0000462	Syam.g_00281	Syan.g_02096
OG0000463	Syam.g_00280	Syan.g_02095
OG0000464	Syam.g_00279	Syan.g_02094
OG0000465	Syam.g_00277	Syan.g_02092
OG0000466	Syam.g_00273	Syan.g_02087
OG0000467	Syam.g_00271	Syan.g_02086
OG0000468	Syam.g_00266	Syan.g_02063
OG0000469	Syam.g_00253	Syan.g_02046
OG0000470	Syam.g_00251	Syan.g_02044
OG0000471	Syam.g_00250	Syan.g_02043
OG0000472	Syam.g_00248	Syan.g_02041
OG0000473	Syam.g_00246	Syan.g_02039
OG0000474	Syam.g_00245	Syan.g_02038
OG0000475	Syam.g_00244	Syan.g_02037
OG0000476	Syam.g_00242	Syan.g_02035
OG0000477	Syam.g_00236	Syan.g_02029
OG0000478	Syam.g_00235	Syan.g_02028
OG0000479	Syam.g_00234	Syan.g_02027
OG0000480	Syam.g_00227	Syan.g_02020
OG0000481	Syam.g_00225	Syan.g_00975
OG0000482	Syam.g_00224	Syan.g_02018
OG0000483	Syam.g_00220	Syan.g_02014
OG0000484	Syam.g_00219	Syan.g_02013
OG0000485	Syam.g_00218	Syan.g_02012
OG0000486	Syam.g_00217	Syan.g_02011
OG0000487	Syam.g_00211	Syan.g_02005
OG0000488	Syam.g_00207	Syan.g_02000
OG0000489	Syam.g_00197	Syan.g_01993
OG0000490	Syam.g_00189	Syan.g_01985
OG0000491	Syam.g_00187	Syan.g_01983
OG0000492	Syam.g_00185	Syan.g_01980
OG0000493	Syam.g_00184	Syan.g_01979
OG0000494	Syam.g_00183	Syan.g_01978
OG0000495	Syam.g_00182	Syan.g_01977
OG0000496	Syam.g_00181	Syan.g_01976
OG0000497	Syam.g_00180	Syan.g_01975
OG0000498	Syam.g_00179	Syan.g_01974
OG0000499	Syam.g_00178	Syan.g_01973
OG0000500	Syam.g_00177	Syan.g_01972
OG0000501	Syam.g_00174	Syan.g_01969
OG0000502	Syam.g_00165	Syan.g_01961
OG0000503	Syam.g_00457	Syan.g_02144
OG0000504	Syam.g_00459	Syan.g_02142
OG0000505	Syam.g_00460	Syan.g_02141
OG0000506	Syam.g_00462	Syan.g_02139
OG0000507	Syam.g_00468	Syan.g_02133
OG0000508	Syam.g_00472	Syan.g_02998
OG0000509	Syam.g_00474	Syan.g_02993
OG0000510	Syam.g_00475	Syan.g_02992
OG0000511	Syam.g_00476	Syan.g_02991
OG0000512	Syam.g_00478	Syan.g_02989
OG0000513	Syam.g_00493	Syan.g_02320
OG0000514	Syam.g_00499	Syan.g_02326
OG0000515	Syam.g_00500	Syan.g_02327
OG0000516	Syam.g_01862	Syan.g_02389
OG0000517	Syam.g_01868	Syan.g_02395
OG0000518	Syam.g_01851	Syan.g_01336
OG0000519	Syam.g_01850	Syan.g_01335
OG0000520	Syam.g_01849	Syan.g_01334
OG0000521	Syam.g_01696	Syan.g_02805
OG0000522	Syam.g_01694	Syan.g_02803
OG0000523	Syam.g_01693	Syan.g_02802
OG0000524	Syam.g_01681	Syan.g_02878
OG0000525	Syam.g_01677	Syan.g_02853
OG0000526	Syam.g_01674	Syan.g_02852
OG0000527	Syam.g_01670	Syan.g_02848
OG0000528	Syam.g_00580	Syan.g_02767
OG0000529	Syam.g_00584	Syan.g_02763
OG0000530	Syam.g_00587	Syan.g_02760
OG0000531	Syam.g_00588	Syan.g_02759
OG0000532	Syam.g_00591	Syan.g_02756
OG0000533	Syam.g_00592	Syan.g_02754
OG0000534	Syam.g_00593	Syan.g_02753
OG0000535	Syam.g_00594	Syan.g_02752
OG0000536	Syam.g_00595	Syan.g_02751
OG0000537	Syam.g_00596	Syan.g_02750
OG0000538	Syam.g_00607	Syan.g_02738
OG0000539	Syam.g_00608	Syan.g_02737
OG0000540	Syam.g_00609	Syan.g_02736
OG0000541	Syam.g_00610	Syan.g_02735
OG0000542	Syam.g_00613	Syan.g_02732
OG0000543	Syam.g_00615	Syan.g_02730
OG0000544	Syam.g_00616	Syan.g_02729
OG0000545	Syam.g_00618	Syan.g_02727
OG0000546	Syam.g_00620	Syan.g_02725
OG0000547	Syam.g_00622	Syan.g_02723
OG0000548	Syam.g_00623	Syan.g_02722
OG0000549	Syam.g_00630	Syan.g_01194
OG0000550	Syam.g_00635	Syan.g_01189
OG0000551	Syam.g_00640	Syan.g_01184
OG0000552	Syam.g_00641	Syan.g_01183
OG0000553	Syam.g_00643	Syan.g_01179
OG0000554	Syam.g_00652	Syan.g_01165
OG0000555	Syam.g_00667	Syan.g_00839
OG0000556	Syam.g_00670	Syan.g_00842
OG0000557	Syam.g_00672	Syan.g_00847
OG0000558	Syam.g_00675	Syan.g_00849
OG0000559	Syam.g_00679	Syan.g_00853
OG0000560	Syam.g_00682	Syan.g_00856
OG0000561	Syam.g_00683	Syan.g_00857
OG0000562	Syam.g_00684	Syan.g_00858
OG0000563	Syam.g_00685	Syan.g_00859
OG0000564	Syam.g_00686	Syan.g_00860
OG0000565	Syam.g_00690	Syan.g_00864
OG0000566	Syam.g_00694	Syan.g_00868
OG0000567	Syam.g_00698	Syan.g_00872
OG0000568	Syam.g_01751	Syan.g_00874
OG0000569	Syam.g_01750	Syan.g_00875
OG0000570	Syam.g_01749	Syan.g_00876
OG0000571	Syam.g_01745	Syan.g_00879
OG0000572	Syam.g_01729	Syan.g_00954
OG0000573	Syam.g_01721	Syan.g_00963
OG0000574	Syam.g_01720	Syan.g_00965
OG0000575	Syam.g_01716	Syan.g_01003
OG0000576	Syam.g_01714	Syan.g_01007
OG0000577	Syam.g_01713	Syan.g_01008
OG0000578	Syam.g_01712	Syan.g_01009
OG0000579	Syam.g_01711	Syan.g_01010
OG0000580	Syam.g_01710	Syan.g_01011
OG0000581	Syam.g_01704	Syan.g_01018
OG0000582	Syam.g_01513	Syan.g_01030
OG0000583	Syam.g_01512	Syan.g_01029
OG0000584	Syam.g_01511	Syan.g_01028
OG0000585	Syam.g_01509	Syan.g_01024
OG0000586	Syam.g_01508	Syan.g_01022
OG0000587	Syam.g_01506	Syan.g_01020
OG0000588	Syam.g_01498	Syan.g_00215
OG0000589	Syam.g_01494	Syan.g_00016
OG0000590	Syam.g_01493	Syan.g_00015
OG0000591	Syam.g_01486	Syan.g_00003
OG0000592	Syam.g_01485	Syan.g_00002
OG0000593	Syam.g_01471	Syan.g_00820
OG0000594	Syam.g_01470	Syan.g_00819
OG0000595	Syam.g_01469	Syan.g_00818
