Orthogroup	Syag	Prbg
OG0000046	Syag.g_02805, Syag.g_02812, Syag.g_02819	Prbg.g_00105
OG0000047	Syag.g_00768	Prbg.g_00143
OG0000048	Syag.g_02611	Prbg.g_00464, Prbg.g_00050
OG0000052	Syag.g_02451	Prbg.g_00569
OG0000053	Syag.g_01391	Prbg.g_01595, Prbg.g_00612
OG0000054	Syag.g_00350	Prbg.g_00326
OG0000055	Syag.g_00946	Prbg.g_01535
OG0000055	Syag.g_01799	Prbg.g_01624
OG0000057	Syag.g_00985	Prbg.g_01143
OG0000058	Syag.g_02477	Prbg.g_00551
OG0000059	Syag.g_02721	Prbg.g_01737
OG0000061	Syag.g_01141	Prbg.g_01486
OG0000062	Syag.g_01669	Prbg.g_00676
OG0000063	Syag.g_02313	Prbg.g_00730
OG0000064	Syag.g_00487, Syag.g_01589, Syag.g_00076	Prbg.g_00802
OG0000065	Syag.g_00182, Syag.g_01885	Prbg.g_00879
OG0000066	Syag.g_01443	Prbg.g_00256
OG0000067	Syag.g_00667	Prbg.g_01159
OG0000068	Syag.g_01537	Prbg.g_00529
OG0000070	Syag.g_00049	Prbg.g_00170
OG0000071	Syag.g_01192	Prbg.g_00477
OG0000072	Syag.g_01980, Syag.g_02859	Prbg.g_00949
OG0000073	Syag.g_01505	Prbg.g_00219
OG0000075	Syag.g_02434	Prbg.g_01821
OG0000076	Syag.g_02393	Prbg.g_01847
OG0000077	Syag.g_01831	Prbg.g_00791
OG0000078	Syag.g_01778	Prbg.g_01022
OG0000079	Syag.g_02659, Syag.g_02652	Prbg.g_01035
OG0000082	Syag.g_00318	Prbg.g_00304, Prbg.g_01639
OG0000084	Syag.g_01425	Prbg.g_00588
OG0000085	Syag.g_01676	Prbg.g_01642, Prbg.g_00716
OG0000086	Syag.g_01853	Prbg.g_00782
OG0000087	Syag.g_01939	Prbg.g_00913
OG0000088	Syag.g_01974	Prbg.g_00944
OG0000089	Syag.g_00005	Prbg.g_00137
OG0000090	Syag.g_01454	Prbg.g_00250
OG0000091	Syag.g_00418	Prbg.g_01414
OG0000092	Syag.g_00242	Prbg.g_01089
OG0000097	Syag.g_01065	Prbg.g_01440
OG0000098	Syag.g_00578	Prbg.g_00505
OG0000099	Syag.g_02536	Prbg.g_00552
OG0000100	Syag.g_00704	Prbg.g_00670
OG0000101	Syag.g_02773	Prbg.g_01785
OG0000102	Syag.g_02387	Prbg.g_01852
OG0000103	Syag.g_02253	Prbg.g_01937
OG0000104	Syag.g_02268	Prbg.g_00763
OG0000105	Syag.g_02606	Prbg.g_00053
OG0000106	Syag.g_00462	Prbg.g_00388
OG0000108	Syag.g_01528	Prbg.g_00199
OG0000109	Syag.g_01512	Prbg.g_00213
OG0000110	Syag.g_00303	Prbg.g_00293
OG0000111	Syag.g_00984	Prbg.g_01144
OG0000112	Syag.g_00801	Prbg.g_00366
OG0000113	Syag.g_00699	Prbg.g_01182
OG0000114	Syag.g_00609	Prbg.g_01084
OG0000115	Syag.g_01397	Prbg.g_01555
OG0000116	Syag.g_01156	Prbg.g_01497
OG0000117	Syag.g_01097	Prbg.g_01459
OG0000118	Syag.g_01232	Prbg.g_00490
OG0000120	Syag.g_02535	Prbg.g_00549
OG0000121	Syag.g_01414	Prbg.g_00593
OG0000122	Syag.g_00446	Prbg.g_00448, Prbg.g_00634
OG0000123	Syag.g_02781	Prbg.g_01792
OG0000124	Syag.g_02367	Prbg.g_01864
OG0000125	Syag.g_02136, Syag.g_02134	Prbg.g_01900
OG0000126	Syag.g_02266	Prbg.g_00762
OG0000128	Syag.g_02284	Prbg.g_00778
OG0000129	Syag.g_02121	Prbg.g_00829
OG0000130	Syag.g_01819	Prbg.g_00800
OG0000131	Syag.g_01951	Prbg.g_00922
OG0000132	Syag.g_01972	Prbg.g_00942
OG0000133	Syag.g_00806	Prbg.g_00100
OG0000134	Syag.g_00008	Prbg.g_00139
OG0000135	Syag.g_02171	Prbg.g_00459
OG0000136	Syag.g_00038	Prbg.g_00161
OG0000137	Syag.g_01356	Prbg.g_00194
OG0000138	Syag.g_01511	Prbg.g_00214
OG0000139	Syag.g_01448	Prbg.g_00254
OG0000140	Syag.g_01446	Prbg.g_00255
OG0000141	Syag.g_00351	Prbg.g_00327
OG0000142	Syag.g_00410	Prbg.g_01422
OG0000143	Syag.g_00414	Prbg.g_01418
OG0000144	Syag.g_00493	Prbg.g_01404
OG0000145	Syag.g_01504	Prbg.g_00461
OG0000146	Syag.g_00800	Prbg.g_00365
OG0000147	Syag.g_00799	Prbg.g_00364
OG0000148	Syag.g_00693	Prbg.g_01176
OG0000149	Syag.g_00731	Prbg.g_01208
OG0000150	Syag.g_00352	Prbg.g_01218
OG0000151	Syag.g_00623	Prbg.g_01094
OG0000152	Syag.g_00810	Prbg.g_01287
OG0000153	Syag.g_00845	Prbg.g_01306
OG0000154	Syag.g_00870	Prbg.g_01326
OG0000155	Syag.g_01107	Prbg.g_01465
OG0000156	Syag.g_01166	Prbg.g_00466
OG0000157	Syag.g_01167	Prbg.g_00467
OG0000158	Syag.g_02422	Prbg.g_01829
OG0000160	Syag.g_01415	Prbg.g_00592
OG0000161	Syag.g_01409	Prbg.g_00598
OG0000162	Syag.g_01402	Prbg.g_00604
OG0000163	Syag.g_01618	Prbg.g_00643
OG0000164	Syag.g_01725	Prbg.g_01674
OG0000165	Syag.g_01733	Prbg.g_01681
OG0000166	Syag.g_02733	Prbg.g_01748
OG0000167	Syag.g_02437	Prbg.g_01819
OG0000168	Syag.g_02417	Prbg.g_01830
OG0000169	Syag.g_02405	Prbg.g_01840
OG0000170	Syag.g_02398	Prbg.g_01843
OG0000171	Syag.g_02368	Prbg.g_01863
OG0000172	Syag.g_02360	Prbg.g_01870
OG0000173	Syag.g_02337	Prbg.g_01885
OG0000174	Syag.g_02175	Prbg.g_01915
OG0000175	Syag.g_02240	Prbg.g_01928
OG0000176	Syag.g_02276	Prbg.g_00771
OG0000177	Syag.g_02277	Prbg.g_00772
OG0000178	Syag.g_02278	Prbg.g_00773
OG0000179	Syag.g_02293	Prbg.g_00858
OG0000180	Syag.g_02294	Prbg.g_00857
OG0000181	Syag.g_02295	Prbg.g_00856
OG0000182	Syag.g_02296	Prbg.g_00855
OG0000183	Syag.g_02300	Prbg.g_00851
OG0000184	Syag.g_02110	Prbg.g_00825
OG0000185	Syag.g_02092	Prbg.g_00822
OG0000186	Syag.g_01815	Prbg.g_00806
OG0000187	Syag.g_01816	Prbg.g_00805
OG0000188	Syag.g_01839	Prbg.g_00788
OG0000189	Syag.g_01872	Prbg.g_00866
OG0000190	Syag.g_01874	Prbg.g_00868
OG0000191	Syag.g_01909	Prbg.g_00891
OG0000192	Syag.g_01915	Prbg.g_00896
OG0000193	Syag.g_01952	Prbg.g_00923
OG0000194	Syag.g_01955	Prbg.g_00926
OG0000195	Syag.g_01957	Prbg.g_00928
OG0000196	Syag.g_01968	Prbg.g_00939
OG0000197	Syag.g_01969	Prbg.g_00940
OG0000198	Syag.g_00108, Syag.g_01971	Prbg.g_00941
OG0000199	Syag.g_01979	Prbg.g_00948
OG0000200	Syag.g_01996	Prbg.g_00962
OG0000201	Syag.g_02019	Prbg.g_00971
OG0000202	Syag.g_02024	Prbg.g_00972
OG0000203	Syag.g_02025	Prbg.g_00973
OG0000204	Syag.g_02020, Syag.g_02026	Prbg.g_00974
OG0000205	Syag.g_02035	Prbg.g_00981
OG0000206	Syag.g_02047	Prbg.g_00986
OG0000207	Syag.g_02051	Prbg.g_00989
OG0000208	Syag.g_02052	Prbg.g_00990
OG0000209	Syag.g_02069	Prbg.g_00999
OG0000210	Syag.g_02070	Prbg.g_01000
OG0000211	Syag.g_01788	Prbg.g_01015
OG0000212	Syag.g_01777	Prbg.g_01023
OG0000213	Syag.g_02632	Prbg.g_01041
OG0000214	Syag.g_02615	Prbg.g_00046
OG0000215	Syag.g_02584	Prbg.g_00073
OG0000216	Syag.g_02580	Prbg.g_00074
OG0000217	Syag.g_02576	Prbg.g_00077
OG0000218	Syag.g_02574	Prbg.g_00079
OG0000219	Syag.g_02573	Prbg.g_00080
OG0000220	Syag.g_02572	Prbg.g_00081
OG0000221	Syag.g_02566	Prbg.g_00082
OG0000222	Syag.g_02550	Prbg.g_00089
OG0000223	Syag.g_02475	Prbg.g_00101
OG0000224	Syag.g_02471	Prbg.g_00103
OG0000225	Syag.g_02861	Prbg.g_00129
OG0000226	Syag.g_02865	Prbg.g_01941
OG0000227	Syag.g_02867	Prbg.g_01943
OG0000228	Syag.g_00004	Prbg.g_00136
OG0000229	Syag.g_00033	Prbg.g_00156
OG0000230	Syag.g_00035	Prbg.g_00158
OG0000231	Syag.g_00048	Prbg.g_00169
OG0000232	Syag.g_00059	Prbg.g_00180
OG0000233	Syag.g_01330	Prbg.g_00186
OG0000234	Syag.g_01358	Prbg.g_00195
OG0000235	Syag.g_01529	Prbg.g_00198
OG0000236	Syag.g_01513	Prbg.g_00212
OG0000237	Syag.g_01495	Prbg.g_00225
OG0000238	Syag.g_01490	Prbg.g_00231
OG0000239	Syag.g_01472	Prbg.g_00242
OG0000240	Syag.g_01471	Prbg.g_00243
OG0000241	Syag.g_00396	Prbg.g_00247
OG0000242	Syag.g_01456	Prbg.g_00249
OG0000243	Syag.g_00255	Prbg.g_00260
OG0000244	Syag.g_00268	Prbg.g_00264
OG0000245	Syag.g_00270	Prbg.g_00266
OG0000246	Syag.g_00274	Prbg.g_00270
OG0000247	Syag.g_00286	Prbg.g_00280
OG0000248	Syag.g_00289	Prbg.g_00283
OG0000249	Syag.g_00291	Prbg.g_00285
OG0000250	Syag.g_00299	Prbg.g_00290
OG0000251	Syag.g_00328	Prbg.g_00310
OG0000252	Syag.g_00331	Prbg.g_00313
OG0000253	Syag.g_00333	Prbg.g_00314
OG0000254	Syag.g_00356	Prbg.g_00331
OG0000255	Syag.g_00369	Prbg.g_00337
OG0000256	Syag.g_00385	Prbg.g_00347
OG0000257	Syag.g_00395	Prbg.g_01427
OG0000258	Syag.g_00423	Prbg.g_01413
OG0000259	Syag.g_00560	Prbg.g_01396
OG0000260	Syag.g_00570	Prbg.g_01393
OG0000261	Syag.g_00581	Prbg.g_01390
OG0000262	Syag.g_00586	Prbg.g_01386
OG0000263	Syag.g_01079	Prbg.g_01122
OG0000264	Syag.g_01011	Prbg.g_01133
OG0000265	Syag.g_01021	Prbg.g_01151
OG0000266	Syag.g_00907	Prbg.g_01367
OG0000267	Syag.g_00762	Prbg.g_01355
OG0000268	Syag.g_00763	Prbg.g_01354
OG0000269	Syag.g_00662	Prbg.g_01154
OG0000270	Syag.g_00665	Prbg.g_01157
OG0000271	Syag.g_00673	Prbg.g_01165
OG0000274	Syag.g_00714	Prbg.g_01191
OG0000275	Syag.g_00717	Prbg.g_01194
OG0000276	Syag.g_00723	Prbg.g_01200
OG0000277	Syag.g_00724	Prbg.g_01201
OG0000278	Syag.g_00727	Prbg.g_01204
OG0000279	Syag.g_00735	Prbg.g_01211
OG0000280	Syag.g_00741	Prbg.g_01212
OG0000281	Syag.g_00572	Prbg.g_01219
OG0000282	Syag.g_00611	Prbg.g_01086
OG0000283	Syag.g_00775	Prbg.g_01263
OG0000284	Syag.g_00780	Prbg.g_01268
OG0000285	Syag.g_00791	Prbg.g_01273
OG0000286	Syag.g_00809	Prbg.g_01286
OG0000287	Syag.g_00838	Prbg.g_01552
OG0000288	Syag.g_00869	Prbg.g_01325
OG0000289	Syag.g_00884	Prbg.g_01341
OG0000290	Syag.g_00970	Prbg.g_01237
OG0000291	Syag.g_00972	Prbg.g_01235
OG0000292	Syag.g_02265	Prbg.g_01531
OG0000293	Syag.g_01155	Prbg.g_01496
OG0000294	Syag.g_01154	Prbg.g_01495
OG0000295	Syag.g_01115	Prbg.g_01472
OG0000296	Syag.g_01113	Prbg.g_01470
OG0000297	Syag.g_01099	Prbg.g_01461
OG0000298	Syag.g_01098	Prbg.g_01460
OG0000299	Syag.g_01067	Prbg.g_01441
OG0000301	Syag.g_01061	Prbg.g_01437
OG0000302	Syag.g_01060	Prbg.g_01435
OG0000303	Syag.g_01048	Prbg.g_01429
OG0000304	Syag.g_01041	Prbg.g_00352
OG0000305	Syag.g_00977	Prbg.g_01529
OG0000306	Syag.g_00460	Prbg.g_01223
OG0000307	Syag.g_01546	Prbg.g_00538
OG0000308	Syag.g_01548	Prbg.g_00539
OG0000309	Syag.g_01553	Prbg.g_00543
OG0000310	Syag.g_01291	Prbg.g_00577
OG0000311	Syag.g_01300	Prbg.g_00579
OG0000312	Syag.g_01434	Prbg.g_00582
OG0000313	Syag.g_00966, Syag.g_01412	Prbg.g_00595
OG0000314	Syag.g_01380	Prbg.g_00618
OG0000315	Syag.g_01369	Prbg.g_00628
OG0000316	Syag.g_01641	Prbg.g_00653
OG0000317	Syag.g_01684	Prbg.g_01647
OG0000318	Syag.g_01688	Prbg.g_01651
OG0000319	Syag.g_01710	Prbg.g_01664
OG0000320	Syag.g_01712	Prbg.g_01666
OG0000321	Syag.g_01713	Prbg.g_01667
OG0000322	Syag.g_01714	Prbg.g_01668
OG0000323	Syag.g_01728	Prbg.g_01677
OG0000324	Syag.g_01757	Prbg.g_01704
OG0000325	Syag.g_02690	Prbg.g_01715
OG0000326	Syag.g_02698	Prbg.g_01722
OG0000327	Syag.g_02728	Prbg.g_01743
OG0000328	Syag.g_02729	Prbg.g_01744
OG0000329	Syag.g_02747	Prbg.g_01761
OG0000330	Syag.g_02748	Prbg.g_01762
OG0000331	Syag.g_02749	Prbg.g_01763
OG0000332	Syag.g_02764	Prbg.g_01777
OG0000333	Syag.g_02767	Prbg.g_01779
OG0000334	Syag.g_02777	Prbg.g_01788
OG0000335	Syag.g_02782	Prbg.g_01793
OG0000336	Syag.g_02786	Prbg.g_01797
OG0000337	Syag.g_02445	Prbg.g_01815
OG0000338	Syag.g_02440	Prbg.g_01816
OG0000340	Syag.g_02416	Prbg.g_01831
OG0000341	Syag.g_02414	Prbg.g_01833
OG0000342	Syag.g_02413	Prbg.g_01834
OG0000343	Syag.g_02411	Prbg.g_01835
OG0000344	Syag.g_02407	Prbg.g_01838
OG0000345	Syag.g_02397	Prbg.g_01844
OG0000346	Syag.g_02392	Prbg.g_01848
OG0000347	Syag.g_02366	Prbg.g_01865
OG0000348	Syag.g_02357	Prbg.g_01873
OG0000349	Syag.g_02330	Prbg.g_01891
OG0000350	Syag.g_02705	Prbg.g_00419
OG0000351	Syag.g_02244	Prbg.g_01931
OG0000352	Syag.g_02245	Prbg.g_01932
OG0000353	Syag.g_02271	Prbg.g_00766
OG0000355	Syag.g_02273	Prbg.g_00768
OG0000356	Syag.g_02274	Prbg.g_00769
OG0000357	Syag.g_02275	Prbg.g_00770
OG0000358	Syag.g_02279	Prbg.g_00774
OG0000359	Syag.g_02281	Prbg.g_00775
OG0000360	Syag.g_02282	Prbg.g_00776
OG0000361	Syag.g_02283	Prbg.g_00777
OG0000362	Syag.g_02285	Prbg.g_00779
OG0000363	Syag.g_02287	Prbg.g_00860
OG0000364	Syag.g_02288	Prbg.g_00859
OG0000365	Syag.g_02297	Prbg.g_00854
OG0000366	Syag.g_02298	Prbg.g_00853
OG0000367	Syag.g_02299	Prbg.g_00852
OG0000368	Syag.g_02301	Prbg.g_00850
OG0000369	Syag.g_02302	Prbg.g_00849
OG0000370	Syag.g_02303	Prbg.g_00848
OG0000371	Syag.g_02312	Prbg.g_00841
OG0000372	Syag.g_02317	Prbg.g_00838
OG0000373	Syag.g_02318	Prbg.g_00837
OG0000374	Syag.g_02319	Prbg.g_00836
OG0000375	Syag.g_02326	Prbg.g_00834
OG0000376	Syag.g_02328	Prbg.g_00832
OG0000377	Syag.g_02119	Prbg.g_00828
OG0000378	Syag.g_02099	Prbg.g_00824
OG0000379	Syag.g_02091	Prbg.g_00821
OG0000380	Syag.g_01817	Prbg.g_00804
OG0000381	Syag.g_01820	Prbg.g_00799
OG0000382	Syag.g_01838	Prbg.g_00789
OG0000383	Syag.g_01843	Prbg.g_00787
OG0000384	Syag.g_01844	Prbg.g_00786
OG0000385	Syag.g_01845	Prbg.g_00785
OG0000386	Syag.g_01846	Prbg.g_00784
OG0000387	Syag.g_01876	Prbg.g_00870
OG0000388	Syag.g_01880	Prbg.g_00874
OG0000389	Syag.g_01884	Prbg.g_00877
OG0000390	Syag.g_01903	Prbg.g_00887
OG0000391	Syag.g_01908	Prbg.g_00890
OG0000392	Syag.g_01914	Prbg.g_00894
OG0000393	Syag.g_01917	Prbg.g_00897
OG0000394	Syag.g_01918	Prbg.g_00898
OG0000395	Syag.g_01919	Prbg.g_00899
OG0000396	Syag.g_01922	Prbg.g_00901
OG0000397	Syag.g_01924	Prbg.g_00903
OG0000398	Syag.g_01929	Prbg.g_00906
OG0000399	Syag.g_01930	Prbg.g_00907
OG0000400	Syag.g_01931	Prbg.g_00908
OG0000401	Syag.g_01932	Prbg.g_00909
OG0000402	Syag.g_01934	Prbg.g_01349
OG0000403	Syag.g_01935	Prbg.g_00911
OG0000404	Syag.g_01937	Prbg.g_00912
OG0000405	Syag.g_01949	Prbg.g_00916
OG0000406	Syag.g_01953	Prbg.g_00924
OG0000407	Syag.g_01954	Prbg.g_00925
OG0000408	Syag.g_01956	Prbg.g_00927
OG0000409	Syag.g_01958	Prbg.g_00929
OG0000410	Syag.g_01959	Prbg.g_00930
OG0000411	Syag.g_01960	Prbg.g_00931
OG0000412	Syag.g_01961	Prbg.g_00932
OG0000413	Syag.g_01963	Prbg.g_00934
OG0000414	Syag.g_01964	Prbg.g_00935
OG0000415	Syag.g_01965	Prbg.g_00936
OG0000416	Syag.g_01966	Prbg.g_00937
OG0000417	Syag.g_01967	Prbg.g_00938
OG0000418	Syag.g_01973	Prbg.g_00943
OG0000419	Syag.g_01975	Prbg.g_00945
OG0000420	Syag.g_01977	Prbg.g_00946
OG0000421	Syag.g_01982	Prbg.g_00951
OG0000422	Syag.g_01983	Prbg.g_00952
OG0000423	Syag.g_01984	Prbg.g_00953
OG0000424	Syag.g_01985	Prbg.g_00954
OG0000425	Syag.g_01986	Prbg.g_00955
OG0000426	Syag.g_01987	Prbg.g_00956
OG0000427	Syag.g_01988	Prbg.g_00957
OG0000428	Syag.g_01991	Prbg.g_00959
OG0000429	Syag.g_01993	Prbg.g_00960
OG0000430	Syag.g_01995	Prbg.g_00961
OG0000431	Syag.g_01998	Prbg.g_00963
OG0000432	Syag.g_02007	Prbg.g_00967
OG0000433	Syag.g_02009	Prbg.g_00968
OG0000434	Syag.g_02010	Prbg.g_00969
OG0000435	Syag.g_02017	Prbg.g_00970
OG0000436	Syag.g_02028	Prbg.g_00975
OG0000437	Syag.g_02029	Prbg.g_00976
OG0000438	Syag.g_02031	Prbg.g_00977
OG0000439	Syag.g_02033	Prbg.g_00979
OG0000440	Syag.g_02034	Prbg.g_00980
OG0000441	Syag.g_02041	Prbg.g_00983
OG0000442	Syag.g_02044	Prbg.g_00984
OG0000443	Syag.g_02046	Prbg.g_00985
OG0000444	Syag.g_02053	Prbg.g_00991
OG0000445	Syag.g_02054	Prbg.g_00992
OG0000446	Syag.g_02056	Prbg.g_00993
OG0000447	Syag.g_02059	Prbg.g_00994
OG0000448	Syag.g_02060	Prbg.g_00995
OG0000449	Syag.g_02061	Prbg.g_00996
OG0000450	Syag.g_02066	Prbg.g_00997
OG0000451	Syag.g_02067	Prbg.g_00998
OG0000452	Syag.g_02071	Prbg.g_01001
OG0000453	Syag.g_02072	Prbg.g_01002
OG0000454	Syag.g_02073	Prbg.g_01003
OG0000455	Syag.g_02074	Prbg.g_01004
OG0000456	Syag.g_02075	Prbg.g_01005
OG0000457	Syag.g_02077	Prbg.g_01007
OG0000458	Syag.g_02080	Prbg.g_01008
OG0000459	Syag.g_02081	Prbg.g_01009
OG0000460	Syag.g_01786	Prbg.g_01017
OG0000461	Syag.g_02675	Prbg.g_01025
OG0000462	Syag.g_02672	Prbg.g_01027
OG0000463	Syag.g_02671	Prbg.g_01028
OG0000464	Syag.g_02670	Prbg.g_01029
OG0000465	Syag.g_02668	Prbg.g_01030
OG0000466	Syag.g_02662	Prbg.g_01033
OG0000467	Syag.g_02660	Prbg.g_01034
OG0000468	Syag.g_02636	Prbg.g_01037
OG0000469	Syag.g_02621	Prbg.g_01045
OG0000470	Syag.g_02619	Prbg.g_00042
OG0000471	Syag.g_02618	Prbg.g_00043
OG0000472	Syag.g_02616	Prbg.g_00045
OG0000473	Syag.g_02614	Prbg.g_00047
OG0000474	Syag.g_02613	Prbg.g_00048
OG0000475	Syag.g_02612	Prbg.g_00049
OG0000476	Syag.g_02610	Prbg.g_00051
OG0000477	Syag.g_02604	Prbg.g_00054
OG0000478	Syag.g_02603	Prbg.g_00055
OG0000479	Syag.g_02602	Prbg.g_00056
OG0000480	Syag.g_02595	Prbg.g_00061
OG0000481	Syag.g_02593	Prbg.g_00064
OG0000482	Syag.g_02592	Prbg.g_00065
OG0000483	Syag.g_02588	Prbg.g_00068
OG0000484	Syag.g_02587	Prbg.g_00069
OG0000485	Syag.g_02586	Prbg.g_00071
OG0000486	Syag.g_02585	Prbg.g_00072
OG0000487	Syag.g_02579	Prbg.g_00075
OG0000488	Syag.g_02575	Prbg.g_00078
OG0000489	Syag.g_02565	Prbg.g_00083
OG0000490	Syag.g_02553	Prbg.g_00087
OG0000491	Syag.g_02551	Prbg.g_00088
OG0000492	Syag.g_02549	Prbg.g_00090
OG0000493	Syag.g_02548	Prbg.g_00091
OG0000494	Syag.g_02547	Prbg.g_00092
OG0000495	Syag.g_02546	Prbg.g_00093
OG0000496	Syag.g_02545	Prbg.g_00094
OG0000497	Syag.g_02544	Prbg.g_00095
OG0000498	Syag.g_02543	Prbg.g_00096
OG0000499	Syag.g_02542	Prbg.g_00097
OG0000500	Syag.g_02541	Prbg.g_00098
OG0000501	Syag.g_02538	Prbg.g_00099
OG0000502	Syag.g_02467	Prbg.g_00102
OG0000503	Syag.g_02843	Prbg.g_00117
OG0000504	Syag.g_02845	Prbg.g_00119
OG0000505	Syag.g_02846	Prbg.g_00120
OG0000506	Syag.g_02849	Prbg.g_00121
OG0000507	Syag.g_02855	Prbg.g_00124
OG0000508	Syag.g_02860	Prbg.g_00128
OG0000509	Syag.g_02862	Prbg.g_00130
OG0000510	Syag.g_02863	Prbg.g_00131
OG0000511	Syag.g_02864	Prbg.g_00132
OG0000512	Syag.g_02866	Prbg.g_01942
OG0000513	Syag.g_00009	Prbg.g_00140
OG0000514	Syag.g_00018	Prbg.g_00151
OG0000515	Syag.g_00019	Prbg.g_00152
OG0000516	Syag.g_00025	Prbg.g_00153
OG0000517	Syag.g_00032	Prbg.g_00155
OG0000518	Syag.g_00044	Prbg.g_00166
OG0000519	Syag.g_00045	Prbg.g_00167
OG0000520	Syag.g_00046	Prbg.g_00168
OG0000521	Syag.g_00054	Prbg.g_00176
OG0000522	Syag.g_00056	Prbg.g_00178
OG0000523	Syag.g_00057	Prbg.g_00179
OG0000524	Syag.g_01327	Prbg.g_00184
OG0000525	Syag.g_01345	Prbg.g_00188
OG0000526	Syag.g_01348	Prbg.g_00189
OG0000527	Syag.g_01354	Prbg.g_00192
OG0000528	Syag.g_01532	Prbg.g_00197
OG0000529	Syag.g_01527	Prbg.g_00200
OG0000530	Syag.g_01524	Prbg.g_00203
OG0000531	Syag.g_01523	Prbg.g_00204
OG0000532	Syag.g_01520	Prbg.g_00206
OG0000533	Syag.g_01518	Prbg.g_00207
OG0000534	Syag.g_01517	Prbg.g_00208
OG0000535	Syag.g_01516	Prbg.g_00209
OG0000536	Syag.g_01515	Prbg.g_00210
OG0000537	Syag.g_01514	Prbg.g_00211
OG0000538	Syag.g_01502	Prbg.g_00220
OG0000539	Syag.g_01501	Prbg.g_00221
OG0000540	Syag.g_01500	Prbg.g_00222
OG0000541	Syag.g_01499	Prbg.g_00223
OG0000542	Syag.g_01496	Prbg.g_00224
OG0000543	Syag.g_01494	Prbg.g_00226
OG0000544	Syag.g_01493	Prbg.g_00227
OG0000545	Syag.g_01491	Prbg.g_00229
OG0000546	Syag.g_01489	Prbg.g_00232
OG0000547	Syag.g_01487	Prbg.g_00234
OG0000548	Syag.g_01486	Prbg.g_00235
OG0000549	Syag.g_01480	Prbg.g_00237
OG0000550	Syag.g_01474	Prbg.g_00241
OG0000551	Syag.g_01470	Prbg.g_00244
OG0000552	Syag.g_01469	Prbg.g_00245
OG0000553	Syag.g_01464	Prbg.g_00246
OG0000554	Syag.g_01453	Prbg.g_00251
OG0000555	Syag.g_00075	Prbg.g_00259
OG0000556	Syag.g_00257	Prbg.g_00261
OG0000557	Syag.g_00267	Prbg.g_00262
OG0000558	Syag.g_00269	Prbg.g_00265
OG0000559	Syag.g_00273	Prbg.g_00269
OG0000560	Syag.g_00276	Prbg.g_00272
OG0000561	Syag.g_00277	Prbg.g_00273
OG0000562	Syag.g_00278	Prbg.g_00274
OG0000563	Syag.g_00279	Prbg.g_00275
OG0000564	Syag.g_00280	Prbg.g_00276
OG0000565	Syag.g_00284	Prbg.g_00278
