Orthogroup	Prag	Syas
OG0000082	Prag.g_00563	Syas.g_00837
OG0000085	Prag.g_01662	Syas.g_02695
OG0000086	Prag.g_00082	Syas.g_02470
OG0000087	Prag.g_00132	Syas.g_02374
OG0000089	Prag.g_00350	Syas.g_01512
OG0000090	Prag.g_00512	Syas.g_00062
OG0000091	Prag.g_00620	Syas.g_00907, Syas.g_00146
OG0000094	Prag.g_01017	Syas.g_00208, Syas.g_01716
OG0000095	Prag.g_01036	Syas.g_01021
OG0000097	Prag.g_01194	Syas.g_00114, Syas.g_01443
OG0000098	Prag.g_01371	Syas.g_00091
OG0000099	Prag.g_01424	Syas.g_01826
OG0000100	Prag.g_01564	Syas.g_00567
OG0000101	Prag.g_01804	Syas.g_01589
OG0000102	Prag.g_01866	Syas.g_02152, Syas.g_01395
OG0000103	Prag.g_01945	Syas.g_02009
OG0000104	Prag.g_01953	Syas.g_02027, Syas.g_02026
OG0000105	Prag.g_00265	Syas.g_01739
OG0000106	Prag.g_00364	Syas.g_01451
OG0000107	Prag.g_00378	Syas.g_01669
OG0000108	Prag.g_00459	Syas.g_01253
OG0000109	Prag.g_00473	Syas.g_01236
OG0000110	Prag.g_00553	Syas.g_00359, Syas.g_00818
OG0000111	Prag.g_00677	Syas.g_01037
OG0000112	Prag.g_00771	Syas.g_00452
OG0000113	Prag.g_00828	Syas.g_00571
OG0000114	Prag.g_00906	Syas.g_00252, Syas.g_00674
OG0000115	Prag.g_01097	Syas.g_02548, Syas.g_01285
OG0000116	Prag.g_01143	Syas.g_01198, Syas.g_00317
OG0000117	Prag.g_01298	Syas.g_01122
OG0000118	Prag.g_01367	Syas.g_02835
OG0000120	Prag.g_01423	Syas.g_01828
OG0000121	Prag.g_01492	Syas.g_02821
OG0000122	Prag.g_01530	Syas.g_00393
OG0000123	Prag.g_01811	Syas.g_01582
OG0000124	Prag.g_01877	Syas.g_02137
OG0000125	Prag.g_01913	Syas.g_01889
OG0000126	Prag.g_01952	Syas.g_01992
OG0000128	Prag.g_00011	Syas.g_02046
OG0000129	Prag.g_00044	Syas.g_01880
OG0000130	Prag.g_00063	Syas.g_02522
OG0000131	Prag.g_00138	Syas.g_02367
OG0000132	Prag.g_00157	Syas.g_02334
OG0000133	Prag.g_00313	Syas.g_00457
OG0000134	Prag.g_00351	Syas.g_01509
OG0000135	Prag.g_00375	Syas.g_01938
OG0000136	Prag.g_00420	Syas.g_02740
OG0000137	Prag.g_00454	Syas.g_01333
OG0000138	Prag.g_00474	Syas.g_01235
OG0000139	Prag.g_00516	Syas.g_00069
OG0000140	Prag.g_00517	Syas.g_00090
OG0000141	Prag.g_00585	Syas.g_00875
OG0000142	Prag.g_00613	Syas.g_00746
OG0000143	Prag.g_00617	Syas.g_00742
OG0000144	Prag.g_00630	Syas.g_00718
OG0000145	Prag.g_00758	Syas.g_00948
OG0000146	Prag.g_00772	Syas.g_00451
OG0000147	Prag.g_00773	Syas.g_00450
OG0000148	Prag.g_00822	Syas.g_00577
OG0000149	Prag.g_00851	Syas.g_00282
OG0000150	Prag.g_00859	Syas.g_00874
OG0000151	Prag.g_00916	Syas.g_00148, Syas.g_00659
OG0000152	Prag.g_00964	Syas.g_00461
OG0000153	Prag.g_00983	Syas.g_00543
OG0000154	Prag.g_01010	Syas.g_00219
OG0000155	Prag.g_01173	Syas.g_01131
OG0000156	Prag.g_01342	Syas.g_01206
OG0000157	Prag.g_01343	Syas.g_01207
OG0000158	Prag.g_01425	Syas.g_02185
OG0000160	Prag.g_01491	Syas.g_02820
OG0000161	Prag.g_01497	Syas.g_02826
OG0000162	Prag.g_01503	Syas.g_02751
OG0000163	Prag.g_01537	Syas.g_01488
OG0000164	Prag.g_01693	Syas.g_02648
OG0000165	Prag.g_01700	Syas.g_02609
OG0000166	Prag.g_01768	Syas.g_01629
OG0000167	Prag.g_01834	Syas.g_01449
OG0000168	Prag.g_01844	Syas.g_02184
OG0000169	Prag.g_01854	Syas.g_02170
OG0000170	Prag.g_01856	Syas.g_02161
OG0000171	Prag.g_01876	Syas.g_02139
OG0000172	Prag.g_01884	Syas.g_02110
OG0000173	Prag.g_01899	Syas.g_02092
OG0000174	Prag.g_01927	Syas.g_01940
OG0000175	Prag.g_01937	Syas.g_01994
OG0000176	Prag.g_00004	Syas.g_02038
OG0000177	Prag.g_00005	Syas.g_02039
OG0000178	Prag.g_00006	Syas.g_02040
OG0000179	Prag.g_00016	Syas.g_02054
OG0000180	Prag.g_00017	Syas.g_02055
OG0000181	Prag.g_00018	Syas.g_02056
OG0000182	Prag.g_00019	Syas.g_02057
OG0000183	Prag.g_00023	Syas.g_02061
OG0000184	Prag.g_00046	Syas.g_01872
OG0000185	Prag.g_00049	Syas.g_01861
OG0000186	Prag.g_00058	Syas.g_02525
OG0000187	Prag.g_00059	Syas.g_02524
OG0000188	Prag.g_00076	Syas.g_02502
OG0000189	Prag.g_00089	Syas.g_02432
OG0000190	Prag.g_00090	Syas.g_00133
OG0000191	Prag.g_00110	Syas.g_02400
OG0000192	Prag.g_00114	Syas.g_02395
OG0000193	Prag.g_00139	Syas.g_02366
OG0000194	Prag.g_00142	Syas.g_02363
OG0000195	Prag.g_00144	Syas.g_02360
OG0000196	Prag.g_00154	Syas.g_02337
OG0000197	Prag.g_00155	Syas.g_02336
OG0000198	Prag.g_00156	Syas.g_02335
OG0000199	Prag.g_00163	Syas.g_02327
OG0000200	Prag.g_00177	Syas.g_02298
OG0000201	Prag.g_00185	Syas.g_02279
OG0000202	Prag.g_00186	Syas.g_02278
OG0000203	Prag.g_00187	Syas.g_02277
OG0000204	Prag.g_00188	Syas.g_02276
OG0000205	Prag.g_00195	Syas.g_02267
OG0000206	Prag.g_00200	Syas.g_02240
OG0000207	Prag.g_00202	Syas.g_02237
OG0000208	Prag.g_00203	Syas.g_02236
OG0000209	Prag.g_00212	Syas.g_01837
OG0000210	Prag.g_00213	Syas.g_01838
OG0000211	Prag.g_00226	Syas.g_02552
OG0000212	Prag.g_00233	Syas.g_02562
OG0000213	Prag.g_00249	Syas.g_01707
OG0000214	Prag.g_00258	Syas.g_01730
OG0000215	Prag.g_00283	Syas.g_01766
OG0000216	Prag.g_00285	Syas.g_01770
OG0000217	Prag.g_00288	Syas.g_01778
OG0000218	Prag.g_00290	Syas.g_01780
OG0000219	Prag.g_00291	Syas.g_01783
OG0000220	Prag.g_00292	Syas.g_01784
OG0000221	Prag.g_00293	Syas.g_01785
OG0000222	Prag.g_00301	Syas.g_01804
OG0000223	Prag.g_00314	Syas.g_02221
OG0000224	Prag.g_00316	Syas.g_02215
OG0000225	Prag.g_00340	Syas.g_01522
OG0000226	Prag.g_00344	Syas.g_01518
OG0000227	Prag.g_00346	Syas.g_01516
OG0000228	Prag.g_00349	Syas.g_01513
OG0000229	Prag.g_00415	Syas.g_01497
OG0000230	Prag.g_00417	Syas.g_01495
OG0000231	Prag.g_00428	Syas.g_02749
OG0000232	Prag.g_00437	Syas.g_01276
OG0000233	Prag.g_00442	Syas.g_01352
OG0000234	Prag.g_00455	Syas.g_01331
OG0000235	Prag.g_00458	Syas.g_01254
OG0000236	Prag.g_00472	Syas.g_01237
OG0000237	Prag.g_00485	Syas.g_01220
OG0000238	Prag.g_00491	Syas.g_01215
OG0000239	Prag.g_00504	Syas.g_00012
OG0000240	Prag.g_00505	Syas.g_00013
OG0000241	Prag.g_00509	Syas.g_00754
OG0000242	Prag.g_00511	Syas.g_00059
OG0000243	Prag.g_00522	Syas.g_00777
OG0000244	Prag.g_00525	Syas.g_00784
OG0000245	Prag.g_00527	Syas.g_00786
OG0000246	Prag.g_00531	Syas.g_00790
OG0000247	Prag.g_00541	Syas.g_00802
OG0000248	Prag.g_00543	Syas.g_00805
OG0000249	Prag.g_00545	Syas.g_00807
OG0000250	Prag.g_00550	Syas.g_00814
OG0000251	Prag.g_00569	Syas.g_00845
OG0000252	Prag.g_00572	Syas.g_00950
OG0000253	Prag.g_00573	Syas.g_00846
OG0000254	Prag.g_00589	Syas.g_00869
OG0000255	Prag.g_00595	Syas.g_00132, Syas.g_01062
OG0000256	Prag.g_00605	Syas.g_00104
OG0000257	Prag.g_00608	Syas.g_00757
OG0000258	Prag.g_00621	Syas.g_00733
OG0000259	Prag.g_00638	Syas.g_01006, Syas.g_00708
OG0000260	Prag.g_00641	Syas.g_00705
OG0000261	Prag.g_00643	Syas.g_00701
OG0000262	Prag.g_00647	Syas.g_00695
OG0000263	Prag.g_00659	Syas.g_01103
OG0000264	Prag.g_00669	Syas.g_02588
OG0000266	Prag.g_00702	Syas.g_00186
OG0000267	Prag.g_00713	Syas.g_00377
OG0000268	Prag.g_00714	Syas.g_00390
OG0000269	Prag.g_00801	Syas.g_00601
OG0000270	Prag.g_00804	Syas.g_00598
OG0000271	Prag.g_00812	Syas.g_00590
OG0000272	Prag.g_00813	Syas.g_00589
OG0000273	Prag.g_00835	Syas.g_00563
OG0000274	Prag.g_00836	Syas.g_00562
OG0000275	Prag.g_00838	Syas.g_00230
OG0000276	Prag.g_00843	Syas.g_00237
OG0000277	Prag.g_00844	Syas.g_00238
OG0000278	Prag.g_00847	Syas.g_00241
OG0000279	Prag.g_00854	Syas.g_00288
OG0000280	Prag.g_00855	Syas.g_00889, Syas.g_00481
OG0000281	Prag.g_00860	Syas.g_00970
OG0000282	Prag.g_00908	Syas.g_00672
OG0000283	Prag.g_00941	Syas.g_00409
OG0000284	Prag.g_00946	Syas.g_00416
OG0000285	Prag.g_00951	Syas.g_00436
OG0000286	Prag.g_00963	Syas.g_00460
OG0000287	Prag.g_00980	Syas.g_00534
OG0000288	Prag.g_01009	Syas.g_00220
OG0000289	Prag.g_01020	Syas.g_00205
OG0000290	Prag.g_01033	Syas.g_01016
OG0000291	Prag.g_01035	Syas.g_01018
OG0000292	Prag.g_01085	Syas.g_02020
OG0000293	Prag.g_01144	Syas.g_01197
OG0000294	Prag.g_01145	Syas.g_01196
OG0000295	Prag.g_01165	Syas.g_01139
OG0000296	Prag.g_01167	Syas.g_01137
OG0000297	Prag.g_01175	Syas.g_01124
OG0000298	Prag.g_01176	Syas.g_01123
OG0000299	Prag.g_01193	Syas.g_01087
OG0000300	Prag.g_01196	Syas.g_01082
OG0000301	Prag.g_01197	Syas.g_01081
OG0000302	Prag.g_01199	Syas.g_01080
OG0000303	Prag.g_01206	Syas.g_01071
OG0000304	Prag.g_01210	Syas.g_01066
OG0000305	Prag.g_01381	Syas.g_01023
OG0000306	Prag.g_01384	Syas.g_01929
OG0000307	Prag.g_01398	Syas.g_01270
OG0000308	Prag.g_01399	Syas.g_01272
OG0000309	Prag.g_01403	Syas.g_01364
OG0000310	Prag.g_01473	Syas.g_02796
OG0000311	Prag.g_01475	Syas.g_02799
OG0000312	Prag.g_01478	Syas.g_02804
OG0000313	Prag.g_01494	Syas.g_02823
OG0000314	Prag.g_01516	Syas.g_01296
OG0000315	Prag.g_01527	Syas.g_01306
OG0000316	Prag.g_01547	Syas.g_02728
OG0000317	Prag.g_01667	Syas.g_02687
OG0000318	Prag.g_01670	Syas.g_02680
OG0000319	Prag.g_01683	Syas.g_02663
OG0000320	Prag.g_01685	Syas.g_02661
OG0000321	Prag.g_01686	Syas.g_02660
OG0000322	Prag.g_01687	Syas.g_02659
OG0000323	Prag.g_01696	Syas.g_02646, Syas.g_00159
OG0000324	Prag.g_01723	Syas.g_02578
OG0000325	Prag.g_01733	Syas.g_01668
OG0000326	Prag.g_01739	Syas.g_01661
OG0000327	Prag.g_01763	Syas.g_01634
OG0000328	Prag.g_01764	Syas.g_01633
OG0000329	Prag.g_01781	Syas.g_01615
OG0000330	Prag.g_01782	Syas.g_01614
OG0000331	Prag.g_01783	Syas.g_01613
OG0000332	Prag.g_01797	Syas.g_01598
OG0000333	Prag.g_01799	Syas.g_01595
OG0000334	Prag.g_01807	Syas.g_01586
OG0000335	Prag.g_01812	Syas.g_01581
OG0000336	Prag.g_01816	Syas.g_01577
OG0000337	Prag.g_01832	Syas.g_02211
OG0000338	Prag.g_01833	Syas.g_02199
OG0000339	Prag.g_01837	Syas.g_02192
OG0000340	Prag.g_01845	Syas.g_02183
OG0000341	Prag.g_01847	Syas.g_02181
OG0000342	Prag.g_01848	Syas.g_02180
OG0000343	Prag.g_01849	Syas.g_02176
OG0000344	Prag.g_01852	Syas.g_02172
OG0000345	Prag.g_01857	Syas.g_02160
OG0000346	Prag.g_01862	Syas.g_02155
OG0000347	Prag.g_01878	Syas.g_02136
OG0000348	Prag.g_01887	Syas.g_02107
OG0000349	Prag.g_01904	Syas.g_02085
OG0000350	Prag.g_01923	Syas.g_01654
OG0000351	Prag.g_01940	Syas.g_01998
OG0000352	Prag.g_01941	Syas.g_01999
OG0000353	Prag.g_01956	Syas.g_02033
OG0000354	Prag.g_01282	Syas.g_02052
OG0000355	Prag.g_00001	Syas.g_02035
OG0000356	Prag.g_00002	Syas.g_02036
OG0000357	Prag.g_00003	Syas.g_02037
OG0000358	Prag.g_00007	Syas.g_02041
OG0000359	Prag.g_00008	Syas.g_02043
OG0000360	Prag.g_00009	Syas.g_02044
OG0000361	Prag.g_00010	Syas.g_02045
OG0000362	Prag.g_00012	Syas.g_02047
OG0000363	Prag.g_00014	Syas.g_02049
OG0000364	Prag.g_00015	Syas.g_02685
OG0000365	Prag.g_00020	Syas.g_02058
OG0000366	Prag.g_00021	Syas.g_02059
OG0000368	Prag.g_00024	Syas.g_02062
OG0000369	Prag.g_00025	Syas.g_02063
OG0000370	Prag.g_00026	Syas.g_02064
OG0000371	Prag.g_00032	Syas.g_02073
OG0000372	Prag.g_00035	Syas.g_02078
OG0000373	Prag.g_00036	Syas.g_02079
OG0000374	Prag.g_00037	Syas.g_02080
OG0000375	Prag.g_00040	Syas.g_02081
OG0000376	Prag.g_00042	Syas.g_02083
OG0000377	Prag.g_00045	Syas.g_01879
OG0000378	Prag.g_00047	Syas.g_01867
OG0000379	Prag.g_00050	Syas.g_01859
OG0000380	Prag.g_00060	Syas.g_02523
OG0000381	Prag.g_00064	Syas.g_02521
OG0000382	Prag.g_00075	Syas.g_02503
OG0000383	Prag.g_00077	Syas.g_02480
OG0000384	Prag.g_00078	Syas.g_02479
OG0000385	Prag.g_00079	Syas.g_02478
OG0000386	Prag.g_00080	Syas.g_02477
OG0000387	Prag.g_00092	Syas.g_00134
OG0000388	Prag.g_00095	Syas.g_02426
OG0000389	Prag.g_00099	Syas.g_02422
OG0000390	Prag.g_00106	Syas.g_02406
OG0000391	Prag.g_00109	Syas.g_02401
OG0000392	Prag.g_00113	Syas.g_02396
OG0000393	Prag.g_00115	Syas.g_02394
OG0000394	Prag.g_00116	Syas.g_02393
OG0000395	Prag.g_00117	Syas.g_02392
OG0000396	Prag.g_00120	Syas.g_02389
OG0000397	Prag.g_00122	Syas.g_02387
OG0000398	Prag.g_00124	Syas.g_02382
OG0000399	Prag.g_00125	Syas.g_02381
OG0000400	Prag.g_00126	Syas.g_02380
OG0000401	Prag.g_00127	Syas.g_02379
OG0000402	Prag.g_00129	Syas.g_02377
OG0000403	Prag.g_00130	Syas.g_02376
OG0000404	Prag.g_00131	Syas.g_02375
OG0000405	Prag.g_00135	Syas.g_02369
OG0000406	Prag.g_00140	Syas.g_02365
OG0000407	Prag.g_00141	Syas.g_02364
OG0000408	Prag.g_00143	Syas.g_02361
OG0000409	Prag.g_00145	Syas.g_02359
OG0000410	Prag.g_00146	Syas.g_02358
OG0000411	Prag.g_00147	Syas.g_02357
OG0000412	Prag.g_00148	Syas.g_02356
OG0000413	Prag.g_00149	Syas.g_02354
OG0000414	Prag.g_00150	Syas.g_02353
OG0000415	Prag.g_00151	Syas.g_02352
OG0000416	Prag.g_00152	Syas.g_02351
OG0000417	Prag.g_00153	Syas.g_02338
OG0000418	Prag.g_00158	Syas.g_02333
OG0000419	Prag.g_00160	Syas.g_02331
OG0000420	Prag.g_00161	Syas.g_02329
OG0000421	Prag.g_00166	Syas.g_02324
OG0000422	Prag.g_00167	Syas.g_02323
OG0000423	Prag.g_00168	Syas.g_02322
OG0000424	Prag.g_00169	Syas.g_02321
OG0000425	Prag.g_00170	Syas.g_02320
OG0000426	Prag.g_00171	Syas.g_02319
OG0000427	Prag.g_00172	Syas.g_02318
OG0000428	Prag.g_00174	Syas.g_02315
OG0000429	Prag.g_00175	Syas.g_02312
OG0000430	Prag.g_00176	Syas.g_02311
OG0000431	Prag.g_00178	Syas.g_02296
OG0000432	Prag.g_00181	Syas.g_02288
OG0000433	Prag.g_00182	Syas.g_02286
OG0000434	Prag.g_00183	Syas.g_02285
OG0000435	Prag.g_00184	Syas.g_02282
OG0000436	Prag.g_00189	Syas.g_02273
OG0000437	Prag.g_00190	Syas.g_02272
OG0000438	Prag.g_00191	Syas.g_02271
OG0000439	Prag.g_00193	Syas.g_02269
OG0000440	Prag.g_00194	Syas.g_02268
OG0000441	Prag.g_00197	Syas.g_02265
OG0000442	Prag.g_00198	Syas.g_02259
OG0000443	Prag.g_00199	Syas.g_02241
OG0000444	Prag.g_00204	Syas.g_02234
OG0000445	Prag.g_00205	Syas.g_02233
OG0000446	Prag.g_00206	Syas.g_02231
OG0000447	Prag.g_00207	Syas.g_02229
OG0000448	Prag.g_00208	Syas.g_02228
OG0000449	Prag.g_00209	Syas.g_02226
OG0000450	Prag.g_00210	Syas.g_01834
OG0000451	Prag.g_00211	Syas.g_01835
OG0000452	Prag.g_00214	Syas.g_01844
OG0000453	Prag.g_00215	Syas.g_01845
OG0000454	Prag.g_00216	Syas.g_01846
OG0000455	Prag.g_00217	Syas.g_01847
OG0000456	Prag.g_00218	Syas.g_01848
OG0000457	Prag.g_00219	Syas.g_01850
OG0000458	Prag.g_00220	Syas.g_01851
OG0000459	Prag.g_00221	Syas.g_01852
OG0000460	Prag.g_00228	Syas.g_02554
OG0000461	Prag.g_00235	Syas.g_01686
OG0000462	Prag.g_00237	Syas.g_01688
OG0000463	Prag.g_00238	Syas.g_01689
OG0000464	Prag.g_00239	Syas.g_01690
OG0000465	Prag.g_00240	Syas.g_01692
OG0000466	Prag.g_00243	Syas.g_01697
OG0000467	Prag.g_00244	Syas.g_01698
OG0000468	Prag.g_00245	Syas.g_01703
OG0000469	Prag.g_00253	Syas.g_01725
OG0000470	Prag.g_00255	Syas.g_01727
OG0000471	Prag.g_00256	Syas.g_01728
OG0000472	Prag.g_00257	Syas.g_01729
OG0000473	Prag.g_00259	Syas.g_01731
OG0000474	Prag.g_00260	Syas.g_01732
OG0000475	Prag.g_00261	Syas.g_01733
OG0000476	Prag.g_00262	Syas.g_01735
OG0000477	Prag.g_00266	Syas.g_01740
OG0000478	Prag.g_00267	Syas.g_01741
OG0000479	Prag.g_00268	Syas.g_01749
OG0000480	Prag.g_00273	Syas.g_01756
OG0000481	Prag.g_00275	Syas.g_00161, Syas.g_00162
OG0000482	Prag.g_00276	Syas.g_01758
OG0000483	Prag.g_00279	Syas.g_01762
OG0000484	Prag.g_00280	Syas.g_01763
OG0000485	Prag.g_00281	Syas.g_01764
OG0000486	Prag.g_00282	Syas.g_01765
OG0000487	Prag.g_00286	Syas.g_01771
OG0000488	Prag.g_00289	Syas.g_01779
OG0000489	Prag.g_00294	Syas.g_01823
OG0000490	Prag.g_00299	Syas.g_01808
OG0000491	Prag.g_00300	Syas.g_01806
OG0000492	Prag.g_00302	Syas.g_01803
OG0000493	Prag.g_00303	Syas.g_01802
OG0000494	Prag.g_00304	Syas.g_01801
OG0000495	Prag.g_00305	Syas.g_01799
OG0000496	Prag.g_00306	Syas.g_01798
OG0000497	Prag.g_00307	Syas.g_01797
OG0000498	Prag.g_00308	Syas.g_01796
OG0000499	Prag.g_00309	Syas.g_01795
OG0000500	Prag.g_00310	Syas.g_01794
OG0000501	Prag.g_00312	Syas.g_01791
OG0000502	Prag.g_00315	Syas.g_02216
OG0000503	Prag.g_00329	Syas.g_01541
OG0000504	Prag.g_00330	Syas.g_01539
OG0000505	Prag.g_00331	Syas.g_01538
OG0000506	Prag.g_00333	Syas.g_01536
OG0000507	Prag.g_00336	Syas.g_01530
OG0000508	Prag.g_00339	Syas.g_01523
OG0000509	Prag.g_00341	Syas.g_01521
OG0000510	Prag.g_00342	Syas.g_01520
OG0000511	Prag.g_00343	Syas.g_01519
OG0000512	Prag.g_00345	Syas.g_01517
OG0000513	Prag.g_00352	Syas.g_01508
OG0000514	Prag.g_00410	Syas.g_01504
OG0000515	Prag.g_00411	Syas.g_01503
OG0000516	Prag.g_00412	Syas.g_01501
OG0000517	Prag.g_00414	Syas.g_01498
OG0000518	Prag.g_00425	Syas.g_00360, Syas.g_02746
OG0000519	Prag.g_00426	Syas.g_02747
OG0000520	Prag.g_00427	Syas.g_02748
OG0000521	Prag.g_00432	Syas.g_01281
OG0000522	Prag.g_00434	Syas.g_01279
OG0000523	Prag.g_00435	Syas.g_01278
OG0000524	Prag.g_00440	Syas.g_01354
OG0000525	Prag.g_00443	Syas.g_01342
OG0000526	Prag.g_00444	Syas.g_01340
OG0000527	Prag.g_00452	Syas.g_01335
OG0000528	Prag.g_00457	Syas.g_01256
OG0000529	Prag.g_00460	Syas.g_01252
OG0000530	Prag.g_00463	Syas.g_01249
OG0000531	Prag.g_00464	Syas.g_01248
OG0000532	Prag.g_00466	Syas.g_01245
OG0000533	Prag.g_00467	Syas.g_01243
OG0000534	Prag.g_00468	Syas.g_01242
OG0000535	Prag.g_00469	Syas.g_01241
OG0000536	Prag.g_00470	Syas.g_01240
OG0000537	Prag.g_00471	Syas.g_01238
OG0000538	Prag.g_00479	Syas.g_01228
OG0000539	Prag.g_00480	Syas.g_01227
OG0000540	Prag.g_00481	Syas.g_01226
OG0000541	Prag.g_00482	Syas.g_01225
OG0000542	Prag.g_00484	Syas.g_01221
OG0000543	Prag.g_00486	Syas.g_01219
OG0000544	Prag.g_00487	Syas.g_01218
OG0000545	Prag.g_00489	Syas.g_01216
OG0000546	Prag.g_00492	Syas.g_01214
OG0000547	Prag.g_00494	Syas.g_01212
OG0000548	Prag.g_00495	Syas.g_01211
OG0000549	Prag.g_00497	Syas.g_00005
OG0000550	Prag.g_00502	Syas.g_00010
OG0000551	Prag.g_00506	Syas.g_00015
OG0000552	Prag.g_00507	Syas.g_00016
OG0000553	Prag.g_00508	Syas.g_00019
OG0000554	Prag.g_00513	Syas.g_00063
OG0000555	Prag.g_00521	Syas.g_00775
OG0000556	Prag.g_00523	Syas.g_00781
OG0000557	Prag.g_00524	Syas.g_00783
OG0000558	Prag.g_00526	Syas.g_00785
OG0000559	Prag.g_00530	Syas.g_00789
OG0000560	Prag.g_00533	Syas.g_00792
OG0000561	Prag.g_00534	Syas.g_00793
OG0000562	Prag.g_00535	Syas.g_00794
OG0000563	Prag.g_00536	Syas.g_00795
OG0000564	Prag.g_00537	Syas.g_00796
OG0000565	Prag.g_00540	Syas.g_00800
OG0000566	Prag.g_00542	Syas.g_00804
OG0000567	Prag.g_00546	Syas.g_00808
OG0000568	Prag.g_00547	Syas.g_00810
OG0000569	Prag.g_00548	Syas.g_00811
OG0000570	Prag.g_00549	Syas.g_00812
OG0000571	Prag.g_00551	Syas.g_00815
OG0000572	Prag.g_00564	Syas.g_00839
OG0000573	Prag.g_00570	Syas.g_00952
OG0000574	Prag.g_00571	Syas.g_00951
OG0000575	Prag.g_00575	Syas.g_00848
OG0000576	Prag.g_00577	Syas.g_00850
OG0000577	Prag.g_00578	Syas.g_00851
OG0000578	Prag.g_00579	Syas.g_00852
OG0000579	Prag.g_00580	Syas.g_00853
OG0000580	Prag.g_00581	Syas.g_00854
OG0000581	Prag.g_00583	Syas.g_00861
OG0000582	Prag.g_00586	Syas.g_00873
OG0000583	Prag.g_00587	Syas.g_00872
OG0000584	Prag.g_00588	Syas.g_00871
OG0000585	Prag.g_00590	Syas.g_00868
OG0000586	Prag.g_00591	Syas.g_00867
OG0000587	Prag.g_00592	Syas.g_00865
OG0000588	Prag.g_00596	Syas.g_00960
OG0000589	Prag.g_00599	Syas.g_00121
OG0000590	Prag.g_00600	Syas.g_00120
