Orthogroup	Pray	Prbm
OG0000030	Pray.g_00245, Pray.g_01501	Prbm.g_00528, Prbm.g_00529, Prbm.g_00530, Prbm.g_01595, Prbm.g_01289, Prbm.g_01287, Prbm.g_01985, Prbm.g_00532, Prbm.g_01828, Prbm.g_01982, Prbm.g_00036
OG0000032	Pray.g_01806	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000033	Pray.g_01475	Prbm.g_00013, Prbm.g_01944
OG0000035	Pray.g_00438	Prbm.g_01482
OG0000036	Pray.g_01177	Prbm.g_01900
OG0000037	Pray.g_01140	Prbm.g_01106
OG0000038	Pray.g_00304	Prbm.g_01204
OG0000039	Pray.g_00647	Prbm.g_00225
OG0000040	Pray.g_00838	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000042	Pray.g_01040	Prbm.g_00742
OG0000043	Pray.g_00333	Prbm.g_00950
OG0000045	Pray.g_01786	Prbm.g_00881
OG0000046	Pray.g_01566	Prbm.g_01834
OG0000047	Pray.g_01364	Prbm.g_02094
OG0000048	Pray.g_01371	Prbm.g_02102
OG0000050	Pray.g_01493	Prbm.g_00031
OG0000051	Pray.g_00638	Prbm.g_00216
OG0000052	Pray.g_00848	Prbm.g_01172, Prbm.g_01237
OG0000053	Pray.g_01222	Prbm.g_00572
OG0000054	Pray.g_00299	Prbm.g_00047
OG0000055	Pray.g_00370	Prbm.g_00838, Prbm.g_01191
OG0000056	Pray.g_00110	Prbm.g_00048
OG0000057	Pray.g_00718	Prbm.g_00297
OG0000058	Pray.g_00965	Prbm.g_00500
OG0000059	Pray.g_01065	Prbm.g_00735
OG0000060	Pray.g_00282	Prbm.g_01186
OG0000061	Pray.g_00531	Prbm.g_01648
OG0000062	Pray.g_00097	Prbm.g_01910
OG0000063	Pray.g_01927	Prbm.g_01522
OG0000065	Pray.g_01870	Prbm.g_00468, Prbm.g_01611
OG0000066	Pray.g_01808	Prbm.g_00707
OG0000067	Pray.g_01930	Prbm.g_01174
OG0000068	Pray.g_01306	Prbm.g_02033
OG0000069	Pray.g_01782	Prbm.g_01747
OG0000070	Pray.g_01942	Prbm.g_00477
OG0000071	Pray.g_01473	Prbm.g_00011
OG0000072	Pray.g_00800	Prbm.g_00377
OG0000073	Pray.g_01094	Prbm.g_00702
OG0000074	Pray.g_01072	Prbm.g_00728
OG0000075	Pray.g_00355	Prbm.g_00821
OG0000076	Pray.g_00584	Prbm.g_01064
OG0000077	Pray.g_01575	Prbm.g_00434, Prbm.g_01118, Prbm.g_01230, Prbm.g_01383, Prbm.g_01809, Prbm.g_01405
OG0000078	Pray.g_01788	Prbm.g_00394
OG0000079	Pray.g_01644	Prbm.g_01792
OG0000080	Pray.g_01595	Prbm.g_01182
OG0000081	Pray.g_01337	Prbm.g_02067
OG0000082	Pray.g_01427	Prbm.g_02188
OG0000083	Pray.g_01464	Prbm.g_00003
OG0000084	Pray.g_01468	Prbm.g_00006
OG0000085	Pray.g_01485	Prbm.g_00023
OG0000086	Pray.g_00907	Prbm.g_01170
OG0000087	Pray.g_00234	Prbm.g_00058
OG0000088	Pray.g_00176	Prbm.g_00172
OG0000089	Pray.g_00168	Prbm.g_00181
OG0000090	Pray.g_00150	Prbm.g_00198
OG0000091	Pray.g_00650	Prbm.g_00228
OG0000092	Pray.g_00651	Prbm.g_00229
OG0000093	Pray.g_00665	Prbm.g_00243
OG0000094	Pray.g_00683	Prbm.g_00262
OG0000095	Pray.g_00688	Prbm.g_00266
OG0000096	Pray.g_00732	Prbm.g_00310
OG0000097	Pray.g_00753	Prbm.g_00331
OG0000099	Pray.g_00772	Prbm.g_00350
OG0000100	Pray.g_00775	Prbm.g_00353
OG0000101	Pray.g_00835	Prbm.g_00425
OG0000102	Pray.g_00861	Prbm.g_01389
OG0000103	Pray.g_00966	Prbm.g_00501
OG0000104	Pray.g_00970	Prbm.g_00506
OG0000105	Pray.g_00990	Prbm.g_00533
OG0000106	Pray.g_01023	Prbm.g_00565
OG0000107	Pray.g_01024, Pray.g_01228	Prbm.g_00566
OG0000108	Pray.g_01218	Prbm.g_00576
OG0000109	Pray.g_01209	Prbm.g_00585
OG0000110	Pray.g_01193	Prbm.g_00601
OG0000111	Pray.g_01112	Prbm.g_00682
OG0000112	Pray.g_01111	Prbm.g_00683
OG0000113	Pray.g_00275	Prbm.g_00766
OG0000114	Pray.g_00346	Prbm.g_00812
OG0000115	Pray.g_00511	Prbm.g_00988
OG0000116	Pray.g_00515	Prbm.g_00992
OG0000117	Pray.g_00581	Prbm.g_01061
OG0000118	Pray.g_00632	Prbm.g_01210
OG0000119	Pray.g_00094	Prbm.g_01913
OG0000120	Pray.g_00057	Prbm.g_01542
OG0000121	Pray.g_00038	Prbm.g_01519
OG0000122	Pray.g_00019	Prbm.g_01499
OG0000123	Pray.g_00006	Prbm.g_01489
OG0000124	Pray.g_00250	Prbm.g_01054
OG0000125	Pray.g_01858	Prbm.g_01622
OG0000126	Pray.g_01829	Prbm.g_01660
OG0000127	Pray.g_01735	Prbm.g_01696
OG0000128	Pray.g_01721	Prbm.g_01711
OG0000129	Pray.g_01685	Prbm.g_01745
OG0000130	Pray.g_01561	Prbm.g_01839
OG0000131	Pray.g_01523	Prbm.g_01876
OG0000132	Pray.g_01520	Prbm.g_01878
OG0000133	Pray.g_01265	Prbm.g_01991
OG0000134	Pray.g_01301	Prbm.g_02027
OG0000135	Pray.g_01303	Prbm.g_02029
OG0000136	Pray.g_01348	Prbm.g_02079
OG0000137	Pray.g_01381	Prbm.g_02114
OG0000138	Pray.g_01417	Prbm.g_02176
OG0000139	Pray.g_01444	Prbm.g_02212
OG0000140	Pray.g_01462	Prbm.g_00001
OG0000141	Pray.g_01463	Prbm.g_00002
OG0000142	Pray.g_01465	Prbm.g_00004
OG0000143	Pray.g_01467	Prbm.g_00005
OG0000144	Pray.g_01469	Prbm.g_00007
OG0000145	Pray.g_01470	Prbm.g_00008
OG0000146	Pray.g_01471	Prbm.g_00009
OG0000147	Pray.g_01472	Prbm.g_00010
OG0000148	Pray.g_01474	Prbm.g_00012
OG0000149	Pray.g_01476	Prbm.g_00014
OG0000150	Pray.g_01477	Prbm.g_00015
OG0000151	Pray.g_01478	Prbm.g_00016
OG0000152	Pray.g_01479	Prbm.g_00017
OG0000153	Pray.g_01480	Prbm.g_00018
OG0000154	Pray.g_01481	Prbm.g_00019
OG0000155	Pray.g_01482	Prbm.g_00020
OG0000156	Pray.g_01483	Prbm.g_00021
OG0000157	Pray.g_01484	Prbm.g_00022
OG0000158	Pray.g_01486	Prbm.g_00024
OG0000159	Pray.g_01487	Prbm.g_00025
OG0000160	Pray.g_01488	Prbm.g_00026
OG0000161	Pray.g_01489	Prbm.g_00027
OG0000162	Pray.g_01490	Prbm.g_00028
OG0000163	Pray.g_01491	Prbm.g_00029
OG0000164	Pray.g_01494	Prbm.g_00032
OG0000165	Pray.g_01497	Prbm.g_00033
OG0000166	Pray.g_01498	Prbm.g_00034
OG0000167	Pray.g_01499	Prbm.g_00035
OG0000168	Pray.g_00243	Prbm.g_00049
OG0000169	Pray.g_00241	Prbm.g_00051
OG0000170	Pray.g_00240	Prbm.g_00052
OG0000171	Pray.g_00239	Prbm.g_00053
OG0000172	Pray.g_00238	Prbm.g_00054
OG0000173	Pray.g_00237	Prbm.g_00055
OG0000174	Pray.g_00236	Prbm.g_00056
OG0000175	Pray.g_00235	Prbm.g_00057
OG0000176	Pray.g_00233	Prbm.g_00059
OG0000177	Pray.g_00232	Prbm.g_00060
OG0000178	Pray.g_00231	Prbm.g_00061
OG0000179	Pray.g_00225	Prbm.g_00121
OG0000180	Pray.g_00224	Prbm.g_00122
OG0000181	Pray.g_00223	Prbm.g_00123
OG0000182	Pray.g_00220	Prbm.g_00126
OG0000183	Pray.g_00219	Prbm.g_00127
OG0000184	Pray.g_00216	Prbm.g_00130
OG0000185	Pray.g_00212	Prbm.g_00134
OG0000186	Pray.g_00211	Prbm.g_00135
OG0000187	Pray.g_00210	Prbm.g_00136
OG0000188	Pray.g_00209	Prbm.g_00137
OG0000189	Pray.g_00208	Prbm.g_00138
OG0000190	Pray.g_00207	Prbm.g_00139
OG0000191	Pray.g_00206	Prbm.g_00140
OG0000192	Pray.g_00205	Prbm.g_00141
OG0000193	Pray.g_00204	Prbm.g_00142
OG0000194	Pray.g_00203	Prbm.g_00143
OG0000195	Pray.g_00201	Prbm.g_00145
OG0000196	Pray.g_00200	Prbm.g_00146
OG0000197	Pray.g_00199	Prbm.g_00147
OG0000198	Pray.g_00198	Prbm.g_00148
OG0000199	Pray.g_00195	Prbm.g_00151
OG0000200	Pray.g_00194	Prbm.g_00152
OG0000201	Pray.g_00193	Prbm.g_00153
OG0000202	Pray.g_00192	Prbm.g_00154
OG0000203	Pray.g_00191	Prbm.g_00155
OG0000204	Pray.g_00190	Prbm.g_00156
OG0000205	Pray.g_00189	Prbm.g_00158
OG0000206	Pray.g_00188	Prbm.g_00159
OG0000207	Pray.g_00187	Prbm.g_00160
OG0000208	Pray.g_00186	Prbm.g_00161
OG0000209	Pray.g_00185	Prbm.g_00162
OG0000210	Pray.g_00183	Prbm.g_00163
OG0000211	Pray.g_00182	Prbm.g_00164
OG0000212	Pray.g_00181	Prbm.g_00165
OG0000213	Pray.g_00180	Prbm.g_00166
OG0000214	Pray.g_00178	Prbm.g_00170
OG0000215	Pray.g_00177	Prbm.g_00171
OG0000216	Pray.g_00175	Prbm.g_00173
OG0000217	Pray.g_00174	Prbm.g_00175
OG0000218	Pray.g_00173	Prbm.g_00176
OG0000219	Pray.g_00172	Prbm.g_00177
OG0000220	Pray.g_00169	Prbm.g_00179
OG0000221	Pray.g_00167	Prbm.g_00182
OG0000222	Pray.g_00166	Prbm.g_00183
OG0000223	Pray.g_00165	Prbm.g_00184
OG0000224	Pray.g_00162	Prbm.g_00187
OG0000225	Pray.g_00160	Prbm.g_00189
OG0000226	Pray.g_00159	Prbm.g_00191
OG0000227	Pray.g_00158	Prbm.g_00192
OG0000228	Pray.g_00157	Prbm.g_00193
OG0000229	Pray.g_00156	Prbm.g_00194
OG0000230	Pray.g_00155	Prbm.g_00195
OG0000231	Pray.g_00153	Prbm.g_01096
OG0000232	Pray.g_00152	Prbm.g_00196
OG0000233	Pray.g_00149	Prbm.g_00199
OG0000234	Pray.g_00147	Prbm.g_00202
OG0000235	Pray.g_00144	Prbm.g_00204
OG0000236	Pray.g_00143	Prbm.g_00205
OG0000237	Pray.g_00142	Prbm.g_00206
OG0000238	Pray.g_00141	Prbm.g_00207
OG0000239	Pray.g_00140	Prbm.g_00208
OG0000240	Pray.g_00138	Prbm.g_00210
OG0000241	Pray.g_00137	Prbm.g_00211
OG0000242	Pray.g_00136	Prbm.g_00212
OG0000243	Pray.g_00635	Prbm.g_00213
OG0000244	Pray.g_00636	Prbm.g_00214
OG0000245	Pray.g_00637	Prbm.g_00215
OG0000246	Pray.g_00639	Prbm.g_00217
OG0000247	Pray.g_00640	Prbm.g_00218
OG0000248	Pray.g_00641	Prbm.g_00219
OG0000249	Pray.g_00642	Prbm.g_00220
OG0000250	Pray.g_00643	Prbm.g_00221
OG0000251	Pray.g_00644	Prbm.g_00222
OG0000252	Pray.g_00645	Prbm.g_00223
OG0000253	Pray.g_00646	Prbm.g_00224
OG0000254	Pray.g_00648	Prbm.g_00226
OG0000255	Pray.g_00649	Prbm.g_00227
OG0000256	Pray.g_00652	Prbm.g_00230
OG0000257	Pray.g_00654	Prbm.g_00232
OG0000258	Pray.g_00655	Prbm.g_00233
OG0000259	Pray.g_00656	Prbm.g_00234
OG0000260	Pray.g_00657	Prbm.g_00235
OG0000261	Pray.g_00658	Prbm.g_00236
OG0000262	Pray.g_00659	Prbm.g_00237
OG0000263	Pray.g_00660	Prbm.g_00238
OG0000264	Pray.g_00662	Prbm.g_00240
OG0000265	Pray.g_00663	Prbm.g_00241
OG0000266	Pray.g_00664	Prbm.g_00242
OG0000267	Pray.g_00666	Prbm.g_00244
OG0000268	Pray.g_00667	Prbm.g_00246
OG0000269	Pray.g_00668	Prbm.g_00247
OG0000270	Pray.g_00669	Prbm.g_00248
OG0000271	Pray.g_00670	Prbm.g_00249
OG0000272	Pray.g_00671	Prbm.g_00250
OG0000273	Pray.g_00672	Prbm.g_00251
OG0000274	Pray.g_00673	Prbm.g_00252
OG0000275	Pray.g_00674	Prbm.g_00253
OG0000276	Pray.g_00675	Prbm.g_00254
OG0000277	Pray.g_00676	Prbm.g_00255
OG0000278	Pray.g_00677	Prbm.g_00256
OG0000279	Pray.g_00678	Prbm.g_00257
OG0000280	Pray.g_00679	Prbm.g_00258
OG0000281	Pray.g_00681	Prbm.g_00260
OG0000282	Pray.g_00682	Prbm.g_00261
OG0000283	Pray.g_00685	Prbm.g_00263
OG0000284	Pray.g_00686	Prbm.g_00264
OG0000285	Pray.g_00687	Prbm.g_00265
OG0000286	Pray.g_00689	Prbm.g_00267
OG0000287	Pray.g_00690	Prbm.g_00268
OG0000288	Pray.g_00691	Prbm.g_00269
OG0000289	Pray.g_00692	Prbm.g_00270
OG0000290	Pray.g_00693	Prbm.g_00271
OG0000291	Pray.g_00694	Prbm.g_00272
OG0000292	Pray.g_00695	Prbm.g_00273
OG0000293	Pray.g_00696	Prbm.g_00274
OG0000294	Pray.g_00697	Prbm.g_00275
OG0000295	Pray.g_00698	Prbm.g_00276
OG0000296	Pray.g_00699	Prbm.g_00277
OG0000297	Pray.g_00700	Prbm.g_00278
OG0000298	Pray.g_00701	Prbm.g_00279
OG0000299	Pray.g_00702	Prbm.g_00280
OG0000300	Pray.g_00703	Prbm.g_00281
OG0000301	Pray.g_00704	Prbm.g_00282
OG0000302	Pray.g_00705	Prbm.g_00283
OG0000303	Pray.g_00706	Prbm.g_00284
OG0000304	Pray.g_00707	Prbm.g_00285
OG0000305	Pray.g_00708	Prbm.g_00286
OG0000306	Pray.g_00709	Prbm.g_00287
OG0000307	Pray.g_00710	Prbm.g_00288
OG0000308	Pray.g_00711	Prbm.g_00289
OG0000309	Pray.g_00712	Prbm.g_00290
OG0000310	Pray.g_00713	Prbm.g_00291
OG0000311	Pray.g_00714	Prbm.g_00293
OG0000312	Pray.g_00716	Prbm.g_00295
OG0000313	Pray.g_00717	Prbm.g_00296
OG0000314	Pray.g_00720	Prbm.g_00300
OG0000315	Pray.g_00721	Prbm.g_00301
OG0000316	Pray.g_00723	Prbm.g_00303
OG0000317	Pray.g_00725	Prbm.g_00305
OG0000318	Pray.g_00726	Prbm.g_00306
OG0000319	Pray.g_00727	Prbm.g_00307
OG0000320	Pray.g_00728	Prbm.g_00308
OG0000321	Pray.g_00731	Prbm.g_00309
OG0000322	Pray.g_00734	Prbm.g_00312
OG0000323	Pray.g_00735	Prbm.g_00313
OG0000324	Pray.g_00738	Prbm.g_00317
OG0000325	Pray.g_00739	Prbm.g_00318
OG0000326	Pray.g_00740	Prbm.g_00319
OG0000327	Pray.g_00742	Prbm.g_00320
OG0000328	Pray.g_00743	Prbm.g_00321
OG0000329	Pray.g_00744	Prbm.g_00322
OG0000330	Pray.g_00745	Prbm.g_00323
OG0000331	Pray.g_00746	Prbm.g_00324
OG0000332	Pray.g_00747	Prbm.g_00325
OG0000333	Pray.g_00748	Prbm.g_00326
OG0000334	Pray.g_00749	Prbm.g_00327
OG0000335	Pray.g_00750	Prbm.g_00328
OG0000336	Pray.g_00751	Prbm.g_00330
OG0000337	Pray.g_00754	Prbm.g_00332
OG0000338	Pray.g_00755	Prbm.g_00333
OG0000339	Pray.g_00756	Prbm.g_00334
OG0000340	Pray.g_00757	Prbm.g_00335
OG0000341	Pray.g_00761	Prbm.g_00339
OG0000342	Pray.g_00762	Prbm.g_00340
OG0000343	Pray.g_00764	Prbm.g_00342
OG0000344	Pray.g_00765	Prbm.g_00343
OG0000345	Pray.g_00766	Prbm.g_00344
OG0000346	Pray.g_00767	Prbm.g_00345
OG0000347	Pray.g_00768	Prbm.g_00346
OG0000348	Pray.g_00769	Prbm.g_00347
OG0000349	Pray.g_00770	Prbm.g_00348
OG0000350	Pray.g_00771	Prbm.g_00349
OG0000351	Pray.g_00773	Prbm.g_00351
OG0000352	Pray.g_00776	Prbm.g_00354
OG0000353	Pray.g_00777	Prbm.g_00355
OG0000354	Pray.g_00778	Prbm.g_00356
OG0000355	Pray.g_00779	Prbm.g_00357
OG0000356	Pray.g_00780	Prbm.g_00358
OG0000357	Pray.g_00781	Prbm.g_00359
OG0000358	Pray.g_00782	Prbm.g_00360
OG0000359	Pray.g_00783	Prbm.g_00361
OG0000360	Pray.g_00786	Prbm.g_00364
OG0000361	Pray.g_00787	Prbm.g_00365
OG0000362	Pray.g_00788	Prbm.g_00366
OG0000363	Pray.g_00789	Prbm.g_00367
OG0000364	Pray.g_00790	Prbm.g_00368
OG0000365	Pray.g_00791	Prbm.g_00369
OG0000366	Pray.g_00792	Prbm.g_00370
OG0000367	Pray.g_00793	Prbm.g_00371
OG0000368	Pray.g_00794	Prbm.g_00372
OG0000369	Pray.g_00795	Prbm.g_00373
OG0000370	Pray.g_00796	Prbm.g_00374
OG0000371	Pray.g_00797	Prbm.g_00375
OG0000372	Pray.g_00799	Prbm.g_00376
OG0000373	Pray.g_00801	Prbm.g_00378
OG0000374	Pray.g_00802	Prbm.g_00379
OG0000375	Pray.g_00803	Prbm.g_00380
OG0000376	Pray.g_00805	Prbm.g_00382
OG0000377	Pray.g_00806	Prbm.g_00388
OG0000378	Pray.g_00807	Prbm.g_00768
OG0000379	Pray.g_00812	Prbm.g_00400
OG0000380	Pray.g_00813	Prbm.g_00402
OG0000381	Pray.g_00814	Prbm.g_00403
OG0000382	Pray.g_00816	Prbm.g_00404
OG0000383	Pray.g_00819	Prbm.g_00407
OG0000384	Pray.g_00820	Prbm.g_00408
OG0000385	Pray.g_00823	Prbm.g_00410
OG0000386	Pray.g_00824	Prbm.g_00411
OG0000387	Pray.g_00825	Prbm.g_00412
OG0000388	Pray.g_00826	Prbm.g_00413
OG0000389	Pray.g_00827	Prbm.g_00414
OG0000390	Pray.g_00828	Prbm.g_00415
OG0000391	Pray.g_00829	Prbm.g_00416
OG0000392	Pray.g_00830	Prbm.g_00417
OG0000393	Pray.g_00833	Prbm.g_00422
OG0000394	Pray.g_00834	Prbm.g_00423
OG0000395	Pray.g_00836	Prbm.g_00426
OG0000396	Pray.g_00837	Prbm.g_00866
OG0000397	Pray.g_00849	Prbm.g_01088
OG0000398	Pray.g_00857	Prbm.g_01121
OG0000399	Pray.g_00858	Prbm.g_01353
OG0000400	Pray.g_00864	Prbm.g_01949
OG0000401	Pray.g_00921	Prbm.g_00440
OG0000402	Pray.g_00922	Prbm.g_00441
OG0000403	Pray.g_00923	Prbm.g_00442
OG0000404	Pray.g_00925	Prbm.g_00445
OG0000405	Pray.g_00926	Prbm.g_00446
OG0000406	Pray.g_00928	Prbm.g_00448
OG0000407	Pray.g_00929	Prbm.g_00449
OG0000408	Pray.g_00930	Prbm.g_00450
OG0000409	Pray.g_00931	Prbm.g_00451
OG0000410	Pray.g_00932	Prbm.g_00452
OG0000411	Pray.g_00933	Prbm.g_00453
OG0000412	Pray.g_00934	Prbm.g_00454
OG0000413	Pray.g_00935	Prbm.g_00455
OG0000414	Pray.g_00936	Prbm.g_00456
OG0000415	Pray.g_00937	Prbm.g_00457
OG0000416	Pray.g_00938	Prbm.g_00458
OG0000417	Pray.g_00939	Prbm.g_00459
OG0000418	Pray.g_00940	Prbm.g_00460
OG0000419	Pray.g_00941	Prbm.g_00461
OG0000420	Pray.g_00942	Prbm.g_00462
OG0000421	Pray.g_00943	Prbm.g_00480
OG0000422	Pray.g_00945	Prbm.g_00482
OG0000423	Pray.g_00946	Prbm.g_00483
OG0000424	Pray.g_00948	Prbm.g_00484
OG0000425	Pray.g_00951	Prbm.g_00490
OG0000426	Pray.g_00952	Prbm.g_00491
OG0000427	Pray.g_00953	Prbm.g_00492
OG0000428	Pray.g_00954	Prbm.g_00494
OG0000429	Pray.g_00955	Prbm.g_00495
OG0000430	Pray.g_00961	Prbm.g_00497
OG0000431	Pray.g_00963	Prbm.g_00498
OG0000432	Pray.g_00964	Prbm.g_00499
OG0000433	Pray.g_00967	Prbm.g_00502
OG0000434	Pray.g_00968	Prbm.g_00504
OG0000435	Pray.g_00969	Prbm.g_00505
OG0000436	Pray.g_00971	Prbm.g_00507
OG0000437	Pray.g_00973	Prbm.g_00509
OG0000438	Pray.g_00974	Prbm.g_00510
OG0000439	Pray.g_00975	Prbm.g_00511
OG0000440	Pray.g_00977	Prbm.g_00512
OG0000441	Pray.g_00978	Prbm.g_00513
OG0000442	Pray.g_00979	Prbm.g_00514
OG0000443	Pray.g_00980	Prbm.g_00515
OG0000444	Pray.g_00981	Prbm.g_00516
OG0000445	Pray.g_00982	Prbm.g_00517
OG0000446	Pray.g_00983	Prbm.g_00518
OG0000447	Pray.g_00984	Prbm.g_00519
OG0000448	Pray.g_00985	Prbm.g_00520
OG0000449	Pray.g_00991	Prbm.g_00534
OG0000450	Pray.g_00992	Prbm.g_00535
OG0000451	Pray.g_00993	Prbm.g_00536
OG0000452	Pray.g_00994	Prbm.g_00537
OG0000453	Pray.g_00996	Prbm.g_00539
OG0000454	Pray.g_00997	Prbm.g_00540
OG0000455	Pray.g_00998	Prbm.g_00541
OG0000456	Pray.g_00999	Prbm.g_00542
OG0000457	Pray.g_01001	Prbm.g_00544
OG0000458	Pray.g_01003	Prbm.g_00546
OG0000459	Pray.g_01004	Prbm.g_00547
OG0000460	Pray.g_01006	Prbm.g_00549
OG0000461	Pray.g_01007	Prbm.g_00550
OG0000462	Pray.g_01008	Prbm.g_00551
OG0000463	Pray.g_01009	Prbm.g_00553
OG0000464	Pray.g_01014	Prbm.g_00557
OG0000465	Pray.g_01016	Prbm.g_00558
OG0000466	Pray.g_01017	Prbm.g_00559
OG0000467	Pray.g_01018	Prbm.g_00560
OG0000468	Pray.g_01019	Prbm.g_00561
OG0000469	Pray.g_01020	Prbm.g_00562
OG0000470	Pray.g_01021	Prbm.g_00563
OG0000471	Pray.g_01022	Prbm.g_00564
OG0000472	Pray.g_01227	Prbm.g_00567
OG0000473	Pray.g_01226	Prbm.g_00568
OG0000474	Pray.g_01225	Prbm.g_00569
OG0000475	Pray.g_01224	Prbm.g_00570
OG0000476	Pray.g_01223	Prbm.g_00571
OG0000477	Pray.g_01221	Prbm.g_00573
OG0000478	Pray.g_01220	Prbm.g_00574
OG0000479	Pray.g_01219	Prbm.g_00575
OG0000480	Pray.g_01217	Prbm.g_00577
OG0000481	Pray.g_01216	Prbm.g_00578
OG0000482	Pray.g_01215	Prbm.g_00579
OG0000483	Pray.g_01214	Prbm.g_00580
OG0000484	Pray.g_01213	Prbm.g_00581
OG0000485	Pray.g_01212	Prbm.g_00582
OG0000486	Pray.g_01211	Prbm.g_00583
OG0000487	Pray.g_01210	Prbm.g_00584
OG0000488	Pray.g_01208	Prbm.g_00586
OG0000489	Pray.g_01207	Prbm.g_00587
OG0000490	Pray.g_01206	Prbm.g_00588
OG0000491	Pray.g_01205	Prbm.g_00589
OG0000492	Pray.g_01204	Prbm.g_00590
OG0000493	Pray.g_01203	Prbm.g_00591
OG0000494	Pray.g_01201	Prbm.g_00593
OG0000495	Pray.g_01200	Prbm.g_00594
OG0000496	Pray.g_01199	Prbm.g_00595
OG0000497	Pray.g_01198	Prbm.g_00596
OG0000498	Pray.g_01197	Prbm.g_00597
OG0000499	Pray.g_01195	Prbm.g_00599
OG0000500	Pray.g_01194	Prbm.g_00600
OG0000501	Pray.g_01192	Prbm.g_00602
OG0000502	Pray.g_01191	Prbm.g_00603
OG0000503	Pray.g_01190	Prbm.g_00604
OG0000504	Pray.g_01189	Prbm.g_00605
OG0000505	Pray.g_01188	Prbm.g_00606
OG0000506	Pray.g_01187	Prbm.g_00607
OG0000507	Pray.g_01186	Prbm.g_00608
OG0000508	Pray.g_01184	Prbm.g_00609
OG0000509	Pray.g_01183	Prbm.g_00610
OG0000510	Pray.g_01182	Prbm.g_00611
OG0000511	Pray.g_01181	Prbm.g_00612
OG0000512	Pray.g_01180	Prbm.g_00613
OG0000513	Pray.g_01179	Prbm.g_00614
OG0000514	Pray.g_01178	Prbm.g_00615
OG0000515	Pray.g_01176	Prbm.g_00616
OG0000516	Pray.g_01175	Prbm.g_00617
OG0000517	Pray.g_01174	Prbm.g_00618
OG0000518	Pray.g_01172	Prbm.g_00620
OG0000519	Pray.g_01171	Prbm.g_00621
OG0000520	Pray.g_01170	Prbm.g_00624
OG0000521	Pray.g_01169	Prbm.g_00623
OG0000522	Pray.g_01168	Prbm.g_00625
OG0000523	Pray.g_01167	Prbm.g_00626
OG0000524	Pray.g_01166	Prbm.g_00627
OG0000525	Pray.g_01164	Prbm.g_00629
OG0000526	Pray.g_01163	Prbm.g_00630
OG0000527	Pray.g_01162	Prbm.g_00631
OG0000528	Pray.g_01161	Prbm.g_00632
OG0000529	Pray.g_01160	Prbm.g_00633
OG0000530	Pray.g_01159	Prbm.g_00634
OG0000531	Pray.g_01158	Prbm.g_00636
OG0000532	Pray.g_01157	Prbm.g_00637
OG0000533	Pray.g_01156	Prbm.g_00638
OG0000534	Pray.g_01155	Prbm.g_00639
OG0000535	Pray.g_01154	Prbm.g_00640
