Orthogroup	Prag	Syaq
OG0000128	Prag.g_00011	Syaq.g_01138
OG0000129	Prag.g_00044	Syaq.g_01269
OG0000130	Prag.g_00063	Syaq.g_01559
OG0000131	Prag.g_00138	Syaq.g_01427, Syaq.g_01424
OG0000132	Prag.g_00157	Syaq.g_01404
OG0000133	Prag.g_00313	Syaq.g_02481
OG0000134	Prag.g_00351	Syaq.g_00526
OG0000135	Prag.g_00375	Syaq.g_01227
OG0000136	Prag.g_00420	Syaq.g_00496
OG0000137	Prag.g_00454	Syaq.g_00442
OG0000138	Prag.g_00474	Syaq.g_01789
OG0000139	Prag.g_00516	Syaq.g_01844
OG0000140	Prag.g_00517	Syaq.g_01848
OG0000141	Prag.g_00585	Syaq.g_02010
OG0000142	Prag.g_00613	Syaq.g_02082
OG0000143	Prag.g_00617	Syaq.g_02086
OG0000144	Prag.g_00630	Syaq.g_02152
OG0000145	Prag.g_00758	Syaq.g_01796
OG0000146	Prag.g_00772	Syaq.g_02475
OG0000147	Prag.g_00773	Syaq.g_02474
OG0000148	Prag.g_00822	Syaq.g_02359
OG0000149	Prag.g_00851	Syaq.g_02395
OG0000150	Prag.g_00859	Syaq.g_02011
OG0000151	Prag.g_00916	Syaq.g_02283
OG0000152	Prag.g_00964	Syaq.g_02485
OG0000153	Prag.g_00983	Syaq.g_02518
OG0000154	Prag.g_01010	Syaq.g_00066
OG0000155	Prag.g_01173	Syaq.g_00212
OG0000156	Prag.g_01342	Syaq.g_00281
OG0000157	Prag.g_01343	Syaq.g_00282
OG0000158	Prag.g_01425	Syaq.g_01003
OG0000159	Prag.g_01427	Syaq.g_00918, Syaq.g_00941
OG0000160	Prag.g_01491	Syaq.g_00374
OG0000161	Prag.g_01497	Syaq.g_00382
OG0000162	Prag.g_01503	Syaq.g_00389
OG0000163	Prag.g_01537	Syaq.g_01730
OG0000164	Prag.g_01693	Syaq.g_01642
OG0000165	Prag.g_01700	Syaq.g_01630
OG0000166	Prag.g_01768	Syaq.g_00647
OG0000167	Prag.g_01834	Syaq.g_00983
OG0000168	Prag.g_01844	Syaq.g_01004
OG0000169	Prag.g_01854	Syaq.g_01016
OG0000170	Prag.g_01856	Syaq.g_01023
OG0000171	Prag.g_01876	Syaq.g_01052
OG0000172	Prag.g_01884	Syaq.g_01074
OG0000173	Prag.g_01899	Syaq.g_01092
OG0000174	Prag.g_01927	Syaq.g_01224
OG0000175	Prag.g_01937	Syaq.g_01183
OG0000176	Prag.g_00004	Syaq.g_01146
OG0000177	Prag.g_00005	Syaq.g_01145
OG0000178	Prag.g_00006	Syaq.g_01144
OG0000179	Prag.g_00016	Syaq.g_01129
OG0000180	Prag.g_00017	Syaq.g_01128
OG0000181	Prag.g_00018	Syaq.g_01127
OG0000182	Prag.g_00019	Syaq.g_01126
OG0000183	Prag.g_00023	Syaq.g_01122
OG0000184	Prag.g_00046	Syaq.g_01277
OG0000185	Prag.g_00049	Syaq.g_01290
OG0000186	Prag.g_00058	Syaq.g_01563
OG0000187	Prag.g_00059	Syaq.g_01561
OG0000188	Prag.g_00076	Syaq.g_01539
OG0000189	Prag.g_00089	Syaq.g_01499
OG0000190	Prag.g_00090	Syaq.g_01497
OG0000191	Prag.g_00110	Syaq.g_01467
OG0000192	Prag.g_00114	Syaq.g_01462
OG0000193	Prag.g_00139	Syaq.g_01423
OG0000194	Prag.g_00142	Syaq.g_01420
OG0000195	Prag.g_00144	Syaq.g_01418
OG0000196	Prag.g_00154	Syaq.g_01407
OG0000197	Prag.g_00155	Syaq.g_01406
OG0000198	Prag.g_00156	Syaq.g_01405
OG0000199	Prag.g_00163	Syaq.g_01398
OG0000200	Prag.g_00177	Syaq.g_01382
OG0000201	Prag.g_00185	Syaq.g_01365
OG0000202	Prag.g_00186	Syaq.g_01364
OG0000203	Prag.g_00187	Syaq.g_01363
OG0000204	Prag.g_00188	Syaq.g_01362
OG0000205	Prag.g_00195	Syaq.g_01355
OG0000206	Prag.g_00200	Syaq.g_01345
OG0000207	Prag.g_00202	Syaq.g_01338
OG0000208	Prag.g_00203	Syaq.g_01337
OG0000209	Prag.g_00212	Syaq.g_01310
OG0000210	Prag.g_00213	Syaq.g_01309
OG0000211	Prag.g_00226	Syaq.g_01570
OG0000212	Prag.g_00233	Syaq.g_01586
OG0000213	Prag.g_00249	Syaq.g_00729
OG0000214	Prag.g_00258	Syaq.g_00745
OG0000215	Prag.g_00283	Syaq.g_00777
OG0000216	Prag.g_00285	Syaq.g_00781
OG0000217	Prag.g_00288	Syaq.g_00844
OG0000218	Prag.g_00290	Syaq.g_00846
OG0000219	Prag.g_00291	Syaq.g_00847
OG0000220	Prag.g_00292	Syaq.g_00848
OG0000221	Prag.g_00293	Syaq.g_00856
OG0000222	Prag.g_00301	Syaq.g_00868
OG0000223	Prag.g_00314	Syaq.g_00946
OG0000224	Prag.g_00316	Syaq.g_00950
OG0000225	Prag.g_00340	Syaq.g_00543
OG0000226	Prag.g_00344	Syaq.g_00536
OG0000227	Prag.g_00346	Syaq.g_00534
OG0000228	Prag.g_00349	Syaq.g_00531
OG0000229	Prag.g_00415	Syaq.g_00501
OG0000230	Prag.g_00417	Syaq.g_00499
OG0000231	Prag.g_00428	Syaq.g_00485
OG0000232	Prag.g_00437	Syaq.g_00472
OG0000233	Prag.g_00442	Syaq.g_00464
OG0000234	Prag.g_00455	Syaq.g_00440
OG0000235	Prag.g_00458	Syaq.g_01771
OG0000236	Prag.g_00472	Syaq.g_01787
OG0000237	Prag.g_00485	Syaq.g_01805
OG0000238	Prag.g_00491	Syaq.g_01810
OG0000239	Prag.g_00504	Syaq.g_01826
OG0000240	Prag.g_00505	Syaq.g_01827
OG0000241	Prag.g_00509	Syaq.g_02074
OG0000242	Prag.g_00511	Syaq.g_01836
OG0000243	Prag.g_00522	Syaq.g_01922
OG0000244	Prag.g_00525	Syaq.g_01928
OG0000245	Prag.g_00527	Syaq.g_01930
OG0000246	Prag.g_00531	Syaq.g_01934
OG0000247	Prag.g_00541	Syaq.g_01945
OG0000248	Prag.g_00543	Syaq.g_01948
OG0000249	Prag.g_00545	Syaq.g_01950
OG0000250	Prag.g_00550	Syaq.g_01958
OG0000251	Prag.g_00569	Syaq.g_01984
OG0000252	Prag.g_00572	Syaq.g_01987
OG0000253	Prag.g_00573	Syaq.g_01989
OG0000254	Prag.g_00589	Syaq.g_02016
OG0000255	Prag.g_00595	Syaq.g_02041
OG0000256	Prag.g_00605	Syaq.g_02068
OG0000257	Prag.g_00608	Syaq.g_02073
OG0000258	Prag.g_00621	Syaq.g_02095
OG0000259	Prag.g_00638	Syaq.g_02239
OG0000260	Prag.g_00641	Syaq.g_02242
OG0000261	Prag.g_00643	Syaq.g_02245
OG0000262	Prag.g_00647	Syaq.g_02250
OG0000263	Prag.g_00659	Syaq.g_00185
OG0000264	Prag.g_00669	Syaq.g_02582
OG0000266	Prag.g_00702	Syaq.g_00037
OG0000267	Prag.g_00713	Syaq.g_02430
OG0000268	Prag.g_00714	Syaq.g_02431
OG0000269	Prag.g_00801	Syaq.g_02335
OG0000270	Prag.g_00804	Syaq.g_02338
OG0000271	Prag.g_00812	Syaq.g_02346
OG0000272	Prag.g_00813	Syaq.g_02347
OG0000273	Prag.g_00835	Syaq.g_02376
OG0000274	Prag.g_00836	Syaq.g_02377
OG0000275	Prag.g_00838	Syaq.g_02380
OG0000276	Prag.g_00843	Syaq.g_02387
OG0000277	Prag.g_00844	Syaq.g_02388
OG0000278	Prag.g_00847	Syaq.g_02391
OG0000279	Prag.g_00854	Syaq.g_02401
OG0000280	Prag.g_00855	Syaq.g_02410
OG0000281	Prag.g_00860	Syaq.g_02224
OG0000282	Prag.g_00908	Syaq.g_02271
OG0000283	Prag.g_00941	Syaq.g_02445
OG0000284	Prag.g_00946	Syaq.g_02450
OG0000285	Prag.g_00951	Syaq.g_02466
OG0000286	Prag.g_00963	Syaq.g_02484
OG0000288	Prag.g_01009	Syaq.g_00067
OG0000289	Prag.g_01020	Syaq.g_00053
OG0000290	Prag.g_01033	Syaq.g_02682
OG0000291	Prag.g_01035	Syaq.g_02680
OG0000292	Prag.g_01085	Syaq.g_01157
OG0000293	Prag.g_01144	Syaq.g_00262
OG0000294	Prag.g_01145	Syaq.g_00261
OG0000295	Prag.g_01165	Syaq.g_00220
OG0000296	Prag.g_01167	Syaq.g_00218
OG0000297	Prag.g_01175	Syaq.g_00205
OG0000298	Prag.g_01176	Syaq.g_00204
OG0000299	Prag.g_01193	Syaq.g_00171
OG0000300	Prag.g_01196	Syaq.g_00164
OG0000301	Prag.g_01197	Syaq.g_00163
OG0000302	Prag.g_01199	Syaq.g_00162
OG0000303	Prag.g_01206	Syaq.g_00152
OG0000304	Prag.g_01210	Syaq.g_00146
OG0000305	Prag.g_01381	Syaq.g_02677
OG0000306	Prag.g_01384	Syaq.g_01861
OG0000307	Prag.g_01398	Syaq.g_01754
OG0000308	Prag.g_01399	Syaq.g_01752
OG0000309	Prag.g_01403	Syaq.g_01747
OG0000310	Prag.g_01473	Syaq.g_00347
OG0000311	Prag.g_01475	Syaq.g_00352
OG0000312	Prag.g_01478	Syaq.g_00359
OG0000313	Prag.g_01494	Syaq.g_00379
OG0000314	Prag.g_01516	Syaq.g_00408
OG0000315	Prag.g_01527	Syaq.g_00418
OG0000316	Prag.g_01547	Syaq.g_01716
OG0000317	Prag.g_01667	Syaq.g_01675
OG0000318	Prag.g_01670	Syaq.g_01672
OG0000319	Prag.g_01683	Syaq.g_01657
OG0000320	Prag.g_01685	Syaq.g_01655
OG0000321	Prag.g_01686	Syaq.g_01654
OG0000322	Prag.g_01687	Syaq.g_01653
OG0000323	Prag.g_01696	Syaq.g_01638
OG0000324	Prag.g_01723	Syaq.g_01605
OG0000325	Prag.g_01733	Syaq.g_00693
OG0000326	Prag.g_01739	Syaq.g_00686
OG0000327	Prag.g_01763	Syaq.g_00652
OG0000328	Prag.g_01764	Syaq.g_00651
OG0000329	Prag.g_01781	Syaq.g_00633
OG0000330	Prag.g_01782	Syaq.g_00632
OG0000331	Prag.g_01783	Syaq.g_00631
OG0000332	Prag.g_01797	Syaq.g_00616
OG0000333	Prag.g_01799	Syaq.g_00613
OG0000334	Prag.g_01807	Syaq.g_00603
OG0000335	Prag.g_01812	Syaq.g_00598
OG0000336	Prag.g_01816	Syaq.g_00594
OG0000337	Prag.g_01832	Syaq.g_00975
OG0000338	Prag.g_01833	Syaq.g_00981
OG0000339	Prag.g_01837	Syaq.g_00988
OG0000340	Prag.g_01845	Syaq.g_01005
OG0000341	Prag.g_01847	Syaq.g_01007
OG0000342	Prag.g_01848	Syaq.g_01008
OG0000343	Prag.g_01849	Syaq.g_01010
OG0000344	Prag.g_01852	Syaq.g_01014
OG0000345	Prag.g_01857	Syaq.g_01024
OG0000346	Prag.g_01862	Syaq.g_01029
OG0000347	Prag.g_01878	Syaq.g_01057
OG0000348	Prag.g_01887	Syaq.g_01070
OG0000349	Prag.g_01904	Syaq.g_01099
OG0000350	Prag.g_01923	Syaq.g_00679
OG0000351	Prag.g_01940	Syaq.g_01179
OG0000352	Prag.g_01941	Syaq.g_01178
OG0000353	Prag.g_01956	Syaq.g_01151
OG0000354	Prag.g_01282	Syaq.g_01131
OG0000355	Prag.g_00001	Syaq.g_01149
OG0000356	Prag.g_00002	Syaq.g_01148
OG0000357	Prag.g_00003	Syaq.g_01147
OG0000358	Prag.g_00007	Syaq.g_01143
OG0000359	Prag.g_00008	Syaq.g_01141
OG0000360	Prag.g_00009	Syaq.g_01140
OG0000361	Prag.g_00010	Syaq.g_01139
OG0000362	Prag.g_00012	Syaq.g_01137
OG0000363	Prag.g_00014	Syaq.g_01135
OG0000364	Prag.g_00015	Syaq.g_01134
OG0000365	Prag.g_00020	Syaq.g_01125
OG0000366	Prag.g_00021	Syaq.g_01124
OG0000367	Prag.g_00022	Syaq.g_01123
OG0000368	Prag.g_00024	Syaq.g_01121
OG0000369	Prag.g_00025	Syaq.g_01120
OG0000370	Prag.g_00026	Syaq.g_01119
OG0000371	Prag.g_00032	Syaq.g_01111
OG0000372	Prag.g_00035	Syaq.g_01106
OG0000373	Prag.g_00036	Syaq.g_01105
OG0000374	Prag.g_00037	Syaq.g_01104
OG0000375	Prag.g_00040	Syaq.g_01103
OG0000376	Prag.g_00042	Syaq.g_01101
OG0000377	Prag.g_00045	Syaq.g_01270
OG0000378	Prag.g_00047	Syaq.g_01286
OG0000379	Prag.g_00050	Syaq.g_01291
OG0000380	Prag.g_00060	Syaq.g_01560
OG0000381	Prag.g_00064	Syaq.g_01558
OG0000382	Prag.g_00075	Syaq.g_01540
OG0000383	Prag.g_00077	Syaq.g_01535
OG0000384	Prag.g_00078	Syaq.g_01534
OG0000385	Prag.g_00079	Syaq.g_01533
OG0000386	Prag.g_00080	Syaq.g_01532
OG0000387	Prag.g_00092	Syaq.g_01495
OG0000388	Prag.g_00095	Syaq.g_01491
OG0000389	Prag.g_00099	Syaq.g_01488
OG0000390	Prag.g_00106	Syaq.g_01473
OG0000391	Prag.g_00109	Syaq.g_01468
OG0000392	Prag.g_00113	Syaq.g_01463
OG0000393	Prag.g_00115	Syaq.g_01460
OG0000394	Prag.g_00116	Syaq.g_01459
OG0000395	Prag.g_00117	Syaq.g_01458
OG0000396	Prag.g_00120	Syaq.g_01455
OG0000397	Prag.g_00122	Syaq.g_01453
OG0000398	Prag.g_00124	Syaq.g_01448
OG0000399	Prag.g_00125	Syaq.g_01447
OG0000400	Prag.g_00126	Syaq.g_01446
OG0000401	Prag.g_00127	Syaq.g_01445
OG0000402	Prag.g_00129	Syaq.g_01443
OG0000403	Prag.g_00130	Syaq.g_01442
OG0000404	Prag.g_00131	Syaq.g_01440
OG0000405	Prag.g_00135	Syaq.g_01429
OG0000406	Prag.g_00140	Syaq.g_01422
OG0000407	Prag.g_00141	Syaq.g_01421
OG0000408	Prag.g_00143	Syaq.g_01419
OG0000409	Prag.g_00145	Syaq.g_01417
OG0000410	Prag.g_00146	Syaq.g_01416
OG0000411	Prag.g_00147	Syaq.g_01415
OG0000412	Prag.g_00148	Syaq.g_01414
OG0000413	Prag.g_00149	Syaq.g_01412
OG0000414	Prag.g_00150	Syaq.g_01411
OG0000415	Prag.g_00151	Syaq.g_01410
OG0000416	Prag.g_00152	Syaq.g_01409
OG0000417	Prag.g_00153	Syaq.g_01408
OG0000418	Prag.g_00158	Syaq.g_01403
OG0000419	Prag.g_00160	Syaq.g_01401
OG0000420	Prag.g_00161	Syaq.g_01400
OG0000421	Prag.g_00166	Syaq.g_01395
OG0000422	Prag.g_00167	Syaq.g_01394
OG0000423	Prag.g_00168	Syaq.g_01393
OG0000424	Prag.g_00169	Syaq.g_01392
OG0000425	Prag.g_00170	Syaq.g_01391
OG0000426	Prag.g_00171	Syaq.g_01390
OG0000427	Prag.g_00172	Syaq.g_01389
OG0000428	Prag.g_00174	Syaq.g_01386
OG0000429	Prag.g_00175	Syaq.g_01384
OG0000430	Prag.g_00176	Syaq.g_01383
OG0000431	Prag.g_00178	Syaq.g_01380
OG0000432	Prag.g_00181	Syaq.g_01374
OG0000433	Prag.g_00182	Syaq.g_01369
OG0000434	Prag.g_00183	Syaq.g_01368
OG0000435	Prag.g_00184	Syaq.g_01367
OG0000436	Prag.g_00189	Syaq.g_01361
OG0000437	Prag.g_00190	Syaq.g_01360
OG0000438	Prag.g_00191	Syaq.g_01359
OG0000439	Prag.g_00193	Syaq.g_01357
OG0000440	Prag.g_00194	Syaq.g_01356
OG0000441	Prag.g_00197	Syaq.g_01352
OG0000442	Prag.g_00198	Syaq.g_01350
OG0000443	Prag.g_00199	Syaq.g_01347
OG0000444	Prag.g_00204	Syaq.g_01333
OG0000445	Prag.g_00205	Syaq.g_01332
OG0000446	Prag.g_00206	Syaq.g_01330
OG0000447	Prag.g_00207	Syaq.g_01328
OG0000448	Prag.g_00208	Syaq.g_01327
OG0000449	Prag.g_00209	Syaq.g_01320
OG0000450	Prag.g_00210	Syaq.g_01313
OG0000451	Prag.g_00211	Syaq.g_01312
OG0000452	Prag.g_00214	Syaq.g_01308
OG0000453	Prag.g_00215	Syaq.g_01307
OG0000454	Prag.g_00216	Syaq.g_01306
OG0000455	Prag.g_00217	Syaq.g_01305
OG0000456	Prag.g_00218	Syaq.g_01304
OG0000457	Prag.g_00219	Syaq.g_01302
OG0000458	Prag.g_00220	Syaq.g_01299
OG0000459	Prag.g_00221	Syaq.g_01298
OG0000460	Prag.g_00228	Syaq.g_01577
OG0000461	Prag.g_00235	Syaq.g_00707
OG0000462	Prag.g_00237	Syaq.g_00710
OG0000463	Prag.g_00238	Syaq.g_00711
OG0000464	Prag.g_00239	Syaq.g_00712
OG0000465	Prag.g_00240	Syaq.g_00714
OG0000466	Prag.g_00243	Syaq.g_00718
OG0000467	Prag.g_00244	Syaq.g_00720
OG0000468	Prag.g_00245	Syaq.g_00725
OG0000469	Prag.g_00253	Syaq.g_00739
OG0000470	Prag.g_00255	Syaq.g_00741
OG0000471	Prag.g_00256	Syaq.g_00742
OG0000472	Prag.g_00257	Syaq.g_00744
OG0000473	Prag.g_00259	Syaq.g_00746
OG0000474	Prag.g_00260	Syaq.g_00747
OG0000475	Prag.g_00261	Syaq.g_00748
OG0000476	Prag.g_00262	Syaq.g_00750
OG0000477	Prag.g_00266	Syaq.g_00756
OG0000478	Prag.g_00267	Syaq.g_00757
OG0000479	Prag.g_00268	Syaq.g_00759
OG0000480	Prag.g_00273	Syaq.g_00766
OG0000481	Prag.g_00275	Syaq.g_00768
OG0000482	Prag.g_00276	Syaq.g_00769
OG0000483	Prag.g_00279	Syaq.g_00773
OG0000484	Prag.g_00280	Syaq.g_00774
OG0000485	Prag.g_00281	Syaq.g_00775
OG0000486	Prag.g_00282	Syaq.g_00776
OG0000487	Prag.g_00286	Syaq.g_00782
OG0000488	Prag.g_00289	Syaq.g_00845
OG0000489	Prag.g_00294	Syaq.g_00857
OG0000490	Prag.g_00299	Syaq.g_00864
OG0000491	Prag.g_00300	Syaq.g_00865
OG0000492	Prag.g_00302	Syaq.g_00869
OG0000493	Prag.g_00303	Syaq.g_00870
OG0000494	Prag.g_00304	Syaq.g_00871
OG0000495	Prag.g_00305	Syaq.g_00872
OG0000496	Prag.g_00306	Syaq.g_00873
OG0000497	Prag.g_00307	Syaq.g_00874
OG0000498	Prag.g_00308	Syaq.g_00875
OG0000499	Prag.g_00309	Syaq.g_00876
OG0000500	Prag.g_00310	Syaq.g_00877
OG0000501	Prag.g_00312	Syaq.g_00880
OG0000502	Prag.g_00315	Syaq.g_00953
OG0000503	Prag.g_00329	Syaq.g_00559
OG0000504	Prag.g_00330	Syaq.g_00557
OG0000505	Prag.g_00331	Syaq.g_00556
OG0000506	Prag.g_00333	Syaq.g_00554
OG0000507	Prag.g_00336	Syaq.g_00548
OG0000508	Prag.g_00339	Syaq.g_00544
OG0000509	Prag.g_00341	Syaq.g_00542
OG0000510	Prag.g_00342	Syaq.g_00538
OG0000511	Prag.g_00343	Syaq.g_00537
OG0000512	Prag.g_00345	Syaq.g_00535
OG0000513	Prag.g_00352	Syaq.g_00525
OG0000514	Prag.g_00410	Syaq.g_00514
OG0000515	Prag.g_00411	Syaq.g_00513
OG0000516	Prag.g_00412	Syaq.g_00509
OG0000517	Prag.g_00414	Syaq.g_00502
OG0000518	Prag.g_00425	Syaq.g_00490
OG0000519	Prag.g_00426	Syaq.g_00489
OG0000520	Prag.g_00427	Syaq.g_00488
OG0000521	Prag.g_00432	Syaq.g_00477
OG0000522	Prag.g_00434	Syaq.g_00475
OG0000523	Prag.g_00435	Syaq.g_00474
OG0000524	Prag.g_00440	Syaq.g_00469
OG0000525	Prag.g_00443	Syaq.g_00450
OG0000526	Prag.g_00444	Syaq.g_00448
OG0000527	Prag.g_00452	Syaq.g_00444
OG0000528	Prag.g_00457	Syaq.g_01768
OG0000529	Prag.g_00460	Syaq.g_01773
OG0000530	Prag.g_00463	Syaq.g_01776
OG0000531	Prag.g_00464	Syaq.g_01777
OG0000532	Prag.g_00466	Syaq.g_01780
OG0000533	Prag.g_00467	Syaq.g_01782
OG0000534	Prag.g_00468	Syaq.g_01783
OG0000535	Prag.g_00469	Syaq.g_01784
OG0000536	Prag.g_00470	Syaq.g_01785
OG0000537	Prag.g_00471	Syaq.g_01786
OG0000538	Prag.g_00479	Syaq.g_01798
OG0000539	Prag.g_00480	Syaq.g_01799
OG0000540	Prag.g_00481	Syaq.g_01800
OG0000541	Prag.g_00482	Syaq.g_01801
OG0000542	Prag.g_00484	Syaq.g_01804
OG0000543	Prag.g_00486	Syaq.g_01806
OG0000544	Prag.g_00487	Syaq.g_02567
OG0000545	Prag.g_00489	Syaq.g_01809
OG0000546	Prag.g_00492	Syaq.g_01811
OG0000547	Prag.g_00494	Syaq.g_01813
OG0000548	Prag.g_00495	Syaq.g_01814
OG0000549	Prag.g_00497	Syaq.g_01819
OG0000550	Prag.g_00502	Syaq.g_01824
OG0000551	Prag.g_00506	Syaq.g_01829
OG0000552	Prag.g_00507	Syaq.g_01830
OG0000553	Prag.g_00508	Syaq.g_01834
OG0000554	Prag.g_00513	Syaq.g_01839
OG0000555	Prag.g_00521	Syaq.g_01857
OG0000556	Prag.g_00523	Syaq.g_01925
OG0000557	Prag.g_00524	Syaq.g_01927
OG0000558	Prag.g_00526	Syaq.g_01929
OG0000559	Prag.g_00530	Syaq.g_01933
OG0000560	Prag.g_00533	Syaq.g_01936
OG0000561	Prag.g_00534	Syaq.g_01937
OG0000562	Prag.g_00535	Syaq.g_01938
OG0000563	Prag.g_00536	Syaq.g_01939
OG0000564	Prag.g_00537	Syaq.g_01940
OG0000565	Prag.g_00540	Syaq.g_01943
OG0000566	Prag.g_00542	Syaq.g_01947
OG0000567	Prag.g_00546	Syaq.g_01951
OG0000568	Prag.g_00547	Syaq.g_01954
OG0000569	Prag.g_00548	Syaq.g_01955
OG0000570	Prag.g_00549	Syaq.g_01956
OG0000571	Prag.g_00551	Syaq.g_01960
OG0000572	Prag.g_00564	Syaq.g_01977
OG0000573	Prag.g_00570	Syaq.g_01985
OG0000574	Prag.g_00571	Syaq.g_01986
OG0000575	Prag.g_00575	Syaq.g_01991
OG0000576	Prag.g_00577	Syaq.g_01993
OG0000577	Prag.g_00578	Syaq.g_01994
OG0000578	Prag.g_00579	Syaq.g_01995
OG0000579	Prag.g_00580	Syaq.g_01996
OG0000580	Prag.g_00581	Syaq.g_01997
OG0000581	Prag.g_00583	Syaq.g_02003
