Orthogroup	Prag	Prbn
OG0000039	Prag.g_00664	Prbn.g_01577
OG0000041	Prag.g_01716	Prbn.g_01793
OG0000042	Prag.g_01868	Prbn.g_00988
OG0000043	Prag.g_00876	Prbn.g_01168
OG0000045	Prag.g_00365	Prbn.g_01145
OG0000048	Prag.g_01658, Prag.g_00368	Prbn.g_00038
OG0000052	Prag.g_01444	Prbn.g_00190
OG0000053	Prag.g_01510	Prbn.g_01690, Prbn.g_00233
OG0000054	Prag.g_00584	Prbn.g_00508
OG0000055	Prag.g_00787	Prbn.g_01140
OG0000057	Prag.g_00676	Prbn.g_01562
OG0000058	Prag.g_01428	Prbn.g_00172
OG0000059	Prag.g_01755	Prbn.g_01833
OG0000061	Prag.g_01153	Prbn.g_01189
OG0000062	Prag.g_01568	Prbn.g_00897
OG0000063	Prag.g_00033	Prbn.g_00130
OG0000065	Prag.g_00100	Prbn.g_01312
OG0000066	Prag.g_00518	Prbn.g_00577, Prbn.g_01657
OG0000067	Prag.g_00806	Prbn.g_01546
OG0000068	Prag.g_01389	Prbn.g_01240
OG0000069	Prag.g_01601	Prbn.g_00659
OG0000070	Prag.g_00429	Prbn.g_00663
OG0000071	Prag.g_01355	Prbn.g_01084
OG0000072	Prag.g_00164	Prbn.g_00383
OG0000073	Prag.g_00478	Prbn.g_00614
OG0000074	Prag.g_00660	Prbn.g_01582
OG0000075	Prag.g_01836	Prbn.g_01917
OG0000076	Prag.g_01861	Prbn.g_00996
OG0000077	Prag.g_00072	Prbn.g_01342
OG0000078	Prag.g_00232	Prbn.g_00310
OG0000081	Prag.g_00510	Prbn.g_00585
OG0000082	Prag.g_00563	Prbn.g_00530, Prbn.g_01734
OG0000084	Prag.g_01484	Prbn.g_00209
OG0000085	Prag.g_01662	Prbn.g_01737, Prbn.g_00144
OG0000086	Prag.g_00082	Prbn.g_01333
OG0000087	Prag.g_00132	Prbn.g_01278
OG0000088	Prag.g_00159	Prbn.g_01247
OG0000089	Prag.g_00350	Prbn.g_00696
OG0000090	Prag.g_00512	Prbn.g_00583
OG0000091	Prag.g_00620	Prbn.g_00434
OG0000092	Prag.g_00911	Prbn.g_01616
OG0000093	Prag.g_00932	Prbn.g_00846
OG0000094	Prag.g_01017	Prbn.g_01369
OG0000095	Prag.g_01036	Prbn.g_01471
OG0000096	Prag.g_01636, Prag.g_01103, Prag.g_01319	Prbn.g_01049
OG0000097	Prag.g_01194	Prbn.g_00408
OG0000098	Prag.g_01371	Prbn.g_01216
OG0000099	Prag.g_01424	Prbn.g_00173
OG0000100	Prag.g_01564	Prbn.g_00903
OG0000101	Prag.g_01804	Prbn.g_01881
OG0000102	Prag.g_01866	Prbn.g_00991
OG0000103	Prag.g_01945	Prbn.g_00907
OG0000104	Prag.g_01953	Prbn.g_00296
OG0000105	Prag.g_00265	Prbn.g_00041
OG0000106	Prag.g_00364	Prbn.g_00829
OG0000107	Prag.g_00378	Prbn.g_01810
OG0000108	Prag.g_00459	Prbn.g_00634
OG0000109	Prag.g_00473	Prbn.g_00620
OG0000110	Prag.g_00553	Prbn.g_00541
OG0000111	Prag.g_00677	Prbn.g_01561
OG0000112	Prag.g_00771	Prbn.g_00468
OG0000113	Prag.g_00828	Prbn.g_01523
OG0000114	Prag.g_00906	Prbn.g_01621
OG0000115	Prag.g_01097	Prbn.g_01120
OG0000116	Prag.g_01143	Prbn.g_01178
OG0000117	Prag.g_01298	Prbn.g_00389
OG0000118	Prag.g_01367	Prbn.g_01071
OG0000119	Prag.g_01385	Prbn.g_01135, Prbn.g_00885
OG0000120	Prag.g_01423	Prbn.g_00170
OG0000121	Prag.g_01492	Prbn.g_00214
OG0000122	Prag.g_01530	Prbn.g_01113, Prbn.g_00255
OG0000123	Prag.g_01811	Prbn.g_01888
OG0000124	Prag.g_01877	Prbn.g_00979
OG0000125	Prag.g_01913	Prbn.g_00944
OG0000126	Prag.g_01952	Prbn.g_00295
OG0000128	Prag.g_00011	Prbn.g_00002, Prbn.g_00003
OG0000129	Prag.g_00044	Prbn.g_00737
OG0000130	Prag.g_00063	Prbn.g_00708
OG0000131	Prag.g_00138	Prbn.g_01269
OG0000132	Prag.g_00157	Prbn.g_01249
OG0000133	Prag.g_00313	Prbn.g_00088
OG0000134	Prag.g_00351	Prbn.g_00694
OG0000135	Prag.g_00375	Prbn.g_01102
OG0000136	Prag.g_00420	Prbn.g_00672
OG0000137	Prag.g_00454	Prbn.g_00639
OG0000138	Prag.g_00474	Prbn.g_00619
OG0000139	Prag.g_00516	Prbn.g_00579
OG0000140	Prag.g_00517	Prbn.g_00578
OG0000141	Prag.g_00585	Prbn.g_00507
OG0000142	Prag.g_00613	Prbn.g_00426
OG0000143	Prag.g_00617	Prbn.g_00430
OG0000144	Prag.g_00630	Prbn.g_00444
OG0000145	Prag.g_00758	Prbn.g_01100
OG0000146	Prag.g_00772	Prbn.g_00469
OG0000147	Prag.g_00773	Prbn.g_00470
OG0000148	Prag.g_00822	Prbn.g_01529
OG0000149	Prag.g_00851	Prbn.g_01497
OG0000150	Prag.g_00859	Prbn.g_01487
OG0000151	Prag.g_00916	Prbn.g_01611
OG0000152	Prag.g_00964	Prbn.g_01418
OG0000153	Prag.g_00983	Prbn.g_01399
OG0000154	Prag.g_01010	Prbn.g_01379
OG0000155	Prag.g_01173	Prbn.g_01210
OG0000156	Prag.g_01342	Prbn.g_01095
OG0000157	Prag.g_01343	Prbn.g_01094
OG0000158	Prag.g_01425	Prbn.g_01014
OG0000159	Prag.g_01427	Prbn.g_00717
OG0000160	Prag.g_01491	Prbn.g_00213
OG0000161	Prag.g_01497	Prbn.g_00219
OG0000162	Prag.g_01503	Prbn.g_00225
OG0000163	Prag.g_01537	Prbn.g_00264
OG0000164	Prag.g_01693	Prbn.g_01770
OG0000165	Prag.g_01700	Prbn.g_01777
OG0000166	Prag.g_01768	Prbn.g_01844
OG0000167	Prag.g_01834	Prbn.g_01915
OG0000168	Prag.g_01844	Prbn.g_01013
OG0000169	Prag.g_01854	Prbn.g_01003
OG0000170	Prag.g_01856	Prbn.g_01000
OG0000171	Prag.g_01876	Prbn.g_00980
OG0000172	Prag.g_01884	Prbn.g_00973
OG0000173	Prag.g_01899	Prbn.g_00958
OG0000174	Prag.g_01927	Prbn.g_00929
OG0000175	Prag.g_01937	Prbn.g_00916
OG0000176	Prag.g_00004	Prbn.g_00010
OG0000177	Prag.g_00005	Prbn.g_00009
OG0000178	Prag.g_00006	Prbn.g_00008
OG0000179	Prag.g_00016	Prbn.g_00766
OG0000180	Prag.g_00017	Prbn.g_00765
OG0000181	Prag.g_00018	Prbn.g_00764
OG0000182	Prag.g_00019	Prbn.g_00763
OG0000183	Prag.g_00023	Prbn.g_00759
OG0000184	Prag.g_00046	Prbn.g_00733
OG0000185	Prag.g_00049	Prbn.g_00730
OG0000186	Prag.g_00058	Prbn.g_00714
OG0000187	Prag.g_00059	Prbn.g_00713
OG0000188	Prag.g_00076	Prbn.g_01339
OG0000189	Prag.g_00089	Prbn.g_01325
OG0000190	Prag.g_00090	Prbn.g_01323
OG0000191	Prag.g_00110	Prbn.g_01300
OG0000192	Prag.g_00114	Prbn.g_01295
OG0000193	Prag.g_00139	Prbn.g_01268
OG0000194	Prag.g_00142	Prbn.g_01265
OG0000195	Prag.g_00144	Prbn.g_01263
OG0000196	Prag.g_00154	Prbn.g_01252
OG0000197	Prag.g_00155	Prbn.g_01251
OG0000198	Prag.g_00156	Prbn.g_01250
OG0000199	Prag.g_00163	Prbn.g_01243, Prbn.g_00384
OG0000200	Prag.g_00177	Prbn.g_00370
OG0000201	Prag.g_00185	Prbn.g_00361
OG0000202	Prag.g_00186	Prbn.g_00360
OG0000203	Prag.g_00187	Prbn.g_00359
OG0000204	Prag.g_00188	Prbn.g_00358
OG0000205	Prag.g_00195	Prbn.g_00351
OG0000206	Prag.g_00200	Prbn.g_00346
OG0000207	Prag.g_00202	Prbn.g_00343
OG0000208	Prag.g_00203	Prbn.g_00342
OG0000209	Prag.g_00212	Prbn.g_00333
OG0000210	Prag.g_00213	Prbn.g_00332
OG0000211	Prag.g_00226	Prbn.g_00317
OG0000212	Prag.g_00233	Prbn.g_00309
OG0000213	Prag.g_00249	Prbn.g_00024
OG0000214	Prag.g_00258	Prbn.g_00034
OG0000215	Prag.g_00283	Prbn.g_00061
OG0000216	Prag.g_00285	Prbn.g_00062
OG0000217	Prag.g_00288	Prbn.g_00065
OG0000218	Prag.g_00290	Prbn.g_00067
OG0000219	Prag.g_00291	Prbn.g_00068
OG0000220	Prag.g_00292	Prbn.g_00069
OG0000221	Prag.g_00293	Prbn.g_00070
OG0000222	Prag.g_00301	Prbn.g_00077
OG0000223	Prag.g_00314	Prbn.g_00089
OG0000224	Prag.g_00316	Prbn.g_00091
OG0000225	Prag.g_00340	Prbn.g_00117
OG0000226	Prag.g_00344	Prbn.g_00121
OG0000227	Prag.g_00346	Prbn.g_00123
OG0000228	Prag.g_00349	Prbn.g_00697
OG0000229	Prag.g_00415	Prbn.g_00677
OG0000230	Prag.g_00417	Prbn.g_00675
OG0000231	Prag.g_00428	Prbn.g_00664
OG0000232	Prag.g_00437	Prbn.g_00653
OG0000233	Prag.g_00442	Prbn.g_00647
OG0000234	Prag.g_00455	Prbn.g_00638
OG0000235	Prag.g_00458	Prbn.g_00635
OG0000236	Prag.g_00472	Prbn.g_00621
OG0000237	Prag.g_00485	Prbn.g_00608
OG0000238	Prag.g_00491	Prbn.g_00602
OG0000239	Prag.g_00504	Prbn.g_00591
OG0000240	Prag.g_00505	Prbn.g_00590
OG0000241	Prag.g_00509	Prbn.g_00586
OG0000242	Prag.g_00511	Prbn.g_00584
OG0000243	Prag.g_00522	Prbn.g_00573
OG0000244	Prag.g_00525	Prbn.g_00570
OG0000245	Prag.g_00527	Prbn.g_00568
OG0000246	Prag.g_00531	Prbn.g_00564
OG0000247	Prag.g_00541	Prbn.g_00554
OG0000248	Prag.g_00543	Prbn.g_00551
OG0000249	Prag.g_00545	Prbn.g_00549
OG0000250	Prag.g_00550	Prbn.g_00544
OG0000251	Prag.g_00569	Prbn.g_00524
OG0000252	Prag.g_00572	Prbn.g_00521
OG0000253	Prag.g_00573	Prbn.g_00520
OG0000254	Prag.g_00589	Prbn.g_00503
OG0000255	Prag.g_00595	Prbn.g_00497
OG0000256	Prag.g_00605	Prbn.g_00487
OG0000257	Prag.g_00608	Prbn.g_00421
OG0000258	Prag.g_00621	Prbn.g_00435
OG0000259	Prag.g_00638	Prbn.g_00835
OG0000260	Prag.g_00641	Prbn.g_00838
OG0000261	Prag.g_00643	Prbn.g_00841
OG0000262	Prag.g_00647	Prbn.g_00845
OG0000263	Prag.g_00659	Prbn.g_01583
OG0000264	Prag.g_00669	Prbn.g_01572
OG0000265	Prag.g_00692	Prbn.g_01554
OG0000266	Prag.g_00702	Prbn.g_00864
OG0000267	Prag.g_00713	Prbn.g_01350
OG0000268	Prag.g_00714	Prbn.g_01351
OG0000269	Prag.g_00801	Prbn.g_01551
OG0000270	Prag.g_00804	Prbn.g_01548
OG0000271	Prag.g_00812	Prbn.g_01540
OG0000272	Prag.g_00813	Prbn.g_01539
OG0000273	Prag.g_00835	Prbn.g_01515
OG0000274	Prag.g_00836	Prbn.g_01514
OG0000275	Prag.g_00838	Prbn.g_01511
OG0000276	Prag.g_00843	Prbn.g_01505
OG0000277	Prag.g_00844	Prbn.g_01504
OG0000278	Prag.g_00847	Prbn.g_01501
OG0000279	Prag.g_00854	Prbn.g_01494
OG0000280	Prag.g_00855	Prbn.g_01493
OG0000281	Prag.g_00860	Prbn.g_01486
OG0000282	Prag.g_00908	Prbn.g_01619
OG0000283	Prag.g_00941	Prbn.g_01442
OG0000284	Prag.g_00946	Prbn.g_01437
OG0000285	Prag.g_00951	Prbn.g_01432
OG0000286	Prag.g_00963	Prbn.g_01419
OG0000287	Prag.g_00980	Prbn.g_01123
OG0000288	Prag.g_01009	Prbn.g_01380
OG0000289	Prag.g_01020	Prbn.g_01364
OG0000290	Prag.g_01033	Prbn.g_01468
OG0000291	Prag.g_01035	Prbn.g_01470
OG0000292	Prag.g_01085	Prbn.g_01144
OG0000293	Prag.g_01144	Prbn.g_01179
OG0000294	Prag.g_01145	Prbn.g_01180
OG0000295	Prag.g_01165	Prbn.g_01203
OG0000296	Prag.g_01167	Prbn.g_01205
OG0000297	Prag.g_01175	Prbn.g_00387
OG0000298	Prag.g_01176	Prbn.g_00388
OG0000299	Prag.g_01193	Prbn.g_00407
OG0000300	Prag.g_01196	Prbn.g_00410
OG0000301	Prag.g_01197	Prbn.g_00411
OG0000302	Prag.g_01199	Prbn.g_00413
OG0000303	Prag.g_01206	Prbn.g_00419
OG0000304	Prag.g_01210	Prbn.g_00482
OG0000305	Prag.g_01381	Prbn.g_01146
OG0000306	Prag.g_01384	Prbn.g_01482
OG0000307	Prag.g_01398	Prbn.g_00159
OG0000308	Prag.g_01399	Prbn.g_00160
OG0000309	Prag.g_01403	Prbn.g_00164
OG0000310	Prag.g_01473	Prbn.g_00198
OG0000311	Prag.g_01475	Prbn.g_00200
OG0000312	Prag.g_01478	Prbn.g_00203
OG0000313	Prag.g_01494	Prbn.g_00216
OG0000314	Prag.g_01516	Prbn.g_00239
OG0000315	Prag.g_01527	Prbn.g_00249
OG0000316	Prag.g_01547	Prbn.g_00274
OG0000317	Prag.g_01667	Prbn.g_01742
OG0000318	Prag.g_01670	Prbn.g_01746
OG0000319	Prag.g_01683	Prbn.g_01759
OG0000320	Prag.g_01685	Prbn.g_01761
OG0000321	Prag.g_01686	Prbn.g_01762
OG0000322	Prag.g_01687	Prbn.g_01763
OG0000323	Prag.g_01696	Prbn.g_01773
OG0000324	Prag.g_01723	Prbn.g_01800
OG0000325	Prag.g_01733	Prbn.g_01811
OG0000326	Prag.g_01739	Prbn.g_01818
OG0000327	Prag.g_01763	Prbn.g_01839
OG0000328	Prag.g_01764	Prbn.g_01840
OG0000329	Prag.g_01781	Prbn.g_01857
OG0000330	Prag.g_01782	Prbn.g_01858
OG0000331	Prag.g_01783	Prbn.g_01859
OG0000332	Prag.g_01797	Prbn.g_01873
OG0000333	Prag.g_01799	Prbn.g_01875
OG0000334	Prag.g_01807	Prbn.g_01884
OG0000335	Prag.g_01812	Prbn.g_01889
OG0000336	Prag.g_01816	Prbn.g_01893
OG0000337	Prag.g_01832	Prbn.g_01911
OG0000338	Prag.g_01833	Prbn.g_01912
OG0000339	Prag.g_01837	Prbn.g_01918
OG0000340	Prag.g_01845	Prbn.g_01012
OG0000341	Prag.g_01847	Prbn.g_01010
OG0000342	Prag.g_01848	Prbn.g_01009
OG0000343	Prag.g_01849	Prbn.g_01008
OG0000344	Prag.g_01852	Prbn.g_01005
OG0000345	Prag.g_01857	Prbn.g_00999
OG0000346	Prag.g_01862	Prbn.g_00995
OG0000347	Prag.g_01878	Prbn.g_00978
OG0000348	Prag.g_01887	Prbn.g_00970
OG0000349	Prag.g_01904	Prbn.g_00953
OG0000350	Prag.g_01923	Prbn.g_00798
OG0000351	Prag.g_01940	Prbn.g_00913
OG0000352	Prag.g_01941	Prbn.g_00912
OG0000353	Prag.g_01956	Prbn.g_00299
OG0000355	Prag.g_00001	Prbn.g_00301
OG0000356	Prag.g_00002	Prbn.g_00302
OG0000357	Prag.g_00003	Prbn.g_00011
OG0000358	Prag.g_00007	Prbn.g_00007
OG0000359	Prag.g_00008	Prbn.g_00006
OG0000360	Prag.g_00009	Prbn.g_00005
OG0000361	Prag.g_00010	Prbn.g_00004
OG0000362	Prag.g_00012	Prbn.g_00001
OG0000363	Prag.g_00014	Prbn.g_00768
OG0000364	Prag.g_00015	Prbn.g_00767
OG0000365	Prag.g_00020	Prbn.g_00762
OG0000366	Prag.g_00021	Prbn.g_00761
OG0000367	Prag.g_00022	Prbn.g_00760
OG0000368	Prag.g_00024	Prbn.g_00758
OG0000369	Prag.g_00025	Prbn.g_00757
OG0000370	Prag.g_00026	Prbn.g_00756
OG0000371	Prag.g_00032	Prbn.g_00749
OG0000372	Prag.g_00035	Prbn.g_00746
OG0000373	Prag.g_00036	Prbn.g_00745
OG0000374	Prag.g_00037	Prbn.g_00744
OG0000375	Prag.g_00040	Prbn.g_00742
OG0000376	Prag.g_00042	Prbn.g_00740
OG0000377	Prag.g_00045	Prbn.g_00736
OG0000378	Prag.g_00047	Prbn.g_00732
OG0000379	Prag.g_00050	Prbn.g_00729
OG0000380	Prag.g_00060	Prbn.g_00712
OG0000381	Prag.g_00064	Prbn.g_00707
OG0000382	Prag.g_00075	Prbn.g_01340
OG0000383	Prag.g_00077	Prbn.g_01338
OG0000384	Prag.g_00078	Prbn.g_01337
OG0000385	Prag.g_00079	Prbn.g_01336
OG0000386	Prag.g_00080	Prbn.g_01335
OG0000387	Prag.g_00092	Prbn.g_01321
OG0000388	Prag.g_00095	Prbn.g_01317
OG0000389	Prag.g_00099	Prbn.g_01314
OG0000390	Prag.g_00106	Prbn.g_01304
OG0000391	Prag.g_00109	Prbn.g_01301
OG0000392	Prag.g_00113	Prbn.g_01297
OG0000393	Prag.g_00115	Prbn.g_01294
OG0000394	Prag.g_00116	Prbn.g_01293
OG0000395	Prag.g_00117	Prbn.g_01292
OG0000396	Prag.g_00120	Prbn.g_01290
OG0000397	Prag.g_00122	Prbn.g_01288
OG0000398	Prag.g_00124	Prbn.g_01285
OG0000399	Prag.g_00125	Prbn.g_01284
OG0000400	Prag.g_00126	Prbn.g_01283
OG0000401	Prag.g_00127	Prbn.g_01282
OG0000402	Prag.g_00129	Prbn.g_01356
OG0000403	Prag.g_00130	Prbn.g_01280
OG0000404	Prag.g_00131	Prbn.g_01279
OG0000405	Prag.g_00135	Prbn.g_01275
OG0000406	Prag.g_00140	Prbn.g_01267
OG0000407	Prag.g_00141	Prbn.g_01266
OG0000408	Prag.g_00143	Prbn.g_01264
OG0000409	Prag.g_00145	Prbn.g_01262
OG0000410	Prag.g_00146	Prbn.g_01261
OG0000411	Prag.g_00147	Prbn.g_01260
OG0000412	Prag.g_00148	Prbn.g_01259
OG0000413	Prag.g_00149	Prbn.g_01257
OG0000414	Prag.g_00150	Prbn.g_01256
OG0000415	Prag.g_00151	Prbn.g_01255
OG0000416	Prag.g_00152	Prbn.g_01254
OG0000417	Prag.g_00153	Prbn.g_01253
OG0000418	Prag.g_00158	Prbn.g_01248
OG0000419	Prag.g_00160	Prbn.g_01246
OG0000420	Prag.g_00161	Prbn.g_01245
OG0000421	Prag.g_00166	Prbn.g_00381
OG0000422	Prag.g_00167	Prbn.g_00380
OG0000423	Prag.g_00168	Prbn.g_00379
OG0000424	Prag.g_00169	Prbn.g_00378
OG0000425	Prag.g_00170	Prbn.g_00377
OG0000426	Prag.g_00171	Prbn.g_00376
OG0000427	Prag.g_00172	Prbn.g_00375
OG0000428	Prag.g_00174	Prbn.g_00373
OG0000429	Prag.g_00175	Prbn.g_00372
OG0000430	Prag.g_00176	Prbn.g_00371
OG0000431	Prag.g_00178	Prbn.g_00369
OG0000432	Prag.g_00181	Prbn.g_00365
OG0000433	Prag.g_00182	Prbn.g_00364
OG0000434	Prag.g_00183	Prbn.g_00363
OG0000435	Prag.g_00184	Prbn.g_00362
OG0000436	Prag.g_00189	Prbn.g_00357
OG0000437	Prag.g_00190	Prbn.g_00356
OG0000438	Prag.g_00191	Prbn.g_00355
OG0000439	Prag.g_00193	Prbn.g_00353
OG0000440	Prag.g_00194	Prbn.g_00352
OG0000441	Prag.g_00197	Prbn.g_00349
OG0000442	Prag.g_00198	Prbn.g_00348
OG0000443	Prag.g_00199	Prbn.g_00347
OG0000444	Prag.g_00204	Prbn.g_00341
OG0000445	Prag.g_00205	Prbn.g_00340
OG0000446	Prag.g_00206	Prbn.g_00339
OG0000447	Prag.g_00207	Prbn.g_00338
OG0000448	Prag.g_00208	Prbn.g_00337
OG0000449	Prag.g_00209	Prbn.g_00336
OG0000450	Prag.g_00210	Prbn.g_00335
OG0000451	Prag.g_00211	Prbn.g_00334
OG0000452	Prag.g_00214	Prbn.g_00331
OG0000453	Prag.g_00215	Prbn.g_00330
OG0000454	Prag.g_00216	Prbn.g_00329
OG0000455	Prag.g_00217	Prbn.g_00328
OG0000456	Prag.g_00218	Prbn.g_00327
OG0000457	Prag.g_00219	Prbn.g_00325
OG0000458	Prag.g_00220	Prbn.g_00324
OG0000459	Prag.g_00221	Prbn.g_00323
OG0000460	Prag.g_00228	Prbn.g_00315
OG0000461	Prag.g_00235	Prbn.g_00307
OG0000462	Prag.g_00237	Prbn.g_00305
OG0000463	Prag.g_00238	Prbn.g_00304
OG0000464	Prag.g_00239	Prbn.g_00012
OG0000465	Prag.g_00240	Prbn.g_00013
OG0000466	Prag.g_00243	Prbn.g_00016
OG0000467	Prag.g_00244	Prbn.g_00017
OG0000468	Prag.g_00245	Prbn.g_00020
OG0000469	Prag.g_00253	Prbn.g_00028
OG0000470	Prag.g_00255	Prbn.g_00030
OG0000471	Prag.g_00256	Prbn.g_00031
OG0000472	Prag.g_00257	Prbn.g_00033
OG0000473	Prag.g_00259	Prbn.g_00035
OG0000474	Prag.g_00260	Prbn.g_00036
OG0000475	Prag.g_00261	Prbn.g_00037
OG0000476	Prag.g_00262	Prbn.g_00039
OG0000477	Prag.g_00266	Prbn.g_00042
OG0000478	Prag.g_00267	Prbn.g_00043
OG0000479	Prag.g_00268	Prbn.g_00044
OG0000480	Prag.g_00273	Prbn.g_00049
OG0000481	Prag.g_00275	Prbn.g_00052
OG0000482	Prag.g_00276	Prbn.g_00053
OG0000483	Prag.g_00279	Prbn.g_00056
OG0000484	Prag.g_00280	Prbn.g_00057
OG0000485	Prag.g_00281	Prbn.g_00059
OG0000486	Prag.g_00282	Prbn.g_00060
OG0000487	Prag.g_00286	Prbn.g_00063
OG0000488	Prag.g_00289	Prbn.g_00066
OG0000489	Prag.g_00294	Prbn.g_00071
OG0000490	Prag.g_00299	Prbn.g_00075
OG0000491	Prag.g_00300	Prbn.g_00076
OG0000492	Prag.g_00302	Prbn.g_00078
OG0000493	Prag.g_00303	Prbn.g_00079
OG0000494	Prag.g_00304	Prbn.g_00080
OG0000495	Prag.g_00305	Prbn.g_00081
OG0000496	Prag.g_00306	Prbn.g_00082
OG0000497	Prag.g_00307	Prbn.g_00083
OG0000498	Prag.g_00308	Prbn.g_00084
OG0000499	Prag.g_00309	Prbn.g_00085
OG0000500	Prag.g_00310	Prbn.g_00086
OG0000501	Prag.g_00312	Prbn.g_00087
OG0000502	Prag.g_00315	Prbn.g_00090
OG0000503	Prag.g_00329	Prbn.g_00105
OG0000504	Prag.g_00330	Prbn.g_00107
OG0000505	Prag.g_00331	Prbn.g_00108
OG0000506	Prag.g_00333	Prbn.g_00109
OG0000507	Prag.g_00336	Prbn.g_00112
OG0000508	Prag.g_00339	Prbn.g_00116
OG0000509	Prag.g_00341	Prbn.g_00118
OG0000510	Prag.g_00342	Prbn.g_00119
OG0000511	Prag.g_00343	Prbn.g_00120
OG0000512	Prag.g_00345	Prbn.g_00122
OG0000513	Prag.g_00352	Prbn.g_00693
OG0000514	Prag.g_00410	Prbn.g_00682
OG0000515	Prag.g_00411	Prbn.g_00681
OG0000516	Prag.g_00412	Prbn.g_00680
OG0000517	Prag.g_00414	Prbn.g_00678
OG0000518	Prag.g_00425	Prbn.g_00667
OG0000519	Prag.g_00426	Prbn.g_00666
OG0000520	Prag.g_00427	Prbn.g_00665
OG0000521	Prag.g_00432	Prbn.g_00657
OG0000522	Prag.g_00434	Prbn.g_00655
OG0000523	Prag.g_00435	Prbn.g_00654
OG0000524	Prag.g_00440	Prbn.g_00649
OG0000525	Prag.g_00443	Prbn.g_00645
OG0000526	Prag.g_00444	Prbn.g_00644
OG0000527	Prag.g_00452	Prbn.g_00641
OG0000528	Prag.g_00457	Prbn.g_00636
OG0000529	Prag.g_00460	Prbn.g_00633
OG0000530	Prag.g_00463	Prbn.g_00630
OG0000531	Prag.g_00464	Prbn.g_00629
OG0000532	Prag.g_00466	Prbn.g_00627
OG0000533	Prag.g_00467	Prbn.g_00626
OG0000534	Prag.g_00468	Prbn.g_00625
OG0000535	Prag.g_00469	Prbn.g_00624
OG0000536	Prag.g_00470	Prbn.g_00623
OG0000537	Prag.g_00471	Prbn.g_00622
OG0000538	Prag.g_00479	Prbn.g_00613
OG0000539	Prag.g_00480	Prbn.g_00612
OG0000540	Prag.g_00481	Prbn.g_00611
OG0000541	Prag.g_00482	Prbn.g_00610
OG0000542	Prag.g_00484	Prbn.g_00609
OG0000543	Prag.g_00486	Prbn.g_00607
OG0000544	Prag.g_00487	Prbn.g_00606
OG0000545	Prag.g_00489	Prbn.g_00604
OG0000546	Prag.g_00492	Prbn.g_00601
OG0000547	Prag.g_00494	Prbn.g_00599
OG0000548	Prag.g_00495	Prbn.g_00598
OG0000549	Prag.g_00497	Prbn.g_00596
OG0000550	Prag.g_00502	Prbn.g_00592
OG0000551	Prag.g_00506	Prbn.g_00589
OG0000552	Prag.g_00507	Prbn.g_00588
OG0000553	Prag.g_00508	Prbn.g_00587
OG0000554	Prag.g_00513	Prbn.g_00582
OG0000555	Prag.g_00521	Prbn.g_00574
OG0000556	Prag.g_00523	Prbn.g_00572
OG0000557	Prag.g_00524	Prbn.g_00571
OG0000558	Prag.g_00526	Prbn.g_00569
OG0000559	Prag.g_00530	Prbn.g_00565
