Orthogroup	Syak	Prai
OG0000170	Syak.g_01644	Prai.g_01834
OG0000171	Syak.g_01691	Prai.g_01853
OG0000172	Syak.g_01713	Prai.g_01863
OG0000173	Syak.g_01733	Prai.g_01878
OG0000174	Syak.g_01895	Prai.g_01905
OG0000175	Syak.g_01827	Prai.g_01915
OG0000176	Syak.g_01790	Prai.g_00004
OG0000177	Syak.g_01789	Prai.g_00005
OG0000178	Syak.g_01788	Prai.g_00006
OG0000179	Syak.g_01773	Prai.g_00016
OG0000180	Syak.g_01772	Prai.g_00017
OG0000181	Syak.g_01771	Prai.g_00018
OG0000182	Syak.g_01770	Prai.g_00019
OG0000183	Syak.g_01766	Prai.g_00023
OG0000184	Syak.g_01955	Prai.g_00053
OG0000185	Syak.g_01971	Prai.g_00056
OG0000186	Syak.g_02258	Prai.g_00064
OG0000187	Syak.g_02257	Prai.g_00065
OG0000188	Syak.g_02235	Prai.g_00082
OG0000189	Syak.g_02203	Prai.g_00096
OG0000190	Syak.g_01575	Prai.g_00097
OG0000191	Syak.g_02171	Prai.g_00117
OG0000192	Syak.g_02165	Prai.g_00121
OG0000193	Syak.g_02127	Prai.g_00157
OG0000194	Syak.g_02124	Prai.g_00160
OG0000195	Syak.g_02122	Prai.g_00162
OG0000196	Syak.g_02111	Prai.g_00172
OG0000197	Syak.g_02110	Prai.g_00173
OG0000198	Syak.g_02109	Prai.g_00174
OG0000199	Syak.g_02100	Prai.g_00181
OG0000200	Syak.g_02083	Prai.g_00195
OG0000201	Syak.g_02068	Prai.g_00203
OG0000202	Syak.g_02067	Prai.g_00204
OG0000203	Syak.g_02066	Prai.g_00205
OG0000204	Syak.g_02065	Prai.g_00206
OG0000205	Syak.g_02058	Prai.g_00213
OG0000206	Syak.g_02038	Prai.g_00218
OG0000207	Syak.g_02025	Prai.g_00220
OG0000208	Syak.g_02024	Prai.g_00221
OG0000209	Syak.g_01995	Prai.g_00230
OG0000210	Syak.g_01994	Prai.g_00231
OG0000211	Syak.g_02017	Prai.g_00244
OG0000212	Syak.g_02311	Prai.g_00251
OG0000213	Syak.g_01425	Prai.g_00270
OG0000214	Syak.g_01442	Prai.g_00280
OG0000215	Syak.g_01474	Prai.g_00305
OG0000216	Syak.g_01478	Prai.g_00307
OG0000217	Syak.g_01482	Prai.g_00310
OG0000218	Syak.g_01484	Prai.g_00312
OG0000219	Syak.g_01485	Prai.g_00313
OG0000220	Syak.g_01486	Prai.g_00314
OG0000221	Syak.g_01498	Prai.g_00315
OG0000222	Syak.g_01512	Prai.g_00323
OG0000223	Syak.g_01531	Prai.g_00336
OG0000224	Syak.g_01532	Prai.g_00338
OG0000225	Syak.g_01230	Prai.g_00358
OG0000226	Syak.g_01226	Prai.g_00362
OG0000227	Syak.g_01224	Prai.g_00364
OG0000228	Syak.g_01216	Prai.g_00367
OG0000229	Syak.g_01191	Prai.g_00467
OG0000230	Syak.g_01189	Prai.g_00469
OG0000231	Syak.g_01176	Prai.g_00480
OG0000232	Syak.g_01156	Prai.g_00489
OG0000233	Syak.g_01145	Prai.g_00494
OG0000234	Syak.g_01116	Prai.g_00506
OG0000235	Syak.g_02573	Prai.g_00509
OG0000236	Syak.g_02589	Prai.g_00523
OG0000237	Syak.g_02607	Prai.g_00536
OG0000238	Syak.g_02612	Prai.g_00542
OG0000239	Syak.g_02628	Prai.g_00553
OG0000240	Syak.g_02629	Prai.g_00554
OG0000241	Syak.g_00027	Prai.g_00558
OG0000242	Syak.g_02638	Prai.g_00560
OG0000243	Syak.g_02658	Prai.g_00571
OG0000244	Syak.g_02665	Prai.g_00574
OG0000245	Syak.g_02667	Prai.g_00576
OG0000246	Syak.g_02671	Prai.g_00580
OG0000247	Syak.g_02681	Prai.g_00590
OG0000248	Syak.g_02684	Prai.g_00593
OG0000249	Syak.g_02686	Prai.g_00595
OG0000250	Syak.g_02694	Prai.g_00600
OG0000251	Syak.g_02722	Prai.g_00619
OG0000252	Syak.g_02725	Prai.g_00622
OG0000253	Syak.g_02727	Prai.g_00623
OG0000254	Syak.g_02752	Prai.g_00639
OG0000255	Syak.g_02772	Prai.g_00645
OG0000256	Syak.g_00020	Prai.g_00656
OG0000257	Syak.g_00026	Prai.g_00659
OG0000258	Syak.g_00044	Prai.g_00672
OG0000259	Syak.g_00334	Prai.g_00689
OG0000260	Syak.g_00338	Prai.g_00692
OG0000261	Syak.g_00348	Prai.g_00694
OG0000262	Syak.g_00353	Prai.g_00698
OG0000263	Syak.g_00828	Prai.g_00710
OG0000264	Syak.g_00698	Prai.g_00720
OG0000265	Syak.g_00211	Prai.g_00748
OG0000266	Syak.g_00778	Prai.g_00758
OG0000267	Syak.g_00555	Prai.g_00769
OG0000268	Syak.g_00554	Prai.g_00770
OG0000269	Syak.g_00429	Prai.g_00853
OG0000270	Syak.g_00432	Prai.g_00850
OG0000271	Syak.g_00440	Prai.g_00842
OG0000272	Syak.g_00441	Prai.g_00840, Prai.g_00841
OG0000274	Syak.g_00615	Prai.g_00816
OG0000275	Syak.g_00611	Prai.g_00741, Prai.g_00813
OG0000276	Syak.g_00604	Prai.g_00808
OG0000277	Syak.g_00603	Prai.g_00807
OG0000278	Syak.g_00600	Prai.g_00804
OG0000279	Syak.g_00592	Prai.g_00797
OG0000280	Syak.g_00582	Prai.g_00796
OG0000281	Syak.g_00339	Prai.g_00791
OG0000282	Syak.g_00375	Prai.g_01044
OG0000283	Syak.g_00541	Prai.g_01012
OG0000284	Syak.g_00536	Prai.g_01007
OG0000285	Syak.g_00523	Prai.g_01002
OG0000286	Syak.g_00504	Prai.g_00990
OG0000287	Syak.g_00477	Prai.g_00973
OG0000288	Syak.g_00644	Prai.g_00944
OG0000289	Syak.g_00659	Prai.g_00934
OG0000290	Syak.g_00738	Prai.g_00921
OG0000291	Syak.g_00737	Prai.g_00919
OG0000292	Syak.g_01802	Prai.g_01107
OG0000293	Syak.g_00910	Prai.g_01163
OG0000294	Syak.g_00909	Prai.g_01164
OG0000295	Syak.g_00863	Prai.g_01183
OG0000296	Syak.g_00861	Prai.g_01185
OG0000297	Syak.g_00848	Prai.g_01193
OG0000298	Syak.g_00847	Prai.g_01194
OG0000299	Syak.g_00820	Prai.g_01213
OG0000300	Syak.g_00813	Prai.g_01216
OG0000301	Syak.g_00812	Prai.g_01217
OG0000302	Syak.g_00811	Prai.g_01219
OG0000303	Syak.g_00674	Prai.g_01226
OG0000304	Syak.g_00680	Prai.g_01230
OG0000305	Syak.g_00732	Prai.g_01362
OG0000306	Syak.g_00094	Prai.g_01365
OG0000307	Syak.g_02556	Prai.g_01379
OG0000308	Syak.g_02554	Prai.g_01380
OG0000309	Syak.g_02549	Prai.g_01384
OG0000310	Syak.g_00994	Prai.g_01448
OG0000311	Syak.g_00999	Prai.g_01450
OG0000312	Syak.g_01028	Prai.g_01453
OG0000313	Syak.g_01046	Prai.g_01467
OG0000314	Syak.g_01079	Prai.g_01489
OG0000315	Syak.g_01090	Prai.g_01499
OG0000316	Syak.g_02462	Prai.g_01519
OG0000317	Syak.g_02419	Prai.g_01636
OG0000318	Syak.g_02415	Prai.g_01639
OG0000319	Syak.g_02399	Prai.g_01652
OG0000320	Syak.g_02397	Prai.g_01654
OG0000321	Syak.g_02396	Prai.g_01655
OG0000322	Syak.g_02395	Prai.g_01656
OG0000323	Syak.g_02380	Prai.g_01665
OG0000324	Syak.g_02347	Prai.g_01691
OG0000325	Syak.g_01391	Prai.g_01702
OG0000326	Syak.g_01384	Prai.g_01708
OG0000327	Syak.g_01350	Prai.g_01735
OG0000328	Syak.g_01349	Prai.g_01736
OG0000329	Syak.g_01331	Prai.g_01754
OG0000330	Syak.g_01330	Prai.g_01755
OG0000331	Syak.g_01329	Prai.g_01756
OG0000332	Syak.g_01314	Prai.g_01770
OG0000333	Syak.g_01311	Prai.g_01777
OG0000334	Syak.g_01302	Prai.g_01785
OG0000335	Syak.g_01298	Prai.g_01790
OG0000336	Syak.g_01294	Prai.g_01794
OG0000337	Syak.g_01555	Prai.g_01810
OG0000338	Syak.g_01558	Prai.g_01811
OG0000339	Syak.g_01566	Prai.g_01815
OG0000340	Syak.g_01626	Prai.g_01823
OG0000341	Syak.g_01628	Prai.g_01825
OG0000342	Syak.g_01629	Prai.g_01826
OG0000343	Syak.g_01631	Prai.g_01827
OG0000344	Syak.g_01635	Prai.g_01830
OG0000345	Syak.g_01645	Prai.g_01835
OG0000346	Syak.g_01651	Prai.g_01839
OG0000347	Syak.g_01694	Prai.g_01855
OG0000348	Syak.g_01717	Prai.g_01866
OG0000349	Syak.g_01740	Prai.g_01883
OG0000350	Syak.g_01377	Prai.g_01901
OG0000351	Syak.g_01823	Prai.g_01918
OG0000352	Syak.g_01822	Prai.g_01919
OG0000353	Syak.g_01796	Prai.g_01935
OG0000355	Syak.g_01793	Prai.g_00001
OG0000356	Syak.g_01792	Prai.g_00002
OG0000357	Syak.g_01791	Prai.g_00003
OG0000358	Syak.g_01787	Prai.g_00007
OG0000359	Syak.g_01785	Prai.g_00008
OG0000360	Syak.g_01784	Prai.g_00009
OG0000361	Syak.g_01783	Prai.g_00010
OG0000362	Syak.g_01781	Prai.g_00012
OG0000363	Syak.g_01779	Prai.g_00014
OG0000364	Syak.g_01778	Prai.g_00015
OG0000365	Syak.g_01769	Prai.g_00020
OG0000366	Syak.g_01768	Prai.g_00021
OG0000367	Syak.g_01767	Prai.g_00022
OG0000368	Syak.g_01765	Prai.g_00024
OG0000369	Syak.g_01764	Prai.g_00025
OG0000370	Syak.g_01763	Prai.g_00026
OG0000371	Syak.g_01753	Prai.g_00032
OG0000372	Syak.g_01748	Prai.g_00035
OG0000373	Syak.g_01747	Prai.g_00036
OG0000374	Syak.g_01746	Prai.g_00037
OG0000375	Syak.g_01744	Prai.g_00047
OG0000376	Syak.g_01742	Prai.g_00049
OG0000377	Syak.g_01948	Prai.g_00052
OG0000378	Syak.g_01968	Prai.g_00054
OG0000379	Syak.g_01972	Prai.g_00057
OG0000380	Syak.g_02256	Prai.g_00066
OG0000381	Syak.g_02254	Prai.g_00070
OG0000382	Syak.g_02236	Prai.g_00081
OG0000383	Syak.g_02229	Prai.g_00083
OG0000384	Syak.g_02228	Prai.g_00084
OG0000385	Syak.g_02227	Prai.g_00085
OG0000386	Syak.g_02226	Prai.g_00086
OG0000387	Syak.g_02200	Prai.g_00099
OG0000388	Syak.g_02196	Prai.g_00102
OG0000389	Syak.g_02345, Syak.g_02193	Prai.g_00106
OG0000390	Syak.g_02177	Prai.g_00113
OG0000391	Syak.g_02172	Prai.g_00116
OG0000392	Syak.g_02166	Prai.g_00120
OG0000393	Syak.g_02163	Prai.g_00122
OG0000394	Syak.g_02162	Prai.g_00123
OG0000395	Syak.g_02161	Prai.g_00124
OG0000396	Syak.g_02158	Prai.g_00127
OG0000397	Syak.g_02156	Prai.g_00129
OG0000398	Syak.g_02151	Prai.g_00131
OG0000399	Syak.g_02150	Prai.g_00132
OG0000400	Syak.g_02149	Prai.g_00133
OG0000401	Syak.g_02148	Prai.g_00134
OG0000402	Syak.g_02146	Prai.g_00136
OG0000403	Syak.g_02145	Prai.g_00137
OG0000404	Syak.g_02143	Prai.g_00138
OG0000405	Syak.g_02131	Prai.g_00142
OG0000406	Syak.g_02126	Prai.g_00158
OG0000407	Syak.g_02125	Prai.g_00159
OG0000408	Syak.g_02123	Prai.g_00161
OG0000409	Syak.g_02121	Prai.g_00163
OG0000410	Syak.g_02120	Prai.g_00164
OG0000411	Syak.g_02119	Prai.g_00165
OG0000412	Syak.g_02118	Prai.g_00166
OG0000413	Syak.g_02116	Prai.g_00167
OG0000415	Syak.g_02114	Prai.g_00169
OG0000416	Syak.g_02113	Prai.g_00170
OG0000417	Syak.g_02112	Prai.g_00171
OG0000418	Syak.g_02107	Prai.g_00176
OG0000419	Syak.g_02105	Prai.g_00178
OG0000420	Syak.g_02103	Prai.g_00179
OG0000421	Syak.g_02097	Prai.g_00184
OG0000422	Syak.g_02096	Prai.g_00185
OG0000423	Syak.g_02095	Prai.g_00186
OG0000424	Syak.g_02094	Prai.g_00187
OG0000425	Syak.g_02093	Prai.g_00188
OG0000426	Syak.g_02092	Prai.g_00189
OG0000427	Syak.g_02091	Prai.g_00190
OG0000428	Syak.g_02088	Prai.g_00192
OG0000429	Syak.g_02086	Prai.g_00193
OG0000430	Syak.g_02084	Prai.g_00194
OG0000431	Syak.g_02081	Prai.g_00196
OG0000432	Syak.g_02075	Prai.g_00199
OG0000433	Syak.g_02073	Prai.g_00200
OG0000434	Syak.g_02072	Prai.g_00201
OG0000435	Syak.g_02071	Prai.g_00202
OG0000436	Syak.g_02064	Prai.g_00207
OG0000437	Syak.g_02063	Prai.g_00208
OG0000438	Syak.g_02062	Prai.g_00209
OG0000439	Syak.g_02060	Prai.g_00211
OG0000440	Syak.g_02059	Prai.g_00212
OG0000441	Syak.g_02053	Prai.g_00215
OG0000442	Syak.g_02043	Prai.g_00216
OG0000443	Syak.g_02041	Prai.g_00217
OG0000444	Syak.g_02022	Prai.g_00222
OG0000445	Syak.g_02015	Prai.g_00223
OG0000446	Syak.g_02013	Prai.g_00224
OG0000447	Syak.g_02006	Prai.g_00225
OG0000448	Syak.g_02005	Prai.g_00226
OG0000449	Syak.g_02004	Prai.g_00227
OG0000450	Syak.g_01998	Prai.g_00228
OG0000451	Syak.g_01997	Prai.g_00229
OG0000452	Syak.g_01993	Prai.g_00232
OG0000453	Syak.g_01992	Prai.g_00233
OG0000454	Syak.g_01991	Prai.g_00234
OG0000455	Syak.g_01990	Prai.g_00235
OG0000456	Syak.g_01989	Prai.g_00236
OG0000457	Syak.g_01987	Prai.g_00237
OG0000458	Syak.g_01986	Prai.g_00238
OG0000459	Syak.g_01985	Prai.g_00239
OG0000460	Syak.g_02303	Prai.g_00246
OG0000461	Syak.g_01402	Prai.g_00255
OG0000462	Syak.g_01405	Prai.g_00257
OG0000463	Syak.g_01406	Prai.g_00258
OG0000464	Syak.g_01407	Prai.g_00259
OG0000465	Syak.g_01409	Prai.g_00260
OG0000466	Syak.g_01414	Prai.g_00263
OG0000467	Syak.g_01416	Prai.g_00264
OG0000468	Syak.g_01421	Prai.g_00266
OG0000469	Syak.g_01436	Prai.g_00275
OG0000470	Syak.g_01438	Prai.g_00277
OG0000471	Syak.g_01439	Prai.g_00278
OG0000472	Syak.g_01441	Prai.g_00279
OG0000473	Syak.g_01443	Prai.g_00281
OG0000474	Syak.g_01444	Prai.g_00282
OG0000475	Syak.g_01445	Prai.g_00283
OG0000476	Syak.g_01447	Prai.g_00284
OG0000477	Syak.g_01453	Prai.g_00288
OG0000478	Syak.g_01454	Prai.g_00289
OG0000479	Syak.g_01455	Prai.g_00290
OG0000480	Syak.g_01462	Prai.g_00295
OG0000481	Syak.g_01464	Prai.g_00297
OG0000482	Syak.g_01465	Prai.g_00298
OG0000483	Syak.g_01469	Prai.g_00301
OG0000484	Syak.g_01470	Prai.g_00302
OG0000485	Syak.g_01472	Prai.g_00303
OG0000486	Syak.g_01473	Prai.g_00304
OG0000487	Syak.g_01479	Prai.g_00308
OG0000488	Syak.g_01483	Prai.g_00311
OG0000489	Syak.g_01499	Prai.g_00316
OG0000490	Syak.g_01507	Prai.g_00321
OG0000491	Syak.g_01511	Prai.g_00322
OG0000492	Syak.g_01513	Prai.g_00324
OG0000493	Syak.g_01514	Prai.g_00325
OG0000494	Syak.g_01515	Prai.g_00326
OG0000495	Syak.g_01516	Prai.g_00327
OG0000496	Syak.g_01517	Prai.g_00328
OG0000497	Syak.g_01518	Prai.g_00329
OG0000498	Syak.g_01519	Prai.g_00330
OG0000499	Syak.g_01520	Prai.g_00331
OG0000500	Syak.g_01521	Prai.g_00332
OG0000501	Syak.g_01524	Prai.g_00334
OG0000502	Syak.g_01538	Prai.g_00337
OG0000503	Syak.g_01246	Prai.g_00347
OG0000504	Syak.g_01244	Prai.g_00348
OG0000505	Syak.g_01243	Prai.g_00349
OG0000506	Syak.g_01241	Prai.g_00351
OG0000507	Syak.g_01235	Prai.g_00354
OG0000508	Syak.g_01231	Prai.g_00357
OG0000509	Syak.g_01229	Prai.g_00359
OG0000510	Syak.g_01228	Prai.g_00360
OG0000511	Syak.g_01227	Prai.g_00361
OG0000512	Syak.g_01225	Prai.g_00363
OG0000513	Syak.g_01211	Prai.g_00370
OG0000514	Syak.g_01204	Prai.g_00462
OG0000515	Syak.g_01203	Prai.g_00463
OG0000516	Syak.g_01199	Prai.g_00464
OG0000517	Syak.g_01192	Prai.g_00466
OG0000518	Syak.g_01180	Prai.g_00477
OG0000519	Syak.g_01179	Prai.g_00478
OG0000520	Syak.g_01178	Prai.g_00479
OG0000521	Syak.g_01167	Prai.g_00484
OG0000522	Syak.g_01163	Prai.g_00486
OG0000523	Syak.g_01162	Prai.g_00487
OG0000524	Syak.g_01149	Prai.g_00492
OG0000525	Syak.g_01130	Prai.g_00495
OG0000526	Syak.g_01127	Prai.g_00496
OG0000527	Syak.g_01120	Prai.g_00503
OG0000528	Syak.g_02570	Prai.g_00508
OG0000529	Syak.g_02575	Prai.g_00511
OG0000530	Syak.g_02578	Prai.g_00514
OG0000531	Syak.g_02579	Prai.g_00515
OG0000532	Syak.g_02582	Prai.g_00517
OG0000533	Syak.g_02584	Prai.g_00518
OG0000534	Syak.g_02585	Prai.g_00519
OG0000535	Syak.g_02586	Prai.g_00520
OG0000536	Syak.g_02587	Prai.g_00521
OG0000537	Syak.g_02588	Prai.g_00522
OG0000538	Syak.g_02600	Prai.g_00530
OG0000539	Syak.g_02601	Prai.g_00531
OG0000540	Syak.g_02602	Prai.g_00532
OG0000541	Syak.g_02603	Prai.g_00533
OG0000542	Syak.g_02606	Prai.g_00535
OG0000543	Syak.g_02608	Prai.g_00537
OG0000544	Syak.g_02609	Prai.g_00538
OG0000545	Syak.g_02611	Prai.g_00540
OG0000546	Syak.g_02613	Prai.g_00543
OG0000547	Syak.g_02615	Prai.g_00544
OG0000548	Syak.g_02616	Prai.g_00545
OG0000549	Syak.g_02622	Prai.g_00547
OG0000550	Syak.g_02626	Prai.g_00552
OG0000551	Syak.g_02631	Prai.g_00555
OG0000552	Syak.g_02632	Prai.g_00556
OG0000553	Syak.g_02636	Prai.g_00557
OG0000554	Syak.g_02641	Prai.g_00562
OG0000555	Syak.g_02657	Prai.g_00570
OG0000556	Syak.g_02661	Prai.g_00572
OG0000557	Syak.g_02663	Prai.g_00573
OG0000558	Syak.g_02666	Prai.g_00575
OG0000559	Syak.g_02670	Prai.g_00579
OG0000560	Syak.g_02672	Prai.g_00582
OG0000561	Syak.g_02673	Prai.g_00583
OG0000562	Syak.g_02674	Prai.g_00584
OG0000563	Syak.g_02675	Prai.g_00585
OG0000564	Syak.g_02676	Prai.g_00586
OG0000565	Syak.g_02679	Prai.g_00589
OG0000566	Syak.g_02683	Prai.g_00592
OG0000567	Syak.g_02687	Prai.g_00596
OG0000568	Syak.g_02690	Prai.g_00597
OG0000569	Syak.g_02691	Prai.g_00598
OG0000570	Syak.g_02692	Prai.g_00599
OG0000571	Syak.g_02696	Prai.g_00601
OG0000572	Syak.g_02713	Prai.g_00614
OG0000573	Syak.g_02723	Prai.g_00620
OG0000574	Syak.g_02724	Prai.g_00621
OG0000575	Syak.g_02729	Prai.g_00625
OG0000576	Syak.g_02731	Prai.g_00627
OG0000577	Syak.g_02732	Prai.g_00628
OG0000578	Syak.g_02733	Prai.g_00629
OG0000579	Syak.g_02734	Prai.g_00630
OG0000580	Syak.g_02735	Prai.g_00631
OG0000581	Syak.g_02742	Prai.g_00633
OG0000582	Syak.g_02748	Prai.g_00636
OG0000583	Syak.g_02749	Prai.g_00637
OG0000584	Syak.g_02750	Prai.g_00638
OG0000585	Syak.g_02753	Prai.g_00640
OG0000586	Syak.g_02754	Prai.g_00641
OG0000587	Syak.g_02756	Prai.g_00642
OG0000588	Syak.g_00004	Prai.g_00646
OG0000589	Syak.g_00008	Prai.g_00650
OG0000590	Syak.g_00009	Prai.g_00651
OG0000591	Syak.g_00017	Prai.g_00654
OG0000592	Syak.g_00018	Prai.g_00655
