Orthogroup	Syak	Prac
OG0000097	Syak.g_00816	Prac.g_00944
OG0000098	Syak.g_00345	Prac.g_00199
OG0000099	Syak.g_01527	Prac.g_00256
OG0000100	Syak.g_00622	Prac.g_00337
OG0000101	Syak.g_01305	Prac.g_00548
OG0000102	Syak.g_01661	Prac.g_00046
OG0000103	Syak.g_01812	Prac.g_00123
OG0000104	Syak.g_01799	Prac.g_00131
OG0000105	Syak.g_01451	Prac.g_01657
OG0000106	Syak.g_00096	Prac.g_01163
OG0000107	Syak.g_01392	Prac.g_01148
OG0000108	Syak.g_02574	Prac.g_01064
OG0000109	Syak.g_01061	Prac.g_01050
OG0000110	Syak.g_02698	Prac.g_00798
OG0000111	Syak.g_00725	Prac.g_00672
OG0000112	Syak.g_00512	Prac.g_01507
OG0000113	Syak.g_00461	Prac.g_01453
OG0000114	Syak.g_00373	Prac.g_01384
OG0000115	Syak.g_01066	Prac.g_01040
OG0000116	Syak.g_00911	Prac.g_00995
OG0000117	Syak.g_00846	Prac.g_01955
OG0000118	Syak.g_00954	Prac.g_00187
OG0000119	Syak.g_00917	Prac.g_00213
OG0000120	Syak.g_01526	Prac.g_00248
OG0000121	Syak.g_01044	Prac.g_00409
OG0000122	Syak.g_00081	Prac.g_00371
OG0000123	Syak.g_01299	Prac.g_00554
OG0000124	Syak.g_01692	Prac.g_00056
OG0000125	Syak.g_01934	Prac.g_00092
OG0000126	Syak.g_01801	Prac.g_00130
OG0000128	Syak.g_01782	Prac.g_01936
OG0000129	Syak.g_01947	Prac.g_01888
OG0000130	Syak.g_02255	Prac.g_01862
OG0000131	Syak.g_02128	Prac.g_01785
OG0000132	Syak.g_02108	Prac.g_01766
OG0000133	Syak.g_00507	Prac.g_01609
OG0000134	Syak.g_01212	Prac.g_01177
OG0000135	Syak.g_01897	Prac.g_01150
OG0000136	Syak.g_01186	Prac.g_01106
OG0000137	Syak.g_01118	Prac.g_01069
OG0000138	Syak.g_02591	Prac.g_01049
OG0000139	Syak.g_02646	Prac.g_00835
OG0000140	Syak.g_02650	Prac.g_00834
OG0000141	Syak.g_02746	Prac.g_00764
OG0000142	Syak.g_00035	Prac.g_00736
OG0000143	Syak.g_00039	Prac.g_00732
OG0000144	Syak.g_00260	Prac.g_00719
OG0000145	Syak.g_02598	Prac.g_01508
OG0000146	Syak.g_00514	Prac.g_01506
OG0000147	Syak.g_00515	Prac.g_01505
OG0000148	Syak.g_00455	Prac.g_01459
OG0000149	Syak.g_00596	Prac.g_01429
OG0000150	Syak.g_02747	Prac.g_01421
OG0000151	Syak.g_00387	Prac.g_01374
OG0000152	Syak.g_00503	Prac.g_01327
OG0000153	Syak.g_00470	Prac.g_01308
OG0000154	Syak.g_00645	Prac.g_01282
OG0000155	Syak.g_00855	Prac.g_00965
OG0000156	Syak.g_00919	Prac.g_00164
OG0000157	Syak.g_00920	Prac.g_00165
OG0000158	Syak.g_01624	Prac.g_00447
OG0000160	Syak.g_01043	Prac.g_00410
OG0000161	Syak.g_01050	Prac.g_00404
OG0000162	Syak.g_01058	Prac.g_00398
OG0000163	Syak.g_02478	Prac.g_00364
OG0000164	Syak.g_02384	Prac.g_00601
OG0000165	Syak.g_02374	Prac.g_00594
OG0000166	Syak.g_01345	Prac.g_00512
OG0000167	Syak.g_01561	Prac.g_00015
OG0000168	Syak.g_01625	Prac.g_00025
OG0000169	Syak.g_01637	Prac.g_00035
OG0000170	Syak.g_01644	Prac.g_00037
OG0000171	Syak.g_01691	Prac.g_00055
OG0000172	Syak.g_01713	Prac.g_00063
OG0000173	Syak.g_01733	Prac.g_00078
OG0000174	Syak.g_01895	Prac.g_00105
OG0000175	Syak.g_01827	Prac.g_00115
OG0000176	Syak.g_01790	Prac.g_01943
OG0000177	Syak.g_01789	Prac.g_01942
OG0000178	Syak.g_01788	Prac.g_01941
OG0000179	Syak.g_01773	Prac.g_01931
OG0000180	Syak.g_01772	Prac.g_01930
OG0000181	Syak.g_01771	Prac.g_01929
OG0000182	Syak.g_01770	Prac.g_01928
OG0000183	Syak.g_01766	Prac.g_01924
OG0000184	Syak.g_01955	Prac.g_01885
OG0000185	Syak.g_01971	Prac.g_01882
OG0000186	Syak.g_02258	Prac.g_01867
OG0000187	Syak.g_02257	Prac.g_01866
OG0000188	Syak.g_02235	Prac.g_01849
OG0000189	Syak.g_02203	Prac.g_01835
OG0000190	Syak.g_01575	Prac.g_01834
OG0000191	Syak.g_02171	Prac.g_01814
OG0000192	Syak.g_02165	Prac.g_01810
OG0000193	Syak.g_02127	Prac.g_01784
OG0000194	Syak.g_02124	Prac.g_01781
OG0000195	Syak.g_02122	Prac.g_01779
OG0000196	Syak.g_02111	Prac.g_01769
OG0000197	Syak.g_02110	Prac.g_01768
OG0000198	Syak.g_02109	Prac.g_01767
OG0000199	Syak.g_02100	Prac.g_01760
OG0000200	Syak.g_02083	Prac.g_01746
OG0000201	Syak.g_02068	Prac.g_01738
OG0000202	Syak.g_02067	Prac.g_01737
OG0000203	Syak.g_02066	Prac.g_01736
OG0000204	Syak.g_02065	Prac.g_01735
OG0000205	Syak.g_02058	Prac.g_01728
OG0000206	Syak.g_02038	Prac.g_01723
OG0000207	Syak.g_02025	Prac.g_01721
OG0000208	Syak.g_02024	Prac.g_01720
OG0000209	Syak.g_01995	Prac.g_01711
OG0000210	Syak.g_01994	Prac.g_01710
OG0000211	Syak.g_02017	Prac.g_01697
OG0000212	Syak.g_02311	Prac.g_01690
OG0000213	Syak.g_01425	Prac.g_01674
OG0000214	Syak.g_01442	Prac.g_01664
OG0000215	Syak.g_01474	Prac.g_01639
OG0000216	Syak.g_01478	Prac.g_01637
OG0000217	Syak.g_01482	Prac.g_01634
OG0000218	Syak.g_01484	Prac.g_01632
OG0000219	Syak.g_01485	Prac.g_01631
OG0000220	Syak.g_01486	Prac.g_01630
OG0000221	Syak.g_01498	Prac.g_01629
OG0000222	Syak.g_01512	Prac.g_01621
OG0000223	Syak.g_01531	Prac.g_01608
OG0000224	Syak.g_01532	Prac.g_01606
OG0000225	Syak.g_01230	Prac.g_01188
OG0000226	Syak.g_01226	Prac.g_01184
OG0000227	Syak.g_01224	Prac.g_01182
OG0000228	Syak.g_01216	Prac.g_01179
OG0000229	Syak.g_01191	Prac.g_01111
OG0000230	Syak.g_01189	Prac.g_01109
OG0000231	Syak.g_01176	Prac.g_01098
OG0000232	Syak.g_01156	Prac.g_01089
OG0000233	Syak.g_01145	Prac.g_01082
OG0000234	Syak.g_01116	Prac.g_01068
OG0000235	Syak.g_02573	Prac.g_01065
OG0000236	Syak.g_02589	Prac.g_01051
OG0000237	Syak.g_02607	Prac.g_00865
OG0000238	Syak.g_02612	Prac.g_00859
OG0000239	Syak.g_02628	Prac.g_00847
OG0000240	Syak.g_02629	Prac.g_00846
OG0000241	Syak.g_00027	Prac.g_00842
OG0000242	Syak.g_02638	Prac.g_00840
OG0000243	Syak.g_02658	Prac.g_00829
OG0000244	Syak.g_02665	Prac.g_00826
OG0000245	Syak.g_02667	Prac.g_00824
OG0000246	Syak.g_02671	Prac.g_00820
OG0000247	Syak.g_02681	Prac.g_00810
OG0000248	Syak.g_02684	Prac.g_00808
OG0000249	Syak.g_02686	Prac.g_00806
OG0000250	Syak.g_02694	Prac.g_00801
OG0000251	Syak.g_02722	Prac.g_00782
OG0000252	Syak.g_02725	Prac.g_00778
OG0000253	Syak.g_02727	Prac.g_00777
OG0000254	Syak.g_02752	Prac.g_00760
OG0000255	Syak.g_02772	Prac.g_00754
OG0000256	Syak.g_00020	Prac.g_00744
OG0000257	Syak.g_00026	Prac.g_00741
OG0000258	Syak.g_00044	Prac.g_00728
OG0000259	Syak.g_00334	Prac.g_00711
OG0000260	Syak.g_00338	Prac.g_00708
OG0000261	Syak.g_00348	Prac.g_00706
OG0000262	Syak.g_00353	Prac.g_00702
OG0000263	Syak.g_00828	Prac.g_00690
OG0000264	Syak.g_00698	Prac.g_00680
OG0000265	Syak.g_00211	Prac.g_01560
OG0000266	Syak.g_00778	Prac.g_01550
OG0000267	Syak.g_00555	Prac.g_01539
OG0000268	Syak.g_00554	Prac.g_01538
OG0000269	Syak.g_00429	Prac.g_01480
OG0000270	Syak.g_00432	Prac.g_01477
OG0000271	Syak.g_00440	Prac.g_01469
OG0000272	Syak.g_00441	Prac.g_01468
OG0000274	Syak.g_00615	Prac.g_01444
OG0000275	Syak.g_00611	Prac.g_01442
OG0000276	Syak.g_00604	Prac.g_01437
OG0000277	Syak.g_00603	Prac.g_01436
OG0000278	Syak.g_00600	Prac.g_01433
OG0000279	Syak.g_00592	Prac.g_01426
OG0000280	Syak.g_00582	Prac.g_01425
OG0000281	Syak.g_00339	Prac.g_01420
OG0000282	Syak.g_00375	Prac.g_01382
OG0000283	Syak.g_00541	Prac.g_01350
OG0000284	Syak.g_00536	Prac.g_01345
OG0000285	Syak.g_00523	Prac.g_01340
OG0000286	Syak.g_00504	Prac.g_01328
OG0000287	Syak.g_00477	Prac.g_01311
OG0000288	Syak.g_00644	Prac.g_01283
OG0000289	Syak.g_00659	Prac.g_01272
OG0000290	Syak.g_00738	Prac.g_01259
OG0000291	Syak.g_00737	Prac.g_01257
OG0000292	Syak.g_01802	Prac.g_01207
OG0000293	Syak.g_00910	Prac.g_00994
OG0000294	Syak.g_00909	Prac.g_00993
OG0000295	Syak.g_00863	Prac.g_00973
OG0000296	Syak.g_00861	Prac.g_00971
OG0000297	Syak.g_00848	Prac.g_00963
OG0000298	Syak.g_00847	Prac.g_00962
OG0000299	Syak.g_00820	Prac.g_00945
OG0000300	Syak.g_00813	Prac.g_00942
OG0000301	Syak.g_00812	Prac.g_00941
OG0000302	Syak.g_00811	Prac.g_00939
OG0000303	Syak.g_00674	Prac.g_00932
OG0000304	Syak.g_00680	Prac.g_00928
OG0000305	Syak.g_00732	Prac.g_00209
OG0000306	Syak.g_00094	Prac.g_00212
OG0000307	Syak.g_02556	Prac.g_00226
OG0000308	Syak.g_02554	Prac.g_00227
OG0000309	Syak.g_02549	Prac.g_00231
OG0000310	Syak.g_00994	Prac.g_00426
OG0000311	Syak.g_00999	Prac.g_00424
OG0000312	Syak.g_01028	Prac.g_00421
OG0000313	Syak.g_01046	Prac.g_00407
OG0000314	Syak.g_01079	Prac.g_00384
OG0000315	Syak.g_01090	Prac.g_00374
OG0000316	Syak.g_02462	Prac.g_00354
OG0000317	Syak.g_02419	Prac.g_00627
OG0000318	Syak.g_02415	Prac.g_00624
OG0000319	Syak.g_02399	Prac.g_00611
OG0000320	Syak.g_02397	Prac.g_00609
OG0000321	Syak.g_02396	Prac.g_00608
OG0000322	Syak.g_02395	Prac.g_00607
OG0000323	Syak.g_02380	Prac.g_00598
OG0000324	Syak.g_02347	Prac.g_00572
OG0000325	Syak.g_01391	Prac.g_00477
OG0000326	Syak.g_01384	Prac.g_00483
OG0000327	Syak.g_01350	Prac.g_00507
OG0000328	Syak.g_01349	Prac.g_00508
OG0000329	Syak.g_01331	Prac.g_00525
OG0000330	Syak.g_01330	Prac.g_00526
OG0000331	Syak.g_01329	Prac.g_00527
OG0000332	Syak.g_01314	Prac.g_00541
OG0000333	Syak.g_01311	Prac.g_00543
OG0000334	Syak.g_01302	Prac.g_00551
OG0000335	Syak.g_01298	Prac.g_00555
OG0000336	Syak.g_01294	Prac.g_00559
OG0000337	Syak.g_01555	Prac.g_00013
OG0000338	Syak.g_01558	Prac.g_00014
OG0000339	Syak.g_01566	Prac.g_00018
OG0000340	Syak.g_01626	Prac.g_00026
OG0000341	Syak.g_01628	Prac.g_00028
OG0000342	Syak.g_01629	Prac.g_00029
OG0000343	Syak.g_01631	Prac.g_00030
OG0000344	Syak.g_01635	Prac.g_00033
OG0000345	Syak.g_01645	Prac.g_00038
OG0000346	Syak.g_01651	Prac.g_00042
OG0000347	Syak.g_01694	Prac.g_00057
OG0000348	Syak.g_01717	Prac.g_00066
OG0000349	Syak.g_01740	Prac.g_00083
OG0000350	Syak.g_01377	Prac.g_00101
OG0000351	Syak.g_01823	Prac.g_00118
OG0000352	Syak.g_01822	Prac.g_00119
OG0000353	Syak.g_01796	Prac.g_01948
OG0000355	Syak.g_01793	Prac.g_01946
OG0000356	Syak.g_01792	Prac.g_01945
OG0000357	Syak.g_01791	Prac.g_01944
OG0000358	Syak.g_01787	Prac.g_01940
OG0000359	Syak.g_01785	Prac.g_01939
OG0000360	Syak.g_01784	Prac.g_01938
OG0000361	Syak.g_01783	Prac.g_01937
OG0000362	Syak.g_01781	Prac.g_01935
OG0000363	Syak.g_01779	Prac.g_01933
OG0000364	Syak.g_01778	Prac.g_01932
OG0000365	Syak.g_01769	Prac.g_01927
OG0000366	Syak.g_01768	Prac.g_01926
OG0000367	Syak.g_01767	Prac.g_01925
OG0000368	Syak.g_01765	Prac.g_01923
OG0000369	Syak.g_01764	Prac.g_01922
OG0000370	Syak.g_01763	Prac.g_01921
OG0000371	Syak.g_01753	Prac.g_01915
OG0000372	Syak.g_01748	Prac.g_01911
OG0000373	Syak.g_01747	Prac.g_01910
OG0000374	Syak.g_01746	Prac.g_01909
OG0000375	Syak.g_01744	Prac.g_01892
OG0000376	Syak.g_01742	Prac.g_01890
OG0000377	Syak.g_01948	Prac.g_01886
OG0000378	Syak.g_01968	Prac.g_01884
OG0000379	Syak.g_01972	Prac.g_01881
OG0000380	Syak.g_02256	Prac.g_01865
OG0000381	Syak.g_02254	Prac.g_01861
OG0000382	Syak.g_02236	Prac.g_01850
OG0000383	Syak.g_02229	Prac.g_01848
OG0000384	Syak.g_02228	Prac.g_01847
OG0000385	Syak.g_02227	Prac.g_01846
OG0000386	Syak.g_02226	Prac.g_01845
OG0000387	Syak.g_02200	Prac.g_01832
OG0000388	Syak.g_02196	Prac.g_01829
OG0000389	Syak.g_02345, Syak.g_02193	Prac.g_01825
OG0000390	Syak.g_02177	Prac.g_01818
OG0000391	Syak.g_02172	Prac.g_01815
OG0000392	Syak.g_02166	Prac.g_01811
OG0000393	Syak.g_02163	Prac.g_01809
OG0000394	Syak.g_02162	Prac.g_01808
OG0000395	Syak.g_02161	Prac.g_01807
OG0000396	Syak.g_02158	Prac.g_01804
OG0000397	Syak.g_02156	Prac.g_01802
OG0000398	Syak.g_02151	Prac.g_01800
OG0000399	Syak.g_02150	Prac.g_01799
OG0000400	Syak.g_02149	Prac.g_01798
OG0000401	Syak.g_02148	Prac.g_01797
OG0000402	Syak.g_02146	Prac.g_01795
OG0000403	Syak.g_02145	Prac.g_01794
OG0000404	Syak.g_02143	Prac.g_01793
OG0000405	Syak.g_02131	Prac.g_01789
OG0000406	Syak.g_02126	Prac.g_01783
OG0000407	Syak.g_02125	Prac.g_01782
OG0000408	Syak.g_02123	Prac.g_01780
OG0000409	Syak.g_02121	Prac.g_01778
OG0000410	Syak.g_02120	Prac.g_01777
OG0000411	Syak.g_02119	Prac.g_01776
OG0000412	Syak.g_02118	Prac.g_01775
OG0000413	Syak.g_02116	Prac.g_01774
OG0000415	Syak.g_02114	Prac.g_01772
OG0000416	Syak.g_02113	Prac.g_01771
OG0000417	Syak.g_02112	Prac.g_01770
OG0000418	Syak.g_02107	Prac.g_01765
OG0000419	Syak.g_02105	Prac.g_01763
OG0000420	Syak.g_02103	Prac.g_01762
OG0000421	Syak.g_02097	Prac.g_01757
OG0000422	Syak.g_02096	Prac.g_01756
OG0000423	Syak.g_02095	Prac.g_01755
OG0000424	Syak.g_02094	Prac.g_01754
OG0000425	Syak.g_02093	Prac.g_01753
OG0000426	Syak.g_02092	Prac.g_01752
OG0000427	Syak.g_02091	Prac.g_01751
OG0000428	Syak.g_02088	Prac.g_01749
OG0000429	Syak.g_02086	Prac.g_01748
OG0000430	Syak.g_02084	Prac.g_01747
OG0000431	Syak.g_02081	Prac.g_01745
OG0000432	Syak.g_02075	Prac.g_01742
OG0000433	Syak.g_02073	Prac.g_01741
OG0000434	Syak.g_02072	Prac.g_01740
OG0000435	Syak.g_02071	Prac.g_01739
OG0000436	Syak.g_02064	Prac.g_01734
OG0000437	Syak.g_02063	Prac.g_01733
OG0000438	Syak.g_02062	Prac.g_01732
OG0000439	Syak.g_02060	Prac.g_01730
OG0000440	Syak.g_02059	Prac.g_01729
OG0000441	Syak.g_02053	Prac.g_01726
OG0000442	Syak.g_02043	Prac.g_01725
OG0000443	Syak.g_02041	Prac.g_01724
OG0000444	Syak.g_02022	Prac.g_01719
OG0000445	Syak.g_02015	Prac.g_01718
OG0000446	Syak.g_02013	Prac.g_01717
OG0000447	Syak.g_02006	Prac.g_01716
OG0000448	Syak.g_02005	Prac.g_01715
OG0000449	Syak.g_02004	Prac.g_01714
OG0000450	Syak.g_01998	Prac.g_01713
OG0000451	Syak.g_01997	Prac.g_01712
OG0000452	Syak.g_01993	Prac.g_01709
OG0000453	Syak.g_01992	Prac.g_01708
OG0000454	Syak.g_01991	Prac.g_01707
OG0000455	Syak.g_01990	Prac.g_01706
OG0000456	Syak.g_01989	Prac.g_01705
OG0000457	Syak.g_01987	Prac.g_01704
OG0000458	Syak.g_01986	Prac.g_01703
OG0000459	Syak.g_01985	Prac.g_01702
OG0000460	Syak.g_02303	Prac.g_01695
OG0000461	Syak.g_01402	Prac.g_01688
OG0000462	Syak.g_01405	Prac.g_01686
OG0000463	Syak.g_01406	Prac.g_01685
OG0000464	Syak.g_01407	Prac.g_01684
OG0000465	Syak.g_01409	Prac.g_01683
OG0000466	Syak.g_01414	Prac.g_01680
OG0000467	Syak.g_01416	Prac.g_01679
OG0000468	Syak.g_01421	Prac.g_01678
OG0000469	Syak.g_01436	Prac.g_01669
OG0000470	Syak.g_01438	Prac.g_01667
OG0000471	Syak.g_01439	Prac.g_01666
OG0000472	Syak.g_01441	Prac.g_01665
OG0000473	Syak.g_01443	Prac.g_01663
OG0000474	Syak.g_01444	Prac.g_01662
OG0000475	Syak.g_01445	Prac.g_01661
OG0000476	Syak.g_01447	Prac.g_01660
OG0000477	Syak.g_01453	Prac.g_01656
OG0000478	Syak.g_01454	Prac.g_01655
OG0000479	Syak.g_01455	Prac.g_01654
OG0000480	Syak.g_01462	Prac.g_01649
OG0000481	Syak.g_01464	Prac.g_01647
OG0000482	Syak.g_01465	Prac.g_01646
OG0000483	Syak.g_01469	Prac.g_01643
OG0000484	Syak.g_01470	Prac.g_01642
OG0000485	Syak.g_01472	Prac.g_01641
OG0000486	Syak.g_01473	Prac.g_01640
OG0000487	Syak.g_01479	Prac.g_01636
OG0000488	Syak.g_01483	Prac.g_01633
OG0000489	Syak.g_01499	Prac.g_01628
OG0000490	Syak.g_01507	Prac.g_01623
OG0000491	Syak.g_01511	Prac.g_01622
OG0000492	Syak.g_01513	Prac.g_01620
OG0000493	Syak.g_01514	Prac.g_01619
OG0000494	Syak.g_01515	Prac.g_01618
OG0000495	Syak.g_01516	Prac.g_01617
OG0000496	Syak.g_01517	Prac.g_01616
OG0000497	Syak.g_01518	Prac.g_01615
OG0000498	Syak.g_01519	Prac.g_01614
OG0000499	Syak.g_01520	Prac.g_01613
OG0000500	Syak.g_01521	Prac.g_01612
OG0000501	Syak.g_01524	Prac.g_01610
OG0000502	Syak.g_01538	Prac.g_01607
OG0000503	Syak.g_01246	Prac.g_01200
OG0000504	Syak.g_01244	Prac.g_01199
OG0000505	Syak.g_01243	Prac.g_01198
OG0000506	Syak.g_01241	Prac.g_01196
OG0000507	Syak.g_01235	Prac.g_01193
OG0000508	Syak.g_01231	Prac.g_01189
OG0000509	Syak.g_01229	Prac.g_01187
OG0000510	Syak.g_01228	Prac.g_01186
OG0000511	Syak.g_01227	Prac.g_01185
OG0000512	Syak.g_01225	Prac.g_01183
OG0000513	Syak.g_01211	Prac.g_01176
OG0000514	Syak.g_01204	Prac.g_01116
OG0000515	Syak.g_01203	Prac.g_01115
OG0000516	Syak.g_01199	Prac.g_01114
OG0000517	Syak.g_01192	Prac.g_01112
OG0000518	Syak.g_01180	Prac.g_01101
OG0000519	Syak.g_01179	Prac.g_01100
OG0000520	Syak.g_01178	Prac.g_01099
OG0000521	Syak.g_01167	Prac.g_01094
OG0000522	Syak.g_01163	Prac.g_01092
OG0000523	Syak.g_01162	Prac.g_01091
OG0000524	Syak.g_01149	Prac.g_01084
OG0000525	Syak.g_01130	Prac.g_01081
OG0000526	Syak.g_01127	Prac.g_01080
OG0000527	Syak.g_01120	Prac.g_01071
OG0000528	Syak.g_02570	Prac.g_01066
OG0000529	Syak.g_02575	Prac.g_01063
OG0000530	Syak.g_02578	Prac.g_01060
OG0000531	Syak.g_02579	Prac.g_01059
OG0000532	Syak.g_02582	Prac.g_01057
OG0000533	Syak.g_02584	Prac.g_01056
OG0000534	Syak.g_02585	Prac.g_01055
OG0000535	Syak.g_02586	Prac.g_01054
OG0000536	Syak.g_02587	Prac.g_01053
OG0000537	Syak.g_02588	Prac.g_01052
OG0000538	Syak.g_02600	Prac.g_00871
OG0000539	Syak.g_02601	Prac.g_00870
OG0000540	Syak.g_02602	Prac.g_00869
OG0000541	Syak.g_02603	Prac.g_00868
OG0000542	Syak.g_02606	Prac.g_00866
OG0000543	Syak.g_02608	Prac.g_00864
OG0000544	Syak.g_02609	Prac.g_00863
OG0000545	Syak.g_02611	Prac.g_00861
OG0000546	Syak.g_02613	Prac.g_00858
OG0000547	Syak.g_02615	Prac.g_00857
OG0000548	Syak.g_02616	Prac.g_00856
OG0000549	Syak.g_02622	Prac.g_00854
OG0000550	Syak.g_02626	Prac.g_00849
OG0000551	Syak.g_02631	Prac.g_00845
OG0000552	Syak.g_02632	Prac.g_00844
OG0000553	Syak.g_02636	Prac.g_00843
OG0000554	Syak.g_02641	Prac.g_00838
OG0000555	Syak.g_02657	Prac.g_00830
OG0000556	Syak.g_02661	Prac.g_00828
OG0000557	Syak.g_02663	Prac.g_00827
OG0000558	Syak.g_02666	Prac.g_00825
OG0000559	Syak.g_02670	Prac.g_00821
OG0000560	Syak.g_02672	Prac.g_00818
OG0000561	Syak.g_02673	Prac.g_00817
OG0000562	Syak.g_02674	Prac.g_00816
OG0000563	Syak.g_02675	Prac.g_00815
OG0000564	Syak.g_02676	Prac.g_00814
OG0000565	Syak.g_02679	Prac.g_00811
OG0000566	Syak.g_02683	Prac.g_00809
OG0000567	Syak.g_02687	Prac.g_00805
OG0000568	Syak.g_02690	Prac.g_00804
OG0000569	Syak.g_02691	Prac.g_00803
OG0000570	Syak.g_02692	Prac.g_00802
OG0000571	Syak.g_02696	Prac.g_00800
OG0000572	Syak.g_02713	Prac.g_00787
OG0000573	Syak.g_02723	Prac.g_00780
OG0000574	Syak.g_02724	Prac.g_00779
OG0000575	Syak.g_02729	Prac.g_00775
OG0000576	Syak.g_02731	Prac.g_00772
OG0000577	Syak.g_02732	Prac.g_00771
OG0000578	Syak.g_02733	Prac.g_00770
OG0000579	Syak.g_02734	Prac.g_00769
OG0000580	Syak.g_02735	Prac.g_00768
OG0000581	Syak.g_02742	Prac.g_00766
OG0000582	Syak.g_02748	Prac.g_00763
OG0000583	Syak.g_02749	Prac.g_00762
OG0000584	Syak.g_02750	Prac.g_00761
OG0000585	Syak.g_02753	Prac.g_00759
OG0000586	Syak.g_02754	Prac.g_00758
OG0000587	Syak.g_02756	Prac.g_00757
OG0000588	Syak.g_00004	Prac.g_00753
OG0000589	Syak.g_00008	Prac.g_00750
OG0000590	Syak.g_00009	Prac.g_00749
OG0000591	Syak.g_00017	Prac.g_00746
OG0000592	Syak.g_00018	Prac.g_00745
OG0000593	Syak.g_00031	Prac.g_00739
OG0000594	Syak.g_00032	Prac.g_00738
