Orthogroup	Syak	Prbb
OG0000071	Syak.g_00936	Prbb.g_01586
OG0000072	Syak.g_02099	Prbb.g_00228
OG0000073	Syak.g_02597	Prbb.g_00503
OG0000075	Syak.g_01564	Prbb.g_02036
OG0000076	Syak.g_01650	Prbb.g_02061
OG0000077	Syak.g_02243	Prbb.g_00133
OG0000078	Syak.g_02310	Prbb.g_00297
OG0000079	Syak.g_01417	Prbb.g_00308
OG0000081	Syak.g_00115	Prbb.g_00534
OG0000082	Syak.g_02711	Prbb.g_01882
OG0000084	Syak.g_01036	Prbb.g_01683
OG0000085	Syak.g_02427	Prbb.g_01816
OG0000086	Syak.g_02219	Prbb.g_00143
OG0000087	Syak.g_02141	Prbb.g_00196
OG0000088	Syak.g_02106	Prbb.g_00223
OG0000089	Syak.g_01215	Prbb.g_00416
OG0000090	Syak.g_02640	Prbb.g_00536
OG0000091	Syak.g_00043	Prbb.g_00643
OG0000092	Syak.g_01126	Prbb.g_00937
OG0000097	Syak.g_00816	Prbb.g_01470
OG0000098	Syak.g_00345	Prbb.g_01608
OG0000099	Syak.g_01527	Prbb.g_00388
OG0000100	Syak.g_00622	Prbb.g_01763
OG0000101	Syak.g_01305	Prbb.g_02001
OG0000102	Syak.g_01661	Prbb.g_02066
OG0000103	Syak.g_01812	Prbb.g_02174
OG0000104	Syak.g_01799	Prbb.g_02185
OG0000105	Syak.g_01451	Prbb.g_00327
OG0000106	Syak.g_00096	Prbb.g_01197, Prbb.g_01329
OG0000107	Syak.g_01392	Prbb.g_01923
OG0000108	Syak.g_02574	Prbb.g_00484, Prbb.g_00485
OG0000109	Syak.g_02590, Syak.g_01061	Prbb.g_00498
OG0000110	Syak.g_02698	Prbb.g_00578
OG0000111	Syak.g_00725	Prbb.g_00707
OG0000112	Syak.g_00512	Prbb.g_00983
OG0000113	Syak.g_00461	Prbb.g_00807, Prbb.g_01218
OG0000114	Syak.g_00373	Prbb.g_00932
OG0000115	Syak.g_01066	Prbb.g_01780
OG0000116	Syak.g_00911	Prbb.g_01528
OG0000117	Syak.g_00846	Prbb.g_01399
OG0000118	Syak.g_00954	Prbb.g_01598
OG0000119	Syak.g_00917	Prbb.g_01632
OG0000120	Syak.g_01526	Prbb.g_00678
OG0000121	Syak.g_01044	Prbb.g_01688
OG0000122	Syak.g_00081	Prbb.g_01727
OG0000123	Syak.g_01299	Prbb.g_02008
OG0000124	Syak.g_01692	Prbb.g_02079
OG0000125	Syak.g_01934	Prbb.g_02131
OG0000126	Syak.g_01801	Prbb.g_02183
OG0000128	Syak.g_01782	Prbb.g_00012
OG0000129	Syak.g_01947	Prbb.g_00059
OG0000130	Syak.g_02255	Prbb.g_00124
OG0000131	Syak.g_02128	Prbb.g_00202
OG0000132	Syak.g_02108	Prbb.g_00221
OG0000133	Syak.g_00507	Prbb.g_00373
OG0000134	Syak.g_01212	Prbb.g_00418
OG0000135	Syak.g_01897	Prbb.g_01326
OG0000136	Syak.g_01186	Prbb.g_00446
OG0000137	Syak.g_01118	Prbb.g_00478
OG0000138	Syak.g_02591	Prbb.g_00499
OG0000139	Syak.g_02646	Prbb.g_00540
OG0000140	Syak.g_02650	Prbb.g_00541
OG0000141	Syak.g_02746	Prbb.g_00608
OG0000142	Syak.g_00035	Prbb.g_00636
OG0000143	Syak.g_00039	Prbb.g_00640
OG0000144	Syak.g_00260	Prbb.g_00653
OG0000145	Syak.g_02598	Prbb.g_01099
OG0000146	Syak.g_00514	Prbb.g_00982
OG0000147	Syak.g_00515	Prbb.g_00981
OG0000148	Syak.g_00455	Prbb.g_00801
OG0000149	Syak.g_00596	Prbb.g_00832
OG0000150	Syak.g_02747	Prbb.g_00840
OG0000151	Syak.g_00387	Prbb.g_00943
OG0000152	Syak.g_00503	Prbb.g_00991
OG0000153	Syak.g_00470	Prbb.g_01009
OG0000154	Syak.g_00645	Prbb.g_01040
OG0000155	Syak.g_00855	Prbb.g_01495
OG0000156	Syak.g_00919	Prbb.g_01575
OG0000157	Syak.g_00920	Prbb.g_01576
OG0000158	Syak.g_01624	Prbb.g_02044
OG0000160	Syak.g_01043	Prbb.g_01687
OG0000161	Syak.g_01050	Prbb.g_01693
OG0000162	Syak.g_01058	Prbb.g_01699
OG0000163	Syak.g_02478	Prbb.g_01735
OG0000164	Syak.g_02384	Prbb.g_01845
OG0000165	Syak.g_02374	Prbb.g_01853
OG0000166	Syak.g_01345	Prbb.g_01964
OG0000167	Syak.g_01561	Prbb.g_02034
OG0000168	Syak.g_01625	Prbb.g_02045
OG0000169	Syak.g_01637	Prbb.g_02055
OG0000170	Syak.g_01644	Prbb.g_02057
OG0000171	Syak.g_01691	Prbb.g_02078
OG0000172	Syak.g_01713	Prbb.g_02101
OG0000173	Syak.g_01733	Prbb.g_02116
OG0000174	Syak.g_01895	Prbb.g_02147
OG0000175	Syak.g_01827	Prbb.g_02165
OG0000176	Syak.g_01790	Prbb.g_00004
OG0000177	Syak.g_01789	Prbb.g_00005
OG0000178	Syak.g_01788	Prbb.g_00007, Prbb.g_00006
OG0000179	Syak.g_01773	Prbb.g_00017
OG0000180	Syak.g_01772	Prbb.g_00018
OG0000181	Syak.g_01771	Prbb.g_00019
OG0000182	Syak.g_01770	Prbb.g_00020
OG0000183	Syak.g_01766	Prbb.g_00024
OG0000184	Syak.g_01955	Prbb.g_00061
OG0000185	Syak.g_01971	Prbb.g_00064
OG0000186	Syak.g_02258	Prbb.g_00119
OG0000187	Syak.g_02257	Prbb.g_00120
OG0000188	Syak.g_02235	Prbb.g_00137
OG0000189	Syak.g_02203	Prbb.g_00151
OG0000190	Syak.g_01575	Prbb.g_00152
OG0000191	Syak.g_02171	Prbb.g_00175
OG0000192	Syak.g_02165	Prbb.g_00179
OG0000193	Syak.g_02127	Prbb.g_00203
OG0000194	Syak.g_02124	Prbb.g_00206
OG0000195	Syak.g_02122	Prbb.g_00208
OG0000196	Syak.g_02111	Prbb.g_00218
OG0000197	Syak.g_02110	Prbb.g_00219
OG0000198	Syak.g_02109	Prbb.g_00220
OG0000199	Syak.g_02100	Prbb.g_00227
OG0000200	Syak.g_02083	Prbb.g_00240
OG0000201	Syak.g_02068	Prbb.g_00249
OG0000202	Syak.g_02067	Prbb.g_00250
OG0000203	Syak.g_02066	Prbb.g_00251
OG0000204	Syak.g_02065	Prbb.g_00252
OG0000205	Syak.g_02058	Prbb.g_00259
OG0000206	Syak.g_02038	Prbb.g_00263
OG0000207	Syak.g_02025	Prbb.g_00265
OG0000208	Syak.g_02024	Prbb.g_00266
OG0000209	Syak.g_01995	Prbb.g_00275
OG0000210	Syak.g_01994	Prbb.g_00276
OG0000211	Syak.g_02017	Prbb.g_00290
OG0000212	Syak.g_02311	Prbb.g_00298
OG0000213	Syak.g_01425	Prbb.g_00313
OG0000214	Syak.g_01442	Prbb.g_00321
OG0000215	Syak.g_01474	Prbb.g_00344
OG0000216	Syak.g_01478	Prbb.g_00345
OG0000217	Syak.g_01482	Prbb.g_00348
OG0000218	Syak.g_01484	Prbb.g_00350
OG0000219	Syak.g_01485	Prbb.g_00351
OG0000220	Syak.g_01486	Prbb.g_00352
OG0000221	Syak.g_01498	Prbb.g_00353
OG0000222	Syak.g_01512	Prbb.g_00361
OG0000223	Syak.g_01531	Prbb.g_00374
OG0000224	Syak.g_01532	Prbb.g_00376
OG0000225	Syak.g_01230	Prbb.g_00405
OG0000226	Syak.g_01226	Prbb.g_00409
OG0000227	Syak.g_01224	Prbb.g_00411
OG0000228	Syak.g_01216	Prbb.g_00415
OG0000229	Syak.g_01191	Prbb.g_00441
OG0000230	Syak.g_01189	Prbb.g_00443
OG0000231	Syak.g_01176	Prbb.g_00454
OG0000232	Syak.g_01156	Prbb.g_00462
OG0000233	Syak.g_01145	Prbb.g_00470
OG0000234	Syak.g_01116	Prbb.g_00479
OG0000235	Syak.g_02573	Prbb.g_00483
OG0000236	Syak.g_02589	Prbb.g_00497
OG0000237	Syak.g_02607	Prbb.g_00510
OG0000238	Syak.g_02612	Prbb.g_00516
OG0000239	Syak.g_02628	Prbb.g_00528
OG0000240	Syak.g_02629	Prbb.g_00529
OG0000241	Syak.g_00027	Prbb.g_00533
OG0000242	Syak.g_02638	Prbb.g_00535
OG0000243	Syak.g_02658	Prbb.g_00546
OG0000244	Syak.g_02665	Prbb.g_00550
OG0000245	Syak.g_02667	Prbb.g_00552
OG0000246	Syak.g_02671	Prbb.g_00556
OG0000247	Syak.g_02681	Prbb.g_00566
OG0000248	Syak.g_02684	Prbb.g_00568
OG0000249	Syak.g_02686	Prbb.g_00570
OG0000250	Syak.g_02694	Prbb.g_00575
OG0000251	Syak.g_02722	Prbb.g_00591
OG0000252	Syak.g_02725	Prbb.g_00593
OG0000253	Syak.g_02727	Prbb.g_00595
OG0000254	Syak.g_02752	Prbb.g_00612
OG0000255	Syak.g_02772	Prbb.g_00618
OG0000256	Syak.g_00020	Prbb.g_00628
OG0000257	Syak.g_00026	Prbb.g_00631
OG0000258	Syak.g_00044	Prbb.g_00644
OG0000259	Syak.g_00334	Prbb.g_00661
OG0000260	Syak.g_00338	Prbb.g_00665
OG0000261	Syak.g_00348	Prbb.g_00668
OG0000262	Syak.g_00353	Prbb.g_00673
OG0000263	Syak.g_00828	Prbb.g_00686
OG0000264	Syak.g_00698	Prbb.g_00697, Prbb.g_00698
OG0000265	Syak.g_00211	Prbb.g_00713
OG0000266	Syak.g_00778	Prbb.g_00723
OG0000267	Syak.g_00555	Prbb.g_00736
OG0000268	Syak.g_00554	Prbb.g_00737
OG0000269	Syak.g_00429	Prbb.g_00778
OG0000270	Syak.g_00432	Prbb.g_00781
OG0000271	Syak.g_00440	Prbb.g_00789
OG0000272	Syak.g_00441	Prbb.g_00790
OG0000274	Syak.g_00615	Prbb.g_00815
OG0000275	Syak.g_00611	Prbb.g_00817
OG0000276	Syak.g_00604	Prbb.g_00823
OG0000277	Syak.g_00603	Prbb.g_00824
OG0000278	Syak.g_00600	Prbb.g_00828
OG0000279	Syak.g_00592	Prbb.g_00835
OG0000280	Syak.g_00582	Prbb.g_01370
OG0000281	Syak.g_00339	Prbb.g_00841
OG0000282	Syak.g_00375	Prbb.g_00934
OG0000283	Syak.g_00541	Prbb.g_00965
OG0000284	Syak.g_00536	Prbb.g_00970
OG0000285	Syak.g_00523	Prbb.g_00975
OG0000286	Syak.g_00504	Prbb.g_00990
OG0000287	Syak.g_00477	Prbb.g_00101
OG0000288	Syak.g_00644	Prbb.g_01039
OG0000289	Syak.g_00659	Prbb.g_01051
OG0000290	Syak.g_00738	Prbb.g_01067
OG0000291	Syak.g_00737	Prbb.g_01069
OG0000292	Syak.g_01802	Prbb.g_01238
OG0000293	Syak.g_00910	Prbb.g_01527
OG0000294	Syak.g_00909	Prbb.g_01526
OG0000295	Syak.g_00863	Prbb.g_01502
OG0000296	Syak.g_00861	Prbb.g_01500
OG0000297	Syak.g_00848	Prbb.g_01491
OG0000298	Syak.g_00847	Prbb.g_01490
OG0000299	Syak.g_00820	Prbb.g_01471
OG0000300	Syak.g_00813	Prbb.g_01468
OG0000301	Syak.g_00812	Prbb.g_01467
OG0000302	Syak.g_00811	Prbb.g_01464
OG0000303	Syak.g_00674	Prbb.g_01459
OG0000304	Syak.g_00680	Prbb.g_01456
OG0000305	Syak.g_00732	Prbb.g_01789
OG0000306	Syak.g_00094	Prbb.g_00845
OG0000307	Syak.g_02556	Prbb.g_01648
OG0000308	Syak.g_02554	Prbb.g_01649
OG0000309	Syak.g_02549	Prbb.g_01653
OG0000310	Syak.g_00994	Prbb.g_01671
OG0000311	Syak.g_00999	Prbb.g_01673
OG0000312	Syak.g_01028	Prbb.g_01676
OG0000313	Syak.g_01046	Prbb.g_01690
OG0000314	Syak.g_01079	Prbb.g_01711
OG0000315	Syak.g_01090	Prbb.g_01721
OG0000316	Syak.g_02462	Prbb.g_01746
OG0000317	Syak.g_02419	Prbb.g_01821
OG0000318	Syak.g_02415	Prbb.g_01824
OG0000319	Syak.g_02399	Prbb.g_01835
OG0000320	Syak.g_02397	Prbb.g_01837
OG0000321	Syak.g_02396	Prbb.g_01838
OG0000322	Syak.g_02395	Prbb.g_01839
OG0000323	Syak.g_02380	Prbb.g_01848
OG0000324	Syak.g_02347	Prbb.g_01875
OG0000325	Syak.g_01391	Prbb.g_01924
OG0000326	Syak.g_01384	Prbb.g_01930
OG0000327	Syak.g_01350	Prbb.g_01959
OG0000328	Syak.g_01349	Prbb.g_01960
OG0000329	Syak.g_01331	Prbb.g_01977
OG0000330	Syak.g_01330	Prbb.g_01978
OG0000331	Syak.g_01329	Prbb.g_01979
OG0000332	Syak.g_01314	Prbb.g_01993
OG0000333	Syak.g_01311	Prbb.g_01995
OG0000334	Syak.g_01302	Prbb.g_02004
OG0000335	Syak.g_01298	Prbb.g_02009
OG0000336	Syak.g_01294	Prbb.g_02013
OG0000337	Syak.g_01555	Prbb.g_02031
OG0000338	Syak.g_01558	Prbb.g_02032
OG0000339	Syak.g_01566	Prbb.g_02037
OG0000340	Syak.g_01626	Prbb.g_02046
OG0000341	Syak.g_01628	Prbb.g_02048
OG0000342	Syak.g_01629	Prbb.g_02049
OG0000343	Syak.g_01631	Prbb.g_02050
OG0000344	Syak.g_01635	Prbb.g_02053
OG0000345	Syak.g_01645	Prbb.g_02058
OG0000346	Syak.g_01651	Prbb.g_02062
OG0000347	Syak.g_01694	Prbb.g_02082
OG0000348	Syak.g_01717	Prbb.g_02104
OG0000349	Syak.g_01740	Prbb.g_02122
OG0000350	Syak.g_01377	Prbb.g_02143
OG0000351	Syak.g_01823	Prbb.g_02168
OG0000352	Syak.g_01822	Prbb.g_02169
OG0000353	Syak.g_01796	Prbb.g_02188
OG0000355	Syak.g_01793	Prbb.g_00001
OG0000356	Syak.g_01792	Prbb.g_00002
OG0000357	Syak.g_01791	Prbb.g_00003
OG0000358	Syak.g_01787	Prbb.g_00008
OG0000359	Syak.g_01785	Prbb.g_00009
OG0000360	Syak.g_01784	Prbb.g_00010
OG0000361	Syak.g_01783	Prbb.g_00011
OG0000362	Syak.g_01781	Prbb.g_00013
OG0000363	Syak.g_01779	Prbb.g_00015
OG0000364	Syak.g_01778	Prbb.g_00016
OG0000365	Syak.g_01769	Prbb.g_00021
OG0000366	Syak.g_01768	Prbb.g_00022
OG0000367	Syak.g_01767	Prbb.g_00023
OG0000368	Syak.g_01765	Prbb.g_00025
OG0000369	Syak.g_01764	Prbb.g_00026
OG0000370	Syak.g_01763	Prbb.g_00027
OG0000371	Syak.g_01753	Prbb.g_00033
OG0000372	Syak.g_01748	Prbb.g_00035
OG0000373	Syak.g_01747	Prbb.g_00036
OG0000374	Syak.g_01746	Prbb.g_00037
OG0000375	Syak.g_01744	Prbb.g_00055
OG0000376	Syak.g_01742	Prbb.g_00057
OG0000377	Syak.g_01948	Prbb.g_00060
OG0000378	Syak.g_01968	Prbb.g_00062
OG0000379	Syak.g_01972	Prbb.g_00065
OG0000380	Syak.g_02256	Prbb.g_00121
OG0000381	Syak.g_02254	Prbb.g_00125
OG0000382	Syak.g_02236	Prbb.g_00136
OG0000383	Syak.g_02229	Prbb.g_00138
OG0000384	Syak.g_02228	Prbb.g_00139
OG0000385	Syak.g_02227	Prbb.g_00140
OG0000386	Syak.g_02226	Prbb.g_00141
OG0000387	Syak.g_02200	Prbb.g_00154
OG0000388	Syak.g_02196	Prbb.g_00158
OG0000389	Syak.g_02345, Syak.g_02193	Prbb.g_00161
OG0000390	Syak.g_02177	Prbb.g_00170
OG0000391	Syak.g_02172	Prbb.g_00174
OG0000392	Syak.g_02166	Prbb.g_00177
OG0000393	Syak.g_02163	Prbb.g_00180
OG0000394	Syak.g_02162	Prbb.g_00181
OG0000395	Syak.g_02161	Prbb.g_00182
OG0000396	Syak.g_02158	Prbb.g_00185
OG0000397	Syak.g_02156	Prbb.g_00187
OG0000398	Syak.g_02151	Prbb.g_00190
OG0000399	Syak.g_02150	Prbb.g_00191
OG0000400	Syak.g_02149	Prbb.g_00192
OG0000401	Syak.g_02148	Prbb.g_00193
OG0000402	Syak.g_02146	Prbb.g_01101
OG0000403	Syak.g_02145	Prbb.g_00194
OG0000404	Syak.g_02143	Prbb.g_00195
OG0000405	Syak.g_02131	Prbb.g_00200
OG0000406	Syak.g_02126	Prbb.g_00204
OG0000407	Syak.g_02125	Prbb.g_00205
OG0000408	Syak.g_02123	Prbb.g_00207
OG0000409	Syak.g_02121	Prbb.g_00209
OG0000410	Syak.g_02120	Prbb.g_00210
OG0000411	Syak.g_02119	Prbb.g_00211
OG0000412	Syak.g_02118	Prbb.g_00212
OG0000413	Syak.g_02116	Prbb.g_00213
OG0000415	Syak.g_02114	Prbb.g_00215
OG0000416	Syak.g_02113	Prbb.g_00216
OG0000417	Syak.g_02112	Prbb.g_00217
OG0000418	Syak.g_02107	Prbb.g_00222
OG0000419	Syak.g_02105	Prbb.g_00224
OG0000420	Syak.g_02103	Prbb.g_00225
OG0000421	Syak.g_02097	Prbb.g_00229
OG0000422	Syak.g_02096	Prbb.g_00230
OG0000423	Syak.g_02095	Prbb.g_00231
OG0000424	Syak.g_02094	Prbb.g_00232
OG0000425	Syak.g_02093	Prbb.g_00233
OG0000426	Syak.g_02092	Prbb.g_00234
OG0000427	Syak.g_02091	Prbb.g_00235
OG0000428	Syak.g_02088	Prbb.g_00237
OG0000429	Syak.g_02086	Prbb.g_00238
OG0000430	Syak.g_02084	Prbb.g_00239
OG0000431	Syak.g_02081	Prbb.g_00241
OG0000432	Syak.g_02075	Prbb.g_00245
OG0000433	Syak.g_02073	Prbb.g_00246
OG0000434	Syak.g_02072	Prbb.g_00247
OG0000435	Syak.g_02071	Prbb.g_00248
OG0000436	Syak.g_02064	Prbb.g_00253
OG0000437	Syak.g_02063	Prbb.g_00254
OG0000438	Syak.g_02062	Prbb.g_00255
OG0000439	Syak.g_02060	Prbb.g_00257
OG0000440	Syak.g_02059	Prbb.g_00258
OG0000441	Syak.g_02053	Prbb.g_00260
OG0000442	Syak.g_02043	Prbb.g_00261
OG0000443	Syak.g_02041	Prbb.g_00262
OG0000444	Syak.g_02022	Prbb.g_00267
OG0000445	Syak.g_02015	Prbb.g_00268
OG0000446	Syak.g_02013	Prbb.g_00269
OG0000447	Syak.g_02006	Prbb.g_00270
OG0000448	Syak.g_02005	Prbb.g_00271
OG0000449	Syak.g_02004	Prbb.g_00272
OG0000450	Syak.g_01998	Prbb.g_00273
OG0000451	Syak.g_01997	Prbb.g_00274
OG0000452	Syak.g_01993	Prbb.g_00277
OG0000453	Syak.g_01992	Prbb.g_00278
OG0000454	Syak.g_01991	Prbb.g_00279
OG0000455	Syak.g_01990	Prbb.g_00280
OG0000456	Syak.g_01989	Prbb.g_00281
OG0000457	Syak.g_01987	Prbb.g_00282
OG0000458	Syak.g_01986	Prbb.g_00283
OG0000459	Syak.g_01985	Prbb.g_00284
OG0000460	Syak.g_02303	Prbb.g_00292
OG0000461	Syak.g_01402	Prbb.g_00300
OG0000462	Syak.g_01405	Prbb.g_00302
OG0000463	Syak.g_01406	Prbb.g_00303
OG0000464	Syak.g_01407	Prbb.g_00304
OG0000465	Syak.g_01409	Prbb.g_00305
OG0000466	Syak.g_01414	Prbb.g_00306
OG0000467	Syak.g_01416	Prbb.g_00307
OG0000468	Syak.g_01421	Prbb.g_00309
OG0000469	Syak.g_01436	Prbb.g_00316
OG0000470	Syak.g_01438	Prbb.g_00318
OG0000471	Syak.g_01439	Prbb.g_00319
OG0000472	Syak.g_01441	Prbb.g_00320
OG0000473	Syak.g_01443	Prbb.g_00322
OG0000474	Syak.g_01444	Prbb.g_00323
OG0000475	Syak.g_01445	Prbb.g_00324
OG0000476	Syak.g_01447	Prbb.g_00326
OG0000477	Syak.g_01453	Prbb.g_00328
OG0000478	Syak.g_01454	Prbb.g_00329
OG0000479	Syak.g_01455	Prbb.g_00330
OG0000480	Syak.g_01462	Prbb.g_00334
OG0000481	Syak.g_01464	Prbb.g_00336
OG0000482	Syak.g_01465	Prbb.g_00337
OG0000483	Syak.g_01469	Prbb.g_00340
OG0000484	Syak.g_01470	Prbb.g_00341
OG0000485	Syak.g_01472	Prbb.g_00342
OG0000486	Syak.g_01473	Prbb.g_00343
OG0000487	Syak.g_01479	Prbb.g_00346
OG0000488	Syak.g_01483	Prbb.g_00349
OG0000489	Syak.g_01499	Prbb.g_00354
OG0000490	Syak.g_01507	Prbb.g_00359
OG0000491	Syak.g_01511	Prbb.g_00360
OG0000492	Syak.g_01513	Prbb.g_00362
OG0000493	Syak.g_01514	Prbb.g_00363
OG0000494	Syak.g_01515	Prbb.g_00364
OG0000495	Syak.g_01516	Prbb.g_00365
OG0000496	Syak.g_01517	Prbb.g_00366
OG0000497	Syak.g_01518	Prbb.g_00367
OG0000498	Syak.g_01519	Prbb.g_00368
OG0000499	Syak.g_01520	Prbb.g_00369
OG0000500	Syak.g_01521	Prbb.g_00370
OG0000501	Syak.g_01524	Prbb.g_00372
OG0000502	Syak.g_01538	Prbb.g_00375
OG0000503	Syak.g_01246	Prbb.g_00394
OG0000504	Syak.g_01244	Prbb.g_00396
OG0000505	Syak.g_01243	Prbb.g_00397
OG0000506	Syak.g_01241	Prbb.g_00398
OG0000507	Syak.g_01235	Prbb.g_00401
OG0000508	Syak.g_01231	Prbb.g_00404
OG0000509	Syak.g_01229	Prbb.g_00406
OG0000510	Syak.g_01228	Prbb.g_00407
OG0000511	Syak.g_01227	Prbb.g_00408
OG0000512	Syak.g_01225	Prbb.g_00410
OG0000513	Syak.g_01211	Prbb.g_00419
OG0000514	Syak.g_01204	Prbb.g_00436
OG0000515	Syak.g_01203	Prbb.g_00437
OG0000516	Syak.g_01199	Prbb.g_00438
OG0000517	Syak.g_01192	Prbb.g_00440
OG0000518	Syak.g_01180	Prbb.g_00451
OG0000519	Syak.g_01179	Prbb.g_00452
OG0000520	Syak.g_01178	Prbb.g_00453
OG0000521	Syak.g_01167	Prbb.g_00458
OG0000522	Syak.g_01163	Prbb.g_00460
OG0000523	Syak.g_01162	Prbb.g_00461
OG0000524	Syak.g_01149	Prbb.g_00468
OG0000525	Syak.g_01130	Prbb.g_00472
OG0000526	Syak.g_01127	Prbb.g_00473
OG0000527	Syak.g_01120	Prbb.g_00476
OG0000528	Syak.g_02570	Prbb.g_00482
OG0000529	Syak.g_02575	Prbb.g_00486
OG0000530	Syak.g_02578	Prbb.g_00489
OG0000531	Syak.g_02579	Prbb.g_00490
OG0000532	Syak.g_02582	Prbb.g_00491
OG0000533	Syak.g_02584	Prbb.g_00492
OG0000534	Syak.g_02585	Prbb.g_00493
OG0000535	Syak.g_02586	Prbb.g_00494
OG0000536	Syak.g_02587	Prbb.g_00495
OG0000537	Syak.g_02588	Prbb.g_00496
OG0000538	Syak.g_02600	Prbb.g_00504
OG0000539	Syak.g_02601	Prbb.g_00505
OG0000540	Syak.g_02602	Prbb.g_00506
OG0000541	Syak.g_02603	Prbb.g_00507
OG0000542	Syak.g_02606	Prbb.g_00509
OG0000543	Syak.g_02608	Prbb.g_00511
OG0000544	Syak.g_02609	Prbb.g_00512
OG0000545	Syak.g_02611	Prbb.g_00514
OG0000546	Syak.g_02613	Prbb.g_00517
OG0000547	Syak.g_02615	Prbb.g_00519
OG0000548	Syak.g_02616	Prbb.g_00520
OG0000549	Syak.g_02622	Prbb.g_00523
OG0000550	Syak.g_02626	Prbb.g_00527
OG0000551	Syak.g_02631	Prbb.g_00530
OG0000552	Syak.g_02632	Prbb.g_00531
OG0000553	Syak.g_02636	Prbb.g_00532
OG0000554	Syak.g_02641	Prbb.g_00537
OG0000555	Syak.g_02657	Prbb.g_00545
OG0000556	Syak.g_02661	Prbb.g_00547
OG0000557	Syak.g_02663	Prbb.g_00548
OG0000558	Syak.g_02666	Prbb.g_00551
OG0000559	Syak.g_02670	Prbb.g_00555
OG0000560	Syak.g_02672	Prbb.g_00558
OG0000561	Syak.g_02673	Prbb.g_00559
OG0000562	Syak.g_02674	Prbb.g_00560
OG0000563	Syak.g_02675	Prbb.g_00561
OG0000564	Syak.g_02676	Prbb.g_00562
OG0000565	Syak.g_02679	Prbb.g_00565
