Orthogroup	Syak	Prak
OG0000136	Syak.g_01186	Prak.g_00403
OG0000137	Syak.g_01118	Prak.g_00436
OG0000138	Syak.g_02591	Prak.g_00456
OG0000139	Syak.g_02646	Prak.g_00496
OG0000140	Syak.g_02650	Prak.g_00497
OG0000141	Syak.g_02746	Prak.g_00569
OG0000142	Syak.g_00035	Prak.g_01108
OG0000143	Syak.g_00039	Prak.g_01104
OG0000144	Syak.g_00260	Prak.g_01090
OG0000145	Syak.g_02598	Prak.g_01261
OG0000146	Syak.g_00514	Prak.g_00607
OG0000147	Syak.g_00515	Prak.g_00606
OG0000148	Syak.g_00455	Prak.g_00862
OG0000149	Syak.g_00596	Prak.g_00894
OG0000150	Syak.g_02747	Prak.g_00904
OG0000151	Syak.g_00387	Prak.g_00780
OG0000152	Syak.g_00503	Prak.g_00973
OG0000153	Syak.g_00470	Prak.g_00992
OG0000154	Syak.g_00645	Prak.g_01012
OG0000155	Syak.g_00855	Prak.g_01151
OG0000156	Syak.g_00919	Prak.g_01266
OG0000157	Syak.g_00920	Prak.g_01267
OG0000158	Syak.g_01624	Prak.g_01824
OG0000160	Syak.g_01043	Prak.g_01392
OG0000161	Syak.g_01050	Prak.g_01398
OG0000162	Syak.g_01058	Prak.g_01404
OG0000163	Syak.g_02478	Prak.g_01443
OG0000164	Syak.g_02384	Prak.g_01669
OG0000165	Syak.g_02374	Prak.g_01676
OG0000166	Syak.g_01345	Prak.g_01743
OG0000167	Syak.g_01561	Prak.g_01814
OG0000168	Syak.g_01625	Prak.g_01825
OG0000169	Syak.g_01637	Prak.g_01835
OG0000170	Syak.g_01644	Prak.g_01838
OG0000171	Syak.g_01691	Prak.g_01858
OG0000172	Syak.g_01713	Prak.g_01865
OG0000173	Syak.g_01733	Prak.g_01880
OG0000174	Syak.g_01895	Prak.g_01910
OG0000175	Syak.g_01827	Prak.g_01923
OG0000176	Syak.g_01790	Prak.g_00004
OG0000177	Syak.g_01789	Prak.g_00005
OG0000178	Syak.g_01788	Prak.g_00006
OG0000179	Syak.g_01773	Prak.g_00016
OG0000180	Syak.g_01772	Prak.g_00017
OG0000181	Syak.g_01771	Prak.g_00018
OG0000182	Syak.g_01770	Prak.g_00019
OG0000183	Syak.g_01766	Prak.g_00023
OG0000184	Syak.g_01955	Prak.g_00049
OG0000185	Syak.g_01971	Prak.g_00052
OG0000186	Syak.g_02258	Prak.g_00068
OG0000187	Syak.g_02257	Prak.g_00069
OG0000188	Syak.g_02235	Prak.g_00086
OG0000189	Syak.g_02203	Prak.g_00100
OG0000190	Syak.g_01575	Prak.g_00102
OG0000191	Syak.g_02171	Prak.g_00125
OG0000192	Syak.g_02165	Prak.g_00130
OG0000193	Syak.g_02127	Prak.g_00157
OG0000194	Syak.g_02124	Prak.g_00160
OG0000195	Syak.g_02122	Prak.g_00162
OG0000196	Syak.g_02111	Prak.g_00173
OG0000197	Syak.g_02110	Prak.g_00174
OG0000198	Syak.g_02109	Prak.g_00175
OG0000199	Syak.g_02100	Prak.g_00182
OG0000200	Syak.g_02083	Prak.g_00196
OG0000201	Syak.g_02068	Prak.g_00205
OG0000202	Syak.g_02067	Prak.g_00206
OG0000203	Syak.g_02066	Prak.g_00207
OG0000204	Syak.g_02065	Prak.g_00208
OG0000205	Syak.g_02058	Prak.g_00215
OG0000206	Syak.g_02038	Prak.g_00220
OG0000207	Syak.g_02025	Prak.g_00223
OG0000208	Syak.g_02024	Prak.g_00224
OG0000209	Syak.g_01995	Prak.g_00233
OG0000210	Syak.g_01994	Prak.g_00234
OG0000211	Syak.g_02300, Syak.g_02017	Prak.g_00249
OG0000212	Syak.g_02311	Prak.g_00257
OG0000213	Syak.g_01425	Prak.g_00275
OG0000214	Syak.g_01442	Prak.g_00285
OG0000215	Syak.g_01474	Prak.g_00312
OG0000216	Syak.g_01478	Prak.g_00313
OG0000217	Syak.g_01482	Prak.g_00316
OG0000218	Syak.g_01484	Prak.g_00318
OG0000219	Syak.g_01485	Prak.g_00319
OG0000220	Syak.g_01486	Prak.g_00320
OG0000221	Syak.g_01498	Prak.g_00321
OG0000222	Syak.g_01512	Prak.g_00328
OG0000223	Syak.g_01531	Prak.g_00340
OG0000224	Syak.g_01532	Prak.g_00342
OG0000225	Syak.g_01230	Prak.g_00368
OG0000226	Syak.g_01226	Prak.g_00372
OG0000227	Syak.g_01224	Prak.g_00374
OG0000228	Syak.g_01216	Prak.g_00378
OG0000229	Syak.g_01191	Prak.g_00398
OG0000230	Syak.g_01189	Prak.g_00400
OG0000231	Syak.g_01176	Prak.g_00411
OG0000232	Syak.g_01156	Prak.g_00422
OG0000233	Syak.g_01145	Prak.g_00428
OG0000234	Syak.g_01116	Prak.g_00437
OG0000235	Syak.g_02573	Prak.g_00440
OG0000236	Syak.g_02589	Prak.g_00454
OG0000237	Syak.g_02607	Prak.g_00467
OG0000238	Syak.g_02612	Prak.g_00473
OG0000239	Syak.g_02628	Prak.g_00484
OG0000240	Syak.g_02629	Prak.g_00485
OG0000241	Syak.g_00027	Prak.g_00489
OG0000242	Syak.g_02638	Prak.g_00491
OG0000243	Syak.g_02658	Prak.g_00502
OG0000244	Syak.g_02665	Prak.g_00506
OG0000245	Syak.g_02667	Prak.g_00508
OG0000246	Syak.g_02671	Prak.g_00512
OG0000247	Syak.g_02681	Prak.g_00522
OG0000248	Syak.g_02684	Prak.g_00525
OG0000249	Syak.g_02686	Prak.g_00527
OG0000250	Syak.g_02694	Prak.g_00532
OG0000251	Syak.g_02722	Prak.g_00552
OG0000252	Syak.g_02725	Prak.g_00555
OG0000253	Syak.g_02727	Prak.g_00556
OG0000254	Syak.g_02752	Prak.g_00573
OG0000255	Syak.g_02772	Prak.g_00579
OG0000256	Syak.g_00020	Prak.g_00589
OG0000257	Syak.g_00026	Prak.g_01113
OG0000258	Syak.g_00044	Prak.g_01099
OG0000259	Syak.g_00334	Prak.g_01082
OG0000260	Syak.g_00338	Prak.g_01079
OG0000261	Syak.g_00348	Prak.g_01076
OG0000262	Syak.g_00353	Prak.g_01072
OG0000263	Syak.g_00828	Prak.g_00808
OG0000264	Syak.g_00698	Prak.g_00819
OG0000265	Syak.g_00211	Prak.g_00837
OG0000266	Syak.g_00778	Prak.g_01053
OG0000267	Syak.g_00555	Prak.g_01041
OG0000268	Syak.g_00554	Prak.g_01040
OG0000269	Syak.g_00429	Prak.g_00840
OG0000270	Syak.g_00432	Prak.g_00843
OG0000271	Syak.g_00440	Prak.g_00851
OG0000272	Syak.g_00441	Prak.g_00852
OG0000274	Syak.g_00615	Prak.g_00877
OG0000275	Syak.g_00611	Prak.g_00880
OG0000276	Syak.g_00604	Prak.g_00886
OG0000277	Syak.g_00603	Prak.g_00887
OG0000278	Syak.g_00600	Prak.g_00890
OG0000279	Syak.g_00592	Prak.g_00897
OG0000280	Syak.g_00582	Prak.g_00898
OG0000281	Syak.g_00339	Prak.g_00905
OG0000282	Syak.g_00375	Prak.g_00772
OG0000283	Syak.g_00541	Prak.g_00949
OG0000284	Syak.g_00536	Prak.g_00954
OG0000285	Syak.g_00523	Prak.g_00959
OG0000286	Syak.g_00504	Prak.g_00972
OG0000287	Syak.g_00477	Prak.g_01238
OG0000288	Syak.g_00644	Prak.g_01011
OG0000289	Syak.g_00659	Prak.g_01027
OG0000290	Syak.g_00738	Prak.g_00923
OG0000291	Syak.g_00737	Prak.g_00921
OG0000292	Syak.g_01802	Prak.g_01217
OG0000293	Syak.g_00910	Prak.g_01182
OG0000294	Syak.g_00909	Prak.g_01181
OG0000295	Syak.g_00863	Prak.g_01158
OG0000296	Syak.g_00861	Prak.g_01156
OG0000297	Syak.g_00848	Prak.g_01147
OG0000298	Syak.g_00847	Prak.g_01146
OG0000299	Syak.g_00820	Prak.g_01127
OG0000300	Syak.g_00813	Prak.g_01124
OG0000301	Syak.g_00812	Prak.g_01123
OG0000302	Syak.g_00811	Prak.g_01121
OG0000303	Syak.g_00674	Prak.g_01115
OG0000304	Syak.g_00680	Prak.g_00594
OG0000305	Syak.g_00732	Prak.g_01215
OG0000306	Syak.g_00094	Prak.g_00909
OG0000307	Syak.g_02556	Prak.g_01338
OG0000308	Syak.g_02554	Prak.g_01339
OG0000309	Syak.g_02549	Prak.g_01343
OG0000310	Syak.g_00994	Prak.g_01377
OG0000311	Syak.g_00999	Prak.g_01379
OG0000312	Syak.g_01028	Prak.g_01382
OG0000313	Syak.g_01046	Prak.g_01395
OG0000314	Syak.g_01079	Prak.g_01418
OG0000315	Syak.g_01090	Prak.g_01428
OG0000316	Syak.g_02462	Prak.g_01453
OG0000317	Syak.g_02419	Prak.g_01642
OG0000318	Syak.g_02415	Prak.g_01646
OG0000319	Syak.g_02399	Prak.g_01659
OG0000320	Syak.g_02397	Prak.g_01661
OG0000321	Syak.g_02396	Prak.g_01662
OG0000322	Syak.g_02395	Prak.g_01663
OG0000323	Syak.g_02380	Prak.g_01672
OG0000324	Syak.g_02347	Prak.g_01699
OG0000325	Syak.g_01391	Prak.g_01710
OG0000326	Syak.g_01384	Prak.g_01717
OG0000327	Syak.g_01350	Prak.g_01738
OG0000328	Syak.g_01349	Prak.g_01739
OG0000329	Syak.g_01331	Prak.g_01756
OG0000330	Syak.g_01330	Prak.g_01757
OG0000331	Syak.g_01329	Prak.g_01758
OG0000332	Syak.g_01314	Prak.g_01772
OG0000333	Syak.g_01311	Prak.g_01774
OG0000334	Syak.g_01302	Prak.g_01783
OG0000335	Syak.g_01298	Prak.g_01788
OG0000336	Syak.g_01294	Prak.g_01792
OG0000337	Syak.g_01555	Prak.g_01810
OG0000338	Syak.g_01558	Prak.g_01811
OG0000339	Syak.g_01566	Prak.g_01817
OG0000340	Syak.g_01626	Prak.g_01826
OG0000341	Syak.g_01628	Prak.g_01828
OG0000342	Syak.g_01629	Prak.g_01829
OG0000343	Syak.g_01631	Prak.g_01830
OG0000344	Syak.g_01635	Prak.g_01833
OG0000345	Syak.g_01645	Prak.g_01839
OG0000346	Syak.g_01651	Prak.g_01843
OG0000347	Syak.g_01694	Prak.g_01860
OG0000348	Syak.g_01717	Prak.g_01868
OG0000349	Syak.g_01740	Prak.g_01886
OG0000350	Syak.g_01377	Prak.g_00656
OG0000351	Syak.g_01823	Prak.g_01926
OG0000352	Syak.g_01822	Prak.g_01927
OG0000353	Syak.g_01796	Prak.g_01944
OG0000355	Syak.g_01793	Prak.g_00001
OG0000356	Syak.g_01792	Prak.g_00002
OG0000357	Syak.g_01791	Prak.g_00003
OG0000358	Syak.g_01787	Prak.g_00007
OG0000359	Syak.g_01785	Prak.g_00008
OG0000360	Syak.g_01784	Prak.g_00009
OG0000361	Syak.g_01783	Prak.g_00010
OG0000362	Syak.g_01781	Prak.g_00012
OG0000363	Syak.g_01779	Prak.g_00014
OG0000364	Syak.g_01778	Prak.g_00015
OG0000365	Syak.g_01769	Prak.g_00020
OG0000366	Syak.g_01768	Prak.g_00021
OG0000367	Syak.g_01767	Prak.g_00022
OG0000368	Syak.g_01765	Prak.g_00024
OG0000369	Syak.g_01764	Prak.g_00025
OG0000370	Syak.g_01763	Prak.g_00026
OG0000371	Syak.g_01753	Prak.g_00033
OG0000372	Syak.g_01748	Prak.g_00036
OG0000373	Syak.g_01747	Prak.g_00037
OG0000374	Syak.g_01746	Prak.g_00038
OG0000375	Syak.g_01744	Prak.g_00040
OG0000376	Syak.g_01742	Prak.g_00042
OG0000377	Syak.g_01948	Prak.g_00046
OG0000378	Syak.g_01968	Prak.g_00050
OG0000379	Syak.g_01972	Prak.g_00053
OG0000380	Syak.g_02256	Prak.g_00070
OG0000381	Syak.g_02254	Prak.g_00075
OG0000382	Syak.g_02236	Prak.g_00085
OG0000383	Syak.g_02229	Prak.g_00087
OG0000384	Syak.g_02228	Prak.g_00088
OG0000385	Syak.g_02227	Prak.g_00089
OG0000386	Syak.g_02226	Prak.g_00090
OG0000387	Syak.g_02200	Prak.g_00104
OG0000388	Syak.g_02196	Prak.g_00108
OG0000389	Syak.g_02345, Syak.g_02193	Prak.g_00111
OG0000390	Syak.g_02177	Prak.g_00121
OG0000391	Syak.g_02172	Prak.g_00124
OG0000392	Syak.g_02166	Prak.g_00128
OG0000393	Syak.g_02163	Prak.g_00131
OG0000394	Syak.g_02162	Prak.g_00132
OG0000395	Syak.g_02161	Prak.g_00133
OG0000396	Syak.g_02158	Prak.g_00135
OG0000397	Syak.g_02156	Prak.g_00137
OG0000398	Syak.g_02151	Prak.g_00140
OG0000399	Syak.g_02150	Prak.g_00141
OG0000400	Syak.g_02149	Prak.g_00142
OG0000401	Syak.g_02148	Prak.g_00143
OG0000402	Syak.g_02146	Prak.g_01035
OG0000403	Syak.g_02145	Prak.g_00145
OG0000404	Syak.g_02143	Prak.g_00146
OG0000405	Syak.g_02131	Prak.g_00150
OG0000406	Syak.g_02126	Prak.g_00158
OG0000407	Syak.g_02125	Prak.g_00159
OG0000408	Syak.g_02123	Prak.g_00161
OG0000409	Syak.g_02121	Prak.g_00163
OG0000410	Syak.g_02120	Prak.g_00164
OG0000411	Syak.g_02119	Prak.g_00165
OG0000412	Syak.g_02118	Prak.g_00166
OG0000413	Syak.g_02116	Prak.g_00168
OG0000415	Syak.g_02114	Prak.g_00170
OG0000416	Syak.g_02113	Prak.g_00171
OG0000417	Syak.g_02112	Prak.g_00172
OG0000418	Syak.g_02107	Prak.g_00177
OG0000419	Syak.g_02105	Prak.g_00179
OG0000420	Syak.g_02103	Prak.g_00180
OG0000421	Syak.g_02097	Prak.g_00185
OG0000422	Syak.g_02096	Prak.g_00186
OG0000423	Syak.g_02095	Prak.g_00187
OG0000424	Syak.g_02094	Prak.g_00188
OG0000425	Syak.g_02093	Prak.g_00189
OG0000426	Syak.g_02092	Prak.g_00190
OG0000427	Syak.g_02091	Prak.g_00191
OG0000428	Syak.g_02088	Prak.g_00193
OG0000429	Syak.g_02086	Prak.g_00194
OG0000430	Syak.g_02084	Prak.g_00195
OG0000431	Syak.g_02081	Prak.g_00197
OG0000432	Syak.g_02075	Prak.g_00201
OG0000433	Syak.g_02073	Prak.g_00202
OG0000434	Syak.g_02072	Prak.g_00203
OG0000435	Syak.g_02071	Prak.g_00204
OG0000436	Syak.g_02064	Prak.g_00209
OG0000437	Syak.g_02063	Prak.g_00210
OG0000438	Syak.g_02062	Prak.g_00211
OG0000439	Syak.g_02060	Prak.g_00213
OG0000440	Syak.g_02059	Prak.g_00214
OG0000441	Syak.g_02053	Prak.g_00217
OG0000442	Syak.g_02043	Prak.g_00218
OG0000443	Syak.g_02041	Prak.g_00219
OG0000444	Syak.g_02022	Prak.g_00225
OG0000445	Syak.g_02015	Prak.g_00226
OG0000446	Syak.g_02013	Prak.g_00227
OG0000447	Syak.g_02006	Prak.g_00228
OG0000448	Syak.g_02005	Prak.g_00229
OG0000449	Syak.g_02004	Prak.g_00230
OG0000450	Syak.g_01998	Prak.g_00231
OG0000451	Syak.g_01997	Prak.g_00232
OG0000452	Syak.g_01993	Prak.g_00235
OG0000453	Syak.g_01992	Prak.g_00236
OG0000454	Syak.g_01991	Prak.g_00237
OG0000455	Syak.g_01990	Prak.g_00238
OG0000456	Syak.g_01989	Prak.g_00239
OG0000457	Syak.g_01987	Prak.g_00241
OG0000458	Syak.g_01986	Prak.g_00242
OG0000459	Syak.g_01985	Prak.g_00243
OG0000460	Syak.g_02303	Prak.g_00251
OG0000461	Syak.g_01402	Prak.g_00259
OG0000462	Syak.g_01405	Prak.g_00261
OG0000463	Syak.g_01406	Prak.g_00262
OG0000464	Syak.g_01407	Prak.g_00263
OG0000465	Syak.g_01409	Prak.g_00264
OG0000466	Syak.g_01414	Prak.g_00267
OG0000467	Syak.g_01416	Prak.g_00268
OG0000468	Syak.g_01421	Prak.g_00271
OG0000469	Syak.g_01436	Prak.g_00279
OG0000470	Syak.g_01438	Prak.g_00281
OG0000471	Syak.g_01439	Prak.g_00282
OG0000472	Syak.g_01441	Prak.g_00284
OG0000473	Syak.g_01443	Prak.g_00286
OG0000474	Syak.g_01444	Prak.g_00287
OG0000475	Syak.g_01445	Prak.g_00288
OG0000476	Syak.g_01447	Prak.g_00290
OG0000477	Syak.g_01453	Prak.g_00293
OG0000478	Syak.g_01454	Prak.g_00294
OG0000479	Syak.g_01455	Prak.g_00295
OG0000480	Syak.g_01462	Prak.g_00300
OG0000481	Syak.g_01464	Prak.g_00303
OG0000482	Syak.g_01465	Prak.g_00304
OG0000483	Syak.g_01469	Prak.g_00307
OG0000484	Syak.g_01470	Prak.g_00308
OG0000485	Syak.g_01472	Prak.g_00310
OG0000486	Syak.g_01473	Prak.g_00311
OG0000487	Syak.g_01479	Prak.g_00314
OG0000488	Syak.g_01483	Prak.g_00317
OG0000489	Syak.g_01499	Prak.g_00322
OG0000490	Syak.g_01507	Prak.g_00326
OG0000491	Syak.g_01511	Prak.g_00327
OG0000492	Syak.g_01513	Prak.g_00329
OG0000493	Syak.g_01514	Prak.g_00330
OG0000494	Syak.g_01515	Prak.g_00331
OG0000495	Syak.g_01516	Prak.g_00332
OG0000496	Syak.g_01517	Prak.g_00333
OG0000497	Syak.g_01518	Prak.g_00334
OG0000498	Syak.g_01519	Prak.g_00335
OG0000499	Syak.g_01520	Prak.g_00336
OG0000500	Syak.g_01521	Prak.g_00337
OG0000501	Syak.g_01524	Prak.g_00338
OG0000502	Syak.g_01538	Prak.g_00341
OG0000503	Syak.g_01246	Prak.g_00356
OG0000504	Syak.g_01244	Prak.g_00358
OG0000505	Syak.g_01243	Prak.g_00359
OG0000506	Syak.g_01241	Prak.g_00360
OG0000507	Syak.g_01235	Prak.g_00363
OG0000508	Syak.g_01231	Prak.g_00367
OG0000509	Syak.g_01229	Prak.g_00369
OG0000510	Syak.g_01228	Prak.g_00370
OG0000511	Syak.g_01227	Prak.g_00371
OG0000512	Syak.g_01225	Prak.g_00373
OG0000513	Syak.g_01211	Prak.g_00382
OG0000514	Syak.g_01204	Prak.g_00393
OG0000515	Syak.g_01203	Prak.g_00394
OG0000516	Syak.g_01199	Prak.g_00395
OG0000517	Syak.g_01192	Prak.g_00397
OG0000518	Syak.g_01180	Prak.g_00408
OG0000519	Syak.g_01179	Prak.g_00409
OG0000520	Syak.g_01178	Prak.g_00410
OG0000521	Syak.g_01167	Prak.g_00418
OG0000522	Syak.g_01163	Prak.g_00420
OG0000523	Syak.g_01162	Prak.g_00421
OG0000524	Syak.g_01149	Prak.g_00426
OG0000525	Syak.g_01130	Prak.g_00430
OG0000526	Syak.g_01127	Prak.g_00431
OG0000527	Syak.g_01120	Prak.g_00434
OG0000528	Syak.g_02570	Prak.g_00439
OG0000529	Syak.g_02575	Prak.g_00442
OG0000530	Syak.g_02578	Prak.g_00445
OG0000531	Syak.g_02579	Prak.g_00446
OG0000532	Syak.g_02582	Prak.g_00448
OG0000533	Syak.g_02584	Prak.g_00449
OG0000534	Syak.g_02585	Prak.g_00450
OG0000535	Syak.g_02586	Prak.g_00451
OG0000536	Syak.g_02587	Prak.g_00452
OG0000537	Syak.g_02588	Prak.g_00453
OG0000538	Syak.g_02600	Prak.g_00462
OG0000539	Syak.g_02601	Prak.g_00463
OG0000540	Syak.g_02602	Prak.g_00464
OG0000541	Syak.g_02603	Prak.g_00465
OG0000542	Syak.g_02606	Prak.g_00466
OG0000543	Syak.g_02608	Prak.g_00468
OG0000544	Syak.g_02609	Prak.g_00469
OG0000545	Syak.g_02611	Prak.g_00471
OG0000546	Syak.g_02613	Prak.g_00474
OG0000547	Syak.g_02615	Prak.g_00476
OG0000548	Syak.g_02616	Prak.g_00477
OG0000549	Syak.g_02622	Prak.g_00479
OG0000550	Syak.g_02626	Prak.g_00483
OG0000551	Syak.g_02631	Prak.g_00486
OG0000552	Syak.g_02632	Prak.g_00487
OG0000553	Syak.g_02636	Prak.g_00488
OG0000554	Syak.g_02641	Prak.g_00493
OG0000555	Syak.g_02657	Prak.g_00501
OG0000556	Syak.g_02661	Prak.g_00503
OG0000557	Syak.g_02663	Prak.g_00504
OG0000558	Syak.g_02666	Prak.g_00507
OG0000559	Syak.g_02670	Prak.g_00511
OG0000560	Syak.g_02672	Prak.g_00514
OG0000561	Syak.g_02673	Prak.g_00515
OG0000562	Syak.g_02674	Prak.g_00516
OG0000563	Syak.g_02675	Prak.g_00517
OG0000564	Syak.g_02676	Prak.g_00518
OG0000565	Syak.g_02679	Prak.g_00520
OG0000566	Syak.g_02683	Prak.g_00524
OG0000567	Syak.g_02687	Prak.g_00528
OG0000568	Syak.g_02690	Prak.g_00529
OG0000569	Syak.g_02691	Prak.g_00530
OG0000570	Syak.g_02692	Prak.g_00531
OG0000571	Syak.g_02696	Prak.g_00533
OG0000572	Syak.g_02713	Prak.g_00547
OG0000573	Syak.g_02723	Prak.g_00553
OG0000574	Syak.g_02724	Prak.g_00554
OG0000575	Syak.g_02729	Prak.g_00558
OG0000576	Syak.g_02731	Prak.g_00560
OG0000577	Syak.g_02732	Prak.g_00561
OG0000578	Syak.g_02733	Prak.g_00562
OG0000579	Syak.g_02734	Prak.g_00563
OG0000580	Syak.g_02735	Prak.g_00564
OG0000581	Syak.g_02742	Prak.g_00567
OG0000582	Syak.g_02748	Prak.g_00570
OG0000583	Syak.g_02749	Prak.g_00571
OG0000584	Syak.g_02750	Prak.g_00572
OG0000585	Syak.g_02753	Prak.g_00574
OG0000586	Syak.g_02754	Prak.g_00575
