Orthogroup	Pral	Syao
OG0000110	Pral.g_00513	Syao.g_01051
OG0000111	Pral.g_01739	Syao.g_00378
OG0000112	Pral.g_01635	Syao.g_00683, Syao.g_00303
OG0000113	Pral.g_01511	Syao.g_00782
OG0000114	Pral.g_01799	Syao.g_00965
OG0000115	Pral.g_01141	Syao.g_00065, Syao.g_01464
OG0000116	Pral.g_01356	Syao.g_00137
OG0000117	Pral.g_01398, Pral.g_01397, Pral.g_01396, Pral.g_01881	Syao.g_00169
OG0000118	Pral.g_01269	Syao.g_01475
OG0000120	Pral.g_00702	Syao.g_02009
OG0000121	Pral.g_01159	Syao.g_01489
OG0000122	Pral.g_01116	Syao.g_01247
OG0000123	Pral.g_00250	Syao.g_01832
OG0000124	Pral.g_00322	Syao.g_02179
OG0000125	Pral.g_00358	Syao.g_02444
OG0000126	Pral.g_00405	Syao.g_02198
OG0000128	Pral.g_00421	Syao.g_02149
OG0000129	Pral.g_01000	Syao.g_02434
OG0000130	Pral.g_00978	Syao.g_02617
OG0000131	Pral.g_00900	Syao.g_02480
OG0000132	Pral.g_00880	Syao.g_02501
OG0000133	Pral.g_00717	Syao.g_00678
OG0000134	Pral.g_00674	Syao.g_01719
OG0000135	Pral.g_01034	Syao.g_00147
OG0000136	Pral.g_00653	Syao.g_01614, Syao.g_01613
OG0000137	Pral.g_00617	Syao.g_02682
OG0000138	Pral.g_00595	Syao.g_00108
OG0000139	Pral.g_00553	Syao.g_02005
OG0000140	Pral.g_00552	Syao.g_01373, Syao.g_01372
OG0000141	Pral.g_00481	Syao.g_01202
OG0000142	Pral.g_01436	Syao.g_00894
OG0000143	Pral.g_01440	Syao.g_00898
OG0000145	Pral.g_01037	Syao.g_00102
OG0000146	Pral.g_01636	Syao.g_00684, Syao.g_00304
OG0000147	Pral.g_01637	Syao.g_00305, Syao.g_00685
OG0000148	Pral.g_01505	Syao.g_00776
OG0000149	Pral.g_01535	Syao.g_00534
OG0000150	Pral.g_01545	Syao.g_01203
OG0000151	Pral.g_01789	Syao.g_00975
OG0000152	Pral.g_01627	Syao.g_00674
OG0000153	Pral.g_01578	Syao.g_00818, Syao.g_01176
OG0000154	Pral.g_01595	Syao.g_00447
OG0000155	Pral.g_01390	Syao.g_00178
OG0000156	Pral.g_01292	Syao.g_00151
OG0000157	Pral.g_01291	Syao.g_00152
OG0000158	Pral.g_00287	Syao.g_02267
OG0000159	Pral.g_01263	Syao.g_02276
OG0000160	Pral.g_01160	Syao.g_01488
OG0000161	Pral.g_01154	Syao.g_01494
OG0000162	Pral.g_01148	Syao.g_01515
OG0000163	Pral.g_01106	Syao.g_01745
OG0000164	Pral.g_00131	Syao.g_01663
OG0000165	Pral.g_00138	Syao.g_01655
OG0000166	Pral.g_00206	Syao.g_01790
OG0000167	Pral.g_00277	Syao.g_01960
OG0000168	Pral.g_00288	Syao.g_02128
OG0000169	Pral.g_00298	Syao.g_02139
OG0000170	Pral.g_00301	Syao.g_02148
OG0000171	Pral.g_00321	Syao.g_02181
OG0000172	Pral.g_00328	Syao.g_02170
OG0000173	Pral.g_00343	Syao.g_02212
OG0000174	Pral.g_00375	Syao.g_02364, Syao.g_02355
OG0000175	Pral.g_00387	Syao.g_02327, Syao.g_00308
OG0000176	Pral.g_00414	Syao.g_02165
OG0000177	Pral.g_00415	Syao.g_02156
OG0000178	Pral.g_00416	Syao.g_02155
OG0000179	Pral.g_01028	Syao.g_02250
OG0000180	Pral.g_01027	Syao.g_02249
OG0000181	Pral.g_01026	Syao.g_02248
OG0000182	Pral.g_01025	Syao.g_02247
OG0000183	Pral.g_01021	Syao.g_02243
OG0000184	Pral.g_00996	Syao.g_02423
OG0000185	Pral.g_00993	Syao.g_02410
OG0000186	Pral.g_00984	Syao.g_02613
OG0000187	Pral.g_00983	Syao.g_02615
OG0000188	Pral.g_00965	Syao.g_02637
OG0000189	Pral.g_00951	Syao.g_02672
OG0000190	Pral.g_00950	Syao.g_01015
OG0000191	Pral.g_00928	Syao.g_02573
OG0000192	Pral.g_00923	Syao.g_02579
OG0000193	Pral.g_00899	Syao.g_02481
OG0000194	Pral.g_00896	Syao.g_02484
OG0000195	Pral.g_00894	Syao.g_02486
OG0000196	Pral.g_00883	Syao.g_02498
OG0000197	Pral.g_00882	Syao.g_02499
OG0000198	Pral.g_00881	Syao.g_02500
OG0000199	Pral.g_00873	Syao.g_02508
OG0000200	Pral.g_00860	Syao.g_02524
OG0000201	Pral.g_00851	Syao.g_02540
OG0000202	Pral.g_00850	Syao.g_02454
OG0000203	Pral.g_00849	Syao.g_02455
OG0000204	Pral.g_00848	Syao.g_02456
OG0000205	Pral.g_00842	Syao.g_02464
OG0000206	Pral.g_00837	Syao.g_02469
OG0000207	Pral.g_00835	Syao.g_02471
OG0000208	Pral.g_00834	Syao.g_02472
OG0000209	Pral.g_00825	Syao.g_02394
OG0000210	Pral.g_00824	Syao.g_02395
OG0000211	Pral.g_00807	Syao.g_01700
OG0000212	Pral.g_00799	Syao.g_01710
OG0000213	Pral.g_00781	Syao.g_02098
OG0000214	Pral.g_00772	Syao.g_02081
OG0000215	Pral.g_00746	Syao.g_02050
OG0000216	Pral.g_00744	Syao.g_02045
OG0000217	Pral.g_00741	Syao.g_02041
OG0000218	Pral.g_00739	Syao.g_02039
OG0000219	Pral.g_00738	Syao.g_02038
OG0000220	Pral.g_00737	Syao.g_02037
OG0000221	Pral.g_00736	Syao.g_02034
OG0000222	Pral.g_00729	Syao.g_02023
OG0000223	Pral.g_00716	Syao.g_00291
OG0000224	Pral.g_00714	Syao.g_01973
OG0000225	Pral.g_00686	Syao.g_01751
OG0000226	Pral.g_00682	Syao.g_01758
OG0000227	Pral.g_00680	Syao.g_01760
OG0000228	Pral.g_00677	Syao.g_01715
OG0000229	Pral.g_00658	Syao.g_01736
OG0000230	Pral.g_00656	Syao.g_01738
OG0000231	Pral.g_00644	Syao.g_01513
OG0000232	Pral.g_00631	Syao.g_00057
OG0000233	Pral.g_00625	Syao.g_02698
OG0000234	Pral.g_00616	Syao.g_02680
OG0000235	Pral.g_00612	Syao.g_00029
OG0000236	Pral.g_00597	Syao.g_00111
OG0000237	Pral.g_00584	Syao.g_00166
OG0000238	Pral.g_00578	Syao.g_00161
OG0000239	Pral.g_00565	Syao.g_01398
OG0000240	Pral.g_00564	Syao.g_01399
OG0000241	Pral.g_00560	Syao.g_00887
OG0000242	Pral.g_00558	Syao.g_01410
OG0000243	Pral.g_00547	Syao.g_00873
OG0000244	Pral.g_00544	Syao.g_00865
OG0000245	Pral.g_00542	Syao.g_00863
OG0000246	Pral.g_00538	Syao.g_00859
OG0000247	Pral.g_00527	Syao.g_00847
OG0000248	Pral.g_00524	Syao.g_00844
OG0000249	Pral.g_00522	Syao.g_00842
OG0000250	Pral.g_00516	Syao.g_00835
OG0000251	Pral.g_00498	Syao.g_01026
OG0000252	Pral.g_00495	Syao.g_01020
OG0000253	Pral.g_00494	Syao.g_01003
OG0000254	Pral.g_00477	Syao.g_01053
OG0000255	Pral.g_00470	Syao.g_01009
OG0000256	Pral.g_00460	Syao.g_01328
OG0000257	Pral.g_01430	Syao.g_00884
OG0000258	Pral.g_01444	Syao.g_00907
OG0000259	Pral.g_01461	Syao.g_00933, Syao.g_00932
OG0000260	Pral.g_01464	Syao.g_00936
OG0000261	Pral.g_01467	Syao.g_00941
OG0000262	Pral.g_01471	Syao.g_00946
OG0000263	Pral.g_01761	Syao.g_00247
OG0000264	Pral.g_01750	Syao.g_00699
OG0000265	Pral.g_01729	Syao.g_00049
OG0000266	Pral.g_01719	Syao.g_00480
OG0000267	Pral.g_01706	Syao.g_00589
OG0000268	Pral.g_01705	Syao.g_00588
OG0000269	Pral.g_01483	Syao.g_00751
OG0000270	Pral.g_01486	Syao.g_00754
OG0000271	Pral.g_01494	Syao.g_00762
OG0000272	Pral.g_01495	Syao.g_00763
OG0000273	Pral.g_01518	Syao.g_00791
OG0000274	Pral.g_01519	Syao.g_00792
OG0000275	Pral.g_01522	Syao.g_00438
OG0000276	Pral.g_01527	Syao.g_00558
OG0000277	Pral.g_01528	Syao.g_00557
OG0000278	Pral.g_01531	Syao.g_00554
OG0000279	Pral.g_01538	Syao.g_00529
OG0000280	Pral.g_01539	Syao.g_00608
OG0000281	Pral.g_01546	Syao.g_01377
OG0000282	Pral.g_01797	Syao.g_00967
OG0000283	Pral.g_01655	Syao.g_00640
OG0000284	Pral.g_01650	Syao.g_00634
OG0000285	Pral.g_01644	Syao.g_00706
OG0000286	Pral.g_01628	Syao.g_00675
OG0000287	Pral.g_00050	Syao.g_00825
OG0000288	Pral.g_01594	Syao.g_00446
OG0000289	Pral.g_01609	Syao.g_00461
OG0000290	Pral.g_01564	Syao.g_00428
OG0000291	Pral.g_01562	Syao.g_00333
OG0000292	Pral.g_01316	Syao.g_02196
OG0000293	Pral.g_01357	Syao.g_00136
OG0000294	Pral.g_01358	Syao.g_00135
OG0000295	Pral.g_01382	Syao.g_00186
OG0000296	Pral.g_01384	Syao.g_00184
OG0000299	Pral.g_01415	Syao.g_00231
OG0000301	Pral.g_01420	Syao.g_00272, Syao.g_00273
OG0000302	Pral.g_01422	Syao.g_00271
OG0000303	Pral.g_01428	Syao.g_00262
OG0000304	Pral.g_00455	Syao.g_00256
OG0000305	Pral.g_01323	Syao.g_00388
OG0000306	Pral.g_01550	Syao.g_01216
OG0000307	Pral.g_01213	Syao.g_00045
OG0000308	Pral.g_01212	Syao.g_00047
OG0000309	Pral.g_01208	Syao.g_02705
OG0000310	Pral.g_01181	Syao.g_01530
OG0000311	Pral.g_01179	Syao.g_01533
OG0000312	Pral.g_01176	Syao.g_01538
OG0000313	Pral.g_01157	Syao.g_01491
OG0000314	Pral.g_01133	Syao.g_00078
OG0000315	Pral.g_01123	Syao.g_00088
OG0000316	Pral.g_01095	Syao.g_01602
OG0000317	Pral.g_00104	Syao.g_01560
OG0000318	Pral.g_00108	Syao.g_01553
OG0000319	Pral.g_00121	Syao.g_01678
OG0000320	Pral.g_00123	Syao.g_01676
OG0000321	Pral.g_00124	Syao.g_01675
OG0000322	Pral.g_00125	Syao.g_01674
OG0000323	Pral.g_00134	Syao.g_01661
OG0000324	Pral.g_00162	Syao.g_01630
OG0000325	Pral.g_00172	Syao.g_01936
OG0000326	Pral.g_00179	Syao.g_01918
OG0000327	Pral.g_00201	Syao.g_01795
OG0000328	Pral.g_00202	Syao.g_01794
OG0000329	Pral.g_00219	Syao.g_01776
OG0000330	Pral.g_00220	Syao.g_01775
OG0000331	Pral.g_00221	Syao.g_01774
OG0000332	Pral.g_00235	Syao.g_01813
OG0000333	Pral.g_00237	Syao.g_01810
OG0000334	Pral.g_00246	Syao.g_01836
OG0000335	Pral.g_00251	Syao.g_01831
OG0000336	Pral.g_00255	Syao.g_01827
OG0000337	Pral.g_00274	Syao.g_01968
OG0000338	Pral.g_00275	Syao.g_01962
OG0000339	Pral.g_00280	Syao.g_02259
OG0000340	Pral.g_00289	Syao.g_02129
OG0000341	Pral.g_00291	Syao.g_02131
OG0000342	Pral.g_00292	Syao.g_02132
OG0000343	Pral.g_00293	Syao.g_02133
OG0000344	Pral.g_00296	Syao.g_02137
OG0000345	Pral.g_00302	Syao.g_01953
OG0000346	Pral.g_00306	Syao.g_01948
OG0000347	Pral.g_00323	Syao.g_02178
OG0000348	Pral.g_00331	Syao.g_02166
OG0000349	Pral.g_00349	Syao.g_02219
OG0000350	Pral.g_00370	Syao.g_01925
OG0000351	Pral.g_00390	Syao.g_02331
OG0000352	Pral.g_00391	Syao.g_02332
OG0000353	Pral.g_00409	Syao.g_02160
OG0000354	Pral.g_01677	Syao.g_02252
OG0000355	Pral.g_00411	Syao.g_02162
OG0000356	Pral.g_00412	Syao.g_02163
OG0000357	Pral.g_00413	Syao.g_02164
OG0000358	Pral.g_00417	Syao.g_02154
OG0000359	Pral.g_00418	Syao.g_02152
OG0000360	Pral.g_00419	Syao.g_02151
OG0000361	Pral.g_00420	Syao.g_02150
OG0000362	Pral.g_00422	Syao.g_01954
OG0000363	Pral.g_01030	Syao.g_02255
OG0000364	Pral.g_01029	Syao.g_01558
OG0000365	Pral.g_01024	Syao.g_02246
OG0000366	Pral.g_01023	Syao.g_02245
OG0000367	Pral.g_01022	Syao.g_02244
OG0000368	Pral.g_01020	Syao.g_02242
OG0000369	Pral.g_01019	Syao.g_02241
OG0000370	Pral.g_01018	Syao.g_02240
OG0000371	Pral.g_01011	Syao.g_02231
OG0000372	Pral.g_01009	Syao.g_02226
OG0000373	Pral.g_01008	Syao.g_02225
OG0000374	Pral.g_01007	Syao.g_02224
OG0000375	Pral.g_01005	Syao.g_02223
OG0000376	Pral.g_01003	Syao.g_02221
OG0000377	Pral.g_00999	Syao.g_02429
OG0000378	Pral.g_00995	Syao.g_02414
OG0000379	Pral.g_00992	Syao.g_02409
OG0000380	Pral.g_00982	Syao.g_02616
OG0000381	Pral.g_00977	Syao.g_02618
OG0000382	Pral.g_00966	Syao.g_02636
OG0000383	Pral.g_00964	Syao.g_02643
OG0000384	Pral.g_00963	Syao.g_02644
OG0000385	Pral.g_00962	Syao.g_02645
OG0000386	Pral.g_00961	Syao.g_02646
OG0000387	Pral.g_00948	Syao.g_01019
OG0000388	Pral.g_00944	Syao.g_02596
OG0000389	Pral.g_00941	Syao.g_02599
OG0000390	Pral.g_00932	Syao.g_02567
OG0000391	Pral.g_00929	Syao.g_02572
OG0000392	Pral.g_00925	Syao.g_02578
OG0000393	Pral.g_00922	Syao.g_02581
OG0000394	Pral.g_00921	Syao.g_02582
OG0000395	Pral.g_00920	Syao.g_02583
OG0000396	Pral.g_00918	Syao.g_02586
OG0000397	Pral.g_00916	Syao.g_02542
OG0000398	Pral.g_00913	Syao.g_02547
OG0000399	Pral.g_00912	Syao.g_02548
OG0000400	Pral.g_00911	Syao.g_02549
OG0000401	Pral.g_00910	Syao.g_02550
OG0000402	Pral.g_00450	Syao.g_02552
OG0000403	Pral.g_00908	Syao.g_02553
OG0000404	Pral.g_00907	Syao.g_02554
OG0000405	Pral.g_00903	Syao.g_02478
OG0000406	Pral.g_00898	Syao.g_02482
OG0000407	Pral.g_00897	Syao.g_02483
OG0000408	Pral.g_00895	Syao.g_02485
OG0000409	Pral.g_00893	Syao.g_02487
OG0000410	Pral.g_00892	Syao.g_02488
OG0000411	Pral.g_00891	Syao.g_02489
OG0000412	Pral.g_00890	Syao.g_02490
OG0000413	Pral.g_00888	Syao.g_02492
OG0000414	Pral.g_00887	Syao.g_02493
OG0000415	Pral.g_00886	Syao.g_02494
OG0000416	Pral.g_00885	Syao.g_02495
OG0000417	Pral.g_00884	Syao.g_02497
OG0000418	Pral.g_00879	Syao.g_02502
OG0000419	Pral.g_00877	Syao.g_02504
OG0000420	Pral.g_00875	Syao.g_02506
OG0000421	Pral.g_00871	Syao.g_02510
OG0000422	Pral.g_00870	Syao.g_02511
OG0000423	Pral.g_00869	Syao.g_02512
OG0000424	Pral.g_00868	Syao.g_02513
OG0000425	Pral.g_00867	Syao.g_02514
OG0000426	Pral.g_00866	Syao.g_02515
OG0000427	Pral.g_00865	Syao.g_02516
OG0000428	Pral.g_00863	Syao.g_02519
OG0000429	Pral.g_00862	Syao.g_02522
OG0000430	Pral.g_00861	Syao.g_02523
OG0000431	Pral.g_00859	Syao.g_02526
OG0000432	Pral.g_00855	Syao.g_02532
OG0000433	Pral.g_00854	Syao.g_02534
OG0000434	Pral.g_00853	Syao.g_02535
OG0000435	Pral.g_00852	Syao.g_02538
OG0000436	Pral.g_00847	Syao.g_02458
OG0000437	Pral.g_00846	Syao.g_02459
OG0000438	Pral.g_00845	Syao.g_02460
OG0000439	Pral.g_00844	Syao.g_02462
OG0000440	Pral.g_00843	Syao.g_02463
OG0000441	Pral.g_00840	Syao.g_02466
OG0000442	Pral.g_00839	Syao.g_02467
OG0000443	Pral.g_00838	Syao.g_02468
OG0000444	Pral.g_00833	Syao.g_02473
OG0000445	Pral.g_00832	Syao.g_02474
OG0000446	Pral.g_00831	Syao.g_02476
OG0000447	Pral.g_00830	Syao.g_02383
OG0000448	Pral.g_00829	Syao.g_02384
OG0000449	Pral.g_00828	Syao.g_02385
OG0000450	Pral.g_00827	Syao.g_02391
OG0000451	Pral.g_00826	Syao.g_02392
OG0000452	Pral.g_00823	Syao.g_02396
OG0000453	Pral.g_00822	Syao.g_02397
OG0000454	Pral.g_00821	Syao.g_02398
OG0000455	Pral.g_00820	Syao.g_02399
OG0000456	Pral.g_00819	Syao.g_02400
OG0000457	Pral.g_00817	Syao.g_02402
OG0000458	Pral.g_00816	Syao.g_02403
OG0000459	Pral.g_00815	Syao.g_02404
OG0000460	Pral.g_00805	Syao.g_01702
OG0000461	Pral.g_00796	Syao.g_02119
OG0000462	Pral.g_00795	Syao.g_02116
OG0000463	Pral.g_00794	Syao.g_02115
OG0000464	Pral.g_00793	Syao.g_02114
OG0000465	Pral.g_00792	Syao.g_02112
OG0000466	Pral.g_00789	Syao.g_02107
OG0000467	Pral.g_00788	Syao.g_02106
OG0000468	Pral.g_00785	Syao.g_02102
OG0000469	Pral.g_00777	Syao.g_02087
OG0000470	Pral.g_00775	Syao.g_02085
OG0000471	Pral.g_00774	Syao.g_02084
OG0000472	Pral.g_00773	Syao.g_02082
OG0000473	Pral.g_00771	Syao.g_02080
OG0000474	Pral.g_00770	Syao.g_02079
OG0000475	Pral.g_00769	Syao.g_02078
OG0000476	Pral.g_00767	Syao.g_02076
OG0000477	Pral.g_00764	Syao.g_02069
OG0000478	Pral.g_00763	Syao.g_02068
OG0000479	Pral.g_00762	Syao.g_02067
OG0000480	Pral.g_00756	Syao.g_02060
OG0000481	Pral.g_00754	Syao.g_01012
OG0000482	Pral.g_00753	Syao.g_02058
OG0000483	Pral.g_00750	Syao.g_02054
OG0000484	Pral.g_00749	Syao.g_02053
OG0000485	Pral.g_00748	Syao.g_02052
OG0000486	Pral.g_00747	Syao.g_02051
OG0000487	Pral.g_00743	Syao.g_02044
OG0000488	Pral.g_00740	Syao.g_02040
OG0000489	Pral.g_00735	Syao.g_02033
OG0000490	Pral.g_00731	Syao.g_02025
OG0000491	Pral.g_00730	Syao.g_02024
OG0000492	Pral.g_00728	Syao.g_02022
OG0000493	Pral.g_00727	Syao.g_02021
OG0000494	Pral.g_00726	Syao.g_02020
OG0000495	Pral.g_00725	Syao.g_02018
OG0000496	Pral.g_00724	Syao.g_02017
OG0000497	Pral.g_00723	Syao.g_02016
OG0000498	Pral.g_00722	Syao.g_02015
OG0000499	Pral.g_00721	Syao.g_02014
OG0000500	Pral.g_00720	Syao.g_02013
OG0000501	Pral.g_00718	Syao.g_02010
OG0000502	Pral.g_00715	Syao.g_01974
OG0000503	Pral.g_00698	Syao.g_01877
OG0000504	Pral.g_00696	Syao.g_01875
OG0000505	Pral.g_00695	Syao.g_01874
OG0000506	Pral.g_00694	Syao.g_01872
OG0000507	Pral.g_00691	Syao.g_01866
OG0000508	Pral.g_00687	Syao.g_01750
OG0000509	Pral.g_00685	Syao.g_01755
OG0000510	Pral.g_00684	Syao.g_01756
OG0000511	Pral.g_00683	Syao.g_01757
OG0000512	Pral.g_00681	Syao.g_01759
OG0000513	Pral.g_00673	Syao.g_01720
OG0000514	Pral.g_00663	Syao.g_01727
OG0000515	Pral.g_00662	Syao.g_01728
OG0000516	Pral.g_00661	Syao.g_01730
OG0000517	Pral.g_00659	Syao.g_01735
OG0000518	Pral.g_00647	Syao.g_01621
OG0000519	Pral.g_00646	Syao.g_01622
OG0000520	Pral.g_00645	Syao.g_01512
OG0000521	Pral.g_00635	Syao.g_00061
OG0000522	Pral.g_00633	Syao.g_00059
OG0000523	Pral.g_00632	Syao.g_00058
OG0000524	Pral.g_00627	Syao.g_02699
OG0000525	Pral.g_00623	Syao.g_02691
OG0000526	Pral.g_00622	Syao.g_02688
OG0000527	Pral.g_00619	Syao.g_02684
OG0000528	Pral.g_00613	Syao.g_00031
OG0000529	Pral.g_00610	Syao.g_00027
OG0000530	Pral.g_00607	Syao.g_00122
OG0000531	Pral.g_00606	Syao.g_00121
OG0000532	Pral.g_00603	Syao.g_00118
OG0000533	Pral.g_00602	Syao.g_00116
OG0000534	Pral.g_00601	Syao.g_00115
OG0000535	Pral.g_00600	Syao.g_00114
OG0000536	Pral.g_00599	Syao.g_00113
OG0000537	Pral.g_00598	Syao.g_00112
OG0000538	Pral.g_00590	Syao.g_00100
OG0000539	Pral.g_00589	Syao.g_00099
OG0000540	Pral.g_00588	Syao.g_00098
OG0000541	Pral.g_00587	Syao.g_00097
OG0000542	Pral.g_00585	Syao.g_00167
OG0000543	Pral.g_00583	Syao.g_00165
OG0000544	Pral.g_00582	Syao.g_00164
OG0000545	Pral.g_00580	Syao.g_00162
OG0000546	Pral.g_00577	Syao.g_00160
OG0000547	Pral.g_00575	Syao.g_00158
OG0000548	Pral.g_00574	Syao.g_00157
OG0000549	Pral.g_00571	Syao.g_01391
OG0000550	Pral.g_00566	Syao.g_01396
OG0000551	Pral.g_00563	Syao.g_01401
OG0000552	Pral.g_00562	Syao.g_01402
OG0000553	Pral.g_00561	Syao.g_01404
OG0000554	Pral.g_00556	Syao.g_01413
OG0000555	Pral.g_00548	Syao.g_00875
OG0000556	Pral.g_00546	Syao.g_00871
OG0000557	Pral.g_00545	Syao.g_00866
OG0000558	Pral.g_00543	Syao.g_00864
OG0000559	Pral.g_00539	Syao.g_00860
OG0000560	Pral.g_00536	Syao.g_00857
OG0000561	Pral.g_00535	Syao.g_00856
OG0000562	Pral.g_00534	Syao.g_00855
OG0000563	Pral.g_00533	Syao.g_00854
OG0000564	Pral.g_00532	Syao.g_00853
OG0000565	Pral.g_00529	Syao.g_00849
OG0000566	Pral.g_00525	Syao.g_00845
OG0000567	Pral.g_00521	Syao.g_00841
OG0000568	Pral.g_00520	Syao.g_00839
OG0000569	Pral.g_00519	Syao.g_00838
OG0000570	Pral.g_00518	Syao.g_00837
OG0000571	Pral.g_00515	Syao.g_00834
OG0000572	Pral.g_00503	Syao.g_01033
OG0000573	Pral.g_00497	Syao.g_01022
OG0000574	Pral.g_00496	Syao.g_01021
OG0000575	Pral.g_00492	Syao.g_01000
OG0000576	Pral.g_00490	Syao.g_00996
OG0000577	Pral.g_00489	Syao.g_00995
OG0000578	Pral.g_00488	Syao.g_00994
OG0000579	Pral.g_00487	Syao.g_00993
OG0000580	Pral.g_00486	Syao.g_00992
OG0000581	Pral.g_00483	Syao.g_01059
OG0000582	Pral.g_00480	Syao.g_01204
OG0000583	Pral.g_00479	Syao.g_01205
OG0000584	Pral.g_00478	Syao.g_01206
OG0000585	Pral.g_00476	Syao.g_01054
OG0000586	Pral.g_00475	Syao.g_01055
OG0000587	Pral.g_00474	Syao.g_01057
OG0000588	Pral.g_00469	Syao.g_00406
OG0000589	Pral.g_00466	Syao.g_01342
OG0000590	Pral.g_00465	Syao.g_01341
OG0000591	Pral.g_00462	Syao.g_01330
OG0000592	Pral.g_00461	Syao.g_01329
OG0000593	Pral.g_01433	Syao.g_00890
OG0000594	Pral.g_01434	Syao.g_00891
