Orthogroup	Pral	Prax
OG0000048	Pral.g_00768	Prax.g_00173, Prax.g_00512, Prax.g_00799
OG0000050	Pral.g_01829	Prax.g_00448, Prax.g_00508
OG0000053	Pral.g_00066, Pral.g_01139	Prax.g_01708
OG0000054	Pral.g_00482	Prax.g_00065
OG0000055	Pral.g_01670	Prax.g_00392
OG0000057	Pral.g_01740	Prax.g_00944
OG0000058	Pral.g_01202	Prax.g_01823
OG0000059	Pral.g_00195	Prax.g_01286
OG0000061	Pral.g_01367	Prax.g_00200
OG0000062	Pral.g_01073	Prax.g_01650
OG0000065	Pral.g_00940	Prax.g_01112
OG0000066	Pral.g_00551	Prax.g_00662
OG0000067	Pral.g_01488	Prax.g_00373
OG0000068	Pral.g_01222	Prax.g_01863
OG0000069	Pral.g_01114, Pral.g_01164	Prax.g_01616
OG0000070	Pral.g_00643	Prax.g_00750
OG0000071	Pral.g_01281	Prax.g_01899
OG0000072	Pral.g_00872	Prax.g_01047
OG0000073	Pral.g_00591	Prax.g_00702
OG0000074	Pral.g_01760	Prax.g_00960
OG0000075	Pral.g_00279	Prax.g_01370
OG0000076	Pral.g_00305	Prax.g_01394
OG0000077	Pral.g_00969	Prax.g_00649
OG0000078	Pral.g_00800	Prax.g_00979
OG0000079	Pral.g_00787	Prax.g_00923
OG0000081	Pral.g_00559	Prax.g_00670
OG0000082	Pral.g_00057	Prax.g_00045
OG0000083	Pral.g_01898	Prax.g_00437, Prax.g_01924, Prax.g_00444
OG0000084	Pral.g_01169	Prax.g_01737
OG0000085	Pral.g_00099	Prax.g_01566
OG0000086	Pral.g_00959	Prax.g_00659
OG0000087	Pral.g_00906	Prax.g_01079
OG0000088	Pral.g_00878	Prax.g_01052
OG0000089	Pral.g_00676	Prax.g_00817
OG0000090	Pral.g_00557	Prax.g_00668
OG0000091	Pral.g_01443	Prax.g_00101
OG0000092	Pral.g_01794	Prax.g_00566
OG0000093	Pral.g_01472	Prax.g_01769, Prax.g_00588
OG0000094	Pral.g_01604	Prax.g_01185
OG0000095	Pral.g_01561	Prax.g_01204
OG0000096	Pral.g_00444	Prax.g_00500, Prax.g_00141, Prax.g_01936
OG0000097	Pral.g_01416	Prax.g_00241
OG0000098	Pral.g_01239	Prax.g_01881
OG0000099	Pral.g_01201	Prax.g_01825
OG0000100	Pral.g_01078	Prax.g_01654
OG0000101	Pral.g_00243	Prax.g_01338
OG0000102	Pral.g_00310	Prax.g_01399
OG0000103	Pral.g_00397	Prax.g_01478
OG0000104	Pral.g_00406	Prax.g_01486
OG0000105	Pral.g_00765	Prax.g_00901
OG0000106	Pral.g_01859	Prax.g_00803
OG0000107	Pral.g_00171	Prax.g_00790
OG0000108	Pral.g_00611	Prax.g_00722
OG0000109	Pral.g_00596	Prax.g_00707
OG0000110	Pral.g_00513	Prax.g_00035
OG0000111	Pral.g_01739	Prax.g_00943
OG0000112	Pral.g_01635	Prax.g_00409
OG0000113	Pral.g_01511	Prax.g_00351
OG0000114	Pral.g_01799	Prax.g_00561
OG0000115	Pral.g_01141	Prax.g_00132
OG0000116	Pral.g_01356	Prax.g_00190
OG0000117	Pral.g_01398, Pral.g_01397	Prax.g_01959
OG0000118	Pral.g_01269	Prax.g_01887
OG0000119	Pral.g_01861, Pral.g_01063	Prax.g_01867
OG0000120	Pral.g_00702	Prax.g_01832
OG0000121	Pral.g_01159	Prax.g_01726
OG0000122	Pral.g_01116	Prax.g_01688
OG0000123	Pral.g_00250	Prax.g_01345
OG0000124	Pral.g_00322	Prax.g_01410
OG0000125	Pral.g_00358	Prax.g_01447
OG0000126	Pral.g_00405	Prax.g_01485
OG0000128	Pral.g_00421	Prax.g_01974
OG0000129	Pral.g_01000	Prax.g_00269
OG0000130	Pral.g_00978	Prax.g_00640
OG0000131	Pral.g_00900	Prax.g_01073
OG0000132	Pral.g_00880	Prax.g_01054
OG0000133	Pral.g_00717	Prax.g_00853, Prax.g_00852, Prax.g_01783
OG0000134	Pral.g_00674	Prax.g_01573, Prax.g_00816
OG0000135	Pral.g_01034	Prax.g_00792
OG0000136	Pral.g_00653	Prax.g_00759
OG0000137	Pral.g_00617	Prax.g_00727
OG0000138	Pral.g_00595	Prax.g_00706
OG0000139	Pral.g_00553	Prax.g_00664
OG0000140	Pral.g_00552	Prax.g_00663
OG0000141	Pral.g_00481	Prax.g_00066
OG0000142	Pral.g_01436	Prax.g_00094
OG0000143	Pral.g_01440	Prax.g_00098
OG0000144	Pral.g_01453	Prax.g_00111
OG0000145	Pral.g_01037	Prax.g_00413
OG0000146	Pral.g_01636	Prax.g_00408
OG0000147	Pral.g_01637	Prax.g_00407
OG0000148	Pral.g_01505	Prax.g_00357
OG0000149	Pral.g_01535	Prax.g_00326
OG0000150	Pral.g_01545	Prax.g_00318
OG0000151	Pral.g_01789	Prax.g_00571
OG0000152	Pral.g_01627	Prax.g_01129
OG0000153	Pral.g_01578	Prax.g_01148
OG0000154	Pral.g_01595	Prax.g_01178
OG0000155	Pral.g_01390	Prax.g_00220
OG0000156	Pral.g_01292	Prax.g_01910
OG0000157	Pral.g_01291	Prax.g_01909
OG0000158	Pral.g_00287	Prax.g_01780
OG0000159	Pral.g_01263	Prax.g_01824
OG0000160	Pral.g_01160	Prax.g_01727
OG0000161	Pral.g_01154	Prax.g_01721
OG0000162	Pral.g_01148	Prax.g_01715
OG0000163	Pral.g_01106	Prax.g_01681
OG0000164	Pral.g_00131	Prax.g_01535
OG0000165	Pral.g_00138	Prax.g_01528
OG0000166	Pral.g_00206	Prax.g_01302
OG0000167	Pral.g_00277	Prax.g_01368
OG0000168	Pral.g_00288	Prax.g_01378
OG0000169	Pral.g_00298	Prax.g_01388
OG0000170	Pral.g_00301	Prax.g_01390
OG0000171	Pral.g_00321	Prax.g_01409
OG0000172	Pral.g_00328	Prax.g_01418
OG0000173	Pral.g_00343	Prax.g_01433
OG0000174	Pral.g_00375	Prax.g_01460
OG0000175	Pral.g_00387	Prax.g_01470
OG0000176	Pral.g_00414	Prax.g_01494
OG0000177	Pral.g_00415	Prax.g_01495
OG0000178	Pral.g_00416	Prax.g_01496
OG0000179	Pral.g_01028	Prax.g_00297
OG0000180	Pral.g_01027	Prax.g_00296
OG0000181	Pral.g_01026	Prax.g_00295
OG0000182	Pral.g_01025	Prax.g_00294
OG0000183	Pral.g_01021	Prax.g_00290
OG0000184	Pral.g_00996	Prax.g_00621
OG0000185	Pral.g_00993	Prax.g_00624
OG0000186	Pral.g_00984	Prax.g_00635
OG0000187	Pral.g_00983	Prax.g_00636
OG0000188	Pral.g_00965	Prax.g_00653
OG0000189	Pral.g_00951	Prax.g_01122
OG0000190	Pral.g_00950	Prax.g_01121
OG0000191	Pral.g_00928	Prax.g_01101
OG0000192	Pral.g_00923	Prax.g_01097
OG0000193	Pral.g_00899	Prax.g_01072
OG0000194	Pral.g_00896	Prax.g_01069
OG0000195	Pral.g_00894	Prax.g_01067
OG0000196	Pral.g_00883	Prax.g_01057
OG0000197	Pral.g_00882	Prax.g_01056
OG0000198	Pral.g_00881	Prax.g_01055
OG0000199	Pral.g_00873	Prax.g_01048
OG0000200	Pral.g_00860	Prax.g_01034
OG0000201	Pral.g_00851	Prax.g_01026
OG0000202	Pral.g_00850	Prax.g_01025
OG0000203	Pral.g_00849	Prax.g_01024
OG0000204	Pral.g_00848	Prax.g_01023
OG0000205	Pral.g_00842	Prax.g_01016
OG0000206	Pral.g_00837	Prax.g_01011
OG0000207	Pral.g_00835	Prax.g_01009
OG0000208	Pral.g_00834	Prax.g_01008
OG0000209	Pral.g_00825	Prax.g_00999
OG0000210	Pral.g_00824	Prax.g_00998
OG0000211	Pral.g_00807	Prax.g_00985
OG0000212	Pral.g_00799	Prax.g_00978
OG0000213	Pral.g_00781	Prax.g_00918
OG0000214	Pral.g_00772	Prax.g_00908
OG0000215	Pral.g_00746	Prax.g_00883
OG0000216	Pral.g_00744	Prax.g_00881
OG0000217	Pral.g_00741	Prax.g_00878
OG0000218	Pral.g_00739	Prax.g_00876
OG0000219	Pral.g_00738	Prax.g_00875
OG0000220	Pral.g_00737	Prax.g_00874
OG0000221	Pral.g_00736	Prax.g_00873
OG0000222	Pral.g_00729	Prax.g_00865
OG0000223	Pral.g_00716	Prax.g_00850
OG0000224	Pral.g_00714	Prax.g_00848
OG0000225	Pral.g_00686	Prax.g_00827
OG0000226	Pral.g_00682	Prax.g_00823
OG0000227	Pral.g_00680	Prax.g_00821
OG0000228	Pral.g_00677	Prax.g_00818
OG0000229	Pral.g_00658	Prax.g_00764
OG0000230	Pral.g_00656	Prax.g_00762
OG0000231	Pral.g_00644	Prax.g_00751
OG0000232	Pral.g_00631	Prax.g_00743
OG0000233	Pral.g_00625	Prax.g_00738
OG0000234	Pral.g_00616	Prax.g_00726
OG0000235	Pral.g_00612	Prax.g_00723
OG0000236	Pral.g_00597	Prax.g_00708
OG0000237	Pral.g_00584	Prax.g_00695
OG0000238	Pral.g_00578	Prax.g_00689
OG0000239	Pral.g_00565	Prax.g_00676
OG0000240	Pral.g_00564	Prax.g_00675
OG0000241	Pral.g_00560	Prax.g_00671
OG0000242	Pral.g_00558	Prax.g_00669
OG0000243	Pral.g_00547	Prax.g_00004
OG0000244	Pral.g_00544	Prax.g_00007
OG0000245	Pral.g_00542	Prax.g_00009
OG0000246	Pral.g_00538	Prax.g_00013
OG0000247	Pral.g_00527	Prax.g_00023
OG0000248	Pral.g_00524	Prax.g_00025
OG0000249	Pral.g_00522	Prax.g_00027
OG0000250	Pral.g_00516	Prax.g_00032
OG0000251	Pral.g_00498	Prax.g_00050
OG0000252	Pral.g_00495	Prax.g_00053
OG0000253	Pral.g_00494	Prax.g_00054
OG0000254	Pral.g_00477	Prax.g_00070
OG0000255	Pral.g_00470	Prax.g_00076
OG0000256	Pral.g_00460	Prax.g_00086
OG0000257	Pral.g_01430	Prax.g_00089
OG0000258	Pral.g_01444	Prax.g_00102
OG0000259	Pral.g_01461	Prax.g_00119
OG0000260	Pral.g_01464	Prax.g_00122
OG0000261	Pral.g_01467	Prax.g_00977
OG0000262	Pral.g_01471	Prax.g_00973
OG0000263	Pral.g_01761	Prax.g_00961
OG0000264	Pral.g_01750	Prax.g_00951
OG0000265	Pral.g_01729	Prax.g_00485
OG0000266	Pral.g_01719	Prax.g_00475
OG0000267	Pral.g_01706	Prax.g_00464
OG0000268	Pral.g_01705	Prax.g_00463
OG0000269	Pral.g_01483	Prax.g_00378
OG0000270	Pral.g_01486	Prax.g_00375
OG0000271	Pral.g_01494	Prax.g_00367
OG0000272	Pral.g_01495	Prax.g_00366
OG0000273	Pral.g_01518	Prax.g_00343
OG0000274	Pral.g_01519	Prax.g_00342
OG0000275	Pral.g_01522	Prax.g_00339
OG0000276	Pral.g_01527	Prax.g_00334
OG0000277	Pral.g_01528	Prax.g_00333
OG0000278	Pral.g_01531	Prax.g_00330
OG0000279	Pral.g_01538	Prax.g_00323
OG0000280	Pral.g_01539	Prax.g_00322
OG0000281	Pral.g_01546	Prax.g_00317
OG0000282	Pral.g_01797	Prax.g_00563
OG0000283	Pral.g_01655	Prax.g_00597
OG0000284	Pral.g_01650	Prax.g_00602
OG0000285	Pral.g_01644	Prax.g_00607
OG0000286	Pral.g_01628	Prax.g_00619
OG0000287	Pral.g_00050	Prax.g_01145
OG0000288	Pral.g_01594	Prax.g_01177
OG0000289	Pral.g_01609	Prax.g_01188
OG0000290	Pral.g_01564	Prax.g_01201
OG0000291	Pral.g_01562	Prax.g_01203
OG0000292	Pral.g_01316	Prax.g_01759, Prax.g_01254
OG0000293	Pral.g_01357	Prax.g_00191
OG0000294	Pral.g_01358	Prax.g_00192
OG0000295	Pral.g_01382	Prax.g_00212
OG0000296	Pral.g_01384	Prax.g_00214
OG0000297	Pral.g_01394	Prax.g_00222
OG0000298	Pral.g_01395	Prax.g_00223
OG0000299	Pral.g_01415	Prax.g_00240
OG0000300	Pral.g_01419	Prax.g_00243
OG0000301	Pral.g_01420	Prax.g_00244
OG0000302	Pral.g_01422	Prax.g_00246
OG0000303	Pral.g_01428	Prax.g_00253
OG0000304	Pral.g_00455	Prax.g_00257
OG0000305	Pral.g_01323	Prax.g_01871
OG0000306	Pral.g_01550	Prax.g_01868
OG0000307	Pral.g_01213	Prax.g_01854
OG0000308	Pral.g_01212	Prax.g_01853
OG0000309	Pral.g_01208	Prax.g_01849
OG0000310	Pral.g_01181	Prax.g_01748
OG0000311	Pral.g_01179	Prax.g_01746
OG0000312	Pral.g_01176	Prax.g_01743
OG0000313	Pral.g_01157	Prax.g_01724
OG0000314	Pral.g_01133	Prax.g_01701
OG0000315	Pral.g_01123	Prax.g_01691
OG0000316	Pral.g_01095	Prax.g_01671
OG0000317	Pral.g_00104	Prax.g_01561
OG0000318	Pral.g_00108	Prax.g_01558
OG0000319	Pral.g_00121	Prax.g_01545
OG0000320	Pral.g_00123	Prax.g_01543
OG0000321	Pral.g_00124	Prax.g_01542
OG0000322	Pral.g_00125	Prax.g_01541
OG0000323	Pral.g_00134	Prax.g_01532
OG0000324	Pral.g_00162	Prax.g_01505
OG0000325	Pral.g_00172	Prax.g_01263
OG0000326	Pral.g_00179	Prax.g_01269
OG0000327	Pral.g_00201	Prax.g_01297
OG0000328	Pral.g_00202	Prax.g_01298
OG0000329	Pral.g_00219	Prax.g_01315
OG0000330	Pral.g_00220	Prax.g_01316
OG0000331	Pral.g_00221	Prax.g_01317
OG0000332	Pral.g_00235	Prax.g_01331
OG0000333	Pral.g_00237	Prax.g_01333
OG0000334	Pral.g_00246	Prax.g_01341
OG0000335	Pral.g_00251	Prax.g_01346
OG0000336	Pral.g_00255	Prax.g_01350
OG0000337	Pral.g_00274	Prax.g_01366
OG0000338	Pral.g_00275	Prax.g_01367
OG0000339	Pral.g_00280	Prax.g_01371
OG0000340	Pral.g_00289	Prax.g_01379
OG0000341	Pral.g_00291	Prax.g_01381
OG0000342	Pral.g_00292	Prax.g_01382
OG0000343	Pral.g_00293	Prax.g_01383
OG0000344	Pral.g_00296	Prax.g_01386
OG0000345	Pral.g_00302	Prax.g_01391
OG0000346	Pral.g_00306	Prax.g_01395
OG0000347	Pral.g_00323	Prax.g_01411
OG0000348	Pral.g_00331	Prax.g_01421
OG0000349	Pral.g_00349	Prax.g_01438
OG0000350	Pral.g_00370	Prax.g_01456
OG0000351	Pral.g_00390	Prax.g_01473
OG0000352	Pral.g_00391	Prax.g_01474
OG0000353	Pral.g_00409	Prax.g_01489
OG0000355	Pral.g_00411	Prax.g_01491
OG0000356	Pral.g_00412	Prax.g_01492
OG0000357	Pral.g_00413	Prax.g_01493
OG0000358	Pral.g_00417	Prax.g_01497
OG0000359	Pral.g_00418	Prax.g_01498
OG0000360	Pral.g_00419	Prax.g_01499
OG0000361	Pral.g_00420	Prax.g_01975
OG0000362	Pral.g_00422	Prax.g_01973
OG0000363	Pral.g_01030	Prax.g_00299
OG0000364	Pral.g_01029	Prax.g_00298
OG0000365	Pral.g_01024	Prax.g_00293
OG0000366	Pral.g_01023	Prax.g_00292
OG0000367	Pral.g_01022	Prax.g_00291
OG0000368	Pral.g_01020	Prax.g_00289
OG0000369	Pral.g_01019	Prax.g_00288
OG0000370	Pral.g_01018	Prax.g_00287
OG0000371	Pral.g_01011	Prax.g_00281
OG0000372	Pral.g_01009	Prax.g_00278
OG0000373	Pral.g_01008	Prax.g_00277
OG0000374	Pral.g_01007	Prax.g_00276
OG0000375	Pral.g_01005	Prax.g_00273
OG0000376	Pral.g_01003	Prax.g_00271
OG0000377	Pral.g_00999	Prax.g_00261
OG0000378	Pral.g_00995	Prax.g_00622
OG0000379	Pral.g_00992	Prax.g_00625
OG0000380	Pral.g_00982	Prax.g_00637
OG0000381	Pral.g_00977	Prax.g_00641
OG0000382	Pral.g_00966	Prax.g_00652
OG0000383	Pral.g_00964	Prax.g_00654
OG0000384	Pral.g_00963	Prax.g_00655
OG0000385	Pral.g_00962	Prax.g_00656
OG0000386	Pral.g_00961	Prax.g_00657
OG0000387	Pral.g_00948	Prax.g_01119
OG0000388	Pral.g_00944	Prax.g_01116
OG0000389	Pral.g_00941	Prax.g_01113
OG0000390	Pral.g_00932	Prax.g_01106
OG0000391	Pral.g_00929	Prax.g_01102
OG0000392	Pral.g_00925	Prax.g_01098
OG0000393	Pral.g_00922	Prax.g_01096
OG0000394	Pral.g_00921	Prax.g_01095
OG0000395	Pral.g_00920	Prax.g_01094
OG0000396	Pral.g_00918	Prax.g_01091
OG0000397	Pral.g_00916	Prax.g_01089
OG0000398	Pral.g_00913	Prax.g_01087
OG0000399	Pral.g_00912	Prax.g_01086
OG0000400	Pral.g_00911	Prax.g_01085
OG0000401	Pral.g_00910	Prax.g_01084
OG0000402	Pral.g_00450	Prax.g_01082
OG0000403	Pral.g_00908	Prax.g_01081
OG0000404	Pral.g_00907	Prax.g_01080
OG0000405	Pral.g_00903	Prax.g_01076
OG0000406	Pral.g_00898	Prax.g_01071
OG0000407	Pral.g_00897	Prax.g_01070
OG0000408	Pral.g_00895	Prax.g_01068
OG0000409	Pral.g_00893	Prax.g_01066
OG0000410	Pral.g_00892	Prax.g_01065
OG0000411	Pral.g_00891	Prax.g_01064
OG0000412	Pral.g_00890	Prax.g_01063
OG0000413	Pral.g_00888	Prax.g_01062
OG0000414	Pral.g_00887	Prax.g_01061
OG0000415	Pral.g_00886	Prax.g_01060
OG0000416	Pral.g_00885	Prax.g_01059
OG0000417	Pral.g_00884	Prax.g_01058
OG0000418	Pral.g_00879	Prax.g_01053
OG0000419	Pral.g_00877	Prax.g_01051
OG0000420	Pral.g_00875	Prax.g_01050
OG0000421	Pral.g_00871	Prax.g_01045
OG0000422	Pral.g_00870	Prax.g_01044
OG0000423	Pral.g_00869	Prax.g_01043
OG0000424	Pral.g_00868	Prax.g_01042
OG0000425	Pral.g_00867	Prax.g_01041
OG0000426	Pral.g_00866	Prax.g_01040
OG0000427	Pral.g_00865	Prax.g_01039
OG0000428	Pral.g_00863	Prax.g_01037
OG0000429	Pral.g_00862	Prax.g_01036
OG0000430	Pral.g_00861	Prax.g_01035
OG0000431	Pral.g_00859	Prax.g_01033
OG0000432	Pral.g_00855	Prax.g_01030
OG0000433	Pral.g_00854	Prax.g_01029
OG0000434	Pral.g_00853	Prax.g_01028
OG0000435	Pral.g_00852	Prax.g_01027
OG0000436	Pral.g_00847	Prax.g_01022
OG0000437	Pral.g_00846	Prax.g_01021
OG0000438	Pral.g_00845	Prax.g_01020
OG0000439	Pral.g_00844	Prax.g_01018
OG0000440	Pral.g_00843	Prax.g_01017
OG0000441	Pral.g_00840	Prax.g_01014
OG0000442	Pral.g_00839	Prax.g_01013
OG0000443	Pral.g_00838	Prax.g_01012
OG0000444	Pral.g_00833	Prax.g_01007
OG0000445	Pral.g_00832	Prax.g_01006
OG0000446	Pral.g_00831	Prax.g_01005
OG0000447	Pral.g_00830	Prax.g_01004
OG0000448	Pral.g_00829	Prax.g_01003
OG0000449	Pral.g_00828	Prax.g_01002
OG0000450	Pral.g_00827	Prax.g_01001
OG0000451	Pral.g_00826	Prax.g_01000
OG0000452	Pral.g_00823	Prax.g_00997
OG0000453	Pral.g_00822	Prax.g_00996
OG0000454	Pral.g_00821	Prax.g_00995
OG0000455	Pral.g_00820	Prax.g_00994
OG0000456	Pral.g_00819	Prax.g_00993
OG0000457	Pral.g_00817	Prax.g_00992
OG0000458	Pral.g_00816	Prax.g_00991
OG0000459	Pral.g_00815	Prax.g_00990
OG0000460	Pral.g_00805	Prax.g_00983
OG0000461	Pral.g_00796	Prax.g_00933
OG0000462	Pral.g_00795	Prax.g_00931
OG0000463	Pral.g_00794	Prax.g_00930
OG0000464	Pral.g_00793	Prax.g_00929
OG0000465	Pral.g_00792	Prax.g_00928
OG0000466	Pral.g_00789	Prax.g_00925
OG0000467	Pral.g_00788	Prax.g_00924
OG0000468	Pral.g_00785	Prax.g_00922
OG0000469	Pral.g_00777	Prax.g_00913
OG0000470	Pral.g_00775	Prax.g_00911
OG0000471	Pral.g_00774	Prax.g_00910
OG0000472	Pral.g_00773	Prax.g_00909
OG0000473	Pral.g_00771	Prax.g_00907
OG0000474	Pral.g_00770	Prax.g_00906
OG0000475	Pral.g_00769	Prax.g_00905
OG0000476	Pral.g_00767	Prax.g_00904
OG0000477	Pral.g_00764	Prax.g_00900
OG0000478	Pral.g_00763	Prax.g_00899
OG0000479	Pral.g_00762	Prax.g_00898
OG0000480	Pral.g_00756	Prax.g_00893
OG0000481	Pral.g_00754	Prax.g_00891
OG0000482	Pral.g_00753	Prax.g_00890
OG0000483	Pral.g_00750	Prax.g_00887
OG0000484	Pral.g_00749	Prax.g_00886
OG0000485	Pral.g_00748	Prax.g_00885
OG0000486	Pral.g_00747	Prax.g_00884
OG0000487	Pral.g_00743	Prax.g_00880
OG0000488	Pral.g_00740	Prax.g_00877
OG0000489	Pral.g_00735	Prax.g_00872
OG0000490	Pral.g_00731	Prax.g_00867
OG0000491	Pral.g_00730	Prax.g_00866
OG0000492	Pral.g_00728	Prax.g_00864
OG0000493	Pral.g_00727	Prax.g_00863
OG0000494	Pral.g_00726	Prax.g_00862
OG0000495	Pral.g_00725	Prax.g_00861
OG0000496	Pral.g_00724	Prax.g_00860
OG0000497	Pral.g_00723	Prax.g_00859
OG0000498	Pral.g_00722	Prax.g_00858
OG0000499	Pral.g_00721	Prax.g_00857
OG0000500	Pral.g_00720	Prax.g_00856
OG0000501	Pral.g_00718	Prax.g_00854
OG0000502	Pral.g_00715	Prax.g_00849
OG0000503	Pral.g_00698	Prax.g_00839
OG0000504	Pral.g_00696	Prax.g_00838
OG0000505	Pral.g_00695	Prax.g_00837
OG0000506	Pral.g_00694	Prax.g_00835
OG0000507	Pral.g_00691	Prax.g_00832
OG0000508	Pral.g_00687	Prax.g_00828
OG0000509	Pral.g_00685	Prax.g_00826
OG0000510	Pral.g_00684	Prax.g_00825
OG0000511	Pral.g_00683	Prax.g_00824
OG0000512	Pral.g_00681	Prax.g_00822
OG0000513	Pral.g_00673	Prax.g_00815
OG0000514	Pral.g_00663	Prax.g_00769
OG0000515	Pral.g_00662	Prax.g_00768
OG0000516	Pral.g_00661	Prax.g_00767
OG0000517	Pral.g_00659	Prax.g_00765
OG0000518	Pral.g_00647	Prax.g_00754
OG0000519	Pral.g_00646	Prax.g_00753
OG0000520	Pral.g_00645	Prax.g_00752
OG0000521	Pral.g_00635	Prax.g_00747
OG0000522	Pral.g_00633	Prax.g_00746
OG0000523	Pral.g_00632	Prax.g_00745
OG0000524	Pral.g_00627	Prax.g_00740
OG0000525	Pral.g_00623	Prax.g_00737
OG0000526	Pral.g_00622	Prax.g_00736
OG0000527	Pral.g_00619	Prax.g_00729
OG0000528	Pral.g_00613	Prax.g_00724
OG0000529	Pral.g_00610	Prax.g_00721
OG0000530	Pral.g_00607	Prax.g_00718
OG0000531	Pral.g_00606	Prax.g_00717
OG0000532	Pral.g_00603	Prax.g_00715
OG0000533	Pral.g_00602	Prax.g_00714
OG0000534	Pral.g_00601	Prax.g_00713
OG0000535	Pral.g_00600	Prax.g_00712
OG0000536	Pral.g_00599	Prax.g_00711
OG0000537	Pral.g_00598	Prax.g_00709
OG0000538	Pral.g_00590	Prax.g_00701
OG0000539	Pral.g_00589	Prax.g_00700
OG0000540	Pral.g_00588	Prax.g_00699
OG0000541	Pral.g_00587	Prax.g_00698
OG0000542	Pral.g_00585	Prax.g_00696
OG0000543	Pral.g_00583	Prax.g_00694
OG0000544	Pral.g_00582	Prax.g_00693
OG0000545	Pral.g_00580	Prax.g_00691
OG0000546	Pral.g_00577	Prax.g_00688
OG0000547	Pral.g_00575	Prax.g_00686
OG0000548	Pral.g_00574	Prax.g_00685
OG0000549	Pral.g_00571	Prax.g_00683
OG0000550	Pral.g_00566	Prax.g_00678
OG0000551	Pral.g_00563	Prax.g_00674
OG0000552	Pral.g_00562	Prax.g_00673
OG0000553	Pral.g_00561	Prax.g_00672
OG0000554	Pral.g_00556	Prax.g_00667
OG0000555	Pral.g_00548	Prax.g_00003
OG0000556	Pral.g_00546	Prax.g_00005
OG0000557	Pral.g_00545	Prax.g_00006
OG0000558	Pral.g_00543	Prax.g_00008
OG0000559	Pral.g_00539	Prax.g_00012
OG0000560	Pral.g_00536	Prax.g_00015
OG0000561	Pral.g_00535	Prax.g_00016
OG0000562	Pral.g_00534	Prax.g_00017
OG0000563	Pral.g_00533	Prax.g_00018
OG0000564	Pral.g_00532	Prax.g_00019
OG0000565	Pral.g_00529	Prax.g_00022
OG0000566	Pral.g_00525	Prax.g_00024
OG0000567	Pral.g_00521	Prax.g_00028
OG0000568	Pral.g_00520	Prax.g_00029
OG0000569	Pral.g_00519	Prax.g_00030
OG0000570	Pral.g_00518	Prax.g_00031
OG0000571	Pral.g_00515	Prax.g_00033
OG0000572	Pral.g_00503	Prax.g_00046
OG0000573	Pral.g_00497	Prax.g_00051
OG0000574	Pral.g_00496	Prax.g_00052
OG0000575	Pral.g_00492	Prax.g_00056
OG0000576	Pral.g_00490	Prax.g_00058
OG0000577	Pral.g_00489	Prax.g_00059
OG0000578	Pral.g_00488	Prax.g_00060
OG0000579	Pral.g_00487	Prax.g_00061
OG0000580	Pral.g_00486	Prax.g_00062
