Orthogroup	Pral	Syag
OG0000162	Pral.g_01148	Syag.g_01402
OG0000163	Pral.g_01106	Syag.g_01618
OG0000164	Pral.g_00131	Syag.g_01725
OG0000165	Pral.g_00138	Syag.g_01733
OG0000166	Pral.g_00206	Syag.g_02733
OG0000167	Pral.g_00277	Syag.g_02437
OG0000168	Pral.g_00288	Syag.g_02417
OG0000169	Pral.g_00298	Syag.g_02405
OG0000170	Pral.g_00301	Syag.g_02398
OG0000171	Pral.g_00321	Syag.g_02368
OG0000172	Pral.g_00328	Syag.g_02360
OG0000173	Pral.g_00343	Syag.g_02337
OG0000174	Pral.g_00375	Syag.g_02175
OG0000175	Pral.g_00387	Syag.g_02240
OG0000176	Pral.g_00414	Syag.g_02276
OG0000177	Pral.g_00415	Syag.g_02277
OG0000178	Pral.g_00416	Syag.g_02278
OG0000179	Pral.g_01028	Syag.g_02293
OG0000180	Pral.g_01027	Syag.g_02294
OG0000181	Pral.g_01026	Syag.g_02295
OG0000182	Pral.g_01025	Syag.g_02296
OG0000183	Pral.g_01021	Syag.g_02300
OG0000184	Pral.g_00996	Syag.g_02110
OG0000185	Pral.g_00993	Syag.g_02092
OG0000186	Pral.g_00984	Syag.g_01815
OG0000187	Pral.g_00983	Syag.g_01816
OG0000188	Pral.g_00965	Syag.g_01839
OG0000189	Pral.g_00951	Syag.g_01872
OG0000190	Pral.g_00950	Syag.g_01874
OG0000191	Pral.g_00928	Syag.g_01909
OG0000192	Pral.g_00923	Syag.g_01915
OG0000193	Pral.g_00899	Syag.g_01952
OG0000194	Pral.g_00896	Syag.g_01955
OG0000195	Pral.g_00894	Syag.g_01957
OG0000196	Pral.g_00883	Syag.g_01968
OG0000197	Pral.g_00882	Syag.g_01969
OG0000198	Pral.g_00881	Syag.g_00108, Syag.g_01971
OG0000199	Pral.g_00873	Syag.g_01979
OG0000200	Pral.g_00860	Syag.g_01996
OG0000201	Pral.g_00851	Syag.g_02019
OG0000202	Pral.g_00850	Syag.g_02024
OG0000203	Pral.g_00849	Syag.g_02025
OG0000204	Pral.g_00848	Syag.g_02020, Syag.g_02026
OG0000205	Pral.g_00842	Syag.g_02035
OG0000206	Pral.g_00837	Syag.g_02047
OG0000207	Pral.g_00835	Syag.g_02051
OG0000208	Pral.g_00834	Syag.g_02052
OG0000209	Pral.g_00825	Syag.g_02069
OG0000210	Pral.g_00824	Syag.g_02070
OG0000211	Pral.g_00807	Syag.g_01788
OG0000212	Pral.g_00799	Syag.g_01777
OG0000213	Pral.g_00781	Syag.g_02632
OG0000214	Pral.g_00772	Syag.g_02615
OG0000215	Pral.g_00746	Syag.g_02584
OG0000216	Pral.g_00744	Syag.g_02580
OG0000217	Pral.g_00741	Syag.g_02576
OG0000218	Pral.g_00739	Syag.g_02574
OG0000219	Pral.g_00738	Syag.g_02573
OG0000220	Pral.g_00737	Syag.g_02572
OG0000221	Pral.g_00736	Syag.g_02566
OG0000222	Pral.g_00729	Syag.g_02550
OG0000223	Pral.g_00716	Syag.g_02475
OG0000224	Pral.g_00714	Syag.g_02471
OG0000225	Pral.g_00686	Syag.g_02861
OG0000226	Pral.g_00682	Syag.g_02865
OG0000227	Pral.g_00680	Syag.g_02867
OG0000228	Pral.g_00677	Syag.g_00004
OG0000229	Pral.g_00658	Syag.g_00033
OG0000230	Pral.g_00656	Syag.g_00035
OG0000231	Pral.g_00644	Syag.g_00048
OG0000232	Pral.g_00631	Syag.g_00059
OG0000233	Pral.g_00625	Syag.g_01330
OG0000234	Pral.g_00616	Syag.g_01358
OG0000235	Pral.g_00612	Syag.g_01529
OG0000236	Pral.g_00597	Syag.g_01513
OG0000237	Pral.g_00584	Syag.g_01495
OG0000238	Pral.g_00578	Syag.g_01490
OG0000239	Pral.g_00565	Syag.g_01472
OG0000240	Pral.g_00564	Syag.g_01471
OG0000241	Pral.g_00560	Syag.g_00396
OG0000242	Pral.g_00558	Syag.g_01456
OG0000243	Pral.g_00547	Syag.g_00255
OG0000244	Pral.g_00544	Syag.g_00268
OG0000245	Pral.g_00542	Syag.g_00270
OG0000246	Pral.g_00538	Syag.g_00274
OG0000247	Pral.g_00527	Syag.g_00286
OG0000248	Pral.g_00524	Syag.g_00289
OG0000249	Pral.g_00522	Syag.g_00291
OG0000250	Pral.g_00516	Syag.g_00299
OG0000251	Pral.g_00498	Syag.g_00328
OG0000252	Pral.g_00495	Syag.g_00331
OG0000253	Pral.g_00494	Syag.g_00333
OG0000254	Pral.g_00477	Syag.g_00356
OG0000255	Pral.g_00470	Syag.g_00369
OG0000256	Pral.g_00460	Syag.g_00385
OG0000257	Pral.g_01430	Syag.g_00395
OG0000258	Pral.g_01444	Syag.g_00423
OG0000259	Pral.g_01461	Syag.g_00560
OG0000260	Pral.g_01464	Syag.g_00570
OG0000261	Pral.g_01467	Syag.g_00581
OG0000262	Pral.g_01471	Syag.g_00586
OG0000263	Pral.g_01761	Syag.g_01079
OG0000264	Pral.g_01750	Syag.g_01011
OG0000265	Pral.g_01729	Syag.g_01021
OG0000266	Pral.g_01719	Syag.g_00907
OG0000267	Pral.g_01706	Syag.g_00762
OG0000268	Pral.g_01705	Syag.g_00763
OG0000269	Pral.g_01483	Syag.g_00662
OG0000270	Pral.g_01486	Syag.g_00665
OG0000271	Pral.g_01494	Syag.g_00673
OG0000274	Pral.g_01519	Syag.g_00714
OG0000275	Pral.g_01522	Syag.g_00717
OG0000276	Pral.g_01527	Syag.g_00723
OG0000277	Pral.g_01528	Syag.g_00724
OG0000278	Pral.g_01531	Syag.g_00727
OG0000279	Pral.g_01538	Syag.g_00735
OG0000280	Pral.g_01539	Syag.g_00741
OG0000281	Pral.g_01546	Syag.g_00572
OG0000282	Pral.g_01797	Syag.g_00611
OG0000283	Pral.g_01655	Syag.g_00775
OG0000284	Pral.g_01650	Syag.g_00780
OG0000285	Pral.g_01644	Syag.g_00791
OG0000286	Pral.g_01628	Syag.g_00809
OG0000287	Pral.g_00050	Syag.g_00838
OG0000288	Pral.g_01594	Syag.g_00869
OG0000289	Pral.g_01609	Syag.g_00884
OG0000290	Pral.g_01564	Syag.g_00970
OG0000291	Pral.g_01562	Syag.g_00972
OG0000292	Pral.g_01316	Syag.g_02265
OG0000293	Pral.g_01357	Syag.g_01155
OG0000294	Pral.g_01358	Syag.g_01154
OG0000295	Pral.g_01382	Syag.g_01115
OG0000296	Pral.g_01384	Syag.g_01113
OG0000297	Pral.g_01394	Syag.g_01099
OG0000298	Pral.g_01395	Syag.g_01098
OG0000299	Pral.g_01415	Syag.g_01067
OG0000301	Pral.g_01420	Syag.g_01061
OG0000302	Pral.g_01422	Syag.g_01060
OG0000303	Pral.g_01428	Syag.g_01048
OG0000304	Pral.g_00455	Syag.g_01041
OG0000305	Pral.g_01323	Syag.g_00977
OG0000306	Pral.g_01550	Syag.g_00460
OG0000307	Pral.g_01213	Syag.g_01546
OG0000308	Pral.g_01212	Syag.g_01548
OG0000309	Pral.g_01208	Syag.g_01553
OG0000310	Pral.g_01181	Syag.g_01291
OG0000311	Pral.g_01179	Syag.g_01300
OG0000312	Pral.g_01176	Syag.g_01434
OG0000313	Pral.g_01157	Syag.g_00966, Syag.g_01412
OG0000314	Pral.g_01133	Syag.g_01380
OG0000315	Pral.g_01123	Syag.g_01369
OG0000316	Pral.g_01095	Syag.g_01641
OG0000317	Pral.g_00104	Syag.g_01684
OG0000318	Pral.g_00108	Syag.g_01688
OG0000319	Pral.g_00121	Syag.g_01710
OG0000320	Pral.g_00123	Syag.g_01712
OG0000321	Pral.g_00124	Syag.g_01713
OG0000322	Pral.g_00125	Syag.g_01714
OG0000323	Pral.g_00134	Syag.g_01728
OG0000324	Pral.g_00162	Syag.g_01757
OG0000325	Pral.g_00172	Syag.g_02690
OG0000326	Pral.g_00179	Syag.g_02698
OG0000327	Pral.g_00201	Syag.g_02728
OG0000328	Pral.g_00202	Syag.g_02729
OG0000329	Pral.g_00219	Syag.g_02747
OG0000330	Pral.g_00220	Syag.g_02748
OG0000331	Pral.g_00221	Syag.g_02749
OG0000332	Pral.g_00235	Syag.g_02764
OG0000333	Pral.g_00237	Syag.g_02767
OG0000334	Pral.g_00246	Syag.g_02777
OG0000335	Pral.g_00251	Syag.g_02782
OG0000336	Pral.g_00255	Syag.g_02786
OG0000337	Pral.g_00274	Syag.g_02445
OG0000338	Pral.g_00275	Syag.g_02440
OG0000340	Pral.g_00289	Syag.g_02416
OG0000341	Pral.g_00291	Syag.g_02414
OG0000342	Pral.g_00292	Syag.g_02413
OG0000343	Pral.g_00293	Syag.g_02411
OG0000344	Pral.g_00296	Syag.g_02407
OG0000345	Pral.g_00302	Syag.g_02397
OG0000346	Pral.g_00306	Syag.g_02392
OG0000347	Pral.g_00323	Syag.g_02366
OG0000348	Pral.g_00331	Syag.g_02357
OG0000349	Pral.g_00349	Syag.g_02330
OG0000350	Pral.g_00370	Syag.g_02705
OG0000351	Pral.g_00390	Syag.g_02244
OG0000352	Pral.g_00391	Syag.g_02245
OG0000353	Pral.g_00409	Syag.g_02271
OG0000354	Pral.g_01677	Syag.g_02291
OG0000355	Pral.g_00411	Syag.g_02273
OG0000356	Pral.g_00412	Syag.g_02274
OG0000357	Pral.g_00413	Syag.g_02275
OG0000358	Pral.g_00417	Syag.g_02279
OG0000359	Pral.g_00418	Syag.g_02281
OG0000360	Pral.g_00419	Syag.g_02282
OG0000361	Pral.g_00420	Syag.g_02283
OG0000362	Pral.g_00422	Syag.g_02285
OG0000363	Pral.g_01030	Syag.g_02287
OG0000364	Pral.g_01029	Syag.g_02288
OG0000365	Pral.g_01024	Syag.g_02297
OG0000366	Pral.g_01023	Syag.g_02298
OG0000367	Pral.g_01022	Syag.g_02299
OG0000368	Pral.g_01020	Syag.g_02301
OG0000369	Pral.g_01019	Syag.g_02302
OG0000370	Pral.g_01018	Syag.g_02303
OG0000371	Pral.g_01011	Syag.g_02312
OG0000372	Pral.g_01009	Syag.g_02317
OG0000373	Pral.g_01008	Syag.g_02318
OG0000374	Pral.g_01007	Syag.g_02319
OG0000375	Pral.g_01005	Syag.g_02326
OG0000376	Pral.g_01003	Syag.g_02328
OG0000377	Pral.g_00999	Syag.g_02119
OG0000378	Pral.g_00995	Syag.g_02099
OG0000379	Pral.g_00992	Syag.g_02091
OG0000380	Pral.g_00982	Syag.g_01817
OG0000381	Pral.g_00977	Syag.g_01820
OG0000382	Pral.g_00966	Syag.g_01838
OG0000383	Pral.g_00964	Syag.g_01843
OG0000384	Pral.g_00963	Syag.g_01844
OG0000385	Pral.g_00962	Syag.g_01845
OG0000386	Pral.g_00961	Syag.g_01846
OG0000387	Pral.g_00948	Syag.g_01876
OG0000388	Pral.g_00944	Syag.g_01880
OG0000389	Pral.g_00941	Syag.g_01884
OG0000390	Pral.g_00932	Syag.g_01903
OG0000391	Pral.g_00929	Syag.g_01908
OG0000392	Pral.g_00925	Syag.g_01914
OG0000393	Pral.g_00922	Syag.g_01917
OG0000394	Pral.g_00921	Syag.g_01918
OG0000395	Pral.g_00920	Syag.g_01919
OG0000396	Pral.g_00918	Syag.g_01922
OG0000397	Pral.g_00916	Syag.g_01924
OG0000398	Pral.g_00913	Syag.g_01929
OG0000399	Pral.g_00912	Syag.g_01930
OG0000400	Pral.g_00911	Syag.g_01931
OG0000401	Pral.g_00910	Syag.g_01932
OG0000402	Pral.g_00450	Syag.g_01934
OG0000403	Pral.g_00908	Syag.g_01935
OG0000404	Pral.g_00907	Syag.g_01937
OG0000405	Pral.g_00903	Syag.g_01949
OG0000406	Pral.g_00898	Syag.g_01953
OG0000407	Pral.g_00897	Syag.g_01954
OG0000408	Pral.g_00895	Syag.g_01956
OG0000409	Pral.g_00893	Syag.g_01958
OG0000410	Pral.g_00892	Syag.g_01959
OG0000411	Pral.g_00891	Syag.g_01960
OG0000412	Pral.g_00890	Syag.g_01961
OG0000413	Pral.g_00888	Syag.g_01963
OG0000414	Pral.g_00887	Syag.g_01964
OG0000415	Pral.g_00886	Syag.g_01965
OG0000416	Pral.g_00885	Syag.g_01966
OG0000417	Pral.g_00884	Syag.g_01967
OG0000418	Pral.g_00879	Syag.g_01973
OG0000419	Pral.g_00877	Syag.g_01975
OG0000420	Pral.g_00875	Syag.g_01977
OG0000421	Pral.g_00871	Syag.g_01982
OG0000422	Pral.g_00870	Syag.g_01983
OG0000423	Pral.g_00869	Syag.g_01984
OG0000424	Pral.g_00868	Syag.g_01985
OG0000425	Pral.g_00867	Syag.g_01986
OG0000426	Pral.g_00866	Syag.g_01987
OG0000427	Pral.g_00865	Syag.g_01988
OG0000428	Pral.g_00863	Syag.g_01991
OG0000429	Pral.g_00862	Syag.g_01993
OG0000430	Pral.g_00861	Syag.g_01995
OG0000431	Pral.g_00859	Syag.g_01998
OG0000432	Pral.g_00855	Syag.g_02007
OG0000433	Pral.g_00854	Syag.g_02009
OG0000434	Pral.g_00853	Syag.g_02010
OG0000435	Pral.g_00852	Syag.g_02017
OG0000436	Pral.g_00847	Syag.g_02028
OG0000437	Pral.g_00846	Syag.g_02029
OG0000438	Pral.g_00845	Syag.g_02031
OG0000439	Pral.g_00844	Syag.g_02033
OG0000440	Pral.g_00843	Syag.g_02034
OG0000441	Pral.g_00840	Syag.g_02041
OG0000442	Pral.g_00839	Syag.g_02044
OG0000443	Pral.g_00838	Syag.g_02046
OG0000444	Pral.g_00833	Syag.g_02053
OG0000445	Pral.g_00832	Syag.g_02054
OG0000446	Pral.g_00831	Syag.g_02056
OG0000447	Pral.g_00830	Syag.g_02059
OG0000448	Pral.g_00829	Syag.g_02060
OG0000449	Pral.g_00828	Syag.g_02061
OG0000450	Pral.g_00827	Syag.g_02066
OG0000451	Pral.g_00826	Syag.g_02067
OG0000452	Pral.g_00823	Syag.g_02071
OG0000453	Pral.g_00822	Syag.g_02072
OG0000454	Pral.g_00821	Syag.g_02073
OG0000455	Pral.g_00820	Syag.g_02074
OG0000456	Pral.g_00819	Syag.g_02075
OG0000457	Pral.g_00817	Syag.g_02077
OG0000458	Pral.g_00816	Syag.g_02080
OG0000459	Pral.g_00815	Syag.g_02081
OG0000460	Pral.g_00805	Syag.g_01786
OG0000461	Pral.g_00796	Syag.g_02675
OG0000462	Pral.g_00795	Syag.g_02672
OG0000463	Pral.g_00794	Syag.g_02671
OG0000464	Pral.g_00793	Syag.g_02670
OG0000465	Pral.g_00792	Syag.g_02668
OG0000466	Pral.g_00789	Syag.g_02662
OG0000467	Pral.g_00788	Syag.g_02660
OG0000468	Pral.g_00785	Syag.g_02636
OG0000469	Pral.g_00777	Syag.g_02621
OG0000470	Pral.g_00775	Syag.g_02619
OG0000471	Pral.g_00774	Syag.g_02618
OG0000472	Pral.g_00773	Syag.g_02616
OG0000473	Pral.g_00771	Syag.g_02614
OG0000474	Pral.g_00770	Syag.g_02613
OG0000475	Pral.g_00769	Syag.g_02612
OG0000476	Pral.g_00767	Syag.g_02610
OG0000477	Pral.g_00764	Syag.g_02604
OG0000478	Pral.g_00763	Syag.g_02603
OG0000479	Pral.g_00762	Syag.g_02602
OG0000480	Pral.g_00756	Syag.g_02595
OG0000481	Pral.g_00754	Syag.g_02593
OG0000482	Pral.g_00753	Syag.g_02592
OG0000483	Pral.g_00750	Syag.g_02588
OG0000484	Pral.g_00749	Syag.g_02587
OG0000485	Pral.g_00748	Syag.g_02586
OG0000486	Pral.g_00747	Syag.g_02585
OG0000487	Pral.g_00743	Syag.g_02579
OG0000488	Pral.g_00740	Syag.g_02575
OG0000489	Pral.g_00735	Syag.g_02565
OG0000490	Pral.g_00731	Syag.g_02553
OG0000491	Pral.g_00730	Syag.g_02551
OG0000492	Pral.g_00728	Syag.g_02549
OG0000493	Pral.g_00727	Syag.g_02548
OG0000494	Pral.g_00726	Syag.g_02547
OG0000495	Pral.g_00725	Syag.g_02546
OG0000496	Pral.g_00724	Syag.g_02545
OG0000497	Pral.g_00723	Syag.g_02544
OG0000498	Pral.g_00722	Syag.g_02543
OG0000499	Pral.g_00721	Syag.g_02542
OG0000500	Pral.g_00720	Syag.g_02541
OG0000501	Pral.g_00718	Syag.g_02538
OG0000502	Pral.g_00715	Syag.g_02467
OG0000503	Pral.g_00698	Syag.g_02843
OG0000504	Pral.g_00696	Syag.g_02845
OG0000505	Pral.g_00695	Syag.g_02846
OG0000506	Pral.g_00694	Syag.g_02849
OG0000507	Pral.g_00691	Syag.g_02855
OG0000508	Pral.g_00687	Syag.g_02860
OG0000509	Pral.g_00685	Syag.g_02862
OG0000510	Pral.g_00684	Syag.g_02863
OG0000511	Pral.g_00683	Syag.g_02864
OG0000512	Pral.g_00681	Syag.g_02866
OG0000513	Pral.g_00673	Syag.g_00009
OG0000514	Pral.g_00663	Syag.g_00018
OG0000515	Pral.g_00662	Syag.g_00019
OG0000516	Pral.g_00661	Syag.g_00025
OG0000517	Pral.g_00659	Syag.g_00032
OG0000518	Pral.g_00647	Syag.g_00044
OG0000519	Pral.g_00646	Syag.g_00045
OG0000520	Pral.g_00645	Syag.g_00046
OG0000521	Pral.g_00635	Syag.g_00054
OG0000522	Pral.g_00633	Syag.g_00056
OG0000523	Pral.g_00632	Syag.g_00057
OG0000524	Pral.g_00627	Syag.g_01327
OG0000525	Pral.g_00623	Syag.g_01345
OG0000526	Pral.g_00622	Syag.g_01348
OG0000527	Pral.g_00619	Syag.g_01354
OG0000528	Pral.g_00613	Syag.g_01532
OG0000529	Pral.g_00610	Syag.g_01527
OG0000530	Pral.g_00607	Syag.g_01524
OG0000531	Pral.g_00606	Syag.g_01523
OG0000532	Pral.g_00603	Syag.g_01520
OG0000533	Pral.g_00602	Syag.g_01518
OG0000534	Pral.g_00601	Syag.g_01517
OG0000535	Pral.g_00600	Syag.g_01516
OG0000536	Pral.g_00599	Syag.g_01515
OG0000537	Pral.g_00598	Syag.g_01514
OG0000538	Pral.g_00590	Syag.g_01502
OG0000539	Pral.g_00589	Syag.g_01501
OG0000540	Pral.g_00588	Syag.g_01500
OG0000541	Pral.g_00587	Syag.g_01499
OG0000542	Pral.g_00585	Syag.g_01496
OG0000543	Pral.g_00583	Syag.g_01494
OG0000544	Pral.g_00582	Syag.g_01493
OG0000545	Pral.g_00580	Syag.g_01491
OG0000546	Pral.g_00577	Syag.g_01489
OG0000547	Pral.g_00575	Syag.g_01487
OG0000548	Pral.g_00574	Syag.g_01486
OG0000549	Pral.g_00571	Syag.g_01480
OG0000550	Pral.g_00566	Syag.g_01474
OG0000551	Pral.g_00563	Syag.g_01470
OG0000552	Pral.g_00562	Syag.g_01469
OG0000553	Pral.g_00561	Syag.g_01464
OG0000554	Pral.g_00556	Syag.g_01453
OG0000555	Pral.g_00548	Syag.g_00075
OG0000556	Pral.g_00546	Syag.g_00257
OG0000557	Pral.g_00545	Syag.g_00267
OG0000558	Pral.g_00543	Syag.g_00269
OG0000559	Pral.g_00539	Syag.g_00273
OG0000560	Pral.g_00536	Syag.g_00276
OG0000561	Pral.g_00535	Syag.g_00277
OG0000562	Pral.g_00534	Syag.g_00278
OG0000563	Pral.g_00533	Syag.g_00279
OG0000564	Pral.g_00532	Syag.g_00280
OG0000565	Pral.g_00529	Syag.g_00284
OG0000566	Pral.g_00525	Syag.g_00288
OG0000567	Pral.g_00521	Syag.g_00292
OG0000568	Pral.g_00520	Syag.g_00295
OG0000569	Pral.g_00519	Syag.g_00296
OG0000570	Pral.g_00518	Syag.g_00297
OG0000571	Pral.g_00515	Syag.g_00301
OG0000572	Pral.g_00503	Syag.g_00251, Syag.g_00320
OG0000573	Pral.g_00497	Syag.g_00329
OG0000574	Pral.g_00496	Syag.g_00330
OG0000575	Pral.g_00492	Syag.g_00335
OG0000576	Pral.g_00490	Syag.g_00337
OG0000577	Pral.g_00489	Syag.g_00338
OG0000578	Pral.g_00488	Syag.g_00339
OG0000579	Pral.g_00487	Syag.g_00340
OG0000580	Pral.g_00486	Syag.g_00341
OG0000581	Pral.g_00483	Syag.g_00348
OG0000582	Pral.g_00480	Syag.g_00353
OG0000583	Pral.g_00479	Syag.g_00354
OG0000584	Pral.g_00478	Syag.g_00355
OG0000585	Pral.g_00476	Syag.g_00357
OG0000586	Pral.g_00475	Syag.g_00358
OG0000587	Pral.g_00474	Syag.g_00360
OG0000588	Pral.g_00469	Syag.g_00371
