Orthogroup	Pral	Syan
OG0000063	Pral.g_00435	Syan.g_01739
OG0000064	Pral.g_00980	Syan.g_02519, Syan.g_00785, Syan.g_02518
OG0000065	Pral.g_00940	Syan.g_02974
OG0000066	Pral.g_00551	Syan.g_01156
OG0000067	Pral.g_01488	Syan.g_00690
OG0000068	Pral.g_01222	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Pral.g_01114, Pral.g_01164	Syan.g_00278
OG0000070	Pral.g_00643	Syan.g_00289
OG0000071	Pral.g_01281	Syan.g_01213
OG0000072	Pral.g_00872	Syan.g_03038, Syan.g_02999
OG0000073	Pral.g_00591	Syan.g_02741
OG0000075	Pral.g_00279	Syan.g_00981, Syan.g_01937
OG0000076	Pral.g_00305	Syan.g_01896
OG0000079	Pral.g_00787	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Pral.g_00057	Syan.g_00952
OG0000085	Pral.g_00099	Syan.g_01387
OG0000086	Pral.g_00959	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Pral.g_00906	Syan.g_02268
OG0000088	Pral.g_00878	Syan.g_03031
OG0000089	Pral.g_00676	Syan.g_02316
OG0000090	Pral.g_00557	Syan.g_01166
OG0000091	Pral.g_01443	Syan.g_00235, Syan.g_00808
OG0000092	Pral.g_01794, Pral.g_01244	Syan.g_02502
OG0000093	Pral.g_01472	Syan.g_00708, Syan.g_02934
OG0000094	Pral.g_01604	Syan.g_00065
OG0000097	Pral.g_01416	Syan.g_00160, Syan.g_00733
OG0000098	Pral.g_01239	Syan.g_00043
OG0000099	Pral.g_01201	Syan.g_01968
OG0000100	Pral.g_01078	Syan.g_00658
OG0000101	Pral.g_00243	Syan.g_02199
OG0000102	Pral.g_00310	Syan.g_01891
OG0000103	Pral.g_00397	Syan.g_01692
OG0000104	Pral.g_00406	Syan.g_01792
OG0000105	Pral.g_00765	Syan.g_02031
OG0000106	Pral.g_01859	Syan.g_00076
OG0000107	Pral.g_00171	Syan.g_02106
OG0000108	Pral.g_00611	Syan.g_02764
OG0000109	Pral.g_00596	Syan.g_02748
OG0000110	Pral.g_00513	Syan.g_00882
OG0000111	Pral.g_01739	Syan.g_00187
OG0000112	Pral.g_01635	Syan.g_00556, Syan.g_00252
OG0000113	Pral.g_01511	Syan.g_00664
OG0000114	Pral.g_01799	Syan.g_00741
OG0000115	Pral.g_01141	Syan.g_02810
OG0000116	Pral.g_01356	Syan.g_02710, Syan.g_00460
OG0000117	Pral.g_01398, Pral.g_01397, Pral.g_01396, Pral.g_01881	Syan.g_02644
OG0000118	Pral.g_01269	Syan.g_01241, Syan.g_01237
OG0000119	Pral.g_01861, Pral.g_01063	Syan.g_02672
OG0000120	Pral.g_00702	Syan.g_01966
OG0000121	Pral.g_01159	Syan.g_01273
OG0000123	Pral.g_00250	Syan.g_02190
OG0000124	Pral.g_00322	Syan.g_01873
OG0000125	Pral.g_00358	Syan.g_01573
OG0000126	Pral.g_00405	Syan.g_01705
OG0000128	Pral.g_00421	Syan.g_01768
OG0000129	Pral.g_01000	Syan.g_01563
OG0000130	Pral.g_00978	Syan.g_02906, Syan.g_02907
OG0000131	Pral.g_00900	Syan.g_03008
OG0000132	Pral.g_00880	Syan.g_03029
OG0000133	Pral.g_00717	Syan.g_00561
OG0000134	Pral.g_00674	Syan.g_02319
OG0000135	Pral.g_01034	Syan.g_01616
OG0000136	Pral.g_00653	Syan.g_01342
OG0000137	Pral.g_00617	Syan.g_02846
OG0000138	Pral.g_00595	Syan.g_02747
OG0000140	Pral.g_00552	Syan.g_00042
OG0000141	Pral.g_00481	Syan.g_01032
OG0000142	Pral.g_01436	Syan.g_00816
OG0000143	Pral.g_01440	Syan.g_00812
OG0000144	Pral.g_01453	Syan.g_00782
OG0000145	Pral.g_01037	Syan.g_02740
OG0000146	Pral.g_01636	Syan.g_00555, Syan.g_00253
OG0000147	Pral.g_01637	Syan.g_00254, Syan.g_00554
OG0000148	Pral.g_01505	Syan.g_00670
OG0000149	Pral.g_01535	Syan.g_00393
OG0000150	Pral.g_01545	Syan.g_01031
OG0000151	Pral.g_01789	Syan.g_00731
OG0000152	Pral.g_01627	Syan.g_00565
OG0000153	Pral.g_01578	Syan.g_00601
OG0000154	Pral.g_01595	Syan.g_00363
OG0000155	Pral.g_01390	Syan.g_02654
OG0000156	Pral.g_01292	Syan.g_02717
OG0000157	Pral.g_01291	Syan.g_02718
OG0000158	Pral.g_00287	Syan.g_01078, Syan.g_01926
OG0000159	Pral.g_01263	Syan.g_01120
OG0000160	Pral.g_01160	Syan.g_01274
OG0000161	Pral.g_01154	Syan.g_01268
OG0000162	Pral.g_01148	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Pral.g_01106	Syan.g_02405
OG0000164	Pral.g_00131	Syan.g_01440
OG0000165	Pral.g_00138	Syan.g_01448
OG0000166	Pral.g_00206	Syan.g_02239
OG0000167	Pral.g_00277	Syan.g_01941
OG0000168	Pral.g_00288	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Pral.g_00298	Syan.g_01912
OG0000170	Pral.g_00301	Syan.g_01901
OG0000171	Pral.g_00321	Syan.g_01875
OG0000172	Pral.g_00328	Syan.g_01810
OG0000173	Pral.g_00343	Syan.g_01720
OG0000174	Pral.g_00375	Syan.g_01619
OG0000175	Pral.g_00387	Syan.g_01678, Syan.g_00258
OG0000176	Pral.g_00414	Syan.g_01801
OG0000177	Pral.g_00415	Syan.g_01775
OG0000178	Pral.g_00416	Syan.g_01774
OG0000179	Pral.g_01028	Syan.g_01759
OG0000180	Pral.g_01027	Syan.g_01758
OG0000181	Pral.g_01026	Syan.g_01757
OG0000182	Pral.g_01025	Syan.g_01756
OG0000183	Pral.g_01021	Syan.g_01752
OG0000184	Pral.g_00996	Syan.g_01549
OG0000185	Pral.g_00993	Syan.g_01540
OG0000186	Pral.g_00984	Syan.g_02902
OG0000187	Pral.g_00983	Syan.g_02904
OG0000188	Pral.g_00965	Syan.g_02926
OG0000189	Pral.g_00951	Syan.g_02966
OG0000190	Pral.g_00950	Syan.g_00971
OG0000191	Pral.g_00928	Syan.g_02300
OG0000192	Pral.g_00923	Syan.g_02294
OG0000193	Pral.g_00899	Syan.g_03009
OG0000194	Pral.g_00896	Syan.g_03012
OG0000195	Pral.g_00894	Syan.g_03014
OG0000196	Pral.g_00883	Syan.g_03026
OG0000197	Pral.g_00882	Syan.g_03027
OG0000198	Pral.g_00881	Syan.g_03028
OG0000199	Pral.g_00873	Syan.g_03037
OG0000200	Pral.g_00860	Syan.g_03055
OG0000201	Pral.g_00851	Syan.g_03074
OG0000202	Pral.g_00850	Syan.g_03075
OG0000203	Pral.g_00849	Syan.g_03076
OG0000204	Pral.g_00848	Syan.g_03077
OG0000205	Pral.g_00842	Syan.g_03087
OG0000206	Pral.g_00837	Syan.g_03095
OG0000207	Pral.g_00835	Syan.g_03100
OG0000208	Pral.g_00834	Syan.g_03101
OG0000209	Pral.g_00825	Syan.g_01521
OG0000210	Pral.g_00824	Syan.g_01522
OG0000211	Pral.g_00807	Syan.g_02416
OG0000212	Pral.g_00799	Syan.g_01508, Syan.g_02438
OG0000213	Pral.g_00781	Syan.g_02059
OG0000214	Pral.g_00772	Syan.g_02040
OG0000215	Pral.g_00746	Syan.g_02010
OG0000216	Pral.g_00744	Syan.g_02006
OG0000217	Pral.g_00741	Syan.g_02001
OG0000218	Pral.g_00739	Syan.g_01999
OG0000219	Pral.g_00738	Syan.g_01998
OG0000220	Pral.g_00737	Syan.g_01997
OG0000221	Pral.g_00736	Syan.g_01994
OG0000222	Pral.g_00729	Syan.g_01981
OG0000223	Pral.g_00716	Syan.g_00228
OG0000224	Pral.g_00714	Syan.g_01959
OG0000225	Pral.g_00686	Syan.g_02997
OG0000226	Pral.g_00682	Syan.g_02990
OG0000227	Pral.g_00680	Syan.g_02988
OG0000228	Pral.g_00677	Syan.g_02315
OG0000229	Pral.g_00658	Syan.g_02396
OG0000230	Pral.g_00656	Syan.g_02398
OG0000231	Pral.g_00644	Syan.g_01333
OG0000232	Pral.g_00631	Syan.g_02801
OG0000233	Pral.g_00625	Syan.g_02876
OG0000234	Pral.g_00616	Syan.g_02844
OG0000235	Pral.g_00612	Syan.g_02765
OG0000236	Pral.g_00597	Syan.g_02749
OG0000237	Pral.g_00584	Syan.g_02731
OG0000238	Pral.g_00578	Syan.g_02726
OG0000239	Pral.g_00565	Syan.g_01187
OG0000240	Pral.g_00564	Syan.g_01186
OG0000241	Pral.g_00560	Syan.g_00822
OG0000242	Pral.g_00558	Syan.g_01168
OG0000243	Pral.g_00547	Syan.g_00840
OG0000244	Pral.g_00544	Syan.g_00848
OG0000245	Pral.g_00542	Syan.g_00850
OG0000246	Pral.g_00538	Syan.g_00854
OG0000247	Pral.g_00527	Syan.g_00866
OG0000248	Pral.g_00524	Syan.g_00869
OG0000249	Pral.g_00522	Syan.g_00871
OG0000250	Pral.g_00516	Syan.g_00878
OG0000251	Pral.g_00498	Syan.g_00961
OG0000252	Pral.g_00495	Syan.g_00966
OG0000253	Pral.g_00494	Syan.g_01000
OG0000254	Pral.g_00477	Syan.g_01026
OG0000255	Pral.g_00470	Syan.g_00978
OG0000256	Pral.g_00460	Syan.g_00001, Syan.g_01135
OG0000257	Pral.g_01430	Syan.g_00827
OG0000258	Pral.g_01444	Syan.g_00803
OG0000259	Pral.g_01461	Syan.g_00772
OG0000260	Pral.g_01464	Syan.g_00769
OG0000261	Pral.g_01467	Syan.g_00765
OG0000262	Pral.g_01471	Syan.g_00760
OG0000263	Pral.g_01761	Syan.g_02618
OG0000264	Pral.g_01750	Syan.g_00540
OG0000266	Pral.g_01719	Syan.g_00330
OG0000267	Pral.g_01706	Syan.g_00470
OG0000268	Pral.g_01705	Syan.g_00471
OG0000269	Pral.g_01483	Syan.g_00695
OG0000270	Pral.g_01486	Syan.g_00692
OG0000271	Pral.g_01494	Syan.g_00684
OG0000272	Pral.g_01495	Syan.g_00683
OG0000273	Pral.g_01518	Syan.g_00654
OG0000274	Pral.g_01519	Syan.g_00653
OG0000275	Pral.g_01522	Syan.g_00373
OG0000276	Pral.g_01527	Syan.g_00380
OG0000277	Pral.g_01528	Syan.g_00381
OG0000278	Pral.g_01531	Syan.g_00384
OG0000279	Pral.g_01538	Syan.g_00398
OG0000280	Pral.g_01539	Syan.g_00518
OG0000282	Pral.g_01797	Syan.g_00739
OG0000283	Pral.g_01655	Syan.g_00491
OG0000284	Pral.g_01650	Syan.g_00497
OG0000285	Pral.g_01644	Syan.g_00533
OG0000286	Pral.g_01628	Syan.g_00564
OG0000287	Pral.g_00050	Syan.g_00593
OG0000288	Pral.g_01594	Syan.g_00364
OG0000289	Pral.g_01609	Syan.g_00350
OG0000290	Pral.g_01564	Syan.g_00293
OG0000291	Pral.g_01562	Syan.g_00291
OG0000292	Pral.g_01316	Syan.g_01703
OG0000293	Pral.g_01357	Syan.g_02709
OG0000294	Pral.g_01358	Syan.g_02708
OG0000295	Pral.g_01382	Syan.g_02662
OG0000296	Pral.g_01384	Syan.g_02660
OG0000299	Pral.g_01415	Syan.g_02601
OG0000301	Pral.g_01420	Syan.g_02592
OG0000302	Pral.g_01422	Syan.g_02591
OG0000303	Pral.g_01428	Syan.g_02582
OG0000304	Pral.g_00455	Syan.g_02556
OG0000305	Pral.g_01323	Syan.g_00195
OG0000306	Pral.g_01550	Syan.g_00087
OG0000307	Pral.g_01213	Syan.g_02782
OG0000308	Pral.g_01212	Syan.g_02784
OG0000309	Pral.g_01208	Syan.g_02883
OG0000310	Pral.g_01181	Syan.g_01304
OG0000311	Pral.g_01179	Syan.g_01299
OG0000312	Pral.g_01176	Syan.g_01290
OG0000313	Pral.g_01157	Syan.g_01271
OG0000314	Pral.g_01133	Syan.g_02823
OG0000315	Pral.g_01123	Syan.g_02833
OG0000316	Pral.g_01095	Syan.g_01354
OG0000317	Pral.g_00104	Syan.g_01396
OG0000318	Pral.g_00108	Syan.g_01401
OG0000319	Pral.g_00121	Syan.g_01425
OG0000320	Pral.g_00123	Syan.g_01427
OG0000321	Pral.g_00124	Syan.g_01428
OG0000322	Pral.g_00125	Syan.g_01429
OG0000323	Pral.g_00134	Syan.g_01442
OG0000324	Pral.g_00162	Syan.g_01472
OG0000325	Pral.g_00172	Syan.g_02107
OG0000326	Pral.g_00179	Syan.g_02114
OG0000327	Pral.g_00201	Syan.g_02244
OG0000328	Pral.g_00202	Syan.g_02243
OG0000329	Pral.g_00219	Syan.g_02225
OG0000330	Pral.g_00220	Syan.g_02224
OG0000331	Pral.g_00221	Syan.g_02223
OG0000332	Pral.g_00235	Syan.g_02208
OG0000333	Pral.g_00237	Syan.g_02205
OG0000334	Pral.g_00246	Syan.g_00247, Syan.g_02194
OG0000335	Pral.g_00251	Syan.g_02189
OG0000336	Pral.g_00255	Syan.g_02185
OG0000337	Pral.g_00274	Syan.g_01949
OG0000338	Pral.g_00275	Syan.g_01943
OG0000339	Pral.g_00280	Syan.g_01935, Syan.g_00264
OG0000340	Pral.g_00289	Syan.g_01923
OG0000341	Pral.g_00291	Syan.g_01921
OG0000342	Pral.g_00292	Syan.g_01920
OG0000343	Pral.g_00293	Syan.g_01918
OG0000344	Pral.g_00296	Syan.g_01914
OG0000345	Pral.g_00302	Syan.g_01900
OG0000346	Pral.g_00306	Syan.g_01895
OG0000347	Pral.g_00323	Syan.g_01867
OG0000348	Pral.g_00331	Syan.g_01803
OG0000349	Pral.g_00349	Syan.g_01727
OG0000350	Pral.g_00370	Syan.g_02121
OG0000351	Pral.g_00390	Syan.g_01682
OG0000352	Pral.g_00391	Syan.g_01683
OG0000353	Pral.g_00409	Syan.g_01795
OG0000354	Pral.g_01677	Syan.g_01761
OG0000355	Pral.g_00411	Syan.g_01797
OG0000356	Pral.g_00412	Syan.g_01798
OG0000357	Pral.g_00413	Syan.g_01800
OG0000358	Pral.g_00417	Syan.g_01773
OG0000359	Pral.g_00418	Syan.g_01771
OG0000360	Pral.g_00419	Syan.g_01770
OG0000361	Pral.g_00420	Syan.g_01769
OG0000362	Pral.g_00422	Syan.g_01767
OG0000363	Pral.g_01030	Syan.g_01765
OG0000364	Pral.g_01029	Syan.g_01398
OG0000365	Pral.g_01024	Syan.g_01755
OG0000366	Pral.g_01023	Syan.g_01754
OG0000367	Pral.g_01022	Syan.g_01753
OG0000368	Pral.g_01020	Syan.g_01751
OG0000369	Pral.g_01019	Syan.g_01750
OG0000370	Pral.g_01018	Syan.g_01749
OG0000371	Pral.g_01011	Syan.g_01740
OG0000372	Pral.g_01009	Syan.g_01734
OG0000373	Pral.g_01008	Syan.g_01733
OG0000374	Pral.g_01007	Syan.g_01732
OG0000375	Pral.g_01005	Syan.g_01731
OG0000376	Pral.g_01003	Syan.g_01729
OG0000377	Pral.g_00999	Syan.g_01555
OG0000378	Pral.g_00995	Syan.g_01543
OG0000379	Pral.g_00992	Syan.g_01539
OG0000380	Pral.g_00982	Syan.g_02905
OG0000381	Pral.g_00977	Syan.g_02908
OG0000382	Pral.g_00966	Syan.g_02925
OG0000383	Pral.g_00964	Syan.g_02936
OG0000384	Pral.g_00963	Syan.g_02937
OG0000385	Pral.g_00962	Syan.g_02938
OG0000386	Pral.g_00961	Syan.g_02939
OG0000387	Pral.g_00948	Syan.g_00967
OG0000388	Pral.g_00944	Syan.g_02970
OG0000389	Pral.g_00941	Syan.g_02973
OG0000390	Pral.g_00932	Syan.g_02306
OG0000391	Pral.g_00929	Syan.g_02301
OG0000392	Pral.g_00925	Syan.g_02295
OG0000393	Pral.g_00922	Syan.g_02292
OG0000394	Pral.g_00921	Syan.g_02291
OG0000395	Pral.g_00920	Syan.g_02290
OG0000396	Pral.g_00918	Syan.g_02287
OG0000397	Pral.g_00916	Syan.g_02285
OG0000398	Pral.g_00913	Syan.g_02279
OG0000399	Pral.g_00912	Syan.g_02278
OG0000400	Pral.g_00911	Syan.g_02277
OG0000401	Pral.g_00910	Syan.g_02274
OG0000402	Pral.g_00450	Syan.g_02272
OG0000403	Pral.g_00908	Syan.g_02271
OG0000404	Pral.g_00907	Syan.g_02269
OG0000405	Pral.g_00903	Syan.g_03005
OG0000406	Pral.g_00898	Syan.g_03010
OG0000407	Pral.g_00897	Syan.g_03011
OG0000408	Pral.g_00895	Syan.g_03013
OG0000409	Pral.g_00893	Syan.g_03015
OG0000410	Pral.g_00892	Syan.g_03016
OG0000411	Pral.g_00891	Syan.g_03017
OG0000412	Pral.g_00890	Syan.g_03018
OG0000413	Pral.g_00888	Syan.g_03020
OG0000414	Pral.g_00887	Syan.g_03021
OG0000415	Pral.g_00886	Syan.g_03022
OG0000416	Pral.g_00885	Syan.g_03023
OG0000417	Pral.g_00884	Syan.g_03025
OG0000418	Pral.g_00879	Syan.g_03030
OG0000419	Pral.g_00877	Syan.g_03033
OG0000420	Pral.g_00875	Syan.g_03035
OG0000421	Pral.g_00871	Syan.g_03040
OG0000422	Pral.g_00870	Syan.g_03041
OG0000423	Pral.g_00869	Syan.g_03042
OG0000424	Pral.g_00868	Syan.g_03043
OG0000425	Pral.g_00867	Syan.g_03044
OG0000426	Pral.g_00866	Syan.g_03045
OG0000427	Pral.g_00865	Syan.g_03046
OG0000428	Pral.g_00863	Syan.g_03049
OG0000429	Pral.g_00862	Syan.g_03051
OG0000430	Pral.g_00861	Syan.g_03053
OG0000431	Pral.g_00859	Syan.g_03058
OG0000432	Pral.g_00855	Syan.g_03065
OG0000433	Pral.g_00854	Syan.g_03068
OG0000434	Pral.g_00853	Syan.g_03069
OG0000435	Pral.g_00852	Syan.g_03071
OG0000436	Pral.g_00847	Syan.g_03079
OG0000437	Pral.g_00846	Syan.g_03080
OG0000438	Pral.g_00845	Syan.g_03083
OG0000439	Pral.g_00844	Syan.g_03085
OG0000440	Pral.g_00843	Syan.g_03086
OG0000441	Pral.g_00840	Syan.g_03089
OG0000442	Pral.g_00839	Syan.g_03090
OG0000443	Pral.g_00838	Syan.g_03094
OG0000444	Pral.g_00833	Syan.g_03102
OG0000445	Pral.g_00832	Syan.g_03103
OG0000446	Pral.g_00831	Syan.g_03105
OG0000447	Pral.g_00830	Syan.g_03111
OG0000448	Pral.g_00829	Syan.g_03112
OG0000449	Pral.g_00828	Syan.g_03113
OG0000450	Pral.g_00827	Syan.g_01518
OG0000451	Pral.g_00826	Syan.g_01519
OG0000452	Pral.g_00823	Syan.g_01523
OG0000453	Pral.g_00822	Syan.g_01524
OG0000454	Pral.g_00821	Syan.g_01525
OG0000455	Pral.g_00820	Syan.g_01526
OG0000456	Pral.g_00819	Syan.g_01527
OG0000457	Pral.g_00817	Syan.g_01529
OG0000458	Pral.g_00816	Syan.g_01530
OG0000459	Pral.g_00815	Syan.g_01531
OG0000460	Pral.g_00805	Syan.g_02423
OG0000461	Pral.g_00796	Syan.g_02099
OG0000462	Pral.g_00795	Syan.g_02096
OG0000463	Pral.g_00794	Syan.g_02095
OG0000464	Pral.g_00793	Syan.g_02094
OG0000465	Pral.g_00792	Syan.g_02092
OG0000466	Pral.g_00789	Syan.g_02087
OG0000467	Pral.g_00788	Syan.g_02086
OG0000468	Pral.g_00785	Syan.g_02063
OG0000469	Pral.g_00777	Syan.g_02046
OG0000470	Pral.g_00775	Syan.g_02044
OG0000471	Pral.g_00774	Syan.g_02043
OG0000472	Pral.g_00773	Syan.g_02041
OG0000473	Pral.g_00771	Syan.g_02039
OG0000474	Pral.g_00770	Syan.g_02038
OG0000475	Pral.g_00769	Syan.g_02037
OG0000476	Pral.g_00767	Syan.g_02035
OG0000477	Pral.g_00764	Syan.g_02029
OG0000478	Pral.g_00763	Syan.g_02028
OG0000479	Pral.g_00762	Syan.g_02027
OG0000480	Pral.g_00756	Syan.g_02020
OG0000481	Pral.g_00754	Syan.g_00975
OG0000482	Pral.g_00753	Syan.g_02018
OG0000483	Pral.g_00750	Syan.g_02014
OG0000484	Pral.g_00749	Syan.g_02013
OG0000485	Pral.g_00748	Syan.g_02012
OG0000486	Pral.g_00747	Syan.g_02011
OG0000487	Pral.g_00743	Syan.g_02005
OG0000488	Pral.g_00740	Syan.g_02000
OG0000489	Pral.g_00735	Syan.g_01993
OG0000490	Pral.g_00731	Syan.g_01985
OG0000491	Pral.g_00730	Syan.g_01983
OG0000492	Pral.g_00728	Syan.g_01980
OG0000493	Pral.g_00727	Syan.g_01979
OG0000494	Pral.g_00726	Syan.g_01978
OG0000495	Pral.g_00725	Syan.g_01977
OG0000496	Pral.g_00724	Syan.g_01976
OG0000497	Pral.g_00723	Syan.g_01975
OG0000498	Pral.g_00722	Syan.g_01974
OG0000499	Pral.g_00721	Syan.g_01973
OG0000500	Pral.g_00720	Syan.g_01972
OG0000501	Pral.g_00718	Syan.g_01969
OG0000502	Pral.g_00715	Syan.g_01961
OG0000503	Pral.g_00698	Syan.g_02144
OG0000504	Pral.g_00696	Syan.g_02142
OG0000505	Pral.g_00695	Syan.g_02141
OG0000506	Pral.g_00694	Syan.g_02139
OG0000507	Pral.g_00691	Syan.g_02133
OG0000508	Pral.g_00687	Syan.g_02998
OG0000509	Pral.g_00685	Syan.g_02993
OG0000510	Pral.g_00684	Syan.g_02992
OG0000511	Pral.g_00683	Syan.g_02991
OG0000512	Pral.g_00681	Syan.g_02989
OG0000513	Pral.g_00673	Syan.g_02320
OG0000514	Pral.g_00663	Syan.g_02326
OG0000515	Pral.g_00662	Syan.g_02327
OG0000516	Pral.g_00661	Syan.g_02389
OG0000517	Pral.g_00659	Syan.g_02395
OG0000518	Pral.g_00647	Syan.g_01336
OG0000519	Pral.g_00646	Syan.g_01335
OG0000520	Pral.g_00645	Syan.g_01334
OG0000521	Pral.g_00635	Syan.g_02805
OG0000522	Pral.g_00633	Syan.g_02803
OG0000523	Pral.g_00632	Syan.g_02802
OG0000524	Pral.g_00627	Syan.g_02878
OG0000525	Pral.g_00623	Syan.g_02853
OG0000526	Pral.g_00622	Syan.g_02852
OG0000527	Pral.g_00619	Syan.g_02848
OG0000528	Pral.g_00613	Syan.g_02767
OG0000529	Pral.g_00610	Syan.g_02763
OG0000530	Pral.g_00607	Syan.g_02760
OG0000531	Pral.g_00606	Syan.g_02759
OG0000532	Pral.g_00603	Syan.g_02756
OG0000533	Pral.g_00602	Syan.g_02754
OG0000534	Pral.g_00601	Syan.g_02753
OG0000535	Pral.g_00600	Syan.g_02752
OG0000536	Pral.g_00599	Syan.g_02751
OG0000537	Pral.g_00598	Syan.g_02750
OG0000538	Pral.g_00590	Syan.g_02738
OG0000539	Pral.g_00589	Syan.g_02737
OG0000540	Pral.g_00588	Syan.g_02736
OG0000541	Pral.g_00587	Syan.g_02735
OG0000542	Pral.g_00585	Syan.g_02732
OG0000543	Pral.g_00583	Syan.g_02730
OG0000544	Pral.g_00582	Syan.g_02729
OG0000545	Pral.g_00580	Syan.g_02727
OG0000546	Pral.g_00577	Syan.g_02725
OG0000547	Pral.g_00575	Syan.g_02723
OG0000548	Pral.g_00574	Syan.g_02722
OG0000549	Pral.g_00571	Syan.g_01194
OG0000550	Pral.g_00566	Syan.g_01189
OG0000551	Pral.g_00563	Syan.g_01184
OG0000552	Pral.g_00562	Syan.g_01183
OG0000553	Pral.g_00561	Syan.g_01179
OG0000554	Pral.g_00556	Syan.g_01165
OG0000555	Pral.g_00548	Syan.g_00839
OG0000556	Pral.g_00546	Syan.g_00842
OG0000557	Pral.g_00545	Syan.g_00847
OG0000558	Pral.g_00543	Syan.g_00849
OG0000559	Pral.g_00539	Syan.g_00853
OG0000560	Pral.g_00536	Syan.g_00856
OG0000561	Pral.g_00535	Syan.g_00857
OG0000562	Pral.g_00534	Syan.g_00858
OG0000563	Pral.g_00533	Syan.g_00859
OG0000564	Pral.g_00532	Syan.g_00860
OG0000565	Pral.g_00529	Syan.g_00864
OG0000566	Pral.g_00525	Syan.g_00868
OG0000567	Pral.g_00521	Syan.g_00872
OG0000568	Pral.g_00520	Syan.g_00874
OG0000569	Pral.g_00519	Syan.g_00875
OG0000570	Pral.g_00518	Syan.g_00876
OG0000571	Pral.g_00515	Syan.g_00879
OG0000572	Pral.g_00503	Syan.g_00954
OG0000573	Pral.g_00497	Syan.g_00963
OG0000574	Pral.g_00496	Syan.g_00965
OG0000575	Pral.g_00492	Syan.g_01003
OG0000576	Pral.g_00490	Syan.g_01007
OG0000577	Pral.g_00489	Syan.g_01008
OG0000578	Pral.g_00488	Syan.g_01009
OG0000579	Pral.g_00487	Syan.g_01010
OG0000580	Pral.g_00486	Syan.g_01011
OG0000581	Pral.g_00483	Syan.g_01018
OG0000582	Pral.g_00480	Syan.g_01030
OG0000583	Pral.g_00479	Syan.g_01029
OG0000584	Pral.g_00478	Syan.g_01028
OG0000585	Pral.g_00476	Syan.g_01024
OG0000586	Pral.g_00475	Syan.g_01022
OG0000587	Pral.g_00474	Syan.g_01020
OG0000588	Pral.g_00469	Syan.g_00215
OG0000589	Pral.g_00466	Syan.g_00016
