Orthogroup	Syah	Syal
OG0000034	Syah.g_00048, Syah.g_02213	Syal.g_00881, Syal.g_01586
OG0000035	Syah.g_01293	Syal.g_00370
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Syal.g_00824
OG0000038	Syah.g_00508	Syal.g_01071
OG0000038	Syah.g_00506	Syal.g_01073
OG0000040	Syah.g_00431	Syal.g_01149
OG0000040	Syah.g_01908	Syal.g_01187
OG0000041	Syah.g_02271	Syal.g_00649
OG0000042	Syah.g_00261	Syal.g_01705, Syal.g_01508
OG0000043	Syah.g_02119	Syal.g_01110
OG0000043	Syah.g_01546	Syal.g_02547
OG0000044	Syah.g_01194	Syal.g_01853
OG0000044	Syah.g_02072	Syal.g_01847
OG0000045	Syah.g_02356	Syal.g_01563
OG0000046	Syah.g_00816	Syal.g_00309
OG0000046	Syah.g_00823	Syal.g_00316
OG0000046	Syah.g_00830	Syal.g_00321
OG0000047	Syah.g_00847	Syal.g_01568
OG0000048	Syah.g_00637	Syal.g_01250
OG0000050	Syah.g_00941	Syal.g_01549
OG0000051	Syah.g_02473	Syal.g_01550
OG0000052	Syah.g_00171	Syal.g_01338
OG0000053	Syah.g_01267	Syal.g_00406
OG0000054	Syah.g_01982	Syal.g_02739
OG0000054	Syah.g_01862	Syal.g_02098
OG0000055	Syah.g_02071	Syal.g_01845
OG0000057	Syah.g_02020	Syal.g_01812
OG0000058	Syah.g_00152	Syal.g_01326
OG0000059	Syah.g_00737	Syal.g_00225
OG0000060	Syah.g_01515	Syal.g_02214
OG0000061	Syah.g_02158	Syal.g_01653
OG0000062	Syah.g_02365	Syal.g_00567
OG0000063	Syah.g_00337	Syal.g_00136
OG0000064	Syah.g_01353	Syal.g_01681
OG0000064	Syah.g_02357	Syal.g_01545
OG0000065	Syah.g_02443	Syal.g_02528
OG0000066	Syah.g_01073	Syal.g_02828
OG0000067	Syah.g_01779	Syal.g_02414
OG0000068	Syah.g_00986	Syal.g_02888
OG0000070	Syah.g_02217	Syal.g_00509
OG0000071	Syah.g_02199	Syal.g_01601
OG0000071	Syah.g_01863	Syal.g_02099
OG0000072	Syah.g_00080	Syal.g_00914
OG0000073	Syah.g_01018	Syal.g_02920
OG0000075	Syah.g_00186	Syal.g_01350
OG0000076	Syah.g_00250	Syal.g_01459
OG0000077	Syah.g_02494	Syal.g_00763, Syal.g_00506
OG0000078	Syah.g_00912	Syal.g_00680
OG0000079	Syah.g_00665	Syal.g_01213
OG0000080	Syah.g_00290	Syal.g_01394
OG0000081	Syah.g_02471, Syah.g_00922	Syal.g_02555
OG0000082	Syah.g_01136	Syal.g_02769
OG0000084	Syah.g_02105	Syal.g_01896
OG0000084	Syah.g_01296	Syal.g_00023
OG0000085	Syah.g_02372	Syal.g_00575
OG0000086	Syah.g_02511	Syal.g_00784
OG0000087	Syah.g_00038	Syal.g_00871
OG0000088	Syah.g_00074	Syal.g_00908
OG0000089	Syah.g_00888	Syal.g_00555
OG0000090	Syah.g_01064	Syal.g_02838
OG0000091	Syah.g_01927	Syal.g_02628
OG0000093	Syah.g_01794	Syal.g_02233
OG0000094	Syah.g_01692	Syal.g_01907
OG0000095	Syah.g_02030	Syal.g_01823
OG0000097	Syah.g_01400	Syal.g_01735
OG0000098	Syah.g_00723	Syal.g_02196
OG0000099	Syah.g_00144	Syal.g_01323
OG0000100	Syah.g_01747	Syal.g_02448
OG0000101	Syah.g_00785	Syal.g_00275
OG0000102	Syah.g_00255	Syal.g_01488
OG0000103	Syah.g_00391	Syal.g_00077
OG0000104	Syah.g_00377	Syal.g_00092
OG0000105	Syah.g_00632	Syal.g_01255
OG0000106	Syah.g_01544	Syal.g_02577
OG0000107	Syah.g_00688	Syal.g_00194
OG0000108	Syah.g_00997	Syal.g_02897
OG0000109	Syah.g_01012	Syal.g_02913
OG0000110	Syah.g_01124	Syal.g_02782
OG0000112	Syah.g_01613	Syal.g_02000
OG0000113	Syah.g_01752	Syal.g_02443
OG0000114	Syah.g_01529	Syal.g_02286
OG0000115	Syah.g_01269	Syal.g_00404
OG0000116	Syah.g_02175	Syal.g_01630
OG0000117	Syah.g_01425	Syal.g_01704
OG0000118	Syah.g_01173	Syal.g_01583
OG0000120	Syah.g_00145	Syal.g_01324
OG0000121	Syah.g_01287	Syal.g_00374
OG0000122	Syah.g_01900	Syal.g_02602
OG0000123	Syah.g_00793	Syal.g_00283
OG0000124	Syah.g_00272	Syal.g_01519
OG0000125	Syah.g_00504	Syal.g_01075
OG0000126	Syah.g_00379	Syal.g_00090
OG0000128	Syah.g_00361	Syal.g_00109
OG0000129	Syah.g_00516	Syal.g_01062
OG0000130	Syah.g_02483	Syal.g_00751
OG0000131	Syah.g_00052	Syal.g_00886
OG0000132	Syah.g_00072	Syal.g_00906
OG0000133	Syah.g_01618	Syal.g_01995
OG0000134	Syah.g_00891	Syal.g_00552
OG0000135	Syah.g_00465	Syal.g_01119
OG0000136	Syah.g_02227	Syal.g_00520
OG0000137	Syah.g_01221	Syal.g_00463
OG0000138	Syah.g_01013	Syal.g_02914
OG0000139	Syah.g_01070	Syal.g_02832
OG0000140	Syah.g_01071	Syal.g_02830
OG0000141	Syah.g_01981	Syal.g_02738
OG0000142	Syah.g_01935	Syal.g_02636
OG0000143	Syah.g_01931	Syal.g_02632
OG0000144	Syah.g_01824	Syal.g_02515
OG0000145	Syah.g_01019	Syal.g_02921
OG0000146	Syah.g_01612	Syal.g_02001
OG0000147	Syah.g_01611	Syal.g_02002
OG0000148	Syah.g_01758	Syal.g_02437
OG0000149	Syah.g_02096	Syal.g_02475
OG0000150	Syah.g_01980	Syal.g_02737
OG0000151	Syah.g_01820	Syal.g_02263
OG0000152	Syah.g_01622	Syal.g_01991
OG0000153	Syah.g_01656	Syal.g_01958
OG0000154	Syah.g_01682	Syal.g_01918
OG0000155	Syah.g_02123	Syal.g_01695
OG0000156	Syah.g_02185	Syal.g_01620
OG0000157	Syah.g_02186	Syal.g_01619
OG0000158	Syah.g_00204	Syal.g_01431
OG0000160	Syah.g_01289	Syal.g_00372
OG0000161	Syah.g_01282	Syal.g_00384
OG0000162	Syah.g_01276	Syal.g_00396
OG0000163	Syah.g_02315	Syal.g_02971
OG0000164	Syah.g_02423	Syal.g_00623
OG0000165	Syah.g_02251	Syal.g_00632
OG0000166	Syah.g_00747	Syal.g_00236
OG0000167	Syah.g_00183	Syal.g_01347
OG0000168	Syah.g_00205	Syal.g_01433
OG0000169	Syah.g_00237	Syal.g_01447
OG0000170	Syah.g_00245	Syal.g_01454
OG0000171	Syah.g_00271	Syal.g_01518
OG0000172	Syah.g_00293	Syal.g_00174, Syal.g_00173
OG0000173	Syah.g_00313	Syal.g_00155
OG0000174	Syah.g_00461	Syal.g_01121
OG0000175	Syah.g_00402	Syal.g_01172
OG0000176	Syah.g_00369	Syal.g_00101
OG0000177	Syah.g_00368	Syal.g_00102
OG0000178	Syah.g_00367	Syal.g_00103
OG0000179	Syah.g_00355	Syal.g_00118
OG0000180	Syah.g_00354	Syal.g_00119
OG0000181	Syah.g_00353	Syal.g_00120
OG0000182	Syah.g_00352	Syal.g_00121
OG0000183	Syah.g_00348	Syal.g_00125
OG0000184	Syah.g_00525	Syal.g_01050
OG0000185	Syah.g_00528	Syal.g_01025
OG0000186	Syah.g_02479	Syal.g_02684, Syal.g_00747
OG0000187	Syah.g_02480	Syal.g_02685, Syal.g_00748
OG0000188	Syah.g_02501	Syal.g_00771
OG0000189	Syah.g_02526	Syal.g_00807
OG0000190	Syah.g_02528	Syal.g_01364
OG0000191	Syah.g_00008	Syal.g_00841
OG0000192	Syah.g_00013	Syal.g_00847
OG0000193	Syah.g_00053	Syal.g_00887
OG0000194	Syah.g_00056	Syal.g_00890
OG0000195	Syah.g_00058	Syal.g_00892
OG0000196	Syah.g_00069	Syal.g_00903
OG0000197	Syah.g_00070	Syal.g_00904
OG0000198	Syah.g_00071	Syal.g_00905
OG0000199	Syah.g_00079	Syal.g_00913
OG0000200	Syah.g_00616	Syal.g_00932
OG0000202	Syah.g_00600	Syal.g_00950
OG0000203	Syah.g_00599	Syal.g_00951
OG0000204	Syah.g_00598	Syal.g_00952
OG0000205	Syah.g_00591	Syal.g_00959
OG0000206	Syah.g_00578	Syal.g_00971
OG0000207	Syah.g_00575	Syal.g_00974
OG0000208	Syah.g_00574	Syal.g_00975
OG0000209	Syah.g_00544	Syal.g_01000
OG0000210	Syah.g_00543	Syal.g_01001
OG0000211	Syah.g_00904	Syal.g_00688
OG0000212	Syah.g_00913	Syal.g_00679
OG0000213	Syah.g_00657	Syal.g_01229
OG0000214	Syah.g_00641	Syal.g_01246
OG0000215	Syah.g_00101	Syal.g_01277
OG0000216	Syah.g_00105	Syal.g_01281
OG0000217	Syah.g_00109	Syal.g_01285
OG0000218	Syah.g_00111	Syal.g_01287
OG0000219	Syah.g_00112	Syal.g_01288
OG0000220	Syah.g_00113	Syal.g_01289
OG0000221	Syah.g_00120	Syal.g_01297
OG0000222	Syah.g_00131	Syal.g_01309
OG0000223	Syah.g_00153	Syal.g_01327
OG0000224	Syah.g_00162	Syal.g_01329
OG0000225	Syah.g_00874	Syal.g_00363
OG0000226	Syah.g_00878	Syal.g_00367
OG0000227	Syah.g_00880	Syal.g_00369
OG0000228	Syah.g_00887	Syal.g_00556
OG0000229	Syah.g_02236	Syal.g_00525
OG0000230	Syah.g_02234	Syal.g_00523
OG0000231	Syah.g_02218	Syal.g_00510
OG0000232	Syah.g_01206	Syal.g_00495
OG0000233	Syah.g_01210	Syal.g_00487
OG0000234	Syah.g_01222	Syal.g_00461
OG0000235	Syah.g_00996	Syal.g_02896
OG0000236	Syah.g_01011	Syal.g_02912
OG0000237	Syah.g_01028	Syal.g_02930
OG0000238	Syah.g_01032	Syal.g_02935
OG0000239	Syah.g_01048	Syal.g_02951
OG0000240	Syah.g_01049	Syal.g_02952
OG0000241	Syah.g_01944	Syal.g_02696
OG0000242	Syah.g_01062	Syal.g_02840
OG0000243	Syah.g_01079	Syal.g_02822
OG0000244	Syah.g_01087	Syal.g_02815
OG0000245	Syah.g_01090	Syal.g_02813
OG0000246	Syah.g_01094	Syal.g_02809
OG0000247	Syah.g_01106	Syal.g_02797
OG0000248	Syah.g_01109	Syal.g_02794
OG0000249	Syah.g_01111	Syal.g_02792
OG0000250	Syah.g_01120	Syal.g_02786
OG0000251	Syah.g_01145	Syal.g_02760
OG0000252	Syah.g_01148	Syal.g_02757
OG0000253	Syah.g_01149	Syal.g_02755
OG0000254	Syah.g_01976	Syal.g_02732
OG0000255	Syah.g_01968	Syal.g_02719
OG0000256	Syah.g_01952	Syal.g_02705
OG0000257	Syah.g_01945	Syal.g_02697
OG0000258	Syah.g_01926	Syal.g_02623
OG0000259	Syah.g_01494	Syal.g_02182
OG0000260	Syah.g_01497	Syal.g_02188
OG0000261	Syah.g_01500	Syal.g_02199
OG0000262	Syah.g_01505	Syal.g_02204
OG0000263	Syah.g_01410	Syal.g_01720
OG0000264	Syah.g_02000	Syal.g_01788
OG0000265	Syah.g_02252	Syal.g_02534
OG0000266	Syah.g_01714	Syal.g_02421
OG0000267	Syah.g_01574	Syal.g_02043
OG0000268	Syah.g_01575	Syal.g_02042
OG0000269	Syah.g_01784	Syal.g_02409
OG0000270	Syah.g_01781	Syal.g_02412
OG0000271	Syah.g_01773	Syal.g_01871
OG0000272	Syah.g_01772	Syal.g_01872
OG0000274	Syah.g_02076	Syal.g_02455
OG0000275	Syah.g_02081	Syal.g_02458
OG0000276	Syah.g_02088	Syal.g_02467
OG0000277	Syah.g_02089	Syal.g_02468
OG0000278	Syah.g_02092	Syal.g_02471
OG0000279	Syah.g_02100	Syal.g_02479
OG0000280	Syah.g_02112	Syal.g_02493
OG0000281	Syah.g_00722	Syal.g_02190
OG0000282	Syah.g_01531	Syal.g_02284
OG0000283	Syah.g_01585	Syal.g_02028
OG0000284	Syah.g_01591	Syal.g_02023
OG0000285	Syah.g_01603	Syal.g_02012
OG0000286	Syah.g_01621	Syal.g_01992
OG0000287	Syah.g_01649	Syal.g_01965
OG0000288	Syah.g_01681	Syal.g_01919
OG0000289	Syah.g_01695	Syal.g_01904
OG0000290	Syah.g_02033	Syal.g_01826
OG0000291	Syah.g_02031	Syal.g_01824
OG0000292	Syah.g_00380	Syal.g_00089
OG0000293	Syah.g_02173	Syal.g_01631
OG0000294	Syah.g_02172	Syal.g_01632
OG0000295	Syah.g_02131	Syal.g_01687
OG0000296	Syah.g_02129	Syal.g_01689
OG0000297	Syah.g_01427	Syal.g_01702
OG0000298	Syah.g_01426	Syal.g_01703
OG0000299	Syah.g_01404	Syal.g_01732
OG0000300	Syah.g_01397	Syal.g_01738
OG0000301	Syah.g_01396	Syal.g_01739
OG0000302	Syah.g_01395	Syal.g_01740
OG0000303	Syah.g_01387	Syal.g_01763
OG0000304	Syah.g_01382	Syal.g_01756
OG0000305	Syah.g_02028	Syal.g_01821
OG0000306	Syah.g_02116	Syal.g_02579
OG0000307	Syah.g_00978	Syal.g_02880
OG0000308	Syah.g_00976	Syal.g_02878
OG0000309	Syah.g_00971	Syal.g_02873
OG0000310	Syah.g_01321	Syal.g_01537
OG0000311	Syah.g_01317	Syal.g_00061
OG0000312	Syah.g_01304	Syal.g_00031
OG0000313	Syah.g_01285	Syal.g_00381
OG0000314	Syah.g_01259	Syal.g_00416
OG0000315	Syah.g_01248	Syal.g_00426
OG0000316	Syah.g_02333	Syal.g_02987
OG0000317	Syah.g_02380	Syal.g_00583
OG0000318	Syah.g_02385	Syal.g_00588
OG0000319	Syah.g_02405	Syal.g_00608
OG0000320	Syah.g_02407	Syal.g_00610
OG0000321	Syah.g_02408	Syal.g_00611
OG0000322	Syah.g_02409	Syal.g_00612
OG0000323	Syah.g_02425	Syal.g_00626
OG0000324	Syah.g_02278	Syal.g_00656
OG0000325	Syah.g_00689	Syal.g_00195
OG0000326	Syah.g_00696	Syal.g_00202
OG0000327	Syah.g_00742	Syal.g_00230
OG0000328	Syah.g_00743	Syal.g_00231
OG0000329	Syah.g_00760	Syal.g_00249
OG0000330	Syah.g_00761	Syal.g_00250
OG0000331	Syah.g_00762	Syal.g_00251
OG0000332	Syah.g_00776	Syal.g_00266
OG0000333	Syah.g_00779	Syal.g_00269
OG0000334	Syah.g_00789	Syal.g_00279
OG0000335	Syah.g_00794	Syal.g_00284
OG0000336	Syah.g_00798	Syal.g_00288
OG0000337	Syah.g_00178	Syal.g_01343
OG0000338	Syah.g_00181	Syal.g_01345
OG0000339	Syah.g_00188	Syal.g_01351
OG0000340	Syah.g_00206	Syal.g_01434
OG0000341	Syah.g_00208	Syal.g_01436
OG0000342	Syah.g_00209	Syal.g_01437
OG0000343	Syah.g_00231	Syal.g_01441
OG0000344	Syah.g_00235	Syal.g_01445
OG0000345	Syah.g_00246	Syal.g_01455
OG0000346	Syah.g_00251	Syal.g_01460
OG0000347	Syah.g_00275	Syal.g_01525
OG0000348	Syah.g_00301	Syal.g_00170
OG0000349	Syah.g_00320	Syal.g_00148
OG0000350	Syah.g_00703	Syal.g_00209
OG0000351	Syah.g_00399	Syal.g_01175
OG0000352	Syah.g_00398	Syal.g_01176
OG0000353	Syah.g_00374	Syal.g_00095
OG0000354	Syah.g_01038	Syal.g_02941
OG0000354	Syah.g_00561	Syal.g_00116
OG0000355	Syah.g_00372	Syal.g_00098
OG0000356	Syah.g_00371	Syal.g_00099
OG0000357	Syah.g_00370	Syal.g_00100
OG0000358	Syah.g_00366	Syal.g_00104
OG0000359	Syah.g_00364	Syal.g_00106
OG0000360	Syah.g_00363	Syal.g_00107
OG0000361	Syah.g_00362	Syal.g_00108
OG0000362	Syah.g_00360	Syal.g_00110
OG0000363	Syah.g_00358	Syal.g_00112
OG0000364	Syah.g_00357	Syal.g_00113
OG0000365	Syah.g_00351	Syal.g_00122
OG0000366	Syah.g_00350	Syal.g_00123
OG0000367	Syah.g_00349	Syal.g_00124
OG0000368	Syah.g_00347	Syal.g_00126
OG0000369	Syah.g_00346	Syal.g_00127
OG0000370	Syah.g_00345	Syal.g_00128
OG0000371	Syah.g_00338	Syal.g_00135
OG0000372	Syah.g_00333	Syal.g_00141
OG0000373	Syah.g_00332	Syal.g_00142
OG0000374	Syah.g_00331	Syal.g_00143
OG0000375	Syah.g_00329	Syal.g_00144
OG0000376	Syah.g_00327	Syal.g_00146
OG0000377	Syah.g_00517	Syal.g_01061
OG0000378	Syah.g_00526	Syal.g_01027
OG0000379	Syah.g_00529	Syal.g_01024
OG0000380	Syah.g_02481	Syal.g_00749
OG0000381	Syah.g_02484	Syal.g_00752
OG0000382	Syah.g_02500	Syal.g_00770
OG0000383	Syah.g_02502	Syal.g_00775
OG0000384	Syah.g_02503	Syal.g_00776
OG0000385	Syah.g_02504	Syal.g_00777
OG0000386	Syah.g_02505	Syal.g_00778
OG0000387	Syah.g_02530	Syal.g_00811
OG0000388	Syah.g_02533	Syal.g_00815
OG0000389	Syah.g_02536	Syal.g_00819
OG0000390	Syah.g_00002	Syal.g_00835
OG0000391	Syah.g_00007	Syal.g_00840
OG0000392	Syah.g_00012	Syal.g_00846
OG0000393	Syah.g_00014	Syal.g_00849
OG0000394	Syah.g_00015	Syal.g_00850
OG0000395	Syah.g_00016	Syal.g_00851
OG0000396	Syah.g_00019	Syal.g_00854
OG0000397	Syah.g_00021	Syal.g_00857
OG0000398	Syah.g_00027	Syal.g_00862
OG0000399	Syah.g_00028	Syal.g_00863
OG0000400	Syah.g_00029	Syal.g_00864
OG0000401	Syah.g_00030	Syal.g_00865
OG0000402	Syah.g_00033	Syal.g_00867
OG0000403	Syah.g_00034	Syal.g_00868
OG0000404	Syah.g_00036	Syal.g_00870
OG0000405	Syah.g_00050	Syal.g_00883
OG0000406	Syah.g_00054	Syal.g_00888
OG0000407	Syah.g_00055	Syal.g_00889
OG0000408	Syah.g_00057	Syal.g_00891
OG0000409	Syah.g_00059	Syal.g_00893
OG0000410	Syah.g_00060	Syal.g_00894
OG0000411	Syah.g_00061	Syal.g_00895
OG0000412	Syah.g_00062	Syal.g_00896
OG0000413	Syah.g_00064	Syal.g_00898
OG0000414	Syah.g_00065	Syal.g_00899
OG0000415	Syah.g_00066	Syal.g_00900
OG0000416	Syah.g_00067	Syal.g_00901
OG0000417	Syah.g_00068	Syal.g_00902
OG0000418	Syah.g_00073	Syal.g_00907
OG0000419	Syah.g_00075	Syal.g_00909
OG0000420	Syah.g_00077	Syal.g_00911
OG0000421	Syah.g_00082	Syal.g_00916
OG0000422	Syah.g_00083	Syal.g_00917
OG0000423	Syah.g_00084	Syal.g_00918
OG0000424	Syah.g_00085	Syal.g_00919
OG0000425	Syah.g_00086	Syal.g_00920
OG0000426	Syah.g_00087	Syal.g_00921
OG0000427	Syah.g_00088	Syal.g_00922
OG0000428	Syah.g_00620	Syal.g_00925
OG0000429	Syah.g_00618	Syal.g_00929
OG0000430	Syah.g_00617	Syal.g_00931
OG0000431	Syah.g_00613	Syal.g_00934
OG0000432	Syah.g_00607	Syal.g_00940
OG0000433	Syah.g_00605	Syal.g_00943
OG0000434	Syah.g_00604	Syal.g_00944
OG0000435	Syah.g_00602	Syal.g_00946
OG0000436	Syah.g_00597	Syal.g_00953
OG0000437	Syah.g_00596	Syal.g_00954
OG0000438	Syah.g_00595	Syal.g_00955
OG0000439	Syah.g_00593	Syal.g_00957
OG0000440	Syah.g_00592	Syal.g_00958
OG0000441	Syah.g_00585	Syal.g_00962
OG0000442	Syah.g_00580	Syal.g_00964
OG0000443	Syah.g_00579	Syal.g_00966
OG0000444	Syah.g_00573	Syal.g_00978
OG0000445	Syah.g_00572	Syal.g_00979
OG0000446	Syah.g_00570	Syal.g_00981
OG0000447	Syah.g_00567	Syal.g_00989
OG0000448	Syah.g_00566	Syal.g_00990
OG0000449	Syah.g_00565	Syal.g_00991
OG0000450	Syah.g_00547	Syal.g_00997
OG0000451	Syah.g_00546	Syal.g_00998
OG0000452	Syah.g_00542	Syal.g_01002
OG0000453	Syah.g_00541	Syal.g_01003
OG0000454	Syah.g_00540	Syal.g_01004
OG0000455	Syah.g_00539	Syal.g_01005
OG0000456	Syah.g_00538	Syal.g_01006
OG0000457	Syah.g_00536	Syal.g_01008
OG0000458	Syah.g_00535	Syal.g_01009
OG0000459	Syah.g_00534	Syal.g_01010
OG0000460	Syah.g_00906	Syal.g_00686
OG0000461	Syah.g_00678	Syal.g_01199
OG0000462	Syah.g_00675	Syal.g_01202
OG0000463	Syah.g_00674	Syal.g_01203
OG0000464	Syah.g_00673	Syal.g_01204
OG0000465	Syah.g_00672	Syal.g_01205
OG0000466	Syah.g_00668	Syal.g_01210
OG0000467	Syah.g_00666	Syal.g_01212
OG0000468	Syah.g_00661	Syal.g_01225
OG0000469	Syah.g_00647	Syal.g_01240
OG0000470	Syah.g_00645	Syal.g_01242
OG0000471	Syah.g_00644	Syal.g_01243
OG0000472	Syah.g_00642	Syal.g_01245
OG0000473	Syah.g_00640	Syal.g_01247
OG0000474	Syah.g_00639	Syal.g_01248
OG0000475	Syah.g_00638	Syal.g_01249
OG0000476	Syah.g_00636	Syal.g_01251
OG0000477	Syah.g_00630	Syal.g_01257
OG0000478	Syah.g_00629	Syal.g_01258
OG0000479	Syah.g_00628	Syal.g_01259
OG0000480	Syah.g_00089	Syal.g_01266
OG0000481	Syah.g_00091	Syal.g_01268
OG0000482	Syah.g_00092	Syal.g_01269
OG0000483	Syah.g_00096	Syal.g_01273
OG0000484	Syah.g_00097	Syal.g_01274
OG0000485	Syah.g_00098	Syal.g_01275
OG0000486	Syah.g_00099	Syal.g_01276
OG0000487	Syah.g_00106	Syal.g_01282
OG0000488	Syah.g_00110	Syal.g_01286
OG0000489	Syah.g_00121	Syal.g_01298
OG0000490	Syah.g_00129	Syal.g_01307
OG0000491	Syah.g_00130	Syal.g_01308
OG0000492	Syah.g_00132	Syal.g_01310
OG0000493	Syah.g_00133	Syal.g_01311
OG0000494	Syah.g_00134	Syal.g_01312
OG0000495	Syah.g_00135	Syal.g_01313
OG0000496	Syah.g_00136	Syal.g_01314
OG0000497	Syah.g_00137	Syal.g_01315
OG0000498	Syah.g_00138	Syal.g_01316
OG0000499	Syah.g_00139	Syal.g_01317
OG0000500	Syah.g_00140	Syal.g_01318
OG0000501	Syah.g_00143	Syal.g_01321
OG0000502	Syah.g_00155	Syal.g_01328
OG0000503	Syah.g_00858	Syal.g_00347
OG0000504	Syah.g_00860	Syal.g_00349
OG0000505	Syah.g_00861	Syal.g_00350
OG0000506	Syah.g_00863	Syal.g_00352
OG0000507	Syah.g_00869	Syal.g_00358
OG0000508	Syah.g_00873	Syal.g_00362
OG0000509	Syah.g_00875	Syal.g_00364
OG0000510	Syah.g_00876	Syal.g_00365
OG0000511	Syah.g_00877	Syal.g_00366
OG0000512	Syah.g_00879	Syal.g_00368
OG0000513	Syah.g_00892	Syal.g_00551
OG0000514	Syah.g_00899	Syal.g_00539
OG0000515	Syah.g_00900	Syal.g_00538
OG0000516	Syah.g_02231	Syal.g_00534
OG0000517	Syah.g_02237	Syal.g_00526
OG0000518	Syah.g_02221	Syal.g_00514
OG0000519	Syah.g_02220	Syal.g_00513
OG0000520	Syah.g_02219	Syal.g_00512
OG0000521	Syah.g_01202	Syal.g_00502
OG0000522	Syah.g_01204	Syal.g_00500
OG0000523	Syah.g_01205	Syal.g_00499
OG0000524	Syah.g_01207	Syal.g_00491
OG0000525	Syah.g_01212	Syal.g_00473
OG0000526	Syah.g_01215	Syal.g_00471
OG0000527	Syah.g_01219	Syal.g_00465
OG0000528	Syah.g_00991	Syal.g_02893
OG0000529	Syah.g_00998	Syal.g_02898
OG0000530	Syah.g_01001	Syal.g_02901
OG0000531	Syah.g_01002	Syal.g_02902
OG0000532	Syah.g_01005	Syal.g_02905
OG0000533	Syah.g_01006	Syal.g_02907
OG0000534	Syah.g_01007	Syal.g_02908
OG0000535	Syah.g_01008	Syal.g_02909
OG0000536	Syah.g_01009	Syal.g_02910
OG0000537	Syah.g_01010	Syal.g_02911
OG0000538	Syah.g_01021	Syal.g_02923
OG0000539	Syah.g_01022	Syal.g_02924
OG0000540	Syah.g_01023	Syal.g_02925
OG0000541	Syah.g_01024	Syal.g_02926
OG0000542	Syah.g_01027	Syal.g_02929
OG0000543	Syah.g_01029	Syal.g_02931
OG0000545	Syah.g_01031	Syal.g_02934
OG0000546	Syah.g_01033	Syal.g_02936
OG0000547	Syah.g_01035	Syal.g_02938
OG0000548	Syah.g_01036	Syal.g_02939
OG0000549	Syah.g_01042	Syal.g_02945
OG0000550	Syah.g_01046	Syal.g_02949
OG0000551	Syah.g_01051	Syal.g_02953
OG0000552	Syah.g_01052	Syal.g_02954
OG0000553	Syah.g_01054	Syal.g_02843
OG0000554	Syah.g_01065	Syal.g_02837
OG0000555	Syah.g_01078	Syal.g_02823
OG0000556	Syah.g_01084	Syal.g_02819
OG0000557	Syah.g_01086	Syal.g_02816
OG0000558	Syah.g_01088	Syal.g_02814
OG0000559	Syah.g_01093	Syal.g_02810
OG0000560	Syah.g_01096	Syal.g_02807
OG0000561	Syah.g_01097	Syal.g_02806
OG0000562	Syah.g_01098	Syal.g_02805
OG0000563	Syah.g_01099	Syal.g_02804
OG0000564	Syah.g_01100	Syal.g_02803
OG0000565	Syah.g_01104	Syal.g_02799
OG0000566	Syah.g_01108	Syal.g_02795
OG0000567	Syah.g_01112	Syal.g_02791
OG0000568	Syah.g_01116	Syal.g_02789
OG0000569	Syah.g_01117	Syal.g_02788
OG0000570	Syah.g_01118	Syal.g_02787
OG0000571	Syah.g_01122	Syal.g_02784
