Orthogroup	Syah	Prbf
OG0000136	Syah.g_02227	Prbf.g_01725
OG0000137	Syah.g_01221	Prbf.g_01758
OG0000138	Syah.g_01013	Prbf.g_01778
OG0000139	Syah.g_01070	Prbf.g_01818
OG0000140	Syah.g_01071	Prbf.g_01819
OG0000141	Syah.g_01981	Prbf.g_01890
OG0000142	Syah.g_01935	Prbf.g_00982
OG0000143	Syah.g_01931	Prbf.g_00986
OG0000144	Syah.g_01824	Prbf.g_01000
OG0000145	Syah.g_01019	Prbf.g_00042
OG0000146	Syah.g_01612	Prbf.g_01928
OG0000147	Syah.g_01611	Prbf.g_01927
OG0000148	Syah.g_01758	Prbf.g_01228
OG0000149	Syah.g_02096	Prbf.g_01196
OG0000150	Syah.g_01980	Prbf.g_01186
OG0000151	Syah.g_01820	Prbf.g_01310
OG0000152	Syah.g_01622	Prbf.g_01117
OG0000153	Syah.g_01656	Prbf.g_01098
OG0000154	Syah.g_01682	Prbf.g_01078
OG0000155	Syah.g_02123	Prbf.g_00939
OG0000156	Syah.g_02185	Prbf.g_00037
OG0000157	Syah.g_02186	Prbf.g_00036
OG0000158	Syah.g_00204	Prbf.g_00514
OG0000160	Syah.g_01289	Prbf.g_00158
OG0000161	Syah.g_01282	Prbf.g_00164
OG0000162	Syah.g_01276	Prbf.g_00170
OG0000163	Syah.g_02315	Prbf.g_00209
OG0000164	Syah.g_02423	Prbf.g_00669
OG0000165	Syah.g_02251	Prbf.g_00662
OG0000166	Syah.g_00747	Prbf.g_00595
OG0000167	Syah.g_00183	Prbf.g_00524
OG0000168	Syah.g_00205	Prbf.g_00513
OG0000169	Syah.g_00237	Prbf.g_00503
OG0000170	Syah.g_00245	Prbf.g_00500
OG0000171	Syah.g_00271	Prbf.g_00479
OG0000172	Syah.g_00293	Prbf.g_00472
OG0000173	Syah.g_00313	Prbf.g_00457
OG0000174	Syah.g_00461	Prbf.g_00428
OG0000175	Syah.g_00402	Prbf.g_00415
OG0000176	Syah.g_00369	Prbf.g_00389
OG0000177	Syah.g_00368	Prbf.g_00388
OG0000178	Syah.g_00367	Prbf.g_00387
OG0000179	Syah.g_00355	Prbf.g_01338
OG0000180	Syah.g_00354	Prbf.g_01339
OG0000181	Syah.g_00353	Prbf.g_01340
OG0000182	Syah.g_00352	Prbf.g_01341
OG0000183	Syah.g_00348	Prbf.g_01345
OG0000184	Syah.g_00525	Prbf.g_01371
OG0000185	Syah.g_00528	Prbf.g_01374
OG0000186	Syah.g_02479	Prbf.g_01390
OG0000187	Syah.g_02480	Prbf.g_01391
OG0000188	Syah.g_02501	Prbf.g_01408
OG0000189	Syah.g_02526	Prbf.g_01422
OG0000190	Syah.g_02528	Prbf.g_01424
OG0000191	Syah.g_00008	Prbf.g_01447
OG0000192	Syah.g_00013	Prbf.g_01452
OG0000193	Syah.g_00053	Prbf.g_01479
OG0000194	Syah.g_00056	Prbf.g_01482
OG0000195	Syah.g_00058	Prbf.g_01484
OG0000196	Syah.g_00069	Prbf.g_01495
OG0000197	Syah.g_00070	Prbf.g_01496
OG0000198	Syah.g_00071	Prbf.g_01497
OG0000199	Syah.g_00079	Prbf.g_01504
OG0000200	Syah.g_00616	Prbf.g_01518
OG0000202	Syah.g_00600	Prbf.g_01528
OG0000203	Syah.g_00599	Prbf.g_01529
OG0000204	Syah.g_00598	Prbf.g_01530
OG0000205	Syah.g_00591	Prbf.g_01537
OG0000206	Syah.g_00578	Prbf.g_01542
OG0000207	Syah.g_00575	Prbf.g_01545
OG0000208	Syah.g_00574	Prbf.g_01546
OG0000209	Syah.g_00544	Prbf.g_01555
OG0000210	Syah.g_00543	Prbf.g_01556
OG0000211	Syah.g_00904	Prbf.g_01571
OG0000212	Syah.g_00913	Prbf.g_01579
OG0000213	Syah.g_00657	Prbf.g_01597
OG0000214	Syah.g_00641	Prbf.g_01607
OG0000215	Syah.g_00101	Prbf.g_01634
OG0000216	Syah.g_00105	Prbf.g_01635
OG0000217	Syah.g_00109	Prbf.g_01638
OG0000218	Syah.g_00111	Prbf.g_01640
OG0000219	Syah.g_00112	Prbf.g_01641
OG0000220	Syah.g_00113	Prbf.g_01642
OG0000221	Syah.g_00120	Prbf.g_01643
OG0000222	Syah.g_00131	Prbf.g_01650
OG0000223	Syah.g_00153	Prbf.g_01662
OG0000224	Syah.g_00162	Prbf.g_01664
OG0000225	Syah.g_00874	Prbf.g_01690
OG0000226	Syah.g_00878	Prbf.g_01694
OG0000227	Syah.g_00880	Prbf.g_01696
OG0000228	Syah.g_00887	Prbf.g_01700
OG0000229	Syah.g_02236	Prbf.g_01720
OG0000230	Syah.g_02234	Prbf.g_01722
OG0000231	Syah.g_02218	Prbf.g_01733
OG0000232	Syah.g_01206	Prbf.g_01744
OG0000233	Syah.g_01210	Prbf.g_01750
OG0000234	Syah.g_01222	Prbf.g_01759
OG0000235	Syah.g_00996	Prbf.g_01762
OG0000236	Syah.g_01011	Prbf.g_01776
OG0000237	Syah.g_01028	Prbf.g_01789
OG0000238	Syah.g_01032	Prbf.g_01795
OG0000239	Syah.g_01048	Prbf.g_01806
OG0000240	Syah.g_01049	Prbf.g_01807
OG0000241	Syah.g_01944	Prbf.g_01811
OG0000242	Syah.g_01062	Prbf.g_01813
OG0000243	Syah.g_01079	Prbf.g_01824
OG0000244	Syah.g_01087	Prbf.g_01827
OG0000245	Syah.g_01090	Prbf.g_01829
OG0000246	Syah.g_01094	Prbf.g_01833
OG0000247	Syah.g_01106	Prbf.g_01843
OG0000248	Syah.g_01109	Prbf.g_01846
OG0000249	Syah.g_01111	Prbf.g_01848
OG0000250	Syah.g_01120	Prbf.g_01853
OG0000251	Syah.g_01145	Prbf.g_01873
OG0000252	Syah.g_01148	Prbf.g_01876
OG0000253	Syah.g_01149	Prbf.g_01877
OG0000254	Syah.g_01976	Prbf.g_01894
OG0000255	Syah.g_01968	Prbf.g_01900
OG0000256	Syah.g_01952	Prbf.g_01910
OG0000257	Syah.g_01945	Prbf.g_00977
OG0000258	Syah.g_01926	Prbf.g_00991
OG0000259	Syah.g_01494	Prbf.g_01008
OG0000260	Syah.g_01497	Prbf.g_01011
OG0000261	Syah.g_01500	Prbf.g_01014
OG0000262	Syah.g_01505	Prbf.g_01018
OG0000263	Syah.g_01410	Prbf.g_01282
OG0000264	Syah.g_02000	Prbf.g_01271
OG0000265	Syah.g_02252	Prbf.g_01253
OG0000266	Syah.g_01714	Prbf.g_01037
OG0000267	Syah.g_01574	Prbf.g_01049
OG0000268	Syah.g_01575	Prbf.g_01050
OG0000269	Syah.g_01784	Prbf.g_01250
OG0000270	Syah.g_01781	Prbf.g_01247
OG0000271	Syah.g_01773	Prbf.g_01239
OG0000272	Syah.g_01772	Prbf.g_01238
OG0000273	Syah.g_02075	Prbf.g_01214
OG0000274	Syah.g_02076	Prbf.g_01213
OG0000275	Syah.g_02081	Prbf.g_01210
OG0000276	Syah.g_02088	Prbf.g_01204
OG0000277	Syah.g_02089	Prbf.g_01203
OG0000278	Syah.g_02092	Prbf.g_01200
OG0000279	Syah.g_02100	Prbf.g_01193
OG0000280	Syah.g_02112	Prbf.g_01192
OG0000281	Syah.g_00722	Prbf.g_01185
OG0000282	Syah.g_01531	Prbf.g_01318
OG0000283	Syah.g_01585	Prbf.g_01141
OG0000284	Syah.g_01591	Prbf.g_01136
OG0000285	Syah.g_01603	Prbf.g_01131
OG0000286	Syah.g_01621	Prbf.g_01118
OG0000287	Syah.g_01231, Syah.g_01649	Prbf.g_00065
OG0000288	Syah.g_01681	Prbf.g_01079
OG0000289	Syah.g_01695	Prbf.g_01063
OG0000290	Syah.g_02033	Prbf.g_01167
OG0000291	Syah.g_02031	Prbf.g_01169
OG0000292	Syah.g_00380	Prbf.g_00873
OG0000293	Syah.g_02173	Prbf.g_00908
OG0000294	Syah.g_02172	Prbf.g_00909
OG0000295	Syah.g_02131	Prbf.g_00932
OG0000296	Syah.g_02129	Prbf.g_00934
OG0000297	Syah.g_01427	Prbf.g_00943
OG0000298	Syah.g_01426	Prbf.g_00944
OG0000299	Syah.g_01404	Prbf.g_00963
OG0000300	Syah.g_01397	Prbf.g_00966
OG0000301	Syah.g_01396	Prbf.g_00967
OG0000302	Syah.g_01395	Prbf.g_00969
OG0000303	Syah.g_01387	Prbf.g_00975
OG0000304	Syah.g_01382	Prbf.g_01915
OG0000305	Syah.g_02028	Prbf.g_00875
OG0000306	Syah.g_02116	Prbf.g_01181
OG0000307	Syah.g_00978	Prbf.g_00104
OG0000308	Syah.g_00976	Prbf.g_00105
OG0000309	Syah.g_00971	Prbf.g_00109
OG0000310	Syah.g_01321	Prbf.g_00143
OG0000311	Syah.g_01317	Prbf.g_00145
OG0000312	Syah.g_01304	Prbf.g_00148
OG0000313	Syah.g_01285	Prbf.g_00161
OG0000314	Syah.g_01259	Prbf.g_00184
OG0000315	Syah.g_01248	Prbf.g_00194
OG0000316	Syah.g_02333	Prbf.g_00219
OG0000317	Syah.g_02380	Prbf.g_00696
OG0000318	Syah.g_02385	Prbf.g_00692
OG0000319	Syah.g_02405	Prbf.g_00679
OG0000320	Syah.g_02407	Prbf.g_00677
OG0000321	Syah.g_02408	Prbf.g_00676
OG0000322	Syah.g_02409	Prbf.g_00675
OG0000323	Syah.g_02425	Prbf.g_00666
OG0000324	Syah.g_02278	Prbf.g_00639
OG0000325	Syah.g_00689	Prbf.g_00628
OG0000326	Syah.g_00696	Prbf.g_00621
OG0000327	Syah.g_00742	Prbf.g_00600
OG0000328	Syah.g_00743	Prbf.g_00599
OG0000329	Syah.g_00760	Prbf.g_00582
OG0000330	Syah.g_00761	Prbf.g_00581
OG0000331	Syah.g_00762	Prbf.g_00580
OG0000332	Syah.g_00776	Prbf.g_00566
OG0000333	Syah.g_00779	Prbf.g_00564
OG0000334	Syah.g_00789	Prbf.g_00555
OG0000335	Syah.g_00794	Prbf.g_00550
OG0000336	Syah.g_00798	Prbf.g_00546
OG0000337	Syah.g_00178	Prbf.g_00528
OG0000338	Syah.g_00181	Prbf.g_00527
OG0000339	Syah.g_00188	Prbf.g_00521
OG0000340	Syah.g_00206	Prbf.g_00512
OG0000341	Syah.g_00208	Prbf.g_00510
OG0000342	Syah.g_00209	Prbf.g_00509
OG0000343	Syah.g_00231	Prbf.g_00508
OG0000344	Syah.g_00235	Prbf.g_00505
OG0000345	Syah.g_00246	Prbf.g_00499
OG0000346	Syah.g_00251	Prbf.g_00495
OG0000347	Syah.g_00275	Prbf.g_00477
OG0000348	Syah.g_00301	Prbf.g_00469
OG0000349	Syah.g_00320	Prbf.g_00452
OG0000350	Syah.g_00703	Prbf.g_00351
OG0000351	Syah.g_00399	Prbf.g_00412
OG0000352	Syah.g_00398	Prbf.g_00411
OG0000353	Syah.g_00374	Prbf.g_00394
OG0000355	Syah.g_00372	Prbf.g_00392
OG0000356	Syah.g_00371	Prbf.g_00391
OG0000357	Syah.g_00370	Prbf.g_00390
OG0000358	Syah.g_00366	Prbf.g_00386
OG0000359	Syah.g_00364	Prbf.g_00385
OG0000360	Syah.g_00363	Prbf.g_00384
OG0000361	Syah.g_00362	Prbf.g_00383
OG0000362	Syah.g_00360	Prbf.g_00381
OG0000363	Syah.g_00358	Prbf.g_01336
OG0000364	Syah.g_00357	Prbf.g_01337
OG0000365	Syah.g_00351	Prbf.g_01342
OG0000366	Syah.g_00350	Prbf.g_01343
OG0000367	Syah.g_00349	Prbf.g_01344
OG0000368	Syah.g_00347	Prbf.g_01346
OG0000369	Syah.g_00346	Prbf.g_01347
OG0000370	Syah.g_00345	Prbf.g_01348
OG0000371	Syah.g_00338	Prbf.g_01355
OG0000372	Syah.g_00333	Prbf.g_01358
OG0000373	Syah.g_00332	Prbf.g_01359
OG0000374	Syah.g_00331	Prbf.g_01360
OG0000375	Syah.g_00329	Prbf.g_01362
OG0000376	Syah.g_00327	Prbf.g_01364
OG0000377	Syah.g_00517	Prbf.g_01368
OG0000378	Syah.g_00526	Prbf.g_01372
OG0000379	Syah.g_00529	Prbf.g_01375
OG0000380	Syah.g_02481	Prbf.g_01392
OG0000381	Syah.g_02484	Prbf.g_01397
OG0000382	Syah.g_02500	Prbf.g_01407
OG0000383	Syah.g_02502	Prbf.g_01409
OG0000384	Syah.g_02503	Prbf.g_01410
OG0000385	Syah.g_02504	Prbf.g_01411
OG0000386	Syah.g_02505	Prbf.g_01412
OG0000387	Syah.g_02530	Prbf.g_01426
OG0000388	Syah.g_02533	Prbf.g_01430
OG0000389	Syah.g_02536	Prbf.g_01433
OG0000390	Syah.g_00002	Prbf.g_01443
OG0000391	Syah.g_00007	Prbf.g_01446
OG0000392	Syah.g_00012	Prbf.g_01450
OG0000393	Syah.g_00014	Prbf.g_01453
OG0000394	Syah.g_00015	Prbf.g_01454
OG0000395	Syah.g_00016	Prbf.g_01455
OG0000396	Syah.g_00019	Prbf.g_01457
OG0000397	Syah.g_00021	Prbf.g_01459
OG0000398	Syah.g_00027	Prbf.g_01462
OG0000399	Syah.g_00028	Prbf.g_01463
OG0000400	Syah.g_00029	Prbf.g_01464
OG0000401	Syah.g_00030	Prbf.g_01465
OG0000402	Syah.g_00033	Prbf.g_01055
OG0000403	Syah.g_00034	Prbf.g_01467
OG0000404	Syah.g_00036	Prbf.g_01468
OG0000405	Syah.g_00050	Prbf.g_01472
OG0000406	Syah.g_00054	Prbf.g_01480
OG0000407	Syah.g_00055	Prbf.g_01481
OG0000408	Syah.g_00057	Prbf.g_01483
OG0000409	Syah.g_00059	Prbf.g_01485
OG0000410	Syah.g_00060	Prbf.g_01486
OG0000411	Syah.g_00061	Prbf.g_01487
OG0000412	Syah.g_00062	Prbf.g_01488
OG0000413	Syah.g_00064	Prbf.g_01490
OG0000414	Syah.g_00065	Prbf.g_01491
OG0000415	Syah.g_00066	Prbf.g_01492
OG0000416	Syah.g_00067	Prbf.g_01493
OG0000417	Syah.g_00068	Prbf.g_01494
OG0000418	Syah.g_00073	Prbf.g_01499
OG0000419	Syah.g_00075	Prbf.g_01501
OG0000420	Syah.g_00077	Prbf.g_01502
OG0000421	Syah.g_00082	Prbf.g_01507
OG0000422	Syah.g_00083	Prbf.g_01508
OG0000423	Syah.g_00084	Prbf.g_01509
OG0000424	Syah.g_00085	Prbf.g_01510
OG0000425	Syah.g_00086	Prbf.g_01511
OG0000426	Syah.g_00087	Prbf.g_01512
OG0000427	Syah.g_00088	Prbf.g_01513
OG0000428	Syah.g_00620	Prbf.g_01515
OG0000429	Syah.g_00618	Prbf.g_01516
OG0000430	Syah.g_00617	Prbf.g_01517
OG0000431	Syah.g_00613	Prbf.g_01519
OG0000432	Syah.g_00607	Prbf.g_01523
OG0000433	Syah.g_00605	Prbf.g_01524
OG0000434	Syah.g_00604	Prbf.g_01525
OG0000435	Syah.g_00602	Prbf.g_01526
OG0000436	Syah.g_00597	Prbf.g_01531
OG0000437	Syah.g_00596	Prbf.g_01532
OG0000438	Syah.g_00595	Prbf.g_01533
OG0000439	Syah.g_00593	Prbf.g_01535
OG0000440	Syah.g_00592	Prbf.g_01536
OG0000441	Syah.g_00585	Prbf.g_01539
OG0000442	Syah.g_00580	Prbf.g_01540
OG0000443	Syah.g_00579	Prbf.g_01541
OG0000444	Syah.g_00573	Prbf.g_01547
OG0000445	Syah.g_00572	Prbf.g_01548
OG0000446	Syah.g_00570	Prbf.g_01549
OG0000447	Syah.g_00567	Prbf.g_01550
OG0000448	Syah.g_00566	Prbf.g_01551
OG0000449	Syah.g_00565	Prbf.g_01552
OG0000450	Syah.g_00547	Prbf.g_01553
OG0000451	Syah.g_00546	Prbf.g_01554
OG0000452	Syah.g_00542	Prbf.g_01557
OG0000453	Syah.g_00541	Prbf.g_01558
OG0000454	Syah.g_00540	Prbf.g_01559
OG0000455	Syah.g_00539	Prbf.g_01560
OG0000456	Syah.g_00538	Prbf.g_01561
OG0000457	Syah.g_00536	Prbf.g_01563
OG0000458	Syah.g_00535	Prbf.g_01564
OG0000459	Syah.g_00534	Prbf.g_01565
OG0000460	Syah.g_00906	Prbf.g_01573
OG0000461	Syah.g_00678	Prbf.g_01581
OG0000462	Syah.g_00675	Prbf.g_01583
OG0000463	Syah.g_00674	Prbf.g_01584
OG0000464	Syah.g_00673	Prbf.g_01585
OG0000465	Syah.g_00672	Prbf.g_01586
OG0000466	Syah.g_00668	Prbf.g_01589
OG0000467	Syah.g_00666	Prbf.g_01590
OG0000468	Syah.g_00661	Prbf.g_01593
OG0000469	Syah.g_00647	Prbf.g_01601
OG0000470	Syah.g_00645	Prbf.g_01603
OG0000471	Syah.g_00644	Prbf.g_01604
OG0000472	Syah.g_00642	Prbf.g_01606
OG0000473	Syah.g_00640	Prbf.g_01608
OG0000474	Syah.g_00639	Prbf.g_01609
OG0000475	Syah.g_00638	Prbf.g_01610
OG0000476	Syah.g_00636	Prbf.g_01612
OG0000477	Syah.g_00630	Prbf.g_01615
OG0000478	Syah.g_00629	Prbf.g_01616
OG0000479	Syah.g_00628	Prbf.g_01617
OG0000480	Syah.g_00089	Prbf.g_01622
OG0000481	Syah.g_00091	Prbf.g_01625
OG0000482	Syah.g_00092	Prbf.g_01626
OG0000483	Syah.g_00096	Prbf.g_01629
OG0000484	Syah.g_00097	Prbf.g_01630
OG0000485	Syah.g_00098	Prbf.g_01632
OG0000486	Syah.g_00099	Prbf.g_01633
OG0000487	Syah.g_00106	Prbf.g_01636
OG0000488	Syah.g_00110	Prbf.g_01639
OG0000489	Syah.g_00121	Prbf.g_01644
OG0000490	Syah.g_00129	Prbf.g_01648
OG0000491	Syah.g_00130	Prbf.g_01649
OG0000492	Syah.g_00132	Prbf.g_01651
OG0000493	Syah.g_00133	Prbf.g_01652
OG0000494	Syah.g_00134	Prbf.g_01653
OG0000495	Syah.g_00135	Prbf.g_01654
OG0000496	Syah.g_00136	Prbf.g_01655
OG0000497	Syah.g_00137	Prbf.g_01656
OG0000498	Syah.g_00138	Prbf.g_01657
OG0000499	Syah.g_00139	Prbf.g_01658
OG0000500	Syah.g_00140	Prbf.g_01659
OG0000501	Syah.g_00143	Prbf.g_01660
OG0000502	Syah.g_00155	Prbf.g_01663
OG0000503	Syah.g_00858	Prbf.g_01678
OG0000504	Syah.g_00860	Prbf.g_01680
OG0000505	Syah.g_00861	Prbf.g_01681
OG0000506	Syah.g_00863	Prbf.g_01682
OG0000507	Syah.g_00869	Prbf.g_01685
OG0000508	Syah.g_00873	Prbf.g_01689
OG0000509	Syah.g_00875	Prbf.g_01691
OG0000510	Syah.g_00876	Prbf.g_01692
OG0000511	Syah.g_00877	Prbf.g_01693
OG0000512	Syah.g_00879	Prbf.g_01695
OG0000513	Syah.g_00892	Prbf.g_01704
OG0000514	Syah.g_00899	Prbf.g_01715
OG0000515	Syah.g_00900	Prbf.g_01716
OG0000516	Syah.g_02231	Prbf.g_01717
OG0000517	Syah.g_02237	Prbf.g_01719
OG0000518	Syah.g_02221	Prbf.g_01730
OG0000519	Syah.g_02220	Prbf.g_01731
OG0000520	Syah.g_02219	Prbf.g_01732
OG0000521	Syah.g_01202	Prbf.g_01740
OG0000522	Syah.g_01204	Prbf.g_01742
OG0000523	Syah.g_01205	Prbf.g_01743
OG0000524	Syah.g_01207	Prbf.g_01748
OG0000525	Syah.g_01212	Prbf.g_01752
OG0000526	Syah.g_01215	Prbf.g_01753
OG0000527	Syah.g_01219	Prbf.g_01756
OG0000528	Syah.g_00991	Prbf.g_01761
OG0000529	Syah.g_00998	Prbf.g_01764
OG0000530	Syah.g_01001	Prbf.g_01767
OG0000531	Syah.g_01002	Prbf.g_01768
OG0000532	Syah.g_01005	Prbf.g_01770
OG0000533	Syah.g_01006	Prbf.g_01771
OG0000534	Syah.g_01007	Prbf.g_01772
OG0000535	Syah.g_01008	Prbf.g_01773
OG0000536	Syah.g_01009	Prbf.g_01774
OG0000537	Syah.g_01010	Prbf.g_01775
OG0000538	Syah.g_01021	Prbf.g_01784
OG0000539	Syah.g_01022	Prbf.g_01785
OG0000540	Syah.g_01023	Prbf.g_01786
OG0000541	Syah.g_01024	Prbf.g_01787
OG0000542	Syah.g_01027	Prbf.g_01788
OG0000543	Syah.g_01029	Prbf.g_01790
OG0000545	Syah.g_01031	Prbf.g_01793
OG0000546	Syah.g_01033	Prbf.g_01796
OG0000547	Syah.g_01035	Prbf.g_01798
OG0000548	Syah.g_01036	Prbf.g_01799
OG0000549	Syah.g_01042	Prbf.g_01801
OG0000550	Syah.g_01046	Prbf.g_01805
OG0000551	Syah.g_01051	Prbf.g_01808
OG0000552	Syah.g_01052	Prbf.g_01809
OG0000553	Syah.g_01054	Prbf.g_01810
OG0000554	Syah.g_01065	Prbf.g_01815
OG0000555	Syah.g_01078	Prbf.g_01823
OG0000556	Syah.g_01084	Prbf.g_01825
OG0000557	Syah.g_01086	Prbf.g_01826
OG0000558	Syah.g_01088	Prbf.g_01828
OG0000559	Syah.g_01093	Prbf.g_01832
OG0000560	Syah.g_01096	Prbf.g_01835
OG0000561	Syah.g_01097	Prbf.g_01836
OG0000562	Syah.g_01098	Prbf.g_01837
OG0000563	Syah.g_01099	Prbf.g_01838
