Orthogroup	Syah	Prbe
OG0000033	Syah.g_00078	Prbe.g_01717
OG0000034	Syah.g_00048, Syah.g_02213	Prbe.g_00882
OG0000035	Syah.g_01293	Prbe.g_00311
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Prbe.g_01651
OG0000038	Syah.g_00508, Syah.g_00506	Prbe.g_01156
OG0000039	Syah.g_02074	Prbe.g_00461
OG0000041	Syah.g_02271	Prbe.g_00938
OG0000042	Syah.g_00261	Prbe.g_00766
OG0000045	Syah.g_01872	Prbe.g_01593
OG0000046	Syah.g_00816, Syah.g_00823, Syah.g_00830	Prbe.g_01880
OG0000047	Syah.g_00847	Prbe.g_01921
OG0000048	Syah.g_00637	Prbe.g_00906, Prbe.g_01825
OG0000052	Syah.g_00171	Prbe.g_00333
OG0000053	Syah.g_01267	Prbe.g_01040, Prbe.g_00290
OG0000054	Syah.g_01982	Prbe.g_00527
OG0000055	Syah.g_02071	Prbe.g_01598
OG0000055	Syah.g_01878	Prbe.g_01011
OG0000057	Syah.g_02020	Prbe.g_01206
OG0000058	Syah.g_00152	Prbe.g_00351
OG0000059	Syah.g_00737	Prbe.g_01094
OG0000061	Syah.g_02158	Prbe.g_01549
OG0000062	Syah.g_02365	Prbe.g_00226
OG0000063	Syah.g_00337	Prbe.g_00021
OG0000064	Syah.g_01353, Syah.g_02357	Prbe.g_00172
OG0000065	Syah.g_02443, Syah.g_02537	Prbe.g_01649
OG0000066	Syah.g_01073	Prbe.g_00596, Prbe.g_01114
OG0000067	Syah.g_01779	Prbe.g_01222
OG0000068	Syah.g_00986	Prbe.g_00373
OG0000069	Syah.g_01715	Prbe.g_00678
OG0000070	Syah.g_02217	Prbe.g_01948
OG0000071	Syah.g_02199	Prbe.g_00893
OG0000072	Syah.g_00080	Prbe.g_01719
OG0000073	Syah.g_01018	Prbe.g_00633
OG0000074	Syah.g_00951	Prbe.g_00070, Prbe.g_00107, Prbe.g_00456
OG0000075	Syah.g_00186	Prbe.g_00800
OG0000076	Syah.g_00250	Prbe.g_00774
OG0000077	Syah.g_02494	Prbe.g_00183
OG0000079	Syah.g_00665	Prbe.g_01805
OG0000081	Syah.g_00922	Prbe.g_00604
OG0000082	Syah.g_01136	Prbe.g_00549, Prbe.g_00996
OG0000084	Syah.g_01296	Prbe.g_00314
OG0000085	Syah.g_02372	Prbe.g_00993, Prbe.g_00007
OG0000086	Syah.g_02511	Prbe.g_00192
OG0000087	Syah.g_00038	Prbe.g_01683
OG0000088	Syah.g_00074	Prbe.g_01714
OG0000089	Syah.g_00888	Prbe.g_01915
OG0000090	Syah.g_01064	Prbe.g_00602
OG0000091	Syah.g_01927	Prbe.g_01477
OG0000097	Syah.g_01400	Prbe.g_01503
OG0000098	Syah.g_00723	Prbe.g_00397
OG0000099	Syah.g_00144	Prbe.g_00350
OG0000100	Syah.g_01747	Prbe.g_00232
OG0000101	Syah.g_00785	Prbe.g_00836
OG0000102	Syah.g_00255	Prbe.g_00769
OG0000103	Syah.g_00391	Prbe.g_01195
OG0000104	Syah.g_00377	Prbe.g_01061
OG0000105	Syah.g_00632	Prbe.g_01828
OG0000106	Syah.g_01544	Prbe.g_00740
OG0000107	Syah.g_00688	Prbe.g_00921
OG0000108	Syah.g_00997	Prbe.g_00653
OG0000109	Syah.g_01012	Prbe.g_00639
OG0000110	Syah.g_01124	Prbe.g_00560
OG0000112	Syah.g_01613	Prbe.g_00487
OG0000113	Syah.g_01752	Prbe.g_01245
OG0000114	Syah.g_01529	Prbe.g_00417
OG0000115	Syah.g_01269	Prbe.g_01618
OG0000116	Syah.g_02175	Prbe.g_01560
OG0000117	Syah.g_01425	Prbe.g_01522
OG0000118	Syah.g_01173	Prbe.g_00880
OG0000120	Syah.g_00145	Prbe.g_00353
OG0000121	Syah.g_01287	Prbe.g_00309
OG0000122	Syah.g_01900	Prbe.g_01625, Prbe.g_00268
OG0000123	Syah.g_00793	Prbe.g_00829
OG0000124	Syah.g_00272	Prbe.g_00745
OG0000125	Syah.g_00504	Prbe.g_01158
OG0000126	Syah.g_00379	Prbe.g_01060
OG0000128	Syah.g_00361	Prbe.g_01076
OG0000129	Syah.g_00516	Prbe.g_00145
OG0000130	Syah.g_02483	Prbe.g_00174
OG0000131	Syah.g_00052	Prbe.g_01692
OG0000132	Syah.g_00072	Prbe.g_01712
OG0000133	Syah.g_01618	Prbe.g_01875
OG0000134	Syah.g_00891	Prbe.g_01917
OG0000135	Syah.g_00465	Prbe.g_00911
OG0000136	Syah.g_02227	Prbe.g_01939
OG0000137	Syah.g_01221	Prbe.g_00658
OG0000138	Syah.g_01013	Prbe.g_00638
OG0000139	Syah.g_01070	Prbe.g_00598
OG0000140	Syah.g_01071	Prbe.g_00597
OG0000141	Syah.g_01981	Prbe.g_00526
OG0000142	Syah.g_01935	Prbe.g_01485
OG0000143	Syah.g_01931	Prbe.g_01481
OG0000144	Syah.g_01824	Prbe.g_01467
OG0000145	Syah.g_01019	Prbe.g_00909
OG0000146	Syah.g_01612	Prbe.g_00488
OG0000147	Syah.g_01611	Prbe.g_00489
OG0000148	Syah.g_01758	Prbe.g_01239
OG0000149	Syah.g_02096	Prbe.g_01271
OG0000150	Syah.g_01980	Prbe.g_01281
OG0000151	Syah.g_01820	Prbe.g_00427
OG0000152	Syah.g_01622	Prbe.g_01350
OG0000153	Syah.g_01656	Prbe.g_01369
OG0000154	Syah.g_01682	Prbe.g_01389
OG0000155	Syah.g_02123	Prbe.g_01528
OG0000156	Syah.g_02185	Prbe.g_00904
OG0000157	Syah.g_02186	Prbe.g_00903
OG0000158	Syah.g_00204	Prbe.g_00792
OG0000160	Syah.g_01289	Prbe.g_00310
OG0000161	Syah.g_01282	Prbe.g_00304
OG0000162	Syah.g_01276	Prbe.g_00298
OG0000163	Syah.g_02315	Prbe.g_00259
OG0000164	Syah.g_02423	Prbe.g_00961
OG0000165	Syah.g_02251	Prbe.g_00954
OG0000166	Syah.g_00747	Prbe.g_01083
OG0000167	Syah.g_00183	Prbe.g_00802
OG0000168	Syah.g_00205	Prbe.g_00791
OG0000169	Syah.g_00237	Prbe.g_00781
OG0000170	Syah.g_00245	Prbe.g_00778
OG0000171	Syah.g_00271	Prbe.g_00758
OG0000172	Syah.g_00293	Prbe.g_00751
OG0000173	Syah.g_00313	Prbe.g_01143
OG0000174	Syah.g_00461	Prbe.g_01173
OG0000175	Syah.g_00402	Prbe.g_01186
OG0000176	Syah.g_00369	Prbe.g_01069
OG0000177	Syah.g_00368	Prbe.g_01070
OG0000178	Syah.g_00367	Prbe.g_01071
OG0000179	Syah.g_00355	Prbe.g_00116
OG0000180	Syah.g_00354	Prbe.g_00117
OG0000181	Syah.g_00353	Prbe.g_00118
OG0000182	Syah.g_00352	Prbe.g_00119
OG0000183	Syah.g_00348	Prbe.g_00123
OG0000184	Syah.g_00525	Prbe.g_00149
OG0000185	Syah.g_00528	Prbe.g_00152
OG0000186	Syah.g_02479	Prbe.g_00168
OG0000187	Syah.g_02480	Prbe.g_00169
OG0000188	Syah.g_02501	Prbe.g_00186
OG0000189	Syah.g_02526	Prbe.g_01636
OG0000190	Syah.g_02528	Prbe.g_01638
OG0000191	Syah.g_00008	Prbe.g_01661
OG0000192	Syah.g_00013	Prbe.g_01666
OG0000193	Syah.g_00053	Prbe.g_01693
OG0000194	Syah.g_00056	Prbe.g_01696
OG0000195	Syah.g_00058	Prbe.g_01698
OG0000196	Syah.g_00069	Prbe.g_01709
OG0000197	Syah.g_00070	Prbe.g_01710
OG0000198	Syah.g_00071	Prbe.g_01711
OG0000199	Syah.g_00079	Prbe.g_01718
OG0000200	Syah.g_00616	Prbe.g_01732
OG0000202	Syah.g_00600	Prbe.g_01742
OG0000203	Syah.g_00599	Prbe.g_01743
OG0000204	Syah.g_00598	Prbe.g_01744
OG0000205	Syah.g_00591	Prbe.g_01751
OG0000206	Syah.g_00578	Prbe.g_01756
OG0000207	Syah.g_00575	Prbe.g_01759
OG0000208	Syah.g_00574	Prbe.g_01760
OG0000209	Syah.g_00544	Prbe.g_01769
OG0000210	Syah.g_00543	Prbe.g_01770
OG0000211	Syah.g_00904	Prbe.g_01785
OG0000212	Syah.g_00913	Prbe.g_01793
OG0000213	Syah.g_00657	Prbe.g_01811
OG0000214	Syah.g_00641	Prbe.g_01821
OG0000215	Syah.g_00101	Prbe.g_01848
OG0000216	Syah.g_00105	Prbe.g_01849
OG0000217	Syah.g_00109	Prbe.g_01852
OG0000218	Syah.g_00111	Prbe.g_01854
OG0000219	Syah.g_00112	Prbe.g_01855
OG0000220	Syah.g_00113	Prbe.g_01856
OG0000221	Syah.g_00120	Prbe.g_01857
OG0000222	Syah.g_00131	Prbe.g_01864
OG0000223	Syah.g_00153	Prbe.g_01876
OG0000224	Syah.g_00162	Prbe.g_01878
OG0000225	Syah.g_00874	Prbe.g_01904
OG0000226	Syah.g_00878	Prbe.g_01908
OG0000227	Syah.g_00880	Prbe.g_01910
OG0000228	Syah.g_00887	Prbe.g_01914
OG0000229	Syah.g_02236	Prbe.g_01934
OG0000230	Syah.g_02234	Prbe.g_01936
OG0000231	Syah.g_02218	Prbe.g_01947
OG0000232	Syah.g_01206	Prbe.g_00672
OG0000233	Syah.g_01210	Prbe.g_00666
OG0000234	Syah.g_01222	Prbe.g_00657
OG0000235	Syah.g_00996	Prbe.g_00654
OG0000236	Syah.g_01011	Prbe.g_00640
OG0000237	Syah.g_01028	Prbe.g_00627
OG0000238	Syah.g_01032	Prbe.g_00621
OG0000239	Syah.g_01048	Prbe.g_00610
OG0000240	Syah.g_01049	Prbe.g_00609
OG0000241	Syah.g_01944	Prbe.g_00605
OG0000242	Syah.g_01062	Prbe.g_00603
OG0000243	Syah.g_01079	Prbe.g_00592
OG0000244	Syah.g_01087	Prbe.g_00589
OG0000245	Syah.g_01090	Prbe.g_00587
OG0000246	Syah.g_01094	Prbe.g_00583
OG0000247	Syah.g_01106	Prbe.g_00573
OG0000248	Syah.g_01109	Prbe.g_00570
OG0000249	Syah.g_01111	Prbe.g_00568
OG0000250	Syah.g_01120	Prbe.g_00563
OG0000251	Syah.g_01145	Prbe.g_00543
OG0000252	Syah.g_01148	Prbe.g_00540
OG0000253	Syah.g_01149	Prbe.g_00539
OG0000254	Syah.g_01976	Prbe.g_00522
OG0000255	Syah.g_01968	Prbe.g_00516
OG0000256	Syah.g_01952	Prbe.g_00506
OG0000257	Syah.g_01945	Prbe.g_01490
OG0000258	Syah.g_01926	Prbe.g_01476
OG0000259	Syah.g_01494	Prbe.g_01459
OG0000260	Syah.g_01497	Prbe.g_01456
OG0000261	Syah.g_01500	Prbe.g_01453
OG0000262	Syah.g_01505	Prbe.g_01449
OG0000263	Syah.g_01410	Prbe.g_00455
OG0000264	Syah.g_02000	Prbe.g_00466
OG0000265	Syah.g_02252	Prbe.g_01214
OG0000266	Syah.g_01714	Prbe.g_01430
OG0000267	Syah.g_01574	Prbe.g_01418
OG0000268	Syah.g_01575	Prbe.g_01417
OG0000269	Syah.g_01784	Prbe.g_01217
OG0000270	Syah.g_01781	Prbe.g_01220
OG0000271	Syah.g_01773	Prbe.g_01228
OG0000272	Syah.g_01772	Prbe.g_01229
OG0000273	Syah.g_02075	Prbe.g_01253
OG0000274	Syah.g_02076	Prbe.g_01254
OG0000275	Syah.g_02081	Prbe.g_01257
OG0000276	Syah.g_02088	Prbe.g_01263
OG0000277	Syah.g_02089	Prbe.g_01264
OG0000278	Syah.g_02092	Prbe.g_01267
OG0000279	Syah.g_02100	Prbe.g_01274
OG0000280	Syah.g_02112	Prbe.g_01275
OG0000281	Syah.g_00722	Prbe.g_01282
OG0000282	Syah.g_01531	Prbe.g_00419
OG0000283	Syah.g_01585	Prbe.g_01326
OG0000284	Syah.g_01591	Prbe.g_01331
OG0000285	Syah.g_01603	Prbe.g_01336
OG0000286	Syah.g_01621	Prbe.g_01349
OG0000287	Syah.g_01231, Syah.g_01649	Prbe.g_01615
OG0000288	Syah.g_01681	Prbe.g_01388
OG0000289	Syah.g_01695	Prbe.g_01404
OG0000290	Syah.g_02033	Prbe.g_01300
OG0000291	Syah.g_02031	Prbe.g_01298
OG0000292	Syah.g_00380	Prbe.g_01594
OG0000293	Syah.g_02173	Prbe.g_01559
OG0000294	Syah.g_02172	Prbe.g_01558
OG0000295	Syah.g_02131	Prbe.g_01535
OG0000296	Syah.g_02129	Prbe.g_01533
OG0000297	Syah.g_01427	Prbe.g_01524
OG0000298	Syah.g_01426	Prbe.g_01523
OG0000299	Syah.g_01404	Prbe.g_01504
OG0000300	Syah.g_01397	Prbe.g_01501
OG0000301	Syah.g_01396	Prbe.g_01500
OG0000302	Syah.g_01395	Prbe.g_01498
OG0000303	Syah.g_01387	Prbe.g_01492
OG0000304	Syah.g_01382	Prbe.g_00501
OG0000305	Syah.g_02028	Prbe.g_01592
OG0000306	Syah.g_02116	Prbe.g_01286
OG0000307	Syah.g_00978	Prbe.g_00364
OG0000308	Syah.g_00976	Prbe.g_00363
OG0000309	Syah.g_00971	Prbe.g_00359
OG0000310	Syah.g_01321	Prbe.g_00325
OG0000311	Syah.g_01317	Prbe.g_00323
OG0000312	Syah.g_01304	Prbe.g_00320
OG0000313	Syah.g_01285	Prbe.g_00307
OG0000314	Syah.g_01259	Prbe.g_00284
OG0000315	Syah.g_01248	Prbe.g_00274
OG0000316	Syah.g_02333	Prbe.g_00249
OG0000317	Syah.g_02380	Prbe.g_00988
OG0000318	Syah.g_02385	Prbe.g_00984
OG0000319	Syah.g_02405	Prbe.g_00971
OG0000320	Syah.g_02407	Prbe.g_00969
OG0000321	Syah.g_02408	Prbe.g_00968
OG0000322	Syah.g_02409	Prbe.g_00967
OG0000323	Syah.g_02425	Prbe.g_00958
OG0000324	Syah.g_02278	Prbe.g_00931
OG0000325	Syah.g_00689	Prbe.g_00920
OG0000326	Syah.g_00696	Prbe.g_01109
OG0000327	Syah.g_00742	Prbe.g_01088
OG0000328	Syah.g_00743	Prbe.g_01087
OG0000329	Syah.g_00760	Prbe.g_00860
OG0000330	Syah.g_00761	Prbe.g_00859
OG0000331	Syah.g_00762	Prbe.g_00858
OG0000332	Syah.g_00776	Prbe.g_00844
OG0000333	Syah.g_00779	Prbe.g_00842
OG0000334	Syah.g_00789	Prbe.g_00833
OG0000335	Syah.g_00794	Prbe.g_00828
OG0000336	Syah.g_00798	Prbe.g_00824
OG0000337	Syah.g_00178	Prbe.g_00806
OG0000338	Syah.g_00181	Prbe.g_00805
OG0000339	Syah.g_00188	Prbe.g_00799
OG0000340	Syah.g_00206	Prbe.g_00790
OG0000341	Syah.g_00208	Prbe.g_00788
OG0000342	Syah.g_00209	Prbe.g_00787
OG0000343	Syah.g_00231	Prbe.g_00786
OG0000344	Syah.g_00235	Prbe.g_00783
OG0000345	Syah.g_00246	Prbe.g_00777
OG0000346	Syah.g_00251	Prbe.g_00773
OG0000347	Syah.g_00275	Prbe.g_00746
OG0000348	Syah.g_00301	Prbe.g_00754
OG0000349	Syah.g_00320	Prbe.g_01149
OG0000350	Syah.g_00703	Prbe.g_00709
OG0000351	Syah.g_00399	Prbe.g_01189
OG0000352	Syah.g_00398	Prbe.g_01190
OG0000353	Syah.g_00374	Prbe.g_01064
OG0000355	Syah.g_00372	Prbe.g_01066
OG0000356	Syah.g_00371	Prbe.g_01067
OG0000357	Syah.g_00370	Prbe.g_01068
OG0000358	Syah.g_00366	Prbe.g_01072
OG0000359	Syah.g_00364	Prbe.g_01073
OG0000360	Syah.g_00363	Prbe.g_01074
OG0000361	Syah.g_00362	Prbe.g_01075
OG0000362	Syah.g_00360	Prbe.g_01077
OG0000363	Syah.g_00358	Prbe.g_00114
OG0000364	Syah.g_00357	Prbe.g_00115
OG0000365	Syah.g_00351	Prbe.g_00120
OG0000366	Syah.g_00350	Prbe.g_00121
OG0000367	Syah.g_00349	Prbe.g_00122
OG0000368	Syah.g_00347	Prbe.g_00124
OG0000369	Syah.g_00346	Prbe.g_00125
OG0000370	Syah.g_00345	Prbe.g_00126
OG0000371	Syah.g_00338	Prbe.g_00133
OG0000372	Syah.g_00333	Prbe.g_00136
OG0000373	Syah.g_00332	Prbe.g_00137
OG0000374	Syah.g_00331	Prbe.g_00138
OG0000375	Syah.g_00329	Prbe.g_00140
OG0000376	Syah.g_00327	Prbe.g_00142
OG0000377	Syah.g_00517	Prbe.g_00146
OG0000378	Syah.g_00526	Prbe.g_00150
OG0000379	Syah.g_00529	Prbe.g_00153
OG0000380	Syah.g_02481	Prbe.g_00170
OG0000381	Syah.g_02484	Prbe.g_00175
OG0000382	Syah.g_02500	Prbe.g_00185
OG0000383	Syah.g_02502	Prbe.g_00187
OG0000384	Syah.g_02503	Prbe.g_00188
OG0000385	Syah.g_02504	Prbe.g_00189
OG0000386	Syah.g_02505	Prbe.g_00190
OG0000387	Syah.g_02530	Prbe.g_01640
OG0000388	Syah.g_02533	Prbe.g_01644
OG0000389	Syah.g_02536	Prbe.g_01647
OG0000390	Syah.g_00002	Prbe.g_01657
OG0000391	Syah.g_00007	Prbe.g_01660
OG0000392	Syah.g_00012	Prbe.g_01664
OG0000393	Syah.g_00014	Prbe.g_01667
OG0000394	Syah.g_00015	Prbe.g_01668
OG0000395	Syah.g_00016	Prbe.g_01669
OG0000396	Syah.g_00019	Prbe.g_01671
OG0000397	Syah.g_00021	Prbe.g_01673
OG0000398	Syah.g_00027	Prbe.g_01676
OG0000399	Syah.g_00028	Prbe.g_01677
OG0000400	Syah.g_00029	Prbe.g_01678
OG0000401	Syah.g_00030	Prbe.g_01679
OG0000402	Syah.g_00033	Prbe.g_01412
OG0000403	Syah.g_00034	Prbe.g_01681
OG0000404	Syah.g_00036	Prbe.g_01682
OG0000405	Syah.g_00050	Prbe.g_01686
OG0000406	Syah.g_00054	Prbe.g_01694
OG0000407	Syah.g_00055	Prbe.g_01695
OG0000408	Syah.g_00057	Prbe.g_01697
OG0000409	Syah.g_00059	Prbe.g_01699
OG0000410	Syah.g_00060	Prbe.g_01700
OG0000411	Syah.g_00061	Prbe.g_01701
OG0000412	Syah.g_00062	Prbe.g_01702
OG0000413	Syah.g_00064	Prbe.g_01704
OG0000414	Syah.g_00065	Prbe.g_01705
OG0000415	Syah.g_00066	Prbe.g_01706
OG0000416	Syah.g_00067	Prbe.g_01707
OG0000417	Syah.g_00068	Prbe.g_01708
OG0000418	Syah.g_00073	Prbe.g_01713
OG0000419	Syah.g_00075	Prbe.g_01715
OG0000420	Syah.g_00077	Prbe.g_01716
OG0000421	Syah.g_00082	Prbe.g_01721
OG0000422	Syah.g_00083	Prbe.g_01722
OG0000423	Syah.g_00084	Prbe.g_01723
OG0000424	Syah.g_00085	Prbe.g_01724
OG0000425	Syah.g_00086	Prbe.g_01725
OG0000426	Syah.g_00087	Prbe.g_01726
OG0000427	Syah.g_00088	Prbe.g_01727
OG0000428	Syah.g_00620	Prbe.g_01729
OG0000429	Syah.g_00618	Prbe.g_01730
OG0000430	Syah.g_00617	Prbe.g_01731
OG0000431	Syah.g_00613	Prbe.g_01733
OG0000432	Syah.g_00607	Prbe.g_01737
OG0000433	Syah.g_00605	Prbe.g_01738
OG0000434	Syah.g_00604	Prbe.g_01739
OG0000435	Syah.g_00602	Prbe.g_01740
OG0000436	Syah.g_00597	Prbe.g_01745
OG0000437	Syah.g_00596	Prbe.g_01746
OG0000438	Syah.g_00595	Prbe.g_01747
OG0000439	Syah.g_00593	Prbe.g_01749
OG0000440	Syah.g_00592	Prbe.g_01750
OG0000441	Syah.g_00585	Prbe.g_01753
OG0000442	Syah.g_00580	Prbe.g_01754
OG0000443	Syah.g_00579	Prbe.g_01755
OG0000444	Syah.g_00573	Prbe.g_01761
OG0000445	Syah.g_00572	Prbe.g_01762
OG0000446	Syah.g_00570	Prbe.g_01763
OG0000447	Syah.g_00567	Prbe.g_01764
OG0000448	Syah.g_00566	Prbe.g_01765
OG0000449	Syah.g_00565	Prbe.g_01766
OG0000450	Syah.g_00547	Prbe.g_01767
OG0000451	Syah.g_00546	Prbe.g_01768
OG0000452	Syah.g_00542	Prbe.g_01771
OG0000453	Syah.g_00541	Prbe.g_01772
OG0000454	Syah.g_00540	Prbe.g_01773
OG0000455	Syah.g_00539	Prbe.g_01774
OG0000456	Syah.g_00538	Prbe.g_01775
OG0000457	Syah.g_00536	Prbe.g_01777
OG0000458	Syah.g_00535	Prbe.g_01778
OG0000459	Syah.g_00534	Prbe.g_01779
OG0000460	Syah.g_00906	Prbe.g_01787
OG0000461	Syah.g_00678	Prbe.g_01795
OG0000462	Syah.g_00675	Prbe.g_01797
OG0000463	Syah.g_00674	Prbe.g_01798
OG0000464	Syah.g_00673	Prbe.g_01799
OG0000465	Syah.g_00672	Prbe.g_01800
OG0000466	Syah.g_00668	Prbe.g_01803
OG0000467	Syah.g_00666	Prbe.g_01804
OG0000468	Syah.g_00661	Prbe.g_01807
OG0000469	Syah.g_00647	Prbe.g_01815
OG0000470	Syah.g_00645	Prbe.g_01817
OG0000471	Syah.g_00644	Prbe.g_01818
OG0000472	Syah.g_00642	Prbe.g_01820
OG0000473	Syah.g_00640	Prbe.g_01822
OG0000474	Syah.g_00639	Prbe.g_01823
OG0000475	Syah.g_00638	Prbe.g_01824
OG0000476	Syah.g_00636	Prbe.g_01826
OG0000477	Syah.g_00630	Prbe.g_01829
OG0000478	Syah.g_00629	Prbe.g_01830
OG0000479	Syah.g_00628	Prbe.g_01831
OG0000480	Syah.g_00089	Prbe.g_01836
OG0000481	Syah.g_00091	Prbe.g_01839
OG0000482	Syah.g_00092	Prbe.g_01840
OG0000483	Syah.g_00096	Prbe.g_01843
OG0000484	Syah.g_00097	Prbe.g_01844
OG0000485	Syah.g_00098	Prbe.g_01846
OG0000486	Syah.g_00099	Prbe.g_01847
OG0000487	Syah.g_00106	Prbe.g_01850
OG0000488	Syah.g_00110	Prbe.g_01853
OG0000489	Syah.g_00121	Prbe.g_01858
OG0000490	Syah.g_00129	Prbe.g_01862
OG0000491	Syah.g_00130	Prbe.g_01863
OG0000492	Syah.g_00132	Prbe.g_01865
OG0000493	Syah.g_00133	Prbe.g_01866
OG0000494	Syah.g_00134	Prbe.g_01867
OG0000495	Syah.g_00135	Prbe.g_01868
OG0000496	Syah.g_00136	Prbe.g_01869
OG0000497	Syah.g_00137	Prbe.g_01870
OG0000498	Syah.g_00138	Prbe.g_01871
OG0000499	Syah.g_00139	Prbe.g_01872
OG0000500	Syah.g_00140	Prbe.g_01873
OG0000501	Syah.g_00143	Prbe.g_01874
OG0000502	Syah.g_00155	Prbe.g_01877
OG0000503	Syah.g_00858	Prbe.g_01892
OG0000504	Syah.g_00860	Prbe.g_01894
OG0000505	Syah.g_00861	Prbe.g_01895
OG0000506	Syah.g_00863	Prbe.g_01896
OG0000507	Syah.g_00869	Prbe.g_01899
OG0000508	Syah.g_00873	Prbe.g_01903
OG0000509	Syah.g_00875	Prbe.g_01905
OG0000510	Syah.g_00876	Prbe.g_01906
OG0000511	Syah.g_00877	Prbe.g_01907
OG0000512	Syah.g_00879	Prbe.g_01909
OG0000513	Syah.g_00892	Prbe.g_01918
OG0000514	Syah.g_00899	Prbe.g_01929
OG0000515	Syah.g_00900	Prbe.g_01930
OG0000516	Syah.g_02231	Prbe.g_01931
OG0000517	Syah.g_02237	Prbe.g_01933
OG0000518	Syah.g_02221	Prbe.g_01944
OG0000519	Syah.g_02220	Prbe.g_01945
OG0000520	Syah.g_02219	Prbe.g_01946
OG0000521	Syah.g_01202	Prbe.g_00676
OG0000522	Syah.g_01204	Prbe.g_00674
OG0000523	Syah.g_01205	Prbe.g_00673
OG0000524	Syah.g_01207	Prbe.g_00668
OG0000525	Syah.g_01212	Prbe.g_00664
OG0000526	Syah.g_01215	Prbe.g_00663
OG0000527	Syah.g_01219	Prbe.g_00660
OG0000528	Syah.g_00991	Prbe.g_00655
OG0000529	Syah.g_00998	Prbe.g_00652
OG0000530	Syah.g_01001	Prbe.g_00649
OG0000531	Syah.g_01002	Prbe.g_00648
OG0000532	Syah.g_01005	Prbe.g_00646
OG0000533	Syah.g_01006	Prbe.g_00645
OG0000534	Syah.g_01007	Prbe.g_00644
OG0000535	Syah.g_01008	Prbe.g_00643
OG0000536	Syah.g_01009	Prbe.g_00642
OG0000537	Syah.g_01010	Prbe.g_00641
OG0000538	Syah.g_01021	Prbe.g_00632
OG0000539	Syah.g_01022	Prbe.g_00631
OG0000540	Syah.g_01023	Prbe.g_00630
OG0000541	Syah.g_01024	Prbe.g_00629
OG0000542	Syah.g_01027	Prbe.g_00628
OG0000543	Syah.g_01029	Prbe.g_00626
OG0000545	Syah.g_01031	Prbe.g_00623
OG0000546	Syah.g_01033	Prbe.g_00620
OG0000547	Syah.g_01035	Prbe.g_00618
OG0000548	Syah.g_01036	Prbe.g_00617
OG0000549	Syah.g_01042	Prbe.g_00615
OG0000550	Syah.g_01046	Prbe.g_00611
OG0000551	Syah.g_01051	Prbe.g_00608
OG0000552	Syah.g_01052	Prbe.g_00607
OG0000553	Syah.g_01054	Prbe.g_00606
OG0000554	Syah.g_01065	Prbe.g_00601
OG0000555	Syah.g_01078	Prbe.g_00593
OG0000556	Syah.g_01084	Prbe.g_00591
OG0000557	Syah.g_01086	Prbe.g_00590
OG0000558	Syah.g_01088	Prbe.g_00588
OG0000559	Syah.g_01093	Prbe.g_00584
OG0000560	Syah.g_01096	Prbe.g_00581
OG0000561	Syah.g_01097	Prbe.g_00580
OG0000562	Syah.g_01098	Prbe.g_00579
