Orthogroup	Syah	Prbc
OG0000134	Syah.g_00891	Prbc.g_01270
OG0000135	Syah.g_00465	Prbc.g_02198, Prbc.g_02183
OG0000136	Syah.g_02227	Prbc.g_01502
OG0000137	Syah.g_01221	Prbc.g_01534
OG0000138	Syah.g_01013	Prbc.g_01554
OG0000139	Syah.g_01070	Prbc.g_01616
OG0000140	Syah.g_01071	Prbc.g_01617
OG0000141	Syah.g_01981	Prbc.g_01684
OG0000142	Syah.g_01935	Prbc.g_01712
OG0000143	Syah.g_01931	Prbc.g_01716
OG0000144	Syah.g_01824	Prbc.g_01729
OG0000145	Syah.g_01019	Prbc.g_02142
OG0000146	Syah.g_01612	Prbc.g_02027
OG0000147	Syah.g_01611	Prbc.g_02026
OG0000148	Syah.g_01758	Prbc.g_01876
OG0000149	Syah.g_02096	Prbc.g_01908
OG0000150	Syah.g_01980	Prbc.g_01916
OG0000151	Syah.g_01820	Prbc.g_01988
OG0000152	Syah.g_01622	Prbc.g_02036
OG0000153	Syah.g_01656	Prbc.g_02054
OG0000154	Syah.g_01682	Prbc.g_02083
OG0000155	Syah.g_02123	Prbc.g_01424
OG0000156	Syah.g_02185	Prbc.g_00555
OG0000157	Syah.g_02186	Prbc.g_00556
OG0000158	Syah.g_00204	Prbc.g_00228
OG0000160	Syah.g_01289	Prbc.g_00710
OG0000161	Syah.g_01282	Prbc.g_00716
OG0000162	Syah.g_01276	Prbc.g_00722
OG0000163	Syah.g_02315	Prbc.g_00758
OG0000164	Syah.g_02423	Prbc.g_00854
OG0000165	Syah.g_02251	Prbc.g_00862
OG0000166	Syah.g_00747	Prbc.g_00321
OG0000167	Syah.g_00183	Prbc.g_00238
OG0000168	Syah.g_00205	Prbc.g_00227
OG0000169	Syah.g_00237	Prbc.g_00217
OG0000170	Syah.g_00245	Prbc.g_00215
OG0000171	Syah.g_00271	Prbc.g_00194
OG0000172	Syah.g_00293	Prbc.g_00967
OG0000173	Syah.g_00313	Prbc.g_00982
OG0000174	Syah.g_00461	Prbc.g_01013
OG0000175	Syah.g_00402	Prbc.g_01044
OG0000176	Syah.g_00369	Prbc.g_01074
OG0000177	Syah.g_00368	Prbc.g_01075
OG0000178	Syah.g_00367	Prbc.g_01076
OG0000179	Syah.g_00355	Prbc.g_01086
OG0000180	Syah.g_00354	Prbc.g_01087
OG0000181	Syah.g_00353	Prbc.g_01088
OG0000182	Syah.g_00352	Prbc.g_01089
OG0000183	Syah.g_00348	Prbc.g_01093
OG0000184	Syah.g_00525	Prbc.g_01124
OG0000185	Syah.g_00528	Prbc.g_01127
OG0000186	Syah.g_02479	Prbc.g_00509
OG0000187	Syah.g_02480	Prbc.g_00508
OG0000188	Syah.g_02501	Prbc.g_00491
OG0000189	Syah.g_02526	Prbc.g_00477
OG0000190	Syah.g_02528	Prbc.g_00476
OG0000191	Syah.g_00008	Prbc.g_00453
OG0000192	Syah.g_00013	Prbc.g_00449
OG0000193	Syah.g_00053	Prbc.g_00425
OG0000194	Syah.g_00056	Prbc.g_00422
OG0000195	Syah.g_00058	Prbc.g_00420
OG0000196	Syah.g_00069	Prbc.g_00410
OG0000197	Syah.g_00070	Prbc.g_00409
OG0000198	Syah.g_00071	Prbc.g_00408
OG0000199	Syah.g_00079	Prbc.g_00401
OG0000200	Syah.g_00616	Prbc.g_00388
OG0000202	Syah.g_00600	Prbc.g_00378
OG0000203	Syah.g_00599	Prbc.g_00377
OG0000204	Syah.g_00598	Prbc.g_00376
OG0000205	Syah.g_00591	Prbc.g_00369
OG0000206	Syah.g_00578	Prbc.g_00365
OG0000207	Syah.g_00575	Prbc.g_00363
OG0000208	Syah.g_00574	Prbc.g_00362
OG0000209	Syah.g_00544	Prbc.g_00352
OG0000210	Syah.g_00543	Prbc.g_00351
OG0000212	Syah.g_00913	Prbc.g_00329
OG0000213	Syah.g_00657	Prbc.g_01153
OG0000214	Syah.g_00641	Prbc.g_01161
OG0000215	Syah.g_00101	Prbc.g_01185
OG0000216	Syah.g_00105	Prbc.g_01186
OG0000217	Syah.g_00109	Prbc.g_01189
OG0000218	Syah.g_00111	Prbc.g_01191
OG0000219	Syah.g_00112	Prbc.g_01192
OG0000220	Syah.g_00113	Prbc.g_01193
OG0000221	Syah.g_00120	Prbc.g_01194
OG0000222	Syah.g_00131	Prbc.g_01202
OG0000223	Syah.g_00153	Prbc.g_01215
OG0000224	Syah.g_00162	Prbc.g_01217
OG0000225	Syah.g_00874	Prbc.g_01257
OG0000226	Syah.g_00878	Prbc.g_01261
OG0000227	Syah.g_00880	Prbc.g_01263
OG0000228	Syah.g_00887	Prbc.g_01267
OG0000229	Syah.g_02236	Prbc.g_01497
OG0000230	Syah.g_02234	Prbc.g_01499
OG0000231	Syah.g_02218	Prbc.g_01510
OG0000232	Syah.g_01206	Prbc.g_01518
OG0000233	Syah.g_01210	Prbc.g_01526
OG0000234	Syah.g_01222	Prbc.g_01535
OG0000235	Syah.g_00996	Prbc.g_01539
OG0000236	Syah.g_01011	Prbc.g_01552
OG0000237	Syah.g_01028	Prbc.g_01586
OG0000238	Syah.g_01032	Prbc.g_01592
OG0000239	Syah.g_01048	Prbc.g_01604
OG0000240	Syah.g_01049	Prbc.g_01605
OG0000241	Syah.g_01944	Prbc.g_01609
OG0000242	Syah.g_01062	Prbc.g_01611
OG0000243	Syah.g_01079	Prbc.g_01622
OG0000244	Syah.g_01087	Prbc.g_01626
OG0000245	Syah.g_01090	Prbc.g_01628
OG0000246	Syah.g_01094	Prbc.g_01632
OG0000247	Syah.g_01106	Prbc.g_01642
OG0000248	Syah.g_01109	Prbc.g_01644
OG0000249	Syah.g_01111	Prbc.g_01646
OG0000250	Syah.g_01120	Prbc.g_01651
OG0000251	Syah.g_01145	Prbc.g_01667
OG0000252	Syah.g_01148	Prbc.g_01669
OG0000253	Syah.g_01149	Prbc.g_01671
OG0000254	Syah.g_01976	Prbc.g_01688
OG0000255	Syah.g_01968	Prbc.g_01694
OG0000256	Syah.g_01952	Prbc.g_01704
OG0000257	Syah.g_01945	Prbc.g_01707
OG0000258	Syah.g_01926	Prbc.g_01720
OG0000259	Syah.g_01494	Prbc.g_01737
OG0000260	Syah.g_01497	Prbc.g_01740
OG0000261	Syah.g_01500	Prbc.g_01743
OG0000262	Syah.g_01505	Prbc.g_01748
OG0000263	Syah.g_01410	Prbc.g_01762
OG0000264	Syah.g_02000	Prbc.g_01773
OG0000265	Syah.g_02252	Prbc.g_01787
OG0000266	Syah.g_01714	Prbc.g_01797
OG0000267	Syah.g_01574	Prbc.g_01810
OG0000268	Syah.g_01575	Prbc.g_01811
OG0000269	Syah.g_01784	Prbc.g_01853
OG0000270	Syah.g_01781	Prbc.g_01856
OG0000271	Syah.g_01773	Prbc.g_01864
OG0000272	Syah.g_01772	Prbc.g_01865
OG0000273	Syah.g_02075	Prbc.g_01890
OG0000274	Syah.g_02076	Prbc.g_01891
OG0000275	Syah.g_02081	Prbc.g_01893
OG0000276	Syah.g_02088	Prbc.g_01899
OG0000277	Syah.g_02089	Prbc.g_01900
OG0000278	Syah.g_02092	Prbc.g_01904
OG0000279	Syah.g_02100	Prbc.g_01911
OG0000280	Syah.g_02112	Prbc.g_00068
OG0000281	Syah.g_00722	Prbc.g_01917
OG0000282	Syah.g_01531	Prbc.g_01979
OG0000283	Syah.g_01585	Prbc.g_02010
OG0000284	Syah.g_01591	Prbc.g_02015
OG0000285	Syah.g_01603	Prbc.g_02020
OG0000286	Syah.g_01621	Prbc.g_02035
OG0000287	Syah.g_01231, Syah.g_01649	Prbc.g_02190
OG0000288	Syah.g_01681	Prbc.g_02082
OG0000289	Syah.g_01695	Prbc.g_02094
OG0000290	Syah.g_02033	Prbc.g_02110
OG0000291	Syah.g_02031	Prbc.g_02112
OG0000292	Syah.g_00380	Prbc.g_00173
OG0000293	Syah.g_02173	Prbc.g_01456
OG0000294	Syah.g_02172	Prbc.g_01455
OG0000295	Syah.g_02131	Prbc.g_01431
OG0000296	Syah.g_02129	Prbc.g_01429
OG0000297	Syah.g_01427	Prbc.g_01421
OG0000298	Syah.g_01426	Prbc.g_01420
OG0000299	Syah.g_01404	Prbc.g_01401
OG0000300	Syah.g_01397	Prbc.g_01398
OG0000301	Syah.g_01396	Prbc.g_01397
OG0000302	Syah.g_01395	Prbc.g_01395
OG0000303	Syah.g_01387	Prbc.g_01390
OG0000304	Syah.g_01382	Prbc.g_01387
OG0000305	Syah.g_02028	Prbc.g_00810
OG0000306	Syah.g_02116	Prbc.g_01921
OG0000307	Syah.g_00978	Prbc.g_00666
OG0000308	Syah.g_00976	Prbc.g_00667
OG0000309	Syah.g_00971	Prbc.g_00671
OG0000310	Syah.g_01321	Prbc.g_00693
OG0000311	Syah.g_01317	Prbc.g_00695
OG0000312	Syah.g_01304	Prbc.g_00698
OG0000313	Syah.g_01285	Prbc.g_00713
OG0000314	Syah.g_01259	Prbc.g_00734
OG0000315	Syah.g_01248	Prbc.g_00744
OG0000316	Syah.g_02333	Prbc.g_00768
OG0000317	Syah.g_02380	Prbc.g_00830
OG0000318	Syah.g_02385	Prbc.g_00833
OG0000319	Syah.g_02405	Prbc.g_00844
OG0000320	Syah.g_02407	Prbc.g_00846
OG0000321	Syah.g_02408	Prbc.g_00847
OG0000322	Syah.g_02409	Prbc.g_00848
OG0000323	Syah.g_02425	Prbc.g_00857
OG0000324	Syah.g_02278	Prbc.g_00884
OG0000325	Syah.g_00689	Prbc.g_00935
OG0000326	Syah.g_00696	Prbc.g_00941
OG0000327	Syah.g_00742	Prbc.g_00326
OG0000328	Syah.g_00743	Prbc.g_00325
OG0000329	Syah.g_00760	Prbc.g_00308
OG0000330	Syah.g_00761	Prbc.g_00307
OG0000331	Syah.g_00762	Prbc.g_00306
OG0000332	Syah.g_00776	Prbc.g_00292
OG0000333	Syah.g_00779	Prbc.g_00290
OG0000334	Syah.g_00789	Prbc.g_00281
OG0000335	Syah.g_00794	Prbc.g_00276
OG0000336	Syah.g_00798	Prbc.g_00272
OG0000337	Syah.g_00178	Prbc.g_00241
OG0000338	Syah.g_00181	Prbc.g_00240
OG0000339	Syah.g_00188	Prbc.g_00235
OG0000340	Syah.g_00206	Prbc.g_00226
OG0000341	Syah.g_00208	Prbc.g_00224
OG0000342	Syah.g_00209	Prbc.g_00223
OG0000343	Syah.g_00231	Prbc.g_00222
OG0000344	Syah.g_00235	Prbc.g_00219
OG0000345	Syah.g_00246	Prbc.g_00214
OG0000346	Syah.g_00251	Prbc.g_00210
OG0000347	Syah.g_00275	Prbc.g_00190
OG0000348	Syah.g_00301	Prbc.g_00970
OG0000349	Syah.g_00320	Prbc.g_00988
OG0000350	Syah.g_00703	Prbc.g_01009
OG0000351	Syah.g_00399	Prbc.g_01047
OG0000352	Syah.g_00398	Prbc.g_01048
OG0000353	Syah.g_00374	Prbc.g_01068
OG0000355	Syah.g_00372	Prbc.g_01071
OG0000356	Syah.g_00371	Prbc.g_01072
OG0000357	Syah.g_00370	Prbc.g_01073
OG0000358	Syah.g_00366	Prbc.g_01077
OG0000359	Syah.g_00364	Prbc.g_01078
OG0000360	Syah.g_00363	Prbc.g_01079
OG0000361	Syah.g_00362	Prbc.g_01080
OG0000362	Syah.g_00360	Prbc.g_01082
OG0000363	Syah.g_00358	Prbc.g_01084
OG0000364	Syah.g_00357	Prbc.g_01085
OG0000365	Syah.g_00351	Prbc.g_01090
OG0000366	Syah.g_00350	Prbc.g_01091
OG0000367	Syah.g_00349	Prbc.g_01092
OG0000368	Syah.g_00347	Prbc.g_01094
OG0000369	Syah.g_00346	Prbc.g_01095
OG0000370	Syah.g_00345	Prbc.g_01096
OG0000371	Syah.g_00338	Prbc.g_01102
OG0000372	Syah.g_00333	Prbc.g_01104
OG0000373	Syah.g_00332	Prbc.g_01105
OG0000374	Syah.g_00331	Prbc.g_01106
OG0000375	Syah.g_00329	Prbc.g_01118
OG0000376	Syah.g_00327	Prbc.g_01120
OG0000377	Syah.g_00517	Prbc.g_01123
OG0000378	Syah.g_00526	Prbc.g_01125
OG0000379	Syah.g_00529	Prbc.g_01128
OG0000380	Syah.g_02481	Prbc.g_00507
OG0000381	Syah.g_02484	Prbc.g_00503
OG0000382	Syah.g_02500	Prbc.g_00492
OG0000383	Syah.g_02502	Prbc.g_00490
OG0000384	Syah.g_02503	Prbc.g_00489
OG0000385	Syah.g_02504	Prbc.g_00488
OG0000386	Syah.g_02505	Prbc.g_00487
OG0000387	Syah.g_02530	Prbc.g_00474
OG0000388	Syah.g_02533	Prbc.g_00470
OG0000389	Syah.g_02536	Prbc.g_00467
OG0000390	Syah.g_00002	Prbc.g_00458
OG0000391	Syah.g_00007	Prbc.g_00454
OG0000392	Syah.g_00012	Prbc.g_00451
OG0000393	Syah.g_00014	Prbc.g_00448
OG0000394	Syah.g_00015	Prbc.g_00447
OG0000395	Syah.g_00016	Prbc.g_00446
OG0000396	Syah.g_00019	Prbc.g_00443
OG0000397	Syah.g_00021	Prbc.g_00441
OG0000398	Syah.g_00027	Prbc.g_00438
OG0000399	Syah.g_00028	Prbc.g_00437
OG0000400	Syah.g_00029	Prbc.g_00436
OG0000401	Syah.g_00030	Prbc.g_00435
OG0000402	Syah.g_00033	Prbc.g_02145
OG0000403	Syah.g_00034	Prbc.g_00434
OG0000404	Syah.g_00036	Prbc.g_00433
OG0000405	Syah.g_00050	Prbc.g_00428
OG0000406	Syah.g_00054	Prbc.g_00424
OG0000407	Syah.g_00055	Prbc.g_00423
OG0000408	Syah.g_00057	Prbc.g_00421
OG0000409	Syah.g_00059	Prbc.g_00419
OG0000410	Syah.g_00060	Prbc.g_00418
OG0000411	Syah.g_00061	Prbc.g_00417
OG0000412	Syah.g_00062	Prbc.g_00416
OG0000413	Syah.g_00064	Prbc.g_00415
OG0000414	Syah.g_00065	Prbc.g_00414
OG0000415	Syah.g_00066	Prbc.g_00413
OG0000416	Syah.g_00067	Prbc.g_00412
OG0000417	Syah.g_00068	Prbc.g_00411
OG0000418	Syah.g_00073	Prbc.g_00406
OG0000419	Syah.g_00075	Prbc.g_00404
OG0000420	Syah.g_00077	Prbc.g_00403
OG0000421	Syah.g_00082	Prbc.g_00399
OG0000422	Syah.g_00083	Prbc.g_00398
OG0000423	Syah.g_00084	Prbc.g_00397
OG0000424	Syah.g_00085	Prbc.g_00396
OG0000425	Syah.g_00086	Prbc.g_00395
OG0000426	Syah.g_00087	Prbc.g_00394
OG0000427	Syah.g_00088	Prbc.g_00393
OG0000428	Syah.g_00620	Prbc.g_00391
OG0000429	Syah.g_00618	Prbc.g_00390
OG0000430	Syah.g_00617	Prbc.g_00389
OG0000431	Syah.g_00613	Prbc.g_00387
OG0000432	Syah.g_00607	Prbc.g_00383
OG0000433	Syah.g_00605	Prbc.g_00382
OG0000434	Syah.g_00604	Prbc.g_00381
OG0000435	Syah.g_00602	Prbc.g_00380
OG0000436	Syah.g_00597	Prbc.g_00375
OG0000437	Syah.g_00596	Prbc.g_00374
OG0000438	Syah.g_00595	Prbc.g_00373
OG0000439	Syah.g_00593	Prbc.g_00371
OG0000440	Syah.g_00592	Prbc.g_00370
OG0000441	Syah.g_00585	Prbc.g_00368
OG0000442	Syah.g_00580	Prbc.g_00367
OG0000443	Syah.g_00579	Prbc.g_00366
OG0000444	Syah.g_00573	Prbc.g_00361
OG0000445	Syah.g_00572	Prbc.g_00360
OG0000446	Syah.g_00570	Prbc.g_00358
OG0000447	Syah.g_00567	Prbc.g_00357
OG0000448	Syah.g_00566	Prbc.g_00356
OG0000449	Syah.g_00565	Prbc.g_00355
OG0000450	Syah.g_00547	Prbc.g_00354
OG0000451	Syah.g_00546	Prbc.g_00353
OG0000452	Syah.g_00542	Prbc.g_00350
OG0000453	Syah.g_00541	Prbc.g_00349
OG0000454	Syah.g_00540	Prbc.g_00348
OG0000455	Syah.g_00539	Prbc.g_00347
OG0000456	Syah.g_00538	Prbc.g_00346
OG0000457	Syah.g_00536	Prbc.g_00345
OG0000458	Syah.g_00535	Prbc.g_00344
OG0000459	Syah.g_00534	Prbc.g_00343
OG0000460	Syah.g_00906	Prbc.g_00335
OG0000461	Syah.g_00678	Prbc.g_01140
OG0000462	Syah.g_00675	Prbc.g_01142
OG0000463	Syah.g_00674	Prbc.g_01143
OG0000464	Syah.g_00673	Prbc.g_01144
OG0000465	Syah.g_00672	Prbc.g_01145
OG0000466	Syah.g_00668	Prbc.g_01146
OG0000467	Syah.g_00666	Prbc.g_01147
OG0000468	Syah.g_00661	Prbc.g_01149
OG0000469	Syah.g_00647	Prbc.g_01156
OG0000470	Syah.g_00645	Prbc.g_01158
OG0000471	Syah.g_00644	Prbc.g_01159
OG0000472	Syah.g_00642	Prbc.g_01160
OG0000473	Syah.g_00640	Prbc.g_01162
OG0000474	Syah.g_00639	Prbc.g_01163
OG0000475	Syah.g_00638	Prbc.g_01164
OG0000476	Syah.g_00636	Prbc.g_01166
OG0000477	Syah.g_00630	Prbc.g_01168
OG0000478	Syah.g_00629	Prbc.g_01169
OG0000479	Syah.g_00628	Prbc.g_01170
OG0000480	Syah.g_00089	Prbc.g_01175
OG0000481	Syah.g_00091	Prbc.g_01177
OG0000482	Syah.g_00092	Prbc.g_01178
OG0000483	Syah.g_00096	Prbc.g_01181
OG0000484	Syah.g_00097	Prbc.g_01182
OG0000485	Syah.g_00098	Prbc.g_01183
OG0000486	Syah.g_00099	Prbc.g_01184
OG0000487	Syah.g_00106	Prbc.g_01187
OG0000488	Syah.g_00110	Prbc.g_01190
OG0000489	Syah.g_00121	Prbc.g_01195
OG0000490	Syah.g_00129	Prbc.g_01200
OG0000491	Syah.g_00130	Prbc.g_01201
OG0000492	Syah.g_00132	Prbc.g_01203
OG0000493	Syah.g_00133	Prbc.g_01204
OG0000494	Syah.g_00134	Prbc.g_01205
OG0000495	Syah.g_00135	Prbc.g_01206
OG0000496	Syah.g_00136	Prbc.g_01207
OG0000497	Syah.g_00137	Prbc.g_01208
OG0000498	Syah.g_00138	Prbc.g_01209
OG0000499	Syah.g_00139	Prbc.g_01210
OG0000500	Syah.g_00140	Prbc.g_01211
OG0000501	Syah.g_00143	Prbc.g_01213
OG0000502	Syah.g_00155	Prbc.g_01216
OG0000503	Syah.g_00858	Prbc.g_01246
OG0000504	Syah.g_00860	Prbc.g_01248
OG0000505	Syah.g_00861	Prbc.g_01249
OG0000506	Syah.g_00863	Prbc.g_01250
OG0000507	Syah.g_00869	Prbc.g_01253
OG0000508	Syah.g_00873	Prbc.g_01256
OG0000509	Syah.g_00875	Prbc.g_01258
OG0000510	Syah.g_00876	Prbc.g_01259
OG0000511	Syah.g_00877	Prbc.g_01260
OG0000512	Syah.g_00879	Prbc.g_01262
OG0000513	Syah.g_00892	Prbc.g_01271
OG0000514	Syah.g_00899	Prbc.g_01492
OG0000515	Syah.g_00900	Prbc.g_01493
OG0000516	Syah.g_02231	Prbc.g_01494
OG0000517	Syah.g_02237	Prbc.g_01496
OG0000518	Syah.g_02221	Prbc.g_01507
OG0000519	Syah.g_02220	Prbc.g_01508
OG0000520	Syah.g_02219	Prbc.g_01509
OG0000521	Syah.g_01202	Prbc.g_01514
OG0000522	Syah.g_01204	Prbc.g_01516
OG0000523	Syah.g_01205	Prbc.g_01517
OG0000524	Syah.g_01207	Prbc.g_01524
OG0000525	Syah.g_01212	Prbc.g_01528
OG0000526	Syah.g_01215	Prbc.g_01529
OG0000527	Syah.g_01219	Prbc.g_01532
OG0000528	Syah.g_00991	Prbc.g_01538
OG0000529	Syah.g_00998	Prbc.g_01541
OG0000530	Syah.g_01001	Prbc.g_01544
OG0000531	Syah.g_01002	Prbc.g_01545
OG0000532	Syah.g_01005	Prbc.g_01546
OG0000533	Syah.g_01006	Prbc.g_01547
OG0000534	Syah.g_01007	Prbc.g_01548
OG0000535	Syah.g_01008	Prbc.g_01549
OG0000536	Syah.g_01009	Prbc.g_01550
OG0000537	Syah.g_01010	Prbc.g_01551
OG0000538	Syah.g_01021	Prbc.g_01580
OG0000539	Syah.g_01022	Prbc.g_01581
OG0000540	Syah.g_01023	Prbc.g_01582
OG0000541	Syah.g_01024	Prbc.g_01583
OG0000542	Syah.g_01027	Prbc.g_01585
OG0000543	Syah.g_01029	Prbc.g_01587
OG0000545	Syah.g_01031	Prbc.g_01590
OG0000546	Syah.g_01033	Prbc.g_01593
OG0000547	Syah.g_01035	Prbc.g_01595
OG0000548	Syah.g_01036	Prbc.g_01596
OG0000549	Syah.g_01042	Prbc.g_01599
OG0000550	Syah.g_01046	Prbc.g_01603
OG0000551	Syah.g_01051	Prbc.g_01606
OG0000552	Syah.g_01052	Prbc.g_01607
OG0000553	Syah.g_01054	Prbc.g_01608
OG0000554	Syah.g_01065	Prbc.g_01613
OG0000555	Syah.g_01078	Prbc.g_01621
OG0000556	Syah.g_01084	Prbc.g_01623
OG0000557	Syah.g_01086	Prbc.g_01624
OG0000558	Syah.g_01088	Prbc.g_01627
OG0000559	Syah.g_01093	Prbc.g_01631
OG0000560	Syah.g_01096	Prbc.g_01634
OG0000561	Syah.g_01097	Prbc.g_01635
OG0000562	Syah.g_01098	Prbc.g_01636
OG0000563	Syah.g_01099	Prbc.g_01637
