Orthogroup	Pran	Syar
OG0000145	Pran.g_01400	Syar.g_01494, Syar.g_03205
OG0000146	Pran.g_01377	Syar.g_02549
OG0000147	Pran.g_01376	Syar.g_02550
OG0000148	Pran.g_01327	Syar.g_02658
OG0000149	Pran.g_01297	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Pran.g_01289	Syar.g_02130
OG0000151	Pran.g_00439	Syar.g_02038
OG0000152	Pran.g_00487	Syar.g_02539
OG0000153	Pran.g_00506	Syar.g_03283, Syar.g_02503
OG0000154	Pran.g_00542	Syar.g_01800
OG0000155	Pran.g_00040	Syar.g_01959
OG0000156	Pran.g_00887	Syar.g_01517
OG0000157	Pran.g_00886	Syar.g_01516
OG0000158	Pran.g_00822	Syar.g_00650
OG0000160	Pran.g_00732	Syar.g_02807
OG0000161	Pran.g_00726	Syar.g_02801
OG0000162	Pran.g_00720	Syar.g_02863
OG0000163	Pran.g_00686	Syar.g_00639, Syar.g_01186
OG0000164	Pran.g_00994	Syar.g_03168, Syar.g_02969
OG0000165	Pran.g_01001	Syar.g_02976
OG0000166	Pran.g_01069, Pran.g_01068	Syar.g_01034
OG0000167	Pran.g_01135	Syar.g_00662
OG0000168	Pran.g_01144	Syar.g_00246
OG0000169	Pran.g_01154	Syar.g_00262
OG0000170	Pran.g_01156	Syar.g_00613
OG0000171	Pran.g_01175	Syar.g_00587
OG0000172	Pran.g_01184	Syar.g_00547
OG0000173	Pran.g_01199	Syar.g_00528
OG0000174	Pran.g_01226	Syar.g_00701
OG0000175	Pran.g_01236	Syar.g_00438
OG0000176	Pran.g_01261	Syar.g_00474
OG0000177	Pran.g_01262	Syar.g_00475
OG0000178	Pran.g_01263	Syar.g_00476
OG0000179	Pran.g_00408	Syar.g_00489
OG0000180	Pran.g_00407	Syar.g_00490
OG0000181	Pran.g_00406	Syar.g_00491
OG0000182	Pran.g_00405	Syar.g_00492
OG0000183	Pran.g_00401	Syar.g_00496
OG0000184	Pran.g_00379	Syar.g_00897
OG0000185	Pran.g_00376	Syar.g_00909
OG0000186	Pran.g_00368	Syar.g_03036
OG0000187	Pran.g_00367	Syar.g_03038
OG0000188	Pran.g_00350	Syar.g_03058
OG0000189	Pran.g_00337	Syar.g_03104
OG0000190	Pran.g_00336	Syar.g_03107, Syar.g_02374
OG0000191	Pran.g_00316	Syar.g_00039
OG0000192	Pran.g_00312	Syar.g_00046
OG0000193	Pran.g_00287	Syar.g_00079
OG0000194	Pran.g_00283	Syar.g_03236, Syar.g_00082
OG0000195	Pran.g_00281	Syar.g_00023, Syar.g_00084
OG0000196	Pran.g_00271	Syar.g_00096
OG0000197	Pran.g_00270	Syar.g_00097
OG0000198	Pran.g_00269	Syar.g_00098
OG0000199	Pran.g_00262	Syar.g_00106
OG0000200	Pran.g_00248	Syar.g_00124
OG0000201	Pran.g_00240	Syar.g_01000
OG0000202	Pran.g_00239	Syar.g_00998, Syar.g_00021
OG0000203	Pran.g_00238	Syar.g_00020, Syar.g_00997
OG0000204	Pran.g_00237	Syar.g_00996
OG0000205	Pran.g_00230	Syar.g_00988
OG0000206	Pran.g_00225	Syar.g_00963
OG0000207	Pran.g_00223	Syar.g_00957
OG0000208	Pran.g_00222	Syar.g_00956
OG0000209	Pran.g_00213	Syar.g_00936, Syar.g_03261
OG0000210	Pran.g_00212	Syar.g_00935, Syar.g_03260
OG0000211	Pran.g_00199	Syar.g_03026
OG0000212	Pran.g_00193	Syar.g_03017
OG0000213	Pran.g_01935	Syar.g_00187
OG0000214	Pran.g_01926	Syar.g_00209
OG0000215	Pran.g_01902	Syar.g_00239
OG0000216	Pran.g_01900	Syar.g_00244
OG0000217	Pran.g_01897	Syar.g_00854
OG0000218	Pran.g_01895	Syar.g_00852
OG0000219	Pran.g_01894	Syar.g_00851
OG0000220	Pran.g_01893	Syar.g_00850, Syar.g_02026
OG0000221	Pran.g_01892	Syar.g_00834
OG0000222	Pran.g_01884	Syar.g_02119, Syar.g_00728
OG0000223	Pran.g_01871	Syar.g_00649
OG0000224	Pran.g_01869	Syar.g_00762, Syar.g_00273
OG0000225	Pran.g_01849	Syar.g_01142
OG0000226	Pran.g_01845	Syar.g_01146
OG0000227	Pran.g_01843	Syar.g_01148
OG0000228	Pran.g_01840	Syar.g_01161
OG0000229	Pran.g_01744	Syar.g_01177, Syar.g_03273
OG0000230	Pran.g_01742	Syar.g_01179, Syar.g_03275
OG0000231	Pran.g_01728	Syar.g_02865, Syar.g_03151
OG0000232	Pran.g_01720	Syar.g_01424
OG0000233	Pran.g_01715	Syar.g_03183, Syar.g_01247
OG0000234	Pran.g_01702	Syar.g_01275
OG0000235	Pran.g_01699	Syar.g_01468
OG0000236	Pran.g_01685	Syar.g_03311, Syar.g_01484
OG0000237	Pran.g_01672	Syar.g_01503
OG0000238	Pran.g_01666	Syar.g_01508
OG0000239	Pran.g_01653	Syar.g_03277, Syar.g_02687
OG0000240	Pran.g_01652	Syar.g_03278, Syar.g_02686
OG0000241	Pran.g_01648	Syar.g_02410
OG0000242	Pran.g_01646	Syar.g_01926
OG0000243	Pran.g_01635	Syar.g_02335
OG0000244	Pran.g_01632	Syar.g_02327
OG0000245	Pran.g_01630	Syar.g_02325, Syar.g_03238
OG0000246	Pran.g_01626	Syar.g_02321
OG0000247	Pran.g_01616	Syar.g_02310
OG0000248	Pran.g_01613	Syar.g_02307, Syar.g_03293
OG0000249	Pran.g_01611	Syar.g_02305
OG0000250	Pran.g_01606	Syar.g_02299, Syar.g_03194
OG0000251	Pran.g_01587	Syar.g_03207, Syar.g_02194
OG0000252	Pran.g_01584	Syar.g_02189, Syar.g_03263
OG0000253	Pran.g_01583	Syar.g_02028, Syar.g_03229
OG0000254	Pran.g_01567	Syar.g_02169
OG0000255	Pran.g_01561	Syar.g_00011, Syar.g_02224
OG0000256	Pran.g_01551	Syar.g_02244
OG0000257	Pran.g_01548	Syar.g_02407, Syar.g_01762
OG0000258	Pran.g_01535	Syar.g_02427, Syar.g_00010
OG0000259	Pran.g_01518	Syar.g_02472
OG0000260	Pran.g_01515	Syar.g_03220, Syar.g_02475
OG0000261	Pran.g_01513	Syar.g_01916
OG0000262	Pran.g_01509	Syar.g_01690
OG0000263	Pran.g_01497	Syar.g_01991
OG0000264	Pran.g_01487	Syar.g_02135, Syar.g_03267
OG0000266	Pran.g_01450	Syar.g_01570
OG0000267	Pran.g_01439	Syar.g_01873
OG0000268	Pran.g_01438	Syar.g_02589
OG0000269	Pran.g_01348	Syar.g_02634
OG0000270	Pran.g_01345	Syar.g_00744, Syar.g_02637
OG0000271	Pran.g_01337	Syar.g_02645
OG0000272	Pran.g_01336	Syar.g_02646
OG0000273	Pran.g_01313	Syar.g_02481, Syar.g_00008
OG0000274	Pran.g_01312	Syar.g_00009, Syar.g_02482
OG0000275	Pran.g_01310	Syar.g_01810
OG0000276	Pran.g_01305	Syar.g_01817
OG0000277	Pran.g_01304	Syar.g_01818, Syar.g_03242
OG0000278	Pran.g_01301	Syar.g_01821, Syar.g_03174
OG0000279	Pran.g_01294	Syar.g_01838
OG0000280	Pran.g_01293	Syar.g_02067, Syar.g_00734
OG0000281	Pran.g_01287	Syar.g_02218
OG0000282	Pran.g_00431	Syar.g_01614, Syar.g_03255
OG0000283	Pran.g_00464	Syar.g_02574
OG0000284	Pran.g_00469	Syar.g_03258, Syar.g_02568
OG0000285	Pran.g_00474	Syar.g_02560
OG0000286	Pran.g_00486	Syar.g_02540
OG0000287	Pran.g_00503	Syar.g_02512
OG0000288	Pran.g_00541	Syar.g_01801
OG0000289	Pran.g_00552	Syar.g_03305, Syar.g_01786
OG0000290	Pran.g_00565	Syar.g_01928
OG0000291	Pran.g_00567	Syar.g_01930
OG0000292	Pran.g_00135	Syar.g_00463
OG0000293	Pran.g_00069	Syar.g_03297, Syar.g_01526
OG0000294	Pran.g_00068	Syar.g_01527, Syar.g_03296
OG0000295	Pran.g_00048	Syar.g_01951, Syar.g_03208
OG0000296	Pran.g_00046	Syar.g_01953
OG0000297	Pran.g_00038	Syar.g_01967, Syar.g_03216
OG0000298	Pran.g_00037	Syar.g_01968, Syar.g_03215
OG0000299	Pran.g_00020	Syar.g_01704
OG0000300	Pran.g_00017	Syar.g_01646, Syar.g_01711
OG0000301	Pran.g_00016	Syar.g_01712
OG0000302	Pran.g_00014	Syar.g_01713
OG0000303	Pran.g_00007	Syar.g_03136, Syar.g_01723
OG0000304	Pran.g_00003	Syar.g_01728
OG0000305	Pran.g_00848	Syar.g_01933, Syar.g_03163
OG0000306	Pran.g_00846	Syar.g_01884, Syar.g_03140
OG0000307	Pran.g_00832	Syar.g_01452, Syar.g_03153
OG0000308	Pran.g_00831	Syar.g_01450
OG0000309	Pran.g_00827	Syar.g_01239
OG0000310	Pran.g_00748	Syar.g_02826
OG0000311	Pran.g_00746	Syar.g_02823
OG0000312	Pran.g_00743	Syar.g_00015, Syar.g_02818
OG0000313	Pran.g_00729	Syar.g_02804
OG0000314	Pran.g_00706	Syar.g_01403
OG0000315	Pran.g_00696	Syar.g_01393
OG0000316	Pran.g_00676	Syar.g_02885
OG0000317	Pran.g_00968	Syar.g_02926
OG0000318	Pran.g_00971	Syar.g_02930
OG0000319	Pran.g_00984	Syar.g_02954
OG0000320	Pran.g_00986	Syar.g_02956
OG0000321	Pran.g_00987	Syar.g_02957
OG0000322	Pran.g_00988	Syar.g_02958
OG0000323	Pran.g_00997	Syar.g_02973
OG0000324	Pran.g_01023	Syar.g_00350, Syar.g_03001
OG0000325	Pran.g_01033	Syar.g_03291, Syar.g_00148
OG0000326	Pran.g_01039	Syar.g_00139, Syar.g_03134
OG0000327	Pran.g_01063	Syar.g_01029
OG0000328	Pran.g_01064	Syar.g_01030
OG0000329	Pran.g_01082	Syar.g_03189, Syar.g_01048
OG0000330	Pran.g_01083	Syar.g_03190, Syar.g_01049
OG0000331	Pran.g_01084	Syar.g_01050, Syar.g_03191
OG0000332	Pran.g_01098	Syar.g_01064, Syar.g_03299
OG0000333	Pran.g_01100	Syar.g_01067
OG0000334	Pran.g_01108	Syar.g_01076
OG0000335	Pran.g_01113	Syar.g_01080
OG0000336	Pran.g_01117	Syar.g_01084
OG0000337	Pran.g_01133	Syar.g_00285
OG0000338	Pran.g_01134	Syar.g_03225, Syar.g_00287
OG0000339	Pran.g_01138	Syar.g_00658
OG0000340	Pran.g_01145	Syar.g_00247
OG0000341	Pran.g_01147	Syar.g_00249
OG0000342	Pran.g_01148	Syar.g_00250
OG0000343	Pran.g_01149	Syar.g_00256
OG0000344	Pran.g_01152	Syar.g_00260
OG0000345	Pran.g_01157	Syar.g_00612
OG0000346	Pran.g_01161	Syar.g_00607
OG0000347	Pran.g_01177	Syar.g_00558
OG0000348	Pran.g_01187	Syar.g_00544
OG0000349	Pran.g_01203	Syar.g_00521
OG0000350	Pran.g_01222	Syar.g_00132
OG0000351	Pran.g_01239	Syar.g_00442
OG0000352	Pran.g_01240	Syar.g_00443
OG0000353	Pran.g_01256	Syar.g_00469
OG0000355	Pran.g_01258	Syar.g_00471
OG0000356	Pran.g_01259	Syar.g_00472
OG0000357	Pran.g_01260	Syar.g_00473
OG0000358	Pran.g_01264	Syar.g_00477
OG0000359	Pran.g_01265	Syar.g_00479
OG0000360	Pran.g_01266	Syar.g_00480
OG0000361	Pran.g_01267	Syar.g_00481
OG0000362	Pran.g_01269	Syar.g_00483
OG0000363	Pran.g_00410	Syar.g_00484
OG0000364	Pran.g_00409	Syar.g_02928
OG0000365	Pran.g_00404	Syar.g_00493
OG0000366	Pran.g_00403	Syar.g_00494
OG0000367	Pran.g_00402	Syar.g_03262, Syar.g_00495
OG0000368	Pran.g_00400	Syar.g_00497
OG0000369	Pran.g_00399	Syar.g_00498
OG0000370	Pran.g_00398	Syar.g_00499
OG0000371	Pran.g_00392	Syar.g_00508
OG0000372	Pran.g_00389	Syar.g_00514
OG0000373	Pran.g_00388	Syar.g_00515
OG0000374	Pran.g_00387	Syar.g_00516
OG0000375	Pran.g_00385	Syar.g_00517
OG0000376	Pran.g_00383	Syar.g_00519
OG0000377	Pran.g_00380	Syar.g_00322
OG0000378	Pran.g_00378	Syar.g_00905
OG0000379	Pran.g_00375	Syar.g_00910
OG0000380	Pran.g_00366	Syar.g_03039
OG0000381	Pran.g_00362	Syar.g_03041
OG0000382	Pran.g_00351	Syar.g_03057
OG0000383	Pran.g_00349	Syar.g_03074
OG0000384	Pran.g_00348	Syar.g_03075
OG0000385	Pran.g_00347	Syar.g_03076
OG0000386	Pran.g_00346	Syar.g_03077
OG0000387	Pran.g_00334	Syar.g_03109
OG0000388	Pran.g_00331	Syar.g_03148, Syar.g_03113
OG0000389	Pran.g_00327	Syar.g_03118
OG0000390	Pran.g_00320	Syar.g_00033
OG0000391	Pran.g_00317	Syar.g_00038
OG0000392	Pran.g_00313	Syar.g_00045
OG0000393	Pran.g_00311	Syar.g_00048
OG0000394	Pran.g_00310	Syar.g_00049
OG0000395	Pran.g_00309	Syar.g_00050
OG0000396	Pran.g_00307	Syar.g_00053
OG0000397	Pran.g_00305	Syar.g_00055
OG0000398	Pran.g_00303	Syar.g_00060
OG0000399	Pran.g_00302	Syar.g_00061
OG0000400	Pran.g_00301	Syar.g_00062
OG0000401	Pran.g_00300	Syar.g_00063
OG0000402	Pran.g_00298	Syar.g_00065
OG0000403	Pran.g_00297	Syar.g_00066
OG0000404	Pran.g_00296	Syar.g_00067
OG0000405	Pran.g_00292	Syar.g_00076
OG0000406	Pran.g_00286	Syar.g_00080
OG0000407	Pran.g_00285	Syar.g_00081
OG0000408	Pran.g_00282	Syar.g_00083
OG0000409	Pran.g_00280	Syar.g_00085
OG0000410	Pran.g_00279	Syar.g_00086
OG0000411	Pran.g_00278	Syar.g_00087
OG0000412	Pran.g_00277	Syar.g_00088
OG0000413	Pran.g_00276	Syar.g_00090
OG0000414	Pran.g_00275	Syar.g_00091, Syar.g_03179
OG0000415	Pran.g_00274	Syar.g_00092
OG0000416	Pran.g_00273	Syar.g_00093
OG0000417	Pran.g_00272	Syar.g_00095
OG0000418	Pran.g_00267	Syar.g_00100
OG0000419	Pran.g_00265	Syar.g_00102
OG0000420	Pran.g_00264	Syar.g_00104
OG0000421	Pran.g_00259	Syar.g_00109
OG0000422	Pran.g_00258	Syar.g_00110
OG0000423	Pran.g_00257	Syar.g_00111
OG0000424	Pran.g_00256	Syar.g_00112
OG0000425	Pran.g_00255	Syar.g_00113
OG0000426	Pran.g_00254	Syar.g_00114
OG0000427	Pran.g_00253	Syar.g_00115
OG0000428	Pran.g_00251	Syar.g_00118
OG0000429	Pran.g_00250	Syar.g_00121
OG0000430	Pran.g_00249	Syar.g_00123
OG0000431	Pran.g_00247	Syar.g_00127
OG0000432	Pran.g_00244	Syar.g_01009
OG0000433	Pran.g_00243	Syar.g_01007
OG0000434	Pran.g_00242	Syar.g_01006
OG0000435	Pran.g_00241	Syar.g_01003
OG0000436	Pran.g_00236	Syar.g_00994
OG0000437	Pran.g_00235	Syar.g_00993
OG0000438	Pran.g_00234	Syar.g_00992
OG0000439	Pran.g_00232	Syar.g_00990
OG0000440	Pran.g_00231	Syar.g_00989
OG0000441	Pran.g_00228	Syar.g_00986
OG0000442	Pran.g_00227	Syar.g_00977
OG0000443	Pran.g_00226	Syar.g_00964
OG0000444	Pran.g_00221	Syar.g_00954
OG0000445	Pran.g_00220	Syar.g_00953
OG0000446	Pran.g_00219	Syar.g_00951
OG0000447	Pran.g_00218	Syar.g_00948
OG0000448	Pran.g_00217	Syar.g_00947
OG0000449	Pran.g_00216	Syar.g_00946
OG0000450	Pran.g_00215	Syar.g_00939
OG0000451	Pran.g_00214	Syar.g_00938
OG0000452	Pran.g_00211	Syar.g_00934
OG0000453	Pran.g_00210	Syar.g_00933
OG0000454	Pran.g_00209	Syar.g_00932
OG0000455	Pran.g_00208	Syar.g_00931
OG0000456	Pran.g_00207	Syar.g_00930
OG0000457	Pran.g_00206	Syar.g_00928
OG0000458	Pran.g_00205	Syar.g_00918
OG0000459	Pran.g_00204	Syar.g_00917
OG0000460	Pran.g_00197	Syar.g_03024
OG0000461	Pran.g_01950	Syar.g_00153
OG0000462	Pran.g_01948	Syar.g_00155
OG0000463	Pran.g_01947	Syar.g_00156
OG0000464	Pran.g_01946	Syar.g_00157
OG0000465	Pran.g_01945	Syar.g_00159
OG0000466	Pran.g_01942	Syar.g_00164
OG0000467	Pran.g_01941	Syar.g_00165
OG0000468	Pran.g_01939	Syar.g_00170
OG0000469	Pran.g_01931	Syar.g_00203
OG0000470	Pran.g_01929	Syar.g_00206
OG0000471	Pran.g_01928	Syar.g_00207
OG0000472	Pran.g_01927	Syar.g_00208
OG0000473	Pran.g_01925	Syar.g_00210
OG0000474	Pran.g_01924	Syar.g_00211
OG0000475	Pran.g_01923	Syar.g_00212
OG0000476	Pran.g_01922	Syar.g_00214
OG0000477	Pran.g_01919	Syar.g_00219
OG0000478	Pran.g_01918	Syar.g_00220
OG0000479	Pran.g_01917	Syar.g_00221
OG0000480	Pran.g_01912	Syar.g_00228
OG0000481	Pran.g_01910	Syar.g_00230
OG0000482	Pran.g_01909	Syar.g_00231
OG0000483	Pran.g_01906	Syar.g_00235
OG0000484	Pran.g_01905	Syar.g_00236
OG0000485	Pran.g_01904	Syar.g_00237
OG0000486	Pran.g_01903	Syar.g_00024, Syar.g_00238
OG0000487	Pran.g_01899	Syar.g_00245
OG0000488	Pran.g_01896	Syar.g_00853
OG0000489	Pran.g_01891	Syar.g_00833
OG0000490	Pran.g_01886	Syar.g_00823
OG0000491	Pran.g_01885	Syar.g_00822
OG0000492	Pran.g_01883	Syar.g_00727
OG0000493	Pran.g_01882	Syar.g_00726
OG0000494	Pran.g_01881	Syar.g_00725
OG0000495	Pran.g_01880	Syar.g_00724
OG0000496	Pran.g_01879	Syar.g_00723
OG0000497	Pran.g_01878	Syar.g_00722
OG0000498	Pran.g_01877	Syar.g_00721
OG0000499	Pran.g_01876	Syar.g_00720
OG0000500	Pran.g_01875	Syar.g_00719
OG0000501	Pran.g_01873	Syar.g_00716
OG0000502	Pran.g_01870	Syar.g_00275
OG0000503	Pran.g_01860	Syar.g_01118
OG0000504	Pran.g_01859	Syar.g_01120
OG0000505	Pran.g_01858	Syar.g_01121
OG0000506	Pran.g_01857	Syar.g_01123
OG0000507	Pran.g_01854	Syar.g_01129
OG0000508	Pran.g_01850	Syar.g_01141
OG0000509	Pran.g_01848	Syar.g_01143
OG0000510	Pran.g_01847	Syar.g_01144
OG0000511	Pran.g_01846	Syar.g_01145
OG0000512	Pran.g_01844	Syar.g_01147
OG0000513	Pran.g_01837	Syar.g_01166
OG0000514	Pran.g_01749	Syar.g_01169
OG0000515	Pran.g_01748	Syar.g_01170
OG0000516	Pran.g_01747	Syar.g_01172
OG0000517	Pran.g_01745	Syar.g_01176
OG0000518	Pran.g_01734	Syar.g_02868
OG0000519	Pran.g_01733	Syar.g_02867
OG0000520	Pran.g_01729	Syar.g_02866
OG0000521	Pran.g_01724	Syar.g_01419
OG0000522	Pran.g_01723	Syar.g_01421
OG0000523	Pran.g_01722	Syar.g_01422
OG0000524	Pran.g_01717	Syar.g_01244
OG0000525	Pran.g_01714	Syar.g_01263
OG0000526	Pran.g_01713	Syar.g_01266
OG0000527	Pran.g_01705	Syar.g_01271
OG0000528	Pran.g_01700	Syar.g_01466
OG0000529	Pran.g_01697	Syar.g_01470
OG0000530	Pran.g_01694	Syar.g_01473
OG0000531	Pran.g_01693	Syar.g_01474
OG0000532	Pran.g_01691	Syar.g_01477
OG0000533	Pran.g_01690	Syar.g_01479
OG0000534	Pran.g_01689	Syar.g_01480
OG0000535	Pran.g_01688	Syar.g_01481
OG0000536	Pran.g_01687	Syar.g_01482
OG0000537	Pran.g_01686	Syar.g_01483
OG0000538	Pran.g_01678	Syar.g_01496
OG0000539	Pran.g_01677	Syar.g_01497
OG0000540	Pran.g_01676	Syar.g_01498
OG0000541	Pran.g_01675	Syar.g_01499
OG0000542	Pran.g_01673	Syar.g_01502
OG0000543	Pran.g_01671	Syar.g_01504
OG0000544	Pran.g_01670	Syar.g_01505
OG0000545	Pran.g_01668	Syar.g_01507
OG0000546	Pran.g_01665	Syar.g_01509
OG0000547	Pran.g_01663	Syar.g_01511
OG0000548	Pran.g_01662	Syar.g_01512
OG0000549	Pran.g_01660	Syar.g_02693
OG0000550	Pran.g_01655	Syar.g_02689
OG0000551	Pran.g_01651	Syar.g_02684
OG0000552	Pran.g_01650	Syar.g_02683
OG0000553	Pran.g_01649	Syar.g_02679
OG0000554	Pran.g_01644	Syar.g_02352
OG0000555	Pran.g_01636	Syar.g_02336
OG0000556	Pran.g_01634	Syar.g_02332
OG0000557	Pran.g_01633	Syar.g_02328
OG0000558	Pran.g_01631	Syar.g_02326
OG0000559	Pran.g_01627	Syar.g_02322
