Orthogroup	Pran	Prbk
OG0000129	Pran.g_00381	Prbk.g_02156
OG0000130	Pran.g_00363	Prbk.g_01320
OG0000131	Pran.g_00288	Prbk.g_00751
OG0000132	Pran.g_00268	Prbk.g_00771
OG0000133	Pran.g_01872	Prbk.g_00472
OG0000134	Pran.g_01838	Prbk.g_00361
OG0000135	Pran.g_01812	Prbk.g_02209
OG0000136	Pran.g_01739	Prbk.g_00323
OG0000137	Pran.g_01703	Prbk.g_02113
OG0000138	Pran.g_01683	Prbk.g_02078
OG0000139	Pran.g_01641	Prbk.g_01086
OG0000140	Pran.g_01640	Prbk.g_01092
OG0000141	Pran.g_01571	Prbk.g_01154
OG0000142	Pran.g_01543	Prbk.g_02631
OG0000143	Pran.g_01539	Prbk.g_02635
OG0000144	Pran.g_01526	Prbk.g_00739
OG0000145	Pran.g_01400	Prbk.g_01863
OG0000146	Pran.g_01377	Prbk.g_02333
OG0000147	Pran.g_01376	Prbk.g_02334
OG0000148	Pran.g_01327	Prbk.g_02487
OG0000149	Pran.g_01297	Prbk.g_02544
OG0000150	Pran.g_01289	Prbk.g_02567
OG0000151	Pran.g_00439	Prbk.g_02417
OG0000152	Pran.g_00487	Prbk.g_02324
OG0000153	Pran.g_00506	Prbk.g_02297
OG0000154	Pran.g_00542	Prbk.g_00584
OG0000155	Pran.g_00040	Prbk.g_00099
OG0000156	Pran.g_00887	Prbk.g_00164
OG0000157	Pran.g_00886	Prbk.g_00163
OG0000158	Pran.g_00822	Prbk.g_00526
OG0000160	Pran.g_00732	Prbk.g_00260
OG0000161	Pran.g_00726	Prbk.g_00274
OG0000162	Pran.g_00720	Prbk.g_00280
OG0000163	Pran.g_00686	Prbk.g_02002
OG0000164	Pran.g_00994	Prbk.g_01432
OG0000165	Pran.g_01001	Prbk.g_01423
OG0000166	Pran.g_01069, Pran.g_01068	Prbk.g_00982
OG0000167	Pran.g_01135	Prbk.g_00512
OG0000168	Pran.g_01144	Prbk.g_00527
OG0000169	Pran.g_01154	Prbk.g_00220
OG0000170	Pran.g_01156	Prbk.g_00232
OG0000171	Pran.g_01175	Prbk.g_01538
OG0000172	Pran.g_01184	Prbk.g_01573
OG0000173	Pran.g_01199	Prbk.g_01594
OG0000174	Pran.g_01226	Prbk.g_02211
OG0000175	Pran.g_01236	Prbk.g_02249
OG0000176	Pran.g_01261	Prbk.g_02282
OG0000177	Pran.g_01262	Prbk.g_02283
OG0000178	Pran.g_01263	Prbk.g_02284
OG0000179	Pran.g_00408	Prbk.g_01633
OG0000180	Pran.g_00407	Prbk.g_01632
OG0000181	Pran.g_00406	Prbk.g_01631
OG0000182	Pran.g_00405	Prbk.g_01630
OG0000183	Pran.g_00401	Prbk.g_01626
OG0000184	Pran.g_00379	Prbk.g_02148
OG0000185	Pran.g_00376	Prbk.g_02126
OG0000186	Pran.g_00368	Prbk.g_01326
OG0000187	Pran.g_00367	Prbk.g_01324
OG0000188	Pran.g_00350	Prbk.g_01303
OG0000189	Pran.g_00337	Prbk.g_00024
OG0000190	Pran.g_00336	Prbk.g_00022
OG0000191	Pran.g_00316	Prbk.g_00197
OG0000192	Pran.g_00312	Prbk.g_00206
OG0000193	Pran.g_00287	Prbk.g_00752
OG0000194	Pran.g_00283	Prbk.g_00755
OG0000195	Pran.g_00281	Prbk.g_00757
OG0000196	Pran.g_00271	Prbk.g_00768
OG0000197	Pran.g_00270	Prbk.g_00769
OG0000198	Pran.g_00269	Prbk.g_00770
OG0000199	Pran.g_00262	Prbk.g_00777
OG0000200	Pran.g_00248	Prbk.g_01280
OG0000201	Pran.g_00240	Prbk.g_01261
OG0000202	Pran.g_00239	Prbk.g_01260
OG0000203	Pran.g_00238	Prbk.g_01259
OG0000204	Pran.g_00237	Prbk.g_01258
OG0000205	Pran.g_00230	Prbk.g_01251
OG0000206	Pran.g_00225	Prbk.g_00632
OG0000207	Pran.g_00223	Prbk.g_00686
OG0000208	Pran.g_00222	Prbk.g_00685
OG0000209	Pran.g_00213	Prbk.g_00658
OG0000210	Pran.g_00212	Prbk.g_00657
OG0000211	Pran.g_00199	Prbk.g_01368
OG0000212	Pran.g_00193	Prbk.g_01514
OG0000213	Pran.g_01935	Prbk.g_00374
OG0000214	Pran.g_01926	Prbk.g_00401
OG0000215	Pran.g_01902	Prbk.g_00431
OG0000216	Pran.g_01900	Prbk.g_00434
OG0000217	Pran.g_01897	Prbk.g_00438
OG0000218	Pran.g_01895	Prbk.g_00442
OG0000219	Pran.g_01894	Prbk.g_00443
OG0000220	Pran.g_01893	Prbk.g_00444
OG0000221	Pran.g_01892	Prbk.g_00449
OG0000222	Pran.g_01884	Prbk.g_00458
OG0000223	Pran.g_01871	Prbk.g_00481
OG0000224	Pran.g_01869	Prbk.g_00492
OG0000225	Pran.g_01849	Prbk.g_00889
OG0000226	Pran.g_01845	Prbk.g_00893
OG0000227	Pran.g_01843	Prbk.g_00895
OG0000228	Pran.g_01840	Prbk.g_00365
OG0000229	Pran.g_01744	Prbk.g_00328
OG0000230	Pran.g_01742	Prbk.g_00326
OG0000231	Pran.g_01728	Prbk.g_00311
OG0000232	Pran.g_01720	Prbk.g_00295
OG0000233	Pran.g_01715	Prbk.g_02092
OG0000234	Pran.g_01702	Prbk.g_02114
OG0000235	Pran.g_01699	Prbk.g_02060
OG0000236	Pran.g_01685	Prbk.g_02076
OG0000237	Pran.g_01672	Prbk.g_01047
OG0000238	Pran.g_01666	Prbk.g_01051
OG0000239	Pran.g_01653	Prbk.g_01067
OG0000240	Pran.g_01652	Prbk.g_01068
OG0000241	Pran.g_01648	Prbk.g_01965
OG0000242	Pran.g_01646	Prbk.g_01078
OG0000243	Pran.g_01635	Prbk.g_02684
OG0000244	Pran.g_01632	Prbk.g_01897
OG0000245	Pran.g_01630	Prbk.g_01894
OG0000246	Pran.g_01626	Prbk.g_01890
OG0000247	Pran.g_01616	Prbk.g_01879
OG0000248	Pran.g_01613	Prbk.g_01876
OG0000249	Pran.g_01611	Prbk.g_01874
OG0000250	Pran.g_01606	Prbk.g_01106
OG0000251	Pran.g_01587	Prbk.g_01130
OG0000252	Pran.g_01584	Prbk.g_01133
OG0000253	Pran.g_01583	Prbk.g_01139
OG0000254	Pran.g_01567	Prbk.g_01158
OG0000255	Pran.g_01561	Prbk.g_02604
OG0000256	Pran.g_01551	Prbk.g_02618
OG0000257	Pran.g_01548	Prbk.g_02624
OG0000258	Pran.g_01535	Prbk.g_02647
OG0000259	Pran.g_01518	Prbk.g_00720
OG0000260	Pran.g_01515	Prbk.g_00717
OG0000261	Pran.g_01513	Prbk.g_00714
OG0000262	Pran.g_01509	Prbk.g_00709
OG0000263	Pran.g_01497	Prbk.g_00672
OG0000264	Pran.g_01487	Prbk.g_01815
OG0000265	Pran.g_01460	Prbk.g_01835, Prbk.g_00619
OG0000266	Pran.g_01450	Prbk.g_00608
OG0000267	Pran.g_01439	Prbk.g_02371
OG0000268	Pran.g_01438	Prbk.g_02370
OG0000269	Pran.g_01348	Prbk.g_02463
OG0000270	Pran.g_01345	Prbk.g_02466
OG0000271	Pran.g_01337	Prbk.g_02474
OG0000272	Pran.g_01336	Prbk.g_02475
OG0000273	Pran.g_01313	Prbk.g_02526
OG0000274	Pran.g_01312	Prbk.g_02527
OG0000275	Pran.g_01310	Prbk.g_02530
OG0000276	Pran.g_01305	Prbk.g_02536
OG0000277	Pran.g_01304	Prbk.g_02537
OG0000278	Pran.g_01301	Prbk.g_02540
OG0000279	Pran.g_01294	Prbk.g_02548
OG0000280	Pran.g_01293	Prbk.g_02554
OG0000281	Pran.g_01287	Prbk.g_02568
OG0000282	Pran.g_00431	Prbk.g_02398
OG0000283	Pran.g_00464	Prbk.g_02359
OG0000284	Pran.g_00469	Prbk.g_02353
OG0000285	Pran.g_00474	Prbk.g_01698
OG0000286	Pran.g_00486	Prbk.g_02325
OG0000287	Pran.g_00503	Prbk.g_01728
OG0000288	Pran.g_00541	Prbk.g_00583
OG0000289	Pran.g_00552	Prbk.g_00596
OG0000290	Pran.g_00565	Prbk.g_00059
OG0000291	Pran.g_00567	Prbk.g_00057
OG0000292	Pran.g_00135	Prbk.g_02271
OG0000293	Pran.g_00069	Prbk.g_01032
OG0000294	Pran.g_00068	Prbk.g_01031
OG0000295	Pran.g_00048	Prbk.g_00106
OG0000296	Pran.g_00046	Prbk.g_00104
OG0000297	Pran.g_00038	Prbk.g_01498
OG0000298	Pran.g_00037	Prbk.g_01497
OG0000299	Pran.g_00020	Prbk.g_01508
OG0000300	Pran.g_00017	Prbk.g_00186
OG0000301	Pran.g_00016	Prbk.g_00185
OG0000302	Pran.g_00014	Prbk.g_00182
OG0000303	Pran.g_00007	Prbk.g_00097
OG0000304	Pran.g_00003	Prbk.g_00121
OG0000305	Pran.g_00848	Prbk.g_00055
OG0000306	Pran.g_00846	Prbk.g_02578
OG0000307	Pran.g_00832	Prbk.g_02044
OG0000308	Pran.g_00831	Prbk.g_02042
OG0000309	Pran.g_00827	Prbk.g_02038
OG0000310	Pran.g_00748	Prbk.g_01937
OG0000311	Pran.g_00746	Prbk.g_00243
OG0000312	Pran.g_00743	Prbk.g_00247
OG0000313	Pran.g_00729	Prbk.g_00271
OG0000314	Pran.g_00706	Prbk.g_01222
OG0000315	Pran.g_00696	Prbk.g_01212
OG0000316	Pran.g_00676	Prbk.g_01991
OG0000317	Pran.g_00968	Prbk.g_00913
OG0000318	Pran.g_00971	Prbk.g_00906
OG0000319	Pran.g_00984	Prbk.g_01443
OG0000320	Pran.g_00986	Prbk.g_01441
OG0000321	Pran.g_00987	Prbk.g_01440
OG0000322	Pran.g_00988	Prbk.g_01439
OG0000323	Pran.g_00997	Prbk.g_01428
OG0000324	Pran.g_01023	Prbk.g_01399
OG0000325	Pran.g_01033	Prbk.g_01904
OG0000326	Pran.g_01039	Prbk.g_01912
OG0000327	Pran.g_01063	Prbk.g_00987
OG0000328	Pran.g_01064	Prbk.g_00986
OG0000329	Pran.g_01082	Prbk.g_00969
OG0000330	Pran.g_01083	Prbk.g_00968
OG0000331	Pran.g_01084	Prbk.g_00967
OG0000332	Pran.g_01098	Prbk.g_00952
OG0000333	Pran.g_01100	Prbk.g_00950
OG0000334	Pran.g_01108	Prbk.g_00801
OG0000335	Pran.g_01113	Prbk.g_00806
OG0000336	Pran.g_01117	Prbk.g_00810
OG0000337	Pran.g_01133	Prbk.g_00506
OG0000338	Pran.g_01134	Prbk.g_00510
OG0000339	Pran.g_01138	Prbk.g_00516
OG0000340	Pran.g_01145	Prbk.g_00528
OG0000341	Pran.g_01147	Prbk.g_00530
OG0000342	Pran.g_01148	Prbk.g_00531
OG0000343	Pran.g_01149	Prbk.g_00215
OG0000344	Pran.g_01152	Prbk.g_00218
OG0000345	Pran.g_01157	Prbk.g_00233
OG0000346	Pran.g_01161	Prbk.g_00238
OG0000347	Pran.g_01177	Prbk.g_01540
OG0000348	Pran.g_01187	Prbk.g_01578
OG0000349	Pran.g_01203	Prbk.g_01602
OG0000350	Pran.g_01222	Prbk.g_02204
OG0000351	Pran.g_01239	Prbk.g_02252
OG0000352	Pran.g_01240	Prbk.g_02253
OG0000353	Pran.g_01256	Prbk.g_02277
OG0000355	Pran.g_01258	Prbk.g_02279
OG0000356	Pran.g_01259	Prbk.g_02280
OG0000357	Pran.g_01260	Prbk.g_02281
OG0000358	Pran.g_01264	Prbk.g_02285
OG0000359	Pran.g_01265	Prbk.g_02287
OG0000360	Pran.g_01266	Prbk.g_02288
OG0000361	Pran.g_01267	Prbk.g_02289
OG0000362	Pran.g_01269	Prbk.g_02291
OG0000363	Pran.g_00410	Prbk.g_01639
OG0000364	Pran.g_00409	Prbk.g_01638
OG0000365	Pran.g_00404	Prbk.g_01629
OG0000366	Pran.g_00403	Prbk.g_01628
OG0000367	Pran.g_00402	Prbk.g_01627
OG0000368	Pran.g_00400	Prbk.g_01625
OG0000369	Pran.g_00399	Prbk.g_01624
OG0000370	Pran.g_00398	Prbk.g_01623
OG0000371	Pran.g_00392	Prbk.g_01614
OG0000372	Pran.g_00389	Prbk.g_01609
OG0000373	Pran.g_00388	Prbk.g_01608
OG0000374	Pran.g_00387	Prbk.g_01607
OG0000375	Pran.g_00385	Prbk.g_01606
OG0000376	Pran.g_00383	Prbk.g_01604
OG0000377	Pran.g_00380	Prbk.g_02155
OG0000378	Pran.g_00378	Prbk.g_02141
OG0000379	Pran.g_00375	Prbk.g_02125
OG0000380	Pran.g_00366	Prbk.g_01323
OG0000381	Pran.g_00362	Prbk.g_01319
OG0000382	Pran.g_00351	Prbk.g_01304
OG0000383	Pran.g_00349	Prbk.g_01302
OG0000384	Pran.g_00348	Prbk.g_01301
OG0000385	Pran.g_00347	Prbk.g_01300
OG0000386	Pran.g_00346	Prbk.g_01299
OG0000387	Pran.g_00334	Prbk.g_00020
OG0000388	Pran.g_00331	Prbk.g_00016
OG0000389	Pran.g_00327	Prbk.g_00012
OG0000390	Pran.g_00320	Prbk.g_00191
OG0000391	Pran.g_00317	Prbk.g_00196
OG0000392	Pran.g_00313	Prbk.g_00202
OG0000393	Pran.g_00311	Prbk.g_00207
OG0000394	Pran.g_00310	Prbk.g_00208
OG0000395	Pran.g_00309	Prbk.g_00209
OG0000396	Pran.g_00307	Prbk.g_00542
OG0000397	Pran.g_00305	Prbk.g_00544
OG0000398	Pran.g_00303	Prbk.g_00549
OG0000399	Pran.g_00302	Prbk.g_00550
OG0000400	Pran.g_00301	Prbk.g_00551
OG0000401	Pran.g_00300	Prbk.g_00552
OG0000402	Pran.g_00298	Prbk.g_00554
OG0000403	Pran.g_00297	Prbk.g_00555
OG0000404	Pran.g_00296	Prbk.g_00557
OG0000405	Pran.g_00292	Prbk.g_00749
OG0000406	Pran.g_00286	Prbk.g_00753
OG0000407	Pran.g_00285	Prbk.g_00754
OG0000408	Pran.g_00282	Prbk.g_00756
OG0000409	Pran.g_00280	Prbk.g_00758
OG0000410	Pran.g_00279	Prbk.g_00759
OG0000411	Pran.g_00278	Prbk.g_00760
OG0000412	Pran.g_00277	Prbk.g_00761
OG0000413	Pran.g_00276	Prbk.g_00763
OG0000414	Pran.g_00275	Prbk.g_00764
OG0000415	Pran.g_00274	Prbk.g_00765
OG0000416	Pran.g_00273	Prbk.g_00766
OG0000417	Pran.g_00272	Prbk.g_00767
OG0000418	Pran.g_00267	Prbk.g_00772
OG0000419	Pran.g_00265	Prbk.g_00774
OG0000420	Pran.g_00264	Prbk.g_00775
OG0000421	Pran.g_00259	Prbk.g_00779
OG0000422	Pran.g_00258	Prbk.g_00780
OG0000423	Pran.g_00257	Prbk.g_00781
OG0000424	Pran.g_00256	Prbk.g_00782
OG0000425	Pran.g_00255	Prbk.g_00783
OG0000426	Pran.g_00254	Prbk.g_00784
OG0000427	Pran.g_00253	Prbk.g_00785
OG0000428	Pran.g_00251	Prbk.g_02425
OG0000429	Pran.g_00250	Prbk.g_01283
OG0000430	Pran.g_00249	Prbk.g_01281
OG0000431	Pran.g_00247	Prbk.g_01277
OG0000432	Pran.g_00244	Prbk.g_01270
OG0000433	Pran.g_00243	Prbk.g_01267
OG0000434	Pran.g_00242	Prbk.g_01266
OG0000435	Pran.g_00241	Prbk.g_01263
OG0000436	Pran.g_00236	Prbk.g_01257
OG0000437	Pran.g_00235	Prbk.g_01256
OG0000438	Pran.g_00234	Prbk.g_01255
OG0000439	Pran.g_00232	Prbk.g_01253
OG0000440	Pran.g_00231	Prbk.g_01252
OG0000441	Pran.g_00228	Prbk.g_01245
OG0000442	Pran.g_00227	Prbk.g_01244
OG0000443	Pran.g_00226	Prbk.g_00631
OG0000444	Pran.g_00221	Prbk.g_00683
OG0000445	Pran.g_00220	Prbk.g_00682
OG0000446	Pran.g_00219	Prbk.g_00680
OG0000447	Pran.g_00218	Prbk.g_00670
OG0000448	Pran.g_00217	Prbk.g_00669
OG0000449	Pran.g_00216	Prbk.g_00668
OG0000450	Pran.g_00215	Prbk.g_00662
OG0000451	Pran.g_00214	Prbk.g_00661
OG0000452	Pran.g_00211	Prbk.g_00656
OG0000453	Pran.g_00210	Prbk.g_00655
OG0000454	Pran.g_00209	Prbk.g_00654
OG0000455	Pran.g_00208	Prbk.g_00653
OG0000456	Pran.g_00207	Prbk.g_00652
OG0000457	Pran.g_00206	Prbk.g_00650
OG0000458	Pran.g_00205	Prbk.g_00649
OG0000459	Pran.g_00204	Prbk.g_00648
OG0000460	Pran.g_00197	Prbk.g_01369
OG0000461	Pran.g_01950	Prbk.g_01900
OG0000462	Pran.g_01948	Prbk.g_01012
OG0000463	Pran.g_01947	Prbk.g_01011
OG0000464	Pran.g_01946	Prbk.g_01010
OG0000465	Pran.g_01945	Prbk.g_01008
OG0000466	Pran.g_01942	Prbk.g_01003
OG0000467	Pran.g_01941	Prbk.g_01001
OG0000468	Pran.g_01939	Prbk.g_00371
OG0000469	Pran.g_01931	Prbk.g_00384
OG0000470	Pran.g_01929	Prbk.g_00397
OG0000471	Pran.g_01928	Prbk.g_00398
OG0000472	Pran.g_01927	Prbk.g_00400
OG0000473	Pran.g_01925	Prbk.g_00402
OG0000474	Pran.g_01924	Prbk.g_00403
OG0000475	Pran.g_01923	Prbk.g_00404
OG0000476	Pran.g_01922	Prbk.g_00406
OG0000477	Pran.g_01919	Prbk.g_00411
OG0000478	Pran.g_01918	Prbk.g_00412
OG0000479	Pran.g_01917	Prbk.g_00413
OG0000480	Pran.g_01912	Prbk.g_00420
OG0000481	Pran.g_01910	Prbk.g_00422
OG0000482	Pran.g_01909	Prbk.g_00423
OG0000483	Pran.g_01906	Prbk.g_00427
OG0000484	Pran.g_01905	Prbk.g_00428
OG0000485	Pran.g_01904	Prbk.g_00429
OG0000486	Pran.g_01903	Prbk.g_00430
OG0000487	Pran.g_01899	Prbk.g_00435
OG0000488	Pran.g_01896	Prbk.g_00439
OG0000489	Pran.g_01891	Prbk.g_00450
OG0000490	Pran.g_01886	Prbk.g_00456
OG0000491	Pran.g_01885	Prbk.g_00457
OG0000492	Pran.g_01883	Prbk.g_00460
OG0000493	Pran.g_01882	Prbk.g_00461
OG0000494	Pran.g_01881	Prbk.g_00462
OG0000495	Pran.g_01880	Prbk.g_00463
OG0000496	Pran.g_01879	Prbk.g_00464
OG0000497	Pran.g_01878	Prbk.g_00465
OG0000498	Pran.g_01877	Prbk.g_00466
OG0000499	Pran.g_01876	Prbk.g_00467
OG0000500	Pran.g_01875	Prbk.g_00468
OG0000501	Pran.g_01873	Prbk.g_00471
OG0000502	Pran.g_01870	Prbk.g_00483
OG0000503	Pran.g_01860	Prbk.g_00871
OG0000504	Pran.g_01859	Prbk.g_00873
OG0000505	Pran.g_01858	Prbk.g_00874
OG0000506	Pran.g_01857	Prbk.g_00876
OG0000507	Pran.g_01854	Prbk.g_00881
OG0000508	Pran.g_01850	Prbk.g_00888
OG0000509	Pran.g_01848	Prbk.g_00890
OG0000510	Pran.g_01847	Prbk.g_00891
OG0000511	Pran.g_01846	Prbk.g_00892
OG0000512	Pran.g_01844	Prbk.g_00894
OG0000513	Pran.g_01837	Prbk.g_00360
OG0000514	Pran.g_01749	Prbk.g_00352
OG0000515	Pran.g_01748	Prbk.g_00351
OG0000516	Pran.g_01747	Prbk.g_00339
OG0000517	Pran.g_01745	Prbk.g_00329
OG0000518	Pran.g_01734	Prbk.g_00317
OG0000519	Pran.g_01733	Prbk.g_00316
OG0000520	Pran.g_01729	Prbk.g_00315
OG0000521	Pran.g_01724	Prbk.g_00301
OG0000522	Pran.g_01723	Prbk.g_00299
OG0000523	Pran.g_01722	Prbk.g_00298
OG0000524	Pran.g_01717	Prbk.g_02088
OG0000525	Pran.g_01714	Prbk.g_02105
OG0000526	Pran.g_01713	Prbk.g_02107
OG0000527	Pran.g_01705	Prbk.g_02111
OG0000528	Pran.g_01700	Prbk.g_02056
OG0000529	Pran.g_01697	Prbk.g_02062
OG0000530	Pran.g_01694	Prbk.g_02065
OG0000531	Pran.g_01693	Prbk.g_02066
OG0000532	Pran.g_01691	Prbk.g_02069
OG0000533	Pran.g_01690	Prbk.g_02071
OG0000534	Pran.g_01689	Prbk.g_02072
OG0000535	Pran.g_01688	Prbk.g_02073
OG0000536	Pran.g_01687	Prbk.g_02074
OG0000537	Pran.g_01686	Prbk.g_02075
OG0000538	Pran.g_01678	Prbk.g_01865
OG0000539	Pran.g_01677	Prbk.g_01041
OG0000540	Pran.g_01676	Prbk.g_01042
OG0000541	Pran.g_01675	Prbk.g_01043
OG0000542	Pran.g_01673	Prbk.g_01046
OG0000543	Pran.g_01671	Prbk.g_01048
OG0000544	Pran.g_01670	Prbk.g_01049
OG0000545	Pran.g_01668	Prbk.g_01050
OG0000546	Pran.g_01665	Prbk.g_01052
OG0000547	Pran.g_01663	Prbk.g_01054
OG0000548	Pran.g_01662	Prbk.g_01055
OG0000549	Pran.g_01660	Prbk.g_01061
OG0000550	Pran.g_01655	Prbk.g_01066
OG0000551	Pran.g_01651	Prbk.g_01070
OG0000552	Pran.g_01650	Prbk.g_01071
OG0000553	Pran.g_01649	Prbk.g_01076
OG0000554	Pran.g_01644	Prbk.g_01081
OG0000555	Pran.g_01636	Prbk.g_01099
OG0000556	Pran.g_01634	Prbk.g_02686
OG0000557	Pran.g_01633	Prbk.g_01898
OG0000558	Pran.g_01631	Prbk.g_01895
OG0000559	Pran.g_01627	Prbk.g_01891
OG0000560	Pran.g_01624	Prbk.g_01888
OG0000561	Pran.g_01623	Prbk.g_01887
OG0000562	Pran.g_01622	Prbk.g_01886
OG0000563	Pran.g_01621	Prbk.g_01885
OG0000564	Pran.g_01620	Prbk.g_01884
OG0000565	Pran.g_01617	Prbk.g_01881
OG0000566	Pran.g_01614	Prbk.g_01877
OG0000567	Pran.g_01610	Prbk.g_01873
OG0000568	Pran.g_01609	Prbk.g_01871
OG0000569	Pran.g_01608	Prbk.g_01104
