Orthogroup	Prbl	Syao
OG0000079	Prbl.g_01505	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Prbl.g_01783	Syao.g_01035
OG0000084	Prbl.g_00246	Syao.g_01509, Syao.g_02606
OG0000085	Prbl.g_00405	Syao.g_01569
OG0000086	Prbl.g_00583	Syao.g_02653, Syao.g_01240
OG0000087	Prbl.g_00810	Syao.g_02555
OG0000088	Prbl.g_01838	Syao.g_02503
OG0000089	Prbl.g_02674	Syao.g_01716
OG0000090	Prbl.g_00766	Syao.g_01412
OG0000091	Prbl.g_01647	Syao.g_00902
OG0000093	Prbl.g_02359	Syao.g_00739
OG0000094	Prbl.g_02209	Syao.g_00458
OG0000095	Prbl.g_00927	Syao.g_00331
OG0000098	Prbl.g_00722	Syao.g_01374
OG0000099	Prbl.g_00893	Syao.g_02019
OG0000100	Prbl.g_01914, Prbl.g_02305	Syao.g_00787
OG0000101	Prbl.g_01126	Syao.g_01840
OG0000102	Prbl.g_02636	Syao.g_01945
OG0000103	Prbl.g_02139	Syao.g_02340
OG0000104	Prbl.g_02125	Syao.g_02157
OG0000105	Prbl.g_01461	Syao.g_02071, Syao.g_02072
OG0000106	Prbl.g_00411	Syao.g_01385
OG0000107	Prbl.g_02681	Syao.g_01935
OG0000108	Prbl.g_00511	Syao.g_00028
OG0000109	Prbl.g_00527	Syao.g_00110
OG0000110	Prbl.g_01795	Syao.g_01051
OG0000111	Prbl.g_00026	Syao.g_00378
OG0000112	Prbl.g_02470	Syao.g_00683, Syao.g_00303
OG0000113	Prbl.g_02310	Syao.g_00782
OG0000114	Prbl.g_02407	Syao.g_00965
OG0000115	Prbl.g_00687	Syao.g_01464, Syao.g_00065
OG0000116	Prbl.g_02069	Syao.g_00137
OG0000117	Prbl.g_01384	Syao.g_00169
OG0000118	Prbl.g_01736	Syao.g_01475
OG0000120	Prbl.g_00892	Syao.g_02009
OG0000121	Prbl.g_00234, Prbl.g_00240	Syao.g_01489
OG0000122	Prbl.g_01808	Syao.g_01247
OG0000123	Prbl.g_01135	Syao.g_01832
OG0000124	Prbl.g_02054	Syao.g_02179
OG0000125	Prbl.g_02231	Syao.g_02444
OG0000126	Prbl.g_02127	Syao.g_02198
OG0000127	Prbl.g_01022	Syao.g_01312
OG0000128	Prbl.g_02109	Syao.g_02149
OG0000129	Prbl.g_02243	Syao.g_02434
OG0000130	Prbl.g_00608	Syao.g_02617
OG0000131	Prbl.g_00303	Syao.g_02480
OG0000132	Prbl.g_00283	Syao.g_02501
OG0000133	Prbl.g_00897	Syao.g_00678
OG0000134	Prbl.g_02677	Syao.g_01719
OG0000135	Prbl.g_02190	Syao.g_00147
OG0000136	Prbl.g_00647	Syao.g_01614, Syao.g_01613
OG0000137	Prbl.g_01340	Syao.g_02682
OG0000138	Prbl.g_00528	Syao.g_00108
OG0000139	Prbl.g_00760	Syao.g_01418, Syao.g_02005
OG0000140	Prbl.g_00754	Syao.g_01373, Syao.g_01372
OG0000141	Prbl.g_01751	Syao.g_01202
OG0000142	Prbl.g_01639	Syao.g_00894
OG0000143	Prbl.g_01643	Syao.g_00898
OG0000145	Prbl.g_00534	Syao.g_00102
OG0000146	Prbl.g_02469	Syao.g_00684, Syao.g_00304
OG0000147	Prbl.g_02468	Syao.g_00305, Syao.g_00685
OG0000148	Prbl.g_02316	Syao.g_00776
OG0000149	Prbl.g_01552	Syao.g_00534
OG0000150	Prbl.g_01576	Syao.g_01203
OG0000151	Prbl.g_02386	Syao.g_00975
OG0000152	Prbl.g_02478	Syao.g_00674
OG0000153	Prbl.g_02505	Syao.g_00818, Syao.g_01176
OG0000154	Prbl.g_02532	Syao.g_00447
OG0000155	Prbl.g_00185	Syao.g_00178
OG0000156	Prbl.g_00115	Syao.g_00151
OG0000157	Prbl.g_00114	Syao.g_00152
OG0000158	Prbl.g_00843	Syao.g_01141, Syao.g_02267
OG0000160	Prbl.g_00241	Syao.g_01488
OG0000161	Prbl.g_00227	Syao.g_01494
OG0000162	Prbl.g_00221	Syao.g_01515
OG0000163	Prbl.g_00452	Syao.g_01745
OG0000164	Prbl.g_00365	Syao.g_01663
OG0000165	Prbl.g_00356	Syao.g_01655
OG0000166	Prbl.g_00962	Syao.g_01790
OG0000167	Prbl.g_00857	Syao.g_01960
OG0000168	Prbl.g_00842	Syao.g_02128
OG0000169	Prbl.g_01302	Syao.g_02139
OG0000170	Prbl.g_01290	Syao.g_02148
OG0000171	Prbl.g_02055	Syao.g_02181
OG0000172	Prbl.g_02021	Syao.g_02170
OG0000173	Prbl.g_02000	Syao.g_02212
OG0000174	Prbl.g_02188	Syao.g_02364, Syao.g_02355
OG0000175	Prbl.g_02150	Syao.g_02327, Syao.g_00308
OG0000176	Prbl.g_02117	Syao.g_02165
OG0000177	Prbl.g_02116	Syao.g_02156
OG0000178	Prbl.g_02115	Syao.g_02155
OG0000179	Prbl.g_01961	Syao.g_02250
OG0000180	Prbl.g_01962	Syao.g_02249
OG0000181	Prbl.g_01963	Syao.g_02248
OG0000182	Prbl.g_01964	Syao.g_02247
OG0000183	Prbl.g_01968	Syao.g_02243
OG0000184	Prbl.g_02251	Syao.g_02423
OG0000185	Prbl.g_02273	Syao.g_02410
OG0000186	Prbl.g_00614	Syao.g_02613
OG0000187	Prbl.g_00613	Syao.g_02615
OG0000188	Prbl.g_00591	Syao.g_02637
OG0000189	Prbl.g_00565	Syao.g_02672
OG0000190	Prbl.g_00563	Syao.g_01015
OG0000191	Prbl.g_01325	Syao.g_02573
OG0000192	Prbl.g_01316	Syao.g_02579
OG0000193	Prbl.g_00302	Syao.g_02481
OG0000194	Prbl.g_00299	Syao.g_02484
OG0000195	Prbl.g_00297	Syao.g_02486
OG0000196	Prbl.g_00286	Syao.g_02498
OG0000197	Prbl.g_00285	Syao.g_02499
OG0000198	Prbl.g_00284	Syao.g_02500
OG0000199	Prbl.g_00277	Syao.g_02508
OG0000200	Prbl.g_00069	Syao.g_02524
OG0000201	Prbl.g_00088	Syao.g_02540
OG0000202	Prbl.g_00089	Syao.g_02454
OG0000203	Prbl.g_00090	Syao.g_02455
OG0000204	Prbl.g_00091	Syao.g_02456
OG0000205	Prbl.g_00098	Syao.g_02464
OG0000206	Prbl.g_01282	Syao.g_02469
OG0000207	Prbl.g_00130	Syao.g_02471
OG0000208	Prbl.g_00129	Syao.g_02472
OG0000209	Prbl.g_01256	Syao.g_02394
OG0000210	Prbl.g_01257	Syao.g_02395
OG0000211	Prbl.g_01922	Syao.g_01700
OG0000212	Prbl.g_00192	Syao.g_01710
OG0000213	Prbl.g_01496	Syao.g_02098
OG0000214	Prbl.g_01469	Syao.g_02081
OG0000215	Prbl.g_01439	Syao.g_02050
OG0000216	Prbl.g_01436	Syao.g_02045
OG0000217	Prbl.g_01432	Syao.g_02041
OG0000218	Prbl.g_01428	Syao.g_02039
OG0000219	Prbl.g_01427	Syao.g_02038
OG0000220	Prbl.g_01426	Syao.g_02037
OG0000221	Prbl.g_01421	Syao.g_02034
OG0000222	Prbl.g_00911	Syao.g_02023
OG0000223	Prbl.g_00888	Syao.g_00291
OG0000224	Prbl.g_00877	Syao.g_01973
OG0000225	Prbl.g_01218	Syao.g_01751
OG0000226	Prbl.g_01222	Syao.g_01758
OG0000227	Prbl.g_01224	Syao.g_01760
OG0000228	Prbl.g_02673	Syao.g_01715
OG0000229	Prbl.g_00652	Syao.g_01736
OG0000230	Prbl.g_00650	Syao.g_01738
OG0000231	Prbl.g_00635	Syao.g_01513
OG0000232	Prbl.g_00619	Syao.g_00057
OG0000233	Prbl.g_01360	Syao.g_02698
OG0000234	Prbl.g_01339	Syao.g_02680
OG0000235	Prbl.g_00510	Syao.g_00029
OG0000236	Prbl.g_00526	Syao.g_00111
OG0000237	Prbl.g_00800	Syao.g_00166
OG0000238	Prbl.g_00795	Syao.g_00161
OG0000239	Prbl.g_00779	Syao.g_01398
OG0000240	Prbl.g_00778	Syao.g_01399
OG0000241	Prbl.g_01526	Syao.g_00887
OG0000242	Prbl.g_00768	Syao.g_01410
OG0000243	Prbl.g_02647	Syao.g_00873
OG0000244	Prbl.g_01879	Syao.g_00865
OG0000245	Prbl.g_01882	Syao.g_00863
OG0000246	Prbl.g_01886	Syao.g_00859
OG0000247	Prbl.g_01897	Syao.g_00847
OG0000248	Prbl.g_01900	Syao.g_00844
OG0000249	Prbl.g_01902	Syao.g_00842
OG0000250	Prbl.g_01799	Syao.g_00835
OG0000251	Prbl.g_01775	Syao.g_01026
OG0000252	Prbl.g_01772	Syao.g_01020
OG0000253	Prbl.g_01766	Syao.g_01003
OG0000254	Prbl.g_01747	Syao.g_01053
OG0000255	Prbl.g_01612	Syao.g_01009
OG0000256	Prbl.g_01626	Syao.g_01328
OG0000257	Prbl.g_01632	Syao.g_00884
OG0000258	Prbl.g_01655	Syao.g_00907
OG0000259	Prbl.g_01406	Syao.g_00933, Syao.g_00932
OG0000260	Prbl.g_01403	Syao.g_00936
OG0000261	Prbl.g_01400	Syao.g_00941
OG0000262	Prbl.g_01395	Syao.g_00946
OG0000263	Prbl.g_01242	Syao.g_00247
OG0000264	Prbl.g_01859	Syao.g_00699
OG0000265	Prbl.g_02567	Syao.g_00049
OG0000266	Prbl.g_02556	Syao.g_00480
OG0000267	Prbl.g_02431	Syao.g_00589
OG0000268	Prbl.g_02432	Syao.g_00588
OG0000269	Prbl.g_02340	Syao.g_00751
OG0000270	Prbl.g_02337	Syao.g_00754
OG0000271	Prbl.g_02329	Syao.g_00762
OG0000272	Prbl.g_02328	Syao.g_00763
OG0000274	Prbl.g_01535	Syao.g_00792
OG0000275	Prbl.g_01538	Syao.g_00438
OG0000276	Prbl.g_01544	Syao.g_00558
OG0000277	Prbl.g_01545	Syao.g_00557
OG0000278	Prbl.g_01548	Syao.g_00554
OG0000279	Prbl.g_01556	Syao.g_00529
OG0000280	Prbl.g_01562	Syao.g_00608
OG0000281	Prbl.g_01577	Syao.g_01377
OG0000282	Prbl.g_02405	Syao.g_00967
OG0000283	Prbl.g_02443	Syao.g_00640
OG0000284	Prbl.g_02449	Syao.g_00634
OG0000285	Prbl.g_01688	Syao.g_00706
OG0000286	Prbl.g_02477	Syao.g_00675
OG0000287	Prbl.g_02608	Syao.g_00825
OG0000288	Prbl.g_02531	Syao.g_00446
OG0000289	Prbl.g_02544	Syao.g_00461
OG0000290	Prbl.g_00930	Syao.g_00428
OG0000291	Prbl.g_00928	Syao.g_00333
OG0000292	Prbl.g_02128	Syao.g_02196
OG0000293	Prbl.g_02071	Syao.g_00136
OG0000294	Prbl.g_02072	Syao.g_00135
OG0000295	Prbl.g_00178	Syao.g_00186
OG0000296	Prbl.g_00180	Syao.g_00184
OG0000297	Prbl.g_01382	Syao.g_00171
OG0000298	Prbl.g_01383	Syao.g_00170
OG0000299	Prbl.g_01372	Syao.g_00231
OG0000300	Prbl.g_02582	Syao.g_00274
OG0000301	Prbl.g_02583	Syao.g_00272, Syao.g_00273
OG0000302	Prbl.g_02586	Syao.g_00271
OG0000303	Prbl.g_00187	Syao.g_00262
OG0000304	Prbl.g_01102	Syao.g_00256
OG0000305	Prbl.g_00926	Syao.g_00388
OG0000306	Prbl.g_01586	Syao.g_01216
OG0000307	Prbl.g_00494	Syao.g_00045
OG0000308	Prbl.g_00492	Syao.g_00047
OG0000309	Prbl.g_00488	Syao.g_02705
OG0000310	Prbl.g_00160	Syao.g_01530
OG0000311	Prbl.g_00258	Syao.g_01533
OG0000312	Prbl.g_00254	Syao.g_01538
OG0000313	Prbl.g_00230	Syao.g_01491
OG0000314	Prbl.g_00699	Syao.g_00078
OG0000315	Prbl.g_00709	Syao.g_00088
OG0000316	Prbl.g_00441	Syao.g_01602
OG0000317	Prbl.g_00399	Syao.g_01560
OG0000318	Prbl.g_00393	Syao.g_01553
OG0000319	Prbl.g_00376	Syao.g_01678
OG0000320	Prbl.g_00374	Syao.g_01676
OG0000321	Prbl.g_00373	Syao.g_01675
OG0000322	Prbl.g_00372	Syao.g_01674
OG0000323	Prbl.g_00361	Syao.g_01661
OG0000324	Prbl.g_00332	Syao.g_01630
OG0000325	Prbl.g_02683	Syao.g_01936
OG0000326	Prbl.g_01059	Syao.g_01918
OG0000327	Prbl.g_00957	Syao.g_01795
OG0000328	Prbl.g_00958	Syao.g_01794
OG0000329	Prbl.g_00975	Syao.g_01776
OG0000330	Prbl.g_00976	Syao.g_01775
OG0000331	Prbl.g_00977	Syao.g_01774
OG0000332	Prbl.g_00992	Syao.g_01813
OG0000333	Prbl.g_00994	Syao.g_01810
OG0000334	Prbl.g_01131	Syao.g_01836
OG0000335	Prbl.g_01136	Syao.g_01831
OG0000336	Prbl.g_01140	Syao.g_01827
OG0000337	Prbl.g_00863	Syao.g_01968
OG0000338	Prbl.g_00859	Syao.g_01962
OG0000339	Prbl.g_00853	Syao.g_02259
OG0000340	Prbl.g_00841	Syao.g_02129
OG0000341	Prbl.g_00839	Syao.g_02131
OG0000342	Prbl.g_00838	Syao.g_02132
OG0000343	Prbl.g_01307	Syao.g_02133
OG0000344	Prbl.g_01304	Syao.g_02137
OG0000345	Prbl.g_01289	Syao.g_01953
OG0000346	Prbl.g_01284	Syao.g_01948
OG0000347	Prbl.g_02053	Syao.g_02178
OG0000348	Prbl.g_02016	Syao.g_02166
OG0000349	Prbl.g_01992	Syao.g_02219
OG0000350	Prbl.g_02195	Syao.g_01925
OG0000351	Prbl.g_02147	Syao.g_02331
OG0000352	Prbl.g_02146	Syao.g_02332
OG0000353	Prbl.g_02122	Syao.g_02160
OG0000354	Prbl.g_00789	Syao.g_00154, Syao.g_00155
OG0000354	Prbl.g_01959	Syao.g_02252
OG0000355	Prbl.g_02120	Syao.g_02162
OG0000356	Prbl.g_02119	Syao.g_02163
OG0000357	Prbl.g_02118	Syao.g_02164
OG0000358	Prbl.g_02114	Syao.g_02154
OG0000359	Prbl.g_02112	Syao.g_02152
OG0000360	Prbl.g_02111	Syao.g_02151
OG0000361	Prbl.g_02110	Syao.g_02150
OG0000362	Prbl.g_02108	Syao.g_01954
OG0000363	Prbl.g_01955	Syao.g_02255
OG0000364	Prbl.g_01956	Syao.g_01558
OG0000365	Prbl.g_01965	Syao.g_02246
OG0000366	Prbl.g_01966	Syao.g_02245
OG0000367	Prbl.g_01967	Syao.g_02244
OG0000368	Prbl.g_01969	Syao.g_02242
OG0000369	Prbl.g_01970	Syao.g_02241
OG0000370	Prbl.g_01971	Syao.g_02240
OG0000371	Prbl.g_01980	Syao.g_02231
OG0000372	Prbl.g_01985	Syao.g_02226
OG0000373	Prbl.g_01986	Syao.g_02225
OG0000374	Prbl.g_01987	Syao.g_02224
OG0000375	Prbl.g_01988	Syao.g_02223
OG0000376	Prbl.g_01990	Syao.g_02221
OG0000377	Prbl.g_02244	Syao.g_02429
OG0000378	Prbl.g_02258	Syao.g_02414
OG0000379	Prbl.g_02274	Syao.g_02409
OG0000380	Prbl.g_00612	Syao.g_02616
OG0000381	Prbl.g_00607	Syao.g_02618
OG0000382	Prbl.g_00592	Syao.g_02636
OG0000383	Prbl.g_00590	Syao.g_02643
OG0000384	Prbl.g_00589	Syao.g_02644
OG0000385	Prbl.g_00588	Syao.g_02645
OG0000386	Prbl.g_00587	Syao.g_02646
OG0000387	Prbl.g_00561	Syao.g_01019
OG0000388	Prbl.g_00557	Syao.g_02596
OG0000389	Prbl.g_00553	Syao.g_02599
OG0000390	Prbl.g_01331	Syao.g_02567
OG0000391	Prbl.g_01326	Syao.g_02572
OG0000392	Prbl.g_01320	Syao.g_02578
OG0000393	Prbl.g_01315	Syao.g_02581
OG0000394	Prbl.g_01314	Syao.g_02582
OG0000395	Prbl.g_01313	Syao.g_02583
OG0000396	Prbl.g_00827	Syao.g_02586
OG0000397	Prbl.g_00825	Syao.g_02542
OG0000398	Prbl.g_00820	Syao.g_02547
OG0000399	Prbl.g_00819	Syao.g_02548
OG0000400	Prbl.g_00818	Syao.g_02549
OG0000401	Prbl.g_00817	Syao.g_02550
OG0000402	Prbl.g_00815	Syao.g_02552
OG0000403	Prbl.g_00814	Syao.g_02553
OG0000404	Prbl.g_00812	Syao.g_02554
OG0000405	Prbl.g_00305	Syao.g_02478
OG0000406	Prbl.g_00301	Syao.g_02482
OG0000407	Prbl.g_00300	Syao.g_02483
OG0000408	Prbl.g_00298	Syao.g_02485
OG0000409	Prbl.g_00296	Syao.g_02487
OG0000410	Prbl.g_00295	Syao.g_02488
OG0000411	Prbl.g_00294	Syao.g_02489
OG0000412	Prbl.g_00293	Syao.g_02490
OG0000413	Prbl.g_00291	Syao.g_02492
OG0000414	Prbl.g_00290	Syao.g_02493
OG0000415	Prbl.g_00289	Syao.g_02494
OG0000416	Prbl.g_00288	Syao.g_02495
OG0000417	Prbl.g_00287	Syao.g_02497
OG0000418	Prbl.g_00282	Syao.g_02502
OG0000419	Prbl.g_00280	Syao.g_02504
OG0000420	Prbl.g_00279	Syao.g_02506
OG0000421	Prbl.g_00275	Syao.g_02510
OG0000422	Prbl.g_00274	Syao.g_02511
OG0000423	Prbl.g_00273	Syao.g_02512
OG0000424	Prbl.g_00272	Syao.g_02513
OG0000425	Prbl.g_00271	Syao.g_02514
OG0000426	Prbl.g_00270	Syao.g_02515
OG0000427	Prbl.g_00269	Syao.g_02516
OG0000428	Prbl.g_02377	Syao.g_02519
OG0000429	Prbl.g_00066	Syao.g_02522
OG0000430	Prbl.g_00068	Syao.g_02523
OG0000431	Prbl.g_00072	Syao.g_02526
OG0000432	Prbl.g_00079	Syao.g_02532
OG0000433	Prbl.g_00082	Syao.g_02534
OG0000434	Prbl.g_00083	Syao.g_02535
OG0000435	Prbl.g_00086	Syao.g_02538
OG0000436	Prbl.g_00092	Syao.g_02458
OG0000437	Prbl.g_00093	Syao.g_02459
OG0000438	Prbl.g_00094	Syao.g_02460
OG0000439	Prbl.g_00096	Syao.g_02462
OG0000440	Prbl.g_00097	Syao.g_02463
OG0000441	Prbl.g_00104	Syao.g_02466
OG0000442	Prbl.g_00105	Syao.g_02467
OG0000443	Prbl.g_01283	Syao.g_02468
OG0000444	Prbl.g_00127	Syao.g_02473
OG0000445	Prbl.g_00126	Syao.g_02474
OG0000446	Prbl.g_00124	Syao.g_02476
OG0000447	Prbl.g_01244	Syao.g_02383
OG0000448	Prbl.g_01245	Syao.g_02384
OG0000449	Prbl.g_01246	Syao.g_02385
OG0000450	Prbl.g_01252	Syao.g_02391
OG0000451	Prbl.g_01253	Syao.g_02392
OG0000452	Prbl.g_01258	Syao.g_02396
OG0000453	Prbl.g_01259	Syao.g_02397
OG0000454	Prbl.g_01260	Syao.g_02398
OG0000455	Prbl.g_01261	Syao.g_02399
OG0000456	Prbl.g_01262	Syao.g_02400
OG0000457	Prbl.g_01264	Syao.g_02402
OG0000458	Prbl.g_01265	Syao.g_02403
OG0000459	Prbl.g_01266	Syao.g_02404
OG0000460	Prbl.g_01923	Syao.g_01702
OG0000461	Prbl.g_02679	Syao.g_02119
OG0000462	Prbl.g_02666	Syao.g_02116
OG0000463	Prbl.g_01516	Syao.g_02115
OG0000464	Prbl.g_01515	Syao.g_02114
OG0000465	Prbl.g_01513	Syao.g_02112
OG0000466	Prbl.g_01508	Syao.g_02107
OG0000467	Prbl.g_01506	Syao.g_02106
OG0000468	Prbl.g_01499	Syao.g_02102
OG0000469	Prbl.g_01486	Syao.g_02087
OG0000470	Prbl.g_01473	Syao.g_02085
OG0000471	Prbl.g_01472	Syao.g_02084
OG0000472	Prbl.g_01470	Syao.g_02082
OG0000473	Prbl.g_01468	Syao.g_02080
OG0000474	Prbl.g_01467	Syao.g_02079
OG0000475	Prbl.g_01466	Syao.g_02078
OG0000476	Prbl.g_01464	Syao.g_02076
OG0000477	Prbl.g_01459	Syao.g_02069
OG0000478	Prbl.g_01458	Syao.g_02068
OG0000479	Prbl.g_01457	Syao.g_02067
OG0000480	Prbl.g_01450	Syao.g_02060
OG0000481	Prbl.g_01448	Syao.g_01012
OG0000482	Prbl.g_01447	Syao.g_02058
OG0000483	Prbl.g_01443	Syao.g_02054
OG0000484	Prbl.g_01442	Syao.g_02053
OG0000485	Prbl.g_01441	Syao.g_02052
OG0000486	Prbl.g_01440	Syao.g_02051
OG0000487	Prbl.g_01435	Syao.g_02044
OG0000488	Prbl.g_01431	Syao.g_02040
OG0000489	Prbl.g_01420	Syao.g_02033
OG0000490	Prbl.g_01414	Syao.g_02025
OG0000491	Prbl.g_01413	Syao.g_02024
OG0000492	Prbl.g_00909	Syao.g_02022
OG0000493	Prbl.g_00908	Syao.g_02021
OG0000494	Prbl.g_00907	Syao.g_02020
OG0000495	Prbl.g_00906	Syao.g_02018
OG0000496	Prbl.g_00905	Syao.g_02017
OG0000497	Prbl.g_00904	Syao.g_02016
OG0000498	Prbl.g_00903	Syao.g_02015
OG0000499	Prbl.g_00902	Syao.g_02014
OG0000500	Prbl.g_00901	Syao.g_02013
OG0000501	Prbl.g_00898	Syao.g_02010
OG0000502	Prbl.g_00886	Syao.g_01974
OG0000503	Prbl.g_01201	Syao.g_01877
OG0000504	Prbl.g_01203	Syao.g_01875
OG0000505	Prbl.g_01204	Syao.g_01874
OG0000506	Prbl.g_01206	Syao.g_01872
OG0000507	Prbl.g_01210	Syao.g_01866
OG0000508	Prbl.g_01217	Syao.g_01750
OG0000509	Prbl.g_01219	Syao.g_01755
OG0000510	Prbl.g_01220	Syao.g_01756
OG0000511	Prbl.g_01221	Syao.g_01757
OG0000512	Prbl.g_01223	Syao.g_01759
OG0000513	Prbl.g_02678	Syao.g_01720
OG0000514	Prbl.g_00676	Syao.g_01727
OG0000515	Prbl.g_00675	Syao.g_01728
OG0000516	Prbl.g_00663	Syao.g_01730
OG0000517	Prbl.g_00653	Syao.g_01735
OG0000518	Prbl.g_00641	Syao.g_01621
OG0000519	Prbl.g_00640	Syao.g_01622
OG0000520	Prbl.g_00639	Syao.g_01512
OG0000521	Prbl.g_00625	Syao.g_00061
OG0000522	Prbl.g_00623	Syao.g_00059
OG0000523	Prbl.g_00622	Syao.g_00058
OG0000524	Prbl.g_01364	Syao.g_02699
OG0000525	Prbl.g_01348	Syao.g_02691
OG0000526	Prbl.g_01346	Syao.g_02688
OG0000527	Prbl.g_01342	Syao.g_02684
OG0000528	Prbl.g_00506	Syao.g_00031
OG0000529	Prbl.g_00512	Syao.g_00027
OG0000530	Prbl.g_00515	Syao.g_00122
OG0000531	Prbl.g_00516	Syao.g_00121
OG0000532	Prbl.g_00519	Syao.g_00118
OG0000533	Prbl.g_00521	Syao.g_00116
OG0000534	Prbl.g_00522	Syao.g_00115
OG0000535	Prbl.g_00523	Syao.g_00114
OG0000536	Prbl.g_00524	Syao.g_00113
OG0000537	Prbl.g_00525	Syao.g_00112
OG0000538	Prbl.g_00536	Syao.g_00100
OG0000539	Prbl.g_00806	Syao.g_00099
OG0000540	Prbl.g_00805	Syao.g_00098
OG0000541	Prbl.g_00804	Syao.g_00097
OG0000542	Prbl.g_00801	Syao.g_00167
OG0000543	Prbl.g_00799	Syao.g_00165
OG0000544	Prbl.g_00798	Syao.g_00164
OG0000545	Prbl.g_00797	Syao.g_00162
OG0000546	Prbl.g_00794	Syao.g_00160
OG0000547	Prbl.g_00792	Syao.g_00158
OG0000548	Prbl.g_00791	Syao.g_00157
OG0000549	Prbl.g_00785	Syao.g_01391
OG0000550	Prbl.g_00780	Syao.g_01396
OG0000551	Prbl.g_00776	Syao.g_01401
OG0000552	Prbl.g_00775	Syao.g_01402
OG0000553	Prbl.g_00770	Syao.g_01404
OG0000554	Prbl.g_00765	Syao.g_01413
OG0000555	Prbl.g_00747	Syao.g_00875
OG0000556	Prbl.g_02645	Syao.g_00871
OG0000557	Prbl.g_01878	Syao.g_00866
OG0000558	Prbl.g_01881	Syao.g_00864
OG0000559	Prbl.g_01885	Syao.g_00860
OG0000560	Prbl.g_01888	Syao.g_00857
OG0000561	Prbl.g_01889	Syao.g_00856
OG0000562	Prbl.g_01890	Syao.g_00855
OG0000563	Prbl.g_01891	Syao.g_00854
OG0000564	Prbl.g_01892	Syao.g_00853
