Orthogroup	Prbl	Prbm
OG0000101	Prbl.g_01126, Prbl.g_01000	Prbm.g_02033
OG0000102	Prbl.g_02636	Prbm.g_02099
OG0000103	Prbl.g_02139	Prbm.g_02218
OG0000104	Prbl.g_02125	Prbm.g_02229
OG0000105	Prbl.g_01461	Prbm.g_00331
OG0000106	Prbl.g_00411	Prbm.g_01172, Prbm.g_01237
OG0000107	Prbl.g_02681	Prbm.g_01949
OG0000108	Prbl.g_00511	Prbm.g_00506
OG0000109	Prbl.g_00527	Prbm.g_00519
OG0000110	Prbl.g_01795	Prbm.g_00607
OG0000111	Prbl.g_00026	Prbm.g_00736
OG0000112	Prbl.g_02470	Prbm.g_00980
OG0000113	Prbl.g_02310	Prbm.g_00838, Prbm.g_01191
OG0000114	Prbl.g_02407	Prbm.g_00929
OG0000115	Prbl.g_00687	Prbm.g_01803
OG0000116	Prbl.g_02069	Prbm.g_01560
OG0000117	Prbl.g_01384	Prbm.g_01522
OG0000118	Prbl.g_01736	Prbm.g_01622
OG0000119	Prbl.g_00007, Prbl.g_00046	Prbm.g_01653
OG0000120	Prbl.g_00892	Prbm.g_00707
OG0000121	Prbl.g_00234, Prbl.g_00240	Prbm.g_01712
OG0000122	Prbl.g_01808	Prbm.g_01751
OG0000123	Prbl.g_01135	Prbm.g_02040
OG0000124	Prbl.g_02054	Prbm.g_02111
OG0000125	Prbl.g_02231	Prbm.g_02176
OG0000126	Prbl.g_02127	Prbm.g_02228
OG0000127	Prbl.g_00745, Prbl.g_01821	Prbm.g_01460
OG0000127	Prbl.g_01022	Prbm.g_01293, Prbm.g_01292
OG0000128	Prbl.g_02109	Prbm.g_00011
OG0000129	Prbl.g_02243	Prbm.g_00053
OG0000130	Prbl.g_00608	Prbm.g_00126
OG0000131	Prbl.g_00303	Prbm.g_00204
OG0000132	Prbl.g_00283	Prbm.g_00223
OG0000133	Prbl.g_00897	Prbm.g_00377
OG0000134	Prbl.g_02677	Prbm.g_00425
OG0000135	Prbl.g_02190	Prbm.g_01389
OG0000136	Prbl.g_00647	Prbm.g_00451
OG0000137	Prbl.g_01340	Prbm.g_00500
OG0000138	Prbl.g_00528	Prbm.g_00520
OG0000139	Prbl.g_00760	Prbm.g_00570
OG0000140	Prbl.g_00754	Prbm.g_00571
OG0000141	Prbl.g_01751	Prbm.g_00638
OG0000142	Prbl.g_01639	Prbm.g_00666
OG0000143	Prbl.g_01643	Prbm.g_00670
OG0000144	Prbl.g_01042	Prbm.g_00683
OG0000145	Prbl.g_00534	Prbm.g_01094
OG0000146	Prbl.g_02469	Prbm.g_00979
OG0000147	Prbl.g_02468	Prbm.g_00978
OG0000148	Prbl.g_02316	Prbm.g_00832
OG0000149	Prbl.g_01552	Prbm.g_00862
OG0000150	Prbl.g_01576	Prbm.g_00870
OG0000151	Prbl.g_02386	Prbm.g_00940
OG0000152	Prbl.g_02478	Prbm.g_00988
OG0000153	Prbl.g_02505	Prbm.g_01006
OG0000154	Prbl.g_02532	Prbm.g_01035
OG0000155	Prbl.g_00185	Prbm.g_01527
OG0000156	Prbl.g_00115	Prbm.g_01600
OG0000157	Prbl.g_00114	Prbm.g_01601
OG0000158	Prbl.g_00843	Prbm.g_02077
OG0000160	Prbl.g_00241	Prbm.g_01711
OG0000161	Prbl.g_00227	Prbm.g_01717
OG0000162	Prbl.g_00221	Prbm.g_01723
OG0000163	Prbl.g_00452	Prbm.g_01759
OG0000164	Prbl.g_00365	Prbm.g_01863
OG0000165	Prbl.g_00356	Prbm.g_01871
OG0000166	Prbl.g_00962	Prbm.g_01996
OG0000167	Prbl.g_00857	Prbm.g_02067
OG0000168	Prbl.g_00842	Prbm.g_02078
OG0000169	Prbl.g_01302	Prbm.g_02088
OG0000170	Prbl.g_01290	Prbm.g_02090
OG0000171	Prbl.g_02055	Prbm.g_02110
OG0000172	Prbl.g_02021	Prbm.g_02146
OG0000173	Prbl.g_02000	Prbm.g_02161
OG0000174	Prbl.g_02188	Prbm.g_02192
OG0000175	Prbl.g_02150	Prbm.g_02209
OG0000176	Prbl.g_02117	Prbm.g_00004
OG0000177	Prbl.g_02116	Prbm.g_00005
OG0000178	Prbl.g_02115	Prbm.g_00006
OG0000179	Prbl.g_01961	Prbm.g_00016
OG0000180	Prbl.g_01962	Prbm.g_00017
OG0000181	Prbl.g_01963	Prbm.g_00018
OG0000182	Prbl.g_01964	Prbm.g_00019
OG0000183	Prbl.g_01968	Prbm.g_00023
OG0000184	Prbl.g_02251	Prbm.g_00055
OG0000185	Prbl.g_02273	Prbm.g_00058
OG0000186	Prbl.g_00614	Prbm.g_00121
OG0000187	Prbl.g_00613	Prbm.g_00122
OG0000188	Prbl.g_00591	Prbm.g_00139
OG0000189	Prbl.g_00565	Prbm.g_00153
OG0000190	Prbl.g_00563	Prbm.g_00154
OG0000191	Prbl.g_01325	Prbm.g_00177
OG0000192	Prbl.g_01316	Prbm.g_00181
OG0000193	Prbl.g_00302	Prbm.g_00205
OG0000194	Prbl.g_00299	Prbm.g_00208
OG0000195	Prbl.g_00297	Prbm.g_00210
OG0000196	Prbl.g_00286	Prbm.g_00220
OG0000197	Prbl.g_00285	Prbm.g_00221
OG0000198	Prbl.g_00284	Prbm.g_00222
OG0000199	Prbl.g_00277	Prbm.g_00229
OG0000200	Prbl.g_00069	Prbm.g_00243
OG0000201	Prbl.g_00088	Prbm.g_00252
OG0000202	Prbl.g_00089	Prbm.g_00253
OG0000203	Prbl.g_00090	Prbm.g_00254
OG0000204	Prbl.g_00091	Prbm.g_00255
OG0000205	Prbl.g_00098	Prbm.g_00262
OG0000206	Prbl.g_01282	Prbm.g_00266
OG0000207	Prbl.g_00130	Prbm.g_00268
OG0000208	Prbl.g_00129	Prbm.g_00269
OG0000209	Prbl.g_01256	Prbm.g_00278
OG0000210	Prbl.g_01257	Prbm.g_00279
OG0000211	Prbl.g_01922	Prbm.g_00293
OG0000212	Prbl.g_00192	Prbm.g_00301
OG0000213	Prbl.g_01496	Prbm.g_00317
OG0000214	Prbl.g_01469	Prbm.g_00325
OG0000215	Prbl.g_01439	Prbm.g_00349
OG0000216	Prbl.g_01436	Prbm.g_00350
OG0000217	Prbl.g_01432	Prbm.g_00353
OG0000218	Prbl.g_01428	Prbm.g_00355
OG0000219	Prbl.g_01427	Prbm.g_00356
OG0000220	Prbl.g_01426	Prbm.g_00357
OG0000221	Prbl.g_01421	Prbm.g_00358
OG0000222	Prbl.g_00911	Prbm.g_00366
OG0000223	Prbl.g_00888	Prbm.g_00378
OG0000224	Prbl.g_00877	Prbm.g_00380
OG0000225	Prbl.g_01218	Prbm.g_00411
OG0000226	Prbl.g_01222	Prbm.g_00415
OG0000227	Prbl.g_01224	Prbm.g_00417
OG0000228	Prbl.g_02673	Prbm.g_00422
OG0000229	Prbl.g_00652	Prbm.g_00446
OG0000230	Prbl.g_00650	Prbm.g_00448
OG0000231	Prbl.g_00635	Prbm.g_00459
OG0000232	Prbl.g_00619	Prbm.g_00484
OG0000233	Prbl.g_01360	Prbm.g_00492
OG0000234	Prbl.g_01339	Prbm.g_00501
OG0000235	Prbl.g_00510	Prbm.g_00505
OG0000236	Prbl.g_00526	Prbm.g_00518
OG0000237	Prbl.g_00800	Prbm.g_00540
OG0000238	Prbl.g_00795	Prbm.g_00546
OG0000239	Prbl.g_00779	Prbm.g_00558
OG0000240	Prbl.g_00778	Prbm.g_00559
OG0000241	Prbl.g_01526	Prbm.g_00563
OG0000242	Prbl.g_00768	Prbm.g_00565
OG0000243	Prbl.g_02647	Prbm.g_00576
OG0000244	Prbl.g_01879	Prbm.g_00579
OG0000245	Prbl.g_01882	Prbm.g_00581
OG0000246	Prbl.g_01886	Prbm.g_00585
OG0000247	Prbl.g_01897	Prbm.g_00595
OG0000248	Prbl.g_01900	Prbm.g_00597
OG0000249	Prbl.g_01902	Prbm.g_00599
OG0000250	Prbl.g_01799	Prbm.g_00604
OG0000251	Prbl.g_01775	Prbm.g_00620
OG0000252	Prbl.g_01772	Prbm.g_00623
OG0000253	Prbl.g_01766	Prbm.g_00625
OG0000254	Prbl.g_01747	Prbm.g_00642
OG0000255	Prbl.g_01612	Prbm.g_00648
OG0000256	Prbl.g_01626	Prbm.g_00658
OG0000257	Prbl.g_01632	Prbm.g_00661
OG0000258	Prbl.g_01655	Prbm.g_00674
OG0000259	Prbl.g_01406	Prbm.g_00691
OG0000260	Prbl.g_01403	Prbm.g_00694
OG0000261	Prbl.g_01400	Prbm.g_00697
OG0000262	Prbl.g_01395	Prbm.g_00702
OG0000263	Prbl.g_01242	Prbm.g_00716
OG0000264	Prbl.g_01859	Prbm.g_00728
OG0000265	Prbl.g_01839, Prbl.g_02567	Prbm.g_00742
OG0000266	Prbl.g_02556	Prbm.g_00752
OG0000267	Prbl.g_02431	Prbm.g_00765
OG0000268	Prbl.g_02432	Prbm.g_00766
OG0000269	Prbl.g_02340	Prbm.g_00809
OG0000270	Prbl.g_02337	Prbm.g_00812
OG0000271	Prbl.g_02329	Prbm.g_00820
OG0000272	Prbl.g_02328	Prbm.g_00821
OG0000273	Prbl.g_01534	Prbm.g_00845
OG0000274	Prbl.g_01535	Prbm.g_00846
OG0000275	Prbl.g_01538	Prbm.g_00848
OG0000276	Prbl.g_01544	Prbm.g_00854
OG0000277	Prbl.g_01545	Prbm.g_00855
OG0000278	Prbl.g_01548	Prbm.g_00858
OG0000279	Prbl.g_01556	Prbm.g_00865
OG0000281	Prbl.g_01577	Prbm.g_00871
OG0000282	Prbl.g_02405	Prbm.g_00931
OG0000283	Prbl.g_02443	Prbm.g_00962
OG0000284	Prbl.g_02449	Prbm.g_00967
OG0000285	Prbl.g_01688	Prbm.g_00972
OG0000286	Prbl.g_02477	Prbm.g_00987
OG0000287	Prbl.g_02608	Prbm.g_00102
OG0000288	Prbl.g_02531	Prbm.g_01034
OG0000289	Prbl.g_02544	Prbm.g_01045
OG0000290	Prbl.g_00930	Prbm.g_01061
OG0000291	Prbl.g_00928	Prbm.g_01063
OG0000292	Prbl.g_02128	Prbm.g_01210
OG0000293	Prbl.g_02071	Prbm.g_01559
OG0000294	Prbl.g_02072	Prbm.g_01558
OG0000295	Prbl.g_00178	Prbm.g_01534
OG0000296	Prbl.g_00180	Prbm.g_01532
OG0000297	Prbl.g_01382	Prbm.g_01524
OG0000298	Prbl.g_01383	Prbm.g_01523
OG0000299	Prbl.g_01372	Prbm.g_01503
OG0000300	Prbl.g_02582	Prbm.g_01500
OG0000301	Prbl.g_02583	Prbm.g_01499
OG0000302	Prbl.g_02586	Prbm.g_01497
OG0000303	Prbl.g_00187	Prbm.g_01492
OG0000304	Prbl.g_01102	Prbm.g_01489
OG0000305	Prbl.g_00926	Prbm.g_01812
OG0000306	Prbl.g_01586	Prbm.g_00875
OG0000307	Prbl.g_00494	Prbm.g_01669
OG0000308	Prbl.g_00492	Prbm.g_01670
OG0000309	Prbl.g_00488	Prbm.g_01674
OG0000310	Prbl.g_00160	Prbm.g_01694
OG0000311	Prbl.g_00258	Prbm.g_01696
OG0000312	Prbl.g_00254	Prbm.g_01699
OG0000313	Prbl.g_00230	Prbm.g_01714
OG0000314	Prbl.g_00699	Prbm.g_01735
OG0000315	Prbl.g_00709	Prbm.g_01745
OG0000316	Prbl.g_00441	Prbm.g_01770
OG0000317	Prbl.g_00399	Prbm.g_01839
OG0000318	Prbl.g_00393	Prbm.g_01842
OG0000319	Prbl.g_00376	Prbm.g_01853
OG0000320	Prbl.g_00374	Prbm.g_01855
OG0000321	Prbl.g_00373	Prbm.g_01856
OG0000322	Prbl.g_00372	Prbm.g_01857
OG0000323	Prbl.g_00361	Prbm.g_01866
OG0000324	Prbl.g_00332	Prbm.g_01893
OG0000325	Prbl.g_02683	Prbm.g_01950
OG0000326	Prbl.g_01059	Prbm.g_01956
OG0000327	Prbl.g_00957	Prbm.g_01991
OG0000328	Prbl.g_00958	Prbm.g_01992
OG0000329	Prbl.g_00975	Prbm.g_02009
OG0000330	Prbl.g_00976	Prbm.g_02010
OG0000331	Prbl.g_00977	Prbm.g_02011
OG0000332	Prbl.g_00992	Prbm.g_02025
OG0000333	Prbl.g_00994	Prbm.g_02027
OG0000334	Prbl.g_01131	Prbm.g_02036
OG0000335	Prbl.g_01136	Prbm.g_02041
OG0000336	Prbl.g_01140	Prbm.g_02045
OG0000337	Prbl.g_00863	Prbm.g_02064
OG0000338	Prbl.g_00859	Prbm.g_02065
OG0000339	Prbl.g_00853	Prbm.g_02070
OG0000340	Prbl.g_00841	Prbm.g_02079
OG0000341	Prbl.g_00839	Prbm.g_02081
OG0000342	Prbl.g_00838	Prbm.g_02082
OG0000343	Prbl.g_01307	Prbm.g_02083
OG0000344	Prbl.g_01304	Prbm.g_02086
OG0000345	Prbl.g_01289	Prbm.g_02091
OG0000346	Prbl.g_01284	Prbm.g_02095
OG0000347	Prbl.g_02053	Prbm.g_02114
OG0000348	Prbl.g_02016	Prbm.g_02149
OG0000349	Prbl.g_01992	Prbm.g_02167
OG0000350	Prbl.g_02195	Prbm.g_02188
OG0000351	Prbl.g_02147	Prbm.g_02212
OG0000352	Prbl.g_02146	Prbm.g_02213
OG0000353	Prbl.g_02122	Prbm.g_02232
OG0000354	Prbl.g_01959	Prbm.g_01220
OG0000355	Prbl.g_02120	Prbm.g_00001
OG0000356	Prbl.g_02119	Prbm.g_00002
OG0000357	Prbl.g_02118	Prbm.g_00003
OG0000358	Prbl.g_02114	Prbm.g_00007
OG0000359	Prbl.g_02112	Prbm.g_00008
OG0000360	Prbl.g_02111	Prbm.g_00009
OG0000361	Prbl.g_02110	Prbm.g_00010
OG0000362	Prbl.g_02108	Prbm.g_00012
OG0000363	Prbl.g_01955	Prbm.g_00014
OG0000364	Prbl.g_01956	Prbm.g_00015
OG0000365	Prbl.g_01965	Prbm.g_00020
OG0000366	Prbl.g_01966	Prbm.g_00021
OG0000367	Prbl.g_01967	Prbm.g_00022
OG0000368	Prbl.g_01969	Prbm.g_00024
OG0000369	Prbl.g_01970	Prbm.g_00025
OG0000370	Prbl.g_01971	Prbm.g_00026
OG0000371	Prbl.g_01980	Prbm.g_00032
OG0000372	Prbl.g_01985	Prbm.g_00033
OG0000373	Prbl.g_01986	Prbm.g_00034
OG0000374	Prbl.g_01987	Prbm.g_00035
OG0000375	Prbl.g_01988	Prbm.g_00049
OG0000376	Prbl.g_01990	Prbm.g_00051
OG0000377	Prbl.g_02244	Prbm.g_00054
OG0000378	Prbl.g_02258	Prbm.g_00056
OG0000379	Prbl.g_02274	Prbm.g_00059
OG0000380	Prbl.g_00612	Prbm.g_00123
OG0000381	Prbl.g_00607	Prbm.g_00127
OG0000382	Prbl.g_00592	Prbm.g_00138
OG0000383	Prbl.g_00590	Prbm.g_00140
OG0000384	Prbl.g_00589	Prbm.g_00141
OG0000385	Prbl.g_00588	Prbm.g_00142
OG0000386	Prbl.g_00587	Prbm.g_00143
OG0000387	Prbl.g_00561	Prbm.g_00156
OG0000388	Prbl.g_00557	Prbm.g_00160
OG0000389	Prbl.g_00553	Prbm.g_00163
OG0000390	Prbl.g_01331	Prbm.g_00172
OG0000391	Prbl.g_01326	Prbm.g_00176
OG0000392	Prbl.g_01320	Prbm.g_00179
OG0000393	Prbl.g_01315	Prbm.g_00182
OG0000394	Prbl.g_01314	Prbm.g_00183
OG0000395	Prbl.g_01313	Prbm.g_00184
OG0000396	Prbl.g_00827	Prbm.g_00187
OG0000397	Prbl.g_00825	Prbm.g_00189
OG0000398	Prbl.g_00820	Prbm.g_00192
OG0000399	Prbl.g_00819	Prbm.g_00193
OG0000400	Prbl.g_00818	Prbm.g_00194
OG0000401	Prbl.g_00817	Prbm.g_00195
OG0000402	Prbl.g_00815	Prbm.g_01096
OG0000403	Prbl.g_00814	Prbm.g_00196
OG0000404	Prbl.g_00812	Prbm.g_00197
OG0000405	Prbl.g_00305	Prbm.g_00202
OG0000406	Prbl.g_00301	Prbm.g_00206
OG0000407	Prbl.g_00300	Prbm.g_00207
OG0000408	Prbl.g_00298	Prbm.g_00209
OG0000409	Prbl.g_00296	Prbm.g_00211
OG0000410	Prbl.g_00295	Prbm.g_00212
OG0000411	Prbl.g_00294	Prbm.g_00213
OG0000412	Prbl.g_00293	Prbm.g_00214
OG0000413	Prbl.g_00291	Prbm.g_00215
OG0000414	Prbl.g_00290	Prbm.g_00216
OG0000415	Prbl.g_00289	Prbm.g_00217
OG0000416	Prbl.g_00288	Prbm.g_00218
OG0000417	Prbl.g_00287	Prbm.g_00219
OG0000418	Prbl.g_00282	Prbm.g_00224
OG0000419	Prbl.g_00280	Prbm.g_00226
OG0000420	Prbl.g_00279	Prbm.g_00227
OG0000421	Prbl.g_00275	Prbm.g_00232
OG0000422	Prbl.g_00274	Prbm.g_00233
OG0000423	Prbl.g_00273	Prbm.g_00234
OG0000424	Prbl.g_00272	Prbm.g_00235
OG0000425	Prbl.g_00271	Prbm.g_00236
OG0000426	Prbl.g_00270	Prbm.g_00237
OG0000427	Prbl.g_00269	Prbm.g_00238
OG0000428	Prbl.g_02377	Prbm.g_00240
OG0000429	Prbl.g_00066	Prbm.g_00241
OG0000430	Prbl.g_00068	Prbm.g_00242
OG0000431	Prbl.g_00072	Prbm.g_00244
OG0000432	Prbl.g_00079	Prbm.g_00248
OG0000433	Prbl.g_00082	Prbm.g_00249
OG0000434	Prbl.g_00083	Prbm.g_00250
OG0000435	Prbl.g_00086	Prbm.g_00251
OG0000436	Prbl.g_00092	Prbm.g_00256
OG0000437	Prbl.g_00093	Prbm.g_00257
OG0000438	Prbl.g_00094	Prbm.g_00258
OG0000439	Prbl.g_00096	Prbm.g_00260
OG0000440	Prbl.g_00097	Prbm.g_00261
OG0000441	Prbl.g_00104	Prbm.g_00263
OG0000442	Prbl.g_00105	Prbm.g_00264
OG0000443	Prbl.g_01283	Prbm.g_00265
OG0000444	Prbl.g_00127	Prbm.g_00270
OG0000445	Prbl.g_00126	Prbm.g_00271
OG0000446	Prbl.g_00124	Prbm.g_00272
OG0000447	Prbl.g_01244	Prbm.g_00273
OG0000448	Prbl.g_01245	Prbm.g_00274
OG0000449	Prbl.g_01246	Prbm.g_00275
OG0000450	Prbl.g_01252	Prbm.g_00276
OG0000451	Prbl.g_01253	Prbm.g_00277
OG0000452	Prbl.g_01258	Prbm.g_00280
OG0000453	Prbl.g_01259	Prbm.g_00281
OG0000454	Prbl.g_01260	Prbm.g_00282
OG0000455	Prbl.g_01261	Prbm.g_00283
OG0000456	Prbl.g_01262	Prbm.g_00284
OG0000457	Prbl.g_01264	Prbm.g_00285
OG0000458	Prbl.g_01265	Prbm.g_00286
OG0000459	Prbl.g_01266	Prbm.g_00287
OG0000460	Prbl.g_01923	Prbm.g_00295
OG0000461	Prbl.g_02679	Prbm.g_00303
OG0000462	Prbl.g_02666	Prbm.g_00305
OG0000463	Prbl.g_01516	Prbm.g_00306
OG0000464	Prbl.g_01515	Prbm.g_00307
OG0000465	Prbl.g_01513	Prbm.g_00308
OG0000466	Prbl.g_01508	Prbm.g_00309
OG0000467	Prbl.g_01506	Prbm.g_00310
OG0000468	Prbl.g_01499	Prbm.g_00312
OG0000469	Prbl.g_01486	Prbm.g_00320
OG0000470	Prbl.g_01473	Prbm.g_00322
OG0000471	Prbl.g_01472	Prbm.g_00323
OG0000472	Prbl.g_01470	Prbm.g_00324
OG0000473	Prbl.g_01468	Prbm.g_00326
OG0000474	Prbl.g_01467	Prbm.g_00327
OG0000475	Prbl.g_01466	Prbm.g_00328
OG0000476	Prbl.g_01464	Prbm.g_00330
OG0000477	Prbl.g_01459	Prbm.g_00332
OG0000478	Prbl.g_01458	Prbm.g_00333
OG0000479	Prbl.g_01457	Prbm.g_00334
OG0000480	Prbl.g_01450	Prbm.g_00339
OG0000481	Prbl.g_01448	Prbm.g_00341
OG0000482	Prbl.g_01447	Prbm.g_00342
OG0000483	Prbl.g_01443	Prbm.g_00345
OG0000484	Prbl.g_01442	Prbm.g_00346
OG0000485	Prbl.g_01441	Prbm.g_00347
OG0000486	Prbl.g_01440	Prbm.g_00348
OG0000487	Prbl.g_01435	Prbm.g_00351
OG0000488	Prbl.g_01431	Prbm.g_00354
OG0000489	Prbl.g_01420	Prbm.g_00359
OG0000490	Prbl.g_01414	Prbm.g_00364
OG0000491	Prbl.g_01413	Prbm.g_00365
OG0000492	Prbl.g_00909	Prbm.g_00367
OG0000493	Prbl.g_00908	Prbm.g_00368
OG0000494	Prbl.g_00907	Prbm.g_00369
OG0000495	Prbl.g_00906	Prbm.g_00370
OG0000496	Prbl.g_00905	Prbm.g_00371
OG0000497	Prbl.g_00904	Prbm.g_00372
OG0000498	Prbl.g_00903	Prbm.g_00373
OG0000499	Prbl.g_00902	Prbm.g_00374
OG0000500	Prbl.g_00901	Prbm.g_00375
OG0000501	Prbl.g_00898	Prbm.g_00376
OG0000502	Prbl.g_00886	Prbm.g_00379
OG0000503	Prbl.g_01201	Prbm.g_00400
OG0000504	Prbl.g_01203	Prbm.g_00402
OG0000505	Prbl.g_01204	Prbm.g_00403
OG0000506	Prbl.g_01206	Prbm.g_00404
OG0000507	Prbl.g_01210	Prbm.g_00407
OG0000508	Prbl.g_01217	Prbm.g_00410
OG0000509	Prbl.g_01219	Prbm.g_00412
OG0000510	Prbl.g_01220	Prbm.g_00413
OG0000511	Prbl.g_01221	Prbm.g_00414
OG0000512	Prbl.g_01223	Prbm.g_00416
OG0000513	Prbl.g_02678	Prbm.g_00426
OG0000514	Prbl.g_00676	Prbm.g_00440
OG0000515	Prbl.g_00675	Prbm.g_00441
OG0000516	Prbl.g_00663	Prbm.g_00442
OG0000517	Prbl.g_00653	Prbm.g_00445
OG0000518	Prbl.g_00641	Prbm.g_00456
OG0000519	Prbl.g_00640	Prbm.g_00457
OG0000520	Prbl.g_00639	Prbm.g_00458
OG0000521	Prbl.g_00625	Prbm.g_00480
OG0000522	Prbl.g_00623	Prbm.g_00482
OG0000523	Prbl.g_00622	Prbm.g_00483
OG0000524	Prbl.g_01364	Prbm.g_00490
OG0000525	Prbl.g_01348	Prbm.g_00494
OG0000526	Prbl.g_01346	Prbm.g_00495
OG0000527	Prbl.g_01342	Prbm.g_00498
OG0000528	Prbl.g_00506	Prbm.g_00504
OG0000529	Prbl.g_00512	Prbm.g_00507
