Orthogroup	Prbl	Syar
OG0000209	Prbl.g_01256	Syar.g_00936, Syar.g_03261
OG0000210	Prbl.g_01257	Syar.g_00935, Syar.g_03260
OG0000211	Prbl.g_01922	Syar.g_03026
OG0000212	Prbl.g_00192	Syar.g_03017
OG0000213	Prbl.g_01496	Syar.g_00187
OG0000214	Prbl.g_01469	Syar.g_00209
OG0000215	Prbl.g_01439	Syar.g_00239
OG0000216	Prbl.g_01436	Syar.g_00244
OG0000217	Prbl.g_01432	Syar.g_00854
OG0000218	Prbl.g_01428	Syar.g_00852
OG0000219	Prbl.g_01427	Syar.g_00851
OG0000220	Prbl.g_01426	Syar.g_00850, Syar.g_02026
OG0000221	Prbl.g_01421	Syar.g_00834
OG0000222	Prbl.g_00911	Syar.g_02119, Syar.g_00728
OG0000223	Prbl.g_00888	Syar.g_00649
OG0000224	Prbl.g_00877	Syar.g_00762, Syar.g_00273
OG0000225	Prbl.g_01218	Syar.g_01142
OG0000226	Prbl.g_01222	Syar.g_01146
OG0000227	Prbl.g_01224	Syar.g_01148
OG0000228	Prbl.g_02673	Syar.g_01161
OG0000229	Prbl.g_00652	Syar.g_01177, Syar.g_03273
OG0000230	Prbl.g_00650	Syar.g_01179, Syar.g_03275
OG0000231	Prbl.g_00635	Syar.g_02865, Syar.g_03151
OG0000232	Prbl.g_00619	Syar.g_01424
OG0000233	Prbl.g_01360	Syar.g_03183, Syar.g_01247
OG0000234	Prbl.g_01339	Syar.g_01275
OG0000235	Prbl.g_00510	Syar.g_01468
OG0000236	Prbl.g_00526	Syar.g_03311, Syar.g_01484
OG0000237	Prbl.g_00800	Syar.g_01503
OG0000238	Prbl.g_00795	Syar.g_01508
OG0000239	Prbl.g_00779	Syar.g_03277, Syar.g_02687
OG0000240	Prbl.g_00778	Syar.g_03278, Syar.g_02686
OG0000241	Prbl.g_01526	Syar.g_02410
OG0000242	Prbl.g_00768	Syar.g_01926
OG0000243	Prbl.g_02647	Syar.g_02335
OG0000244	Prbl.g_01879	Syar.g_02327
OG0000245	Prbl.g_01882	Syar.g_02325, Syar.g_03238
OG0000246	Prbl.g_01886	Syar.g_02321
OG0000247	Prbl.g_01897	Syar.g_02310
OG0000248	Prbl.g_01900	Syar.g_02307, Syar.g_03293
OG0000249	Prbl.g_01902	Syar.g_02305
OG0000250	Prbl.g_01799	Syar.g_02299, Syar.g_03194
OG0000251	Prbl.g_01775	Syar.g_03207, Syar.g_02194
OG0000252	Prbl.g_01772	Syar.g_02189, Syar.g_03263
OG0000253	Prbl.g_01766	Syar.g_02028
OG0000254	Prbl.g_01747	Syar.g_02169
OG0000255	Prbl.g_01612	Syar.g_00011
OG0000256	Prbl.g_01626	Syar.g_02244
OG0000257	Prbl.g_01632	Syar.g_02407, Syar.g_01762
OG0000258	Prbl.g_01655	Syar.g_02427, Syar.g_00010
OG0000259	Prbl.g_01406	Syar.g_02472
OG0000260	Prbl.g_01403	Syar.g_03220, Syar.g_02475
OG0000261	Prbl.g_01400	Syar.g_01916
OG0000262	Prbl.g_01395	Syar.g_01690
OG0000263	Prbl.g_01242	Syar.g_01991
OG0000264	Prbl.g_01859	Syar.g_02135, Syar.g_03267
OG0000266	Prbl.g_02556	Syar.g_01570
OG0000267	Prbl.g_02431	Syar.g_01873
OG0000268	Prbl.g_02432	Syar.g_02589
OG0000269	Prbl.g_02340	Syar.g_02634
OG0000270	Prbl.g_02337	Syar.g_00744, Syar.g_02637
OG0000271	Prbl.g_02329	Syar.g_02645
OG0000272	Prbl.g_02328	Syar.g_02646
OG0000273	Prbl.g_01534	Syar.g_00008
OG0000274	Prbl.g_01535	Syar.g_02482
OG0000275	Prbl.g_01538	Syar.g_01810
OG0000276	Prbl.g_01544	Syar.g_01817
OG0000277	Prbl.g_01545	Syar.g_01818, Syar.g_03242
OG0000278	Prbl.g_01548	Syar.g_01821, Syar.g_03174
OG0000279	Prbl.g_01556	Syar.g_01838
OG0000280	Prbl.g_01562	Syar.g_02067, Syar.g_00734
OG0000281	Prbl.g_01577	Syar.g_02218
OG0000282	Prbl.g_02405	Syar.g_01614, Syar.g_03255
OG0000283	Prbl.g_02443	Syar.g_02574
OG0000284	Prbl.g_02449	Syar.g_03258, Syar.g_02568
OG0000285	Prbl.g_01688	Syar.g_02560
OG0000286	Prbl.g_02477	Syar.g_02540
OG0000287	Prbl.g_02608	Syar.g_02512
OG0000288	Prbl.g_02531	Syar.g_01801
OG0000289	Prbl.g_02544	Syar.g_03305, Syar.g_01786
OG0000290	Prbl.g_00930	Syar.g_01928
OG0000291	Prbl.g_00928	Syar.g_01930
OG0000292	Prbl.g_02128	Syar.g_00463
OG0000293	Prbl.g_02071	Syar.g_03297, Syar.g_01526
OG0000294	Prbl.g_02072	Syar.g_01527, Syar.g_03296
OG0000295	Prbl.g_00178	Syar.g_01951, Syar.g_03208
OG0000296	Prbl.g_00180	Syar.g_01953
OG0000297	Prbl.g_01382	Syar.g_01967, Syar.g_03216
OG0000298	Prbl.g_01383	Syar.g_01968, Syar.g_03215
OG0000299	Prbl.g_01372	Syar.g_01704
OG0000300	Prbl.g_02582	Syar.g_01646, Syar.g_01711
OG0000301	Prbl.g_02583	Syar.g_01712
OG0000302	Prbl.g_02586	Syar.g_01713
OG0000303	Prbl.g_00187	Syar.g_03136, Syar.g_01723
OG0000304	Prbl.g_01102	Syar.g_01728
OG0000305	Prbl.g_00926	Syar.g_01933, Syar.g_03163
OG0000306	Prbl.g_01586	Syar.g_01884
OG0000307	Prbl.g_00494	Syar.g_01452, Syar.g_03153
OG0000308	Prbl.g_00492	Syar.g_01450
OG0000309	Prbl.g_00488	Syar.g_01239
OG0000310	Prbl.g_00160	Syar.g_02826
OG0000311	Prbl.g_00258	Syar.g_02823
OG0000312	Prbl.g_00254	Syar.g_00015, Syar.g_02818
OG0000313	Prbl.g_00230	Syar.g_02804
OG0000314	Prbl.g_00699	Syar.g_01403
OG0000315	Prbl.g_00709	Syar.g_01393
OG0000316	Prbl.g_00441	Syar.g_02885
OG0000317	Prbl.g_00399	Syar.g_02926
OG0000318	Prbl.g_00393	Syar.g_02930
OG0000319	Prbl.g_00376	Syar.g_02954
OG0000320	Prbl.g_00374	Syar.g_02956
OG0000321	Prbl.g_00373	Syar.g_02957
OG0000322	Prbl.g_00372	Syar.g_02958
OG0000323	Prbl.g_00361	Syar.g_02973
OG0000324	Prbl.g_00332	Syar.g_00350, Syar.g_03001
OG0000325	Prbl.g_02683	Syar.g_03291, Syar.g_00148
OG0000326	Prbl.g_01059	Syar.g_00139, Syar.g_03134
OG0000327	Prbl.g_00957	Syar.g_01029
OG0000328	Prbl.g_00958	Syar.g_01030
OG0000329	Prbl.g_00975	Syar.g_03189, Syar.g_01048
OG0000330	Prbl.g_00976	Syar.g_03190, Syar.g_01049
OG0000331	Prbl.g_00977	Syar.g_01050, Syar.g_03191
OG0000332	Prbl.g_00992	Syar.g_01064, Syar.g_03299
OG0000333	Prbl.g_00994	Syar.g_01067
OG0000334	Prbl.g_01131	Syar.g_01076
OG0000335	Prbl.g_01136	Syar.g_01080
OG0000336	Prbl.g_01140	Syar.g_01084
OG0000337	Prbl.g_00863	Syar.g_00285
OG0000338	Prbl.g_00859	Syar.g_03225, Syar.g_00287
OG0000339	Prbl.g_00853	Syar.g_00658
OG0000340	Prbl.g_00841	Syar.g_00247
OG0000341	Prbl.g_00839	Syar.g_00249
OG0000342	Prbl.g_00838	Syar.g_00250
OG0000343	Prbl.g_01307	Syar.g_00256
OG0000344	Prbl.g_01304	Syar.g_00260
OG0000345	Prbl.g_01289	Syar.g_00612
OG0000346	Prbl.g_01284	Syar.g_00607
OG0000347	Prbl.g_02053	Syar.g_00558
OG0000348	Prbl.g_02016	Syar.g_00544
OG0000349	Prbl.g_01992	Syar.g_00521
OG0000350	Prbl.g_02195	Syar.g_00132
OG0000351	Prbl.g_02147	Syar.g_00442
OG0000352	Prbl.g_02146	Syar.g_00443
OG0000353	Prbl.g_02122	Syar.g_00469
OG0000354	Prbl.g_00789	Syar.g_01514
OG0000354	Prbl.g_01959	Syar.g_00487
OG0000355	Prbl.g_02120	Syar.g_00471
OG0000356	Prbl.g_02119	Syar.g_00472
OG0000357	Prbl.g_02118	Syar.g_00473
OG0000358	Prbl.g_02114	Syar.g_00477
OG0000359	Prbl.g_02112	Syar.g_00479
OG0000360	Prbl.g_02111	Syar.g_00480
OG0000361	Prbl.g_02110	Syar.g_00481
OG0000362	Prbl.g_02108	Syar.g_00483
OG0000363	Prbl.g_01955	Syar.g_00484
OG0000364	Prbl.g_01956	Syar.g_02928
OG0000365	Prbl.g_01965	Syar.g_00493
OG0000366	Prbl.g_01966	Syar.g_00494
OG0000367	Prbl.g_01967	Syar.g_03262, Syar.g_00495
OG0000368	Prbl.g_01969	Syar.g_00497
OG0000369	Prbl.g_01970	Syar.g_00498
OG0000370	Prbl.g_01971	Syar.g_00499
OG0000371	Prbl.g_01980	Syar.g_00508
OG0000372	Prbl.g_01985	Syar.g_00514
OG0000373	Prbl.g_01986	Syar.g_00515
OG0000374	Prbl.g_01987	Syar.g_00516
OG0000375	Prbl.g_01988	Syar.g_00517
OG0000376	Prbl.g_01990	Syar.g_00519
OG0000377	Prbl.g_02244	Syar.g_00322
OG0000378	Prbl.g_02258	Syar.g_00905
OG0000379	Prbl.g_02274	Syar.g_00910
OG0000380	Prbl.g_00612	Syar.g_03039
OG0000381	Prbl.g_00607	Syar.g_03041
OG0000382	Prbl.g_00592	Syar.g_03057
OG0000383	Prbl.g_00590	Syar.g_03074
OG0000384	Prbl.g_00589	Syar.g_03075
OG0000385	Prbl.g_00588	Syar.g_03076
OG0000386	Prbl.g_00587	Syar.g_03077
OG0000387	Prbl.g_00561	Syar.g_03109
OG0000388	Prbl.g_00557	Syar.g_03148, Syar.g_03113
OG0000389	Prbl.g_00553	Syar.g_03118
OG0000390	Prbl.g_01331	Syar.g_00033
OG0000391	Prbl.g_01326	Syar.g_00038
OG0000392	Prbl.g_01320	Syar.g_00045
OG0000393	Prbl.g_01315	Syar.g_00048
OG0000394	Prbl.g_01314	Syar.g_00049
OG0000395	Prbl.g_01313	Syar.g_00050
OG0000396	Prbl.g_00827	Syar.g_00053
OG0000397	Prbl.g_00825	Syar.g_00055
OG0000398	Prbl.g_00820	Syar.g_00060
OG0000399	Prbl.g_00819	Syar.g_00061
OG0000400	Prbl.g_00818	Syar.g_00062
OG0000401	Prbl.g_00817	Syar.g_00063
OG0000402	Prbl.g_00815	Syar.g_00065
OG0000403	Prbl.g_00814	Syar.g_00066
OG0000404	Prbl.g_00812	Syar.g_00067
OG0000405	Prbl.g_00305	Syar.g_00076
OG0000406	Prbl.g_00301	Syar.g_00080
OG0000407	Prbl.g_00300	Syar.g_00081
OG0000408	Prbl.g_00298	Syar.g_00083
OG0000409	Prbl.g_00296	Syar.g_00085
OG0000410	Prbl.g_00295	Syar.g_00086
OG0000411	Prbl.g_00294	Syar.g_00087
OG0000412	Prbl.g_00293	Syar.g_00088
OG0000413	Prbl.g_00291	Syar.g_00090
OG0000414	Prbl.g_00290	Syar.g_00091, Syar.g_03179
OG0000415	Prbl.g_00289	Syar.g_00092
OG0000416	Prbl.g_00288	Syar.g_00093
OG0000417	Prbl.g_00287	Syar.g_00095
OG0000418	Prbl.g_00282	Syar.g_00100
OG0000419	Prbl.g_00280	Syar.g_00102
OG0000420	Prbl.g_00279	Syar.g_00104
OG0000421	Prbl.g_00275	Syar.g_00109
OG0000422	Prbl.g_00274	Syar.g_00110
OG0000423	Prbl.g_00273	Syar.g_00111
OG0000424	Prbl.g_00272	Syar.g_00112
OG0000425	Prbl.g_00271	Syar.g_00113
OG0000426	Prbl.g_00270	Syar.g_00114
OG0000427	Prbl.g_00269	Syar.g_00115
OG0000428	Prbl.g_02377	Syar.g_00118
OG0000429	Prbl.g_00066	Syar.g_00121
OG0000430	Prbl.g_00068	Syar.g_00123
OG0000431	Prbl.g_00072	Syar.g_00127
OG0000432	Prbl.g_00079	Syar.g_01009
OG0000433	Prbl.g_00082	Syar.g_01007
OG0000434	Prbl.g_00083	Syar.g_01006
OG0000435	Prbl.g_00086	Syar.g_01003
OG0000436	Prbl.g_00092	Syar.g_00994
OG0000437	Prbl.g_00093	Syar.g_00993
OG0000438	Prbl.g_00094	Syar.g_00992
OG0000439	Prbl.g_00096	Syar.g_00990
OG0000440	Prbl.g_00097	Syar.g_00989
OG0000441	Prbl.g_00104	Syar.g_00986
OG0000442	Prbl.g_00105	Syar.g_00977
OG0000443	Prbl.g_01283	Syar.g_00964
OG0000444	Prbl.g_00127	Syar.g_00954
OG0000445	Prbl.g_00126	Syar.g_00953
OG0000446	Prbl.g_00124	Syar.g_00951
OG0000447	Prbl.g_01244	Syar.g_00948
OG0000448	Prbl.g_01245	Syar.g_00947
OG0000449	Prbl.g_01246	Syar.g_00946
OG0000450	Prbl.g_01252	Syar.g_00939
OG0000451	Prbl.g_01253	Syar.g_00938
OG0000452	Prbl.g_01258	Syar.g_00934
OG0000453	Prbl.g_01259	Syar.g_00933
OG0000454	Prbl.g_01260	Syar.g_00932
OG0000455	Prbl.g_01261	Syar.g_00931
OG0000456	Prbl.g_01262	Syar.g_00930
OG0000457	Prbl.g_01264	Syar.g_00928
OG0000458	Prbl.g_01265	Syar.g_00918
OG0000459	Prbl.g_01266	Syar.g_00917
OG0000460	Prbl.g_01923	Syar.g_03024
OG0000461	Prbl.g_02679	Syar.g_00153
OG0000462	Prbl.g_02666	Syar.g_00155
OG0000463	Prbl.g_01516	Syar.g_00156
OG0000464	Prbl.g_01515	Syar.g_00157
OG0000465	Prbl.g_01513	Syar.g_00159
OG0000466	Prbl.g_01508	Syar.g_00164
OG0000467	Prbl.g_01506	Syar.g_00165
OG0000468	Prbl.g_01499	Syar.g_00170
OG0000469	Prbl.g_01486	Syar.g_00203
OG0000470	Prbl.g_01473	Syar.g_00206
OG0000471	Prbl.g_01472	Syar.g_00207
OG0000472	Prbl.g_01470	Syar.g_00208
OG0000473	Prbl.g_01468	Syar.g_00210
OG0000474	Prbl.g_01467	Syar.g_00211
OG0000475	Prbl.g_01466	Syar.g_00212
OG0000476	Prbl.g_01464	Syar.g_00214
OG0000477	Prbl.g_01459	Syar.g_00219
OG0000478	Prbl.g_01458	Syar.g_00220
OG0000479	Prbl.g_01457	Syar.g_00221
OG0000480	Prbl.g_01450	Syar.g_00228
OG0000481	Prbl.g_01448	Syar.g_00230
OG0000482	Prbl.g_01447	Syar.g_00231
OG0000483	Prbl.g_01443	Syar.g_00235
OG0000484	Prbl.g_01442	Syar.g_00236
OG0000485	Prbl.g_01441	Syar.g_00237
OG0000486	Prbl.g_01440	Syar.g_00024, Syar.g_00238
OG0000487	Prbl.g_01435	Syar.g_00245
OG0000488	Prbl.g_01431	Syar.g_00853
OG0000489	Prbl.g_01420	Syar.g_00833
OG0000490	Prbl.g_01414	Syar.g_00823
OG0000491	Prbl.g_01413	Syar.g_00822
OG0000492	Prbl.g_00909	Syar.g_00727
OG0000493	Prbl.g_00908	Syar.g_00726
OG0000494	Prbl.g_00907	Syar.g_00725
OG0000495	Prbl.g_00906	Syar.g_00724
OG0000496	Prbl.g_00905	Syar.g_00723
OG0000497	Prbl.g_00904	Syar.g_00722
OG0000498	Prbl.g_00903	Syar.g_00721
OG0000499	Prbl.g_00902	Syar.g_00720
OG0000500	Prbl.g_00901	Syar.g_00719
OG0000501	Prbl.g_00898	Syar.g_00716
OG0000502	Prbl.g_00886	Syar.g_00275
OG0000503	Prbl.g_01201	Syar.g_01118
OG0000504	Prbl.g_01203	Syar.g_01120
OG0000505	Prbl.g_01204	Syar.g_01121
OG0000506	Prbl.g_01206	Syar.g_01123
OG0000507	Prbl.g_01210	Syar.g_01129
OG0000508	Prbl.g_01217	Syar.g_01141
OG0000509	Prbl.g_01219	Syar.g_01143
OG0000510	Prbl.g_01220	Syar.g_01144
OG0000511	Prbl.g_01221	Syar.g_01145
OG0000512	Prbl.g_01223	Syar.g_01147
OG0000513	Prbl.g_02678	Syar.g_01166
OG0000514	Prbl.g_00676	Syar.g_01169
OG0000515	Prbl.g_00675	Syar.g_01170
OG0000516	Prbl.g_00663	Syar.g_01172
OG0000517	Prbl.g_00653	Syar.g_01176
OG0000518	Prbl.g_00641	Syar.g_02868
OG0000519	Prbl.g_00640	Syar.g_02867
OG0000520	Prbl.g_00639	Syar.g_02866
OG0000521	Prbl.g_00625	Syar.g_01419
OG0000522	Prbl.g_00623	Syar.g_01421
OG0000523	Prbl.g_00622	Syar.g_01422
OG0000524	Prbl.g_01364	Syar.g_01244
OG0000525	Prbl.g_01348	Syar.g_01263
OG0000526	Prbl.g_01346	Syar.g_01266
OG0000527	Prbl.g_01342	Syar.g_01271
OG0000528	Prbl.g_00506	Syar.g_01466
OG0000529	Prbl.g_00512	Syar.g_01470
OG0000530	Prbl.g_00515	Syar.g_01473
OG0000531	Prbl.g_00516	Syar.g_01474
OG0000532	Prbl.g_00519	Syar.g_01477
OG0000533	Prbl.g_00521	Syar.g_01479
OG0000534	Prbl.g_00522	Syar.g_01480
OG0000535	Prbl.g_00523	Syar.g_01481
OG0000536	Prbl.g_00524	Syar.g_01482
OG0000537	Prbl.g_00525	Syar.g_01483
OG0000538	Prbl.g_00536	Syar.g_01496
OG0000539	Prbl.g_00806	Syar.g_01497
OG0000540	Prbl.g_00805	Syar.g_01498
OG0000541	Prbl.g_00804	Syar.g_01499
