Orthogroup	Syac	Syat
OG0000046	Syac.g_02063	Syat.g_01626, Syat.g_01026
OG0000048	Syac.g_02240	Syat.g_02046
OG0000052	Syac.g_00207	Syat.g_02140
OG0000053	Syac.g_01657	Syat.g_01330
OG0000054	Syac.g_01050	Syat.g_00987, Syat.g_03390
OG0000055	Syac.g_01034	Syat.g_00693
OG0000058	Syac.g_00226	Syat.g_02133, Syat.g_02238
OG0000059	Syac.g_02142	Syat.g_01832
OG0000060	Syac.g_01909	Syat.g_01384
OG0000061	Syac.g_00769	Syat.g_03260
OG0000062	Syac.g_00567	Syat.g_03107
OG0000063	Syac.g_00037	Syat.g_02303
OG0000066	Syac.g_01827	Syat.g_03283
OG0000067	Syac.g_01341	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Syac.g_01916	Syat.g_00085, Syat.g_01295
OG0000069	Syac.g_01272	Syat.g_00090, Syat.g_00879
OG0000070	Syac.g_00711	Syat.g_01032, Syat.g_01040
OG0000071	Syac.g_01049	Syat.g_01153
OG0000072	Syac.g_00302	Syat.g_02856
OG0000073	Syac.g_01883	Syat.g_03201
OG0000075	Syac.g_00191	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Syac.g_00156	Syat.g_02206
OG0000077	Syac.g_00439	Syat.g_01481
OG0000078	Syac.g_01964	Syat.g_00184
OG0000079	Syac.g_02211	Syat.g_01879
OG0000081	Syac.g_01954, Syac.g_00461	Syat.g_00980
OG0000082	Syac.g_01766	Syat.g_00035
OG0000085	Syac.g_00560	Syat.g_03113
OG0000086	Syac.g_00423	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Syac.g_00343	Syat.g_02912
OG0000088	Syac.g_00308	Syat.g_02862
OG0000089	Syac.g_01988, Syac.g_01543	Syat.g_02953
OG0000090	Syac.g_01836	Syat.g_03270
OG0000091	Syac.g_00987	Syat.g_00939, Syat.g_00862
OG0000094	Syac.g_01251	Syat.g_00698
OG0000095	Syac.g_00884	Syat.g_00808
OG0000098	Syac.g_02157	Syat.g_03281
OG0000099	Syac.g_00234	Syat.g_02130
OG0000100	Syac.g_01309	Syat.g_00517
OG0000102	Syac.g_00151	Syat.g_00974
OG0000104	Syac.g_02490	Syat.g_02385
OG0000105	Syac.g_02245	Syat.g_02052
OG0000106	Syac.g_01098	Syat.g_00957
OG0000107	Syac.g_02191	Syat.g_02009, Syat.g_01862
OG0000108	Syac.g_01904	Syat.g_03170
OG0000110	Syac.g_01778	Syat.g_00049
OG0000111	Syac.g_00893	Syat.g_00816
OG0000112	Syac.g_01173	Syat.g_00593
OG0000113	Syac.g_01314	Syat.g_00509
OG0000114	Syac.g_01394	Syat.g_00426
OG0000115	Syac.g_01655	Syat.g_01328
OG0000116	Syac.g_00753	Syat.g_02641
OG0000117	Syac.g_01477	Syat.g_00224
OG0000118	Syac.g_01728	Syat.g_01168
OG0000120	Syac.g_00233	Syat.g_02132
OG0000121	Syac.g_01635	Syat.g_01223
OG0000123	Syac.g_02086	Syat.g_01653
OG0000124	Syac.g_00135	Syat.g_02231
OG0000125	Syac.g_02360	Syat.g_02684
OG0000126	Syac.g_02488	Syat.g_00976
OG0000128	Syac.g_00012	Syat.g_02331
OG0000129	Syac.g_02349	Syat.g_02693, Syat.g_02694
OG0000130	Syac.g_00450	Syat.g_01469
OG0000131	Syac.g_00330	Syat.g_02898
OG0000132	Syac.g_00310	Syat.g_02864
OG0000133	Syac.g_01178	Syat.g_00588
OG0000134	Syac.g_01985	Syat.g_02956
OG0000135	Syac.g_02398	Syat.g_02501
OG0000136	Syac.g_00701	Syat.g_01292
OG0000137	Syac.g_01700	Syat.g_01371
OG0000138	Syac.g_01888	Syat.g_03188
OG0000139	Syac.g_01830	Syat.g_03276
OG0000140	Syac.g_01829	Syat.g_03280
OG0000141	Syac.g_00934	Syat.g_03398
OG0000142	Syac.g_00979	Syat.g_00117
OG0000143	Syac.g_00983	Syat.g_00130
OG0000144	Syac.g_01090	Syat.g_00369
OG0000145	Syac.g_01882	Syat.g_03202
OG0000146	Syac.g_01172	Syat.g_00594
OG0000147	Syac.g_01171	Syat.g_00595
OG0000148	Syac.g_01320	Syat.g_00503
OG0000149	Syac.g_00832	Syat.g_00747
OG0000150	Syac.g_00935	Syat.g_03399
OG0000151	Syac.g_01383	Syat.g_00801, Syat.g_00440
OG0000152	Syac.g_01182	Syat.g_00578
OG0000153	Syac.g_01217	Syat.g_00542
OG0000154	Syac.g_01241	Syat.g_00708
OG0000155	Syac.g_00804	Syat.g_00287
OG0000156	Syac.g_00743	Syat.g_03228
OG0000157	Syac.g_00742	Syat.g_02012, Syat.g_03227
OG0000158	Syac.g_00182	Syat.g_02163
OG0000160	Syac.g_01633	Syat.g_01224
OG0000161	Syac.g_01641	Syat.g_01180
OG0000162	Syac.g_01648	Syat.g_01281
OG0000163	Syac.g_00619	Syat.g_02979
OG0000165	Syac.g_00674	Syat.g_03033
OG0000166	Syac.g_02132	Syat.g_01822
OG0000167	Syac.g_00194	Syat.g_02148
OG0000168	Syac.g_00179	Syat.g_02164
OG0000169	Syac.g_00168	Syat.g_02192
OG0000170	Syac.g_00161	Syat.g_02201
OG0000171	Syac.g_00136	Syat.g_02230
OG0000172	Syac.g_00084	Syat.g_02260
OG0000173	Syac.g_00057	Syat.g_02284
OG0000174	Syac.g_02401	Syat.g_02504
OG0000175	Syac.g_02465	Syat.g_02416
OG0000176	Syac.g_00004	Syat.g_02372
OG0000177	Syac.g_00005	Syat.g_02338
OG0000178	Syac.g_00006	Syat.g_02337
OG0000179	Syac.g_00019	Syat.g_02322
OG0000180	Syac.g_00020	Syat.g_02321
OG0000181	Syac.g_00021	Syat.g_02320
OG0000182	Syac.g_00022	Syat.g_02319
OG0000183	Syac.g_00026	Syat.g_02315
OG0000184	Syac.g_02339	Syat.g_02704
OG0000185	Syac.g_02336	Syat.g_02719
OG0000186	Syac.g_00454	Syat.g_01463
OG0000187	Syac.g_00453	Syat.g_01467
OG0000188	Syac.g_00433	Syat.g_01489
OG0000189	Syac.g_00408	Syat.g_00386, Syat.g_01557
OG0000190	Syac.g_00406	Syat.g_00330
OG0000191	Syac.g_00373	Syat.g_03344, Syat.g_02939
OG0000192	Syac.g_00368	Syat.g_02933
OG0000193	Syac.g_00329	Syat.g_02897
OG0000194	Syac.g_00326	Syat.g_02894
OG0000196	Syac.g_00313	Syat.g_02867
OG0000197	Syac.g_00312	Syat.g_02866
OG0000198	Syac.g_00311	Syat.g_02865
OG0000199	Syac.g_00303	Syat.g_02857
OG0000200	Syac.g_02261	Syat.g_02840
OG0000201	Syac.g_02278	Syat.g_02821
OG0000202	Syac.g_02279	Syat.g_02820
OG0000203	Syac.g_02280	Syat.g_02819
OG0000204	Syac.g_02281	Syat.g_02818
OG0000205	Syac.g_02288	Syat.g_02809
OG0000206	Syac.g_02297	Syat.g_02785
OG0000207	Syac.g_02300	Syat.g_02778
OG0000208	Syac.g_02301	Syat.g_02777
OG0000209	Syac.g_02316	Syat.g_02735
OG0000210	Syac.g_02317	Syat.g_02734
OG0000211	Syac.g_01972	Syat.g_01452
OG0000212	Syac.g_01963	Syat.g_01442
OG0000213	Syac.g_02219	Syat.g_01889
OG0000214	Syac.g_02236	Syat.g_02042
OG0000215	Syac.g_00281	Syat.g_02075
OG0000216	Syac.g_00277	Syat.g_02079
OG0000217	Syac.g_00273	Syat.g_02085
OG0000218	Syac.g_00271	Syat.g_02087
OG0000219	Syac.g_00270	Syat.g_02088
OG0000220	Syac.g_00269	Syat.g_02089
OG0000221	Syac.g_00261	Syat.g_02095
OG0000222	Syac.g_00247	Syat.g_02109
OG0000223	Syac.g_00225	Syat.g_02570
OG0000224	Syac.g_00217	Syat.g_02139
OG0000225	Syac.g_02004	Syat.g_01595
OG0000226	Syac.g_02000	Syat.g_01588
OG0000228	Syac.g_01989	Syat.g_02952
OG0000229	Syac.g_00692	Syat.g_02970
OG0000230	Syac.g_00694	Syat.g_02972
OG0000231	Syac.g_00710	Syat.g_01283
OG0000232	Syac.g_01717	Syat.g_01313
OG0000233	Syac.g_01713	Syat.g_01407
OG0000234	Syac.g_01699	Syat.g_01369
OG0000235	Syac.g_01905	Syat.g_03169
OG0000236	Syac.g_01890	Syat.g_03186
OG0000237	Syac.g_01873	Syat.g_03214
OG0000238	Syac.g_01868	Syat.g_03219
OG0000239	Syac.g_01852	Syat.g_01105
OG0000240	Syac.g_01851	Syat.g_01104
OG0000241	Syac.g_00970	Syat.g_00111
OG0000242	Syac.g_01839	Syat.g_01077
OG0000243	Syac.g_01821	Syat.g_00092
OG0000244	Syac.g_01814	Syat.g_00082
OG0000246	Syac.g_01807	Syat.g_00076
OG0000247	Syac.g_01795	Syat.g_00065
OG0000248	Syac.g_01792	Syat.g_00062
OG0000249	Syac.g_01790	Syat.g_00060
OG0000251	Syac.g_01757	Syat.g_00027
OG0000252	Syac.g_01753	Syat.g_00022
OG0000253	Syac.g_01752	Syat.g_00021
OG0000254	Syac.g_00939	Syat.g_03407
OG0000255	Syac.g_00947	Syat.g_02405
OG0000256	Syac.g_00963	Syat.g_03306
OG0000257	Syac.g_00969	Syat.g_00109
OG0000258	Syac.g_00988	Syat.g_00382
OG0000259	Syac.g_01425	Syat.g_00342
OG0000260	Syac.g_01422	Syat.g_00392
OG0000261	Syac.g_01418	Syat.g_00400
OG0000262	Syac.g_01413	Syat.g_00407
OG0000263	Syac.g_01497	Syat.g_00200
OG0000266	Syac.g_01271	Syat.g_00671
OG0000267	Syac.g_01131	Syat.g_00636
OG0000268	Syac.g_01132	Syat.g_00634
OG0000269	Syac.g_01346	Syat.g_00474, Syat.g_00126
OG0000270	Syac.g_01343	Syat.g_00477
OG0000271	Syac.g_01335	Syat.g_00485
OG0000272	Syac.g_01334	Syat.g_00486
OG0000274	Syac.g_00853	Syat.g_00521
OG0000275	Syac.g_00848	Syat.g_00718
OG0000276	Syac.g_00840	Syat.g_00725
OG0000278	Syac.g_00836	Syat.g_00741
OG0000279	Syac.g_00828	Syat.g_00755
OG0000280	Syac.g_00814	Syat.g_01669
OG0000281	Syac.g_02158	Syat.g_00960
OG0000282	Syac.g_01392	Syat.g_00431
OG0000283	Syac.g_01142	Syat.g_00620
OG0000284	Syac.g_01148	Syat.g_00614
OG0000285	Syac.g_01160	Syat.g_00607
OG0000286	Syac.g_01181	Syat.g_00579
OG0000287	Syac.g_01209	Syat.g_00550
OG0000288	Syac.g_01240	Syat.g_00709
OG0000289	Syac.g_01254	Syat.g_00695
OG0000290	Syac.g_00881	Syat.g_00805
OG0000291	Syac.g_00883	Syat.g_00807
OG0000292	Syac.g_02487	Syat.g_02388
OG0000293	Syac.g_00754	Syat.g_03241
OG0000294	Syac.g_00755	Syat.g_03248
OG0000295	Syac.g_00796	Syat.g_00297
OG0000296	Syac.g_00798	Syat.g_00295
OG0000299	Syac.g_01503	Syat.g_00910
OG0000300	Syac.g_01510	Syat.g_00904
OG0000301	Syac.g_01511	Syat.g_00903
OG0000302	Syac.g_01512	Syat.g_00901
OG0000303	Syac.g_01520	Syat.g_00892
OG0000304	Syac.g_01526	Syat.g_00885
OG0000305	Syac.g_00886	Syat.g_00809
OG0000306	Syac.g_00810	Syat.g_01704
OG0000307	Syac.g_01924	Syat.g_01304
OG0000308	Syac.g_01926	Syat.g_01306
OG0000309	Syac.g_01931	Syat.g_01417
OG0000310	Syac.g_01607	Syat.g_01246
OG0000311	Syac.g_01611	Syat.g_01242
OG0000313	Syac.g_01638	Syat.g_01183
OG0000314	Syac.g_01665	Syat.g_01341
OG0000315	Syac.g_01675	Syat.g_01351
OG0000316	Syac.g_00601	Syat.g_03082
OG0000317	Syac.g_00552	Syat.g_03120
OG0000318	Syac.g_00543	Syat.g_03125
OG0000319	Syac.g_00525	Syat.g_03055
OG0000320	Syac.g_00523	Syat.g_03053
OG0000321	Syac.g_00522	Syat.g_03052
OG0000322	Syac.g_00521	Syat.g_03051
OG0000323	Syac.g_00506	Syat.g_03038
OG0000324	Syac.g_00648	Syat.g_02998
OG0000325	Syac.g_02190	Syat.g_01861
OG0000326	Syac.g_02183	Syat.g_01854
OG0000327	Syac.g_02137	Syat.g_01827
OG0000328	Syac.g_02136	Syat.g_01826
OG0000329	Syac.g_02119	Syat.g_01808
OG0000330	Syac.g_02118	Syat.g_01807
OG0000331	Syac.g_02117	Syat.g_01806
OG0000333	Syac.g_02100	Syat.g_01787
OG0000334	Syac.g_02090	Syat.g_01657
OG0000335	Syac.g_02085	Syat.g_01652
OG0000336	Syac.g_02081	Syat.g_01648
OG0000337	Syac.g_00199	Syat.g_02144
OG0000338	Syac.g_00196	Syat.g_02146
OG0000339	Syac.g_00190	Syat.g_02155, Syat.g_01055
OG0000340	Syac.g_00178	Syat.g_02165
OG0000341	Syac.g_00176	Syat.g_02167
OG0000342	Syac.g_00175	Syat.g_02168
OG0000343	Syac.g_00174	Syat.g_02185
OG0000344	Syac.g_00170	Syat.g_02189
OG0000345	Syac.g_00160	Syat.g_02202
OG0000346	Syac.g_00155	Syat.g_02207
OG0000347	Syac.g_00129	Syat.g_02234
OG0000348	Syac.g_00070, Syac.g_00074	Syat.g_02264
OG0000349	Syac.g_00050	Syat.g_02291
OG0000350	Syac.g_02176	Syat.g_01847
OG0000351	Syac.g_02468	Syat.g_02411
OG0000352	Syac.g_02469	Syat.g_02410
OG0000353	Syac.g_02493	Syat.g_00955, Syat.g_02377
OG0000354	Syac.g_01862	Syat.g_03225
OG0000355	Syac.g_00001	Syat.g_02375
OG0000356	Syac.g_00002	Syat.g_02374
OG0000357	Syac.g_00003	Syat.g_02373
OG0000358	Syac.g_00007	Syat.g_02336
OG0000359	Syac.g_00009	Syat.g_02334
OG0000360	Syac.g_00010	Syat.g_02333
OG0000361	Syac.g_00011	Syat.g_02332
OG0000362	Syac.g_00013	Syat.g_02330
OG0000363	Syac.g_00015	Syat.g_02328
OG0000364	Syac.g_00016	Syat.g_03122
OG0000365	Syac.g_00023	Syat.g_02318
OG0000366	Syac.g_00024	Syat.g_02317
OG0000367	Syac.g_00025	Syat.g_02316
OG0000368	Syac.g_00027	Syat.g_02314
OG0000369	Syac.g_00028	Syat.g_02313
OG0000370	Syac.g_00029	Syat.g_02312
OG0000371	Syac.g_00036	Syat.g_02304
OG0000372	Syac.g_00041	Syat.g_02298
OG0000373	Syac.g_00042	Syat.g_02297
OG0000374	Syac.g_00043	Syat.g_02296
OG0000375	Syac.g_00046	Syat.g_02295
OG0000376	Syac.g_00048	Syat.g_02293
OG0000377	Syac.g_02346	Syat.g_02695
OG0000378	Syac.g_02338	Syat.g_02715
OG0000379	Syac.g_02335	Syat.g_02720
OG0000380	Syac.g_00452	Syat.g_01468
OG0000381	Syac.g_00449	Syat.g_01470
OG0000382	Syac.g_00434	Syat.g_01488
OG0000383	Syac.g_00432	Syat.g_01521
OG0000384	Syac.g_00431	Syat.g_01522
OG0000385	Syac.g_00430	Syat.g_01523
OG0000386	Syac.g_00429	Syat.g_01524
OG0000387	Syac.g_00404	Syat.g_01561
OG0000388	Syac.g_00401	Syat.g_01565
OG0000389	Syac.g_00397	Syat.g_01569
OG0000390	Syac.g_00379	Syat.g_02945
OG0000391	Syac.g_00374	Syat.g_02940
OG0000392	Syac.g_00369	Syat.g_02934
OG0000393	Syac.g_00366	Syat.g_02931
OG0000394	Syac.g_00365	Syat.g_02930
OG0000395	Syac.g_00364	Syat.g_02929
OG0000396	Syac.g_00361	Syat.g_02927
OG0000397	Syac.g_00359	Syat.g_02925
OG0000398	Syac.g_00354	Syat.g_02920
OG0000399	Syac.g_00353	Syat.g_02919
OG0000400	Syac.g_00352	Syat.g_02918
OG0000401	Syac.g_00351	Syat.g_02917
OG0000402	Syac.g_00348	Syat.g_02915
OG0000403	Syac.g_00347	Syat.g_02914
OG0000404	Syac.g_00345	Syat.g_02913
OG0000405	Syac.g_00332	Syat.g_02900
OG0000406	Syac.g_00328	Syat.g_02896
OG0000407	Syac.g_00327	Syat.g_02895
OG0000408	Syac.g_00325	Syat.g_02893
OG0000409	Syac.g_00323	Syat.g_02891
OG0000410	Syac.g_00322	Syat.g_02890
OG0000411	Syac.g_00321	Syat.g_02889
OG0000412	Syac.g_00320	Syat.g_02888
OG0000413	Syac.g_00318	Syat.g_02886
OG0000414	Syac.g_00317	Syat.g_02885
OG0000415	Syac.g_00316	Syat.g_02884
OG0000416	Syac.g_00315	Syat.g_02883
OG0000417	Syac.g_00314	Syat.g_02868
OG0000418	Syac.g_00309	Syat.g_02863
OG0000419	Syac.g_00307	Syat.g_02861
OG0000420	Syac.g_00305	Syat.g_02859
OG0000421	Syac.g_00300	Syat.g_02855
OG0000422	Syac.g_00299	Syat.g_02854
OG0000423	Syac.g_00298	Syat.g_02853
OG0000424	Syac.g_00297	Syat.g_02852
OG0000425	Syac.g_00296	Syat.g_02851
OG0000426	Syac.g_00295	Syat.g_02850
OG0000427	Syac.g_00294	Syat.g_02849
OG0000428	Syac.g_02257	Syat.g_02846
OG0000429	Syac.g_02259	Syat.g_02843
OG0000430	Syac.g_02260	Syat.g_02841
OG0000431	Syac.g_02264	Syat.g_02838
OG0000432	Syac.g_02270	Syat.g_02832
OG0000433	Syac.g_02272	Syat.g_02829
OG0000434	Syac.g_02273	Syat.g_02828
OG0000435	Syac.g_02277	Syat.g_02824
OG0000436	Syac.g_02282	Syat.g_02817
OG0000437	Syac.g_02283	Syat.g_02558
OG0000438	Syac.g_02284	Syat.g_02813
OG0000439	Syac.g_02286	Syat.g_02811
OG0000440	Syac.g_02287	Syat.g_02810
OG0000441	Syac.g_02294	Syat.g_02807
OG0000442	Syac.g_02295	Syat.g_02797
OG0000443	Syac.g_02296	Syat.g_02787
OG0000444	Syac.g_02303	Syat.g_02756
OG0000445	Syac.g_02304	Syat.g_02755
OG0000446	Syac.g_02305	Syat.g_02753
OG0000447	Syac.g_02308	Syat.g_02749
OG0000448	Syac.g_02309	Syat.g_02748
OG0000449	Syac.g_02310	Syat.g_02747
OG0000450	Syac.g_02313	Syat.g_02738
OG0000451	Syac.g_02314	Syat.g_02737
OG0000452	Syac.g_02318	Syat.g_02732
OG0000453	Syac.g_02319	Syat.g_02731
OG0000454	Syac.g_02320	Syat.g_02730
OG0000455	Syac.g_02321	Syat.g_02729
OG0000456	Syac.g_02322	Syat.g_02728
OG0000457	Syac.g_02324	Syat.g_02726
OG0000458	Syac.g_02325	Syat.g_02725
OG0000459	Syac.g_02326	Syat.g_02724
OG0000460	Syac.g_01970	Syat.g_01450
OG0000461	Syac.g_02198	Syat.g_01866
OG0000462	Syac.g_02201	Syat.g_01868
OG0000463	Syac.g_02202	Syat.g_01869
OG0000464	Syac.g_02203	Syat.g_01870
OG0000465	Syac.g_02204	Syat.g_01872
OG0000466	Syac.g_02208	Syat.g_01877
OG0000467	Syac.g_02210	Syat.g_01878
OG0000468	Syac.g_02216	Syat.g_01884
OG0000469	Syac.g_02230	Syat.g_02000
OG0000470	Syac.g_02232	Syat.g_02038
OG0000471	Syac.g_02233	Syat.g_02039
OG0000472	Syac.g_02235	Syat.g_02041
OG0000473	Syac.g_02237	Syat.g_02043
OG0000474	Syac.g_02238	Syat.g_02044
OG0000475	Syac.g_02239	Syat.g_02045
OG0000476	Syac.g_02241	Syat.g_02047
OG0000477	Syac.g_02247	Syat.g_02053
OG0000478	Syac.g_02248	Syat.g_02054
OG0000479	Syac.g_02249	Syat.g_02056
OG0000480	Syac.g_00293	Syat.g_02063
OG0000481	Syac.g_00291	Syat.g_02066
OG0000482	Syac.g_00290	Syat.g_02067
OG0000483	Syac.g_00286	Syat.g_02071
OG0000484	Syac.g_00285	Syat.g_02072
OG0000485	Syac.g_00284	Syat.g_02073
OG0000486	Syac.g_00283	Syat.g_02074
OG0000487	Syac.g_00276	Syat.g_02080
OG0000488	Syac.g_00272	Syat.g_02086
OG0000489	Syac.g_00260	Syat.g_02097
OG0000490	Syac.g_00249	Syat.g_02106
OG0000491	Syac.g_00248	Syat.g_02107
OG0000492	Syac.g_00246	Syat.g_02110
OG0000493	Syac.g_00245	Syat.g_02111
OG0000494	Syac.g_00244	Syat.g_02112
OG0000495	Syac.g_00243	Syat.g_02120
OG0000496	Syac.g_00242	Syat.g_02121
OG0000497	Syac.g_00241	Syat.g_02122
OG0000498	Syac.g_00240	Syat.g_02123
OG0000499	Syac.g_00239	Syat.g_02124
OG0000500	Syac.g_00238	Syat.g_02125
OG0000501	Syac.g_00235	Syat.g_02128
OG0000502	Syac.g_00223	Syat.g_02135
OG0000503	Syac.g_02020	Syat.g_01614
OG0000504	Syac.g_02018	Syat.g_01612
OG0000505	Syac.g_02017	Syat.g_01611
OG0000506	Syac.g_02015	Syat.g_01609
OG0000507	Syac.g_02009	Syat.g_01603
OG0000508	Syac.g_02005	Syat.g_01596
OG0000509	Syac.g_02003	Syat.g_01591
OG0000510	Syac.g_02002	Syat.g_01590
OG0000511	Syac.g_02001	Syat.g_01589
OG0000512	Syac.g_01999	Syat.g_01587
OG0000513	Syac.g_01984	Syat.g_02957
OG0000514	Syac.g_01977	Syat.g_02962
OG0000515	Syac.g_01976	Syat.g_02963
OG0000516	Syac.g_00697	Syat.g_02965
OG0000517	Syac.g_00691	Syat.g_02969
OG0000518	Syac.g_00707	Syat.g_01286
OG0000519	Syac.g_00708	Syat.g_01285
OG0000520	Syac.g_00709	Syat.g_01284
OG0000521	Syac.g_01721	Syat.g_01319
OG0000522	Syac.g_01719	Syat.g_01317
OG0000523	Syac.g_01718	Syat.g_01316
OG0000524	Syac.g_01716	Syat.g_01409
OG0000525	Syac.g_01709	Syat.g_01382
OG0000526	Syac.g_01706	Syat.g_01380
OG0000527	Syac.g_01702	Syat.g_01373
OG0000528	Syac.g_01911	Syat.g_03167
OG0000529	Syac.g_01903	Syat.g_03171
OG0000530	Syac.g_01900	Syat.g_03174
OG0000531	Syac.g_01899	Syat.g_03175
OG0000532	Syac.g_01896	Syat.g_03178
OG0000533	Syac.g_01895	Syat.g_03180
OG0000534	Syac.g_01894	Syat.g_03181
OG0000535	Syac.g_01893	Syat.g_03182
OG0000536	Syac.g_01892	Syat.g_03183
OG0000537	Syac.g_01891	Syat.g_03185
OG0000538	Syac.g_01880	Syat.g_03204
OG0000539	Syac.g_01879	Syat.g_03206
OG0000540	Syac.g_01878	Syat.g_03207
OG0000541	Syac.g_01877	Syat.g_03208
OG0000542	Syac.g_01874	Syat.g_03213
OG0000543	Syac.g_01872	Syat.g_03215
OG0000544	Syac.g_01871	Syat.g_03216
OG0000545	Syac.g_01869	Syat.g_03218
OG0000546	Syac.g_01867	Syat.g_03220
OG0000547	Syac.g_01865	Syat.g_03222
OG0000548	Syac.g_01864	Syat.g_03223
OG0000549	Syac.g_01858	Syat.g_01795
OG0000550	Syac.g_01854	Syat.g_01107
OG0000551	Syac.g_01849	Syat.g_01103
OG0000552	Syac.g_01848	Syat.g_01102
OG0000553	Syac.g_01846	Syat.g_01098
OG0000554	Syac.g_01835	Syat.g_03271
OG0000555	Syac.g_01822	Syat.g_00093
OG0000556	Syac.g_01817	Syat.g_00088
OG0000557	Syac.g_01815	Syat.g_00083
OG0000558	Syac.g_01813	Syat.g_00081
OG0000559	Syac.g_01808	Syat.g_00077
OG0000560	Syac.g_01805	Syat.g_00074
OG0000561	Syac.g_01804	Syat.g_00073
OG0000562	Syac.g_01803	Syat.g_00072
OG0000563	Syac.g_01802	Syat.g_00071
OG0000564	Syac.g_01801	Syat.g_00070
OG0000565	Syac.g_01797	Syat.g_00067
OG0000566	Syac.g_01793	Syat.g_00063
OG0000567	Syac.g_01789	Syat.g_00059
OG0000568	Syac.g_01786	Syat.g_00057
OG0000569	Syac.g_01785	Syat.g_00056
OG0000570	Syac.g_01784	Syat.g_00055
OG0000571	Syac.g_01780	Syat.g_00052
OG0000572	Syac.g_01765	Syat.g_00033
OG0000573	Syac.g_01755	Syat.g_00024
OG0000574	Syac.g_01754	Syat.g_00023
OG0000575	Syac.g_01750	Syat.g_00018
OG0000576	Syac.g_01748	Syat.g_00014
OG0000577	Syac.g_01747	Syat.g_00013
OG0000578	Syac.g_01746	Syat.g_00012
OG0000579	Syac.g_01745	Syat.g_00011
OG0000580	Syac.g_01744	Syat.g_00010
OG0000581	Syac.g_01738	Syat.g_00003
OG0000582	Syac.g_00936	Syat.g_03403
OG0000583	Syac.g_00937	Syat.g_03404
OG0000584	Syac.g_00938	Syat.g_03405
OG0000585	Syac.g_00940	Syat.g_03408
OG0000586	Syac.g_00941	Syat.g_03409
OG0000587	Syac.g_00943	Syat.g_00001
OG0000588	Syac.g_00949	Syat.g_00338
OG0000589	Syac.g_00953	Syat.g_03318
OG0000590	Syac.g_00954	Syat.g_03317
OG0000591	Syac.g_00961	Syat.g_03308
OG0000592	Syac.g_00962	Syat.g_03307
OG0000593	Syac.g_00975	Syat.g_00113
OG0000594	Syac.g_00976	Syat.g_00114
OG0000595	Syac.g_00977	Syat.g_00115
OG0000596	Syac.g_00982	Syat.g_00129
OG0000597	Syac.g_00985	Syat.g_00132
OG0000598	Syac.g_00986	Syat.g_00133
OG0000599	Syac.g_00989	Syat.g_00381
OG0000600	Syac.g_00990	Syat.g_00380
OG0000601	Syac.g_00991	Syat.g_00379
OG0000602	Syac.g_00996	Syat.g_00375
OG0000603	Syac.g_00997	Syat.g_00374
OG0000604	Syac.g_01001	Syat.g_00372
OG0000605	Syac.g_01089	Syat.g_00370
OG0000606	Syac.g_01434	Syat.g_00367
