Orthogroup	Syac	Prbb
OG0000099	Syac.g_00234	Prbb.g_00388
OG0000100	Syac.g_01309	Prbb.g_01763
OG0000101	Syac.g_02094	Prbb.g_02001
OG0000102	Syac.g_00151	Prbb.g_02066
OG0000103	Syac.g_02476	Prbb.g_02174
OG0000104	Syac.g_02490	Prbb.g_02185
OG0000105	Syac.g_02245	Prbb.g_00327
OG0000106	Syac.g_01098	Prbb.g_01197, Prbb.g_01329
OG0000107	Syac.g_02191	Prbb.g_01923
OG0000108	Syac.g_01904	Prbb.g_00484, Prbb.g_00485
OG0000109	Syac.g_01889	Prbb.g_00498
OG0000110	Syac.g_01778	Prbb.g_00578
OG0000111	Syac.g_00893	Prbb.g_00707
OG0000112	Syac.g_01173	Prbb.g_00983
OG0000113	Syac.g_01314	Prbb.g_00807, Prbb.g_01218
OG0000114	Syac.g_01394	Prbb.g_00932
OG0000115	Syac.g_01655	Prbb.g_01780
OG0000116	Syac.g_00753	Prbb.g_01528
OG0000117	Syac.g_01477	Prbb.g_01399
OG0000118	Syac.g_01728	Prbb.g_01598
OG0000120	Syac.g_00233	Prbb.g_00678
OG0000121	Syac.g_01635	Prbb.g_01688
OG0000122	Syac.g_01013	Prbb.g_01727
OG0000123	Syac.g_02086	Prbb.g_02008
OG0000125	Syac.g_02360	Prbb.g_02131
OG0000126	Syac.g_02488	Prbb.g_02183
OG0000127	Syac.g_01547	Prbb.g_01346
OG0000128	Syac.g_00012	Prbb.g_00012
OG0000129	Syac.g_02349	Prbb.g_00059
OG0000130	Syac.g_00450	Prbb.g_00124
OG0000131	Syac.g_00330	Prbb.g_00202
OG0000132	Syac.g_00310	Prbb.g_00221
OG0000133	Syac.g_01178	Prbb.g_00373
OG0000134	Syac.g_01985	Prbb.g_00418
OG0000135	Syac.g_02398	Prbb.g_01326
OG0000136	Syac.g_00701	Prbb.g_00446
OG0000137	Syac.g_01700	Prbb.g_00478
OG0000138	Syac.g_01888	Prbb.g_00499
OG0000139	Syac.g_01830	Prbb.g_00540
OG0000140	Syac.g_01829	Prbb.g_00541
OG0000141	Syac.g_00934	Prbb.g_00608
OG0000142	Syac.g_00979	Prbb.g_00636
OG0000143	Syac.g_00983	Prbb.g_00640
OG0000144	Syac.g_01090	Prbb.g_00653
OG0000145	Syac.g_01882	Prbb.g_01099
OG0000146	Syac.g_01172	Prbb.g_00982
OG0000147	Syac.g_01171	Prbb.g_00981
OG0000148	Syac.g_01320	Prbb.g_00801
OG0000149	Syac.g_00832	Prbb.g_00832
OG0000150	Syac.g_00935	Prbb.g_00840
OG0000151	Syac.g_01383	Prbb.g_00943
OG0000152	Syac.g_01182	Prbb.g_00991
OG0000153	Syac.g_01217	Prbb.g_01009
OG0000154	Syac.g_01241	Prbb.g_01040
OG0000155	Syac.g_00804	Prbb.g_01495
OG0000156	Syac.g_00743	Prbb.g_01575
OG0000157	Syac.g_00742	Prbb.g_01576
OG0000158	Syac.g_00182	Prbb.g_02044
OG0000160	Syac.g_01633	Prbb.g_01687
OG0000161	Syac.g_01641	Prbb.g_01693
OG0000162	Syac.g_01648	Prbb.g_01699
OG0000163	Syac.g_00619	Prbb.g_01735
OG0000164	Syac.g_00508	Prbb.g_01845
OG0000165	Syac.g_00674	Prbb.g_01853
OG0000166	Syac.g_02132	Prbb.g_01964
OG0000167	Syac.g_00194	Prbb.g_02034
OG0000168	Syac.g_00179	Prbb.g_02045
OG0000169	Syac.g_00168	Prbb.g_02055
OG0000170	Syac.g_00161	Prbb.g_02057
OG0000171	Syac.g_00136	Prbb.g_02078
OG0000172	Syac.g_00084	Prbb.g_02101
OG0000173	Syac.g_00057	Prbb.g_02116
OG0000174	Syac.g_02401	Prbb.g_02147
OG0000175	Syac.g_02465	Prbb.g_02165
OG0000176	Syac.g_00004	Prbb.g_00004
OG0000177	Syac.g_00005	Prbb.g_00005
OG0000178	Syac.g_00006	Prbb.g_00007, Prbb.g_00006
OG0000179	Syac.g_00019	Prbb.g_00017
OG0000180	Syac.g_00020	Prbb.g_00018
OG0000181	Syac.g_00021	Prbb.g_00019
OG0000182	Syac.g_00022	Prbb.g_00020
OG0000183	Syac.g_00026	Prbb.g_00024
OG0000184	Syac.g_02339	Prbb.g_00061
OG0000185	Syac.g_02336	Prbb.g_00064
OG0000186	Syac.g_00454	Prbb.g_00119
OG0000187	Syac.g_00453	Prbb.g_00120
OG0000188	Syac.g_00433	Prbb.g_00137
OG0000189	Syac.g_00408	Prbb.g_00151
OG0000190	Syac.g_00406	Prbb.g_00152
OG0000191	Syac.g_00373	Prbb.g_00175
OG0000192	Syac.g_00368	Prbb.g_00179
OG0000193	Syac.g_00329	Prbb.g_00203
OG0000194	Syac.g_00326	Prbb.g_00206
OG0000195	Syac.g_00324	Prbb.g_00208
OG0000196	Syac.g_00313	Prbb.g_00218
OG0000197	Syac.g_00312	Prbb.g_00219
OG0000198	Syac.g_00311	Prbb.g_00220
OG0000199	Syac.g_00303	Prbb.g_00227
OG0000200	Syac.g_02261	Prbb.g_00240
OG0000201	Syac.g_02278	Prbb.g_00249
OG0000202	Syac.g_02279	Prbb.g_00250
OG0000203	Syac.g_02280	Prbb.g_00251
OG0000204	Syac.g_02281	Prbb.g_00252
OG0000205	Syac.g_02288	Prbb.g_00259
OG0000206	Syac.g_02297	Prbb.g_00263
OG0000207	Syac.g_02300	Prbb.g_00265
OG0000208	Syac.g_02301	Prbb.g_00266
OG0000209	Syac.g_02316	Prbb.g_00275
OG0000210	Syac.g_02317	Prbb.g_00276
OG0000211	Syac.g_01972	Prbb.g_00290
OG0000212	Syac.g_01963	Prbb.g_00298
OG0000213	Syac.g_02219	Prbb.g_00313
OG0000214	Syac.g_02236	Prbb.g_00321
OG0000215	Syac.g_00281	Prbb.g_00344
OG0000216	Syac.g_00277	Prbb.g_00345
OG0000217	Syac.g_00273	Prbb.g_00348
OG0000218	Syac.g_00271	Prbb.g_00350
OG0000219	Syac.g_00270	Prbb.g_00351
OG0000220	Syac.g_00269	Prbb.g_00352
OG0000221	Syac.g_00261	Prbb.g_00353
OG0000222	Syac.g_00247	Prbb.g_00361
OG0000223	Syac.g_00225	Prbb.g_00374
OG0000224	Syac.g_00217	Prbb.g_00376
OG0000225	Syac.g_02004	Prbb.g_00405
OG0000226	Syac.g_02000	Prbb.g_00409
OG0000227	Syac.g_01998	Prbb.g_00411
OG0000228	Syac.g_01989	Prbb.g_00415
OG0000229	Syac.g_00692	Prbb.g_00441
OG0000230	Syac.g_00694	Prbb.g_00443
OG0000231	Syac.g_00710	Prbb.g_00454
OG0000232	Syac.g_01717	Prbb.g_00462
OG0000233	Syac.g_01713	Prbb.g_00470
OG0000234	Syac.g_01699	Prbb.g_00479
OG0000235	Syac.g_01905	Prbb.g_00483
OG0000236	Syac.g_01890	Prbb.g_00497
OG0000237	Syac.g_01873	Prbb.g_00510
OG0000238	Syac.g_01868	Prbb.g_00516
OG0000239	Syac.g_01852	Prbb.g_00528
OG0000240	Syac.g_01851	Prbb.g_00529
OG0000241	Syac.g_00970	Prbb.g_00533
OG0000242	Syac.g_01839	Prbb.g_00535
OG0000243	Syac.g_01821	Prbb.g_00546
OG0000244	Syac.g_01814	Prbb.g_00550
OG0000245	Syac.g_01811	Prbb.g_00552
OG0000246	Syac.g_01807	Prbb.g_00556
OG0000247	Syac.g_01795	Prbb.g_00566
OG0000248	Syac.g_01792	Prbb.g_00568
OG0000249	Syac.g_01790	Prbb.g_00570
OG0000250	Syac.g_01782	Prbb.g_00575
OG0000251	Syac.g_01757	Prbb.g_00591
OG0000252	Syac.g_01753	Prbb.g_00593
OG0000253	Syac.g_01752	Prbb.g_00595
OG0000254	Syac.g_00939	Prbb.g_00612
OG0000255	Syac.g_00947	Prbb.g_00618
OG0000256	Syac.g_00963	Prbb.g_00628
OG0000257	Syac.g_00969	Prbb.g_00631
OG0000258	Syac.g_00988	Prbb.g_00644
OG0000259	Syac.g_01425	Prbb.g_00661
OG0000260	Syac.g_01422	Prbb.g_00665
OG0000261	Syac.g_01418	Prbb.g_00668
OG0000262	Syac.g_01413	Prbb.g_00673
OG0000263	Syac.g_01497	Prbb.g_00686
OG0000264	Syac.g_00915	Prbb.g_00697, Prbb.g_00698
OG0000265	Syac.g_00673	Prbb.g_00713
OG0000266	Syac.g_01271	Prbb.g_00723
OG0000267	Syac.g_01131	Prbb.g_00736
OG0000268	Syac.g_01132	Prbb.g_00737
OG0000269	Syac.g_01346	Prbb.g_00778
OG0000270	Syac.g_01343	Prbb.g_00781
OG0000271	Syac.g_01335	Prbb.g_00789
OG0000272	Syac.g_01334	Prbb.g_00790
OG0000273	Syac.g_00854	Prbb.g_00814
OG0000274	Syac.g_00853	Prbb.g_00815
OG0000275	Syac.g_00848	Prbb.g_00817
OG0000276	Syac.g_00840	Prbb.g_00823
OG0000277	Syac.g_00839	Prbb.g_00824
OG0000278	Syac.g_00836	Prbb.g_00828
OG0000279	Syac.g_00828	Prbb.g_00835
OG0000280	Syac.g_00814	Prbb.g_01370
OG0000281	Syac.g_02158	Prbb.g_00841
OG0000282	Syac.g_01392	Prbb.g_00934
OG0000283	Syac.g_01142	Prbb.g_00965
OG0000284	Syac.g_01148	Prbb.g_00970
OG0000285	Syac.g_01160	Prbb.g_00975
OG0000286	Syac.g_01181	Prbb.g_00990
OG0000287	Syac.g_01209	Prbb.g_00101
OG0000288	Syac.g_01240	Prbb.g_01039
OG0000289	Syac.g_01254	Prbb.g_01051
OG0000290	Syac.g_00881	Prbb.g_01067
OG0000291	Syac.g_00883	Prbb.g_01069
OG0000292	Syac.g_02487	Prbb.g_01238
OG0000293	Syac.g_00754	Prbb.g_01527
OG0000294	Syac.g_00755	Prbb.g_01526
OG0000295	Syac.g_00796	Prbb.g_01502
OG0000296	Syac.g_00798	Prbb.g_01500
OG0000297	Syac.g_01475	Prbb.g_01491
OG0000298	Syac.g_01476	Prbb.g_01490
OG0000299	Syac.g_01503	Prbb.g_01471
OG0000300	Syac.g_01510	Prbb.g_01468
OG0000301	Syac.g_01511	Prbb.g_01467
OG0000302	Syac.g_01512	Prbb.g_01464
OG0000303	Syac.g_01520	Prbb.g_01459
OG0000304	Syac.g_01526	Prbb.g_01456
OG0000305	Syac.g_00886	Prbb.g_01789
OG0000306	Syac.g_00810	Prbb.g_00845
OG0000307	Syac.g_01924	Prbb.g_01648
OG0000308	Syac.g_01926	Prbb.g_01649
OG0000309	Syac.g_01931	Prbb.g_01653
OG0000310	Syac.g_01607	Prbb.g_01671
OG0000311	Syac.g_01611	Prbb.g_01673
OG0000312	Syac.g_01619	Prbb.g_01676
OG0000313	Syac.g_01638	Prbb.g_01690
OG0000314	Syac.g_01665	Prbb.g_01711
OG0000315	Syac.g_01675	Prbb.g_01721
OG0000316	Syac.g_00601	Prbb.g_01746
OG0000317	Syac.g_00552	Prbb.g_01821
OG0000318	Syac.g_00543	Prbb.g_01824
OG0000319	Syac.g_00525	Prbb.g_01835
OG0000320	Syac.g_00523	Prbb.g_01837
OG0000321	Syac.g_00522	Prbb.g_01838
OG0000322	Syac.g_00521	Prbb.g_01839
OG0000323	Syac.g_00506	Prbb.g_01848
OG0000324	Syac.g_00648	Prbb.g_01875
OG0000325	Syac.g_02190	Prbb.g_01924
OG0000326	Syac.g_02183	Prbb.g_01930
OG0000327	Syac.g_02137	Prbb.g_01959
OG0000328	Syac.g_02136	Prbb.g_01960
OG0000329	Syac.g_02119	Prbb.g_01977
OG0000330	Syac.g_02118	Prbb.g_01978
OG0000331	Syac.g_02117	Prbb.g_01979
OG0000332	Syac.g_02103	Prbb.g_01993
OG0000333	Syac.g_02100	Prbb.g_01995
OG0000334	Syac.g_02090	Prbb.g_02004
OG0000335	Syac.g_02085	Prbb.g_02009
OG0000336	Syac.g_02081	Prbb.g_02013
OG0000337	Syac.g_00199	Prbb.g_02031
OG0000338	Syac.g_00196	Prbb.g_02032
OG0000339	Syac.g_00190	Prbb.g_02037
OG0000340	Syac.g_00178	Prbb.g_02046
OG0000341	Syac.g_00176	Prbb.g_02048
OG0000342	Syac.g_00175	Prbb.g_02049
OG0000343	Syac.g_00174	Prbb.g_02050
OG0000344	Syac.g_00170	Prbb.g_02053
OG0000345	Syac.g_00160	Prbb.g_02058
OG0000346	Syac.g_00155	Prbb.g_02062
OG0000347	Syac.g_00129	Prbb.g_02082
OG0000348	Syac.g_00070, Syac.g_00074	Prbb.g_02104
OG0000349	Syac.g_00050	Prbb.g_02122
OG0000350	Syac.g_02176	Prbb.g_02143
OG0000351	Syac.g_02468	Prbb.g_02168
OG0000352	Syac.g_02469	Prbb.g_02169
OG0000353	Syac.g_02493	Prbb.g_02188
OG0000355	Syac.g_00001	Prbb.g_00001
OG0000356	Syac.g_00002	Prbb.g_00002
OG0000357	Syac.g_00003	Prbb.g_00003
OG0000358	Syac.g_00007	Prbb.g_00008
OG0000359	Syac.g_00009	Prbb.g_00009
OG0000360	Syac.g_00010	Prbb.g_00010
OG0000361	Syac.g_00011	Prbb.g_00011
OG0000362	Syac.g_00013	Prbb.g_00013
OG0000363	Syac.g_00015	Prbb.g_00015
OG0000364	Syac.g_00016	Prbb.g_00016
OG0000365	Syac.g_00023	Prbb.g_00021
OG0000366	Syac.g_00024	Prbb.g_00022
OG0000367	Syac.g_00025	Prbb.g_00023
OG0000368	Syac.g_00027	Prbb.g_00025
OG0000369	Syac.g_00028	Prbb.g_00026
OG0000370	Syac.g_00029	Prbb.g_00027
OG0000371	Syac.g_00036	Prbb.g_00033
OG0000372	Syac.g_00041	Prbb.g_00035
OG0000373	Syac.g_00042	Prbb.g_00036
OG0000374	Syac.g_00043	Prbb.g_00037
OG0000375	Syac.g_00046	Prbb.g_00055
OG0000376	Syac.g_00048	Prbb.g_00057
OG0000377	Syac.g_02346	Prbb.g_00060
OG0000378	Syac.g_02338	Prbb.g_00062
OG0000379	Syac.g_02335	Prbb.g_00065
OG0000380	Syac.g_00452	Prbb.g_00121
OG0000381	Syac.g_00449	Prbb.g_00125
OG0000382	Syac.g_00434	Prbb.g_00136
OG0000383	Syac.g_00432	Prbb.g_00138
OG0000384	Syac.g_00431	Prbb.g_00139
OG0000385	Syac.g_00430	Prbb.g_00140
OG0000386	Syac.g_00429	Prbb.g_00141
OG0000387	Syac.g_00404	Prbb.g_00154
OG0000388	Syac.g_00401	Prbb.g_00158
OG0000389	Syac.g_00397	Prbb.g_00161
OG0000390	Syac.g_00379	Prbb.g_00170
OG0000391	Syac.g_00374	Prbb.g_00174
OG0000392	Syac.g_00369	Prbb.g_00177
OG0000393	Syac.g_00366	Prbb.g_00180
OG0000394	Syac.g_00365	Prbb.g_00181
OG0000395	Syac.g_00364	Prbb.g_00182
OG0000396	Syac.g_00361	Prbb.g_00185
OG0000397	Syac.g_00359	Prbb.g_00187
OG0000398	Syac.g_00354	Prbb.g_00190
OG0000399	Syac.g_00353	Prbb.g_00191
OG0000400	Syac.g_00352	Prbb.g_00192
OG0000401	Syac.g_00351	Prbb.g_00193
OG0000402	Syac.g_00348	Prbb.g_01101
OG0000403	Syac.g_00347	Prbb.g_00194
OG0000404	Syac.g_00345	Prbb.g_00195
OG0000405	Syac.g_00332	Prbb.g_00200
OG0000406	Syac.g_00328	Prbb.g_00204
OG0000407	Syac.g_00327	Prbb.g_00205
OG0000408	Syac.g_00325	Prbb.g_00207
OG0000409	Syac.g_00323	Prbb.g_00209
OG0000410	Syac.g_00322	Prbb.g_00210
OG0000411	Syac.g_00321	Prbb.g_00211
OG0000412	Syac.g_00320	Prbb.g_00212
OG0000413	Syac.g_00318	Prbb.g_00213
OG0000414	Syac.g_00317	Prbb.g_00214
OG0000415	Syac.g_00316	Prbb.g_00215
OG0000416	Syac.g_00315	Prbb.g_00216
OG0000417	Syac.g_00314	Prbb.g_00217
OG0000418	Syac.g_00309	Prbb.g_00222
OG0000419	Syac.g_00307	Prbb.g_00224
OG0000420	Syac.g_00305	Prbb.g_00225
OG0000421	Syac.g_00300	Prbb.g_00229
OG0000422	Syac.g_00299	Prbb.g_00230
OG0000423	Syac.g_00298	Prbb.g_00231
OG0000424	Syac.g_00297	Prbb.g_00232
OG0000425	Syac.g_00296	Prbb.g_00233
OG0000426	Syac.g_00295	Prbb.g_00234
OG0000427	Syac.g_00294	Prbb.g_00235
OG0000428	Syac.g_02257	Prbb.g_00237
OG0000429	Syac.g_02259	Prbb.g_00238
OG0000430	Syac.g_02260	Prbb.g_00239
OG0000431	Syac.g_02264	Prbb.g_00241
OG0000432	Syac.g_02270	Prbb.g_00245
OG0000433	Syac.g_02272	Prbb.g_00246
OG0000434	Syac.g_02273	Prbb.g_00247
OG0000435	Syac.g_02277	Prbb.g_00248
OG0000436	Syac.g_02282	Prbb.g_00253
OG0000437	Syac.g_02283	Prbb.g_00254
OG0000438	Syac.g_02284	Prbb.g_00255
OG0000439	Syac.g_02286	Prbb.g_00257
OG0000440	Syac.g_02287	Prbb.g_00258
OG0000441	Syac.g_02294	Prbb.g_00260
OG0000442	Syac.g_02295	Prbb.g_00261
OG0000443	Syac.g_02296	Prbb.g_00262
OG0000444	Syac.g_02303	Prbb.g_00267
OG0000445	Syac.g_02304	Prbb.g_00268
OG0000446	Syac.g_02305	Prbb.g_00269
OG0000447	Syac.g_02308	Prbb.g_00270
OG0000448	Syac.g_02309	Prbb.g_00271
OG0000449	Syac.g_02310	Prbb.g_00272
OG0000450	Syac.g_02313	Prbb.g_00273
OG0000451	Syac.g_02314	Prbb.g_00274
OG0000452	Syac.g_02318	Prbb.g_00277
OG0000453	Syac.g_02319	Prbb.g_00278
OG0000454	Syac.g_02320	Prbb.g_00279
OG0000455	Syac.g_02321	Prbb.g_00280
OG0000456	Syac.g_02322	Prbb.g_00281
OG0000457	Syac.g_02324	Prbb.g_00282
OG0000458	Syac.g_02325	Prbb.g_00283
OG0000459	Syac.g_02326	Prbb.g_00284
OG0000460	Syac.g_01970	Prbb.g_00292
OG0000461	Syac.g_02198	Prbb.g_00300
OG0000462	Syac.g_02201	Prbb.g_00302
OG0000463	Syac.g_02202	Prbb.g_00303
OG0000464	Syac.g_02203	Prbb.g_00304
OG0000465	Syac.g_02204	Prbb.g_00305
OG0000466	Syac.g_02208	Prbb.g_00306
OG0000467	Syac.g_02210	Prbb.g_00307
OG0000468	Syac.g_02216	Prbb.g_00309
OG0000469	Syac.g_02230	Prbb.g_00316
OG0000470	Syac.g_02232	Prbb.g_00318
OG0000471	Syac.g_02233	Prbb.g_00319
OG0000472	Syac.g_02235	Prbb.g_00320
OG0000473	Syac.g_02237	Prbb.g_00322
OG0000474	Syac.g_02238	Prbb.g_00323
OG0000475	Syac.g_02239	Prbb.g_00324
OG0000476	Syac.g_02241	Prbb.g_00326
OG0000477	Syac.g_02247	Prbb.g_00328
OG0000478	Syac.g_02248	Prbb.g_00329
OG0000479	Syac.g_02249	Prbb.g_00330
OG0000480	Syac.g_00293	Prbb.g_00334
OG0000481	Syac.g_00291	Prbb.g_00336
OG0000482	Syac.g_00290	Prbb.g_00337
OG0000483	Syac.g_00286	Prbb.g_00340
OG0000484	Syac.g_00285	Prbb.g_00341
OG0000485	Syac.g_00284	Prbb.g_00342
OG0000486	Syac.g_00283	Prbb.g_00343
OG0000487	Syac.g_00276	Prbb.g_00346
OG0000488	Syac.g_00272	Prbb.g_00349
OG0000489	Syac.g_00260	Prbb.g_00354
OG0000490	Syac.g_00249	Prbb.g_00359
OG0000491	Syac.g_00248	Prbb.g_00360
OG0000492	Syac.g_00246	Prbb.g_00362
OG0000493	Syac.g_00245	Prbb.g_00363
OG0000494	Syac.g_00244	Prbb.g_00364
OG0000495	Syac.g_00243	Prbb.g_00365
OG0000496	Syac.g_00242	Prbb.g_00366
OG0000497	Syac.g_00241	Prbb.g_00367
OG0000498	Syac.g_00240	Prbb.g_00368
OG0000499	Syac.g_00239	Prbb.g_00369
OG0000500	Syac.g_00238	Prbb.g_00370
OG0000501	Syac.g_00235	Prbb.g_00372
OG0000502	Syac.g_00223	Prbb.g_00375
OG0000503	Syac.g_02020	Prbb.g_00394
OG0000504	Syac.g_02018	Prbb.g_00396
OG0000505	Syac.g_02017	Prbb.g_00397
OG0000506	Syac.g_02015	Prbb.g_00398
OG0000507	Syac.g_02009	Prbb.g_00401
OG0000508	Syac.g_02005	Prbb.g_00404
OG0000509	Syac.g_02003	Prbb.g_00406
OG0000510	Syac.g_02002	Prbb.g_00407
OG0000511	Syac.g_02001	Prbb.g_00408
OG0000512	Syac.g_01999	Prbb.g_00410
OG0000513	Syac.g_01984	Prbb.g_00419
OG0000514	Syac.g_01977	Prbb.g_00436
OG0000515	Syac.g_01976	Prbb.g_00437
OG0000516	Syac.g_00697	Prbb.g_00438
OG0000517	Syac.g_00691	Prbb.g_00440
OG0000518	Syac.g_00707	Prbb.g_00451
OG0000519	Syac.g_00708	Prbb.g_00452
OG0000520	Syac.g_00709	Prbb.g_00453
OG0000521	Syac.g_01721	Prbb.g_00458
OG0000522	Syac.g_01719	Prbb.g_00460
OG0000523	Syac.g_01718	Prbb.g_00461
OG0000524	Syac.g_01716	Prbb.g_00468
OG0000525	Syac.g_01709	Prbb.g_00472
OG0000526	Syac.g_01706	Prbb.g_00473
OG0000527	Syac.g_01702	Prbb.g_00476
OG0000528	Syac.g_01911	Prbb.g_00482
OG0000529	Syac.g_01903	Prbb.g_00486
OG0000530	Syac.g_01900	Prbb.g_00489
OG0000531	Syac.g_01899	Prbb.g_00490
OG0000532	Syac.g_01896	Prbb.g_00491
OG0000533	Syac.g_01895	Prbb.g_00492
OG0000534	Syac.g_01894	Prbb.g_00493
OG0000535	Syac.g_01893	Prbb.g_00494
OG0000536	Syac.g_01892	Prbb.g_00495
OG0000537	Syac.g_01891	Prbb.g_00496
OG0000538	Syac.g_01880	Prbb.g_00504
OG0000539	Syac.g_01879	Prbb.g_00505
OG0000540	Syac.g_01878	Prbb.g_00506
OG0000541	Syac.g_01877	Prbb.g_00507
OG0000542	Syac.g_01874	Prbb.g_00509
OG0000543	Syac.g_01872	Prbb.g_00511
OG0000544	Syac.g_01871	Prbb.g_00512
OG0000545	Syac.g_01869	Prbb.g_00514
OG0000546	Syac.g_01867	Prbb.g_00517
OG0000547	Syac.g_01865	Prbb.g_00519
OG0000548	Syac.g_01864	Prbb.g_00520
OG0000549	Syac.g_01858	Prbb.g_00523
OG0000550	Syac.g_01854	Prbb.g_00527
OG0000551	Syac.g_01849	Prbb.g_00530
OG0000552	Syac.g_01848	Prbb.g_00531
OG0000553	Syac.g_01846	Prbb.g_00532
