Orthogroup	Prak	Syaq
OG0000039	Prak.g_00814	Syaq.g_01601, Syaq.g_01241
OG0000042	Prak.g_01850	Syaq.g_00200, Syaq.g_01044
OG0000045	Prak.g_01216	Syaq.g_02047
OG0000046	Prak.g_00344	Syaq.g_00570, Syaq.g_00573
OG0000048	Prak.g_01264, Prak.g_00289	Syaq.g_00749
OG0000052	Prak.g_01369	Syaq.g_00969
OG0000053	Prak.g_01590, Prak.g_01412	Syaq.g_00397
OG0000054	Prak.g_00568	Syaq.g_02005
OG0000055	Prak.g_01221	Syaq.g_02700
OG0000057	Prak.g_00829	Syaq.g_02605
OG0000058	Prak.g_01351	Syaq.g_00944
OG0000059	Prak.g_01732	Syaq.g_00657
OG0000061	Prak.g_01172	Syaq.g_00249
OG0000062	Prak.g_01476	Syaq.g_01690
OG0000063	Prak.g_01530	Syaq.g_01110
OG0000064	Prak.g_00072	Syaq.g_02138
OG0000065	Prak.g_00113	Syaq.g_01908, Syaq.g_01487
OG0000066	Prak.g_00498, Prak.g_01557	Syaq.g_01851
OG0000067	Prak.g_00845	Syaq.g_02340
OG0000068	Prak.g_01329	Syaq.g_01763
OG0000070	Prak.g_00412	Syaq.g_00484
OG0000071	Prak.g_01277	Syaq.g_00297
OG0000072	Prak.g_00183	Syaq.g_01397
OG0000073	Prak.g_00461	Syaq.g_01795
OG0000075	Prak.g_01816	Syaq.g_00986
OG0000076	Prak.g_01842	Syaq.g_01028
OG0000077	Prak.g_00083	Syaq.g_01547
OG0000078	Prak.g_00256	Syaq.g_01585
OG0000079	Prak.g_00269	Syaq.g_00721
OG0000081	Prak.g_00490	Syaq.g_01893
OG0000082	Prak.g_00546, Prak.g_01634	Syaq.g_01975
OG0000084	Prak.g_01388	Syaq.g_00367
OG0000085	Prak.g_01637, Prak.g_01516	Syaq.g_01683
OG0000086	Prak.g_00092	Syaq.g_01525
OG0000087	Prak.g_00147	Syaq.g_01438
OG0000088	Prak.g_00178	Syaq.g_01402
OG0000089	Prak.g_00379	Syaq.g_00529
OG0000090	Prak.g_00492	Syaq.g_01838
OG0000091	Prak.g_01100	Syaq.g_02090
OG0000094	Prak.g_01022	Syaq.g_02554
OG0000097	Prak.g_01126	Syaq.g_00167
OG0000098	Prak.g_01305	Syaq.g_02221
OG0000099	Prak.g_01352	Syaq.g_00882
OG0000100	Prak.g_01470	Syaq.g_02371
OG0000101	Prak.g_01780	Syaq.g_00607
OG0000102	Prak.g_01847	Syaq.g_01033
OG0000103	Prak.g_01932	Syaq.g_01170
OG0000104	Prak.g_01941	Syaq.g_01154
OG0000105	Prak.g_00292	Syaq.g_00754
OG0000106	Prak.g_00687	Syaq.g_01863
OG0000108	Prak.g_00441	Syaq.g_01772
OG0000109	Prak.g_00455	Syaq.g_01788
OG0000110	Prak.g_00535	Syaq.g_01962
OG0000111	Prak.g_00830	Syaq.g_02606
OG0000112	Prak.g_00608	Syaq.g_02476
OG0000114	Prak.g_00770	Syaq.g_02269
OG0000115	Prak.g_01241	Syaq.g_00395
OG0000116	Prak.g_01183	Syaq.g_00263
OG0000117	Prak.g_01145	Syaq.g_00203
OG0000118	Prak.g_01290	Syaq.g_00325, Syaq.g_00316
OG0000120	Prak.g_01349	Syaq.g_00883
OG0000121	Prak.g_01393	Syaq.g_00375
OG0000122	Prak.g_01248, Prak.g_01434	Syaq.g_02118
OG0000123	Prak.g_01787	Syaq.g_00599
OG0000124	Prak.g_01859	Syaq.g_01055
OG0000125	Prak.g_01895	Syaq.g_01256
OG0000126	Prak.g_01940	Syaq.g_01156
OG0000128	Prak.g_00011	Syaq.g_01138
OG0000129	Prak.g_00045	Syaq.g_01269
OG0000130	Prak.g_00074	Syaq.g_01559
OG0000131	Prak.g_00156	Syaq.g_01427, Syaq.g_01424
OG0000132	Prak.g_00176	Syaq.g_01404
OG0000133	Prak.g_00339	Syaq.g_02481
OG0000134	Prak.g_00381	Syaq.g_00526
OG0000135	Prak.g_01259	Syaq.g_01227
OG0000136	Prak.g_00403	Syaq.g_00496
OG0000137	Prak.g_00436	Syaq.g_00442
OG0000138	Prak.g_00456	Syaq.g_01789
OG0000139	Prak.g_00496	Syaq.g_01844
OG0000140	Prak.g_00497	Syaq.g_01848
OG0000141	Prak.g_00569	Syaq.g_02010
OG0000142	Prak.g_01108	Syaq.g_02082
OG0000143	Prak.g_01104	Syaq.g_02086
OG0000144	Prak.g_01090	Syaq.g_02152
OG0000145	Prak.g_01261	Syaq.g_01796
OG0000146	Prak.g_00607	Syaq.g_02475
OG0000147	Prak.g_00606	Syaq.g_02474
OG0000148	Prak.g_00862	Syaq.g_02359
OG0000149	Prak.g_00894	Syaq.g_02395
OG0000150	Prak.g_00904	Syaq.g_02011
OG0000151	Prak.g_00780	Syaq.g_02283
OG0000152	Prak.g_00973	Syaq.g_02485
OG0000153	Prak.g_00992	Syaq.g_02518
OG0000154	Prak.g_01012	Syaq.g_00066
OG0000155	Prak.g_01151	Syaq.g_00212
OG0000156	Prak.g_01266	Syaq.g_00281
OG0000157	Prak.g_01267	Syaq.g_00282
OG0000158	Prak.g_01824	Syaq.g_01003
OG0000159	Prak.g_00065	Syaq.g_00918, Syaq.g_00941
OG0000160	Prak.g_01392	Syaq.g_00374
OG0000161	Prak.g_01398	Syaq.g_00382
OG0000162	Prak.g_01404	Syaq.g_00389
OG0000163	Prak.g_01443	Syaq.g_01730
OG0000164	Prak.g_01669	Syaq.g_01642
OG0000165	Prak.g_01676	Syaq.g_01630
OG0000166	Prak.g_01743	Syaq.g_00647
OG0000167	Prak.g_01814	Syaq.g_00983
OG0000168	Prak.g_01825	Syaq.g_01004
OG0000169	Prak.g_01835	Syaq.g_01016
OG0000170	Prak.g_01838	Syaq.g_01023
OG0000171	Prak.g_01858	Syaq.g_01052
OG0000172	Prak.g_01865	Syaq.g_01074
OG0000173	Prak.g_01880	Syaq.g_01092
OG0000174	Prak.g_01910	Syaq.g_01224
OG0000175	Prak.g_01923	Syaq.g_01183
OG0000176	Prak.g_00004	Syaq.g_01146
OG0000177	Prak.g_00005	Syaq.g_01145
OG0000178	Prak.g_00006	Syaq.g_01144
OG0000179	Prak.g_00016	Syaq.g_01129
OG0000180	Prak.g_00017	Syaq.g_01128
OG0000181	Prak.g_00018	Syaq.g_01127
OG0000182	Prak.g_00019	Syaq.g_01126
OG0000183	Prak.g_00023	Syaq.g_01122
OG0000184	Prak.g_00049	Syaq.g_01277
OG0000185	Prak.g_00052	Syaq.g_01290
OG0000186	Prak.g_00068	Syaq.g_01563
OG0000187	Prak.g_00069	Syaq.g_01561
OG0000188	Prak.g_00086	Syaq.g_01539
OG0000189	Prak.g_00100	Syaq.g_01499
OG0000190	Prak.g_00102	Syaq.g_01497
OG0000191	Prak.g_00125	Syaq.g_01467
OG0000192	Prak.g_00130	Syaq.g_01462
OG0000193	Prak.g_00157	Syaq.g_01423
OG0000194	Prak.g_00160	Syaq.g_01420
OG0000195	Prak.g_00162	Syaq.g_01418
OG0000196	Prak.g_00173	Syaq.g_01407
OG0000197	Prak.g_00174	Syaq.g_01406
OG0000198	Prak.g_00175	Syaq.g_01405
OG0000199	Prak.g_00182	Syaq.g_01398
OG0000200	Prak.g_00196	Syaq.g_01382
OG0000201	Prak.g_00205	Syaq.g_01365
OG0000202	Prak.g_00206	Syaq.g_01364
OG0000203	Prak.g_00207	Syaq.g_01363
OG0000204	Prak.g_00208	Syaq.g_01362
OG0000205	Prak.g_00215	Syaq.g_01355
OG0000206	Prak.g_00220	Syaq.g_01345
OG0000207	Prak.g_00223	Syaq.g_01338
OG0000208	Prak.g_00224	Syaq.g_01337
OG0000209	Prak.g_00233	Syaq.g_01310
OG0000210	Prak.g_00234	Syaq.g_01309
OG0000211	Prak.g_00249	Syaq.g_01570
OG0000212	Prak.g_00257	Syaq.g_01586
OG0000213	Prak.g_00275	Syaq.g_00729
OG0000214	Prak.g_00285	Syaq.g_00745
OG0000215	Prak.g_00312	Syaq.g_00777
OG0000216	Prak.g_00313	Syaq.g_00781
OG0000217	Prak.g_00316	Syaq.g_00844
OG0000218	Prak.g_00318	Syaq.g_00846
OG0000219	Prak.g_00319	Syaq.g_00847
OG0000220	Prak.g_00320	Syaq.g_00848
OG0000221	Prak.g_00321	Syaq.g_00856
OG0000222	Prak.g_00328	Syaq.g_00868
OG0000223	Prak.g_00340	Syaq.g_00946
OG0000224	Prak.g_00342	Syaq.g_00950
OG0000225	Prak.g_00368	Syaq.g_00543
OG0000226	Prak.g_00372	Syaq.g_00536
OG0000227	Prak.g_00374	Syaq.g_00534
OG0000228	Prak.g_00378	Syaq.g_00531
OG0000229	Prak.g_00398	Syaq.g_00501
OG0000230	Prak.g_00400	Syaq.g_00499
OG0000231	Prak.g_00411	Syaq.g_00485
OG0000232	Prak.g_00422	Syaq.g_00472
OG0000233	Prak.g_00428	Syaq.g_00464
OG0000234	Prak.g_00437	Syaq.g_00440
OG0000235	Prak.g_00440	Syaq.g_01771
OG0000236	Prak.g_00454	Syaq.g_01787
OG0000237	Prak.g_00467	Syaq.g_01805
OG0000238	Prak.g_00473	Syaq.g_01810
OG0000239	Prak.g_00484	Syaq.g_01826
OG0000240	Prak.g_00485	Syaq.g_01827
OG0000241	Prak.g_00489	Syaq.g_02074
OG0000242	Prak.g_00491	Syaq.g_01836
OG0000243	Prak.g_00502	Syaq.g_01922
OG0000244	Prak.g_00506	Syaq.g_01928
OG0000245	Prak.g_00508	Syaq.g_01930
OG0000246	Prak.g_00512	Syaq.g_01934
OG0000247	Prak.g_00522	Syaq.g_01945
OG0000248	Prak.g_00525	Syaq.g_01948
OG0000249	Prak.g_00527	Syaq.g_01950
OG0000250	Prak.g_00532	Syaq.g_01958
OG0000251	Prak.g_00552	Syaq.g_01984
OG0000252	Prak.g_00555	Syaq.g_01987
OG0000253	Prak.g_00556	Syaq.g_01989
OG0000254	Prak.g_00573	Syaq.g_02016
OG0000255	Prak.g_00579	Syaq.g_02041
OG0000256	Prak.g_00589	Syaq.g_02068
OG0000257	Prak.g_01113	Syaq.g_02073
OG0000258	Prak.g_01099	Syaq.g_02095
OG0000259	Prak.g_01082	Syaq.g_02239
OG0000260	Prak.g_01079	Syaq.g_02242
OG0000261	Prak.g_01076	Syaq.g_02245
OG0000262	Prak.g_01072	Syaq.g_02250
OG0000263	Prak.g_00808	Syaq.g_00185
OG0000264	Prak.g_00819	Syaq.g_02582
OG0000266	Prak.g_01053	Syaq.g_00037
OG0000267	Prak.g_01041	Syaq.g_02430
OG0000268	Prak.g_01040	Syaq.g_02431
OG0000269	Prak.g_00840	Syaq.g_02335
OG0000270	Prak.g_00843	Syaq.g_02338
OG0000271	Prak.g_00851	Syaq.g_02346
OG0000272	Prak.g_00852	Syaq.g_02347
OG0000273	Prak.g_00876	Syaq.g_02376
OG0000274	Prak.g_00877	Syaq.g_02377
OG0000275	Prak.g_00880	Syaq.g_02380
OG0000276	Prak.g_00886	Syaq.g_02387
OG0000277	Prak.g_00887	Syaq.g_02388
OG0000278	Prak.g_00890	Syaq.g_02391
OG0000279	Prak.g_00897	Syaq.g_02401
OG0000280	Prak.g_00898	Syaq.g_02410
OG0000281	Prak.g_00905	Syaq.g_02224
OG0000282	Prak.g_00772	Syaq.g_02271
OG0000283	Prak.g_00949	Syaq.g_02445
OG0000284	Prak.g_00954	Syaq.g_02450
OG0000285	Prak.g_00959	Syaq.g_02466
OG0000286	Prak.g_00972	Syaq.g_02484
OG0000287	Prak.g_01238	Syaq.g_02511
OG0000288	Prak.g_01011	Syaq.g_00067
OG0000289	Prak.g_01027	Syaq.g_00053
OG0000290	Prak.g_00923	Syaq.g_02682
OG0000291	Prak.g_00921	Syaq.g_02680
OG0000292	Prak.g_01217	Syaq.g_01157
OG0000293	Prak.g_01182	Syaq.g_00262
OG0000294	Prak.g_01181	Syaq.g_00261
OG0000295	Prak.g_01158	Syaq.g_00220
OG0000296	Prak.g_01156	Syaq.g_00218
OG0000297	Prak.g_01147	Syaq.g_00205
OG0000298	Prak.g_01146	Syaq.g_00204
OG0000299	Prak.g_01127	Syaq.g_00171
OG0000300	Prak.g_01124	Syaq.g_00164
OG0000301	Prak.g_01123	Syaq.g_00163
OG0000302	Prak.g_01121	Syaq.g_00162
OG0000303	Prak.g_01115	Syaq.g_00152
OG0000304	Prak.g_00594	Syaq.g_00146
OG0000305	Prak.g_01215	Syaq.g_02677
OG0000306	Prak.g_00909	Syaq.g_01861
OG0000307	Prak.g_01338	Syaq.g_01754
OG0000308	Prak.g_01339	Syaq.g_01752
OG0000309	Prak.g_01343	Syaq.g_01747
OG0000310	Prak.g_01377	Syaq.g_00347
OG0000311	Prak.g_01379	Syaq.g_00352
OG0000312	Prak.g_01382	Syaq.g_00359
OG0000313	Prak.g_01395	Syaq.g_00379
OG0000314	Prak.g_01418	Syaq.g_00408
OG0000315	Prak.g_01428	Syaq.g_00418
OG0000316	Prak.g_01453	Syaq.g_01716
OG0000317	Prak.g_01642	Syaq.g_01675
OG0000318	Prak.g_01646	Syaq.g_01672
OG0000319	Prak.g_01659	Syaq.g_01657
OG0000320	Prak.g_01661	Syaq.g_01655
OG0000321	Prak.g_01662	Syaq.g_01654
OG0000322	Prak.g_01663	Syaq.g_01653
OG0000323	Prak.g_01672	Syaq.g_01638
OG0000324	Prak.g_01699	Syaq.g_01605
OG0000325	Prak.g_01710	Syaq.g_00693
OG0000326	Prak.g_01717	Syaq.g_00686
OG0000327	Prak.g_01738	Syaq.g_00652
OG0000328	Prak.g_01739	Syaq.g_00651
OG0000329	Prak.g_01756	Syaq.g_00633
OG0000330	Prak.g_01757	Syaq.g_00632
OG0000331	Prak.g_01758	Syaq.g_00631
OG0000332	Prak.g_01772	Syaq.g_00616
OG0000333	Prak.g_01774	Syaq.g_00613
OG0000334	Prak.g_01783	Syaq.g_00603
OG0000335	Prak.g_01788	Syaq.g_00598
OG0000336	Prak.g_01792	Syaq.g_00594
OG0000337	Prak.g_01810	Syaq.g_00975
OG0000338	Prak.g_01811	Syaq.g_00981
OG0000339	Prak.g_01817	Syaq.g_00988
OG0000340	Prak.g_01826	Syaq.g_01005
OG0000341	Prak.g_01828	Syaq.g_01007
OG0000342	Prak.g_01829	Syaq.g_01008
OG0000343	Prak.g_01830	Syaq.g_01010
OG0000344	Prak.g_01833	Syaq.g_01014
OG0000345	Prak.g_01839	Syaq.g_01024
OG0000346	Prak.g_01843	Syaq.g_01029
OG0000347	Prak.g_01860	Syaq.g_01057
OG0000348	Prak.g_01868	Syaq.g_01070
OG0000349	Prak.g_01886	Syaq.g_01099
OG0000350	Prak.g_00656	Syaq.g_00679
OG0000351	Prak.g_01926	Syaq.g_01179
OG0000352	Prak.g_01927	Syaq.g_01178
OG0000353	Prak.g_01944	Syaq.g_01151
OG0000355	Prak.g_00001	Syaq.g_01149
OG0000356	Prak.g_00002	Syaq.g_01148
OG0000357	Prak.g_00003	Syaq.g_01147
OG0000358	Prak.g_00007	Syaq.g_01143
OG0000359	Prak.g_00008	Syaq.g_01141
OG0000360	Prak.g_00009	Syaq.g_01140
OG0000361	Prak.g_00010	Syaq.g_01139
OG0000362	Prak.g_00012	Syaq.g_01137
OG0000363	Prak.g_00014	Syaq.g_01135
OG0000364	Prak.g_00015	Syaq.g_01134
OG0000365	Prak.g_00020	Syaq.g_01125
OG0000366	Prak.g_00021	Syaq.g_01124
OG0000367	Prak.g_00022	Syaq.g_01123
OG0000368	Prak.g_00024	Syaq.g_01121
OG0000369	Prak.g_00025	Syaq.g_01120
OG0000370	Prak.g_00026	Syaq.g_01119
OG0000371	Prak.g_00033	Syaq.g_01111
OG0000372	Prak.g_00036	Syaq.g_01106
OG0000373	Prak.g_00037	Syaq.g_01105
OG0000374	Prak.g_00038	Syaq.g_01104
OG0000375	Prak.g_00040	Syaq.g_01103
OG0000376	Prak.g_00042	Syaq.g_01101
OG0000377	Prak.g_00046	Syaq.g_01270
OG0000378	Prak.g_00050	Syaq.g_01286
OG0000379	Prak.g_00053	Syaq.g_01291
OG0000380	Prak.g_00070	Syaq.g_01560
OG0000381	Prak.g_00075	Syaq.g_01558
OG0000382	Prak.g_00085	Syaq.g_01540
OG0000383	Prak.g_00087	Syaq.g_01535
OG0000384	Prak.g_00088	Syaq.g_01534
OG0000385	Prak.g_00089	Syaq.g_01533
OG0000386	Prak.g_00090	Syaq.g_01532
OG0000387	Prak.g_00104	Syaq.g_01495
OG0000388	Prak.g_00108	Syaq.g_01491
OG0000389	Prak.g_00111	Syaq.g_01488
OG0000390	Prak.g_00121	Syaq.g_01473
OG0000391	Prak.g_00124	Syaq.g_01468
OG0000392	Prak.g_00128	Syaq.g_01463
OG0000393	Prak.g_00131	Syaq.g_01460
OG0000394	Prak.g_00132	Syaq.g_01459
OG0000395	Prak.g_00133	Syaq.g_01458
OG0000396	Prak.g_00135	Syaq.g_01455
OG0000397	Prak.g_00137	Syaq.g_01453
OG0000398	Prak.g_00140	Syaq.g_01448
OG0000399	Prak.g_00141	Syaq.g_01447
OG0000400	Prak.g_00142	Syaq.g_01446
OG0000401	Prak.g_00143	Syaq.g_01445
OG0000402	Prak.g_01035	Syaq.g_01443
OG0000403	Prak.g_00145	Syaq.g_01442
OG0000404	Prak.g_00146	Syaq.g_01440
OG0000405	Prak.g_00150	Syaq.g_01429
OG0000406	Prak.g_00158	Syaq.g_01422
OG0000407	Prak.g_00159	Syaq.g_01421
OG0000408	Prak.g_00161	Syaq.g_01419
OG0000409	Prak.g_00163	Syaq.g_01417
OG0000410	Prak.g_00164	Syaq.g_01416
OG0000411	Prak.g_00165	Syaq.g_01415
OG0000412	Prak.g_00166	Syaq.g_01414
OG0000413	Prak.g_00168	Syaq.g_01412
OG0000414	Prak.g_00169	Syaq.g_01411
OG0000415	Prak.g_00170	Syaq.g_01410
OG0000416	Prak.g_00171	Syaq.g_01409
OG0000417	Prak.g_00172	Syaq.g_01408
OG0000418	Prak.g_00177	Syaq.g_01403
OG0000419	Prak.g_00179	Syaq.g_01401
OG0000420	Prak.g_00180	Syaq.g_01400
OG0000421	Prak.g_00185	Syaq.g_01395
OG0000422	Prak.g_00186	Syaq.g_01394
OG0000423	Prak.g_00187	Syaq.g_01393
OG0000424	Prak.g_00188	Syaq.g_01392
OG0000425	Prak.g_00189	Syaq.g_01391
OG0000426	Prak.g_00190	Syaq.g_01390
OG0000427	Prak.g_00191	Syaq.g_01389
OG0000428	Prak.g_00193	Syaq.g_01386
OG0000429	Prak.g_00194	Syaq.g_01384
OG0000430	Prak.g_00195	Syaq.g_01383
OG0000431	Prak.g_00197	Syaq.g_01380
OG0000432	Prak.g_00201	Syaq.g_01374
OG0000433	Prak.g_00202	Syaq.g_01369
OG0000434	Prak.g_00203	Syaq.g_01368
OG0000435	Prak.g_00204	Syaq.g_01367
OG0000436	Prak.g_00209	Syaq.g_01361
OG0000437	Prak.g_00210	Syaq.g_01360
OG0000438	Prak.g_00211	Syaq.g_01359
OG0000439	Prak.g_00213	Syaq.g_01357
OG0000440	Prak.g_00214	Syaq.g_01356
OG0000441	Prak.g_00217	Syaq.g_01352
OG0000442	Prak.g_00218	Syaq.g_01350
OG0000443	Prak.g_00219	Syaq.g_01347
OG0000444	Prak.g_00225	Syaq.g_01333
OG0000445	Prak.g_00226	Syaq.g_01332
OG0000446	Prak.g_00227	Syaq.g_01330
OG0000447	Prak.g_00228	Syaq.g_01328
OG0000448	Prak.g_00229	Syaq.g_01327
OG0000449	Prak.g_00230	Syaq.g_01320
OG0000450	Prak.g_00231	Syaq.g_01313
OG0000451	Prak.g_00232	Syaq.g_01312
OG0000452	Prak.g_00235	Syaq.g_01308
OG0000453	Prak.g_00236	Syaq.g_01307
OG0000454	Prak.g_00237	Syaq.g_01306
OG0000455	Prak.g_00238	Syaq.g_01305
OG0000456	Prak.g_00239	Syaq.g_01304
OG0000457	Prak.g_00241	Syaq.g_01302
OG0000458	Prak.g_00242	Syaq.g_01299
OG0000459	Prak.g_00243	Syaq.g_01298
OG0000460	Prak.g_00251	Syaq.g_01577
OG0000461	Prak.g_00259	Syaq.g_00707
OG0000462	Prak.g_00261	Syaq.g_00710
OG0000463	Prak.g_00262	Syaq.g_00711
OG0000464	Prak.g_00263	Syaq.g_00712
OG0000465	Prak.g_00264	Syaq.g_00714
OG0000466	Prak.g_00267	Syaq.g_00718
OG0000467	Prak.g_00268	Syaq.g_00720
OG0000468	Prak.g_00271	Syaq.g_00725
OG0000469	Prak.g_00279	Syaq.g_00739
OG0000470	Prak.g_00281	Syaq.g_00741
OG0000471	Prak.g_00282	Syaq.g_00742
OG0000472	Prak.g_00284	Syaq.g_00744
OG0000473	Prak.g_00286	Syaq.g_00746
OG0000474	Prak.g_00287	Syaq.g_00747
OG0000475	Prak.g_00288	Syaq.g_00748
OG0000476	Prak.g_00290	Syaq.g_00750
OG0000477	Prak.g_00293	Syaq.g_00756
OG0000478	Prak.g_00294	Syaq.g_00757
OG0000479	Prak.g_00295	Syaq.g_00759
OG0000480	Prak.g_00300	Syaq.g_00766
OG0000481	Prak.g_00303	Syaq.g_00768
OG0000482	Prak.g_00304	Syaq.g_00769
OG0000483	Prak.g_00307	Syaq.g_00773
OG0000484	Prak.g_00308	Syaq.g_00774
OG0000485	Prak.g_00310	Syaq.g_00775
OG0000486	Prak.g_00311	Syaq.g_00776
OG0000487	Prak.g_00314	Syaq.g_00782
OG0000488	Prak.g_00317	Syaq.g_00845
OG0000489	Prak.g_00322	Syaq.g_00857
OG0000490	Prak.g_00326	Syaq.g_00864
OG0000491	Prak.g_00327	Syaq.g_00865
OG0000492	Prak.g_00329	Syaq.g_00869
OG0000493	Prak.g_00330	Syaq.g_00870
OG0000494	Prak.g_00331	Syaq.g_00871
OG0000495	Prak.g_00332	Syaq.g_00872
OG0000496	Prak.g_00333	Syaq.g_00873
OG0000497	Prak.g_00334	Syaq.g_00874
OG0000498	Prak.g_00335	Syaq.g_00875
OG0000499	Prak.g_00336	Syaq.g_00876
OG0000500	Prak.g_00337	Syaq.g_00877
OG0000501	Prak.g_00338	Syaq.g_00880
OG0000502	Prak.g_00341	Syaq.g_00953
OG0000503	Prak.g_00356	Syaq.g_00559
OG0000504	Prak.g_00358	Syaq.g_00557
OG0000505	Prak.g_00359	Syaq.g_00556
OG0000506	Prak.g_00360	Syaq.g_00554
OG0000507	Prak.g_00363	Syaq.g_00548
OG0000508	Prak.g_00367	Syaq.g_00544
OG0000509	Prak.g_00369	Syaq.g_00542
OG0000510	Prak.g_00370	Syaq.g_00538
OG0000511	Prak.g_00371	Syaq.g_00537
OG0000512	Prak.g_00373	Syaq.g_00535
OG0000513	Prak.g_00382	Syaq.g_00525
OG0000514	Prak.g_00393	Syaq.g_00514
OG0000515	Prak.g_00394	Syaq.g_00513
OG0000516	Prak.g_00395	Syaq.g_00509
OG0000517	Prak.g_00397	Syaq.g_00502
OG0000518	Prak.g_00408	Syaq.g_00490
OG0000519	Prak.g_00409	Syaq.g_00489
OG0000520	Prak.g_00410	Syaq.g_00488
OG0000521	Prak.g_00418	Syaq.g_00477
OG0000522	Prak.g_00420	Syaq.g_00475
OG0000523	Prak.g_00421	Syaq.g_00474
OG0000524	Prak.g_00426	Syaq.g_00469
OG0000525	Prak.g_00430	Syaq.g_00450
OG0000526	Prak.g_00431	Syaq.g_00448
OG0000527	Prak.g_00434	Syaq.g_00444
OG0000528	Prak.g_00439	Syaq.g_01768
OG0000529	Prak.g_00442	Syaq.g_01773
OG0000530	Prak.g_00445	Syaq.g_01776
OG0000531	Prak.g_00446	Syaq.g_01777
OG0000532	Prak.g_00448	Syaq.g_01780
OG0000533	Prak.g_00449	Syaq.g_01782
OG0000534	Prak.g_00450	Syaq.g_01783
OG0000535	Prak.g_00451	Syaq.g_01784
OG0000536	Prak.g_00452	Syaq.g_01785
OG0000537	Prak.g_00453	Syaq.g_01786
OG0000538	Prak.g_00462	Syaq.g_01798
OG0000539	Prak.g_00463	Syaq.g_01799
OG0000540	Prak.g_00464	Syaq.g_01800
OG0000541	Prak.g_00465	Syaq.g_01801
OG0000542	Prak.g_00466	Syaq.g_01804
OG0000543	Prak.g_00468	Syaq.g_01806
OG0000544	Prak.g_00469	Syaq.g_02567
OG0000545	Prak.g_00471	Syaq.g_01809
OG0000546	Prak.g_00474	Syaq.g_01811
OG0000547	Prak.g_00476	Syaq.g_01813
OG0000548	Prak.g_00477	Syaq.g_01814
OG0000549	Prak.g_00479	Syaq.g_01819
OG0000550	Prak.g_00483	Syaq.g_01824
OG0000551	Prak.g_00486	Syaq.g_01829
OG0000552	Prak.g_00487	Syaq.g_01830
OG0000553	Prak.g_00488	Syaq.g_01834
OG0000554	Prak.g_00493	Syaq.g_01839
OG0000555	Prak.g_00501	Syaq.g_01857
OG0000556	Prak.g_00503	Syaq.g_01925
OG0000557	Prak.g_00504	Syaq.g_01927
OG0000558	Prak.g_00507	Syaq.g_01929
OG0000559	Prak.g_00511	Syaq.g_01933
OG0000560	Prak.g_00514	Syaq.g_01936
OG0000561	Prak.g_00515	Syaq.g_01937
OG0000562	Prak.g_00516	Syaq.g_01938
OG0000563	Prak.g_00517	Syaq.g_01939
OG0000564	Prak.g_00518	Syaq.g_01940
OG0000565	Prak.g_00520	Syaq.g_01943
OG0000566	Prak.g_00524	Syaq.g_01947
OG0000567	Prak.g_00528	Syaq.g_01951
OG0000568	Prak.g_00529	Syaq.g_01954
OG0000569	Prak.g_00530	Syaq.g_01955
OG0000570	Prak.g_00531	Syaq.g_01956
OG0000571	Prak.g_00533	Syaq.g_01960
OG0000572	Prak.g_00547	Syaq.g_01977
OG0000573	Prak.g_00553	Syaq.g_01985
OG0000574	Prak.g_00554	Syaq.g_01986
OG0000575	Prak.g_00558	Syaq.g_01991
OG0000576	Prak.g_00560	Syaq.g_01993
OG0000577	Prak.g_00561	Syaq.g_01994
