Orthogroup	Prak	Syac
OG0000128	Prak.g_00011	Syac.g_00012
OG0000129	Prak.g_00045	Syac.g_02349
OG0000130	Prak.g_00074	Syac.g_00450
OG0000131	Prak.g_00156	Syac.g_00330
OG0000132	Prak.g_00176	Syac.g_00310
OG0000133	Prak.g_00339	Syac.g_01178
OG0000134	Prak.g_00381	Syac.g_01985
OG0000135	Prak.g_01259	Syac.g_02398
OG0000136	Prak.g_00403	Syac.g_00701
OG0000137	Prak.g_00436	Syac.g_01700
OG0000138	Prak.g_00456	Syac.g_01888
OG0000139	Prak.g_00496	Syac.g_01830
OG0000140	Prak.g_00497	Syac.g_01829
OG0000141	Prak.g_00569	Syac.g_00934
OG0000142	Prak.g_01108	Syac.g_00979
OG0000143	Prak.g_01104	Syac.g_00983
OG0000144	Prak.g_01090	Syac.g_01090
OG0000145	Prak.g_01261	Syac.g_01882
OG0000146	Prak.g_00607	Syac.g_01172
OG0000147	Prak.g_00606	Syac.g_01171
OG0000148	Prak.g_00862	Syac.g_01320
OG0000149	Prak.g_00894	Syac.g_00832
OG0000150	Prak.g_00904	Syac.g_00935
OG0000151	Prak.g_00780	Syac.g_01383
OG0000152	Prak.g_00973	Syac.g_01182
OG0000153	Prak.g_00992	Syac.g_01217
OG0000154	Prak.g_01012	Syac.g_01241
OG0000155	Prak.g_01151	Syac.g_00804
OG0000156	Prak.g_01266	Syac.g_00743
OG0000157	Prak.g_01267	Syac.g_00742
OG0000158	Prak.g_01824	Syac.g_00182
OG0000160	Prak.g_01392	Syac.g_01633
OG0000161	Prak.g_01398	Syac.g_01641
OG0000162	Prak.g_01404	Syac.g_01648
OG0000163	Prak.g_01443	Syac.g_00619
OG0000164	Prak.g_01669	Syac.g_00508
OG0000165	Prak.g_01676	Syac.g_00674
OG0000166	Prak.g_01743	Syac.g_02132
OG0000167	Prak.g_01814	Syac.g_00194
OG0000168	Prak.g_01825	Syac.g_00179
OG0000169	Prak.g_01835	Syac.g_00168
OG0000170	Prak.g_01838	Syac.g_00161
OG0000171	Prak.g_01858	Syac.g_00136
OG0000172	Prak.g_01865	Syac.g_00084
OG0000173	Prak.g_01880	Syac.g_00057
OG0000174	Prak.g_01910	Syac.g_02401
OG0000175	Prak.g_01923	Syac.g_02465
OG0000176	Prak.g_00004	Syac.g_00004
OG0000177	Prak.g_00005	Syac.g_00005
OG0000178	Prak.g_00006	Syac.g_00006
OG0000179	Prak.g_00016	Syac.g_00019
OG0000180	Prak.g_00017	Syac.g_00020
OG0000181	Prak.g_00018	Syac.g_00021
OG0000182	Prak.g_00019	Syac.g_00022
OG0000183	Prak.g_00023	Syac.g_00026
OG0000184	Prak.g_00049	Syac.g_02339
OG0000185	Prak.g_00052	Syac.g_02336
OG0000186	Prak.g_00068	Syac.g_00454
OG0000187	Prak.g_00069	Syac.g_00453
OG0000188	Prak.g_00086	Syac.g_00433
OG0000189	Prak.g_00100	Syac.g_00408
OG0000190	Prak.g_00102	Syac.g_00406
OG0000191	Prak.g_00125	Syac.g_00373
OG0000192	Prak.g_00130	Syac.g_00368
OG0000193	Prak.g_00157	Syac.g_00329
OG0000194	Prak.g_00160	Syac.g_00326
OG0000195	Prak.g_00162	Syac.g_00324
OG0000196	Prak.g_00173	Syac.g_00313
OG0000197	Prak.g_00174	Syac.g_00312
OG0000198	Prak.g_00175	Syac.g_00311
OG0000199	Prak.g_00182	Syac.g_00303
OG0000200	Prak.g_00196	Syac.g_02261
OG0000202	Prak.g_00206	Syac.g_02279
OG0000203	Prak.g_00207	Syac.g_02280
OG0000204	Prak.g_00208	Syac.g_02281
OG0000205	Prak.g_00215	Syac.g_02288
OG0000206	Prak.g_00220	Syac.g_02297
OG0000207	Prak.g_00223	Syac.g_02300
OG0000208	Prak.g_00224	Syac.g_02301
OG0000209	Prak.g_00233	Syac.g_02316
OG0000210	Prak.g_00234	Syac.g_02317
OG0000211	Prak.g_00249	Syac.g_01972
OG0000212	Prak.g_00257	Syac.g_01963
OG0000213	Prak.g_00275	Syac.g_02219
OG0000214	Prak.g_00285	Syac.g_02236
OG0000215	Prak.g_00312	Syac.g_00281
OG0000216	Prak.g_00313	Syac.g_00277
OG0000217	Prak.g_00316	Syac.g_00273
OG0000218	Prak.g_00318	Syac.g_00271
OG0000219	Prak.g_00319	Syac.g_00270
OG0000220	Prak.g_00320	Syac.g_00269
OG0000221	Prak.g_00321	Syac.g_00261
OG0000222	Prak.g_00328	Syac.g_00247
OG0000223	Prak.g_00340	Syac.g_00225
OG0000224	Prak.g_00342	Syac.g_00217
OG0000225	Prak.g_00368	Syac.g_02004
OG0000226	Prak.g_00372	Syac.g_02000
OG0000227	Prak.g_00374	Syac.g_01998
OG0000228	Prak.g_00378	Syac.g_01989
OG0000229	Prak.g_00398	Syac.g_00692
OG0000230	Prak.g_00400	Syac.g_00694
OG0000231	Prak.g_00411	Syac.g_00710
OG0000232	Prak.g_00422	Syac.g_01717
OG0000233	Prak.g_00428	Syac.g_01713
OG0000234	Prak.g_00437	Syac.g_01699
OG0000235	Prak.g_00440	Syac.g_01905
OG0000236	Prak.g_00454	Syac.g_01890
OG0000237	Prak.g_00467	Syac.g_01873
OG0000238	Prak.g_00473	Syac.g_01868
OG0000239	Prak.g_00484	Syac.g_01852
OG0000240	Prak.g_00485	Syac.g_01851
OG0000241	Prak.g_00489	Syac.g_00970
OG0000242	Prak.g_00491	Syac.g_01839
OG0000243	Prak.g_00502	Syac.g_01821
OG0000244	Prak.g_00506	Syac.g_01814
OG0000245	Prak.g_00508	Syac.g_01811
OG0000246	Prak.g_00512	Syac.g_01807
OG0000247	Prak.g_00522	Syac.g_01795
OG0000248	Prak.g_00525	Syac.g_01792
OG0000249	Prak.g_00527	Syac.g_01790
OG0000250	Prak.g_00532	Syac.g_01782
OG0000251	Prak.g_00552	Syac.g_01757
OG0000252	Prak.g_00555	Syac.g_01753
OG0000253	Prak.g_00556	Syac.g_01752
OG0000254	Prak.g_00573	Syac.g_00939
OG0000255	Prak.g_00579	Syac.g_00947
OG0000256	Prak.g_00589	Syac.g_00963
OG0000257	Prak.g_01113	Syac.g_00969
OG0000258	Prak.g_01099	Syac.g_00988
OG0000259	Prak.g_01082	Syac.g_01425
OG0000260	Prak.g_01079	Syac.g_01422
OG0000261	Prak.g_01076	Syac.g_01418
OG0000262	Prak.g_01072	Syac.g_01413
OG0000263	Prak.g_00808	Syac.g_01497
OG0000264	Prak.g_00819	Syac.g_00915
OG0000265	Prak.g_00837	Syac.g_00673
OG0000266	Prak.g_01053	Syac.g_01271
OG0000267	Prak.g_01041	Syac.g_01131
OG0000268	Prak.g_01040	Syac.g_01132
OG0000269	Prak.g_00840	Syac.g_01346
OG0000270	Prak.g_00843	Syac.g_01343
OG0000271	Prak.g_00851	Syac.g_01335
OG0000272	Prak.g_00852	Syac.g_01334
OG0000273	Prak.g_00876	Syac.g_00854
OG0000274	Prak.g_00877	Syac.g_00853
OG0000275	Prak.g_00880	Syac.g_00848
OG0000276	Prak.g_00886	Syac.g_00840
OG0000277	Prak.g_00887	Syac.g_00839
OG0000278	Prak.g_00890	Syac.g_00836
OG0000279	Prak.g_00897	Syac.g_00828
OG0000280	Prak.g_00898	Syac.g_00814
OG0000281	Prak.g_00905	Syac.g_02158
OG0000282	Prak.g_00772	Syac.g_01392
OG0000283	Prak.g_00949	Syac.g_01142
OG0000284	Prak.g_00954	Syac.g_01148
OG0000285	Prak.g_00959	Syac.g_01160
OG0000286	Prak.g_00972	Syac.g_01181
OG0000287	Prak.g_01238	Syac.g_01692, Syac.g_01209
OG0000288	Prak.g_01011	Syac.g_01240
OG0000289	Prak.g_01027	Syac.g_01254
OG0000290	Prak.g_00923	Syac.g_00881
OG0000291	Prak.g_00921	Syac.g_00883
OG0000292	Prak.g_01217	Syac.g_02487
OG0000293	Prak.g_01182	Syac.g_00754
OG0000294	Prak.g_01181	Syac.g_00755
OG0000295	Prak.g_01158	Syac.g_00796
OG0000296	Prak.g_01156	Syac.g_00798
OG0000297	Prak.g_01147	Syac.g_01475
OG0000298	Prak.g_01146	Syac.g_01476
OG0000299	Prak.g_01127	Syac.g_01503
OG0000300	Prak.g_01124	Syac.g_01510
OG0000301	Prak.g_01123	Syac.g_01511
OG0000302	Prak.g_01121	Syac.g_01512
OG0000303	Prak.g_01115	Syac.g_01520
OG0000304	Prak.g_00594	Syac.g_01526
OG0000305	Prak.g_01215	Syac.g_00886
OG0000306	Prak.g_00909	Syac.g_00810
OG0000307	Prak.g_01338	Syac.g_01924
OG0000308	Prak.g_01339	Syac.g_01926
OG0000309	Prak.g_01343	Syac.g_01931
OG0000310	Prak.g_01377	Syac.g_01607
OG0000311	Prak.g_01379	Syac.g_01611
OG0000312	Prak.g_01382	Syac.g_01619
OG0000313	Prak.g_01395	Syac.g_01638
OG0000314	Prak.g_01418	Syac.g_01665
OG0000315	Prak.g_01428	Syac.g_01675
OG0000316	Prak.g_01453	Syac.g_00601
OG0000317	Prak.g_01642	Syac.g_00552
OG0000318	Prak.g_01646	Syac.g_00543
OG0000319	Prak.g_01659	Syac.g_00525
OG0000320	Prak.g_01661	Syac.g_00523
OG0000321	Prak.g_01662	Syac.g_00522
OG0000322	Prak.g_01663	Syac.g_00521
OG0000323	Prak.g_01672	Syac.g_00506
OG0000324	Prak.g_01699	Syac.g_00648
OG0000325	Prak.g_01710	Syac.g_02190
OG0000326	Prak.g_01717	Syac.g_02183
OG0000327	Prak.g_01738	Syac.g_02137
OG0000328	Prak.g_01739	Syac.g_02136
OG0000329	Prak.g_01756	Syac.g_02119
OG0000330	Prak.g_01757	Syac.g_02118
OG0000331	Prak.g_01758	Syac.g_02117
OG0000332	Prak.g_01772	Syac.g_02103
OG0000333	Prak.g_01774	Syac.g_02100
OG0000334	Prak.g_01783	Syac.g_02090
OG0000335	Prak.g_01788	Syac.g_02085
OG0000336	Prak.g_01792	Syac.g_02081
OG0000337	Prak.g_01810	Syac.g_00199
OG0000338	Prak.g_01811	Syac.g_00196
OG0000339	Prak.g_01817	Syac.g_00190
OG0000340	Prak.g_01826	Syac.g_00178
OG0000341	Prak.g_01828	Syac.g_00176
OG0000342	Prak.g_01829	Syac.g_00175
OG0000343	Prak.g_01830	Syac.g_00174
OG0000344	Prak.g_01833	Syac.g_00170
OG0000345	Prak.g_01839	Syac.g_00160
OG0000346	Prak.g_01843	Syac.g_00155
OG0000347	Prak.g_01860	Syac.g_00129
OG0000348	Prak.g_01868	Syac.g_00070, Syac.g_00074
OG0000349	Prak.g_01886	Syac.g_00050
OG0000350	Prak.g_00656	Syac.g_02176
OG0000351	Prak.g_01926	Syac.g_02468
OG0000352	Prak.g_01927	Syac.g_02469
OG0000353	Prak.g_01944	Syac.g_02493
OG0000355	Prak.g_00001	Syac.g_00001
OG0000356	Prak.g_00002	Syac.g_00002
OG0000357	Prak.g_00003	Syac.g_00003
OG0000358	Prak.g_00007	Syac.g_00007
OG0000359	Prak.g_00008	Syac.g_00009
OG0000360	Prak.g_00009	Syac.g_00010
OG0000361	Prak.g_00010	Syac.g_00011
OG0000362	Prak.g_00012	Syac.g_00013
OG0000363	Prak.g_00014	Syac.g_00015
OG0000364	Prak.g_00015	Syac.g_00016
OG0000365	Prak.g_00020	Syac.g_00023
OG0000366	Prak.g_00021	Syac.g_00024
OG0000367	Prak.g_00022	Syac.g_00025
OG0000368	Prak.g_00024	Syac.g_00027
OG0000369	Prak.g_00025	Syac.g_00028
OG0000370	Prak.g_00026	Syac.g_00029
OG0000371	Prak.g_00033	Syac.g_00036
OG0000372	Prak.g_00036	Syac.g_00041
OG0000373	Prak.g_00037	Syac.g_00042
OG0000374	Prak.g_00038	Syac.g_00043
OG0000375	Prak.g_00040	Syac.g_00046
OG0000376	Prak.g_00042	Syac.g_00048
OG0000377	Prak.g_00046	Syac.g_02346
OG0000378	Prak.g_00050	Syac.g_02338
OG0000379	Prak.g_00053	Syac.g_02335
OG0000380	Prak.g_00070	Syac.g_00452
OG0000381	Prak.g_00075	Syac.g_00449
OG0000382	Prak.g_00085	Syac.g_00434
OG0000383	Prak.g_00087	Syac.g_00432
OG0000384	Prak.g_00088	Syac.g_00431
OG0000385	Prak.g_00089	Syac.g_00430
OG0000386	Prak.g_00090	Syac.g_00429
OG0000387	Prak.g_00104	Syac.g_00404
OG0000388	Prak.g_00108	Syac.g_00401
OG0000389	Prak.g_00111	Syac.g_00397
OG0000390	Prak.g_00121	Syac.g_00379
OG0000391	Prak.g_00124	Syac.g_00374
OG0000392	Prak.g_00128	Syac.g_00369
OG0000393	Prak.g_00131	Syac.g_00366
OG0000394	Prak.g_00132	Syac.g_00365
OG0000395	Prak.g_00133	Syac.g_00364
OG0000396	Prak.g_00135	Syac.g_00361
OG0000397	Prak.g_00137	Syac.g_00359
OG0000398	Prak.g_00140	Syac.g_00354
OG0000399	Prak.g_00141	Syac.g_00353
OG0000400	Prak.g_00142	Syac.g_00352
OG0000401	Prak.g_00143	Syac.g_00351
OG0000402	Prak.g_01035	Syac.g_00348
OG0000403	Prak.g_00145	Syac.g_00347
OG0000404	Prak.g_00146	Syac.g_00345
OG0000405	Prak.g_00150	Syac.g_00332
OG0000406	Prak.g_00158	Syac.g_00328
OG0000407	Prak.g_00159	Syac.g_00327
OG0000408	Prak.g_00161	Syac.g_00325
OG0000409	Prak.g_00163	Syac.g_00323
OG0000410	Prak.g_00164	Syac.g_00322
OG0000411	Prak.g_00165	Syac.g_00321
OG0000412	Prak.g_00166	Syac.g_00320
OG0000413	Prak.g_00168	Syac.g_00318
OG0000414	Prak.g_00169	Syac.g_00317
OG0000415	Prak.g_00170	Syac.g_00316
OG0000416	Prak.g_00171	Syac.g_00315
OG0000417	Prak.g_00172	Syac.g_00314
OG0000418	Prak.g_00177	Syac.g_00309
OG0000419	Prak.g_00179	Syac.g_00307
OG0000420	Prak.g_00180	Syac.g_00305
OG0000421	Prak.g_00185	Syac.g_00300
OG0000422	Prak.g_00186	Syac.g_00299
OG0000423	Prak.g_00187	Syac.g_00298
OG0000424	Prak.g_00188	Syac.g_00297
OG0000425	Prak.g_00189	Syac.g_00296
OG0000426	Prak.g_00190	Syac.g_00295
OG0000427	Prak.g_00191	Syac.g_00294
OG0000428	Prak.g_00193	Syac.g_02257
OG0000429	Prak.g_00194	Syac.g_02259
OG0000430	Prak.g_00195	Syac.g_02260
OG0000431	Prak.g_00197	Syac.g_02264
OG0000432	Prak.g_00201	Syac.g_02270
OG0000433	Prak.g_00202	Syac.g_02272
OG0000434	Prak.g_00203	Syac.g_02273
OG0000435	Prak.g_00204	Syac.g_02277
OG0000436	Prak.g_00209	Syac.g_02282
OG0000437	Prak.g_00210	Syac.g_02283
OG0000438	Prak.g_00211	Syac.g_02284
OG0000439	Prak.g_00213	Syac.g_02286
OG0000440	Prak.g_00214	Syac.g_02287
OG0000441	Prak.g_00217	Syac.g_02294
OG0000442	Prak.g_00218	Syac.g_02295
OG0000443	Prak.g_00219	Syac.g_02296
OG0000444	Prak.g_00225	Syac.g_02303
OG0000445	Prak.g_00226	Syac.g_02304
OG0000446	Prak.g_00227	Syac.g_02305
OG0000447	Prak.g_00228	Syac.g_02308
OG0000448	Prak.g_00229	Syac.g_02309
OG0000449	Prak.g_00230	Syac.g_02310
OG0000450	Prak.g_00231	Syac.g_02313
OG0000451	Prak.g_00232	Syac.g_02314
OG0000452	Prak.g_00235	Syac.g_02318
OG0000453	Prak.g_00236	Syac.g_02319
OG0000454	Prak.g_00237	Syac.g_02320
OG0000455	Prak.g_00238	Syac.g_02321
OG0000456	Prak.g_00239	Syac.g_02322
OG0000457	Prak.g_00241	Syac.g_02324
OG0000458	Prak.g_00242	Syac.g_02325
OG0000459	Prak.g_00243	Syac.g_02326
OG0000460	Prak.g_00251	Syac.g_01970
OG0000461	Prak.g_00259	Syac.g_02198
OG0000462	Prak.g_00261	Syac.g_02201
OG0000463	Prak.g_00262	Syac.g_02202
OG0000464	Prak.g_00263	Syac.g_02203
OG0000465	Prak.g_00264	Syac.g_02204
OG0000466	Prak.g_00267	Syac.g_02208
OG0000467	Prak.g_00268	Syac.g_02210
OG0000468	Prak.g_00271	Syac.g_02216
OG0000469	Prak.g_00279	Syac.g_02230
OG0000470	Prak.g_00281	Syac.g_02232
OG0000471	Prak.g_00282	Syac.g_02233
OG0000472	Prak.g_00284	Syac.g_02235
OG0000473	Prak.g_00286	Syac.g_02237
OG0000474	Prak.g_00287	Syac.g_02238
OG0000475	Prak.g_00288	Syac.g_02239
OG0000476	Prak.g_00290	Syac.g_02241
OG0000477	Prak.g_00293	Syac.g_02247
OG0000478	Prak.g_00294	Syac.g_02248
OG0000479	Prak.g_00295	Syac.g_02249
OG0000480	Prak.g_00300	Syac.g_00293
OG0000481	Prak.g_00303	Syac.g_00291
OG0000482	Prak.g_00304	Syac.g_00290
OG0000483	Prak.g_00307	Syac.g_00286
OG0000484	Prak.g_00308	Syac.g_00285
OG0000485	Prak.g_00310	Syac.g_00284
OG0000486	Prak.g_00311	Syac.g_00283
OG0000487	Prak.g_00314	Syac.g_00276
OG0000488	Prak.g_00317	Syac.g_00272
OG0000489	Prak.g_00322	Syac.g_00260
OG0000490	Prak.g_00326	Syac.g_00249
OG0000491	Prak.g_00327	Syac.g_00248
OG0000492	Prak.g_00329	Syac.g_00246
OG0000493	Prak.g_00330	Syac.g_00245
OG0000494	Prak.g_00331	Syac.g_00244
OG0000495	Prak.g_00332	Syac.g_00243
OG0000496	Prak.g_00333	Syac.g_00242
OG0000497	Prak.g_00334	Syac.g_00241
OG0000498	Prak.g_00335	Syac.g_00240
OG0000499	Prak.g_00336	Syac.g_00239
OG0000500	Prak.g_00337	Syac.g_00238
OG0000501	Prak.g_00338	Syac.g_00235
OG0000502	Prak.g_00341	Syac.g_00223
OG0000503	Prak.g_00356	Syac.g_02020
OG0000504	Prak.g_00358	Syac.g_02018
OG0000505	Prak.g_00359	Syac.g_02017
OG0000506	Prak.g_00360	Syac.g_02015
OG0000507	Prak.g_00363	Syac.g_02009
OG0000508	Prak.g_00367	Syac.g_02005
OG0000509	Prak.g_00369	Syac.g_02003
OG0000510	Prak.g_00370	Syac.g_02002
OG0000511	Prak.g_00371	Syac.g_02001
OG0000512	Prak.g_00373	Syac.g_01999
OG0000513	Prak.g_00382	Syac.g_01984
OG0000514	Prak.g_00393	Syac.g_01977
OG0000515	Prak.g_00394	Syac.g_01976
OG0000516	Prak.g_00395	Syac.g_00697
OG0000517	Prak.g_00397	Syac.g_00691
OG0000518	Prak.g_00408	Syac.g_00707
OG0000519	Prak.g_00409	Syac.g_00708
OG0000520	Prak.g_00410	Syac.g_00709
OG0000521	Prak.g_00418	Syac.g_01721
OG0000522	Prak.g_00420	Syac.g_01719
OG0000523	Prak.g_00421	Syac.g_01718
OG0000524	Prak.g_00426	Syac.g_01716
OG0000525	Prak.g_00430	Syac.g_01709
OG0000526	Prak.g_00431	Syac.g_01706
OG0000527	Prak.g_00434	Syac.g_01702
OG0000528	Prak.g_00439	Syac.g_01911
OG0000529	Prak.g_00442	Syac.g_01903
OG0000530	Prak.g_00445	Syac.g_01900
OG0000531	Prak.g_00446	Syac.g_01899
OG0000532	Prak.g_00448	Syac.g_01896
OG0000533	Prak.g_00449	Syac.g_01895
OG0000534	Prak.g_00450	Syac.g_01894
OG0000535	Prak.g_00451	Syac.g_01893
OG0000536	Prak.g_00452	Syac.g_01892
OG0000537	Prak.g_00453	Syac.g_01891
OG0000538	Prak.g_00462	Syac.g_01880
OG0000539	Prak.g_00463	Syac.g_01879
OG0000540	Prak.g_00464	Syac.g_01878
OG0000541	Prak.g_00465	Syac.g_01877
OG0000542	Prak.g_00466	Syac.g_01874
OG0000543	Prak.g_00468	Syac.g_01872
OG0000544	Prak.g_00469	Syac.g_01871
OG0000545	Prak.g_00471	Syac.g_01869
OG0000546	Prak.g_00474	Syac.g_01867
OG0000547	Prak.g_00476	Syac.g_01865
OG0000548	Prak.g_00477	Syac.g_01864
OG0000549	Prak.g_00479	Syac.g_01858
OG0000550	Prak.g_00483	Syac.g_01854
OG0000551	Prak.g_00486	Syac.g_01849
OG0000552	Prak.g_00487	Syac.g_01848
OG0000553	Prak.g_00488	Syac.g_01846
OG0000554	Prak.g_00493	Syac.g_01835
OG0000555	Prak.g_00501	Syac.g_01822
OG0000556	Prak.g_00503	Syac.g_01817
OG0000557	Prak.g_00504	Syac.g_01815
OG0000558	Prak.g_00507	Syac.g_01813
OG0000559	Prak.g_00511	Syac.g_01808
OG0000560	Prak.g_00514	Syac.g_01805
OG0000561	Prak.g_00515	Syac.g_01804
OG0000562	Prak.g_00516	Syac.g_01803
OG0000563	Prak.g_00517	Syac.g_01802
OG0000564	Prak.g_00518	Syac.g_01801
OG0000565	Prak.g_00520	Syac.g_01797
OG0000566	Prak.g_00524	Syac.g_01793
OG0000567	Prak.g_00528	Syac.g_01789
OG0000568	Prak.g_00529	Syac.g_01786
OG0000569	Prak.g_00530	Syac.g_01785
OG0000570	Prak.g_00531	Syac.g_01784
OG0000571	Prak.g_00533	Syac.g_01780
OG0000572	Prak.g_00547	Syac.g_01765
OG0000573	Prak.g_00553	Syac.g_01755
OG0000574	Prak.g_00554	Syac.g_01754
OG0000575	Prak.g_00558	Syac.g_01750
OG0000576	Prak.g_00560	Syac.g_01748
OG0000577	Prak.g_00561	Syac.g_01747
OG0000578	Prak.g_00562	Syac.g_01746
OG0000579	Prak.g_00563	Syac.g_01745
OG0000580	Prak.g_00564	Syac.g_01744
OG0000581	Prak.g_00567	Syac.g_01738
OG0000582	Prak.g_00570	Syac.g_00936
OG0000583	Prak.g_00571	Syac.g_00937
OG0000584	Prak.g_00572	Syac.g_00938
OG0000585	Prak.g_00574	Syac.g_00940
OG0000586	Prak.g_00575	Syac.g_00941
OG0000587	Prak.g_00576	Syac.g_00943
OG0000588	Prak.g_00580	Syac.g_00949
OG0000589	Prak.g_00582	Syac.g_00953
OG0000590	Prak.g_00583	Syac.g_00954
