Orthogroup	Prak	Syaj
OG0000092	Prak.g_00775	Syaj.g_00339
OG0000097	Prak.g_01126	Syaj.g_00589
OG0000098	Prak.g_01305	Syaj.g_02671
OG0000099	Prak.g_01352	Syaj.g_02503
OG0000100	Prak.g_01470	Syaj.g_00987
OG0000101	Prak.g_01780	Syaj.g_02738
OG0000102	Prak.g_01847	Syaj.g_02411
OG0000103	Prak.g_01932	Syaj.g_02243
OG0000104	Prak.g_01941	Syaj.g_02258
OG0000105	Prak.g_00292	Syaj.g_02573
OG0000106	Prak.g_00687	Syaj.g_01130
OG0000107	Prak.g_01709	Syaj.g_02637
OG0000108	Prak.g_00441	Syaj.g_00072
OG0000109	Prak.g_00455	Syaj.g_00087
OG0000110	Prak.g_00535	Syaj.g_00215
OG0000111	Prak.g_00830	Syaj.g_00437
OG0000112	Prak.g_00608	Syaj.g_00907
OG0000113	Prak.g_00868	Syaj.g_00992
OG0000114	Prak.g_00770	Syaj.g_00741
OG0000115	Prak.g_01241	Syaj.g_01402
OG0000116	Prak.g_01183	Syaj.g_00289
OG0000117	Prak.g_01145	Syaj.g_00637
OG0000118	Prak.g_01290	Syaj.g_00267
OG0000119	Prak.g_01226, Prak.g_01488	Syaj.g_00317
OG0000120	Prak.g_01349	Syaj.g_02502
OG0000121	Prak.g_01393	Syaj.g_01383
OG0000122	Prak.g_01248, Prak.g_01434	Syaj.g_01250
OG0000123	Prak.g_01787	Syaj.g_02745
OG0000124	Prak.g_01859	Syaj.g_02388
OG0000125	Prak.g_01895	Syaj.g_02117
OG0000126	Prak.g_01940	Syaj.g_02256
OG0000128	Prak.g_00011	Syaj.g_02274
OG0000129	Prak.g_00045	Syaj.g_02106
OG0000130	Prak.g_00074	Syaj.g_01818
OG0000131	Prak.g_00156	Syaj.g_01964
OG0000132	Prak.g_00176	Syaj.g_01984, Syaj.g_00688
OG0000133	Prak.g_00339	Syaj.g_00902
OG0000134	Prak.g_00381	Syaj.g_02832
OG0000135	Prak.g_01259	Syaj.g_02167
OG0000136	Prak.g_00403	Syaj.g_01550
OG0000137	Prak.g_00436	Syaj.g_01444
OG0000138	Prak.g_00456	Syaj.g_00088
OG0000139	Prak.g_00496	Syaj.g_00150
OG0000140	Prak.g_00497	Syaj.g_00153
OG0000141	Prak.g_00569	Syaj.g_01340
OG0000142	Prak.g_01108	Syaj.g_01283
OG0000143	Prak.g_01104	Syaj.g_01279
OG0000144	Prak.g_01090	Syaj.g_01151
OG0000145	Prak.g_01261	Syaj.g_00094
OG0000146	Prak.g_00607	Syaj.g_00908
OG0000147	Prak.g_00606	Syaj.g_00909
OG0000148	Prak.g_00862	Syaj.g_01003
OG0000149	Prak.g_00894	Syaj.g_00369
OG0000150	Prak.g_00904	Syaj.g_01339, Syaj.g_00154
OG0000151	Prak.g_00780	Syaj.g_01074
OG0000152	Prak.g_00973	Syaj.g_00898
OG0000153	Prak.g_00992	Syaj.g_00842
OG0000154	Prak.g_01012	Syaj.g_00814
OG0000155	Prak.g_01151	Syaj.g_00338
OG0000156	Prak.g_01266	Syaj.g_00282
OG0000157	Prak.g_01267	Syaj.g_00281
OG0000158	Prak.g_01824	Syaj.g_02445
OG0000160	Prak.g_01392	Syaj.g_01382
OG0000161	Prak.g_01398	Syaj.g_01389
OG0000162	Prak.g_01404	Syaj.g_01395
OG0000163	Prak.g_01443	Syaj.g_01639
OG0000164	Prak.g_01669	Syaj.g_01758
OG0000165	Prak.g_01676	Syaj.g_01582
OG0000166	Prak.g_01743	Syaj.g_02698
OG0000167	Prak.g_01814	Syaj.g_02460
OG0000168	Prak.g_01825	Syaj.g_02444
OG0000169	Prak.g_01835	Syaj.g_02431, Syaj.g_02429
OG0000170	Prak.g_01838	Syaj.g_02422
OG0000171	Prak.g_01858	Syaj.g_02389
OG0000172	Prak.g_01865	Syaj.g_02365
OG0000173	Prak.g_01880	Syaj.g_02321
OG0000174	Prak.g_01910	Syaj.g_02169
OG0000175	Prak.g_01923	Syaj.g_02229
OG0000176	Prak.g_00004	Syaj.g_02266
OG0000177	Prak.g_00005	Syaj.g_02267
OG0000178	Prak.g_00006	Syaj.g_02268
OG0000179	Prak.g_00016	Syaj.g_02283
OG0000180	Prak.g_00017	Syaj.g_02284
OG0000181	Prak.g_00018	Syaj.g_02285
OG0000182	Prak.g_00019	Syaj.g_02286
OG0000183	Prak.g_00023	Syaj.g_02290
OG0000184	Prak.g_00049	Syaj.g_02098
OG0000185	Prak.g_00052	Syaj.g_02087
OG0000186	Prak.g_00068	Syaj.g_01812
OG0000187	Prak.g_00069	Syaj.g_01814
OG0000188	Prak.g_00086	Syaj.g_01837
OG0000189	Prak.g_00100	Syaj.g_01874
OG0000190	Prak.g_00102	Syaj.g_01876
OG0000191	Prak.g_00125	Syaj.g_01910
OG0000192	Prak.g_00130	Syaj.g_01919
OG0000193	Prak.g_00157	Syaj.g_01965
OG0000194	Prak.g_00160	Syaj.g_01968
OG0000195	Prak.g_00162	Syaj.g_01971
OG0000196	Prak.g_00173	Syaj.g_01981
OG0000197	Prak.g_00174	Syaj.g_01982
OG0000198	Prak.g_00175	Syaj.g_01983
OG0000199	Prak.g_00182	Syaj.g_01991
OG0000200	Prak.g_00196	Syaj.g_02008
OG0000201	Prak.g_00205	Syaj.g_02024
OG0000202	Prak.g_00206	Syaj.g_02025
OG0000203	Prak.g_00207	Syaj.g_02026
OG0000204	Prak.g_00208	Syaj.g_02027
OG0000205	Prak.g_00215	Syaj.g_02035
OG0000206	Prak.g_00220	Syaj.g_02043
OG0000207	Prak.g_00223	Syaj.g_02045
OG0000208	Prak.g_00224	Syaj.g_02046
OG0000209	Prak.g_00233	Syaj.g_02070
OG0000210	Prak.g_00234	Syaj.g_02071
OG0000211	Prak.g_00249	Syaj.g_02856
OG0000212	Prak.g_00257	Syaj.g_02881
OG0000213	Prak.g_00275	Syaj.g_02601
OG0000214	Prak.g_00285	Syaj.g_02582
OG0000215	Prak.g_00312	Syaj.g_02551
OG0000216	Prak.g_00313	Syaj.g_02547
OG0000217	Prak.g_00316	Syaj.g_02543
OG0000218	Prak.g_00318	Syaj.g_02541
OG0000219	Prak.g_00319	Syaj.g_02540
OG0000220	Prak.g_00320	Syaj.g_02539
OG0000221	Prak.g_00321	Syaj.g_02530
OG0000222	Prak.g_00328	Syaj.g_02516
OG0000223	Prak.g_00340	Syaj.g_02494
OG0000224	Prak.g_00342	Syaj.g_02487
OG0000225	Prak.g_00368	Syaj.g_02821
OG0000226	Prak.g_00372	Syaj.g_02825
OG0000227	Prak.g_00374	Syaj.g_02827
OG0000228	Prak.g_00378	Syaj.g_02828
OG0000229	Prak.g_00398	Syaj.g_01555
OG0000230	Prak.g_00400	Syaj.g_01553
OG0000231	Prak.g_00411	Syaj.g_01541
OG0000232	Prak.g_00422	Syaj.g_01497
OG0000233	Prak.g_00428	Syaj.g_01481
OG0000234	Prak.g_00437	Syaj.g_01442
OG0000235	Prak.g_00440	Syaj.g_00071
OG0000236	Prak.g_00454	Syaj.g_00086
OG0000237	Prak.g_00467	Syaj.g_00103
OG0000238	Prak.g_00473	Syaj.g_00108
OG0000239	Prak.g_00484	Syaj.g_00125
OG0000240	Prak.g_00485	Syaj.g_00126
OG0000241	Prak.g_00489	Syaj.g_01291
OG0000242	Prak.g_00491	Syaj.g_00142
OG0000243	Prak.g_00502	Syaj.g_00164
OG0000244	Prak.g_00506	Syaj.g_00180
OG0000245	Prak.g_00508	Syaj.g_00182
OG0000246	Prak.g_00512	Syaj.g_00186
OG0000247	Prak.g_00522	Syaj.g_00197
OG0000248	Prak.g_00525	Syaj.g_00200
OG0000249	Prak.g_00527	Syaj.g_00202
OG0000250	Prak.g_00532	Syaj.g_00211
OG0000251	Prak.g_00552	Syaj.g_00237
OG0000252	Prak.g_00555	Syaj.g_00243
OG0000253	Prak.g_00556	Syaj.g_00245
OG0000254	Prak.g_00573	Syaj.g_01335
OG0000255	Prak.g_00579	Syaj.g_01315
OG0000256	Prak.g_00589	Syaj.g_01297
OG0000257	Prak.g_01113	Syaj.g_01292
OG0000258	Prak.g_01099	Syaj.g_01274
OG0000259	Prak.g_01082	Syaj.g_00707
OG0000260	Prak.g_01079	Syaj.g_00712
OG0000261	Prak.g_01076	Syaj.g_00715
OG0000262	Prak.g_01072	Syaj.g_00720
OG0000263	Prak.g_00808	Syaj.g_00605
OG0000264	Prak.g_00819	Syaj.g_00485
OG0000265	Prak.g_00837	Syaj.g_00510
OG0000266	Prak.g_01053	Syaj.g_00946
OG0000267	Prak.g_01041	Syaj.g_00770
OG0000268	Prak.g_01040	Syaj.g_00771
OG0000269	Prak.g_00840	Syaj.g_01031
OG0000270	Prak.g_00843	Syaj.g_01025
OG0000271	Prak.g_00851	Syaj.g_01017
OG0000272	Prak.g_00852	Syaj.g_01016
OG0000273	Prak.g_00876	Syaj.g_00389
OG0000274	Prak.g_00877	Syaj.g_00388
OG0000275	Prak.g_00880	Syaj.g_00384
OG0000276	Prak.g_00886	Syaj.g_00377
OG0000277	Prak.g_00887	Syaj.g_00376
OG0000278	Prak.g_00890	Syaj.g_00373
OG0000279	Prak.g_00897	Syaj.g_00357
OG0000280	Prak.g_00898	Syaj.g_00348
OG0000281	Prak.g_00905	Syaj.g_02670
OG0000282	Prak.g_00772	Syaj.g_00743
OG0000283	Prak.g_00949	Syaj.g_00790
OG0000284	Prak.g_00954	Syaj.g_00930
OG0000285	Prak.g_00959	Syaj.g_00917
OG0000286	Prak.g_00972	Syaj.g_00899
OG0000287	Prak.g_01238	Syaj.g_00849
OG0000288	Prak.g_01011	Syaj.g_00815
OG0000289	Prak.g_01027	Syaj.g_00800
OG0000290	Prak.g_00923	Syaj.g_00424
OG0000291	Prak.g_00921	Syaj.g_00426
OG0000292	Prak.g_01217	Syaj.g_02255
OG0000293	Prak.g_01182	Syaj.g_00290
OG0000294	Prak.g_01181	Syaj.g_00291
OG0000295	Prak.g_01158	Syaj.g_00330
OG0000296	Prak.g_01156	Syaj.g_00332
OG0000297	Prak.g_01147	Syaj.g_00639
OG0000298	Prak.g_01146	Syaj.g_00638
OG0000299	Prak.g_01127	Syaj.g_00592
OG0000300	Prak.g_01124	Syaj.g_00586
OG0000301	Prak.g_01123	Syaj.g_00585
OG0000302	Prak.g_01121	Syaj.g_00582
OG0000303	Prak.g_01115	Syaj.g_00572
OG0000304	Prak.g_00594	Syaj.g_00566
OG0000305	Prak.g_01215	Syaj.g_00429
OG0000306	Prak.g_00909	Syaj.g_01126
OG0000307	Prak.g_01338	Syaj.g_00051
OG0000308	Prak.g_01339	Syaj.g_00049
OG0000309	Prak.g_01343	Syaj.g_00044
OG0000310	Prak.g_01377	Syaj.g_01358
OG0000311	Prak.g_01379	Syaj.g_01362
OG0000312	Prak.g_01382	Syaj.g_01368
OG0000313	Prak.g_01395	Syaj.g_01386
OG0000314	Prak.g_01418	Syaj.g_01420
OG0000315	Prak.g_01428	Syaj.g_01430
OG0000316	Prak.g_01453	Syaj.g_01664
OG0000317	Prak.g_01642	Syaj.g_01715
OG0000318	Prak.g_01646	Syaj.g_01722
OG0000319	Prak.g_01659	Syaj.g_01741
OG0000320	Prak.g_01661	Syaj.g_01743
OG0000321	Prak.g_01662	Syaj.g_01744
OG0000322	Prak.g_01663	Syaj.g_01745
OG0000323	Prak.g_01672	Syaj.g_01760
OG0000324	Prak.g_01699	Syaj.g_01609
OG0000325	Prak.g_01710	Syaj.g_02638
OG0000326	Prak.g_01717	Syaj.g_02645
OG0000327	Prak.g_01738	Syaj.g_02693
OG0000328	Prak.g_01739	Syaj.g_02694
OG0000329	Prak.g_01756	Syaj.g_02712
OG0000330	Prak.g_01757	Syaj.g_02713
OG0000331	Prak.g_01758	Syaj.g_02714
OG0000332	Prak.g_01772	Syaj.g_02729
OG0000333	Prak.g_01774	Syaj.g_02732
OG0000334	Prak.g_01783	Syaj.g_02741
OG0000335	Prak.g_01788	Syaj.g_02746
OG0000336	Prak.g_01792	Syaj.g_02750
OG0000337	Prak.g_01810	Syaj.g_02466
OG0000338	Prak.g_01811	Syaj.g_02462
OG0000339	Prak.g_01817	Syaj.g_02455
OG0000340	Prak.g_01826	Syaj.g_02443
OG0000341	Prak.g_01828	Syaj.g_02441
OG0000342	Prak.g_01829	Syaj.g_02440
OG0000343	Prak.g_01830	Syaj.g_02437
OG0000344	Prak.g_01833	Syaj.g_02433
OG0000345	Prak.g_01839	Syaj.g_02421
OG0000346	Prak.g_01843	Syaj.g_02416
OG0000347	Prak.g_01860	Syaj.g_02383
OG0000348	Prak.g_01868	Syaj.g_02333
OG0000349	Prak.g_01886	Syaj.g_02314
OG0000350	Prak.g_00656	Syaj.g_02652
OG0000351	Prak.g_01926	Syaj.g_02234
OG0000352	Prak.g_01927	Syaj.g_02235
OG0000353	Prak.g_01944	Syaj.g_02261
OG0000355	Prak.g_00001	Syaj.g_02263
OG0000356	Prak.g_00002	Syaj.g_02264
OG0000357	Prak.g_00003	Syaj.g_02265
OG0000358	Prak.g_00007	Syaj.g_02269
OG0000359	Prak.g_00008	Syaj.g_02271
OG0000360	Prak.g_00009	Syaj.g_02272
OG0000361	Prak.g_00010	Syaj.g_02273
OG0000362	Prak.g_00012	Syaj.g_02275
OG0000363	Prak.g_00014	Syaj.g_02277
OG0000364	Prak.g_00015	Syaj.g_02278
OG0000365	Prak.g_00020	Syaj.g_02287
OG0000366	Prak.g_00021	Syaj.g_02288
OG0000367	Prak.g_00022	Syaj.g_02289
OG0000368	Prak.g_00024	Syaj.g_02291
OG0000369	Prak.g_00025	Syaj.g_02292
OG0000370	Prak.g_00026	Syaj.g_02293
OG0000371	Prak.g_00033	Syaj.g_02301
OG0000372	Prak.g_00036	Syaj.g_02307
OG0000373	Prak.g_00037	Syaj.g_02308
OG0000374	Prak.g_00038	Syaj.g_02309
OG0000375	Prak.g_00040	Syaj.g_02310
OG0000376	Prak.g_00042	Syaj.g_02312
OG0000377	Prak.g_00046	Syaj.g_02105
OG0000378	Prak.g_00050	Syaj.g_02091
OG0000379	Prak.g_00053	Syaj.g_02086
OG0000380	Prak.g_00070	Syaj.g_01815
OG0000381	Prak.g_00075	Syaj.g_01819
OG0000382	Prak.g_00085	Syaj.g_01836
OG0000383	Prak.g_00087	Syaj.g_01839
OG0000384	Prak.g_00088	Syaj.g_01840
OG0000385	Prak.g_00089	Syaj.g_01841
OG0000386	Prak.g_00090	Syaj.g_01842
OG0000387	Prak.g_00104	Syaj.g_01878
OG0000388	Prak.g_00108	Syaj.g_01882
OG0000389	Prak.g_00111	Syaj.g_01886
OG0000390	Prak.g_00121	Syaj.g_01904
OG0000391	Prak.g_00124	Syaj.g_01909
OG0000392	Prak.g_00128	Syaj.g_01918
OG0000393	Prak.g_00131	Syaj.g_01922
OG0000394	Prak.g_00132	Syaj.g_01923
OG0000395	Prak.g_00133	Syaj.g_01924
OG0000396	Prak.g_00135	Syaj.g_01928
OG0000397	Prak.g_00137	Syaj.g_01930
OG0000398	Prak.g_00140	Syaj.g_01935
OG0000399	Prak.g_00141	Syaj.g_01936
OG0000400	Prak.g_00142	Syaj.g_01937
OG0000401	Prak.g_00143	Syaj.g_01938
OG0000402	Prak.g_01035	Syaj.g_01940
OG0000403	Prak.g_00145	Syaj.g_01941
OG0000404	Prak.g_00146	Syaj.g_01943
OG0000405	Prak.g_00150	Syaj.g_01961
OG0000406	Prak.g_00158	Syaj.g_01966
OG0000407	Prak.g_00159	Syaj.g_01967
OG0000408	Prak.g_00161	Syaj.g_01970
OG0000409	Prak.g_00163	Syaj.g_01972
OG0000410	Prak.g_00164	Syaj.g_01973
OG0000411	Prak.g_00165	Syaj.g_01974
OG0000412	Prak.g_00166	Syaj.g_01975
OG0000413	Prak.g_00168	Syaj.g_01977
OG0000415	Prak.g_00170	Syaj.g_01978
OG0000416	Prak.g_00171	Syaj.g_01979
OG0000417	Prak.g_00172	Syaj.g_01980
OG0000418	Prak.g_00177	Syaj.g_01985
OG0000419	Prak.g_00179	Syaj.g_01987
OG0000420	Prak.g_00180	Syaj.g_01989
OG0000421	Prak.g_00185	Syaj.g_01994
OG0000422	Prak.g_00186	Syaj.g_01995
OG0000423	Prak.g_00187	Syaj.g_01996
OG0000424	Prak.g_00188	Syaj.g_01997
OG0000425	Prak.g_00189	Syaj.g_01998
OG0000426	Prak.g_00190	Syaj.g_01999
OG0000427	Prak.g_00191	Syaj.g_02000
OG0000428	Prak.g_00193	Syaj.g_02003
OG0000429	Prak.g_00194	Syaj.g_02005
OG0000430	Prak.g_00195	Syaj.g_02007
OG0000431	Prak.g_00197	Syaj.g_02010
OG0000432	Prak.g_00201	Syaj.g_02017
OG0000433	Prak.g_00202	Syaj.g_02020
OG0000434	Prak.g_00203	Syaj.g_02021
OG0000435	Prak.g_00204	Syaj.g_02023
OG0000436	Prak.g_00209	Syaj.g_02029
OG0000437	Prak.g_00210	Syaj.g_02030
OG0000438	Prak.g_00211	Syaj.g_02031
OG0000439	Prak.g_00213	Syaj.g_02033
OG0000440	Prak.g_00214	Syaj.g_02034
OG0000441	Prak.g_00217	Syaj.g_02038
OG0000442	Prak.g_00218	Syaj.g_02039
OG0000443	Prak.g_00219	Syaj.g_02040
OG0000444	Prak.g_00225	Syaj.g_02052
OG0000445	Prak.g_00226	Syaj.g_02053
OG0000446	Prak.g_00227	Syaj.g_02055
OG0000447	Prak.g_00228	Syaj.g_02058
OG0000448	Prak.g_00229	Syaj.g_02059
OG0000449	Prak.g_00230	Syaj.g_02060
OG0000450	Prak.g_00231	Syaj.g_02067
OG0000451	Prak.g_00232	Syaj.g_02068
OG0000452	Prak.g_00235	Syaj.g_02072
OG0000453	Prak.g_00236	Syaj.g_02073
OG0000454	Prak.g_00237	Syaj.g_02074
OG0000455	Prak.g_00238	Syaj.g_02075
OG0000456	Prak.g_00239	Syaj.g_02076
OG0000457	Prak.g_00241	Syaj.g_02078
OG0000458	Prak.g_00242	Syaj.g_02079
OG0000459	Prak.g_00243	Syaj.g_02080
OG0000460	Prak.g_00251	Syaj.g_02858
OG0000461	Prak.g_00259	Syaj.g_02623
OG0000462	Prak.g_00261	Syaj.g_02620
OG0000463	Prak.g_00262	Syaj.g_02619
OG0000464	Prak.g_00263	Syaj.g_02618
OG0000465	Prak.g_00264	Syaj.g_02617
OG0000466	Prak.g_00267	Syaj.g_02612
OG0000467	Prak.g_00268	Syaj.g_02610
OG0000468	Prak.g_00271	Syaj.g_02605
OG0000469	Prak.g_00279	Syaj.g_02590
OG0000470	Prak.g_00281	Syaj.g_02586
OG0000471	Prak.g_00282	Syaj.g_02585
OG0000472	Prak.g_00284	Syaj.g_02583
OG0000473	Prak.g_00286	Syaj.g_02581
OG0000474	Prak.g_00287	Syaj.g_02580
OG0000475	Prak.g_00288	Syaj.g_02579
OG0000476	Prak.g_00290	Syaj.g_02577
OG0000477	Prak.g_00293	Syaj.g_02571
OG0000478	Prak.g_00294	Syaj.g_02570
OG0000479	Prak.g_00295	Syaj.g_02569
OG0000480	Prak.g_00300	Syaj.g_02562
OG0000481	Prak.g_00303	Syaj.g_02560
OG0000482	Prak.g_00304	Syaj.g_02559
OG0000483	Prak.g_00307	Syaj.g_02555
OG0000484	Prak.g_00308	Syaj.g_02554
OG0000485	Prak.g_00310	Syaj.g_02553
OG0000486	Prak.g_00311	Syaj.g_02552
OG0000487	Prak.g_00314	Syaj.g_02546
OG0000488	Prak.g_00317	Syaj.g_02542
OG0000489	Prak.g_00322	Syaj.g_02529
OG0000490	Prak.g_00326	Syaj.g_02519
OG0000491	Prak.g_00327	Syaj.g_02517
OG0000492	Prak.g_00329	Syaj.g_02515
OG0000493	Prak.g_00330	Syaj.g_02514
OG0000494	Prak.g_00331	Syaj.g_02513
OG0000495	Prak.g_00332	Syaj.g_02512
OG0000496	Prak.g_00333	Syaj.g_02511
OG0000497	Prak.g_00334	Syaj.g_02510
OG0000498	Prak.g_00335	Syaj.g_02509
OG0000499	Prak.g_00336	Syaj.g_02508
OG0000500	Prak.g_00337	Syaj.g_02507
OG0000501	Prak.g_00338	Syaj.g_02504
OG0000502	Prak.g_00341	Syaj.g_02492
OG0000503	Prak.g_00356	Syaj.g_02805
OG0000504	Prak.g_00358	Syaj.g_02807
OG0000505	Prak.g_00359	Syaj.g_02808
OG0000506	Prak.g_00360	Syaj.g_02810
OG0000507	Prak.g_00363	Syaj.g_02816
OG0000508	Prak.g_00367	Syaj.g_02820
OG0000509	Prak.g_00369	Syaj.g_02822
OG0000510	Prak.g_00370	Syaj.g_02823
OG0000511	Prak.g_00371	Syaj.g_02824
OG0000512	Prak.g_00373	Syaj.g_02826
OG0000513	Prak.g_00382	Syaj.g_02833
OG0000514	Prak.g_00393	Syaj.g_02839
OG0000515	Prak.g_00394	Syaj.g_02840
OG0000516	Prak.g_00395	Syaj.g_01561
OG0000517	Prak.g_00397	Syaj.g_01556
OG0000518	Prak.g_00408	Syaj.g_01544
OG0000519	Prak.g_00409	Syaj.g_01543
OG0000520	Prak.g_00410	Syaj.g_01542
OG0000521	Prak.g_00418	Syaj.g_00271
OG0000522	Prak.g_00420	Syaj.g_00273
OG0000523	Prak.g_00421	Syaj.g_00274
OG0000524	Prak.g_00426	Syaj.g_01485
OG0000525	Prak.g_00430	Syaj.g_01454
OG0000526	Prak.g_00431	Syaj.g_01451
OG0000527	Prak.g_00434	Syaj.g_01446
OG0000528	Prak.g_00439	Syaj.g_00065
OG0000529	Prak.g_00442	Syaj.g_00073
OG0000530	Prak.g_00445	Syaj.g_00076
OG0000531	Prak.g_00446	Syaj.g_00077
OG0000532	Prak.g_00448	Syaj.g_00080
OG0000533	Prak.g_00449	Syaj.g_00081
OG0000534	Prak.g_00450	Syaj.g_00082
OG0000535	Prak.g_00451	Syaj.g_00083
OG0000536	Prak.g_00452	Syaj.g_00084
OG0000537	Prak.g_00453	Syaj.g_00085
OG0000538	Prak.g_00462	Syaj.g_00096
OG0000539	Prak.g_00463	Syaj.g_00097
OG0000540	Prak.g_00464	Syaj.g_00098
OG0000541	Prak.g_00465	Syaj.g_00099
OG0000542	Prak.g_00466	Syaj.g_00102
OG0000543	Prak.g_00468	Syaj.g_00104
OG0000544	Prak.g_00469	Syaj.g_00105
OG0000545	Prak.g_00471	Syaj.g_00107
OG0000546	Prak.g_00474	Syaj.g_00109
OG0000547	Prak.g_00476	Syaj.g_00111
OG0000548	Prak.g_00477	Syaj.g_00112
OG0000549	Prak.g_00479	Syaj.g_00118
OG0000550	Prak.g_00483	Syaj.g_00123
OG0000551	Prak.g_00486	Syaj.g_00128
OG0000552	Prak.g_00487	Syaj.g_00129
OG0000553	Prak.g_00488	Syaj.g_00133
OG0000554	Prak.g_00493	Syaj.g_00145
OG0000555	Prak.g_00501	Syaj.g_00163
OG0000556	Prak.g_00503	Syaj.g_00167
OG0000557	Prak.g_00504	Syaj.g_00178
OG0000558	Prak.g_00507	Syaj.g_00181
