Orthogroup	Prak	Syaa
OG0000035	Prak.g_01391	Syaa.g_01773
OG0000037	Prak.g_00115	Syaa.g_02384
OG0000038	Prak.g_01893	Syaa.g_02596
OG0000039	Prak.g_00814	Syaa.g_00846
OG0000041	Prak.g_01692	Syaa.g_00660
OG0000042	Prak.g_01850	Syaa.g_00103
OG0000045	Prak.g_01216	Syaa.g_01560
OG0000046	Prak.g_00344	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205
OG0000047	Prak.g_00385	Syaa.g_02189
OG0000048	Prak.g_01264, Prak.g_00289	Syaa.g_02719, Syaa.g_00275
OG0000050	Prak.g_00741	Syaa.g_01591
OG0000052	Prak.g_01369	Syaa.g_00174
OG0000053	Prak.g_01590, Prak.g_01412	Syaa.g_01797
OG0000054	Prak.g_00568	Syaa.g_01691
OG0000055	Prak.g_01221	Syaa.g_00852
OG0000055	Prak.g_01619	Syaa.g_01564
OG0000057	Prak.g_00829	Syaa.g_00889
OG0000058	Prak.g_01351	Syaa.g_00193
OG0000059	Prak.g_01732	Syaa.g_02315
OG0000061	Prak.g_01172	Syaa.g_00770
OG0000062	Prak.g_01476	Syaa.g_00571
OG0000063	Prak.g_01530	Syaa.g_00042
OG0000064	Prak.g_00072	Syaa.g_01284, Syaa.g_02666, Syaa.g_01568, Syaa.g_00579
OG0000065	Prak.g_00113	Syaa.g_02380
OG0000066	Prak.g_00498, Prak.g_01557	Syaa.g_01968
OG0000067	Prak.g_00845	Syaa.g_01154
OG0000068	Prak.g_01329	Syaa.g_02059
OG0000069	Prak.g_00416	Syaa.g_01256
OG0000070	Prak.g_00412	Syaa.g_00718
OG0000071	Prak.g_01277	Syaa.g_00735
OG0000072	Prak.g_00183	Syaa.g_02480
OG0000073	Prak.g_00461	Syaa.g_02030
OG0000074	Prak.g_00713, Prak.g_00750, Prak.g_00809	Syaa.g_00372
OG0000075	Prak.g_01816	Syaa.g_00157
OG0000076	Prak.g_01842	Syaa.g_00123
OG0000077	Prak.g_00083	Syaa.g_00341
OG0000078	Prak.g_00256	Syaa.g_02103
OG0000079	Prak.g_00269	Syaa.g_00303
OG0000080	Prak.g_01363, Prak.g_01365	Syaa.g_00487
OG0000081	Prak.g_00490	Syaa.g_02089
OG0000082	Prak.g_00546, Prak.g_01634	Syaa.g_01905
OG0000084	Prak.g_01388	Syaa.g_01770
OG0000085	Prak.g_01637, Prak.g_01516	Syaa.g_00564
OG0000086	Prak.g_00092	Syaa.g_00324
OG0000087	Prak.g_00147	Syaa.g_02433
OG0000088	Prak.g_00178	Syaa.g_02474
OG0000089	Prak.g_00379	Syaa.g_02149
OG0000090	Prak.g_00492	Syaa.g_01980
OG0000091	Prak.g_01100	Syaa.g_01625
OG0000097	Prak.g_01126	Syaa.g_00979
OG0000099	Prak.g_01352	Syaa.g_00202
OG0000100	Prak.g_01470	Syaa.g_01201
OG0000101	Prak.g_01780	Syaa.g_02249
OG0000102	Prak.g_01847	Syaa.g_00118
OG0000103	Prak.g_01932	Syaa.g_02740
OG0000104	Prak.g_01941	Syaa.g_02754
OG0000105	Prak.g_00292	Syaa.g_00270
OG0000106	Prak.g_00687	Syaa.g_01439
OG0000107	Prak.g_01709	Syaa.g_02351
OG0000108	Prak.g_00441	Syaa.g_02051
OG0000109	Prak.g_00455	Syaa.g_02036
OG0000110	Prak.g_00535	Syaa.g_01918
OG0000111	Prak.g_00830	Syaa.g_00888
OG0000112	Prak.g_00608	Syaa.g_01366
OG0000113	Prak.g_00868	Syaa.g_01196
OG0000114	Prak.g_00770	Syaa.g_01094
OG0000115	Prak.g_01241	Syaa.g_01795
OG0000116	Prak.g_01183	Syaa.g_00757
OG0000117	Prak.g_01145	Syaa.g_01009
OG0000118	Prak.g_01290	Syaa.g_01874
OG0000119	Prak.g_01226, Prak.g_01488	Syaa.g_00785
OG0000120	Prak.g_01349	Syaa.g_00201
OG0000121	Prak.g_01393	Syaa.g_01777
OG0000122	Prak.g_01248, Prak.g_01434	Syaa.g_01598
OG0000123	Prak.g_01787	Syaa.g_02242
OG0000124	Prak.g_01859	Syaa.g_00092
OG0000125	Prak.g_01895	Syaa.g_02598
OG0000126	Prak.g_01940	Syaa.g_02752
OG0000128	Prak.g_00011	Syaa.g_00012
OG0000129	Prak.g_00045	Syaa.g_02586
OG0000130	Prak.g_00074	Syaa.g_00354
OG0000131	Prak.g_00156	Syaa.g_02448
OG0000132	Prak.g_00176	Syaa.g_02472
OG0000133	Prak.g_00339	Syaa.g_01361
OG0000134	Prak.g_00381	Syaa.g_02146
OG0000135	Prak.g_01259	Syaa.g_02649
OG0000136	Prak.g_00403	Syaa.g_00708
OG0000137	Prak.g_00436	Syaa.g_01842
OG0000138	Prak.g_00456	Syaa.g_02035
OG0000139	Prak.g_00496	Syaa.g_01974
OG0000140	Prak.g_00497	Syaa.g_01971
OG0000141	Prak.g_00569	Syaa.g_01689
OG0000142	Prak.g_01108	Syaa.g_01633
OG0000143	Prak.g_01104	Syaa.g_01629
OG0000144	Prak.g_01090	Syaa.g_01446
OG0000145	Prak.g_01261	Syaa.g_02029
OG0000146	Prak.g_00607	Syaa.g_01367
OG0000147	Prak.g_00606	Syaa.g_01368
OG0000148	Prak.g_00862	Syaa.g_01190
OG0000149	Prak.g_00894	Syaa.g_00826
OG0000150	Prak.g_00904	Syaa.g_01688
OG0000151	Prak.g_00780	Syaa.g_01107
OG0000152	Prak.g_00973	Syaa.g_01357
OG0000153	Prak.g_00992	Syaa.g_01324
OG0000154	Prak.g_01012	Syaa.g_01298
OG0000155	Prak.g_01151	Syaa.g_00804
OG0000156	Prak.g_01266	Syaa.g_00751
OG0000157	Prak.g_01267	Syaa.g_00750
OG0000158	Prak.g_01824	Syaa.g_00148
OG0000160	Prak.g_01392	Syaa.g_01776
OG0000161	Prak.g_01398	Syaa.g_01782
OG0000162	Prak.g_01404	Syaa.g_01788
OG0000163	Prak.g_01443	Syaa.g_00624
OG0000164	Prak.g_01669	Syaa.g_00507
OG0000165	Prak.g_01676	Syaa.g_00681
OG0000166	Prak.g_01743	Syaa.g_02289
OG0000167	Prak.g_01814	Syaa.g_00160
OG0000168	Prak.g_01825	Syaa.g_00145
OG0000169	Prak.g_01835	Syaa.g_00134
OG0000170	Prak.g_01838	Syaa.g_00128
OG0000171	Prak.g_01858	Syaa.g_00093
OG0000172	Prak.g_01865	Syaa.g_00079
OG0000173	Prak.g_01880	Syaa.g_00060
OG0000174	Prak.g_01910	Syaa.g_02651
OG0000175	Prak.g_01923	Syaa.g_02726
OG0000176	Prak.g_00004	Syaa.g_00004
OG0000177	Prak.g_00005	Syaa.g_00005
OG0000178	Prak.g_00006	Syaa.g_00006
OG0000179	Prak.g_00016	Syaa.g_00023
OG0000180	Prak.g_00017	Syaa.g_00024
OG0000181	Prak.g_00018	Syaa.g_00025
OG0000182	Prak.g_00019	Syaa.g_00026
OG0000183	Prak.g_00023	Syaa.g_00030
OG0000184	Prak.g_00049	Syaa.g_02578
OG0000185	Prak.g_00052	Syaa.g_02575
OG0000186	Prak.g_00068	Syaa.g_00359
OG0000187	Prak.g_00069	Syaa.g_00358
OG0000188	Prak.g_00086	Syaa.g_00334
OG0000189	Prak.g_00100	Syaa.g_02367
OG0000190	Prak.g_00102	Syaa.g_02369
OG0000191	Prak.g_00125	Syaa.g_02404
OG0000192	Prak.g_00130	Syaa.g_02410
OG0000193	Prak.g_00157	Syaa.g_02449
OG0000194	Prak.g_00160	Syaa.g_02452
OG0000195	Prak.g_00162	Syaa.g_02459
OG0000196	Prak.g_00173	Syaa.g_02469
OG0000197	Prak.g_00174	Syaa.g_02470
OG0000198	Prak.g_00175	Syaa.g_02471
OG0000199	Prak.g_00182	Syaa.g_02479
OG0000200	Prak.g_00196	Syaa.g_02496
OG0000201	Prak.g_00205	Syaa.g_02521
OG0000202	Prak.g_00206	Syaa.g_02522
OG0000203	Prak.g_00207	Syaa.g_02523
OG0000204	Prak.g_00208	Syaa.g_02524
OG0000205	Prak.g_00215	Syaa.g_02531
OG0000206	Prak.g_00220	Syaa.g_02538
OG0000207	Prak.g_00223	Syaa.g_02540
OG0000208	Prak.g_00224	Syaa.g_02541
OG0000209	Prak.g_00233	Syaa.g_02556
OG0000210	Prak.g_00234	Syaa.g_02557
OG0000211	Prak.g_00249	Syaa.g_02113
OG0000212	Prak.g_00257	Syaa.g_02102
OG0000213	Prak.g_00275	Syaa.g_00295
OG0000214	Prak.g_00285	Syaa.g_00279
OG0000215	Prak.g_00312	Syaa.g_00248
OG0000216	Prak.g_00313	Syaa.g_00244
OG0000217	Prak.g_00316	Syaa.g_00240
OG0000218	Prak.g_00318	Syaa.g_00238
OG0000219	Prak.g_00319	Syaa.g_00237
OG0000220	Prak.g_00320	Syaa.g_00236
OG0000221	Prak.g_00321	Syaa.g_00229
OG0000222	Prak.g_00328	Syaa.g_00215
OG0000223	Prak.g_00340	Syaa.g_00192
OG0000224	Prak.g_00342	Syaa.g_00183
OG0000225	Prak.g_00368	Syaa.g_02166
OG0000226	Prak.g_00372	Syaa.g_02162
OG0000227	Prak.g_00374	Syaa.g_02160
OG0000228	Prak.g_00378	Syaa.g_02150
OG0000229	Prak.g_00398	Syaa.g_00703
OG0000230	Prak.g_00400	Syaa.g_00705
OG0000231	Prak.g_00411	Syaa.g_00717
OG0000232	Prak.g_00422	Syaa.g_01858
OG0000233	Prak.g_00428	Syaa.g_01853
OG0000234	Prak.g_00437	Syaa.g_01841
OG0000235	Prak.g_00440	Syaa.g_02052
OG0000236	Prak.g_00454	Syaa.g_02037
OG0000237	Prak.g_00467	Syaa.g_02020
OG0000238	Prak.g_00473	Syaa.g_02015
OG0000239	Prak.g_00484	Syaa.g_01996
OG0000240	Prak.g_00485	Syaa.g_01995
OG0000241	Prak.g_00489	Syaa.g_01644
OG0000242	Prak.g_00491	Syaa.g_01982
OG0000243	Prak.g_00502	Syaa.g_01960
OG0000244	Prak.g_00506	Syaa.g_01954
OG0000245	Prak.g_00508	Syaa.g_01952
OG0000246	Prak.g_00512	Syaa.g_01948
OG0000247	Prak.g_00522	Syaa.g_01937
OG0000248	Prak.g_00525	Syaa.g_01934
OG0000249	Prak.g_00527	Syaa.g_01932
OG0000250	Prak.g_00532	Syaa.g_01922
OG0000251	Prak.g_00552	Syaa.g_01897
OG0000252	Prak.g_00555	Syaa.g_01894
OG0000253	Prak.g_00556	Syaa.g_01893
OG0000254	Prak.g_00573	Syaa.g_01684
OG0000255	Prak.g_00579	Syaa.g_01668
OG0000256	Prak.g_00589	Syaa.g_01651
OG0000257	Prak.g_01113	Syaa.g_01645
OG0000258	Prak.g_01099	Syaa.g_01624
OG0000259	Prak.g_01082	Syaa.g_01063
OG0000260	Prak.g_01079	Syaa.g_01066
OG0000261	Prak.g_01076	Syaa.g_01069
OG0000262	Prak.g_01072	Syaa.g_01074
OG0000263	Prak.g_00808	Syaa.g_00989
OG0000264	Prak.g_00819	Syaa.g_00910
OG0000265	Prak.g_00837	Syaa.g_00931, Syaa.g_01498
OG0000266	Prak.g_01053	Syaa.g_01257, Syaa.g_01258
OG0000267	Prak.g_01041	Syaa.g_01409
OG0000268	Prak.g_01040	Syaa.g_01408
OG0000269	Prak.g_00840	Syaa.g_01149
OG0000270	Prak.g_00843	Syaa.g_01152
OG0000271	Prak.g_00851	Syaa.g_01160
OG0000272	Prak.g_00852	Syaa.g_01161
OG0000273	Prak.g_00876	Syaa.g_00844
OG0000274	Prak.g_00877	Syaa.g_00843
OG0000275	Prak.g_00880	Syaa.g_00840
OG0000276	Prak.g_00886	Syaa.g_00834
OG0000277	Prak.g_00887	Syaa.g_00833
OG0000278	Prak.g_00890	Syaa.g_00830
OG0000279	Prak.g_00897	Syaa.g_00822
OG0000280	Prak.g_00898	Syaa.g_00815
OG0000282	Prak.g_00772	Syaa.g_01096
OG0000283	Prak.g_00949	Syaa.g_01396
OG0000284	Prak.g_00954	Syaa.g_01390
OG0000285	Prak.g_00959	Syaa.g_01377
OG0000286	Prak.g_00972	Syaa.g_01358
OG0000287	Prak.g_01238	Syaa.g_01330
OG0000288	Prak.g_01011	Syaa.g_01299
OG0000289	Prak.g_01027	Syaa.g_01285
OG0000290	Prak.g_00923	Syaa.g_00875
OG0000291	Prak.g_00921	Syaa.g_00877
OG0000292	Prak.g_01217	Syaa.g_02751
OG0000293	Prak.g_01182	Syaa.g_00758
OG0000294	Prak.g_01181	Syaa.g_00759
OG0000295	Prak.g_01158	Syaa.g_00796
OG0000296	Prak.g_01156	Syaa.g_00798
OG0000297	Prak.g_01147	Syaa.g_01021
OG0000298	Prak.g_01146	Syaa.g_01010
OG0000299	Prak.g_01127	Syaa.g_00982
OG0000300	Prak.g_01124	Syaa.g_00976
OG0000301	Prak.g_01123	Syaa.g_00975
OG0000302	Prak.g_01121	Syaa.g_00972
OG0000303	Prak.g_01115	Syaa.g_00963
OG0000304	Prak.g_00594	Syaa.g_00957
OG0000305	Prak.g_01215	Syaa.g_00881
OG0000306	Prak.g_00909	Syaa.g_00807
OG0000307	Prak.g_01338	Syaa.g_02068
OG0000308	Prak.g_01339	Syaa.g_02070
OG0000309	Prak.g_01343	Syaa.g_02075
OG0000310	Prak.g_01377	Syaa.g_01752
OG0000311	Prak.g_01379	Syaa.g_01757
OG0000312	Prak.g_01382	Syaa.g_01762
OG0000313	Prak.g_01395	Syaa.g_01779
OG0000314	Prak.g_01418	Syaa.g_01806
OG0000315	Prak.g_01428	Syaa.g_01816
OG0000316	Prak.g_01453	Syaa.g_00598
OG0000317	Prak.g_01642	Syaa.g_00556
OG0000318	Prak.g_01646	Syaa.g_00550
OG0000319	Prak.g_01659	Syaa.g_00532
OG0000320	Prak.g_01661	Syaa.g_00530
OG0000321	Prak.g_01662	Syaa.g_00529
OG0000322	Prak.g_01663	Syaa.g_00528
OG0000323	Prak.g_01672	Syaa.g_00496
OG0000324	Prak.g_01699	Syaa.g_00653
OG0000325	Prak.g_01710	Syaa.g_02350
OG0000326	Prak.g_01717	Syaa.g_02343
OG0000327	Prak.g_01738	Syaa.g_02294
OG0000328	Prak.g_01739	Syaa.g_02293
OG0000329	Prak.g_01756	Syaa.g_02275
OG0000330	Prak.g_01757	Syaa.g_02274
OG0000331	Prak.g_01758	Syaa.g_02273
OG0000332	Prak.g_01772	Syaa.g_02258
OG0000333	Prak.g_01774	Syaa.g_02255
OG0000334	Prak.g_01783	Syaa.g_02246
OG0000335	Prak.g_01788	Syaa.g_02241
OG0000336	Prak.g_01792	Syaa.g_02237
OG0000337	Prak.g_01810	Syaa.g_00167
OG0000338	Prak.g_01811	Syaa.g_00162
OG0000339	Prak.g_01817	Syaa.g_00156
OG0000340	Prak.g_01826	Syaa.g_00144
OG0000341	Prak.g_01828	Syaa.g_00142
OG0000342	Prak.g_01829	Syaa.g_00141
OG0000343	Prak.g_01830	Syaa.g_00140
OG0000344	Prak.g_01833	Syaa.g_00136
OG0000345	Prak.g_01839	Syaa.g_00127
OG0000346	Prak.g_01843	Syaa.g_00122
OG0000347	Prak.g_01860	Syaa.g_00088
OG0000348	Prak.g_01868	Syaa.g_00071
OG0000349	Prak.g_01886	Syaa.g_00053
OG0000350	Prak.g_00656	Syaa.g_02336
OG0000351	Prak.g_01926	Syaa.g_02730
OG0000352	Prak.g_01927	Syaa.g_02731
OG0000353	Prak.g_01944	Syaa.g_02757
OG0000355	Prak.g_00001	Syaa.g_00001
OG0000356	Prak.g_00002	Syaa.g_00002
OG0000357	Prak.g_00003	Syaa.g_00003
OG0000358	Prak.g_00007	Syaa.g_00007
OG0000359	Prak.g_00008	Syaa.g_00009
OG0000360	Prak.g_00009	Syaa.g_00010
OG0000361	Prak.g_00010	Syaa.g_00011
OG0000362	Prak.g_00012	Syaa.g_00013
OG0000363	Prak.g_00014	Syaa.g_00015
OG0000364	Prak.g_00015	Syaa.g_00016
OG0000365	Prak.g_00020	Syaa.g_00027
OG0000366	Prak.g_00021	Syaa.g_00028
OG0000367	Prak.g_00022	Syaa.g_00029
OG0000368	Prak.g_00024	Syaa.g_00031
OG0000369	Prak.g_00025	Syaa.g_00032
OG0000370	Prak.g_00026	Syaa.g_00033
OG0000371	Prak.g_00033	Syaa.g_00041
OG0000372	Prak.g_00036	Syaa.g_00046
OG0000373	Prak.g_00037	Syaa.g_00047
OG0000374	Prak.g_00038	Syaa.g_00048
OG0000375	Prak.g_00040	Syaa.g_00049
OG0000376	Prak.g_00042	Syaa.g_00051
OG0000377	Prak.g_00046	Syaa.g_02585
OG0000378	Prak.g_00050	Syaa.g_02577
OG0000379	Prak.g_00053	Syaa.g_02574
OG0000380	Prak.g_00070	Syaa.g_00357
OG0000381	Prak.g_00075	Syaa.g_00353
OG0000382	Prak.g_00085	Syaa.g_00335
OG0000383	Prak.g_00087	Syaa.g_00333
OG0000384	Prak.g_00088	Syaa.g_00332
OG0000385	Prak.g_00089	Syaa.g_00331
OG0000386	Prak.g_00090	Syaa.g_00330
OG0000387	Prak.g_00104	Syaa.g_02371
OG0000388	Prak.g_00108	Syaa.g_02375
OG0000389	Prak.g_00111	Syaa.g_02379
OG0000390	Prak.g_00121	Syaa.g_02398
OG0000391	Prak.g_00124	Syaa.g_02403
OG0000392	Prak.g_00128	Syaa.g_02409
OG0000393	Prak.g_00131	Syaa.g_02412
OG0000394	Prak.g_00132	Syaa.g_02413
OG0000395	Prak.g_00133	Syaa.g_02414
OG0000396	Prak.g_00135	Syaa.g_02417
OG0000397	Prak.g_00137	Syaa.g_02419
OG0000398	Prak.g_00140	Syaa.g_02424
OG0000399	Prak.g_00141	Syaa.g_02425
OG0000400	Prak.g_00142	Syaa.g_02426
OG0000401	Prak.g_00143	Syaa.g_02427
OG0000402	Prak.g_01035	Syaa.g_02429
OG0000403	Prak.g_00145	Syaa.g_02430
OG0000404	Prak.g_00146	Syaa.g_02431
OG0000405	Prak.g_00150	Syaa.g_02446
OG0000406	Prak.g_00158	Syaa.g_02450
OG0000407	Prak.g_00159	Syaa.g_02451
OG0000408	Prak.g_00161	Syaa.g_02458
OG0000409	Prak.g_00163	Syaa.g_02460
OG0000410	Prak.g_00164	Syaa.g_02461
OG0000411	Prak.g_00165	Syaa.g_02462
OG0000412	Prak.g_00166	Syaa.g_02463
OG0000413	Prak.g_00168	Syaa.g_02465
OG0000415	Prak.g_00170	Syaa.g_02466
OG0000416	Prak.g_00171	Syaa.g_02467
OG0000417	Prak.g_00172	Syaa.g_02468
OG0000418	Prak.g_00177	Syaa.g_02473
OG0000419	Prak.g_00179	Syaa.g_02475
OG0000420	Prak.g_00180	Syaa.g_02477
OG0000421	Prak.g_00185	Syaa.g_02482
OG0000422	Prak.g_00186	Syaa.g_02483
OG0000423	Prak.g_00187	Syaa.g_02484
OG0000424	Prak.g_00188	Syaa.g_02485
OG0000425	Prak.g_00189	Syaa.g_02486
OG0000426	Prak.g_00190	Syaa.g_02487
OG0000427	Prak.g_00191	Syaa.g_02488
OG0000428	Prak.g_00193	Syaa.g_02491
OG0000429	Prak.g_00194	Syaa.g_02493
OG0000430	Prak.g_00195	Syaa.g_02495
OG0000431	Prak.g_00197	Syaa.g_02498
OG0000432	Prak.g_00201	Syaa.g_02504
OG0000433	Prak.g_00202	Syaa.g_02513
OG0000434	Prak.g_00203	Syaa.g_02514
OG0000435	Prak.g_00204	Syaa.g_02516
OG0000436	Prak.g_00209	Syaa.g_02525
OG0000437	Prak.g_00210	Syaa.g_02526
OG0000438	Prak.g_00211	Syaa.g_02527
OG0000439	Prak.g_00213	Syaa.g_02529
OG0000440	Prak.g_00214	Syaa.g_02530
OG0000441	Prak.g_00217	Syaa.g_02534
OG0000442	Prak.g_00218	Syaa.g_02535
OG0000443	Prak.g_00219	Syaa.g_02536
OG0000444	Prak.g_00225	Syaa.g_02542
OG0000445	Prak.g_00226	Syaa.g_02543
OG0000446	Prak.g_00227	Syaa.g_02545
OG0000447	Prak.g_00228	Syaa.g_02548
OG0000448	Prak.g_00229	Syaa.g_02549
OG0000449	Prak.g_00230	Syaa.g_02550
OG0000450	Prak.g_00231	Syaa.g_02553
OG0000451	Prak.g_00232	Syaa.g_02554
OG0000452	Prak.g_00235	Syaa.g_02558
OG0000453	Prak.g_00236	Syaa.g_02559
OG0000454	Prak.g_00237	Syaa.g_02560
OG0000455	Prak.g_00238	Syaa.g_02561
OG0000456	Prak.g_00239	Syaa.g_02562
OG0000457	Prak.g_00241	Syaa.g_02564
OG0000458	Prak.g_00242	Syaa.g_02565
OG0000459	Prak.g_00243	Syaa.g_02566
OG0000460	Prak.g_00251	Syaa.g_02111
OG0000461	Prak.g_00259	Syaa.g_00318
OG0000462	Prak.g_00261	Syaa.g_00315
OG0000463	Prak.g_00262	Syaa.g_00314
OG0000464	Prak.g_00263	Syaa.g_00313
OG0000465	Prak.g_00264	Syaa.g_00311
OG0000466	Prak.g_00267	Syaa.g_00306
OG0000467	Prak.g_00268	Syaa.g_00304
OG0000468	Prak.g_00271	Syaa.g_00299
OG0000469	Prak.g_00279	Syaa.g_00285
OG0000470	Prak.g_00281	Syaa.g_00283
OG0000471	Prak.g_00282	Syaa.g_00282
OG0000472	Prak.g_00284	Syaa.g_00280
OG0000473	Prak.g_00286	Syaa.g_00278
OG0000474	Prak.g_00287	Syaa.g_00277
OG0000475	Prak.g_00288	Syaa.g_00276
OG0000476	Prak.g_00290	Syaa.g_00274
OG0000477	Prak.g_00293	Syaa.g_00268
OG0000478	Prak.g_00294	Syaa.g_00267
OG0000479	Prak.g_00295	Syaa.g_00266
OG0000480	Prak.g_00300	Syaa.g_00259
OG0000481	Prak.g_00303	Syaa.g_00257
OG0000482	Prak.g_00304	Syaa.g_00256
OG0000483	Prak.g_00307	Syaa.g_00252
OG0000484	Prak.g_00308	Syaa.g_00251
OG0000485	Prak.g_00310	Syaa.g_00250
OG0000486	Prak.g_00311	Syaa.g_00249
OG0000487	Prak.g_00314	Syaa.g_00243
OG0000488	Prak.g_00317	Syaa.g_00239
OG0000489	Prak.g_00322	Syaa.g_00228
OG0000490	Prak.g_00326	Syaa.g_00220
OG0000491	Prak.g_00327	Syaa.g_00218
OG0000492	Prak.g_00329	Syaa.g_00214
OG0000493	Prak.g_00330	Syaa.g_00213
OG0000494	Prak.g_00331	Syaa.g_00212
OG0000495	Prak.g_00332	Syaa.g_00211
OG0000496	Prak.g_00333	Syaa.g_00210
OG0000497	Prak.g_00334	Syaa.g_00209
OG0000498	Prak.g_00335	Syaa.g_00208
OG0000499	Prak.g_00336	Syaa.g_00207
OG0000500	Prak.g_00337	Syaa.g_00206
OG0000501	Prak.g_00338	Syaa.g_00203
OG0000502	Prak.g_00341	Syaa.g_00190
OG0000503	Prak.g_00356	Syaa.g_02182
OG0000504	Prak.g_00358	Syaa.g_02180
OG0000505	Prak.g_00359	Syaa.g_02179
OG0000506	Prak.g_00360	Syaa.g_02177
OG0000507	Prak.g_00363	Syaa.g_02171
OG0000508	Prak.g_00367	Syaa.g_02167
OG0000509	Prak.g_00369	Syaa.g_02165
OG0000510	Prak.g_00370	Syaa.g_02164
OG0000511	Prak.g_00371	Syaa.g_02163
OG0000512	Prak.g_00373	Syaa.g_02161
OG0000513	Prak.g_00382	Syaa.g_02145
OG0000514	Prak.g_00393	Syaa.g_02118
OG0000515	Prak.g_00394	Syaa.g_02117
OG0000516	Prak.g_00395	Syaa.g_00698
OG0000517	Prak.g_00397	Syaa.g_00702
OG0000518	Prak.g_00408	Syaa.g_00714
OG0000519	Prak.g_00409	Syaa.g_00715
OG0000520	Prak.g_00410	Syaa.g_00716
OG0000521	Prak.g_00418	Syaa.g_01864
OG0000522	Prak.g_00420	Syaa.g_01862
OG0000523	Prak.g_00421	Syaa.g_01859
OG0000524	Prak.g_00426	Syaa.g_01856
OG0000525	Prak.g_00430	Syaa.g_01851
OG0000526	Prak.g_00431	Syaa.g_01848
OG0000527	Prak.g_00434	Syaa.g_01844
OG0000528	Prak.g_00439	Syaa.g_02054
OG0000529	Prak.g_00442	Syaa.g_02050
OG0000530	Prak.g_00445	Syaa.g_02047
OG0000531	Prak.g_00446	Syaa.g_02046
OG0000532	Prak.g_00448	Syaa.g_02043
OG0000533	Prak.g_00449	Syaa.g_02042
OG0000534	Prak.g_00450	Syaa.g_02041
OG0000535	Prak.g_00451	Syaa.g_02040
OG0000536	Prak.g_00452	Syaa.g_02039
OG0000537	Prak.g_00453	Syaa.g_02038
OG0000538	Prak.g_00462	Syaa.g_02027
OG0000539	Prak.g_00463	Syaa.g_02026
OG0000540	Prak.g_00464	Syaa.g_02025
OG0000541	Prak.g_00465	Syaa.g_02024
OG0000542	Prak.g_00466	Syaa.g_02021
OG0000543	Prak.g_00468	Syaa.g_02019
OG0000544	Prak.g_00469	Syaa.g_02018
OG0000545	Prak.g_00471	Syaa.g_02016
OG0000546	Prak.g_00474	Syaa.g_02014
OG0000547	Prak.g_00476	Syaa.g_02012
OG0000548	Prak.g_00477	Syaa.g_02011
OG0000549	Prak.g_00479	Syaa.g_02003
OG0000550	Prak.g_00483	Syaa.g_01998
OG0000551	Prak.g_00486	Syaa.g_01993
OG0000552	Prak.g_00487	Syaa.g_01992
OG0000553	Prak.g_00488	Syaa.g_01990
OG0000554	Prak.g_00493	Syaa.g_01979
OG0000555	Prak.g_00501	Syaa.g_01961
OG0000556	Prak.g_00503	Syaa.g_01957
OG0000557	Prak.g_00504	Syaa.g_01955
OG0000558	Prak.g_00507	Syaa.g_01953
OG0000559	Prak.g_00511	Syaa.g_01949
OG0000560	Prak.g_00514	Syaa.g_01946
OG0000561	Prak.g_00515	Syaa.g_01945
OG0000562	Prak.g_00516	Syaa.g_01944
