Orthogroup	Prak	Syak
OG0000065	Prak.g_00113	Syak.g_02192, Syak.g_00282
OG0000066	Prak.g_00498, Prak.g_01557	Syak.g_02653
OG0000067	Prak.g_00845	Syak.g_00434
OG0000068	Prak.g_01329	Syak.g_02565
OG0000070	Prak.g_00412	Syak.g_01174
OG0000071	Prak.g_01277	Syak.g_00936
OG0000072	Prak.g_00183	Syak.g_02099
OG0000073	Prak.g_00461	Syak.g_02597
OG0000075	Prak.g_01816	Syak.g_01564
OG0000076	Prak.g_01842	Syak.g_01650
OG0000077	Prak.g_00083	Syak.g_02243
OG0000078	Prak.g_00256	Syak.g_02310
OG0000079	Prak.g_00269	Syak.g_01417
OG0000081	Prak.g_00490	Syak.g_00115
OG0000082	Prak.g_00546, Prak.g_01634	Syak.g_02711
OG0000084	Prak.g_01388	Syak.g_01036
OG0000085	Prak.g_01637, Prak.g_01516	Syak.g_02427
OG0000086	Prak.g_00092	Syak.g_02219
OG0000087	Prak.g_00147	Syak.g_02141
OG0000088	Prak.g_00178	Syak.g_02106
OG0000089	Prak.g_00379	Syak.g_01215
OG0000090	Prak.g_00492	Syak.g_02640
OG0000091	Prak.g_01100	Syak.g_00043
OG0000092	Prak.g_00775	Syak.g_01126
OG0000097	Prak.g_01126	Syak.g_00816
OG0000098	Prak.g_01305	Syak.g_00345
OG0000099	Prak.g_01352	Syak.g_01527
OG0000100	Prak.g_01470	Syak.g_00622
OG0000101	Prak.g_01780	Syak.g_01305
OG0000102	Prak.g_01847	Syak.g_01661
OG0000103	Prak.g_01932	Syak.g_01812
OG0000104	Prak.g_01941	Syak.g_01799
OG0000105	Prak.g_00292	Syak.g_01451
OG0000106	Prak.g_00687	Syak.g_00096
OG0000107	Prak.g_01709	Syak.g_01392
OG0000108	Prak.g_00441	Syak.g_02574
OG0000109	Prak.g_00455	Syak.g_02590, Syak.g_01061
OG0000110	Prak.g_00535	Syak.g_02698
OG0000111	Prak.g_00830	Syak.g_00725
OG0000112	Prak.g_00608	Syak.g_00512
OG0000113	Prak.g_00868	Syak.g_00461
OG0000114	Prak.g_00770	Syak.g_00373
OG0000115	Prak.g_01241	Syak.g_01066
OG0000116	Prak.g_01183	Syak.g_00911
OG0000117	Prak.g_01145	Syak.g_00846
OG0000118	Prak.g_01290	Syak.g_00954
OG0000119	Prak.g_01226, Prak.g_01488	Syak.g_00917
OG0000120	Prak.g_01349	Syak.g_01526
OG0000121	Prak.g_01393	Syak.g_01044
OG0000122	Prak.g_01248, Prak.g_01434	Syak.g_00081
OG0000123	Prak.g_01787	Syak.g_01299
OG0000124	Prak.g_01859	Syak.g_01692
OG0000125	Prak.g_01895	Syak.g_01934
OG0000126	Prak.g_01940	Syak.g_01801
OG0000128	Prak.g_00011	Syak.g_01782
OG0000129	Prak.g_00045	Syak.g_01947
OG0000130	Prak.g_00074	Syak.g_02255
OG0000131	Prak.g_00156	Syak.g_02128
OG0000132	Prak.g_00176	Syak.g_02108
OG0000133	Prak.g_00339	Syak.g_00507
OG0000134	Prak.g_00381	Syak.g_01212
OG0000135	Prak.g_01259	Syak.g_01897
OG0000136	Prak.g_00403	Syak.g_01186
OG0000137	Prak.g_00436	Syak.g_01118
OG0000138	Prak.g_00456	Syak.g_02591
OG0000139	Prak.g_00496	Syak.g_02646
OG0000140	Prak.g_00497	Syak.g_02650
OG0000141	Prak.g_00569	Syak.g_02746
OG0000142	Prak.g_01108	Syak.g_00035
OG0000143	Prak.g_01104	Syak.g_00039
OG0000144	Prak.g_01090	Syak.g_00260
OG0000145	Prak.g_01261	Syak.g_02598
OG0000146	Prak.g_00607	Syak.g_00514
OG0000147	Prak.g_00606	Syak.g_00515
OG0000148	Prak.g_00862	Syak.g_00455
OG0000149	Prak.g_00894	Syak.g_00596
OG0000150	Prak.g_00904	Syak.g_02747
OG0000151	Prak.g_00780	Syak.g_00387
OG0000152	Prak.g_00973	Syak.g_00503
OG0000153	Prak.g_00992	Syak.g_00470
OG0000154	Prak.g_01012	Syak.g_00645
OG0000155	Prak.g_01151	Syak.g_00855
OG0000156	Prak.g_01266	Syak.g_00919
OG0000157	Prak.g_01267	Syak.g_00920
OG0000158	Prak.g_01824	Syak.g_01624
OG0000160	Prak.g_01392	Syak.g_01043
OG0000161	Prak.g_01398	Syak.g_01050
OG0000162	Prak.g_01404	Syak.g_01058
OG0000163	Prak.g_01443	Syak.g_02478
OG0000164	Prak.g_01669	Syak.g_02384
OG0000165	Prak.g_01676	Syak.g_02374
OG0000166	Prak.g_01743	Syak.g_01345
OG0000167	Prak.g_01814	Syak.g_01561
OG0000168	Prak.g_01825	Syak.g_01625
OG0000169	Prak.g_01835	Syak.g_01637
OG0000170	Prak.g_01838	Syak.g_01644
OG0000171	Prak.g_01858	Syak.g_01691
OG0000172	Prak.g_01865	Syak.g_01713
OG0000173	Prak.g_01880	Syak.g_01733
OG0000174	Prak.g_01910	Syak.g_01895
OG0000175	Prak.g_01923	Syak.g_01827
OG0000176	Prak.g_00004	Syak.g_01790
OG0000177	Prak.g_00005	Syak.g_01789
OG0000178	Prak.g_00006	Syak.g_01788
OG0000179	Prak.g_00016	Syak.g_01773
OG0000180	Prak.g_00017	Syak.g_01772
OG0000181	Prak.g_00018	Syak.g_01771
OG0000182	Prak.g_00019	Syak.g_01770
OG0000183	Prak.g_00023	Syak.g_01766
OG0000184	Prak.g_00049	Syak.g_01955
OG0000185	Prak.g_00052	Syak.g_01971
OG0000186	Prak.g_00068	Syak.g_02258
OG0000187	Prak.g_00069	Syak.g_02257
OG0000188	Prak.g_00086	Syak.g_02235
OG0000189	Prak.g_00100	Syak.g_02203
OG0000190	Prak.g_00102	Syak.g_01575
OG0000191	Prak.g_00125	Syak.g_02171
OG0000192	Prak.g_00130	Syak.g_02165
OG0000193	Prak.g_00157	Syak.g_02127
OG0000194	Prak.g_00160	Syak.g_02124
OG0000195	Prak.g_00162	Syak.g_02122
OG0000196	Prak.g_00173	Syak.g_02111
OG0000197	Prak.g_00174	Syak.g_02110
OG0000198	Prak.g_00175	Syak.g_02109
OG0000199	Prak.g_00182	Syak.g_02100
OG0000200	Prak.g_00196	Syak.g_02083
OG0000201	Prak.g_00205	Syak.g_02068
OG0000202	Prak.g_00206	Syak.g_02067
OG0000203	Prak.g_00207	Syak.g_02066
OG0000204	Prak.g_00208	Syak.g_02065
OG0000205	Prak.g_00215	Syak.g_02058
OG0000206	Prak.g_00220	Syak.g_02038
OG0000207	Prak.g_00223	Syak.g_02025
OG0000208	Prak.g_00224	Syak.g_02024
OG0000209	Prak.g_00233	Syak.g_01995
OG0000210	Prak.g_00234	Syak.g_01994
OG0000211	Prak.g_00249	Syak.g_02300, Syak.g_02017
OG0000212	Prak.g_00257	Syak.g_02311
OG0000213	Prak.g_00275	Syak.g_01425
OG0000214	Prak.g_00285	Syak.g_01442
OG0000215	Prak.g_00312	Syak.g_01474
OG0000216	Prak.g_00313	Syak.g_01478
OG0000217	Prak.g_00316	Syak.g_01482
OG0000218	Prak.g_00318	Syak.g_01484
OG0000219	Prak.g_00319	Syak.g_01485
OG0000220	Prak.g_00320	Syak.g_01486
OG0000221	Prak.g_00321	Syak.g_01498
OG0000222	Prak.g_00328	Syak.g_01512
OG0000223	Prak.g_00340	Syak.g_01531
OG0000224	Prak.g_00342	Syak.g_01532
OG0000225	Prak.g_00368	Syak.g_01230
OG0000226	Prak.g_00372	Syak.g_01226
OG0000227	Prak.g_00374	Syak.g_01224
OG0000228	Prak.g_00378	Syak.g_01216
OG0000229	Prak.g_00398	Syak.g_01191
OG0000230	Prak.g_00400	Syak.g_01189
OG0000231	Prak.g_00411	Syak.g_01176
OG0000232	Prak.g_00422	Syak.g_01156
OG0000233	Prak.g_00428	Syak.g_01145
OG0000234	Prak.g_00437	Syak.g_01116
OG0000235	Prak.g_00440	Syak.g_02573
OG0000236	Prak.g_00454	Syak.g_02589
OG0000237	Prak.g_00467	Syak.g_02607
OG0000238	Prak.g_00473	Syak.g_02612
OG0000239	Prak.g_00484	Syak.g_02628
OG0000240	Prak.g_00485	Syak.g_02629
OG0000241	Prak.g_00489	Syak.g_00027
OG0000242	Prak.g_00491	Syak.g_02638
OG0000243	Prak.g_00502	Syak.g_02658
OG0000244	Prak.g_00506	Syak.g_02665
OG0000245	Prak.g_00508	Syak.g_02667
OG0000246	Prak.g_00512	Syak.g_02671
OG0000247	Prak.g_00522	Syak.g_02681
OG0000248	Prak.g_00525	Syak.g_02684
OG0000249	Prak.g_00527	Syak.g_02686
OG0000250	Prak.g_00532	Syak.g_02694
OG0000251	Prak.g_00552	Syak.g_02722
OG0000252	Prak.g_00555	Syak.g_02725
OG0000253	Prak.g_00556	Syak.g_02727
OG0000254	Prak.g_00573	Syak.g_02752
OG0000255	Prak.g_00579	Syak.g_02772
OG0000256	Prak.g_00589	Syak.g_00020
OG0000257	Prak.g_01113	Syak.g_00026
OG0000258	Prak.g_01099	Syak.g_00044
OG0000259	Prak.g_01082	Syak.g_00334
OG0000260	Prak.g_01079	Syak.g_00338
OG0000261	Prak.g_01076	Syak.g_00348
OG0000262	Prak.g_01072	Syak.g_00353
OG0000263	Prak.g_00808	Syak.g_00828
OG0000264	Prak.g_00819	Syak.g_00698
OG0000265	Prak.g_00837	Syak.g_00211
OG0000266	Prak.g_01053	Syak.g_00778
OG0000267	Prak.g_01041	Syak.g_00555
OG0000268	Prak.g_01040	Syak.g_00554
OG0000269	Prak.g_00840	Syak.g_00429
OG0000270	Prak.g_00843	Syak.g_00432
OG0000271	Prak.g_00851	Syak.g_00440
OG0000272	Prak.g_00852	Syak.g_00441
OG0000274	Prak.g_00877	Syak.g_00615
OG0000275	Prak.g_00880	Syak.g_00611
OG0000276	Prak.g_00886	Syak.g_00604
OG0000277	Prak.g_00887	Syak.g_00603
OG0000278	Prak.g_00890	Syak.g_00600
OG0000279	Prak.g_00897	Syak.g_00592
OG0000280	Prak.g_00898	Syak.g_00582
OG0000281	Prak.g_00905	Syak.g_00339
OG0000282	Prak.g_00772	Syak.g_00375
OG0000283	Prak.g_00949	Syak.g_00541
OG0000284	Prak.g_00954	Syak.g_00536
OG0000285	Prak.g_00959	Syak.g_00523
OG0000286	Prak.g_00972	Syak.g_00504
OG0000287	Prak.g_01238	Syak.g_00477
OG0000288	Prak.g_01011	Syak.g_00644
OG0000289	Prak.g_01027	Syak.g_00659
OG0000290	Prak.g_00923	Syak.g_00738
OG0000291	Prak.g_00921	Syak.g_00737
OG0000292	Prak.g_01217	Syak.g_01802
OG0000293	Prak.g_01182	Syak.g_00910
OG0000294	Prak.g_01181	Syak.g_00909
OG0000295	Prak.g_01158	Syak.g_00863
OG0000296	Prak.g_01156	Syak.g_00861
OG0000297	Prak.g_01147	Syak.g_00848
OG0000298	Prak.g_01146	Syak.g_00847
OG0000299	Prak.g_01127	Syak.g_00820
OG0000300	Prak.g_01124	Syak.g_00813
OG0000301	Prak.g_01123	Syak.g_00812
OG0000302	Prak.g_01121	Syak.g_00811
OG0000303	Prak.g_01115	Syak.g_00674
OG0000304	Prak.g_00594	Syak.g_00680
OG0000305	Prak.g_01215	Syak.g_00732
OG0000306	Prak.g_00909	Syak.g_00094
OG0000307	Prak.g_01338	Syak.g_02556
OG0000308	Prak.g_01339	Syak.g_02554
OG0000309	Prak.g_01343	Syak.g_02549
OG0000310	Prak.g_01377	Syak.g_00994
OG0000311	Prak.g_01379	Syak.g_00999
OG0000312	Prak.g_01382	Syak.g_01028
OG0000313	Prak.g_01395	Syak.g_01046
OG0000314	Prak.g_01418	Syak.g_01079
OG0000315	Prak.g_01428	Syak.g_01090
OG0000316	Prak.g_01453	Syak.g_02462
OG0000317	Prak.g_01642	Syak.g_02419
OG0000318	Prak.g_01646	Syak.g_02415
OG0000319	Prak.g_01659	Syak.g_02399
OG0000320	Prak.g_01661	Syak.g_02397
OG0000321	Prak.g_01662	Syak.g_02396
OG0000322	Prak.g_01663	Syak.g_02395
OG0000323	Prak.g_01672	Syak.g_02380
OG0000324	Prak.g_01699	Syak.g_02347
OG0000325	Prak.g_01710	Syak.g_01391
OG0000326	Prak.g_01717	Syak.g_01384
OG0000327	Prak.g_01738	Syak.g_01350
OG0000328	Prak.g_01739	Syak.g_01349
OG0000329	Prak.g_01756	Syak.g_01331
OG0000330	Prak.g_01757	Syak.g_01330
OG0000331	Prak.g_01758	Syak.g_01329
OG0000332	Prak.g_01772	Syak.g_01314
OG0000333	Prak.g_01774	Syak.g_01311
OG0000334	Prak.g_01783	Syak.g_01302
OG0000335	Prak.g_01788	Syak.g_01298
OG0000336	Prak.g_01792	Syak.g_01294
OG0000337	Prak.g_01810	Syak.g_01555
OG0000338	Prak.g_01811	Syak.g_01558
OG0000339	Prak.g_01817	Syak.g_01566
OG0000340	Prak.g_01826	Syak.g_01626
OG0000341	Prak.g_01828	Syak.g_01628
OG0000342	Prak.g_01829	Syak.g_01629
OG0000343	Prak.g_01830	Syak.g_01631
OG0000344	Prak.g_01833	Syak.g_01635
OG0000345	Prak.g_01839	Syak.g_01645
OG0000346	Prak.g_01843	Syak.g_01651
OG0000347	Prak.g_01860	Syak.g_01694
OG0000348	Prak.g_01868	Syak.g_01717
OG0000349	Prak.g_01886	Syak.g_01740
OG0000350	Prak.g_00656	Syak.g_01377
OG0000351	Prak.g_01926	Syak.g_01823
OG0000352	Prak.g_01927	Syak.g_01822
OG0000353	Prak.g_01944	Syak.g_01796
OG0000355	Prak.g_00001	Syak.g_01793
OG0000356	Prak.g_00002	Syak.g_01792
OG0000357	Prak.g_00003	Syak.g_01791
OG0000358	Prak.g_00007	Syak.g_01787
OG0000359	Prak.g_00008	Syak.g_01785
OG0000360	Prak.g_00009	Syak.g_01784
OG0000361	Prak.g_00010	Syak.g_01783
OG0000362	Prak.g_00012	Syak.g_01781
OG0000363	Prak.g_00014	Syak.g_01779
OG0000364	Prak.g_00015	Syak.g_01778
OG0000365	Prak.g_00020	Syak.g_01769
OG0000366	Prak.g_00021	Syak.g_01768
OG0000367	Prak.g_00022	Syak.g_01767
OG0000368	Prak.g_00024	Syak.g_01765
OG0000369	Prak.g_00025	Syak.g_01764
OG0000370	Prak.g_00026	Syak.g_01763
OG0000371	Prak.g_00033	Syak.g_01753
OG0000372	Prak.g_00036	Syak.g_01748
OG0000373	Prak.g_00037	Syak.g_01747
OG0000374	Prak.g_00038	Syak.g_01746
OG0000375	Prak.g_00040	Syak.g_01744
OG0000376	Prak.g_00042	Syak.g_01742
OG0000377	Prak.g_00046	Syak.g_01948
OG0000378	Prak.g_00050	Syak.g_01968
OG0000379	Prak.g_00053	Syak.g_01972
OG0000380	Prak.g_00070	Syak.g_02256
OG0000381	Prak.g_00075	Syak.g_02254
OG0000382	Prak.g_00085	Syak.g_02236
OG0000383	Prak.g_00087	Syak.g_02229
OG0000384	Prak.g_00088	Syak.g_02228
OG0000385	Prak.g_00089	Syak.g_02227
OG0000386	Prak.g_00090	Syak.g_02226
OG0000387	Prak.g_00104	Syak.g_02200
OG0000388	Prak.g_00108	Syak.g_02196
OG0000389	Prak.g_00111	Syak.g_02345, Syak.g_02193
OG0000390	Prak.g_00121	Syak.g_02177
OG0000391	Prak.g_00124	Syak.g_02172
OG0000392	Prak.g_00128	Syak.g_02166
OG0000393	Prak.g_00131	Syak.g_02163
OG0000394	Prak.g_00132	Syak.g_02162
OG0000395	Prak.g_00133	Syak.g_02161
OG0000396	Prak.g_00135	Syak.g_02158
OG0000397	Prak.g_00137	Syak.g_02156
OG0000398	Prak.g_00140	Syak.g_02151
OG0000399	Prak.g_00141	Syak.g_02150
OG0000400	Prak.g_00142	Syak.g_02149
OG0000401	Prak.g_00143	Syak.g_02148
OG0000402	Prak.g_01035	Syak.g_02146
OG0000403	Prak.g_00145	Syak.g_02145
OG0000404	Prak.g_00146	Syak.g_02143
OG0000405	Prak.g_00150	Syak.g_02131
OG0000406	Prak.g_00158	Syak.g_02126
OG0000407	Prak.g_00159	Syak.g_02125
OG0000408	Prak.g_00161	Syak.g_02123
OG0000409	Prak.g_00163	Syak.g_02121
OG0000410	Prak.g_00164	Syak.g_02120
OG0000411	Prak.g_00165	Syak.g_02119
OG0000412	Prak.g_00166	Syak.g_02118
OG0000413	Prak.g_00168	Syak.g_02116
OG0000415	Prak.g_00170	Syak.g_02114
OG0000416	Prak.g_00171	Syak.g_02113
OG0000417	Prak.g_00172	Syak.g_02112
OG0000418	Prak.g_00177	Syak.g_02107
OG0000419	Prak.g_00179	Syak.g_02105
OG0000420	Prak.g_00180	Syak.g_02103
OG0000421	Prak.g_00185	Syak.g_02097
OG0000422	Prak.g_00186	Syak.g_02096
OG0000423	Prak.g_00187	Syak.g_02095
OG0000424	Prak.g_00188	Syak.g_02094
OG0000425	Prak.g_00189	Syak.g_02093
OG0000426	Prak.g_00190	Syak.g_02092
OG0000427	Prak.g_00191	Syak.g_02091
OG0000428	Prak.g_00193	Syak.g_02088
OG0000429	Prak.g_00194	Syak.g_02086
OG0000430	Prak.g_00195	Syak.g_02084
OG0000431	Prak.g_00197	Syak.g_02081
OG0000432	Prak.g_00201	Syak.g_02075
OG0000433	Prak.g_00202	Syak.g_02073
OG0000434	Prak.g_00203	Syak.g_02072
OG0000435	Prak.g_00204	Syak.g_02071
OG0000436	Prak.g_00209	Syak.g_02064
OG0000437	Prak.g_00210	Syak.g_02063
OG0000438	Prak.g_00211	Syak.g_02062
OG0000439	Prak.g_00213	Syak.g_02060
OG0000440	Prak.g_00214	Syak.g_02059
OG0000441	Prak.g_00217	Syak.g_02053
OG0000442	Prak.g_00218	Syak.g_02043
OG0000443	Prak.g_00219	Syak.g_02041
OG0000444	Prak.g_00225	Syak.g_02022
OG0000445	Prak.g_00226	Syak.g_02015
OG0000446	Prak.g_00227	Syak.g_02013
OG0000447	Prak.g_00228	Syak.g_02006
OG0000448	Prak.g_00229	Syak.g_02005
OG0000449	Prak.g_00230	Syak.g_02004
OG0000450	Prak.g_00231	Syak.g_01998
OG0000451	Prak.g_00232	Syak.g_01997
OG0000452	Prak.g_00235	Syak.g_01993
OG0000453	Prak.g_00236	Syak.g_01992
OG0000454	Prak.g_00237	Syak.g_01991
OG0000455	Prak.g_00238	Syak.g_01990
OG0000456	Prak.g_00239	Syak.g_01989
OG0000457	Prak.g_00241	Syak.g_01987
OG0000458	Prak.g_00242	Syak.g_01986
OG0000459	Prak.g_00243	Syak.g_01985
OG0000460	Prak.g_00251	Syak.g_02303
OG0000461	Prak.g_00259	Syak.g_01402
OG0000462	Prak.g_00261	Syak.g_01405
OG0000463	Prak.g_00262	Syak.g_01406
OG0000464	Prak.g_00263	Syak.g_01407
OG0000465	Prak.g_00264	Syak.g_01409
OG0000466	Prak.g_00267	Syak.g_01414
OG0000467	Prak.g_00268	Syak.g_01416
OG0000468	Prak.g_00271	Syak.g_01421
OG0000469	Prak.g_00279	Syak.g_01436
OG0000470	Prak.g_00281	Syak.g_01438
OG0000471	Prak.g_00282	Syak.g_01439
OG0000472	Prak.g_00284	Syak.g_01441
OG0000473	Prak.g_00286	Syak.g_01443
OG0000474	Prak.g_00287	Syak.g_01444
OG0000475	Prak.g_00288	Syak.g_01445
OG0000476	Prak.g_00290	Syak.g_01447
OG0000477	Prak.g_00293	Syak.g_01453
OG0000478	Prak.g_00294	Syak.g_01454
OG0000479	Prak.g_00295	Syak.g_01455
OG0000480	Prak.g_00300	Syak.g_01462
OG0000481	Prak.g_00303	Syak.g_01464
OG0000482	Prak.g_00304	Syak.g_01465
OG0000483	Prak.g_00307	Syak.g_01469
OG0000484	Prak.g_00308	Syak.g_01470
OG0000485	Prak.g_00310	Syak.g_01472
OG0000486	Prak.g_00311	Syak.g_01473
OG0000487	Prak.g_00314	Syak.g_01479
OG0000488	Prak.g_00317	Syak.g_01483
OG0000489	Prak.g_00322	Syak.g_01499
OG0000490	Prak.g_00326	Syak.g_01507
OG0000491	Prak.g_00327	Syak.g_01511
OG0000492	Prak.g_00329	Syak.g_01513
OG0000493	Prak.g_00330	Syak.g_01514
OG0000494	Prak.g_00331	Syak.g_01515
OG0000495	Prak.g_00332	Syak.g_01516
OG0000496	Prak.g_00333	Syak.g_01517
OG0000497	Prak.g_00334	Syak.g_01518
OG0000498	Prak.g_00335	Syak.g_01519
OG0000499	Prak.g_00336	Syak.g_01520
OG0000500	Prak.g_00337	Syak.g_01521
OG0000501	Prak.g_00338	Syak.g_01524
OG0000502	Prak.g_00341	Syak.g_01538
OG0000503	Prak.g_00356	Syak.g_01246
OG0000504	Prak.g_00358	Syak.g_01244
OG0000505	Prak.g_00359	Syak.g_01243
OG0000506	Prak.g_00360	Syak.g_01241
OG0000507	Prak.g_00363	Syak.g_01235
OG0000508	Prak.g_00367	Syak.g_01231
OG0000509	Prak.g_00369	Syak.g_01229
OG0000510	Prak.g_00370	Syak.g_01228
OG0000511	Prak.g_00371	Syak.g_01227
OG0000512	Prak.g_00373	Syak.g_01225
OG0000513	Prak.g_00382	Syak.g_01211
OG0000514	Prak.g_00393	Syak.g_01204
OG0000515	Prak.g_00394	Syak.g_01203
OG0000516	Prak.g_00395	Syak.g_01199
OG0000517	Prak.g_00397	Syak.g_01192
OG0000518	Prak.g_00408	Syak.g_01180
OG0000519	Prak.g_00409	Syak.g_01179
OG0000520	Prak.g_00410	Syak.g_01178
OG0000521	Prak.g_00418	Syak.g_01167
OG0000522	Prak.g_00420	Syak.g_01163
OG0000523	Prak.g_00421	Syak.g_01162
OG0000524	Prak.g_00426	Syak.g_01149
OG0000525	Prak.g_00430	Syak.g_01130
OG0000526	Prak.g_00431	Syak.g_01127
OG0000527	Prak.g_00434	Syak.g_01120
OG0000528	Prak.g_00439	Syak.g_02570
OG0000529	Prak.g_00442	Syak.g_02575
OG0000530	Prak.g_00445	Syak.g_02578
OG0000531	Prak.g_00446	Syak.g_02579
OG0000532	Prak.g_00448	Syak.g_02582
OG0000533	Prak.g_00449	Syak.g_02584
OG0000534	Prak.g_00450	Syak.g_02585
OG0000535	Prak.g_00451	Syak.g_02586
OG0000536	Prak.g_00452	Syak.g_02587
OG0000537	Prak.g_00453	Syak.g_02588
OG0000538	Prak.g_00462	Syak.g_02600
OG0000539	Prak.g_00463	Syak.g_02601
OG0000540	Prak.g_00464	Syak.g_02602
OG0000541	Prak.g_00465	Syak.g_02603
OG0000542	Prak.g_00466	Syak.g_02606
OG0000543	Prak.g_00468	Syak.g_02608
OG0000544	Prak.g_00469	Syak.g_02609
OG0000545	Prak.g_00471	Syak.g_02611
OG0000546	Prak.g_00474	Syak.g_02613
OG0000547	Prak.g_00476	Syak.g_02615
OG0000548	Prak.g_00477	Syak.g_02616
OG0000549	Prak.g_00479	Syak.g_02622
OG0000550	Prak.g_00483	Syak.g_02626
OG0000551	Prak.g_00486	Syak.g_02631
OG0000552	Prak.g_00487	Syak.g_02632
OG0000553	Prak.g_00488	Syak.g_02636
OG0000554	Prak.g_00493	Syak.g_02641
OG0000555	Prak.g_00501	Syak.g_02657
OG0000556	Prak.g_00503	Syak.g_02661
OG0000557	Prak.g_00504	Syak.g_02663
OG0000558	Prak.g_00507	Syak.g_02666
OG0000559	Prak.g_00511	Syak.g_02670
OG0000560	Prak.g_00514	Syak.g_02672
OG0000561	Prak.g_00515	Syak.g_02673
OG0000562	Prak.g_00516	Syak.g_02674
OG0000563	Prak.g_00517	Syak.g_02675
OG0000564	Prak.g_00518	Syak.g_02676
OG0000565	Prak.g_00520	Syak.g_02679
OG0000566	Prak.g_00524	Syak.g_02683
OG0000567	Prak.g_00528	Syak.g_02687
OG0000568	Prak.g_00529	Syak.g_02690
OG0000569	Prak.g_00530	Syak.g_02691
OG0000570	Prak.g_00531	Syak.g_02692
OG0000571	Prak.g_00533	Syak.g_02696
OG0000572	Prak.g_00547	Syak.g_02713
OG0000573	Prak.g_00553	Syak.g_02723
OG0000574	Prak.g_00554	Syak.g_02724
OG0000575	Prak.g_00558	Syak.g_02729
OG0000576	Prak.g_00560	Syak.g_02731
OG0000577	Prak.g_00561	Syak.g_02732
OG0000578	Prak.g_00562	Syak.g_02733
OG0000579	Prak.g_00563	Syak.g_02734
OG0000580	Prak.g_00564	Syak.g_02735
OG0000581	Prak.g_00567	Syak.g_02742
OG0000582	Prak.g_00570	Syak.g_02748
OG0000583	Prak.g_00571	Syak.g_02749
OG0000584	Prak.g_00572	Syak.g_02750
OG0000585	Prak.g_00574	Syak.g_02753
OG0000586	Prak.g_00575	Syak.g_02754
