Orthogroup	Syar	Prbb
OG0000073	Syar.g_01493	Prbb.g_00503
OG0000075	Syar.g_03065, Syar.g_00659	Prbb.g_02036
OG0000076	Syar.g_00608	Prbb.g_02061
OG0000077	Syar.g_03051	Prbb.g_00133
OG0000078	Syar.g_01366	Prbb.g_00297
OG0000079	Syar.g_00166	Prbb.g_00308
OG0000081	Syar.g_01898	Prbb.g_00534
OG0000082	Syar.g_02202	Prbb.g_01882
OG0000085	Syar.g_02919	Prbb.g_01816
OG0000086	Syar.g_03085	Prbb.g_00143
OG0000087	Syar.g_03192, Syar.g_00068	Prbb.g_00196
OG0000088	Syar.g_00101	Prbb.g_00223
OG0000089	Syar.g_01162	Prbb.g_00416
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prbb.g_00536
OG0000091	Syar.g_01891, Syar.g_02426	Prbb.g_00643
OG0000092	Syar.g_01960	Prbb.g_00937
OG0000093	Syar.g_00819	Prbb.g_00768
OG0000094	Syar.g_01789	Prbb.g_00892
OG0000095	Syar.g_01932	Prbb.g_01070
OG0000097	Syar.g_01706, Syar.g_00364	Prbb.g_01470
OG0000098	Syar.g_02343	Prbb.g_01608
OG0000099	Syar.g_00715	Prbb.g_00388
OG0000100	Syar.g_02477	Prbb.g_01763
OG0000101	Syar.g_01073, Syar.g_03154	Prbb.g_02001
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prbb.g_02066
OG0000103	Syar.g_00452, Syar.g_00014	Prbb.g_02174
OG0000104	Syar.g_00466	Prbb.g_02185
OG0000105	Syar.g_00218	Prbb.g_00327
OG0000106	Syar.g_01748	Prbb.g_01197, Prbb.g_01329
OG0000107	Syar.g_00149	Prbb.g_01923
OG0000108	Syar.g_01469	Prbb.g_00484, Prbb.g_00485
OG0000109	Syar.g_03310, Syar.g_01485	Prbb.g_00498
OG0000110	Syar.g_02295	Prbb.g_00578
OG0000111	Syar.g_01940	Prbb.g_00707
OG0000112	Syar.g_02548, Syar.g_03195	Prbb.g_00983
OG0000113	Syar.g_02664	Prbb.g_00807, Prbb.g_01218
OG0000114	Syar.g_01616	Prbb.g_00932
OG0000115	Syar.g_02854, Syar.g_01415	Prbb.g_01780
OG0000116	Syar.g_01525, Syar.g_02255	Prbb.g_01528
OG0000117	Syar.g_01969	Prbb.g_01399
OG0000118	Syar.g_02793	Prbb.g_01598
OG0000120	Syar.g_00713	Prbb.g_00678
OG0000121	Syar.g_02806	Prbb.g_01688
OG0000123	Syar.g_01079	Prbb.g_02008
OG0000124	Syar.g_00586	Prbb.g_02079
OG0000125	Syar.g_00338	Prbb.g_02131
OG0000126	Syar.g_00887, Syar.g_00888	Prbb.g_02183
OG0000128	Syar.g_00482	Prbb.g_00012
OG0000129	Syar.g_00324	Prbb.g_00059
OG0000130	Syar.g_03040	Prbb.g_00124
OG0000131	Syar.g_00078	Prbb.g_00202
OG0000132	Syar.g_00099	Prbb.g_00221
OG0000133	Syar.g_02543	Prbb.g_00373
OG0000134	Syar.g_02009, Syar.g_01165	Prbb.g_00418
OG0000135	Syar.g_00698	Prbb.g_01326
OG0000136	Syar.g_02874	Prbb.g_00446
OG0000137	Syar.g_01273	Prbb.g_00478
OG0000138	Syar.g_01486	Prbb.g_00499
OG0000139	Syar.g_03245	Prbb.g_00540
OG0000140	Syar.g_02344, Syar.g_03246	Prbb.g_00541
OG0000141	Syar.g_02129	Prbb.g_00608
OG0000142	Syar.g_02418	Prbb.g_00636
OG0000143	Syar.g_02422	Prbb.g_00640
OG0000144	Syar.g_02441	Prbb.g_00653
OG0000145	Syar.g_01494	Prbb.g_01099
OG0000146	Syar.g_02549	Prbb.g_00982
OG0000147	Syar.g_02550	Prbb.g_00981
OG0000148	Syar.g_02658	Prbb.g_00801
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prbb.g_00832
OG0000150	Syar.g_02130	Prbb.g_00840
OG0000151	Syar.g_02038	Prbb.g_00943
OG0000152	Syar.g_02539	Prbb.g_00991
OG0000153	Syar.g_03283, Syar.g_02503	Prbb.g_01009
OG0000154	Syar.g_01800	Prbb.g_01040
OG0000155	Syar.g_01959	Prbb.g_01495
OG0000156	Syar.g_01517	Prbb.g_01575
OG0000157	Syar.g_01516	Prbb.g_01576
OG0000158	Syar.g_00650	Prbb.g_02044
OG0000159	Syar.g_02359	Prbb.g_02093, Prbb.g_02083
OG0000160	Syar.g_02807	Prbb.g_01687
OG0000161	Syar.g_02801	Prbb.g_01693
OG0000162	Syar.g_02863	Prbb.g_01699
OG0000163	Syar.g_01186	Prbb.g_01735
OG0000164	Syar.g_03168, Syar.g_02969	Prbb.g_01845
OG0000165	Syar.g_02976	Prbb.g_01853
OG0000166	Syar.g_01034	Prbb.g_01964
OG0000167	Syar.g_00662	Prbb.g_02034
OG0000168	Syar.g_00246	Prbb.g_02045
OG0000169	Syar.g_00262	Prbb.g_02055
OG0000170	Syar.g_00613	Prbb.g_02057
OG0000171	Syar.g_00587	Prbb.g_02078
OG0000172	Syar.g_00547	Prbb.g_02101
OG0000173	Syar.g_00528	Prbb.g_02116
OG0000174	Syar.g_00701	Prbb.g_02147
OG0000175	Syar.g_00438	Prbb.g_02165
OG0000176	Syar.g_00474	Prbb.g_00004
OG0000177	Syar.g_00475	Prbb.g_00005
OG0000178	Syar.g_00476	Prbb.g_00007, Prbb.g_00006
OG0000179	Syar.g_00489	Prbb.g_00017
OG0000180	Syar.g_00490	Prbb.g_00018
OG0000181	Syar.g_00491	Prbb.g_00019
OG0000182	Syar.g_00492	Prbb.g_00020
OG0000183	Syar.g_00496	Prbb.g_00024
OG0000184	Syar.g_00897	Prbb.g_00061
OG0000185	Syar.g_00909	Prbb.g_00064
OG0000186	Syar.g_03036	Prbb.g_00119
OG0000187	Syar.g_03038	Prbb.g_00120
OG0000188	Syar.g_03058	Prbb.g_00137
OG0000189	Syar.g_03104	Prbb.g_00151
OG0000190	Syar.g_03107, Syar.g_02374	Prbb.g_00152
OG0000191	Syar.g_00039	Prbb.g_00175
OG0000192	Syar.g_00046	Prbb.g_00179
OG0000193	Syar.g_00079	Prbb.g_00203
OG0000194	Syar.g_00082, Syar.g_03236	Prbb.g_00206
OG0000195	Syar.g_00023, Syar.g_00084	Prbb.g_00208
OG0000196	Syar.g_00096	Prbb.g_00218
OG0000197	Syar.g_00097	Prbb.g_00219
OG0000198	Syar.g_00098	Prbb.g_00220
OG0000199	Syar.g_00106	Prbb.g_00227
OG0000200	Syar.g_00124	Prbb.g_00240
OG0000201	Syar.g_01000	Prbb.g_00249
OG0000202	Syar.g_00021, Syar.g_00998	Prbb.g_00250
OG0000203	Syar.g_00997, Syar.g_00020	Prbb.g_00251
OG0000204	Syar.g_00996	Prbb.g_00252
OG0000205	Syar.g_00988	Prbb.g_00259
OG0000206	Syar.g_00963	Prbb.g_00263
OG0000207	Syar.g_00957	Prbb.g_00265
OG0000208	Syar.g_00956	Prbb.g_00266
OG0000209	Syar.g_00936, Syar.g_03261	Prbb.g_00275
OG0000210	Syar.g_03260, Syar.g_00935	Prbb.g_00276
OG0000211	Syar.g_03026	Prbb.g_00290
OG0000212	Syar.g_03017	Prbb.g_00298
OG0000213	Syar.g_00187	Prbb.g_00313
OG0000214	Syar.g_00209	Prbb.g_00321
OG0000215	Syar.g_00239	Prbb.g_00344
OG0000216	Syar.g_00244	Prbb.g_00345
OG0000217	Syar.g_00854	Prbb.g_00348
OG0000218	Syar.g_00852	Prbb.g_00350
OG0000219	Syar.g_00851	Prbb.g_00351
OG0000220	Syar.g_00850, Syar.g_02026	Prbb.g_00352
OG0000221	Syar.g_00834	Prbb.g_00353
OG0000222	Syar.g_02119, Syar.g_00728	Prbb.g_00361
OG0000223	Syar.g_00649	Prbb.g_00374
OG0000224	Syar.g_00273	Prbb.g_00376
OG0000225	Syar.g_01142	Prbb.g_00405
OG0000226	Syar.g_01146	Prbb.g_00409
OG0000227	Syar.g_01148	Prbb.g_00411
OG0000228	Syar.g_01161	Prbb.g_00415
OG0000229	Syar.g_01177, Syar.g_03273	Prbb.g_00441
OG0000230	Syar.g_01179	Prbb.g_00443
OG0000231	Syar.g_02865, Syar.g_03151	Prbb.g_00454
OG0000232	Syar.g_01424	Prbb.g_00462
OG0000233	Syar.g_03183, Syar.g_01247	Prbb.g_00470
OG0000234	Syar.g_01275	Prbb.g_00479
OG0000235	Syar.g_01468	Prbb.g_00483
OG0000236	Syar.g_01484, Syar.g_03311	Prbb.g_00497
OG0000237	Syar.g_01503	Prbb.g_00510
OG0000238	Syar.g_01508	Prbb.g_00516
OG0000239	Syar.g_03277, Syar.g_02687	Prbb.g_00528
OG0000240	Syar.g_02686, Syar.g_03278	Prbb.g_00529
OG0000241	Syar.g_02410	Prbb.g_00533
OG0000242	Syar.g_01926	Prbb.g_00535
OG0000243	Syar.g_02335	Prbb.g_00546
OG0000244	Syar.g_02327	Prbb.g_00550
OG0000245	Syar.g_02325, Syar.g_03238	Prbb.g_00552
OG0000246	Syar.g_02321	Prbb.g_00556
OG0000247	Syar.g_02310	Prbb.g_00566
OG0000248	Syar.g_02307, Syar.g_03293	Prbb.g_00568
OG0000249	Syar.g_02305	Prbb.g_00570
OG0000250	Syar.g_02299	Prbb.g_00575
OG0000251	Syar.g_03207, Syar.g_02194	Prbb.g_00591
OG0000252	Syar.g_02189, Syar.g_03263	Prbb.g_00593
OG0000253	Syar.g_02028	Prbb.g_00595
OG0000254	Syar.g_02169	Prbb.g_00612
OG0000255	Syar.g_02224, Syar.g_00011	Prbb.g_00618
OG0000256	Syar.g_02244	Prbb.g_00628
OG0000257	Syar.g_02407, Syar.g_01762	Prbb.g_00631
OG0000258	Syar.g_00010, Syar.g_02427	Prbb.g_00644
OG0000259	Syar.g_02472	Prbb.g_00661
OG0000260	Syar.g_03220, Syar.g_02475	Prbb.g_00665
OG0000261	Syar.g_01916	Prbb.g_00668
OG0000262	Syar.g_01690	Prbb.g_00673
OG0000263	Syar.g_01991	Prbb.g_00686
OG0000264	Syar.g_02135, Syar.g_03267	Prbb.g_00697, Prbb.g_00698
OG0000266	Syar.g_01570	Prbb.g_00723
OG0000267	Syar.g_01873	Prbb.g_00736
OG0000268	Syar.g_02589	Prbb.g_00737
OG0000269	Syar.g_02634	Prbb.g_00778
OG0000270	Syar.g_00744, Syar.g_02637	Prbb.g_00781
OG0000271	Syar.g_02645	Prbb.g_00789
OG0000272	Syar.g_02646	Prbb.g_00790
OG0000273	Syar.g_00008	Prbb.g_00814
OG0000274	Syar.g_02482, Syar.g_00009	Prbb.g_00815
OG0000275	Syar.g_01810	Prbb.g_00817
OG0000276	Syar.g_01817	Prbb.g_00823
OG0000277	Syar.g_03242, Syar.g_01818	Prbb.g_00824
OG0000278	Syar.g_01821, Syar.g_03174	Prbb.g_00828
OG0000279	Syar.g_01838	Prbb.g_00835
OG0000280	Syar.g_02067, Syar.g_00734	Prbb.g_01370
OG0000281	Syar.g_02218	Prbb.g_00841
OG0000282	Syar.g_03255, Syar.g_01614	Prbb.g_00934
OG0000283	Syar.g_02574	Prbb.g_00965
OG0000284	Syar.g_02568	Prbb.g_00970
OG0000285	Syar.g_02560	Prbb.g_00975
OG0000286	Syar.g_02540	Prbb.g_00990
OG0000287	Syar.g_02512	Prbb.g_00101
OG0000288	Syar.g_01801	Prbb.g_01039
OG0000289	Syar.g_01786	Prbb.g_01051
OG0000290	Syar.g_01928	Prbb.g_01067
OG0000291	Syar.g_01930	Prbb.g_01069
OG0000292	Syar.g_00463	Prbb.g_01238
OG0000293	Syar.g_01526, Syar.g_03297	Prbb.g_01527
OG0000294	Syar.g_01527, Syar.g_03296	Prbb.g_01526
OG0000295	Syar.g_01951, Syar.g_03208	Prbb.g_01502
OG0000296	Syar.g_01953	Prbb.g_01500
OG0000297	Syar.g_03216	Prbb.g_01491
OG0000298	Syar.g_03215	Prbb.g_01490
OG0000299	Syar.g_01704	Prbb.g_01471
OG0000300	Syar.g_01646	Prbb.g_01468
OG0000301	Syar.g_01712	Prbb.g_01467
OG0000302	Syar.g_01713	Prbb.g_01464
OG0000303	Syar.g_01723	Prbb.g_01459
OG0000304	Syar.g_01728	Prbb.g_01456
OG0000305	Syar.g_01933, Syar.g_03163	Prbb.g_01789
OG0000306	Syar.g_01884, Syar.g_03140	Prbb.g_00845
OG0000307	Syar.g_01452, Syar.g_03153	Prbb.g_01648
OG0000308	Syar.g_01450	Prbb.g_01649
OG0000309	Syar.g_01239	Prbb.g_01653
OG0000310	Syar.g_02826	Prbb.g_01671
OG0000311	Syar.g_02823	Prbb.g_01673
OG0000312	Syar.g_00015, Syar.g_02818	Prbb.g_01676
OG0000313	Syar.g_02804	Prbb.g_01690
OG0000314	Syar.g_01403	Prbb.g_01711
OG0000315	Syar.g_01393	Prbb.g_01721
OG0000316	Syar.g_02885	Prbb.g_01746
OG0000317	Syar.g_02926	Prbb.g_01821
OG0000318	Syar.g_02930	Prbb.g_01824
OG0000319	Syar.g_02954	Prbb.g_01835
OG0000320	Syar.g_02956	Prbb.g_01837
OG0000321	Syar.g_02957	Prbb.g_01838
OG0000322	Syar.g_02958	Prbb.g_01839
OG0000323	Syar.g_02973	Prbb.g_01848
OG0000324	Syar.g_00350, Syar.g_03001	Prbb.g_01875
OG0000325	Syar.g_03291, Syar.g_00148	Prbb.g_01924
OG0000326	Syar.g_00139, Syar.g_03134	Prbb.g_01930
OG0000327	Syar.g_01029	Prbb.g_01959
OG0000328	Syar.g_01030	Prbb.g_01960
OG0000329	Syar.g_03189, Syar.g_01048	Prbb.g_01977
OG0000330	Syar.g_01049	Prbb.g_01978
OG0000331	Syar.g_03191, Syar.g_01050	Prbb.g_01979
OG0000332	Syar.g_01064, Syar.g_03299	Prbb.g_01993
OG0000333	Syar.g_01067	Prbb.g_01995
OG0000334	Syar.g_01076	Prbb.g_02004
OG0000335	Syar.g_01080	Prbb.g_02009
OG0000336	Syar.g_01084	Prbb.g_02013
OG0000337	Syar.g_00285	Prbb.g_02031
OG0000338	Syar.g_03225, Syar.g_00287	Prbb.g_02032
OG0000339	Syar.g_00658	Prbb.g_02037
OG0000340	Syar.g_00247	Prbb.g_02046
OG0000341	Syar.g_00249	Prbb.g_02048
OG0000342	Syar.g_00250	Prbb.g_02049
OG0000343	Syar.g_00256	Prbb.g_02050
OG0000344	Syar.g_00260	Prbb.g_02053
OG0000345	Syar.g_00612	Prbb.g_02058
OG0000346	Syar.g_00607	Prbb.g_02062
OG0000347	Syar.g_00558	Prbb.g_02082
OG0000348	Syar.g_00544	Prbb.g_02104
OG0000349	Syar.g_00521	Prbb.g_02122
OG0000350	Syar.g_00132	Prbb.g_02143
OG0000351	Syar.g_00442	Prbb.g_02168
OG0000352	Syar.g_00443	Prbb.g_02169
OG0000353	Syar.g_00469	Prbb.g_02188
OG0000355	Syar.g_00471	Prbb.g_00001
OG0000356	Syar.g_00472	Prbb.g_00002
OG0000357	Syar.g_00473	Prbb.g_00003
OG0000358	Syar.g_00477	Prbb.g_00008
OG0000359	Syar.g_00479	Prbb.g_00009
OG0000360	Syar.g_00480	Prbb.g_00010
OG0000361	Syar.g_00481	Prbb.g_00011
OG0000362	Syar.g_00483	Prbb.g_00013
OG0000363	Syar.g_00484	Prbb.g_00015
OG0000364	Syar.g_02928	Prbb.g_00016
OG0000365	Syar.g_00493	Prbb.g_00021
OG0000366	Syar.g_00494	Prbb.g_00022
OG0000367	Syar.g_03262, Syar.g_00495	Prbb.g_00023
OG0000368	Syar.g_00497	Prbb.g_00025
OG0000369	Syar.g_00498	Prbb.g_00026
OG0000370	Syar.g_00499	Prbb.g_00027
OG0000371	Syar.g_00508	Prbb.g_00033
OG0000372	Syar.g_00514	Prbb.g_00035
OG0000373	Syar.g_00515	Prbb.g_00036
OG0000374	Syar.g_00516	Prbb.g_00037
OG0000375	Syar.g_00517	Prbb.g_00055
OG0000376	Syar.g_00519	Prbb.g_00057
OG0000377	Syar.g_00322	Prbb.g_00060
OG0000378	Syar.g_00905	Prbb.g_00062
OG0000379	Syar.g_00910	Prbb.g_00065
OG0000380	Syar.g_03039	Prbb.g_00121
OG0000381	Syar.g_03041	Prbb.g_00125
OG0000382	Syar.g_03057	Prbb.g_00136
OG0000383	Syar.g_03074	Prbb.g_00138
OG0000384	Syar.g_03075	Prbb.g_00139
OG0000385	Syar.g_03076	Prbb.g_00140
OG0000386	Syar.g_03077	Prbb.g_00141
OG0000387	Syar.g_03109	Prbb.g_00154
OG0000388	Syar.g_03148, Syar.g_03113	Prbb.g_00158
OG0000389	Syar.g_03118	Prbb.g_00161
OG0000390	Syar.g_00033	Prbb.g_00170
OG0000391	Syar.g_00038	Prbb.g_00174
OG0000392	Syar.g_00045	Prbb.g_00177
OG0000393	Syar.g_00048	Prbb.g_00180
OG0000394	Syar.g_00049	Prbb.g_00181
OG0000395	Syar.g_00050	Prbb.g_00182
OG0000396	Syar.g_00053	Prbb.g_00185
OG0000397	Syar.g_00055	Prbb.g_00187
OG0000398	Syar.g_00060	Prbb.g_00190
OG0000399	Syar.g_00061	Prbb.g_00191
OG0000400	Syar.g_00062	Prbb.g_00192
OG0000401	Syar.g_00063	Prbb.g_00193
OG0000402	Syar.g_00065	Prbb.g_01101
OG0000403	Syar.g_00066	Prbb.g_00194
OG0000404	Syar.g_00067	Prbb.g_00195
OG0000405	Syar.g_00076	Prbb.g_00200
OG0000406	Syar.g_00080	Prbb.g_00204
OG0000407	Syar.g_00081	Prbb.g_00205
OG0000408	Syar.g_00083	Prbb.g_00207
OG0000409	Syar.g_00085	Prbb.g_00209
OG0000410	Syar.g_00086	Prbb.g_00210
OG0000411	Syar.g_00087	Prbb.g_00211
OG0000412	Syar.g_00088	Prbb.g_00212
OG0000413	Syar.g_00090	Prbb.g_00213
OG0000414	Syar.g_00091, Syar.g_03179	Prbb.g_00214
OG0000415	Syar.g_00092	Prbb.g_00215
OG0000416	Syar.g_00093	Prbb.g_00216
OG0000417	Syar.g_00095	Prbb.g_00217
OG0000418	Syar.g_00100	Prbb.g_00222
OG0000419	Syar.g_00102	Prbb.g_00224
OG0000420	Syar.g_00104	Prbb.g_00225
OG0000421	Syar.g_00109	Prbb.g_00229
OG0000422	Syar.g_00110	Prbb.g_00230
OG0000423	Syar.g_00111	Prbb.g_00231
OG0000424	Syar.g_00112	Prbb.g_00232
OG0000425	Syar.g_00113	Prbb.g_00233
OG0000426	Syar.g_00114	Prbb.g_00234
OG0000427	Syar.g_00115	Prbb.g_00235
OG0000428	Syar.g_00118	Prbb.g_00237
OG0000429	Syar.g_00121	Prbb.g_00238
OG0000430	Syar.g_00123	Prbb.g_00239
OG0000431	Syar.g_00127	Prbb.g_00241
OG0000432	Syar.g_01009	Prbb.g_00245
OG0000433	Syar.g_01007	Prbb.g_00246
OG0000434	Syar.g_01006	Prbb.g_00247
OG0000435	Syar.g_01003	Prbb.g_00248
OG0000436	Syar.g_00994	Prbb.g_00253
OG0000437	Syar.g_00993	Prbb.g_00254
OG0000438	Syar.g_00992	Prbb.g_00255
OG0000439	Syar.g_00990	Prbb.g_00257
OG0000440	Syar.g_00989	Prbb.g_00258
OG0000441	Syar.g_00986	Prbb.g_00260
OG0000442	Syar.g_00977	Prbb.g_00261
OG0000443	Syar.g_00964	Prbb.g_00262
OG0000444	Syar.g_00954	Prbb.g_00267
OG0000445	Syar.g_00953	Prbb.g_00268
OG0000446	Syar.g_00951	Prbb.g_00269
OG0000447	Syar.g_00948	Prbb.g_00270
OG0000448	Syar.g_00947	Prbb.g_00271
OG0000449	Syar.g_00946	Prbb.g_00272
OG0000450	Syar.g_00939	Prbb.g_00273
OG0000451	Syar.g_00938	Prbb.g_00274
OG0000452	Syar.g_00934	Prbb.g_00277
OG0000453	Syar.g_00933	Prbb.g_00278
OG0000454	Syar.g_00932	Prbb.g_00279
OG0000455	Syar.g_00931	Prbb.g_00280
OG0000456	Syar.g_00930	Prbb.g_00281
OG0000457	Syar.g_00928	Prbb.g_00282
OG0000458	Syar.g_00918	Prbb.g_00283
OG0000459	Syar.g_00917	Prbb.g_00284
OG0000460	Syar.g_03024	Prbb.g_00292
OG0000461	Syar.g_00153	Prbb.g_00300
OG0000462	Syar.g_00155	Prbb.g_00302
OG0000463	Syar.g_00156	Prbb.g_00303
OG0000464	Syar.g_00157	Prbb.g_00304
OG0000465	Syar.g_00159	Prbb.g_00305
OG0000466	Syar.g_00164	Prbb.g_00306
OG0000467	Syar.g_00165	Prbb.g_00307
OG0000468	Syar.g_00170	Prbb.g_00309
OG0000469	Syar.g_00203	Prbb.g_00316
OG0000470	Syar.g_00206	Prbb.g_00318
OG0000471	Syar.g_00207	Prbb.g_00319
OG0000472	Syar.g_00208	Prbb.g_00320
OG0000473	Syar.g_00210	Prbb.g_00322
OG0000474	Syar.g_00211	Prbb.g_00323
OG0000475	Syar.g_00212	Prbb.g_00324
OG0000476	Syar.g_00214	Prbb.g_00326
OG0000477	Syar.g_00219	Prbb.g_00328
OG0000478	Syar.g_00220	Prbb.g_00329
OG0000479	Syar.g_00221	Prbb.g_00330
OG0000480	Syar.g_00228	Prbb.g_00334
OG0000481	Syar.g_00230	Prbb.g_00336
OG0000482	Syar.g_00231	Prbb.g_00337
OG0000483	Syar.g_00235	Prbb.g_00340
OG0000484	Syar.g_00236	Prbb.g_00341
OG0000485	Syar.g_00237	Prbb.g_00342
OG0000486	Syar.g_00238, Syar.g_00024	Prbb.g_00343
OG0000487	Syar.g_00245	Prbb.g_00346
OG0000488	Syar.g_00853	Prbb.g_00349
OG0000489	Syar.g_00833	Prbb.g_00354
OG0000490	Syar.g_00823	Prbb.g_00359
OG0000491	Syar.g_00822	Prbb.g_00360
OG0000492	Syar.g_00727	Prbb.g_00362
OG0000493	Syar.g_00726	Prbb.g_00363
OG0000494	Syar.g_00725	Prbb.g_00364
OG0000495	Syar.g_00724	Prbb.g_00365
OG0000496	Syar.g_00723	Prbb.g_00366
OG0000497	Syar.g_00722	Prbb.g_00367
OG0000498	Syar.g_00721	Prbb.g_00368
OG0000499	Syar.g_00720	Prbb.g_00369
OG0000500	Syar.g_00719	Prbb.g_00370
OG0000501	Syar.g_00716	Prbb.g_00372
OG0000502	Syar.g_00275	Prbb.g_00375
OG0000503	Syar.g_01118	Prbb.g_00394
OG0000504	Syar.g_01120	Prbb.g_00396
OG0000505	Syar.g_01121	Prbb.g_00397
OG0000506	Syar.g_01123	Prbb.g_00398
OG0000507	Syar.g_01129	Prbb.g_00401
OG0000508	Syar.g_01141	Prbb.g_00404
OG0000509	Syar.g_01143	Prbb.g_00406
OG0000510	Syar.g_01144	Prbb.g_00407
OG0000511	Syar.g_01145	Prbb.g_00408
OG0000512	Syar.g_01147	Prbb.g_00410
OG0000513	Syar.g_01166	Prbb.g_00419
OG0000514	Syar.g_01169	Prbb.g_00436
OG0000515	Syar.g_01170	Prbb.g_00437
OG0000516	Syar.g_01172	Prbb.g_00438
OG0000517	Syar.g_01176	Prbb.g_00440
OG0000518	Syar.g_02868	Prbb.g_00451
OG0000519	Syar.g_02867	Prbb.g_00452
OG0000520	Syar.g_02866	Prbb.g_00453
OG0000521	Syar.g_01419	Prbb.g_00458
OG0000522	Syar.g_01421	Prbb.g_00460
OG0000523	Syar.g_01422	Prbb.g_00461
OG0000524	Syar.g_01244	Prbb.g_00468
OG0000525	Syar.g_01263	Prbb.g_00472
OG0000526	Syar.g_01266	Prbb.g_00473
OG0000527	Syar.g_01271	Prbb.g_00476
OG0000528	Syar.g_01466	Prbb.g_00482
OG0000529	Syar.g_01470	Prbb.g_00486
OG0000530	Syar.g_01473	Prbb.g_00489
OG0000531	Syar.g_01474	Prbb.g_00490
OG0000532	Syar.g_01477	Prbb.g_00491
OG0000533	Syar.g_01479	Prbb.g_00492
OG0000534	Syar.g_01480	Prbb.g_00493
OG0000535	Syar.g_01481	Prbb.g_00494
OG0000536	Syar.g_01482	Prbb.g_00495
OG0000537	Syar.g_01483	Prbb.g_00496
OG0000538	Syar.g_01496	Prbb.g_00504
OG0000539	Syar.g_01497	Prbb.g_00505
OG0000540	Syar.g_01498	Prbb.g_00506
OG0000541	Syar.g_01499	Prbb.g_00507
OG0000542	Syar.g_01502	Prbb.g_00509
OG0000543	Syar.g_01504	Prbb.g_00511
OG0000544	Syar.g_01505	Prbb.g_00512
OG0000545	Syar.g_01507	Prbb.g_00514
OG0000546	Syar.g_01509	Prbb.g_00517
OG0000547	Syar.g_01511	Prbb.g_00519
