Orthogroup	Syar	Prao
OG0000073	Syar.g_01493, Syar.g_01364	Prao.g_00605
OG0000075	Syar.g_03065, Syar.g_00659	Prao.g_01719
OG0000076	Syar.g_00608	Prao.g_01743
OG0000078	Syar.g_01366	Prao.g_00377
OG0000079	Syar.g_00166	Prao.g_00390
OG0000081	Syar.g_01898	Prao.g_01860
OG0000082	Syar.g_02202	Prao.g_00024
OG0000085	Syar.g_02919	Prao.g_01545
OG0000086	Syar.g_03085	Prao.g_00227
OG0000087	Syar.g_03192, Syar.g_00068	Prao.g_00277
OG0000088	Syar.g_00101	Prao.g_00304
OG0000089	Syar.g_01162	Prao.g_00490
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prao.g_01858
OG0000091	Syar.g_01891, Syar.g_02426	Prao.g_00081
OG0000092	Syar.g_01960	Prao.g_00850
OG0000094	Syar.g_01789	Prao.g_00955
OG0000095	Syar.g_01932	Prao.g_00974
OG0000097	Syar.g_01706, Syar.g_00364	Prao.g_01048
OG0000098	Syar.g_02343	Prao.g_01257
OG0000099	Syar.g_00715	Prao.g_01214
OG0000100	Syar.g_02477	Prao.g_01470
OG0000101	Syar.g_01073, Syar.g_03154	Prao.g_01687
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prao.g_01748
OG0000103	Syar.g_00452, Syar.g_00014	Prao.g_01828
OG0000104	Syar.g_00466	Prao.g_01837
OG0000105	Syar.g_00218	Prao.g_01378
OG0000106	Syar.g_01748	Prao.g_00505
OG0000107	Syar.g_00149	Prao.g_00518
OG0000108	Syar.g_01469	Prao.g_00586
OG0000109	Syar.g_03310, Syar.g_01485	Prao.g_00600
OG0000110	Syar.g_02295	Prao.g_01867
OG0000111	Syar.g_01940	Prao.g_00137
OG0000112	Syar.g_02548, Syar.g_03195	Prao.g_00704
OG0000113	Syar.g_02664	Prao.g_00763
OG0000114	Syar.g_01616	Prao.g_00845
OG0000115	Syar.g_02854, Syar.g_01415	Prao.g_01150
OG0000116	Syar.g_01525, Syar.g_02255	Prao.g_01099
OG0000117	Syar.g_01969	Prao.g_01332
OG0000118	Syar.g_02793	Prao.g_01264
OG0000120	Syar.g_00713	Prao.g_01215
OG0000121	Syar.g_02806	Prao.g_01399
OG0000123	Syar.g_01079	Prao.g_01694
OG0000124	Syar.g_00586	Prao.g_01759
OG0000125	Syar.g_00338	Prao.g_01796
OG0000126	Syar.g_00887, Syar.g_00888	Prao.g_01836
OG0000128	Syar.g_00482	Prao.g_00158
OG0000129	Syar.g_00324	Prao.g_00190
OG0000130	Syar.g_03040	Prao.g_00208
OG0000131	Syar.g_00078	Prao.g_00283
OG0000132	Syar.g_00099	Prao.g_00302
OG0000133	Syar.g_02543	Prao.g_00458
OG0000134	Syar.g_02009, Syar.g_01165	Prao.g_00491
OG0000135	Syar.g_00698	Prao.g_00516
OG0000136	Syar.g_02874	Prao.g_00545
OG0000137	Syar.g_01273	Prao.g_00581
OG0000138	Syar.g_01486	Prao.g_00601
OG0000139	Syar.g_03245	Prao.g_01854
OG0000140	Syar.g_02344, Syar.g_03246	Prao.g_01853
OG0000141	Syar.g_02129	Prao.g_00045
OG0000142	Syar.g_02418	Prao.g_00074
OG0000143	Syar.g_02422	Prao.g_00078
OG0000144	Syar.g_02441	Prao.g_00091
OG0000145	Syar.g_01494	Prao.g_00701
OG0000146	Syar.g_02549	Prao.g_00705
OG0000147	Syar.g_02550	Prao.g_00706
OG0000148	Syar.g_02658	Prao.g_00757
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prao.g_00788
OG0000150	Syar.g_02130	Prao.g_00796
OG0000151	Syar.g_02038	Prao.g_00855
OG0000152	Syar.g_02539	Prao.g_00902
OG0000153	Syar.g_03283, Syar.g_02503	Prao.g_00921
OG0000154	Syar.g_01800	Prao.g_00948
OG0000155	Syar.g_01959	Prao.g_01069
OG0000156	Syar.g_01517	Prao.g_01287
OG0000157	Syar.g_01516	Prao.g_01286
OG0000158	Syar.g_00650	Prao.g_01220
OG0000159	Syar.g_02359	Prao.g_01219
OG0000160	Syar.g_02807	Prao.g_01398
OG0000161	Syar.g_02801	Prao.g_01404
OG0000162	Syar.g_02863	Prao.g_01410
OG0000163	Syar.g_01186	Prao.g_01443
OG0000164	Syar.g_03168, Syar.g_02969	Prao.g_01576
OG0000165	Syar.g_02976	Prao.g_01583
OG0000166	Syar.g_01034	Prao.g_01651
OG0000167	Syar.g_00662	Prao.g_01717
OG0000168	Syar.g_00246	Prao.g_01727
OG0000169	Syar.g_00262	Prao.g_01737
OG0000170	Syar.g_00613	Prao.g_01739
OG0000171	Syar.g_00587	Prao.g_01758
OG0000172	Syar.g_00547	Prao.g_01767
OG0000173	Syar.g_00528	Prao.g_01782
OG0000174	Syar.g_00701	Prao.g_01810
OG0000175	Syar.g_00438	Prao.g_01820
OG0000176	Syar.g_00474	Prao.g_01845
OG0000177	Syar.g_00475	Prao.g_01846
OG0000178	Syar.g_00476	Prao.g_01847
OG0000179	Syar.g_00489	Prao.g_00163
OG0000180	Syar.g_00490	Prao.g_00164
OG0000181	Syar.g_00491	Prao.g_00165
OG0000182	Syar.g_00492	Prao.g_00166
OG0000183	Syar.g_00496	Prao.g_00170
OG0000184	Syar.g_00897	Prao.g_00192
OG0000185	Syar.g_00909	Prao.g_00195
OG0000186	Syar.g_03036	Prao.g_00203
OG0000187	Syar.g_03038	Prao.g_00204
OG0000188	Syar.g_03058	Prao.g_00221
OG0000189	Syar.g_03104	Prao.g_00235
OG0000190	Syar.g_03107, Syar.g_02374	Prao.g_00236
OG0000191	Syar.g_00039	Prao.g_00256
OG0000192	Syar.g_00046	Prao.g_00260
OG0000193	Syar.g_00079	Prao.g_00284
OG0000194	Syar.g_00082, Syar.g_03236	Prao.g_00287
OG0000195	Syar.g_00023, Syar.g_00084	Prao.g_00289
OG0000196	Syar.g_00096	Prao.g_00299
OG0000197	Syar.g_00097	Prao.g_00300
OG0000198	Syar.g_00098	Prao.g_00301
OG0000199	Syar.g_00106	Prao.g_00308
OG0000200	Syar.g_00124	Prao.g_00322
OG0000201	Syar.g_01000	Prao.g_00330
OG0000202	Syar.g_00021, Syar.g_00998	Prao.g_00331
OG0000203	Syar.g_00997, Syar.g_00020	Prao.g_00332
OG0000204	Syar.g_00996	Prao.g_00333
OG0000205	Syar.g_00988	Prao.g_00340
OG0000206	Syar.g_00963	Prao.g_00345
OG0000207	Syar.g_00957	Prao.g_00347
OG0000208	Syar.g_00956	Prao.g_00348
OG0000209	Syar.g_00936, Syar.g_03261	Prao.g_00357
OG0000210	Syar.g_03260, Syar.g_00935	Prao.g_00358
OG0000211	Syar.g_03026	Prao.g_00371
OG0000212	Syar.g_03017	Prao.g_00378
OG0000213	Syar.g_00187	Prao.g_00395
OG0000214	Syar.g_00209	Prao.g_00405
OG0000215	Syar.g_00239	Prao.g_00429
OG0000216	Syar.g_00244	Prao.g_00431
OG0000217	Syar.g_00854	Prao.g_00434
OG0000218	Syar.g_00852	Prao.g_00436
OG0000219	Syar.g_00851	Prao.g_00437
OG0000220	Syar.g_00850, Syar.g_02026	Prao.g_00438
OG0000221	Syar.g_00834	Prao.g_00439
OG0000222	Syar.g_02119, Syar.g_00728	Prao.g_00446
OG0000223	Syar.g_00649	Prao.g_00459
OG0000224	Syar.g_00273	Prao.g_00461
OG0000225	Syar.g_01142	Prao.g_00480
OG0000226	Syar.g_01146	Prao.g_00484
OG0000227	Syar.g_01148	Prao.g_00486
OG0000228	Syar.g_01161	Prao.g_00489
OG0000229	Syar.g_01177, Syar.g_03273	Prao.g_00540
OG0000230	Syar.g_01179	Prao.g_00542
OG0000231	Syar.g_02865, Syar.g_03151	Prao.g_00553
OG0000232	Syar.g_01424	Prao.g_00564
OG0000233	Syar.g_03183, Syar.g_01247	Prao.g_00569
OG0000234	Syar.g_01275	Prao.g_00582
OG0000235	Syar.g_01468	Prao.g_00585
OG0000236	Syar.g_01484, Syar.g_03311	Prao.g_00599
OG0000237	Syar.g_01503	Prao.g_00612
OG0000238	Syar.g_01508	Prao.g_00618
OG0000239	Syar.g_03277, Syar.g_02687	Prao.g_00631
OG0000240	Syar.g_02686, Syar.g_03278	Prao.g_00632
OG0000241	Syar.g_02410	Prao.g_01861
OG0000242	Syar.g_01926	Prao.g_01859
OG0000243	Syar.g_02335	Prao.g_01162
OG0000244	Syar.g_02327	Prao.g_01165
OG0000245	Syar.g_02325, Syar.g_03238	Prao.g_01167
OG0000246	Syar.g_02321	Prao.g_01171
OG0000247	Syar.g_02310	Prao.g_01181
OG0000248	Syar.g_02307, Syar.g_03293	Prao.g_01183
OG0000249	Syar.g_02305	Prao.g_01185
OG0000250	Syar.g_02299	Prao.g_01864
OG0000251	Syar.g_03207, Syar.g_02194	Prao.g_00029
OG0000252	Syar.g_02189, Syar.g_03263	Prao.g_00032
OG0000253	Syar.g_02028	Prao.g_00033
OG0000254	Syar.g_02169	Prao.g_00049
OG0000255	Syar.g_02224, Syar.g_00011	Prao.g_00055
OG0000256	Syar.g_02244	Prao.g_00066
OG0000257	Syar.g_02407, Syar.g_01762	Prao.g_00069
OG0000258	Syar.g_00010, Syar.g_02427	Prao.g_00082
OG0000259	Syar.g_02472	Prao.g_00099
OG0000260	Syar.g_03220, Syar.g_02475	Prao.g_00102
OG0000261	Syar.g_01916	Prao.g_00104
OG0000262	Syar.g_01690	Prao.g_00108
OG0000263	Syar.g_01991	Prao.g_00119
OG0000264	Syar.g_02135, Syar.g_03267	Prao.g_00129
OG0000266	Syar.g_01570	Prao.g_00658
OG0000267	Syar.g_01873	Prao.g_00669
OG0000268	Syar.g_02589	Prao.g_00670
OG0000269	Syar.g_02634	Prao.g_00736
OG0000270	Syar.g_00744, Syar.g_02637	Prao.g_00739
OG0000271	Syar.g_02645	Prao.g_00747
OG0000272	Syar.g_02646	Prao.g_00748
OG0000273	Syar.g_00008	Prao.g_00771
OG0000274	Syar.g_02482, Syar.g_00009	Prao.g_00772
OG0000275	Syar.g_01810	Prao.g_00775
OG0000276	Syar.g_01817	Prao.g_00780
OG0000277	Syar.g_03242, Syar.g_01818	Prao.g_00781
OG0000278	Syar.g_01821, Syar.g_03174	Prao.g_00784
OG0000279	Syar.g_01838	Prao.g_00791
OG0000280	Syar.g_02067, Syar.g_00734	Prao.g_00792
OG0000281	Syar.g_02218	Prao.g_00797
OG0000282	Syar.g_03255, Syar.g_01614	Prao.g_00847
OG0000283	Syar.g_02574	Prao.g_00879
OG0000284	Syar.g_02568	Prao.g_00884
OG0000285	Syar.g_02560	Prao.g_00889
OG0000286	Syar.g_02540	Prao.g_00901
OG0000287	Syar.g_02512	Prao.g_00918
OG0000288	Syar.g_01801	Prao.g_00947
OG0000289	Syar.g_01786	Prao.g_00958
OG0000290	Syar.g_01928	Prao.g_00971
OG0000291	Syar.g_01930	Prao.g_00973
OG0000292	Syar.g_00463	Prao.g_01025
OG0000293	Syar.g_01526, Syar.g_03297	Prao.g_01098
OG0000294	Syar.g_01527, Syar.g_03296	Prao.g_01097
OG0000295	Syar.g_01951, Syar.g_03208	Prao.g_01077
OG0000296	Syar.g_01953	Prao.g_01075
OG0000297	Syar.g_03216	Prao.g_01067
OG0000298	Syar.g_03215	Prao.g_01066
OG0000299	Syar.g_01704	Prao.g_01049
OG0000300	Syar.g_01646	Prao.g_01046
OG0000301	Syar.g_01712	Prao.g_01045
OG0000302	Syar.g_01713	Prao.g_01043
OG0000303	Syar.g_01723	Prao.g_01036
OG0000304	Syar.g_01728	Prao.g_01032
OG0000305	Syar.g_01933, Syar.g_03163	Prao.g_01247
OG0000306	Syar.g_01884, Syar.g_03140	Prao.g_01244
OG0000307	Syar.g_01452, Syar.g_03153	Prao.g_01230
OG0000308	Syar.g_01450	Prao.g_01229
OG0000309	Syar.g_01239	Prao.g_01225
OG0000310	Syar.g_02826	Prao.g_01382
OG0000311	Syar.g_02823	Prao.g_01384
OG0000312	Syar.g_00015, Syar.g_02818	Prao.g_01387
OG0000313	Syar.g_02804	Prao.g_01401
OG0000314	Syar.g_01403	Prao.g_01423
OG0000315	Syar.g_01393	Prao.g_01433
OG0000316	Syar.g_02885	Prao.g_01453
OG0000317	Syar.g_02926	Prao.g_01550
OG0000318	Syar.g_02930	Prao.g_01553
OG0000319	Syar.g_02954	Prao.g_01566
OG0000320	Syar.g_02956	Prao.g_01568
OG0000321	Syar.g_02957	Prao.g_01569
OG0000322	Syar.g_02958	Prao.g_01570
OG0000323	Syar.g_02973	Prao.g_01579
OG0000324	Syar.g_00350, Syar.g_03001	Prao.g_01605
OG0000325	Syar.g_03291, Syar.g_00148	Prao.g_01616
OG0000326	Syar.g_00139, Syar.g_03134	Prao.g_01622
OG0000327	Syar.g_01029	Prao.g_01646
OG0000328	Syar.g_01030	Prao.g_01647
OG0000329	Syar.g_03189, Syar.g_01048	Prao.g_01664
OG0000330	Syar.g_01049	Prao.g_01665
OG0000331	Syar.g_03191, Syar.g_01050	Prao.g_01666
OG0000332	Syar.g_01064, Syar.g_03299	Prao.g_01680
OG0000333	Syar.g_01067	Prao.g_01682
OG0000334	Syar.g_01076	Prao.g_01690
OG0000335	Syar.g_01080	Prao.g_01695
OG0000336	Syar.g_01084	Prao.g_01699
OG0000337	Syar.g_00285	Prao.g_01715
OG0000338	Syar.g_03225, Syar.g_00287	Prao.g_01716
OG0000339	Syar.g_00658	Prao.g_01720
OG0000340	Syar.g_00247	Prao.g_01728
OG0000341	Syar.g_00249	Prao.g_01730
OG0000342	Syar.g_00250	Prao.g_01731
OG0000343	Syar.g_00256	Prao.g_01732
OG0000344	Syar.g_00260	Prao.g_01735
OG0000345	Syar.g_00612	Prao.g_01740
OG0000346	Syar.g_00607	Prao.g_01744
OG0000347	Syar.g_00558	Prao.g_01760
OG0000348	Syar.g_00544	Prao.g_01770
OG0000349	Syar.g_00521	Prao.g_01787
OG0000350	Syar.g_00132	Prao.g_01806
OG0000351	Syar.g_00442	Prao.g_01823
OG0000352	Syar.g_00443	Prao.g_01824
OG0000353	Syar.g_00469	Prao.g_01840
OG0000354	Syar.g_00487	Prao.g_00637
OG0000355	Syar.g_00471	Prao.g_01842
OG0000356	Syar.g_00472	Prao.g_01843
OG0000357	Syar.g_00473	Prao.g_01844
OG0000358	Syar.g_00477	Prao.g_01848
OG0000359	Syar.g_00479	Prao.g_01849
OG0000360	Syar.g_00480	Prao.g_01850
OG0000361	Syar.g_00481	Prao.g_00157
OG0000362	Syar.g_00483	Prao.g_00159
OG0000363	Syar.g_00484	Prao.g_00161
OG0000364	Syar.g_02928	Prao.g_00162
OG0000365	Syar.g_00493	Prao.g_00167
OG0000366	Syar.g_00494	Prao.g_00168
OG0000367	Syar.g_03262, Syar.g_00495	Prao.g_00169
OG0000368	Syar.g_00497	Prao.g_00171
OG0000369	Syar.g_00498	Prao.g_00172
OG0000370	Syar.g_00499	Prao.g_00173
OG0000371	Syar.g_00508	Prao.g_00178
OG0000372	Syar.g_00514	Prao.g_00181
OG0000373	Syar.g_00515	Prao.g_00182
OG0000374	Syar.g_00516	Prao.g_00183
OG0000375	Syar.g_00517	Prao.g_00186
OG0000376	Syar.g_00519	Prao.g_00188
OG0000377	Syar.g_00322	Prao.g_00191
OG0000378	Syar.g_00905	Prao.g_00193
OG0000379	Syar.g_00910	Prao.g_00196
OG0000380	Syar.g_03039	Prao.g_00205
OG0000381	Syar.g_03041	Prao.g_00209
OG0000382	Syar.g_03057	Prao.g_00220
OG0000383	Syar.g_03074	Prao.g_00222
OG0000384	Syar.g_03075	Prao.g_00223
OG0000385	Syar.g_03076	Prao.g_00224
OG0000386	Syar.g_03077	Prao.g_00225
OG0000387	Syar.g_03109	Prao.g_00238
OG0000388	Syar.g_03148, Syar.g_03113	Prao.g_00241
OG0000389	Syar.g_03118	Prao.g_00244
OG0000390	Syar.g_00033	Prao.g_00251
OG0000391	Syar.g_00038	Prao.g_00255
OG0000392	Syar.g_00045	Prao.g_00259
OG0000393	Syar.g_00048	Prao.g_00261
OG0000394	Syar.g_00049	Prao.g_00262
OG0000395	Syar.g_00050	Prao.g_00263
OG0000396	Syar.g_00053	Prao.g_00266
OG0000397	Syar.g_00055	Prao.g_00268
OG0000398	Syar.g_00060	Prao.g_00270
OG0000399	Syar.g_00061	Prao.g_00271
OG0000400	Syar.g_00062	Prao.g_00272
OG0000401	Syar.g_00063	Prao.g_00273
OG0000402	Syar.g_00065	Prao.g_00274
OG0000403	Syar.g_00066	Prao.g_00275
OG0000404	Syar.g_00067	Prao.g_00276
OG0000405	Syar.g_00076	Prao.g_00280
OG0000406	Syar.g_00080	Prao.g_00285
OG0000407	Syar.g_00081	Prao.g_00286
OG0000408	Syar.g_00083	Prao.g_00288
OG0000409	Syar.g_00085	Prao.g_00290
OG0000410	Syar.g_00086	Prao.g_00291
OG0000411	Syar.g_00087	Prao.g_00292
OG0000412	Syar.g_00088	Prao.g_00293
OG0000413	Syar.g_00090	Prao.g_00294
OG0000414	Syar.g_00091, Syar.g_03179	Prao.g_00295
OG0000415	Syar.g_00092	Prao.g_00296
OG0000416	Syar.g_00093	Prao.g_00297
OG0000417	Syar.g_00095	Prao.g_00298
OG0000418	Syar.g_00100	Prao.g_00303
OG0000419	Syar.g_00102	Prao.g_00305
OG0000420	Syar.g_00104	Prao.g_00306
OG0000421	Syar.g_00109	Prao.g_00311
OG0000422	Syar.g_00110	Prao.g_00312
OG0000423	Syar.g_00111	Prao.g_00313
OG0000424	Syar.g_00112	Prao.g_00314
OG0000425	Syar.g_00113	Prao.g_00315
OG0000426	Syar.g_00114	Prao.g_00316
OG0000427	Syar.g_00115	Prao.g_00317
OG0000428	Syar.g_00118	Prao.g_00319
OG0000429	Syar.g_00121	Prao.g_00320
OG0000430	Syar.g_00123	Prao.g_00321
OG0000431	Syar.g_00127	Prao.g_00323
OG0000432	Syar.g_01009	Prao.g_00326
OG0000433	Syar.g_01007	Prao.g_00327
OG0000434	Syar.g_01006	Prao.g_00328
OG0000435	Syar.g_01003	Prao.g_00329
OG0000436	Syar.g_00994	Prao.g_00334
OG0000437	Syar.g_00993	Prao.g_00335
OG0000438	Syar.g_00992	Prao.g_00336
OG0000439	Syar.g_00990	Prao.g_00338
OG0000440	Syar.g_00989	Prao.g_00339
OG0000441	Syar.g_00986	Prao.g_00342
OG0000442	Syar.g_00977	Prao.g_00343
OG0000443	Syar.g_00964	Prao.g_00344
OG0000444	Syar.g_00954	Prao.g_00349
OG0000445	Syar.g_00953	Prao.g_00350
OG0000446	Syar.g_00951	Prao.g_00351
OG0000447	Syar.g_00948	Prao.g_00352
OG0000448	Syar.g_00947	Prao.g_00353
OG0000449	Syar.g_00946	Prao.g_00354
OG0000450	Syar.g_00939	Prao.g_00355
OG0000451	Syar.g_00938	Prao.g_00356
OG0000452	Syar.g_00934	Prao.g_00359
OG0000453	Syar.g_00933	Prao.g_00360
OG0000454	Syar.g_00932	Prao.g_00361
OG0000455	Syar.g_00931	Prao.g_00362
OG0000456	Syar.g_00930	Prao.g_00363
OG0000457	Syar.g_00928	Prao.g_00364
OG0000458	Syar.g_00918	Prao.g_00365
OG0000459	Syar.g_00917	Prao.g_00366
OG0000460	Syar.g_03024	Prao.g_00373
OG0000461	Syar.g_00153	Prao.g_00380
OG0000462	Syar.g_00155	Prao.g_00382
OG0000463	Syar.g_00156	Prao.g_00383
OG0000464	Syar.g_00157	Prao.g_00384
OG0000465	Syar.g_00159	Prao.g_00385
OG0000466	Syar.g_00164	Prao.g_00388
OG0000467	Syar.g_00165	Prao.g_00389
OG0000468	Syar.g_00170	Prao.g_00391
OG0000469	Syar.g_00203	Prao.g_00400
OG0000470	Syar.g_00206	Prao.g_00402
OG0000471	Syar.g_00207	Prao.g_00403
OG0000472	Syar.g_00208	Prao.g_00404
OG0000473	Syar.g_00210	Prao.g_00406
OG0000474	Syar.g_00211	Prao.g_00407
OG0000475	Syar.g_00212	Prao.g_00408
OG0000476	Syar.g_00214	Prao.g_00409
OG0000477	Syar.g_00219	Prao.g_00412
OG0000478	Syar.g_00220	Prao.g_00413
OG0000479	Syar.g_00221	Prao.g_00414
OG0000480	Syar.g_00228	Prao.g_00419
OG0000481	Syar.g_00230	Prao.g_00421
OG0000482	Syar.g_00231	Prao.g_00422
OG0000483	Syar.g_00235	Prao.g_00425
OG0000484	Syar.g_00236	Prao.g_00426
OG0000485	Syar.g_00237	Prao.g_00427
OG0000486	Syar.g_00238, Syar.g_00024	Prao.g_00428
OG0000487	Syar.g_00245	Prao.g_00432
OG0000488	Syar.g_00853	Prao.g_00435
OG0000489	Syar.g_00833	Prao.g_00440
OG0000490	Syar.g_00823	Prao.g_00444
OG0000491	Syar.g_00822	Prao.g_00445
OG0000492	Syar.g_00727	Prao.g_00447
OG0000493	Syar.g_00726	Prao.g_00448
OG0000494	Syar.g_00725	Prao.g_00449
OG0000495	Syar.g_00724	Prao.g_00450
OG0000496	Syar.g_00723	Prao.g_00451
OG0000497	Syar.g_00722	Prao.g_00452
OG0000498	Syar.g_00721	Prao.g_00453
OG0000499	Syar.g_00720	Prao.g_00454
OG0000500	Syar.g_00719	Prao.g_00455
OG0000501	Syar.g_00716	Prao.g_00457
OG0000502	Syar.g_00275	Prao.g_00460
OG0000503	Syar.g_01118	Prao.g_00470
OG0000504	Syar.g_01120	Prao.g_00471
OG0000505	Syar.g_01121	Prao.g_00472
OG0000506	Syar.g_01123	Prao.g_00474
OG0000507	Syar.g_01129	Prao.g_00476
OG0000508	Syar.g_01141	Prao.g_00479
OG0000509	Syar.g_01143	Prao.g_00481
OG0000510	Syar.g_01144	Prao.g_00482
OG0000511	Syar.g_01145	Prao.g_00483
OG0000512	Syar.g_01147	Prao.g_00485
OG0000513	Syar.g_01166	Prao.g_00492
OG0000514	Syar.g_01169	Prao.g_00535
OG0000515	Syar.g_01170	Prao.g_00536
OG0000516	Syar.g_01172	Prao.g_00537
OG0000517	Syar.g_01176	Prao.g_00539
OG0000518	Syar.g_02868	Prao.g_00550
OG0000519	Syar.g_02867	Prao.g_00551
OG0000520	Syar.g_02866	Prao.g_00552
OG0000521	Syar.g_01419	Prao.g_00557
OG0000522	Syar.g_01421	Prao.g_00559
OG0000523	Syar.g_01422	Prao.g_00560
OG0000524	Syar.g_01244	Prao.g_00567
OG0000525	Syar.g_01263	Prao.g_00570
OG0000526	Syar.g_01266	Prao.g_00571
OG0000527	Syar.g_01271	Prao.g_00579
OG0000528	Syar.g_01466	Prao.g_00584
OG0000529	Syar.g_01470	Prao.g_00587
OG0000530	Syar.g_01473	Prao.g_00590
OG0000531	Syar.g_01474	Prao.g_00591
OG0000532	Syar.g_01477	Prao.g_00593
OG0000533	Syar.g_01479	Prao.g_00594
OG0000534	Syar.g_01480	Prao.g_00595
OG0000535	Syar.g_01481	Prao.g_00596
OG0000536	Syar.g_01482	Prao.g_00597
OG0000537	Syar.g_01483	Prao.g_00598
OG0000538	Syar.g_01496	Prao.g_00606
OG0000539	Syar.g_01497	Prao.g_00607
OG0000540	Syar.g_01498	Prao.g_00608
OG0000541	Syar.g_01499	Prao.g_00609
OG0000542	Syar.g_01502	Prao.g_00611
OG0000543	Syar.g_01504	Prao.g_00613
OG0000544	Syar.g_01505	Prao.g_00614
OG0000545	Syar.g_01507	Prao.g_00616
OG0000546	Syar.g_01509	Prao.g_00619
OG0000547	Syar.g_01511	Prao.g_00621
OG0000548	Syar.g_01512	Prao.g_00622
OG0000549	Syar.g_02693	Prao.g_00624
OG0000550	Syar.g_02689	Prao.g_00629
OG0000551	Syar.g_02684	Prao.g_00633
OG0000552	Syar.g_02683	Prao.g_00634
OG0000553	Syar.g_02679	Prao.g_00635
OG0000554	Syar.g_02352	Prao.g_01857
OG0000555	Syar.g_02336	Prao.g_01161
OG0000556	Syar.g_02332	Prao.g_01163
OG0000557	Syar.g_02328	Prao.g_01164
OG0000558	Syar.g_02326	Prao.g_01166
OG0000559	Syar.g_02322	Prao.g_01170
OG0000560	Syar.g_02320	Prao.g_01173
OG0000561	Syar.g_02319	Prao.g_01174
OG0000562	Syar.g_02318	Prao.g_01175
OG0000563	Syar.g_02317	Prao.g_01176
OG0000564	Syar.g_02316	Prao.g_01177
OG0000565	Syar.g_02312	Prao.g_01180
OG0000566	Syar.g_02308	Prao.g_01182
OG0000567	Syar.g_02304	Prao.g_01186
OG0000568	Syar.g_02302	Prao.g_01187
OG0000569	Syar.g_02301	Prao.g_01862
OG0000570	Syar.g_02300	Prao.g_01863
OG0000571	Syar.g_02298	Prao.g_01865
OG0000572	Syar.g_02201	Prao.g_00025
OG0000573	Syar.g_02191	Prao.g_00030
OG0000574	Syar.g_02190	Prao.g_00031
OG0000575	Syar.g_03180	Prao.g_00035
OG0000576	Syar.g_02187	Prao.g_00037
OG0000577	Syar.g_02186	Prao.g_00038
OG0000578	Syar.g_02185	Prao.g_00039
OG0000579	Syar.g_02184	Prao.g_00040
OG0000580	Syar.g_02183	Prao.g_00041
