Orthogroup	Syar	Prar
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prar.g_00658
OG0000103	Syar.g_00452, Syar.g_00014	Prar.g_00050
OG0000104	Syar.g_00466	Prar.g_00042
OG0000105	Syar.g_00218	Prar.g_00313
OG0000106	Syar.g_01748	Prar.g_00431
OG0000107	Syar.g_00149	Prar.g_00446
OG0000108	Syar.g_01469	Prar.g_00530
OG0000109	Syar.g_03310, Syar.g_01485	Prar.g_00544
OG0000110	Syar.g_02295	Prar.g_01404
OG0000111	Syar.g_01940	Prar.g_01529
OG0000112	Syar.g_02548, Syar.g_03195	Prar.g_01652
OG0000113	Syar.g_02664	Prar.g_01706
OG0000114	Syar.g_01616	Prar.g_01776
OG0000115	Syar.g_02854, Syar.g_01415	Prar.g_01318
OG0000116	Syar.g_01525, Syar.g_02255	Prar.g_01273
OG0000117	Syar.g_01969	Prar.g_01003
OG0000118	Syar.g_02793	Prar.g_00943
OG0000120	Syar.g_00713	Prar.g_00880
OG0000121	Syar.g_02806	Prar.g_00337
OG0000123	Syar.g_01079	Prar.g_01021
OG0000124	Syar.g_00586	Prar.g_00668
OG0000125	Syar.g_00338	Prar.g_00704
OG0000126	Syar.g_00887, Syar.g_00888	Prar.g_00043
OG0000128	Syar.g_00482	Prar.g_00027
OG0000129	Syar.g_00324	Prar.g_00576
OG0000130	Syar.g_03040	Prar.g_00549
OG0000131	Syar.g_00078	Prar.g_00182
OG0000132	Syar.g_00099	Prar.g_00163
OG0000133	Syar.g_02543	Prar.g_00265
OG0000134	Syar.g_02009, Syar.g_01165	Prar.g_00417
OG0000135	Syar.g_00698	Prar.g_00444
OG0000136	Syar.g_02874	Prar.g_00489
OG0000137	Syar.g_01273	Prar.g_00525
OG0000138	Syar.g_01486	Prar.g_00545
OG0000139	Syar.g_03245	Prar.g_01367
OG0000140	Syar.g_02344, Syar.g_03246	Prar.g_01368
OG0000141	Syar.g_02129	Prar.g_01437
OG0000142	Syar.g_02418	Prar.g_01465
OG0000143	Syar.g_02422	Prar.g_01469
OG0000144	Syar.g_02441	Prar.g_01482
OG0000145	Syar.g_01494	Prar.g_01651
OG0000146	Syar.g_02549	Prar.g_01653
OG0000147	Syar.g_02550	Prar.g_01654
OG0000148	Syar.g_02658	Prar.g_01700
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prar.g_01730
OG0000150	Syar.g_02130	Prar.g_01738
OG0000151	Syar.g_02038	Prar.g_01786
OG0000152	Syar.g_02539	Prar.g_01833
OG0000153	Syar.g_03283, Syar.g_02503	Prar.g_01852
OG0000154	Syar.g_01800	Prar.g_01878
OG0000155	Syar.g_01959	Prar.g_01243
OG0000156	Syar.g_01517	Prar.g_00966
OG0000157	Syar.g_01516	Prar.g_00965
OG0000158	Syar.g_00650	Prar.g_00375
OG0000159	Syar.g_02359	Prar.g_00380, Prar.g_00871
OG0000160	Syar.g_02807	Prar.g_00338
OG0000161	Syar.g_02801	Prar.g_00840
OG0000162	Syar.g_02863	Prar.g_00834
OG0000163	Syar.g_01186	Prar.g_00800
OG0000164	Syar.g_03168, Syar.g_02969	Prar.g_01964
OG0000165	Syar.g_02976	Prar.g_01971
OG0000166	Syar.g_01034	Prar.g_01063
OG0000167	Syar.g_00662	Prar.g_00627
OG0000168	Syar.g_00246	Prar.g_00637
OG0000169	Syar.g_00262	Prar.g_00647
OG0000170	Syar.g_00613	Prar.g_00649
OG0000171	Syar.g_00587	Prar.g_00667
OG0000172	Syar.g_00547	Prar.g_00675
OG0000173	Syar.g_00528	Prar.g_00690
OG0000174	Syar.g_00701	Prar.g_00068
OG0000175	Syar.g_00438	Prar.g_00058
OG0000176	Syar.g_00474	Prar.g_00034
OG0000177	Syar.g_00475	Prar.g_00033
OG0000178	Syar.g_00476	Prar.g_00032
OG0000179	Syar.g_00489	Prar.g_00022
OG0000180	Syar.g_00490	Prar.g_00021
OG0000181	Syar.g_00491	Prar.g_00020
OG0000182	Syar.g_00492	Prar.g_00019
OG0000183	Syar.g_00496	Prar.g_00015
OG0000184	Syar.g_00897	Prar.g_00573
OG0000185	Syar.g_00909	Prar.g_00570
OG0000186	Syar.g_03036	Prar.g_00554
OG0000187	Syar.g_03038	Prar.g_00553
OG0000188	Syar.g_03058	Prar.g_00246
OG0000189	Syar.g_03104	Prar.g_00232
OG0000190	Syar.g_03107, Syar.g_02374	Prar.g_00231
OG0000191	Syar.g_00039	Prar.g_00211
OG0000192	Syar.g_00046	Prar.g_00207
OG0000193	Syar.g_00079	Prar.g_00181
OG0000194	Syar.g_00082, Syar.g_03236	Prar.g_00178
OG0000195	Syar.g_00023, Syar.g_00084	Prar.g_00176
OG0000196	Syar.g_00096	Prar.g_00166
OG0000197	Syar.g_00097	Prar.g_00165
OG0000198	Syar.g_00098	Prar.g_00164
OG0000199	Syar.g_00106	Prar.g_00157
OG0000200	Syar.g_00124	Prar.g_00143
OG0000201	Syar.g_01000	Prar.g_00135
OG0000202	Syar.g_00021, Syar.g_00998	Prar.g_00134
OG0000203	Syar.g_00997, Syar.g_00020	Prar.g_00133
OG0000204	Syar.g_00996	Prar.g_00132
OG0000205	Syar.g_00988	Prar.g_00125
OG0000206	Syar.g_00963	Prar.g_00120
OG0000207	Syar.g_00957	Prar.g_00118
OG0000208	Syar.g_00956	Prar.g_00117
OG0000209	Syar.g_00936, Syar.g_03261	Prar.g_00108
OG0000210	Syar.g_03260, Syar.g_00935	Prar.g_00107
OG0000211	Syar.g_03026	Prar.g_00094
OG0000212	Syar.g_03017	Prar.g_00087
OG0000213	Syar.g_00187	Prar.g_00330
OG0000214	Syar.g_00209	Prar.g_00320
OG0000215	Syar.g_00239	Prar.g_00295
OG0000216	Syar.g_00244	Prar.g_00293
OG0000217	Syar.g_00854	Prar.g_01154, Prar.g_00290
OG0000218	Syar.g_00852	Prar.g_00288
OG0000219	Syar.g_00851	Prar.g_00287
OG0000220	Syar.g_00850, Syar.g_02026	Prar.g_00286
OG0000221	Syar.g_00834	Prar.g_00285
OG0000222	Syar.g_02119, Syar.g_00728	Prar.g_00277
OG0000223	Syar.g_00649	Prar.g_00264
OG0000224	Syar.g_00273	Prar.g_00262
OG0000225	Syar.g_01142	Prar.g_00406
OG0000226	Syar.g_01146	Prar.g_00410
OG0000227	Syar.g_01148	Prar.g_00412
OG0000228	Syar.g_01161	Prar.g_00415
OG0000229	Syar.g_01177, Syar.g_03273	Prar.g_00484
OG0000230	Syar.g_01179	Prar.g_00486
OG0000231	Syar.g_02865, Syar.g_03151	Prar.g_00497
OG0000232	Syar.g_01424	Prar.g_00506
OG0000233	Syar.g_03183, Syar.g_01247	Prar.g_00512
OG0000234	Syar.g_01275	Prar.g_00526
OG0000235	Syar.g_01468	Prar.g_00529
OG0000236	Syar.g_01484, Syar.g_03311	Prar.g_00543
OG0000237	Syar.g_01503	Prar.g_01337
OG0000238	Syar.g_01508	Prar.g_01343
OG0000239	Syar.g_03277, Syar.g_02687	Prar.g_01355
OG0000240	Syar.g_02686, Syar.g_03278	Prar.g_01356
OG0000241	Syar.g_02410	Prar.g_01360
OG0000242	Syar.g_01926	Prar.g_01362
OG0000243	Syar.g_02335	Prar.g_01373
OG0000244	Syar.g_02327	Prar.g_01376
OG0000245	Syar.g_02325, Syar.g_03238	Prar.g_01378
OG0000246	Syar.g_02321	Prar.g_01382
OG0000247	Syar.g_02310	Prar.g_01392
OG0000248	Syar.g_02307, Syar.g_03293	Prar.g_01394
OG0000249	Syar.g_02305	Prar.g_01396
OG0000250	Syar.g_02299	Prar.g_01401
OG0000251	Syar.g_03207, Syar.g_02194	Prar.g_01420
OG0000252	Syar.g_02189, Syar.g_03263	Prar.g_01424
OG0000253	Syar.g_02028	Prar.g_01425
OG0000254	Syar.g_02169	Prar.g_01441
OG0000255	Syar.g_02224, Syar.g_00011	Prar.g_01447
OG0000256	Syar.g_02244	Prar.g_01457
OG0000257	Syar.g_02407, Syar.g_01762	Prar.g_01460
OG0000258	Syar.g_00010, Syar.g_02427	Prar.g_01473
OG0000259	Syar.g_02472	Prar.g_01490
OG0000260	Syar.g_03220, Syar.g_02475	Prar.g_01493
OG0000261	Syar.g_01916	Prar.g_01495
OG0000262	Syar.g_01690	Prar.g_01499
OG0000263	Syar.g_01991	Prar.g_01511
OG0000264	Syar.g_02135, Syar.g_03267	Prar.g_01521
OG0000266	Syar.g_01570	Prar.g_01609
OG0000267	Syar.g_01873	Prar.g_01620
OG0000268	Syar.g_02589	Prar.g_01621
OG0000269	Syar.g_02634	Prar.g_01679
OG0000270	Syar.g_00744, Syar.g_02637	Prar.g_01682
OG0000271	Syar.g_02645	Prar.g_01690
OG0000272	Syar.g_02646	Prar.g_01691
OG0000273	Syar.g_00008	Prar.g_01714
OG0000274	Syar.g_02482, Syar.g_00009	Prar.g_01715
OG0000275	Syar.g_01810	Prar.g_01717
OG0000276	Syar.g_01817	Prar.g_01722
OG0000277	Syar.g_03242, Syar.g_01818	Prar.g_01723
OG0000278	Syar.g_01821, Syar.g_03174	Prar.g_01726
OG0000279	Syar.g_01838	Prar.g_01733
OG0000280	Syar.g_02067, Syar.g_00734	Prar.g_01734
OG0000281	Syar.g_02218	Prar.g_01740
OG0000282	Syar.g_03255, Syar.g_01614	Prar.g_01778
OG0000283	Syar.g_02574	Prar.g_01810
OG0000284	Syar.g_02568	Prar.g_01815
OG0000285	Syar.g_02560	Prar.g_01820
OG0000286	Syar.g_02540	Prar.g_01832
OG0000287	Syar.g_02512	Prar.g_01849
OG0000288	Syar.g_01801	Prar.g_01877
OG0000289	Syar.g_01786	Prar.g_01888
OG0000290	Syar.g_01928	Prar.g_01901
OG0000291	Syar.g_01930	Prar.g_01903
OG0000292	Syar.g_00463	Prar.g_01953
OG0000293	Syar.g_01526, Syar.g_03297	Prar.g_01272
OG0000294	Syar.g_01527, Syar.g_03296	Prar.g_01271
OG0000295	Syar.g_01951, Syar.g_03208	Prar.g_01251
OG0000296	Syar.g_01953	Prar.g_01249
OG0000297	Syar.g_03216	Prar.g_01241
OG0000298	Syar.g_03215	Prar.g_01240
OG0000299	Syar.g_01704	Prar.g_01223
OG0000300	Syar.g_01646	Prar.g_01220
OG0000301	Syar.g_01712	Prar.g_01219
OG0000302	Syar.g_01713	Prar.g_01217
OG0000303	Syar.g_01723	Prar.g_01210
OG0000304	Syar.g_01728	Prar.g_01206
OG0000305	Syar.g_01933, Syar.g_03163	Prar.g_00919
OG0000306	Syar.g_01884, Syar.g_03140	Prar.g_00916
OG0000307	Syar.g_01452, Syar.g_03153	Prar.g_00902
OG0000308	Syar.g_01450	Prar.g_00901
OG0000309	Syar.g_01239	Prar.g_00897
OG0000310	Syar.g_02826	Prar.g_00354
OG0000311	Syar.g_02823	Prar.g_00352
OG0000312	Syar.g_00015, Syar.g_02818	Prar.g_00349
OG0000313	Syar.g_02804	Prar.g_00335
OG0000314	Syar.g_01403	Prar.g_00820
OG0000315	Syar.g_01393	Prar.g_00810
OG0000316	Syar.g_02885	Prar.g_00790
OG0000317	Syar.g_02926	Prar.g_01145
OG0000318	Syar.g_02930	Prar.g_01142
OG0000319	Syar.g_02954	Prar.g_01129
OG0000320	Syar.g_02956	Prar.g_01127
OG0000321	Syar.g_02957	Prar.g_01126
OG0000322	Syar.g_02958	Prar.g_01125
OG0000323	Syar.g_02973	Prar.g_01967
OG0000324	Syar.g_00350, Syar.g_03001	Prar.g_00609
OG0000325	Syar.g_03291, Syar.g_00148	Prar.g_01113
OG0000326	Syar.g_00139, Syar.g_03134	Prar.g_01107
OG0000327	Syar.g_01029	Prar.g_01068
OG0000328	Syar.g_01030	Prar.g_01067
OG0000329	Syar.g_03189, Syar.g_01048	Prar.g_01050
OG0000330	Syar.g_01049	Prar.g_01049
OG0000331	Syar.g_03191, Syar.g_01050	Prar.g_01048
OG0000332	Syar.g_01064, Syar.g_03299	Prar.g_01034
OG0000333	Syar.g_01067	Prar.g_01032
OG0000334	Syar.g_01076	Prar.g_01024
OG0000335	Syar.g_01080	Prar.g_01020
OG0000336	Syar.g_01084	Prar.g_01016
OG0000337	Syar.g_00285	Prar.g_00625
OG0000338	Syar.g_03225, Syar.g_00287	Prar.g_00626
OG0000339	Syar.g_00658	Prar.g_00630
OG0000340	Syar.g_00247	Prar.g_00638
OG0000341	Syar.g_00249	Prar.g_00640
OG0000342	Syar.g_00250	Prar.g_00641
OG0000343	Syar.g_00256	Prar.g_00642
OG0000344	Syar.g_00260	Prar.g_00645
OG0000345	Syar.g_00612	Prar.g_00650
OG0000346	Syar.g_00607	Prar.g_00654
OG0000347	Syar.g_00558	Prar.g_00669
OG0000348	Syar.g_00544	Prar.g_00678
OG0000349	Syar.g_00521	Prar.g_00695
OG0000350	Syar.g_00132	Prar.g_00072
OG0000351	Syar.g_00442	Prar.g_00055
OG0000352	Syar.g_00443	Prar.g_00054
OG0000353	Syar.g_00469	Prar.g_00039
OG0000355	Syar.g_00471	Prar.g_00037
OG0000356	Syar.g_00472	Prar.g_00036
OG0000357	Syar.g_00473	Prar.g_00035
OG0000358	Syar.g_00477	Prar.g_00031
OG0000359	Syar.g_00479	Prar.g_00030
OG0000360	Syar.g_00480	Prar.g_00029
OG0000361	Syar.g_00481	Prar.g_00028
OG0000362	Syar.g_00483	Prar.g_00026
OG0000363	Syar.g_00484	Prar.g_00024
OG0000364	Syar.g_02928	Prar.g_00023
OG0000365	Syar.g_00493	Prar.g_00018
OG0000366	Syar.g_00494	Prar.g_00017
OG0000367	Syar.g_03262, Syar.g_00495	Prar.g_00016
OG0000368	Syar.g_00497	Prar.g_00014
OG0000369	Syar.g_00498	Prar.g_00013
OG0000370	Syar.g_00499	Prar.g_00012
OG0000371	Syar.g_00508	Prar.g_00006
OG0000372	Syar.g_00514	Prar.g_00002
OG0000373	Syar.g_00515	Prar.g_00001
OG0000374	Syar.g_00516	Prar.g_00594
OG0000375	Syar.g_00517	Prar.g_00580
OG0000376	Syar.g_00519	Prar.g_00578
OG0000377	Syar.g_00322	Prar.g_00574
OG0000378	Syar.g_00905	Prar.g_00572
OG0000379	Syar.g_00910	Prar.g_00569
OG0000380	Syar.g_03039	Prar.g_00552
OG0000381	Syar.g_03041	Prar.g_00548
OG0000382	Syar.g_03057	Prar.g_00247
OG0000383	Syar.g_03074	Prar.g_00245
OG0000384	Syar.g_03075	Prar.g_00244
OG0000385	Syar.g_03076	Prar.g_00243
OG0000386	Syar.g_03077	Prar.g_00242
OG0000387	Syar.g_03109	Prar.g_00229
OG0000388	Syar.g_03148, Syar.g_03113	Prar.g_00226
OG0000389	Syar.g_03118	Prar.g_00222
OG0000390	Syar.g_00033	Prar.g_00215
OG0000391	Syar.g_00038	Prar.g_00212
OG0000392	Syar.g_00045	Prar.g_00208
OG0000393	Syar.g_00048	Prar.g_00206
OG0000394	Syar.g_00049	Prar.g_00205
OG0000395	Syar.g_00050	Prar.g_00204
OG0000396	Syar.g_00053	Prar.g_00201
OG0000397	Syar.g_00055	Prar.g_00199
OG0000398	Syar.g_00060	Prar.g_00197
OG0000399	Syar.g_00061	Prar.g_00196
OG0000400	Syar.g_00062	Prar.g_00195
OG0000401	Syar.g_00063	Prar.g_00194
OG0000402	Syar.g_00065	Prar.g_00192
OG0000403	Syar.g_00066	Prar.g_00191
OG0000404	Syar.g_00067	Prar.g_00190
OG0000405	Syar.g_00076	Prar.g_00186
OG0000406	Syar.g_00080	Prar.g_00180
OG0000407	Syar.g_00081	Prar.g_00179
OG0000408	Syar.g_00083	Prar.g_00177
OG0000409	Syar.g_00085	Prar.g_00175
OG0000410	Syar.g_00086	Prar.g_00174
OG0000411	Syar.g_00087	Prar.g_00173
OG0000412	Syar.g_00088	Prar.g_00172
OG0000413	Syar.g_00090	Prar.g_00171
OG0000414	Syar.g_00091, Syar.g_03179	Prar.g_01569, Prar.g_00170
OG0000415	Syar.g_00092	Prar.g_00169
OG0000416	Syar.g_00093	Prar.g_00168
OG0000417	Syar.g_00095	Prar.g_00167
OG0000418	Syar.g_00100	Prar.g_00162
OG0000419	Syar.g_00102	Prar.g_00160
OG0000420	Syar.g_00104	Prar.g_00159
OG0000421	Syar.g_00109	Prar.g_00154
OG0000422	Syar.g_00110	Prar.g_00153
OG0000423	Syar.g_00111	Prar.g_00152
OG0000424	Syar.g_00112	Prar.g_00151
OG0000425	Syar.g_00113	Prar.g_00150
OG0000426	Syar.g_00114	Prar.g_00149
OG0000427	Syar.g_00115	Prar.g_00148
OG0000428	Syar.g_00118	Prar.g_00146
OG0000429	Syar.g_00121	Prar.g_00145
OG0000430	Syar.g_00123	Prar.g_00144
OG0000431	Syar.g_00127	Prar.g_00142
OG0000432	Syar.g_01009	Prar.g_00139
OG0000433	Syar.g_01007	Prar.g_00138
OG0000434	Syar.g_01006	Prar.g_00137
OG0000435	Syar.g_01003	Prar.g_00136
OG0000436	Syar.g_00994	Prar.g_00131
OG0000437	Syar.g_00993	Prar.g_00130
OG0000438	Syar.g_00992	Prar.g_00129
OG0000439	Syar.g_00990	Prar.g_00127
OG0000440	Syar.g_00989	Prar.g_00126
OG0000441	Syar.g_00986	Prar.g_00123
OG0000442	Syar.g_00977	Prar.g_00122
OG0000443	Syar.g_00964	Prar.g_00121
OG0000444	Syar.g_00954	Prar.g_00116
OG0000445	Syar.g_00953	Prar.g_00115
OG0000446	Syar.g_00951	Prar.g_00114
OG0000447	Syar.g_00948	Prar.g_00113
OG0000448	Syar.g_00947	Prar.g_00112
OG0000449	Syar.g_00946	Prar.g_00111
OG0000450	Syar.g_00939	Prar.g_00110
OG0000451	Syar.g_00938	Prar.g_00109
OG0000452	Syar.g_00934	Prar.g_00106
OG0000453	Syar.g_00933	Prar.g_00105
OG0000454	Syar.g_00932	Prar.g_00104
OG0000455	Syar.g_00931	Prar.g_00103
OG0000456	Syar.g_00930	Prar.g_00102
OG0000457	Syar.g_00928	Prar.g_00101
OG0000458	Syar.g_00918	Prar.g_00100
OG0000459	Syar.g_00917	Prar.g_00099
OG0000460	Syar.g_03024	Prar.g_00092
OG0000461	Syar.g_00153	Prar.g_00085
OG0000462	Syar.g_00155	Prar.g_00083
OG0000463	Syar.g_00156	Prar.g_00082
OG0000464	Syar.g_00157	Prar.g_00081
OG0000465	Syar.g_00159	Prar.g_00080
OG0000466	Syar.g_00164	Prar.g_00077
OG0000467	Syar.g_00165	Prar.g_00076
OG0000468	Syar.g_00170	Prar.g_00334
OG0000469	Syar.g_00203	Prar.g_00325
OG0000470	Syar.g_00206	Prar.g_00323
OG0000471	Syar.g_00207	Prar.g_00322
OG0000472	Syar.g_00208	Prar.g_00321
OG0000473	Syar.g_00210	Prar.g_00319
OG0000474	Syar.g_00211	Prar.g_00318
OG0000475	Syar.g_00212	Prar.g_00317
OG0000476	Syar.g_00214	Prar.g_00316
OG0000477	Syar.g_00219	Prar.g_00312
OG0000478	Syar.g_00220	Prar.g_00311
OG0000479	Syar.g_00221	Prar.g_00310
OG0000480	Syar.g_00228	Prar.g_00305
OG0000481	Syar.g_00230	Prar.g_00303
OG0000482	Syar.g_00231	Prar.g_00302
OG0000483	Syar.g_00235	Prar.g_00299
OG0000484	Syar.g_00236	Prar.g_00298
OG0000485	Syar.g_00237	Prar.g_00297
OG0000486	Syar.g_00238, Syar.g_00024	Prar.g_00296
OG0000487	Syar.g_00245	Prar.g_00292
OG0000488	Syar.g_00853	Prar.g_00289
OG0000489	Syar.g_00833	Prar.g_00284
OG0000490	Syar.g_00823	Prar.g_00279
OG0000491	Syar.g_00822	Prar.g_00278
OG0000492	Syar.g_00727	Prar.g_00276
OG0000493	Syar.g_00726	Prar.g_00275
OG0000494	Syar.g_00725	Prar.g_00274
OG0000495	Syar.g_00724	Prar.g_00273
OG0000496	Syar.g_00723	Prar.g_00272
OG0000497	Syar.g_00722	Prar.g_00271
OG0000498	Syar.g_00721	Prar.g_00270
OG0000499	Syar.g_00720	Prar.g_00269
OG0000500	Syar.g_00719	Prar.g_00268
OG0000501	Syar.g_00716	Prar.g_00266
OG0000502	Syar.g_00275	Prar.g_00263
OG0000503	Syar.g_01118	Prar.g_00394
OG0000504	Syar.g_01120	Prar.g_00395
OG0000505	Syar.g_01121	Prar.g_00396
OG0000506	Syar.g_01123	Prar.g_00398
OG0000507	Syar.g_01129	Prar.g_00401
OG0000508	Syar.g_01141	Prar.g_00405
OG0000509	Syar.g_01143	Prar.g_00407
OG0000510	Syar.g_01144	Prar.g_00408
OG0000511	Syar.g_01145	Prar.g_00409
OG0000512	Syar.g_01147	Prar.g_00411
OG0000513	Syar.g_01166	Prar.g_00418
OG0000514	Syar.g_01169	Prar.g_00479
OG0000515	Syar.g_01170	Prar.g_00480
OG0000516	Syar.g_01172	Prar.g_00481
OG0000517	Syar.g_01176	Prar.g_00483
OG0000518	Syar.g_02868	Prar.g_00494
OG0000519	Syar.g_02867	Prar.g_00495
OG0000520	Syar.g_02866	Prar.g_00496
OG0000521	Syar.g_01419	Prar.g_00501
OG0000522	Syar.g_01421	Prar.g_00503
OG0000523	Syar.g_01422	Prar.g_00504
OG0000524	Syar.g_01244	Prar.g_00510
OG0000525	Syar.g_01263	Prar.g_00513
OG0000526	Syar.g_01266	Prar.g_00514
OG0000527	Syar.g_01271	Prar.g_00523
OG0000528	Syar.g_01466	Prar.g_00528
OG0000529	Syar.g_01470	Prar.g_00531
OG0000530	Syar.g_01473	Prar.g_00534
OG0000531	Syar.g_01474	Prar.g_00535
OG0000532	Syar.g_01477	Prar.g_00537
OG0000533	Syar.g_01479	Prar.g_00538
OG0000534	Syar.g_01480	Prar.g_00539
OG0000535	Syar.g_01481	Prar.g_00540
OG0000536	Syar.g_01482	Prar.g_00541
OG0000537	Syar.g_01483	Prar.g_00542
OG0000538	Syar.g_01496	Prar.g_01331
OG0000539	Syar.g_01497	Prar.g_01332
OG0000540	Syar.g_01498	Prar.g_01333
OG0000541	Syar.g_01499	Prar.g_01334
OG0000542	Syar.g_01502	Prar.g_01336
OG0000543	Syar.g_01504	Prar.g_01338
OG0000544	Syar.g_01505	Prar.g_01339
OG0000545	Syar.g_01507	Prar.g_01341
OG0000546	Syar.g_01509	Prar.g_01344
OG0000547	Syar.g_01511	Prar.g_01345
OG0000548	Syar.g_01512	Prar.g_01346
OG0000549	Syar.g_02693	Prar.g_01348
OG0000550	Syar.g_02689	Prar.g_01353
OG0000551	Syar.g_02684	Prar.g_01357
OG0000552	Syar.g_02683	Prar.g_01358
OG0000553	Syar.g_02679	Prar.g_01359
OG0000554	Syar.g_02352	Prar.g_01364
OG0000555	Syar.g_02336	Prar.g_01372
OG0000556	Syar.g_02332	Prar.g_01374
OG0000557	Syar.g_02328	Prar.g_01375
OG0000558	Syar.g_02326	Prar.g_01377
OG0000559	Syar.g_02322	Prar.g_01381
OG0000560	Syar.g_02320	Prar.g_01384
OG0000561	Syar.g_02319	Prar.g_01385
OG0000562	Syar.g_02318	Prar.g_01386
OG0000563	Syar.g_02317	Prar.g_01387
OG0000564	Syar.g_02316	Prar.g_01388
OG0000565	Syar.g_02312	Prar.g_01391
OG0000566	Syar.g_02308	Prar.g_01393
OG0000567	Syar.g_02304	Prar.g_01397
OG0000568	Syar.g_02302	Prar.g_01398
OG0000569	Syar.g_02301	Prar.g_01399
OG0000570	Syar.g_02300	Prar.g_01400
OG0000571	Syar.g_02298	Prar.g_01402
OG0000572	Syar.g_02201	Prar.g_01415
OG0000573	Syar.g_02191	Prar.g_01422
OG0000574	Syar.g_02190	Prar.g_01423
