Orthogroup	Syar	Praw
OG0000081	Syar.g_01898	Praw.g_00617
OG0000082	Syar.g_02202	Praw.g_01932
OG0000085	Syar.g_02919	Praw.g_00508
OG0000086	Syar.g_03085	Praw.g_01346
OG0000087	Syar.g_03192, Syar.g_00068	Praw.g_01296
OG0000088	Syar.g_00101	Praw.g_01269
OG0000089	Syar.g_01162	Praw.g_00776
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Praw.g_00615
OG0000091	Syar.g_01891, Syar.g_02426	Praw.g_01880
OG0000092	Syar.g_01960	Praw.g_01592
OG0000094	Syar.g_01789	Praw.g_01486
OG0000095	Syar.g_01932	Praw.g_01467
OG0000097	Syar.g_01706, Syar.g_00364	Praw.g_00275
OG0000098	Syar.g_02343	Praw.g_00997
OG0000099	Syar.g_00715	Praw.g_01051
OG0000100	Syar.g_02477	Praw.g_00411
OG0000101	Syar.g_01073, Syar.g_03154	Praw.g_00096
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Praw.g_00034
OG0000103	Syar.g_00452, Syar.g_00014	Praw.g_01148
OG0000104	Syar.g_00466	Praw.g_01140
OG0000105	Syar.g_00218	Praw.g_00860
OG0000106	Syar.g_01748	Praw.g_00762
OG0000107	Syar.g_00149	Praw.g_00748
OG0000108	Syar.g_01469	Praw.g_00667
OG0000109	Syar.g_03310, Syar.g_01485	Praw.g_00654
OG0000110	Syar.g_02295	Praw.g_01922
OG0000111	Syar.g_01940	Praw.g_01823
OG0000112	Syar.g_02548, Syar.g_03195	Praw.g_01732
OG0000113	Syar.g_02664	Praw.g_01675
OG0000114	Syar.g_01616	Praw.g_01597
OG0000115	Syar.g_02854, Syar.g_01415	Praw.g_00178
OG0000116	Syar.g_01525, Syar.g_02255	Praw.g_00224
OG0000117	Syar.g_01969	Praw.g_00926
OG0000118	Syar.g_02793	Praw.g_00993
OG0000120	Syar.g_00713	Praw.g_01050
OG0000121	Syar.g_02806	Praw.g_01078
OG0000123	Syar.g_01079	Praw.g_00089
OG0000124	Syar.g_00586	Praw.g_00023
OG0000125	Syar.g_00338	Praw.g_01180
OG0000126	Syar.g_00887, Syar.g_00888	Praw.g_01141
OG0000128	Syar.g_00482	Praw.g_01125
OG0000129	Syar.g_00324	Praw.g_01384
OG0000130	Syar.g_03040	Praw.g_01365
OG0000131	Syar.g_00078	Praw.g_01290
OG0000132	Syar.g_00099	Praw.g_01271
OG0000133	Syar.g_02543	Praw.g_00812
OG0000134	Syar.g_02009, Syar.g_01165	Praw.g_00775
OG0000135	Syar.g_00698	Praw.g_00751
OG0000136	Syar.g_02874	Praw.g_00706
OG0000137	Syar.g_01273	Praw.g_00672
OG0000138	Syar.g_01486	Praw.g_00653
OG0000139	Syar.g_03245	Praw.g_00611
OG0000140	Syar.g_02344, Syar.g_03246	Praw.g_00610
OG0000141	Syar.g_02129	Praw.g_00143
OG0000142	Syar.g_02418	Praw.g_01887
OG0000143	Syar.g_02422	Praw.g_01883
OG0000144	Syar.g_02441	Praw.g_01870
OG0000145	Syar.g_01494	Praw.g_01745
OG0000146	Syar.g_02549	Praw.g_01731
OG0000147	Syar.g_02550	Praw.g_01730
OG0000148	Syar.g_02658	Praw.g_01681
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Praw.g_01652
OG0000150	Syar.g_02130	Praw.g_01644
OG0000151	Syar.g_02038	Praw.g_01587
OG0000152	Syar.g_02539	Praw.g_01539
OG0000153	Syar.g_03283, Syar.g_02503	Praw.g_01520
OG0000154	Syar.g_01800	Praw.g_01493
OG0000155	Syar.g_01959	Praw.g_00254
OG0000156	Syar.g_01517	Praw.g_00968
OG0000157	Syar.g_01516	Praw.g_00969
OG0000158	Syar.g_00650	Praw.g_01052
OG0000159	Syar.g_02359	Praw.g_01054
OG0000160	Syar.g_02807	Praw.g_01079, Praw.g_01080
OG0000161	Syar.g_02801	Praw.g_00344
OG0000162	Syar.g_02863	Praw.g_00350
OG0000163	Syar.g_01186	Praw.g_00384
OG0000164	Syar.g_03168, Syar.g_02969	Praw.g_00539
OG0000165	Syar.g_02976	Praw.g_00546
OG0000166	Syar.g_01034	Praw.g_00132
OG0000167	Syar.g_00662	Praw.g_00066
OG0000168	Syar.g_00246	Praw.g_00056
OG0000169	Syar.g_00262	Praw.g_00046
OG0000170	Syar.g_00613	Praw.g_00044
OG0000171	Syar.g_00587	Praw.g_00024
OG0000172	Syar.g_00547	Praw.g_00016
OG0000173	Syar.g_00528	Praw.g_00001
OG0000174	Syar.g_00701	Praw.g_01166
OG0000175	Syar.g_00438	Praw.g_01156
OG0000176	Syar.g_00474	Praw.g_01132
OG0000177	Syar.g_00475	Praw.g_01131
OG0000178	Syar.g_00476	Praw.g_01130
OG0000179	Syar.g_00489	Praw.g_01412
OG0000180	Syar.g_00490	Praw.g_01411
OG0000181	Syar.g_00491	Praw.g_01410
OG0000182	Syar.g_00492	Praw.g_01409
OG0000183	Syar.g_00496	Praw.g_01405
OG0000184	Syar.g_00897	Praw.g_01382
OG0000185	Syar.g_00909	Praw.g_01379
OG0000186	Syar.g_03036	Praw.g_01370
OG0000187	Syar.g_03038	Praw.g_01369
OG0000188	Syar.g_03058	Praw.g_01352
OG0000189	Syar.g_03104	Praw.g_01339
OG0000190	Syar.g_03107, Syar.g_02374	Praw.g_01338
OG0000191	Syar.g_00039	Praw.g_01318
OG0000192	Syar.g_00046	Praw.g_01314
OG0000193	Syar.g_00079	Praw.g_01289
OG0000194	Syar.g_00082, Syar.g_03236	Praw.g_01286
OG0000195	Syar.g_00023, Syar.g_00084	Praw.g_01284
OG0000196	Syar.g_00096	Praw.g_01274
OG0000197	Syar.g_00097	Praw.g_01273
OG0000198	Syar.g_00098	Praw.g_01272
OG0000199	Syar.g_00106	Praw.g_01265
OG0000200	Syar.g_00124	Praw.g_01251
OG0000201	Syar.g_01000	Praw.g_01243
OG0000202	Syar.g_00021, Syar.g_00998	Praw.g_01242
OG0000203	Syar.g_00997, Syar.g_00020	Praw.g_01241
OG0000204	Syar.g_00996	Praw.g_01240
OG0000205	Syar.g_00988	Praw.g_01233
OG0000206	Syar.g_00963	Praw.g_01228
OG0000207	Syar.g_00957	Praw.g_01226
OG0000208	Syar.g_00956	Praw.g_01225
OG0000209	Syar.g_00936, Syar.g_03261	Praw.g_01216
OG0000210	Syar.g_03260, Syar.g_00935	Praw.g_01215
OG0000211	Syar.g_03026	Praw.g_01202
OG0000212	Syar.g_03017	Praw.g_01195
OG0000213	Syar.g_00187	Praw.g_00876
OG0000214	Syar.g_00209	Praw.g_00867
OG0000215	Syar.g_00239	Praw.g_00842
OG0000216	Syar.g_00244	Praw.g_00840
OG0000217	Syar.g_00854	Praw.g_00837
OG0000218	Syar.g_00852	Praw.g_00835
OG0000219	Syar.g_00851	Praw.g_00834
OG0000220	Syar.g_00850, Syar.g_02026	Praw.g_00833
OG0000221	Syar.g_00834	Praw.g_00832
OG0000222	Syar.g_02119, Syar.g_00728	Praw.g_00824
OG0000223	Syar.g_00649	Praw.g_00811
OG0000224	Syar.g_00273	Praw.g_00809
OG0000225	Syar.g_01142	Praw.g_00786
OG0000226	Syar.g_01146	Praw.g_00782
OG0000227	Syar.g_01148	Praw.g_00780
OG0000228	Syar.g_01161	Praw.g_00777
OG0000229	Syar.g_01177, Syar.g_03273	Praw.g_00711
OG0000230	Syar.g_01179	Praw.g_00709
OG0000231	Syar.g_02865, Syar.g_03151	Praw.g_00698
OG0000232	Syar.g_01424	Praw.g_00689
OG0000233	Syar.g_03183, Syar.g_01247	Praw.g_00684
OG0000234	Syar.g_01275	Praw.g_00671
OG0000235	Syar.g_01468	Praw.g_00668
OG0000236	Syar.g_01484, Syar.g_03311	Praw.g_00655
OG0000237	Syar.g_01503	Praw.g_00642
OG0000238	Syar.g_01508	Praw.g_00636
OG0000239	Syar.g_03277, Syar.g_02687	Praw.g_00623
OG0000240	Syar.g_02686, Syar.g_03278	Praw.g_00622
OG0000241	Syar.g_02410	Praw.g_00618
OG0000242	Syar.g_01926	Praw.g_00616
OG0000243	Syar.g_02335	Praw.g_00605
OG0000244	Syar.g_02327	Praw.g_00602
OG0000245	Syar.g_02325, Syar.g_03238	Praw.g_00600
OG0000246	Syar.g_02321	Praw.g_00596
OG0000247	Syar.g_02310	Praw.g_00586
OG0000248	Syar.g_02307, Syar.g_03293	Praw.g_00584
OG0000249	Syar.g_02305	Praw.g_00582
OG0000250	Syar.g_02299	Praw.g_00577
OG0000251	Syar.g_03207, Syar.g_02194	Praw.g_01937
OG0000252	Syar.g_02189, Syar.g_03263	Praw.g_01940
OG0000253	Syar.g_02028	Praw.g_01941
OG0000254	Syar.g_02169	Praw.g_00147
OG0000255	Syar.g_02224, Syar.g_00011	Praw.g_00153
OG0000256	Syar.g_02244	Praw.g_00163
OG0000257	Syar.g_02407, Syar.g_01762	Praw.g_00166
OG0000258	Syar.g_00010, Syar.g_02427	Praw.g_01879
OG0000259	Syar.g_02472	Praw.g_01862
OG0000260	Syar.g_03220, Syar.g_02475	Praw.g_01859
OG0000261	Syar.g_01916	Praw.g_01857
OG0000262	Syar.g_01690	Praw.g_01853
OG0000263	Syar.g_01991	Praw.g_01841
OG0000264	Syar.g_02135, Syar.g_03267	Praw.g_01831
OG0000266	Syar.g_01570	Praw.g_01799
OG0000267	Syar.g_01873	Praw.g_01788
OG0000268	Syar.g_02589	Praw.g_01787
OG0000269	Syar.g_02634	Praw.g_01702
OG0000270	Syar.g_00744, Syar.g_02637	Praw.g_01699
OG0000271	Syar.g_02645	Praw.g_01691
OG0000272	Syar.g_02646	Praw.g_01690
OG0000273	Syar.g_00008	Praw.g_01668
OG0000274	Syar.g_02482, Syar.g_00009	Praw.g_01667
OG0000275	Syar.g_01810	Praw.g_01665
OG0000276	Syar.g_01817	Praw.g_01660
OG0000277	Syar.g_03242, Syar.g_01818	Praw.g_01659
OG0000278	Syar.g_01821, Syar.g_03174	Praw.g_01656
OG0000279	Syar.g_01838	Praw.g_01649
OG0000280	Syar.g_02067, Syar.g_00734	Praw.g_01648
OG0000281	Syar.g_02218	Praw.g_01643
OG0000282	Syar.g_03255, Syar.g_01614	Praw.g_01595
OG0000283	Syar.g_02574	Praw.g_01562
OG0000284	Syar.g_02568	Praw.g_01557
OG0000285	Syar.g_02560	Praw.g_01552
OG0000286	Syar.g_02540	Praw.g_01540
OG0000287	Syar.g_02512	Praw.g_01523
OG0000288	Syar.g_01801	Praw.g_01494
OG0000289	Syar.g_01786	Praw.g_01483
OG0000290	Syar.g_01928	Praw.g_01470
OG0000291	Syar.g_01930	Praw.g_01468
OG0000292	Syar.g_00463	Praw.g_01418
OG0000293	Syar.g_01526, Syar.g_03297	Praw.g_00225
OG0000294	Syar.g_01527, Syar.g_03296	Praw.g_00226
OG0000295	Syar.g_01951, Syar.g_03208	Praw.g_00246
OG0000296	Syar.g_01953	Praw.g_00248
OG0000297	Syar.g_03216	Praw.g_00256
OG0000298	Syar.g_03215	Praw.g_00257
OG0000299	Syar.g_01704	Praw.g_00274
OG0000300	Syar.g_01646	Praw.g_00277
OG0000301	Syar.g_01712	Praw.g_00278
OG0000302	Syar.g_01713	Praw.g_00280
OG0000303	Syar.g_01723	Praw.g_00287
OG0000304	Syar.g_01728	Praw.g_00291
OG0000305	Syar.g_01933, Syar.g_03163	Praw.g_01008
OG0000306	Syar.g_01884, Syar.g_03140	Praw.g_01011
OG0000307	Syar.g_01452, Syar.g_03153	Praw.g_01025
OG0000308	Syar.g_01450	Praw.g_01026
OG0000309	Syar.g_01239	Praw.g_01030
OG0000310	Syar.g_02826	Praw.g_01098
OG0000311	Syar.g_02823	Praw.g_01096
OG0000312	Syar.g_00015, Syar.g_02818	Praw.g_01093
OG0000313	Syar.g_02804	Praw.g_01076
OG0000314	Syar.g_01403	Praw.g_00363
OG0000315	Syar.g_01393	Praw.g_00374
OG0000316	Syar.g_02885	Praw.g_00394
OG0000317	Syar.g_02926	Praw.g_00513
OG0000318	Syar.g_02930	Praw.g_00516
OG0000319	Syar.g_02954	Praw.g_00529
OG0000320	Syar.g_02956	Praw.g_00531
OG0000321	Syar.g_02957	Praw.g_00532
OG0000322	Syar.g_02958	Praw.g_00533
OG0000323	Syar.g_02973	Praw.g_00542
OG0000324	Syar.g_00350, Syar.g_03001	Praw.g_00569
OG0000325	Syar.g_03291, Syar.g_00148	Praw.g_01916
OG0000326	Syar.g_00139, Syar.g_03134	Praw.g_01910
OG0000327	Syar.g_01029	Praw.g_00137
OG0000328	Syar.g_01030	Praw.g_00136
OG0000329	Syar.g_03189, Syar.g_01048	Praw.g_00119
OG0000330	Syar.g_01049	Praw.g_00118
OG0000331	Syar.g_03191, Syar.g_01050	Praw.g_00117
OG0000332	Syar.g_01064, Syar.g_03299	Praw.g_00103
OG0000333	Syar.g_01067	Praw.g_00101
OG0000334	Syar.g_01076	Praw.g_00093
OG0000335	Syar.g_01080	Praw.g_00088
OG0000336	Syar.g_01084	Praw.g_00084
OG0000337	Syar.g_00285	Praw.g_00068
OG0000338	Syar.g_03225, Syar.g_00287	Praw.g_00067
OG0000339	Syar.g_00658	Praw.g_00063
OG0000340	Syar.g_00247	Praw.g_00055
OG0000341	Syar.g_00249	Praw.g_00053
OG0000342	Syar.g_00250	Praw.g_00052
OG0000343	Syar.g_00256	Praw.g_00051
OG0000344	Syar.g_00260	Praw.g_00048
OG0000345	Syar.g_00612	Praw.g_00043
OG0000346	Syar.g_00607	Praw.g_00038
OG0000347	Syar.g_00558	Praw.g_00022
OG0000348	Syar.g_00544	Praw.g_00013
OG0000349	Syar.g_00521	Praw.g_01189
OG0000350	Syar.g_00132	Praw.g_01170
OG0000351	Syar.g_00442	Praw.g_01153
OG0000352	Syar.g_00443	Praw.g_01152
OG0000353	Syar.g_00469	Praw.g_01137
OG0000354	Syar.g_00487	Praw.g_00910
OG0000355	Syar.g_00471	Praw.g_01135
OG0000356	Syar.g_00472	Praw.g_01134
OG0000357	Syar.g_00473	Praw.g_01133
OG0000358	Syar.g_00477	Praw.g_01129
OG0000359	Syar.g_00479	Praw.g_01128
OG0000360	Syar.g_00480	Praw.g_01127
OG0000361	Syar.g_00481	Praw.g_01126
OG0000362	Syar.g_00483	Praw.g_01124
OG0000363	Syar.g_00484	Praw.g_01414
OG0000364	Syar.g_02928	Praw.g_01413
OG0000365	Syar.g_00493	Praw.g_01408
OG0000366	Syar.g_00494	Praw.g_01407
OG0000367	Syar.g_03262, Syar.g_00495	Praw.g_01406
OG0000368	Syar.g_00497	Praw.g_01404
OG0000369	Syar.g_00498	Praw.g_01403
OG0000370	Syar.g_00499	Praw.g_01402
OG0000371	Syar.g_00508	Praw.g_01396
OG0000372	Syar.g_00514	Praw.g_01393
OG0000373	Syar.g_00515	Praw.g_01392
OG0000374	Syar.g_00516	Praw.g_01391
OG0000375	Syar.g_00517	Praw.g_01388
OG0000376	Syar.g_00519	Praw.g_01386
OG0000377	Syar.g_00322	Praw.g_01383
OG0000378	Syar.g_00905	Praw.g_01381
OG0000379	Syar.g_00910	Praw.g_01378
OG0000380	Syar.g_03039	Praw.g_01368
OG0000381	Syar.g_03041	Praw.g_01364
OG0000382	Syar.g_03057	Praw.g_01353
OG0000383	Syar.g_03074	Praw.g_01351
OG0000384	Syar.g_03075	Praw.g_01350
OG0000385	Syar.g_03076	Praw.g_01349
OG0000386	Syar.g_03077	Praw.g_01348
OG0000387	Syar.g_03109	Praw.g_01336
OG0000388	Syar.g_03148, Syar.g_03113	Praw.g_01333
OG0000389	Syar.g_03118	Praw.g_01329
OG0000390	Syar.g_00033	Praw.g_01322
OG0000391	Syar.g_00038	Praw.g_01319
OG0000392	Syar.g_00045	Praw.g_01315
OG0000393	Syar.g_00048	Praw.g_01313
OG0000394	Syar.g_00049	Praw.g_01312
OG0000395	Syar.g_00050	Praw.g_01311
OG0000396	Syar.g_00053	Praw.g_01308
OG0000397	Syar.g_00055	Praw.g_01306
OG0000398	Syar.g_00060	Praw.g_01304
OG0000399	Syar.g_00061	Praw.g_01303
OG0000400	Syar.g_00062	Praw.g_01302
OG0000401	Syar.g_00063	Praw.g_01301
OG0000402	Syar.g_00065	Praw.g_01299
OG0000403	Syar.g_00066	Praw.g_01298
OG0000404	Syar.g_00067	Praw.g_01297
OG0000405	Syar.g_00076	Praw.g_01293
OG0000406	Syar.g_00080	Praw.g_01288
OG0000407	Syar.g_00081	Praw.g_01287
OG0000408	Syar.g_00083	Praw.g_01285
OG0000409	Syar.g_00085	Praw.g_01283
OG0000410	Syar.g_00086	Praw.g_01282
OG0000411	Syar.g_00087	Praw.g_01281
OG0000412	Syar.g_00088	Praw.g_01280
OG0000413	Syar.g_00090	Praw.g_01279
OG0000414	Syar.g_00091, Syar.g_03179	Praw.g_01278
OG0000415	Syar.g_00092	Praw.g_01277
OG0000416	Syar.g_00093	Praw.g_01276
OG0000417	Syar.g_00095	Praw.g_01275
OG0000418	Syar.g_00100	Praw.g_01270
OG0000419	Syar.g_00102	Praw.g_01268
OG0000420	Syar.g_00104	Praw.g_01267
OG0000421	Syar.g_00109	Praw.g_01262
OG0000422	Syar.g_00110	Praw.g_01261
OG0000423	Syar.g_00111	Praw.g_01260
OG0000424	Syar.g_00112	Praw.g_01259
OG0000425	Syar.g_00113	Praw.g_01258
OG0000426	Syar.g_00114	Praw.g_01257
OG0000427	Syar.g_00115	Praw.g_01256
OG0000428	Syar.g_00118	Praw.g_01254
OG0000429	Syar.g_00121	Praw.g_01253
OG0000430	Syar.g_00123	Praw.g_01252
OG0000431	Syar.g_00127	Praw.g_01250
OG0000432	Syar.g_01009	Praw.g_01247
OG0000433	Syar.g_01007	Praw.g_01246
OG0000434	Syar.g_01006	Praw.g_01245
OG0000435	Syar.g_01003	Praw.g_01244
OG0000436	Syar.g_00994	Praw.g_01239
OG0000437	Syar.g_00993	Praw.g_01238
OG0000438	Syar.g_00992	Praw.g_01237
OG0000439	Syar.g_00990	Praw.g_01235
OG0000440	Syar.g_00989	Praw.g_01234
OG0000441	Syar.g_00986	Praw.g_01231
OG0000442	Syar.g_00977	Praw.g_01230
OG0000443	Syar.g_00964	Praw.g_01229
OG0000444	Syar.g_00954	Praw.g_01224
OG0000445	Syar.g_00953	Praw.g_01223
OG0000446	Syar.g_00951	Praw.g_01222
OG0000447	Syar.g_00948	Praw.g_01221
OG0000448	Syar.g_00947	Praw.g_01220
OG0000449	Syar.g_00946	Praw.g_01219
OG0000450	Syar.g_00939	Praw.g_01218
OG0000451	Syar.g_00938	Praw.g_01217
OG0000452	Syar.g_00934	Praw.g_01214
OG0000453	Syar.g_00933	Praw.g_01213
OG0000454	Syar.g_00932	Praw.g_01212
OG0000455	Syar.g_00931	Praw.g_01211
OG0000456	Syar.g_00930	Praw.g_01210
OG0000457	Syar.g_00928	Praw.g_01209
OG0000458	Syar.g_00918	Praw.g_01208
OG0000459	Syar.g_00917	Praw.g_01207
OG0000460	Syar.g_03024	Praw.g_01200
OG0000461	Syar.g_00153	Praw.g_00891
OG0000462	Syar.g_00155	Praw.g_00889
OG0000463	Syar.g_00156	Praw.g_00888
OG0000464	Syar.g_00157	Praw.g_00887
OG0000465	Syar.g_00159	Praw.g_00886
OG0000466	Syar.g_00164	Praw.g_00883
OG0000467	Syar.g_00165	Praw.g_00882
OG0000468	Syar.g_00170	Praw.g_00880
OG0000469	Syar.g_00203	Praw.g_00872
OG0000470	Syar.g_00206	Praw.g_00870
OG0000471	Syar.g_00207	Praw.g_00869
OG0000472	Syar.g_00208	Praw.g_00868
OG0000473	Syar.g_00210	Praw.g_00866
OG0000474	Syar.g_00211	Praw.g_00865
OG0000475	Syar.g_00212	Praw.g_00864
OG0000476	Syar.g_00214	Praw.g_00863
OG0000477	Syar.g_00219	Praw.g_00859
OG0000478	Syar.g_00220	Praw.g_00858
OG0000479	Syar.g_00221	Praw.g_00857
OG0000480	Syar.g_00228	Praw.g_00852
OG0000481	Syar.g_00230	Praw.g_00850
OG0000482	Syar.g_00231	Praw.g_00849
OG0000483	Syar.g_00235	Praw.g_00846
OG0000484	Syar.g_00236	Praw.g_00845
OG0000485	Syar.g_00237	Praw.g_00844
OG0000486	Syar.g_00238, Syar.g_00024	Praw.g_00843
OG0000487	Syar.g_00245	Praw.g_00839
OG0000488	Syar.g_00853	Praw.g_00836
OG0000489	Syar.g_00833	Praw.g_00831
OG0000490	Syar.g_00823	Praw.g_00826
OG0000491	Syar.g_00822	Praw.g_00825
OG0000492	Syar.g_00727	Praw.g_00823
OG0000493	Syar.g_00726	Praw.g_00822
OG0000494	Syar.g_00725	Praw.g_00821
OG0000495	Syar.g_00724	Praw.g_00820
OG0000496	Syar.g_00723	Praw.g_00819
OG0000497	Syar.g_00722	Praw.g_00818
OG0000498	Syar.g_00721	Praw.g_00817
OG0000499	Syar.g_00720	Praw.g_00816
OG0000500	Syar.g_00719	Praw.g_00815
OG0000501	Syar.g_00716	Praw.g_00813
OG0000502	Syar.g_00275	Praw.g_00810
OG0000503	Syar.g_01118	Praw.g_00796
OG0000504	Syar.g_01120	Praw.g_00795
OG0000505	Syar.g_01121	Praw.g_00794
OG0000506	Syar.g_01123	Praw.g_00792
OG0000507	Syar.g_01129	Praw.g_00790
OG0000508	Syar.g_01141	Praw.g_00787
OG0000509	Syar.g_01143	Praw.g_00785
OG0000510	Syar.g_01144	Praw.g_00784
OG0000511	Syar.g_01145	Praw.g_00783
OG0000512	Syar.g_01147	Praw.g_00781
OG0000513	Syar.g_01166	Praw.g_00774
OG0000514	Syar.g_01169	Praw.g_00716
OG0000515	Syar.g_01170	Praw.g_00715
OG0000516	Syar.g_01172	Praw.g_00714
OG0000517	Syar.g_01176	Praw.g_00712
OG0000518	Syar.g_02868	Praw.g_00701
OG0000519	Syar.g_02867	Praw.g_00700
OG0000520	Syar.g_02866	Praw.g_00699
OG0000521	Syar.g_01419	Praw.g_00694
OG0000522	Syar.g_01421	Praw.g_00692
OG0000523	Syar.g_01422	Praw.g_00691
OG0000524	Syar.g_01244	Praw.g_00686
OG0000525	Syar.g_01263	Praw.g_00683
OG0000526	Syar.g_01266	Praw.g_00682
OG0000527	Syar.g_01271	Praw.g_00674
OG0000528	Syar.g_01466	Praw.g_00669
OG0000529	Syar.g_01470	Praw.g_00666
OG0000530	Syar.g_01473	Praw.g_00664
OG0000531	Syar.g_01474	Praw.g_00663
OG0000532	Syar.g_01477	Praw.g_00661
OG0000533	Syar.g_01479	Praw.g_00660
OG0000534	Syar.g_01480	Praw.g_00659
OG0000535	Syar.g_01481	Praw.g_00658
OG0000536	Syar.g_01482	Praw.g_00657
OG0000537	Syar.g_01483	Praw.g_00656
OG0000538	Syar.g_01496	Praw.g_00648
OG0000539	Syar.g_01497	Praw.g_00647
OG0000540	Syar.g_01498	Praw.g_00646
OG0000541	Syar.g_01499	Praw.g_00645
OG0000542	Syar.g_01502	Praw.g_00643
OG0000543	Syar.g_01504	Praw.g_00641
OG0000544	Syar.g_01505	Praw.g_00640
OG0000545	Syar.g_01507	Praw.g_00638
OG0000546	Syar.g_01509	Praw.g_00635
OG0000547	Syar.g_01511	Praw.g_00633
OG0000548	Syar.g_01512	Praw.g_00632
OG0000549	Syar.g_02693	Praw.g_00630
OG0000550	Syar.g_02689	Praw.g_00625
OG0000551	Syar.g_02684	Praw.g_00621
OG0000552	Syar.g_02683	Praw.g_00620
OG0000553	Syar.g_02679	Praw.g_00619
OG0000554	Syar.g_02352	Praw.g_00614
OG0000555	Syar.g_02336	Praw.g_00606
OG0000556	Syar.g_02332	Praw.g_00604
OG0000557	Syar.g_02328	Praw.g_00603
OG0000558	Syar.g_02326	Praw.g_00601
OG0000559	Syar.g_02322	Praw.g_00597
OG0000560	Syar.g_02320	Praw.g_00594
OG0000561	Syar.g_02319	Praw.g_00593
OG0000562	Syar.g_02318	Praw.g_00592
OG0000563	Syar.g_02317	Praw.g_00591
OG0000564	Syar.g_02316	Praw.g_00590
OG0000565	Syar.g_02312	Praw.g_00587
OG0000566	Syar.g_02308	Praw.g_00585
OG0000567	Syar.g_02304	Praw.g_00581
OG0000568	Syar.g_02302	Praw.g_00580
OG0000569	Syar.g_02301	Praw.g_00579
OG0000570	Syar.g_02300	Praw.g_00578
OG0000571	Syar.g_02298	Praw.g_00576
OG0000572	Syar.g_02201	Praw.g_01933
OG0000573	Syar.g_02191	Praw.g_01938
