Orthogroup	Syar	Prax
OG0000115	Syar.g_02854, Syar.g_01415	Prax.g_00132
OG0000116	Syar.g_01525, Syar.g_02255	Prax.g_00190
OG0000117	Syar.g_01969	Prax.g_01959
OG0000118	Syar.g_02793	Prax.g_01887
OG0000120	Syar.g_00713	Prax.g_01832
OG0000121	Syar.g_02806	Prax.g_01726
OG0000123	Syar.g_01079	Prax.g_01345
OG0000124	Syar.g_00586	Prax.g_01410
OG0000125	Syar.g_00338	Prax.g_01447
OG0000126	Syar.g_00887, Syar.g_00888	Prax.g_01485
OG0000128	Syar.g_00482	Prax.g_01974
OG0000129	Syar.g_00324	Prax.g_00269
OG0000130	Syar.g_03040	Prax.g_00640
OG0000131	Syar.g_00078	Prax.g_01073
OG0000132	Syar.g_00099	Prax.g_01054
OG0000133	Syar.g_02543	Prax.g_00853, Prax.g_00852, Prax.g_01783
OG0000134	Syar.g_02009, Syar.g_01165	Prax.g_01573, Prax.g_00816
OG0000135	Syar.g_00698	Prax.g_00792
OG0000136	Syar.g_02874	Prax.g_00759
OG0000137	Syar.g_01273	Prax.g_00727
OG0000138	Syar.g_01486	Prax.g_00706
OG0000139	Syar.g_03245	Prax.g_00664
OG0000140	Syar.g_02344, Syar.g_03246	Prax.g_00663
OG0000141	Syar.g_02129	Prax.g_00066
OG0000142	Syar.g_02418	Prax.g_00094
OG0000143	Syar.g_02422	Prax.g_00098
OG0000144	Syar.g_02441	Prax.g_00111
OG0000145	Syar.g_01494	Prax.g_00413
OG0000146	Syar.g_02549	Prax.g_00408
OG0000147	Syar.g_02550	Prax.g_00407
OG0000148	Syar.g_02658	Prax.g_00357
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prax.g_00326
OG0000150	Syar.g_02130	Prax.g_00318
OG0000151	Syar.g_02038	Prax.g_00571
OG0000152	Syar.g_02539	Prax.g_01129
OG0000153	Syar.g_03283, Syar.g_02503	Prax.g_01148
OG0000154	Syar.g_01800	Prax.g_01178
OG0000155	Syar.g_01959	Prax.g_00220
OG0000156	Syar.g_01517	Prax.g_01910
OG0000157	Syar.g_01516	Prax.g_01909
OG0000158	Syar.g_00650	Prax.g_01780
OG0000159	Syar.g_02359	Prax.g_01824
OG0000160	Syar.g_02807	Prax.g_01727
OG0000161	Syar.g_02801	Prax.g_01721
OG0000162	Syar.g_02863	Prax.g_01715
OG0000163	Syar.g_01186	Prax.g_01681
OG0000164	Syar.g_03168, Syar.g_02969	Prax.g_01535
OG0000165	Syar.g_02976	Prax.g_01528
OG0000166	Syar.g_01034	Prax.g_01302
OG0000167	Syar.g_00662	Prax.g_01368
OG0000168	Syar.g_00246	Prax.g_01378
OG0000169	Syar.g_00262	Prax.g_01388
OG0000170	Syar.g_00613	Prax.g_01390
OG0000171	Syar.g_00587	Prax.g_01409
OG0000172	Syar.g_00547	Prax.g_01418
OG0000173	Syar.g_00528	Prax.g_01433
OG0000174	Syar.g_00701	Prax.g_01460
OG0000175	Syar.g_00438	Prax.g_01470
OG0000176	Syar.g_00474	Prax.g_01494
OG0000177	Syar.g_00475	Prax.g_01495
OG0000178	Syar.g_00476	Prax.g_01496
OG0000179	Syar.g_00489	Prax.g_00297
OG0000180	Syar.g_00490	Prax.g_00296
OG0000181	Syar.g_00491	Prax.g_00295
OG0000182	Syar.g_00492	Prax.g_00294
OG0000183	Syar.g_00496	Prax.g_00290
OG0000184	Syar.g_00897	Prax.g_00621
OG0000185	Syar.g_00909	Prax.g_00624
OG0000186	Syar.g_03036	Prax.g_00635
OG0000187	Syar.g_03038	Prax.g_00636
OG0000188	Syar.g_03058	Prax.g_00653
OG0000189	Syar.g_03104	Prax.g_01122
OG0000190	Syar.g_03107, Syar.g_02374	Prax.g_01121
OG0000191	Syar.g_00039	Prax.g_01101
OG0000192	Syar.g_00046	Prax.g_01097
OG0000193	Syar.g_00079	Prax.g_01072
OG0000194	Syar.g_00082, Syar.g_03236	Prax.g_01069
OG0000195	Syar.g_00023, Syar.g_00084	Prax.g_01067
OG0000196	Syar.g_00096	Prax.g_01057
OG0000197	Syar.g_00097	Prax.g_01056
OG0000198	Syar.g_00098	Prax.g_01055
OG0000199	Syar.g_00106	Prax.g_01048
OG0000200	Syar.g_00124	Prax.g_01034
OG0000201	Syar.g_01000	Prax.g_01026
OG0000202	Syar.g_00021, Syar.g_00998	Prax.g_01025
OG0000203	Syar.g_00997, Syar.g_00020	Prax.g_01024
OG0000204	Syar.g_00996	Prax.g_01023
OG0000205	Syar.g_00988	Prax.g_01016
OG0000206	Syar.g_00963	Prax.g_01011
OG0000207	Syar.g_00957	Prax.g_01009
OG0000208	Syar.g_00956	Prax.g_01008
OG0000209	Syar.g_00936, Syar.g_03261	Prax.g_00999
OG0000210	Syar.g_03260, Syar.g_00935	Prax.g_00998
OG0000211	Syar.g_03026	Prax.g_00985
OG0000212	Syar.g_03017	Prax.g_00978
OG0000213	Syar.g_00187	Prax.g_00918
OG0000214	Syar.g_00209	Prax.g_00908
OG0000215	Syar.g_00239	Prax.g_00883
OG0000216	Syar.g_00244	Prax.g_00881
OG0000217	Syar.g_00854	Prax.g_00878
OG0000218	Syar.g_00852	Prax.g_00876
OG0000219	Syar.g_00851	Prax.g_00875
OG0000220	Syar.g_00850, Syar.g_02026	Prax.g_00874
OG0000221	Syar.g_00834	Prax.g_00873
OG0000222	Syar.g_02119, Syar.g_00728	Prax.g_00865
OG0000223	Syar.g_00649	Prax.g_00850
OG0000224	Syar.g_00273	Prax.g_00848
OG0000225	Syar.g_01142	Prax.g_00827
OG0000226	Syar.g_01146	Prax.g_00823
OG0000227	Syar.g_01148	Prax.g_00821
OG0000228	Syar.g_01161	Prax.g_00818
OG0000229	Syar.g_01177, Syar.g_03273	Prax.g_00764
OG0000230	Syar.g_01179	Prax.g_00762
OG0000231	Syar.g_02865, Syar.g_03151	Prax.g_00751
OG0000232	Syar.g_01424	Prax.g_00743
OG0000233	Syar.g_03183, Syar.g_01247	Prax.g_00738
OG0000234	Syar.g_01275	Prax.g_00726
OG0000235	Syar.g_01468	Prax.g_00723
OG0000236	Syar.g_01484, Syar.g_03311	Prax.g_00708
OG0000237	Syar.g_01503	Prax.g_00695
OG0000238	Syar.g_01508	Prax.g_00689
OG0000239	Syar.g_03277, Syar.g_02687	Prax.g_00676
OG0000240	Syar.g_02686, Syar.g_03278	Prax.g_00675
OG0000241	Syar.g_02410	Prax.g_00671
OG0000242	Syar.g_01926	Prax.g_00669
OG0000243	Syar.g_02335	Prax.g_00004
OG0000244	Syar.g_02327	Prax.g_00007
OG0000245	Syar.g_02325, Syar.g_03238	Prax.g_00009
OG0000246	Syar.g_02321	Prax.g_00013
OG0000247	Syar.g_02310	Prax.g_00023
OG0000248	Syar.g_02307, Syar.g_03293	Prax.g_00025
OG0000249	Syar.g_02305	Prax.g_00027
OG0000250	Syar.g_02299	Prax.g_00032
OG0000251	Syar.g_03207, Syar.g_02194	Prax.g_00050
OG0000252	Syar.g_02189, Syar.g_03263	Prax.g_00053
OG0000253	Syar.g_02028	Prax.g_00054
OG0000254	Syar.g_02169	Prax.g_00070
OG0000255	Syar.g_02224, Syar.g_00011	Prax.g_00076
OG0000256	Syar.g_02244	Prax.g_00086
OG0000257	Syar.g_02407, Syar.g_01762	Prax.g_00089
OG0000258	Syar.g_00010, Syar.g_02427	Prax.g_00102
OG0000259	Syar.g_02472	Prax.g_00119
OG0000260	Syar.g_03220, Syar.g_02475	Prax.g_00122
OG0000261	Syar.g_01916	Prax.g_00977
OG0000262	Syar.g_01690	Prax.g_00973
OG0000263	Syar.g_01991	Prax.g_00961
OG0000264	Syar.g_02135, Syar.g_03267	Prax.g_00951
OG0000266	Syar.g_01570	Prax.g_00475
OG0000267	Syar.g_01873	Prax.g_00464
OG0000268	Syar.g_02589	Prax.g_00463
OG0000269	Syar.g_02634	Prax.g_00378
OG0000270	Syar.g_00744, Syar.g_02637	Prax.g_00375
OG0000271	Syar.g_02645	Prax.g_00367
OG0000272	Syar.g_02646	Prax.g_00366
OG0000273	Syar.g_00008	Prax.g_00343
OG0000274	Syar.g_02482, Syar.g_00009	Prax.g_00342
OG0000275	Syar.g_01810	Prax.g_00339
OG0000276	Syar.g_01817	Prax.g_00334
OG0000277	Syar.g_03242, Syar.g_01818	Prax.g_00333
OG0000278	Syar.g_01821, Syar.g_03174	Prax.g_00330
OG0000279	Syar.g_01838	Prax.g_00323
OG0000280	Syar.g_02067, Syar.g_00734	Prax.g_00322
OG0000281	Syar.g_02218	Prax.g_00317
OG0000282	Syar.g_03255, Syar.g_01614	Prax.g_00563
OG0000283	Syar.g_02574	Prax.g_00597
OG0000284	Syar.g_02568	Prax.g_00602
OG0000285	Syar.g_02560	Prax.g_00607
OG0000286	Syar.g_02540	Prax.g_00619
OG0000287	Syar.g_02512	Prax.g_01145
OG0000288	Syar.g_01801	Prax.g_01177
OG0000289	Syar.g_01786	Prax.g_01188
OG0000290	Syar.g_01928	Prax.g_01201
OG0000291	Syar.g_01930	Prax.g_01203
OG0000292	Syar.g_00463	Prax.g_01759, Prax.g_01254
OG0000293	Syar.g_01526, Syar.g_03297	Prax.g_00191
OG0000294	Syar.g_01527, Syar.g_03296	Prax.g_00192
OG0000295	Syar.g_01951, Syar.g_03208	Prax.g_00212
OG0000296	Syar.g_01953	Prax.g_00214
OG0000297	Syar.g_03216	Prax.g_00222
OG0000298	Syar.g_03215	Prax.g_00223
OG0000299	Syar.g_01704	Prax.g_00240
OG0000300	Syar.g_01646	Prax.g_00243
OG0000301	Syar.g_01712	Prax.g_00244
OG0000302	Syar.g_01713	Prax.g_00246
OG0000303	Syar.g_01723	Prax.g_00253
OG0000304	Syar.g_01728	Prax.g_00257
OG0000305	Syar.g_01933, Syar.g_03163	Prax.g_01871
OG0000306	Syar.g_01884, Syar.g_03140	Prax.g_01868
OG0000307	Syar.g_01452, Syar.g_03153	Prax.g_01854
OG0000308	Syar.g_01450	Prax.g_01853
OG0000309	Syar.g_01239	Prax.g_01849
OG0000310	Syar.g_02826	Prax.g_01748
OG0000311	Syar.g_02823	Prax.g_01746
OG0000312	Syar.g_00015, Syar.g_02818	Prax.g_01743
OG0000313	Syar.g_02804	Prax.g_01724
OG0000314	Syar.g_01403	Prax.g_01701
OG0000315	Syar.g_01393	Prax.g_01691
OG0000316	Syar.g_02885	Prax.g_01671
OG0000317	Syar.g_02926	Prax.g_01561
OG0000318	Syar.g_02930	Prax.g_01558
OG0000319	Syar.g_02954	Prax.g_01545
OG0000320	Syar.g_02956	Prax.g_01543
OG0000321	Syar.g_02957	Prax.g_01542
OG0000322	Syar.g_02958	Prax.g_01541
OG0000323	Syar.g_02973	Prax.g_01532
OG0000324	Syar.g_00350, Syar.g_03001	Prax.g_01505
OG0000325	Syar.g_03291, Syar.g_00148	Prax.g_01263
OG0000326	Syar.g_00139, Syar.g_03134	Prax.g_01269
OG0000327	Syar.g_01029	Prax.g_01297
OG0000328	Syar.g_01030	Prax.g_01298
OG0000329	Syar.g_03189, Syar.g_01048	Prax.g_01315
OG0000330	Syar.g_01049	Prax.g_01316
OG0000331	Syar.g_03191, Syar.g_01050	Prax.g_01317
OG0000332	Syar.g_01064, Syar.g_03299	Prax.g_01331
OG0000333	Syar.g_01067	Prax.g_01333
OG0000334	Syar.g_01076	Prax.g_01341
OG0000335	Syar.g_01080	Prax.g_01346
OG0000336	Syar.g_01084	Prax.g_01350
OG0000337	Syar.g_00285	Prax.g_01366
OG0000338	Syar.g_03225, Syar.g_00287	Prax.g_01367
OG0000339	Syar.g_00658	Prax.g_01371
OG0000340	Syar.g_00247	Prax.g_01379
OG0000341	Syar.g_00249	Prax.g_01381
OG0000342	Syar.g_00250	Prax.g_01382
OG0000343	Syar.g_00256	Prax.g_01383
OG0000344	Syar.g_00260	Prax.g_01386
OG0000345	Syar.g_00612	Prax.g_01391
OG0000346	Syar.g_00607	Prax.g_01395
OG0000347	Syar.g_00558	Prax.g_01411
OG0000348	Syar.g_00544	Prax.g_01421
OG0000349	Syar.g_00521	Prax.g_01438
OG0000350	Syar.g_00132	Prax.g_01456
OG0000351	Syar.g_00442	Prax.g_01473
OG0000352	Syar.g_00443	Prax.g_01474
OG0000353	Syar.g_00469	Prax.g_01489
OG0000355	Syar.g_00471	Prax.g_01491
OG0000356	Syar.g_00472	Prax.g_01492
OG0000357	Syar.g_00473	Prax.g_01493
OG0000358	Syar.g_00477	Prax.g_01497
OG0000359	Syar.g_00479	Prax.g_01498
OG0000360	Syar.g_00480	Prax.g_01499
OG0000361	Syar.g_00481	Prax.g_01975
OG0000362	Syar.g_00483	Prax.g_01973
OG0000363	Syar.g_00484	Prax.g_00299
OG0000364	Syar.g_02928	Prax.g_00298
OG0000365	Syar.g_00493	Prax.g_00293
OG0000366	Syar.g_00494	Prax.g_00292
OG0000367	Syar.g_03262, Syar.g_00495	Prax.g_00291
OG0000368	Syar.g_00497	Prax.g_00289
OG0000369	Syar.g_00498	Prax.g_00288
OG0000370	Syar.g_00499	Prax.g_00287
OG0000371	Syar.g_00508	Prax.g_00281
OG0000372	Syar.g_00514	Prax.g_00278
OG0000373	Syar.g_00515	Prax.g_00277
OG0000374	Syar.g_00516	Prax.g_00276
OG0000375	Syar.g_00517	Prax.g_00273
OG0000376	Syar.g_00519	Prax.g_00271
OG0000377	Syar.g_00322	Prax.g_00261
OG0000378	Syar.g_00905	Prax.g_00622
OG0000379	Syar.g_00910	Prax.g_00625
OG0000380	Syar.g_03039	Prax.g_00637
OG0000381	Syar.g_03041	Prax.g_00641
OG0000382	Syar.g_03057	Prax.g_00652
OG0000383	Syar.g_03074	Prax.g_00654
OG0000384	Syar.g_03075	Prax.g_00655
OG0000385	Syar.g_03076	Prax.g_00656
OG0000386	Syar.g_03077	Prax.g_00657
OG0000387	Syar.g_03109	Prax.g_01119
OG0000388	Syar.g_03148, Syar.g_03113	Prax.g_01116
OG0000389	Syar.g_03118	Prax.g_01113
OG0000390	Syar.g_00033	Prax.g_01106
OG0000391	Syar.g_00038	Prax.g_01102
OG0000392	Syar.g_00045	Prax.g_01098
OG0000393	Syar.g_00048	Prax.g_01096
OG0000394	Syar.g_00049	Prax.g_01095
OG0000395	Syar.g_00050	Prax.g_01094
OG0000396	Syar.g_00053	Prax.g_01091
OG0000397	Syar.g_00055	Prax.g_01089
OG0000398	Syar.g_00060	Prax.g_01087
OG0000399	Syar.g_00061	Prax.g_01086
OG0000400	Syar.g_00062	Prax.g_01085
OG0000401	Syar.g_00063	Prax.g_01084
OG0000402	Syar.g_00065	Prax.g_01082
OG0000403	Syar.g_00066	Prax.g_01081
OG0000404	Syar.g_00067	Prax.g_01080
OG0000405	Syar.g_00076	Prax.g_01076
OG0000406	Syar.g_00080	Prax.g_01071
OG0000407	Syar.g_00081	Prax.g_01070
OG0000408	Syar.g_00083	Prax.g_01068
OG0000409	Syar.g_00085	Prax.g_01066
OG0000410	Syar.g_00086	Prax.g_01065
OG0000411	Syar.g_00087	Prax.g_01064
OG0000412	Syar.g_00088	Prax.g_01063
OG0000413	Syar.g_00090	Prax.g_01062
OG0000414	Syar.g_00091, Syar.g_03179	Prax.g_01061
OG0000415	Syar.g_00092	Prax.g_01060
OG0000416	Syar.g_00093	Prax.g_01059
OG0000417	Syar.g_00095	Prax.g_01058
OG0000418	Syar.g_00100	Prax.g_01053
OG0000419	Syar.g_00102	Prax.g_01051
OG0000420	Syar.g_00104	Prax.g_01050
OG0000421	Syar.g_00109	Prax.g_01045
OG0000422	Syar.g_00110	Prax.g_01044
OG0000423	Syar.g_00111	Prax.g_01043
OG0000424	Syar.g_00112	Prax.g_01042
OG0000425	Syar.g_00113	Prax.g_01041
OG0000426	Syar.g_00114	Prax.g_01040
OG0000427	Syar.g_00115	Prax.g_01039
OG0000428	Syar.g_00118	Prax.g_01037
OG0000429	Syar.g_00121	Prax.g_01036
OG0000430	Syar.g_00123	Prax.g_01035
OG0000431	Syar.g_00127	Prax.g_01033
OG0000432	Syar.g_01009	Prax.g_01030
OG0000433	Syar.g_01007	Prax.g_01029
OG0000434	Syar.g_01006	Prax.g_01028
OG0000435	Syar.g_01003	Prax.g_01027
OG0000436	Syar.g_00994	Prax.g_01022
OG0000437	Syar.g_00993	Prax.g_01021
OG0000438	Syar.g_00992	Prax.g_01020
OG0000439	Syar.g_00990	Prax.g_01018
OG0000440	Syar.g_00989	Prax.g_01017
OG0000441	Syar.g_00986	Prax.g_01014
OG0000442	Syar.g_00977	Prax.g_01013
OG0000443	Syar.g_00964	Prax.g_01012
OG0000444	Syar.g_00954	Prax.g_01007
OG0000445	Syar.g_00953	Prax.g_01006
OG0000446	Syar.g_00951	Prax.g_01005
OG0000447	Syar.g_00948	Prax.g_01004
OG0000448	Syar.g_00947	Prax.g_01003
OG0000449	Syar.g_00946	Prax.g_01002
OG0000450	Syar.g_00939	Prax.g_01001
OG0000451	Syar.g_00938	Prax.g_01000
OG0000452	Syar.g_00934	Prax.g_00997
OG0000453	Syar.g_00933	Prax.g_00996
OG0000454	Syar.g_00932	Prax.g_00995
OG0000455	Syar.g_00931	Prax.g_00994
OG0000456	Syar.g_00930	Prax.g_00993
OG0000457	Syar.g_00928	Prax.g_00992
OG0000458	Syar.g_00918	Prax.g_00991
OG0000459	Syar.g_00917	Prax.g_00990
OG0000460	Syar.g_03024	Prax.g_00983
OG0000461	Syar.g_00153	Prax.g_00933
OG0000462	Syar.g_00155	Prax.g_00931
OG0000463	Syar.g_00156	Prax.g_00930
OG0000464	Syar.g_00157	Prax.g_00929
OG0000465	Syar.g_00159	Prax.g_00928
OG0000466	Syar.g_00164	Prax.g_00925
OG0000467	Syar.g_00165	Prax.g_00924
OG0000468	Syar.g_00170	Prax.g_00922
OG0000469	Syar.g_00203	Prax.g_00913
OG0000470	Syar.g_00206	Prax.g_00911
OG0000471	Syar.g_00207	Prax.g_00910
OG0000472	Syar.g_00208	Prax.g_00909
OG0000473	Syar.g_00210	Prax.g_00907
OG0000474	Syar.g_00211	Prax.g_00906
OG0000475	Syar.g_00212	Prax.g_00905
OG0000476	Syar.g_00214	Prax.g_00904
OG0000477	Syar.g_00219	Prax.g_00900
OG0000478	Syar.g_00220	Prax.g_00899
OG0000479	Syar.g_00221	Prax.g_00898
OG0000480	Syar.g_00228	Prax.g_00893
OG0000481	Syar.g_00230	Prax.g_00891
OG0000482	Syar.g_00231	Prax.g_00890
OG0000483	Syar.g_00235	Prax.g_00887
OG0000484	Syar.g_00236	Prax.g_00886
OG0000485	Syar.g_00237	Prax.g_00885
OG0000486	Syar.g_00238, Syar.g_00024	Prax.g_00884
OG0000487	Syar.g_00245	Prax.g_00880
OG0000488	Syar.g_00853	Prax.g_00877
OG0000489	Syar.g_00833	Prax.g_00872
OG0000490	Syar.g_00823	Prax.g_00867
OG0000491	Syar.g_00822	Prax.g_00866
OG0000492	Syar.g_00727	Prax.g_00864
OG0000493	Syar.g_00726	Prax.g_00863
OG0000494	Syar.g_00725	Prax.g_00862
OG0000495	Syar.g_00724	Prax.g_00861
OG0000496	Syar.g_00723	Prax.g_00860
OG0000497	Syar.g_00722	Prax.g_00859
OG0000498	Syar.g_00721	Prax.g_00858
OG0000499	Syar.g_00720	Prax.g_00857
OG0000500	Syar.g_00719	Prax.g_00856
OG0000501	Syar.g_00716	Prax.g_00854
OG0000502	Syar.g_00275	Prax.g_00849
OG0000503	Syar.g_01118	Prax.g_00839
OG0000504	Syar.g_01120	Prax.g_00838
OG0000505	Syar.g_01121	Prax.g_00837
OG0000506	Syar.g_01123	Prax.g_00835
OG0000507	Syar.g_01129	Prax.g_00832
OG0000508	Syar.g_01141	Prax.g_00828
OG0000509	Syar.g_01143	Prax.g_00826
OG0000510	Syar.g_01144	Prax.g_00825
OG0000511	Syar.g_01145	Prax.g_00824
OG0000512	Syar.g_01147	Prax.g_00822
OG0000513	Syar.g_01166	Prax.g_00815
OG0000514	Syar.g_01169	Prax.g_00769
OG0000515	Syar.g_01170	Prax.g_00768
OG0000516	Syar.g_01172	Prax.g_00767
OG0000517	Syar.g_01176	Prax.g_00765
OG0000518	Syar.g_02868	Prax.g_00754
OG0000519	Syar.g_02867	Prax.g_00753
OG0000520	Syar.g_02866	Prax.g_00752
OG0000521	Syar.g_01419	Prax.g_00747
OG0000522	Syar.g_01421	Prax.g_00746
OG0000523	Syar.g_01422	Prax.g_00745
OG0000524	Syar.g_01244	Prax.g_00740
OG0000525	Syar.g_01263	Prax.g_00737
OG0000526	Syar.g_01266	Prax.g_00736
OG0000527	Syar.g_01271	Prax.g_00729
OG0000528	Syar.g_01466	Prax.g_00724
OG0000529	Syar.g_01470	Prax.g_00721
OG0000530	Syar.g_01473	Prax.g_00718
OG0000531	Syar.g_01474	Prax.g_00717
OG0000532	Syar.g_01477	Prax.g_00715
OG0000533	Syar.g_01479	Prax.g_00714
OG0000534	Syar.g_01480	Prax.g_00713
OG0000535	Syar.g_01481	Prax.g_00712
OG0000536	Syar.g_01482	Prax.g_00711
OG0000537	Syar.g_01483	Prax.g_00709
OG0000538	Syar.g_01496	Prax.g_00701
OG0000539	Syar.g_01497	Prax.g_00700
OG0000540	Syar.g_01498	Prax.g_00699
OG0000541	Syar.g_01499	Prax.g_00698
OG0000542	Syar.g_01502	Prax.g_00696
OG0000543	Syar.g_01504	Prax.g_00694
OG0000544	Syar.g_01505	Prax.g_00693
OG0000545	Syar.g_01507	Prax.g_00691
OG0000546	Syar.g_01509	Prax.g_00688
OG0000547	Syar.g_01511	Prax.g_00686
OG0000548	Syar.g_01512	Prax.g_00685
OG0000549	Syar.g_02693	Prax.g_00683
OG0000550	Syar.g_02689	Prax.g_00678
OG0000551	Syar.g_02684	Prax.g_00674
OG0000552	Syar.g_02683	Prax.g_00673
OG0000553	Syar.g_02679	Prax.g_00672
OG0000554	Syar.g_02352	Prax.g_00667
OG0000555	Syar.g_02336	Prax.g_00003
OG0000556	Syar.g_02332	Prax.g_00005
OG0000557	Syar.g_02328	Prax.g_00006
OG0000558	Syar.g_02326	Prax.g_00008
OG0000559	Syar.g_02322	Prax.g_00012
OG0000560	Syar.g_02320	Prax.g_00015
OG0000561	Syar.g_02319	Prax.g_00016
OG0000562	Syar.g_02318	Prax.g_00017
OG0000563	Syar.g_02317	Prax.g_00018
OG0000564	Syar.g_02316	Prax.g_00019
OG0000565	Syar.g_02312	Prax.g_00022
OG0000566	Syar.g_02308	Prax.g_00024
OG0000567	Syar.g_02304	Prax.g_00028
OG0000568	Syar.g_02302	Prax.g_00029
OG0000569	Syar.g_02301	Prax.g_00030
OG0000570	Syar.g_02300	Prax.g_00031
OG0000571	Syar.g_02298	Prax.g_00033
OG0000572	Syar.g_02201	Prax.g_00046
OG0000573	Syar.g_02191	Prax.g_00051
OG0000574	Syar.g_02190	Prax.g_00052
OG0000575	Syar.g_03180	Prax.g_00056
OG0000576	Syar.g_02187	Prax.g_00058
OG0000577	Syar.g_02186	Prax.g_00059
OG0000578	Syar.g_02185	Prax.g_00060
