Orthogroup	Syar	Prab
OG0000081	Syar.g_01898	Prab.g_00535
OG0000082	Syar.g_02202	Prab.g_00589
OG0000085	Syar.g_02919	Prab.g_01662
OG0000086	Syar.g_03085	Prab.g_00080
OG0000087	Syar.g_03192, Syar.g_00068	Prab.g_00129
OG0000088	Syar.g_00101	Prab.g_00157
OG0000089	Syar.g_01162	Prab.g_00343
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prab.g_00537
OG0000091	Syar.g_01891, Syar.g_02426	Prab.g_00647
OG0000092	Syar.g_01960	Prab.g_01063
OG0000093	Syar.g_00819	Prab.g_01042
OG0000094	Syar.g_01789	Prab.g_00948
OG0000095	Syar.g_01932	Prab.g_01299, Prab.g_00929
OG0000097	Syar.g_01706, Syar.g_00364	Prab.g_01260
OG0000098	Syar.g_02343	Prab.g_01346
OG0000099	Syar.g_00715	Prab.g_01394
OG0000100	Syar.g_02477	Prab.g_01540
OG0000101	Syar.g_01073, Syar.g_03154	Prab.g_01802
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prab.g_01862
OG0000103	Syar.g_00452, Syar.g_00014	Prab.g_01942
OG0000104	Syar.g_00466	Prab.g_01951
OG0000105	Syar.g_00218	Prab.g_00262
OG0000106	Syar.g_01748	Prab.g_00359
OG0000107	Syar.g_00149	Prab.g_00375
OG0000108	Syar.g_01469	Prab.g_00484
OG0000109	Syar.g_03310, Syar.g_01485	Prab.g_00498
OG0000110	Syar.g_02295	Prab.g_00579
OG0000111	Syar.g_01940	Prab.g_00704
OG0000112	Syar.g_02548, Syar.g_03195	Prab.g_00804
OG0000113	Syar.g_02664	Prab.g_00862
OG0000114	Syar.g_01616	Prab.g_01068
OG0000115	Syar.g_02854, Syar.g_01415	Prab.g_01156
OG0000116	Syar.g_01525, Syar.g_02255	Prab.g_01209
OG0000117	Syar.g_01969	Prab.g_00717
OG0000118	Syar.g_02793	Prab.g_01338
OG0000120	Syar.g_00713	Prab.g_01447
OG0000121	Syar.g_02806	Prab.g_01468
OG0000123	Syar.g_01079	Prab.g_01809
OG0000124	Syar.g_00586	Prab.g_01873
OG0000125	Syar.g_00338	Prab.g_01910
OG0000126	Syar.g_00887, Syar.g_00888	Prab.g_01950
OG0000128	Syar.g_00482	Prab.g_00011
OG0000129	Syar.g_00324	Prab.g_00043
OG0000130	Syar.g_03040	Prab.g_00061
OG0000131	Syar.g_00078	Prab.g_00136
OG0000132	Syar.g_00099	Prab.g_00155
OG0000133	Syar.g_02543	Prab.g_00310
OG0000134	Syar.g_02009, Syar.g_01165	Prab.g_00344
OG0000135	Syar.g_00698	Prab.g_00371
OG0000136	Syar.g_02874	Prab.g_00444
OG0000137	Syar.g_01273	Prab.g_00479
OG0000138	Syar.g_01486	Prab.g_00499
OG0000139	Syar.g_03245	Prab.g_00541
OG0000140	Syar.g_02344, Syar.g_03246	Prab.g_00542
OG0000141	Syar.g_02129	Prab.g_00611
OG0000142	Syar.g_02418	Prab.g_00640
OG0000143	Syar.g_02422	Prab.g_00644
OG0000144	Syar.g_02441	Prab.g_00657
OG0000145	Syar.g_01494	Prab.g_00783
OG0000146	Syar.g_02549	Prab.g_00805
OG0000147	Syar.g_02550	Prab.g_00806
OG0000148	Syar.g_02658	Prab.g_00856
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prab.g_00886
OG0000150	Syar.g_02130	Prab.g_00894
OG0000151	Syar.g_02038	Prab.g_01058
OG0000152	Syar.g_02539	Prab.g_01010
OG0000153	Syar.g_03283, Syar.g_02503	Prab.g_00991
OG0000154	Syar.g_01800	Prab.g_00955
OG0000155	Syar.g_01959	Prab.g_01239
OG0000156	Syar.g_01517	Prab.g_01315
OG0000157	Syar.g_01516	Prab.g_01316
OG0000158	Syar.g_00650	Prab.g_01379
OG0000159	Syar.g_02359	Prab.g_01392
OG0000160	Syar.g_02807	Prab.g_01467
OG0000161	Syar.g_02801	Prab.g_01473
OG0000162	Syar.g_02863	Prab.g_01479
OG0000163	Syar.g_01186	Prab.g_01513
OG0000164	Syar.g_03168, Syar.g_02969	Prab.g_01693
OG0000165	Syar.g_02976	Prab.g_01700
OG0000166	Syar.g_01034	Prab.g_01766
OG0000167	Syar.g_00662	Prab.g_01832
OG0000168	Syar.g_00246	Prab.g_01841
OG0000169	Syar.g_00262	Prab.g_01851
OG0000170	Syar.g_00613	Prab.g_01853
OG0000171	Syar.g_00587	Prab.g_01872
OG0000172	Syar.g_00547	Prab.g_01881
OG0000173	Syar.g_00528	Prab.g_01896
OG0000174	Syar.g_00701	Prab.g_01924
OG0000175	Syar.g_00438	Prab.g_01934
OG0000176	Syar.g_00474	Prab.g_00004
OG0000177	Syar.g_00475	Prab.g_00005
OG0000178	Syar.g_00476	Prab.g_00006
OG0000179	Syar.g_00489	Prab.g_00016
OG0000180	Syar.g_00490	Prab.g_00017
OG0000181	Syar.g_00491	Prab.g_00018
OG0000182	Syar.g_00492	Prab.g_00019
OG0000183	Syar.g_00496	Prab.g_00023
OG0000184	Syar.g_00897	Prab.g_00045
OG0000185	Syar.g_00909	Prab.g_00048
OG0000186	Syar.g_03036	Prab.g_00056
OG0000187	Syar.g_03038	Prab.g_00057
OG0000188	Syar.g_03058	Prab.g_00074
OG0000189	Syar.g_03104	Prab.g_00087
OG0000190	Syar.g_03107, Syar.g_02374	Prab.g_00088
OG0000191	Syar.g_00039	Prab.g_00108
OG0000192	Syar.g_00046	Prab.g_00112
OG0000193	Syar.g_00079	Prab.g_00137
OG0000194	Syar.g_00082, Syar.g_03236	Prab.g_00140
OG0000195	Syar.g_00023, Syar.g_00084	Prab.g_00142
OG0000196	Syar.g_00096	Prab.g_00152
OG0000197	Syar.g_00097	Prab.g_00153
OG0000198	Syar.g_00098	Prab.g_00154
OG0000199	Syar.g_00106	Prab.g_00161
OG0000200	Syar.g_00124	Prab.g_00175
OG0000201	Syar.g_01000	Prab.g_00183
OG0000202	Syar.g_00021, Syar.g_00998	Prab.g_00184
OG0000203	Syar.g_00997, Syar.g_00020	Prab.g_00185
OG0000204	Syar.g_00996	Prab.g_00186
OG0000205	Syar.g_00988	Prab.g_00193
OG0000206	Syar.g_00963	Prab.g_00198
OG0000207	Syar.g_00957	Prab.g_00200
OG0000208	Syar.g_00956	Prab.g_00201
OG0000209	Syar.g_00936, Syar.g_03261	Prab.g_00210
OG0000210	Syar.g_03260, Syar.g_00935	Prab.g_00211
OG0000211	Syar.g_03026	Prab.g_00224
OG0000212	Syar.g_03017	Prab.g_00230
OG0000213	Syar.g_00187	Prab.g_00247
OG0000214	Syar.g_00209	Prab.g_00256
OG0000215	Syar.g_00239	Prab.g_00280
OG0000216	Syar.g_00244	Prab.g_00282
OG0000217	Syar.g_00854	Prab.g_00285
OG0000218	Syar.g_00852	Prab.g_00287
OG0000219	Syar.g_00851	Prab.g_00288
OG0000220	Syar.g_00850, Syar.g_02026	Prab.g_00289
OG0000221	Syar.g_00834	Prab.g_00290
OG0000222	Syar.g_02119, Syar.g_00728	Prab.g_00298
OG0000223	Syar.g_00649	Prab.g_00311
OG0000224	Syar.g_00273	Prab.g_00313
OG0000225	Syar.g_01142	Prab.g_00333
OG0000226	Syar.g_01146	Prab.g_00337
OG0000227	Syar.g_01148	Prab.g_00339
OG0000228	Syar.g_01161	Prab.g_00342
OG0000229	Syar.g_01177, Syar.g_03273	Prab.g_00439
OG0000230	Syar.g_01179	Prab.g_00441
OG0000231	Syar.g_02865, Syar.g_03151	Prab.g_00455
OG0000232	Syar.g_01424	Prab.g_00463
OG0000233	Syar.g_03183, Syar.g_01247	Prab.g_00468
OG0000234	Syar.g_01275	Prab.g_00480
OG0000235	Syar.g_01468	Prab.g_00483
OG0000236	Syar.g_01484, Syar.g_03311	Prab.g_00497
OG0000237	Syar.g_01503	Prab.g_00510
OG0000238	Syar.g_01508	Prab.g_00516
OG0000239	Syar.g_03277, Syar.g_02687	Prab.g_00529
OG0000240	Syar.g_02686, Syar.g_03278	Prab.g_00530
OG0000241	Syar.g_02410	Prab.g_00534
OG0000242	Syar.g_01926	Prab.g_00536
OG0000243	Syar.g_02335	Prab.g_00547
OG0000244	Syar.g_02327	Prab.g_00550
OG0000245	Syar.g_02325, Syar.g_03238	Prab.g_00552
OG0000246	Syar.g_02321	Prab.g_00556
OG0000247	Syar.g_02310	Prab.g_00566
OG0000248	Syar.g_02307, Syar.g_03293	Prab.g_00569
OG0000249	Syar.g_02305	Prab.g_00571
OG0000250	Syar.g_02299	Prab.g_00576
OG0000251	Syar.g_03207, Syar.g_02194	Prab.g_00595
OG0000252	Syar.g_02189, Syar.g_03263	Prab.g_00598
OG0000253	Syar.g_02028	Prab.g_00599
OG0000254	Syar.g_02169	Prab.g_00615
OG0000255	Syar.g_02224, Syar.g_00011	Prab.g_00621
OG0000256	Syar.g_02244	Prab.g_00632
OG0000257	Syar.g_02407, Syar.g_01762	Prab.g_00635
OG0000258	Syar.g_00010, Syar.g_02427	Prab.g_00648
OG0000259	Syar.g_02472	Prab.g_00665
OG0000260	Syar.g_03220, Syar.g_02475	Prab.g_00668
OG0000261	Syar.g_01916	Prab.g_00670
OG0000262	Syar.g_01690	Prab.g_00674
OG0000263	Syar.g_01991	Prab.g_00686
OG0000264	Syar.g_02135, Syar.g_03267	Prab.g_00696
OG0000266	Syar.g_01570	Prab.g_00733
OG0000267	Syar.g_01873	Prab.g_00744
OG0000268	Syar.g_02589	Prab.g_00745
OG0000269	Syar.g_02634	Prab.g_00835
OG0000270	Syar.g_00744, Syar.g_02637	Prab.g_00838
OG0000271	Syar.g_02645	Prab.g_00846
OG0000272	Syar.g_02646	Prab.g_00847
OG0000273	Syar.g_00008	Prab.g_00870
OG0000274	Syar.g_02482, Syar.g_00009	Prab.g_00871
OG0000275	Syar.g_01810	Prab.g_00873
OG0000276	Syar.g_01817	Prab.g_00878
OG0000277	Syar.g_03242, Syar.g_01818	Prab.g_00879
OG0000278	Syar.g_01821, Syar.g_03174	Prab.g_00882
OG0000279	Syar.g_01838	Prab.g_00889
OG0000280	Syar.g_02067, Syar.g_00734	Prab.g_00890
OG0000281	Syar.g_02218	Prab.g_00896
OG0000282	Syar.g_03255, Syar.g_01614	Prab.g_01066
OG0000283	Syar.g_02574	Prab.g_01033
OG0000284	Syar.g_02568	Prab.g_01028
OG0000285	Syar.g_02560	Prab.g_01023
OG0000286	Syar.g_02540	Prab.g_01011
OG0000287	Syar.g_02512	Prab.g_00994
OG0000288	Syar.g_01801	Prab.g_00956
OG0000289	Syar.g_01786	Prab.g_00945
OG0000290	Syar.g_01928	Prab.g_00932
OG0000291	Syar.g_01930	Prab.g_00930
OG0000292	Syar.g_00463	Prab.g_01144
OG0000293	Syar.g_01526, Syar.g_03297	Prab.g_01210
OG0000294	Syar.g_01527, Syar.g_03296	Prab.g_01211
OG0000295	Syar.g_01951, Syar.g_03208	Prab.g_01231
OG0000296	Syar.g_01953	Prab.g_01233
OG0000297	Syar.g_03216	Prab.g_01241
OG0000298	Syar.g_03215	Prab.g_01242
OG0000299	Syar.g_01704	Prab.g_01259
OG0000300	Syar.g_01646	Prab.g_01262
OG0000301	Syar.g_01712	Prab.g_01263
OG0000302	Syar.g_01713	Prab.g_01265
OG0000303	Syar.g_01723	Prab.g_01272
OG0000304	Syar.g_01728	Prab.g_01276
OG0000305	Syar.g_01933, Syar.g_03163	Prab.g_01353
OG0000306	Syar.g_01884, Syar.g_03140	Prab.g_01355
OG0000307	Syar.g_01452, Syar.g_03153	Prab.g_01369
OG0000308	Syar.g_01450	Prab.g_01370
OG0000309	Syar.g_01239	Prab.g_01374
OG0000310	Syar.g_02826	Prab.g_01451
OG0000311	Syar.g_02823	Prab.g_01453
OG0000312	Syar.g_00015, Syar.g_02818	Prab.g_01456
OG0000313	Syar.g_02804	Prab.g_01470
OG0000314	Syar.g_01403	Prab.g_01493
OG0000315	Syar.g_01393	Prab.g_01503
OG0000316	Syar.g_02885	Prab.g_01523
OG0000317	Syar.g_02926	Prab.g_01667
OG0000318	Syar.g_02930	Prab.g_01670
OG0000319	Syar.g_02954	Prab.g_01683
OG0000320	Syar.g_02956	Prab.g_01685
OG0000321	Syar.g_02957	Prab.g_01686
OG0000322	Syar.g_02958	Prab.g_01687
OG0000323	Syar.g_02973	Prab.g_01696
OG0000324	Syar.g_00350, Syar.g_03001	Prab.g_01722
OG0000325	Syar.g_03291, Syar.g_00148	Prab.g_01732
OG0000326	Syar.g_00139, Syar.g_03134	Prab.g_01738
OG0000327	Syar.g_01029	Prab.g_01761
OG0000328	Syar.g_01030	Prab.g_01762
OG0000329	Syar.g_03189, Syar.g_01048	Prab.g_01779
OG0000330	Syar.g_01049	Prab.g_01780
OG0000331	Syar.g_03191, Syar.g_01050	Prab.g_01781
OG0000332	Syar.g_01064, Syar.g_03299	Prab.g_01795
OG0000333	Syar.g_01067	Prab.g_01797
OG0000334	Syar.g_01076	Prab.g_01805
OG0000335	Syar.g_01080	Prab.g_01810
OG0000336	Syar.g_01084	Prab.g_01814
OG0000337	Syar.g_00285	Prab.g_01830
OG0000338	Syar.g_03225, Syar.g_00287	Prab.g_01831
OG0000339	Syar.g_00658	Prab.g_01835
OG0000340	Syar.g_00247	Prab.g_01842
OG0000341	Syar.g_00249	Prab.g_01844
OG0000342	Syar.g_00250	Prab.g_01845
OG0000343	Syar.g_00256	Prab.g_01846
OG0000344	Syar.g_00260	Prab.g_01849
OG0000345	Syar.g_00612	Prab.g_01854
OG0000346	Syar.g_00607	Prab.g_01858
OG0000347	Syar.g_00558	Prab.g_01874
OG0000348	Syar.g_00544	Prab.g_01884
OG0000349	Syar.g_00521	Prab.g_01901
OG0000350	Syar.g_00132	Prab.g_01920
OG0000351	Syar.g_00442	Prab.g_01937
OG0000352	Syar.g_00443	Prab.g_01938
OG0000353	Syar.g_00469	Prab.g_01954
OG0000355	Syar.g_00471	Prab.g_00001
OG0000356	Syar.g_00472	Prab.g_00002
OG0000357	Syar.g_00473	Prab.g_00003
OG0000358	Syar.g_00477	Prab.g_00007
OG0000359	Syar.g_00479	Prab.g_00008
OG0000360	Syar.g_00480	Prab.g_00009
OG0000361	Syar.g_00481	Prab.g_00010
OG0000362	Syar.g_00483	Prab.g_00012
OG0000363	Syar.g_00484	Prab.g_00014
OG0000364	Syar.g_02928	Prab.g_00015
OG0000365	Syar.g_00493	Prab.g_00020
OG0000366	Syar.g_00494	Prab.g_00021
OG0000367	Syar.g_03262, Syar.g_00495	Prab.g_00022
OG0000368	Syar.g_00497	Prab.g_00024
OG0000369	Syar.g_00498	Prab.g_00025
OG0000370	Syar.g_00499	Prab.g_00026
OG0000371	Syar.g_00508	Prab.g_00032
OG0000372	Syar.g_00514	Prab.g_00035
OG0000373	Syar.g_00515	Prab.g_00036
OG0000374	Syar.g_00516	Prab.g_00037
OG0000375	Syar.g_00517	Prab.g_00039
OG0000376	Syar.g_00519	Prab.g_00041
OG0000377	Syar.g_00322	Prab.g_00044
OG0000378	Syar.g_00905	Prab.g_00046
OG0000379	Syar.g_00910	Prab.g_00049
OG0000380	Syar.g_03039	Prab.g_00058
OG0000381	Syar.g_03041	Prab.g_00062
OG0000382	Syar.g_03057	Prab.g_00073
OG0000383	Syar.g_03074	Prab.g_00075
OG0000384	Syar.g_03075	Prab.g_00076
OG0000385	Syar.g_03076	Prab.g_00077
OG0000386	Syar.g_03077	Prab.g_00078
OG0000387	Syar.g_03109	Prab.g_00090
OG0000388	Syar.g_03148, Syar.g_03113	Prab.g_00093
OG0000389	Syar.g_03118	Prab.g_00097
OG0000390	Syar.g_00033	Prab.g_00104
OG0000391	Syar.g_00038	Prab.g_00107
OG0000392	Syar.g_00045	Prab.g_00111
OG0000393	Syar.g_00048	Prab.g_00113
OG0000394	Syar.g_00049	Prab.g_00114
OG0000395	Syar.g_00050	Prab.g_00115
OG0000396	Syar.g_00053	Prab.g_00117
OG0000397	Syar.g_00055	Prab.g_00119
OG0000398	Syar.g_00060	Prab.g_00121
OG0000399	Syar.g_00061	Prab.g_00122
OG0000400	Syar.g_00062	Prab.g_00123
OG0000401	Syar.g_00063	Prab.g_00124
OG0000402	Syar.g_00065	Prab.g_00126
OG0000403	Syar.g_00066	Prab.g_00127
OG0000404	Syar.g_00067	Prab.g_00128
OG0000405	Syar.g_00076	Prab.g_00132
OG0000406	Syar.g_00080	Prab.g_00138
OG0000407	Syar.g_00081	Prab.g_00139
OG0000408	Syar.g_00083	Prab.g_00141
OG0000409	Syar.g_00085	Prab.g_00143
OG0000410	Syar.g_00086	Prab.g_00144
OG0000411	Syar.g_00087	Prab.g_00145
OG0000412	Syar.g_00088	Prab.g_00146
OG0000413	Syar.g_00090	Prab.g_00147
OG0000414	Syar.g_00091, Syar.g_03179	Prab.g_00148
OG0000415	Syar.g_00092	Prab.g_00149
OG0000416	Syar.g_00093	Prab.g_00150
OG0000417	Syar.g_00095	Prab.g_00151
OG0000418	Syar.g_00100	Prab.g_00156
OG0000419	Syar.g_00102	Prab.g_00158
OG0000420	Syar.g_00104	Prab.g_00159
OG0000421	Syar.g_00109	Prab.g_00164
OG0000422	Syar.g_00110	Prab.g_00165
OG0000423	Syar.g_00111	Prab.g_00166
OG0000424	Syar.g_00112	Prab.g_00167
OG0000425	Syar.g_00113	Prab.g_00168
OG0000426	Syar.g_00114	Prab.g_00169
OG0000427	Syar.g_00115	Prab.g_00170
OG0000428	Syar.g_00118	Prab.g_00172
OG0000429	Syar.g_00121	Prab.g_00173
OG0000430	Syar.g_00123	Prab.g_00174
OG0000431	Syar.g_00127	Prab.g_00176
OG0000432	Syar.g_01009	Prab.g_00179
OG0000433	Syar.g_01007	Prab.g_00180
OG0000434	Syar.g_01006	Prab.g_00181
OG0000435	Syar.g_01003	Prab.g_00182
OG0000436	Syar.g_00994	Prab.g_00187
OG0000437	Syar.g_00993	Prab.g_00188
OG0000438	Syar.g_00992	Prab.g_00189
OG0000439	Syar.g_00990	Prab.g_00191
OG0000440	Syar.g_00989	Prab.g_00192
OG0000441	Syar.g_00986	Prab.g_00195
OG0000442	Syar.g_00977	Prab.g_00196
OG0000443	Syar.g_00964	Prab.g_00197
OG0000444	Syar.g_00954	Prab.g_00202
OG0000445	Syar.g_00953	Prab.g_00203
OG0000446	Syar.g_00951	Prab.g_00204
OG0000447	Syar.g_00948	Prab.g_00205
OG0000448	Syar.g_00947	Prab.g_00206
OG0000449	Syar.g_00946	Prab.g_00207
OG0000450	Syar.g_00939	Prab.g_00208
OG0000451	Syar.g_00938	Prab.g_00209
OG0000452	Syar.g_00934	Prab.g_00212
OG0000453	Syar.g_00933	Prab.g_00213
OG0000454	Syar.g_00932	Prab.g_00214
OG0000455	Syar.g_00931	Prab.g_00215
OG0000456	Syar.g_00930	Prab.g_00216
OG0000457	Syar.g_00928	Prab.g_00217
OG0000458	Syar.g_00918	Prab.g_00218
OG0000459	Syar.g_00917	Prab.g_00219
OG0000460	Syar.g_03024	Prab.g_00226
OG0000461	Syar.g_00153	Prab.g_00232
OG0000462	Syar.g_00155	Prab.g_00234
OG0000463	Syar.g_00156	Prab.g_00235
OG0000464	Syar.g_00157	Prab.g_00236
OG0000465	Syar.g_00159	Prab.g_00237
OG0000466	Syar.g_00164	Prab.g_00240
OG0000467	Syar.g_00165	Prab.g_00241
OG0000468	Syar.g_00170	Prab.g_00243
OG0000469	Syar.g_00203	Prab.g_00251
OG0000470	Syar.g_00206	Prab.g_00253
OG0000471	Syar.g_00207	Prab.g_00254
OG0000472	Syar.g_00208	Prab.g_00255
OG0000473	Syar.g_00210	Prab.g_00257
OG0000474	Syar.g_00211	Prab.g_00258
OG0000475	Syar.g_00212	Prab.g_00259
OG0000476	Syar.g_00214	Prab.g_00260
OG0000477	Syar.g_00219	Prab.g_00263
OG0000478	Syar.g_00220	Prab.g_00264
OG0000479	Syar.g_00221	Prab.g_00265
OG0000480	Syar.g_00228	Prab.g_00270
OG0000481	Syar.g_00230	Prab.g_00272
OG0000482	Syar.g_00231	Prab.g_00273
OG0000483	Syar.g_00235	Prab.g_00276
OG0000484	Syar.g_00236	Prab.g_00277
OG0000485	Syar.g_00237	Prab.g_00278
OG0000486	Syar.g_00238, Syar.g_00024	Prab.g_00279
OG0000487	Syar.g_00245	Prab.g_00283
OG0000488	Syar.g_00853	Prab.g_00286
OG0000489	Syar.g_00833	Prab.g_00291
OG0000490	Syar.g_00823	Prab.g_00296
OG0000491	Syar.g_00822	Prab.g_00297
OG0000492	Syar.g_00727	Prab.g_00299
OG0000493	Syar.g_00726	Prab.g_00300
OG0000494	Syar.g_00725	Prab.g_00301
OG0000495	Syar.g_00724	Prab.g_00302
OG0000496	Syar.g_00723	Prab.g_00303
OG0000497	Syar.g_00722	Prab.g_00304
OG0000498	Syar.g_00721	Prab.g_00305
OG0000499	Syar.g_00720	Prab.g_00306
OG0000500	Syar.g_00719	Prab.g_00307
OG0000501	Syar.g_00716	Prab.g_00309
OG0000502	Syar.g_00275	Prab.g_00312
OG0000503	Syar.g_01118	Prab.g_00322
OG0000504	Syar.g_01120	Prab.g_00323
OG0000505	Syar.g_01121	Prab.g_00324
OG0000506	Syar.g_01123	Prab.g_00325
OG0000507	Syar.g_01129	Prab.g_00328
OG0000508	Syar.g_01141	Prab.g_00332
OG0000509	Syar.g_01143	Prab.g_00334
OG0000510	Syar.g_01144	Prab.g_00335
OG0000511	Syar.g_01145	Prab.g_00336
OG0000512	Syar.g_01147	Prab.g_00338
OG0000513	Syar.g_01166	Prab.g_00345
OG0000514	Syar.g_01169	Prab.g_00434
OG0000515	Syar.g_01170	Prab.g_00435
OG0000516	Syar.g_01172	Prab.g_00436
OG0000517	Syar.g_01176	Prab.g_00438
OG0000518	Syar.g_02868	Prab.g_00449
OG0000519	Syar.g_02867	Prab.g_00450
OG0000520	Syar.g_02866	Prab.g_00454
OG0000521	Syar.g_01419	Prab.g_00459
OG0000522	Syar.g_01421	Prab.g_00460
OG0000523	Syar.g_01422	Prab.g_00461
OG0000524	Syar.g_01244	Prab.g_00466
OG0000525	Syar.g_01263	Prab.g_00469
OG0000526	Syar.g_01266	Prab.g_00470
OG0000527	Syar.g_01271	Prab.g_00477
OG0000528	Syar.g_01466	Prab.g_00482
OG0000529	Syar.g_01470	Prab.g_00485
OG0000530	Syar.g_01473	Prab.g_00488
OG0000531	Syar.g_01474	Prab.g_00489
OG0000532	Syar.g_01477	Prab.g_00491
OG0000533	Syar.g_01479	Prab.g_00492
OG0000534	Syar.g_01480	Prab.g_00493
OG0000535	Syar.g_01481	Prab.g_00494
OG0000536	Syar.g_01482	Prab.g_00495
OG0000537	Syar.g_01483	Prab.g_00496
OG0000538	Syar.g_01496	Prab.g_00504
OG0000539	Syar.g_01497	Prab.g_00505
OG0000540	Syar.g_01498	Prab.g_00506
OG0000541	Syar.g_01499	Prab.g_00507
OG0000542	Syar.g_01502	Prab.g_00509
OG0000543	Syar.g_01504	Prab.g_00511
OG0000544	Syar.g_01505	Prab.g_00512
OG0000545	Syar.g_01507	Prab.g_00514
OG0000546	Syar.g_01509	Prab.g_00517
OG0000547	Syar.g_01511	Prab.g_00519
OG0000548	Syar.g_01512	Prab.g_00520
OG0000549	Syar.g_02693	Prab.g_00522
OG0000550	Syar.g_02689	Prab.g_00527
OG0000551	Syar.g_02684	Prab.g_00531
OG0000552	Syar.g_02683	Prab.g_00532
OG0000553	Syar.g_02679	Prab.g_00533
OG0000554	Syar.g_02352	Prab.g_00538
OG0000555	Syar.g_02336	Prab.g_00546
OG0000556	Syar.g_02332	Prab.g_00548
OG0000557	Syar.g_02328	Prab.g_00549
OG0000558	Syar.g_02326	Prab.g_00551
OG0000559	Syar.g_02322	Prab.g_00555
OG0000560	Syar.g_02320	Prab.g_00558
OG0000561	Syar.g_02319	Prab.g_00559
OG0000562	Syar.g_02318	Prab.g_00560
OG0000563	Syar.g_02317	Prab.g_00561
OG0000564	Syar.g_02316	Prab.g_00562
OG0000565	Syar.g_02312	Prab.g_00565
OG0000566	Syar.g_02308	Prab.g_00568
OG0000567	Syar.g_02304	Prab.g_00572
OG0000568	Syar.g_02302	Prab.g_00573
OG0000569	Syar.g_02301	Prab.g_00574
OG0000570	Syar.g_02300	Prab.g_00575
OG0000571	Syar.g_02298	Prab.g_00577
OG0000572	Syar.g_02201	Prab.g_00590
OG0000573	Syar.g_02191	Prab.g_00596
