Orthogroup	Syar	Pras
OG0000205	Syar.g_00988	Pras.g_01053
OG0000206	Syar.g_00963	Pras.g_01058, Pras.g_01059
OG0000207	Syar.g_00957	Pras.g_01061
OG0000208	Syar.g_00956	Pras.g_01062
OG0000209	Syar.g_00936, Syar.g_03261	Pras.g_01071
OG0000210	Syar.g_03260, Syar.g_00935	Pras.g_01072
OG0000211	Syar.g_03026	Pras.g_01085
OG0000212	Syar.g_03017	Pras.g_01092
OG0000213	Syar.g_00187	Pras.g_01109
OG0000214	Syar.g_00209	Pras.g_01119
OG0000215	Syar.g_00239	Pras.g_01144
OG0000216	Syar.g_00244	Pras.g_01145
OG0000217	Syar.g_00854	Pras.g_01148
OG0000218	Syar.g_00852	Pras.g_01150
OG0000219	Syar.g_00851	Pras.g_01151
OG0000220	Syar.g_00850, Syar.g_02026	Pras.g_01152
OG0000221	Syar.g_00834	Pras.g_01153
OG0000222	Syar.g_02119, Syar.g_00728	Pras.g_01162
OG0000223	Syar.g_00649	Pras.g_01175
OG0000224	Syar.g_00273	Pras.g_01177
OG0000225	Syar.g_01142	Pras.g_01199
OG0000226	Syar.g_01146	Pras.g_01203
OG0000227	Syar.g_01148	Pras.g_01205
OG0000228	Syar.g_01161	Pras.g_01208
OG0000229	Syar.g_01177, Syar.g_03273	Pras.g_01314
OG0000230	Syar.g_01179	Pras.g_01316
OG0000231	Syar.g_02865, Syar.g_03151	Pras.g_01327
OG0000232	Syar.g_01424	Pras.g_01335
OG0000233	Syar.g_03183, Syar.g_01247	Pras.g_01341
OG0000234	Syar.g_01275	Pras.g_01354
OG0000235	Syar.g_01468	Pras.g_01357
OG0000236	Syar.g_01484, Syar.g_03311	Pras.g_01371
OG0000237	Syar.g_01503	Pras.g_01384
OG0000238	Syar.g_01508	Pras.g_01390
OG0000239	Syar.g_03277, Syar.g_02687	Pras.g_01402
OG0000240	Syar.g_02686, Syar.g_03278	Pras.g_01403
OG0000241	Syar.g_02410	Pras.g_01407
OG0000242	Syar.g_01926	Pras.g_01409
OG0000243	Syar.g_02335	Pras.g_01420
OG0000244	Syar.g_02327	Pras.g_01423
OG0000245	Syar.g_02325, Syar.g_03238	Pras.g_01425
OG0000246	Syar.g_02321	Pras.g_01429
OG0000247	Syar.g_02310	Pras.g_01439
OG0000248	Syar.g_02307, Syar.g_03293	Pras.g_01441
OG0000249	Syar.g_02305	Pras.g_01443
OG0000250	Syar.g_02299	Pras.g_01448
OG0000251	Syar.g_03207, Syar.g_02194	Pras.g_01467
OG0000252	Syar.g_02189, Syar.g_03263	Pras.g_01470
OG0000253	Syar.g_02028	Pras.g_01471
OG0000254	Syar.g_02169	Pras.g_01487
OG0000255	Syar.g_02224, Syar.g_00011	Pras.g_01493
OG0000256	Syar.g_02244	Pras.g_01503
OG0000257	Syar.g_02407, Syar.g_01762	Pras.g_01506
OG0000258	Syar.g_00010, Syar.g_02427	Pras.g_01519
OG0000259	Syar.g_02472	Pras.g_01536
OG0000260	Syar.g_03220, Syar.g_02475	Pras.g_01539
OG0000261	Syar.g_01916	Pras.g_01541
OG0000262	Syar.g_01690	Pras.g_00327, Pras.g_01545
OG0000263	Syar.g_01991	Pras.g_01557
OG0000264	Syar.g_02135, Syar.g_03267	Pras.g_01567
OG0000266	Syar.g_01570	Pras.g_01616
OG0000267	Syar.g_01873	Pras.g_01627
OG0000268	Syar.g_02589	Pras.g_01628
OG0000269	Syar.g_02634	Pras.g_01696
OG0000270	Syar.g_00744, Syar.g_02637	Pras.g_01699
OG0000271	Syar.g_02645	Pras.g_01707
OG0000272	Syar.g_02646	Pras.g_01708
OG0000273	Syar.g_00008	Pras.g_01731
OG0000274	Syar.g_02482, Syar.g_00009	Pras.g_01732
OG0000275	Syar.g_01810	Pras.g_01734
OG0000276	Syar.g_01817	Pras.g_01739
OG0000277	Syar.g_03242, Syar.g_01818	Pras.g_01740
OG0000278	Syar.g_01821, Syar.g_03174	Pras.g_01743
OG0000279	Syar.g_01838	Pras.g_01750
OG0000280	Syar.g_02067, Syar.g_00734	Pras.g_01751
OG0000281	Syar.g_02218	Pras.g_01756
OG0000282	Syar.g_03255, Syar.g_01614	Pras.g_01803
OG0000283	Syar.g_02574	Pras.g_01836
OG0000284	Syar.g_02568	Pras.g_01841
OG0000285	Syar.g_02560	Pras.g_01846
OG0000286	Syar.g_02540	Pras.g_01858
OG0000287	Syar.g_02512	Pras.g_01875
OG0000288	Syar.g_01801	Pras.g_01907
OG0000289	Syar.g_01786	Pras.g_01918
OG0000290	Syar.g_01928	Pras.g_01931
OG0000291	Syar.g_01930	Pras.g_01933
OG0000292	Syar.g_00463	Pras.g_01982
OG0000293	Syar.g_01526, Syar.g_03297	Pras.g_00047
OG0000294	Syar.g_01527, Syar.g_03296	Pras.g_00048
OG0000295	Syar.g_01951, Syar.g_03208	Pras.g_00068
OG0000296	Syar.g_01953	Pras.g_00070
OG0000297	Syar.g_03216	Pras.g_00078
OG0000298	Syar.g_03215	Pras.g_00079
OG0000299	Syar.g_01704	Pras.g_00096, Pras.g_00097
OG0000300	Syar.g_01646	Pras.g_00100
OG0000301	Syar.g_01712	Pras.g_00101
OG0000302	Syar.g_01713	Pras.g_00103
OG0000303	Syar.g_01723	Pras.g_00110
OG0000304	Syar.g_01728	Pras.g_00114
OG0000305	Syar.g_01933, Syar.g_03163	Pras.g_00242
OG0000306	Syar.g_01884, Syar.g_03140	Pras.g_00245
OG0000307	Syar.g_01452, Syar.g_03153	Pras.g_00259
OG0000308	Syar.g_01450	Pras.g_00260
OG0000309	Syar.g_01239	Pras.g_00264
OG0000310	Syar.g_02826	Pras.g_00335
OG0000311	Syar.g_02823	Pras.g_00337
OG0000312	Syar.g_00015, Syar.g_02818	Pras.g_00340
OG0000313	Syar.g_02804	Pras.g_00354
OG0000314	Syar.g_01403	Pras.g_00377
OG0000315	Syar.g_01393	Pras.g_00388
OG0000316	Syar.g_02885	Pras.g_00410
OG0000317	Syar.g_02926	Pras.g_00548
OG0000318	Syar.g_02930	Pras.g_00551
OG0000319	Syar.g_02954	Pras.g_00564
OG0000320	Syar.g_02956	Pras.g_00566
OG0000321	Syar.g_02957	Pras.g_00567
OG0000322	Syar.g_02958	Pras.g_00568
OG0000323	Syar.g_02973	Pras.g_00577
OG0000324	Syar.g_00350, Syar.g_03001	Pras.g_00604
OG0000325	Syar.g_03291, Syar.g_00148	Pras.g_00614
OG0000326	Syar.g_00139, Syar.g_03134	Pras.g_00620
OG0000327	Syar.g_01029	Pras.g_00646
OG0000328	Syar.g_01030	Pras.g_00647
OG0000329	Syar.g_03189, Syar.g_01048	Pras.g_00664
OG0000330	Syar.g_01049	Pras.g_00665
OG0000331	Syar.g_03191, Syar.g_01050	Pras.g_00666
OG0000332	Syar.g_01064, Syar.g_03299	Pras.g_00680
OG0000333	Syar.g_01067	Pras.g_00682
OG0000334	Syar.g_01076	Pras.g_00690
OG0000335	Syar.g_01080	Pras.g_00695
OG0000336	Syar.g_01084	Pras.g_00699
OG0000337	Syar.g_00285	Pras.g_00715
OG0000338	Syar.g_03225, Syar.g_00287	Pras.g_00716
OG0000339	Syar.g_00658	Pras.g_00720
OG0000340	Syar.g_00247	Pras.g_00728
OG0000341	Syar.g_00249	Pras.g_00730
OG0000342	Syar.g_00250	Pras.g_00731
OG0000343	Syar.g_00256	Pras.g_00732
OG0000344	Syar.g_00260	Pras.g_00735
OG0000345	Syar.g_00612	Pras.g_00740
OG0000346	Syar.g_00607	Pras.g_00744
OG0000347	Syar.g_00558	Pras.g_00761
OG0000348	Syar.g_00544	Pras.g_00771
OG0000349	Syar.g_00521	Pras.g_00788
OG0000350	Syar.g_00132	Pras.g_00806, Pras.g_00131
OG0000351	Syar.g_00442	Pras.g_00824
OG0000352	Syar.g_00443	Pras.g_00825
OG0000353	Syar.g_00469	Pras.g_00841
OG0000355	Syar.g_00471	Pras.g_00843
OG0000356	Syar.g_00472	Pras.g_00844
OG0000357	Syar.g_00473	Pras.g_00845
OG0000358	Syar.g_00477	Pras.g_00849
OG0000359	Syar.g_00479	Pras.g_00850
OG0000360	Syar.g_00480	Pras.g_00851
OG0000361	Syar.g_00481	Pras.g_00852
OG0000362	Syar.g_00483	Pras.g_00854
OG0000363	Syar.g_00484	Pras.g_00856
OG0000364	Syar.g_02928	Pras.g_00857
OG0000365	Syar.g_00493	Pras.g_00862
OG0000366	Syar.g_00494	Pras.g_00863
OG0000367	Syar.g_03262, Syar.g_00495	Pras.g_00864
OG0000368	Syar.g_00497	Pras.g_00866
OG0000369	Syar.g_00498	Pras.g_00867
OG0000370	Syar.g_00499	Pras.g_00868
OG0000371	Syar.g_00508	Pras.g_00874
OG0000372	Syar.g_00514	Pras.g_00877
OG0000373	Syar.g_00515	Pras.g_00878
OG0000374	Syar.g_00516	Pras.g_00879
OG0000375	Syar.g_00517	Pras.g_00893
OG0000376	Syar.g_00519	Pras.g_00895
OG0000377	Syar.g_00322	Pras.g_00898
OG0000378	Syar.g_00905	Pras.g_00900
OG0000379	Syar.g_00910	Pras.g_00903
OG0000380	Syar.g_03039	Pras.g_00918
OG0000381	Syar.g_03041	Pras.g_00922
OG0000382	Syar.g_03057	Pras.g_00932
OG0000383	Syar.g_03074	Pras.g_00934
OG0000384	Syar.g_03075	Pras.g_00935
OG0000385	Syar.g_03076	Pras.g_00936
OG0000386	Syar.g_03077	Pras.g_00937
OG0000387	Syar.g_03109	Pras.g_00950
OG0000388	Syar.g_03148, Syar.g_03113	Pras.g_00953
OG0000389	Syar.g_03118	Pras.g_00957
OG0000390	Syar.g_00033	Pras.g_00964
OG0000391	Syar.g_00038	Pras.g_00967
OG0000392	Syar.g_00045	Pras.g_00971
OG0000393	Syar.g_00048	Pras.g_00973
OG0000394	Syar.g_00049	Pras.g_00974
OG0000395	Syar.g_00050	Pras.g_00975
OG0000396	Syar.g_00053	Pras.g_00978
OG0000397	Syar.g_00055	Pras.g_00980
OG0000398	Syar.g_00060	Pras.g_00982
OG0000399	Syar.g_00061	Pras.g_00983
OG0000400	Syar.g_00062	Pras.g_00984
OG0000401	Syar.g_00063	Pras.g_00985
OG0000402	Syar.g_00065	Pras.g_00987
OG0000403	Syar.g_00066	Pras.g_00988
OG0000404	Syar.g_00067	Pras.g_00989
OG0000405	Syar.g_00076	Pras.g_00993
OG0000406	Syar.g_00080	Pras.g_00998
OG0000407	Syar.g_00081	Pras.g_00999
OG0000408	Syar.g_00083	Pras.g_01001
OG0000409	Syar.g_00085	Pras.g_01003
OG0000410	Syar.g_00086	Pras.g_01004
OG0000411	Syar.g_00087	Pras.g_01005
OG0000412	Syar.g_00088	Pras.g_01006
OG0000413	Syar.g_00090	Pras.g_01007
OG0000414	Syar.g_00091, Syar.g_03179	Pras.g_01008
OG0000415	Syar.g_00092	Pras.g_01009
OG0000416	Syar.g_00093	Pras.g_01010
OG0000417	Syar.g_00095	Pras.g_01011
OG0000418	Syar.g_00100	Pras.g_01016
OG0000419	Syar.g_00102	Pras.g_01018
OG0000420	Syar.g_00104	Pras.g_01019
OG0000421	Syar.g_00109	Pras.g_01024
OG0000422	Syar.g_00110	Pras.g_01025
OG0000423	Syar.g_00111	Pras.g_01026
OG0000424	Syar.g_00112	Pras.g_01027
OG0000425	Syar.g_00113	Pras.g_01028
OG0000426	Syar.g_00114	Pras.g_01029
OG0000427	Syar.g_00115	Pras.g_01030
OG0000428	Syar.g_00118	Pras.g_01032
OG0000429	Syar.g_00121	Pras.g_01033
OG0000430	Syar.g_00123	Pras.g_01034
OG0000431	Syar.g_00127	Pras.g_01036
OG0000432	Syar.g_01009	Pras.g_01039
OG0000433	Syar.g_01007	Pras.g_01040
OG0000434	Syar.g_01006	Pras.g_01041
OG0000435	Syar.g_01003	Pras.g_01042
OG0000436	Syar.g_00994	Pras.g_01047
OG0000437	Syar.g_00993	Pras.g_01048
OG0000438	Syar.g_00992	Pras.g_01049
OG0000439	Syar.g_00990	Pras.g_01051
OG0000440	Syar.g_00989	Pras.g_01052
OG0000441	Syar.g_00986	Pras.g_01055
OG0000442	Syar.g_00977	Pras.g_01056
OG0000443	Syar.g_00964	Pras.g_01057
OG0000444	Syar.g_00954	Pras.g_01063
OG0000445	Syar.g_00953	Pras.g_01064
OG0000446	Syar.g_00951	Pras.g_01065
OG0000447	Syar.g_00948	Pras.g_01066
OG0000448	Syar.g_00947	Pras.g_01067
OG0000449	Syar.g_00946	Pras.g_01068
OG0000450	Syar.g_00939	Pras.g_01069
OG0000451	Syar.g_00938	Pras.g_01070
OG0000452	Syar.g_00934	Pras.g_01073
OG0000453	Syar.g_00933	Pras.g_01074
OG0000454	Syar.g_00932	Pras.g_01075
OG0000455	Syar.g_00931	Pras.g_01076
OG0000456	Syar.g_00930	Pras.g_01077
OG0000457	Syar.g_00928	Pras.g_01078
OG0000458	Syar.g_00918	Pras.g_01079
OG0000459	Syar.g_00917	Pras.g_01080
OG0000460	Syar.g_03024	Pras.g_01087
OG0000461	Syar.g_00153	Pras.g_01094
OG0000462	Syar.g_00155	Pras.g_01096
OG0000463	Syar.g_00156	Pras.g_01097
OG0000464	Syar.g_00157	Pras.g_01098
OG0000465	Syar.g_00159	Pras.g_01099
OG0000466	Syar.g_00164	Pras.g_01102
OG0000467	Syar.g_00165	Pras.g_01103
OG0000468	Syar.g_00170	Pras.g_01105
OG0000469	Syar.g_00203	Pras.g_01114
OG0000470	Syar.g_00206	Pras.g_01116
OG0000471	Syar.g_00207	Pras.g_01117
OG0000472	Syar.g_00208	Pras.g_01118
OG0000473	Syar.g_00210	Pras.g_01120
OG0000474	Syar.g_00211	Pras.g_01121
OG0000475	Syar.g_00212	Pras.g_01122
OG0000476	Syar.g_00214	Pras.g_01123
OG0000477	Syar.g_00219	Pras.g_01127
OG0000478	Syar.g_00220	Pras.g_01128
OG0000479	Syar.g_00221	Pras.g_01129
OG0000480	Syar.g_00228	Pras.g_01134
OG0000481	Syar.g_00230	Pras.g_01136
OG0000482	Syar.g_00231	Pras.g_01137
OG0000483	Syar.g_00235	Pras.g_01140
OG0000484	Syar.g_00236	Pras.g_01141
OG0000485	Syar.g_00237	Pras.g_01142
OG0000486	Syar.g_00238, Syar.g_00024	Pras.g_01143
OG0000487	Syar.g_00245	Pras.g_01146
OG0000488	Syar.g_00853	Pras.g_01149
OG0000489	Syar.g_00833	Pras.g_01155
OG0000490	Syar.g_00823	Pras.g_01160
OG0000491	Syar.g_00822	Pras.g_01161
OG0000492	Syar.g_00727	Pras.g_01163
OG0000493	Syar.g_00726	Pras.g_01164
OG0000494	Syar.g_00725	Pras.g_01165
OG0000495	Syar.g_00724	Pras.g_01166
OG0000496	Syar.g_00723	Pras.g_01167
OG0000497	Syar.g_00722	Pras.g_01168
OG0000498	Syar.g_00721	Pras.g_01169
OG0000499	Syar.g_00720	Pras.g_01170
OG0000500	Syar.g_00719	Pras.g_01171
OG0000501	Syar.g_00716	Pras.g_01173
OG0000502	Syar.g_00275	Pras.g_01176
OG0000503	Syar.g_01118	Pras.g_01187
OG0000504	Syar.g_01120	Pras.g_01188
OG0000505	Syar.g_01121	Pras.g_01189
OG0000506	Syar.g_01123	Pras.g_01191
OG0000507	Syar.g_01129	Pras.g_01194
OG0000508	Syar.g_01141	Pras.g_01198
OG0000509	Syar.g_01143	Pras.g_01200
OG0000510	Syar.g_01144	Pras.g_01201
OG0000511	Syar.g_01145	Pras.g_01202
OG0000512	Syar.g_01147	Pras.g_01204
OG0000513	Syar.g_01166	Pras.g_01211
OG0000514	Syar.g_01169	Pras.g_01309
OG0000515	Syar.g_01170	Pras.g_01310
OG0000516	Syar.g_01172	Pras.g_01311
OG0000517	Syar.g_01176	Pras.g_01313
OG0000518	Syar.g_02868	Pras.g_01324
OG0000519	Syar.g_02867	Pras.g_01325
OG0000520	Syar.g_02866	Pras.g_01326
OG0000521	Syar.g_01419	Pras.g_01331
OG0000522	Syar.g_01421	Pras.g_01332
OG0000523	Syar.g_01422	Pras.g_01333
OG0000524	Syar.g_01244	Pras.g_01339
OG0000525	Syar.g_01263	Pras.g_01342
OG0000526	Syar.g_01266	Pras.g_01343
OG0000527	Syar.g_01271	Pras.g_01351
OG0000528	Syar.g_01466	Pras.g_01356
OG0000529	Syar.g_01470	Pras.g_01359
OG0000530	Syar.g_01473	Pras.g_01362
OG0000531	Syar.g_01474	Pras.g_01363
OG0000532	Syar.g_01477	Pras.g_01365
OG0000533	Syar.g_01479	Pras.g_01366
OG0000534	Syar.g_01480	Pras.g_01367
OG0000535	Syar.g_01481	Pras.g_01368
OG0000536	Syar.g_01482	Pras.g_01369
OG0000537	Syar.g_01483	Pras.g_01370
OG0000538	Syar.g_01496	Pras.g_01378
OG0000539	Syar.g_01497	Pras.g_01379
OG0000540	Syar.g_01498	Pras.g_01380
OG0000541	Syar.g_01499	Pras.g_01381
OG0000542	Syar.g_01502	Pras.g_01383
OG0000543	Syar.g_01504	Pras.g_01385
OG0000544	Syar.g_01505	Pras.g_01386
OG0000545	Syar.g_01507	Pras.g_01388
OG0000546	Syar.g_01509	Pras.g_01391
OG0000547	Syar.g_01511	Pras.g_01393
OG0000548	Syar.g_01512	Pras.g_01394
OG0000549	Syar.g_02693	Pras.g_01396
OG0000550	Syar.g_02689	Pras.g_01401
OG0000551	Syar.g_02684	Pras.g_01404
OG0000552	Syar.g_02683	Pras.g_01405
OG0000553	Syar.g_02679	Pras.g_01406
OG0000554	Syar.g_02352	Pras.g_01411
OG0000555	Syar.g_02336	Pras.g_01419
OG0000556	Syar.g_02332	Pras.g_01421
OG0000557	Syar.g_02328	Pras.g_01422
OG0000558	Syar.g_02326	Pras.g_01424
OG0000559	Syar.g_02322	Pras.g_01428
OG0000560	Syar.g_02320	Pras.g_01431
OG0000561	Syar.g_02319	Pras.g_01432
OG0000562	Syar.g_02318	Pras.g_01433
OG0000563	Syar.g_02317	Pras.g_01434
OG0000564	Syar.g_02316	Pras.g_01435
OG0000565	Syar.g_02312	Pras.g_01438
OG0000566	Syar.g_02308	Pras.g_01440
OG0000567	Syar.g_02304	Pras.g_01444
OG0000568	Syar.g_02302	Pras.g_01445
OG0000569	Syar.g_02301	Pras.g_01446
OG0000570	Syar.g_02300	Pras.g_01447
OG0000571	Syar.g_02298	Pras.g_01449
OG0000572	Syar.g_02201	Pras.g_01463
