Orthogroup	Syar	Prak
OG0000100	Syar.g_02477	Prak.g_01470
OG0000101	Syar.g_01073, Syar.g_03154	Prak.g_01780
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prak.g_01847
OG0000103	Syar.g_00452, Syar.g_00014	Prak.g_01932
OG0000104	Syar.g_00466	Prak.g_01941
OG0000105	Syar.g_00218	Prak.g_00292
OG0000106	Syar.g_01748	Prak.g_00687
OG0000107	Syar.g_00149	Prak.g_01709
OG0000108	Syar.g_01469	Prak.g_00441
OG0000109	Syar.g_03310, Syar.g_01485	Prak.g_00455
OG0000110	Syar.g_02295	Prak.g_00535
OG0000111	Syar.g_01940	Prak.g_00830
OG0000112	Syar.g_02548, Syar.g_03195	Prak.g_00608
OG0000113	Syar.g_02664	Prak.g_00868
OG0000114	Syar.g_01616	Prak.g_00770
OG0000115	Syar.g_02854, Syar.g_01415	Prak.g_01241
OG0000116	Syar.g_01525, Syar.g_02255	Prak.g_01183
OG0000117	Syar.g_01969	Prak.g_01145
OG0000118	Syar.g_02793	Prak.g_01290
OG0000120	Syar.g_00713	Prak.g_01349
OG0000121	Syar.g_02806	Prak.g_01393
OG0000123	Syar.g_01079	Prak.g_01787
OG0000124	Syar.g_00586	Prak.g_01859
OG0000125	Syar.g_00338	Prak.g_01895
OG0000126	Syar.g_00887, Syar.g_00888	Prak.g_01940
OG0000128	Syar.g_00482	Prak.g_00011
OG0000129	Syar.g_00324	Prak.g_00045
OG0000130	Syar.g_03040	Prak.g_00074
OG0000131	Syar.g_00078	Prak.g_00156
OG0000132	Syar.g_00099	Prak.g_00176
OG0000133	Syar.g_02543	Prak.g_00339
OG0000134	Syar.g_02009, Syar.g_01165	Prak.g_00381
OG0000135	Syar.g_00698	Prak.g_01259
OG0000136	Syar.g_02874	Prak.g_00403
OG0000137	Syar.g_01273	Prak.g_00436
OG0000138	Syar.g_01486	Prak.g_00456
OG0000139	Syar.g_03245	Prak.g_00496
OG0000140	Syar.g_02344, Syar.g_03246	Prak.g_00497
OG0000141	Syar.g_02129	Prak.g_00569
OG0000142	Syar.g_02418	Prak.g_01108
OG0000143	Syar.g_02422	Prak.g_01104
OG0000144	Syar.g_02441	Prak.g_01090
OG0000145	Syar.g_01494	Prak.g_01261
OG0000146	Syar.g_02549	Prak.g_00607
OG0000147	Syar.g_02550	Prak.g_00606
OG0000148	Syar.g_02658	Prak.g_00862
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prak.g_00894
OG0000150	Syar.g_02130	Prak.g_00904
OG0000151	Syar.g_02038	Prak.g_00780
OG0000152	Syar.g_02539	Prak.g_00973
OG0000153	Syar.g_03283, Syar.g_02503	Prak.g_00992
OG0000154	Syar.g_01800	Prak.g_01012
OG0000155	Syar.g_01959	Prak.g_01151
OG0000156	Syar.g_01517	Prak.g_01266
OG0000157	Syar.g_01516	Prak.g_01267
OG0000158	Syar.g_00650	Prak.g_01824
OG0000159	Syar.g_02359	Prak.g_00065
OG0000160	Syar.g_02807	Prak.g_01392
OG0000161	Syar.g_02801	Prak.g_01398
OG0000162	Syar.g_02863	Prak.g_01404
OG0000163	Syar.g_01186	Prak.g_01443
OG0000164	Syar.g_03168, Syar.g_02969	Prak.g_01669
OG0000165	Syar.g_02976	Prak.g_01676
OG0000166	Syar.g_01034	Prak.g_01743
OG0000167	Syar.g_00662	Prak.g_01814
OG0000168	Syar.g_00246	Prak.g_01825
OG0000169	Syar.g_00262	Prak.g_01835
OG0000170	Syar.g_00613	Prak.g_01838
OG0000171	Syar.g_00587	Prak.g_01858
OG0000172	Syar.g_00547	Prak.g_01865
OG0000173	Syar.g_00528	Prak.g_01880
OG0000174	Syar.g_00701	Prak.g_01910
OG0000175	Syar.g_00438	Prak.g_01923
OG0000176	Syar.g_00474	Prak.g_00004
OG0000177	Syar.g_00475	Prak.g_00005
OG0000178	Syar.g_00476	Prak.g_00006
OG0000179	Syar.g_00489	Prak.g_00016
OG0000180	Syar.g_00490	Prak.g_00017
OG0000181	Syar.g_00491	Prak.g_00018
OG0000182	Syar.g_00492	Prak.g_00019
OG0000183	Syar.g_00496	Prak.g_00023
OG0000184	Syar.g_00897	Prak.g_00049
OG0000185	Syar.g_00909	Prak.g_00052
OG0000186	Syar.g_03036	Prak.g_00068
OG0000187	Syar.g_03038	Prak.g_00069
OG0000188	Syar.g_03058	Prak.g_00086
OG0000189	Syar.g_03104	Prak.g_00100
OG0000190	Syar.g_03107, Syar.g_02374	Prak.g_00102
OG0000191	Syar.g_00039	Prak.g_00125
OG0000192	Syar.g_00046	Prak.g_00130
OG0000193	Syar.g_00079	Prak.g_00157
OG0000194	Syar.g_00082, Syar.g_03236	Prak.g_00160
OG0000195	Syar.g_00023, Syar.g_00084	Prak.g_00162
OG0000196	Syar.g_00096	Prak.g_00173
OG0000197	Syar.g_00097	Prak.g_00174
OG0000198	Syar.g_00098	Prak.g_00175
OG0000199	Syar.g_00106	Prak.g_00182
OG0000200	Syar.g_00124	Prak.g_00196
OG0000201	Syar.g_01000	Prak.g_00205
OG0000202	Syar.g_00021, Syar.g_00998	Prak.g_00206
OG0000203	Syar.g_00997, Syar.g_00020	Prak.g_00207
OG0000204	Syar.g_00996	Prak.g_00208
OG0000205	Syar.g_00988	Prak.g_00215
OG0000206	Syar.g_00963	Prak.g_00220
OG0000207	Syar.g_00957	Prak.g_00223
OG0000208	Syar.g_00956	Prak.g_00224
OG0000209	Syar.g_00936, Syar.g_03261	Prak.g_00233
OG0000210	Syar.g_03260, Syar.g_00935	Prak.g_00234
OG0000211	Syar.g_03026	Prak.g_00249
OG0000212	Syar.g_03017	Prak.g_00257
OG0000213	Syar.g_00187	Prak.g_00275
OG0000214	Syar.g_00209	Prak.g_00285
OG0000215	Syar.g_00239	Prak.g_00312
OG0000216	Syar.g_00244	Prak.g_00313
OG0000217	Syar.g_00854	Prak.g_00316
OG0000218	Syar.g_00852	Prak.g_00318
OG0000219	Syar.g_00851	Prak.g_00319
OG0000220	Syar.g_00850, Syar.g_02026	Prak.g_00320
OG0000221	Syar.g_00834	Prak.g_00321
OG0000222	Syar.g_02119, Syar.g_00728	Prak.g_00328
OG0000223	Syar.g_00649	Prak.g_00340
OG0000224	Syar.g_00273	Prak.g_00342
OG0000225	Syar.g_01142	Prak.g_00368
OG0000226	Syar.g_01146	Prak.g_00372
OG0000227	Syar.g_01148	Prak.g_00374
OG0000228	Syar.g_01161	Prak.g_00378
OG0000229	Syar.g_01177, Syar.g_03273	Prak.g_00398
OG0000230	Syar.g_01179	Prak.g_00400
OG0000231	Syar.g_02865, Syar.g_03151	Prak.g_00411
OG0000232	Syar.g_01424	Prak.g_00422
OG0000233	Syar.g_03183, Syar.g_01247	Prak.g_00428
OG0000234	Syar.g_01275	Prak.g_00437
OG0000235	Syar.g_01468	Prak.g_00440
OG0000236	Syar.g_01484, Syar.g_03311	Prak.g_00454
OG0000237	Syar.g_01503	Prak.g_00467
OG0000238	Syar.g_01508	Prak.g_00473
OG0000239	Syar.g_03277, Syar.g_02687	Prak.g_00484
OG0000240	Syar.g_02686, Syar.g_03278	Prak.g_00485
OG0000241	Syar.g_02410	Prak.g_00489
OG0000242	Syar.g_01926	Prak.g_00491
OG0000243	Syar.g_02335	Prak.g_00502
OG0000244	Syar.g_02327	Prak.g_00506
OG0000245	Syar.g_02325, Syar.g_03238	Prak.g_00508
OG0000246	Syar.g_02321	Prak.g_00512
OG0000247	Syar.g_02310	Prak.g_00522
OG0000248	Syar.g_02307, Syar.g_03293	Prak.g_00525
OG0000249	Syar.g_02305	Prak.g_00527
OG0000250	Syar.g_02299	Prak.g_00532
OG0000251	Syar.g_03207, Syar.g_02194	Prak.g_00552
OG0000252	Syar.g_02189, Syar.g_03263	Prak.g_00555
OG0000253	Syar.g_02028	Prak.g_00556
OG0000254	Syar.g_02169	Prak.g_00573
OG0000255	Syar.g_02224, Syar.g_00011	Prak.g_00579
OG0000256	Syar.g_02244	Prak.g_00589
OG0000257	Syar.g_02407, Syar.g_01762	Prak.g_01113
OG0000258	Syar.g_00010, Syar.g_02427	Prak.g_01099
OG0000259	Syar.g_02472	Prak.g_01082
OG0000260	Syar.g_03220, Syar.g_02475	Prak.g_01079
OG0000261	Syar.g_01916	Prak.g_01076
OG0000262	Syar.g_01690	Prak.g_01072
OG0000263	Syar.g_01991	Prak.g_00808
OG0000264	Syar.g_02135, Syar.g_03267	Prak.g_00819
OG0000266	Syar.g_01570	Prak.g_01053
OG0000267	Syar.g_01873	Prak.g_01041
OG0000268	Syar.g_02589	Prak.g_01040
OG0000269	Syar.g_02634	Prak.g_00840
OG0000270	Syar.g_00744, Syar.g_02637	Prak.g_00843
OG0000271	Syar.g_02645	Prak.g_00851
OG0000272	Syar.g_02646	Prak.g_00852
OG0000273	Syar.g_00008	Prak.g_00876
OG0000274	Syar.g_02482, Syar.g_00009	Prak.g_00877
OG0000275	Syar.g_01810	Prak.g_00880
OG0000276	Syar.g_01817	Prak.g_00886
OG0000277	Syar.g_03242, Syar.g_01818	Prak.g_00887
OG0000278	Syar.g_01821, Syar.g_03174	Prak.g_00890
OG0000279	Syar.g_01838	Prak.g_00897
OG0000280	Syar.g_02067, Syar.g_00734	Prak.g_00898
OG0000281	Syar.g_02218	Prak.g_00905
OG0000282	Syar.g_03255, Syar.g_01614	Prak.g_00772
OG0000283	Syar.g_02574	Prak.g_00949
OG0000284	Syar.g_02568	Prak.g_00954
OG0000285	Syar.g_02560	Prak.g_00959
OG0000286	Syar.g_02540	Prak.g_00972
OG0000287	Syar.g_02512	Prak.g_01238
OG0000288	Syar.g_01801	Prak.g_01011
OG0000289	Syar.g_01786	Prak.g_01027
OG0000290	Syar.g_01928	Prak.g_00923
OG0000291	Syar.g_01930	Prak.g_00921
OG0000292	Syar.g_00463	Prak.g_01217
OG0000293	Syar.g_01526, Syar.g_03297	Prak.g_01182
OG0000294	Syar.g_01527, Syar.g_03296	Prak.g_01181
OG0000295	Syar.g_01951, Syar.g_03208	Prak.g_01158
OG0000296	Syar.g_01953	Prak.g_01156
OG0000297	Syar.g_03216	Prak.g_01147
OG0000298	Syar.g_03215	Prak.g_01146
OG0000299	Syar.g_01704	Prak.g_01127
OG0000300	Syar.g_01646	Prak.g_01124
OG0000301	Syar.g_01712	Prak.g_01123
OG0000302	Syar.g_01713	Prak.g_01121
OG0000303	Syar.g_01723	Prak.g_01115
OG0000304	Syar.g_01728	Prak.g_00594
OG0000305	Syar.g_01933, Syar.g_03163	Prak.g_01215
OG0000306	Syar.g_01884, Syar.g_03140	Prak.g_00909
OG0000307	Syar.g_01452, Syar.g_03153	Prak.g_01338
OG0000308	Syar.g_01450	Prak.g_01339
OG0000309	Syar.g_01239	Prak.g_01343
OG0000310	Syar.g_02826	Prak.g_01377
OG0000311	Syar.g_02823	Prak.g_01379
OG0000312	Syar.g_00015, Syar.g_02818	Prak.g_01382
OG0000313	Syar.g_02804	Prak.g_01395
OG0000314	Syar.g_01403	Prak.g_01418
OG0000315	Syar.g_01393	Prak.g_01428
OG0000316	Syar.g_02885	Prak.g_01453
OG0000317	Syar.g_02926	Prak.g_01642
OG0000318	Syar.g_02930	Prak.g_01646
OG0000319	Syar.g_02954	Prak.g_01659
OG0000320	Syar.g_02956	Prak.g_01661
OG0000321	Syar.g_02957	Prak.g_01662
OG0000322	Syar.g_02958	Prak.g_01663
OG0000323	Syar.g_02973	Prak.g_01672
OG0000324	Syar.g_00350, Syar.g_03001	Prak.g_01699
OG0000325	Syar.g_03291, Syar.g_00148	Prak.g_01710
OG0000326	Syar.g_00139, Syar.g_03134	Prak.g_01717
OG0000327	Syar.g_01029	Prak.g_01738
OG0000328	Syar.g_01030	Prak.g_01739
OG0000329	Syar.g_03189, Syar.g_01048	Prak.g_01756
OG0000330	Syar.g_01049	Prak.g_01757
OG0000331	Syar.g_03191, Syar.g_01050	Prak.g_01758
OG0000332	Syar.g_01064, Syar.g_03299	Prak.g_01772
OG0000333	Syar.g_01067	Prak.g_01774
OG0000334	Syar.g_01076	Prak.g_01783
OG0000335	Syar.g_01080	Prak.g_01788
OG0000336	Syar.g_01084	Prak.g_01792
OG0000337	Syar.g_00285	Prak.g_01810
OG0000338	Syar.g_03225, Syar.g_00287	Prak.g_01811
OG0000339	Syar.g_00658	Prak.g_01817
OG0000340	Syar.g_00247	Prak.g_01826
OG0000341	Syar.g_00249	Prak.g_01828
OG0000342	Syar.g_00250	Prak.g_01829
OG0000343	Syar.g_00256	Prak.g_01830
OG0000344	Syar.g_00260	Prak.g_01833
OG0000345	Syar.g_00612	Prak.g_01839
OG0000346	Syar.g_00607	Prak.g_01843
OG0000347	Syar.g_00558	Prak.g_01860
OG0000348	Syar.g_00544	Prak.g_01868
OG0000349	Syar.g_00521	Prak.g_01886
OG0000350	Syar.g_00132	Prak.g_00656
OG0000351	Syar.g_00442	Prak.g_01926
OG0000352	Syar.g_00443	Prak.g_01927
OG0000353	Syar.g_00469	Prak.g_01944
OG0000355	Syar.g_00471	Prak.g_00001
OG0000356	Syar.g_00472	Prak.g_00002
OG0000357	Syar.g_00473	Prak.g_00003
OG0000358	Syar.g_00477	Prak.g_00007
OG0000359	Syar.g_00479	Prak.g_00008
OG0000360	Syar.g_00480	Prak.g_00009
OG0000361	Syar.g_00481	Prak.g_00010
OG0000362	Syar.g_00483	Prak.g_00012
OG0000363	Syar.g_00484	Prak.g_00014
OG0000364	Syar.g_02928	Prak.g_00015
OG0000365	Syar.g_00493	Prak.g_00020
OG0000366	Syar.g_00494	Prak.g_00021
OG0000367	Syar.g_03262, Syar.g_00495	Prak.g_00022
OG0000368	Syar.g_00497	Prak.g_00024
OG0000369	Syar.g_00498	Prak.g_00025
OG0000370	Syar.g_00499	Prak.g_00026
OG0000371	Syar.g_00508	Prak.g_00033
OG0000372	Syar.g_00514	Prak.g_00036
OG0000373	Syar.g_00515	Prak.g_00037
OG0000374	Syar.g_00516	Prak.g_00038
OG0000375	Syar.g_00517	Prak.g_00040
OG0000376	Syar.g_00519	Prak.g_00042
OG0000377	Syar.g_00322	Prak.g_00046
OG0000378	Syar.g_00905	Prak.g_00050
OG0000379	Syar.g_00910	Prak.g_00053
OG0000380	Syar.g_03039	Prak.g_00070
OG0000381	Syar.g_03041	Prak.g_00075
OG0000382	Syar.g_03057	Prak.g_00085
OG0000383	Syar.g_03074	Prak.g_00087
OG0000384	Syar.g_03075	Prak.g_00088
OG0000385	Syar.g_03076	Prak.g_00089
OG0000386	Syar.g_03077	Prak.g_00090
OG0000387	Syar.g_03109	Prak.g_00104
OG0000388	Syar.g_03148, Syar.g_03113	Prak.g_00108
OG0000389	Syar.g_03118	Prak.g_00111
OG0000390	Syar.g_00033	Prak.g_00121
OG0000391	Syar.g_00038	Prak.g_00124
OG0000392	Syar.g_00045	Prak.g_00128
OG0000393	Syar.g_00048	Prak.g_00131
OG0000394	Syar.g_00049	Prak.g_00132
OG0000395	Syar.g_00050	Prak.g_00133
OG0000396	Syar.g_00053	Prak.g_00135
OG0000397	Syar.g_00055	Prak.g_00137
OG0000398	Syar.g_00060	Prak.g_00140
OG0000399	Syar.g_00061	Prak.g_00141
OG0000400	Syar.g_00062	Prak.g_00142
OG0000401	Syar.g_00063	Prak.g_00143
OG0000402	Syar.g_00065	Prak.g_01035
OG0000403	Syar.g_00066	Prak.g_00145
OG0000404	Syar.g_00067	Prak.g_00146
OG0000405	Syar.g_00076	Prak.g_00150
OG0000406	Syar.g_00080	Prak.g_00158
OG0000407	Syar.g_00081	Prak.g_00159
OG0000408	Syar.g_00083	Prak.g_00161
OG0000409	Syar.g_00085	Prak.g_00163
OG0000410	Syar.g_00086	Prak.g_00164
OG0000411	Syar.g_00087	Prak.g_00165
OG0000412	Syar.g_00088	Prak.g_00166
OG0000413	Syar.g_00090	Prak.g_00168
OG0000414	Syar.g_00091, Syar.g_03179	Prak.g_00169
OG0000415	Syar.g_00092	Prak.g_00170
OG0000416	Syar.g_00093	Prak.g_00171
OG0000417	Syar.g_00095	Prak.g_00172
OG0000418	Syar.g_00100	Prak.g_00177
OG0000419	Syar.g_00102	Prak.g_00179
OG0000420	Syar.g_00104	Prak.g_00180
OG0000421	Syar.g_00109	Prak.g_00185
OG0000422	Syar.g_00110	Prak.g_00186
OG0000423	Syar.g_00111	Prak.g_00187
OG0000424	Syar.g_00112	Prak.g_00188
OG0000425	Syar.g_00113	Prak.g_00189
OG0000426	Syar.g_00114	Prak.g_00190
OG0000427	Syar.g_00115	Prak.g_00191
OG0000428	Syar.g_00118	Prak.g_00193
OG0000429	Syar.g_00121	Prak.g_00194
OG0000430	Syar.g_00123	Prak.g_00195
OG0000431	Syar.g_00127	Prak.g_00197
OG0000432	Syar.g_01009	Prak.g_00201
OG0000433	Syar.g_01007	Prak.g_00202
OG0000434	Syar.g_01006	Prak.g_00203
OG0000435	Syar.g_01003	Prak.g_00204
OG0000436	Syar.g_00994	Prak.g_00209
OG0000437	Syar.g_00993	Prak.g_00210
OG0000438	Syar.g_00992	Prak.g_00211
OG0000439	Syar.g_00990	Prak.g_00213
OG0000440	Syar.g_00989	Prak.g_00214
OG0000441	Syar.g_00986	Prak.g_00217
OG0000442	Syar.g_00977	Prak.g_00218
OG0000443	Syar.g_00964	Prak.g_00219
OG0000444	Syar.g_00954	Prak.g_00225
OG0000445	Syar.g_00953	Prak.g_00226
OG0000446	Syar.g_00951	Prak.g_00227
OG0000447	Syar.g_00948	Prak.g_00228
OG0000448	Syar.g_00947	Prak.g_00229
OG0000449	Syar.g_00946	Prak.g_00230
OG0000450	Syar.g_00939	Prak.g_00231
OG0000451	Syar.g_00938	Prak.g_00232
OG0000452	Syar.g_00934	Prak.g_00235
OG0000453	Syar.g_00933	Prak.g_00236
OG0000454	Syar.g_00932	Prak.g_00237
OG0000455	Syar.g_00931	Prak.g_00238
OG0000456	Syar.g_00930	Prak.g_00239
OG0000457	Syar.g_00928	Prak.g_00241
OG0000458	Syar.g_00918	Prak.g_00242
OG0000459	Syar.g_00917	Prak.g_00243
OG0000460	Syar.g_03024	Prak.g_00251
OG0000461	Syar.g_00153	Prak.g_00259
OG0000462	Syar.g_00155	Prak.g_00261
OG0000463	Syar.g_00156	Prak.g_00262
OG0000464	Syar.g_00157	Prak.g_00263
OG0000465	Syar.g_00159	Prak.g_00264
OG0000466	Syar.g_00164	Prak.g_00267
OG0000467	Syar.g_00165	Prak.g_00268
OG0000468	Syar.g_00170	Prak.g_00271
OG0000469	Syar.g_00203	Prak.g_00279
OG0000470	Syar.g_00206	Prak.g_00281
OG0000471	Syar.g_00207	Prak.g_00282
OG0000472	Syar.g_00208	Prak.g_00284
OG0000473	Syar.g_00210	Prak.g_00286
OG0000474	Syar.g_00211	Prak.g_00287
OG0000475	Syar.g_00212	Prak.g_00288
OG0000476	Syar.g_00214	Prak.g_00290
OG0000477	Syar.g_00219	Prak.g_00293
OG0000478	Syar.g_00220	Prak.g_00294
OG0000479	Syar.g_00221	Prak.g_00295
OG0000480	Syar.g_00228	Prak.g_00300
OG0000481	Syar.g_00230	Prak.g_00303
OG0000482	Syar.g_00231	Prak.g_00304
OG0000483	Syar.g_00235	Prak.g_00307
OG0000484	Syar.g_00236	Prak.g_00308
OG0000485	Syar.g_00237	Prak.g_00310
OG0000486	Syar.g_00238, Syar.g_00024	Prak.g_00311
OG0000487	Syar.g_00245	Prak.g_00314
OG0000488	Syar.g_00853	Prak.g_00317
OG0000489	Syar.g_00833	Prak.g_00322
OG0000490	Syar.g_00823	Prak.g_00326
OG0000491	Syar.g_00822	Prak.g_00327
OG0000492	Syar.g_00727	Prak.g_00329
OG0000493	Syar.g_00726	Prak.g_00330
OG0000494	Syar.g_00725	Prak.g_00331
OG0000495	Syar.g_00724	Prak.g_00332
OG0000496	Syar.g_00723	Prak.g_00333
OG0000497	Syar.g_00722	Prak.g_00334
OG0000498	Syar.g_00721	Prak.g_00335
OG0000499	Syar.g_00720	Prak.g_00336
OG0000500	Syar.g_00719	Prak.g_00337
OG0000501	Syar.g_00716	Prak.g_00338
OG0000502	Syar.g_00275	Prak.g_00341
OG0000503	Syar.g_01118	Prak.g_00356
OG0000504	Syar.g_01120	Prak.g_00358
OG0000505	Syar.g_01121	Prak.g_00359
OG0000506	Syar.g_01123	Prak.g_00360
OG0000507	Syar.g_01129	Prak.g_00363
OG0000508	Syar.g_01141	Prak.g_00367
OG0000509	Syar.g_01143	Prak.g_00369
OG0000510	Syar.g_01144	Prak.g_00370
OG0000511	Syar.g_01145	Prak.g_00371
OG0000512	Syar.g_01147	Prak.g_00373
OG0000513	Syar.g_01166	Prak.g_00382
OG0000514	Syar.g_01169	Prak.g_00393
OG0000515	Syar.g_01170	Prak.g_00394
OG0000516	Syar.g_01172	Prak.g_00395
OG0000517	Syar.g_01176	Prak.g_00397
OG0000518	Syar.g_02868	Prak.g_00408
OG0000519	Syar.g_02867	Prak.g_00409
OG0000520	Syar.g_02866	Prak.g_00410
OG0000521	Syar.g_01419	Prak.g_00418
OG0000522	Syar.g_01421	Prak.g_00420
OG0000523	Syar.g_01422	Prak.g_00421
OG0000524	Syar.g_01244	Prak.g_00426
OG0000525	Syar.g_01263	Prak.g_00430
OG0000526	Syar.g_01266	Prak.g_00431
OG0000527	Syar.g_01271	Prak.g_00434
OG0000528	Syar.g_01466	Prak.g_00439
OG0000529	Syar.g_01470	Prak.g_00442
OG0000530	Syar.g_01473	Prak.g_00445
OG0000531	Syar.g_01474	Prak.g_00446
OG0000532	Syar.g_01477	Prak.g_00448
OG0000533	Syar.g_01479	Prak.g_00449
OG0000534	Syar.g_01480	Prak.g_00450
OG0000535	Syar.g_01481	Prak.g_00451
OG0000536	Syar.g_01482	Prak.g_00452
OG0000537	Syar.g_01483	Prak.g_00453
OG0000538	Syar.g_01496	Prak.g_00462
OG0000539	Syar.g_01497	Prak.g_00463
OG0000540	Syar.g_01498	Prak.g_00464
OG0000541	Syar.g_01499	Prak.g_00465
OG0000542	Syar.g_01502	Prak.g_00466
OG0000543	Syar.g_01504	Prak.g_00468
OG0000544	Syar.g_01505	Prak.g_00469
OG0000545	Syar.g_01507	Prak.g_00471
OG0000546	Syar.g_01509	Prak.g_00474
OG0000547	Syar.g_01511	Prak.g_00476
OG0000548	Syar.g_01512	Prak.g_00477
OG0000549	Syar.g_02693	Prak.g_00479
OG0000550	Syar.g_02689	Prak.g_00483
OG0000551	Syar.g_02684	Prak.g_00486
OG0000552	Syar.g_02683	Prak.g_00487
OG0000553	Syar.g_02679	Prak.g_00488
OG0000554	Syar.g_02352	Prak.g_00493
OG0000555	Syar.g_02336	Prak.g_00501
OG0000556	Syar.g_02332	Prak.g_00503
OG0000557	Syar.g_02328	Prak.g_00504
OG0000558	Syar.g_02326	Prak.g_00507
OG0000559	Syar.g_02322	Prak.g_00511
OG0000560	Syar.g_02320	Prak.g_00514
OG0000561	Syar.g_02319	Prak.g_00515
OG0000562	Syar.g_02318	Prak.g_00516
OG0000563	Syar.g_02317	Prak.g_00517
OG0000564	Syar.g_02316	Prak.g_00518
OG0000565	Syar.g_02312	Prak.g_00520
OG0000566	Syar.g_02308	Prak.g_00524
OG0000567	Syar.g_02304	Prak.g_00528
OG0000568	Syar.g_02302	Prak.g_00529
OG0000569	Syar.g_02301	Prak.g_00530
OG0000570	Syar.g_02300	Prak.g_00531
OG0000571	Syar.g_02298	Prak.g_00533
OG0000572	Syar.g_02201	Prak.g_00547
