Orthogroup	Syar	Praf
OG0000126	Syar.g_00887, Syar.g_00888	Praf.g_02777
OG0000128	Syar.g_00482	Praf.g_00012
OG0000129	Syar.g_00324	Praf.g_02652
OG0000130	Syar.g_03040	Praf.g_00321
OG0000131	Syar.g_00078, Syar.g_02216	Praf.g_02432
OG0000132	Syar.g_00099	Praf.g_02452
OG0000133	Syar.g_02543	Praf.g_02336
OG0000134	Syar.g_02009, Syar.g_01165	Praf.g_02012
OG0000135	Syar.g_00698	Praf.g_02705, Praf.g_02715
OG0000136	Syar.g_02874	Praf.g_01984
OG0000137	Syar.g_01273	Praf.g_01907
OG0000138	Syar.g_01486	Praf.g_00612
OG0000139	Syar.g_03245	Praf.g_00666
OG0000140	Syar.g_02344, Syar.g_03246	Praf.g_00670
OG0000141	Syar.g_02129	Praf.g_00764
OG0000142	Syar.g_02418	Praf.g_01692
OG0000143	Syar.g_02422	Praf.g_01696
OG0000144	Syar.g_02441	Praf.g_01721
OG0000145	Syar.g_01494	Praf.g_00617
OG0000146	Syar.g_02549	Praf.g_01401
OG0000147	Syar.g_02550	Praf.g_01402
OG0000148	Syar.g_02658	Praf.g_01548
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Praf.g_01604
OG0000150	Syar.g_02130	Praf.g_01625
OG0000151	Syar.g_02038	Praf.g_01478
OG0000152	Syar.g_02539	Praf.g_01392
OG0000153	Syar.g_03283, Syar.g_02503	Praf.g_01362
OG0000154	Syar.g_01800	Praf.g_01337
OG0000155	Syar.g_01959	Praf.g_00886
OG0000156	Syar.g_01517	Praf.g_00810
OG0000157	Syar.g_01516	Praf.g_00809
OG0000158	Syar.g_00650	Praf.g_02394
OG0000160	Syar.g_02807	Praf.g_01795
OG0000161	Syar.g_02801	Praf.g_01805
OG0000162	Syar.g_02863	Praf.g_01817
OG0000163	Syar.g_01186	Praf.g_00538
OG0000164	Syar.g_03168, Syar.g_02969	Praf.g_00453
OG0000165	Syar.g_02976	Praf.g_00444
OG0000166	Syar.g_01034	Praf.g_02157
OG0000167	Syar.g_00662	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000168	Syar.g_00246	Praf.g_02395
OG0000169	Syar.g_00262	Praf.g_00191
OG0000170	Syar.g_00613	Praf.g_00183
OG0000171	Syar.g_00587	Praf.g_00154
OG0000172	Syar.g_00547	Praf.g_00087
OG0000173	Syar.g_00528	Praf.g_00062
OG0000174	Syar.g_00701	Praf.g_02717
OG0000175	Syar.g_00438	Praf.g_02754
OG0000176	Syar.g_00474	Praf.g_00004
OG0000177	Syar.g_00475	Praf.g_00005
OG0000178	Syar.g_00476	Praf.g_00006
OG0000179	Syar.g_00489	Praf.g_00021
OG0000180	Syar.g_00490	Praf.g_00022
OG0000181	Syar.g_00491	Praf.g_00023
OG0000182	Syar.g_00492	Praf.g_00024
OG0000183	Syar.g_00496	Praf.g_00028
OG0000184	Syar.g_00897	Praf.g_02611
OG0000185	Syar.g_00909	Praf.g_00333, Praf.g_02602
OG0000186	Syar.g_03036	Praf.g_00328
OG0000187	Syar.g_03038	Praf.g_00326
OG0000188	Syar.g_03058	Praf.g_00303
OG0000189	Syar.g_03104	Praf.g_00257
OG0000190	Syar.g_03107, Syar.g_02374	Praf.g_00255
OG0000191	Syar.g_00039	Praf.g_00218
OG0000192	Syar.g_00046	Praf.g_00212
OG0000193	Syar.g_00079	Praf.g_02433
OG0000194	Syar.g_00082, Syar.g_03236	Praf.g_02436
OG0000195	Syar.g_00023	Praf.g_02438
OG0000196	Syar.g_00096	Praf.g_02449
OG0000197	Syar.g_00097	Praf.g_02450
OG0000198	Syar.g_00098	Praf.g_02451
OG0000199	Syar.g_00106	Praf.g_02468
OG0000200	Syar.g_00124	Praf.g_02711, Praf.g_02492
OG0000201	Syar.g_01000	Praf.g_02511
OG0000202	Syar.g_00021, Syar.g_00998	Praf.g_02512
OG0000203	Syar.g_00997, Syar.g_00020	Praf.g_02513
OG0000204	Syar.g_00996	Praf.g_02514
OG0000205	Syar.g_00988	Praf.g_02708, Praf.g_02521
OG0000206	Syar.g_00963	Praf.g_02532
OG0000207	Syar.g_00957	Praf.g_02582
OG0000208	Syar.g_00956	Praf.g_02581
OG0000209	Syar.g_00936, Syar.g_03261	Praf.g_02557
OG0000210	Syar.g_03260, Syar.g_00935	Praf.g_02556
OG0000211	Syar.g_03026	Praf.g_00378
OG0000212	Syar.g_03017	Praf.g_00392
OG0000213	Syar.g_00187	Praf.g_02245
OG0000214	Syar.g_00209	Praf.g_02263
OG0000215	Syar.g_00239	Praf.g_02293
OG0000216	Syar.g_00244	Praf.g_02296
OG0000217	Syar.g_00854	Praf.g_02300
OG0000218	Syar.g_00852	Praf.g_02302
OG0000219	Syar.g_00851	Praf.g_02303
OG0000220	Syar.g_00850, Syar.g_02026	Praf.g_02304
OG0000221	Syar.g_00834	Praf.g_02314
OG0000222	Syar.g_02119, Syar.g_00728	Praf.g_02323
OG0000223	Syar.g_00649	Praf.g_02347
OG0000224	Syar.g_00273, Syar.g_00762	Praf.g_02358
OG0000225	Syar.g_01142	Praf.g_02030
OG0000226	Syar.g_01146	Praf.g_02026
OG0000227	Syar.g_01148	Praf.g_02024
OG0000228	Syar.g_01161	Praf.g_02016
OG0000229	Syar.g_01177, Syar.g_03273	Praf.g_01989
OG0000230	Syar.g_01179	Praf.g_01987
OG0000231	Syar.g_02865, Syar.g_03151	Praf.g_01963
OG0000232	Syar.g_01424	Praf.g_01952
OG0000233	Syar.g_03183, Syar.g_01247	Praf.g_01938
OG0000234	Syar.g_01275	Praf.g_01905
OG0000235	Syar.g_01468	Praf.g_00594
OG0000236	Syar.g_01484, Syar.g_03311	Praf.g_00610
OG0000237	Syar.g_01503	Praf.g_00627
OG0000238	Syar.g_01508	Praf.g_00631
OG0000239	Syar.g_03277, Syar.g_02687	Praf.g_00647
OG0000240	Syar.g_02686, Syar.g_03278	Praf.g_00648
OG0000241	Syar.g_02410	Praf.g_01177
OG0000242	Syar.g_01926	Praf.g_00658
OG0000243	Syar.g_02335	Praf.g_00681
OG0000244	Syar.g_02327	Praf.g_00685
OG0000245	Syar.g_02325, Syar.g_03238	Praf.g_00688
OG0000246	Syar.g_02321	Praf.g_00692
OG0000247	Syar.g_02310	Praf.g_00703
OG0000248	Syar.g_02307, Syar.g_03293	Praf.g_00706
OG0000249	Syar.g_02305	Praf.g_00708
OG0000250	Syar.g_02299	Praf.g_00714
OG0000251	Syar.g_03207, Syar.g_02194	Praf.g_00739
OG0000252	Syar.g_02189, Syar.g_03263	Praf.g_00742
OG0000253	Syar.g_03229, Syar.g_02028	Praf.g_00749
OG0000254	Syar.g_02169	Praf.g_00768
OG0000255	Syar.g_02224	Praf.g_01662
OG0000256	Syar.g_02244	Praf.g_01676
OG0000257	Syar.g_02407, Syar.g_01762	Praf.g_01685
OG0000258	Syar.g_00010, Syar.g_02427	Praf.g_01708
OG0000259	Syar.g_02472	Praf.g_01736
OG0000260	Syar.g_03220, Syar.g_02475	Praf.g_01739
OG0000261	Syar.g_01916	Praf.g_01742
OG0000262	Syar.g_01690	Praf.g_01748
OG0000263	Syar.g_01991	Praf.g_02570
OG0000264	Syar.g_02135, Syar.g_03267	Praf.g_01218, Praf.g_01219
OG0000266	Syar.g_01570	Praf.g_01313
OG0000267	Syar.g_01873	Praf.g_01436
OG0000268	Syar.g_02589	Praf.g_01435
OG0000269	Syar.g_02634	Praf.g_01525
OG0000270	Syar.g_00744, Syar.g_02637	Praf.g_01528
OG0000271	Syar.g_02645	Praf.g_01536
OG0000272	Syar.g_02646	Praf.g_01537
OG0000273	Syar.g_00008	Praf.g_01585
OG0000274	Syar.g_02482	Praf.g_01586
OG0000275	Syar.g_01810	Praf.g_01590
OG0000276	Syar.g_01817	Praf.g_01596
OG0000277	Syar.g_03242, Syar.g_01818	Praf.g_01597
OG0000278	Syar.g_01821, Syar.g_03174	Praf.g_01600
OG0000279	Syar.g_01838	Praf.g_01608
OG0000280	Syar.g_02067, Syar.g_00734	Praf.g_01614
OG0000281	Syar.g_02218	Praf.g_01627
OG0000282	Syar.g_03255, Syar.g_01614	Praf.g_01463
OG0000283	Syar.g_02574	Praf.g_01426
OG0000284	Syar.g_02568	Praf.g_01420
OG0000285	Syar.g_02560	Praf.g_01006
OG0000286	Syar.g_02540	Praf.g_01393
OG0000287	Syar.g_02512	Praf.g_01073
OG0000288	Syar.g_01801	Praf.g_01338
OG0000289	Syar.g_01786	Praf.g_01325
OG0000290	Syar.g_01928	Praf.g_01277
OG0000291	Syar.g_01930	Praf.g_01275
OG0000292	Syar.g_00463	Praf.g_02776
OG0000293	Syar.g_01526, Syar.g_03297	Praf.g_00826
OG0000294	Syar.g_01527, Syar.g_03296	Praf.g_00827
OG0000295	Syar.g_01951, Syar.g_03208	Praf.g_00879
OG0000296	Syar.g_01953	Praf.g_00881
OG0000297	Syar.g_03216	Praf.g_00917
OG0000298	Syar.g_01968, Syar.g_03215	Praf.g_00918
OG0000299	Syar.g_01704	Praf.g_00908
OG0000300	Syar.g_01646	Praf.g_00902
OG0000301	Syar.g_01712	Praf.g_00901
OG0000302	Syar.g_01713	Praf.g_00898
OG0000303	Syar.g_03136, Syar.g_01723	Praf.g_00888
OG0000304	Syar.g_01728	Praf.g_00938
OG0000305	Syar.g_01933, Syar.g_03163	Praf.g_01271
OG0000306	Syar.g_01884	Praf.g_01635
OG0000307	Syar.g_01452, Syar.g_03153	Praf.g_00575
OG0000308	Syar.g_01450	Praf.g_00573
OG0000309	Syar.g_01239	Praf.g_00569
OG0000310	Syar.g_02826	Praf.g_01772
OG0000311	Syar.g_02823	Praf.g_01778, Praf.g_01776
OG0000312	Syar.g_00015, Syar.g_02818	Praf.g_01782
OG0000313	Syar.g_02804	Praf.g_01802
OG0000314	Syar.g_01403	Praf.g_01837
OG0000315	Syar.g_01393	Praf.g_01848
OG0000316	Syar.g_02885	Praf.g_00526
OG0000317	Syar.g_02926	Praf.g_00485
OG0000318	Syar.g_02930	Praf.g_00479
OG0000319	Syar.g_02954	Praf.g_00464
OG0000320	Syar.g_02956	Praf.g_00462
OG0000321	Syar.g_02957	Praf.g_00461
OG0000322	Syar.g_02958	Praf.g_00460
OG0000323	Syar.g_02973	Praf.g_00449
OG0000324	Syar.g_00350, Syar.g_03001	Praf.g_00419
OG0000325	Syar.g_03291, Syar.g_00148	Praf.g_02200
OG0000326	Syar.g_00139, Syar.g_03134	Praf.g_02193
OG0000327	Syar.g_01029	Praf.g_02162
OG0000328	Syar.g_01030	Praf.g_02161
OG0000329	Syar.g_03189, Syar.g_01048	Praf.g_02144
OG0000330	Syar.g_01049	Praf.g_02143
OG0000331	Syar.g_03191	Praf.g_02142
OG0000332	Syar.g_01064, Syar.g_03299	Praf.g_02127
OG0000333	Syar.g_01067	Praf.g_02125
OG0000334	Syar.g_01076	Praf.g_02112
OG0000335	Syar.g_01080	Praf.g_02107
OG0000336	Syar.g_01084	Praf.g_02103
OG0000337	Syar.g_00285	Praf.g_02372
OG0000338	Syar.g_03225, Syar.g_00287	Praf.g_02375
OG0000339	Syar.g_00658	Praf.g_02386
OG0000340	Syar.g_00247	Praf.g_02396
OG0000341	Syar.g_00249	Praf.g_02398
OG0000342	Syar.g_00250	Praf.g_02399
OG0000343	Syar.g_00256	Praf.g_00196
OG0000344	Syar.g_00260	Praf.g_00193
OG0000345	Syar.g_00612	Praf.g_00182
OG0000346	Syar.g_00607	Praf.g_00177
OG0000347	Syar.g_00558	Praf.g_00152
OG0000348	Syar.g_00544	Praf.g_00081
OG0000349	Syar.g_00521	Praf.g_00054
OG0000350	Syar.g_00132	Praf.g_02699
OG0000351	Syar.g_00442	Praf.g_02757
OG0000352	Syar.g_00443	Praf.g_02758
OG0000353	Syar.g_00469	Praf.g_02782
OG0000354	Syar.g_01514	Praf.g_00637
OG0000354	Syar.g_00487	Praf.g_00019
OG0000355	Syar.g_00471	Praf.g_00001
OG0000356	Syar.g_00472	Praf.g_00002
OG0000357	Syar.g_00473	Praf.g_00003
OG0000358	Syar.g_00477	Praf.g_00007
OG0000359	Syar.g_00479	Praf.g_00009
OG0000360	Syar.g_00480	Praf.g_00010
OG0000361	Syar.g_00481	Praf.g_00011
OG0000362	Syar.g_00483	Praf.g_00013
OG0000363	Syar.g_00484	Praf.g_00015
OG0000364	Syar.g_02928	Praf.g_00016
OG0000365	Syar.g_00493	Praf.g_00025
OG0000366	Syar.g_00494	Praf.g_00026
OG0000367	Syar.g_03262, Syar.g_00495	Praf.g_00027
OG0000368	Syar.g_00497	Praf.g_00029
OG0000369	Syar.g_00498	Praf.g_00030
OG0000370	Syar.g_00499	Praf.g_00031
OG0000371	Syar.g_00508	Praf.g_00040
OG0000372	Syar.g_00514	Praf.g_00045
OG0000373	Syar.g_00515	Praf.g_00046
OG0000374	Syar.g_00516	Praf.g_00047
OG0000375	Syar.g_00517	Praf.g_00050
OG0000376	Syar.g_00519	Praf.g_00052
OG0000377	Syar.g_00322	Praf.g_02618
OG0000378	Syar.g_00905	Praf.g_02605
OG0000379	Syar.g_00910	Praf.g_02601
OG0000380	Syar.g_03039	Praf.g_00325
OG0000381	Syar.g_03041	Praf.g_00320
OG0000382	Syar.g_03057	Praf.g_00304
OG0000383	Syar.g_03074	Praf.g_00302
OG0000384	Syar.g_03075	Praf.g_00301
OG0000385	Syar.g_03076	Praf.g_00300
OG0000386	Syar.g_03077	Praf.g_00299
OG0000387	Syar.g_03109	Praf.g_00253
OG0000388	Syar.g_03148, Syar.g_03113	Praf.g_00249
OG0000389	Syar.g_03118	Praf.g_00245
OG0000390	Syar.g_00033	Praf.g_00224
OG0000391	Syar.g_00038	Praf.g_00219
OG0000392	Syar.g_00045	Praf.g_00214
OG0000393	Syar.g_00048	Praf.g_00209
OG0000394	Syar.g_00049	Praf.g_00208
OG0000395	Syar.g_00050	Praf.g_00207
OG0000396	Syar.g_00053	Praf.g_02403
OG0000397	Syar.g_00055	Praf.g_02405
OG0000398	Syar.g_00060	Praf.g_02410
OG0000399	Syar.g_00061	Praf.g_02411
OG0000400	Syar.g_00062	Praf.g_02412
OG0000401	Syar.g_00063	Praf.g_02413
OG0000402	Syar.g_00065	Praf.g_02415
OG0000403	Syar.g_00066	Praf.g_02416
OG0000404	Syar.g_00067	Praf.g_02418
OG0000405	Syar.g_00076	Praf.g_02430
OG0000406	Syar.g_00080	Praf.g_02434
OG0000407	Syar.g_00081	Praf.g_02435
OG0000408	Syar.g_00083	Praf.g_02437
OG0000409	Syar.g_00085	Praf.g_02439
OG0000410	Syar.g_00086	Praf.g_02440
OG0000411	Syar.g_00087	Praf.g_02441
OG0000412	Syar.g_00088	Praf.g_02442
OG0000413	Syar.g_00090	Praf.g_02444
OG0000414	Syar.g_00091, Syar.g_03179	Praf.g_02445
OG0000415	Syar.g_00092	Praf.g_02446
OG0000416	Syar.g_00093	Praf.g_02447
OG0000417	Syar.g_00095	Praf.g_02448
OG0000418	Syar.g_00100	Praf.g_02453
OG0000419	Syar.g_00102	Praf.g_02455
OG0000420	Syar.g_00104	Praf.g_02456
OG0000421	Syar.g_00109	Praf.g_02470
OG0000422	Syar.g_00110	Praf.g_02471
OG0000423	Syar.g_00111	Praf.g_02472
OG0000424	Syar.g_00112	Praf.g_02473
OG0000425	Syar.g_00113	Praf.g_02474
OG0000426	Syar.g_00114	Praf.g_02475
OG0000427	Syar.g_00115	Praf.g_02476
OG0000428	Syar.g_00118	Praf.g_01486
OG0000429	Syar.g_00121	Praf.g_02489
OG0000430	Syar.g_00123	Praf.g_02491
OG0000431	Syar.g_00127	Praf.g_02495
OG0000432	Syar.g_01009	Praf.g_02502
OG0000433	Syar.g_01007	Praf.g_02505
OG0000434	Syar.g_01006	Praf.g_02506
OG0000435	Syar.g_01003	Praf.g_02509
OG0000436	Syar.g_00994	Praf.g_02515
OG0000437	Syar.g_00993	Praf.g_02516
OG0000438	Syar.g_00992	Praf.g_02517
OG0000439	Syar.g_00990	Praf.g_02519
OG0000440	Syar.g_00989	Praf.g_02520
OG0000441	Syar.g_00986	Praf.g_02524
OG0000442	Syar.g_00977	Praf.g_02525
OG0000443	Syar.g_00964	Praf.g_02531
OG0000444	Syar.g_00954	Praf.g_02575
OG0000445	Syar.g_00953	Praf.g_02574
OG0000446	Syar.g_00951	Praf.g_02572
OG0000447	Syar.g_00948	Praf.g_02568
OG0000448	Syar.g_00947	Praf.g_02567
OG0000449	Syar.g_00946	Praf.g_02566
OG0000450	Syar.g_00939	Praf.g_02560
OG0000451	Syar.g_00938	Praf.g_02559
OG0000452	Syar.g_00934	Praf.g_02555
OG0000453	Syar.g_00933	Praf.g_02554
OG0000454	Syar.g_00932	Praf.g_02553
OG0000455	Syar.g_00931	Praf.g_02552
OG0000456	Syar.g_00930	Praf.g_02551
OG0000457	Syar.g_00928	Praf.g_02549
OG0000458	Syar.g_00918	Praf.g_02548
OG0000459	Syar.g_00917	Praf.g_02547
OG0000460	Syar.g_03024	Praf.g_00379
OG0000461	Syar.g_00153	Praf.g_02203
OG0000462	Syar.g_00155	Praf.g_02207
OG0000463	Syar.g_00156	Praf.g_02208
OG0000464	Syar.g_00157	Praf.g_02209
OG0000465	Syar.g_00159	Praf.g_02210
OG0000466	Syar.g_00164	Praf.g_02215
OG0000467	Syar.g_00165	Praf.g_02217
OG0000468	Syar.g_00170	Praf.g_02242
OG0000469	Syar.g_00203	Praf.g_02255
OG0000470	Syar.g_00206	Praf.g_02259
OG0000471	Syar.g_00207	Praf.g_02260
OG0000472	Syar.g_00208	Praf.g_02262
OG0000473	Syar.g_00210	Praf.g_02264
OG0000474	Syar.g_00211	Praf.g_02265
OG0000475	Syar.g_00212	Praf.g_02266
OG0000476	Syar.g_00214	Praf.g_02268
OG0000477	Syar.g_00219	Praf.g_02273
OG0000478	Syar.g_00220	Praf.g_02274
OG0000479	Syar.g_00221	Praf.g_02275
OG0000480	Syar.g_00228	Praf.g_02282
OG0000481	Syar.g_00230	Praf.g_02284
OG0000482	Syar.g_00231	Praf.g_02285
OG0000483	Syar.g_00235	Praf.g_02289
OG0000484	Syar.g_00236	Praf.g_02290
OG0000485	Syar.g_00237	Praf.g_02291
OG0000486	Syar.g_00238, Syar.g_00024	Praf.g_02292
OG0000487	Syar.g_00245	Praf.g_02297
OG0000488	Syar.g_00853	Praf.g_02301
OG0000489	Syar.g_00833	Praf.g_02315
OG0000490	Syar.g_00823	Praf.g_02321
OG0000491	Syar.g_00822	Praf.g_02322
OG0000492	Syar.g_00727	Praf.g_02324
OG0000493	Syar.g_00726	Praf.g_02325
OG0000494	Syar.g_00725	Praf.g_02326
OG0000495	Syar.g_00724	Praf.g_02327
OG0000496	Syar.g_00723	Praf.g_02328
OG0000497	Syar.g_00722	Praf.g_02329
OG0000498	Syar.g_00721	Praf.g_02330
OG0000499	Syar.g_00720	Praf.g_02331
OG0000500	Syar.g_00719	Praf.g_02332
OG0000501	Syar.g_00716	Praf.g_02335
OG0000502	Syar.g_00275	Praf.g_02349
OG0000503	Syar.g_01118	Praf.g_02054
OG0000504	Syar.g_01120	Praf.g_02052
OG0000505	Syar.g_01121	Praf.g_02051
OG0000506	Syar.g_01123	Praf.g_02049
OG0000507	Syar.g_01129	Praf.g_02045
OG0000508	Syar.g_01141	Praf.g_02031
OG0000509	Syar.g_01143	Praf.g_02029
OG0000510	Syar.g_01144	Praf.g_02028
OG0000511	Syar.g_01145	Praf.g_02027
OG0000512	Syar.g_01147	Praf.g_02025
OG0000513	Syar.g_01166	Praf.g_02011
OG0000514	Syar.g_01169	Praf.g_02002
OG0000515	Syar.g_01170	Praf.g_02001
OG0000516	Syar.g_01172	Praf.g_01999
OG0000517	Syar.g_01176	Praf.g_01990
OG0000518	Syar.g_02868	Praf.g_01978
OG0000519	Syar.g_02867	Praf.g_01977
OG0000520	Syar.g_02866	Praf.g_01972
OG0000521	Syar.g_01419	Praf.g_01959
OG0000522	Syar.g_01421	Praf.g_01957
OG0000523	Syar.g_01422	Praf.g_01956
OG0000524	Syar.g_01244	Praf.g_01942
OG0000525	Syar.g_01263	Praf.g_01915
OG0000526	Syar.g_01266	Praf.g_01913
OG0000527	Syar.g_01271	Praf.g_01909
OG0000528	Syar.g_01466	Praf.g_00589
OG0000529	Syar.g_01470	Praf.g_00596
OG0000530	Syar.g_01473	Praf.g_00599
OG0000531	Syar.g_01474	Praf.g_00600
OG0000532	Syar.g_01477	Praf.g_00603
OG0000533	Syar.g_01479	Praf.g_00605
OG0000534	Syar.g_01480	Praf.g_00606
OG0000535	Syar.g_01481	Praf.g_00607
OG0000536	Syar.g_01482	Praf.g_00608
OG0000537	Syar.g_01483	Praf.g_00609
OG0000538	Syar.g_01496	Praf.g_00619
OG0000539	Syar.g_01497	Praf.g_00621
OG0000540	Syar.g_01498	Praf.g_00622
OG0000541	Syar.g_01499	Praf.g_00623
OG0000542	Syar.g_01502	Praf.g_00626
OG0000543	Syar.g_01504	Praf.g_00628
OG0000544	Syar.g_01505	Praf.g_00629
OG0000545	Syar.g_01507	Praf.g_00630
OG0000546	Syar.g_01509	Praf.g_00632
OG0000547	Syar.g_01511	Praf.g_00634
OG0000548	Syar.g_01512	Praf.g_00635
OG0000549	Syar.g_02693	Praf.g_00641
OG0000550	Syar.g_02689	Praf.g_00646
OG0000551	Syar.g_02684	Praf.g_00650
OG0000552	Syar.g_02683	Praf.g_00651
OG0000553	Syar.g_02679	Praf.g_00656
OG0000554	Syar.g_02352	Praf.g_00661
OG0000555	Syar.g_02336	Praf.g_00677
OG0000556	Syar.g_02332	Praf.g_00683
OG0000557	Syar.g_02328	Praf.g_00684
OG0000558	Syar.g_02326	Praf.g_00687
OG0000559	Syar.g_02322	Praf.g_00691
