Orthogroup	Prbh	Prbi
OG0000067	Prbh.g_00936	Prbi.g_00702
OG0000068	Prbh.g_00775	Prbi.g_00780
OG0000070	Prbh.g_01031	Prbi.g_01086
OG0000071	Prbh.g_01255	Prbi.g_01330
OG0000072	Prbh.g_01373	Prbi.g_01391
OG0000074	Prbh.g_00031	Prbi.g_01460
OG0000075	Prbh.g_01644	Prbi.g_01938
OG0000077	Prbh.g_01953	Prbi.g_00011
OG0000078	Prbh.g_00457	Prbi.g_00346
OG0000079	Prbh.g_01825	Prbi.g_00407
OG0000080	Prbh.g_01182	Prbi.g_00672
OG0000081	Prbh.g_00926	Prbi.g_00694
OG0000082	Prbh.g_00960	Prbi.g_00854
OG0000083	Prbh.g_01304	Prbi.g_00918
OG0000084	Prbh.g_01086	Prbi.g_01009
OG0000085	Prbh.g_01328	Prbi.g_01136
OG0000086	Prbh.g_01868	Prbi.g_01174
OG0000090	Prbh.g_00032	Prbi.g_01462
OG0000091	Prbh.g_00107	Prbi.g_01599
OG0000092	Prbh.g_01860	Prbi.g_01725
OG0000093	Prbh.g_01695	Prbi.g_01873
OG0000094	Prbh.g_01648	Prbi.g_01935
OG0000095	Prbh.g_01609	Prbi.g_01968
OG0000096	Prbh.g_01536	Prbi.g_02051
OG0000098	Prbh.g_01473	Prbi.g_00003
OG0000099	Prbh.g_00757	Prbi.g_00023
OG0000101	Prbh.g_00731	Prbi.g_00060
OG0000102	Prbh.g_00668	Prbi.g_00120
OG0000103	Prbh.g_00659	Prbi.g_00129
OG0000104	Prbh.g_00642	Prbi.g_00147
OG0000105	Prbh.g_00612	Prbi.g_00194
OG0000106	Prbh.g_00599	Prbi.g_00208
OG0000107	Prbh.g_00590	Prbi.g_00216, Prbi.g_01521
OG0000108	Prbh.g_00580	Prbi.g_00226
OG0000109	Prbh.g_00540	Prbi.g_00263
OG0000110	Prbh.g_00528	Prbi.g_00275
OG0000111	Prbh.g_00505	Prbi.g_00298
OG0000113	Prbh.g_00481	Prbi.g_00321
OG0000114	Prbh.g_00454	Prbi.g_00349
OG0000115	Prbh.g_00357	Prbi.g_00477
OG0000116	Prbh.g_00355	Prbi.g_00479
OG0000117	Prbh.g_00351	Prbi.g_00483
OG0000118	Prbh.g_00330	Prbi.g_00502
OG0000119	Prbh.g_00297	Prbi.g_00535
OG0000120	Prbh.g_00296	Prbi.g_00536
OG0000121	Prbh.g_00287	Prbi.g_00546
OG0000122	Prbh.g_00278	Prbi.g_00555
OG0000123	Prbh.g_00245	Prbi.g_00586
OG0000124	Prbh.g_01202	Prbi.g_00654
OG0000125	Prbh.g_01201	Prbi.g_00655
OG0000126	Prbh.g_01200	Prbi.g_00656
OG0000127	Prbh.g_00921	Prbi.g_00689
OG0000128	Prbh.g_00947	Prbi.g_00747
OG0000129	Prbh.g_01149	Prbi.g_00767
OG0000130	Prbh.g_01048	Prbi.g_00832
OG0000131	Prbh.g_00951	Prbi.g_00845
OG0000132	Prbh.g_00987	Prbi.g_00881
OG0000133	Prbh.g_00895	Prbi.g_00968
OG0000134	Prbh.g_01181	Prbi.g_00977
OG0000135	Prbh.g_01090	Prbi.g_01013
OG0000136	Prbh.g_01034	Prbi.g_01083
OG0000137	Prbh.g_01865	Prbi.g_01177
OG0000139	Prbh.g_01276	Prbi.g_01213
OG0000140	Prbh.g_01450	Prbi.g_01264
OG0000141	Prbh.g_01397	Prbi.g_01277
OG0000142	Prbh.g_01385	Prbi.g_01403
OG0000143	Prbh.g_00009	Prbi.g_01439
OG0000144	Prbh.g_00084	Prbi.g_01576
OG0000145	Prbh.g_00100	Prbi.g_01592
OG0000146	Prbh.g_00136	Prbi.g_01627
OG0000147	Prbh.g_00183	Prbi.g_01667
OG0000148	Prbh.g_00184	Prbi.g_01668, Prbi.g_01482
OG0000149	Prbh.g_01785	Prbi.g_01785
OG0000150	Prbh.g_01745	Prbi.g_01823
OG0000151	Prbh.g_01742	Prbi.g_01826
OG0000152	Prbh.g_01723	Prbi.g_01845
OG0000153	Prbh.g_01686	Prbi.g_01897
OG0000154	Prbh.g_01650	Prbi.g_01933
OG0000155	Prbh.g_01631	Prbi.g_01951
OG0000156	Prbh.g_01597	Prbi.g_01979
OG0000157	Prbh.g_01563	Prbi.g_02011
OG0000158	Prbh.g_01497	Prbi.g_02086
OG0000160	Prbh.g_01475	Prbi.g_00001
OG0000161	Prbh.g_01474	Prbi.g_00002
OG0000162	Prbh.g_01472	Prbi.g_00004
OG0000163	Prbh.g_01471	Prbi.g_00005
OG0000164	Prbh.g_01470	Prbi.g_00006
OG0000165	Prbh.g_01469	Prbi.g_00007
OG0000166	Prbh.g_01468	Prbi.g_00008
OG0000167	Prbh.g_01467	Prbi.g_00009
OG0000168	Prbh.g_01466	Prbi.g_00010
OG0000169	Prbh.g_01952	Prbi.g_00012
OG0000170	Prbh.g_00766	Prbi.g_00014
OG0000171	Prbh.g_00765	Prbi.g_00015
OG0000172	Prbh.g_00764	Prbi.g_00016
OG0000173	Prbh.g_00763	Prbi.g_00017
OG0000174	Prbh.g_00762	Prbi.g_00018
OG0000175	Prbh.g_00761	Prbi.g_00019
OG0000176	Prbh.g_00760	Prbi.g_00020
OG0000177	Prbh.g_00759	Prbi.g_00021
OG0000178	Prbh.g_00758	Prbi.g_00022
OG0000179	Prbh.g_00756	Prbi.g_00024
OG0000180	Prbh.g_00755	Prbi.g_00025
OG0000181	Prbh.g_00754	Prbi.g_00026
OG0000182	Prbh.g_00753	Prbi.g_00027
OG0000183	Prbh.g_00752	Prbi.g_00028
OG0000184	Prbh.g_00751	Prbi.g_00029
OG0000185	Prbh.g_00748	Prbi.g_00032
OG0000186	Prbh.g_00746	Prbi.g_00035
OG0000187	Prbh.g_00745	Prbi.g_00036
OG0000188	Prbh.g_00744	Prbi.g_00037
OG0000189	Prbh.g_00743	Prbi.g_00049
OG0000190	Prbh.g_00741	Prbi.g_00051
OG0000191	Prbh.g_00739	Prbi.g_00052
OG0000192	Prbh.g_00738	Prbi.g_00053
OG0000193	Prbh.g_00737	Prbi.g_00056
OG0000194	Prbh.g_00734	Prbi.g_00057
OG0000195	Prbh.g_00733	Prbi.g_00058
OG0000196	Prbh.g_00732	Prbi.g_00059
OG0000197	Prbh.g_00730	Prbi.g_00061
OG0000198	Prbh.g_00729	Prbi.g_00062
OG0000199	Prbh.g_00728	Prbi.g_00063
OG0000200	Prbh.g_00719	Prbi.g_00071
OG0000201	Prbh.g_00718	Prbi.g_00072
OG0000202	Prbh.g_00717	Prbi.g_00073
OG0000203	Prbh.g_00713	Prbi.g_00076
OG0000204	Prbh.g_00712	Prbi.g_00077
OG0000205	Prbh.g_00709	Prbi.g_00080
OG0000206	Prbh.g_00707	Prbi.g_00082
OG0000207	Prbh.g_00705	Prbi.g_00084
OG0000208	Prbh.g_00704	Prbi.g_00085
OG0000209	Prbh.g_01878	Prbi.g_00086
OG0000210	Prbh.g_00703	Prbi.g_00087
OG0000211	Prbh.g_00702	Prbi.g_00088
OG0000212	Prbh.g_00701	Prbi.g_00089
OG0000213	Prbh.g_00700	Prbi.g_00090
OG0000214	Prbh.g_00699	Prbi.g_00091
OG0000215	Prbh.g_00698	Prbi.g_00092
OG0000216	Prbh.g_00697	Prbi.g_00093
OG0000217	Prbh.g_00695	Prbi.g_00095
OG0000218	Prbh.g_00694	Prbi.g_00096
OG0000219	Prbh.g_00693	Prbi.g_00097
OG0000220	Prbh.g_00692	Prbi.g_00098
OG0000221	Prbh.g_00689	Prbi.g_00101
OG0000222	Prbh.g_00688	Prbi.g_00102
OG0000223	Prbh.g_00687	Prbi.g_00103
OG0000224	Prbh.g_00686	Prbi.g_00104
OG0000225	Prbh.g_00685	Prbi.g_00105
OG0000226	Prbh.g_00684	Prbi.g_00106
OG0000227	Prbh.g_00682	Prbi.g_00107
OG0000228	Prbh.g_00681	Prbi.g_00108
OG0000229	Prbh.g_00680	Prbi.g_00109
OG0000230	Prbh.g_00679	Prbi.g_00110
OG0000231	Prbh.g_00678	Prbi.g_00111
OG0000232	Prbh.g_00677	Prbi.g_00113
OG0000233	Prbh.g_00676	Prbi.g_00114
OG0000234	Prbh.g_00675	Prbi.g_00115
OG0000235	Prbh.g_00674	Prbi.g_00116
OG0000236	Prbh.g_00671	Prbi.g_00117
OG0000237	Prbh.g_00670	Prbi.g_00118
OG0000238	Prbh.g_00669	Prbi.g_00119
OG0000239	Prbh.g_00667	Prbi.g_00121
OG0000240	Prbh.g_00666	Prbi.g_00123
OG0000241	Prbh.g_00665	Prbi.g_00124
OG0000242	Prbh.g_00664	Prbi.g_00125
OG0000243	Prbh.g_00661	Prbi.g_00128
OG0000244	Prbh.g_00658	Prbi.g_00130
OG0000245	Prbh.g_00657	Prbi.g_00131
OG0000246	Prbh.g_00656	Prbi.g_00132
OG0000247	Prbh.g_00654	Prbi.g_00135
OG0000248	Prbh.g_00652	Prbi.g_00137
OG0000249	Prbh.g_00650	Prbi.g_00138
OG0000250	Prbh.g_00649	Prbi.g_00139
OG0000251	Prbh.g_00648	Prbi.g_00140
OG0000252	Prbh.g_00647	Prbi.g_00141
OG0000253	Prbh.g_00646	Prbi.g_00142
OG0000254	Prbh.g_01144	Prbi.g_00144
OG0000255	Prbh.g_00644	Prbi.g_00145
OG0000256	Prbh.g_00641	Prbi.g_00148
OG0000257	Prbh.g_00639	Prbi.g_00150
OG0000258	Prbh.g_00637	Prbi.g_00169
OG0000259	Prbh.g_00636	Prbi.g_00170
OG0000260	Prbh.g_00635	Prbi.g_00171
OG0000261	Prbh.g_00634	Prbi.g_00172
OG0000262	Prbh.g_00633	Prbi.g_00173
OG0000263	Prbh.g_00631	Prbi.g_00175
OG0000264	Prbh.g_00630	Prbi.g_00176
OG0000265	Prbh.g_00629	Prbi.g_00177
OG0000266	Prbh.g_00628	Prbi.g_00178
OG0000267	Prbh.g_00627	Prbi.g_00179
OG0000268	Prbh.g_00626	Prbi.g_00180
OG0000269	Prbh.g_00624	Prbi.g_00182
OG0000270	Prbh.g_00623	Prbi.g_00183
OG0000271	Prbh.g_00622	Prbi.g_00184
OG0000272	Prbh.g_00621	Prbi.g_00185
OG0000273	Prbh.g_00620	Prbi.g_00186
OG0000274	Prbh.g_00619	Prbi.g_00187
OG0000275	Prbh.g_00618	Prbi.g_00188
OG0000276	Prbh.g_00617	Prbi.g_00189
OG0000277	Prbh.g_00615	Prbi.g_00191
OG0000278	Prbh.g_00614	Prbi.g_00192
OG0000279	Prbh.g_00613	Prbi.g_00193
OG0000280	Prbh.g_00611	Prbi.g_00195
OG0000281	Prbh.g_00610	Prbi.g_00197
OG0000282	Prbh.g_00609	Prbi.g_00198
OG0000283	Prbh.g_00608	Prbi.g_00199
OG0000284	Prbh.g_00607	Prbi.g_00200
OG0000285	Prbh.g_00606	Prbi.g_00201
OG0000286	Prbh.g_00605	Prbi.g_00202
OG0000287	Prbh.g_00604	Prbi.g_00203
OG0000288	Prbh.g_00602	Prbi.g_00205
OG0000289	Prbh.g_00601	Prbi.g_00206
OG0000290	Prbh.g_00600	Prbi.g_00207
OG0000291	Prbh.g_00598	Prbi.g_00209
OG0000292	Prbh.g_00596	Prbi.g_00210
OG0000293	Prbh.g_00595	Prbi.g_00211
OG0000294	Prbh.g_00594	Prbi.g_00212
OG0000295	Prbh.g_00593	Prbi.g_00213
OG0000296	Prbh.g_00592	Prbi.g_00214
OG0000297	Prbh.g_00591	Prbi.g_00215
OG0000298	Prbh.g_00589	Prbi.g_00217
OG0000299	Prbh.g_00588	Prbi.g_00218
OG0000300	Prbh.g_00587	Prbi.g_00219
OG0000301	Prbh.g_00586	Prbi.g_00220
OG0000302	Prbh.g_00585	Prbi.g_00221
OG0000303	Prbh.g_00584	Prbi.g_00222
OG0000304	Prbh.g_00582	Prbi.g_00224
OG0000305	Prbh.g_00581	Prbi.g_00225
OG0000306	Prbh.g_00578	Prbi.g_00228
OG0000307	Prbh.g_00577	Prbi.g_00229
OG0000308	Prbh.g_00576	Prbi.g_00230
OG0000309	Prbh.g_00575	Prbi.g_00231
OG0000310	Prbh.g_00574	Prbi.g_00232
OG0000311	Prbh.g_00573	Prbi.g_00233
OG0000312	Prbh.g_00572	Prbi.g_00234
OG0000313	Prbh.g_00571	Prbi.g_00235
OG0000314	Prbh.g_00570	Prbi.g_00236
OG0000315	Prbh.g_00569	Prbi.g_00237
OG0000316	Prbh.g_00568	Prbi.g_00238
OG0000317	Prbh.g_00567	Prbi.g_00239
OG0000318	Prbh.g_00566	Prbi.g_00240
OG0000319	Prbh.g_00565	Prbi.g_00241
OG0000320	Prbh.g_00564	Prbi.g_00242
OG0000321	Prbh.g_00563	Prbi.g_00243
OG0000322	Prbh.g_00562	Prbi.g_00244
OG0000323	Prbh.g_00561	Prbi.g_00245
OG0000324	Prbh.g_00560	Prbi.g_00246
OG0000325	Prbh.g_00559	Prbi.g_00247
OG0000326	Prbh.g_00558	Prbi.g_00248
OG0000327	Prbh.g_00557	Prbi.g_00249
OG0000328	Prbh.g_00555	Prbi.g_00250
OG0000329	Prbh.g_00554	Prbi.g_00251
OG0000330	Prbh.g_00553	Prbi.g_00252
OG0000331	Prbh.g_00551	Prbi.g_00253
OG0000332	Prbh.g_00550	Prbi.g_00254
OG0000333	Prbh.g_00549	Prbi.g_00255
OG0000334	Prbh.g_00548	Prbi.g_00256
OG0000335	Prbh.g_00547	Prbi.g_00257
OG0000336	Prbh.g_00545	Prbi.g_00259
OG0000337	Prbh.g_00544	Prbi.g_00260
OG0000338	Prbh.g_00539	Prbi.g_00264
OG0000339	Prbh.g_00537	Prbi.g_00266
OG0000340	Prbh.g_00535	Prbi.g_00268
OG0000341	Prbh.g_00534	Prbi.g_00269
OG0000342	Prbh.g_00533	Prbi.g_00270
OG0000343	Prbh.g_00532	Prbi.g_00271
OG0000344	Prbh.g_00529	Prbi.g_00274
OG0000345	Prbh.g_00525	Prbi.g_00277
OG0000346	Prbh.g_00524	Prbi.g_00278
OG0000347	Prbh.g_00521	Prbi.g_00281
OG0000348	Prbh.g_00520	Prbi.g_00283
OG0000349	Prbh.g_00519	Prbi.g_00284
OG0000350	Prbh.g_00517	Prbi.g_00286
OG0000351	Prbh.g_00516	Prbi.g_00287
OG0000352	Prbh.g_00515	Prbi.g_00288
OG0000353	Prbh.g_00514	Prbi.g_00289
OG0000354	Prbh.g_00513	Prbi.g_00290
OG0000355	Prbh.g_00512	Prbi.g_00291
OG0000356	Prbh.g_00511	Prbi.g_00292
OG0000357	Prbh.g_00510	Prbi.g_00293
OG0000358	Prbh.g_00509	Prbi.g_00294
OG0000359	Prbh.g_00507	Prbi.g_00295
OG0000360	Prbh.g_00504	Prbi.g_00299
OG0000361	Prbh.g_00503	Prbi.g_00300
OG0000362	Prbh.g_00502	Prbi.g_00301
OG0000363	Prbh.g_00501	Prbi.g_00302
OG0000364	Prbh.g_00497	Prbi.g_00306
OG0000365	Prbh.g_00496	Prbi.g_00307
OG0000366	Prbh.g_00493	Prbi.g_00309
OG0000367	Prbh.g_00492	Prbi.g_00310
OG0000368	Prbh.g_00491	Prbi.g_00311
OG0000369	Prbh.g_00490	Prbi.g_00312
OG0000370	Prbh.g_00489	Prbi.g_00313
OG0000371	Prbh.g_00487	Prbi.g_00314
OG0000372	Prbh.g_00486	Prbi.g_00315
OG0000373	Prbh.g_00485	Prbi.g_00316
OG0000374	Prbh.g_00484	Prbi.g_00318
OG0000375	Prbh.g_00483	Prbi.g_00319
OG0000376	Prbh.g_00480	Prbi.g_00322
OG0000377	Prbh.g_00479	Prbi.g_00323
OG0000378	Prbh.g_00478	Prbi.g_00324
OG0000379	Prbh.g_00477	Prbi.g_00325
OG0000380	Prbh.g_00476	Prbi.g_00326
OG0000381	Prbh.g_00475	Prbi.g_00327
OG0000382	Prbh.g_00474	Prbi.g_00328
OG0000383	Prbh.g_00473	Prbi.g_00329
OG0000384	Prbh.g_00471	Prbi.g_00332
OG0000385	Prbh.g_00470	Prbi.g_00333
OG0000386	Prbh.g_00469	Prbi.g_00334
OG0000387	Prbh.g_00468	Prbi.g_00335
OG0000388	Prbh.g_00467	Prbi.g_00336
OG0000389	Prbh.g_00466	Prbi.g_00337
OG0000390	Prbh.g_00465	Prbi.g_00338
OG0000391	Prbh.g_00464	Prbi.g_00339
OG0000392	Prbh.g_00463	Prbi.g_00340
OG0000393	Prbh.g_00462	Prbi.g_00341
OG0000394	Prbh.g_00461	Prbi.g_00342
OG0000395	Prbh.g_00460	Prbi.g_00343
OG0000396	Prbh.g_00458	Prbi.g_00345
OG0000397	Prbh.g_00456	Prbi.g_00347
OG0000398	Prbh.g_00455	Prbi.g_00348
OG0000399	Prbh.g_00452	Prbi.g_00351
OG0000400	Prbh.g_00446	Prbi.g_00352
OG0000401	Prbh.g_00445	Prbi.g_00353
OG0000402	Prbh.g_00439	Prbi.g_00358
OG0000403	Prbh.g_00437	Prbi.g_00359
OG0000404	Prbh.g_00436	Prbi.g_00360
OG0000405	Prbh.g_00435	Prbi.g_00362
OG0000406	Prbh.g_00431	Prbi.g_00365
OG0000407	Prbh.g_00430	Prbi.g_00366
OG0000408	Prbh.g_00427	Prbi.g_00369
OG0000409	Prbh.g_00426	Prbi.g_00370
OG0000410	Prbh.g_00425	Prbi.g_00371
OG0000411	Prbh.g_00424	Prbi.g_00372
OG0000412	Prbh.g_00423	Prbi.g_00373
OG0000413	Prbh.g_00422	Prbi.g_00374
OG0000414	Prbh.g_00421	Prbi.g_00375
OG0000415	Prbh.g_00420	Prbi.g_00376
OG0000416	Prbh.g_00416	Prbi.g_00379
OG0000417	Prbh.g_00415	Prbi.g_00380
OG0000418	Prbh.g_00413	Prbi.g_00381
OG0000419	Prbh.g_00412	Prbi.g_00382
OG0000420	Prbh.g_01008	Prbi.g_00383
OG0000421	Prbh.g_01327	Prbi.g_00395
OG0000422	Prbh.g_01877	Prbi.g_00403
OG0000423	Prbh.g_01320	Prbi.g_00404
OG0000424	Prbh.g_01718	Prbi.g_00409
OG0000425	Prbh.g_00401	Prbi.g_00432
OG0000426	Prbh.g_00400	Prbi.g_00433
OG0000427	Prbh.g_00399	Prbi.g_00434
OG0000428	Prbh.g_00397	Prbi.g_00436
OG0000429	Prbh.g_00396	Prbi.g_00437
OG0000430	Prbh.g_00394	Prbi.g_00439
OG0000431	Prbh.g_00393	Prbi.g_00440
OG0000432	Prbh.g_00392	Prbi.g_00441
OG0000433	Prbh.g_00391	Prbi.g_00442
OG0000434	Prbh.g_00390	Prbi.g_00443
OG0000435	Prbh.g_00389	Prbi.g_00444
OG0000436	Prbh.g_00388	Prbi.g_00445
OG0000437	Prbh.g_00387	Prbi.g_00446
OG0000438	Prbh.g_00386	Prbi.g_00447
OG0000439	Prbh.g_00385	Prbi.g_00448
OG0000440	Prbh.g_00384	Prbi.g_00449
OG0000441	Prbh.g_00383	Prbi.g_00450
OG0000442	Prbh.g_00382	Prbi.g_00451
OG0000443	Prbh.g_00381	Prbi.g_00452
OG0000444	Prbh.g_00380	Prbi.g_00453
OG0000445	Prbh.g_00374	Prbi.g_00454
OG0000446	Prbh.g_00372	Prbi.g_00456
OG0000447	Prbh.g_00371	Prbi.g_00457
OG0000448	Prbh.g_00370	Prbi.g_00459
OG0000449	Prbh.g_00367	Prbi.g_00463
OG0000450	Prbh.g_00366	Prbi.g_00464
OG0000451	Prbh.g_00365	Prbi.g_00465
OG0000452	Prbh.g_00363	Prbi.g_00466
OG0000453	Prbh.g_00361	Prbi.g_00467
OG0000454	Prbh.g_00360	Prbi.g_00474
OG0000455	Prbh.g_00358	Prbi.g_00476
OG0000456	Prbh.g_00354	Prbi.g_00480
OG0000457	Prbh.g_00353	Prbi.g_00481
OG0000458	Prbh.g_00352	Prbi.g_00482
OG0000459	Prbh.g_00350	Prbi.g_00484
OG0000460	Prbh.g_00348	Prbi.g_00486
OG0000461	Prbh.g_00347	Prbi.g_00487
OG0000462	Prbh.g_00346	Prbi.g_00488
OG0000463	Prbh.g_00344	Prbi.g_00490
OG0000464	Prbh.g_00343	Prbi.g_00491
OG0000465	Prbh.g_00342	Prbi.g_00492
OG0000466	Prbh.g_00341	Prbi.g_00493
OG0000467	Prbh.g_00340	Prbi.g_00494
OG0000468	Prbh.g_00339	Prbi.g_00495
OG0000469	Prbh.g_00338	Prbi.g_00496
OG0000470	Prbh.g_00337	Prbi.g_00497
OG0000471	Prbh.g_00336	Prbi.g_00498
OG0000472	Prbh.g_00329	Prbi.g_00503
OG0000473	Prbh.g_00328	Prbi.g_00504
OG0000474	Prbh.g_00327	Prbi.g_00505
OG0000475	Prbh.g_00326	Prbi.g_00506
OG0000476	Prbh.g_00325	Prbi.g_00508
OG0000477	Prbh.g_00324	Prbi.g_00509
OG0000478	Prbh.g_00323	Prbi.g_00510
OG0000479	Prbh.g_00322	Prbi.g_00511
OG0000480	Prbh.g_00320	Prbi.g_00513
OG0000481	Prbh.g_00318	Prbi.g_00515
OG0000482	Prbh.g_00317	Prbi.g_00516
OG0000483	Prbh.g_00315	Prbi.g_00518
OG0000484	Prbh.g_00314	Prbi.g_00519
OG0000485	Prbh.g_00313	Prbi.g_00520
OG0000486	Prbh.g_00311	Prbi.g_00521
OG0000487	Prbh.g_00306	Prbi.g_00526
OG0000488	Prbh.g_00305	Prbi.g_00528
OG0000489	Prbh.g_00304	Prbi.g_00529
OG0000490	Prbh.g_00303	Prbi.g_00530
OG0000491	Prbh.g_00302	Prbi.g_00531
OG0000492	Prbh.g_00301	Prbi.g_00532
OG0000493	Prbh.g_00299	Prbi.g_00533
OG0000494	Prbh.g_00298	Prbi.g_00534
OG0000495	Prbh.g_00295	Prbi.g_00537
OG0000496	Prbh.g_00294	Prbi.g_00538
OG0000497	Prbh.g_00293	Prbi.g_00539
OG0000498	Prbh.g_00292	Prbi.g_00540
OG0000499	Prbh.g_00291	Prbi.g_00541
OG0000500	Prbh.g_00290	Prbi.g_00543
OG0000501	Prbh.g_00289	Prbi.g_00544
OG0000502	Prbh.g_00288	Prbi.g_00545
OG0000503	Prbh.g_00286	Prbi.g_00547
OG0000504	Prbh.g_00285	Prbi.g_00548
OG0000505	Prbh.g_00284	Prbi.g_00549
OG0000506	Prbh.g_00283	Prbi.g_00550
OG0000507	Prbh.g_00282	Prbi.g_00551
OG0000508	Prbh.g_00281	Prbi.g_00552
OG0000509	Prbh.g_00280	Prbi.g_00553
OG0000510	Prbh.g_00279	Prbi.g_00554
OG0000511	Prbh.g_00277	Prbi.g_00556
OG0000512	Prbh.g_00276	Prbi.g_00557
OG0000513	Prbh.g_00275	Prbi.g_00558
OG0000514	Prbh.g_00274	Prbi.g_00559
OG0000515	Prbh.g_00273	Prbi.g_00560
OG0000516	Prbh.g_00272	Prbi.g_00561
OG0000517	Prbh.g_00270	Prbi.g_00563
OG0000518	Prbh.g_00269	Prbi.g_00564
OG0000519	Prbh.g_00267	Prbi.g_00565
OG0000520	Prbh.g_00265	Prbi.g_00566
OG0000521	Prbh.g_00264	Prbi.g_00567
OG0000522	Prbh.g_00263	Prbi.g_00568
OG0000523	Prbh.g_00262	Prbi.g_00569
OG0000524	Prbh.g_00261	Prbi.g_00570
OG0000525	Prbh.g_00260	Prbi.g_00571
OG0000526	Prbh.g_00259	Prbi.g_00572
OG0000527	Prbh.g_00258	Prbi.g_00573
OG0000528	Prbh.g_00257	Prbi.g_00574
OG0000529	Prbh.g_00256	Prbi.g_00575
OG0000530	Prbh.g_00255	Prbi.g_00576
OG0000531	Prbh.g_00254	Prbi.g_00577
OG0000532	Prbh.g_00253	Prbi.g_00578
OG0000533	Prbh.g_00251	Prbi.g_00580
OG0000534	Prbh.g_00250	Prbi.g_00581
OG0000535	Prbh.g_00249	Prbi.g_00582
OG0000536	Prbh.g_00248	Prbi.g_00583
OG0000537	Prbh.g_00247	Prbi.g_00584
OG0000538	Prbh.g_00246	Prbi.g_00585
OG0000539	Prbh.g_00244	Prbi.g_00588
OG0000540	Prbh.g_00243	Prbi.g_00589
OG0000541	Prbh.g_00242	Prbi.g_00590
OG0000542	Prbh.g_00239	Prbi.g_00593
OG0000543	Prbh.g_00238	Prbi.g_00594
OG0000544	Prbh.g_00237	Prbi.g_00595
OG0000545	Prbh.g_00236	Prbi.g_00596
