Orthogroup	Prbh	Praf
OG0000062	Prbh.g_00976	Praf.g_01556
OG0000063	Prbh.g_01334	Praf.g_02587
OG0000065	Prbh.g_00543	Praf.g_00386
OG0000066	Prbh.g_00356	Praf.g_01907
OG0000067	Prbh.g_00936	Praf.g_01125
OG0000070	Prbh.g_01031	Praf.g_01274
OG0000071	Prbh.g_01255	Praf.g_00919
OG0000072	Prbh.g_01373	Praf.g_00796
OG0000074	Prbh.g_00031	Praf.g_02343
OG0000075	Prbh.g_01644	Praf.g_02119
OG0000076	Prbh.g_00138	Praf.g_01851
OG0000077	Prbh.g_01953	Praf.g_00012
OG0000078	Prbh.g_00457	Praf.g_02336
OG0000079	Prbh.g_01825	Praf.g_02715, Praf.g_02705
OG0000080	Prbh.g_01182	Praf.g_01012, Praf.g_01748
OG0000081	Prbh.g_00926	Praf.g_01219, Praf.g_01218
OG0000082	Prbh.g_00960	Praf.g_01537
OG0000084	Prbh.g_01086	Praf.g_01392
OG0000085	Prbh.g_01328	Praf.g_02776
OG0000086	Prbh.g_01868	Praf.g_02690
OG0000090	Prbh.g_00032	Praf.g_02342
OG0000091	Prbh.g_00107	Praf.g_01806
OG0000092	Prbh.g_01860	Praf.g_00549
OG0000093	Prbh.g_01695	Praf.g_02172, Praf.g_00148
OG0000094	Prbh.g_01648	Praf.g_02123
OG0000095	Prbh.g_01609	Praf.g_02382, Praf.g_02380, Praf.g_02378
OG0000096	Prbh.g_01536	Praf.g_00053
OG0000097	Prbh.g_01516	Praf.g_02699
OG0000098	Prbh.g_01473	Praf.g_00003
OG0000099	Prbh.g_00757	Praf.g_00028
OG0000101	Prbh.g_00731	Praf.g_00333, Praf.g_02602
OG0000102	Prbh.g_00668	Praf.g_00224
OG0000103	Prbh.g_00659	Praf.g_00212
OG0000104	Prbh.g_00642	Praf.g_02420
OG0000105	Prbh.g_00612	Praf.g_02468
OG0000106	Prbh.g_00599	Praf.g_02711, Praf.g_02492
OG0000107	Prbh.g_00590	Praf.g_02511
OG0000108	Prbh.g_00580	Praf.g_02708, Praf.g_02521
OG0000109	Prbh.g_00540	Praf.g_00391
OG0000110	Prbh.g_00528	Praf.g_02217
OG0000111	Prbh.g_00505	Praf.g_02271
OG0000112	Prbh.g_00494	Praf.g_02284
OG0000113	Prbh.g_00481	Praf.g_02300
OG0000114	Prbh.g_00454	Praf.g_02358
OG0000115	Prbh.g_00357	Praf.g_01908
OG0000116	Prbh.g_00355	Praf.g_01905
OG0000117	Prbh.g_00351	Praf.g_00595
OG0000118	Prbh.g_00330	Praf.g_00143, Praf.g_00616
OG0000119	Prbh.g_00297	Praf.g_00658
OG0000120	Prbh.g_00296	Praf.g_00660
OG0000121	Prbh.g_00287	Praf.g_00681
OG0000122	Prbh.g_00278	Praf.g_00692
OG0000123	Prbh.g_00245	Praf.g_00730
OG0000124	Prbh.g_01202	Praf.g_01036, Praf.g_01720
OG0000125	Prbh.g_01201	Praf.g_01035, Praf.g_01721
OG0000126	Prbh.g_01200	Praf.g_01034, Praf.g_01722
OG0000127	Prbh.g_00921	Praf.g_00780, Praf.g_00406
OG0000128	Prbh.g_00947	Praf.g_01304
OG0000129	Prbh.g_01149	Praf.g_00144, Praf.g_01435
OG0000130	Prbh.g_01048	Praf.g_00941
OG0000131	Prbh.g_00951	Praf.g_01528
OG0000132	Prbh.g_00987	Praf.g_01590
OG0000133	Prbh.g_00895	Praf.g_00104, Praf.g_01497
OG0000134	Prbh.g_01181	Praf.g_01503
OG0000135	Prbh.g_01090	Praf.g_01384, Praf.g_01383
OG0000136	Prbh.g_01034	Praf.g_01277
OG0000137	Prbh.g_01865	Praf.g_02692
OG0000138	Prbh.g_01289	Praf.g_00833
OG0000139	Prbh.g_01276	Praf.g_00861
OG0000140	Prbh.g_01450	Praf.g_00938
OG0000141	Prbh.g_01397	Praf.g_01285
OG0000142	Prbh.g_01385	Praf.g_00779
OG0000143	Prbh.g_00009	Praf.g_00585, Praf.g_00583
OG0000144	Prbh.g_00084	Praf.g_01778, Praf.g_01776
OG0000145	Prbh.g_00100	Praf.g_01795
OG0000146	Prbh.g_00136	Praf.g_01848
OG0000147	Prbh.g_00183	Praf.g_00502
OG0000148	Prbh.g_00184	Praf.g_00501
OG0000149	Prbh.g_01785	Praf.g_00485
OG0000150	Prbh.g_01745	Praf.g_00437
OG0000151	Prbh.g_01742	Praf.g_00434
OG0000152	Prbh.g_01723	Praf.g_00402
OG0000153	Prbh.g_01686	Praf.g_02162
OG0000154	Prbh.g_01650	Praf.g_02125
OG0000155	Prbh.g_01631	Praf.g_02102
OG0000156	Prbh.g_01597	Praf.g_02396
OG0000157	Prbh.g_01563	Praf.g_00152
OG0000158	Prbh.g_01497	Praf.g_02757
OG0000160	Prbh.g_01475	Praf.g_00001
OG0000161	Prbh.g_01474	Praf.g_00002
OG0000162	Prbh.g_01472	Praf.g_00004
OG0000163	Prbh.g_01471	Praf.g_00005
OG0000164	Prbh.g_01470	Praf.g_00006
OG0000165	Prbh.g_01469	Praf.g_00007
OG0000166	Prbh.g_01468	Praf.g_00009
OG0000167	Prbh.g_01467	Praf.g_00010
OG0000168	Prbh.g_01466	Praf.g_00011
OG0000169	Prbh.g_01952	Praf.g_00013
OG0000170	Prbh.g_00766	Praf.g_00015
OG0000171	Prbh.g_00765	Praf.g_00016
OG0000172	Prbh.g_00764	Praf.g_00021
OG0000173	Prbh.g_00763	Praf.g_00022
OG0000174	Prbh.g_00762	Praf.g_00023
OG0000175	Prbh.g_00761	Praf.g_00024
OG0000176	Prbh.g_00760	Praf.g_00025
OG0000177	Prbh.g_00759	Praf.g_00026
OG0000178	Prbh.g_00758	Praf.g_00027
OG0000179	Prbh.g_00756	Praf.g_00029
OG0000180	Prbh.g_00755	Praf.g_00030
OG0000181	Prbh.g_00754	Praf.g_00031
OG0000182	Prbh.g_00753	Praf.g_00032
OG0000183	Prbh.g_00752	Praf.g_00033
OG0000184	Prbh.g_00751	Praf.g_00035
OG0000185	Prbh.g_00748	Praf.g_00040
OG0000186	Prbh.g_00746	Praf.g_00045
OG0000187	Prbh.g_00745	Praf.g_00046
OG0000188	Prbh.g_00744	Praf.g_00047
OG0000189	Prbh.g_00743	Praf.g_00050
OG0000190	Prbh.g_00741	Praf.g_00052
OG0000191	Prbh.g_00739	Praf.g_02654
OG0000192	Prbh.g_00738	Praf.g_02652
OG0000193	Prbh.g_00737	Praf.g_02618
OG0000194	Prbh.g_00734	Praf.g_02611
OG0000195	Prbh.g_00733	Praf.g_02605
OG0000196	Prbh.g_00732	Praf.g_02603
OG0000197	Prbh.g_00730	Praf.g_02601
OG0000198	Prbh.g_00729	Praf.g_02597
OG0000199	Prbh.g_00728	Praf.g_02596
OG0000200	Prbh.g_00719	Praf.g_00328
OG0000201	Prbh.g_00718	Praf.g_00326
OG0000202	Prbh.g_00717	Praf.g_00325
OG0000203	Prbh.g_00713	Praf.g_00321
OG0000204	Prbh.g_00712	Praf.g_00320
OG0000205	Prbh.g_00709	Praf.g_00316
OG0000206	Prbh.g_00707	Praf.g_00314
OG0000207	Prbh.g_00705	Praf.g_00310
OG0000208	Prbh.g_00704	Praf.g_00309
OG0000209	Prbh.g_01878	Praf.g_00962
OG0000210	Prbh.g_00703	Praf.g_00308
OG0000211	Prbh.g_00702	Praf.g_00304
OG0000212	Prbh.g_00701	Praf.g_00303
OG0000213	Prbh.g_00700	Praf.g_00302
OG0000214	Prbh.g_00699	Praf.g_00301
OG0000215	Prbh.g_00698	Praf.g_00300
OG0000216	Prbh.g_00697	Praf.g_00299
OG0000217	Prbh.g_00695	Praf.g_00297
OG0000218	Prbh.g_00694	Praf.g_00296
OG0000219	Prbh.g_00693	Praf.g_00268
OG0000220	Prbh.g_00692	Praf.g_00264
OG0000221	Prbh.g_00689	Praf.g_00259
OG0000222	Prbh.g_00688	Praf.g_00258
OG0000223	Prbh.g_00687	Praf.g_00257
OG0000224	Prbh.g_00686	Praf.g_00255
OG0000225	Prbh.g_00685	Praf.g_00254
OG0000226	Prbh.g_00684	Praf.g_00253
OG0000227	Prbh.g_00682	Praf.g_00251
OG0000228	Prbh.g_00681	Praf.g_00250
OG0000229	Prbh.g_00680	Praf.g_00249
OG0000230	Prbh.g_00679	Praf.g_00248
OG0000231	Prbh.g_00678	Praf.g_00247
OG0000232	Prbh.g_00677	Praf.g_00245
OG0000233	Prbh.g_00676	Praf.g_00244
OG0000234	Prbh.g_00675	Praf.g_00243
OG0000235	Prbh.g_00674	Praf.g_00240
OG0000236	Prbh.g_00671	Praf.g_00232
OG0000237	Prbh.g_00670	Praf.g_00230
OG0000238	Prbh.g_00669	Praf.g_00225
OG0000239	Prbh.g_00667	Praf.g_00223
OG0000240	Prbh.g_00666	Praf.g_00221
OG0000241	Prbh.g_00665	Praf.g_00219
OG0000242	Prbh.g_00664	Praf.g_00218
OG0000243	Prbh.g_00661	Praf.g_00214
OG0000244	Prbh.g_00658	Praf.g_00209
OG0000245	Prbh.g_00657	Praf.g_00208
OG0000246	Prbh.g_00656	Praf.g_00207
OG0000247	Prbh.g_00654	Praf.g_02403
OG0000248	Prbh.g_00652	Praf.g_02405
OG0000249	Prbh.g_00650	Praf.g_02408
OG0000250	Prbh.g_00649	Praf.g_02410
OG0000251	Prbh.g_00648	Praf.g_02411
OG0000252	Prbh.g_00647	Praf.g_02412
OG0000253	Prbh.g_00646	Praf.g_02413
OG0000254	Prbh.g_01144	Praf.g_02415
OG0000255	Prbh.g_00644	Praf.g_02416
OG0000256	Prbh.g_00641	Praf.g_02421
OG0000257	Prbh.g_00639	Praf.g_02430
OG0000258	Prbh.g_00637	Praf.g_02432
OG0000259	Prbh.g_00636	Praf.g_02433
OG0000260	Prbh.g_00635	Praf.g_02434
OG0000261	Prbh.g_00634	Praf.g_02435
OG0000262	Prbh.g_00633	Praf.g_02436
OG0000263	Prbh.g_00631	Praf.g_02438
OG0000264	Prbh.g_00630	Praf.g_02439
OG0000265	Prbh.g_00629	Praf.g_02440
OG0000266	Prbh.g_00628	Praf.g_02441
OG0000267	Prbh.g_00627	Praf.g_02442
OG0000268	Prbh.g_00626	Praf.g_02444
OG0000269	Prbh.g_00624	Praf.g_02446
OG0000270	Prbh.g_00623	Praf.g_02447
OG0000271	Prbh.g_00622	Praf.g_02448
OG0000272	Prbh.g_00621	Praf.g_02449
OG0000273	Prbh.g_00620	Praf.g_02450
OG0000274	Prbh.g_00619	Praf.g_02451
OG0000275	Prbh.g_00618	Praf.g_02452
OG0000276	Prbh.g_00617	Praf.g_02453
OG0000277	Prbh.g_00615	Praf.g_02455
OG0000278	Prbh.g_00614	Praf.g_02456
OG0000279	Prbh.g_00613	Praf.g_02457
OG0000280	Prbh.g_00611	Praf.g_02469
OG0000281	Prbh.g_00610	Praf.g_02470
OG0000282	Prbh.g_00609	Praf.g_02471
OG0000283	Prbh.g_00608	Praf.g_02472
OG0000284	Prbh.g_00607	Praf.g_02473
OG0000285	Prbh.g_00606	Praf.g_02474
OG0000286	Prbh.g_00605	Praf.g_02475
OG0000287	Prbh.g_00604	Praf.g_02476
OG0000288	Prbh.g_00602	Praf.g_01486
OG0000289	Prbh.g_00601	Praf.g_02489
OG0000290	Prbh.g_00600	Praf.g_02491
OG0000291	Prbh.g_00598	Praf.g_02495
OG0000292	Prbh.g_00596	Praf.g_02497
OG0000293	Prbh.g_00595	Praf.g_02500
OG0000294	Prbh.g_00594	Praf.g_02502
OG0000295	Prbh.g_00593	Praf.g_02505
OG0000296	Prbh.g_00592	Praf.g_02506
OG0000297	Prbh.g_00591	Praf.g_02509
OG0000298	Prbh.g_00589	Praf.g_02512
OG0000299	Prbh.g_00588	Praf.g_02513
OG0000300	Prbh.g_00587	Praf.g_02514
OG0000301	Prbh.g_00586	Praf.g_02515
OG0000302	Prbh.g_00585	Praf.g_02516
OG0000303	Prbh.g_00584	Praf.g_02517
OG0000304	Prbh.g_00582	Praf.g_02519
OG0000305	Prbh.g_00581	Praf.g_02520
OG0000306	Prbh.g_00578	Praf.g_02524
OG0000307	Prbh.g_00577	Praf.g_02525
OG0000308	Prbh.g_00576	Praf.g_02531
OG0000309	Prbh.g_00575	Praf.g_02532
OG0000310	Prbh.g_00574	Praf.g_02533
OG0000311	Prbh.g_00573	Praf.g_02582
OG0000312	Prbh.g_00572	Praf.g_02581
OG0000313	Prbh.g_00571	Praf.g_02575
OG0000314	Prbh.g_00570	Praf.g_02574
OG0000315	Prbh.g_00569	Praf.g_02572
OG0000316	Prbh.g_00568	Praf.g_02568
OG0000317	Prbh.g_00567	Praf.g_02567
OG0000318	Prbh.g_00566	Praf.g_02566
OG0000319	Prbh.g_00565	Praf.g_02560
OG0000320	Prbh.g_00564	Praf.g_02559
OG0000321	Prbh.g_00563	Praf.g_02557
OG0000322	Prbh.g_00562	Praf.g_02556
OG0000323	Prbh.g_00561	Praf.g_02555
OG0000324	Prbh.g_00560	Praf.g_02554
OG0000325	Prbh.g_00559	Praf.g_02553
OG0000326	Prbh.g_00558	Praf.g_02552
OG0000327	Prbh.g_00557	Praf.g_02551
OG0000328	Prbh.g_00555	Praf.g_02549
OG0000329	Prbh.g_00554	Praf.g_02548
OG0000330	Prbh.g_00553	Praf.g_02547
OG0000331	Prbh.g_00551	Praf.g_00374
OG0000332	Prbh.g_00550	Praf.g_00745
OG0000333	Prbh.g_00549	Praf.g_00744
OG0000334	Prbh.g_00548	Praf.g_00743
OG0000335	Prbh.g_00547	Praf.g_00378
OG0000336	Prbh.g_00545	Praf.g_00379
OG0000337	Prbh.g_00544	Praf.g_00385
OG0000338	Prbh.g_00539	Praf.g_00392
OG0000339	Prbh.g_00537	Praf.g_02203
OG0000340	Prbh.g_00535	Praf.g_02207
OG0000341	Prbh.g_00534	Praf.g_02208
OG0000342	Prbh.g_00533	Praf.g_02209
OG0000343	Prbh.g_00532	Praf.g_02210
OG0000344	Prbh.g_00529	Praf.g_02215
OG0000345	Prbh.g_00525	Praf.g_02242
OG0000346	Prbh.g_00524	Praf.g_02243
OG0000347	Prbh.g_00521	Praf.g_02245
OG0000348	Prbh.g_00520	Praf.g_02247
OG0000349	Prbh.g_00519	Praf.g_02249
OG0000350	Prbh.g_00517	Praf.g_02255
OG0000351	Prbh.g_00516	Praf.g_00375
OG0000352	Prbh.g_00515	Praf.g_02259
OG0000353	Prbh.g_00514	Praf.g_02260
OG0000354	Prbh.g_00513	Praf.g_02262
OG0000355	Prbh.g_00512	Praf.g_02263
OG0000356	Prbh.g_00511	Praf.g_02264
OG0000357	Prbh.g_00510	Praf.g_02265
OG0000358	Prbh.g_00509	Praf.g_02266
OG0000359	Prbh.g_00507	Praf.g_02268
OG0000360	Prbh.g_00504	Praf.g_02273
OG0000361	Prbh.g_00503	Praf.g_02274
OG0000362	Prbh.g_00502	Praf.g_02275
OG0000363	Prbh.g_00501	Praf.g_02277
OG0000364	Prbh.g_00497	Praf.g_02282
OG0000365	Prbh.g_00496	Praf.g_02283
OG0000366	Prbh.g_00493	Praf.g_02285
OG0000367	Prbh.g_00492	Praf.g_02287
OG0000368	Prbh.g_00491	Praf.g_02288
OG0000369	Prbh.g_00490	Praf.g_02289
OG0000370	Prbh.g_00489	Praf.g_02290
OG0000371	Prbh.g_00487	Praf.g_02291
OG0000372	Prbh.g_00486	Praf.g_02292
OG0000373	Prbh.g_00485	Praf.g_02293
OG0000374	Prbh.g_00484	Praf.g_02296
OG0000375	Prbh.g_00483	Praf.g_02297
OG0000376	Prbh.g_00480	Praf.g_02301
OG0000377	Prbh.g_00479	Praf.g_02302
OG0000378	Prbh.g_00478	Praf.g_02303
OG0000379	Prbh.g_00477	Praf.g_02304
OG0000380	Prbh.g_00476	Praf.g_02314
OG0000381	Prbh.g_00475	Praf.g_02315
OG0000382	Prbh.g_00474	Praf.g_02316
OG0000383	Prbh.g_00473	Praf.g_02318
OG0000384	Prbh.g_00471	Praf.g_02321
OG0000385	Prbh.g_00470	Praf.g_02322
OG0000386	Prbh.g_00469	Praf.g_02323
OG0000387	Prbh.g_00468	Praf.g_02324
OG0000388	Prbh.g_00467	Praf.g_02325
OG0000389	Prbh.g_00466	Praf.g_02326
OG0000390	Prbh.g_00465	Praf.g_02327
OG0000391	Prbh.g_00464	Praf.g_02328
OG0000392	Prbh.g_00463	Praf.g_02329
OG0000393	Prbh.g_00462	Praf.g_02330
OG0000394	Prbh.g_00461	Praf.g_02331
OG0000395	Prbh.g_00460	Praf.g_02332
OG0000396	Prbh.g_00458	Praf.g_02335
OG0000397	Prbh.g_00456	Praf.g_02347
OG0000398	Prbh.g_00455	Praf.g_02349
OG0000399	Prbh.g_00452	Praf.g_02073
OG0000400	Prbh.g_00446	Praf.g_02066
OG0000401	Prbh.g_00445	Praf.g_02065
OG0000402	Prbh.g_00439	Praf.g_02054
OG0000403	Prbh.g_00437	Praf.g_02052
OG0000404	Prbh.g_00436	Praf.g_02051
OG0000405	Prbh.g_00435	Praf.g_02049
OG0000406	Prbh.g_00431	Praf.g_02045
OG0000407	Prbh.g_00430	Praf.g_02044
OG0000408	Prbh.g_00427	Praf.g_02031
OG0000409	Prbh.g_00426	Praf.g_02030
OG0000410	Prbh.g_00425	Praf.g_02029
OG0000411	Prbh.g_00424	Praf.g_02028
OG0000412	Prbh.g_00423	Praf.g_02027
OG0000413	Prbh.g_00422	Praf.g_02026
OG0000414	Prbh.g_00421	Praf.g_02025
OG0000415	Prbh.g_00420	Praf.g_02024
OG0000416	Prbh.g_00416	Praf.g_02016
OG0000417	Prbh.g_00415	Praf.g_02015
OG0000418	Prbh.g_00413	Praf.g_02012
OG0000419	Prbh.g_00412	Praf.g_02011
OG0000420	Prbh.g_01008	Praf.g_01616
OG0000421	Prbh.g_01327	Praf.g_00322
OG0000422	Prbh.g_01877	Praf.g_00495
OG0000423	Prbh.g_01320	Praf.g_01003
OG0000424	Prbh.g_01718	Praf.g_02201
OG0000425	Prbh.g_00401	Praf.g_02002
OG0000426	Prbh.g_00400	Praf.g_02001
OG0000427	Prbh.g_00399	Praf.g_01999
OG0000428	Prbh.g_00397	Praf.g_01990
OG0000429	Prbh.g_00396	Praf.g_01989
OG0000430	Prbh.g_00394	Praf.g_01987
OG0000431	Prbh.g_00393	Praf.g_01986
OG0000432	Prbh.g_00392	Praf.g_01985
OG0000433	Prbh.g_00391	Praf.g_01984
OG0000434	Prbh.g_00390	Praf.g_01982
OG0000435	Prbh.g_00389	Praf.g_01981
OG0000436	Prbh.g_00388	Praf.g_01980
OG0000437	Prbh.g_00387	Praf.g_01979
OG0000438	Prbh.g_00386	Praf.g_01978
OG0000439	Prbh.g_00385	Praf.g_01977
OG0000440	Prbh.g_00384	Praf.g_01972
OG0000441	Prbh.g_00383	Praf.g_01963
OG0000442	Prbh.g_00382	Praf.g_01962
OG0000443	Prbh.g_00381	Praf.g_01961
OG0000444	Prbh.g_00380	Praf.g_01960
OG0000445	Prbh.g_00374	Praf.g_01959
OG0000446	Prbh.g_00372	Praf.g_01957
OG0000447	Prbh.g_00371	Praf.g_01956
OG0000448	Prbh.g_00370	Praf.g_01952
OG0000449	Prbh.g_00367	Praf.g_01942
OG0000450	Prbh.g_00366	Praf.g_01941
OG0000451	Prbh.g_00365	Praf.g_01938
OG0000452	Prbh.g_00363	Praf.g_01915
OG0000453	Prbh.g_00361	Praf.g_01913
OG0000454	Prbh.g_00360	Praf.g_01911
OG0000455	Prbh.g_00358	Praf.g_01909
OG0000456	Prbh.g_00354	Praf.g_00586
OG0000457	Prbh.g_00353	Praf.g_00589
OG0000458	Prbh.g_00352	Praf.g_00594
OG0000459	Prbh.g_00350	Praf.g_00596
OG0000460	Prbh.g_00348	Praf.g_00598
OG0000461	Prbh.g_00347	Praf.g_00599
OG0000462	Prbh.g_00346	Praf.g_00600
OG0000463	Prbh.g_00344	Praf.g_00603
OG0000464	Prbh.g_00343	Praf.g_00605
OG0000465	Prbh.g_00342	Praf.g_00606
OG0000466	Prbh.g_00341	Praf.g_00607
OG0000467	Prbh.g_00340	Praf.g_00608
OG0000468	Prbh.g_00339	Praf.g_00609
OG0000469	Prbh.g_00338	Praf.g_00610
OG0000470	Prbh.g_00337	Praf.g_00611
OG0000471	Prbh.g_00336	Praf.g_00612
OG0000472	Prbh.g_00329	Praf.g_00619
OG0000473	Prbh.g_00328	Praf.g_00621
OG0000474	Prbh.g_00327	Praf.g_00622
OG0000475	Prbh.g_00326	Praf.g_00623
OG0000476	Prbh.g_00325	Praf.g_00626
OG0000477	Prbh.g_00324	Praf.g_00627
OG0000478	Prbh.g_00323	Praf.g_00628
OG0000479	Prbh.g_00322	Praf.g_00629
OG0000480	Prbh.g_00320	Praf.g_00630
OG0000481	Prbh.g_00318	Praf.g_00631
OG0000482	Prbh.g_00317	Praf.g_00632
OG0000483	Prbh.g_00315	Praf.g_00634
OG0000484	Prbh.g_00314	Praf.g_00635
OG0000485	Prbh.g_00313	Praf.g_00636
OG0000486	Prbh.g_00311	Praf.g_00641
OG0000487	Prbh.g_00306	Praf.g_00646
OG0000488	Prbh.g_00305	Praf.g_00647
OG0000489	Prbh.g_00304	Praf.g_00648
OG0000490	Prbh.g_00303	Praf.g_00650
OG0000491	Prbh.g_00302	Praf.g_00651
OG0000492	Prbh.g_00301	Praf.g_00656
OG0000493	Prbh.g_00299	Praf.g_01177
OG0000494	Prbh.g_00298	Praf.g_01131
OG0000495	Prbh.g_00295	Praf.g_00661
OG0000496	Prbh.g_00294	Praf.g_00663
OG0000497	Prbh.g_00293	Praf.g_00665
OG0000498	Prbh.g_00292	Praf.g_00666
OG0000499	Prbh.g_00291	Praf.g_00670
OG0000500	Prbh.g_00290	Praf.g_00673
OG0000501	Prbh.g_00289	Praf.g_00675
OG0000502	Prbh.g_00288	Praf.g_00677
OG0000503	Prbh.g_00286	Praf.g_00683
OG0000504	Prbh.g_00285	Praf.g_00684
OG0000505	Prbh.g_00284	Praf.g_00685
OG0000506	Prbh.g_00283	Praf.g_00687
OG0000507	Prbh.g_00282	Praf.g_00688
OG0000508	Prbh.g_00281	Praf.g_00689
OG0000509	Prbh.g_00280	Praf.g_00690
OG0000510	Prbh.g_00279	Praf.g_00691
OG0000511	Prbh.g_00277	Praf.g_00693
OG0000512	Prbh.g_00276	Praf.g_00694
OG0000513	Prbh.g_00275	Praf.g_00695
OG0000514	Prbh.g_00274	Praf.g_00696
OG0000515	Prbh.g_00273	Praf.g_00697
OG0000516	Prbh.g_00272	Praf.g_00698
OG0000517	Prbh.g_00270	Praf.g_00700
OG0000518	Prbh.g_00269	Praf.g_00701
OG0000519	Prbh.g_00267	Praf.g_00703
OG0000520	Prbh.g_00265	Praf.g_00705
OG0000521	Prbh.g_00264	Praf.g_00706
OG0000522	Prbh.g_00263	Praf.g_00707
OG0000523	Prbh.g_00262	Praf.g_00708
OG0000524	Prbh.g_00261	Praf.g_00709
OG0000525	Prbh.g_00260	Praf.g_00711
OG0000526	Prbh.g_00259	Praf.g_00712
OG0000527	Prbh.g_00258	Praf.g_00713
OG0000528	Prbh.g_00257	Praf.g_00714
OG0000529	Prbh.g_00256	Praf.g_00716
OG0000530	Prbh.g_00255	Praf.g_00717
OG0000531	Prbh.g_00254	Praf.g_00718
OG0000532	Prbh.g_00253	Praf.g_00719
OG0000533	Prbh.g_00251	Praf.g_00723
OG0000534	Prbh.g_00250	Praf.g_00724
OG0000535	Prbh.g_00249	Praf.g_00725
OG0000536	Prbh.g_00248	Praf.g_00726
OG0000537	Prbh.g_00247	Praf.g_00728
OG0000538	Prbh.g_00246	Praf.g_00729
OG0000539	Prbh.g_00244	Praf.g_00733
OG0000540	Prbh.g_00243	Praf.g_00734
OG0000541	Prbh.g_00242	Praf.g_00735
OG0000542	Prbh.g_00239	Praf.g_00739
OG0000543	Prbh.g_00238	Praf.g_00740
OG0000544	Prbh.g_00237	Praf.g_00741
OG0000545	Prbh.g_00236	Praf.g_00742
OG0000546	Prbh.g_00235	Praf.g_00749
OG0000547	Prbh.g_00234	Praf.g_00750
OG0000548	Prbh.g_00233	Praf.g_00751
OG0000549	Prbh.g_00231	Praf.g_00753
OG0000550	Prbh.g_00230	Praf.g_00754
OG0000551	Prbh.g_00229	Praf.g_00755
OG0000552	Prbh.g_00228	Praf.g_00756
OG0000553	Prbh.g_00227	Praf.g_00757
OG0000554	Prbh.g_00226	Praf.g_00758
OG0000555	Prbh.g_00224	Praf.g_00761
OG0000556	Prbh.g_00223	Praf.g_00763
OG0000557	Prbh.g_00222	Praf.g_00764
