Orthogroup	Syas	Prbh
OG0000199	Syas.g_02327	Prbh.g_00612
OG0000200	Syas.g_02298	Prbh.g_00599
OG0000201	Syas.g_02279	Prbh.g_00590
OG0000202	Syas.g_02278	Prbh.g_00589
OG0000203	Syas.g_02277	Prbh.g_00588
OG0000204	Syas.g_02276	Prbh.g_00587
OG0000205	Syas.g_02267	Prbh.g_00580
OG0000206	Syas.g_02240	Prbh.g_00575
OG0000207	Syas.g_02237	Prbh.g_00573
OG0000208	Syas.g_02236	Prbh.g_00572
OG0000209	Syas.g_01837	Prbh.g_00563
OG0000210	Syas.g_01838	Prbh.g_00562
OG0000211	Syas.g_02552	Prbh.g_00547
OG0000212	Syas.g_02562	Prbh.g_00539
OG0000213	Syas.g_01707	Prbh.g_00521
OG0000214	Syas.g_01730	Prbh.g_00512
OG0000215	Syas.g_01766	Prbh.g_00485
OG0000216	Syas.g_01770	Prbh.g_00484
OG0000217	Syas.g_01778	Prbh.g_00481
OG0000218	Syas.g_01780	Prbh.g_00479
OG0000219	Syas.g_01783	Prbh.g_00478
OG0000220	Syas.g_01784	Prbh.g_00477
OG0000221	Syas.g_01785	Prbh.g_00476
OG0000222	Syas.g_01804	Prbh.g_00469
OG0000223	Syas.g_02221	Prbh.g_00456
OG0000224	Syas.g_02215	Prbh.g_00454
OG0000225	Syas.g_01522	Prbh.g_00426
OG0000226	Syas.g_01518	Prbh.g_00422
OG0000227	Syas.g_01516	Prbh.g_00420
OG0000228	Syas.g_01513	Prbh.g_00416
OG0000229	Syas.g_01497	Prbh.g_00396
OG0000230	Syas.g_01495	Prbh.g_00394
OG0000231	Syas.g_02749	Prbh.g_00383
OG0000232	Syas.g_01276	Prbh.g_00370
OG0000233	Syas.g_01352	Prbh.g_00365
OG0000234	Syas.g_01331	Prbh.g_00355
OG0000235	Syas.g_01254	Prbh.g_00352
OG0000236	Syas.g_01237	Prbh.g_00338
OG0000237	Syas.g_01220	Prbh.g_00324
OG0000238	Syas.g_01215	Prbh.g_00318
OG0000239	Syas.g_00012	Prbh.g_00305
OG0000240	Syas.g_00013	Prbh.g_00304
OG0000241	Syas.g_00754	Prbh.g_00299
OG0000242	Syas.g_00059	Prbh.g_00297
OG0000243	Syas.g_00777	Prbh.g_00287
OG0000244	Syas.g_00784	Prbh.g_00284
OG0000245	Syas.g_00786	Prbh.g_00282
OG0000246	Syas.g_00790	Prbh.g_00278
OG0000247	Syas.g_00802	Prbh.g_00267
OG0000248	Syas.g_00805	Prbh.g_00264
OG0000249	Syas.g_00807	Prbh.g_00262
OG0000250	Syas.g_00814	Prbh.g_00257
OG0000251	Syas.g_00845	Prbh.g_00239
OG0000252	Syas.g_00950	Prbh.g_00236
OG0000253	Syas.g_00846	Prbh.g_00235
OG0000254	Syas.g_00869	Prbh.g_00218
OG0000255	Syas.g_00132, Syas.g_01062	Prbh.g_00212
OG0000256	Syas.g_00104	Prbh.g_01455
OG0000257	Syas.g_00757	Prbh.g_01223
OG0000258	Syas.g_00733	Prbh.g_01210
OG0000259	Syas.g_00708	Prbh.g_01193
OG0000260	Syas.g_00705	Prbh.g_01190
OG0000261	Syas.g_00701	Prbh.g_01187
OG0000262	Syas.g_00695	Prbh.g_01182
OG0000263	Syas.g_01103	Prbh.g_00915
OG0000264	Syas.g_02588	Prbh.g_00926
OG0000266	Syas.g_00186	Prbh.g_01163
OG0000267	Syas.g_00377	Prbh.g_01150
OG0000268	Syas.g_00390	Prbh.g_01149
OG0000269	Syas.g_00601	Prbh.g_00948
OG0000270	Syas.g_00598	Prbh.g_00951
OG0000271	Syas.g_00590	Prbh.g_00959
OG0000272	Syas.g_00589	Prbh.g_00960
OG0000273	Syas.g_00563	Prbh.g_00983
OG0000274	Syas.g_00562	Prbh.g_00984
OG0000275	Syas.g_00230	Prbh.g_00987
OG0000276	Syas.g_00237	Prbh.g_00993
OG0000277	Syas.g_00238	Prbh.g_00994
OG0000278	Syas.g_00241	Prbh.g_00997
OG0000279	Syas.g_00288	Prbh.g_01005
OG0000280	Syas.g_00889, Syas.g_00481	Prbh.g_01006
OG0000281	Syas.g_00970	Prbh.g_01013
OG0000282	Syas.g_00672	Prbh.g_00880
OG0000283	Syas.g_00409	Prbh.g_01059
OG0000284	Syas.g_00416	Prbh.g_01064
OG0000285	Syas.g_00436	Prbh.g_01069
OG0000286	Syas.g_00460	Prbh.g_01085
OG0000287	Syas.g_00534	Prbh.g_01342
OG0000288	Syas.g_00220	Prbh.g_01120
OG0000289	Syas.g_00205	Prbh.g_01135
OG0000290	Syas.g_01016	Prbh.g_01034
OG0000292	Syas.g_02020	Prbh.g_01328
OG0000293	Syas.g_01197	Prbh.g_01293
OG0000294	Syas.g_01196	Prbh.g_01292
OG0000295	Syas.g_01139	Prbh.g_01268
OG0000296	Syas.g_01137	Prbh.g_01266
OG0000299	Syas.g_01087	Prbh.g_01237
OG0000300	Syas.g_01082	Prbh.g_01234
OG0000301	Syas.g_01081	Prbh.g_01233
OG0000302	Syas.g_01080	Prbh.g_01231
OG0000303	Syas.g_01071	Prbh.g_01225
OG0000304	Syas.g_01066	Prbh.g_01450
OG0000305	Syas.g_01023	Prbh.g_01326
OG0000306	Syas.g_01929	Prbh.g_01017
OG0000307	Syas.g_01270	Prbh.g_00019
OG0000308	Syas.g_01272	Prbh.g_00020
OG0000309	Syas.g_01364	Prbh.g_00024
OG0000310	Syas.g_02796	Prbh.g_00082
OG0000311	Syas.g_02799	Prbh.g_00084
OG0000312	Syas.g_02804	Prbh.g_00087
OG0000313	Syas.g_02823	Prbh.g_00103
OG0000315	Syas.g_01306	Prbh.g_00136
OG0000316	Syas.g_02728	Prbh.g_00162
OG0000317	Syas.g_02687	Prbh.g_01785
OG0000318	Syas.g_02680	Prbh.g_01781
OG0000319	Syas.g_02663	Prbh.g_01768
OG0000320	Syas.g_02661	Prbh.g_01766
OG0000321	Syas.g_02660	Prbh.g_01765
OG0000322	Syas.g_02659	Prbh.g_01764
OG0000323	Syas.g_02646	Prbh.g_01755
OG0000324	Syas.g_02578	Prbh.g_01727
OG0000325	Syas.g_01668	Prbh.g_01717
OG0000326	Syas.g_01661	Prbh.g_01710
OG0000327	Syas.g_01634	Prbh.g_01686
OG0000328	Syas.g_01633	Prbh.g_01685
OG0000329	Syas.g_01615	Prbh.g_01668
OG0000330	Syas.g_01614	Prbh.g_01667
OG0000331	Syas.g_01613	Prbh.g_01666
OG0000332	Syas.g_01598	Prbh.g_01652
OG0000333	Syas.g_01595	Prbh.g_01650
OG0000334	Syas.g_01586	Prbh.g_01641
OG0000335	Syas.g_01581	Prbh.g_01636
OG0000336	Syas.g_01577	Prbh.g_01632
OG0000337	Syas.g_02211	Prbh.g_01613
OG0000338	Syas.g_02199	Prbh.g_01612
OG0000339	Syas.g_02192	Prbh.g_01606
OG0000340	Syas.g_02183	Prbh.g_01597
OG0000341	Syas.g_02181	Prbh.g_01595
OG0000342	Syas.g_02180	Prbh.g_01594
OG0000343	Syas.g_02176	Prbh.g_01593
OG0000344	Syas.g_02172	Prbh.g_01590
OG0000345	Syas.g_02160	Prbh.g_01584
OG0000346	Syas.g_02155	Prbh.g_01580
OG0000347	Syas.g_02136	Prbh.g_01563
OG0000348	Syas.g_02107	Prbh.g_01555
OG0000349	Syas.g_02085	Prbh.g_01537
OG0000350	Syas.g_01654	Prbh.g_01516
OG0000351	Syas.g_01998	Prbh.g_01497
OG0000352	Syas.g_01999	Prbh.g_01496
OG0000353	Syas.g_02033	Prbh.g_01477
OG0000355	Syas.g_02035	Prbh.g_01475
OG0000356	Syas.g_02036	Prbh.g_01474
OG0000357	Syas.g_02037	Prbh.g_01473
OG0000358	Syas.g_02041	Prbh.g_01469
OG0000359	Syas.g_02043	Prbh.g_01468
OG0000360	Syas.g_02044	Prbh.g_01467
OG0000361	Syas.g_02045	Prbh.g_01466
OG0000362	Syas.g_02047	Prbh.g_01952
OG0000363	Syas.g_02049	Prbh.g_00766
OG0000364	Syas.g_02685	Prbh.g_00765
OG0000365	Syas.g_02058	Prbh.g_00760
OG0000366	Syas.g_02059	Prbh.g_00759
OG0000368	Syas.g_02062	Prbh.g_00756
OG0000369	Syas.g_02063	Prbh.g_00755
OG0000370	Syas.g_02064	Prbh.g_00754
OG0000371	Syas.g_02073	Prbh.g_00748
OG0000372	Syas.g_02078	Prbh.g_00746
OG0000373	Syas.g_02079	Prbh.g_00745
OG0000374	Syas.g_02080	Prbh.g_00744
OG0000375	Syas.g_02081	Prbh.g_00743
OG0000376	Syas.g_02083	Prbh.g_00741
OG0000377	Syas.g_01879	Prbh.g_00737
OG0000378	Syas.g_01867	Prbh.g_00733
OG0000379	Syas.g_01859	Prbh.g_00730
OG0000380	Syas.g_02523	Prbh.g_00717
OG0000381	Syas.g_02521	Prbh.g_00712
OG0000382	Syas.g_02503	Prbh.g_00702
OG0000383	Syas.g_02480	Prbh.g_00700
OG0000384	Syas.g_02479	Prbh.g_00699
OG0000385	Syas.g_02478	Prbh.g_00698
OG0000386	Syas.g_02477	Prbh.g_00697
OG0000387	Syas.g_00134	Prbh.g_00684
OG0000388	Syas.g_02426	Prbh.g_00680
OG0000389	Syas.g_02422	Prbh.g_00677
OG0000390	Syas.g_02406	Prbh.g_00668
OG0000391	Syas.g_02401	Prbh.g_00665
OG0000392	Syas.g_02396	Prbh.g_00661
OG0000393	Syas.g_02394	Prbh.g_00658
OG0000394	Syas.g_02393	Prbh.g_00657
OG0000395	Syas.g_02392	Prbh.g_00656
OG0000396	Syas.g_02389	Prbh.g_00654
OG0000397	Syas.g_02387	Prbh.g_00652
OG0000398	Syas.g_02382	Prbh.g_00649
OG0000399	Syas.g_02381	Prbh.g_00648
OG0000400	Syas.g_02380	Prbh.g_00647
OG0000401	Syas.g_02379	Prbh.g_00646
OG0000402	Syas.g_02377	Prbh.g_01144
OG0000403	Syas.g_02376	Prbh.g_00644
OG0000404	Syas.g_02375	Prbh.g_00643
OG0000405	Syas.g_02369	Prbh.g_00639
OG0000406	Syas.g_02365	Prbh.g_00635
OG0000407	Syas.g_02364	Prbh.g_00634
OG0000408	Syas.g_02361	Prbh.g_00632
OG0000409	Syas.g_02359	Prbh.g_00630
OG0000410	Syas.g_02358	Prbh.g_00629
OG0000411	Syas.g_02357	Prbh.g_00628
OG0000412	Syas.g_02356	Prbh.g_00627
OG0000413	Syas.g_02354	Prbh.g_00626
OG0000414	Syas.g_02353	Prbh.g_00625
OG0000415	Syas.g_02352	Prbh.g_00624
OG0000416	Syas.g_02351	Prbh.g_00623
OG0000417	Syas.g_02338	Prbh.g_00622
OG0000418	Syas.g_02333	Prbh.g_00617
OG0000419	Syas.g_02331	Prbh.g_00615
OG0000420	Syas.g_02329	Prbh.g_00614
OG0000421	Syas.g_02324	Prbh.g_00610
OG0000422	Syas.g_02323	Prbh.g_00609
OG0000423	Syas.g_02322	Prbh.g_00608
OG0000424	Syas.g_02321	Prbh.g_00607
OG0000425	Syas.g_02320	Prbh.g_00606
OG0000426	Syas.g_02319	Prbh.g_00605
OG0000427	Syas.g_02318	Prbh.g_00604
OG0000428	Syas.g_02315	Prbh.g_00602
OG0000429	Syas.g_02312	Prbh.g_00601
OG0000430	Syas.g_02311	Prbh.g_00600
OG0000431	Syas.g_02296	Prbh.g_00598
OG0000432	Syas.g_02288	Prbh.g_00594
OG0000433	Syas.g_02286	Prbh.g_00593
OG0000434	Syas.g_02285	Prbh.g_00592
OG0000435	Syas.g_02282	Prbh.g_00591
OG0000436	Syas.g_02273	Prbh.g_00586
OG0000437	Syas.g_02272	Prbh.g_00585
OG0000438	Syas.g_02271	Prbh.g_00584
OG0000439	Syas.g_02269	Prbh.g_00582
OG0000440	Syas.g_02268	Prbh.g_00581
OG0000441	Syas.g_02265	Prbh.g_00578
OG0000442	Syas.g_02259	Prbh.g_00577
OG0000443	Syas.g_02241	Prbh.g_00576
OG0000444	Syas.g_02234	Prbh.g_00571
OG0000445	Syas.g_02233	Prbh.g_00570
OG0000446	Syas.g_02231	Prbh.g_00569
OG0000447	Syas.g_02229	Prbh.g_00568
OG0000448	Syas.g_02228	Prbh.g_00567
OG0000449	Syas.g_02226	Prbh.g_00566
OG0000450	Syas.g_01834	Prbh.g_00565
OG0000451	Syas.g_01835	Prbh.g_00564
OG0000452	Syas.g_01844	Prbh.g_00561
OG0000453	Syas.g_01845	Prbh.g_00560
OG0000454	Syas.g_01846	Prbh.g_00559
OG0000455	Syas.g_01847	Prbh.g_00558
OG0000456	Syas.g_01848	Prbh.g_00557
OG0000457	Syas.g_01850	Prbh.g_00555
OG0000458	Syas.g_01851	Prbh.g_00554
OG0000459	Syas.g_01852	Prbh.g_00553
OG0000460	Syas.g_02554	Prbh.g_00545
OG0000461	Syas.g_01686	Prbh.g_00537
OG0000462	Syas.g_01688	Prbh.g_00535
OG0000463	Syas.g_01689	Prbh.g_00534
OG0000464	Syas.g_01690	Prbh.g_00533
OG0000465	Syas.g_01692	Prbh.g_00532
OG0000466	Syas.g_01697	Prbh.g_00529
OG0000467	Syas.g_01698	Prbh.g_00528
OG0000468	Syas.g_01703	Prbh.g_00525
OG0000469	Syas.g_01725	Prbh.g_00517
OG0000470	Syas.g_01727	Prbh.g_00515
OG0000471	Syas.g_01728	Prbh.g_00514
OG0000472	Syas.g_01729	Prbh.g_00513
OG0000473	Syas.g_01731	Prbh.g_00511
OG0000474	Syas.g_01732	Prbh.g_00510
OG0000475	Syas.g_01733	Prbh.g_00509
OG0000476	Syas.g_01735	Prbh.g_00507
OG0000477	Syas.g_01740	Prbh.g_00504
OG0000478	Syas.g_01741	Prbh.g_00503
OG0000479	Syas.g_01749	Prbh.g_00502
OG0000480	Syas.g_01756	Prbh.g_00497
OG0000481	Syas.g_00161, Syas.g_00162	Prbh.g_00494
OG0000482	Syas.g_01758	Prbh.g_00493
OG0000483	Syas.g_01762	Prbh.g_00490
OG0000484	Syas.g_01763	Prbh.g_00489
OG0000485	Syas.g_01764	Prbh.g_00487
OG0000486	Syas.g_01765	Prbh.g_00486
OG0000487	Syas.g_01771	Prbh.g_00483
OG0000488	Syas.g_01779	Prbh.g_00480
OG0000489	Syas.g_01823	Prbh.g_00475
OG0000490	Syas.g_01808	Prbh.g_00471
OG0000491	Syas.g_01806	Prbh.g_00470
OG0000492	Syas.g_01803	Prbh.g_00468
OG0000493	Syas.g_01802	Prbh.g_00467
OG0000494	Syas.g_01801	Prbh.g_00466
OG0000495	Syas.g_01799	Prbh.g_00465
OG0000496	Syas.g_01798	Prbh.g_00464
OG0000497	Syas.g_01797	Prbh.g_00463
OG0000498	Syas.g_01796	Prbh.g_00462
OG0000499	Syas.g_01795	Prbh.g_00461
OG0000500	Syas.g_01794	Prbh.g_00460
OG0000501	Syas.g_01791	Prbh.g_00458
OG0000502	Syas.g_02216	Prbh.g_00455
OG0000503	Syas.g_01541	Prbh.g_00439
OG0000504	Syas.g_01539	Prbh.g_00437
OG0000505	Syas.g_01538	Prbh.g_00436
OG0000506	Syas.g_01536	Prbh.g_00435
OG0000507	Syas.g_01530	Prbh.g_00431
OG0000508	Syas.g_01523	Prbh.g_00427
OG0000509	Syas.g_01521	Prbh.g_00425
OG0000510	Syas.g_01520	Prbh.g_00424
OG0000511	Syas.g_01519	Prbh.g_00423
OG0000512	Syas.g_01517	Prbh.g_00421
OG0000513	Syas.g_01508	Prbh.g_00412
OG0000514	Syas.g_01504	Prbh.g_00401
OG0000515	Syas.g_01503	Prbh.g_00400
OG0000516	Syas.g_01501	Prbh.g_00399
OG0000517	Syas.g_01498	Prbh.g_00397
OG0000518	Syas.g_00360, Syas.g_02746	Prbh.g_00386
OG0000519	Syas.g_02747	Prbh.g_00385
OG0000520	Syas.g_02748	Prbh.g_00384
OG0000521	Syas.g_01281	Prbh.g_00374
OG0000522	Syas.g_01279	Prbh.g_00372
OG0000523	Syas.g_01278	Prbh.g_00371
OG0000524	Syas.g_01354	Prbh.g_00367
OG0000525	Syas.g_01342	Prbh.g_00363
OG0000526	Syas.g_01340	Prbh.g_00361
OG0000527	Syas.g_01335	Prbh.g_00358
OG0000528	Syas.g_01256	Prbh.g_00353
OG0000529	Syas.g_01252	Prbh.g_00350
OG0000530	Syas.g_01249	Prbh.g_00347
OG0000531	Syas.g_01248	Prbh.g_00346
OG0000532	Syas.g_01245	Prbh.g_00344
OG0000533	Syas.g_01243	Prbh.g_00343
OG0000534	Syas.g_01242	Prbh.g_00342
OG0000535	Syas.g_01241	Prbh.g_00341
OG0000536	Syas.g_01240	Prbh.g_00340
OG0000537	Syas.g_01238	Prbh.g_00339
OG0000538	Syas.g_01228	Prbh.g_00329
OG0000539	Syas.g_01227	Prbh.g_00328
OG0000540	Syas.g_01226	Prbh.g_00327
OG0000541	Syas.g_01225	Prbh.g_00326
OG0000542	Syas.g_01221	Prbh.g_00325
OG0000543	Syas.g_01219	Prbh.g_00323
OG0000544	Syas.g_01218	Prbh.g_00322
OG0000545	Syas.g_01216	Prbh.g_00320
OG0000546	Syas.g_01214	Prbh.g_00317
OG0000547	Syas.g_01212	Prbh.g_00315
OG0000548	Syas.g_01211	Prbh.g_00314
OG0000549	Syas.g_00005	Prbh.g_00311
OG0000550	Syas.g_00010	Prbh.g_00306
OG0000551	Syas.g_00015	Prbh.g_00303
OG0000552	Syas.g_00016	Prbh.g_00302
OG0000553	Syas.g_00019	Prbh.g_00301
OG0000554	Syas.g_00063	Prbh.g_00295
OG0000555	Syas.g_00775	Prbh.g_00288
OG0000556	Syas.g_00781	Prbh.g_00286
OG0000557	Syas.g_00783	Prbh.g_00285
OG0000558	Syas.g_00785	Prbh.g_00283
OG0000559	Syas.g_00789	Prbh.g_00279
OG0000560	Syas.g_00792	Prbh.g_00276
OG0000561	Syas.g_00793	Prbh.g_00275
OG0000562	Syas.g_00794	Prbh.g_00274
OG0000563	Syas.g_00795	Prbh.g_00273
OG0000564	Syas.g_00796	Prbh.g_00272
OG0000565	Syas.g_00800	Prbh.g_00269
OG0000566	Syas.g_00804	Prbh.g_00265
OG0000567	Syas.g_00808	Prbh.g_00261
OG0000568	Syas.g_00810	Prbh.g_00260
OG0000569	Syas.g_00811	Prbh.g_00259
OG0000570	Syas.g_00812	Prbh.g_00258
OG0000571	Syas.g_00815	Prbh.g_00256
OG0000572	Syas.g_00839	Prbh.g_00244
OG0000573	Syas.g_00952	Prbh.g_00238
OG0000574	Syas.g_00951	Prbh.g_00237
OG0000575	Syas.g_00848	Prbh.g_00233
OG0000576	Syas.g_00850	Prbh.g_00231
OG0000577	Syas.g_00851	Prbh.g_00230
OG0000578	Syas.g_00852	Prbh.g_00229
OG0000579	Syas.g_00853	Prbh.g_00228
OG0000580	Syas.g_00854	Prbh.g_00227
OG0000581	Syas.g_00861	Prbh.g_00224
OG0000582	Syas.g_00873	Prbh.g_00221
OG0000583	Syas.g_00872	Prbh.g_00220
