Orthogroup	Syas	Praf
OG0000200	Syas.g_02298	Praf.g_02711, Praf.g_02492
OG0000201	Syas.g_02279	Praf.g_02511
OG0000202	Syas.g_02278	Praf.g_02512
OG0000203	Syas.g_02277	Praf.g_02513
OG0000204	Syas.g_02276	Praf.g_02514
OG0000205	Syas.g_02267	Praf.g_02708, Praf.g_02521
OG0000206	Syas.g_02240	Praf.g_02532
OG0000207	Syas.g_02237	Praf.g_02582
OG0000208	Syas.g_02236	Praf.g_02581
OG0000209	Syas.g_01837	Praf.g_02557
OG0000210	Syas.g_01838	Praf.g_02556
OG0000211	Syas.g_02552	Praf.g_00378
OG0000212	Syas.g_02562	Praf.g_00392
OG0000213	Syas.g_01707	Praf.g_02245
OG0000214	Syas.g_01730	Praf.g_02263
OG0000215	Syas.g_01766	Praf.g_02293
OG0000216	Syas.g_01770	Praf.g_02296
OG0000217	Syas.g_01778	Praf.g_02300
OG0000218	Syas.g_01780	Praf.g_02302
OG0000219	Syas.g_01783	Praf.g_02303
OG0000220	Syas.g_01784	Praf.g_02304
OG0000221	Syas.g_01785	Praf.g_02314
OG0000222	Syas.g_01804	Praf.g_02323
OG0000223	Syas.g_02221	Praf.g_02347
OG0000224	Syas.g_02215	Praf.g_02358
OG0000225	Syas.g_01522	Praf.g_02030
OG0000226	Syas.g_01518	Praf.g_02026
OG0000227	Syas.g_01516	Praf.g_02024
OG0000228	Syas.g_01513	Praf.g_02016
OG0000229	Syas.g_01497	Praf.g_01989
OG0000230	Syas.g_01495	Praf.g_01987
OG0000231	Syas.g_02749	Praf.g_01963
OG0000232	Syas.g_01276	Praf.g_01952
OG0000233	Syas.g_01352	Praf.g_01938
OG0000234	Syas.g_01331	Praf.g_01905
OG0000235	Syas.g_01254	Praf.g_00594
OG0000236	Syas.g_01237	Praf.g_00610
OG0000237	Syas.g_01220	Praf.g_00627
OG0000238	Syas.g_01215	Praf.g_00631
OG0000239	Syas.g_00012	Praf.g_00647
OG0000240	Syas.g_00013	Praf.g_00648
OG0000241	Syas.g_00754	Praf.g_01177
OG0000242	Syas.g_00059	Praf.g_00658
OG0000243	Syas.g_00777	Praf.g_00681
OG0000244	Syas.g_00784	Praf.g_00685
OG0000245	Syas.g_00786	Praf.g_00688
OG0000246	Syas.g_00790	Praf.g_00692
OG0000247	Syas.g_00802	Praf.g_00703
OG0000248	Syas.g_00805	Praf.g_00706
OG0000249	Syas.g_00807	Praf.g_00708
OG0000250	Syas.g_00814	Praf.g_00714
OG0000251	Syas.g_00845	Praf.g_00739
OG0000252	Syas.g_00950	Praf.g_00742
OG0000253	Syas.g_00846	Praf.g_00749
OG0000254	Syas.g_00869	Praf.g_00768
OG0000255	Syas.g_00132, Syas.g_01062	Praf.g_01662
OG0000256	Syas.g_00104	Praf.g_01676
OG0000257	Syas.g_00757	Praf.g_01685
OG0000258	Syas.g_00733	Praf.g_01708
OG0000259	Syas.g_00708, Syas.g_01006	Praf.g_01736
OG0000260	Syas.g_00705	Praf.g_01739
OG0000261	Syas.g_00701	Praf.g_01742
OG0000262	Syas.g_00695	Praf.g_01748
OG0000263	Syas.g_01103	Praf.g_02570
OG0000264	Syas.g_02588	Praf.g_01218, Praf.g_01219
OG0000266	Syas.g_00186	Praf.g_01313
OG0000267	Syas.g_00377	Praf.g_01436
OG0000268	Syas.g_00390	Praf.g_01435
OG0000269	Syas.g_00601	Praf.g_01525
OG0000270	Syas.g_00598	Praf.g_01528
OG0000271	Syas.g_00590	Praf.g_01536
OG0000272	Syas.g_00589	Praf.g_01537
OG0000273	Syas.g_00563	Praf.g_01585
OG0000274	Syas.g_00562	Praf.g_01586
OG0000275	Syas.g_00230	Praf.g_01590
OG0000276	Syas.g_00237	Praf.g_01596
OG0000277	Syas.g_00238	Praf.g_01597
OG0000278	Syas.g_00241	Praf.g_01600
OG0000279	Syas.g_00288	Praf.g_01608
OG0000280	Syas.g_00889, Syas.g_00481	Praf.g_01614
OG0000281	Syas.g_00970	Praf.g_01627
OG0000282	Syas.g_00672	Praf.g_01463
OG0000283	Syas.g_00409	Praf.g_01426
OG0000284	Syas.g_00416	Praf.g_01420
OG0000285	Syas.g_00436	Praf.g_01006
OG0000286	Syas.g_00460	Praf.g_01393
OG0000287	Syas.g_00534	Praf.g_01073
OG0000288	Syas.g_00220	Praf.g_01338
OG0000289	Syas.g_00205	Praf.g_01325
OG0000290	Syas.g_01016	Praf.g_01277
OG0000292	Syas.g_02020	Praf.g_02776
OG0000293	Syas.g_01197	Praf.g_00826
OG0000294	Syas.g_01196	Praf.g_00827
OG0000295	Syas.g_01139	Praf.g_00879
OG0000296	Syas.g_01137	Praf.g_00881
OG0000298	Syas.g_01123	Praf.g_00918
OG0000299	Syas.g_01087	Praf.g_00908
OG0000300	Syas.g_01082	Praf.g_00902
OG0000301	Syas.g_01081	Praf.g_00901
OG0000302	Syas.g_01080	Praf.g_00898
OG0000303	Syas.g_01071	Praf.g_00888
OG0000304	Syas.g_01066	Praf.g_00938
OG0000305	Syas.g_01023	Praf.g_01271
OG0000306	Syas.g_01929	Praf.g_01635
OG0000307	Syas.g_01270	Praf.g_00575
OG0000308	Syas.g_01272	Praf.g_00573
OG0000309	Syas.g_01364	Praf.g_00569
OG0000310	Syas.g_02796	Praf.g_01772
OG0000311	Syas.g_02799	Praf.g_01778, Praf.g_01776
OG0000312	Syas.g_02804	Praf.g_01782
OG0000313	Syas.g_02823	Praf.g_01802
OG0000315	Syas.g_01306	Praf.g_01848
OG0000316	Syas.g_02728	Praf.g_00526
OG0000317	Syas.g_02687	Praf.g_00485
OG0000318	Syas.g_02680	Praf.g_00479
OG0000319	Syas.g_02663	Praf.g_00464
OG0000320	Syas.g_02661	Praf.g_00462
OG0000321	Syas.g_02660	Praf.g_00461
OG0000322	Syas.g_02659	Praf.g_00460
OG0000323	Syas.g_02646, Syas.g_00159	Praf.g_00449
OG0000324	Syas.g_02578	Praf.g_00419
OG0000325	Syas.g_01668	Praf.g_02200
OG0000326	Syas.g_01661	Praf.g_02193
OG0000327	Syas.g_01634	Praf.g_02162
OG0000328	Syas.g_01633	Praf.g_02161
OG0000329	Syas.g_01615	Praf.g_02144
OG0000330	Syas.g_01614	Praf.g_02143
OG0000331	Syas.g_01613	Praf.g_02142
OG0000332	Syas.g_01598	Praf.g_02127
OG0000333	Syas.g_01595	Praf.g_02125
OG0000334	Syas.g_01586	Praf.g_02112
OG0000335	Syas.g_01581	Praf.g_02107
OG0000336	Syas.g_01577	Praf.g_02103
OG0000337	Syas.g_02211	Praf.g_02372
OG0000338	Syas.g_02199	Praf.g_02375
OG0000339	Syas.g_02192	Praf.g_02386
OG0000340	Syas.g_02183	Praf.g_02396
OG0000341	Syas.g_02181	Praf.g_02398
OG0000342	Syas.g_02180	Praf.g_02399
OG0000343	Syas.g_02176	Praf.g_00196
OG0000344	Syas.g_02172	Praf.g_00193
OG0000345	Syas.g_02160	Praf.g_00182
OG0000346	Syas.g_02155	Praf.g_00177
OG0000347	Syas.g_02136	Praf.g_00152
OG0000348	Syas.g_02107	Praf.g_00081
OG0000349	Syas.g_02085	Praf.g_00054
OG0000350	Syas.g_01654	Praf.g_02699
OG0000351	Syas.g_01998	Praf.g_02757
OG0000352	Syas.g_01999	Praf.g_02758
OG0000353	Syas.g_02033	Praf.g_02782
OG0000354	Syas.g_01209	Praf.g_00637
OG0000354	Syas.g_02052	Praf.g_00019
OG0000355	Syas.g_02035	Praf.g_00001
OG0000356	Syas.g_02036	Praf.g_00002
OG0000357	Syas.g_02037	Praf.g_00003
OG0000358	Syas.g_02041	Praf.g_00007
OG0000359	Syas.g_02043	Praf.g_00009
OG0000360	Syas.g_02044	Praf.g_00010
OG0000361	Syas.g_02045	Praf.g_00011
OG0000362	Syas.g_02047	Praf.g_00013
OG0000363	Syas.g_02049	Praf.g_00015
OG0000364	Syas.g_02685	Praf.g_00016
OG0000365	Syas.g_02058	Praf.g_00025
OG0000366	Syas.g_02059	Praf.g_00026
OG0000368	Syas.g_02062	Praf.g_00029
OG0000369	Syas.g_02063	Praf.g_00030
OG0000370	Syas.g_02064	Praf.g_00031
OG0000371	Syas.g_02073	Praf.g_00040
OG0000372	Syas.g_02078	Praf.g_00045
OG0000373	Syas.g_02079	Praf.g_00046
OG0000374	Syas.g_02080	Praf.g_00047
OG0000375	Syas.g_02081	Praf.g_00050
OG0000376	Syas.g_02083	Praf.g_00052
OG0000377	Syas.g_01879	Praf.g_02618
OG0000378	Syas.g_01867	Praf.g_02605
OG0000379	Syas.g_01859	Praf.g_02601
OG0000380	Syas.g_02523	Praf.g_00325
OG0000381	Syas.g_02521	Praf.g_00320
OG0000382	Syas.g_02503	Praf.g_00304
OG0000383	Syas.g_02480	Praf.g_00302
OG0000384	Syas.g_02479	Praf.g_00301
OG0000385	Syas.g_02478	Praf.g_00300
OG0000386	Syas.g_02477	Praf.g_00299
OG0000387	Syas.g_00134	Praf.g_00253
OG0000388	Syas.g_02426	Praf.g_00249
OG0000389	Syas.g_02422	Praf.g_00245
OG0000390	Syas.g_02406	Praf.g_00224
OG0000391	Syas.g_02401	Praf.g_00219
OG0000392	Syas.g_02396	Praf.g_00214
OG0000393	Syas.g_02394	Praf.g_00209
OG0000394	Syas.g_02393	Praf.g_00208
OG0000395	Syas.g_02392	Praf.g_00207
OG0000396	Syas.g_02389	Praf.g_02403
OG0000397	Syas.g_02387	Praf.g_02405
OG0000398	Syas.g_02382	Praf.g_02410
OG0000399	Syas.g_02381	Praf.g_02411
OG0000400	Syas.g_02380	Praf.g_02412
OG0000401	Syas.g_02379	Praf.g_02413
OG0000402	Syas.g_02377	Praf.g_02415
OG0000403	Syas.g_02376	Praf.g_02416
OG0000404	Syas.g_02375	Praf.g_02418
OG0000405	Syas.g_02369	Praf.g_02430
OG0000406	Syas.g_02365	Praf.g_02434
OG0000407	Syas.g_02364	Praf.g_02435
OG0000408	Syas.g_02361	Praf.g_02437
OG0000409	Syas.g_02359	Praf.g_02439
OG0000410	Syas.g_02358	Praf.g_02440
OG0000411	Syas.g_02357	Praf.g_02441
OG0000412	Syas.g_02356	Praf.g_02442
OG0000413	Syas.g_02354	Praf.g_02444
OG0000414	Syas.g_02353	Praf.g_02445
OG0000415	Syas.g_02352	Praf.g_02446
OG0000416	Syas.g_02351	Praf.g_02447
OG0000417	Syas.g_02338	Praf.g_02448
OG0000418	Syas.g_02333	Praf.g_02453
OG0000419	Syas.g_02331	Praf.g_02455
OG0000420	Syas.g_02329	Praf.g_02456
OG0000421	Syas.g_02324	Praf.g_02470
OG0000422	Syas.g_02323	Praf.g_02471
OG0000423	Syas.g_02322	Praf.g_02472
OG0000424	Syas.g_02321	Praf.g_02473
OG0000425	Syas.g_02320	Praf.g_02474
OG0000426	Syas.g_02319	Praf.g_02475
OG0000427	Syas.g_02318	Praf.g_02476
OG0000428	Syas.g_02315	Praf.g_01486
OG0000429	Syas.g_02312	Praf.g_02489
OG0000430	Syas.g_02311	Praf.g_02491
OG0000431	Syas.g_02296	Praf.g_02495
OG0000432	Syas.g_02288	Praf.g_02502
OG0000433	Syas.g_02286	Praf.g_02505
OG0000434	Syas.g_02285	Praf.g_02506
OG0000435	Syas.g_02282	Praf.g_02509
OG0000436	Syas.g_02273	Praf.g_02515
OG0000437	Syas.g_02272	Praf.g_02516
OG0000438	Syas.g_02271	Praf.g_02517
OG0000439	Syas.g_02269	Praf.g_02519
OG0000440	Syas.g_02268	Praf.g_02520
OG0000441	Syas.g_02265	Praf.g_02524
OG0000442	Syas.g_02259	Praf.g_02525
OG0000443	Syas.g_02241	Praf.g_02531
OG0000444	Syas.g_02234	Praf.g_02575
OG0000445	Syas.g_02233	Praf.g_02574
OG0000446	Syas.g_02231	Praf.g_02572
OG0000447	Syas.g_02229	Praf.g_02568
OG0000448	Syas.g_02228	Praf.g_02567
OG0000449	Syas.g_02226	Praf.g_02566
OG0000450	Syas.g_01834	Praf.g_02560
OG0000451	Syas.g_01835	Praf.g_02559
OG0000452	Syas.g_01844	Praf.g_02555
OG0000453	Syas.g_01845	Praf.g_02554
OG0000454	Syas.g_01846	Praf.g_02553
OG0000455	Syas.g_01847	Praf.g_02552
OG0000456	Syas.g_01848	Praf.g_02551
OG0000457	Syas.g_01850	Praf.g_02549
OG0000458	Syas.g_01851	Praf.g_02548
OG0000459	Syas.g_01852	Praf.g_02547
OG0000460	Syas.g_02554	Praf.g_00379
OG0000461	Syas.g_01686	Praf.g_02203
OG0000462	Syas.g_01688	Praf.g_02207
OG0000463	Syas.g_01689	Praf.g_02208
OG0000464	Syas.g_01690	Praf.g_02209
OG0000465	Syas.g_01692	Praf.g_02210
OG0000466	Syas.g_01697	Praf.g_02215
OG0000467	Syas.g_01698	Praf.g_02217
OG0000468	Syas.g_01703	Praf.g_02242
OG0000469	Syas.g_01725	Praf.g_02255
OG0000470	Syas.g_01727	Praf.g_02259
OG0000471	Syas.g_01728	Praf.g_02260
OG0000472	Syas.g_01729	Praf.g_02262
OG0000473	Syas.g_01731	Praf.g_02264
OG0000474	Syas.g_01732	Praf.g_02265
OG0000475	Syas.g_01733	Praf.g_02266
OG0000476	Syas.g_01735	Praf.g_02268
OG0000477	Syas.g_01740	Praf.g_02273
OG0000478	Syas.g_01741	Praf.g_02274
OG0000479	Syas.g_01749	Praf.g_02275
OG0000480	Syas.g_01756	Praf.g_02282
OG0000481	Syas.g_00161, Syas.g_00162	Praf.g_02284
OG0000482	Syas.g_01758	Praf.g_02285
OG0000483	Syas.g_01762	Praf.g_02289
OG0000484	Syas.g_01763	Praf.g_02290
OG0000485	Syas.g_01764	Praf.g_02291
OG0000486	Syas.g_01765	Praf.g_02292
OG0000487	Syas.g_01771	Praf.g_02297
OG0000488	Syas.g_01779	Praf.g_02301
OG0000489	Syas.g_01823	Praf.g_02315
OG0000490	Syas.g_01808	Praf.g_02321
OG0000491	Syas.g_01806	Praf.g_02322
OG0000492	Syas.g_01803	Praf.g_02324
OG0000493	Syas.g_01802	Praf.g_02325
OG0000494	Syas.g_01801	Praf.g_02326
OG0000495	Syas.g_01799	Praf.g_02327
OG0000496	Syas.g_01798	Praf.g_02328
OG0000497	Syas.g_01797	Praf.g_02329
OG0000498	Syas.g_01796	Praf.g_02330
OG0000499	Syas.g_01795	Praf.g_02331
OG0000500	Syas.g_01794	Praf.g_02332
OG0000501	Syas.g_01791	Praf.g_02335
OG0000502	Syas.g_02216	Praf.g_02349
OG0000503	Syas.g_01541	Praf.g_02054
OG0000504	Syas.g_01539	Praf.g_02052
OG0000505	Syas.g_01538	Praf.g_02051
OG0000506	Syas.g_01536	Praf.g_02049
OG0000507	Syas.g_01530	Praf.g_02045
OG0000508	Syas.g_01523	Praf.g_02031
OG0000509	Syas.g_01521	Praf.g_02029
OG0000510	Syas.g_01520	Praf.g_02028
OG0000511	Syas.g_01519	Praf.g_02027
OG0000512	Syas.g_01517	Praf.g_02025
OG0000513	Syas.g_01508	Praf.g_02011
OG0000514	Syas.g_01504	Praf.g_02002
OG0000515	Syas.g_01503	Praf.g_02001
OG0000516	Syas.g_01501	Praf.g_01999
OG0000517	Syas.g_01498	Praf.g_01990
OG0000518	Syas.g_00360, Syas.g_02746	Praf.g_01978
OG0000519	Syas.g_02747	Praf.g_01977
OG0000520	Syas.g_02748	Praf.g_01972
OG0000521	Syas.g_01281	Praf.g_01959
OG0000522	Syas.g_01279	Praf.g_01957
OG0000523	Syas.g_01278	Praf.g_01956
OG0000524	Syas.g_01354	Praf.g_01942
OG0000525	Syas.g_01342	Praf.g_01915
OG0000526	Syas.g_01340	Praf.g_01913
OG0000527	Syas.g_01335	Praf.g_01909
OG0000528	Syas.g_01256	Praf.g_00589
OG0000529	Syas.g_01252	Praf.g_00596
OG0000530	Syas.g_01249	Praf.g_00599
OG0000531	Syas.g_01248	Praf.g_00600
OG0000532	Syas.g_01245	Praf.g_00603
OG0000533	Syas.g_01243	Praf.g_00605
OG0000534	Syas.g_01242	Praf.g_00606
OG0000535	Syas.g_01241	Praf.g_00607
OG0000536	Syas.g_01240	Praf.g_00608
OG0000537	Syas.g_01238	Praf.g_00609
OG0000538	Syas.g_01228	Praf.g_00619
OG0000539	Syas.g_01227	Praf.g_00621
OG0000540	Syas.g_01226	Praf.g_00622
OG0000541	Syas.g_01225	Praf.g_00623
OG0000542	Syas.g_01221	Praf.g_00626
OG0000543	Syas.g_01219	Praf.g_00628
OG0000544	Syas.g_01218	Praf.g_00629
OG0000545	Syas.g_01216	Praf.g_00630
OG0000546	Syas.g_01214	Praf.g_00632
OG0000547	Syas.g_01212	Praf.g_00634
OG0000548	Syas.g_01211	Praf.g_00635
OG0000549	Syas.g_00005	Praf.g_00641
OG0000550	Syas.g_00010	Praf.g_00646
OG0000551	Syas.g_00015	Praf.g_00650
OG0000552	Syas.g_00016	Praf.g_00651
OG0000553	Syas.g_00019	Praf.g_00656
OG0000554	Syas.g_00063	Praf.g_00661
OG0000555	Syas.g_00775	Praf.g_00677
OG0000556	Syas.g_00781	Praf.g_00683
OG0000557	Syas.g_00783	Praf.g_00684
OG0000558	Syas.g_00785	Praf.g_00687
OG0000559	Syas.g_00789	Praf.g_00691
OG0000560	Syas.g_00792	Praf.g_00694
OG0000561	Syas.g_00793	Praf.g_00695
OG0000562	Syas.g_00794	Praf.g_00696
OG0000563	Syas.g_00795	Praf.g_00697
OG0000564	Syas.g_00796	Praf.g_00698
OG0000565	Syas.g_00800	Praf.g_00701
OG0000566	Syas.g_00804	Praf.g_00705
OG0000567	Syas.g_00808	Praf.g_00709
OG0000568	Syas.g_00810	Praf.g_00711
OG0000569	Syas.g_00811	Praf.g_00712
OG0000570	Syas.g_00812	Praf.g_00713
OG0000571	Syas.g_00815	Praf.g_00716
OG0000572	Syas.g_00839	Praf.g_00733
OG0000573	Syas.g_00952	Praf.g_00740
OG0000574	Syas.g_00951	Praf.g_00741
OG0000575	Syas.g_00848	Praf.g_00751
OG0000576	Syas.g_00850	Praf.g_00753
OG0000577	Syas.g_00851	Praf.g_00754
OG0000578	Syas.g_00852	Praf.g_00755
OG0000579	Syas.g_00853	Praf.g_00756
OG0000580	Syas.g_00854	Praf.g_00757
OG0000581	Syas.g_00861	Praf.g_00761
OG0000582	Syas.g_00873	Praf.g_00765
OG0000583	Syas.g_00872	Praf.g_00766
OG0000584	Syas.g_00871	Praf.g_00767
OG0000585	Syas.g_00868	Praf.g_00769
OG0000586	Syas.g_00867	Praf.g_00771
OG0000587	Syas.g_00865	Praf.g_00773
OG0000588	Syas.g_00960	Praf.g_01663
OG0000589	Syas.g_00121	Praf.g_01666
OG0000590	Syas.g_00120	Praf.g_01667
OG0000591	Syas.g_00106	Praf.g_01674
OG0000592	Syas.g_00105	Praf.g_01675
OG0000593	Syas.g_00750	Praf.g_01688
OG0000594	Syas.g_00749	Praf.g_01689
OG0000595	Syas.g_00748	Praf.g_01690
OG0000596	Syas.g_00743	Praf.g_01695
OG0000597	Syas.g_00740	Praf.g_01698
OG0000598	Syas.g_00739	Praf.g_01699
OG0000599	Syas.g_00732	Praf.g_01709
OG0000600	Syas.g_00731	Praf.g_01710
OG0000601	Syas.g_00730	Praf.g_01711
