Orthogroup	Pras	Syaa
OG0000040	Pras.g_00489	Syaa.g_01606
OG0000040	Pras.g_00036	Syaa.g_02690
OG0000041	Pras.g_00597	Syaa.g_00660, Syaa.g_00869
OG0000042	Pras.g_00750	Syaa.g_00103
OG0000045	Pras.g_01224	Syaa.g_01560
OG0000045	Pras.g_00509	Syaa.g_01518
OG0000047	Pras.g_01182, Pras.g_01263	Syaa.g_02189
OG0000048	Pras.g_01227	Syaa.g_00275, Syaa.g_02719
OG0000050	Pras.g_01969	Syaa.g_01213, Syaa.g_01712
OG0000051	Pras.g_00179	Syaa.g_01531
OG0000052	Pras.g_00285	Syaa.g_00461
OG0000053	Pras.g_00886, Pras.g_00370	Syaa.g_01797
OG0000054	Pras.g_01482	Syaa.g_01691, Syaa.g_01502
OG0000055	Pras.g_01682	Syaa.g_01564, Syaa.g_00852
OG0000057	Pras.g_01574	Syaa.g_01466, Syaa.g_00889
OG0000059	Pras.g_00637	Syaa.g_02315
OG0000061	Pras.g_00056	Syaa.g_00770
OG0000062	Pras.g_00431	Syaa.g_00571
OG0000063	Pras.g_00875	Syaa.g_00042
OG0000065	Pras.g_00958	Syaa.g_02380
OG0000066	Pras.g_01416	Syaa.g_01968
OG0000067	Pras.g_01701, Pras.g_00311	Syaa.g_01154
OG0000068	Pras.g_00250	Syaa.g_02059
OG0000069	Pras.g_00538, Pras.g_00464	Syaa.g_01497, Syaa.g_01256
OG0000070	Pras.g_01328	Syaa.g_00718
OG0000071	Pras.g_00209	Syaa.g_00735
OG0000072	Pras.g_01022	Syaa.g_02480
OG0000073	Pras.g_01377	Syaa.g_02030
OG0000074	Pras.g_01558	Syaa.g_00372
OG0000075	Pras.g_00719	Syaa.g_00157
OG0000076	Pras.g_00883, Pras.g_00743	Syaa.g_00123
OG0000077	Pras.g_00929	Syaa.g_00341
OG0000078	Pras.g_01091	Syaa.g_02103
OG0000079	Pras.g_01104	Syaa.g_00303
OG0000080	Pras.g_00279, Pras.g_00277	Syaa.g_00487
OG0000081	Pras.g_01408	Syaa.g_02089, Syaa.g_01694
OG0000082	Pras.g_01462	Syaa.g_01905
OG0000084	Pras.g_00346	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770
OG0000085	Pras.g_00543	Syaa.g_00564
OG0000086	Pras.g_00939	Syaa.g_00324
OG0000087	Pras.g_00990	Syaa.g_02433
OG0000088	Pras.g_01017	Syaa.g_02474
OG0000089	Pras.g_01209	Syaa.g_02149
OG0000090	Pras.g_01410	Syaa.g_01980
OG0000091	Pras.g_01518	Syaa.g_01625
OG0000093	Pras.g_01827	Syaa.g_01139
OG0000094	Pras.g_01915	Syaa.g_01288
OG0000095	Pras.g_01934	Syaa.g_00879
OG0000097	Pras.g_00098	Syaa.g_00979
OG0000098	Pras.g_00232	Syaa.g_01970
OG0000099	Pras.g_00294	Syaa.g_00202
OG0000100	Pras.g_00427	Syaa.g_01201
OG0000101	Pras.g_00687	Syaa.g_02249
OG0000102	Pras.g_00748	Syaa.g_00118
OG0000103	Pras.g_00829	Syaa.g_02740
OG0000104	Pras.g_00838	Syaa.g_02754
OG0000105	Pras.g_01126	Syaa.g_00270
OG0000106	Pras.g_01223	Syaa.g_01439
OG0000107	Pras.g_01239	Syaa.g_02351
OG0000108	Pras.g_01358	Syaa.g_02051
OG0000109	Pras.g_01372	Syaa.g_02036
OG0000110	Pras.g_01451	Syaa.g_01918
OG0000111	Pras.g_01575	Syaa.g_00888
OG0000112	Pras.g_01665	Syaa.g_01366
OG0000113	Pras.g_01723	Syaa.g_01196
OG0000114	Pras.g_01801	Syaa.g_01094
OG0000115	Pras.g_01994	Syaa.g_01795
OG0000116	Pras.g_00046	Syaa.g_00757
OG0000117	Pras.g_00150	Syaa.g_01009
OG0000118	Pras.g_00221, Pras.g_00222	Syaa.g_01874
OG0000119	Pras.g_00246	Syaa.g_00785
OG0000120	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330	Syaa.g_00201
OG0000121	Pras.g_00352	Syaa.g_01777
OG0000122	Pras.g_00391	Syaa.g_01598
OG0000123	Pras.g_00694	Syaa.g_02242
OG0000124	Pras.g_00759	Syaa.g_00092
OG0000125	Pras.g_00797	Syaa.g_02598
OG0000126	Pras.g_00837	Syaa.g_02752
OG0000128	Pras.g_00853	Syaa.g_00012
OG0000129	Pras.g_00897	Syaa.g_02586
OG0000130	Pras.g_00921	Syaa.g_00354
OG0000131	Pras.g_00996	Syaa.g_02448
OG0000132	Pras.g_01015	Syaa.g_02472
OG0000133	Pras.g_01174	Syaa.g_01361
OG0000134	Pras.g_01210	Syaa.g_02146
OG0000135	Pras.g_01236	Syaa.g_02649
OG0000136	Pras.g_01319	Syaa.g_00708
OG0000137	Pras.g_01353	Syaa.g_01842
OG0000138	Pras.g_01373	Syaa.g_02035
OG0000139	Pras.g_01414	Syaa.g_01974
OG0000140	Pras.g_01415	Syaa.g_01971
OG0000141	Pras.g_01483	Syaa.g_01689
OG0000142	Pras.g_01511	Syaa.g_01633
OG0000143	Pras.g_01515	Syaa.g_01629
OG0000144	Pras.g_01528	Syaa.g_01446
OG0000145	Pras.g_01664	Syaa.g_02029
OG0000146	Pras.g_01666	Syaa.g_01367
OG0000147	Pras.g_01667	Syaa.g_01368
OG0000148	Pras.g_01717	Syaa.g_01190
OG0000149	Pras.g_01747	Syaa.g_00826
OG0000150	Pras.g_01755	Syaa.g_01688
OG0000151	Pras.g_01811	Syaa.g_01107
OG0000152	Pras.g_01859	Syaa.g_01357
OG0000153	Pras.g_01878	Syaa.g_01324
OG0000154	Pras.g_01908	Syaa.g_01298
OG0000155	Pras.g_00076	Syaa.g_00804
OG0000156	Pras.g_00197	Syaa.g_00751
OG0000157	Pras.g_00198	Syaa.g_00750
OG0000158	Pras.g_00289	Syaa.g_00148
OG0000160	Pras.g_00351	Syaa.g_01776
OG0000161	Pras.g_00357	Syaa.g_01782
OG0000162	Pras.g_00363	Syaa.g_01788
OG0000163	Pras.g_00399	Syaa.g_00624
OG0000164	Pras.g_00574	Syaa.g_00507
OG0000165	Pras.g_00581	Syaa.g_00681
OG0000166	Pras.g_00651	Syaa.g_02289
OG0000167	Pras.g_00717	Syaa.g_00160
OG0000168	Pras.g_00727	Syaa.g_00145
OG0000169	Pras.g_00737	Syaa.g_00134
OG0000170	Pras.g_00739	Syaa.g_00128
OG0000171	Pras.g_00758	Syaa.g_00093
OG0000172	Pras.g_00768	Syaa.g_00079
OG0000173	Pras.g_00783	Syaa.g_00060
OG0000174	Pras.g_00811, Pras.g_00810	Syaa.g_02651
OG0000175	Pras.g_00821	Syaa.g_02726
OG0000176	Pras.g_00846	Syaa.g_00004
OG0000177	Pras.g_00847	Syaa.g_00005
OG0000178	Pras.g_00848	Syaa.g_00006
OG0000179	Pras.g_00858	Syaa.g_00023
OG0000180	Pras.g_00859	Syaa.g_00024
OG0000181	Pras.g_00860	Syaa.g_00025
OG0000182	Pras.g_00861	Syaa.g_00026
OG0000183	Pras.g_00865	Syaa.g_00030
OG0000184	Pras.g_00899	Syaa.g_02578
OG0000185	Pras.g_00902	Syaa.g_02575
OG0000186	Pras.g_00916	Syaa.g_00359
OG0000187	Pras.g_00917	Syaa.g_00358
OG0000188	Pras.g_00933	Syaa.g_00334
OG0000189	Pras.g_00947	Syaa.g_02367
OG0000190	Pras.g_00948	Syaa.g_02369
OG0000191	Pras.g_00968	Syaa.g_02404
OG0000192	Pras.g_00972	Syaa.g_02410
OG0000193	Pras.g_00997	Syaa.g_02449
OG0000194	Pras.g_01000	Syaa.g_02452
OG0000195	Pras.g_01002	Syaa.g_02459
OG0000196	Pras.g_01012	Syaa.g_02469
OG0000197	Pras.g_01013	Syaa.g_02470
OG0000198	Pras.g_01014	Syaa.g_02471
OG0000199	Pras.g_01021	Syaa.g_02479
OG0000200	Pras.g_01035	Syaa.g_02496
OG0000201	Pras.g_01043	Syaa.g_02521
OG0000202	Pras.g_01044	Syaa.g_02522
OG0000203	Pras.g_01045	Syaa.g_02523
OG0000204	Pras.g_01046	Syaa.g_02524
OG0000205	Pras.g_01053	Syaa.g_02531
OG0000206	Pras.g_01058, Pras.g_01059	Syaa.g_02538
OG0000207	Pras.g_01061	Syaa.g_02540
OG0000208	Pras.g_01062	Syaa.g_02541
OG0000209	Pras.g_01071	Syaa.g_02556
OG0000210	Pras.g_01072	Syaa.g_02557
OG0000211	Pras.g_01085	Syaa.g_02113
OG0000212	Pras.g_01092	Syaa.g_02102
OG0000213	Pras.g_01109	Syaa.g_00295
OG0000214	Pras.g_01119	Syaa.g_00279
OG0000215	Pras.g_01144	Syaa.g_00248
OG0000216	Pras.g_01145	Syaa.g_00244
OG0000217	Pras.g_01148	Syaa.g_00240
OG0000218	Pras.g_01150	Syaa.g_00238
OG0000219	Pras.g_01151	Syaa.g_00237
OG0000220	Pras.g_01152	Syaa.g_00236
OG0000221	Pras.g_01153	Syaa.g_00229
OG0000222	Pras.g_01162	Syaa.g_00215
OG0000223	Pras.g_01175	Syaa.g_00192
OG0000224	Pras.g_01177	Syaa.g_00183
OG0000225	Pras.g_01199	Syaa.g_02166
OG0000226	Pras.g_01203	Syaa.g_02162
OG0000227	Pras.g_01205	Syaa.g_02160
OG0000228	Pras.g_01208	Syaa.g_02150
OG0000229	Pras.g_01314	Syaa.g_00703
OG0000230	Pras.g_01316	Syaa.g_00705
OG0000231	Pras.g_01327	Syaa.g_00717
OG0000232	Pras.g_01335	Syaa.g_01858
OG0000233	Pras.g_01341	Syaa.g_01853
OG0000234	Pras.g_01354	Syaa.g_01841
OG0000235	Pras.g_01357	Syaa.g_02052
OG0000236	Pras.g_01371	Syaa.g_02037
OG0000237	Pras.g_01384	Syaa.g_02020
OG0000238	Pras.g_01390	Syaa.g_02015
OG0000239	Pras.g_01402	Syaa.g_01996
OG0000240	Pras.g_01403	Syaa.g_01995
OG0000241	Pras.g_01407	Syaa.g_01644
OG0000242	Pras.g_01409	Syaa.g_01982
OG0000243	Pras.g_01420	Syaa.g_01960
OG0000244	Pras.g_01423	Syaa.g_01954
OG0000245	Pras.g_01425	Syaa.g_01952
OG0000246	Pras.g_01429	Syaa.g_01948
OG0000247	Pras.g_01439	Syaa.g_01937
OG0000248	Pras.g_01441	Syaa.g_01934
OG0000249	Pras.g_01443	Syaa.g_01932
OG0000250	Pras.g_01448	Syaa.g_01922
OG0000251	Pras.g_01467	Syaa.g_01897
OG0000252	Pras.g_01470	Syaa.g_01894
OG0000253	Pras.g_01471	Syaa.g_01893
OG0000254	Pras.g_01487	Syaa.g_01684
OG0000255	Pras.g_01493	Syaa.g_01668
OG0000256	Pras.g_01503	Syaa.g_01651
OG0000257	Pras.g_01506	Syaa.g_01645
OG0000258	Pras.g_01519	Syaa.g_01624
OG0000259	Pras.g_01536	Syaa.g_01063
OG0000260	Pras.g_01539	Syaa.g_01066
OG0000261	Pras.g_01541	Syaa.g_01069
OG0000262	Pras.g_00327, Pras.g_01545	Syaa.g_01074
OG0000263	Pras.g_01557	Syaa.g_00989
OG0000264	Pras.g_01567	Syaa.g_00910
OG0000265	Pras.g_01606	Syaa.g_00931, Syaa.g_01498
OG0000266	Pras.g_01616	Syaa.g_01257, Syaa.g_01258
OG0000267	Pras.g_01627	Syaa.g_01409
OG0000268	Pras.g_01628	Syaa.g_01408
OG0000269	Pras.g_01696	Syaa.g_01149
OG0000270	Pras.g_01699	Syaa.g_01152
OG0000271	Pras.g_01707	Syaa.g_01160
OG0000272	Pras.g_01708	Syaa.g_01161
OG0000273	Pras.g_01731	Syaa.g_00844
OG0000274	Pras.g_01732	Syaa.g_00843
OG0000275	Pras.g_01734	Syaa.g_00840
OG0000276	Pras.g_01739	Syaa.g_00834
OG0000277	Pras.g_01740	Syaa.g_00833
OG0000278	Pras.g_01743	Syaa.g_00830
OG0000279	Pras.g_01750	Syaa.g_00822
OG0000280	Pras.g_01751	Syaa.g_00815
OG0000282	Pras.g_01803	Syaa.g_01096
OG0000283	Pras.g_01836	Syaa.g_01396
OG0000284	Pras.g_01841	Syaa.g_01390
OG0000285	Pras.g_01846	Syaa.g_01377
OG0000286	Pras.g_01858	Syaa.g_01358
OG0000287	Pras.g_01875	Syaa.g_01330
OG0000288	Pras.g_01907	Syaa.g_01299
OG0000289	Pras.g_01918	Syaa.g_01285
OG0000290	Pras.g_01931	Syaa.g_00875
OG0000291	Pras.g_01933	Syaa.g_00877
OG0000292	Pras.g_01982	Syaa.g_02751
OG0000293	Pras.g_00047	Syaa.g_00758
OG0000294	Pras.g_00048	Syaa.g_00759
OG0000295	Pras.g_00068	Syaa.g_00796
OG0000296	Pras.g_00070	Syaa.g_00798
OG0000297	Pras.g_00078	Syaa.g_01021
OG0000298	Pras.g_00079	Syaa.g_01010
OG0000299	Pras.g_00096, Pras.g_00097	Syaa.g_00982
OG0000300	Pras.g_00100	Syaa.g_00976
OG0000301	Pras.g_00101	Syaa.g_00975
OG0000302	Pras.g_00103	Syaa.g_00972
OG0000303	Pras.g_00110	Syaa.g_00963
OG0000304	Pras.g_00114	Syaa.g_00957
OG0000305	Pras.g_00242	Syaa.g_00881
OG0000306	Pras.g_00245	Syaa.g_00807
OG0000307	Pras.g_00259	Syaa.g_02068
OG0000308	Pras.g_00260	Syaa.g_02070
OG0000309	Pras.g_00264	Syaa.g_02075
OG0000310	Pras.g_00335	Syaa.g_01752
OG0000311	Pras.g_00337	Syaa.g_01757
OG0000312	Pras.g_00340	Syaa.g_01762
OG0000313	Pras.g_00354	Syaa.g_01779
OG0000314	Pras.g_00377	Syaa.g_01806
OG0000315	Pras.g_00388	Syaa.g_01816
OG0000316	Pras.g_00410	Syaa.g_00598
OG0000317	Pras.g_00548	Syaa.g_00556
OG0000318	Pras.g_00551	Syaa.g_00550
OG0000319	Pras.g_00564	Syaa.g_00532
OG0000320	Pras.g_00566	Syaa.g_00530
OG0000321	Pras.g_00567	Syaa.g_00529
OG0000322	Pras.g_00568	Syaa.g_00528
OG0000323	Pras.g_00577	Syaa.g_00496
OG0000324	Pras.g_00604	Syaa.g_00653
OG0000325	Pras.g_00614	Syaa.g_02350
OG0000326	Pras.g_00620	Syaa.g_02343
OG0000327	Pras.g_00646	Syaa.g_02294
OG0000328	Pras.g_00647	Syaa.g_02293
OG0000329	Pras.g_00664	Syaa.g_02275
OG0000330	Pras.g_00665	Syaa.g_02274
OG0000331	Pras.g_00666	Syaa.g_02273
OG0000332	Pras.g_00680	Syaa.g_02258
OG0000333	Pras.g_00682	Syaa.g_02255
OG0000334	Pras.g_00690	Syaa.g_02246
OG0000335	Pras.g_00695	Syaa.g_02241
OG0000336	Pras.g_00699	Syaa.g_02237
OG0000337	Pras.g_00715	Syaa.g_00167
OG0000338	Pras.g_00716	Syaa.g_00162
OG0000339	Pras.g_00720	Syaa.g_00156
OG0000340	Pras.g_00728	Syaa.g_00144
OG0000341	Pras.g_00730	Syaa.g_00142
OG0000342	Pras.g_00731	Syaa.g_00141
OG0000343	Pras.g_00732	Syaa.g_00140
OG0000344	Pras.g_00735	Syaa.g_00136
OG0000345	Pras.g_00740	Syaa.g_00127
OG0000346	Pras.g_00744	Syaa.g_00122
OG0000347	Pras.g_00761	Syaa.g_00088
OG0000348	Pras.g_00771	Syaa.g_00071
OG0000349	Pras.g_00788	Syaa.g_00053
OG0000350	Pras.g_00806, Pras.g_00131	Syaa.g_02336
OG0000351	Pras.g_00824	Syaa.g_02730
OG0000352	Pras.g_00825	Syaa.g_02731
OG0000353	Pras.g_00841	Syaa.g_02757
OG0000355	Pras.g_00843	Syaa.g_00001
OG0000356	Pras.g_00844	Syaa.g_00002
OG0000357	Pras.g_00845	Syaa.g_00003
OG0000358	Pras.g_00849	Syaa.g_00007
OG0000359	Pras.g_00850	Syaa.g_00009
OG0000360	Pras.g_00851	Syaa.g_00010
OG0000361	Pras.g_00852	Syaa.g_00011
OG0000362	Pras.g_00854	Syaa.g_00013
OG0000363	Pras.g_00856	Syaa.g_00015
OG0000364	Pras.g_00857	Syaa.g_00016
OG0000365	Pras.g_00862	Syaa.g_00027
OG0000366	Pras.g_00863	Syaa.g_00028
OG0000367	Pras.g_00864	Syaa.g_00029
OG0000368	Pras.g_00866	Syaa.g_00031
OG0000369	Pras.g_00867	Syaa.g_00032
OG0000370	Pras.g_00868	Syaa.g_00033
OG0000371	Pras.g_00874	Syaa.g_00041
OG0000372	Pras.g_00877	Syaa.g_00046
OG0000373	Pras.g_00878	Syaa.g_00047
OG0000374	Pras.g_00879	Syaa.g_00048
OG0000375	Pras.g_00893	Syaa.g_00049
OG0000376	Pras.g_00895	Syaa.g_00051
OG0000377	Pras.g_00898	Syaa.g_02585
OG0000378	Pras.g_00900	Syaa.g_02577
OG0000379	Pras.g_00903	Syaa.g_02574
OG0000380	Pras.g_00918	Syaa.g_00357
OG0000381	Pras.g_00922	Syaa.g_00353
OG0000382	Pras.g_00932	Syaa.g_00335
OG0000383	Pras.g_00934	Syaa.g_00333
OG0000384	Pras.g_00935	Syaa.g_00332
OG0000385	Pras.g_00936	Syaa.g_00331
OG0000386	Pras.g_00937	Syaa.g_00330
OG0000387	Pras.g_00950	Syaa.g_02371
OG0000388	Pras.g_00953	Syaa.g_02375
OG0000389	Pras.g_00957	Syaa.g_02379
OG0000390	Pras.g_00964	Syaa.g_02398
OG0000391	Pras.g_00967	Syaa.g_02403
OG0000392	Pras.g_00971	Syaa.g_02409
OG0000393	Pras.g_00973	Syaa.g_02412
OG0000394	Pras.g_00974	Syaa.g_02413
OG0000395	Pras.g_00975	Syaa.g_02414
OG0000396	Pras.g_00978	Syaa.g_02417
OG0000397	Pras.g_00980	Syaa.g_02419
OG0000398	Pras.g_00982	Syaa.g_02424
OG0000399	Pras.g_00983	Syaa.g_02425
OG0000400	Pras.g_00984	Syaa.g_02426
OG0000401	Pras.g_00985	Syaa.g_02427
OG0000402	Pras.g_00987	Syaa.g_02429
OG0000403	Pras.g_00988	Syaa.g_02430
OG0000404	Pras.g_00989	Syaa.g_02431
OG0000405	Pras.g_00993	Syaa.g_02446
OG0000406	Pras.g_00998	Syaa.g_02450
OG0000407	Pras.g_00999	Syaa.g_02451
OG0000408	Pras.g_01001	Syaa.g_02458
OG0000409	Pras.g_01003	Syaa.g_02460
OG0000410	Pras.g_01004	Syaa.g_02461
OG0000411	Pras.g_01005	Syaa.g_02462
OG0000412	Pras.g_01006	Syaa.g_02463
OG0000413	Pras.g_01007	Syaa.g_02465
OG0000415	Pras.g_01009	Syaa.g_02466
OG0000416	Pras.g_01010	Syaa.g_02467
OG0000417	Pras.g_01011	Syaa.g_02468
OG0000418	Pras.g_01016	Syaa.g_02473
OG0000419	Pras.g_01018	Syaa.g_02475
OG0000420	Pras.g_01019	Syaa.g_02477
OG0000421	Pras.g_01024	Syaa.g_02482
OG0000422	Pras.g_01025	Syaa.g_02483
OG0000423	Pras.g_01026	Syaa.g_02484
OG0000424	Pras.g_01027	Syaa.g_02485
OG0000425	Pras.g_01028	Syaa.g_02486
OG0000426	Pras.g_01029	Syaa.g_02487
OG0000427	Pras.g_01030	Syaa.g_02488
OG0000428	Pras.g_01032	Syaa.g_02491
OG0000429	Pras.g_01033	Syaa.g_02493
OG0000430	Pras.g_01034	Syaa.g_02495
OG0000431	Pras.g_01036	Syaa.g_02498
OG0000432	Pras.g_01039	Syaa.g_02504
OG0000433	Pras.g_01040	Syaa.g_02513
OG0000434	Pras.g_01041	Syaa.g_02514
OG0000435	Pras.g_01042	Syaa.g_02516
OG0000436	Pras.g_01047	Syaa.g_02525
OG0000437	Pras.g_01048	Syaa.g_02526
OG0000438	Pras.g_01049	Syaa.g_02527
OG0000439	Pras.g_01051	Syaa.g_02529
OG0000440	Pras.g_01052	Syaa.g_02530
OG0000441	Pras.g_01055	Syaa.g_02534
OG0000442	Pras.g_01056	Syaa.g_02535
OG0000443	Pras.g_01057	Syaa.g_02536
OG0000444	Pras.g_01063	Syaa.g_02542
OG0000445	Pras.g_01064	Syaa.g_02543
OG0000446	Pras.g_01065	Syaa.g_02545
OG0000447	Pras.g_01066	Syaa.g_02548
OG0000448	Pras.g_01067	Syaa.g_02549
OG0000449	Pras.g_01068	Syaa.g_02550
OG0000450	Pras.g_01069	Syaa.g_02553
OG0000451	Pras.g_01070	Syaa.g_02554
OG0000452	Pras.g_01073	Syaa.g_02558
OG0000453	Pras.g_01074	Syaa.g_02559
OG0000454	Pras.g_01075	Syaa.g_02560
OG0000455	Pras.g_01076	Syaa.g_02561
OG0000456	Pras.g_01077	Syaa.g_02562
OG0000457	Pras.g_01078	Syaa.g_02564
OG0000458	Pras.g_01079	Syaa.g_02565
OG0000459	Pras.g_01080	Syaa.g_02566
OG0000460	Pras.g_01087	Syaa.g_02111
OG0000461	Pras.g_01094	Syaa.g_00318
OG0000462	Pras.g_01096	Syaa.g_00315
OG0000463	Pras.g_01097	Syaa.g_00314
OG0000464	Pras.g_01098	Syaa.g_00313
OG0000465	Pras.g_01099	Syaa.g_00311
OG0000466	Pras.g_01102	Syaa.g_00306
OG0000467	Pras.g_01103	Syaa.g_00304
OG0000468	Pras.g_01105	Syaa.g_00299
OG0000469	Pras.g_01114	Syaa.g_00285
OG0000470	Pras.g_01116	Syaa.g_00283
OG0000471	Pras.g_01117	Syaa.g_00282
OG0000472	Pras.g_01118	Syaa.g_00280
OG0000473	Pras.g_01120	Syaa.g_00278
OG0000474	Pras.g_01121	Syaa.g_00277
OG0000475	Pras.g_01122	Syaa.g_00276
OG0000476	Pras.g_01123	Syaa.g_00274
OG0000477	Pras.g_01127	Syaa.g_00268
OG0000478	Pras.g_01128	Syaa.g_00267
OG0000479	Pras.g_01129	Syaa.g_00266
OG0000480	Pras.g_01134	Syaa.g_00259
OG0000481	Pras.g_01136	Syaa.g_00257
OG0000482	Pras.g_01137	Syaa.g_00256
OG0000483	Pras.g_01140	Syaa.g_00252
OG0000484	Pras.g_01141	Syaa.g_00251
OG0000485	Pras.g_01142	Syaa.g_00250
OG0000486	Pras.g_01143	Syaa.g_00249
OG0000487	Pras.g_01146	Syaa.g_00243
OG0000488	Pras.g_01149	Syaa.g_00239
OG0000489	Pras.g_01155	Syaa.g_00228
OG0000490	Pras.g_01160	Syaa.g_00220
OG0000491	Pras.g_01161	Syaa.g_00218
OG0000492	Pras.g_01163	Syaa.g_00214
OG0000493	Pras.g_01164	Syaa.g_00213
OG0000494	Pras.g_01165	Syaa.g_00212
OG0000495	Pras.g_01166	Syaa.g_00211
OG0000496	Pras.g_01167	Syaa.g_00210
OG0000497	Pras.g_01168	Syaa.g_00209
OG0000498	Pras.g_01169	Syaa.g_00208
OG0000499	Pras.g_01170	Syaa.g_00207
OG0000500	Pras.g_01171	Syaa.g_00206
OG0000501	Pras.g_01173	Syaa.g_00203
OG0000502	Pras.g_01176	Syaa.g_00190
OG0000503	Pras.g_01187	Syaa.g_02182
OG0000504	Pras.g_01188	Syaa.g_02180
OG0000505	Pras.g_01189	Syaa.g_02179
OG0000506	Pras.g_01191	Syaa.g_02177
OG0000507	Pras.g_01194	Syaa.g_02171
OG0000508	Pras.g_01198	Syaa.g_02167
OG0000509	Pras.g_01200	Syaa.g_02165
OG0000510	Pras.g_01201	Syaa.g_02164
OG0000511	Pras.g_01202	Syaa.g_02163
OG0000512	Pras.g_01204	Syaa.g_02161
OG0000513	Pras.g_01211	Syaa.g_02145
OG0000514	Pras.g_01309	Syaa.g_02118
OG0000515	Pras.g_01310	Syaa.g_02117
OG0000516	Pras.g_01311	Syaa.g_00698
OG0000517	Pras.g_01313	Syaa.g_00702
OG0000518	Pras.g_01324	Syaa.g_00714
OG0000519	Pras.g_01325	Syaa.g_00715
OG0000520	Pras.g_01326	Syaa.g_00716
OG0000521	Pras.g_01331	Syaa.g_01864
OG0000522	Pras.g_01332	Syaa.g_01862
OG0000523	Pras.g_01333	Syaa.g_01859
OG0000524	Pras.g_01339	Syaa.g_01856
OG0000525	Pras.g_01342	Syaa.g_01851
OG0000526	Pras.g_01343	Syaa.g_01848
OG0000527	Pras.g_01351	Syaa.g_01844
OG0000528	Pras.g_01356	Syaa.g_02054
OG0000529	Pras.g_01359	Syaa.g_02050
OG0000530	Pras.g_01362	Syaa.g_02047
OG0000531	Pras.g_01363	Syaa.g_02046
OG0000532	Pras.g_01365	Syaa.g_02043
OG0000533	Pras.g_01366	Syaa.g_02042
OG0000534	Pras.g_01367	Syaa.g_02041
OG0000535	Pras.g_01368	Syaa.g_02040
OG0000536	Pras.g_01369	Syaa.g_02039
OG0000537	Pras.g_01370	Syaa.g_02038
OG0000538	Pras.g_01378	Syaa.g_02027
OG0000539	Pras.g_01379	Syaa.g_02026
OG0000540	Pras.g_01380	Syaa.g_02025
OG0000541	Pras.g_01381	Syaa.g_02024
OG0000542	Pras.g_01383	Syaa.g_02021
OG0000543	Pras.g_01385	Syaa.g_02019
OG0000544	Pras.g_01386	Syaa.g_02018
OG0000545	Pras.g_01388	Syaa.g_02016
OG0000546	Pras.g_01391	Syaa.g_02014
OG0000547	Pras.g_01393	Syaa.g_02012
OG0000548	Pras.g_01394	Syaa.g_02011
OG0000549	Pras.g_01396	Syaa.g_02003
OG0000550	Pras.g_01401	Syaa.g_01998
OG0000551	Pras.g_01404	Syaa.g_01993
OG0000552	Pras.g_01405	Syaa.g_01992
OG0000553	Pras.g_01406	Syaa.g_01990
OG0000554	Pras.g_01411	Syaa.g_01979
