Orthogroup	Pram	Syad
OG0000145	Pram.g_01534	Syad.g_00927
OG0000146	Pram.g_00934	Syad.g_01767
OG0000147	Pram.g_00933	Syad.g_01768
OG0000148	Pram.g_00826	Syad.g_01861
OG0000149	Pram.g_00858	Syad.g_01221
OG0000150	Pram.g_00868	Syad.g_02207, Syad.g_00989
OG0000151	Pram.g_00744	Syad.g_01956
OG0000152	Pram.g_00943	Syad.g_01757
OG0000153	Pram.g_00961	Syad.g_01713
OG0000154	Pram.g_00978	Syad.g_01686
OG0000155	Pram.g_01118	Syad.g_01189
OG0000156	Pram.g_01219	Syad.g_01116
OG0000157	Pram.g_01220	Syad.g_01115
OG0000158	Pram.g_01815	Syad.g_00374
OG0000160	Pram.g_01377	Syad.g_02279
OG0000161	Pram.g_01145, Pram.g_01371	Syad.g_02287
OG0000162	Pram.g_01365	Syad.g_02293
OG0000163	Pram.g_01326	Syad.g_02542
OG0000164	Pram.g_01656	Syad.g_02659
OG0000165	Pram.g_01664	Syad.g_02476
OG0000166	Pram.g_01733	Syad.g_00654
OG0000167	Pram.g_01805	Syad.g_00419
OG0000168	Pram.g_01816	Syad.g_00371
OG0000169	Pram.g_01826	Syad.g_00360
OG0000170	Pram.g_01829	Syad.g_00353
OG0000171	Pram.g_01849	Syad.g_00321
OG0000172	Pram.g_01856	Syad.g_00244
OG0000173	Pram.g_01871	Syad.g_00220
OG0000174	Pram.g_01902	Syad.g_00065
OG0000175	Pram.g_01914	Syad.g_00129
OG0000176	Pram.g_01942	Syad.g_00166
OG0000177	Pram.g_01943	Syad.g_00167
OG0000178	Pram.g_01944	Syad.g_00168
OG0000179	Pram.g_00003	Syad.g_00183
OG0000180	Pram.g_00004	Syad.g_00184
OG0000181	Pram.g_00005	Syad.g_00185
OG0000182	Pram.g_00006	Syad.g_00186
OG0000183	Pram.g_00010	Syad.g_00190
OG0000184	Pram.g_00033	Syad.g_03018
OG0000185	Pram.g_00036	Syad.g_03006
OG0000186	Pram.g_00048	Syad.g_02722
OG0000187	Pram.g_00049	Syad.g_02724
OG0000188	Pram.g_00066	Syad.g_02759
OG0000189	Pram.g_00080	Syad.g_02788
OG0000190	Pram.g_00081	Syad.g_02790
OG0000191	Pram.g_00103	Syad.g_02824
OG0000192	Pram.g_00108	Syad.g_02834
OG0000193	Pram.g_00131	Syad.g_02877
OG0000194	Pram.g_00134	Syad.g_02880
OG0000195	Pram.g_00136	Syad.g_02884
OG0000196	Pram.g_00146	Syad.g_02894
OG0000197	Pram.g_00147	Syad.g_02895
OG0000198	Pram.g_00148	Syad.g_02896
OG0000199	Pram.g_00155	Syad.g_02904
OG0000200	Pram.g_00168	Syad.g_02921
OG0000201	Pram.g_00177	Syad.g_02937
OG0000202	Pram.g_00178	Syad.g_02938
OG0000203	Pram.g_00179	Syad.g_02939
OG0000204	Pram.g_00180	Syad.g_02940
OG0000205	Pram.g_00187	Syad.g_02948
OG0000206	Pram.g_00192	Syad.g_02955
OG0000207	Pram.g_00194	Syad.g_02957
OG0000208	Pram.g_00195	Syad.g_02958
OG0000209	Pram.g_00204	Syad.g_02981
OG0000210	Pram.g_00205	Syad.g_02982
OG0000211	Pram.g_00220	Syad.g_00813
OG0000212	Pram.g_00228	Syad.g_00825
OG0000213	Pram.g_00246	Syad.g_00556
OG0000214	Pram.g_00255	Syad.g_00538
OG0000215	Pram.g_00282	Syad.g_00508
OG0000216	Pram.g_00283	Syad.g_00504, Syad.g_00285
OG0000217	Pram.g_00286	Syad.g_00500
OG0000218	Pram.g_00288	Syad.g_00498
OG0000219	Pram.g_00289	Syad.g_00497
OG0000220	Pram.g_00290	Syad.g_00496
OG0000221	Pram.g_00291	Syad.g_00488
OG0000222	Pram.g_00298	Syad.g_00473
OG0000223	Pram.g_00311	Syad.g_00451
OG0000224	Pram.g_00313	Syad.g_00444
OG0000225	Pram.g_00341	Syad.g_00777
OG0000226	Pram.g_00345	Syad.g_00781
OG0000227	Pram.g_00347	Syad.g_00783
OG0000228	Pram.g_00351	Syad.g_00784
OG0000229	Pram.g_00371	Syad.g_02450
OG0000230	Pram.g_00373	Syad.g_02448
OG0000231	Pram.g_00384	Syad.g_02436
OG0000232	Pram.g_00397	Syad.g_02392
OG0000233	Pram.g_00402	Syad.g_02382
OG0000234	Pram.g_00412	Syad.g_02351
OG0000235	Pram.g_00415	Syad.g_00903
OG0000236	Pram.g_00429	Syad.g_00918
OG0000237	Pram.g_00443	Syad.g_00936
OG0000238	Pram.g_00449	Syad.g_00941
OG0000239	Pram.g_00462	Syad.g_00957
OG0000240	Pram.g_00463	Syad.g_00958
OG0000241	Pram.g_00468	Syad.g_02160
OG0000242	Pram.g_00470	Syad.g_00975
OG0000243	Pram.g_00480	Syad.g_01000
OG0000244	Pram.g_00483	Syad.g_01012
OG0000245	Pram.g_00485	Syad.g_01014
OG0000246	Pram.g_00489	Syad.g_01017
OG0000247	Pram.g_00500	Syad.g_01029
OG0000248	Pram.g_00503	Syad.g_01032
OG0000249	Pram.g_00505	Syad.g_01034
OG0000250	Pram.g_00510	Syad.g_01044
OG0000251	Pram.g_00528	Syad.g_01071
OG0000252	Pram.g_00531	Syad.g_01078
OG0000253	Pram.g_00532	Syad.g_01081
OG0000254	Pram.g_00549	Syad.g_02203
OG0000255	Pram.g_00555	Syad.g_02185
OG0000256	Pram.g_00566	Syad.g_02167
OG0000257	Pram.g_01080	Syad.g_02161
OG0000258	Pram.g_01067	Syad.g_02143
OG0000259	Pram.g_01050	Syad.g_01576
OG0000260	Pram.g_01047	Syad.g_01587
OG0000261	Pram.g_01044	Syad.g_01590
OG0000262	Pram.g_01039	Syad.g_01595
OG0000263	Pram.g_00771	Syad.g_01475
OG0000264	Pram.g_00782	Syad.g_01360
OG0000265	Pram.g_00801	Syad.g_01383
OG0000266	Pram.g_01020	Syad.g_01804
OG0000267	Pram.g_01007	Syad.g_01645
OG0000268	Pram.g_01006	Syad.g_01646
OG0000269	Pram.g_00804	Syad.g_01894
OG0000270	Pram.g_00807	Syad.g_01891
OG0000271	Pram.g_00815	Syad.g_01883
OG0000272	Pram.g_00816	Syad.g_01882
OG0000273	Pram.g_00839	Syad.g_01247
OG0000274	Pram.g_00840	Syad.g_01246
OG0000275	Pram.g_00843	Syad.g_01242
OG0000276	Pram.g_00849	Syad.g_01229
OG0000277	Pram.g_00850	Syad.g_01228
OG0000278	Pram.g_00853	Syad.g_01225
OG0000279	Pram.g_00861	Syad.g_01208
OG0000280	Pram.g_00862	Syad.g_01198
OG0000281	Pram.g_00870	Syad.g_00624
OG0000282	Pram.g_00736	Syad.g_01619
OG0000283	Pram.g_00916	Syad.g_01661
OG0000284	Pram.g_00921	Syad.g_01787
OG0000285	Pram.g_00926	Syad.g_01776
OG0000286	Pram.g_00942	Syad.g_01758
OG0000287	Pram.g_01199	Syad.g_01720
OG0000288	Pram.g_00977	Syad.g_01687
OG0000289	Pram.g_00992	Syad.g_01672
OG0000290	Pram.g_00891	Syad.g_01287
OG0000291	Pram.g_00889	Syad.g_01289
OG0000292	Pram.g_01185	Syad.g_00155
OG0000293	Pram.g_01150	Syad.g_01124
OG0000294	Pram.g_01149	Syad.g_01125
OG0000295	Pram.g_01125	Syad.g_01181
OG0000296	Pram.g_01123	Syad.g_01183
OG0000297	Pram.g_01114	Syad.g_01512
OG0000298	Pram.g_01113	Syad.g_01511
OG0000299	Pram.g_01094	Syad.g_01462
OG0000300	Pram.g_01091	Syad.g_01455
OG0000301	Pram.g_01090	Syad.g_01454
OG0000302	Pram.g_01088	Syad.g_01453
OG0000303	Pram.g_01082	Syad.g_01442
OG0000304	Pram.g_00571	Syad.g_01436
OG0000305	Pram.g_01183	Syad.g_01292
OG0000306	Pram.g_00874	Syad.g_01989
OG0000307	Pram.g_01458	Syad.g_00883
OG0000308	Pram.g_01457	Syad.g_00881
OG0000309	Pram.g_01453	Syad.g_00876
OG0000310	Pram.g_01395	Syad.g_02250
OG0000311	Pram.g_01393	Syad.g_02254
OG0000312	Pram.g_01390	Syad.g_02265
OG0000313	Pram.g_01374	Syad.g_02284
OG0000314	Pram.g_01351	Syad.g_02313
OG0000315	Pram.g_01341	Syad.g_02323
OG0000316	Pram.g_01315	Syad.g_02564
OG0000317	Pram.g_01629	Syad.g_02620
OG0000318	Pram.g_01633	Syad.g_02624
OG0000319	Pram.g_01646	Syad.g_02642
OG0000320	Pram.g_01648	Syad.g_02644
OG0000321	Pram.g_01649	Syad.g_02645
OG0000322	Pram.g_01650	Syad.g_02646
OG0000323	Pram.g_01659	Syad.g_02661
OG0000324	Pram.g_01687	Syad.g_02505
OG0000325	Pram.g_01697	Syad.g_00591
OG0000326	Pram.g_01704	Syad.g_00598
OG0000327	Pram.g_01728	Syad.g_00649
OG0000328	Pram.g_01729	Syad.g_00650
OG0000329	Pram.g_01746	Syad.g_00668
OG0000330	Pram.g_01747	Syad.g_00669
OG0000331	Pram.g_01748	Syad.g_00670
OG0000332	Pram.g_01762	Syad.g_00685
OG0000333	Pram.g_01764	Syad.g_00688
OG0000334	Pram.g_01773	Syad.g_00697
OG0000335	Pram.g_01778	Syad.g_00702
OG0000336	Pram.g_01782	Syad.g_00706
OG0000337	Pram.g_01801	Syad.g_00425, Syad.g_00427
OG0000338	Pram.g_01802	Syad.g_00421
OG0000339	Pram.g_01808	Syad.g_00414
OG0000340	Pram.g_01817	Syad.g_00370
OG0000341	Pram.g_01819	Syad.g_00368
OG0000342	Pram.g_01820	Syad.g_00367
OG0000343	Pram.g_01821	Syad.g_00366
OG0000344	Pram.g_01824	Syad.g_00362
OG0000345	Pram.g_01830	Syad.g_00352
OG0000346	Pram.g_01834	Syad.g_00347
OG0000347	Pram.g_01851	Syad.g_00318
OG0000348	Pram.g_01859	Syad.g_00233
OG0000349	Pram.g_01877	Syad.g_00213
OG0000350	Pram.g_01898	Syad.g_00605
OG0000351	Pram.g_01917	Syad.g_00134
OG0000352	Pram.g_01918	Syad.g_00135
OG0000353	Pram.g_01937	Syad.g_00161
OG0000355	Pram.g_01939	Syad.g_00163
OG0000356	Pram.g_01940	Syad.g_00164
OG0000357	Pram.g_01941	Syad.g_00165
OG0000358	Pram.g_01945	Syad.g_00169
OG0000359	Pram.g_01946	Syad.g_00171
OG0000360	Pram.g_01947	Syad.g_00172
OG0000361	Pram.g_01948	Syad.g_00173
OG0000362	Pram.g_01950	Syad.g_00175
OG0000363	Pram.g_00001	Syad.g_00177
OG0000364	Pram.g_00002	Syad.g_00178
OG0000365	Pram.g_00007	Syad.g_00187
OG0000366	Pram.g_00008	Syad.g_00188
OG0000367	Pram.g_00009	Syad.g_00189
OG0000368	Pram.g_00011	Syad.g_00191
OG0000369	Pram.g_00012	Syad.g_00192
OG0000370	Pram.g_00013	Syad.g_00193
OG0000371	Pram.g_00019	Syad.g_00201
OG0000372	Pram.g_00021	Syad.g_00206
OG0000373	Pram.g_00022	Syad.g_00207
OG0000374	Pram.g_00023	Syad.g_00208
OG0000375	Pram.g_00024	Syad.g_00209
OG0000376	Pram.g_00026	Syad.g_00211
OG0000377	Pram.g_00030	Syad.g_03027
OG0000378	Pram.g_00034	Syad.g_03012
OG0000379	Pram.g_00037	Syad.g_03005
OG0000380	Pram.g_00050	Syad.g_02725
OG0000381	Pram.g_00055	Syad.g_02729
OG0000382	Pram.g_00065	Syad.g_02758
OG0000383	Pram.g_00067	Syad.g_02761
OG0000384	Pram.g_00068	Syad.g_02762
OG0000385	Pram.g_00069	Syad.g_02763
OG0000386	Pram.g_00070	Syad.g_02764
OG0000387	Pram.g_00083	Syad.g_02792
OG0000388	Pram.g_00087	Syad.g_02796
OG0000389	Pram.g_00090	Syad.g_02800
OG0000390	Pram.g_00099	Syad.g_02818
OG0000391	Pram.g_00102	Syad.g_02823
OG0000392	Pram.g_00106	Syad.g_02833
OG0000393	Pram.g_00109	Syad.g_02837
OG0000394	Pram.g_00110	Syad.g_02838
OG0000395	Pram.g_00111	Syad.g_02839
OG0000396	Pram.g_00113	Syad.g_02843
OG0000397	Pram.g_00115	Syad.g_02845
OG0000398	Pram.g_00118	Syad.g_02850
OG0000399	Pram.g_00119	Syad.g_02851
OG0000400	Pram.g_00120	Syad.g_02852
OG0000401	Pram.g_00121	Syad.g_02853
OG0000402	Pram.g_01001	Syad.g_02855
OG0000403	Pram.g_00123	Syad.g_02856
OG0000404	Pram.g_00124	Syad.g_02858
OG0000405	Pram.g_00128	Syad.g_02874
OG0000406	Pram.g_00132	Syad.g_02878
OG0000407	Pram.g_00133	Syad.g_02879
OG0000408	Pram.g_00135	Syad.g_02883
OG0000409	Pram.g_00137	Syad.g_02885
OG0000410	Pram.g_00138	Syad.g_02886
OG0000411	Pram.g_00139	Syad.g_02887
OG0000412	Pram.g_00140	Syad.g_02888
OG0000413	Pram.g_00141	Syad.g_02890
OG0000415	Pram.g_00143	Syad.g_02891
OG0000416	Pram.g_00144	Syad.g_02892
OG0000417	Pram.g_00145	Syad.g_02893
OG0000418	Pram.g_00150	Syad.g_02898
OG0000419	Pram.g_00152	Syad.g_02900
OG0000420	Pram.g_00153	Syad.g_02902
OG0000421	Pram.g_00157	Syad.g_02907
OG0000422	Pram.g_00158	Syad.g_02908
OG0000423	Pram.g_00159	Syad.g_02909
OG0000424	Pram.g_00160	Syad.g_02910
OG0000425	Pram.g_00161	Syad.g_02911
OG0000426	Pram.g_00162	Syad.g_02912
OG0000427	Pram.g_00163	Syad.g_02913
OG0000428	Pram.g_00165	Syad.g_02916
OG0000429	Pram.g_00166	Syad.g_02918
OG0000430	Pram.g_00167	Syad.g_02920
OG0000431	Pram.g_00169	Syad.g_02923
OG0000432	Pram.g_00173	Syad.g_02930
OG0000433	Pram.g_00174	Syad.g_02933
OG0000434	Pram.g_00175	Syad.g_02934
OG0000435	Pram.g_00176	Syad.g_02936
OG0000436	Pram.g_00181	Syad.g_02942
OG0000437	Pram.g_00182	Syad.g_02943
OG0000438	Pram.g_00183	Syad.g_02944
OG0000439	Pram.g_00185	Syad.g_02946
OG0000440	Pram.g_00186	Syad.g_02947
OG0000441	Pram.g_00189	Syad.g_02951
OG0000442	Pram.g_00190	Syad.g_02952
OG0000443	Pram.g_00191	Syad.g_02953
OG0000444	Pram.g_00196	Syad.g_02964
OG0000445	Pram.g_00197	Syad.g_02965
OG0000446	Pram.g_00198	Syad.g_02967
OG0000447	Pram.g_00199	Syad.g_02970
OG0000448	Pram.g_00200	Syad.g_02971
OG0000449	Pram.g_00201	Syad.g_02972
OG0000450	Pram.g_00202	Syad.g_02978
OG0000451	Pram.g_00203	Syad.g_02979
OG0000452	Pram.g_00206	Syad.g_02983
OG0000453	Pram.g_00207	Syad.g_02984
OG0000454	Pram.g_00208	Syad.g_02985
OG0000455	Pram.g_00209	Syad.g_02986
OG0000456	Pram.g_00210	Syad.g_02987
OG0000457	Pram.g_00212	Syad.g_02989
OG0000458	Pram.g_00213	Syad.g_02998
OG0000459	Pram.g_00214	Syad.g_02999
OG0000460	Pram.g_00222	Syad.g_00815
OG0000461	Pram.g_00230	Syad.g_00579
OG0000462	Pram.g_00232	Syad.g_00576
OG0000463	Pram.g_00233	Syad.g_00575
OG0000464	Pram.g_00234	Syad.g_00574
OG0000465	Pram.g_00235	Syad.g_00573
OG0000466	Pram.g_00238	Syad.g_00568
OG0000467	Pram.g_00239	Syad.g_00566
OG0000468	Pram.g_00242	Syad.g_00561
OG0000469	Pram.g_00250	Syad.g_00545
OG0000470	Pram.g_00252	Syad.g_00542
OG0000471	Pram.g_00253	Syad.g_00541
OG0000472	Pram.g_00254	Syad.g_00539
OG0000473	Pram.g_00256	Syad.g_00537
OG0000474	Pram.g_00257	Syad.g_00536
OG0000475	Pram.g_00258	Syad.g_00535
OG0000476	Pram.g_00260	Syad.g_00533
OG0000477	Pram.g_00263	Syad.g_00528
OG0000478	Pram.g_00264	Syad.g_00527
OG0000479	Pram.g_00265	Syad.g_00526
OG0000480	Pram.g_00270	Syad.g_00520
OG0000481	Pram.g_00273	Syad.g_00518
OG0000482	Pram.g_00274	Syad.g_00517
OG0000483	Pram.g_00277	Syad.g_00513
OG0000484	Pram.g_00278	Syad.g_00512
OG0000485	Pram.g_00280	Syad.g_00511
OG0000486	Pram.g_00281	Syad.g_00510
OG0000487	Pram.g_00284	Syad.g_00503
OG0000488	Pram.g_00287	Syad.g_00499
OG0000489	Pram.g_00292	Syad.g_00487
OG0000490	Pram.g_00296	Syad.g_00475
OG0000491	Pram.g_00297	Syad.g_00474
OG0000492	Pram.g_00299	Syad.g_00472
OG0000493	Pram.g_00300	Syad.g_00471
OG0000494	Pram.g_00301	Syad.g_00470
OG0000495	Pram.g_00302	Syad.g_00469
OG0000496	Pram.g_00303	Syad.g_00468
OG0000497	Pram.g_00304	Syad.g_00467
OG0000498	Pram.g_00305	Syad.g_00466
OG0000499	Pram.g_00306	Syad.g_00465
OG0000500	Pram.g_00307	Syad.g_00464
OG0000501	Pram.g_00309	Syad.g_00461
OG0000502	Pram.g_00312	Syad.g_00449
OG0000503	Pram.g_00328	Syad.g_00761
OG0000504	Pram.g_00330	Syad.g_00763
OG0000505	Pram.g_00331	Syad.g_00764
OG0000506	Pram.g_00332	Syad.g_00766
OG0000507	Pram.g_00336	Syad.g_00772
OG0000508	Pram.g_00340	Syad.g_00776
OG0000509	Pram.g_00342	Syad.g_00778
OG0000510	Pram.g_00343	Syad.g_00779
OG0000511	Pram.g_00344	Syad.g_00780
OG0000512	Pram.g_00346	Syad.g_00782
OG0000513	Pram.g_00355	Syad.g_00789
OG0000514	Pram.g_00366	Syad.g_00795
OG0000515	Pram.g_00367	Syad.g_00796
OG0000516	Pram.g_00368	Syad.g_02456
OG0000517	Pram.g_00370	Syad.g_02451
OG0000518	Pram.g_00381	Syad.g_02439
OG0000519	Pram.g_00382	Syad.g_02438
OG0000520	Pram.g_00383	Syad.g_02437
OG0000521	Pram.g_00393	Syad.g_01108
OG0000522	Pram.g_00395	Syad.g_01109
OG0000523	Pram.g_00396	Syad.g_01110
OG0000524	Pram.g_00400	Syad.g_02386
OG0000525	Pram.g_00404	Syad.g_02363
OG0000526	Pram.g_00406	Syad.g_02360
OG0000527	Pram.g_00409	Syad.g_02355
OG0000528	Pram.g_00414	Syad.g_00897
OG0000529	Pram.g_00417	Syad.g_00905
OG0000530	Pram.g_00420	Syad.g_00908
OG0000531	Pram.g_00421	Syad.g_00909
OG0000532	Pram.g_00423	Syad.g_00912
OG0000533	Pram.g_00424	Syad.g_00913
OG0000534	Pram.g_00425	Syad.g_00914
OG0000535	Pram.g_00426	Syad.g_00915
OG0000536	Pram.g_00427	Syad.g_00916
OG0000537	Pram.g_00428	Syad.g_00917
OG0000538	Pram.g_00438	Syad.g_00929
OG0000539	Pram.g_00439	Syad.g_00930
OG0000540	Pram.g_00440	Syad.g_00931
OG0000541	Pram.g_00441	Syad.g_00932
OG0000542	Pram.g_00442	Syad.g_00935
OG0000543	Pram.g_00444	Syad.g_00937
OG0000544	Pram.g_00445	Syad.g_00938
OG0000545	Pram.g_00447	Syad.g_00940
OG0000546	Pram.g_00450	Syad.g_00942
OG0000547	Pram.g_00452	Syad.g_00944
OG0000548	Pram.g_00453	Syad.g_00945
OG0000549	Pram.g_00456	Syad.g_00952
OG0000550	Pram.g_00461	Syad.g_00956
OG0000551	Pram.g_00464	Syad.g_00960
OG0000552	Pram.g_00465	Syad.g_00961
OG0000553	Pram.g_00466	Syad.g_00965
OG0000554	Pram.g_00472	Syad.g_00978
OG0000555	Pram.g_00479	Syad.g_00999
OG0000556	Pram.g_00481	Syad.g_01003
OG0000557	Pram.g_00482	Syad.g_01011
OG0000558	Pram.g_00484	Syad.g_01013
OG0000559	Pram.g_00488	Syad.g_01016
OG0000560	Pram.g_00491	Syad.g_01019
OG0000561	Pram.g_00492	Syad.g_01020
OG0000562	Pram.g_00493	Syad.g_01021
OG0000563	Pram.g_00494	Syad.g_01022
OG0000564	Pram.g_00495	Syad.g_01023
OG0000565	Pram.g_00498	Syad.g_01027
OG0000566	Pram.g_00502	Syad.g_01031
OG0000567	Pram.g_00506	Syad.g_01035
OG0000568	Pram.g_00507	Syad.g_01040
OG0000569	Pram.g_00508	Syad.g_01041
OG0000570	Pram.g_00509	Syad.g_01042
OG0000571	Pram.g_00511	Syad.g_01046
OG0000572	Pram.g_00523	Syad.g_01064
OG0000573	Pram.g_00529	Syad.g_01072
OG0000574	Pram.g_00530	Syad.g_01077
OG0000575	Pram.g_00534	Syad.g_01083
OG0000576	Pram.g_00536	Syad.g_01085
OG0000577	Pram.g_00537	Syad.g_01086
