Orthogroup	Pram	Syae
OG0000065	Pram.g_00091	Syae.g_00722, Syae.g_01363
OG0000066	Pram.g_01558	Syae.g_02386
OG0000067	Pram.g_00809	Syae.g_00521
OG0000068	Pram.g_01468	Syae.g_02299
OG0000069	Pram.g_00391	Syae.g_00458
OG0000070	Pram.g_00385	Syae.g_00979
OG0000071	Pram.g_01230	Syae.g_00961
OG0000072	Pram.g_00156	Syae.g_01455
OG0000073	Pram.g_00437	Syae.g_02330
OG0000075	Pram.g_01807	Syae.g_01871
OG0000076	Pram.g_01833	Syae.g_01829
OG0000077	Pram.g_00063	Syae.g_01297
OG0000078	Pram.g_00227	Syae.g_02243
OG0000079	Pram.g_00240	Syae.g_02011
OG0000081	Pram.g_00469	Syae.g_02261
OG0000082	Pram.g_01559	Syae.g_02447
OG0000084	Pram.g_01384	Syae.g_02656
OG0000085	Pram.g_01265	Syae.g_01152
OG0000086	Pram.g_00072	Syae.g_01333
OG0000087	Pram.g_00125	Syae.g_01414
OG0000088	Pram.g_00151	Syae.g_01449
OG0000089	Pram.g_00352	Syae.g_02219
OG0000090	Pram.g_00471	Syae.g_02374
OG0000091	Pram.g_01068	Syae.g_00082
OG0000092	Pram.g_00739	Syae.g_00884
OG0000095	Pram.g_00888	Syae.g_01624
OG0000097	Pram.g_01093	Syae.g_00683
OG0000098	Pram.g_01478	Syae.g_02058
OG0000099	Pram.g_01445	Syae.g_01913, Syae.g_01226
OG0000100	Pram.g_01298	Syae.g_00489
OG0000101	Pram.g_01770	Syae.g_02125
OG0000102	Pram.g_01838	Syae.g_01824
OG0000103	Pram.g_01925	Syae.g_01694
OG0000104	Pram.g_01934	Syae.g_01708
OG0000105	Pram.g_00262	Syae.g_01977
OG0000106	Pram.g_00677	Syae.g_00272
OG0000107	Pram.g_01696	Syae.g_02032
OG0000108	Pram.g_00416	Syae.g_02309
OG0000109	Pram.g_00430	Syae.g_02324
OG0000110	Pram.g_00513	Syae.g_02435
OG0000111	Pram.g_00793	Syae.g_00783
OG0000112	Pram.g_00935	Syae.g_00351
OG0000113	Pram.g_00832	Syae.g_00494
OG0000114	Pram.g_00734	Syae.g_00575
OG0000115	Pram.g_01201	Syae.g_02631
OG0000116	Pram.g_01151	Syae.g_00939
OG0000117	Pram.g_01112	Syae.g_00647
OG0000118	Pram.g_01242	Syae.g_02479
OG0000119	Pram.g_01283	Syae.g_00904
OG0000120	Pram.g_01446	Syae.g_01912
OG0000121	Pram.g_01376	Syae.g_02649
OG0000122	Pram.g_01204, Pram.g_01334	Syae.g_00112
OG0000123	Pram.g_01777	Syae.g_02131
OG0000124	Pram.g_01850	Syae.g_01809
OG0000125	Pram.g_01886	Syae.g_01573
OG0000126	Pram.g_01933	Syae.g_01706
OG0000128	Pram.g_01949	Syae.g_01724
OG0000129	Pram.g_00029	Syae.g_01562
OG0000130	Pram.g_00054	Syae.g_01284
OG0000131	Pram.g_00130	Syae.g_01428
OG0000132	Pram.g_00149	Syae.g_01447
OG0000133	Pram.g_00310	Syae.g_00356
OG0000134	Pram.g_00354	Syae.g_02222
OG0000135	Pram.g_01589	Syae.g_01608
OG0000136	Pram.g_00376	Syae.g_00989
OG0000137	Pram.g_00411	Syae.g_02530
OG0000138	Pram.g_00431	Syae.g_02325
OG0000139	Pram.g_00475	Syae.g_02380
OG0000140	Pram.g_00476	Syae.g_02383
OG0000141	Pram.g_00545	Syae.g_00016
OG0000142	Pram.g_01075	Syae.g_00074
OG0000143	Pram.g_01072	Syae.g_00078
OG0000144	Pram.g_01058	Syae.g_00261
OG0000145	Pram.g_01534	Syae.g_02331
OG0000146	Pram.g_00934	Syae.g_00350
OG0000147	Pram.g_00933	Syae.g_00349
OG0000148	Pram.g_00826	Syae.g_00500
OG0000149	Pram.g_00858	Syae.g_00847
OG0000150	Pram.g_00868	Syae.g_00017
OG0000151	Pram.g_00744	Syae.g_00563
OG0000152	Pram.g_00943	Syae.g_00360
OG0000153	Pram.g_00961	Syae.g_00394
OG0000154	Pram.g_00978	Syae.g_00420
OG0000155	Pram.g_01118	Syae.g_00885
OG0000156	Pram.g_01219	Syae.g_00945
OG0000157	Pram.g_01220	Syae.g_00946
OG0000158	Pram.g_01815	Syae.g_01858
OG0000160	Pram.g_01377	Syae.g_02650
OG0000161	Pram.g_01145, Pram.g_01371	Syae.g_02644
OG0000162	Pram.g_01365	Syae.g_02638
OG0000163	Pram.g_01326	Syae.g_01092
OG0000164	Pram.g_01656	Syae.g_01198
OG0000165	Pram.g_01664	Syae.g_01021
OG0000166	Pram.g_01733	Syae.g_02085
OG0000167	Pram.g_01805	Syae.g_01874
OG0000168	Pram.g_01816	Syae.g_01856
OG0000169	Pram.g_01826	Syae.g_01841
OG0000170	Pram.g_01829	Syae.g_01834
OG0000171	Pram.g_01849	Syae.g_01810
OG0000172	Pram.g_01856	Syae.g_01788
OG0000173	Pram.g_01871	Syae.g_01770
OG0000174	Pram.g_01902	Syae.g_01610
OG0000175	Pram.g_01914	Syae.g_01679
OG0000176	Pram.g_01942	Syae.g_01716
OG0000177	Pram.g_01943	Syae.g_01717
OG0000178	Pram.g_01944	Syae.g_01718
OG0000179	Pram.g_00003	Syae.g_01733
OG0000180	Pram.g_00004	Syae.g_01734
OG0000181	Pram.g_00005	Syae.g_01735
OG0000182	Pram.g_00006	Syae.g_01736
OG0000183	Pram.g_00010	Syae.g_01740
OG0000184	Pram.g_00033	Syae.g_01554
OG0000185	Pram.g_00036	Syae.g_01551
OG0000186	Pram.g_00048	Syae.g_01279
OG0000187	Pram.g_00049	Syae.g_01280
OG0000188	Pram.g_00066	Syae.g_01323
OG0000189	Pram.g_00080	Syae.g_01350
OG0000190	Pram.g_00081	Syae.g_01352
OG0000191	Pram.g_00103	Syae.g_01384
OG0000192	Pram.g_00108	Syae.g_01390
OG0000193	Pram.g_00131	Syae.g_01429
OG0000194	Pram.g_00134	Syae.g_01432
OG0000195	Pram.g_00136	Syae.g_01434
OG0000196	Pram.g_00146	Syae.g_01444
OG0000197	Pram.g_00147	Syae.g_01445
OG0000198	Pram.g_00148	Syae.g_01446
OG0000199	Pram.g_00155	Syae.g_01454
OG0000200	Pram.g_00168	Syae.g_01471
OG0000201	Pram.g_00177	Syae.g_01487
OG0000202	Pram.g_00178	Syae.g_01488
OG0000203	Pram.g_00179	Syae.g_01489
OG0000204	Pram.g_00180	Syae.g_01490
OG0000205	Pram.g_00187	Syae.g_01497
OG0000206	Pram.g_00192	Syae.g_01504
OG0000207	Pram.g_00194	Syae.g_01506
OG0000208	Pram.g_00195	Syae.g_01507
OG0000209	Pram.g_00204	Syae.g_01528
OG0000210	Pram.g_00205	Syae.g_01529
OG0000211	Pram.g_00220	Syae.g_02234
OG0000212	Pram.g_00228	Syae.g_02244
OG0000213	Pram.g_00246	Syae.g_02003
OG0000214	Pram.g_00255	Syae.g_01986
OG0000215	Pram.g_00282	Syae.g_01955
OG0000216	Pram.g_00283	Syae.g_01951
OG0000217	Pram.g_00286	Syae.g_01947
OG0000218	Pram.g_00288	Syae.g_01945
OG0000219	Pram.g_00289	Syae.g_01944
OG0000220	Pram.g_00290	Syae.g_01943
OG0000221	Pram.g_00291	Syae.g_01937
OG0000222	Pram.g_00298	Syae.g_01926
OG0000223	Pram.g_00311	Syae.g_01904
OG0000224	Pram.g_00313	Syae.g_01897
OG0000225	Pram.g_00341	Syae.g_02208
OG0000226	Pram.g_00345	Syae.g_02212
OG0000227	Pram.g_00347	Syae.g_02214
OG0000228	Pram.g_00351	Syae.g_02218
OG0000229	Pram.g_00371	Syae.g_00994
OG0000230	Pram.g_00373	Syae.g_00992
OG0000231	Pram.g_00384	Syae.g_00980
OG0000232	Pram.g_00397	Syae.g_02496
OG0000233	Pram.g_00402	Syae.g_02504
OG0000234	Pram.g_00412	Syae.g_02532
OG0000235	Pram.g_00415	Syae.g_02308
OG0000236	Pram.g_00429	Syae.g_02323
OG0000237	Pram.g_00443	Syae.g_02340
OG0000238	Pram.g_00449	Syae.g_02345
OG0000239	Pram.g_00462	Syae.g_02360
OG0000240	Pram.g_00463	Syae.g_02361
OG0000241	Pram.g_00468	Syae.g_00065
OG0000242	Pram.g_00470	Syae.g_02372
OG0000243	Pram.g_00480	Syae.g_02391
OG0000244	Pram.g_00483	Syae.g_02399
OG0000245	Pram.g_00485	Syae.g_02401
OG0000246	Pram.g_00489	Syae.g_02405
OG0000247	Pram.g_00500	Syae.g_02416
OG0000248	Pram.g_00503	Syae.g_02419
OG0000249	Pram.g_00505	Syae.g_02421
OG0000250	Pram.g_00510	Syae.g_02431
OG0000251	Pram.g_00528	Syae.g_02455
OG0000252	Pram.g_00531	Syae.g_02458
OG0000253	Pram.g_00532	Syae.g_02459
OG0000254	Pram.g_00549	Syae.g_00021
OG0000255	Pram.g_00555	Syae.g_00041
OG0000256	Pram.g_00566	Syae.g_00058
OG0000257	Pram.g_01080	Syae.g_00064
OG0000258	Pram.g_01067	Syae.g_00083
OG0000259	Pram.g_01050	Syae.g_00608
OG0000260	Pram.g_01047	Syae.g_00603
OG0000261	Pram.g_01044	Syae.g_00600
OG0000262	Pram.g_01039	Syae.g_00595
OG0000263	Pram.g_00771	Syae.g_00671
OG0000264	Pram.g_00782	Syae.g_00761
OG0000265	Pram.g_00801	Syae.g_00932, Syae.g_00226
OG0000266	Pram.g_01020	Syae.g_00457
OG0000267	Pram.g_01007	Syae.g_00304
OG0000268	Pram.g_01006	Syae.g_00308
OG0000269	Pram.g_00804	Syae.g_00526
OG0000270	Pram.g_00807	Syae.g_00523
OG0000271	Pram.g_00815	Syae.g_00515
OG0000272	Pram.g_00816	Syae.g_00514
OG0000273	Pram.g_00839	Syae.g_00825
OG0000274	Pram.g_00840	Syae.g_00826
OG0000275	Pram.g_00843	Syae.g_00832
OG0000276	Pram.g_00849	Syae.g_00839
OG0000277	Pram.g_00850	Syae.g_00840
OG0000278	Pram.g_00853	Syae.g_00843
OG0000279	Pram.g_00861	Syae.g_00851
OG0000280	Pram.g_00862	Syae.g_00877
OG0000281	Pram.g_00870	Syae.g_02057
OG0000282	Pram.g_00736	Syae.g_00573
OG0000283	Pram.g_00916	Syae.g_00321
OG0000284	Pram.g_00921	Syae.g_00327
OG0000285	Pram.g_00926	Syae.g_00340
OG0000286	Pram.g_00942	Syae.g_00359
OG0000287	Pram.g_01199	Syae.g_00387
OG0000288	Pram.g_00977	Syae.g_00419
OG0000289	Pram.g_00992	Syae.g_00433
OG0000290	Pram.g_00891	Syae.g_00796
OG0000291	Pram.g_00889	Syae.g_00794
OG0000292	Pram.g_01185	Syae.g_01705
OG0000293	Pram.g_01150	Syae.g_00938
OG0000294	Pram.g_01149	Syae.g_00937
OG0000295	Pram.g_01125	Syae.g_00893
OG0000296	Pram.g_01123	Syae.g_00891
OG0000297	Pram.g_01114	Syae.g_00645
OG0000298	Pram.g_01113	Syae.g_00646
OG0000299	Pram.g_01094	Syae.g_00680
OG0000300	Pram.g_01091	Syae.g_00686
OG0000301	Pram.g_01090	Syae.g_00687
OG0000302	Pram.g_01088	Syae.g_00691
OG0000303	Pram.g_01082	Syae.g_00700
OG0000304	Pram.g_00571	Syae.g_00706
OG0000305	Pram.g_01183	Syae.g_00791
OG0000306	Pram.g_00874	Syae.g_00277
OG0000307	Pram.g_01458	Syae.g_02290
OG0000308	Pram.g_01457	Syae.g_02288
OG0000309	Pram.g_01453	Syae.g_02283
OG0000310	Pram.g_01395	Syae.g_02687
OG0000311	Pram.g_01393	Syae.g_02682
OG0000312	Pram.g_01390	Syae.g_02664
OG0000313	Pram.g_01374	Syae.g_02647
OG0000314	Pram.g_01351	Syae.g_02618
OG0000315	Pram.g_01341	Syae.g_02609
OG0000316	Pram.g_01315	Syae.g_01118
OG0000317	Pram.g_01629	Syae.g_01160
OG0000318	Pram.g_01633	Syae.g_01164
OG0000319	Pram.g_01646	Syae.g_01181
OG0000320	Pram.g_01648	Syae.g_01183
OG0000321	Pram.g_01649	Syae.g_01184
OG0000322	Pram.g_01650	Syae.g_01185
OG0000323	Pram.g_01659	Syae.g_01200
OG0000324	Pram.g_01687	Syae.g_01049
OG0000325	Pram.g_01697	Syae.g_02033
OG0000326	Pram.g_01704	Syae.g_02040
OG0000327	Pram.g_01728	Syae.g_02080
OG0000328	Pram.g_01729	Syae.g_02081
OG0000329	Pram.g_01746	Syae.g_02099
OG0000330	Pram.g_01747	Syae.g_02100
OG0000331	Pram.g_01748	Syae.g_02101
OG0000332	Pram.g_01762	Syae.g_02116
OG0000333	Pram.g_01764	Syae.g_02119
OG0000334	Pram.g_01773	Syae.g_02128
OG0000335	Pram.g_01778	Syae.g_02132
OG0000336	Pram.g_01782	Syae.g_02136
OG0000337	Pram.g_01801	Syae.g_01879
OG0000338	Pram.g_01802	Syae.g_01876
OG0000339	Pram.g_01808	Syae.g_01869
OG0000340	Pram.g_01817	Syae.g_01855
OG0000341	Pram.g_01819	Syae.g_01853
OG0000342	Pram.g_01820	Syae.g_01852
OG0000343	Pram.g_01821	Syae.g_01848
OG0000344	Pram.g_01824	Syae.g_01843
OG0000345	Pram.g_01830	Syae.g_01833
OG0000346	Pram.g_01834	Syae.g_01828
OG0000347	Pram.g_01851	Syae.g_01805
OG0000348	Pram.g_01859	Syae.g_01781
OG0000349	Pram.g_01877	Syae.g_01763
OG0000350	Pram.g_01898	Syae.g_02047
OG0000351	Pram.g_01917	Syae.g_01684
OG0000352	Pram.g_01918	Syae.g_01685
OG0000353	Pram.g_01937	Syae.g_01711
OG0000355	Pram.g_01939	Syae.g_01713
OG0000356	Pram.g_01940	Syae.g_01714
OG0000357	Pram.g_01941	Syae.g_01715
OG0000358	Pram.g_01945	Syae.g_01719
OG0000359	Pram.g_01946	Syae.g_01721
OG0000360	Pram.g_01947	Syae.g_01722
OG0000361	Pram.g_01948	Syae.g_01723
OG0000362	Pram.g_01950	Syae.g_01725
OG0000363	Pram.g_00001	Syae.g_01727
OG0000364	Pram.g_00002	Syae.g_01728
OG0000365	Pram.g_00007	Syae.g_01737
OG0000366	Pram.g_00008	Syae.g_01738
OG0000367	Pram.g_00009	Syae.g_01739
OG0000368	Pram.g_00011	Syae.g_01741
OG0000369	Pram.g_00012	Syae.g_01742
OG0000370	Pram.g_00013	Syae.g_01743
OG0000371	Pram.g_00019	Syae.g_01751
OG0000372	Pram.g_00021	Syae.g_01756
OG0000373	Pram.g_00022	Syae.g_01757
OG0000374	Pram.g_00023	Syae.g_01758
OG0000375	Pram.g_00024	Syae.g_01759
OG0000376	Pram.g_00026	Syae.g_01761
OG0000377	Pram.g_00030	Syae.g_01561
OG0000378	Pram.g_00034	Syae.g_01553
OG0000379	Pram.g_00037	Syae.g_01550
OG0000380	Pram.g_00050	Syae.g_01281
OG0000381	Pram.g_00055	Syae.g_01285
OG0000382	Pram.g_00065	Syae.g_01322
OG0000383	Pram.g_00067	Syae.g_01324
OG0000384	Pram.g_00068	Syae.g_01325
OG0000385	Pram.g_00069	Syae.g_01326
OG0000386	Pram.g_00070	Syae.g_01327
OG0000387	Pram.g_00083	Syae.g_01354
OG0000388	Pram.g_00087	Syae.g_01358
OG0000389	Pram.g_00090	Syae.g_01362
OG0000390	Pram.g_00099	Syae.g_01378
OG0000391	Pram.g_00102	Syae.g_01383
OG0000392	Pram.g_00106	Syae.g_01389
OG0000393	Pram.g_00109	Syae.g_01392
OG0000394	Pram.g_00110	Syae.g_01393
OG0000395	Pram.g_00111	Syae.g_01394
OG0000396	Pram.g_00113	Syae.g_01397
OG0000397	Pram.g_00115	Syae.g_01400
OG0000398	Pram.g_00118	Syae.g_01405
OG0000399	Pram.g_00119	Syae.g_01406
OG0000400	Pram.g_00120	Syae.g_01407
OG0000401	Pram.g_00121	Syae.g_01408
OG0000402	Pram.g_01001	Syae.g_01410
OG0000403	Pram.g_00123	Syae.g_01411
OG0000404	Pram.g_00124	Syae.g_01412
OG0000405	Pram.g_00128	Syae.g_01426
OG0000406	Pram.g_00132	Syae.g_01430
OG0000407	Pram.g_00133	Syae.g_01431
OG0000408	Pram.g_00135	Syae.g_01433
OG0000409	Pram.g_00137	Syae.g_01435
OG0000410	Pram.g_00138	Syae.g_01436
OG0000411	Pram.g_00139	Syae.g_01437
OG0000412	Pram.g_00140	Syae.g_01438
OG0000413	Pram.g_00141	Syae.g_01440
OG0000415	Pram.g_00143	Syae.g_01441
OG0000416	Pram.g_00144	Syae.g_01442
OG0000417	Pram.g_00145	Syae.g_01443
OG0000418	Pram.g_00150	Syae.g_01448
OG0000419	Pram.g_00152	Syae.g_01450
OG0000420	Pram.g_00153	Syae.g_01452
OG0000421	Pram.g_00157	Syae.g_01457
OG0000422	Pram.g_00158	Syae.g_01458
OG0000423	Pram.g_00159	Syae.g_01459
OG0000424	Pram.g_00160	Syae.g_01460
OG0000425	Pram.g_00161	Syae.g_01461
OG0000426	Pram.g_00162	Syae.g_01462
OG0000427	Pram.g_00163	Syae.g_01463
OG0000428	Pram.g_00165	Syae.g_01466
OG0000429	Pram.g_00166	Syae.g_01468
OG0000430	Pram.g_00167	Syae.g_01470
OG0000431	Pram.g_00169	Syae.g_01473
OG0000432	Pram.g_00173	Syae.g_01481
OG0000433	Pram.g_00174	Syae.g_01484
OG0000434	Pram.g_00175	Syae.g_01485
OG0000435	Pram.g_00176	Syae.g_01486
OG0000436	Pram.g_00181	Syae.g_01491
OG0000437	Pram.g_00182	Syae.g_01492
OG0000438	Pram.g_00183	Syae.g_01493
OG0000439	Pram.g_00185	Syae.g_01495
OG0000440	Pram.g_00186	Syae.g_01496
OG0000441	Pram.g_00189	Syae.g_01501
OG0000442	Pram.g_00190	Syae.g_01502
OG0000443	Pram.g_00191	Syae.g_01503
OG0000444	Pram.g_00196	Syae.g_01509
OG0000445	Pram.g_00197	Syae.g_01510
OG0000446	Pram.g_00198	Syae.g_01512
OG0000447	Pram.g_00199	Syae.g_01517
OG0000448	Pram.g_00200	Syae.g_01518
OG0000449	Pram.g_00201	Syae.g_01519
OG0000450	Pram.g_00202	Syae.g_01525
OG0000451	Pram.g_00203	Syae.g_01526
OG0000452	Pram.g_00206	Syae.g_01530
OG0000453	Pram.g_00207	Syae.g_01531
OG0000454	Pram.g_00208	Syae.g_01532
OG0000455	Pram.g_00209	Syae.g_01533
OG0000456	Pram.g_00210	Syae.g_01534
OG0000457	Pram.g_00212	Syae.g_01536
OG0000458	Pram.g_00213	Syae.g_01538
OG0000459	Pram.g_00214	Syae.g_01539
OG0000460	Pram.g_00222	Syae.g_02236
OG0000461	Pram.g_00230	Syae.g_02024
OG0000462	Pram.g_00232	Syae.g_02021
OG0000463	Pram.g_00233	Syae.g_02020
OG0000464	Pram.g_00234	Syae.g_02019
OG0000465	Pram.g_00235	Syae.g_02018
OG0000466	Pram.g_00238	Syae.g_02014
OG0000467	Pram.g_00239	Syae.g_02012
OG0000468	Pram.g_00242	Syae.g_02007
OG0000469	Pram.g_00250	Syae.g_01992
OG0000470	Pram.g_00252	Syae.g_01990
OG0000471	Pram.g_00253	Syae.g_01989
OG0000472	Pram.g_00254	Syae.g_01987
OG0000473	Pram.g_00256	Syae.g_01985
OG0000474	Pram.g_00257	Syae.g_01984
OG0000475	Pram.g_00258	Syae.g_01983
OG0000476	Pram.g_00260	Syae.g_01981
OG0000477	Pram.g_00263	Syae.g_01975
OG0000478	Pram.g_00264	Syae.g_01974
OG0000479	Pram.g_00265	Syae.g_01973
OG0000480	Pram.g_00270	Syae.g_01966
OG0000481	Pram.g_00273	Syae.g_01964
OG0000482	Pram.g_00274	Syae.g_01963
OG0000483	Pram.g_00277	Syae.g_01959
OG0000484	Pram.g_00278	Syae.g_01958
OG0000485	Pram.g_00280	Syae.g_01957
OG0000486	Pram.g_00281	Syae.g_01956
OG0000487	Pram.g_00284	Syae.g_01950
OG0000488	Pram.g_00287	Syae.g_01946
OG0000489	Pram.g_00292	Syae.g_01936
OG0000490	Pram.g_00296	Syae.g_01928
OG0000491	Pram.g_00297	Syae.g_01927
OG0000492	Pram.g_00299	Syae.g_01925
OG0000493	Pram.g_00300	Syae.g_01924
OG0000494	Pram.g_00301	Syae.g_01923
OG0000495	Pram.g_00302	Syae.g_01922
OG0000496	Pram.g_00303	Syae.g_01921
OG0000497	Pram.g_00304	Syae.g_01920
OG0000498	Pram.g_00305	Syae.g_01919
OG0000499	Pram.g_00306	Syae.g_01918
OG0000500	Pram.g_00307	Syae.g_01917
OG0000501	Pram.g_00309	Syae.g_01914
OG0000502	Pram.g_00312	Syae.g_01902
OG0000503	Pram.g_00328	Syae.g_02192
OG0000504	Pram.g_00330	Syae.g_02194
OG0000505	Pram.g_00331	Syae.g_02195
OG0000506	Pram.g_00332	Syae.g_02197
OG0000507	Pram.g_00336	Syae.g_02203
OG0000508	Pram.g_00340	Syae.g_02207
OG0000509	Pram.g_00342	Syae.g_02209
OG0000510	Pram.g_00343	Syae.g_02210
OG0000511	Pram.g_00344	Syae.g_02211
OG0000512	Pram.g_00346	Syae.g_02213
OG0000513	Pram.g_00355	Syae.g_02223
OG0000514	Pram.g_00366	Syae.g_02229
OG0000515	Pram.g_00367	Syae.g_02230
OG0000516	Pram.g_00368	Syae.g_01000
OG0000517	Pram.g_00370	Syae.g_00995
OG0000518	Pram.g_00381	Syae.g_00983
OG0000519	Pram.g_00382	Syae.g_00982
OG0000520	Pram.g_00383	Syae.g_00981
OG0000521	Pram.g_00393	Syae.g_02491
OG0000522	Pram.g_00395	Syae.g_02493
OG0000523	Pram.g_00396	Syae.g_02494
OG0000524	Pram.g_00400	Syae.g_02501
OG0000525	Pram.g_00404	Syae.g_02520
OG0000526	Pram.g_00406	Syae.g_02523
OG0000527	Pram.g_00409	Syae.g_02528
OG0000528	Pram.g_00414	Syae.g_02304
OG0000529	Pram.g_00417	Syae.g_02310
OG0000530	Pram.g_00420	Syae.g_02313
OG0000531	Pram.g_00421	Syae.g_02314
OG0000532	Pram.g_00423	Syae.g_02317
OG0000533	Pram.g_00424	Syae.g_02318
OG0000534	Pram.g_00425	Syae.g_02319
OG0000535	Pram.g_00426	Syae.g_02320
OG0000536	Pram.g_00427	Syae.g_02321
OG0000537	Pram.g_00428	Syae.g_02322
OG0000538	Pram.g_00438	Syae.g_02333
OG0000539	Pram.g_00439	Syae.g_02334
OG0000540	Pram.g_00440	Syae.g_02335
OG0000541	Pram.g_00441	Syae.g_02336
OG0000542	Pram.g_00442	Syae.g_02339
OG0000543	Pram.g_00444	Syae.g_02341
OG0000544	Pram.g_00445	Syae.g_02342
OG0000545	Pram.g_00447	Syae.g_02344
OG0000546	Pram.g_00450	Syae.g_02346
OG0000547	Pram.g_00452	Syae.g_02348
OG0000548	Pram.g_00453	Syae.g_02349
OG0000549	Pram.g_00456	Syae.g_02354
OG0000550	Pram.g_00461	Syae.g_02358
OG0000551	Pram.g_00464	Syae.g_02363
OG0000552	Pram.g_00465	Syae.g_02364
OG0000553	Pram.g_00466	Syae.g_02366
OG0000554	Pram.g_00472	Syae.g_02375
OG0000555	Pram.g_00479	Syae.g_02390
OG0000556	Pram.g_00481	Syae.g_02394
OG0000557	Pram.g_00482	Syae.g_02398
OG0000558	Pram.g_00484	Syae.g_02400
OG0000559	Pram.g_00488	Syae.g_02404
OG0000560	Pram.g_00491	Syae.g_02407
OG0000561	Pram.g_00492	Syae.g_02408
OG0000562	Pram.g_00493	Syae.g_02409
OG0000563	Pram.g_00494	Syae.g_02410
OG0000564	Pram.g_00495	Syae.g_02411
OG0000565	Pram.g_00498	Syae.g_02414
OG0000566	Pram.g_00502	Syae.g_02418
OG0000567	Pram.g_00506	Syae.g_02422
OG0000568	Pram.g_00507	Syae.g_02427
OG0000569	Pram.g_00508	Syae.g_02428
OG0000570	Pram.g_00509	Syae.g_02429
OG0000571	Pram.g_00511	Syae.g_02433
OG0000572	Pram.g_00523	Syae.g_02448
OG0000573	Pram.g_00529	Syae.g_02456
OG0000574	Pram.g_00530	Syae.g_02457
OG0000575	Pram.g_00534	Syae.g_02461
OG0000576	Pram.g_00536	Syae.g_02463
OG0000577	Pram.g_00537	Syae.g_02464
OG0000578	Pram.g_00538	Syae.g_02465
OG0000579	Pram.g_00539	Syae.g_02466
OG0000580	Pram.g_00540	Syae.g_02467
OG0000581	Pram.g_00543	Syae.g_02473
OG0000582	Pram.g_00546	Syae.g_00018
OG0000583	Pram.g_00547	Syae.g_00019
OG0000584	Pram.g_00548	Syae.g_00020
OG0000585	Pram.g_00550	Syae.g_00022
OG0000586	Pram.g_00551	Syae.g_00023
OG0000587	Pram.g_00552	Syae.g_00025
OG0000588	Pram.g_00556	Syae.g_00043
