Orthogroup	Prav	Prat
OG0000067	Prav.g_01014, Prav.g_01334	Prat.g_01532
OG0000068	Prav.g_00632	Prat.g_01726
OG0000069	Prav.g_01499	Prat.g_01394
OG0000071	Prav.g_00079	Prat.g_00012, Prat.g_00011
OG0000072	Prav.g_01968	Prat.g_00329
OG0000073	Prav.g_01267	Prat.g_01054
OG0000074	Prav.g_01289	Prat.g_00765
OG0000075	Prav.g_00404	Prat.g_01030
OG0000076	Prav.g_00933	Prat.g_00965
OG0000078	Prav.g_01514	Prat.g_01312
OG0000079	Prav.g_01551, Prav.g_01656	Prat.g_01442
OG0000080	Prav.g_01705	Prat.g_01539
OG0000081	Prav.g_00663	Prat.g_01759
OG0000083	Prav.g_00789	Prat.g_00003
OG0000084	Prav.g_00792	Prat.g_00006
OG0000085	Prav.g_00091	Prat.g_01314, Prat.g_00024
OG0000086	Prav.g_00110	Prat.g_00614
OG0000087	Prav.g_00120	Prat.g_00054
OG0000088	Prav.g_00178	Prat.g_00112
OG0000089	Prav.g_00186	Prat.g_00121
OG0000090	Prav.g_00204	Prat.g_00138
OG0000091	Prav.g_00869	Prat.g_00170
OG0000092	Prav.g_00868	Prat.g_00171
OG0000093	Prav.g_00854	Prat.g_00185
OG0000094	Prav.g_00836	Prat.g_00204
OG0000095	Prav.g_00831	Prat.g_00209
OG0000096	Prav.g_01898	Prat.g_00257
OG0000097	Prav.g_01920	Prat.g_00281
OG0000099	Prav.g_01940	Prat.g_00302
OG0000100	Prav.g_01943	Prat.g_00305
OG0000101	Prav.g_00976	Prat.g_00372
OG0000102	Prav.g_00999	Prat.g_01477
OG0000103	Prav.g_01074	Prat.g_00435
OG0000104	Prav.g_01078	Prat.g_00440
OG0000105	Prav.g_01097	Prat.g_00462
OG0000106	Prav.g_01130	Prat.g_00494
OG0000107	Prav.g_01131	Prat.g_00495
OG0000108	Prav.g_01141, Prav.g_00954	Prat.g_00504
OG0000109	Prav.g_01150	Prat.g_00514, Prat.g_00513
OG0000110	Prav.g_01166	Prat.g_00532
OG0000111	Prav.g_01249	Prat.g_01073
OG0000112	Prav.g_01250	Prat.g_01072
OG0000113	Prav.g_00328	Prat.g_00815
OG0000114	Prav.g_00395	Prat.g_01039
OG0000115	Prav.g_00556	Prat.g_00896
OG0000116	Prav.g_00560	Prat.g_00900
OG0000117	Prav.g_00930	Prat.g_00962
OG0000118	Prav.g_00261	Prat.g_01208
OG0000119	Prav.g_00036	Prat.g_01557
OG0000120	Prav.g_00071	Prat.g_01150
OG0000121	Prav.g_01856	Prat.g_01127
OG0000122	Prav.g_01837, Prav.g_00955	Prat.g_01107
OG0000123	Prav.g_01824	Prat.g_00595
OG0000124	Prav.g_02003	Prat.g_01509
OG0000125	Prav.g_01450	Prat.g_01261
OG0000126	Prav.g_01473	Prat.g_01291
OG0000127	Prav.g_01565	Prat.g_01338
OG0000128	Prav.g_01579	Prat.g_01354
OG0000129	Prav.g_01615	Prat.g_01392
OG0000130	Prav.g_01759	Prat.g_01589
OG0000131	Prav.g_01797	Prat.g_01377, Prat.g_01628
OG0000132	Prav.g_01800	Prat.g_01631
OG0000133	Prav.g_00591	Prat.g_01685
OG0000134	Prav.g_00627	Prat.g_01720
OG0000135	Prav.g_00629	Prat.g_01722
OG0000136	Prav.g_00674	Prat.g_01771
OG0000137	Prav.g_00706	Prat.g_01806
OG0000138	Prav.g_00741	Prat.g_01841
OG0000139	Prav.g_00768	Prat.g_01873
OG0000140	Prav.g_00787	Prat.g_00001
OG0000141	Prav.g_00788	Prat.g_00002
OG0000142	Prav.g_00790	Prat.g_00004
OG0000143	Prav.g_00791	Prat.g_00005
OG0000144	Prav.g_00793	Prat.g_00007
OG0000145	Prav.g_00794	Prat.g_00008
OG0000146	Prav.g_00795	Prat.g_00009
OG0000147	Prav.g_00078	Prat.g_00010
OG0000148	Prav.g_00080	Prat.g_00013
OG0000149	Prav.g_00082	Prat.g_00015
OG0000150	Prav.g_00083	Prat.g_00016
OG0000151	Prav.g_00084	Prat.g_00017
OG0000152	Prav.g_00085	Prat.g_00018
OG0000153	Prav.g_00086	Prat.g_00019
OG0000154	Prav.g_00087	Prat.g_00020
OG0000155	Prav.g_00088	Prat.g_00021
OG0000156	Prav.g_00089	Prat.g_00022
OG0000157	Prav.g_00090	Prat.g_00023
OG0000158	Prav.g_00092	Prat.g_00025
OG0000159	Prav.g_00093	Prat.g_00026
OG0000160	Prav.g_00094	Prat.g_00027
OG0000161	Prav.g_00095	Prat.g_00028
OG0000162	Prav.g_00096	Prat.g_00029
OG0000163	Prav.g_00097	Prat.g_00031
OG0000164	Prav.g_00100	Prat.g_00034
OG0000165	Prav.g_00103	Prat.g_00036
OG0000166	Prav.g_00104	Prat.g_00037
OG0000167	Prav.g_00105	Prat.g_00038
OG0000168	Prav.g_00111	Prat.g_00042
OG0000169	Prav.g_00113	Prat.g_00044
OG0000170	Prav.g_00114	Prat.g_00046
OG0000171	Prav.g_00115	Prat.g_00047
OG0000172	Prav.g_00116	Prat.g_00048
OG0000173	Prav.g_00117	Prat.g_00051
OG0000174	Prav.g_00118	Prat.g_00052
OG0000175	Prav.g_00119	Prat.g_00053
OG0000176	Prav.g_00121	Prat.g_00055
OG0000177	Prav.g_00122	Prat.g_00056
OG0000178	Prav.g_00123	Prat.g_00057
OG0000179	Prav.g_00129	Prat.g_00060
OG0000180	Prav.g_00130	Prat.g_00061
OG0000181	Prav.g_00131	Prat.g_00062
OG0000182	Prav.g_00134	Prat.g_00066
OG0000183	Prav.g_00135	Prat.g_00067
OG0000184	Prav.g_00138	Prat.g_00070
OG0000185	Prav.g_00142	Prat.g_00074
OG0000186	Prav.g_00143	Prat.g_00075
OG0000187	Prav.g_00144	Prat.g_01504
OG0000188	Prav.g_00145	Prat.g_00076
OG0000189	Prav.g_00146	Prat.g_00079
OG0000190	Prav.g_00147	Prat.g_00080
OG0000191	Prav.g_00148	Prat.g_00081
OG0000192	Prav.g_00149	Prat.g_00082
OG0000193	Prav.g_00150	Prat.g_00083
OG0000194	Prav.g_00151	Prat.g_00084
OG0000195	Prav.g_00153	Prat.g_00086
OG0000196	Prav.g_00154	Prat.g_00087
OG0000197	Prav.g_00155	Prat.g_00088
OG0000198	Prav.g_00156	Prat.g_00089
OG0000199	Prav.g_00159	Prat.g_00091
OG0000200	Prav.g_00160	Prat.g_00092
OG0000201	Prav.g_00161	Prat.g_00093
OG0000202	Prav.g_00162	Prat.g_00094
OG0000203	Prav.g_00163	Prat.g_00095
OG0000204	Prav.g_00164	Prat.g_00096
OG0000205	Prav.g_00165	Prat.g_00098
OG0000206	Prav.g_00166	Prat.g_00099
OG0000207	Prav.g_00167	Prat.g_00100
OG0000208	Prav.g_00168	Prat.g_00101
OG0000209	Prav.g_00169	Prat.g_00102
OG0000210	Prav.g_00171	Prat.g_00103
OG0000211	Prav.g_00172	Prat.g_00104
OG0000212	Prav.g_00173	Prat.g_00105
OG0000213	Prav.g_00174	Prat.g_00106
OG0000214	Prav.g_00176	Prat.g_00110
OG0000215	Prav.g_00177	Prat.g_00111
OG0000216	Prav.g_00179	Prat.g_00113
OG0000217	Prav.g_00180	Prat.g_00114
OG0000218	Prav.g_00181	Prat.g_00115
OG0000219	Prav.g_00182	Prat.g_00116
OG0000220	Prav.g_00185	Prat.g_00118
OG0000221	Prav.g_00187	Prat.g_00122
OG0000222	Prav.g_00188	Prat.g_00123
OG0000223	Prav.g_00189	Prat.g_00124
OG0000224	Prav.g_00192	Prat.g_00126
OG0000225	Prav.g_00194	Prat.g_00128
OG0000226	Prav.g_00195	Prat.g_00130
OG0000227	Prav.g_00196	Prat.g_00131
OG0000228	Prav.g_00197	Prat.g_00132
OG0000229	Prav.g_00198	Prat.g_00133
OG0000230	Prav.g_00199	Prat.g_00134
OG0000231	Prav.g_00201	Prat.g_00601
OG0000232	Prav.g_00202	Prat.g_00136
OG0000233	Prav.g_00205	Prat.g_00139
OG0000234	Prav.g_00207	Prat.g_00141
OG0000235	Prav.g_00212	Prat.g_00144
OG0000236	Prav.g_00213	Prat.g_00145
OG0000237	Prav.g_00214	Prat.g_00146
OG0000238	Prav.g_00215	Prat.g_00147
OG0000239	Prav.g_00216	Prat.g_00148
OG0000240	Prav.g_00887	Prat.g_00150
OG0000241	Prav.g_00886	Prat.g_00151
OG0000242	Prav.g_00885	Prat.g_00152
OG0000243	Prav.g_00884	Prat.g_00153
OG0000244	Prav.g_00883	Prat.g_00154
OG0000245	Prav.g_00882	Prat.g_00156
OG0000246	Prav.g_00880	Prat.g_00158
OG0000247	Prav.g_00879	Prat.g_00159
OG0000248	Prav.g_00878	Prat.g_00160
OG0000249	Prav.g_00877	Prat.g_00161
OG0000250	Prav.g_00876	Prat.g_00162
OG0000251	Prav.g_00875	Prat.g_00163
OG0000252	Prav.g_00874	Prat.g_00164
OG0000253	Prav.g_00873	Prat.g_00165
OG0000254	Prav.g_00871	Prat.g_00167
OG0000255	Prav.g_00870	Prat.g_00169
OG0000256	Prav.g_00867	Prat.g_00172
OG0000257	Prav.g_00865	Prat.g_00174
OG0000258	Prav.g_00864	Prat.g_00175
OG0000259	Prav.g_00863	Prat.g_00176
OG0000260	Prav.g_00862	Prat.g_00177
OG0000261	Prav.g_00861	Prat.g_00178
OG0000262	Prav.g_00860	Prat.g_00179
OG0000263	Prav.g_00859	Prat.g_00180
OG0000264	Prav.g_00857	Prat.g_00182
OG0000265	Prav.g_00856	Prat.g_00183
OG0000266	Prav.g_00855	Prat.g_00184
OG0000267	Prav.g_00853	Prat.g_00186
OG0000268	Prav.g_00852	Prat.g_00188
OG0000269	Prav.g_00851	Prat.g_00189
OG0000270	Prav.g_00850	Prat.g_00190
OG0000271	Prav.g_00849	Prat.g_00191
OG0000272	Prav.g_00848	Prat.g_00192
OG0000273	Prav.g_00847	Prat.g_00193
OG0000274	Prav.g_00846	Prat.g_00194
OG0000275	Prav.g_00845	Prat.g_00195
OG0000276	Prav.g_00844	Prat.g_00196
OG0000277	Prav.g_00843	Prat.g_00197
OG0000278	Prav.g_00842	Prat.g_00198
OG0000279	Prav.g_00841	Prat.g_00199
OG0000280	Prav.g_00840	Prat.g_00200
OG0000281	Prav.g_00838	Prat.g_00202
OG0000282	Prav.g_00837	Prat.g_00203
OG0000283	Prav.g_00834	Prat.g_00206
OG0000284	Prav.g_00833	Prat.g_00207
OG0000285	Prav.g_00832	Prat.g_00208
OG0000286	Prav.g_00830	Prat.g_00210
OG0000287	Prav.g_00829	Prat.g_00211
OG0000288	Prav.g_00828	Prat.g_00212
OG0000289	Prav.g_00827	Prat.g_00213
OG0000290	Prav.g_00826	Prat.g_00214
OG0000291	Prav.g_00825	Prat.g_00215
OG0000292	Prav.g_00824	Prat.g_00216
OG0000293	Prav.g_00823	Prat.g_00217
OG0000294	Prav.g_00822	Prat.g_00218
OG0000295	Prav.g_00821	Prat.g_00219
OG0000296	Prav.g_00820	Prat.g_00220
OG0000297	Prav.g_00819	Prat.g_00221
OG0000298	Prav.g_00818	Prat.g_00222
OG0000299	Prav.g_00817	Prat.g_00223
OG0000300	Prav.g_00816	Prat.g_00224
OG0000301	Prav.g_00815	Prat.g_00225
OG0000302	Prav.g_00814	Prat.g_00226
OG0000303	Prav.g_00813	Prat.g_00227
OG0000304	Prav.g_00812	Prat.g_00229
OG0000305	Prav.g_00811	Prat.g_00230
OG0000306	Prav.g_00810	Prat.g_00231
OG0000307	Prav.g_00809	Prat.g_00233
OG0000308	Prav.g_00808	Prat.g_00234
OG0000309	Prav.g_00807	Prat.g_00235
OG0000310	Prav.g_00806	Prat.g_00236
OG0000311	Prav.g_00805	Prat.g_00238
OG0000312	Prav.g_00803	Prat.g_00240
OG0000313	Prav.g_00802	Prat.g_00241
OG0000314	Prav.g_00799	Prat.g_00245
OG0000315	Prav.g_00798	Prat.g_00246
OG0000316	Prav.g_01889	Prat.g_00249
OG0000317	Prav.g_01891	Prat.g_00250
OG0000318	Prav.g_01892	Prat.g_00251
OG0000319	Prav.g_01893	Prat.g_00252
OG0000320	Prav.g_01894	Prat.g_00253
OG0000321	Prav.g_01897	Prat.g_00256
OG0000322	Prav.g_01900	Prat.g_00260
OG0000323	Prav.g_01901	Prat.g_00261
OG0000324	Prav.g_01904	Prat.g_00264
OG0000325	Prav.g_01906	Prat.g_00266
OG0000326	Prav.g_01907	Prat.g_00267
OG0000327	Prav.g_01909	Prat.g_00269
OG0000328	Prav.g_01910	Prat.g_00270
OG0000329	Prav.g_01911	Prat.g_00271
OG0000330	Prav.g_01912	Prat.g_00272
OG0000331	Prav.g_01913	Prat.g_00273
OG0000332	Prav.g_01914	Prat.g_00274
OG0000333	Prav.g_01915	Prat.g_00275
OG0000334	Prav.g_01916	Prat.g_00276
OG0000335	Prav.g_01917	Prat.g_00277
OG0000336	Prav.g_01918	Prat.g_00279
OG0000337	Prav.g_01921	Prat.g_00282
OG0000338	Prav.g_01922	Prat.g_00283
OG0000339	Prav.g_01923	Prat.g_00284
OG0000340	Prav.g_01924	Prat.g_00285
OG0000341	Prav.g_01928	Prat.g_00290
OG0000342	Prav.g_01929	Prat.g_00291
OG0000343	Prav.g_01931	Prat.g_00293
OG0000344	Prav.g_01932	Prat.g_00294
OG0000345	Prav.g_01933	Prat.g_00295
OG0000346	Prav.g_01934	Prat.g_00296
OG0000347	Prav.g_01935	Prat.g_00297
OG0000348	Prav.g_01936	Prat.g_00298
OG0000349	Prav.g_01937	Prat.g_00299
OG0000350	Prav.g_01938	Prat.g_00300
OG0000351	Prav.g_01941	Prat.g_00303
OG0000352	Prav.g_01944	Prat.g_00306
OG0000353	Prav.g_01945	Prat.g_00307
OG0000354	Prav.g_01946	Prat.g_00308
OG0000355	Prav.g_01947	Prat.g_00309
OG0000356	Prav.g_01948	Prat.g_00310
OG0000357	Prav.g_01949	Prat.g_00311
OG0000358	Prav.g_01950	Prat.g_00312
OG0000359	Prav.g_01951	Prat.g_00313
OG0000360	Prav.g_01954	Prat.g_00315
OG0000361	Prav.g_01955	Prat.g_00316
OG0000362	Prav.g_01956	Prat.g_00317
OG0000363	Prav.g_01957	Prat.g_00318
OG0000364	Prav.g_01958	Prat.g_00319
OG0000365	Prav.g_01959	Prat.g_00320
OG0000366	Prav.g_01960	Prat.g_00321
OG0000367	Prav.g_01961	Prat.g_00322
OG0000368	Prav.g_01962	Prat.g_00323
OG0000369	Prav.g_01963	Prat.g_00324
OG0000370	Prav.g_01964	Prat.g_00325
OG0000371	Prav.g_01965	Prat.g_00326
OG0000372	Prav.g_01967	Prat.g_00328
OG0000373	Prav.g_01969	Prat.g_00330
OG0000374	Prav.g_01970	Prat.g_00331
OG0000375	Prav.g_01971	Prat.g_00332
OG0000376	Prav.g_01973	Prat.g_00334
OG0000377	Prav.g_01974	Prat.g_00340
OG0000378	Prav.g_01975	Prat.g_00341
OG0000379	Prav.g_01980	Prat.g_00348
OG0000380	Prav.g_01981	Prat.g_00350
OG0000381	Prav.g_01982	Prat.g_00351
OG0000382	Prav.g_01984	Prat.g_00352
OG0000383	Prav.g_01987	Prat.g_00355
OG0000384	Prav.g_01988	Prat.g_00356
OG0000385	Prav.g_01991	Prat.g_00359
OG0000386	Prav.g_01992	Prat.g_00360
OG0000387	Prav.g_01993	Prat.g_00361
OG0000388	Prav.g_01994	Prat.g_00362
OG0000389	Prav.g_01995	Prat.g_00363
OG0000390	Prav.g_01996	Prat.g_00364
OG0000391	Prav.g_01997	Prat.g_00365
OG0000392	Prav.g_01998	Prat.g_00366
OG0000393	Prav.g_00974	Prat.g_00369
OG0000394	Prav.g_00975	Prat.g_00370
OG0000395	Prav.g_00977	Prat.g_00373
OG0000396	Prav.g_00978	Prat.g_00985
OG0000397	Prav.g_00990	Prat.g_01203
OG0000398	Prav.g_00996	Prat.g_01469
OG0000399	Prav.g_00997	Prat.g_00671
OG0000400	Prav.g_01001	Prat.g_01656
OG0000401	Prav.g_01030	Prat.g_00390
OG0000402	Prav.g_01031	Prat.g_00391
OG0000403	Prav.g_01032	Prat.g_00392
OG0000404	Prav.g_01034	Prat.g_00395
OG0000405	Prav.g_01035	Prat.g_00396
OG0000406	Prav.g_01037	Prat.g_00398
OG0000407	Prav.g_01038	Prat.g_00399
OG0000408	Prav.g_01039	Prat.g_00400
OG0000409	Prav.g_01040	Prat.g_00401
OG0000410	Prav.g_01041	Prat.g_00403
OG0000411	Prav.g_01042	Prat.g_00404
OG0000412	Prav.g_01043	Prat.g_00405
OG0000413	Prav.g_01044	Prat.g_00406
OG0000414	Prav.g_01045	Prat.g_00407
OG0000415	Prav.g_01046	Prat.g_00408
OG0000416	Prav.g_01047	Prat.g_00410
OG0000417	Prav.g_01048	Prat.g_00411
OG0000418	Prav.g_01049	Prat.g_00412
OG0000419	Prav.g_01050	Prat.g_00413
OG0000420	Prav.g_01051	Prat.g_00414
OG0000421	Prav.g_01052	Prat.g_00415
OG0000422	Prav.g_01053	Prat.g_00417
OG0000423	Prav.g_01054	Prat.g_00418
OG0000424	Prav.g_01056	Prat.g_00419
OG0000425	Prav.g_01059	Prat.g_00424
OG0000426	Prav.g_01060	Prat.g_00425
OG0000427	Prav.g_01061	Prat.g_00426
OG0000428	Prav.g_01062	Prat.g_00428
OG0000429	Prav.g_01063	Prat.g_00429
OG0000430	Prav.g_01069	Prat.g_00430
OG0000431	Prav.g_01071	Prat.g_00432
OG0000432	Prav.g_01072	Prat.g_00433
OG0000433	Prav.g_01075	Prat.g_00436
OG0000434	Prav.g_01076	Prat.g_00438
OG0000435	Prav.g_01077	Prat.g_00439
OG0000436	Prav.g_01079	Prat.g_00441
OG0000437	Prav.g_01081	Prat.g_00443
OG0000438	Prav.g_01082	Prat.g_00444
OG0000439	Prav.g_01083	Prat.g_00445
OG0000440	Prav.g_01085	Prat.g_00447
OG0000441	Prav.g_01086	Prat.g_00448
OG0000442	Prav.g_01087	Prat.g_00449
OG0000443	Prav.g_01088	Prat.g_00450
OG0000444	Prav.g_01089	Prat.g_00451
OG0000445	Prav.g_01090	Prat.g_00453
OG0000446	Prav.g_01091	Prat.g_00454
OG0000447	Prav.g_01092	Prat.g_00455
OG0000448	Prav.g_01093	Prat.g_00456
OG0000449	Prav.g_01098	Prat.g_00463
OG0000450	Prav.g_01099	Prat.g_00464
OG0000451	Prav.g_01100	Prat.g_00465
OG0000452	Prav.g_01101	Prat.g_00466
OG0000453	Prav.g_01103	Prat.g_00468
OG0000454	Prav.g_01104	Prat.g_00469
OG0000455	Prav.g_01105	Prat.g_00470
OG0000456	Prav.g_01106	Prat.g_00471
OG0000457	Prav.g_01108	Prat.g_00473
OG0000458	Prav.g_01110	Prat.g_00475
OG0000459	Prav.g_01111	Prat.g_00476
OG0000460	Prav.g_01113	Prat.g_00478
OG0000461	Prav.g_01114	Prat.g_00479
OG0000462	Prav.g_01115	Prat.g_00480
OG0000463	Prav.g_01116	Prat.g_00482
OG0000464	Prav.g_01121	Prat.g_00486
OG0000465	Prav.g_01123	Prat.g_00487
OG0000466	Prav.g_01124	Prat.g_00488
OG0000467	Prav.g_01125	Prat.g_00489
OG0000468	Prav.g_01126	Prat.g_00490
OG0000469	Prav.g_01127	Prat.g_00491
OG0000470	Prav.g_01128	Prat.g_00492
OG0000471	Prav.g_01129	Prat.g_00493
OG0000472	Prav.g_01132	Prat.g_00496
OG0000473	Prav.g_01133	Prat.g_00497
OG0000474	Prav.g_01134	Prat.g_00498
OG0000475	Prav.g_01135	Prat.g_00499
OG0000476	Prav.g_01136	Prat.g_00500
OG0000477	Prav.g_01138	Prat.g_00501
OG0000478	Prav.g_01139	Prat.g_00502
OG0000479	Prav.g_01140	Prat.g_00503
OG0000480	Prav.g_01142	Prat.g_00505
OG0000481	Prav.g_01143	Prat.g_00506
OG0000482	Prav.g_01144	Prat.g_00507
OG0000483	Prav.g_01145	Prat.g_00508
OG0000484	Prav.g_01146	Prat.g_00509
OG0000485	Prav.g_01147	Prat.g_00510
OG0000486	Prav.g_01148	Prat.g_00511
OG0000487	Prav.g_01149	Prat.g_00512
OG0000488	Prav.g_01151	Prat.g_00515
OG0000489	Prav.g_01152	Prat.g_00516
OG0000490	Prav.g_01153	Prat.g_00517
OG0000491	Prav.g_01154	Prat.g_00518
OG0000492	Prav.g_01155	Prat.g_00519
OG0000493	Prav.g_01156	Prat.g_00520
OG0000494	Prav.g_01158	Prat.g_00522
OG0000495	Prav.g_01159	Prat.g_00523
OG0000496	Prav.g_01160	Prat.g_00525
OG0000497	Prav.g_01161	Prat.g_00527
OG0000498	Prav.g_01162	Prat.g_00528
OG0000499	Prav.g_01164	Prat.g_00530
OG0000500	Prav.g_01165	Prat.g_00531
OG0000501	Prav.g_01167	Prat.g_00533
OG0000502	Prav.g_01168	Prat.g_00534
OG0000503	Prav.g_01169	Prat.g_00536
OG0000504	Prav.g_01170	Prat.g_00537
OG0000505	Prav.g_01171	Prat.g_00538
OG0000506	Prav.g_01172	Prat.g_00539
OG0000507	Prav.g_01173	Prat.g_00540
OG0000508	Prav.g_01175	Prat.g_00542
OG0000509	Prav.g_01176	Prat.g_00543
OG0000510	Prav.g_01177	Prat.g_00544
OG0000511	Prav.g_01178	Prat.g_00545
OG0000512	Prav.g_01179	Prat.g_00546
OG0000513	Prav.g_01180	Prat.g_00547
OG0000514	Prav.g_01181	Prat.g_00548
OG0000515	Prav.g_01183	Prat.g_00549
OG0000516	Prav.g_01184	Prat.g_00550
OG0000517	Prav.g_01185	Prat.g_00551
OG0000518	Prav.g_01187	Prat.g_00553
OG0000519	Prav.g_01188	Prat.g_00554
OG0000520	Prav.g_01189	Prat.g_00555
OG0000521	Prav.g_01190	Prat.g_00556
OG0000522	Prav.g_01191	Prat.g_00557
OG0000523	Prav.g_01192	Prat.g_00558
OG0000524	Prav.g_01193	Prat.g_00559
OG0000525	Prav.g_01195	Prat.g_00561
OG0000526	Prav.g_01196	Prat.g_00562
OG0000527	Prav.g_01197	Prat.g_00563
OG0000528	Prav.g_01198	Prat.g_00564
OG0000529	Prav.g_01199	Prat.g_00565
OG0000530	Prav.g_01200	Prat.g_00566
OG0000531	Prav.g_01201	Prat.g_00568
OG0000532	Prav.g_01202	Prat.g_00569
OG0000533	Prav.g_01203	Prat.g_00570
OG0000534	Prav.g_01204	Prat.g_00571
OG0000535	Prav.g_01205	Prat.g_00572
OG0000536	Prav.g_01206	Prat.g_00573
OG0000537	Prav.g_01207	Prat.g_00574
OG0000538	Prav.g_01208	Prat.g_00575
OG0000539	Prav.g_01209	Prat.g_00576
OG0000540	Prav.g_01210	Prat.g_00577
OG0000541	Prav.g_01211	Prat.g_00579
OG0000542	Prav.g_01212	Prat.g_00580
OG0000543	Prav.g_01213	Prat.g_00581
OG0000544	Prav.g_01214	Prat.g_00582
OG0000545	Prav.g_01219	Prat.g_00584
OG0000546	Prav.g_01220	Prat.g_00585
OG0000547	Prav.g_01222	Prat.g_00587
OG0000548	Prav.g_01223	Prat.g_00589
OG0000549	Prav.g_01224	Prat.g_00590
OG0000550	Prav.g_01225	Prat.g_00591
OG0000551	Prav.g_01226	Prat.g_00592
OG0000552	Prav.g_01227	Prat.g_00593
OG0000553	Prav.g_01228	Prat.g_01097
OG0000554	Prav.g_01229	Prat.g_01095
OG0000555	Prav.g_01230	Prat.g_01094
OG0000556	Prav.g_01231	Prat.g_01093
OG0000557	Prav.g_01232	Prat.g_01091
OG0000558	Prav.g_01233	Prat.g_01090
OG0000559	Prav.g_01234	Prat.g_01089
OG0000560	Prav.g_01236	Prat.g_01087
OG0000561	Prav.g_01237	Prat.g_01086
OG0000562	Prav.g_01238	Prat.g_01084
OG0000563	Prav.g_01239	Prat.g_01083
OG0000564	Prav.g_01240	Prat.g_01082
OG0000565	Prav.g_01241	Prat.g_01081
OG0000566	Prav.g_01242	Prat.g_01080
OG0000567	Prav.g_01243	Prat.g_01079
OG0000568	Prav.g_01244	Prat.g_01078
OG0000569	Prav.g_01245	Prat.g_01077
OG0000570	Prav.g_01246	Prat.g_01076
OG0000571	Prav.g_01247	Prat.g_01075
OG0000572	Prav.g_01248	Prat.g_01074
OG0000573	Prav.g_01251	Prat.g_01071
OG0000574	Prav.g_01252	Prat.g_01070
OG0000575	Prav.g_01253	Prat.g_01069
OG0000576	Prav.g_01254	Prat.g_01068
OG0000577	Prav.g_01255	Prat.g_01067
OG0000578	Prav.g_01256	Prat.g_01066
OG0000579	Prav.g_01257	Prat.g_01065
OG0000580	Prav.g_01258	Prat.g_01064
OG0000581	Prav.g_01259	Prat.g_01063
