Orthogroup	Prav	Pram
OG0000109	Prav.g_01150	Pram.g_00489
OG0000110	Prav.g_01166	Pram.g_00507
OG0000111	Prav.g_01249	Pram.g_01059
OG0000112	Prav.g_01250	Pram.g_01058
OG0000113	Prav.g_00328	Pram.g_01006
OG0000114	Prav.g_00395	Pram.g_00807
OG0000115	Prav.g_00556	Pram.g_00943
OG0000116	Prav.g_00560	Pram.g_00947
OG0000117	Prav.g_00930	Pram.g_00891
OG0000118	Prav.g_00261	Pram.g_01185
OG0000119	Prav.g_00036	Pram.g_01549
OG0000120	Prav.g_00071	Pram.g_01133
OG0000121	Prav.g_01856	Pram.g_01110
OG0000122	Prav.g_01837, Prav.g_00955	Pram.g_01090
OG0000123	Prav.g_01824	Pram.g_00571
OG0000124	Prav.g_02003	Pram.g_01254
OG0000125	Prav.g_01450	Pram.g_01242
OG0000126	Prav.g_01473	Pram.g_01468
OG0000127	Prav.g_01565	Pram.g_01393
OG0000128	Prav.g_01579	Pram.g_01377
OG0000129	Prav.g_01615	Pram.g_01341
OG0000130	Prav.g_01759	Pram.g_01629
OG0000131	Prav.g_01797	Pram.g_01669
OG0000132	Prav.g_01800	Pram.g_01672
OG0000133	Prav.g_00591	Pram.g_01728
OG0000134	Prav.g_00627	Pram.g_01764
OG0000135	Prav.g_00629	Pram.g_01766
OG0000136	Prav.g_00674	Pram.g_01817
OG0000137	Prav.g_00706	Pram.g_01851
OG0000138	Prav.g_00741	Pram.g_01886
OG0000139	Prav.g_00768	Pram.g_01917
OG0000140	Prav.g_00787	Pram.g_01939
OG0000141	Prav.g_00788	Pram.g_01940
OG0000142	Prav.g_00790	Pram.g_01942
OG0000143	Prav.g_00791	Pram.g_01943
OG0000144	Prav.g_00793	Pram.g_01945
OG0000145	Prav.g_00794	Pram.g_01946
OG0000146	Prav.g_00795	Pram.g_01947
OG0000147	Prav.g_00078	Pram.g_01948
OG0000148	Prav.g_00080	Pram.g_01950
OG0000149	Prav.g_00082	Pram.g_00001
OG0000150	Prav.g_00083	Pram.g_00002
OG0000151	Prav.g_00084	Pram.g_00003
OG0000152	Prav.g_00085	Pram.g_00004
OG0000153	Prav.g_00086	Pram.g_00005
OG0000154	Prav.g_00087	Pram.g_00006
OG0000155	Prav.g_00088	Pram.g_00007
OG0000156	Prav.g_00089	Pram.g_00008
OG0000157	Prav.g_00090	Pram.g_00009
OG0000158	Prav.g_00092	Pram.g_00011
OG0000159	Prav.g_00093	Pram.g_00012
OG0000160	Prav.g_00094	Pram.g_00013
OG0000161	Prav.g_00095	Pram.g_00014
OG0000162	Prav.g_00096	Pram.g_00015
OG0000163	Prav.g_00097	Pram.g_00016
OG0000164	Prav.g_00100	Pram.g_00019
OG0000165	Prav.g_00103	Pram.g_00021
OG0000166	Prav.g_00104	Pram.g_00022
OG0000167	Prav.g_00105	Pram.g_00023
OG0000168	Prav.g_00111	Pram.g_00024
OG0000169	Prav.g_00113	Pram.g_00026
OG0000170	Prav.g_00114	Pram.g_00028
OG0000171	Prav.g_00115	Pram.g_00029
OG0000172	Prav.g_00116	Pram.g_00030
OG0000173	Prav.g_00117	Pram.g_00033
OG0000174	Prav.g_00118	Pram.g_00034
OG0000175	Prav.g_00119	Pram.g_00035
OG0000176	Prav.g_00121	Pram.g_00037
OG0000177	Prav.g_00122	Pram.g_00038
OG0000178	Prav.g_00123	Pram.g_00039
OG0000179	Prav.g_00129	Pram.g_00048
OG0000180	Prav.g_00130	Pram.g_00049
OG0000181	Prav.g_00131	Pram.g_00050
OG0000182	Prav.g_00134	Pram.g_00054
OG0000183	Prav.g_00135	Pram.g_00055
OG0000184	Prav.g_00138	Pram.g_00058
OG0000185	Prav.g_00142	Pram.g_00062
OG0000186	Prav.g_00143	Pram.g_00063
OG0000187	Prav.g_00144	Pram.g_01536
OG0000188	Prav.g_00145	Pram.g_00064
OG0000189	Prav.g_00146	Pram.g_00065
OG0000190	Prav.g_00147	Pram.g_00066
OG0000191	Prav.g_00148	Pram.g_00067
OG0000192	Prav.g_00149	Pram.g_00068
OG0000193	Prav.g_00150	Pram.g_00069
OG0000194	Prav.g_00151	Pram.g_00070
OG0000195	Prav.g_00153	Pram.g_00072
OG0000196	Prav.g_00154	Pram.g_00073
OG0000197	Prav.g_00155	Pram.g_00074
OG0000198	Prav.g_00156	Pram.g_00075
OG0000199	Prav.g_00159	Pram.g_00078
OG0000200	Prav.g_00160	Pram.g_00079
OG0000201	Prav.g_00161	Pram.g_00080
OG0000202	Prav.g_00162	Pram.g_00081
OG0000203	Prav.g_00163	Pram.g_00082
OG0000204	Prav.g_00164	Pram.g_00083
OG0000205	Prav.g_00165	Pram.g_00085
OG0000206	Prav.g_00166	Pram.g_00086
OG0000207	Prav.g_00167	Pram.g_00087
OG0000208	Prav.g_00168	Pram.g_00088
OG0000209	Prav.g_00169	Pram.g_00089
OG0000210	Prav.g_00171	Pram.g_00090
OG0000211	Prav.g_00172	Pram.g_00091
OG0000212	Prav.g_00173	Pram.g_00092
OG0000213	Prav.g_00174	Pram.g_00093
OG0000214	Prav.g_00176	Pram.g_00097
OG0000215	Prav.g_00177	Pram.g_00098
OG0000216	Prav.g_00179	Pram.g_00100
OG0000217	Prav.g_00180	Pram.g_00101
OG0000218	Prav.g_00181	Pram.g_00102
OG0000219	Prav.g_00182	Pram.g_00103
OG0000220	Prav.g_00185	Pram.g_00106
OG0000221	Prav.g_00187	Pram.g_00109
OG0000222	Prav.g_00188	Pram.g_00110
OG0000223	Prav.g_00189	Pram.g_00111
OG0000224	Prav.g_00192	Pram.g_00113
OG0000225	Prav.g_00194	Pram.g_00115
OG0000226	Prav.g_00195	Pram.g_00117
OG0000227	Prav.g_00196	Pram.g_00118
OG0000228	Prav.g_00197	Pram.g_00119
OG0000229	Prav.g_00198	Pram.g_00120
OG0000230	Prav.g_00199	Pram.g_00121
OG0000231	Prav.g_00201	Pram.g_01001
OG0000232	Prav.g_00202	Pram.g_00123
OG0000233	Prav.g_00205	Pram.g_00126
OG0000234	Prav.g_00207	Pram.g_00128
OG0000235	Prav.g_00212	Pram.g_00130
OG0000236	Prav.g_00213	Pram.g_00131
OG0000237	Prav.g_00214	Pram.g_00132
OG0000238	Prav.g_00215	Pram.g_00133
OG0000239	Prav.g_00216	Pram.g_00134
OG0000240	Prav.g_00887	Pram.g_00136
OG0000241	Prav.g_00886	Pram.g_00137
OG0000242	Prav.g_00885	Pram.g_00138
OG0000243	Prav.g_00884	Pram.g_00139
OG0000244	Prav.g_00883	Pram.g_00140
OG0000245	Prav.g_00882	Pram.g_00141
OG0000246	Prav.g_00880	Pram.g_00143
OG0000247	Prav.g_00879	Pram.g_00144
OG0000248	Prav.g_00878	Pram.g_00145
OG0000249	Prav.g_00877	Pram.g_00146
OG0000250	Prav.g_00876	Pram.g_00147
OG0000251	Prav.g_00875	Pram.g_00148
OG0000252	Prav.g_00874	Pram.g_00149
OG0000253	Prav.g_00873	Pram.g_00150
OG0000254	Prav.g_00871	Pram.g_00152
OG0000255	Prav.g_00870	Pram.g_00153
OG0000256	Prav.g_00867	Pram.g_00156
OG0000257	Prav.g_00865	Pram.g_00157
OG0000258	Prav.g_00864	Pram.g_00158
OG0000259	Prav.g_00863	Pram.g_00159
OG0000260	Prav.g_00862	Pram.g_00160
OG0000261	Prav.g_00861	Pram.g_00161
OG0000262	Prav.g_00860	Pram.g_00162
OG0000263	Prav.g_00859	Pram.g_00163
OG0000264	Prav.g_00857	Pram.g_00165
OG0000265	Prav.g_00856	Pram.g_00166
OG0000266	Prav.g_00855	Pram.g_00167
OG0000267	Prav.g_00853	Pram.g_00169
OG0000268	Prav.g_00852	Pram.g_00171
OG0000269	Prav.g_00851	Pram.g_00172
OG0000270	Prav.g_00850	Pram.g_00173
OG0000271	Prav.g_00849	Pram.g_00174
OG0000272	Prav.g_00848	Pram.g_00175
OG0000273	Prav.g_00847	Pram.g_00176
OG0000274	Prav.g_00846	Pram.g_00177
OG0000275	Prav.g_00845	Pram.g_00178
OG0000276	Prav.g_00844	Pram.g_00179
OG0000277	Prav.g_00843	Pram.g_00180
OG0000278	Prav.g_00842	Pram.g_00181
OG0000279	Prav.g_00841	Pram.g_00182
OG0000280	Prav.g_00840	Pram.g_00183
OG0000281	Prav.g_00838	Pram.g_00185
OG0000282	Prav.g_00837	Pram.g_00186
OG0000283	Prav.g_00834	Pram.g_00189
OG0000284	Prav.g_00833	Pram.g_00190
OG0000285	Prav.g_00832	Pram.g_00191
OG0000286	Prav.g_00830	Pram.g_00193
OG0000287	Prav.g_00829	Pram.g_00194
OG0000288	Prav.g_00828	Pram.g_00195
OG0000289	Prav.g_00827	Pram.g_00196
OG0000290	Prav.g_00826	Pram.g_00197
OG0000291	Prav.g_00825	Pram.g_00198
OG0000292	Prav.g_00824	Pram.g_00199
OG0000293	Prav.g_00823	Pram.g_00200
OG0000294	Prav.g_00822	Pram.g_00201
OG0000295	Prav.g_00821	Pram.g_00202
OG0000296	Prav.g_00820	Pram.g_00203
OG0000297	Prav.g_00819	Pram.g_00204
OG0000298	Prav.g_00818	Pram.g_00205
OG0000299	Prav.g_00817	Pram.g_00206
OG0000300	Prav.g_00816	Pram.g_00207
OG0000301	Prav.g_00815	Pram.g_00208
OG0000302	Prav.g_00814	Pram.g_00209
OG0000303	Prav.g_00813	Pram.g_00210
OG0000304	Prav.g_00812	Pram.g_00212
OG0000305	Prav.g_00811	Pram.g_00213
OG0000306	Prav.g_00810	Pram.g_00214
OG0000307	Prav.g_00809	Pram.g_00216
OG0000308	Prav.g_00808	Pram.g_00217
OG0000309	Prav.g_00807	Pram.g_00218
OG0000310	Prav.g_00806	Pram.g_00219
OG0000311	Prav.g_00805	Pram.g_00220
OG0000312	Prav.g_00803	Pram.g_00222
OG0000313	Prav.g_00802	Pram.g_00223
OG0000314	Prav.g_00799	Pram.g_00227
OG0000315	Prav.g_00798	Pram.g_00228
OG0000316	Prav.g_01889	Pram.g_00230
OG0000317	Prav.g_01891	Pram.g_00232
OG0000318	Prav.g_01892	Pram.g_00233
OG0000319	Prav.g_01893	Pram.g_00234
OG0000320	Prav.g_01894	Pram.g_00235
OG0000321	Prav.g_01897	Pram.g_00238
OG0000322	Prav.g_01900	Pram.g_00242
OG0000323	Prav.g_01901	Pram.g_00243
OG0000324	Prav.g_01904	Pram.g_00246
OG0000325	Prav.g_01906	Pram.g_00247
OG0000326	Prav.g_01907	Pram.g_00248
OG0000327	Prav.g_01909	Pram.g_00250
OG0000328	Prav.g_01910	Pram.g_00251
OG0000329	Prav.g_01911	Pram.g_00252
OG0000330	Prav.g_01912	Pram.g_00253
OG0000331	Prav.g_01913	Pram.g_00254
OG0000332	Prav.g_01914	Pram.g_00255
OG0000333	Prav.g_01915	Pram.g_00256
OG0000334	Prav.g_01916	Pram.g_00257
OG0000335	Prav.g_01917	Pram.g_00258
OG0000336	Prav.g_01918	Pram.g_00260
OG0000337	Prav.g_01921	Pram.g_00263
OG0000338	Prav.g_01922	Pram.g_00264
OG0000339	Prav.g_01923	Pram.g_00265
OG0000340	Prav.g_01924	Pram.g_00266
OG0000341	Prav.g_01928	Pram.g_00270
OG0000342	Prav.g_01929	Pram.g_00271
OG0000343	Prav.g_01931	Pram.g_00274
OG0000344	Prav.g_01932	Pram.g_00275
OG0000345	Prav.g_01933	Pram.g_00276
OG0000346	Prav.g_01934	Pram.g_00277
OG0000347	Prav.g_01935	Pram.g_00278
OG0000348	Prav.g_01936	Pram.g_00280
OG0000349	Prav.g_01937	Pram.g_00281
OG0000350	Prav.g_01938	Pram.g_00282
OG0000351	Prav.g_01941	Pram.g_00284
OG0000352	Prav.g_01944	Pram.g_00287
OG0000353	Prav.g_01945	Pram.g_00288
OG0000354	Prav.g_01946	Pram.g_00289
OG0000355	Prav.g_01947	Pram.g_00290
OG0000356	Prav.g_01948	Pram.g_00291
OG0000357	Prav.g_01949	Pram.g_00292
OG0000358	Prav.g_01950	Pram.g_00293
OG0000359	Prav.g_01951	Pram.g_00294
OG0000360	Prav.g_01954	Pram.g_00296
OG0000361	Prav.g_01955	Pram.g_00297
OG0000362	Prav.g_01956	Pram.g_00298
OG0000363	Prav.g_01957	Pram.g_00299
OG0000364	Prav.g_01958	Pram.g_00300
OG0000365	Prav.g_01959	Pram.g_00301
OG0000366	Prav.g_01960	Pram.g_00302
OG0000367	Prav.g_01961	Pram.g_00303
OG0000368	Prav.g_01962	Pram.g_00304
OG0000369	Prav.g_01963	Pram.g_00305
OG0000370	Prav.g_01964	Pram.g_00306
OG0000371	Prav.g_01965	Pram.g_00307
OG0000372	Prav.g_01967	Pram.g_00309
OG0000373	Prav.g_01969	Pram.g_00311
OG0000374	Prav.g_01970	Pram.g_00312
OG0000375	Prav.g_01971	Pram.g_00313
OG0000376	Prav.g_01973	Pram.g_00315
OG0000377	Prav.g_01974	Pram.g_00321
OG0000378	Prav.g_01975	Pram.g_00322
OG0000379	Prav.g_01980	Pram.g_00328
OG0000380	Prav.g_01981	Pram.g_00330
OG0000381	Prav.g_01982	Pram.g_00331
OG0000382	Prav.g_01984	Pram.g_00332
OG0000383	Prav.g_01987	Pram.g_00336
OG0000384	Prav.g_01988	Pram.g_00337
OG0000385	Prav.g_01991	Pram.g_00340
OG0000386	Prav.g_01992	Pram.g_00341
OG0000387	Prav.g_01993	Pram.g_00342
OG0000388	Prav.g_01994	Pram.g_00343
OG0000389	Prav.g_01995	Pram.g_00344
OG0000390	Prav.g_01996	Pram.g_00345
OG0000391	Prav.g_01997	Pram.g_00346
OG0000392	Prav.g_01998	Pram.g_00347
OG0000393	Prav.g_00974	Pram.g_00351
OG0000394	Prav.g_00975	Pram.g_00352
OG0000395	Prav.g_00977	Pram.g_00355
OG0000396	Prav.g_00978	Pram.g_00864
OG0000397	Prav.g_00990	Pram.g_01184
OG0000398	Prav.g_00996	Pram.g_01537
OG0000399	Prav.g_00997	Pram.g_01177
OG0000400	Prav.g_01001	Pram.g_01696
OG0000401	Prav.g_01030	Pram.g_00366
OG0000402	Prav.g_01031	Pram.g_00367
OG0000403	Prav.g_01032	Pram.g_00368
OG0000404	Prav.g_01034	Pram.g_00370
OG0000405	Prav.g_01035	Pram.g_00371
OG0000406	Prav.g_01037	Pram.g_00373
OG0000407	Prav.g_01038	Pram.g_00374
OG0000408	Prav.g_01039	Pram.g_00375
OG0000409	Prav.g_01040	Pram.g_00376
OG0000410	Prav.g_01041	Pram.g_00377
OG0000411	Prav.g_01042	Pram.g_00378
OG0000412	Prav.g_01043	Pram.g_00379
OG0000413	Prav.g_01044	Pram.g_00380
OG0000414	Prav.g_01045	Pram.g_00381
OG0000415	Prav.g_01046	Pram.g_00382
OG0000416	Prav.g_01047	Pram.g_00383
OG0000417	Prav.g_01048	Pram.g_00384
OG0000418	Prav.g_01049	Pram.g_00385
OG0000419	Prav.g_01050	Pram.g_00386
OG0000420	Prav.g_01051	Pram.g_00387
OG0000421	Prav.g_01052	Pram.g_00393
OG0000422	Prav.g_01053	Pram.g_00395
OG0000423	Prav.g_01054	Pram.g_00396
OG0000424	Prav.g_01056	Pram.g_00397
OG0000425	Prav.g_01059	Pram.g_00400
OG0000426	Prav.g_01060	Pram.g_00401
OG0000427	Prav.g_01061	Pram.g_00402
OG0000428	Prav.g_01062	Pram.g_00404
OG0000429	Prav.g_01063	Pram.g_00406
OG0000430	Prav.g_01069	Pram.g_00407
OG0000431	Prav.g_01071	Pram.g_00409
OG0000432	Prav.g_01072	Pram.g_00410
OG0000433	Prav.g_01075	Pram.g_00413
OG0000434	Prav.g_01076	Pram.g_00414
OG0000435	Prav.g_01077	Pram.g_00415
OG0000436	Prav.g_01079	Pram.g_00417
OG0000437	Prav.g_01081	Pram.g_00419
OG0000438	Prav.g_01082	Pram.g_00420
OG0000439	Prav.g_01083	Pram.g_00421
OG0000440	Prav.g_01085	Pram.g_00423
OG0000441	Prav.g_01086	Pram.g_00424
OG0000442	Prav.g_01087	Pram.g_00425
OG0000443	Prav.g_01088	Pram.g_00426
OG0000444	Prav.g_01089	Pram.g_00427
OG0000445	Prav.g_01090	Pram.g_00428
OG0000446	Prav.g_01091	Pram.g_00429
OG0000447	Prav.g_01092	Pram.g_00430
OG0000448	Prav.g_01093	Pram.g_00431
OG0000449	Prav.g_01098	Pram.g_00438
OG0000450	Prav.g_01099	Pram.g_00439
OG0000451	Prav.g_01100	Pram.g_00440
OG0000452	Prav.g_01101	Pram.g_00441
OG0000453	Prav.g_01103	Pram.g_00442
OG0000454	Prav.g_01104	Pram.g_00443
OG0000455	Prav.g_01105	Pram.g_00444
OG0000456	Prav.g_01106	Pram.g_00445
OG0000457	Prav.g_01108	Pram.g_00447
OG0000458	Prav.g_01110	Pram.g_00449
OG0000459	Prav.g_01111	Pram.g_00450
OG0000460	Prav.g_01113	Pram.g_00452
OG0000461	Prav.g_01114	Pram.g_00453
OG0000462	Prav.g_01115	Pram.g_00454
OG0000463	Prav.g_01116	Pram.g_00456
OG0000464	Prav.g_01121	Pram.g_00461
OG0000465	Prav.g_01123	Pram.g_00462
OG0000466	Prav.g_01124	Pram.g_00463
OG0000467	Prav.g_01125	Pram.g_00464
OG0000468	Prav.g_01126	Pram.g_00465
OG0000469	Prav.g_01127	Pram.g_00466
OG0000470	Prav.g_01128	Pram.g_00468
OG0000471	Prav.g_01129	Pram.g_00469
OG0000472	Prav.g_01132	Pram.g_00472
OG0000473	Prav.g_01133	Pram.g_00473
OG0000474	Prav.g_01134	Pram.g_00474
OG0000475	Prav.g_01135	Pram.g_00475
OG0000476	Prav.g_01136	Pram.g_00476
OG0000477	Prav.g_01138	Pram.g_00477
OG0000478	Prav.g_01139	Pram.g_00478
OG0000479	Prav.g_01140	Pram.g_00479
OG0000480	Prav.g_01142	Pram.g_00481
OG0000481	Prav.g_01143	Pram.g_00482
OG0000482	Prav.g_01144	Pram.g_00483
OG0000483	Prav.g_01145	Pram.g_00484
OG0000484	Prav.g_01146	Pram.g_00485
OG0000485	Prav.g_01147	Pram.g_00486
OG0000486	Prav.g_01148	Pram.g_00487
OG0000487	Prav.g_01149	Pram.g_00488
OG0000488	Prav.g_01151	Pram.g_00490
OG0000489	Prav.g_01152	Pram.g_00491
OG0000490	Prav.g_01153	Pram.g_00492
OG0000491	Prav.g_01154	Pram.g_00493
OG0000492	Prav.g_01155	Pram.g_00494
OG0000493	Prav.g_01156	Pram.g_00495
OG0000494	Prav.g_01158	Pram.g_00497
OG0000495	Prav.g_01159	Pram.g_00498
OG0000496	Prav.g_01160	Pram.g_00500
OG0000497	Prav.g_01161	Pram.g_00502
OG0000498	Prav.g_01162	Pram.g_00503
OG0000499	Prav.g_01164	Pram.g_00505
OG0000500	Prav.g_01165	Pram.g_00506
OG0000501	Prav.g_01167	Pram.g_00508
OG0000502	Prav.g_01168	Pram.g_00509
OG0000503	Prav.g_01169	Pram.g_00510
OG0000504	Prav.g_01170	Pram.g_00511
OG0000505	Prav.g_01171	Pram.g_00512
OG0000506	Prav.g_01172	Pram.g_00513
OG0000507	Prav.g_01173	Pram.g_00514
OG0000508	Prav.g_01175	Pram.g_00516
OG0000509	Prav.g_01176	Pram.g_00517
OG0000510	Prav.g_01177	Pram.g_00518
OG0000511	Prav.g_01178	Pram.g_00519
OG0000512	Prav.g_01179	Pram.g_00520
OG0000513	Prav.g_01180	Pram.g_00521
OG0000514	Prav.g_01181	Pram.g_00522
OG0000515	Prav.g_01183	Pram.g_00523
OG0000516	Prav.g_01184	Pram.g_00524
OG0000517	Prav.g_01185	Pram.g_00525
OG0000518	Prav.g_01187	Pram.g_00528
OG0000519	Prav.g_01188	Pram.g_00529
OG0000520	Prav.g_01189	Pram.g_00530
OG0000521	Prav.g_01190	Pram.g_00531
OG0000522	Prav.g_01191	Pram.g_00532
OG0000523	Prav.g_01192	Pram.g_00533
OG0000524	Prav.g_01193	Pram.g_00534
OG0000525	Prav.g_01195	Pram.g_00536
OG0000526	Prav.g_01196	Pram.g_00537
OG0000527	Prav.g_01197	Pram.g_00538
OG0000528	Prav.g_01198	Pram.g_00539
OG0000529	Prav.g_01199	Pram.g_00540
OG0000530	Prav.g_01200	Pram.g_00541
OG0000531	Prav.g_01201	Pram.g_00543
OG0000532	Prav.g_01202	Pram.g_00544
OG0000533	Prav.g_01203	Pram.g_00545
OG0000534	Prav.g_01204	Pram.g_00546
OG0000535	Prav.g_01205	Pram.g_00547
OG0000536	Prav.g_01206	Pram.g_00548
OG0000537	Prav.g_01207	Pram.g_00549
OG0000538	Prav.g_01208	Pram.g_00550
OG0000539	Prav.g_01209	Pram.g_00551
OG0000540	Prav.g_01210	Pram.g_00552
OG0000541	Prav.g_01211	Pram.g_00553
OG0000542	Prav.g_01212	Pram.g_00554
OG0000543	Prav.g_01213	Pram.g_00555
OG0000544	Prav.g_01214	Pram.g_00556
OG0000545	Prav.g_01219	Pram.g_00559
OG0000546	Prav.g_01220	Pram.g_00560
OG0000547	Prav.g_01222	Pram.g_00562
OG0000548	Prav.g_01223	Pram.g_00564
OG0000549	Prav.g_01224	Pram.g_00565
OG0000550	Prav.g_01225	Pram.g_00566
OG0000551	Prav.g_01226	Pram.g_00568
OG0000552	Prav.g_01227	Pram.g_00569
OG0000553	Prav.g_01228	Pram.g_01080
OG0000554	Prav.g_01229	Pram.g_01079
OG0000555	Prav.g_01230	Pram.g_01078
OG0000556	Prav.g_01231	Pram.g_01077
OG0000557	Prav.g_01232	Pram.g_01076
OG0000558	Prav.g_01233	Pram.g_01075
OG0000559	Prav.g_01234	Pram.g_01074
OG0000560	Prav.g_01236	Pram.g_01073
OG0000561	Prav.g_01237	Pram.g_01072
OG0000562	Prav.g_01238	Pram.g_01070
OG0000563	Prav.g_01239	Pram.g_01069
OG0000564	Prav.g_01240	Pram.g_01068
OG0000565	Prav.g_01241	Pram.g_01067
OG0000566	Prav.g_01242	Pram.g_01066
OG0000567	Prav.g_01243	Pram.g_01065
OG0000568	Prav.g_01244	Pram.g_01064
OG0000569	Prav.g_01245	Pram.g_01063
OG0000570	Prav.g_01246	Pram.g_01062
OG0000571	Prav.g_01247	Pram.g_01061
OG0000572	Prav.g_01248	Pram.g_01060
OG0000573	Prav.g_01251	Pram.g_01057
OG0000574	Prav.g_01252	Pram.g_01056
OG0000575	Prav.g_01253	Pram.g_01055
OG0000576	Prav.g_01254	Pram.g_01054
OG0000577	Prav.g_01255	Pram.g_01053
OG0000578	Prav.g_01256	Pram.g_01052
OG0000579	Prav.g_01257	Pram.g_01051
OG0000580	Prav.g_01258	Pram.g_01050
OG0000581	Prav.g_01259	Pram.g_01049
