Orthogroup	Pras	Prbk
OG0000091	Pras.g_01020	Prbk.g_00776
OG0000092	Pras.g_01021	Prbk.g_00777
OG0000093	Pras.g_01035	Prbk.g_01280
OG0000094	Pras.g_01053	Prbk.g_01251
OG0000095	Pras.g_01059, Pras.g_01058	Prbk.g_00632
OG0000096	Pras.g_01103	Prbk.g_01001
OG0000097	Pras.g_01126	Prbk.g_00409
OG0000099	Pras.g_01145	Prbk.g_00434
OG0000100	Pras.g_01148	Prbk.g_00438
OG0000101	Pras.g_01210	Prbk.g_00361
OG0000102	Pras.g_01236	Prbk.g_02209
OG0000103	Pras.g_01354	Prbk.g_02114
OG0000104	Pras.g_01358	Prbk.g_02061
OG0000105	Pras.g_01377	Prbk.g_01862
OG0000106	Pras.g_01409	Prbk.g_01078
OG0000107	Pras.g_01410	Prbk.g_01080
OG0000108	Pras.g_01420	Prbk.g_02684
OG0000109	Pras.g_01429	Prbk.g_01890
OG0000110	Pras.g_01445	Prbk.g_01871
OG0000111	Pras.g_01527	Prbk.g_00740
OG0000112	Pras.g_01528	Prbk.g_00739
OG0000113	Pras.g_01628	Prbk.g_02370
OG0000114	Pras.g_01699	Prbk.g_02466
OG0000115	Pras.g_01859	Prbk.g_02324
OG0000116	Pras.g_01863	Prbk.g_02316
OG0000117	Pras.g_01931	Prbk.g_00059
OG0000118	Pras.g_01982	Prbk.g_02271
OG0000119	Pras.g_00026	Prbk.g_02197
OG0000120	Pras.g_00062	Prbk.g_00144
OG0000121	Pras.g_00081	Prbk.g_00138
OG0000122	Pras.g_00101	Prbk.g_00185
OG0000123	Pras.g_00114	Prbk.g_00121
OG0000124	Pras.g_00122	Prbk.g_00066
OG0000125	Pras.g_00221, Pras.g_00222	Prbk.g_01169
OG0000126	Pras.g_00250	Prbk.g_02052
OG0000127	Pras.g_00337	Prbk.g_00243
OG0000128	Pras.g_00351	Prbk.g_00260
OG0000129	Pras.g_00388	Prbk.g_01212
OG0000130	Pras.g_00548	Prbk.g_00913
OG0000131	Pras.g_00586	Prbk.g_01417
OG0000132	Pras.g_00589	Prbk.g_01414
OG0000133	Pras.g_00646	Prbk.g_00987
OG0000134	Pras.g_00682	Prbk.g_00950
OG0000135	Pras.g_00684	Prbk.g_00948
OG0000136	Pras.g_00728	Prbk.g_00528
OG0000137	Pras.g_00761	Prbk.g_01540
OG0000138	Pras.g_00797	Prbk.g_02168
OG0000139	Pras.g_00824	Prbk.g_02252
OG0000140	Pras.g_00843	Prbk.g_02279
OG0000141	Pras.g_00844	Prbk.g_02280
OG0000142	Pras.g_00846	Prbk.g_02282
OG0000143	Pras.g_00847	Prbk.g_02283
OG0000144	Pras.g_00849	Prbk.g_02285
OG0000145	Pras.g_00850	Prbk.g_02287
OG0000146	Pras.g_00851	Prbk.g_02288
OG0000147	Pras.g_00852	Prbk.g_02289
OG0000148	Pras.g_00854	Prbk.g_02291
OG0000149	Pras.g_00856	Prbk.g_01639
OG0000150	Pras.g_00857	Prbk.g_01638
OG0000151	Pras.g_00858	Prbk.g_01633
OG0000152	Pras.g_00859	Prbk.g_01632
OG0000153	Pras.g_00860	Prbk.g_01631
OG0000154	Pras.g_00861	Prbk.g_01630
OG0000155	Pras.g_00862	Prbk.g_01629
OG0000156	Pras.g_00863	Prbk.g_01628
OG0000157	Pras.g_00864	Prbk.g_01627
OG0000158	Pras.g_00866	Prbk.g_01625
OG0000159	Pras.g_00867	Prbk.g_01624
OG0000160	Pras.g_00868	Prbk.g_01623
OG0000161	Pras.g_00869	Prbk.g_01622
OG0000162	Pras.g_00870	Prbk.g_01621
OG0000163	Pras.g_00871	Prbk.g_01619
OG0000164	Pras.g_00874	Prbk.g_01614
OG0000165	Pras.g_00877	Prbk.g_01609
OG0000166	Pras.g_00878	Prbk.g_01608
OG0000167	Pras.g_00879	Prbk.g_01607
OG0000168	Pras.g_00893	Prbk.g_01606
OG0000169	Pras.g_00895	Prbk.g_01604
OG0000170	Pras.g_00896	Prbk.g_02158
OG0000171	Pras.g_00897	Prbk.g_02156
OG0000172	Pras.g_00898	Prbk.g_02155
OG0000173	Pras.g_00899	Prbk.g_02148
OG0000174	Pras.g_00900	Prbk.g_02141
OG0000175	Pras.g_00901	Prbk.g_02133
OG0000176	Pras.g_00903	Prbk.g_02125
OG0000177	Pras.g_00904	Prbk.g_02124
OG0000178	Pras.g_00905	Prbk.g_02123
OG0000179	Pras.g_00916	Prbk.g_01326
OG0000180	Pras.g_00917	Prbk.g_01324
OG0000181	Pras.g_00918	Prbk.g_01323
OG0000182	Pras.g_00921	Prbk.g_01320
OG0000183	Pras.g_00922	Prbk.g_01319
OG0000184	Pras.g_00924	Prbk.g_01315
OG0000185	Pras.g_00928	Prbk.g_01309
OG0000186	Pras.g_00929	Prbk.g_01308
OG0000187	Pras.g_00930	Prbk.g_01665
OG0000188	Pras.g_00931	Prbk.g_01307
OG0000189	Pras.g_00932	Prbk.g_01304
OG0000190	Pras.g_00933	Prbk.g_01303
OG0000191	Pras.g_00934	Prbk.g_01302
OG0000192	Pras.g_00935	Prbk.g_01301
OG0000193	Pras.g_00936	Prbk.g_01300
OG0000194	Pras.g_00937	Prbk.g_01299
OG0000195	Pras.g_00939	Prbk.g_01295
OG0000196	Pras.g_00940	Prbk.g_01294
OG0000197	Pras.g_00941	Prbk.g_00035
OG0000198	Pras.g_00942	Prbk.g_00031
OG0000199	Pras.g_00945	Prbk.g_00026
OG0000200	Pras.g_00946	Prbk.g_00025
OG0000201	Pras.g_00947	Prbk.g_00024
OG0000202	Pras.g_00948	Prbk.g_00022
OG0000203	Pras.g_00949	Prbk.g_00021
OG0000204	Pras.g_00950	Prbk.g_00020
OG0000205	Pras.g_00951	Prbk.g_00018
OG0000206	Pras.g_00952	Prbk.g_00017
OG0000207	Pras.g_00953	Prbk.g_00016
OG0000208	Pras.g_00954	Prbk.g_00015
OG0000209	Pras.g_00955	Prbk.g_00014
OG0000210	Pras.g_00957	Prbk.g_00012
OG0000211	Pras.g_00958	Prbk.g_00011
OG0000212	Pras.g_00959	Prbk.g_00010
OG0000213	Pras.g_00960	Prbk.g_00007
OG0000214	Pras.g_00962	Prbk.g_00001
OG0000215	Pras.g_00963	Prbk.g_00190
OG0000216	Pras.g_00965	Prbk.g_00192
OG0000217	Pras.g_00966	Prbk.g_00194
OG0000218	Pras.g_00967	Prbk.g_00196
OG0000219	Pras.g_00968	Prbk.g_00197
OG0000220	Pras.g_00971	Prbk.g_00202
OG0000221	Pras.g_00973	Prbk.g_00207
OG0000222	Pras.g_00974	Prbk.g_00208
OG0000223	Pras.g_00975	Prbk.g_00209
OG0000224	Pras.g_00978	Prbk.g_00542
OG0000225	Pras.g_00980	Prbk.g_00544
OG0000226	Pras.g_00981	Prbk.g_00547
OG0000227	Pras.g_00982	Prbk.g_00549
OG0000228	Pras.g_00983	Prbk.g_00550
OG0000229	Pras.g_00984	Prbk.g_00551
OG0000230	Pras.g_00985	Prbk.g_00552
OG0000231	Pras.g_00987	Prbk.g_00554
OG0000232	Pras.g_00988	Prbk.g_00555
OG0000233	Pras.g_00991	Prbk.g_00560
OG0000234	Pras.g_00993	Prbk.g_00749
OG0000235	Pras.g_00996	Prbk.g_00751
OG0000236	Pras.g_00997	Prbk.g_00752
OG0000237	Pras.g_00998	Prbk.g_00753
OG0000238	Pras.g_00999	Prbk.g_00754
OG0000239	Pras.g_01000	Prbk.g_00755
OG0000240	Pras.g_01002	Prbk.g_00757
OG0000241	Pras.g_01003	Prbk.g_00758
OG0000242	Pras.g_01004	Prbk.g_00759
OG0000243	Pras.g_01005	Prbk.g_00760
OG0000244	Pras.g_01006	Prbk.g_00761
OG0000245	Pras.g_01007	Prbk.g_00763
OG0000246	Pras.g_01009	Prbk.g_00765
OG0000247	Pras.g_01010	Prbk.g_00766
OG0000248	Pras.g_01011	Prbk.g_00767
OG0000249	Pras.g_01012	Prbk.g_00768
OG0000250	Pras.g_01013	Prbk.g_00769
OG0000251	Pras.g_01014	Prbk.g_00770
OG0000252	Pras.g_01015	Prbk.g_00771
OG0000253	Pras.g_01016	Prbk.g_00772
OG0000254	Pras.g_01018	Prbk.g_00774
OG0000255	Pras.g_01019	Prbk.g_00775
OG0000256	Pras.g_01022	Prbk.g_00778
OG0000257	Pras.g_01024	Prbk.g_00779
OG0000258	Pras.g_01025	Prbk.g_00780
OG0000259	Pras.g_01026	Prbk.g_00781
OG0000260	Pras.g_01027	Prbk.g_00782
OG0000261	Pras.g_01028	Prbk.g_00783
OG0000262	Pras.g_01029	Prbk.g_00784
OG0000263	Pras.g_01030	Prbk.g_00785
OG0000264	Pras.g_01032	Prbk.g_02425
OG0000265	Pras.g_01033	Prbk.g_01283
OG0000266	Pras.g_01034	Prbk.g_01281
OG0000267	Pras.g_01036	Prbk.g_01277
OG0000268	Pras.g_01037	Prbk.g_01275
OG0000269	Pras.g_01038	Prbk.g_01272
OG0000270	Pras.g_01039	Prbk.g_01270
OG0000271	Pras.g_01040	Prbk.g_01267
OG0000272	Pras.g_01041	Prbk.g_01266
OG0000273	Pras.g_01042	Prbk.g_01263
OG0000274	Pras.g_01043	Prbk.g_01261
OG0000275	Pras.g_01044	Prbk.g_01260
OG0000276	Pras.g_01045	Prbk.g_01259
OG0000277	Pras.g_01046	Prbk.g_01258
OG0000278	Pras.g_01047	Prbk.g_01257
OG0000279	Pras.g_01048	Prbk.g_01256
OG0000280	Pras.g_01049	Prbk.g_01255
OG0000281	Pras.g_01051	Prbk.g_01253
OG0000282	Pras.g_01052	Prbk.g_01252
OG0000283	Pras.g_01055	Prbk.g_01245
OG0000284	Pras.g_01056	Prbk.g_01244
OG0000285	Pras.g_01057	Prbk.g_00631
OG0000286	Pras.g_01060	Prbk.g_00633
OG0000287	Pras.g_01061	Prbk.g_00686
OG0000288	Pras.g_01062	Prbk.g_00685
OG0000289	Pras.g_01063	Prbk.g_00683
OG0000290	Pras.g_01064	Prbk.g_00682
OG0000291	Pras.g_01065	Prbk.g_00680
OG0000292	Pras.g_01066	Prbk.g_00670
OG0000293	Pras.g_01067	Prbk.g_00669
OG0000294	Pras.g_01068	Prbk.g_00668
OG0000295	Pras.g_01069	Prbk.g_00662
OG0000296	Pras.g_01070	Prbk.g_00661
OG0000297	Pras.g_01071	Prbk.g_00658
OG0000298	Pras.g_01072	Prbk.g_00657
OG0000299	Pras.g_01073	Prbk.g_00656
OG0000300	Pras.g_01074	Prbk.g_00655
OG0000301	Pras.g_01075	Prbk.g_00654
OG0000302	Pras.g_01076	Prbk.g_00653
OG0000303	Pras.g_01077	Prbk.g_00652
OG0000304	Pras.g_01078	Prbk.g_00650
OG0000305	Pras.g_01079	Prbk.g_00649
OG0000306	Pras.g_01080	Prbk.g_00648
OG0000307	Pras.g_01081	Prbk.g_01364
OG0000308	Pras.g_01082	Prbk.g_01136
OG0000309	Pras.g_01083	Prbk.g_01135
OG0000310	Pras.g_01084	Prbk.g_01134
OG0000311	Pras.g_01085	Prbk.g_01368
OG0000312	Pras.g_01087	Prbk.g_01369
OG0000313	Pras.g_01088	Prbk.g_01521
OG0000314	Pras.g_01091	Prbk.g_01515
OG0000315	Pras.g_01092	Prbk.g_01514
OG0000316	Pras.g_01094	Prbk.g_01900
OG0000317	Pras.g_01096	Prbk.g_01012
OG0000318	Pras.g_01097	Prbk.g_01011
OG0000319	Pras.g_01098	Prbk.g_01010
OG0000320	Pras.g_01099	Prbk.g_01008
OG0000321	Pras.g_01102	Prbk.g_01003
OG0000322	Pras.g_01105	Prbk.g_00371
OG0000323	Pras.g_01106	Prbk.g_00372
OG0000324	Pras.g_01109	Prbk.g_00374
OG0000325	Pras.g_01111	Prbk.g_00376
OG0000326	Pras.g_01112	Prbk.g_00378
OG0000327	Pras.g_01114	Prbk.g_00384
OG0000328	Pras.g_01115	Prbk.g_01365
OG0000329	Pras.g_01116	Prbk.g_00397
OG0000330	Pras.g_01117	Prbk.g_00398
OG0000331	Pras.g_01118	Prbk.g_00400
OG0000332	Pras.g_01119	Prbk.g_00401
OG0000333	Pras.g_01120	Prbk.g_00402
OG0000334	Pras.g_01121	Prbk.g_00403
OG0000335	Pras.g_01122	Prbk.g_00404
OG0000336	Pras.g_01123	Prbk.g_00406
OG0000337	Pras.g_01127	Prbk.g_00411
OG0000338	Pras.g_01128	Prbk.g_00412
OG0000339	Pras.g_01129	Prbk.g_00413
OG0000340	Pras.g_01130	Prbk.g_00415
OG0000341	Pras.g_01134	Prbk.g_00420
OG0000342	Pras.g_01135	Prbk.g_00421
OG0000343	Pras.g_01137	Prbk.g_00423
OG0000344	Pras.g_01138	Prbk.g_00425
OG0000345	Pras.g_01139	Prbk.g_00426
OG0000346	Pras.g_01140	Prbk.g_00427
OG0000347	Pras.g_01141	Prbk.g_00428
OG0000348	Pras.g_01142	Prbk.g_00429
OG0000349	Pras.g_01143	Prbk.g_00430
OG0000350	Pras.g_01144	Prbk.g_00431
OG0000351	Pras.g_01146	Prbk.g_00435
OG0000352	Pras.g_01149	Prbk.g_00439
OG0000353	Pras.g_01150	Prbk.g_00442
OG0000354	Pras.g_01151	Prbk.g_00443
OG0000355	Pras.g_01152	Prbk.g_00444
OG0000356	Pras.g_01153	Prbk.g_00449
OG0000357	Pras.g_01155	Prbk.g_00450
OG0000358	Pras.g_01156	Prbk.g_00451
OG0000359	Pras.g_01157	Prbk.g_00453
OG0000360	Pras.g_01160	Prbk.g_00456
OG0000361	Pras.g_01161	Prbk.g_00457
OG0000362	Pras.g_01162	Prbk.g_00458
OG0000363	Pras.g_01163	Prbk.g_00460
OG0000364	Pras.g_01164	Prbk.g_00461
OG0000365	Pras.g_01165	Prbk.g_00462
OG0000366	Pras.g_01166	Prbk.g_00463
OG0000367	Pras.g_01167	Prbk.g_00464
OG0000368	Pras.g_01168	Prbk.g_00465
OG0000369	Pras.g_01169	Prbk.g_00466
OG0000370	Pras.g_01170	Prbk.g_00467
OG0000371	Pras.g_01171	Prbk.g_00468
OG0000372	Pras.g_01173	Prbk.g_00471
OG0000373	Pras.g_01175	Prbk.g_00481
OG0000374	Pras.g_01176	Prbk.g_00483
OG0000375	Pras.g_01177	Prbk.g_00492
OG0000376	Pras.g_01179	Prbk.g_00853
OG0000377	Pras.g_01180	Prbk.g_00860
OG0000378	Pras.g_01181	Prbk.g_00861
OG0000379	Pras.g_01187	Prbk.g_00871
OG0000380	Pras.g_01188	Prbk.g_00873
OG0000381	Pras.g_01189	Prbk.g_00874
OG0000382	Pras.g_01191	Prbk.g_00876
OG0000383	Pras.g_01194	Prbk.g_00881
OG0000384	Pras.g_01195	Prbk.g_00882
OG0000385	Pras.g_01198	Prbk.g_00888
OG0000386	Pras.g_01199	Prbk.g_00889
OG0000387	Pras.g_01200	Prbk.g_00890
OG0000388	Pras.g_01201	Prbk.g_00891
OG0000389	Pras.g_01202	Prbk.g_00892
OG0000390	Pras.g_01203	Prbk.g_00893
OG0000391	Pras.g_01204	Prbk.g_00894
OG0000392	Pras.g_01205	Prbk.g_00895
OG0000393	Pras.g_01208	Prbk.g_00365
OG0000394	Pras.g_01209	Prbk.g_00364
OG0000395	Pras.g_01211	Prbk.g_00360
OG0000396	Pras.g_01212	Prbk.g_02556
OG0000397	Pras.g_01224	Prbk.g_01321
OG0000398	Pras.g_01232	Prbk.g_00924
OG0000399	Pras.g_01233	Prbk.g_01693
OG0000400	Pras.g_01239	Prbk.g_01902
OG0000401	Pras.g_01309	Prbk.g_00352
OG0000402	Pras.g_01310	Prbk.g_00351
OG0000403	Pras.g_01311	Prbk.g_00339
OG0000404	Pras.g_01313	Prbk.g_00329
OG0000405	Pras.g_01314	Prbk.g_00328
OG0000406	Pras.g_01316	Prbk.g_00326
OG0000407	Pras.g_01317	Prbk.g_00325
OG0000408	Pras.g_01318	Prbk.g_00324
OG0000409	Pras.g_01319	Prbk.g_00323
OG0000410	Pras.g_01320	Prbk.g_00321
OG0000411	Pras.g_01321	Prbk.g_00320
OG0000412	Pras.g_01322	Prbk.g_00319
OG0000413	Pras.g_01323	Prbk.g_00318
OG0000414	Pras.g_01324	Prbk.g_00317
OG0000415	Pras.g_01325	Prbk.g_00316
OG0000416	Pras.g_01326	Prbk.g_00315
OG0000417	Pras.g_01327	Prbk.g_00311
OG0000418	Pras.g_01328	Prbk.g_00310
OG0000419	Pras.g_01329	Prbk.g_00309
OG0000420	Pras.g_01330	Prbk.g_00308
OG0000421	Pras.g_01331	Prbk.g_00301
OG0000422	Pras.g_01332	Prbk.g_00299
OG0000423	Pras.g_01333	Prbk.g_00298
OG0000424	Pras.g_01335	Prbk.g_00295
OG0000425	Pras.g_01339	Prbk.g_02088
OG0000426	Pras.g_01340	Prbk.g_02089
OG0000427	Pras.g_01341	Prbk.g_02092
OG0000428	Pras.g_01342	Prbk.g_02105
OG0000429	Pras.g_01343	Prbk.g_02107
OG0000430	Pras.g_01349	Prbk.g_02109
OG0000431	Pras.g_01351	Prbk.g_02111
OG0000432	Pras.g_01352	Prbk.g_02112
OG0000433	Pras.g_01355	Prbk.g_02053
OG0000434	Pras.g_01356	Prbk.g_02056
OG0000435	Pras.g_01357	Prbk.g_02060
OG0000436	Pras.g_01359	Prbk.g_02062
OG0000437	Pras.g_01361	Prbk.g_02064
OG0000438	Pras.g_01362	Prbk.g_02065
OG0000439	Pras.g_01363	Prbk.g_02066
OG0000440	Pras.g_01365	Prbk.g_02069
OG0000441	Pras.g_01366	Prbk.g_02071
OG0000442	Pras.g_01367	Prbk.g_02072
OG0000443	Pras.g_01368	Prbk.g_02073
OG0000444	Pras.g_01369	Prbk.g_02074
OG0000445	Pras.g_01370	Prbk.g_02075
OG0000446	Pras.g_01371	Prbk.g_02076
OG0000447	Pras.g_01372	Prbk.g_02077
OG0000448	Pras.g_01373	Prbk.g_02078
OG0000449	Pras.g_01378	Prbk.g_01865
OG0000450	Pras.g_01379	Prbk.g_01041
OG0000451	Pras.g_01380	Prbk.g_01042
OG0000452	Pras.g_01381	Prbk.g_01043
OG0000453	Pras.g_01383	Prbk.g_01046
OG0000454	Pras.g_01384	Prbk.g_01047
OG0000455	Pras.g_01385	Prbk.g_01048
OG0000456	Pras.g_01386	Prbk.g_01049
OG0000457	Pras.g_01388	Prbk.g_01050
OG0000458	Pras.g_01390	Prbk.g_01051
OG0000459	Pras.g_01391	Prbk.g_01052
OG0000460	Pras.g_01393	Prbk.g_01054
OG0000461	Pras.g_01394	Prbk.g_01055
OG0000462	Pras.g_01395	Prbk.g_01056
OG0000463	Pras.g_01396	Prbk.g_01061
OG0000464	Pras.g_01401	Prbk.g_01066
OG0000465	Pras.g_01402	Prbk.g_01067
OG0000466	Pras.g_01403	Prbk.g_01068
OG0000467	Pras.g_01404	Prbk.g_01070
OG0000468	Pras.g_01405	Prbk.g_01071
OG0000469	Pras.g_01406	Prbk.g_01076
OG0000470	Pras.g_01407	Prbk.g_01965
OG0000471	Pras.g_01408	Prbk.g_01772
OG0000472	Pras.g_01411	Prbk.g_01081
OG0000473	Pras.g_01412	Prbk.g_01083
OG0000474	Pras.g_01413	Prbk.g_01085
OG0000475	Pras.g_01414	Prbk.g_01086
OG0000476	Pras.g_01415	Prbk.g_01092
OG0000477	Pras.g_01417	Prbk.g_01095
OG0000478	Pras.g_01418	Prbk.g_01097
OG0000479	Pras.g_01419	Prbk.g_01099
OG0000480	Pras.g_01421	Prbk.g_02686
OG0000481	Pras.g_01422	Prbk.g_01898
OG0000482	Pras.g_01423	Prbk.g_01897
OG0000483	Pras.g_01424	Prbk.g_01895
OG0000484	Pras.g_01425	Prbk.g_01894
OG0000485	Pras.g_01426	Prbk.g_01893
OG0000486	Pras.g_01427	Prbk.g_01892
OG0000487	Pras.g_01428	Prbk.g_01891
OG0000488	Pras.g_01430	Prbk.g_01889
OG0000489	Pras.g_01431	Prbk.g_01888
OG0000490	Pras.g_01432	Prbk.g_01887
OG0000491	Pras.g_01433	Prbk.g_01886
OG0000492	Pras.g_01434	Prbk.g_01885
OG0000493	Pras.g_01435	Prbk.g_01884
OG0000494	Pras.g_01437	Prbk.g_01882
OG0000495	Pras.g_01438	Prbk.g_01881
OG0000496	Pras.g_01439	Prbk.g_01879
OG0000497	Pras.g_01440	Prbk.g_01877
OG0000498	Pras.g_01441	Prbk.g_01876
OG0000499	Pras.g_01443	Prbk.g_01874
OG0000500	Pras.g_01444	Prbk.g_01873
OG0000501	Pras.g_01446	Prbk.g_01104
OG0000502	Pras.g_01447	Prbk.g_01105
OG0000503	Pras.g_01448	Prbk.g_01106
OG0000504	Pras.g_01449	Prbk.g_01108
OG0000505	Pras.g_01450	Prbk.g_01109
OG0000506	Pras.g_01451	Prbk.g_01110
OG0000507	Pras.g_01452	Prbk.g_01111
OG0000508	Pras.g_01454	Prbk.g_01115
OG0000509	Pras.g_01455	Prbk.g_01116
OG0000510	Pras.g_01456	Prbk.g_01117
OG0000511	Pras.g_01457	Prbk.g_01118
OG0000512	Pras.g_01459	Prbk.g_01119
OG0000513	Pras.g_01460	Prbk.g_01120
OG0000514	Pras.g_01461	Prbk.g_01121
OG0000515	Pras.g_01463	Prbk.g_01124
OG0000516	Pras.g_01464	Prbk.g_01125
OG0000517	Pras.g_01465	Prbk.g_01126
OG0000518	Pras.g_01467	Prbk.g_01130
OG0000519	Pras.g_01468	Prbk.g_01131
OG0000520	Pras.g_01469	Prbk.g_01132
OG0000521	Pras.g_01470	Prbk.g_01133
OG0000522	Pras.g_01471	Prbk.g_01139
OG0000523	Pras.g_01472	Prbk.g_01140
OG0000524	Pras.g_01473	Prbk.g_01141
OG0000525	Pras.g_01475	Prbk.g_01143
OG0000526	Pras.g_01476	Prbk.g_01144
OG0000527	Pras.g_01477	Prbk.g_01145
OG0000528	Pras.g_01478	Prbk.g_01146
OG0000529	Pras.g_01479	Prbk.g_01147
OG0000530	Pras.g_01480	Prbk.g_01148
OG0000531	Pras.g_01481	Prbk.g_01151
OG0000532	Pras.g_01482	Prbk.g_01153
OG0000533	Pras.g_01483	Prbk.g_01154
OG0000534	Pras.g_01484	Prbk.g_01155
OG0000535	Pras.g_01485	Prbk.g_01156
OG0000536	Pras.g_01486	Prbk.g_01157
OG0000537	Pras.g_01487	Prbk.g_01158
OG0000538	Pras.g_01488	Prbk.g_01159
OG0000539	Pras.g_01489	Prbk.g_01161
OG0000540	Pras.g_01490	Prbk.g_01163
OG0000541	Pras.g_01491	Prbk.g_02602
OG0000542	Pras.g_01492	Prbk.g_02603
OG0000543	Pras.g_01493	Prbk.g_02604
OG0000544	Pras.g_01494	Prbk.g_02605
OG0000545	Pras.g_01497	Prbk.g_02608
OG0000546	Pras.g_01498	Prbk.g_02609
OG0000547	Pras.g_01500	Prbk.g_02611
OG0000548	Pras.g_01501	Prbk.g_02616
OG0000549	Pras.g_01502	Prbk.g_02617
OG0000550	Pras.g_01503	Prbk.g_02618
OG0000551	Pras.g_01504	Prbk.g_02621
OG0000552	Pras.g_01505	Prbk.g_02623
OG0000553	Pras.g_01506	Prbk.g_02624
OG0000554	Pras.g_01507	Prbk.g_02626
OG0000555	Pras.g_01508	Prbk.g_02627
OG0000556	Pras.g_01509	Prbk.g_02628
OG0000557	Pras.g_01510	Prbk.g_02629
OG0000558	Pras.g_01511	Prbk.g_02631
OG0000559	Pras.g_01512	Prbk.g_02632
OG0000560	Pras.g_01514	Prbk.g_02634
OG0000561	Pras.g_01515	Prbk.g_02635
OG0000562	Pras.g_01516	Prbk.g_02637
OG0000563	Pras.g_01517	Prbk.g_02638
OG0000564	Pras.g_01518	Prbk.g_02639
OG0000565	Pras.g_01519	Prbk.g_02647
OG0000566	Pras.g_01520	Prbk.g_02648
OG0000567	Pras.g_01521	Prbk.g_02649
OG0000568	Pras.g_01522	Prbk.g_02650
OG0000569	Pras.g_01523	Prbk.g_02651
OG0000570	Pras.g_01524	Prbk.g_02654
OG0000571	Pras.g_01525	Prbk.g_02655
