Orthogroup	Syan	Prbm
OG0000114	Syan.g_00741	Prbm.g_00929
OG0000115	Syan.g_02810	Prbm.g_01803
OG0000116	Syan.g_02710, Syan.g_00460	Prbm.g_01560
OG0000117	Syan.g_02644	Prbm.g_01522
OG0000118	Syan.g_01241, Syan.g_01237	Prbm.g_01622
OG0000119	Syan.g_02672	Prbm.g_01653
OG0000120	Syan.g_01966	Prbm.g_00707
OG0000121	Syan.g_01273	Prbm.g_01712
OG0000123	Syan.g_02190	Prbm.g_02040
OG0000124	Syan.g_01873	Prbm.g_02111
OG0000125	Syan.g_01573	Prbm.g_02176
OG0000126	Syan.g_01705	Prbm.g_02228
OG0000127	Syan.g_01071	Prbm.g_01293, Prbm.g_01292
OG0000128	Syan.g_01768	Prbm.g_00011
OG0000129	Syan.g_01563	Prbm.g_00053
OG0000130	Syan.g_02906, Syan.g_02907	Prbm.g_00126
OG0000131	Syan.g_03008	Prbm.g_00204
OG0000132	Syan.g_03029	Prbm.g_00223
OG0000133	Syan.g_00561	Prbm.g_00377
OG0000134	Syan.g_02319	Prbm.g_00425
OG0000135	Syan.g_01616	Prbm.g_01389
OG0000136	Syan.g_01342	Prbm.g_00451
OG0000137	Syan.g_02846	Prbm.g_00500
OG0000138	Syan.g_02747	Prbm.g_00520
OG0000140	Syan.g_00042	Prbm.g_00571
OG0000141	Syan.g_01032	Prbm.g_00638
OG0000142	Syan.g_00816	Prbm.g_00666
OG0000143	Syan.g_00812	Prbm.g_00670
OG0000144	Syan.g_00782	Prbm.g_00683
OG0000145	Syan.g_02740	Prbm.g_01094
OG0000146	Syan.g_00555, Syan.g_00253	Prbm.g_00979
OG0000147	Syan.g_00254, Syan.g_00554	Prbm.g_00978
OG0000148	Syan.g_00670	Prbm.g_00832
OG0000149	Syan.g_00393	Prbm.g_00862
OG0000150	Syan.g_01031	Prbm.g_00870
OG0000151	Syan.g_00731	Prbm.g_00940
OG0000152	Syan.g_00565	Prbm.g_00988
OG0000153	Syan.g_00601	Prbm.g_01006
OG0000154	Syan.g_00363	Prbm.g_01035
OG0000155	Syan.g_02654	Prbm.g_01527
OG0000156	Syan.g_02717	Prbm.g_01600
OG0000157	Syan.g_02718	Prbm.g_01601
OG0000158	Syan.g_01078, Syan.g_01926	Prbm.g_02077
OG0000159	Syan.g_01120	Prbm.g_02133, Prbm.g_02115
OG0000160	Syan.g_01274	Prbm.g_01711
OG0000161	Syan.g_01268	Prbm.g_01717
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Prbm.g_01723
OG0000163	Syan.g_02405	Prbm.g_01759
OG0000164	Syan.g_01440	Prbm.g_01863
OG0000165	Syan.g_01448	Prbm.g_01871
OG0000166	Syan.g_02239	Prbm.g_01996
OG0000167	Syan.g_01941	Prbm.g_02067
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Prbm.g_02078
OG0000169	Syan.g_01912	Prbm.g_02088
OG0000170	Syan.g_01901	Prbm.g_02090
OG0000171	Syan.g_01875	Prbm.g_02110
OG0000172	Syan.g_01810	Prbm.g_02146
OG0000173	Syan.g_01720	Prbm.g_02161
OG0000174	Syan.g_01619	Prbm.g_02192
OG0000175	Syan.g_01678, Syan.g_00258	Prbm.g_02209
OG0000176	Syan.g_01801	Prbm.g_00004
OG0000177	Syan.g_01775	Prbm.g_00005
OG0000178	Syan.g_01774	Prbm.g_00006
OG0000179	Syan.g_01759	Prbm.g_00016
OG0000180	Syan.g_01758	Prbm.g_00017
OG0000181	Syan.g_01757	Prbm.g_00018
OG0000182	Syan.g_01756	Prbm.g_00019
OG0000183	Syan.g_01752	Prbm.g_00023
OG0000184	Syan.g_01549	Prbm.g_00055
OG0000185	Syan.g_01540	Prbm.g_00058
OG0000186	Syan.g_02902	Prbm.g_00121
OG0000187	Syan.g_02904	Prbm.g_00122
OG0000188	Syan.g_02926	Prbm.g_00139
OG0000189	Syan.g_02966	Prbm.g_00153
OG0000190	Syan.g_00971	Prbm.g_00154
OG0000191	Syan.g_02300	Prbm.g_00177
OG0000192	Syan.g_02294	Prbm.g_00181
OG0000193	Syan.g_03009	Prbm.g_00205
OG0000194	Syan.g_03012	Prbm.g_00208
OG0000195	Syan.g_03014	Prbm.g_00210
OG0000196	Syan.g_03026	Prbm.g_00220
OG0000197	Syan.g_03027	Prbm.g_00221
OG0000198	Syan.g_03028	Prbm.g_00222
OG0000199	Syan.g_03037	Prbm.g_00229
OG0000200	Syan.g_03055	Prbm.g_00243
OG0000201	Syan.g_03074	Prbm.g_00252
OG0000202	Syan.g_03075	Prbm.g_00253
OG0000203	Syan.g_03076	Prbm.g_00254
OG0000204	Syan.g_03077	Prbm.g_00255
OG0000205	Syan.g_03087	Prbm.g_00262
OG0000206	Syan.g_03095	Prbm.g_00266
OG0000207	Syan.g_03100	Prbm.g_00268
OG0000208	Syan.g_03101	Prbm.g_00269
OG0000209	Syan.g_01521	Prbm.g_00278
OG0000210	Syan.g_01522	Prbm.g_00279
OG0000211	Syan.g_02416	Prbm.g_00293
OG0000212	Syan.g_01508, Syan.g_02438	Prbm.g_00301
OG0000213	Syan.g_02059	Prbm.g_00317
OG0000214	Syan.g_02040	Prbm.g_00325
OG0000215	Syan.g_02010	Prbm.g_00349
OG0000216	Syan.g_02006	Prbm.g_00350
OG0000217	Syan.g_02001	Prbm.g_00353
OG0000218	Syan.g_01999	Prbm.g_00355
OG0000219	Syan.g_01998	Prbm.g_00356
OG0000220	Syan.g_01997	Prbm.g_00357
OG0000221	Syan.g_01994	Prbm.g_00358
OG0000222	Syan.g_01981	Prbm.g_00366
OG0000223	Syan.g_00228	Prbm.g_00378
OG0000224	Syan.g_01959	Prbm.g_00380
OG0000225	Syan.g_02997	Prbm.g_00411
OG0000226	Syan.g_02990	Prbm.g_00415
OG0000227	Syan.g_02988	Prbm.g_00417
OG0000228	Syan.g_02315	Prbm.g_00422
OG0000229	Syan.g_02396	Prbm.g_00446
OG0000230	Syan.g_02398	Prbm.g_00448
OG0000231	Syan.g_01333	Prbm.g_00459
OG0000232	Syan.g_02801	Prbm.g_00484
OG0000233	Syan.g_02876	Prbm.g_00492
OG0000234	Syan.g_02844	Prbm.g_00501
OG0000235	Syan.g_02765	Prbm.g_00505
OG0000236	Syan.g_02749	Prbm.g_00518
OG0000237	Syan.g_02731	Prbm.g_00540
OG0000238	Syan.g_02726	Prbm.g_00546
OG0000239	Syan.g_01187	Prbm.g_00558
OG0000240	Syan.g_01186	Prbm.g_00559
OG0000241	Syan.g_00822	Prbm.g_00563
OG0000242	Syan.g_01168	Prbm.g_00565
OG0000243	Syan.g_00840	Prbm.g_00576
OG0000244	Syan.g_00848	Prbm.g_00579
OG0000245	Syan.g_00850	Prbm.g_00581
OG0000246	Syan.g_00854	Prbm.g_00585
OG0000247	Syan.g_00866	Prbm.g_00595
OG0000248	Syan.g_00869	Prbm.g_00597
OG0000249	Syan.g_00871	Prbm.g_00599
OG0000250	Syan.g_00878	Prbm.g_00604
OG0000251	Syan.g_00961	Prbm.g_00620
OG0000252	Syan.g_00966	Prbm.g_00623
OG0000253	Syan.g_01000	Prbm.g_00625
OG0000254	Syan.g_01026	Prbm.g_00642
OG0000255	Syan.g_00978	Prbm.g_00648
OG0000256	Syan.g_00001, Syan.g_01135	Prbm.g_00658
OG0000257	Syan.g_00827	Prbm.g_00661
OG0000258	Syan.g_00803	Prbm.g_00674
OG0000259	Syan.g_00772	Prbm.g_00691
OG0000260	Syan.g_00769	Prbm.g_00694
OG0000261	Syan.g_00765	Prbm.g_00697
OG0000262	Syan.g_00760	Prbm.g_00702
OG0000263	Syan.g_02618	Prbm.g_00716
OG0000264	Syan.g_00540	Prbm.g_00728
OG0000266	Syan.g_00330	Prbm.g_00752
OG0000267	Syan.g_00470	Prbm.g_00765
OG0000268	Syan.g_00471	Prbm.g_00766
OG0000269	Syan.g_00695	Prbm.g_00809
OG0000270	Syan.g_00692	Prbm.g_00812
OG0000271	Syan.g_00684	Prbm.g_00820
OG0000272	Syan.g_00683	Prbm.g_00821
OG0000273	Syan.g_00654	Prbm.g_00845
OG0000274	Syan.g_00653	Prbm.g_00846
OG0000275	Syan.g_00373	Prbm.g_00848
OG0000276	Syan.g_00380	Prbm.g_00854
OG0000277	Syan.g_00381	Prbm.g_00855
OG0000278	Syan.g_00384	Prbm.g_00858
OG0000279	Syan.g_00398	Prbm.g_00865
OG0000282	Syan.g_00739	Prbm.g_00931
OG0000283	Syan.g_00491	Prbm.g_00962
OG0000284	Syan.g_00497	Prbm.g_00967
OG0000285	Syan.g_00533	Prbm.g_00972
OG0000286	Syan.g_00564	Prbm.g_00987
OG0000287	Syan.g_00593	Prbm.g_00102
OG0000288	Syan.g_00364	Prbm.g_01034
OG0000289	Syan.g_00350	Prbm.g_01045
OG0000290	Syan.g_00293	Prbm.g_01061
OG0000291	Syan.g_00291	Prbm.g_01063
OG0000292	Syan.g_01703	Prbm.g_01210
OG0000293	Syan.g_02709	Prbm.g_01559
OG0000294	Syan.g_02708	Prbm.g_01558
OG0000295	Syan.g_02662	Prbm.g_01534
OG0000296	Syan.g_02660	Prbm.g_01532
OG0000299	Syan.g_02601	Prbm.g_01503
OG0000301	Syan.g_02592	Prbm.g_01499
OG0000302	Syan.g_02591	Prbm.g_01497
OG0000303	Syan.g_02582	Prbm.g_01492
OG0000304	Syan.g_02556	Prbm.g_01489
OG0000305	Syan.g_00195	Prbm.g_01812
OG0000306	Syan.g_00087	Prbm.g_00875
OG0000307	Syan.g_02782	Prbm.g_01669
OG0000308	Syan.g_02784	Prbm.g_01670
OG0000309	Syan.g_02883	Prbm.g_01674
OG0000310	Syan.g_01304	Prbm.g_01694
OG0000311	Syan.g_01299	Prbm.g_01696
OG0000312	Syan.g_01290	Prbm.g_01699
OG0000313	Syan.g_01271	Prbm.g_01714
OG0000314	Syan.g_02823	Prbm.g_01735
OG0000315	Syan.g_02833	Prbm.g_01745
OG0000316	Syan.g_01354	Prbm.g_01770
OG0000317	Syan.g_01396	Prbm.g_01839
OG0000318	Syan.g_01401	Prbm.g_01842
OG0000319	Syan.g_01425	Prbm.g_01853
OG0000320	Syan.g_01427	Prbm.g_01855
OG0000321	Syan.g_01428	Prbm.g_01856
OG0000322	Syan.g_01429	Prbm.g_01857
OG0000323	Syan.g_01442	Prbm.g_01866
OG0000324	Syan.g_01472	Prbm.g_01893
OG0000325	Syan.g_02107	Prbm.g_01950
OG0000326	Syan.g_02114	Prbm.g_01956
OG0000327	Syan.g_02244	Prbm.g_01991
OG0000328	Syan.g_02243	Prbm.g_01992
OG0000329	Syan.g_02225	Prbm.g_02009
OG0000330	Syan.g_02224	Prbm.g_02010
OG0000331	Syan.g_02223	Prbm.g_02011
OG0000332	Syan.g_02208	Prbm.g_02025
OG0000333	Syan.g_02205	Prbm.g_02027
OG0000334	Syan.g_00247, Syan.g_02194	Prbm.g_02036
OG0000335	Syan.g_02189	Prbm.g_02041
OG0000336	Syan.g_02185	Prbm.g_02045
OG0000337	Syan.g_01949	Prbm.g_02064
OG0000338	Syan.g_01943	Prbm.g_02065
OG0000339	Syan.g_01935, Syan.g_00264	Prbm.g_02070
OG0000340	Syan.g_01923	Prbm.g_02079
OG0000341	Syan.g_01921	Prbm.g_02081
OG0000342	Syan.g_01920	Prbm.g_02082
OG0000343	Syan.g_01918	Prbm.g_02083
OG0000344	Syan.g_01914	Prbm.g_02086
OG0000345	Syan.g_01900	Prbm.g_02091
OG0000346	Syan.g_01895	Prbm.g_02095
OG0000347	Syan.g_01867	Prbm.g_02114
OG0000348	Syan.g_01803	Prbm.g_02149
OG0000349	Syan.g_01727	Prbm.g_02167
OG0000350	Syan.g_02121	Prbm.g_02188
OG0000351	Syan.g_01682	Prbm.g_02212
OG0000352	Syan.g_01683	Prbm.g_02213
OG0000353	Syan.g_01795	Prbm.g_02232
OG0000354	Syan.g_01761	Prbm.g_01220
OG0000355	Syan.g_01797	Prbm.g_00001
OG0000356	Syan.g_01798	Prbm.g_00002
OG0000357	Syan.g_01800	Prbm.g_00003
OG0000358	Syan.g_01773	Prbm.g_00007
OG0000359	Syan.g_01771	Prbm.g_00008
OG0000360	Syan.g_01770	Prbm.g_00009
OG0000361	Syan.g_01769	Prbm.g_00010
OG0000362	Syan.g_01767	Prbm.g_00012
OG0000363	Syan.g_01765	Prbm.g_00014
OG0000364	Syan.g_01398	Prbm.g_00015
OG0000365	Syan.g_01755	Prbm.g_00020
OG0000366	Syan.g_01754	Prbm.g_00021
OG0000367	Syan.g_01753	Prbm.g_00022
OG0000368	Syan.g_01751	Prbm.g_00024
OG0000369	Syan.g_01750	Prbm.g_00025
OG0000370	Syan.g_01749	Prbm.g_00026
OG0000371	Syan.g_01740	Prbm.g_00032
OG0000372	Syan.g_01734	Prbm.g_00033
OG0000373	Syan.g_01733	Prbm.g_00034
OG0000374	Syan.g_01732	Prbm.g_00035
OG0000375	Syan.g_01731	Prbm.g_00049
OG0000376	Syan.g_01729	Prbm.g_00051
OG0000377	Syan.g_01555	Prbm.g_00054
OG0000378	Syan.g_01543	Prbm.g_00056
OG0000379	Syan.g_01539	Prbm.g_00059
OG0000380	Syan.g_02905	Prbm.g_00123
OG0000381	Syan.g_02908	Prbm.g_00127
OG0000382	Syan.g_02925	Prbm.g_00138
OG0000383	Syan.g_02936	Prbm.g_00140
OG0000384	Syan.g_02937	Prbm.g_00141
OG0000385	Syan.g_02938	Prbm.g_00142
OG0000386	Syan.g_02939	Prbm.g_00143
OG0000387	Syan.g_00967	Prbm.g_00156
OG0000388	Syan.g_02970	Prbm.g_00160
OG0000389	Syan.g_02973	Prbm.g_00163
OG0000390	Syan.g_02306	Prbm.g_00172
OG0000391	Syan.g_02301	Prbm.g_00176
OG0000392	Syan.g_02295	Prbm.g_00179
OG0000393	Syan.g_02292	Prbm.g_00182
OG0000394	Syan.g_02291	Prbm.g_00183
OG0000395	Syan.g_02290	Prbm.g_00184
OG0000396	Syan.g_02287	Prbm.g_00187
OG0000397	Syan.g_02285	Prbm.g_00189
OG0000398	Syan.g_02279	Prbm.g_00192
OG0000399	Syan.g_02278	Prbm.g_00193
OG0000400	Syan.g_02277	Prbm.g_00194
OG0000401	Syan.g_02274	Prbm.g_00195
OG0000402	Syan.g_02272	Prbm.g_01096
OG0000403	Syan.g_02271	Prbm.g_00196
OG0000404	Syan.g_02269	Prbm.g_00197
OG0000405	Syan.g_03005	Prbm.g_00202
OG0000406	Syan.g_03010	Prbm.g_00206
OG0000407	Syan.g_03011	Prbm.g_00207
OG0000408	Syan.g_03013	Prbm.g_00209
OG0000409	Syan.g_03015	Prbm.g_00211
OG0000410	Syan.g_03016	Prbm.g_00212
OG0000411	Syan.g_03017	Prbm.g_00213
OG0000412	Syan.g_03018	Prbm.g_00214
OG0000413	Syan.g_03020	Prbm.g_00215
OG0000414	Syan.g_03021	Prbm.g_00216
OG0000415	Syan.g_03022	Prbm.g_00217
OG0000416	Syan.g_03023	Prbm.g_00218
OG0000417	Syan.g_03025	Prbm.g_00219
OG0000418	Syan.g_03030	Prbm.g_00224
OG0000419	Syan.g_03033	Prbm.g_00226
OG0000420	Syan.g_03035	Prbm.g_00227
OG0000421	Syan.g_03040	Prbm.g_00232
OG0000422	Syan.g_03041	Prbm.g_00233
OG0000423	Syan.g_03042	Prbm.g_00234
OG0000424	Syan.g_03043	Prbm.g_00235
OG0000425	Syan.g_03044	Prbm.g_00236
OG0000426	Syan.g_03045	Prbm.g_00237
OG0000427	Syan.g_03046	Prbm.g_00238
OG0000428	Syan.g_03049	Prbm.g_00240
OG0000429	Syan.g_03051	Prbm.g_00241
OG0000430	Syan.g_03053	Prbm.g_00242
OG0000431	Syan.g_03058	Prbm.g_00244
OG0000432	Syan.g_03065	Prbm.g_00248
OG0000433	Syan.g_03068	Prbm.g_00249
OG0000434	Syan.g_03069	Prbm.g_00250
OG0000435	Syan.g_03071	Prbm.g_00251
OG0000436	Syan.g_03079	Prbm.g_00256
OG0000437	Syan.g_03080	Prbm.g_00257
OG0000438	Syan.g_03083	Prbm.g_00258
OG0000439	Syan.g_03085	Prbm.g_00260
OG0000440	Syan.g_03086	Prbm.g_00261
OG0000441	Syan.g_03089	Prbm.g_00263
OG0000442	Syan.g_03090	Prbm.g_00264
OG0000443	Syan.g_03094	Prbm.g_00265
OG0000444	Syan.g_03102	Prbm.g_00270
OG0000445	Syan.g_03103	Prbm.g_00271
OG0000446	Syan.g_03105	Prbm.g_00272
OG0000447	Syan.g_03111	Prbm.g_00273
OG0000448	Syan.g_03112	Prbm.g_00274
OG0000449	Syan.g_03113	Prbm.g_00275
OG0000450	Syan.g_01518	Prbm.g_00276
OG0000451	Syan.g_01519	Prbm.g_00277
OG0000452	Syan.g_01523	Prbm.g_00280
OG0000453	Syan.g_01524	Prbm.g_00281
OG0000454	Syan.g_01525	Prbm.g_00282
OG0000455	Syan.g_01526	Prbm.g_00283
OG0000456	Syan.g_01527	Prbm.g_00284
OG0000457	Syan.g_01529	Prbm.g_00285
OG0000458	Syan.g_01530	Prbm.g_00286
OG0000459	Syan.g_01531	Prbm.g_00287
OG0000460	Syan.g_02423	Prbm.g_00295
OG0000461	Syan.g_02099	Prbm.g_00303
OG0000462	Syan.g_02096	Prbm.g_00305
OG0000463	Syan.g_02095	Prbm.g_00306
OG0000464	Syan.g_02094	Prbm.g_00307
OG0000465	Syan.g_02092	Prbm.g_00308
OG0000466	Syan.g_02087	Prbm.g_00309
OG0000467	Syan.g_02086	Prbm.g_00310
OG0000468	Syan.g_02063	Prbm.g_00312
OG0000469	Syan.g_02046	Prbm.g_00320
OG0000470	Syan.g_02044	Prbm.g_00322
OG0000471	Syan.g_02043	Prbm.g_00323
OG0000472	Syan.g_02041	Prbm.g_00324
OG0000473	Syan.g_02039	Prbm.g_00326
OG0000474	Syan.g_02038	Prbm.g_00327
OG0000475	Syan.g_02037	Prbm.g_00328
OG0000476	Syan.g_02035	Prbm.g_00330
OG0000477	Syan.g_02029	Prbm.g_00332
OG0000478	Syan.g_02028	Prbm.g_00333
OG0000479	Syan.g_02027	Prbm.g_00334
OG0000480	Syan.g_02020	Prbm.g_00339
OG0000481	Syan.g_00975	Prbm.g_00341
OG0000482	Syan.g_02018	Prbm.g_00342
OG0000483	Syan.g_02014	Prbm.g_00345
OG0000484	Syan.g_02013	Prbm.g_00346
OG0000485	Syan.g_02012	Prbm.g_00347
OG0000486	Syan.g_02011	Prbm.g_00348
OG0000487	Syan.g_02005	Prbm.g_00351
OG0000488	Syan.g_02000	Prbm.g_00354
OG0000489	Syan.g_01993	Prbm.g_00359
OG0000490	Syan.g_01985	Prbm.g_00364
OG0000491	Syan.g_01983	Prbm.g_00365
OG0000492	Syan.g_01980	Prbm.g_00367
OG0000493	Syan.g_01979	Prbm.g_00368
OG0000494	Syan.g_01978	Prbm.g_00369
OG0000495	Syan.g_01977	Prbm.g_00370
OG0000496	Syan.g_01976	Prbm.g_00371
OG0000497	Syan.g_01975	Prbm.g_00372
OG0000498	Syan.g_01974	Prbm.g_00373
OG0000499	Syan.g_01973	Prbm.g_00374
OG0000500	Syan.g_01972	Prbm.g_00375
OG0000501	Syan.g_01969	Prbm.g_00376
OG0000502	Syan.g_01961	Prbm.g_00379
OG0000503	Syan.g_02144	Prbm.g_00400
OG0000504	Syan.g_02142	Prbm.g_00402
OG0000505	Syan.g_02141	Prbm.g_00403
OG0000506	Syan.g_02139	Prbm.g_00404
OG0000507	Syan.g_02133	Prbm.g_00407
OG0000508	Syan.g_02998	Prbm.g_00410
OG0000509	Syan.g_02993	Prbm.g_00412
OG0000510	Syan.g_02992	Prbm.g_00413
OG0000511	Syan.g_02991	Prbm.g_00414
OG0000512	Syan.g_02989	Prbm.g_00416
OG0000513	Syan.g_02320	Prbm.g_00426
OG0000514	Syan.g_02326	Prbm.g_00440
OG0000515	Syan.g_02327	Prbm.g_00441
OG0000516	Syan.g_02389	Prbm.g_00442
OG0000517	Syan.g_02395	Prbm.g_00445
OG0000518	Syan.g_01336	Prbm.g_00456
OG0000519	Syan.g_01335	Prbm.g_00457
OG0000520	Syan.g_01334	Prbm.g_00458
OG0000521	Syan.g_02805	Prbm.g_00480
OG0000522	Syan.g_02803	Prbm.g_00482
OG0000523	Syan.g_02802	Prbm.g_00483
OG0000524	Syan.g_02878	Prbm.g_00490
OG0000525	Syan.g_02853	Prbm.g_00494
OG0000526	Syan.g_02852	Prbm.g_00495
OG0000527	Syan.g_02848	Prbm.g_00498
OG0000528	Syan.g_02767	Prbm.g_00504
OG0000529	Syan.g_02763	Prbm.g_00507
OG0000530	Syan.g_02760	Prbm.g_00510
OG0000531	Syan.g_02759	Prbm.g_00511
OG0000532	Syan.g_02756	Prbm.g_00512
OG0000533	Syan.g_02754	Prbm.g_00513
OG0000534	Syan.g_02753	Prbm.g_00514
OG0000535	Syan.g_02752	Prbm.g_00515
OG0000536	Syan.g_02751	Prbm.g_00516
OG0000537	Syan.g_02750	Prbm.g_00517
OG0000538	Syan.g_02738	Prbm.g_00534
OG0000539	Syan.g_02737	Prbm.g_00535
OG0000540	Syan.g_02736	Prbm.g_00536
OG0000541	Syan.g_02735	Prbm.g_00537
OG0000542	Syan.g_02732	Prbm.g_00539
OG0000543	Syan.g_02730	Prbm.g_00541
OG0000544	Syan.g_02729	Prbm.g_00542
OG0000545	Syan.g_02727	Prbm.g_00544
OG0000546	Syan.g_02725	Prbm.g_00547
OG0000547	Syan.g_02723	Prbm.g_00549
OG0000548	Syan.g_02722	Prbm.g_00550
OG0000549	Syan.g_01194	Prbm.g_00553
OG0000550	Syan.g_01189	Prbm.g_00557
OG0000551	Syan.g_01184	Prbm.g_00560
OG0000552	Syan.g_01183	Prbm.g_00561
OG0000553	Syan.g_01179	Prbm.g_00562
OG0000554	Syan.g_01165	Prbm.g_00567
OG0000555	Syan.g_00839	Prbm.g_00575
OG0000556	Syan.g_00842	Prbm.g_00577
OG0000557	Syan.g_00847	Prbm.g_00578
OG0000558	Syan.g_00849	Prbm.g_00580
OG0000559	Syan.g_00853	Prbm.g_00584
OG0000560	Syan.g_00856	Prbm.g_00587
OG0000561	Syan.g_00857	Prbm.g_00588
OG0000562	Syan.g_00858	Prbm.g_00589
OG0000563	Syan.g_00859	Prbm.g_00590
OG0000564	Syan.g_00860	Prbm.g_00591
OG0000565	Syan.g_00864	Prbm.g_00594
