Orthogroup	Syan	Prbe
OG0000070	Syan.g_00289	Prbe.g_01948
OG0000071	Syan.g_01213	Prbe.g_00893
OG0000072	Syan.g_03038, Syan.g_02999	Prbe.g_01719
OG0000073	Syan.g_02741	Prbe.g_00633
OG0000075	Syan.g_00981, Syan.g_01937	Prbe.g_00800
OG0000076	Syan.g_01896	Prbe.g_00774
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Prbe.g_01805
OG0000082	Syan.g_00952	Prbe.g_00549, Prbe.g_00996
OG0000085	Syan.g_01387	Prbe.g_00993, Prbe.g_00007
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Prbe.g_00192
OG0000087	Syan.g_02268	Prbe.g_01683
OG0000088	Syan.g_03031	Prbe.g_01714
OG0000089	Syan.g_02316	Prbe.g_01915
OG0000090	Syan.g_01166	Prbe.g_00602
OG0000091	Syan.g_00235, Syan.g_00808	Prbe.g_01477
OG0000092	Syan.g_02502	Prbe.g_00422
OG0000093	Syan.g_02934	Prbe.g_01448
OG0000094	Syan.g_00065	Prbe.g_01399
OG0000097	Syan.g_00160, Syan.g_00733	Prbe.g_01503
OG0000098	Syan.g_00043	Prbe.g_00397
OG0000099	Syan.g_01968	Prbe.g_00350
OG0000100	Syan.g_00658	Prbe.g_00232
OG0000101	Syan.g_02199	Prbe.g_00836
OG0000102	Syan.g_01891	Prbe.g_00769
OG0000103	Syan.g_01692	Prbe.g_01195
OG0000104	Syan.g_01792	Prbe.g_01061
OG0000105	Syan.g_02031	Prbe.g_01828
OG0000106	Syan.g_00076	Prbe.g_00740
OG0000107	Syan.g_02106	Prbe.g_00921
OG0000108	Syan.g_02764	Prbe.g_00653
OG0000109	Syan.g_02748	Prbe.g_00639
OG0000110	Syan.g_00882	Prbe.g_00560
OG0000111	Syan.g_00187	Prbe.g_01207
OG0000112	Syan.g_00556, Syan.g_00252	Prbe.g_00487
OG0000113	Syan.g_00664	Prbe.g_01245
OG0000114	Syan.g_00741	Prbe.g_00417
OG0000115	Syan.g_02810	Prbe.g_01618
OG0000116	Syan.g_02710, Syan.g_00460	Prbe.g_01560
OG0000117	Syan.g_02644	Prbe.g_01522
OG0000118	Syan.g_01241, Syan.g_01237	Prbe.g_00880
OG0000119	Syan.g_02672	Prbe.g_01603, Prbe.g_00214
OG0000120	Syan.g_01966	Prbe.g_00353
OG0000121	Syan.g_01273	Prbe.g_00309
OG0000123	Syan.g_02190	Prbe.g_00829
OG0000124	Syan.g_01873	Prbe.g_00745
OG0000125	Syan.g_01573	Prbe.g_01158
OG0000126	Syan.g_01705	Prbe.g_01060
OG0000128	Syan.g_01768	Prbe.g_01076
OG0000129	Syan.g_01563	Prbe.g_00145
OG0000130	Syan.g_02906, Syan.g_02907	Prbe.g_00174
OG0000131	Syan.g_03008	Prbe.g_01692
OG0000132	Syan.g_03029	Prbe.g_01712
OG0000133	Syan.g_00561	Prbe.g_01875
OG0000134	Syan.g_02319	Prbe.g_01917
OG0000135	Syan.g_01616	Prbe.g_00911
OG0000136	Syan.g_01342	Prbe.g_01939
OG0000137	Syan.g_02846	Prbe.g_00658
OG0000138	Syan.g_02747	Prbe.g_00638
OG0000140	Syan.g_00042	Prbe.g_00597
OG0000141	Syan.g_01032	Prbe.g_00526
OG0000142	Syan.g_00816	Prbe.g_01485
OG0000143	Syan.g_00812	Prbe.g_01481
OG0000144	Syan.g_00782	Prbe.g_01467
OG0000145	Syan.g_02740	Prbe.g_00909
OG0000146	Syan.g_00555, Syan.g_00253	Prbe.g_00488
OG0000147	Syan.g_00254, Syan.g_00554	Prbe.g_00489
OG0000148	Syan.g_00670	Prbe.g_01239
OG0000149	Syan.g_00393	Prbe.g_01271
OG0000150	Syan.g_01031	Prbe.g_01281
OG0000151	Syan.g_00731	Prbe.g_00427
OG0000152	Syan.g_00565	Prbe.g_01350
OG0000153	Syan.g_00601	Prbe.g_01369
OG0000154	Syan.g_00363	Prbe.g_01389
OG0000155	Syan.g_02654	Prbe.g_01528
OG0000156	Syan.g_02717	Prbe.g_00904
OG0000157	Syan.g_02718	Prbe.g_00903
OG0000158	Syan.g_01078, Syan.g_01926	Prbe.g_00792
OG0000159	Syan.g_01120	Prbe.g_00165
OG0000160	Syan.g_01274	Prbe.g_00310
OG0000161	Syan.g_01268	Prbe.g_00304
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Prbe.g_00298
OG0000163	Syan.g_02405	Prbe.g_00259
OG0000164	Syan.g_01440	Prbe.g_00961
OG0000165	Syan.g_01448	Prbe.g_00954
OG0000166	Syan.g_02239	Prbe.g_01083
OG0000167	Syan.g_01941	Prbe.g_00802
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Prbe.g_00791
OG0000169	Syan.g_01912	Prbe.g_00781
OG0000170	Syan.g_01901	Prbe.g_00778
OG0000171	Syan.g_01875	Prbe.g_00758
OG0000172	Syan.g_01810	Prbe.g_00751
OG0000173	Syan.g_01720	Prbe.g_01143
OG0000174	Syan.g_01619	Prbe.g_01173
OG0000175	Syan.g_01678, Syan.g_00258	Prbe.g_01186
OG0000176	Syan.g_01801	Prbe.g_01069
OG0000177	Syan.g_01775	Prbe.g_01070
OG0000178	Syan.g_01774	Prbe.g_01071
OG0000179	Syan.g_01759	Prbe.g_00116
OG0000180	Syan.g_01758	Prbe.g_00117
OG0000181	Syan.g_01757	Prbe.g_00118
OG0000182	Syan.g_01756	Prbe.g_00119
OG0000183	Syan.g_01752	Prbe.g_00123
OG0000184	Syan.g_01549	Prbe.g_00149
OG0000185	Syan.g_01540	Prbe.g_00152
OG0000186	Syan.g_02902	Prbe.g_00168
OG0000187	Syan.g_02904	Prbe.g_00169
OG0000188	Syan.g_02926	Prbe.g_00186
OG0000189	Syan.g_02966	Prbe.g_01636
OG0000190	Syan.g_00971	Prbe.g_01638
OG0000191	Syan.g_02300	Prbe.g_01661
OG0000192	Syan.g_02294	Prbe.g_01666
OG0000193	Syan.g_03009	Prbe.g_01693
OG0000194	Syan.g_03012	Prbe.g_01696
OG0000195	Syan.g_03014	Prbe.g_01698
OG0000196	Syan.g_03026	Prbe.g_01709
OG0000197	Syan.g_03027	Prbe.g_01710
OG0000198	Syan.g_03028	Prbe.g_01711
OG0000199	Syan.g_03037	Prbe.g_01718
OG0000200	Syan.g_03055	Prbe.g_01732
OG0000201	Syan.g_03074	Prbe.g_01741
OG0000202	Syan.g_03075	Prbe.g_01742
OG0000203	Syan.g_03076	Prbe.g_01743
OG0000204	Syan.g_03077	Prbe.g_01744
OG0000205	Syan.g_03087	Prbe.g_01751
OG0000206	Syan.g_03095	Prbe.g_01756
OG0000207	Syan.g_03100	Prbe.g_01759
OG0000208	Syan.g_03101	Prbe.g_01760
OG0000209	Syan.g_01521	Prbe.g_01769
OG0000210	Syan.g_01522	Prbe.g_01770
OG0000211	Syan.g_02416	Prbe.g_01785
OG0000212	Syan.g_01508, Syan.g_02438	Prbe.g_01793
OG0000213	Syan.g_02059	Prbe.g_01811
OG0000214	Syan.g_02040	Prbe.g_01821
OG0000215	Syan.g_02010	Prbe.g_01848
OG0000216	Syan.g_02006	Prbe.g_01849
OG0000217	Syan.g_02001	Prbe.g_01852
OG0000218	Syan.g_01999	Prbe.g_01854
OG0000219	Syan.g_01998	Prbe.g_01855
OG0000220	Syan.g_01997	Prbe.g_01856
OG0000221	Syan.g_01994	Prbe.g_01857
OG0000222	Syan.g_01981	Prbe.g_01864
OG0000223	Syan.g_00228	Prbe.g_01876
OG0000224	Syan.g_01959	Prbe.g_01878
OG0000225	Syan.g_02997	Prbe.g_01904
OG0000226	Syan.g_02990	Prbe.g_01908
OG0000227	Syan.g_02988	Prbe.g_01910
OG0000228	Syan.g_02315	Prbe.g_01914
OG0000229	Syan.g_02396	Prbe.g_01934
OG0000230	Syan.g_02398	Prbe.g_01936
OG0000231	Syan.g_01333	Prbe.g_01947
OG0000232	Syan.g_02801	Prbe.g_00672
OG0000233	Syan.g_02876	Prbe.g_00666
OG0000234	Syan.g_02844	Prbe.g_00657
OG0000235	Syan.g_02765	Prbe.g_00654
OG0000236	Syan.g_02749	Prbe.g_00640
OG0000237	Syan.g_02731	Prbe.g_00627
OG0000238	Syan.g_02726	Prbe.g_00621
OG0000239	Syan.g_01187	Prbe.g_00610
OG0000240	Syan.g_01186	Prbe.g_00609
OG0000241	Syan.g_00822	Prbe.g_00605
OG0000242	Syan.g_01168	Prbe.g_00603
OG0000243	Syan.g_00840	Prbe.g_00592
OG0000244	Syan.g_00848	Prbe.g_00589
OG0000245	Syan.g_00850	Prbe.g_00587
OG0000246	Syan.g_00854	Prbe.g_00583
OG0000247	Syan.g_00866	Prbe.g_00573
OG0000248	Syan.g_00869	Prbe.g_00570
OG0000249	Syan.g_00871	Prbe.g_00568
OG0000250	Syan.g_00878	Prbe.g_00563
OG0000251	Syan.g_00961	Prbe.g_00543
OG0000252	Syan.g_00966	Prbe.g_00540
OG0000253	Syan.g_01000	Prbe.g_00539
OG0000254	Syan.g_01026	Prbe.g_00522
OG0000255	Syan.g_00978	Prbe.g_00516
OG0000256	Syan.g_00001, Syan.g_01135	Prbe.g_00506
OG0000257	Syan.g_00827	Prbe.g_01490
OG0000258	Syan.g_00803	Prbe.g_01476
OG0000259	Syan.g_00772	Prbe.g_01459
OG0000260	Syan.g_00769	Prbe.g_01456
OG0000261	Syan.g_00765	Prbe.g_01453
OG0000262	Syan.g_00760	Prbe.g_01449
OG0000263	Syan.g_02618	Prbe.g_00455
OG0000264	Syan.g_00540	Prbe.g_00466
OG0000266	Syan.g_00330	Prbe.g_01430
OG0000267	Syan.g_00470	Prbe.g_01418
OG0000268	Syan.g_00471	Prbe.g_01417
OG0000269	Syan.g_00695	Prbe.g_01217
OG0000270	Syan.g_00692	Prbe.g_01220
OG0000271	Syan.g_00684	Prbe.g_01228
OG0000272	Syan.g_00683	Prbe.g_01229
OG0000273	Syan.g_00654	Prbe.g_01253
OG0000274	Syan.g_00653	Prbe.g_01254
OG0000275	Syan.g_00373	Prbe.g_01257
OG0000276	Syan.g_00380	Prbe.g_01263
OG0000277	Syan.g_00381	Prbe.g_01264
OG0000278	Syan.g_00384	Prbe.g_01267
OG0000279	Syan.g_00398	Prbe.g_01274
OG0000280	Syan.g_00518	Prbe.g_01275
OG0000282	Syan.g_00739	Prbe.g_00419
OG0000283	Syan.g_00491	Prbe.g_01326
OG0000284	Syan.g_00497	Prbe.g_01331
OG0000285	Syan.g_00533	Prbe.g_01336
OG0000286	Syan.g_00564	Prbe.g_01349
OG0000287	Syan.g_00593	Prbe.g_01615
OG0000288	Syan.g_00364	Prbe.g_01388
OG0000289	Syan.g_00350	Prbe.g_01404
OG0000290	Syan.g_00293	Prbe.g_01300
OG0000291	Syan.g_00291	Prbe.g_01298
OG0000292	Syan.g_01703	Prbe.g_01594
OG0000293	Syan.g_02709	Prbe.g_01559
OG0000294	Syan.g_02708	Prbe.g_01558
OG0000295	Syan.g_02662	Prbe.g_01535
OG0000296	Syan.g_02660	Prbe.g_01533
OG0000299	Syan.g_02601	Prbe.g_01504
OG0000301	Syan.g_02592	Prbe.g_01500
OG0000302	Syan.g_02591	Prbe.g_01498
OG0000303	Syan.g_02582	Prbe.g_01492
OG0000304	Syan.g_02556	Prbe.g_00501
OG0000305	Syan.g_00195	Prbe.g_01592
OG0000306	Syan.g_00087	Prbe.g_01286
OG0000307	Syan.g_02782	Prbe.g_00364
OG0000308	Syan.g_02784	Prbe.g_00363
OG0000309	Syan.g_02883	Prbe.g_00359
OG0000310	Syan.g_01304	Prbe.g_00325
OG0000311	Syan.g_01299	Prbe.g_00323
OG0000312	Syan.g_01290	Prbe.g_00320
OG0000313	Syan.g_01271	Prbe.g_00307
OG0000314	Syan.g_02823	Prbe.g_00284
OG0000315	Syan.g_02833	Prbe.g_00274
OG0000316	Syan.g_01354	Prbe.g_00249
OG0000317	Syan.g_01396	Prbe.g_00988
OG0000318	Syan.g_01401	Prbe.g_00984
OG0000319	Syan.g_01425	Prbe.g_00971
OG0000320	Syan.g_01427	Prbe.g_00969
OG0000321	Syan.g_01428	Prbe.g_00968
OG0000322	Syan.g_01429	Prbe.g_00967
OG0000323	Syan.g_01442	Prbe.g_00958
OG0000324	Syan.g_01472	Prbe.g_00931
OG0000325	Syan.g_02107	Prbe.g_00920
OG0000326	Syan.g_02114	Prbe.g_01109
OG0000327	Syan.g_02244	Prbe.g_01088
OG0000328	Syan.g_02243	Prbe.g_01087
OG0000329	Syan.g_02225	Prbe.g_00860
OG0000330	Syan.g_02224	Prbe.g_00859
OG0000331	Syan.g_02223	Prbe.g_00858
OG0000332	Syan.g_02208	Prbe.g_00844
OG0000333	Syan.g_02205	Prbe.g_00842
OG0000334	Syan.g_00247, Syan.g_02194	Prbe.g_00833
OG0000335	Syan.g_02189	Prbe.g_00828
OG0000336	Syan.g_02185	Prbe.g_00824
OG0000337	Syan.g_01949	Prbe.g_00806
OG0000338	Syan.g_01943	Prbe.g_00805
OG0000339	Syan.g_01935, Syan.g_00264	Prbe.g_00799
OG0000340	Syan.g_01923	Prbe.g_00790
OG0000341	Syan.g_01921	Prbe.g_00788
OG0000342	Syan.g_01920	Prbe.g_00787
OG0000343	Syan.g_01918	Prbe.g_00786
OG0000344	Syan.g_01914	Prbe.g_00783
OG0000345	Syan.g_01900	Prbe.g_00777
OG0000346	Syan.g_01895	Prbe.g_00773
OG0000347	Syan.g_01867	Prbe.g_00746
OG0000348	Syan.g_01803	Prbe.g_00754
OG0000349	Syan.g_01727	Prbe.g_01149
OG0000350	Syan.g_02121	Prbe.g_00709
OG0000351	Syan.g_01682	Prbe.g_01189
OG0000352	Syan.g_01683	Prbe.g_01190
OG0000353	Syan.g_01795	Prbe.g_01064
OG0000355	Syan.g_01797	Prbe.g_01066
OG0000356	Syan.g_01798	Prbe.g_01067
OG0000357	Syan.g_01800	Prbe.g_01068
OG0000358	Syan.g_01773	Prbe.g_01072
OG0000359	Syan.g_01771	Prbe.g_01073
OG0000360	Syan.g_01770	Prbe.g_01074
OG0000361	Syan.g_01769	Prbe.g_01075
OG0000362	Syan.g_01767	Prbe.g_01077
OG0000363	Syan.g_01765	Prbe.g_00114
OG0000364	Syan.g_01398	Prbe.g_00115
OG0000365	Syan.g_01755	Prbe.g_00120
OG0000366	Syan.g_01754	Prbe.g_00121
OG0000367	Syan.g_01753	Prbe.g_00122
OG0000368	Syan.g_01751	Prbe.g_00124
OG0000369	Syan.g_01750	Prbe.g_00125
OG0000370	Syan.g_01749	Prbe.g_00126
OG0000371	Syan.g_01740	Prbe.g_00133
OG0000372	Syan.g_01734	Prbe.g_00136
OG0000373	Syan.g_01733	Prbe.g_00137
OG0000374	Syan.g_01732	Prbe.g_00138
OG0000375	Syan.g_01731	Prbe.g_00140
OG0000376	Syan.g_01729	Prbe.g_00142
OG0000377	Syan.g_01555	Prbe.g_00146
OG0000378	Syan.g_01543	Prbe.g_00150
OG0000379	Syan.g_01539	Prbe.g_00153
OG0000380	Syan.g_02905	Prbe.g_00170
OG0000381	Syan.g_02908	Prbe.g_00175
OG0000382	Syan.g_02925	Prbe.g_00185
OG0000383	Syan.g_02936	Prbe.g_00187
OG0000384	Syan.g_02937	Prbe.g_00188
OG0000385	Syan.g_02938	Prbe.g_00189
OG0000386	Syan.g_02939	Prbe.g_00190
OG0000387	Syan.g_00967	Prbe.g_01640
OG0000388	Syan.g_02970	Prbe.g_01644
OG0000389	Syan.g_02973	Prbe.g_01647
OG0000390	Syan.g_02306	Prbe.g_01657
OG0000391	Syan.g_02301	Prbe.g_01660
OG0000392	Syan.g_02295	Prbe.g_01664
OG0000393	Syan.g_02292	Prbe.g_01667
OG0000394	Syan.g_02291	Prbe.g_01668
OG0000395	Syan.g_02290	Prbe.g_01669
OG0000396	Syan.g_02287	Prbe.g_01671
OG0000397	Syan.g_02285	Prbe.g_01673
OG0000398	Syan.g_02279	Prbe.g_01676
OG0000399	Syan.g_02278	Prbe.g_01677
OG0000400	Syan.g_02277	Prbe.g_01678
OG0000401	Syan.g_02274	Prbe.g_01679
OG0000402	Syan.g_02272	Prbe.g_01412
OG0000403	Syan.g_02271	Prbe.g_01681
OG0000404	Syan.g_02269	Prbe.g_01682
OG0000405	Syan.g_03005	Prbe.g_01686
OG0000406	Syan.g_03010	Prbe.g_01694
OG0000407	Syan.g_03011	Prbe.g_01695
OG0000408	Syan.g_03013	Prbe.g_01697
OG0000409	Syan.g_03015	Prbe.g_01699
OG0000410	Syan.g_03016	Prbe.g_01700
OG0000411	Syan.g_03017	Prbe.g_01701
OG0000412	Syan.g_03018	Prbe.g_01702
OG0000413	Syan.g_03020	Prbe.g_01704
OG0000414	Syan.g_03021	Prbe.g_01705
OG0000415	Syan.g_03022	Prbe.g_01706
OG0000416	Syan.g_03023	Prbe.g_01707
OG0000417	Syan.g_03025	Prbe.g_01708
OG0000418	Syan.g_03030	Prbe.g_01713
OG0000419	Syan.g_03033	Prbe.g_01715
OG0000420	Syan.g_03035	Prbe.g_01716
OG0000421	Syan.g_03040	Prbe.g_01721
OG0000422	Syan.g_03041	Prbe.g_01722
OG0000423	Syan.g_03042	Prbe.g_01723
OG0000424	Syan.g_03043	Prbe.g_01724
OG0000425	Syan.g_03044	Prbe.g_01725
OG0000426	Syan.g_03045	Prbe.g_01726
OG0000427	Syan.g_03046	Prbe.g_01727
OG0000428	Syan.g_03049	Prbe.g_01729
OG0000429	Syan.g_03051	Prbe.g_01730
OG0000430	Syan.g_03053	Prbe.g_01731
OG0000431	Syan.g_03058	Prbe.g_01733
OG0000432	Syan.g_03065	Prbe.g_01737
OG0000433	Syan.g_03068	Prbe.g_01738
OG0000434	Syan.g_03069	Prbe.g_01739
OG0000435	Syan.g_03071	Prbe.g_01740
OG0000436	Syan.g_03079	Prbe.g_01745
OG0000437	Syan.g_03080	Prbe.g_01746
OG0000438	Syan.g_03083	Prbe.g_01747
OG0000439	Syan.g_03085	Prbe.g_01749
OG0000440	Syan.g_03086	Prbe.g_01750
OG0000441	Syan.g_03089	Prbe.g_01753
OG0000442	Syan.g_03090	Prbe.g_01754
OG0000443	Syan.g_03094	Prbe.g_01755
OG0000444	Syan.g_03102	Prbe.g_01761
OG0000445	Syan.g_03103	Prbe.g_01762
OG0000446	Syan.g_03105	Prbe.g_01763
OG0000447	Syan.g_03111	Prbe.g_01764
OG0000448	Syan.g_03112	Prbe.g_01765
OG0000449	Syan.g_03113	Prbe.g_01766
OG0000450	Syan.g_01518	Prbe.g_01767
OG0000451	Syan.g_01519	Prbe.g_01768
OG0000452	Syan.g_01523	Prbe.g_01771
OG0000453	Syan.g_01524	Prbe.g_01772
OG0000454	Syan.g_01525	Prbe.g_01773
OG0000455	Syan.g_01526	Prbe.g_01774
OG0000456	Syan.g_01527	Prbe.g_01775
OG0000457	Syan.g_01529	Prbe.g_01777
OG0000458	Syan.g_01530	Prbe.g_01778
OG0000459	Syan.g_01531	Prbe.g_01779
OG0000460	Syan.g_02423	Prbe.g_01787
OG0000461	Syan.g_02099	Prbe.g_01795
OG0000462	Syan.g_02096	Prbe.g_01797
OG0000463	Syan.g_02095	Prbe.g_01798
OG0000464	Syan.g_02094	Prbe.g_01799
OG0000465	Syan.g_02092	Prbe.g_01800
OG0000466	Syan.g_02087	Prbe.g_01803
OG0000467	Syan.g_02086	Prbe.g_01804
OG0000468	Syan.g_02063	Prbe.g_01807
OG0000469	Syan.g_02046	Prbe.g_01815
OG0000470	Syan.g_02044	Prbe.g_01817
OG0000471	Syan.g_02043	Prbe.g_01818
OG0000472	Syan.g_02041	Prbe.g_01820
OG0000473	Syan.g_02039	Prbe.g_01822
OG0000474	Syan.g_02038	Prbe.g_01823
OG0000475	Syan.g_02037	Prbe.g_01824
OG0000476	Syan.g_02035	Prbe.g_01826
OG0000477	Syan.g_02029	Prbe.g_01829
OG0000478	Syan.g_02028	Prbe.g_01830
OG0000479	Syan.g_02027	Prbe.g_01831
OG0000480	Syan.g_02020	Prbe.g_01836
OG0000481	Syan.g_00975	Prbe.g_01839
OG0000482	Syan.g_02018	Prbe.g_01840
OG0000483	Syan.g_02014	Prbe.g_01843
OG0000484	Syan.g_02013	Prbe.g_01844
OG0000485	Syan.g_02012	Prbe.g_01846
OG0000486	Syan.g_02011	Prbe.g_01847
OG0000487	Syan.g_02005	Prbe.g_01850
OG0000488	Syan.g_02000	Prbe.g_01853
OG0000489	Syan.g_01993	Prbe.g_01858
OG0000490	Syan.g_01985	Prbe.g_01862
OG0000491	Syan.g_01983	Prbe.g_01863
OG0000492	Syan.g_01980	Prbe.g_01865
OG0000493	Syan.g_01979	Prbe.g_01866
OG0000494	Syan.g_01978	Prbe.g_01867
OG0000495	Syan.g_01977	Prbe.g_01868
OG0000496	Syan.g_01976	Prbe.g_01869
OG0000497	Syan.g_01975	Prbe.g_01870
OG0000498	Syan.g_01974	Prbe.g_01871
OG0000499	Syan.g_01973	Prbe.g_01872
OG0000500	Syan.g_01972	Prbe.g_01873
OG0000501	Syan.g_01969	Prbe.g_01874
OG0000502	Syan.g_01961	Prbe.g_01877
OG0000503	Syan.g_02144	Prbe.g_01892
OG0000504	Syan.g_02142	Prbe.g_01894
OG0000505	Syan.g_02141	Prbe.g_01895
OG0000506	Syan.g_02139	Prbe.g_01896
OG0000507	Syan.g_02133	Prbe.g_01899
OG0000508	Syan.g_02998	Prbe.g_01903
OG0000509	Syan.g_02993	Prbe.g_01905
OG0000510	Syan.g_02992	Prbe.g_01906
OG0000511	Syan.g_02991	Prbe.g_01907
OG0000512	Syan.g_02989	Prbe.g_01909
OG0000513	Syan.g_02320	Prbe.g_01918
OG0000514	Syan.g_02326	Prbe.g_01929
OG0000515	Syan.g_02327	Prbe.g_01930
OG0000516	Syan.g_02389	Prbe.g_01931
OG0000517	Syan.g_02395	Prbe.g_01933
OG0000518	Syan.g_01336	Prbe.g_01944
OG0000519	Syan.g_01335	Prbe.g_01945
OG0000520	Syan.g_01334	Prbe.g_01946
OG0000521	Syan.g_02805	Prbe.g_00676
OG0000522	Syan.g_02803	Prbe.g_00674
OG0000523	Syan.g_02802	Prbe.g_00673
OG0000524	Syan.g_02878	Prbe.g_00668
OG0000525	Syan.g_02853	Prbe.g_00664
OG0000526	Syan.g_02852	Prbe.g_00663
OG0000527	Syan.g_02848	Prbe.g_00660
OG0000528	Syan.g_02767	Prbe.g_00655
OG0000529	Syan.g_02763	Prbe.g_00652
OG0000530	Syan.g_02760	Prbe.g_00649
OG0000531	Syan.g_02759	Prbe.g_00648
OG0000532	Syan.g_02756	Prbe.g_00646
OG0000533	Syan.g_02754	Prbe.g_00645
OG0000534	Syan.g_02753	Prbe.g_00644
OG0000535	Syan.g_02752	Prbe.g_00643
OG0000536	Syan.g_02751	Prbe.g_00642
OG0000537	Syan.g_02750	Prbe.g_00641
OG0000538	Syan.g_02738	Prbe.g_00632
OG0000539	Syan.g_02737	Prbe.g_00631
OG0000540	Syan.g_02736	Prbe.g_00630
OG0000541	Syan.g_02735	Prbe.g_00629
OG0000542	Syan.g_02732	Prbe.g_00628
OG0000543	Syan.g_02730	Prbe.g_00626
OG0000544	Syan.g_02729	Prbe.g_00625
OG0000545	Syan.g_02727	Prbe.g_00623
OG0000546	Syan.g_02725	Prbe.g_00620
OG0000547	Syan.g_02723	Prbe.g_00618
OG0000548	Syan.g_02722	Prbe.g_00617
OG0000549	Syan.g_01194	Prbe.g_00615
OG0000550	Syan.g_01189	Prbe.g_00611
OG0000551	Syan.g_01184	Prbe.g_00608
OG0000552	Syan.g_01183	Prbe.g_00607
OG0000553	Syan.g_01179	Prbe.g_00606
OG0000554	Syan.g_01165	Prbe.g_00601
OG0000555	Syan.g_00839	Prbe.g_00593
OG0000556	Syan.g_00842	Prbe.g_00591
OG0000557	Syan.g_00847	Prbe.g_00590
OG0000558	Syan.g_00849	Prbe.g_00588
OG0000559	Syan.g_00853	Prbe.g_00584
OG0000560	Syan.g_00856	Prbe.g_00581
OG0000561	Syan.g_00857	Prbe.g_00580
OG0000562	Syan.g_00858	Prbe.g_00579
OG0000563	Syan.g_00859	Prbe.g_00578
OG0000564	Syan.g_00860	Prbe.g_00577
OG0000565	Syan.g_00864	Prbe.g_00575
OG0000566	Syan.g_00868	Prbe.g_00571
OG0000567	Syan.g_00872	Prbe.g_00567
OG0000568	Syan.g_00874	Prbe.g_00566
