Orthogroup	Syan	Praj
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Praj.g_02020
OG0000045	Syan.g_00086, Syan.g_00151	Praj.g_01049
OG0000046	Syan.g_02157, Syan.g_02160	Praj.g_00363
OG0000048	Syan.g_02036	Praj.g_00308
OG0000052	Syan.g_01954, Syan.g_01953	Praj.g_00095
OG0000053	Syan.g_02812	Praj.g_01651
OG0000054	Syan.g_02503	Praj.g_00594
OG0000055	Syan.g_00312	Praj.g_00733, Praj.g_01842
OG0000058	Syan.g_01128, Syan.g_01124	Praj.g_00839
OG0000060	Syan.g_00277	Praj.g_01108
OG0000061	Syan.g_02696	Praj.g_01461
OG0000062	Syan.g_00098	Praj.g_01714
OG0000063	Syan.g_01739	Praj.g_01867
OG0000065	Syan.g_02974	Praj.g_00145
OG0000066	Syan.g_01156	Praj.g_00530
OG0000067	Syan.g_00690	Praj.g_00769
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Praj.g_01575
OG0000069	Syan.g_00278	Praj.g_01276, Praj.g_01675
OG0000070	Syan.g_00289	Praj.g_00444
OG0000071	Syan.g_01213	Praj.g_01528
OG0000072	Syan.g_03038, Syan.g_02999	Praj.g_00211
OG0000073	Syan.g_02741	Praj.g_00491
OG0000075	Syan.g_00981, Syan.g_01937	Praj.g_01987
OG0000076	Syan.g_01896	Praj.g_02012
OG0000077	Syan.g_02919, Syan.g_02579	Praj.g_00116
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Praj.g_00291
OG0000082	Syan.g_00952	Praj.g_01827
OG0000085	Syan.g_01387	Praj.g_01762
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Praj.g_00126
OG0000087	Syan.g_02268	Praj.g_00179
OG0000088	Syan.g_03031	Praj.g_00206
OG0000089	Syan.g_02316	Praj.g_00403
OG0000090	Syan.g_01166	Praj.g_00524
OG0000091	Syan.g_00235, Syan.g_00808	Praj.g_00630
OG0000092	Syan.g_02502	Praj.g_00892
OG0000093	Syan.g_02934	Praj.g_00754
OG0000094	Syan.g_00065	Praj.g_00846
OG0000097	Syan.g_00160, Syan.g_00733	Praj.g_01416
OG0000098	Syan.g_00043	Praj.g_01546
OG0000099	Syan.g_01968	Praj.g_00372
OG0000100	Syan.g_00658	Praj.g_01709
OG0000101	Syan.g_02199	Praj.g_01952
OG0000102	Syan.g_01891	Praj.g_02017
OG0000103	Syan.g_01692	Praj.g_02135
OG0000104	Syan.g_01792	Praj.g_02145
OG0000105	Syan.g_02031	Praj.g_00310
OG0000106	Syan.g_00076	Praj.g_01156, Praj.g_01282
OG0000107	Syan.g_02106	Praj.g_01869
OG0000108	Syan.g_02764	Praj.g_00473
OG0000109	Syan.g_02748	Praj.g_00486
OG0000110	Syan.g_00882	Praj.g_00565
OG0000111	Syan.g_00187	Praj.g_00692
OG0000112	Syan.g_00556, Syan.g_00252	Praj.g_00938
OG0000113	Syan.g_00664	Praj.g_00793, Praj.g_01176
OG0000114	Syan.g_00741	Praj.g_00887
OG0000115	Syan.g_02810	Praj.g_01725
OG0000116	Syan.g_02710, Syan.g_00460	Praj.g_01471
OG0000117	Syan.g_02644	Praj.g_01355
OG0000118	Syan.g_01241, Syan.g_01237	Praj.g_01540
OG0000119	Syan.g_02672	Praj.g_01568
OG0000120	Syan.g_01966	Praj.g_00664
OG0000121	Syan.g_01273	Praj.g_01634
OG0000123	Syan.g_02190	Praj.g_01959
OG0000124	Syan.g_01873	Praj.g_02031
OG0000125	Syan.g_01573	Praj.g_02091
OG0000126	Syan.g_01705	Praj.g_02144
OG0000128	Syan.g_01768	Praj.g_00011
OG0000129	Syan.g_01563	Praj.g_00048
OG0000130	Syan.g_02906, Syan.g_02907	Praj.g_00107
OG0000131	Syan.g_03008	Praj.g_00185
OG0000132	Syan.g_03029	Praj.g_00204
OG0000133	Syan.g_00561	Praj.g_00357
OG0000134	Syan.g_02319	Praj.g_00405
OG0000135	Syan.g_01616	Praj.g_01279
OG0000136	Syan.g_01342	Praj.g_00435
OG0000137	Syan.g_02846	Praj.g_00467
OG0000138	Syan.g_02747	Praj.g_00487
OG0000140	Syan.g_00042	Praj.g_00529
OG0000141	Syan.g_01032	Praj.g_00595
OG0000142	Syan.g_00816	Praj.g_00623
OG0000143	Syan.g_00812	Praj.g_00627
OG0000144	Syan.g_00782	Praj.g_00640
OG0000145	Syan.g_02740	Praj.g_01054
OG0000146	Syan.g_00555, Syan.g_00253	Praj.g_00937
OG0000147	Syan.g_00254, Syan.g_00554	Praj.g_00936
OG0000148	Syan.g_00670	Praj.g_00787
OG0000149	Syan.g_00393	Praj.g_00819
OG0000150	Syan.g_01031	Praj.g_00828
OG0000151	Syan.g_00731	Praj.g_00898
OG0000152	Syan.g_00565	Praj.g_01601, Praj.g_00946
OG0000153	Syan.g_00601	Praj.g_00965
OG0000154	Syan.g_00363	Praj.g_00995
OG0000155	Syan.g_02654	Praj.g_01440
OG0000156	Syan.g_02717	Praj.g_01517
OG0000157	Syan.g_02718	Praj.g_01518
OG0000158	Syan.g_01078, Syan.g_01926	Praj.g_01995
OG0000159	Syan.g_01120	Praj.g_02043, Praj.g_02035
OG0000160	Syan.g_01274	Praj.g_01633
OG0000161	Syan.g_01268	Praj.g_01639
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Praj.g_01645
OG0000163	Syan.g_02405	Praj.g_01681
OG0000164	Syan.g_01440	Praj.g_01790
OG0000165	Syan.g_01448	Praj.g_01798
OG0000166	Syan.g_02239	Praj.g_01915
OG0000167	Syan.g_01941	Praj.g_01985
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Praj.g_01996
OG0000169	Syan.g_01912	Praj.g_02006
OG0000170	Syan.g_01901	Praj.g_02008
OG0000171	Syan.g_01875	Praj.g_02030
OG0000172	Syan.g_01810	Praj.g_02061
OG0000173	Syan.g_01720	Praj.g_02076
OG0000174	Syan.g_01619	Praj.g_02107
OG0000175	Syan.g_01678, Syan.g_00258	Praj.g_02125
OG0000176	Syan.g_01801	Praj.g_00004
OG0000177	Syan.g_01775	Praj.g_00005
OG0000178	Syan.g_01774	Praj.g_00006
OG0000179	Syan.g_01759	Praj.g_00016
OG0000180	Syan.g_01758	Praj.g_00017
OG0000181	Syan.g_01757	Praj.g_00018
OG0000182	Syan.g_01756	Praj.g_00019
OG0000183	Syan.g_01752	Praj.g_00023
OG0000184	Syan.g_01549	Praj.g_00050
OG0000185	Syan.g_01540	Praj.g_00053
OG0000186	Syan.g_02902	Praj.g_00102
OG0000187	Syan.g_02904	Praj.g_00103
OG0000188	Syan.g_02926	Praj.g_00120
OG0000189	Syan.g_02966	Praj.g_00134
OG0000190	Syan.g_00971	Praj.g_00135
OG0000191	Syan.g_02300	Praj.g_00158
OG0000192	Syan.g_02294	Praj.g_00162
OG0000193	Syan.g_03009	Praj.g_00186
OG0000194	Syan.g_03012	Praj.g_00189
OG0000195	Syan.g_03014	Praj.g_00191
OG0000196	Syan.g_03026	Praj.g_00201
OG0000197	Syan.g_03027	Praj.g_00202
OG0000198	Syan.g_03028	Praj.g_00203
OG0000199	Syan.g_03037	Praj.g_00210
OG0000200	Syan.g_03055	Praj.g_00223
OG0000201	Syan.g_03074	Praj.g_00232
OG0000202	Syan.g_03075	Praj.g_00233
OG0000203	Syan.g_03076	Praj.g_00234
OG0000204	Syan.g_03077	Praj.g_00235
OG0000205	Syan.g_03087	Praj.g_00242
OG0000206	Syan.g_03095	Praj.g_00246
OG0000207	Syan.g_03100	Praj.g_00248
OG0000208	Syan.g_03101	Praj.g_00249
OG0000209	Syan.g_01521	Praj.g_00258
OG0000210	Syan.g_01522	Praj.g_00259
OG0000211	Syan.g_02416	Praj.g_00273
OG0000212	Syan.g_01508, Syan.g_02438	Praj.g_00281
OG0000213	Syan.g_02059	Praj.g_00296
OG0000214	Syan.g_02040	Praj.g_00304
OG0000215	Syan.g_02010	Praj.g_00328
OG0000216	Syan.g_02006	Praj.g_00329
OG0000217	Syan.g_02001	Praj.g_00332
OG0000218	Syan.g_01999	Praj.g_00334
OG0000219	Syan.g_01998	Praj.g_00335
OG0000220	Syan.g_01997	Praj.g_00336
OG0000221	Syan.g_01994	Praj.g_00337
OG0000222	Syan.g_01981	Praj.g_00345
OG0000223	Syan.g_00228	Praj.g_00358
OG0000224	Syan.g_01959	Praj.g_00360
OG0000225	Syan.g_02997	Praj.g_00391
OG0000226	Syan.g_02990	Praj.g_00395
OG0000227	Syan.g_02988	Praj.g_00397
OG0000228	Syan.g_02315	Praj.g_00402
OG0000229	Syan.g_02396	Praj.g_00430
OG0000230	Syan.g_02398	Praj.g_00432
OG0000231	Syan.g_01333	Praj.g_00443
OG0000232	Syan.g_02801	Praj.g_00451
OG0000233	Syan.g_02876	Praj.g_00459
OG0000234	Syan.g_02844	Praj.g_00468
OG0000235	Syan.g_02765	Praj.g_00472
OG0000236	Syan.g_02749	Praj.g_00485
OG0000237	Syan.g_02731	Praj.g_00498
OG0000238	Syan.g_02726	Praj.g_00504
OG0000239	Syan.g_01187	Praj.g_00516
OG0000240	Syan.g_01186	Praj.g_00517
OG0000241	Syan.g_00822	Praj.g_00521
OG0000242	Syan.g_01168	Praj.g_00523
OG0000243	Syan.g_00840	Praj.g_00534
OG0000244	Syan.g_00848	Praj.g_00537
OG0000245	Syan.g_00850	Praj.g_00539
OG0000246	Syan.g_00854	Praj.g_00543
OG0000247	Syan.g_00866	Praj.g_00553
OG0000248	Syan.g_00869	Praj.g_00555
OG0000249	Syan.g_00871	Praj.g_00557
OG0000250	Syan.g_00878	Praj.g_00562
OG0000251	Syan.g_00961	Praj.g_00578
OG0000252	Syan.g_00966	Praj.g_00580
OG0000253	Syan.g_01000	Praj.g_00582
OG0000254	Syan.g_01026	Praj.g_00599
OG0000255	Syan.g_00978	Praj.g_00605
OG0000256	Syan.g_00001, Syan.g_01135	Praj.g_00615
OG0000257	Syan.g_00827	Praj.g_00618
OG0000258	Syan.g_00803	Praj.g_00631
OG0000259	Syan.g_00772	Praj.g_00648
OG0000260	Syan.g_00769	Praj.g_00651
OG0000261	Syan.g_00765	Praj.g_00654
OG0000262	Syan.g_00760	Praj.g_00659
OG0000263	Syan.g_02618	Praj.g_00673
OG0000264	Syan.g_00540	Praj.g_00684
OG0000266	Syan.g_00330	Praj.g_00708
OG0000267	Syan.g_00470	Praj.g_00721
OG0000268	Syan.g_00471	Praj.g_00722
OG0000269	Syan.g_00695	Praj.g_00764
OG0000270	Syan.g_00692	Praj.g_00767
OG0000271	Syan.g_00684	Praj.g_00775
OG0000272	Syan.g_00683	Praj.g_00776
OG0000273	Syan.g_00654	Praj.g_00801
OG0000274	Syan.g_00653	Praj.g_00802
OG0000275	Syan.g_00373	Praj.g_00804
OG0000276	Syan.g_00380	Praj.g_00810
OG0000277	Syan.g_00381	Praj.g_00811
OG0000278	Syan.g_00384	Praj.g_00815
OG0000279	Syan.g_00398	Praj.g_00822
OG0000280	Syan.g_00518	Praj.g_01326
OG0000282	Syan.g_00739	Praj.g_00889
OG0000283	Syan.g_00491	Praj.g_00920
OG0000284	Syan.g_00497	Praj.g_00925
OG0000285	Syan.g_00533	Praj.g_00930
OG0000286	Syan.g_00564	Praj.g_00945
OG0000287	Syan.g_00593	Praj.g_00085
OG0000288	Syan.g_00364	Praj.g_00994
OG0000289	Syan.g_00350	Praj.g_01005
OG0000290	Syan.g_00293	Praj.g_01021
OG0000291	Syan.g_00291	Praj.g_01023
OG0000292	Syan.g_01703	Praj.g_01196
OG0000293	Syan.g_02709	Praj.g_01470
OG0000294	Syan.g_02708	Praj.g_01469
OG0000295	Syan.g_02662	Praj.g_01447
OG0000296	Syan.g_02660	Praj.g_01445
OG0000299	Syan.g_02601	Praj.g_01417
OG0000301	Syan.g_02592	Praj.g_01413
OG0000302	Syan.g_02591	Praj.g_01410
OG0000303	Syan.g_02582	Praj.g_01405
OG0000304	Syan.g_02556	Praj.g_01402
OG0000305	Syan.g_00195	Praj.g_01734
OG0000306	Syan.g_00087	Praj.g_00833
OG0000307	Syan.g_02782	Praj.g_01584
OG0000308	Syan.g_02784	Praj.g_01585
OG0000309	Syan.g_02883	Praj.g_01589
OG0000310	Syan.g_01304	Praj.g_01616
OG0000311	Syan.g_01299	Praj.g_01618
OG0000312	Syan.g_01290	Praj.g_01621
OG0000313	Syan.g_01271	Praj.g_01636
OG0000314	Syan.g_02823	Praj.g_01657
OG0000315	Syan.g_02833	Praj.g_01667
OG0000316	Syan.g_01354	Praj.g_01692
OG0000317	Syan.g_01396	Praj.g_01766
OG0000318	Syan.g_01401	Praj.g_01769
OG0000319	Syan.g_01425	Praj.g_01780
OG0000320	Syan.g_01427	Praj.g_01782
OG0000321	Syan.g_01428	Praj.g_01783
OG0000322	Syan.g_01429	Praj.g_01784
OG0000323	Syan.g_01442	Praj.g_01793
OG0000324	Syan.g_01472	Praj.g_01820
OG0000325	Syan.g_02107	Praj.g_01870
OG0000326	Syan.g_02114	Praj.g_01876
OG0000327	Syan.g_02244	Praj.g_01910
OG0000328	Syan.g_02243	Praj.g_01911
OG0000329	Syan.g_02225	Praj.g_01928
OG0000330	Syan.g_02224	Praj.g_01929
OG0000331	Syan.g_02223	Praj.g_01930
OG0000332	Syan.g_02208	Praj.g_01944
OG0000333	Syan.g_02205	Praj.g_01946
OG0000334	Syan.g_00247, Syan.g_02194	Praj.g_01955
OG0000335	Syan.g_02189	Praj.g_01960
OG0000336	Syan.g_02185	Praj.g_01964
OG0000337	Syan.g_01949	Praj.g_01982
OG0000338	Syan.g_01943	Praj.g_01983
OG0000339	Syan.g_01935, Syan.g_00264	Praj.g_01988
OG0000340	Syan.g_01923	Praj.g_01997
OG0000341	Syan.g_01921	Praj.g_01999
OG0000342	Syan.g_01920	Praj.g_02000
OG0000343	Syan.g_01918	Praj.g_02001
OG0000344	Syan.g_01914	Praj.g_02004
OG0000345	Syan.g_01900	Praj.g_02009
OG0000346	Syan.g_01895	Praj.g_02013
OG0000347	Syan.g_01867	Praj.g_02034
OG0000348	Syan.g_01803	Praj.g_02064
OG0000349	Syan.g_01727	Praj.g_02082
OG0000350	Syan.g_02121	Praj.g_02103
OG0000351	Syan.g_01682	Praj.g_02128
OG0000352	Syan.g_01683	Praj.g_02129
OG0000353	Syan.g_01795	Praj.g_02148
OG0000355	Syan.g_01797	Praj.g_00001
OG0000356	Syan.g_01798	Praj.g_00002
OG0000357	Syan.g_01800	Praj.g_00003
OG0000358	Syan.g_01773	Praj.g_00007
OG0000359	Syan.g_01771	Praj.g_00008
OG0000360	Syan.g_01770	Praj.g_00009
OG0000361	Syan.g_01769	Praj.g_00010
OG0000362	Syan.g_01767	Praj.g_00012
OG0000363	Syan.g_01765	Praj.g_00014
OG0000364	Syan.g_01398	Praj.g_00015
OG0000365	Syan.g_01755	Praj.g_00020
OG0000366	Syan.g_01754	Praj.g_00021
OG0000367	Syan.g_01753	Praj.g_00022
OG0000368	Syan.g_01751	Praj.g_00024
OG0000369	Syan.g_01750	Praj.g_00025
OG0000370	Syan.g_01749	Praj.g_00026
OG0000371	Syan.g_01740	Praj.g_00032
OG0000372	Syan.g_01734	Praj.g_00034
OG0000373	Syan.g_01733	Praj.g_00035
OG0000374	Syan.g_01732	Praj.g_00036
OG0000375	Syan.g_01731	Praj.g_00044
OG0000376	Syan.g_01729	Praj.g_00046
OG0000377	Syan.g_01555	Praj.g_00049
OG0000378	Syan.g_01543	Praj.g_00051
OG0000379	Syan.g_01539	Praj.g_00054
OG0000380	Syan.g_02905	Praj.g_00104
OG0000381	Syan.g_02908	Praj.g_00108
OG0000382	Syan.g_02925	Praj.g_00119
OG0000383	Syan.g_02936	Praj.g_00121
OG0000384	Syan.g_02937	Praj.g_00122
OG0000385	Syan.g_02938	Praj.g_00123
OG0000386	Syan.g_02939	Praj.g_00124
OG0000387	Syan.g_00967	Praj.g_00137
OG0000388	Syan.g_02970	Praj.g_00141
OG0000389	Syan.g_02973	Praj.g_00144
OG0000390	Syan.g_02306	Praj.g_00153
OG0000391	Syan.g_02301	Praj.g_00157
OG0000392	Syan.g_02295	Praj.g_00160
OG0000393	Syan.g_02292	Praj.g_00163
OG0000394	Syan.g_02291	Praj.g_00164
OG0000395	Syan.g_02290	Praj.g_00165
OG0000396	Syan.g_02287	Praj.g_00168
OG0000397	Syan.g_02285	Praj.g_00170
OG0000398	Syan.g_02279	Praj.g_00173
OG0000399	Syan.g_02278	Praj.g_00174
OG0000400	Syan.g_02277	Praj.g_00175
OG0000401	Syan.g_02274	Praj.g_00176
OG0000402	Syan.g_02272	Praj.g_01057
OG0000403	Syan.g_02271	Praj.g_00177
OG0000404	Syan.g_02269	Praj.g_00178
OG0000405	Syan.g_03005	Praj.g_00183
OG0000406	Syan.g_03010	Praj.g_00187
OG0000407	Syan.g_03011	Praj.g_00188
OG0000408	Syan.g_03013	Praj.g_00190
OG0000409	Syan.g_03015	Praj.g_00192
OG0000410	Syan.g_03016	Praj.g_00193
OG0000411	Syan.g_03017	Praj.g_00194
OG0000412	Syan.g_03018	Praj.g_00195
OG0000413	Syan.g_03020	Praj.g_00196
OG0000414	Syan.g_03021	Praj.g_00197
OG0000415	Syan.g_03022	Praj.g_00198
OG0000416	Syan.g_03023	Praj.g_00199
OG0000417	Syan.g_03025	Praj.g_00200
OG0000418	Syan.g_03030	Praj.g_00205
OG0000419	Syan.g_03033	Praj.g_00207
OG0000420	Syan.g_03035	Praj.g_00208
OG0000421	Syan.g_03040	Praj.g_00212
OG0000422	Syan.g_03041	Praj.g_00213
OG0000423	Syan.g_03042	Praj.g_00214
OG0000424	Syan.g_03043	Praj.g_00215
OG0000425	Syan.g_03044	Praj.g_00216
OG0000426	Syan.g_03045	Praj.g_00217
OG0000427	Syan.g_03046	Praj.g_00218
OG0000428	Syan.g_03049	Praj.g_00220
OG0000429	Syan.g_03051	Praj.g_00221
OG0000430	Syan.g_03053	Praj.g_00222
OG0000431	Syan.g_03058	Praj.g_00224
OG0000432	Syan.g_03065	Praj.g_00228
OG0000433	Syan.g_03068	Praj.g_00229
OG0000434	Syan.g_03069	Praj.g_00230
OG0000435	Syan.g_03071	Praj.g_00231
OG0000436	Syan.g_03079	Praj.g_00236
OG0000437	Syan.g_03080	Praj.g_00237
OG0000438	Syan.g_03083	Praj.g_00238
OG0000439	Syan.g_03085	Praj.g_00240
OG0000440	Syan.g_03086	Praj.g_00241
OG0000441	Syan.g_03089	Praj.g_00243
OG0000442	Syan.g_03090	Praj.g_00244
OG0000443	Syan.g_03094	Praj.g_00245
OG0000444	Syan.g_03102	Praj.g_00250
OG0000445	Syan.g_03103	Praj.g_00251
OG0000446	Syan.g_03105	Praj.g_00252
OG0000447	Syan.g_03111	Praj.g_00253
OG0000448	Syan.g_03112	Praj.g_00254
OG0000449	Syan.g_03113	Praj.g_00255
OG0000450	Syan.g_01518	Praj.g_00256
OG0000451	Syan.g_01519	Praj.g_00257
OG0000452	Syan.g_01523	Praj.g_00260
OG0000453	Syan.g_01524	Praj.g_00261
OG0000454	Syan.g_01525	Praj.g_00262
OG0000455	Syan.g_01526	Praj.g_00263
OG0000456	Syan.g_01527	Praj.g_00264
OG0000457	Syan.g_01529	Praj.g_00265
OG0000458	Syan.g_01530	Praj.g_00266
OG0000459	Syan.g_01531	Praj.g_00267
OG0000460	Syan.g_02423	Praj.g_00275
OG0000461	Syan.g_02099	Praj.g_00283
OG0000462	Syan.g_02096	Praj.g_00285
OG0000463	Syan.g_02095	Praj.g_00286
OG0000464	Syan.g_02094	Praj.g_00287
OG0000465	Syan.g_02092	Praj.g_00288
OG0000466	Syan.g_02087	Praj.g_00289
OG0000467	Syan.g_02086	Praj.g_00290
OG0000468	Syan.g_02063	Praj.g_00292
OG0000469	Syan.g_02046	Praj.g_00299
OG0000470	Syan.g_02044	Praj.g_00301
OG0000471	Syan.g_02043	Praj.g_00302
OG0000472	Syan.g_02041	Praj.g_00303
OG0000473	Syan.g_02039	Praj.g_00305
OG0000474	Syan.g_02038	Praj.g_00306
OG0000475	Syan.g_02037	Praj.g_00307
OG0000476	Syan.g_02035	Praj.g_00309
OG0000477	Syan.g_02029	Praj.g_00311
OG0000478	Syan.g_02028	Praj.g_00312
OG0000479	Syan.g_02027	Praj.g_00313
OG0000480	Syan.g_02020	Praj.g_00318
OG0000481	Syan.g_00975	Praj.g_00320
OG0000482	Syan.g_02018	Praj.g_00321
OG0000483	Syan.g_02014	Praj.g_00324
OG0000484	Syan.g_02013	Praj.g_00325
OG0000485	Syan.g_02012	Praj.g_00326
OG0000486	Syan.g_02011	Praj.g_00327
OG0000487	Syan.g_02005	Praj.g_00330
OG0000488	Syan.g_02000	Praj.g_00333
OG0000489	Syan.g_01993	Praj.g_00338
OG0000490	Syan.g_01985	Praj.g_00343
OG0000491	Syan.g_01983	Praj.g_00344
OG0000492	Syan.g_01980	Praj.g_00346
OG0000493	Syan.g_01979	Praj.g_00347
OG0000494	Syan.g_01978	Praj.g_00348
OG0000495	Syan.g_01977	Praj.g_00349
OG0000496	Syan.g_01976	Praj.g_00350
OG0000497	Syan.g_01975	Praj.g_00351
OG0000498	Syan.g_01974	Praj.g_00352
OG0000499	Syan.g_01973	Praj.g_00353
OG0000500	Syan.g_01972	Praj.g_00354
OG0000501	Syan.g_01969	Praj.g_00356
OG0000502	Syan.g_01961	Praj.g_00359
OG0000503	Syan.g_02144	Praj.g_00380
OG0000504	Syan.g_02142	Praj.g_00382
OG0000505	Syan.g_02141	Praj.g_00383
OG0000506	Syan.g_02139	Praj.g_00384
OG0000507	Syan.g_02133	Praj.g_00387
OG0000508	Syan.g_02998	Praj.g_00390
OG0000509	Syan.g_02993	Praj.g_00392
OG0000510	Syan.g_02992	Praj.g_00393
OG0000511	Syan.g_02991	Praj.g_00394
OG0000512	Syan.g_02989	Praj.g_00396
OG0000513	Syan.g_02320	Praj.g_00406
OG0000514	Syan.g_02326	Praj.g_00425
OG0000515	Syan.g_02327	Praj.g_00426
OG0000516	Syan.g_02389	Praj.g_00427
OG0000517	Syan.g_02395	Praj.g_00429
OG0000518	Syan.g_01336	Praj.g_00440
OG0000519	Syan.g_01335	Praj.g_00441
OG0000520	Syan.g_01334	Praj.g_00442
OG0000521	Syan.g_02805	Praj.g_00447
OG0000522	Syan.g_02803	Praj.g_00449
OG0000523	Syan.g_02802	Praj.g_00450
OG0000524	Syan.g_02878	Praj.g_00457
OG0000525	Syan.g_02853	Praj.g_00461
OG0000526	Syan.g_02852	Praj.g_00462
OG0000527	Syan.g_02848	Praj.g_00465
OG0000528	Syan.g_02767	Praj.g_00471
OG0000529	Syan.g_02763	Praj.g_00474
OG0000530	Syan.g_02760	Praj.g_00477
OG0000531	Syan.g_02759	Praj.g_00478
OG0000532	Syan.g_02756	Praj.g_00479
OG0000533	Syan.g_02754	Praj.g_00480
OG0000534	Syan.g_02753	Praj.g_00481
OG0000535	Syan.g_02752	Praj.g_00482
OG0000536	Syan.g_02751	Praj.g_00483
OG0000537	Syan.g_02750	Praj.g_00484
OG0000538	Syan.g_02738	Praj.g_00492
OG0000539	Syan.g_02737	Praj.g_00493
OG0000540	Syan.g_02736	Praj.g_00494
OG0000541	Syan.g_02735	Praj.g_00495
OG0000542	Syan.g_02732	Praj.g_00497
OG0000543	Syan.g_02730	Praj.g_00499
OG0000544	Syan.g_02729	Praj.g_00500
OG0000545	Syan.g_02727	Praj.g_00502
OG0000546	Syan.g_02725	Praj.g_00505
OG0000547	Syan.g_02723	Praj.g_00507
OG0000548	Syan.g_02722	Praj.g_00508
OG0000549	Syan.g_01194	Praj.g_00511
OG0000550	Syan.g_01189	Praj.g_00515
OG0000551	Syan.g_01184	Praj.g_00518
OG0000552	Syan.g_01183	Praj.g_00519
OG0000553	Syan.g_01179	Praj.g_00520
OG0000554	Syan.g_01165	Praj.g_00525
OG0000555	Syan.g_00839	Praj.g_00533
OG0000556	Syan.g_00842	Praj.g_00535
OG0000557	Syan.g_00847	Praj.g_00536
OG0000558	Syan.g_00849	Praj.g_00538
OG0000559	Syan.g_00853	Praj.g_00542
OG0000560	Syan.g_00856	Praj.g_00545
OG0000561	Syan.g_00857	Praj.g_00546
OG0000562	Syan.g_00858	Praj.g_00547
OG0000563	Syan.g_00859	Praj.g_00548
OG0000564	Syan.g_00860	Praj.g_00549
OG0000565	Syan.g_00864	Praj.g_00552
OG0000566	Syan.g_00868	Praj.g_00554
OG0000567	Syan.g_00872	Praj.g_00558
OG0000568	Syan.g_00874	Praj.g_00559
OG0000569	Syan.g_00875	Praj.g_00560
OG0000570	Syan.g_00876	Praj.g_00561
OG0000571	Syan.g_00879	Praj.g_00563
OG0000572	Syan.g_00954	Praj.g_00574
OG0000573	Syan.g_00963	Praj.g_00579
OG0000574	Syan.g_00965	Praj.g_00581
OG0000575	Syan.g_01003	Praj.g_00584
OG0000576	Syan.g_01007	Praj.g_00586
OG0000577	Syan.g_01008	Praj.g_00587
OG0000578	Syan.g_01009	Praj.g_00588
OG0000579	Syan.g_01010	Praj.g_00589
OG0000580	Syan.g_01011	Praj.g_00590
OG0000581	Syan.g_01018	Praj.g_00593
OG0000582	Syan.g_01030	Praj.g_00596
OG0000583	Syan.g_01029	Praj.g_00597
OG0000584	Syan.g_01028	Praj.g_00598
OG0000585	Syan.g_01024	Praj.g_00600
OG0000586	Syan.g_01022	Praj.g_00601
OG0000587	Syan.g_01020	Praj.g_00602
OG0000588	Syan.g_00215	Praj.g_00606
OG0000589	Syan.g_00016	Praj.g_00609
OG0000590	Syan.g_00015	Praj.g_00610
OG0000591	Syan.g_00003	Praj.g_00613
