Orthogroup	Syan	Pran
OG0000098	Syan.g_00043	Pran.g_00855
OG0000099	Syan.g_01968	Pran.g_00806
OG0000100	Syan.g_00658	Pran.g_00659
OG0000101	Syan.g_02199	Pran.g_01105
OG0000102	Syan.g_01891	Pran.g_01165
OG0000103	Syan.g_01692	Pran.g_01244
OG0000104	Syan.g_01792	Pran.g_01253
OG0000105	Syan.g_02031	Pran.g_01920
OG0000106	Syan.g_00076	Pran.g_01824
OG0000107	Syan.g_02106	Pran.g_01808
OG0000108	Syan.g_02764	Pran.g_01698
OG0000109	Syan.g_02748	Pran.g_01684
OG0000110	Syan.g_00882	Pran.g_01603
OG0000111	Syan.g_00187	Pran.g_01479
OG0000112	Syan.g_00556, Syan.g_00252	Pran.g_01378
OG0000113	Syan.g_00664	Pran.g_01321
OG0000114	Syan.g_00741	Pran.g_00429
OG0000115	Syan.g_02810	Pran.g_00123
OG0000116	Syan.g_02710, Syan.g_00460	Pran.g_00070
OG0000117	Syan.g_02644	Pran.g_01466
OG0000118	Syan.g_01241, Syan.g_01237	Pran.g_00864
OG0000119	Syan.g_02672	Pran.g_00845
OG0000120	Syan.g_01966	Pran.g_00752
OG0000121	Syan.g_01273	Pran.g_00731
OG0000123	Syan.g_02190	Pran.g_01112
OG0000124	Syan.g_01873	Pran.g_01176
OG0000125	Syan.g_01573	Pran.g_01212
OG0000126	Syan.g_01705	Pran.g_01252
OG0000128	Syan.g_01768	Pran.g_01268
OG0000129	Syan.g_01563	Pran.g_00381
OG0000130	Syan.g_02906, Syan.g_02907	Pran.g_00363
OG0000131	Syan.g_03008	Pran.g_00288
OG0000132	Syan.g_03029	Pran.g_00268
OG0000133	Syan.g_00561	Pran.g_01872
OG0000134	Syan.g_02319	Pran.g_01838
OG0000135	Syan.g_01616	Pran.g_01812
OG0000136	Syan.g_01342	Pran.g_01739
OG0000137	Syan.g_02846	Pran.g_01703
OG0000138	Syan.g_02747	Pran.g_01683
OG0000140	Syan.g_00042	Pran.g_01640
OG0000141	Syan.g_01032	Pran.g_01571
OG0000142	Syan.g_00816	Pran.g_01543
OG0000143	Syan.g_00812	Pran.g_01539
OG0000144	Syan.g_00782	Pran.g_01526
OG0000145	Syan.g_02740	Pran.g_01400
OG0000146	Syan.g_00555, Syan.g_00253	Pran.g_01377
OG0000147	Syan.g_00254, Syan.g_00554	Pran.g_01376
OG0000148	Syan.g_00670	Pran.g_01327
OG0000149	Syan.g_00393	Pran.g_01297
OG0000150	Syan.g_01031	Pran.g_01289
OG0000151	Syan.g_00731	Pran.g_00439
OG0000152	Syan.g_00565	Pran.g_00487
OG0000153	Syan.g_00601	Pran.g_00506
OG0000154	Syan.g_00363	Pran.g_00542
OG0000155	Syan.g_02654	Pran.g_00040
OG0000156	Syan.g_02717	Pran.g_00887
OG0000157	Syan.g_02718	Pran.g_00886
OG0000158	Syan.g_01078, Syan.g_01926	Pran.g_00822
OG0000159	Syan.g_01120	Pran.g_00808
OG0000160	Syan.g_01274	Pran.g_00732
OG0000161	Syan.g_01268	Pran.g_00726
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Pran.g_00720
OG0000163	Syan.g_02405	Pran.g_00686
OG0000164	Syan.g_01440	Pran.g_00994
OG0000165	Syan.g_01448	Pran.g_01001
OG0000166	Syan.g_02239	Pran.g_01069, Pran.g_01068
OG0000167	Syan.g_01941	Pran.g_01135
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Pran.g_01144
OG0000169	Syan.g_01912	Pran.g_01154
OG0000170	Syan.g_01901	Pran.g_01156
OG0000171	Syan.g_01875	Pran.g_01175
OG0000172	Syan.g_01810	Pran.g_01184
OG0000173	Syan.g_01720	Pran.g_01199
OG0000174	Syan.g_01619	Pran.g_01226
OG0000175	Syan.g_01678, Syan.g_00258	Pran.g_01236
OG0000176	Syan.g_01801	Pran.g_01261
OG0000177	Syan.g_01775	Pran.g_01262
OG0000178	Syan.g_01774	Pran.g_01263
OG0000179	Syan.g_01759	Pran.g_00408
OG0000180	Syan.g_01758	Pran.g_00407
OG0000181	Syan.g_01757	Pran.g_00406
OG0000182	Syan.g_01756	Pran.g_00405
OG0000183	Syan.g_01752	Pran.g_00401
OG0000184	Syan.g_01549	Pran.g_00379
OG0000185	Syan.g_01540	Pran.g_00376
OG0000186	Syan.g_02902	Pran.g_00368
OG0000187	Syan.g_02904	Pran.g_00367
OG0000188	Syan.g_02926	Pran.g_00350
OG0000189	Syan.g_02966	Pran.g_00337
OG0000190	Syan.g_00971	Pran.g_00336
OG0000191	Syan.g_02300	Pran.g_00316
OG0000192	Syan.g_02294	Pran.g_00312
OG0000193	Syan.g_03009	Pran.g_00287
OG0000194	Syan.g_03012	Pran.g_00283
OG0000195	Syan.g_03014	Pran.g_00281
OG0000196	Syan.g_03026	Pran.g_00271
OG0000197	Syan.g_03027	Pran.g_00270
OG0000198	Syan.g_03028	Pran.g_00269
OG0000199	Syan.g_03037	Pran.g_00262
OG0000200	Syan.g_03055	Pran.g_00248
OG0000201	Syan.g_03074	Pran.g_00240
OG0000202	Syan.g_03075	Pran.g_00239
OG0000203	Syan.g_03076	Pran.g_00238
OG0000204	Syan.g_03077	Pran.g_00237
OG0000205	Syan.g_03087	Pran.g_00230
OG0000206	Syan.g_03095	Pran.g_00225
OG0000207	Syan.g_03100	Pran.g_00223
OG0000208	Syan.g_03101	Pran.g_00222
OG0000209	Syan.g_01521	Pran.g_00213
OG0000210	Syan.g_01522	Pran.g_00212
OG0000211	Syan.g_02416	Pran.g_00199
OG0000212	Syan.g_01508, Syan.g_02438	Pran.g_00193
OG0000213	Syan.g_02059	Pran.g_01935
OG0000214	Syan.g_02040	Pran.g_01926
OG0000215	Syan.g_02010	Pran.g_01902
OG0000216	Syan.g_02006	Pran.g_01900
OG0000217	Syan.g_02001	Pran.g_01897
OG0000218	Syan.g_01999	Pran.g_01895
OG0000219	Syan.g_01998	Pran.g_01894
OG0000220	Syan.g_01997	Pran.g_01893
OG0000221	Syan.g_01994	Pran.g_01892
OG0000222	Syan.g_01981	Pran.g_01884
OG0000223	Syan.g_00228	Pran.g_01871
OG0000224	Syan.g_01959	Pran.g_01869
OG0000225	Syan.g_02997	Pran.g_01849
OG0000226	Syan.g_02990	Pran.g_01845
OG0000227	Syan.g_02988	Pran.g_01843
OG0000228	Syan.g_02315	Pran.g_01840
OG0000229	Syan.g_02396	Pran.g_01744
OG0000230	Syan.g_02398	Pran.g_01742
OG0000231	Syan.g_01333	Pran.g_01728
OG0000232	Syan.g_02801	Pran.g_01720
OG0000233	Syan.g_02876	Pran.g_01715
OG0000234	Syan.g_02844	Pran.g_01702
OG0000235	Syan.g_02765	Pran.g_01699
OG0000236	Syan.g_02749	Pran.g_01685
OG0000237	Syan.g_02731	Pran.g_01672
OG0000238	Syan.g_02726	Pran.g_01666
OG0000239	Syan.g_01187	Pran.g_01653
OG0000240	Syan.g_01186	Pran.g_01652
OG0000241	Syan.g_00822	Pran.g_01648
OG0000242	Syan.g_01168	Pran.g_01646
OG0000243	Syan.g_00840	Pran.g_01635
OG0000244	Syan.g_00848	Pran.g_01632
OG0000245	Syan.g_00850	Pran.g_01630
OG0000246	Syan.g_00854	Pran.g_01626
OG0000247	Syan.g_00866	Pran.g_01616
OG0000248	Syan.g_00869	Pran.g_01613
OG0000249	Syan.g_00871	Pran.g_01611
OG0000250	Syan.g_00878	Pran.g_01606
OG0000251	Syan.g_00961	Pran.g_01587
OG0000252	Syan.g_00966	Pran.g_01584
OG0000253	Syan.g_01000	Pran.g_01583
OG0000254	Syan.g_01026	Pran.g_01567
OG0000255	Syan.g_00978	Pran.g_01561
OG0000256	Syan.g_00001, Syan.g_01135	Pran.g_01551
OG0000257	Syan.g_00827	Pran.g_01548
OG0000258	Syan.g_00803	Pran.g_01535
OG0000259	Syan.g_00772	Pran.g_01518
OG0000260	Syan.g_00769	Pran.g_01515
OG0000261	Syan.g_00765	Pran.g_01513
OG0000262	Syan.g_00760	Pran.g_01509
OG0000263	Syan.g_02618	Pran.g_01497
OG0000264	Syan.g_00540	Pran.g_01487
OG0000266	Syan.g_00330	Pran.g_01450
OG0000267	Syan.g_00470	Pran.g_01439
OG0000268	Syan.g_00471	Pran.g_01438
OG0000269	Syan.g_00695	Pran.g_01348
OG0000270	Syan.g_00692	Pran.g_01345
OG0000271	Syan.g_00684	Pran.g_01337
OG0000272	Syan.g_00683	Pran.g_01336
OG0000273	Syan.g_00654	Pran.g_01313
OG0000274	Syan.g_00653	Pran.g_01312
OG0000275	Syan.g_00373	Pran.g_01310
OG0000276	Syan.g_00380	Pran.g_01305
OG0000277	Syan.g_00381	Pran.g_01304
OG0000278	Syan.g_00384	Pran.g_01301
OG0000279	Syan.g_00398	Pran.g_01294
OG0000280	Syan.g_00518	Pran.g_01293
OG0000282	Syan.g_00739	Pran.g_00431
OG0000283	Syan.g_00491	Pran.g_00464
OG0000284	Syan.g_00497	Pran.g_00469
OG0000285	Syan.g_00533	Pran.g_00474
OG0000286	Syan.g_00564	Pran.g_00486
OG0000287	Syan.g_00593	Pran.g_00503
OG0000288	Syan.g_00364	Pran.g_00541
OG0000289	Syan.g_00350	Pran.g_00552
OG0000290	Syan.g_00293	Pran.g_00565
OG0000291	Syan.g_00291	Pran.g_00567
OG0000292	Syan.g_01703	Pran.g_00135
OG0000293	Syan.g_02709	Pran.g_00069
OG0000294	Syan.g_02708	Pran.g_00068
OG0000295	Syan.g_02662	Pran.g_00048
OG0000296	Syan.g_02660	Pran.g_00046
OG0000299	Syan.g_02601	Pran.g_00020
OG0000301	Syan.g_02592	Pran.g_00016
OG0000302	Syan.g_02591	Pran.g_00014
OG0000303	Syan.g_02582	Pran.g_00007
OG0000304	Syan.g_02556	Pran.g_00003
OG0000305	Syan.g_00195	Pran.g_00848
OG0000306	Syan.g_00087	Pran.g_00846
OG0000307	Syan.g_02782	Pran.g_00832
OG0000308	Syan.g_02784	Pran.g_00831
OG0000309	Syan.g_02883	Pran.g_00827
OG0000310	Syan.g_01304	Pran.g_00748
OG0000311	Syan.g_01299	Pran.g_00746
OG0000312	Syan.g_01290	Pran.g_00743
OG0000313	Syan.g_01271	Pran.g_00729
OG0000314	Syan.g_02823	Pran.g_00706
OG0000315	Syan.g_02833	Pran.g_00696
OG0000316	Syan.g_01354	Pran.g_00676
OG0000317	Syan.g_01396	Pran.g_00968
OG0000318	Syan.g_01401	Pran.g_00971
OG0000319	Syan.g_01425	Pran.g_00984
OG0000320	Syan.g_01427	Pran.g_00986
OG0000321	Syan.g_01428	Pran.g_00987
OG0000322	Syan.g_01429	Pran.g_00988
OG0000323	Syan.g_01442	Pran.g_00997
OG0000324	Syan.g_01472	Pran.g_01023
OG0000325	Syan.g_02107	Pran.g_01033
OG0000326	Syan.g_02114	Pran.g_01039
OG0000327	Syan.g_02244	Pran.g_01063
OG0000328	Syan.g_02243	Pran.g_01064
OG0000329	Syan.g_02225	Pran.g_01082
OG0000330	Syan.g_02224	Pran.g_01083
OG0000331	Syan.g_02223	Pran.g_01084
OG0000332	Syan.g_02208	Pran.g_01098
OG0000333	Syan.g_02205	Pran.g_01100
OG0000334	Syan.g_00247, Syan.g_02194	Pran.g_01108
OG0000335	Syan.g_02189	Pran.g_01113
OG0000336	Syan.g_02185	Pran.g_01117
OG0000337	Syan.g_01949	Pran.g_01133
OG0000338	Syan.g_01943	Pran.g_01134
OG0000339	Syan.g_01935, Syan.g_00264	Pran.g_01138
OG0000340	Syan.g_01923	Pran.g_01145
OG0000341	Syan.g_01921	Pran.g_01147
OG0000342	Syan.g_01920	Pran.g_01148
OG0000343	Syan.g_01918	Pran.g_01149
OG0000344	Syan.g_01914	Pran.g_01152
OG0000345	Syan.g_01900	Pran.g_01157
OG0000346	Syan.g_01895	Pran.g_01161
OG0000347	Syan.g_01867	Pran.g_01177
OG0000348	Syan.g_01803	Pran.g_01187
OG0000349	Syan.g_01727	Pran.g_01203
OG0000350	Syan.g_02121	Pran.g_01222
OG0000351	Syan.g_01682	Pran.g_01239
OG0000352	Syan.g_01683	Pran.g_01240
OG0000353	Syan.g_01795	Pran.g_01256
OG0000355	Syan.g_01797	Pran.g_01258
OG0000356	Syan.g_01798	Pran.g_01259
OG0000357	Syan.g_01800	Pran.g_01260
OG0000358	Syan.g_01773	Pran.g_01264
OG0000359	Syan.g_01771	Pran.g_01265
OG0000360	Syan.g_01770	Pran.g_01266
OG0000361	Syan.g_01769	Pran.g_01267
OG0000362	Syan.g_01767	Pran.g_01269
OG0000363	Syan.g_01765	Pran.g_00410
OG0000364	Syan.g_01398	Pran.g_00409
OG0000365	Syan.g_01755	Pran.g_00404
OG0000366	Syan.g_01754	Pran.g_00403
OG0000367	Syan.g_01753	Pran.g_00402
OG0000368	Syan.g_01751	Pran.g_00400
OG0000369	Syan.g_01750	Pran.g_00399
OG0000370	Syan.g_01749	Pran.g_00398
OG0000371	Syan.g_01740	Pran.g_00392
OG0000372	Syan.g_01734	Pran.g_00389
OG0000373	Syan.g_01733	Pran.g_00388
OG0000374	Syan.g_01732	Pran.g_00387
OG0000375	Syan.g_01731	Pran.g_00385
OG0000376	Syan.g_01729	Pran.g_00383
OG0000377	Syan.g_01555	Pran.g_00380
OG0000378	Syan.g_01543	Pran.g_00378
OG0000379	Syan.g_01539	Pran.g_00375
OG0000380	Syan.g_02905	Pran.g_00366
OG0000381	Syan.g_02908	Pran.g_00362
OG0000382	Syan.g_02925	Pran.g_00351
OG0000383	Syan.g_02936	Pran.g_00349
OG0000384	Syan.g_02937	Pran.g_00348
OG0000385	Syan.g_02938	Pran.g_00347
OG0000386	Syan.g_02939	Pran.g_00346
OG0000387	Syan.g_00967	Pran.g_00334
OG0000388	Syan.g_02970	Pran.g_00331
OG0000389	Syan.g_02973	Pran.g_00327
OG0000390	Syan.g_02306	Pran.g_00320
OG0000391	Syan.g_02301	Pran.g_00317
OG0000392	Syan.g_02295	Pran.g_00313
OG0000393	Syan.g_02292	Pran.g_00311
OG0000394	Syan.g_02291	Pran.g_00310
OG0000395	Syan.g_02290	Pran.g_00309
OG0000396	Syan.g_02287	Pran.g_00307
OG0000397	Syan.g_02285	Pran.g_00305
OG0000398	Syan.g_02279	Pran.g_00303
OG0000399	Syan.g_02278	Pran.g_00302
OG0000400	Syan.g_02277	Pran.g_00301
OG0000401	Syan.g_02274	Pran.g_00300
OG0000402	Syan.g_02272	Pran.g_00298
OG0000403	Syan.g_02271	Pran.g_00297
OG0000404	Syan.g_02269	Pran.g_00296
OG0000405	Syan.g_03005	Pran.g_00292
OG0000406	Syan.g_03010	Pran.g_00286
OG0000407	Syan.g_03011	Pran.g_00285
OG0000408	Syan.g_03013	Pran.g_00282
OG0000409	Syan.g_03015	Pran.g_00280
OG0000410	Syan.g_03016	Pran.g_00279
OG0000411	Syan.g_03017	Pran.g_00278
OG0000412	Syan.g_03018	Pran.g_00277
OG0000413	Syan.g_03020	Pran.g_00276
OG0000414	Syan.g_03021	Pran.g_00275
OG0000415	Syan.g_03022	Pran.g_00274
OG0000416	Syan.g_03023	Pran.g_00273
OG0000417	Syan.g_03025	Pran.g_00272
OG0000418	Syan.g_03030	Pran.g_00267
OG0000419	Syan.g_03033	Pran.g_00265
OG0000420	Syan.g_03035	Pran.g_00264
OG0000421	Syan.g_03040	Pran.g_00259
OG0000422	Syan.g_03041	Pran.g_00258
OG0000423	Syan.g_03042	Pran.g_00257
OG0000424	Syan.g_03043	Pran.g_00256
OG0000425	Syan.g_03044	Pran.g_00255
OG0000426	Syan.g_03045	Pran.g_00254
OG0000427	Syan.g_03046	Pran.g_00253
OG0000428	Syan.g_03049	Pran.g_00251
OG0000429	Syan.g_03051	Pran.g_00250
OG0000430	Syan.g_03053	Pran.g_00249
OG0000431	Syan.g_03058	Pran.g_00247
OG0000432	Syan.g_03065	Pran.g_00244
OG0000433	Syan.g_03068	Pran.g_00243
OG0000434	Syan.g_03069	Pran.g_00242
OG0000435	Syan.g_03071	Pran.g_00241
OG0000436	Syan.g_03079	Pran.g_00236
OG0000437	Syan.g_03080	Pran.g_00235
OG0000438	Syan.g_03083	Pran.g_00234
OG0000439	Syan.g_03085	Pran.g_00232
OG0000440	Syan.g_03086	Pran.g_00231
OG0000441	Syan.g_03089	Pran.g_00228
OG0000442	Syan.g_03090	Pran.g_00227
OG0000443	Syan.g_03094	Pran.g_00226
OG0000444	Syan.g_03102	Pran.g_00221
OG0000445	Syan.g_03103	Pran.g_00220
OG0000446	Syan.g_03105	Pran.g_00219
OG0000447	Syan.g_03111	Pran.g_00218
OG0000448	Syan.g_03112	Pran.g_00217
OG0000449	Syan.g_03113	Pran.g_00216
OG0000450	Syan.g_01518	Pran.g_00215
OG0000451	Syan.g_01519	Pran.g_00214
OG0000452	Syan.g_01523	Pran.g_00211
OG0000453	Syan.g_01524	Pran.g_00210
OG0000454	Syan.g_01525	Pran.g_00209
OG0000455	Syan.g_01526	Pran.g_00208
OG0000456	Syan.g_01527	Pran.g_00207
OG0000457	Syan.g_01529	Pran.g_00206
OG0000458	Syan.g_01530	Pran.g_00205
OG0000459	Syan.g_01531	Pran.g_00204
OG0000460	Syan.g_02423	Pran.g_00197
OG0000461	Syan.g_02099	Pran.g_01950
OG0000462	Syan.g_02096	Pran.g_01948
OG0000463	Syan.g_02095	Pran.g_01947
OG0000464	Syan.g_02094	Pran.g_01946
OG0000465	Syan.g_02092	Pran.g_01945
OG0000466	Syan.g_02087	Pran.g_01942
OG0000467	Syan.g_02086	Pran.g_01941
OG0000468	Syan.g_02063	Pran.g_01939
OG0000469	Syan.g_02046	Pran.g_01931
OG0000470	Syan.g_02044	Pran.g_01929
OG0000471	Syan.g_02043	Pran.g_01928
OG0000472	Syan.g_02041	Pran.g_01927
OG0000473	Syan.g_02039	Pran.g_01925
OG0000474	Syan.g_02038	Pran.g_01924
OG0000475	Syan.g_02037	Pran.g_01923
OG0000476	Syan.g_02035	Pran.g_01922
OG0000477	Syan.g_02029	Pran.g_01919
OG0000478	Syan.g_02028	Pran.g_01918
OG0000479	Syan.g_02027	Pran.g_01917
OG0000480	Syan.g_02020	Pran.g_01912
OG0000481	Syan.g_00975	Pran.g_01910
OG0000482	Syan.g_02018	Pran.g_01909
OG0000483	Syan.g_02014	Pran.g_01906
OG0000484	Syan.g_02013	Pran.g_01905
OG0000485	Syan.g_02012	Pran.g_01904
OG0000486	Syan.g_02011	Pran.g_01903
OG0000487	Syan.g_02005	Pran.g_01899
OG0000488	Syan.g_02000	Pran.g_01896
OG0000489	Syan.g_01993	Pran.g_01891
OG0000490	Syan.g_01985	Pran.g_01886
OG0000491	Syan.g_01983	Pran.g_01885
OG0000492	Syan.g_01980	Pran.g_01883
OG0000493	Syan.g_01979	Pran.g_01882
OG0000494	Syan.g_01978	Pran.g_01881
OG0000495	Syan.g_01977	Pran.g_01880
OG0000496	Syan.g_01976	Pran.g_01879
OG0000497	Syan.g_01975	Pran.g_01878
OG0000498	Syan.g_01974	Pran.g_01877
OG0000499	Syan.g_01973	Pran.g_01876
OG0000500	Syan.g_01972	Pran.g_01875
OG0000501	Syan.g_01969	Pran.g_01873
OG0000502	Syan.g_01961	Pran.g_01870
OG0000503	Syan.g_02144	Pran.g_01860
OG0000504	Syan.g_02142	Pran.g_01859
OG0000505	Syan.g_02141	Pran.g_01858
OG0000506	Syan.g_02139	Pran.g_01857
OG0000507	Syan.g_02133	Pran.g_01854
OG0000508	Syan.g_02998	Pran.g_01850
OG0000509	Syan.g_02993	Pran.g_01848
OG0000510	Syan.g_02992	Pran.g_01847
OG0000511	Syan.g_02991	Pran.g_01846
OG0000512	Syan.g_02989	Pran.g_01844
OG0000513	Syan.g_02320	Pran.g_01837
OG0000514	Syan.g_02326	Pran.g_01749
OG0000515	Syan.g_02327	Pran.g_01748
OG0000516	Syan.g_02389	Pran.g_01747
OG0000517	Syan.g_02395	Pran.g_01745
OG0000518	Syan.g_01336	Pran.g_01734
OG0000519	Syan.g_01335	Pran.g_01733
OG0000520	Syan.g_01334	Pran.g_01729
OG0000521	Syan.g_02805	Pran.g_01724
OG0000522	Syan.g_02803	Pran.g_01723
OG0000523	Syan.g_02802	Pran.g_01722
OG0000524	Syan.g_02878	Pran.g_01717
OG0000525	Syan.g_02853	Pran.g_01714
OG0000526	Syan.g_02852	Pran.g_01713
OG0000527	Syan.g_02848	Pran.g_01705
OG0000528	Syan.g_02767	Pran.g_01700
OG0000529	Syan.g_02763	Pran.g_01697
OG0000530	Syan.g_02760	Pran.g_01694
OG0000531	Syan.g_02759	Pran.g_01693
OG0000532	Syan.g_02756	Pran.g_01691
OG0000533	Syan.g_02754	Pran.g_01690
OG0000534	Syan.g_02753	Pran.g_01689
OG0000535	Syan.g_02752	Pran.g_01688
OG0000536	Syan.g_02751	Pran.g_01687
OG0000537	Syan.g_02750	Pran.g_01686
OG0000538	Syan.g_02738	Pran.g_01678
OG0000539	Syan.g_02737	Pran.g_01677
OG0000540	Syan.g_02736	Pran.g_01676
OG0000541	Syan.g_02735	Pran.g_01675
OG0000542	Syan.g_02732	Pran.g_01673
OG0000543	Syan.g_02730	Pran.g_01671
OG0000544	Syan.g_02729	Pran.g_01670
OG0000545	Syan.g_02727	Pran.g_01668
OG0000546	Syan.g_02725	Pran.g_01665
OG0000547	Syan.g_02723	Pran.g_01663
OG0000548	Syan.g_02722	Pran.g_01662
OG0000549	Syan.g_01194	Pran.g_01660
OG0000550	Syan.g_01189	Pran.g_01655
OG0000551	Syan.g_01184	Pran.g_01651
OG0000552	Syan.g_01183	Pran.g_01650
OG0000553	Syan.g_01179	Pran.g_01649
OG0000554	Syan.g_01165	Pran.g_01644
OG0000555	Syan.g_00839	Pran.g_01636
OG0000556	Syan.g_00842	Pran.g_01634
OG0000557	Syan.g_00847	Pran.g_01633
OG0000558	Syan.g_00849	Pran.g_01631
OG0000559	Syan.g_00853	Pran.g_01627
OG0000560	Syan.g_00856	Pran.g_01624
OG0000561	Syan.g_00857	Pran.g_01623
OG0000562	Syan.g_00858	Pran.g_01622
OG0000563	Syan.g_00859	Pran.g_01621
OG0000564	Syan.g_00860	Pran.g_01620
OG0000565	Syan.g_00864	Pran.g_01617
OG0000566	Syan.g_00868	Pran.g_01614
OG0000567	Syan.g_00872	Pran.g_01610
OG0000568	Syan.g_00874	Pran.g_01609
OG0000569	Syan.g_00875	Pran.g_01608
OG0000570	Syan.g_00876	Pran.g_01607
OG0000571	Syan.g_00879	Pran.g_01605
OG0000572	Syan.g_00954	Pran.g_01592
OG0000573	Syan.g_00963	Pran.g_01586
OG0000574	Syan.g_00965	Pran.g_01585
OG0000575	Syan.g_01003	Pran.g_01581
OG0000576	Syan.g_01007	Pran.g_01579
OG0000577	Syan.g_01008	Pran.g_01578
OG0000578	Syan.g_01009	Pran.g_01577
OG0000579	Syan.g_01010	Pran.g_01576
OG0000580	Syan.g_01011	Pran.g_01575
OG0000581	Syan.g_01018	Pran.g_01573
OG0000582	Syan.g_01030	Pran.g_01570
OG0000583	Syan.g_01029	Pran.g_01569
OG0000584	Syan.g_01028	Pran.g_01568
OG0000585	Syan.g_01024	Pran.g_01566
OG0000586	Syan.g_01022	Pran.g_01565
OG0000587	Syan.g_01020	Pran.g_01564
OG0000588	Syan.g_00215	Pran.g_01560
OG0000589	Syan.g_00016	Pran.g_01557
OG0000590	Syan.g_00015	Pran.g_01556
OG0000591	Syan.g_00003	Pran.g_01553
OG0000592	Syan.g_00002	Pran.g_01552
OG0000593	Syan.g_00820	Pran.g_01546
OG0000594	Syan.g_00819	Pran.g_01545
OG0000595	Syan.g_00818	Pran.g_01544
OG0000596	Syan.g_00813	Pran.g_01540
OG0000597	Syan.g_00810	Pran.g_01538
OG0000598	Syan.g_00809	Pran.g_01537
OG0000599	Syan.g_00802	Pran.g_01534
OG0000600	Syan.g_00801	Pran.g_01533
OG0000601	Syan.g_00800	Pran.g_01532
