Orthogroup	Syan	Prbi
OG0000117	Syan.g_02644	Prbi.g_01330
OG0000118	Syan.g_01241, Syan.g_01237	Prbi.g_01403
OG0000119	Syan.g_02672	Prbi.g_01435
OG0000120	Syan.g_01966	Prbi.g_01460
OG0000121	Syan.g_01273	Prbi.g_01593
OG0000123	Syan.g_02190	Prbi.g_01945
OG0000124	Syan.g_01873	Prbi.g_02010
OG0000125	Syan.g_01573	Prbi.g_02059
OG0000126	Syan.g_01705	Prbi.g_02098
OG0000127	Syan.g_01071	Prbi.g_01300, Prbi.g_01549
OG0000128	Syan.g_01768	Prbi.g_00011
OG0000129	Syan.g_01563	Prbi.g_00053
OG0000130	Syan.g_02906, Syan.g_02907	Prbi.g_00076
OG0000131	Syan.g_03008	Prbi.g_00169
OG0000132	Syan.g_03029	Prbi.g_00188
OG0000133	Syan.g_00561	Prbi.g_00346
OG0000134	Syan.g_02319	Prbi.g_00381
OG0000135	Syan.g_01616	Prbi.g_00407
OG0000136	Syan.g_01342	Prbi.g_00442
OG0000137	Syan.g_02846	Prbi.g_00478
OG0000138	Syan.g_02747	Prbi.g_00498
OG0000140	Syan.g_00042	Prbi.g_00541
OG0000141	Syan.g_01032	Prbi.g_00609
OG0000142	Syan.g_00816	Prbi.g_00638
OG0000143	Syan.g_00812	Prbi.g_00642
OG0000144	Syan.g_00782	Prbi.g_00655
OG0000145	Syan.g_02740	Prbi.g_00807
OG0000146	Syan.g_00555, Syan.g_00253	Prbi.g_00812
OG0000147	Syan.g_00254, Syan.g_00554	Prbi.g_00813
OG0000148	Syan.g_00670	Prbi.g_00863
OG0000149	Syan.g_00393	Prbi.g_00894
OG0000150	Syan.g_01031	Prbi.g_00902
OG0000151	Syan.g_00731	Prbi.g_00961
OG0000152	Syan.g_00565	Prbi.g_01009
OG0000153	Syan.g_00601	Prbi.g_01028
OG0000154	Syan.g_00363	Prbi.g_01060
OG0000155	Syan.g_02654	Prbi.g_01227
OG0000156	Syan.g_02717	Prbi.g_01380
OG0000157	Syan.g_02718	Prbi.g_01381
OG0000158	Syan.g_01078, Syan.g_01926	Prbi.g_01489
OG0000159	Syan.g_01120	Prbi.g_01490
OG0000160	Syan.g_01274	Prbi.g_01592
OG0000161	Syan.g_01268	Prbi.g_01598
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Prbi.g_01604
OG0000163	Syan.g_02405	Prbi.g_01637
OG0000164	Syan.g_01440	Prbi.g_01811
OG0000165	Syan.g_01448	Prbi.g_01818
OG0000166	Syan.g_02239	Prbi.g_01902
OG0000167	Syan.g_01941	Prbi.g_01968
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Prbi.g_01978
OG0000169	Syan.g_01912	Prbi.g_01988
OG0000170	Syan.g_01901	Prbi.g_01990
OG0000171	Syan.g_01875	Prbi.g_02009
OG0000172	Syan.g_01810	Prbi.g_02030
OG0000173	Syan.g_01720	Prbi.g_02045
OG0000174	Syan.g_01619	Prbi.g_02073
OG0000175	Syan.g_01678, Syan.g_00258	Prbi.g_02083
OG0000176	Syan.g_01801	Prbi.g_00004
OG0000177	Syan.g_01775	Prbi.g_00005
OG0000178	Syan.g_01774	Prbi.g_00006
OG0000179	Syan.g_01759	Prbi.g_00016
OG0000180	Syan.g_01758	Prbi.g_00017
OG0000181	Syan.g_01757	Prbi.g_00018
OG0000182	Syan.g_01756	Prbi.g_00019
OG0000183	Syan.g_01752	Prbi.g_00023
OG0000184	Syan.g_01549	Prbi.g_00057
OG0000185	Syan.g_01540	Prbi.g_00060
OG0000186	Syan.g_02902	Prbi.g_00071
OG0000187	Syan.g_02904	Prbi.g_00072
OG0000188	Syan.g_02926	Prbi.g_00089
OG0000189	Syan.g_02966	Prbi.g_00103
OG0000190	Syan.g_00971	Prbi.g_00104
OG0000191	Syan.g_02300	Prbi.g_00125
OG0000192	Syan.g_02294	Prbi.g_00129
OG0000193	Syan.g_03009	Prbi.g_00170
OG0000194	Syan.g_03012	Prbi.g_00173
OG0000195	Syan.g_03014	Prbi.g_00175
OG0000196	Syan.g_03026	Prbi.g_00185
OG0000197	Syan.g_03027	Prbi.g_00186
OG0000198	Syan.g_03028	Prbi.g_00187
OG0000199	Syan.g_03037	Prbi.g_00194
OG0000200	Syan.g_03055	Prbi.g_00208
OG0000201	Syan.g_03074	Prbi.g_00216
OG0000202	Syan.g_03075	Prbi.g_00217
OG0000203	Syan.g_03076	Prbi.g_00218
OG0000204	Syan.g_03077	Prbi.g_00219
OG0000205	Syan.g_03087	Prbi.g_00226
OG0000206	Syan.g_03095	Prbi.g_00231
OG0000207	Syan.g_03100	Prbi.g_00233
OG0000208	Syan.g_03101	Prbi.g_00234
OG0000209	Syan.g_01521	Prbi.g_00243
OG0000210	Syan.g_01522	Prbi.g_00244
OG0000211	Syan.g_02416	Prbi.g_00257
OG0000212	Syan.g_01508, Syan.g_02438	Prbi.g_00264
OG0000213	Syan.g_02059	Prbi.g_00281
OG0000214	Syan.g_02040	Prbi.g_00291
OG0000215	Syan.g_02010	Prbi.g_00316
OG0000216	Syan.g_02006	Prbi.g_00318
OG0000217	Syan.g_02001	Prbi.g_00321
OG0000218	Syan.g_01999	Prbi.g_00323
OG0000219	Syan.g_01998	Prbi.g_00324
OG0000220	Syan.g_01997	Prbi.g_00325
OG0000221	Syan.g_01994	Prbi.g_00326
OG0000222	Syan.g_01981	Prbi.g_00334
OG0000223	Syan.g_00228	Prbi.g_00347
OG0000224	Syan.g_01959	Prbi.g_00349
OG0000225	Syan.g_02997	Prbi.g_00370
OG0000226	Syan.g_02990	Prbi.g_00374
OG0000227	Syan.g_02988	Prbi.g_00376
OG0000228	Syan.g_02315	Prbi.g_00379
OG0000229	Syan.g_02396	Prbi.g_00437
OG0000230	Syan.g_02398	Prbi.g_00439
OG0000231	Syan.g_01333	Prbi.g_00450
OG0000232	Syan.g_02801	Prbi.g_00459
OG0000233	Syan.g_02876	Prbi.g_00465
OG0000234	Syan.g_02844	Prbi.g_00479
OG0000235	Syan.g_02765	Prbi.g_00482
OG0000236	Syan.g_02749	Prbi.g_00496
OG0000237	Syan.g_02731	Prbi.g_00509
OG0000238	Syan.g_02726	Prbi.g_00515
OG0000239	Syan.g_01187	Prbi.g_00528
OG0000240	Syan.g_01186	Prbi.g_00529
OG0000241	Syan.g_00822	Prbi.g_00533
OG0000242	Syan.g_01168	Prbi.g_00535
OG0000243	Syan.g_00840	Prbi.g_00546
OG0000244	Syan.g_00848	Prbi.g_00549
OG0000245	Syan.g_00850	Prbi.g_00551
OG0000246	Syan.g_00854	Prbi.g_00555
OG0000247	Syan.g_00866	Prbi.g_00565
OG0000248	Syan.g_00869	Prbi.g_00567
OG0000249	Syan.g_00871	Prbi.g_00569
OG0000250	Syan.g_00878	Prbi.g_00574
OG0000251	Syan.g_00961	Prbi.g_00593
OG0000252	Syan.g_00966	Prbi.g_00596
OG0000253	Syan.g_01000	Prbi.g_00597
OG0000254	Syan.g_01026	Prbi.g_00613
OG0000255	Syan.g_00978	Prbi.g_00619
OG0000256	Syan.g_00001, Syan.g_01135	Prbi.g_00629
OG0000257	Syan.g_00827	Prbi.g_00632
OG0000258	Syan.g_00803	Prbi.g_00646
OG0000259	Syan.g_00772	Prbi.g_00663
OG0000260	Syan.g_00769	Prbi.g_00666
OG0000261	Syan.g_00765	Prbi.g_00668
OG0000262	Syan.g_00760	Prbi.g_00672
OG0000263	Syan.g_02618	Prbi.g_00684
OG0000264	Syan.g_00540	Prbi.g_00694
OG0000266	Syan.g_00330	Prbi.g_00755
OG0000267	Syan.g_00470	Prbi.g_00766
OG0000268	Syan.g_00471	Prbi.g_00767
OG0000269	Syan.g_00695	Prbi.g_00842
OG0000270	Syan.g_00692	Prbi.g_00845
OG0000271	Syan.g_00684	Prbi.g_00853
OG0000272	Syan.g_00683	Prbi.g_00854
OG0000273	Syan.g_00654	Prbi.g_00877
OG0000274	Syan.g_00653	Prbi.g_00878
OG0000275	Syan.g_00373	Prbi.g_00881
OG0000276	Syan.g_00380	Prbi.g_00886
OG0000277	Syan.g_00381	Prbi.g_00887
OG0000278	Syan.g_00384	Prbi.g_00890
OG0000279	Syan.g_00398	Prbi.g_00897
OG0000280	Syan.g_00518	Prbi.g_00898
OG0000282	Syan.g_00739	Prbi.g_00953
OG0000283	Syan.g_00491	Prbi.g_00986
OG0000284	Syan.g_00497	Prbi.g_00991
OG0000285	Syan.g_00533	Prbi.g_00996
OG0000286	Syan.g_00564	Prbi.g_01008
OG0000287	Syan.g_00593	Prbi.g_01025
OG0000288	Syan.g_00364	Prbi.g_01059
OG0000289	Syan.g_00350	Prbi.g_01070
OG0000290	Syan.g_00293	Prbi.g_01083
OG0000291	Syan.g_00291	Prbi.g_01085
OG0000292	Syan.g_01703	Prbi.g_01136
OG0000293	Syan.g_02709	Prbi.g_01198
OG0000294	Syan.g_02708	Prbi.g_01199
OG0000295	Syan.g_02662	Prbi.g_01219
OG0000296	Syan.g_02660	Prbi.g_01221
OG0000299	Syan.g_02601	Prbi.g_01247
OG0000301	Syan.g_02592	Prbi.g_01251
OG0000302	Syan.g_02591	Prbi.g_01253
OG0000303	Syan.g_02582	Prbi.g_01260
OG0000304	Syan.g_02556	Prbi.g_01264
OG0000305	Syan.g_00195	Prbi.g_01431
OG0000306	Syan.g_00087	Prbi.g_01434
OG0000307	Syan.g_02782	Prbi.g_01448
OG0000308	Syan.g_02784	Prbi.g_01449
OG0000309	Syan.g_02883	Prbi.g_01453
OG0000310	Syan.g_01304	Prbi.g_01574
OG0000311	Syan.g_01299	Prbi.g_01576
OG0000312	Syan.g_01290	Prbi.g_01579
OG0000313	Syan.g_01271	Prbi.g_01595
OG0000314	Syan.g_02823	Prbi.g_01617
OG0000315	Syan.g_02833	Prbi.g_01627
OG0000316	Syan.g_01354	Prbi.g_01647
OG0000317	Syan.g_01396	Prbi.g_01785
OG0000318	Syan.g_01401	Prbi.g_01788
OG0000319	Syan.g_01425	Prbi.g_01801
OG0000320	Syan.g_01427	Prbi.g_01803
OG0000321	Syan.g_01428	Prbi.g_01804
OG0000322	Syan.g_01429	Prbi.g_01805
OG0000323	Syan.g_01442	Prbi.g_01814
OG0000324	Syan.g_01472	Prbi.g_01840
OG0000325	Syan.g_02107	Prbi.g_01849
OG0000326	Syan.g_02114	Prbi.g_01855
OG0000327	Syan.g_02244	Prbi.g_01897
OG0000328	Syan.g_02243	Prbi.g_01898
OG0000329	Syan.g_02225	Prbi.g_01915
OG0000330	Syan.g_02224	Prbi.g_01916
OG0000331	Syan.g_02223	Prbi.g_01917
OG0000332	Syan.g_02208	Prbi.g_01931
OG0000333	Syan.g_02205	Prbi.g_01933
OG0000334	Syan.g_00247, Syan.g_02194	Prbi.g_01941
OG0000335	Syan.g_02189	Prbi.g_01946
OG0000336	Syan.g_02185	Prbi.g_01950
OG0000337	Syan.g_01949	Prbi.g_01966
OG0000338	Syan.g_01943	Prbi.g_01967
OG0000339	Syan.g_01935, Syan.g_00264	Prbi.g_01971
OG0000340	Syan.g_01923	Prbi.g_01979
OG0000341	Syan.g_01921	Prbi.g_01981
OG0000342	Syan.g_01920	Prbi.g_01982
OG0000343	Syan.g_01918	Prbi.g_01983
OG0000344	Syan.g_01914	Prbi.g_01986
OG0000345	Syan.g_01900	Prbi.g_01991
OG0000346	Syan.g_01895	Prbi.g_01995
OG0000347	Syan.g_01867	Prbi.g_02011
OG0000348	Syan.g_01803	Prbi.g_02033
OG0000349	Syan.g_01727	Prbi.g_02050
OG0000350	Syan.g_02121	Prbi.g_02069
OG0000351	Syan.g_01682	Prbi.g_02086
OG0000352	Syan.g_01683	Prbi.g_02087
OG0000353	Syan.g_01795	Prbi.g_02102
OG0000355	Syan.g_01797	Prbi.g_00001
OG0000356	Syan.g_01798	Prbi.g_00002
OG0000357	Syan.g_01800	Prbi.g_00003
OG0000358	Syan.g_01773	Prbi.g_00007
OG0000359	Syan.g_01771	Prbi.g_00008
OG0000360	Syan.g_01770	Prbi.g_00009
OG0000361	Syan.g_01769	Prbi.g_00010
OG0000362	Syan.g_01767	Prbi.g_00012
OG0000363	Syan.g_01765	Prbi.g_00014
OG0000364	Syan.g_01398	Prbi.g_00015
OG0000365	Syan.g_01755	Prbi.g_00020
OG0000366	Syan.g_01754	Prbi.g_00021
OG0000367	Syan.g_01753	Prbi.g_00022
OG0000368	Syan.g_01751	Prbi.g_00024
OG0000369	Syan.g_01750	Prbi.g_00025
OG0000370	Syan.g_01749	Prbi.g_00026
OG0000371	Syan.g_01740	Prbi.g_00032
OG0000372	Syan.g_01734	Prbi.g_00035
OG0000373	Syan.g_01733	Prbi.g_00036
OG0000374	Syan.g_01732	Prbi.g_00037
OG0000375	Syan.g_01731	Prbi.g_00049
OG0000376	Syan.g_01729	Prbi.g_00051
OG0000377	Syan.g_01555	Prbi.g_00056
OG0000378	Syan.g_01543	Prbi.g_00058
OG0000379	Syan.g_01539	Prbi.g_00061
OG0000380	Syan.g_02905	Prbi.g_00073
OG0000381	Syan.g_02908	Prbi.g_00077
OG0000382	Syan.g_02925	Prbi.g_00088
OG0000383	Syan.g_02936	Prbi.g_00090
OG0000384	Syan.g_02937	Prbi.g_00091
OG0000385	Syan.g_02938	Prbi.g_00092
OG0000386	Syan.g_02939	Prbi.g_00093
OG0000387	Syan.g_00967	Prbi.g_00106
OG0000388	Syan.g_02970	Prbi.g_00109
OG0000389	Syan.g_02973	Prbi.g_00113
OG0000390	Syan.g_02306	Prbi.g_00120
OG0000391	Syan.g_02301	Prbi.g_00124
OG0000392	Syan.g_02295	Prbi.g_00128
OG0000393	Syan.g_02292	Prbi.g_00130
OG0000394	Syan.g_02291	Prbi.g_00131
OG0000395	Syan.g_02290	Prbi.g_00132
OG0000396	Syan.g_02287	Prbi.g_00135
OG0000397	Syan.g_02285	Prbi.g_00137
OG0000398	Syan.g_02279	Prbi.g_00139
OG0000399	Syan.g_02278	Prbi.g_00140
OG0000400	Syan.g_02277	Prbi.g_00141
OG0000401	Syan.g_02274	Prbi.g_00142
OG0000402	Syan.g_02272	Prbi.g_00144
OG0000403	Syan.g_02271	Prbi.g_00145
OG0000404	Syan.g_02269	Prbi.g_00146
OG0000405	Syan.g_03005	Prbi.g_00150
OG0000406	Syan.g_03010	Prbi.g_00171
OG0000407	Syan.g_03011	Prbi.g_00172
OG0000408	Syan.g_03013	Prbi.g_00174
OG0000409	Syan.g_03015	Prbi.g_00176
OG0000410	Syan.g_03016	Prbi.g_00177
OG0000411	Syan.g_03017	Prbi.g_00178
OG0000412	Syan.g_03018	Prbi.g_00179
OG0000413	Syan.g_03020	Prbi.g_00180
OG0000414	Syan.g_03021	Prbi.g_00181
OG0000415	Syan.g_03022	Prbi.g_00182
OG0000416	Syan.g_03023	Prbi.g_00183
OG0000417	Syan.g_03025	Prbi.g_00184
OG0000418	Syan.g_03030	Prbi.g_00189
OG0000419	Syan.g_03033	Prbi.g_00191
OG0000420	Syan.g_03035	Prbi.g_00192
OG0000421	Syan.g_03040	Prbi.g_00197
OG0000422	Syan.g_03041	Prbi.g_00198
OG0000423	Syan.g_03042	Prbi.g_00199
OG0000424	Syan.g_03043	Prbi.g_00200
OG0000425	Syan.g_03044	Prbi.g_00201
OG0000426	Syan.g_03045	Prbi.g_00202
OG0000427	Syan.g_03046	Prbi.g_00203
OG0000428	Syan.g_03049	Prbi.g_00205
OG0000429	Syan.g_03051	Prbi.g_00206
OG0000430	Syan.g_03053	Prbi.g_00207
OG0000431	Syan.g_03058	Prbi.g_00209
OG0000432	Syan.g_03065	Prbi.g_00212
OG0000433	Syan.g_03068	Prbi.g_00213
OG0000434	Syan.g_03069	Prbi.g_00214
OG0000435	Syan.g_03071	Prbi.g_00215
OG0000436	Syan.g_03079	Prbi.g_00220
OG0000437	Syan.g_03080	Prbi.g_00221
OG0000438	Syan.g_03083	Prbi.g_00222
OG0000439	Syan.g_03085	Prbi.g_00224
OG0000440	Syan.g_03086	Prbi.g_00225
OG0000441	Syan.g_03089	Prbi.g_00228
OG0000442	Syan.g_03090	Prbi.g_00229
OG0000443	Syan.g_03094	Prbi.g_00230
OG0000444	Syan.g_03102	Prbi.g_00235
OG0000445	Syan.g_03103	Prbi.g_00236
OG0000446	Syan.g_03105	Prbi.g_00237
OG0000447	Syan.g_03111	Prbi.g_00238
OG0000448	Syan.g_03112	Prbi.g_00239
OG0000449	Syan.g_03113	Prbi.g_00240
OG0000450	Syan.g_01518	Prbi.g_00241
OG0000451	Syan.g_01519	Prbi.g_00242
OG0000452	Syan.g_01523	Prbi.g_00245
OG0000453	Syan.g_01524	Prbi.g_00246
OG0000454	Syan.g_01525	Prbi.g_00247
OG0000455	Syan.g_01526	Prbi.g_00248
OG0000456	Syan.g_01527	Prbi.g_00249
OG0000457	Syan.g_01529	Prbi.g_00250
OG0000458	Syan.g_01530	Prbi.g_00251
OG0000459	Syan.g_01531	Prbi.g_00252
OG0000460	Syan.g_02423	Prbi.g_00259
OG0000461	Syan.g_02099	Prbi.g_00266
OG0000462	Syan.g_02096	Prbi.g_00268
OG0000463	Syan.g_02095	Prbi.g_00269
OG0000464	Syan.g_02094	Prbi.g_00270
OG0000465	Syan.g_02092	Prbi.g_00271
OG0000466	Syan.g_02087	Prbi.g_00274
OG0000467	Syan.g_02086	Prbi.g_00275
OG0000468	Syan.g_02063	Prbi.g_00277
OG0000469	Syan.g_02046	Prbi.g_00286
OG0000470	Syan.g_02044	Prbi.g_00288
OG0000471	Syan.g_02043	Prbi.g_00289
OG0000472	Syan.g_02041	Prbi.g_00290
OG0000473	Syan.g_02039	Prbi.g_00292
OG0000474	Syan.g_02038	Prbi.g_00293
OG0000475	Syan.g_02037	Prbi.g_00294
OG0000476	Syan.g_02035	Prbi.g_00295
OG0000477	Syan.g_02029	Prbi.g_00299
OG0000478	Syan.g_02028	Prbi.g_00300
OG0000479	Syan.g_02027	Prbi.g_00301
OG0000480	Syan.g_02020	Prbi.g_00306
OG0000481	Syan.g_00975	Prbi.g_00308
OG0000482	Syan.g_02018	Prbi.g_00309
OG0000483	Syan.g_02014	Prbi.g_00312
OG0000484	Syan.g_02013	Prbi.g_00313
OG0000485	Syan.g_02012	Prbi.g_00314
OG0000486	Syan.g_02011	Prbi.g_00315
OG0000487	Syan.g_02005	Prbi.g_00319
OG0000488	Syan.g_02000	Prbi.g_00322
OG0000489	Syan.g_01993	Prbi.g_00327
OG0000490	Syan.g_01985	Prbi.g_00332
OG0000491	Syan.g_01983	Prbi.g_00333
OG0000492	Syan.g_01980	Prbi.g_00335
OG0000493	Syan.g_01979	Prbi.g_00336
OG0000494	Syan.g_01978	Prbi.g_00337
OG0000495	Syan.g_01977	Prbi.g_00338
OG0000496	Syan.g_01976	Prbi.g_00339
OG0000497	Syan.g_01975	Prbi.g_00340
OG0000498	Syan.g_01974	Prbi.g_00341
OG0000499	Syan.g_01973	Prbi.g_00342
OG0000500	Syan.g_01972	Prbi.g_00343
OG0000501	Syan.g_01969	Prbi.g_00345
OG0000502	Syan.g_01961	Prbi.g_00348
OG0000503	Syan.g_02144	Prbi.g_00358
OG0000504	Syan.g_02142	Prbi.g_00359
OG0000505	Syan.g_02141	Prbi.g_00360
OG0000506	Syan.g_02139	Prbi.g_00362
OG0000507	Syan.g_02133	Prbi.g_00365
OG0000508	Syan.g_02998	Prbi.g_00369
OG0000509	Syan.g_02993	Prbi.g_00371
OG0000510	Syan.g_02992	Prbi.g_00372
OG0000511	Syan.g_02991	Prbi.g_00373
OG0000512	Syan.g_02989	Prbi.g_00375
OG0000513	Syan.g_02320	Prbi.g_00382
OG0000514	Syan.g_02326	Prbi.g_00432
OG0000515	Syan.g_02327	Prbi.g_00433
OG0000516	Syan.g_02389	Prbi.g_00434
OG0000517	Syan.g_02395	Prbi.g_00436
OG0000518	Syan.g_01336	Prbi.g_00447
OG0000519	Syan.g_01335	Prbi.g_00448
OG0000520	Syan.g_01334	Prbi.g_00449
OG0000521	Syan.g_02805	Prbi.g_00454
OG0000522	Syan.g_02803	Prbi.g_00456
OG0000523	Syan.g_02802	Prbi.g_00457
OG0000524	Syan.g_02878	Prbi.g_00463
OG0000525	Syan.g_02853	Prbi.g_00466
OG0000526	Syan.g_02852	Prbi.g_00467
OG0000527	Syan.g_02848	Prbi.g_00476
OG0000528	Syan.g_02767	Prbi.g_00481
OG0000529	Syan.g_02763	Prbi.g_00484
OG0000530	Syan.g_02760	Prbi.g_00487
OG0000531	Syan.g_02759	Prbi.g_00488
OG0000532	Syan.g_02756	Prbi.g_00490
OG0000533	Syan.g_02754	Prbi.g_00491
OG0000534	Syan.g_02753	Prbi.g_00492
OG0000535	Syan.g_02752	Prbi.g_00493
OG0000536	Syan.g_02751	Prbi.g_00494
OG0000537	Syan.g_02750	Prbi.g_00495
OG0000538	Syan.g_02738	Prbi.g_00503
OG0000539	Syan.g_02737	Prbi.g_00504
OG0000540	Syan.g_02736	Prbi.g_00505
OG0000541	Syan.g_02735	Prbi.g_00506
OG0000542	Syan.g_02732	Prbi.g_00508
OG0000543	Syan.g_02730	Prbi.g_00510
OG0000544	Syan.g_02729	Prbi.g_00511
OG0000545	Syan.g_02727	Prbi.g_00513
OG0000546	Syan.g_02725	Prbi.g_00516
OG0000547	Syan.g_02723	Prbi.g_00518
OG0000548	Syan.g_02722	Prbi.g_00519
OG0000549	Syan.g_01194	Prbi.g_00521
OG0000550	Syan.g_01189	Prbi.g_00526
OG0000551	Syan.g_01184	Prbi.g_00530
OG0000552	Syan.g_01183	Prbi.g_00531
OG0000553	Syan.g_01179	Prbi.g_00532
OG0000554	Syan.g_01165	Prbi.g_00537
OG0000555	Syan.g_00839	Prbi.g_00545
OG0000556	Syan.g_00842	Prbi.g_00547
OG0000557	Syan.g_00847	Prbi.g_00548
OG0000558	Syan.g_00849	Prbi.g_00550
OG0000559	Syan.g_00853	Prbi.g_00554
OG0000560	Syan.g_00856	Prbi.g_00557
OG0000561	Syan.g_00857	Prbi.g_00558
OG0000562	Syan.g_00858	Prbi.g_00559
OG0000563	Syan.g_00859	Prbi.g_00560
OG0000564	Syan.g_00860	Prbi.g_00561
OG0000565	Syan.g_00864	Prbi.g_00564
OG0000566	Syan.g_00868	Prbi.g_00566
OG0000567	Syan.g_00872	Prbi.g_00570
OG0000568	Syan.g_00874	Prbi.g_00571
OG0000569	Syan.g_00875	Prbi.g_00572
OG0000570	Syan.g_00876	Prbi.g_00573
OG0000571	Syan.g_00879	Prbi.g_00575
OG0000572	Syan.g_00954	Prbi.g_00588
