Orthogroup	Syan	Praz
OG0000203	Syan.g_03076	Praz.g_00554
OG0000204	Syan.g_03077	Praz.g_00555
OG0000205	Syan.g_03087	Praz.g_00562
OG0000206	Syan.g_03095	Praz.g_00567
OG0000207	Syan.g_03100	Praz.g_00569
OG0000208	Syan.g_03101	Praz.g_00570
OG0000209	Syan.g_01521	Praz.g_00579
OG0000210	Syan.g_01522	Praz.g_00580
OG0000211	Syan.g_02416	Praz.g_00593
OG0000212	Syan.g_01508, Syan.g_02438	Praz.g_00600
OG0000213	Syan.g_02059	Praz.g_00617
OG0000214	Syan.g_02040	Praz.g_00626
OG0000215	Syan.g_02010	Praz.g_00650
OG0000216	Syan.g_02006	Praz.g_00651
OG0000217	Syan.g_02001	Praz.g_00654
OG0000218	Syan.g_01999	Praz.g_00656
OG0000219	Syan.g_01998	Praz.g_00657
OG0000220	Syan.g_01997	Praz.g_00658
OG0000221	Syan.g_01994	Praz.g_00659
OG0000222	Syan.g_01981	Praz.g_00667
OG0000223	Syan.g_00228	Praz.g_00680
OG0000224	Syan.g_01959	Praz.g_00682
OG0000225	Syan.g_02997	Praz.g_00348
OG0000226	Syan.g_02990	Praz.g_00352
OG0000227	Syan.g_02988	Praz.g_00354
OG0000228	Syan.g_02315	Praz.g_00819
OG0000229	Syan.g_02396	Praz.g_01892
OG0000230	Syan.g_02398	Praz.g_01890
OG0000231	Syan.g_01333	Praz.g_01879
OG0000232	Syan.g_02801	Praz.g_01870
OG0000233	Syan.g_02876	Praz.g_01865
OG0000234	Syan.g_02844	Praz.g_01852
OG0000235	Syan.g_02765	Praz.g_01849
OG0000236	Syan.g_02749	Praz.g_01835
OG0000237	Syan.g_02731	Praz.g_01822
OG0000238	Syan.g_02726	Praz.g_01816
OG0000239	Syan.g_01187	Praz.g_01803
OG0000240	Syan.g_01186	Praz.g_01802
OG0000241	Syan.g_00822	Praz.g_01798
OG0000242	Syan.g_01168	Praz.g_01796
OG0000243	Syan.g_00840	Praz.g_01785
OG0000244	Syan.g_00848	Praz.g_01782
OG0000245	Syan.g_00850	Praz.g_01780
OG0000246	Syan.g_00854	Praz.g_01776
OG0000247	Syan.g_00866	Praz.g_01766
OG0000248	Syan.g_00869	Praz.g_01764
OG0000249	Syan.g_00871	Praz.g_01762
OG0000250	Syan.g_00878	Praz.g_01757
OG0000251	Syan.g_00961	Praz.g_01739
OG0000252	Syan.g_00966	Praz.g_01736
OG0000253	Syan.g_01000	Praz.g_01735
OG0000254	Syan.g_01026	Praz.g_01719
OG0000255	Syan.g_00978	Praz.g_01713
OG0000256	Syan.g_00001, Syan.g_01135	Praz.g_01703
OG0000257	Syan.g_00827	Praz.g_01700
OG0000258	Syan.g_00803	Praz.g_01687
OG0000259	Syan.g_00772	Praz.g_01670
OG0000260	Syan.g_00769	Praz.g_01667
OG0000261	Syan.g_00765	Praz.g_01665
OG0000262	Syan.g_00760	Praz.g_01661
OG0000263	Syan.g_02618	Praz.g_01649
OG0000264	Syan.g_00540	Praz.g_01639
OG0000266	Syan.g_00330	Praz.g_01597
OG0000267	Syan.g_00470	Praz.g_01586
OG0000268	Syan.g_00471	Praz.g_01585
OG0000269	Syan.g_00695	Praz.g_01517
OG0000270	Syan.g_00692	Praz.g_01514
OG0000271	Syan.g_00684	Praz.g_01506
OG0000272	Syan.g_00683	Praz.g_01505
OG0000273	Syan.g_00654	Praz.g_01482
OG0000274	Syan.g_00653	Praz.g_01481
OG0000275	Syan.g_00373	Praz.g_01478
OG0000276	Syan.g_00380	Praz.g_01473
OG0000277	Syan.g_00381	Praz.g_01472
OG0000278	Syan.g_00384	Praz.g_01469
OG0000279	Syan.g_00398	Praz.g_01462
OG0000280	Syan.g_00518	Praz.g_01461
OG0000282	Syan.g_00739	Praz.g_01406
OG0000283	Syan.g_00491	Praz.g_01373
OG0000284	Syan.g_00497	Praz.g_01368
OG0000285	Syan.g_00533	Praz.g_01363
OG0000286	Syan.g_00564	Praz.g_01351
OG0000287	Syan.g_00593	Praz.g_01334
OG0000288	Syan.g_00364	Praz.g_01304
OG0000289	Syan.g_00350	Praz.g_01292
OG0000290	Syan.g_00293	Praz.g_01279, Praz.g_00063
OG0000291	Syan.g_00291	Praz.g_00065
OG0000292	Syan.g_01703	Praz.g_00114
OG0000293	Syan.g_02709	Praz.g_00001
OG0000294	Syan.g_02708	Praz.g_00763
OG0000295	Syan.g_02662	Praz.g_00742
OG0000296	Syan.g_02660	Praz.g_00740
OG0000299	Syan.g_02601	Praz.g_00714
OG0000301	Syan.g_02592	Praz.g_00710
OG0000302	Syan.g_02591	Praz.g_00708
OG0000303	Syan.g_02582	Praz.g_00701
OG0000304	Syan.g_02556	Praz.g_00697
OG0000305	Syan.g_00195	Praz.g_01147
OG0000306	Syan.g_00087	Praz.g_01144
OG0000307	Syan.g_02782	Praz.g_01130
OG0000308	Syan.g_02784	Praz.g_01129
OG0000309	Syan.g_02883	Praz.g_01125
OG0000310	Syan.g_01304	Praz.g_01056
OG0000311	Syan.g_01299	Praz.g_01054
OG0000312	Syan.g_01290	Praz.g_01051
OG0000313	Syan.g_01271	Praz.g_01037
OG0000314	Syan.g_02823	Praz.g_01014
OG0000315	Syan.g_02833	Praz.g_01004
OG0000316	Syan.g_01354	Praz.g_00984
OG0000317	Syan.g_01396	Praz.g_00879
OG0000318	Syan.g_01401	Praz.g_00876
OG0000319	Syan.g_01425	Praz.g_00863
OG0000320	Syan.g_01427	Praz.g_00861
OG0000321	Syan.g_01428	Praz.g_00860
OG0000322	Syan.g_01429	Praz.g_00859
OG0000323	Syan.g_01442	Praz.g_00850
OG0000324	Syan.g_01472	Praz.g_00824
OG0000325	Syan.g_02107	Praz.g_00334
OG0000326	Syan.g_02114	Praz.g_00328
OG0000327	Syan.g_02244	Praz.g_00304
OG0000328	Syan.g_02243	Praz.g_00303
OG0000329	Syan.g_02225	Praz.g_00286
OG0000330	Syan.g_02224	Praz.g_00285
OG0000331	Syan.g_02223	Praz.g_00284
OG0000332	Syan.g_02208	Praz.g_00270
OG0000333	Syan.g_02205	Praz.g_00268
OG0000334	Syan.g_00247, Syan.g_02194	Praz.g_00260
OG0000335	Syan.g_02189	Praz.g_00255
OG0000336	Syan.g_02185	Praz.g_00251
OG0000337	Syan.g_01949	Praz.g_00234
OG0000338	Syan.g_01943	Praz.g_00233
OG0000339	Syan.g_01935, Syan.g_00264	Praz.g_00229
OG0000340	Syan.g_01923	Praz.g_00221
OG0000341	Syan.g_01921	Praz.g_00219
OG0000342	Syan.g_01920	Praz.g_00218
OG0000343	Syan.g_01918	Praz.g_00217
OG0000344	Syan.g_01914	Praz.g_00214
OG0000345	Syan.g_01900	Praz.g_00209
OG0000346	Syan.g_01895	Praz.g_00204
OG0000347	Syan.g_01867	Praz.g_00188
OG0000348	Syan.g_01803	Praz.g_00178
OG0000349	Syan.g_01727	Praz.g_00161
OG0000350	Syan.g_02121	Praz.g_00142
OG0000351	Syan.g_01682	Praz.g_00125
OG0000352	Syan.g_01683	Praz.g_00124
OG0000353	Syan.g_01795	Praz.g_00364
OG0000355	Syan.g_01797	Praz.g_00366
OG0000356	Syan.g_01798	Praz.g_00367
OG0000357	Syan.g_01800	Praz.g_00368
OG0000358	Syan.g_01773	Praz.g_00372
OG0000359	Syan.g_01771	Praz.g_00373
OG0000360	Syan.g_01770	Praz.g_00374
OG0000361	Syan.g_01769	Praz.g_00375
OG0000362	Syan.g_01767	Praz.g_00377
OG0000363	Syan.g_01765	Praz.g_00379
OG0000364	Syan.g_01398	Praz.g_00380
OG0000365	Syan.g_01755	Praz.g_00385
OG0000366	Syan.g_01754	Praz.g_00386
OG0000367	Syan.g_01753	Praz.g_00387
OG0000368	Syan.g_01751	Praz.g_00389
OG0000369	Syan.g_01750	Praz.g_00390
OG0000370	Syan.g_01749	Praz.g_00391
OG0000371	Syan.g_01740	Praz.g_00397
OG0000372	Syan.g_01734	Praz.g_00400
OG0000373	Syan.g_01733	Praz.g_00401
OG0000374	Syan.g_01732	Praz.g_00402
OG0000375	Syan.g_01731	Praz.g_00406
OG0000376	Syan.g_01729	Praz.g_00408
OG0000377	Syan.g_01555	Praz.g_00411
OG0000378	Syan.g_01543	Praz.g_00413
OG0000379	Syan.g_01539	Praz.g_00416
OG0000380	Syan.g_02905	Praz.g_00426
OG0000381	Syan.g_02908	Praz.g_00430
OG0000382	Syan.g_02925	Praz.g_00441
OG0000383	Syan.g_02936	Praz.g_00443
OG0000384	Syan.g_02937	Praz.g_00444
OG0000385	Syan.g_02938	Praz.g_00445
OG0000386	Syan.g_02939	Praz.g_00446
OG0000387	Syan.g_00967	Praz.g_00459
OG0000388	Syan.g_02970	Praz.g_00462
OG0000389	Syan.g_02973	Praz.g_00466
OG0000390	Syan.g_02306	Praz.g_00473
OG0000391	Syan.g_02301	Praz.g_00476
OG0000392	Syan.g_02295	Praz.g_00480
OG0000393	Syan.g_02292	Praz.g_00482
OG0000394	Syan.g_02291	Praz.g_00483
OG0000395	Syan.g_02290	Praz.g_00484
OG0000396	Syan.g_02287	Praz.g_00487
OG0000397	Syan.g_02285	Praz.g_00489
OG0000398	Syan.g_02279	Praz.g_00491
OG0000399	Syan.g_02278	Praz.g_00492
OG0000400	Syan.g_02277	Praz.g_00493
OG0000401	Syan.g_02274	Praz.g_00494
OG0000402	Syan.g_02272	Praz.g_00496
OG0000403	Syan.g_02271	Praz.g_00497
OG0000404	Syan.g_02269	Praz.g_00498
OG0000405	Syan.g_03005	Praz.g_00502
OG0000406	Syan.g_03010	Praz.g_00507
OG0000407	Syan.g_03011	Praz.g_00508
OG0000408	Syan.g_03013	Praz.g_00510
OG0000409	Syan.g_03015	Praz.g_00512
OG0000410	Syan.g_03016	Praz.g_00513
OG0000411	Syan.g_03017	Praz.g_00514
OG0000412	Syan.g_03018	Praz.g_00515
OG0000413	Syan.g_03020	Praz.g_00516
OG0000414	Syan.g_03021	Praz.g_00517
OG0000415	Syan.g_03022	Praz.g_00518
OG0000416	Syan.g_03023	Praz.g_00519
OG0000417	Syan.g_03025	Praz.g_00520
OG0000418	Syan.g_03030	Praz.g_00525
OG0000419	Syan.g_03033	Praz.g_00527
OG0000420	Syan.g_03035	Praz.g_00528
OG0000421	Syan.g_03040	Praz.g_00533
OG0000422	Syan.g_03041	Praz.g_00534
OG0000423	Syan.g_03042	Praz.g_00535
OG0000424	Syan.g_03043	Praz.g_00536
OG0000425	Syan.g_03044	Praz.g_00537
OG0000426	Syan.g_03045	Praz.g_00538
OG0000427	Syan.g_03046	Praz.g_00539
OG0000428	Syan.g_03049	Praz.g_00541
OG0000429	Syan.g_03051	Praz.g_00542
OG0000430	Syan.g_03053	Praz.g_00543
OG0000431	Syan.g_03058	Praz.g_00545
OG0000432	Syan.g_03065	Praz.g_00548
OG0000433	Syan.g_03068	Praz.g_00549
OG0000434	Syan.g_03069	Praz.g_00550
OG0000435	Syan.g_03071	Praz.g_00551
OG0000436	Syan.g_03079	Praz.g_00556
OG0000437	Syan.g_03080	Praz.g_00557
OG0000438	Syan.g_03083	Praz.g_00558
OG0000439	Syan.g_03085	Praz.g_00560
OG0000440	Syan.g_03086	Praz.g_00561
OG0000441	Syan.g_03089	Praz.g_00564
OG0000442	Syan.g_03090	Praz.g_00565
OG0000443	Syan.g_03094	Praz.g_00566
OG0000444	Syan.g_03102	Praz.g_00571
OG0000445	Syan.g_03103	Praz.g_00572
OG0000446	Syan.g_03105	Praz.g_00573
OG0000447	Syan.g_03111	Praz.g_00574
OG0000448	Syan.g_03112	Praz.g_00575
OG0000449	Syan.g_03113	Praz.g_00576
OG0000450	Syan.g_01518	Praz.g_00577
OG0000451	Syan.g_01519	Praz.g_00578
OG0000452	Syan.g_01523	Praz.g_00581
OG0000453	Syan.g_01524	Praz.g_00582
OG0000454	Syan.g_01525	Praz.g_00583
OG0000455	Syan.g_01526	Praz.g_00584
OG0000456	Syan.g_01527	Praz.g_00585
OG0000457	Syan.g_01529	Praz.g_00586
OG0000458	Syan.g_01530	Praz.g_00587
OG0000459	Syan.g_01531	Praz.g_00588
OG0000460	Syan.g_02423	Praz.g_00595
OG0000461	Syan.g_02099	Praz.g_00602
OG0000462	Syan.g_02096	Praz.g_00604
OG0000463	Syan.g_02095	Praz.g_00605
OG0000464	Syan.g_02094	Praz.g_00606
OG0000465	Syan.g_02092	Praz.g_00607
OG0000466	Syan.g_02087	Praz.g_00610
OG0000467	Syan.g_02086	Praz.g_00611
OG0000468	Syan.g_02063	Praz.g_00613
OG0000469	Syan.g_02046	Praz.g_00621
OG0000470	Syan.g_02044	Praz.g_00623
OG0000471	Syan.g_02043	Praz.g_00624
OG0000472	Syan.g_02041	Praz.g_00625
OG0000473	Syan.g_02039	Praz.g_00627
OG0000474	Syan.g_02038	Praz.g_00628
OG0000475	Syan.g_02037	Praz.g_00629
OG0000476	Syan.g_02035	Praz.g_00630
OG0000477	Syan.g_02029	Praz.g_00633
OG0000478	Syan.g_02028	Praz.g_00634
OG0000479	Syan.g_02027	Praz.g_00635
OG0000480	Syan.g_02020	Praz.g_00640
OG0000481	Syan.g_00975	Praz.g_00642
OG0000482	Syan.g_02018	Praz.g_00643
OG0000483	Syan.g_02014	Praz.g_00646
OG0000484	Syan.g_02013	Praz.g_00647
OG0000485	Syan.g_02012	Praz.g_00648
OG0000486	Syan.g_02011	Praz.g_00649
OG0000487	Syan.g_02005	Praz.g_00652
OG0000488	Syan.g_02000	Praz.g_00655
OG0000489	Syan.g_01993	Praz.g_00660
OG0000490	Syan.g_01985	Praz.g_00665
OG0000491	Syan.g_01983	Praz.g_00666
OG0000492	Syan.g_01980	Praz.g_00668
OG0000493	Syan.g_01979	Praz.g_00669
OG0000494	Syan.g_01978	Praz.g_00670
OG0000495	Syan.g_01977	Praz.g_00671
OG0000496	Syan.g_01976	Praz.g_00672
OG0000497	Syan.g_01975	Praz.g_00673
OG0000498	Syan.g_01974	Praz.g_00674
OG0000499	Syan.g_01973	Praz.g_00675
OG0000500	Syan.g_01972	Praz.g_00676
OG0000501	Syan.g_01969	Praz.g_00678
OG0000502	Syan.g_01961	Praz.g_00681
OG0000503	Syan.g_02144	Praz.g_01931
OG0000504	Syan.g_02142	Praz.g_01932
OG0000505	Syan.g_02141	Praz.g_01933
OG0000506	Syan.g_02139	Praz.g_01935
OG0000507	Syan.g_02133	Praz.g_00343
OG0000508	Syan.g_02998	Praz.g_00347
OG0000509	Syan.g_02993	Praz.g_00349
OG0000510	Syan.g_02992	Praz.g_00350
OG0000511	Syan.g_02991	Praz.g_00351
OG0000512	Syan.g_02989	Praz.g_00353
OG0000513	Syan.g_02320	Praz.g_00816
OG0000514	Syan.g_02326	Praz.g_01897
OG0000515	Syan.g_02327	Praz.g_01896
OG0000516	Syan.g_02389	Praz.g_01895
OG0000517	Syan.g_02395	Praz.g_01893
OG0000518	Syan.g_01336	Praz.g_01882
OG0000519	Syan.g_01335	Praz.g_01881
OG0000520	Syan.g_01334	Praz.g_01880
OG0000521	Syan.g_02805	Praz.g_01875
OG0000522	Syan.g_02803	Praz.g_01873
OG0000523	Syan.g_02802	Praz.g_01872
OG0000524	Syan.g_02878	Praz.g_01867
OG0000525	Syan.g_02853	Praz.g_01864
OG0000526	Syan.g_02852	Praz.g_01863
OG0000527	Syan.g_02848	Praz.g_01855
OG0000528	Syan.g_02767	Praz.g_01850
OG0000529	Syan.g_02763	Praz.g_01847
OG0000530	Syan.g_02760	Praz.g_01844
OG0000531	Syan.g_02759	Praz.g_01843
OG0000532	Syan.g_02756	Praz.g_01841
OG0000533	Syan.g_02754	Praz.g_01840
OG0000534	Syan.g_02753	Praz.g_01839
OG0000535	Syan.g_02752	Praz.g_01838
OG0000536	Syan.g_02751	Praz.g_01837
OG0000537	Syan.g_02750	Praz.g_01836
OG0000538	Syan.g_02738	Praz.g_01828
OG0000539	Syan.g_02737	Praz.g_01827
OG0000540	Syan.g_02736	Praz.g_01826
OG0000541	Syan.g_02735	Praz.g_01825
OG0000542	Syan.g_02732	Praz.g_01823
OG0000543	Syan.g_02730	Praz.g_01821
OG0000544	Syan.g_02729	Praz.g_01820
OG0000545	Syan.g_02727	Praz.g_01818
OG0000546	Syan.g_02725	Praz.g_01815
OG0000547	Syan.g_02723	Praz.g_01813
OG0000548	Syan.g_02722	Praz.g_01812
OG0000549	Syan.g_01194	Praz.g_01810
OG0000550	Syan.g_01189	Praz.g_01805
OG0000551	Syan.g_01184	Praz.g_01801
OG0000552	Syan.g_01183	Praz.g_01800
OG0000553	Syan.g_01179	Praz.g_01799
OG0000554	Syan.g_01165	Praz.g_01794
OG0000555	Syan.g_00839	Praz.g_01786
OG0000556	Syan.g_00842	Praz.g_01784
OG0000557	Syan.g_00847	Praz.g_01783
OG0000558	Syan.g_00849	Praz.g_01781
OG0000559	Syan.g_00853	Praz.g_01777
OG0000560	Syan.g_00856	Praz.g_01774
OG0000561	Syan.g_00857	Praz.g_01773
OG0000562	Syan.g_00858	Praz.g_01772
OG0000563	Syan.g_00859	Praz.g_01771
OG0000564	Syan.g_00860	Praz.g_01770
OG0000565	Syan.g_00864	Praz.g_01767
OG0000566	Syan.g_00868	Praz.g_01765
OG0000567	Syan.g_00872	Praz.g_01761
OG0000568	Syan.g_00874	Praz.g_01760
OG0000569	Syan.g_00875	Praz.g_01759
OG0000570	Syan.g_00876	Praz.g_01758
OG0000571	Syan.g_00879	Praz.g_01756
OG0000572	Syan.g_00954	Praz.g_01743
OG0000573	Syan.g_00963	Praz.g_01738
OG0000574	Syan.g_00965	Praz.g_01737
OG0000575	Syan.g_01003	Praz.g_01733
OG0000576	Syan.g_01007	Praz.g_01731
OG0000577	Syan.g_01008	Praz.g_01730
OG0000578	Syan.g_01009	Praz.g_01729
OG0000579	Syan.g_01010	Praz.g_01728
OG0000580	Syan.g_01011	Praz.g_01727
OG0000581	Syan.g_01018	Praz.g_01725
OG0000582	Syan.g_01030	Praz.g_01722
OG0000583	Syan.g_01029	Praz.g_01721
OG0000584	Syan.g_01028	Praz.g_01720
OG0000585	Syan.g_01024	Praz.g_01718
OG0000586	Syan.g_01022	Praz.g_01717
OG0000587	Syan.g_01020	Praz.g_01716
OG0000588	Syan.g_00215	Praz.g_01712
OG0000589	Syan.g_00016	Praz.g_01709
OG0000590	Syan.g_00015	Praz.g_01708
OG0000591	Syan.g_00003	Praz.g_01705
OG0000592	Syan.g_00002	Praz.g_01704
OG0000593	Syan.g_00820	Praz.g_01698
OG0000594	Syan.g_00819	Praz.g_01697
OG0000595	Syan.g_00818	Praz.g_01696
OG0000596	Syan.g_00813	Praz.g_01692
OG0000597	Syan.g_00810	Praz.g_01690
