Orthogroup	Syan	Prai
OG0000179	Syan.g_01759	Prai.g_00016
OG0000180	Syan.g_01758	Prai.g_00017
OG0000181	Syan.g_01757	Prai.g_00018
OG0000182	Syan.g_01756	Prai.g_00019
OG0000183	Syan.g_01752	Prai.g_00023
OG0000184	Syan.g_01549	Prai.g_00053
OG0000185	Syan.g_01540	Prai.g_00056
OG0000186	Syan.g_02902	Prai.g_00064
OG0000187	Syan.g_02904	Prai.g_00065
OG0000188	Syan.g_02926	Prai.g_00082
OG0000189	Syan.g_02966	Prai.g_00096
OG0000190	Syan.g_00971	Prai.g_00097
OG0000191	Syan.g_02300	Prai.g_00117
OG0000192	Syan.g_02294	Prai.g_00121
OG0000193	Syan.g_03009	Prai.g_00157
OG0000194	Syan.g_03012	Prai.g_00160
OG0000195	Syan.g_03014	Prai.g_00162
OG0000196	Syan.g_03026	Prai.g_00172
OG0000197	Syan.g_03027	Prai.g_00173
OG0000198	Syan.g_03028	Prai.g_00174
OG0000199	Syan.g_03037	Prai.g_00181
OG0000200	Syan.g_03055	Prai.g_00195
OG0000201	Syan.g_03074	Prai.g_00203
OG0000202	Syan.g_03075	Prai.g_00204
OG0000203	Syan.g_03076	Prai.g_00205
OG0000204	Syan.g_03077	Prai.g_00206
OG0000205	Syan.g_03087	Prai.g_00213
OG0000206	Syan.g_03095	Prai.g_00218
OG0000207	Syan.g_03100	Prai.g_00220
OG0000208	Syan.g_03101	Prai.g_00221
OG0000209	Syan.g_01521	Prai.g_00230
OG0000210	Syan.g_01522	Prai.g_00231
OG0000211	Syan.g_02416	Prai.g_00244
OG0000212	Syan.g_01508, Syan.g_02438	Prai.g_00251
OG0000213	Syan.g_02059	Prai.g_00270
OG0000214	Syan.g_02040	Prai.g_00280
OG0000215	Syan.g_02010	Prai.g_00305
OG0000216	Syan.g_02006	Prai.g_00307
OG0000217	Syan.g_02001	Prai.g_00310
OG0000218	Syan.g_01999	Prai.g_00312
OG0000219	Syan.g_01998	Prai.g_00313
OG0000220	Syan.g_01997	Prai.g_00314
OG0000221	Syan.g_01994	Prai.g_00315
OG0000222	Syan.g_01981	Prai.g_00323
OG0000223	Syan.g_00228	Prai.g_00336
OG0000224	Syan.g_01959	Prai.g_00338
OG0000225	Syan.g_02997	Prai.g_00358
OG0000226	Syan.g_02990	Prai.g_00362
OG0000227	Syan.g_02988	Prai.g_00364
OG0000228	Syan.g_02315	Prai.g_00367
OG0000229	Syan.g_02396	Prai.g_00467
OG0000230	Syan.g_02398	Prai.g_00469
OG0000231	Syan.g_01333	Prai.g_00480
OG0000232	Syan.g_02801	Prai.g_00489
OG0000233	Syan.g_02876	Prai.g_00494
OG0000234	Syan.g_02844	Prai.g_00506
OG0000235	Syan.g_02765	Prai.g_00509
OG0000236	Syan.g_02749	Prai.g_00523
OG0000237	Syan.g_02731	Prai.g_00536
OG0000238	Syan.g_02726	Prai.g_00542
OG0000239	Syan.g_01187	Prai.g_00553
OG0000240	Syan.g_01186	Prai.g_00554
OG0000241	Syan.g_00822	Prai.g_00558
OG0000242	Syan.g_01168	Prai.g_00560
OG0000243	Syan.g_00840	Prai.g_00571
OG0000244	Syan.g_00848	Prai.g_00574
OG0000245	Syan.g_00850	Prai.g_00576
OG0000246	Syan.g_00854	Prai.g_00580
OG0000247	Syan.g_00866	Prai.g_00590
OG0000248	Syan.g_00869	Prai.g_00593
OG0000249	Syan.g_00871	Prai.g_00595
OG0000250	Syan.g_00878	Prai.g_00600
OG0000251	Syan.g_00961	Prai.g_00619
OG0000252	Syan.g_00966	Prai.g_00622
OG0000253	Syan.g_01000	Prai.g_00623
OG0000254	Syan.g_01026	Prai.g_00639
OG0000255	Syan.g_00978	Prai.g_00645
OG0000256	Syan.g_00001, Syan.g_01135	Prai.g_00656
OG0000257	Syan.g_00827	Prai.g_00659
OG0000258	Syan.g_00803	Prai.g_00672
OG0000259	Syan.g_00772	Prai.g_00689
OG0000260	Syan.g_00769	Prai.g_00692
OG0000261	Syan.g_00765	Prai.g_00694
OG0000262	Syan.g_00760	Prai.g_00698
OG0000263	Syan.g_02618	Prai.g_00710
OG0000264	Syan.g_00540	Prai.g_00720
OG0000266	Syan.g_00330	Prai.g_00758
OG0000267	Syan.g_00470	Prai.g_00769
OG0000268	Syan.g_00471	Prai.g_00770
OG0000269	Syan.g_00695	Prai.g_00853
OG0000270	Syan.g_00692	Prai.g_00850
OG0000271	Syan.g_00684	Prai.g_00842
OG0000272	Syan.g_00683	Prai.g_00840, Prai.g_00841
OG0000273	Syan.g_00654	Prai.g_00817
OG0000274	Syan.g_00653	Prai.g_00816
OG0000275	Syan.g_00373	Prai.g_00741, Prai.g_00813
OG0000276	Syan.g_00380	Prai.g_00808
OG0000277	Syan.g_00381	Prai.g_00807
OG0000278	Syan.g_00384	Prai.g_00804
OG0000279	Syan.g_00398	Prai.g_00797
OG0000280	Syan.g_00518	Prai.g_00796
OG0000282	Syan.g_00739	Prai.g_01044
OG0000283	Syan.g_00491	Prai.g_01012
OG0000284	Syan.g_00497	Prai.g_01007
OG0000285	Syan.g_00533	Prai.g_01002
OG0000286	Syan.g_00564	Prai.g_00990
OG0000287	Syan.g_00593	Prai.g_00973
OG0000288	Syan.g_00364	Prai.g_00944
OG0000289	Syan.g_00350	Prai.g_00934
OG0000290	Syan.g_00293	Prai.g_00921
OG0000291	Syan.g_00291	Prai.g_00919
OG0000292	Syan.g_01703	Prai.g_01107
OG0000293	Syan.g_02709	Prai.g_01163
OG0000294	Syan.g_02708	Prai.g_01164
OG0000295	Syan.g_02662	Prai.g_01183
OG0000296	Syan.g_02660	Prai.g_01185
OG0000299	Syan.g_02601	Prai.g_01213
OG0000301	Syan.g_02592	Prai.g_01217
OG0000302	Syan.g_02591	Prai.g_01219
OG0000303	Syan.g_02582	Prai.g_01226
OG0000304	Syan.g_02556	Prai.g_01230
OG0000305	Syan.g_00195	Prai.g_01362
OG0000306	Syan.g_00087	Prai.g_01365
OG0000307	Syan.g_02782	Prai.g_01379
OG0000308	Syan.g_02784	Prai.g_01380
OG0000309	Syan.g_02883	Prai.g_01384
OG0000310	Syan.g_01304	Prai.g_01448
OG0000311	Syan.g_01299	Prai.g_01450
OG0000312	Syan.g_01290	Prai.g_01453
OG0000313	Syan.g_01271	Prai.g_01467
OG0000314	Syan.g_02823	Prai.g_01489
OG0000315	Syan.g_02833	Prai.g_01499
OG0000316	Syan.g_01354	Prai.g_01519
OG0000317	Syan.g_01396	Prai.g_01636
OG0000318	Syan.g_01401	Prai.g_01639
OG0000319	Syan.g_01425	Prai.g_01652
OG0000320	Syan.g_01427	Prai.g_01654
OG0000321	Syan.g_01428	Prai.g_01655
OG0000322	Syan.g_01429	Prai.g_01656
OG0000323	Syan.g_01442	Prai.g_01665
OG0000324	Syan.g_01472	Prai.g_01691
OG0000325	Syan.g_02107	Prai.g_01702
OG0000326	Syan.g_02114	Prai.g_01708
OG0000327	Syan.g_02244	Prai.g_01735
OG0000328	Syan.g_02243	Prai.g_01736
OG0000329	Syan.g_02225	Prai.g_01754
OG0000330	Syan.g_02224	Prai.g_01755
OG0000331	Syan.g_02223	Prai.g_01756
OG0000332	Syan.g_02208	Prai.g_01770
OG0000333	Syan.g_02205	Prai.g_01777
OG0000334	Syan.g_00247, Syan.g_02194	Prai.g_01785
OG0000335	Syan.g_02189	Prai.g_01790
OG0000336	Syan.g_02185	Prai.g_01794
OG0000337	Syan.g_01949	Prai.g_01810
OG0000338	Syan.g_01943	Prai.g_01811
OG0000339	Syan.g_01935, Syan.g_00264	Prai.g_01815
OG0000340	Syan.g_01923	Prai.g_01823
OG0000341	Syan.g_01921	Prai.g_01825
OG0000342	Syan.g_01920	Prai.g_01826
OG0000343	Syan.g_01918	Prai.g_01827
OG0000344	Syan.g_01914	Prai.g_01830
OG0000345	Syan.g_01900	Prai.g_01835
OG0000346	Syan.g_01895	Prai.g_01839
OG0000347	Syan.g_01867	Prai.g_01855
OG0000348	Syan.g_01803	Prai.g_01866
OG0000349	Syan.g_01727	Prai.g_01883
OG0000350	Syan.g_02121	Prai.g_01901
OG0000351	Syan.g_01682	Prai.g_01918
OG0000352	Syan.g_01683	Prai.g_01919
OG0000353	Syan.g_01795	Prai.g_01935
OG0000355	Syan.g_01797	Prai.g_00001
OG0000356	Syan.g_01798	Prai.g_00002
OG0000357	Syan.g_01800	Prai.g_00003
OG0000358	Syan.g_01773	Prai.g_00007
OG0000359	Syan.g_01771	Prai.g_00008
OG0000360	Syan.g_01770	Prai.g_00009
OG0000361	Syan.g_01769	Prai.g_00010
OG0000362	Syan.g_01767	Prai.g_00012
OG0000363	Syan.g_01765	Prai.g_00014
OG0000364	Syan.g_01398	Prai.g_00015
OG0000365	Syan.g_01755	Prai.g_00020
OG0000366	Syan.g_01754	Prai.g_00021
OG0000367	Syan.g_01753	Prai.g_00022
OG0000368	Syan.g_01751	Prai.g_00024
OG0000369	Syan.g_01750	Prai.g_00025
OG0000370	Syan.g_01749	Prai.g_00026
OG0000371	Syan.g_01740	Prai.g_00032
OG0000372	Syan.g_01734	Prai.g_00035
OG0000373	Syan.g_01733	Prai.g_00036
OG0000374	Syan.g_01732	Prai.g_00037
OG0000375	Syan.g_01731	Prai.g_00047
OG0000376	Syan.g_01729	Prai.g_00049
OG0000377	Syan.g_01555	Prai.g_00052
OG0000378	Syan.g_01543	Prai.g_00054
OG0000379	Syan.g_01539	Prai.g_00057
OG0000380	Syan.g_02905	Prai.g_00066
OG0000381	Syan.g_02908	Prai.g_00070
OG0000382	Syan.g_02925	Prai.g_00081
OG0000383	Syan.g_02936	Prai.g_00083
OG0000384	Syan.g_02937	Prai.g_00084
OG0000385	Syan.g_02938	Prai.g_00085
OG0000386	Syan.g_02939	Prai.g_00086
OG0000387	Syan.g_00967	Prai.g_00099
OG0000388	Syan.g_02970	Prai.g_00102
OG0000389	Syan.g_02973	Prai.g_00106
OG0000390	Syan.g_02306	Prai.g_00113
OG0000391	Syan.g_02301	Prai.g_00116
OG0000392	Syan.g_02295	Prai.g_00120
OG0000393	Syan.g_02292	Prai.g_00122
OG0000394	Syan.g_02291	Prai.g_00123
OG0000395	Syan.g_02290	Prai.g_00124
OG0000396	Syan.g_02287	Prai.g_00127
OG0000397	Syan.g_02285	Prai.g_00129
OG0000398	Syan.g_02279	Prai.g_00131
OG0000399	Syan.g_02278	Prai.g_00132
OG0000400	Syan.g_02277	Prai.g_00133
OG0000401	Syan.g_02274	Prai.g_00134
OG0000402	Syan.g_02272	Prai.g_00136
OG0000403	Syan.g_02271	Prai.g_00137
OG0000404	Syan.g_02269	Prai.g_00138
OG0000405	Syan.g_03005	Prai.g_00142
OG0000406	Syan.g_03010	Prai.g_00158
OG0000407	Syan.g_03011	Prai.g_00159
OG0000408	Syan.g_03013	Prai.g_00161
OG0000409	Syan.g_03015	Prai.g_00163
OG0000410	Syan.g_03016	Prai.g_00164
OG0000411	Syan.g_03017	Prai.g_00165
OG0000412	Syan.g_03018	Prai.g_00166
OG0000413	Syan.g_03020	Prai.g_00167
OG0000414	Syan.g_03021	Prai.g_01288, Prai.g_00168
OG0000415	Syan.g_03022	Prai.g_00169
OG0000416	Syan.g_03023	Prai.g_00170
OG0000417	Syan.g_03025	Prai.g_00171
OG0000418	Syan.g_03030	Prai.g_00176
OG0000419	Syan.g_03033	Prai.g_00178
OG0000420	Syan.g_03035	Prai.g_00179
OG0000421	Syan.g_03040	Prai.g_00184
OG0000422	Syan.g_03041	Prai.g_00185
OG0000423	Syan.g_03042	Prai.g_00186
OG0000424	Syan.g_03043	Prai.g_00187
OG0000425	Syan.g_03044	Prai.g_00188
OG0000426	Syan.g_03045	Prai.g_00189
OG0000427	Syan.g_03046	Prai.g_00190
OG0000428	Syan.g_03049	Prai.g_00192
OG0000429	Syan.g_03051	Prai.g_00193
OG0000430	Syan.g_03053	Prai.g_00194
OG0000431	Syan.g_03058	Prai.g_00196
OG0000432	Syan.g_03065	Prai.g_00199
OG0000433	Syan.g_03068	Prai.g_00200
OG0000434	Syan.g_03069	Prai.g_00201
OG0000435	Syan.g_03071	Prai.g_00202
OG0000436	Syan.g_03079	Prai.g_00207
OG0000437	Syan.g_03080	Prai.g_00208
OG0000438	Syan.g_03083	Prai.g_00209
OG0000439	Syan.g_03085	Prai.g_00211
OG0000440	Syan.g_03086	Prai.g_00212
OG0000441	Syan.g_03089	Prai.g_00215
OG0000442	Syan.g_03090	Prai.g_00216
OG0000443	Syan.g_03094	Prai.g_00217
OG0000444	Syan.g_03102	Prai.g_00222
OG0000445	Syan.g_03103	Prai.g_00223
OG0000446	Syan.g_03105	Prai.g_00224
OG0000447	Syan.g_03111	Prai.g_00225
OG0000448	Syan.g_03112	Prai.g_00226
OG0000449	Syan.g_03113	Prai.g_00227
OG0000450	Syan.g_01518	Prai.g_00228
OG0000451	Syan.g_01519	Prai.g_00229
OG0000452	Syan.g_01523	Prai.g_00232
OG0000453	Syan.g_01524	Prai.g_00233
OG0000454	Syan.g_01525	Prai.g_00234
OG0000455	Syan.g_01526	Prai.g_00235
OG0000456	Syan.g_01527	Prai.g_00236
OG0000457	Syan.g_01529	Prai.g_00237
OG0000458	Syan.g_01530	Prai.g_00238
OG0000459	Syan.g_01531	Prai.g_00239
OG0000460	Syan.g_02423	Prai.g_00246
OG0000461	Syan.g_02099	Prai.g_00255
OG0000462	Syan.g_02096	Prai.g_00257
OG0000463	Syan.g_02095	Prai.g_00258
OG0000464	Syan.g_02094	Prai.g_00259
OG0000465	Syan.g_02092	Prai.g_00260
OG0000466	Syan.g_02087	Prai.g_00263
OG0000467	Syan.g_02086	Prai.g_00264
OG0000468	Syan.g_02063	Prai.g_00266
OG0000469	Syan.g_02046	Prai.g_00275
OG0000470	Syan.g_02044	Prai.g_00277
OG0000471	Syan.g_02043	Prai.g_00278
OG0000472	Syan.g_02041	Prai.g_00279
OG0000473	Syan.g_02039	Prai.g_00281
OG0000474	Syan.g_02038	Prai.g_00282
OG0000475	Syan.g_02037	Prai.g_00283
OG0000476	Syan.g_02035	Prai.g_00284
OG0000477	Syan.g_02029	Prai.g_00288
OG0000478	Syan.g_02028	Prai.g_00289
OG0000479	Syan.g_02027	Prai.g_00290
OG0000480	Syan.g_02020	Prai.g_00295
OG0000481	Syan.g_00975	Prai.g_00297
OG0000482	Syan.g_02018	Prai.g_00298
OG0000483	Syan.g_02014	Prai.g_00301
OG0000484	Syan.g_02013	Prai.g_00302
OG0000485	Syan.g_02012	Prai.g_00303
OG0000486	Syan.g_02011	Prai.g_00304
OG0000487	Syan.g_02005	Prai.g_00308
OG0000488	Syan.g_02000	Prai.g_00311
OG0000489	Syan.g_01993	Prai.g_00316
OG0000490	Syan.g_01985	Prai.g_00321
OG0000491	Syan.g_01983	Prai.g_00322
OG0000492	Syan.g_01980	Prai.g_00324
OG0000493	Syan.g_01979	Prai.g_00325
OG0000494	Syan.g_01978	Prai.g_00326
OG0000495	Syan.g_01977	Prai.g_00327
OG0000496	Syan.g_01976	Prai.g_00328
OG0000497	Syan.g_01975	Prai.g_00329
OG0000498	Syan.g_01974	Prai.g_00330
OG0000499	Syan.g_01973	Prai.g_00331
OG0000500	Syan.g_01972	Prai.g_00332
OG0000501	Syan.g_01969	Prai.g_00334
OG0000502	Syan.g_01961	Prai.g_00337
OG0000503	Syan.g_02144	Prai.g_00347
OG0000504	Syan.g_02142	Prai.g_00348
OG0000505	Syan.g_02141	Prai.g_00349
OG0000506	Syan.g_02139	Prai.g_00351
OG0000507	Syan.g_02133	Prai.g_00354
OG0000508	Syan.g_02998	Prai.g_00357
OG0000509	Syan.g_02993	Prai.g_00359
OG0000510	Syan.g_02992	Prai.g_00360
OG0000511	Syan.g_02991	Prai.g_00361
OG0000512	Syan.g_02989	Prai.g_00363
OG0000513	Syan.g_02320	Prai.g_00370
OG0000514	Syan.g_02326	Prai.g_00462
OG0000515	Syan.g_02327	Prai.g_00463
OG0000516	Syan.g_02389	Prai.g_00464
OG0000517	Syan.g_02395	Prai.g_00466
OG0000518	Syan.g_01336	Prai.g_00477
OG0000519	Syan.g_01335	Prai.g_00478
OG0000520	Syan.g_01334	Prai.g_00479
OG0000521	Syan.g_02805	Prai.g_00484
OG0000522	Syan.g_02803	Prai.g_00486
OG0000523	Syan.g_02802	Prai.g_00487
OG0000524	Syan.g_02878	Prai.g_00492
OG0000525	Syan.g_02853	Prai.g_00495
OG0000526	Syan.g_02852	Prai.g_00496
OG0000527	Syan.g_02848	Prai.g_00503
OG0000528	Syan.g_02767	Prai.g_00508
OG0000529	Syan.g_02763	Prai.g_00511
OG0000530	Syan.g_02760	Prai.g_00514
OG0000531	Syan.g_02759	Prai.g_00515
OG0000532	Syan.g_02756	Prai.g_00517
OG0000533	Syan.g_02754	Prai.g_00518
OG0000534	Syan.g_02753	Prai.g_00519
OG0000535	Syan.g_02752	Prai.g_00520
OG0000536	Syan.g_02751	Prai.g_00521
OG0000537	Syan.g_02750	Prai.g_00522
OG0000538	Syan.g_02738	Prai.g_00530
OG0000539	Syan.g_02737	Prai.g_00531
OG0000540	Syan.g_02736	Prai.g_00532
OG0000541	Syan.g_02735	Prai.g_00533
OG0000542	Syan.g_02732	Prai.g_00535
OG0000543	Syan.g_02730	Prai.g_00537
OG0000544	Syan.g_02729	Prai.g_00538
OG0000545	Syan.g_02727	Prai.g_00540
OG0000546	Syan.g_02725	Prai.g_00543
OG0000547	Syan.g_02723	Prai.g_00544
OG0000548	Syan.g_02722	Prai.g_00545
OG0000549	Syan.g_01194	Prai.g_00547
OG0000550	Syan.g_01189	Prai.g_00552
OG0000551	Syan.g_01184	Prai.g_00555
OG0000552	Syan.g_01183	Prai.g_00556
OG0000553	Syan.g_01179	Prai.g_00557
OG0000554	Syan.g_01165	Prai.g_00562
OG0000555	Syan.g_00839	Prai.g_00570
OG0000556	Syan.g_00842	Prai.g_00572
OG0000557	Syan.g_00847	Prai.g_00573
OG0000558	Syan.g_00849	Prai.g_00575
OG0000559	Syan.g_00853	Prai.g_00579
OG0000560	Syan.g_00856	Prai.g_00582
OG0000561	Syan.g_00857	Prai.g_00583
OG0000562	Syan.g_00858	Prai.g_00584
OG0000563	Syan.g_00859	Prai.g_00585
OG0000564	Syan.g_00860	Prai.g_00586
OG0000565	Syan.g_00864	Prai.g_00589
OG0000566	Syan.g_00868	Prai.g_00592
OG0000567	Syan.g_00872	Prai.g_00596
OG0000568	Syan.g_00874	Prai.g_00597
OG0000569	Syan.g_00875	Prai.g_00598
OG0000570	Syan.g_00876	Prai.g_00599
OG0000571	Syan.g_00879	Prai.g_00601
OG0000572	Syan.g_00954	Prai.g_00614
OG0000573	Syan.g_00963	Prai.g_00620
OG0000574	Syan.g_00965	Prai.g_00621
OG0000575	Syan.g_01003	Prai.g_00625
OG0000576	Syan.g_01007	Prai.g_00627
OG0000577	Syan.g_01008	Prai.g_00628
OG0000578	Syan.g_01009	Prai.g_00629
OG0000579	Syan.g_01010	Prai.g_00630
OG0000580	Syan.g_01011	Prai.g_00631
OG0000581	Syan.g_01018	Prai.g_00633
OG0000582	Syan.g_01030	Prai.g_00636
OG0000583	Syan.g_01029	Prai.g_00637
OG0000584	Syan.g_01028	Prai.g_00638
OG0000585	Syan.g_01024	Prai.g_00640
OG0000586	Syan.g_01022	Prai.g_00641
OG0000587	Syan.g_01020	Prai.g_00642
OG0000588	Syan.g_00215	Prai.g_00646
OG0000589	Syan.g_00016	Prai.g_00650
OG0000590	Syan.g_00015	Prai.g_00651
OG0000591	Syan.g_00003	Prai.g_00654
OG0000592	Syan.g_00002	Prai.g_00655
OG0000593	Syan.g_00820	Prai.g_00661
OG0000594	Syan.g_00819	Prai.g_00662
OG0000595	Syan.g_00818	Prai.g_00663
OG0000596	Syan.g_00813	Prai.g_00667
