Orthogroup	Syan	Pras
OG0000090	Syan.g_01166	Pras.g_01410
OG0000091	Syan.g_00235, Syan.g_00808	Pras.g_01518
OG0000092	Syan.g_02502	Pras.g_01806
OG0000094	Syan.g_00353, Syan.g_00065	Pras.g_01915
OG0000097	Syan.g_00160, Syan.g_00733	Pras.g_00098
OG0000098	Syan.g_00043	Pras.g_00232
OG0000099	Syan.g_01968	Pras.g_00294
OG0000100	Syan.g_00658	Pras.g_00427
OG0000101	Syan.g_02199	Pras.g_00687
OG0000102	Syan.g_01891	Pras.g_00748
OG0000103	Syan.g_01692	Pras.g_00829
OG0000104	Syan.g_01792	Pras.g_00838
OG0000105	Syan.g_02031	Pras.g_01126
OG0000106	Syan.g_00076	Pras.g_01223
OG0000107	Syan.g_02106	Pras.g_01239
OG0000108	Syan.g_02764	Pras.g_01358
OG0000109	Syan.g_02748	Pras.g_01372
OG0000110	Syan.g_00882	Pras.g_01451
OG0000111	Syan.g_00187	Pras.g_01575
OG0000112	Syan.g_00556, Syan.g_00252	Pras.g_01665
OG0000113	Syan.g_00664	Pras.g_01723
OG0000114	Syan.g_00741	Pras.g_01801
OG0000115	Syan.g_02810	Pras.g_01994
OG0000116	Syan.g_02710, Syan.g_00460	Pras.g_00046
OG0000117	Syan.g_02644	Pras.g_00150
OG0000118	Syan.g_01241, Syan.g_01237	Pras.g_00221, Pras.g_00222
OG0000119	Syan.g_02672	Pras.g_00246
OG0000120	Syan.g_01966	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330
OG0000121	Syan.g_01273	Pras.g_00352
OG0000123	Syan.g_02190	Pras.g_00694
OG0000124	Syan.g_01873	Pras.g_00759
OG0000125	Syan.g_01573	Pras.g_00797
OG0000126	Syan.g_01705	Pras.g_00837
OG0000128	Syan.g_01768	Pras.g_00853
OG0000129	Syan.g_01563	Pras.g_00897
OG0000130	Syan.g_02906, Syan.g_02907	Pras.g_00921
OG0000131	Syan.g_03008	Pras.g_00996
OG0000132	Syan.g_03029	Pras.g_01015
OG0000133	Syan.g_00561	Pras.g_01174
OG0000134	Syan.g_02319	Pras.g_01210
OG0000135	Syan.g_01616	Pras.g_01236
OG0000136	Syan.g_01342	Pras.g_01319
OG0000137	Syan.g_02846	Pras.g_01353
OG0000138	Syan.g_02747	Pras.g_01373
OG0000140	Syan.g_00042	Pras.g_01415
OG0000141	Syan.g_01032	Pras.g_01483
OG0000142	Syan.g_00816	Pras.g_01511
OG0000143	Syan.g_00812	Pras.g_01515
OG0000144	Syan.g_00782	Pras.g_01528
OG0000145	Syan.g_02740	Pras.g_01664
OG0000146	Syan.g_00555, Syan.g_00253	Pras.g_01666
OG0000147	Syan.g_00254, Syan.g_00554	Pras.g_01667
OG0000148	Syan.g_00670	Pras.g_01717
OG0000149	Syan.g_00393	Pras.g_01747
OG0000150	Syan.g_01031	Pras.g_01755
OG0000151	Syan.g_00731	Pras.g_01811
OG0000152	Syan.g_00565	Pras.g_01859
OG0000153	Syan.g_00601	Pras.g_01878
OG0000154	Syan.g_00363	Pras.g_01908
OG0000155	Syan.g_02654	Pras.g_00076
OG0000156	Syan.g_02717	Pras.g_00197
OG0000157	Syan.g_02718	Pras.g_00198
OG0000158	Syan.g_01078, Syan.g_01926	Pras.g_00289
OG0000160	Syan.g_01274	Pras.g_00351
OG0000161	Syan.g_01268	Pras.g_00357
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Pras.g_00363
OG0000163	Syan.g_02405	Pras.g_00399
OG0000164	Syan.g_01440	Pras.g_00574
OG0000165	Syan.g_01448	Pras.g_00581
OG0000166	Syan.g_02239	Pras.g_00651
OG0000167	Syan.g_01941	Pras.g_00717
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Pras.g_00727
OG0000169	Syan.g_01912	Pras.g_00737
OG0000170	Syan.g_01901	Pras.g_00739
OG0000171	Syan.g_01875	Pras.g_00758
OG0000172	Syan.g_01810	Pras.g_00768
OG0000173	Syan.g_01720	Pras.g_00783
OG0000174	Syan.g_01619	Pras.g_00811, Pras.g_00810
OG0000175	Syan.g_01678, Syan.g_00258	Pras.g_00821
OG0000176	Syan.g_01801	Pras.g_00846
OG0000177	Syan.g_01775	Pras.g_00847
OG0000178	Syan.g_01774	Pras.g_00848
OG0000179	Syan.g_01759	Pras.g_00858
OG0000180	Syan.g_01758	Pras.g_00859
OG0000181	Syan.g_01757	Pras.g_00860
OG0000182	Syan.g_01756	Pras.g_00861
OG0000183	Syan.g_01752	Pras.g_00865
OG0000184	Syan.g_01549	Pras.g_00899
OG0000185	Syan.g_01540	Pras.g_00902
OG0000186	Syan.g_02902	Pras.g_00916
OG0000187	Syan.g_02904	Pras.g_00917
OG0000188	Syan.g_02926	Pras.g_00933
OG0000189	Syan.g_02966	Pras.g_00947
OG0000190	Syan.g_00971	Pras.g_00948
OG0000191	Syan.g_02300	Pras.g_00968
OG0000192	Syan.g_02294	Pras.g_00972
OG0000193	Syan.g_03009	Pras.g_00997
OG0000194	Syan.g_03012	Pras.g_01000
OG0000195	Syan.g_03014	Pras.g_01002
OG0000196	Syan.g_03026	Pras.g_01012
OG0000197	Syan.g_03027	Pras.g_01013
OG0000198	Syan.g_03028	Pras.g_01014
OG0000199	Syan.g_03037	Pras.g_01021
OG0000200	Syan.g_03055	Pras.g_01035
OG0000201	Syan.g_03074	Pras.g_01043
OG0000202	Syan.g_03075	Pras.g_01044
OG0000203	Syan.g_03076	Pras.g_01045
OG0000204	Syan.g_03077	Pras.g_01046
OG0000205	Syan.g_03087	Pras.g_01053
OG0000206	Syan.g_03095	Pras.g_01058, Pras.g_01059
OG0000207	Syan.g_03100	Pras.g_01061
OG0000208	Syan.g_03101	Pras.g_01062
OG0000209	Syan.g_01521	Pras.g_01071
OG0000210	Syan.g_01522	Pras.g_01072
OG0000211	Syan.g_02416	Pras.g_01085
OG0000212	Syan.g_01508, Syan.g_02438	Pras.g_01092
OG0000213	Syan.g_02059	Pras.g_01109
OG0000214	Syan.g_02040	Pras.g_01119
OG0000215	Syan.g_02010	Pras.g_01144
OG0000216	Syan.g_02006	Pras.g_01145
OG0000217	Syan.g_02001	Pras.g_01148
OG0000218	Syan.g_01999	Pras.g_01150
OG0000219	Syan.g_01998	Pras.g_01151
OG0000220	Syan.g_01997	Pras.g_01152
OG0000221	Syan.g_01994	Pras.g_01153
OG0000222	Syan.g_01981	Pras.g_01162
OG0000223	Syan.g_00228	Pras.g_01175
OG0000224	Syan.g_01959	Pras.g_01177
OG0000225	Syan.g_02997	Pras.g_01199
OG0000226	Syan.g_02990	Pras.g_01203
OG0000227	Syan.g_02988	Pras.g_01205
OG0000228	Syan.g_02315	Pras.g_01208
OG0000229	Syan.g_02396	Pras.g_01314
OG0000230	Syan.g_02398	Pras.g_01316
OG0000231	Syan.g_01333	Pras.g_01327
OG0000232	Syan.g_02801	Pras.g_01335
OG0000233	Syan.g_02876	Pras.g_01341
OG0000234	Syan.g_02844	Pras.g_01354
OG0000235	Syan.g_02765	Pras.g_01357
OG0000236	Syan.g_02749	Pras.g_01371
OG0000237	Syan.g_02731	Pras.g_01384
OG0000238	Syan.g_02726	Pras.g_01390
OG0000239	Syan.g_01187	Pras.g_01402
OG0000240	Syan.g_01186	Pras.g_01403
OG0000241	Syan.g_00822	Pras.g_01407
OG0000242	Syan.g_01168	Pras.g_01409
OG0000243	Syan.g_00840	Pras.g_01420
OG0000244	Syan.g_00848	Pras.g_01423
OG0000245	Syan.g_00850	Pras.g_01425
OG0000246	Syan.g_00854	Pras.g_01429
OG0000247	Syan.g_00866	Pras.g_01439
OG0000248	Syan.g_00869	Pras.g_01441
OG0000249	Syan.g_00871	Pras.g_01443
OG0000250	Syan.g_00878	Pras.g_01448
OG0000251	Syan.g_00961	Pras.g_01467
OG0000252	Syan.g_00966	Pras.g_01470
OG0000253	Syan.g_01000	Pras.g_01471
OG0000254	Syan.g_01026	Pras.g_01487
OG0000255	Syan.g_00978	Pras.g_01493
OG0000256	Syan.g_00001, Syan.g_01135	Pras.g_01503
OG0000257	Syan.g_00827	Pras.g_01506
OG0000258	Syan.g_00803	Pras.g_01519
OG0000259	Syan.g_00772	Pras.g_01536
OG0000260	Syan.g_00769	Pras.g_01539
OG0000261	Syan.g_00765	Pras.g_01541
OG0000262	Syan.g_00760	Pras.g_00327, Pras.g_01545
OG0000263	Syan.g_02618	Pras.g_01557
OG0000264	Syan.g_00540	Pras.g_01567
OG0000266	Syan.g_00330	Pras.g_01616
OG0000267	Syan.g_00470	Pras.g_01627
OG0000268	Syan.g_00471	Pras.g_01628
OG0000269	Syan.g_00695	Pras.g_01696
OG0000270	Syan.g_00692	Pras.g_01699
OG0000271	Syan.g_00684	Pras.g_01707
OG0000272	Syan.g_00683	Pras.g_01708
OG0000273	Syan.g_00654	Pras.g_01731
OG0000274	Syan.g_00653	Pras.g_01732
OG0000275	Syan.g_00373	Pras.g_01734
OG0000276	Syan.g_00380	Pras.g_01739
OG0000277	Syan.g_00381	Pras.g_01740
OG0000278	Syan.g_00384	Pras.g_01743
OG0000279	Syan.g_00398	Pras.g_01750
OG0000280	Syan.g_00518	Pras.g_01751
OG0000282	Syan.g_00739	Pras.g_01803
OG0000283	Syan.g_00491	Pras.g_01836
OG0000284	Syan.g_00497	Pras.g_01841
OG0000285	Syan.g_00533	Pras.g_01846
OG0000286	Syan.g_00564	Pras.g_01858
OG0000287	Syan.g_00593	Pras.g_01875
OG0000288	Syan.g_00364	Pras.g_01907
OG0000289	Syan.g_00350	Pras.g_01918
OG0000290	Syan.g_00293	Pras.g_01931
OG0000291	Syan.g_00291	Pras.g_01933
OG0000292	Syan.g_01703	Pras.g_01982
OG0000293	Syan.g_02709	Pras.g_00047
OG0000294	Syan.g_02708	Pras.g_00048
OG0000295	Syan.g_02662	Pras.g_00068
OG0000296	Syan.g_02660	Pras.g_00070
OG0000299	Syan.g_02601	Pras.g_00096, Pras.g_00097
OG0000301	Syan.g_02592	Pras.g_00101
OG0000302	Syan.g_02591	Pras.g_00103
OG0000303	Syan.g_02582	Pras.g_00110
OG0000304	Syan.g_02556	Pras.g_00114
OG0000305	Syan.g_00195	Pras.g_00242
OG0000306	Syan.g_00087	Pras.g_00245
OG0000307	Syan.g_02782	Pras.g_00259
OG0000308	Syan.g_02784	Pras.g_00260
OG0000309	Syan.g_02883	Pras.g_00264
OG0000310	Syan.g_01304	Pras.g_00335
OG0000311	Syan.g_01299	Pras.g_00337
OG0000312	Syan.g_01290	Pras.g_00340
OG0000313	Syan.g_01271	Pras.g_00354
OG0000314	Syan.g_02823	Pras.g_00377
OG0000315	Syan.g_02833	Pras.g_00388
OG0000316	Syan.g_01354	Pras.g_00410
OG0000317	Syan.g_01396	Pras.g_00548
OG0000318	Syan.g_01401	Pras.g_00551
OG0000319	Syan.g_01425	Pras.g_00564
OG0000320	Syan.g_01427	Pras.g_00566
OG0000321	Syan.g_01428	Pras.g_00567
OG0000322	Syan.g_01429	Pras.g_00568
OG0000323	Syan.g_01442	Pras.g_00577
OG0000324	Syan.g_01472	Pras.g_00604
OG0000325	Syan.g_02107	Pras.g_00614
OG0000326	Syan.g_02114	Pras.g_00620
OG0000327	Syan.g_02244	Pras.g_00646
OG0000328	Syan.g_02243	Pras.g_00647
OG0000329	Syan.g_02225	Pras.g_00664
OG0000330	Syan.g_02224	Pras.g_00665
OG0000331	Syan.g_02223	Pras.g_00666
OG0000332	Syan.g_02208	Pras.g_00680
OG0000333	Syan.g_02205	Pras.g_00682
OG0000334	Syan.g_00247, Syan.g_02194	Pras.g_00690
OG0000335	Syan.g_02189	Pras.g_00695
OG0000336	Syan.g_02185	Pras.g_00699
OG0000337	Syan.g_01949	Pras.g_00715
OG0000338	Syan.g_01943	Pras.g_00716
OG0000339	Syan.g_01935, Syan.g_00264	Pras.g_00720
OG0000340	Syan.g_01923	Pras.g_00728
OG0000341	Syan.g_01921	Pras.g_00730
OG0000342	Syan.g_01920	Pras.g_00731
OG0000343	Syan.g_01918	Pras.g_00732
OG0000344	Syan.g_01914	Pras.g_00735
OG0000345	Syan.g_01900	Pras.g_00740
OG0000346	Syan.g_01895	Pras.g_00744
OG0000347	Syan.g_01867	Pras.g_00761
OG0000348	Syan.g_01803	Pras.g_00771
OG0000349	Syan.g_01727	Pras.g_00788
OG0000350	Syan.g_02121	Pras.g_00806, Pras.g_00131
OG0000351	Syan.g_01682	Pras.g_00824
OG0000352	Syan.g_01683	Pras.g_00825
OG0000353	Syan.g_01795	Pras.g_00841
OG0000355	Syan.g_01797	Pras.g_00843
OG0000356	Syan.g_01798	Pras.g_00844
OG0000357	Syan.g_01800	Pras.g_00845
OG0000358	Syan.g_01773	Pras.g_00849
OG0000359	Syan.g_01771	Pras.g_00850
OG0000360	Syan.g_01770	Pras.g_00851
OG0000361	Syan.g_01769	Pras.g_00852
OG0000362	Syan.g_01767	Pras.g_00854
OG0000363	Syan.g_01765	Pras.g_00856
OG0000364	Syan.g_01398	Pras.g_00857
OG0000365	Syan.g_01755	Pras.g_00862
OG0000366	Syan.g_01754	Pras.g_00863
OG0000367	Syan.g_01753	Pras.g_00864
OG0000368	Syan.g_01751	Pras.g_00866
OG0000369	Syan.g_01750	Pras.g_00867
OG0000370	Syan.g_01749	Pras.g_00868
OG0000371	Syan.g_01740	Pras.g_00874
OG0000372	Syan.g_01734	Pras.g_00877
OG0000373	Syan.g_01733	Pras.g_00878
OG0000374	Syan.g_01732	Pras.g_00879
OG0000375	Syan.g_01731	Pras.g_00893
OG0000376	Syan.g_01729	Pras.g_00895
OG0000377	Syan.g_01555	Pras.g_00898
OG0000378	Syan.g_01543	Pras.g_00900
OG0000379	Syan.g_01539	Pras.g_00903
OG0000380	Syan.g_02905	Pras.g_00918
OG0000381	Syan.g_02908	Pras.g_00922
OG0000382	Syan.g_02925	Pras.g_00932
OG0000383	Syan.g_02936	Pras.g_00934
OG0000384	Syan.g_02937	Pras.g_00935
OG0000385	Syan.g_02938	Pras.g_00936
OG0000386	Syan.g_02939	Pras.g_00937
OG0000387	Syan.g_00967	Pras.g_00950
OG0000388	Syan.g_02970	Pras.g_00953
OG0000389	Syan.g_02973	Pras.g_00957
OG0000390	Syan.g_02306	Pras.g_00964
OG0000391	Syan.g_02301	Pras.g_00967
OG0000392	Syan.g_02295	Pras.g_00971
OG0000393	Syan.g_02292	Pras.g_00973
OG0000394	Syan.g_02291	Pras.g_00974
OG0000395	Syan.g_02290	Pras.g_00975
OG0000396	Syan.g_02287	Pras.g_00978
OG0000397	Syan.g_02285	Pras.g_00980
OG0000398	Syan.g_02279	Pras.g_00982
OG0000399	Syan.g_02278	Pras.g_00983
OG0000400	Syan.g_02277	Pras.g_00984
OG0000401	Syan.g_02274	Pras.g_00985
OG0000402	Syan.g_02272	Pras.g_00987
OG0000403	Syan.g_02271	Pras.g_00988
OG0000404	Syan.g_02269	Pras.g_00989
OG0000405	Syan.g_03005	Pras.g_00993
OG0000406	Syan.g_03010	Pras.g_00998
OG0000407	Syan.g_03011	Pras.g_00999
OG0000408	Syan.g_03013	Pras.g_01001
OG0000409	Syan.g_03015	Pras.g_01003
OG0000410	Syan.g_03016	Pras.g_01004
OG0000411	Syan.g_03017	Pras.g_01005
OG0000412	Syan.g_03018	Pras.g_01006
OG0000413	Syan.g_03020	Pras.g_01007
OG0000414	Syan.g_03021	Pras.g_01008
OG0000415	Syan.g_03022	Pras.g_01009
OG0000416	Syan.g_03023	Pras.g_01010
OG0000417	Syan.g_03025	Pras.g_01011
OG0000418	Syan.g_03030	Pras.g_01016
OG0000419	Syan.g_03033	Pras.g_01018
OG0000420	Syan.g_03035	Pras.g_01019
OG0000421	Syan.g_03040	Pras.g_01024
OG0000422	Syan.g_03041	Pras.g_01025
OG0000423	Syan.g_03042	Pras.g_01026
OG0000424	Syan.g_03043	Pras.g_01027
OG0000425	Syan.g_03044	Pras.g_01028
OG0000426	Syan.g_03045	Pras.g_01029
OG0000427	Syan.g_03046	Pras.g_01030
OG0000428	Syan.g_03049	Pras.g_01032
OG0000429	Syan.g_03051	Pras.g_01033
OG0000430	Syan.g_03053	Pras.g_01034
OG0000431	Syan.g_03058	Pras.g_01036
OG0000432	Syan.g_03065	Pras.g_01039
OG0000433	Syan.g_03068	Pras.g_01040
OG0000434	Syan.g_03069	Pras.g_01041
OG0000435	Syan.g_03071	Pras.g_01042
OG0000436	Syan.g_03079	Pras.g_01047
OG0000437	Syan.g_03080	Pras.g_01048
OG0000438	Syan.g_03083	Pras.g_01049
OG0000439	Syan.g_03085	Pras.g_01051
OG0000440	Syan.g_03086	Pras.g_01052
OG0000441	Syan.g_03089	Pras.g_01055
OG0000442	Syan.g_03090	Pras.g_01056
OG0000443	Syan.g_03094	Pras.g_01057
OG0000444	Syan.g_03102	Pras.g_01063
OG0000445	Syan.g_03103	Pras.g_01064
OG0000446	Syan.g_03105	Pras.g_01065
OG0000447	Syan.g_03111	Pras.g_01066
OG0000448	Syan.g_03112	Pras.g_01067
OG0000449	Syan.g_03113	Pras.g_01068
OG0000450	Syan.g_01518	Pras.g_01069
OG0000451	Syan.g_01519	Pras.g_01070
OG0000452	Syan.g_01523	Pras.g_01073
OG0000453	Syan.g_01524	Pras.g_01074
OG0000454	Syan.g_01525	Pras.g_01075
OG0000455	Syan.g_01526	Pras.g_01076
OG0000456	Syan.g_01527	Pras.g_01077
OG0000457	Syan.g_01529	Pras.g_01078
OG0000458	Syan.g_01530	Pras.g_01079
OG0000459	Syan.g_01531	Pras.g_01080
OG0000460	Syan.g_02423	Pras.g_01087
OG0000461	Syan.g_02099	Pras.g_01094
OG0000462	Syan.g_02096	Pras.g_01096
OG0000463	Syan.g_02095	Pras.g_01097
OG0000464	Syan.g_02094	Pras.g_01098
OG0000465	Syan.g_02092	Pras.g_01099
OG0000466	Syan.g_02087	Pras.g_01102
OG0000467	Syan.g_02086	Pras.g_01103
OG0000468	Syan.g_02063	Pras.g_01105
OG0000469	Syan.g_02046	Pras.g_01114
OG0000470	Syan.g_02044	Pras.g_01116
OG0000471	Syan.g_02043	Pras.g_01117
OG0000472	Syan.g_02041	Pras.g_01118
OG0000473	Syan.g_02039	Pras.g_01120
OG0000474	Syan.g_02038	Pras.g_01121
OG0000475	Syan.g_02037	Pras.g_01122
OG0000476	Syan.g_02035	Pras.g_01123
OG0000477	Syan.g_02029	Pras.g_01127
OG0000478	Syan.g_02028	Pras.g_01128
OG0000479	Syan.g_02027	Pras.g_01129
OG0000480	Syan.g_02020	Pras.g_01134
OG0000481	Syan.g_00975	Pras.g_01136
OG0000482	Syan.g_02018	Pras.g_01137
OG0000483	Syan.g_02014	Pras.g_01140
OG0000484	Syan.g_02013	Pras.g_01141
OG0000485	Syan.g_02012	Pras.g_01142
OG0000486	Syan.g_02011	Pras.g_01143
OG0000487	Syan.g_02005	Pras.g_01146
OG0000488	Syan.g_02000	Pras.g_01149
OG0000489	Syan.g_01993	Pras.g_01155
OG0000490	Syan.g_01985	Pras.g_01160
OG0000491	Syan.g_01983	Pras.g_01161
OG0000492	Syan.g_01980	Pras.g_01163
OG0000493	Syan.g_01979	Pras.g_01164
OG0000494	Syan.g_01978	Pras.g_01165
OG0000495	Syan.g_01977	Pras.g_01166
OG0000496	Syan.g_01976	Pras.g_01167
OG0000497	Syan.g_01975	Pras.g_01168
OG0000498	Syan.g_01974	Pras.g_01169
OG0000499	Syan.g_01973	Pras.g_01170
OG0000500	Syan.g_01972	Pras.g_01171
OG0000501	Syan.g_01969	Pras.g_01173
OG0000502	Syan.g_01961	Pras.g_01176
OG0000503	Syan.g_02144	Pras.g_01187
OG0000504	Syan.g_02142	Pras.g_01188
OG0000505	Syan.g_02141	Pras.g_01189
OG0000506	Syan.g_02139	Pras.g_01191
OG0000507	Syan.g_02133	Pras.g_01194
OG0000508	Syan.g_02998	Pras.g_01198
OG0000509	Syan.g_02993	Pras.g_01200
OG0000510	Syan.g_02992	Pras.g_01201
OG0000511	Syan.g_02991	Pras.g_01202
OG0000512	Syan.g_02989	Pras.g_01204
OG0000513	Syan.g_02320	Pras.g_01211
OG0000514	Syan.g_02326	Pras.g_01309
OG0000515	Syan.g_02327	Pras.g_01310
OG0000516	Syan.g_02389	Pras.g_01311
OG0000517	Syan.g_02395	Pras.g_01313
OG0000518	Syan.g_01336	Pras.g_01324
OG0000519	Syan.g_01335	Pras.g_01325
OG0000520	Syan.g_01334	Pras.g_01326
OG0000521	Syan.g_02805	Pras.g_01331
OG0000522	Syan.g_02803	Pras.g_01332
OG0000523	Syan.g_02802	Pras.g_01333
OG0000524	Syan.g_02878	Pras.g_01339
OG0000525	Syan.g_02853	Pras.g_01342
OG0000526	Syan.g_02852	Pras.g_01343
OG0000527	Syan.g_02848	Pras.g_01351
OG0000528	Syan.g_02767	Pras.g_01356
OG0000529	Syan.g_02763	Pras.g_01359
OG0000530	Syan.g_02760	Pras.g_01362
OG0000531	Syan.g_02759	Pras.g_01363
OG0000532	Syan.g_02756	Pras.g_01365
OG0000533	Syan.g_02754	Pras.g_01366
OG0000534	Syan.g_02753	Pras.g_01367
OG0000535	Syan.g_02752	Pras.g_01368
OG0000536	Syan.g_02751	Pras.g_01369
OG0000537	Syan.g_02750	Pras.g_01370
OG0000538	Syan.g_02738	Pras.g_01378
OG0000539	Syan.g_02737	Pras.g_01379
OG0000540	Syan.g_02736	Pras.g_01380
OG0000541	Syan.g_02735	Pras.g_01381
OG0000542	Syan.g_02732	Pras.g_01383
OG0000543	Syan.g_02730	Pras.g_01385
OG0000544	Syan.g_02729	Pras.g_01386
OG0000545	Syan.g_02727	Pras.g_01388
OG0000546	Syan.g_02725	Pras.g_01391
OG0000547	Syan.g_02723	Pras.g_01393
OG0000548	Syan.g_02722	Pras.g_01394
OG0000549	Syan.g_01194	Pras.g_01396
OG0000550	Syan.g_01189	Pras.g_01401
OG0000551	Syan.g_01184	Pras.g_01404
OG0000552	Syan.g_01183	Pras.g_01405
OG0000553	Syan.g_01179	Pras.g_01406
OG0000554	Syan.g_01165	Pras.g_01411
OG0000555	Syan.g_00839	Pras.g_01419
OG0000556	Syan.g_00842	Pras.g_01421
OG0000557	Syan.g_00847	Pras.g_01422
OG0000558	Syan.g_00849	Pras.g_01424
OG0000559	Syan.g_00853	Pras.g_01428
OG0000560	Syan.g_00856	Pras.g_01431
OG0000561	Syan.g_00857	Pras.g_01432
OG0000562	Syan.g_00858	Pras.g_01433
OG0000563	Syan.g_00859	Pras.g_01434
OG0000564	Syan.g_00860	Pras.g_01435
OG0000565	Syan.g_00864	Pras.g_01438
OG0000566	Syan.g_00868	Pras.g_01440
OG0000567	Syan.g_00872	Pras.g_01444
OG0000568	Syan.g_00874	Pras.g_01445
OG0000569	Syan.g_00875	Pras.g_01446
OG0000570	Syan.g_00876	Pras.g_01447
OG0000571	Syan.g_00879	Pras.g_01449
OG0000572	Syan.g_00954	Pras.g_01463
OG0000573	Syan.g_00963	Pras.g_01468
OG0000574	Syan.g_00965	Pras.g_01469
OG0000575	Syan.g_01003	Pras.g_01473
OG0000576	Syan.g_01007	Pras.g_01475
OG0000577	Syan.g_01008	Pras.g_01476
OG0000578	Syan.g_01009	Pras.g_01477
OG0000579	Syan.g_01010	Pras.g_01478
OG0000580	Syan.g_01011	Pras.g_01479
OG0000581	Syan.g_01018	Pras.g_01481
OG0000582	Syan.g_01030	Pras.g_01484
OG0000583	Syan.g_01029	Pras.g_01485
OG0000584	Syan.g_01028	Pras.g_01486
OG0000585	Syan.g_01024	Pras.g_01488
OG0000586	Syan.g_01022	Pras.g_01489
OG0000587	Syan.g_01020	Pras.g_01490
OG0000588	Syan.g_00215	Pras.g_01494
OG0000589	Syan.g_00016	Pras.g_01497
OG0000590	Syan.g_00015	Pras.g_01498
OG0000591	Syan.g_00003	Pras.g_01501
OG0000592	Syan.g_00002	Pras.g_01502
OG0000593	Syan.g_00820	Pras.g_01508
OG0000594	Syan.g_00819	Pras.g_01509
OG0000595	Syan.g_00818	Pras.g_01510
OG0000596	Syan.g_00813	Pras.g_01514
